ERR1913308.242__1.242	28117__B0MUR5__BHV66_03900
ERR1913308.948692__1.948692	1262753__R5AYL3__BN813_00110
ERR1913308.948801__1.948801	821__A6L0C7__ERS852556_03520
ERR1913308.949477__1.949477	39491__A0A395V5R3__EUBREC_1883
ERR1913308.949513__1.949513	214856__I3YPP2__Alfi_2700
ERR1913308.949666__1.949666	853__A8S882__C4N23_07600
ERR1913308.949803__1.949803	1262753__R5B0D1__BN813_02073
ERR1913308.949870__1.949870	39485__A0A174Z9M2__yhbU_1
ERR1913308.949877__1.949877	1262753__R5B331__BN813_00177
ERR1913308.949949__1.949949	39491__A0A3E4YFT8__DXB69_10940
ERR1913308.949921__1.949921	214856__I3YPQ0__ERS852447_01379
ERR1913308.950063__1.950063	626929__F3PGX4__B5F97_10765
ERR1913308.950199__1.950199	40518__R5DP61__DXD86_06345
ERR1913308.950205__1.950205	166486__D4L0B2__ERS852572_03035
ERR1913308.950250__1.950250	39491__A0A395ZHW9__DXC13_02590
ERR1913308.950368__1.950368	74426__nifJ
ERR1913308.950398__1.950398	166486__D4KUE4__ROSINTL182_08606
ERR1913308.950498__1.950498	820__A0A174R952__DXB48_02570
ERR1913308.950486__1.950486	46228__B5CR74__HMPREF1202_02190
ERR1913308.950488__1.950488	166486__D4KYD7__ERS852572_03817
ERR1913308.950567__1.950567	166486__D4L1P5__ERS852572_00758
ERR1913308.950745__1.950745	328814__GCA_004558275.1_00288
ERR1913308.950730__1.950730	166486__D4KZ27__ROSINTL182_05762
ERR1913308.950776__1.950776	820__A7V092__hldE
ERR1913308.950989__1.950989	39491__D4JMW8__ERS852497_01971
ERR1913308.951029__1.951029	820__A0A139K024__B5G17_02060
ERR1913308.951098__1.951098	39491__A0A396FJJ9__DXB76_11995
ERR1913308.951186__1.951186	1262753__R5B102__BN813_01154
ERR1913308.951366__1.951366	853__A0A3E2U7E6__ERS852582_01640
ERR1913308.951610__1.951610	39491__A0A173TAZ5__DXB99_09520
ERR1913308.951686__1.951686	820__A0A174Q0F0__DXB48_08080
ERR1913308.951929__1.951929	626929__F3PLK1__B5F97_09750
ERR1913308.951982__1.951982	214856__I3YPQ4__Alfi_2712
ERR1913308.951993__1.951993	626929__F3PIK9__HMPREF9445_01807
ERR1913308.952003__1.952003	820__A0A139KIL9__DXC68_05945
ERR1913308.952026__1.952026	39491__A0A174EQV2__DXB69_10230
ERR1913308.952196__1.952196	246787__A0A3D6AZF8__BACCELL_02529
ERR1913308.952582__1.952582	1897011__A0A1Q6RBX6__BHW41_06385
ERR1913308.952678__1.952678	46228__B5CP87__HMPREF1202_02330
ERR1913308.952856__1.952856	1262753__R5B3Z6__BN813_02007
ERR1913308.953061__1.953061	820__A0A3E4WA06__ERS852554_03404
ERR1913308.953083__1.953083	246787__A0A3D6AWM8__BACCELL_01963
ERR1913308.953155__1.953155	310298__B3JMA8__BACCOP_03059
ERR1913308.953297__1.953297	1150298__R7JNQ8__ERS852406_00857
ERR1913308.953328__1.953328	39488__R6GBC5__DXD91_06450
ERR1913308.953420__1.953420	853__A0A2A7B1Y7__C7K05_11930
ERR1913308.953579__1.953579	818__Q8AAE0__Btheta7330_02023
ERR1913308.953592__1.953592	820__R9I2U8__DXC68_09590
ERR1913308.953652__1.953652	1262753__R5B6I2__BN813_00596
ERR1913308.953686__1.953686	1262753__R5B890__BN813_02145
ERR1913308.953953__1.953953	821__A0A396FEL8__C5Z04_06030
ERR1913308.953954__1.953954	166486__D4KZ14__inlA_1
ERR1913308.954043__1.954043	820__A0A3E4RU03__M093_0563
ERR1913308.954190__1.954190	820__A0A3E4FZM1__adaA_2
ERR1913308.954357__1.954357	28116__A0A1Y4PUF2__BACOV975_03357
ERR1913308.954362__1.954362	818__A0A3E5HGB5__ERS852511_02145
ERR1913308.954390__1.954390	166486__D4KW49__ROSINTL182_07746
ERR1913308.954711__1.954711	853__A0A2A7A4A9__C4N21_14870
ERR1913308.955059__1.955059	301302__A0A173SCU7__M72_12871
ERR1913308.955062__1.955062	820__A0A1T4IY71__HMPREF2141_02402
ERR1913308.955093__1.955093	1262753__R5B6W4__BN813_00699
ERR1913308.955229__1.955229	246787__R6K756__HMPREF1062_01819
ERR1913308.955307__1.955307	246787__R6KQ08__AA416_01934
ERR1913308.955357__1.955357	853__A0A174BZY1__xerD_1
ERR1913308.955399__1.955399	1262753__R5B1R0__BN813_00151
ERR1913308.955444__1.955444	88431__A0A174EMW0__thiD_1
ERR1913308.955784__1.955784	853__C7H7F5__DWZ46_01780
ERR1913308.956446__1.956446	821__A0A174WBC9__ERS852556_03145
ERR1913308.956581__1.956581	166486__D4KVI9__comEA
ERR1913308.956652__1.956652	820__R9I2U8__DXC68_09590
ERR1913308.956623__1.956623	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913308.956630__1.956630	384639__GCA_003096855.1_02234
ERR1913308.956740__1.956740	820__A0A3E4G8F8__ERS852421_01645
ERR1913308.956849__1.956849	1262777__R5W7W6__BN512_00643
ERR1913308.956862__1.956862	35833__E5Y9U5__HMPREF0179_02963
ERR1913308.956949__1.956949	820__R9I2U8__DXC68_09590
ERR1913308.956957__1.956957	39491__A0A2U2EKL1__ERS852580_00911
ERR1913308.957006__1.957006	821__A0A396FEL8__C5Z04_06030
ERR1913308.957085__1.957085	39491__D6E4H2__DXB99_00485
ERR1913308.957050__1.957050	46228__V8CG89__RUMLAC_00663
ERR1913308.957087__1.957087	39491__A0A2U2EI54__DXD95_12010
ERR1913308.957126__1.957126	1261__D3MR67__SAMN05660467_01650
ERR1913308.957149__1.957149	820__A0A3E4HWJ4__DXD40_05945
ERR1913308.957186__1.957186	39491__A0A395ZL98__DXB99_00620
ERR1913308.957431__1.957431	820__A0A1T4IYF4__mprA_1
ERR1913308.957499__1.957499	1262777__R5VTY8__BN512_01960
ERR1913308.957565__1.957565	39491__A0A396FRE7__EUR_27520
ERR1913308.957644__1.957644	936548__J0SWS6__HMPREF1136_0544
ERR1913308.957660__1.957660	301302__A0A0M6WVL0__celA
ERR1913308.957795__1.957795	1262886__R6QNJ6__BN563_00594
ERR1913308.957846__1.957846	820__A7V092__hldE
ERR1913308.957885__1.957885	410072__A0A174KCA8__DXD67_01455
ERR1913308.958235__1.958235	820__A0A3E4G826__C801_01612
ERR1913308.958264__1.958264	853__A0A174BZY1__xerD_1
ERR1913308.958326__1.958326	821__A0A174NM17__lacZ_6
ERR1913308.958412__1.958412	626929__F3PF96__B5F24_01800
ERR1913308.958466__1.958466	28118__F9ZAB2__SAMEA44545918_01079
ERR1913308.958659__1.958659	291644__R5JG66__ERS852428_01236
ERR1913308.958672__1.958672	74426__purL
ERR1913308.958778__1.958778	166486__D4KWZ7__cph2_5
ERR1913308.958909__1.958909	357276__A0A076ISJ4__B5F95_19420
ERR1913308.959007__1.959007	853__A0A2J4JL53__CRH10_10795
ERR1913308.959077__1.959077	166486__D4KZ24__ROSINTL182_05766
ERR1913308.959217__1.959217	871324__A0A1M6HHB2__SAMN05444350_11868
ERR1913308.959260__1.959260	745368__A0A1T4YA51__SAMN02745178_02876
ERR1913308.959322__1.959322	39491__A0A396FJJ9__DXB76_11995
ERR1913308.959478__1.959478	28118__F9Z751__DHW44_02965
ERR1913308.959455__1.959455	1235835__R9LCU2__C814_02677
ERR1913308.959456__1.959456	394340__menB
ERR1913308.959555__1.959555	246787__R6KQ08__AA416_01934
ERR1913308.959649__1.959649	1150298__A0A174QNY9__ERS852498_01028
ERR1913308.959824__1.959824	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913308.959878__1.959878	28052__A0A174M4Z9__blaR1
ERR1913308.959936__1.959936	40518__R5DUJ5__DXD83_01635
ERR1913308.960028__1.960028	821__A0A396F598__CUU_3259
ERR1913308.960036__1.960036	1099853__G9S7Q1__NSB1T_02290
ERR1913308.960058__1.960058	39491__A0A396FMT0__EUBREC_3020
ERR1913308.960150__1.960150	626929__F3PIP0__B5F97_02200
ERR1913308.960130__1.960130	820__A7V9F9__B5G17_14640
ERR1913308.960142__1.960142	166486__D4KYW5__ROSINTL182_05595
ERR1913308.960629__1.960629	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913308.960632__1.960632	820__A0A139K8N1__ERS852554_00951
ERR1913308.960714__1.960714	1262746__R5SRE2__BN750_01171
ERR1913308.960727__1.960727	39491__C4Z9Y3__ERS852417_01808
ERR1913308.960903__1.960903	166486__D4KVN3__ERS852572_03944
ERR1913308.960909__1.960909	820__R9I2U8__DXC68_09590
ERR1913308.961053__1.961053	626929__R6MD77__SAMN05444376_2510
ERR1913308.961155__1.961155	820__R9HXK9__DXB62_08265
ERR1913308.961252__1.961252	410072__C0BC38__ERS852574_02017
ERR1913308.961390__1.961390	820__A0A174KKV6__DXC07_02635
ERR1913308.961461__1.961461	46228__V8C7Q2__RUMLAC_01460
ERR1913308.961755__1.961755	853__A0A174C5M1__CGS58_04460
ERR1913308.961852__1.961852	239935__R6JD78__CXU05_09250
ERR1913308.961895__1.961895	820__A0A374MMF0__HMPREF1073_03811
ERR1913308.961899__1.961899	166486__D4L2C3__ERS852572_01686
ERR1913308.961965__1.961965	39491__A0A173TM76__DXB72_10535
ERR1913308.962241__1.962241	39491__C4ZCH3__EUR_17560
ERR1913308.962337__1.962337	821__A0A174V2F3__NCTC10583_01474
ERR1913308.962550__1.962550	820__I9A4U7__DHU98_12785
ERR1913308.962589__1.962589	290052__A0A0V8QDP3__ASU35_02330
ERR1913308.962604__1.962604	820__A0A139KEW8__DXB64_06405
ERR1913308.962620__1.962620	820__A0A139KHD8__ERS417307_00569
ERR1913308.962655__1.962655	39491__A0A173TM76__DXB72_10535
ERR1913308.962913__1.962913	310298__B3JMA8__BACCOP_03059
ERR1913308.962929__1.962929	626940__E8LG47__BHW43_08400
ERR1913308.962942__1.962942	39491__C4Z8Y4__ERS852417_00909
ERR1913308.962987__1.962987	1262753__R5AZ38__BN813_01693
ERR1913308.963149__1.963149	853__A0A3E2U7E6__ERS852582_01640
ERR1913308.963210__1.963210	626940__E8LGC1__HMPREF9443_01937
ERR1913308.963215__1.963215	39491__A0A396FQV7__T1815_10751
ERR1913308.963388__1.963388	39491__A0A396FTE5__ERS852417_01346
ERR1913308.963626__1.963626	820__A0A3E4G826__C801_01612
ERR1913308.963631__1.963631	853__A0A3E2V168__FAEPRAM212_00929
ERR1913308.963740__1.963740	39491__C4Z9K7__EUBREC_0050
ERR1913308.963864__1.963864	820__A0A396EXA7__DXB37_15530
ERR1913308.963922__1.963922	820__A0A173WUD7__DXB48_08055
ERR1913308.963890__1.963890	28052__R7NA73__ERS852451_00115
ERR1913308.964002__1.964002	853__A0A173XRA8__CGS56_09290
ERR1913308.964135__1.964135	39491__A0A396FNY7__LD38_16155
ERR1913308.964242__1.964242	853__A0A173T6P2__DWZ46_14595
ERR1913308.964372__1.964372	1262777__R5WBJ1__BN512_00713
ERR1913308.964440__1.964440	1262756__R5XC86__BN568_02327
ERR1913308.964382__1.964382	820__A0A174KKV6__DXC07_02635
ERR1913308.964755__1.964755	626929__F3PGY0__SAMN05444376_1243
ERR1913308.964784__1.964784	820__A7VAR9__ERS852421_00197
ERR1913308.964790__1.964790	446660__GCA_003428235.1_00483
ERR1913308.964807__1.964807	39491__R6UMS6__DXD13_07035
ERR1913308.965069__1.965069	1262753__R5AYZ5__BN813_01435
ERR1913308.965099__1.965099	39485__A0A174Z2K9__ERS852490_02052
ERR1913308.965175__1.965175	39496__A5Z5I2__EUBVEN_00963
ERR1913308.965287__1.965287	572010__ppdK
ERR1913308.965398__1.965398	853__A0A173YYY4__DWZ04_09420
ERR1913308.965454__1.965454	853__A0A2A7B9I6__DW855_13690
ERR1913308.965480__1.965480	820__A0A139K1Y6__DXB48_02610
ERR1913308.965521__1.965521	39491__A0A395ZG74__licR
ERR1913308.965545__1.965545	301302__A0A173UN42__lytR_3
ERR1913308.965590__1.965590	39491__A0A396FJJ9__DXB76_11995
ERR1913308.965899__1.965899	823__D0TBY4__M090_0431
ERR1913308.966027__1.966027	28052__R7NF63__ERS852499_01792
ERR1913308.966073__1.966073	239935__A0A2N8HB50__CXU17_02615
ERR1913308.966202__1.966202	39485__A0A174YMC1__recN
ERR1913308.966256__1.966256	820__A0A174CK74__DXB48_07060
ERR1913308.966285__1.966285	246787__R6KIG0__BcellWH2_02358
ERR1913308.966753__1.966753	626929__F3PF45__B5F24_16795
ERR1913308.966979__1.966979	166486__C7GFB3__ERS852572_03826
ERR1913308.967091__1.967091	853__A8S882__C4N23_07600
ERR1913308.967141__1.967141	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913308.967178__1.967178	46228__V8BPQ7__HMPREF1202_02326
ERR1913308.967431__1.967431	88431__A0A173WD09__zntR_1
ERR1913308.967446__1.967446	820__A0A3E4GA19__SAMN05444418_10562
ERR1913308.967577__1.967577	39485__A0A174Z7G5__EUBELI_01168
ERR1913308.967696__1.967696	357276__I9QBT7__BSEG_03340
ERR1913308.967723__1.967723	820__A0A139KJ23__celCCA
ERR1913308.967724__1.967724	246787__A0A0P0GIS1__BcellWH2_02680
ERR1913308.968097__1.968097	46228__V8BRM9__HMPREF1202_02379
ERR1913308.968173__1.968173	818__A0A3E5GX69__NCTC13706_00796
ERR1913308.968380__1.968380	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913308.968628__1.968628	166486__D4KWT8__ERS852572_01811
ERR1913308.968800__1.968800	40518__R5DV66__DXD83_04215
ERR1913308.968871__1.968871	1796613__C6Z8X0__ADH74_11325
ERR1913308.968986__1.968986	39491__D6E408__EUBREC_1466
ERR1913308.968988__1.968988	626940__E8LD34__BHW43_10295
ERR1913308.969005__1.969005	39485__A0A174ZPH7__ERS852490_01992
ERR1913308.969012__1.969012	39491__A0A395ZBQ4__cph2_2
ERR1913308.969096__1.969096	214856__I3YPR6__Alfi_2724
ERR1913308.969101__1.969101	47678__A5ZJ80__BACCAC_02965
ERR1913308.969120__1.969120	649756__L1PU84__ERS852571_01295
ERR1913308.969152__1.969152	820__A0A3E4W9D9__B5G17_12400
ERR1913308.969178__1.969178	1262753__R5B234__BN813_01476
ERR1913308.969190__1.969190	28117__B0MXG8__ALIPUT_01814
ERR1913308.969222__1.969222	821__E5UY21__C800_02204
ERR1913308.969253__1.969253	166486__D4L458__ROSINTL182_07088
ERR1913308.969268__1.969268	28117__B0MT84__ALIPUT_00402
ERR1913308.969416__1.969416	39491__A0A395V5R3__EUBREC_1883
ERR1913308.969425__1.969425	166486__D4KYD7__ERS852572_03817
ERR1913308.969480__1.969480	853__A0A2A7B1Y7__C7K05_11930
ERR1913308.969585__1.969585	626929__F3PLK3__SAMN05444376_0455
ERR1913308.969861__1.969861	821__A0A174JYD3__ERS852457_02610
ERR1913308.970010__1.970010	1262746__R5SVF6__BN750_00768
ERR1913308.970320__1.970320	166486__R6AZI2__ydaF
ERR1913308.970694__1.970694	821__E5UY21__C800_02204
ERR1913308.970812__1.970812	853__D4JY61__C4N21_10560
ERR1913308.970993__1.970993	820__A0A3E4QZJ7__C801_01798
ERR1913308.971044__1.971044	394340__typA
ERR1913308.971176__1.971176	39491__A0A396FQV7__T1815_10751
ERR1913308.971203__1.971203	820__A0A139KJ23__celCCA
ERR1913308.971415__1.971415	853__A0A173T6P2__DWZ46_14595
ERR1913308.971574__1.971574	301302__A0A173T0N8__ERS852420_01792
ERR1913308.971618__1.971618	39491__A0A396FNY7__LD38_16155
ERR1913308.971903__1.971903	820__A7V470__HMPREF1072_02076
ERR1913308.971915__1.971915	820__A0A3E4WA06__ERS852554_03404
ERR1913308.971977__1.971977	165179__A0A174SA26__PREVCOP_05758
ERR1913308.972141__1.972141	39491__A0A395ZM93__DXD13_03490
ERR1913308.972188__1.972188	39485__C4Z6F3__EUBELI_20400
ERR1913308.972309__1.972309	820__A0A139K5A6__DXB48_12175
ERR1913308.972317__1.972317	820__A0A374Q8T2__DXB64_16190
ERR1913308.972558__1.972558	39491__A0A395ZHW3__ERS852417_01359
ERR1913308.972478__1.972478	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913308.972682__1.972682	39485__R5ZT06__EUBELI_20526
ERR1913308.972741__1.972741	820__A0A173WUD7__DXB48_08055
ERR1913308.972771__1.972771	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913308.972777__1.972777	626929__F3PER6__SAMN05444376_2494
ERR1913308.972711__1.972711	820__R9I2U8__DXC68_09590
ERR1913308.972857__1.972857	28052__R7NHJ5__ERS852499_01501
ERR1913308.972876__1.972876	46228__V8BLW9__DXD17_14090
ERR1913308.972889__1.972889	46228__V8C4J0__RUMLAC_00248
ERR1913308.973054__1.973054	39485__C4Z0T2__ykvU
ERR1913308.973175__1.973175	28052__A0A174KBY5__slyD
ERR1913308.973182__1.973182	1262948__R7EHS8__BN671_01226
ERR1913308.973195__1.973195	1262753__R5B4Q8__BN813_00281
ERR1913308.973311__1.973311	39485__A0A174ZJ84__EUBELI_00107
ERR1913308.973436__1.973436	410072__A0A173Y221__spoIIIAE
ERR1913308.973558__1.973558	1262777__R5WFR2__BN512_00234
ERR1913308.973645__1.973645	166486__D4KZ24__ROSINTL182_05766
ERR1913308.973979__1.973979	39491__D6DXZ8__DXB72_15035
ERR1913308.974481__1.974481	626929__F3PL51__B5F97_10425
ERR1913308.974487__1.974487	166486__D4KZ27__ROSINTL182_05762
ERR1913308.974619__1.974619	204516__U6R9H3__HMPREF1534_03348
ERR1913308.974905__1.974905	1262753__R5B6B4__BN813_01625
ERR1913308.975092__1.975092	28052__R7N9R4__gsiA_2
ERR1913308.975171__1.975171	47678__R5UGX6__CGC64_16275
ERR1913308.975329__1.975329	626940__E8LE65__HMPREF9443_01136
ERR1913308.975292__1.975292	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913308.975404__1.975404	853__A0A174UDE9__C4N25_12775
ERR1913308.975802__1.975802	246787__R6LGA6__tmoS_11
ERR1913308.975822__1.975822	166486__D4KVX6__ROSINTL182_06735
ERR1913308.975942__1.975942	39485__A0A174ZBK4__ERS852490_01585
ERR1913308.975881__1.975881	291644__U6RCK0__HMPREF1532_04079
ERR1913308.976015__1.976015	818__D7I7V5__BJP75_001030
ERR1913308.976049__1.976049	46228__B5CQY8__RUMLAC_01887
ERR1913308.976141__1.976141	40518__R5DPI9__DXD83_07375
ERR1913308.976227__1.976227	301302__A0A0M6WB53__mcp4_4
ERR1913308.976459__1.976459	301302__A0A0M6WRT7__ERS852420_02104
ERR1913308.976543__1.976543	626940__E8LC93__DCQ00_09725
ERR1913308.976747__1.976747	166486__D4KY48__gmr_5
ERR1913308.976864__1.976864	292800__A0A096B9D4__HMPREF0372_02292
ERR1913308.976999__1.976999	384639__GCA_003096855.1_01179
ERR1913308.977119__1.977119	166486__D4L0G5__ROSINTL182_08176
ERR1913308.977045__1.977045	39491__A0A396FRE7__EUR_27520
ERR1913308.977209__1.977209	39485__C4Z6F3__EUBELI_20400
ERR1913308.977231__1.977231	246787__R6LCL3__AA416_03522
ERR1913308.977443__1.977443	28118__F9ZCN9__DHW44_07820
ERR1913308.977550__1.977550	853__A0A173XRA8__CGS56_09290
ERR1913308.977563__1.977563	820__A0A3E4IBC1__M094_0628
ERR1913308.977585__1.977585	246787__I8V2S2__BACCELL_02524
ERR1913308.977848__1.977848	394340__metG_1
ERR1913308.977852__1.977852	1262753__R5AWK0__BN813_01056
ERR1913308.978188__1.978188	820__A7V9F9__B5G17_14640
ERR1913308.978427__1.978427	853__A0A2A7A4A9__C4N21_14870
ERR1913308.978493__1.978493	39491__A0A396FEW6__T1815_18721
ERR1913308.978602__1.978602	820__A0A139KH21__DXC80_01780
ERR1913308.978765__1.978765	39492__A0A174ZG93__EUBSIR_00254
ERR1913308.978924__1.978924	147206__GCF_000156215.1_01777
ERR1913308.979054__1.979054	166486__D4KZ45__ROSINTL182_05738
ERR1913308.979122__1.979122	39491__A0A395V1R3__T1815_08181
ERR1913308.979245__1.979245	626940__E8LDT4__rarD
ERR1913308.979326__1.979326	418240__C6JDI6__ERS852478_02871
ERR1913308.979374__1.979374	40518__R5DQJ0__DXD93_03790
ERR1913308.979513__1.979513	166486__D4KUL4__pemA
ERR1913308.979809__1.979809	291644__R5JMN9__HMPREF1532_00991
ERR1913308.979823__1.979823	28117__B0MUT8__ALIPUT_00879
ERR1913308.979771__1.979771	821__E5UY21__C800_02204
ERR1913308.979854__1.979854	39491__A0A396FJJ9__DXB76_11995
ERR1913308.979918__1.979918	1150298__A0A174GJF6__bglX_2
ERR1913308.980076__1.980076	28117__B0MZ50__ALIPUT_02424
ERR1913308.980128__1.980128	552398__F4XHU2__HMPREF0866_03196
ERR1913308.980195__1.980195	357276__A0A0M1W657__HMPREF1064_04629
ERR1913308.980233__1.980233	1262753__R5AZK1__BN813_01611
ERR1913308.980313__1.980313	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913308.980321__1.980321	39485__C4Z355__ERS852490_01971
ERR1913308.980408__1.980408	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913308.980476__1.980476	820__A7V8C2__ERS852554_01338
ERR1913308.980541__1.980541	1628085__A0A3E2XRG6__C7386_10212
ERR1913308.980566__1.980566	328814__GCA_004558275.1_00035
ERR1913308.980672__1.980672	820__A0A3E4VXP2__yesR
ERR1913308.980736__1.980736	820__A0A3E4RTP0__C801_01067
ERR1913308.980707__1.980707	552398__F4XCR9__HMPREF0866_01636
ERR1913308.980987__1.980987	39491__A0A396FBR6__DXC13_08575
ERR1913308.981062__1.981062	820__A0A374Q351__DXD40_05850
ERR1913308.981072__1.981072	1262753__R5B895__BN813_02150
ERR1913308.981107__1.981107	39491__A0A396FKI0__DXC13_11560
ERR1913308.981240__1.981240	853__A0A173XRA8__CGS56_09290
ERR1913308.981285__1.981285	39491__A0A395ZEI6__ERE_07950
ERR1913308.981358__1.981358	821__A0A174WBC9__ERS852556_03145
ERR1913308.981427__1.981427	820__A0A3E4VXP2__yesR
ERR1913308.981715__1.981715	1628085__A0A3E2XRG6__C7386_10212
ERR1913308.981740__1.981740	820__A0A173W419__DXC68_17760
ERR1913308.981913__1.981913	1262753__R5AYS2__BN813_00601
ERR1913308.981963__1.981963	39491__A0A396FSK3__ERS852417_00383
ERR1913308.982037__1.982037	1262753__R5AWK0__BN813_01056
ERR1913308.982133__1.982133	214856__A0A174EJT5__mnmA
ERR1913308.982168__1.982168	820__A0A174QLF0__SAMN05444418_109151
ERR1913308.982340__1.982340	820__A0A374QGD2__ERS852421_02382
ERR1913308.982608__1.982608	39485__A0A174YTF7__ERS852490_01271
ERR1913308.982616__1.982616	1262753__R5AYZ5__BN813_01435
ERR1913308.982760__1.982760	853__A0A2A7B9I6__DW855_13690
ERR1913308.983234__1.983234	820__A0A139KJ23__celCCA
ERR1913308.983254__1.983254	823__A0A078TL61__ERS852429_00610
ERR1913308.983611__1.983611	853__D4JY61__C4N21_10560
ERR1913308.983647__1.983647	1262930__R6AVG7__BN693_02115
ERR1913308.983796__1.983796	74426__pdxS
ERR1913308.983834__1.983834	166486__D4KZP0__ERS852572_00486
ERR1913308.983953__1.983953	39491__A0A396FNY7__LD38_16155
ERR1913308.984207__1.984207	1262753__R5B0C6__BN813_00995
ERR1913308.984165__1.984165	626940__A0A3C1IKN9__HMPREF9443_00753
ERR1913308.984278__1.984278	39485__A0A174YVS4__EUBELI_00620
ERR1913308.984294__1.984294	39491__A0A396FJJ9__DXB76_11995
ERR1913308.984375__1.984375	39491__A0A396FSR4__ERS852580_02287
ERR1913308.984429__1.984429	1150298__A0A174B7I7__ERS852535_01258
ERR1913308.984542__1.984542	328814__GCA_004558275.1_01620
ERR1913308.984649__1.984649	28117__B0MU58__BHV66_05630
ERR1913308.984659__1.984659	820__A0A174CG08__DXB62_13215
ERR1913308.984685__1.984685	291644__I9SJI5__HMPREF1532_03725
ERR1913308.984602__1.984602	165179__A0A229I7F5__DXB80_02650
ERR1913308.984749__1.984749	418240__C6JGL2__ERS852523_00030
ERR1913308.984799__1.984799	1160721__W0U4W5__BHW50_05260
ERR1913308.985092__1.985092	821__A0A0P0M2J4__DXD46_10295
ERR1913308.985138__1.985138	1262753__R5AZK1__BN813_01611
ERR1913308.985287__1.985287	1262753__R5B234__BN813_01476
ERR1913308.985294__1.985294	1262753__R5B9I0__BN813_00083
ERR1913308.985301__1.985301	823__A6LEF1__CF162_12695
ERR1913308.985367__1.985367	28117__B0MWP2__ALIPUT_01468
ERR1913308.985550__1.985550	39491__A0A396FJA4__DXB99_05435
ERR1913308.985730__1.985730	301302__R5VFU2__xynA1
ERR1913308.985916__1.985916	88431__A6BGH9__ERS852408_02691
ERR1913308.986004__1.986004	674529__A0A174P761__SAMN05444400_106145
ERR1913308.986234__1.986234	33039__A0A174ZX07__dapE_1
ERR1913308.986249__1.986249	2033406__A0A2L2WRP4__PvtlMGM2_0430
ERR1913308.986353__1.986353	1150298__A0A174QZ74__ERS852406_01102
ERR1913308.986496__1.986496	626929__F3PER7__B5F24_11615
ERR1913308.986504__1.986504	820__R9I324__HMPREF2141_02414
ERR1913308.986575__1.986575	1262753__R5AZ38__BN813_01693
ERR1913308.986808__1.986808	458033__GCA_001482755.1_02203
ERR1913308.986987__1.986987	853__A0A2A7B1Y7__C7K05_11930
ERR1913308.987023__1.987023	626929__F3PLK1__B5F97_09750
ERR1913308.987144__1.987144	820__R9I2U8__DXC68_09590
ERR1913308.987238__1.987238	39491__A0A395ZHW9__DXC13_02590
ERR1913308.987583__1.987583	39488__A0A374NU89__ERS852578_02475
ERR1913308.987661__1.987661	166486__D4L2T9__lytM
ERR1913308.987739__1.987739	39491__A0A173QT73__alaS_2
ERR1913308.988059__1.988059	820__A0A374Q854__HMPREF1073_03281
ERR1913308.988133__1.988133	39486__B0G4W7__DXD50_05105
ERR1913308.988142__1.988142	671267__R9IB12__C802_00696
ERR1913308.988179__1.988179	291644__I9T2X5__ERS852428_03729
ERR1913308.988340__1.988340	28117__B0MTW8__ALIPUT_00502
ERR1913308.988421__1.988421	1261__D3MR67__SAMN05660467_01650
ERR1913308.988813__1.988813	39485__A0A175A403__EUBELI_20577
ERR1913308.988911__1.988911	626929__F3PF45__B5F24_16795
ERR1913308.989041__1.989041	39491__A0A173QT73__alaS_2
ERR1913308.989062__1.989062	166486__D4KZ24__ROSINTL182_05766
ERR1913308.989031__1.989031	1262753__R5B331__BN813_00177
ERR1913308.989418__1.989418	626929__F3PL90__HMPREF9445_03120
ERR1913308.989432__1.989432	745368__A0A1T4Y178__SAMN02745178_02628
ERR1913308.989536__1.989536	1262753__R5AX39__BN813_01180
ERR1913308.989617__1.989617	820__A0A174G065__DXB62_08975
ERR1913308.989650__1.989650	39491__A0A396FNY7__LD38_16155
ERR1913308.989683__1.989683	28117__B0MXR1__BHV66_08035
ERR1913308.989733__1.989733	1262753__R5B504__BN813_01252
ERR1913308.989925__1.989925	820__A0A174A6K0__M093_0079
ERR1913308.989887__1.989887	166486__D4L458__ROSINTL182_07088
ERR1913308.990341__1.990341	410072__A0A173XX93__coaE
ERR1913308.990433__1.990433	626940__E8LF01__HMPREF9443_01436
ERR1913308.990455__1.990455	384638__B7APR0__BACPEC_00666
ERR1913308.990522__1.990522	820__A0A174RFI5__SAMN05444418_12240
ERR1913308.990543__1.990543	28118__R6F512__B5F99_07700
ERR1913308.990645__1.990645	820__I9J701__ERS852510_01809
ERR1913308.990604__1.990604	1262753__R5B1A0__BN813_00409
ERR1913308.990749__1.990749	39491__D6E2U1__EUBREC_3278
ERR1913308.990792__1.990792	166486__C7G8R8__ROSINTL182_06294
ERR1913308.990795__1.990795	39491__A0A396FPV7__ERS852580_01177
ERR1913308.990923__1.990923	1262753__R5B890__BN813_02145
ERR1913308.990987__1.990987	820__A0A173YYG4__evgS_3
