ERR1913290.39__1.39	28118__F9Z5N6__SAMEA44545918_01718
ERR1913290.204393__1.204393	820__A0A174CG08__DXB62_13215
ERR1913290.204480__1.204480	28116__A0A3D2LPA1__CUY_3388
ERR1913290.204684__1.204684	821__A0A3E4KIM1__M097_3660
ERR1913290.204793__1.204793	246787__A0A0P0GCR8__xynD_3
ERR1913290.204811__1.204811	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913290.204850__1.204850	823__A0A355XN73__DXC05_07000
ERR1913290.204982__1.204982	821__A0A174NM17__lacZ_6
ERR1913290.205105__1.205105	853__A0A173YYY4__DWZ04_09420
ERR1913290.205070__1.205070	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913290.205251__1.205251	106588__A6NWG1__BACCAP_02555
ERR1913290.205369__1.205369	39492__D4JR31__EUBSIR_00106
ERR1913290.205404__1.205404	674529__R6V0V1__DXB21_06395
ERR1913290.205436__1.205436	674529__R6W6H9__SAMN05444400_109129
ERR1913290.205550__1.205550	338188__A0A174ETX3__ERS852397_01955
ERR1913290.205604__1.205604	28116__A0A078Q9S5__DXD69_13430
ERR1913290.205731__1.205731	552398__T5S086__HMPREF0866_01580
ERR1913290.205825__1.205825	817__A0A2M9UV73__HMPREF1018_04087
ERR1913290.205885__1.205885	821__A0A395UNT8__DXD64_15275
ERR1913290.206048__1.206048	821__A0A396F1N0__M099_1553
ERR1913290.206156__1.206156	28116__E5CCI1__HMPREF1070_04782
ERR1913290.206188__1.206188	28117__B0MYW7__ALIPUT_02336
ERR1913290.206398__1.206398	28116__I9TDA4__BACOV975_03134
ERR1913290.206419__1.206419	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1913290.206625__1.206625	823__A0A173W1W2__M095_4076
ERR1913290.206633__1.206633	820__A0A174TRB5__DXD40_11305
ERR1913290.206639__1.206639	820__A0A374MXK3__HMPREF1072_00166
ERR1913290.206667__1.206667	823__A0A174U5E4__BDI_3390
ERR1913290.206858__1.206858	821__A0A395UNT8__DXD64_15275
ERR1913290.207289__1.207289	821__A0A174JYD3__ERS852457_02610
ERR1913290.207395__1.207395	821__A0A397WGD6__M098_0084
ERR1913290.207467__1.207467	821__A0A3E4WAR6__DXD64_10735
ERR1913290.207589__1.207589	28116__E5CHV5__B5F02_08530
ERR1913290.207733__1.207733	820__A0A174F0C1__nreB
ERR1913290.207752__1.207752	39496__A5Z6L0__EUBVEN_01343
ERR1913290.207802__1.207802	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913290.207814__1.207814	1262911__R6H1J5__BN557_00905
ERR1913290.207947__1.207947	214856__R6Z186__ERS852447_00718
ERR1913290.208059__1.208059	166486__D4L458__ROSINTL182_07088
ERR1913290.208070__1.208070	1150298__A0A174S4G4__dacB_1
ERR1913290.208285__1.208285	28116__C3QVY2__SAMN05444282_12234
ERR1913290.208464__1.208464	28116__I9ST00__M088_5588
ERR1913290.208495__1.208495	745368__A0A1T4YA51__SAMN02745178_02876
ERR1913290.208518__1.208518	28116__I9TDA4__BACOV975_03134
ERR1913290.208580__1.208580	28116__I9ST00__M088_5588
ERR1913290.208583__1.208583	357276__A0A0M1W9N4__GV66_05135
ERR1913290.208778__1.208778	246787__A0A108T831__glaB_2
ERR1913290.208960__1.208960	28116__I9ST00__M088_5588
ERR1913290.208972__1.208972	387090__S0F7Y3__BACCOPRO_02028
ERR1913290.209418__1.209418	418240__C6JAJ9__ERS852523_02796
ERR1913290.209434__1.209434	556259__E5C8S0__BSGG_1769
ERR1913290.209349__1.209349	820__A0A1T4IYF4__mprA_1
ERR1913290.209363__1.209363	371601__W6P631__B5E50_14625
ERR1913290.209376__1.209376	674529__A0A174I6X2__DXB21_05420
ERR1913290.209380__1.209380	28116__E5C5U2__HMPREF2532_02418
ERR1913290.209389__1.209389	821__A0A0P0LQT3__DXC03_05050
ERR1913290.209525__1.209525	1897011__A0A1Q6RGB4__BHW41_02795
ERR1913290.209915__1.209915	487175__F3QJ64__HMPREF9439_00964
ERR1913290.209882__1.209882	745368__A0A1T4YA51__SAMN02745178_02876
ERR1913290.209924__1.209924	28116__A0A139LL51__B5F02_01570
ERR1913290.210027__1.210027	28116__I9TDA4__BACOV975_03134
ERR1913290.210033__1.210033	28116__F7L8H9__BACOVA_00587
ERR1913290.210156__1.210156	820__A0A396EWL3__ERS417307_03868
ERR1913290.210160__1.210160	28116__A7M4E1__NCTC11153_01558
ERR1913290.210069__1.210069	820__A7UYX8__DXD40_11635
ERR1913290.210071__1.210071	357276__A0A0M1W9N4__GV66_05135
ERR1913290.210177__1.210177	674529__A0A174PUY5__SAMN05444400_103201
ERR1913290.210178__1.210178	674529__A0A174PUY5__SAMN05444400_103201
ERR1913290.210183__1.210183	821__D4VD59__BHV80_04260
ERR1913290.210458__1.210458	116085__D4J7A8__DW747_12000
ERR1913290.210394__1.210394	1897011__A0A1Q6RG85__BHW41_02670
ERR1913290.210696__1.210696	214856__R5UN64__ERS852447_02669
ERR1913290.210770__1.210770	821__U6RDC2__DXD46_15675
ERR1913290.210771__1.210771	821__U6RDC2__DXD46_15675
ERR1913290.210789__1.210789	28116__A0A1Y4P6Z8__HMPREF1069_04439
ERR1913290.210864__1.210864	821__A0A395UNT8__DXD64_15275
ERR1913290.210819__1.210819	28116__E5CHV5__B5F02_08530
ERR1913290.210931__1.210931	821__A0A396F9T7__M097_3427
ERR1913290.210890__1.210890	397865__W0ET04__BARVI_11785
ERR1913290.211082__1.211082	28117__B0MUT8__ALIPUT_00879
ERR1913290.211093__1.211093	28116__A0A395VUS9__DXD69_03560
ERR1913290.211045__1.211045	817__F7LUN2__DXB09_18300
ERR1913290.211132__1.211132	821__A0A174JYD3__ERS852457_02610
ERR1913290.211239__1.211239	35833__E5YAA4__HMPREF0179_03124
ERR1913290.211218__1.211218	28116__A0A0J9IIV5__M089_5519
ERR1913290.211334__1.211334	371601__I9AFP7__B5E52_05270
ERR1913290.211463__1.211463	28116__E5CHV5__B5F02_08530
ERR1913290.211518__1.211518	853__A0A2A7A4A9__C4N21_14870
ERR1913290.211541__1.211541	674529__R6V0V1__DXB21_06395
ERR1913290.211807__1.211807	1262743__R5C054__BN727_01980
ERR1913290.211899__1.211899	28116__F7L4X5__M089_2857
ERR1913290.212006__1.212006	821__A0A0P0L8F8__ERS852509_03705
ERR1913290.212116__1.212116	371601__C3R2J2__ERS852396_04353
ERR1913290.212124__1.212124	338188__A0A174ETX3__ERS852397_01955
ERR1913290.212061__1.212061	39492__D4JV86__spoIIE
ERR1913290.212087__1.212087	28116__R6DIL2__DXD69_10970
ERR1913290.212088__1.212088	28117__B0MY40__BHV66_05170
ERR1913290.212140__1.212140	28117__B0MWC6__BHV66_00965
ERR1913290.212184__1.212184	820__A0A3E4G2R7__DXC07_00510
ERR1913290.212237__1.212237	821__A0A3E4WAR6__DXD64_10735
ERR1913290.212334__1.212334	28116__E5C3L0__B5F02_21065
ERR1913290.212279__1.212279	310298__B3JQJ5__BACCOP_04231
ERR1913290.212464__1.212464	471189__GCA_003340385.1_00326
ERR1913290.212459__1.212459	28116__I9JM49__NCTC11153_01044
ERR1913290.212484__1.212484	28116__F7L4N5__BACOVA_00137
ERR1913290.212503__1.212503	487174__R5F016__DDY40_05675
ERR1913290.212586__1.212586	853__A0A2J4JL53__CRH10_10795
ERR1913290.212669__1.212669	357276__A0A0M1W9N4__GV66_05135
ERR1913290.212756__1.212756	74426__rpoB
ERR1913290.212725__1.212725	853__D4JY61__C4N21_10560
ERR1913290.212811__1.212811	166486__D4KWZ7__cph2_5
ERR1913290.212879__1.212879	33025__A0A395JBA9__C8D73_10486
ERR1913290.212999__1.212999	28116__A0A1Y4PWE4__M089_4352
ERR1913290.213109__1.213109	853__A0A173YYY4__DWZ04_09420
ERR1913290.213064__1.213064	310298__B3JQJ5__BACCOP_04231
ERR1913290.213173__1.213173	28116__D7J6B1__B5F02_07870
ERR1913290.213461__1.213461	446660__GCA_003428235.1_02344
ERR1913290.213534__1.213534	328814__GCA_004558275.1_00075
ERR1913290.213537__1.213537	820__A0A374MXK3__HMPREF1072_00166
ERR1913290.213581__1.213581	820__A0A139KH21__DXC80_01780
ERR1913290.213709__1.213709	28116__I8Y7V6__HMPREF1017_02728
ERR1913290.213712__1.213712	28116__A0A395VSP8__ERS852555_02642
ERR1913290.213816__1.213816	674529__A0A174I0V6__DXB21_05415
ERR1913290.213818__1.213818	821__A0A3E4HP25__SAMN04487923_102450
ERR1913290.213838__1.213838	28116__A0A1Y4Q114__DXF98_00470
ERR1913290.214052__1.214052	28116__A0A078QF71__HMPREF1070_01231
ERR1913290.214144__1.214144	28116__E5C5U2__HMPREF2532_02418
ERR1913290.214360__1.214360	1262743__R5C054__BN727_01980
ERR1913290.214667__1.214667	39488__A0A285PPV7__DXD91_14610
ERR1913290.214685__1.214685	46503__R6WTN6__PARMER_00136
ERR1913290.214729__1.214729	46503__R6X5W5__HMPREF1078_03156
ERR1913290.215019__1.215019	371601__G1UK36__HMPREF1074_03496
ERR1913290.215067__1.215067	39492__D4JSG7__EUBSIR_01006
ERR1913290.215165__1.215165	821__A0A174ALF2__BvMPK_3016
ERR1913290.215244__1.215244	371601__C3R2J2__ERS852396_04353
ERR1913290.215247__1.215247	1150298__R7JUV3__yfnB
ERR1913290.215297__1.215297	39485__A0A174ZPJ9__tig_2
ERR1913290.215460__1.215460	28116__C3QMW5__M089_4133
ERR1913290.215536__1.215536	28116__A0A1G8P076__AA414_01051
ERR1913290.215571__1.215571	821__E5UMZ6__BVU_1450
ERR1913290.215914__1.215914	387661__K6AET8__HMPREF1077_00420
ERR1913290.216283__1.216283	28116__F7L4N5__BACOVA_00137
ERR1913290.216302__1.216302	239935__A0A2N8ITX2__CXT86_11265
ERR1913290.216324__1.216324	28116__F7M1Q5__CUY_1584
ERR1913290.216331__1.216331	28116__F7L4X5__M089_2857
ERR1913290.216358__1.216358	39492__D4JWP8__EUBSIR_00699
ERR1913290.216453__1.216453	39492__R6SA81__EUBSIR_00402
ERR1913290.216608__1.216608	28116__E5C3L8__DXF98_06270
ERR1913290.216768__1.216768	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913290.216835__1.216835	821__A0A395US34__C5Z04_18975
ERR1913290.216882__1.216882	28116__I9AKR7__DXA80_22960
ERR1913290.217049__1.217049	28116__F7L4X5__M089_2857
ERR1913290.217167__1.217167	1680__A0A173XYA2__B0703_0121
ERR1913290.217230__1.217230	39488__A0A173SKQ5__DXD91_03870
ERR1913290.217274__1.217274	458033__GCA_001482755.1_02203
ERR1913290.217391__1.217391	2108523__A0A2P2F4H9__LAWASA_905
ERR1913290.217395__1.217395	820__A0A174CK74__DXB48_07060
ERR1913290.217412__1.217412	28116__I9SW74__BACOVA_04237
ERR1913290.217483__1.217483	39492__D4JR08__ERS852540_02467
ERR1913290.217602__1.217602	28117__R7JJM9__ALIPUT_00662
ERR1913290.217604__1.217604	820__A0A174TRB5__DXD40_11305
ERR1913290.217793__1.217793	821__A6L0C7__ERS852556_03520
ERR1913290.217909__1.217909	821__A6L0C7__ERS852556_03520
ERR1913290.217925__1.217925	1262911__R6H2J2__BN557_01228
ERR1913290.217947__1.217947	28116__A0A1Y4Q112__evgS_13
ERR1913290.217979__1.217979	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913290.218038__1.218038	820__A0A3E5E0T0__ERS852554_00312
ERR1913290.218060__1.218060	28116__A0A395W017__HMPREF1017_03721
ERR1913290.218204__1.218204	28116__A0A3A9HTT7__BACOVA_05446
ERR1913290.218226__1.218226	28116__A0A1Y4PVG3__imd
ERR1913290.218344__1.218344	28116__I9ST00__M088_5588
ERR1913290.218347__1.218347	39492__D4JSS4__ERS852540_02517
ERR1913290.218576__1.218576	166486__D4L456__rpfG_10
ERR1913290.218597__1.218597	39485__A0A174ZPH7__ERS852490_01992
ERR1913290.218776__1.218776	28116__A0A1Y4PHJ3__HMPREF1070_05178
ERR1913290.219010__1.219010	39492__D4MMZ8__ERS852540_01407
ERR1913290.219011__1.219011	28116__A0A1G8H1M8__DXF98_11065
ERR1913290.219205__1.219205	1897011__A0A1Q6REZ1__BHW41_04525
ERR1913290.219242__1.219242	1263044__GCA_000433375.1_01407
ERR1913290.219275__1.219275	1263044__GCA_000433375.1_01444
ERR1913290.219358__1.219358	1150298__A0A174S4G4__dacB_1
ERR1913290.219485__1.219485	214856__R6Y2Y4__ERS852447_01086
ERR1913290.219505__1.219505	1262911__R6GW73__BN557_00128
ERR1913290.219565__1.219565	214856__R6YC22__ERS852447_01215
ERR1913290.219705__1.219705	166486__D4KWT3__ROSINTL182_05973
ERR1913290.219806__1.219806	853__A0A2A7B9I6__DW855_13690
ERR1913290.219903__1.219903	328814__GCA_004558275.1_00036
ERR1913290.219946__1.219946	823__A0A174VHT1__DHP27_04775
ERR1913290.219965__1.219965	821__A0A174NVL6__NCTC10583_01782
ERR1913290.219993__1.219993	357276__A0A0K2HDP3__IY41_00705
ERR1913290.220156__1.220156	820__A0A3E5E0T0__ERS852554_00312
ERR1913290.220205__1.220205	28116__I9SW74__BACOVA_04237
ERR1913290.220296__1.220296	28116__A0A395VZB9__Bovatus_03205
ERR1913290.220483__1.220483	371601__F7LYR1__DXD03_13150
ERR1913290.220517__1.220517	821__C6Z451__BHV80_04265
ERR1913290.220678__1.220678	371601__I9ABK9__B5E50_12420
ERR1913290.220709__1.220709	823__D0T9Q9__M095_2648
ERR1913290.220733__1.220733	820__A0A3E4WCX3__C801_02709
ERR1913290.220835__1.220835	820__A0A174F696__macB_13
ERR1913290.220777__1.220777	821__E5UY21__C800_02204
ERR1913290.220939__1.220939	820__A0A139K426__B5G17_09115
ERR1913290.221122__1.221122	246787__A0A0P0FTH5__HMPREF1062_06328
ERR1913290.221141__1.221141	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913290.221143__1.221143	674529__R6V5A6__SAMN05444400_12636
ERR1913290.221326__1.221326	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913290.221407__1.221407	1150298__A0A174RJ10__ERS852535_00223
ERR1913290.221361__1.221361	371601__A0A174KGU6__CW3_4554
ERR1913290.221436__1.221436	853__A0A2A7A4A9__C4N21_14870
ERR1913290.221550__1.221550	820__A0A3E4XM43__DXC91_13960
ERR1913290.221595__1.221595	28116__A0A1Y4PVG6__Bovatus_02664
ERR1913290.222018__1.222018	1262882__R5MKV8__BN519_01281
ERR1913290.222021__1.222021	1262743__R5C054__BN727_01980
ERR1913290.222118__1.222118	823__A0A355XJT5__ERS852429_03504
ERR1913290.222168__1.222168	28116__A0A3D2LPA1__CUY_3388
ERR1913290.222310__1.222310	28116__D4WLZ3__C5Z02_24105
ERR1913290.222314__1.222314	28116__A0A078Q9S5__DXD69_13430
ERR1913290.222360__1.222360	28116__A0A1Y4PEX5__DXF98_25295
ERR1913290.222431__1.222431	28116__E5CH91__B5F02_11815
ERR1913290.222609__1.222609	820__A7V9F9__B5G17_14640
ERR1913290.222654__1.222654	556259__I0PYM3__BSGG_5385
ERR1913290.222703__1.222703	1262743__R5C054__BN727_01980
ERR1913290.222712__1.222712	28116__A0A1Y4PNX5__DXF98_26515
ERR1913290.222772__1.222772	28116__D7J6A7__NCTC11153_02798
ERR1913290.222813__1.222813	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913290.222831__1.222831	674529__R6V111__SAMN05444400_14521
ERR1913290.222874__1.222874	487174__K0WU53__DDY40_07650
ERR1913290.223050__1.223050	1150298__R7JRJ7__ERS852406_01438
ERR1913290.223234__1.223234	246787__A0A3D6ARC7__BACCELL_03328
ERR1913290.223422__1.223422	28117__B0MVL5__BHV66_01660
ERR1913290.223467__1.223467	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913290.223632__1.223632	821__A0A173XDD3__DXB82_17180
ERR1913290.223604__1.223604	823__A6LHU5__M092_0203
ERR1913290.223706__1.223706	818__A0A3E5GY47__SAMN02910322_02002
ERR1913290.223777__1.223777	28116__A0A1Y4PHJ3__HMPREF1070_05178
ERR1913290.223837__1.223837	556259__I0PXW0__BSGG_5187
ERR1913290.223866__1.223866	1263005__R6F114__BN497_00356
ERR1913290.223894__1.223894	28116__A0A1Y4Q363__Bovatus_00608
ERR1913290.223931__1.223931	820__A0A3E4W980__M093_3873
ERR1913290.223962__1.223962	821__A0A395VIK7__BVU_1225
ERR1913290.224097__1.224097	28116__A0A1Y4PZ83__DHW41_02625
ERR1913290.224369__1.224369	28116__A0A395VSP8__ERS852555_02642
ERR1913290.224377__1.224377	371601__A0A139LNL6__ERS852396_04350
ERR1913290.224384__1.224384	39492__D4JRZ7__smc
ERR1913290.224779__1.224779	246787__R6LGB3__BcellWH2_02361
ERR1913290.224859__1.224859	39492__D4JRM9__bglB_2
ERR1913290.224908__1.224908	823__A0A078SYK6__DXB14_02485
ERR1913290.225104__1.225104	28116__C3QMW5__M089_4133
ERR1913290.225150__1.225150	487174__K0WRZ5__HMPREF9448_02826
ERR1913290.225169__1.225169	28117__B0MT86__BHV66_02450
ERR1913290.225245__1.225245	28116__A0A1G6G396__DXD69_22115
ERR1913290.225250__1.225250	39491__R6TNE2__LD38_07270
ERR1913290.225359__1.225359	820__A0A173YYG4__evgS_3
ERR1913290.225375__1.225375	328814__GCA_004558275.1_02280
ERR1913290.225609__1.225609	28116__A0A395VSP8__ERS852555_02642
ERR1913290.225725__1.225725	28116__E5CH94__NCTC11153_03344
ERR1913290.225741__1.225741	28116__A0A3E5HUC8__DHW41_21025
ERR1913290.225775__1.225775	357276__A0A0K2HDP3__IY41_00705
ERR1913290.225793__1.225793	301301__A0A395V821__RHOM_13080
ERR1913290.225874__1.225874	28116__A0A1Y4PVG6__Bovatus_02664
ERR1913290.225927__1.225927	214856__R6YD52__ERS852447_02171
ERR1913290.226006__1.226006	357276__I9QBT7__BSEG_03340
ERR1913290.226223__1.226223	820__A0A139JRH8__HMPREF2141_04326
ERR1913290.226307__1.226307	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913290.226333__1.226333	28116__F7M1Q5__CUY_1584
ERR1913290.226593__1.226593	394340__acsA_2
ERR1913290.226625__1.226625	28116__A7LXU0__HMPREF1070_00358
ERR1913290.226636__1.226636	1897011__A0A1Q6RI90__BHW41_01230
ERR1913290.226689__1.226689	674529__R6V0M0__DXB21_05925
ERR1913290.227062__1.227062	28116__A7LS06__HMPREF2532_04668
ERR1913290.227106__1.227106	1535__A7VS87__CLOLEP_01425
ERR1913290.227183__1.227183	1897011__A0A1Q6RC19__BHW41_06415
ERR1913290.227395__1.227395	821__C6Z451__BHV80_04265
ERR1913290.227377__1.227377	1263107__GCA_000436995.1_00188
ERR1913290.227487__1.227487	821__A0A174JYD3__ERS852457_02610
ERR1913290.227530__1.227530	821__A0A395VIK7__BVU_1225
ERR1913290.227623__1.227623	28116__A7M018__M089_5540
ERR1913290.227707__1.227707	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913290.227872__1.227872	39485__A0A175A403__EUBELI_20577
ERR1913290.227891__1.227891	28116__A0A1Y4PWN5__M088_3731
ERR1913290.227799__1.227799	39492__D4MIK7__EUBSIR_00676
ERR1913290.227817__1.227817	28116__E5C458__BACOV975_02730
ERR1913290.227843__1.227843	28116__A0A139L6N6__HMPREF2532_02529
ERR1913290.228210__1.228210	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913290.228316__1.228316	1897011__A0A1Q6RH97__BHW41_01945
ERR1913290.228410__1.228410	674529__R6V0V1__DXB21_06395
ERR1913290.228392__1.228392	39492__D4JVG7__ERS852540_00946
ERR1913290.228441__1.228441	292800__G9YMI4__ERS852518_06919
ERR1913290.228495__1.228495	821__U6RDC2__DXD46_15675
ERR1913290.228532__1.228532	28116__A7LXT4__DXF98_03755
ERR1913290.228640__1.228640	35833__S2KT27__HMPREF0179_05324
ERR1913290.228667__1.228667	28116__C3QMW5__M089_4133
ERR1913290.228689__1.228689	817__A0A0K6BYY8__M130_4302
ERR1913290.228698__1.228698	39491__A0A174LTW7__DXD13_08720
ERR1913290.229199__1.229199	1628085__A0A396Q5P9__C7386_10870
ERR1913290.229223__1.229223	33025__A0A395J8P0__C8D73_1144
ERR1913290.229364__1.229364	28116__A7LSB9__DXF98_11950
ERR1913290.229374__1.229374	33025__A0A395J947__C8D73_11315
ERR1913290.229376__1.229376	674529__A0A174P1K0__SAMN05444400_14316
ERR1913290.229681__1.229681	745368__A0A1T4YBA4__SAMN02745178_02873
ERR1913290.229684__1.229684	853__A0A2A7B9I6__DW855_13690
ERR1913290.230022__1.230022	820__A0A374MXK3__HMPREF1072_00166
ERR1913290.230005__1.230005	823__A6LEF1__CF162_12695
ERR1913290.230272__1.230272	246787__A0A0P0GM17__BACCELL_03224
ERR1913290.230417__1.230417	357276__B6W1J2__BACDOR_03380
ERR1913290.230569__1.230569	556259__E5C6L5__BSGG_0298
ERR1913290.230724__1.230724	246787__A0A120A560__BACCELL_01375
ERR1913290.230738__1.230738	28118__F9Z3J9__B5F93_07500
ERR1913290.230742__1.230742	820__A0A139K1Y6__DXB48_02610
ERR1913290.230937__1.230937	371601__G1UK36__HMPREF1074_03496
ERR1913290.231341__1.231341	28117__B0MT86__BHV66_02450
ERR1913290.231345__1.231345	1965590__A0A1Y4GKH1__secA
ERR1913290.231420__1.231420	820__A0A174F696__macB_13
ERR1913290.231425__1.231425	821__A0A397WGD6__M098_0084
ERR1913290.231547__1.231547	28116__F7M1Q5__CUY_1584
ERR1913290.232153__1.232153	820__A0A139KHX1__HMPREF2141_00289
ERR1913290.232251__1.232251	556259__I0PYM3__BSGG_5385
ERR1913290.232289__1.232289	28116__A0A3E5HUC8__DHW41_21025
ERR1913290.232239__1.232239	214856__I3YPI7__pepD_1
ERR1913290.232463__1.232463	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913290.232571__1.232571	28116__F7L4X5__M089_2857
ERR1913290.232586__1.232586	28116__F7M1Q5__CUY_1584
ERR1913290.232715__1.232715	821__E5UMZ6__BVU_1450
ERR1913290.232852__1.232852	1150298__A0A174MSM0__toxA_2
ERR1913290.232901__1.232901	821__A0A0P0LQT3__DXC03_05050
ERR1913290.232946__1.232946	28116__I9AKR7__DXA80_22960
ERR1913290.232966__1.232966	214856__R6Y9P5__ERS852559_01811
ERR1913290.233099__1.233099	556259__E5C6L5__BSGG_0298
ERR1913290.233141__1.233141	28116__R6JI94__ERS852555_01222
ERR1913290.233329__1.233329	46503__R6WWH2__DXB85_00365
ERR1913290.233445__1.233445	823__A0A3E4P9U5__ERS852380_02719
ERR1913290.233462__1.233462	371601__G1UK36__HMPREF1074_03496
ERR1913290.233480__1.233480	556259__E5C445__BSGG_0931
ERR1913290.233565__1.233565	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913290.233695__1.233695	821__A0A396EVC9__DXB90_03525
ERR1913290.234012__1.234012	446660__GCA_003428235.1_01630
ERR1913290.234029__1.234029	39492__D4JWG3__EUBSIR_00308
ERR1913290.234147__1.234147	1150298__A0A174KDB8__psd
ERR1913290.234185__1.234185	853__A0A3E2U7E6__ERS852582_01640
ERR1913290.234212__1.234212	28116__I8Y7V6__HMPREF1017_02728
ERR1913290.234298__1.234298	28116__C3QMW5__M089_4133
ERR1913290.234339__1.234339	39492__D4JWI6__EUBSIR_01073
ERR1913290.234465__1.234465	820__A0A174M9V5__M093_0237
ERR1913290.234476__1.234476	823__A0A173VPM3__DHW69_17170
ERR1913290.234599__1.234599	820__A0A3E4VZT7__DXB48_16145
ERR1913290.234704__1.234704	166486__D4L0J8__ROSINTL182_08089
ERR1913290.234724__1.234724	823__A0A174LDE8__M096_3277
ERR1913290.234752__1.234752	821__C6ZAA5__ERS852556_00403
ERR1913290.234820__1.234820	74426__nifJ
ERR1913290.234951__1.234951	357276__I8VN30__HMPREF1065_03051
ERR1913290.235055__1.235055	28118__R6FBE6__DHW44_11635
ERR1913290.235185__1.235185	360807__C0FSM3__ROSEINA2194_01739
ERR1913290.235234__1.235234	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913290.235322__1.235322	823__D7ILK2__ERS852380_00031
ERR1913290.235352__1.235352	817__F7LL02__M110_0756
ERR1913290.235415__1.235415	671267__R9IB12__C802_00696
ERR1913290.235385__1.235385	556259__I0PYM3__BSGG_5385
ERR1913290.235563__1.235563	28116__A0A395VUS9__DXD69_03560
ERR1913290.235521__1.235521	39492__D4JTK2__EUBSIR_01439
ERR1913290.235534__1.235534	371601__D7IYQ1__BN890_32720
ERR1913290.235629__1.235629	371601__A0A139LNL6__ERS852396_04350
ERR1913290.235678__1.235678	817__A0A2M9V5A2__BF638R_1290
ERR1913290.235684__1.235684	556259__E5C690__BSGG_1431
ERR1913290.235756__1.235756	28116__A0A078Q9S5__DXD69_13430
ERR1913290.235868__1.235868	821__A0A395UNT8__DXD64_15275
ERR1913290.236074__1.236074	487175__R6A8J0__HMPREF9439_01209
ERR1913290.236139__1.236139	39485__A0A174Z851__cdaR_1
ERR1913290.236190__1.236190	28116__A7LXT4__DXF98_03755
ERR1913290.236261__1.236261	28116__A7M019__HMPREF1070_01109
ERR1913290.236648__1.236648	46503__R6Y4M7__HMPREF1078_03269
ERR1913290.236652__1.236652	853__A0A2A7AXC8__C4N21_14120
ERR1913290.236734__1.236734	28116__A0A1Y4PEX5__DXF98_25295
ERR1913290.236691__1.236691	1150298__A0A174L2G3__ERS852498_01371
ERR1913290.236694__1.236694	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913290.236695__1.236695	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913290.236757__1.236757	556259__E5C690__BSGG_1431
ERR1913290.236881__1.236881	820__I9TWZ7__DXC80_10550
ERR1913290.236903__1.236903	310298__B3JFI7__BACCOP_00636
ERR1913290.237025__1.237025	1262882__R5N1M9__BN519_00768
ERR1913290.237366__1.237366	246787__A0A108TGC9__BACCELL_01371
ERR1913290.237452__1.237452	371601__G1UK36__HMPREF1074_03496
ERR1913290.237567__1.237567	246787__A0A3D6ARC7__BACCELL_03328
ERR1913290.237689__1.237689	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913290.238054__1.238054	28116__F7LC60__AA414_00422
ERR1913290.238012__1.238012	39488__A0A173T9I3__EHLA_2994
ERR1913290.238231__1.238231	28116__A0A395VSP8__ERS852555_02642
ERR1913290.238190__1.238190	1150298__A0A174D6N6__accB
ERR1913290.238203__1.238203	246787__A0A0N7IFC5__HMPREF1062_01960
ERR1913290.238389__1.238389	28116__A0A395W017__HMPREF1017_03721
ERR1913290.238361__1.238361	28116__A0A1Y4Q367__ERS852555_04706
ERR1913290.238434__1.238434	1150298__A0A174R4D7__tmpC_2
ERR1913290.238451__1.238451	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913290.238459__1.238459	39491__A0A395ZGU6__ERS852417_01456
ERR1913290.238487__1.238487	28116__E5CH90__M089_2359
ERR1913290.238550__1.238550	28116__A7M4E1__NCTC11153_01558
ERR1913290.238559__1.238559	821__A0A174V2F3__NCTC10583_01474
ERR1913290.238617__1.238617	674529__R6V0V1__DXB21_06395
ERR1913290.238746__1.238746	214851__D1PSM7__SUBVAR_07410
ERR1913290.238875__1.238875	214856__R5UN64__ERS852447_02669
ERR1913290.238890__1.238890	328814__GCA_004558275.1_02280
ERR1913290.238996__1.238996	28116__A0A1Y4Q119__DXD69_10975
ERR1913290.239096__1.239096	387090__S0F7Y3__BACCOPRO_02028
ERR1913290.239131__1.239131	1150298__A0A174CCD5__ERS852406_01310
ERR1913290.239242__1.239242	821__A0A395UNT8__DXD64_15275
ERR1913290.239291__1.239291	214856__R6Y6H8__ERS852447_01719
ERR1913290.239516__1.239516	28116__A0A078Q626__HMPREF1070_02735
ERR1913290.239553__1.239553	821__A0A0P0LNX8__ERS852509_03015
