ERR1913176.458__1.458	818__A0A0P0F391__BJP75_009470
ERR1913176.464394__1.464394	1262992__R5D749__BN795_01063
ERR1913176.464432__1.464432	1262927__R7EW59__BN677_01089
ERR1913176.464611__1.464611	47678__R5U2W6__CGC64_03455
ERR1913176.464662__1.464662	28118__F9Z8K4__Odosp_0843
ERR1913176.464863__1.464863	310297__B5CUD7__BHV76_11070
ERR1913176.464921__1.464921	820__A0A139K9Q2__DXD40_08795
ERR1913176.465195__1.465195	28117__B0MY41__BHV66_05165
ERR1913176.465204__1.465204	999425__A0A3E4UE28__HMPREF9186_02092
ERR1913176.465213__1.465213	820__A0A3E4IBC1__M094_0628
ERR1913176.465334__1.465334	88431__A0A174LBC0__DORLON_00105
ERR1913176.465345__1.465345	357276__A0A076IN30__DXD47_09350
ERR1913176.465388__1.465388	1897011__A0A1Q6REW8__BHW41_04435
ERR1913176.465412__1.465412	46506__B0NU77__AA415_02810
ERR1913176.465453__1.465453	820__A0A173WUD7__DXB48_08055
ERR1913176.465764__1.465764	310297__R5VHY5__DXD04_12265
ERR1913176.465855__1.465855	820__A0A396EUV1__B5G17_06465
ERR1913176.466286__1.466286	1897011__A0A1Q6RG85__BHW41_02670
ERR1913176.466295__1.466295	387090__S0F8B2__BACCOPRO_02129
ERR1913176.466428__1.466428	360807__A0A396AIC7__ERS852392_01627
ERR1913176.466500__1.466500	46506__A0A108TAK3__fepA_3
ERR1913176.466456__1.466456	1262927__R7F075__BN677_01562
ERR1913176.466588__1.466588	853__A0A173RZ39__C4N22_01650
ERR1913176.466539__1.466539	853__A0A3E2U7E6__ERS852582_01640
ERR1913176.466728__1.466728	487174__K0XG34__HMPREF9448_02234
ERR1913176.466791__1.466791	239935__A0A2N8IRW0__A4V05_11620
ERR1913176.466832__1.466832	2108523__A0A2P2F3I3__LAWASA_548
ERR1913176.466852__1.466852	28117__B0MY40__BHV66_05170
ERR1913176.466945__1.466945	46506__B0NU77__AA415_02810
ERR1913176.466992__1.466992	1263006__R6LI44__BN515_01329
ERR1913176.467120__1.467120	1263006__R6LPA6__BN515_01864
ERR1913176.467382__1.467382	1263006__R6LJG8__BN515_01754
ERR1913176.467456__1.467456	1263006__R6LND6__BN515_01578
ERR1913176.467741__1.467741	310297__B5CXG7__DXD04_11450
ERR1913176.467752__1.467752	310297__B5D038__BACPLE_02359
ERR1913176.467813__1.467813	1263006__R6LU28__BN515_01365
ERR1913176.467862__1.467862	46506__S3YS03__DXC34_03445
ERR1913176.468162__1.468162	823__A0A355XKQ8__DHP27_04010
ERR1913176.468206__1.468206	487174__K0WZU7__HMPREF9448_01154
ERR1913176.468372__1.468372	1263109__GCA_000438135.1_01182
ERR1913176.468441__1.468441	1263006__R6LUX0__BN515_01610
ERR1913176.468563__1.468563	28118__R6FCJ1__mro_4
ERR1913176.468592__1.468592	310297__R5VE18__DXD04_14500
ERR1913176.468652__1.468652	28117__B0MWH8__BHV66_01330
ERR1913176.468746__1.468746	28117__B0MXG8__ALIPUT_01814
ERR1913176.468843__1.468843	328814__GCA_004558275.1_00056
ERR1913176.469069__1.469069	239935__R6JAS2__CXU02_10725
ERR1913176.469516__1.469516	310297__R5VXY5__DXB87_12985
ERR1913176.469598__1.469598	357276__A0A1Y4PPG2__B5F95_02305
ERR1913176.469699__1.469699	745368__A0A1T4XXN7__SAMN02745178_02496
ERR1913176.469832__1.469832	39491__A0A396FFW0__ERE_10580
ERR1913176.469839__1.469839	46506__B0NUC3__SAMN05444283_1019
ERR1913176.469999__1.469999	820__A7V780__adaA_3
ERR1913176.470000__1.470000	39488__A0A285PTC0__ERS852450_00543
ERR1913176.470070__1.470070	328814__GCA_004558275.1_00035
ERR1913176.470098__1.470098	853__D4JY61__C4N21_10560
ERR1913176.470148__1.470148	328813__A0A1Y3QQL4__B5G41_13930
ERR1913176.470179__1.470179	239935__A0A2N8IRH4__CXT92_05605
ERR1913176.470300__1.470300	310297__R5VHE6__BACPLE_02321
ERR1913176.470314__1.470314	246787__R6KUE5__BcellWH2_01117
ERR1913176.470317__1.470317	28111__E5WZR2__HMPREF1016_02168
ERR1913176.470387__1.470387	46228__B5CPY3__DXD17_03535
ERR1913176.470453__1.470453	328814__GCA_004558275.1_00056
ERR1913176.470598__1.470598	357276__I9QBT7__BSEG_03340
ERR1913176.470807__1.470807	817__Q64Q09__DXB79_11395
ERR1913176.470888__1.470888	310297__R5W7P0__mreD
ERR1913176.471070__1.471070	818__A0A0P0FSA3__ERS852557_00283
ERR1913176.471132__1.471132	310297__R5VBJ5__DXC17_12085
ERR1913176.471211__1.471211	310297__R5VBY3__DXC17_13855
ERR1913176.471256__1.471256	853__A0A2A7A628__CGS57_13755
ERR1913176.471377__1.471377	28117__B0MYI9__BHV66_05415
ERR1913176.471429__1.471429	1263107__GCA_000436995.1_00015
ERR1913176.471526__1.471526	818__A0A3E5HY51__rpfC_2
ERR1913176.471528__1.471528	310297__R5VRJ6__DXC17_13755
ERR1913176.471715__1.471715	46506__A0A108TAK3__fepA_3
ERR1913176.471855__1.471855	310297__B5CZI0__BACPLE_02145
ERR1913176.471878__1.471878	847__C3X7C2__BRW84_10185
ERR1913176.471903__1.471903	246787__R6KBH9__HMPREF1062_04676
ERR1913176.472090__1.472090	1262986__R6AVN1__BN492_00429
ERR1913176.472125__1.472125	46506__S3YGB4__DXC41_06355
ERR1913176.472162__1.472162	246787__A0A0P0GMR5__HMPREF1062_04678
ERR1913176.472176__1.472176	1263000__R5EKR3__BN466_00099
ERR1913176.472220__1.472220	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913176.472265__1.472265	357276__I9QWD4__DXD47_15075
ERR1913176.472283__1.472283	46506__B0NMY5__AA415_00377
ERR1913176.472293__1.472293	166486__D4L255__mcp4_5
ERR1913176.472303__1.472303	357276__B6W1Y1__BSEG_03960
ERR1913176.472356__1.472356	328814__GCA_004558275.1_00234
ERR1913176.472400__1.472400	39491__A0A173VH71__ERS852497_01827
ERR1913176.472412__1.472412	1262911__R6H0U7__BN557_01104
ERR1913176.472489__1.472489	823__A0A395YZ10__NCTC11152_02955
ERR1913176.472908__1.472908	1262927__R7EXX8__BN677_01903
ERR1913176.472983__1.472983	1263000__R5ESM1__BN466_01440
ERR1913176.473170__1.473170	820__A0A173WUD7__DXB48_08055
ERR1913176.473217__1.473217	246787__A0A108T1Y3__fepA_8
ERR1913176.473221__1.473221	310297__B5CWN5__DXD04_07295
ERR1913176.473274__1.473274	310297__R5VT57__BACPLE_00602
ERR1913176.473411__1.473411	1535__A7VT77__CLOLEP_01768
ERR1913176.473516__1.473516	818__A0A3E5HNR9__BSIG_1712
ERR1913176.473537__1.473537	46506__A0A108T991__AA415_01433
ERR1913176.473737__1.473737	410072__C0BB27__ERS852525_01089
ERR1913176.473756__1.473756	394340__guaA_1
ERR1913176.474045__1.474045	357276__I9R4T1__IY41_06800
ERR1913176.474116__1.474116	301301__A0A395VBK1__RHOM_05255
ERR1913176.474606__1.474606	1160721__W0U5X6__RBI_I01796
ERR1913176.474674__1.474674	1263000__R5ESM1__BN466_01440
ERR1913176.474661__1.474661	387090__S0F8B2__BACCOPRO_02129
ERR1913176.474762__1.474762	328814__GCA_004558275.1_00997
ERR1913176.474797__1.474797	74426__pta
ERR1913176.474812__1.474812	46506__S3YVT5__BACSTE_02352
ERR1913176.474927__1.474927	28117__B0MXG8__ALIPUT_01814
ERR1913176.474992__1.474992	1160721__R6T2L9__BHW50_11315
ERR1913176.474993__1.474993	1263006__R6LUR7__BN515_01572
ERR1913176.475001__1.475001	1150298__A0A174AP40__ERS852535_01165
ERR1913176.475232__1.475232	818__A0A3E5HHE1__Btheta7330_00796
ERR1913176.475264__1.475264	1160721__R6TH97__BHW50_04165
ERR1913176.475486__1.475486	818__A0A3E5HNR9__BSIG_1712
ERR1913176.475759__1.475759	1862668__GCA_001945525.1_00498
ERR1913176.475826__1.475826	1262986__R5ZUP0__BN492_01284
ERR1913176.476171__1.476171	46506__R6AEP1__HMPREF1181_01415
ERR1913176.476218__1.476218	28117__B0MVL5__BHV66_01660
ERR1913176.476292__1.476292	47678__R5UZM4__DW706_15680
ERR1913176.476381__1.476381	394340__gatA
ERR1913176.476396__1.476396	39491__A0A173VYV1__DXC13_02710
ERR1913176.476418__1.476418	357276__I8WPR6__EL88_06675
ERR1913176.476623__1.476623	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913176.476626__1.476626	820__A0A3E4WCC2__lptB_1
ERR1913176.476600__1.476600	823__E1YT73__NCTC11152_02675
ERR1913176.476942__1.476942	1160721__R6T617__truA
ERR1913176.477011__1.477011	1262886__R6Q7C7__BN563_00709
ERR1913176.477028__1.477028	28117__R7JR95__ALIPUT_01367
ERR1913176.477112__1.477112	328814__GCA_004558275.1_00835
ERR1913176.477183__1.477183	820__A0A173XIP7__B5G17_16050
ERR1913176.477239__1.477239	310297__B5CXG7__DXD04_11450
ERR1913176.477269__1.477269	28117__B0MUB4__BHV66_01895
ERR1913176.477289__1.477289	818__A0A3E5HGB5__ERS852511_02145
ERR1913176.477340__1.477340	1263006__R6LND6__BN515_01578
ERR1913176.477547__1.477547	39491__A0A173QT73__alaS_2
ERR1913176.477822__1.477822	246787__R6KQ08__AA416_01934
ERR1913176.477825__1.477825	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913176.477895__1.477895	328814__GCA_004558275.1_00239
ERR1913176.477909__1.477909	246787__A0A0P0GUU5__BACCELL_02894
ERR1913176.478034__1.478034	47678__A5ZL09__BACCAC_03608
ERR1913176.478134__1.478134	310297__B5CZW4__BACPLE_02283
ERR1913176.478367__1.478367	28117__B0MU76__ALIPUT_00202
ERR1913176.478341__1.478341	106588__A6NUL8__BACCAP_01900
ERR1913176.478375__1.478375	569__A0A2J9H0L8__CD201_05345
ERR1913176.478587__1.478587	1308__A0A2X3WPE2__CDA68_01375
ERR1913176.478701__1.478701	239935__R6JD78__CXU05_09250
ERR1913176.478962__1.478962	28117__B0MY45__ALIPUT_02164
ERR1913176.478992__1.478992	569__A0A377P4J5__eutK
ERR1913176.479050__1.479050	853__A0A2A7A628__CGS57_13755
ERR1913176.479597__1.479597	1262886__R6RDI4__BN563_00643
ERR1913176.479699__1.479699	246787__A0A108T1Y3__fepA_8
ERR1913176.479897__1.479897	246787__R6KDR9__BcellWH2_02360
ERR1913176.480161__1.480161	310297__B5CWQ0__DXB87_14670
ERR1913176.480247__1.480247	28052__A0A174GZE8__ERS852451_00311
ERR1913176.480311__1.480311	28117__B0MYP3__BHV66_04995
ERR1913176.480275__1.480275	357276__A0A076J726__IY41_15030
ERR1913176.480398__1.480398	1897011__A0A1Q6RBR9__BHW41_06830
ERR1913176.480622__1.480622	371601__D4VH76__rhaR_1
ERR1913176.480798__1.480798	820__R9I3Q7__HMPREF1072_01668
ERR1913176.480761__1.480761	1150298__A0A174SLE6__mlc_1
ERR1913176.480974__1.480974	246787__A0A3D6AZF8__BACCELL_02529
ERR1913176.481139__1.481139	823__A6L9D3__ERS852560_03374
ERR1913176.481179__1.481179	310298__B3JQJ5__BACCOP_04231
ERR1913176.481161__1.481161	1535__A7VS87__CLOLEP_01425
ERR1913176.481169__1.481169	357276__A0A076IXE0__HMPREF1064_04364
ERR1913176.481311__1.481311	821__A0A0P0M6M0__M097_4734
ERR1913176.481318__1.481318	853__A8SB03__C4Q21_07960
ERR1913176.481506__1.481506	1897011__A0A1Q6RH61__BHW41_01970
ERR1913176.481549__1.481549	820__A0A3E4VXP2__yesR
ERR1913176.481752__1.481752	823__K6AMD2__B5F32_04565
ERR1913176.481778__1.481778	246787__A0A3D6AWM8__BACCELL_01963
ERR1913176.481939__1.481939	246787__E2NH87__BcellWH2_04496
ERR1913176.481985__1.481985	46503__R6Y0Q3__DCY29_15880
ERR1913176.482131__1.482131	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913176.482207__1.482207	246787__R6LGB3__BcellWH2_02361
ERR1913176.482260__1.482260	818__A0A0P0F004__SAMN02910322_02925
ERR1913176.482265__1.482265	1263000__R5EUG9__BN466_01476
ERR1913176.482475__1.482475	310297__R5VT57__BACPLE_00602
ERR1913176.482492__1.482492	820__A7V092__hldE
ERR1913176.482627__1.482627	1160721__R6SW95__BHW50_08895
ERR1913176.482897__1.482897	818__A0A139KQP8__BJP75_006755
ERR1913176.482932__1.482932	310297__B5D3X3__DXB87_14935
ERR1913176.483162__1.483162	301301__A0A395V8E1__RHOM_11160
ERR1913176.483238__1.483238	310297__B5CZW4__BACPLE_02283
ERR1913176.483363__1.483363	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913176.483449__1.483449	820__A0A139K4T0__ERS852510_03146
ERR1913176.483686__1.483686	46503__R6X0P0__DXB61_03855
ERR1913176.483764__1.483764	246787__A0A3D6AWJ7__AA416_00506
ERR1913176.484043__1.484043	1263006__R6LLQ1__BN515_01046
ERR1913176.484061__1.484061	310297__B5CW17__DXC17_13800
ERR1913176.484121__1.484121	552398__T5S086__HMPREF0866_01580
ERR1913176.484162__1.484162	1262777__R5VJ30__BN512_00110
ERR1913176.484254__1.484254	818__A0A3E5HK02__BSIG_1732
ERR1913176.484594__1.484594	310297__B5CV67__DXD04_03690
ERR1913176.484609__1.484609	47678__R5U2W6__CGC64_03455
ERR1913176.484689__1.484689	338188__R6D6U2__ERS852397_02840
ERR1913176.484805__1.484805	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913176.484821__1.484821	820__A0A173WZS4__DXD90_10250
ERR1913176.484836__1.484836	820__A0A139K337__ERS852459_02375
ERR1913176.485078__1.485078	818__A0A3E5HHL6__C799_04659
ERR1913176.485180__1.485180	1263109__GCA_000438135.1_00941
ERR1913176.485240__1.485240	1613__A0A158SNX4__LFL930BB_00795
ERR1913176.485261__1.485261	820__R9HXK9__DXB62_08265
ERR1913176.485458__1.485458	46506__B0NMY5__AA415_00377
ERR1913176.485518__1.485518	1304__D0EMA3__CKU37_11015
ERR1913176.485526__1.485526	292800__A0A174V8M0__A4U99_15280
ERR1913176.485630__1.485630	818__A0A3E5HE16__C5Z03_22745
ERR1913176.485763__1.485763	28117__B0MWP2__ALIPUT_01468
ERR1913176.485711__1.485711	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913176.485891__1.485891	292800__A0A1C7FR40__ERS852518_06781
ERR1913176.485879__1.485879	820__A0A3E4IBC1__M094_0628
ERR1913176.486137__1.486137	544645__A0A3E4T3I1__DXC42_11810
ERR1913176.486310__1.486310	46506__A0A108TAK3__fepA_3
ERR1913176.486516__1.486516	246787__R6KUE5__BcellWH2_01117
ERR1913176.486649__1.486649	394340__gyrB
ERR1913176.486663__1.486663	818__Q8AAE0__Btheta7330_02023
ERR1913176.486795__1.486795	394340__nrdD
ERR1913176.486829__1.486829	820__A0A174P0L5__glcK_3
ERR1913176.486883__1.486883	1262886__R6QNZ2__BN563_00672
ERR1913176.486910__1.486910	46228__V8C5S1__RUMLAC_02063
ERR1913176.486917__1.486917	1263006__R6LPZ5__BN515_02090
ERR1913176.487035__1.487035	39488__A0A173RDQ1__EUBHAL_02348
ERR1913176.487040__1.487040	328814__GCA_004558275.1_00035
ERR1913176.487103__1.487103	40520__A0A395XDY5__ERS852394_00913
ERR1913176.487139__1.487139	46506__B0NT08__BACSTE_02624
ERR1913176.487165__1.487165	818__A0A139KMR0__Btheta7330_03958
ERR1913176.487221__1.487221	820__A0A173WUD7__DXB48_08055
ERR1913176.487176__1.487176	820__A0A3E4G493__ERS417307_00253
ERR1913176.487246__1.487246	357276__A0A0M1W657__HMPREF1064_04629
ERR1913176.487402__1.487402	46506__B0NP81__SAMN05444283_10688
ERR1913176.487746__1.487746	357276__A0A076IN30__DXD47_09350
ERR1913176.487759__1.487759	239935__A0A139TQT9__Amuc_1197
ERR1913176.487760__1.487760	1262761__R6QN52__BN606_00884
ERR1913176.487952__1.487952	239935__A0A2N8IMC3__CXT96_03840
ERR1913176.488339__1.488339	1262886__R6QCG3__BN563_00145
ERR1913176.488441__1.488441	357276__I8WDF1__B5F00_02455
ERR1913176.488500__1.488500	820__A0A3E4RU03__M093_0563
ERR1913176.488667__1.488667	28117__B0MXW9__ALIPUT_01981
ERR1913176.488755__1.488755	820__A0A174CG08__DXB62_13215
ERR1913176.488799__1.488799	820__A0A3E4W4Y7__B5G17_02055
ERR1913176.488821__1.488821	329854__R7E733__DXD57_00120
ERR1913176.488781__1.488781	28116__A0A1Y4Q112__evgS_13
ERR1913176.488883__1.488883	357276__A0A0M1W9N4__GV66_05135
ERR1913176.488901__1.488901	310297__B5D038__BACPLE_02359
ERR1913176.489064__1.489064	47678__A5ZHL2__DXB67_12495
ERR1913176.489090__1.489090	1343__W3XWF0__DXC09_03495
ERR1913176.489189__1.489189	1263006__R6LMV9__BN515_01406
ERR1913176.489271__1.489271	28117__B0MU76__ALIPUT_00202
ERR1913176.489318__1.489318	28117__B0MY40__BHV66_05170
ERR1913176.489325__1.489325	246787__A0A0P0GCR8__xynD_3
ERR1913176.489298__1.489298	371601__A0A1C7H1Z9__BN890_35950
ERR1913176.489602__1.489602	820__A0A374Q854__HMPREF1073_03281
ERR1913176.489622__1.489622	301301__A0A174AM08__gluP_1
ERR1913176.489704__1.489704	301301__A0A395V9S1__RHOM_03365
ERR1913176.489926__1.489926	28052__A0A174K6D6__ERS852451_01708
ERR1913176.489992__1.489992	552398__F4XHU2__HMPREF0866_03196
ERR1913176.490116__1.490116	28111__E5WZR2__HMPREF1016_02168
ERR1913176.490119__1.490119	28117__R7JQW0__ALIPUT_01453
ERR1913176.490198__1.490198	1262986__R5ZUP0__BN492_01284
ERR1913176.490395__1.490395	1262927__R7F3W3__BN677_00642
ERR1913176.490619__1.490619	310297__R5VBJ5__DXC17_12085
ERR1913176.490711__1.490711	46506__S3YGB4__DXC41_06355
ERR1913176.490889__1.490889	310297__B5CXG7__DXD04_11450
ERR1913176.490908__1.490908	310297__B5CV67__DXD04_03690
ERR1913176.491154__1.491154	33025__A0A395JBA6__C8D73_1039
ERR1913176.491200__1.491200	1308__A0A0A7HF73__Y016_04810
ERR1913176.491196__1.491196	853__A0A174UDE9__C4N25_12775
ERR1913176.491268__1.491268	39485__A0A174YVL0__xynZ_2
ERR1913176.491279__1.491279	46506__B0NM94__HMPREF1181_03250
ERR1913176.491560__1.491560	820__A0A374Q351__DXD40_05850
ERR1913176.491572__1.491572	1262986__R5ZW93__BN492_01240
ERR1913176.491497__1.491497	818__A0A0N7I9M6__Btheta7330_00939
ERR1913176.491819__1.491819	46506__R6LDN0__HMPREF1181_03103
ERR1913176.491798__1.491798	246787__A0A3D6AV26__BcellWH2_02579
ERR1913176.491913__1.491913	46506__B0NM94__HMPREF1181_03250
ERR1913176.492026__1.492026	46506__A0A108TBL0__BACSTE_01998
ERR1913176.492175__1.492175	572010__nrdD
ERR1913176.492230__1.492230	1262927__R7F143__BN677_00295
ERR1913176.492262__1.492262	301301__A0A395V5B0__ERS852391_02078
ERR1913176.492245__1.492245	1263107__GCA_000436995.1_00213
ERR1913176.492610__1.492610	1304__J7SIV6__pspA_3
ERR1913176.492617__1.492617	1535__G9RWN9__CH238_11575
ERR1913176.492624__1.492624	301301__A0A395V9V0__RHOM_01245
ERR1913176.492660__1.492660	246787__R6LCC2__BACCELL_00607
ERR1913176.492987__1.492987	246787__A0A0P0GPP9__BACCELL_01902
ERR1913176.493109__1.493109	310297__R5W0Z1__BACPLE_02183
ERR1913176.493191__1.493191	112023__GeneID:1262632
ERR1913176.493286__1.493286	310297__B5CXJ7__DXB87_06645
ERR1913176.493497__1.493497	1897011__A0A1Q6REW8__BHW41_04435
ERR1913176.493567__1.493567	823__A0A069SAX6__ERS852380_00710
ERR1913176.493644__1.493644	853__A0A2A7A4A9__C4N21_14870
ERR1913176.493703__1.493703	310297__R5VHE6__BACPLE_02321
ERR1913176.493713__1.493713	1262761__R6RZF9__BN606_01803
ERR1913176.493784__1.493784	40520__A0A3E5EGR0__DXC87_08980
ERR1913176.493835__1.493835	328814__GCA_004558275.1_01002
ERR1913176.493852__1.493852	1262761__R6QWS5__BN606_02019
ERR1913176.493862__1.493862	853__A0A329UEG4__CHR60_00585
ERR1913176.494076__1.494076	46506__B0NSD0__HMPREF1181_00408
ERR1913176.494111__1.494111	39496__A5Z889__EUBVEN_01929
ERR1913176.494127__1.494127	823__A6LHJ7__ERS852380_00253
ERR1913176.494317__1.494317	820__R9I3Q7__HMPREF1072_01668
ERR1913176.494621__1.494621	46506__B0NPF6__BACSTE_01357
ERR1913176.494584__1.494584	1160721__R6T617__truA
ERR1913176.494692__1.494692	1150298__A0A174TDE7__ERS852535_00299
ERR1913176.494742__1.494742	246787__R6KIG0__BcellWH2_02358
ERR1913176.494750__1.494750	214856__R6YC22__ERS852447_01215
ERR1913176.494760__1.494760	820__A0A3E4W984__pssA
ERR1913176.494781__1.494781	239935__B2URG9__CXU00_11290
ERR1913176.494843__1.494843	28117__B0MXD0__ALIPUT_01669
ERR1913176.494903__1.494903	28118__R6FI57__DF785_14020
ERR1913176.495097__1.495097	487174__K0WV13__DIT83_10890
ERR1913176.495138__1.495138	487174__K0X1V7__DIT83_03020
ERR1913176.495307__1.495307	310297__R5VXY5__DXB87_12985
ERR1913176.495387__1.495387	301301__A0A395V683__RHOM_00495
ERR1913176.495608__1.495608	487174__K0X109__DDY40_03235
ERR1913176.495681__1.495681	387090__S0F8B2__BACCOPRO_02129
ERR1913176.495728__1.495728	28117__B0MTH2__ALIPUT_00061
ERR1913176.495807__1.495807	246787__A0A0P0G254__axeA1_2
ERR1913176.495848__1.495848	33038__A7AZT7__RUMGNA_00811
ERR1913176.495849__1.495849	1262783__R6CYT7__BN558_01276
ERR1913176.495888__1.495888	1263006__R6LYS1__BN515_01485
ERR1913176.496287__1.496287	820__A0A174M9V5__M093_0237
ERR1913176.496388__1.496388	328814__GCA_004558275.1_00993
ERR1913176.496414__1.496414	301301__A0A395VAL3__mcp2_2
ERR1913176.496525__1.496525	1432052__A0A1E3AJ28__BEI64_02250
ERR1913176.496935__1.496935	820__A0A3E4PYB0__yejM
ERR1913176.496974__1.496974	357276__I9R002__HMPREF1064_01826
ERR1913176.496976__1.496976	310297__B5CYH8__BHV76_07815
ERR1913176.496996__1.496996	1262927__R7EXG0__BN677_01561
ERR1913176.497175__1.497175	820__R9I3Q7__HMPREF1072_01668
ERR1913176.497181__1.497181	28117__B0MU76__ALIPUT_00202
ERR1913176.497192__1.497192	1262886__R6QMU0__BN563_00355
ERR1913176.497337__1.497337	39491__A0A396FNY7__LD38_16155
ERR1913176.497428__1.497428	820__A0A3E4FZM1__adaA_2
ERR1913176.497465__1.497465	820__A0A174LJB2__HMPREF1072_04112
ERR1913176.497471__1.497471	310297__B5CUD7__BHV76_11070
ERR1913176.497603__1.497603	246787__A0A0P0G254__axeA1_2
ERR1913176.497688__1.497688	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913176.497858__1.497858	1304__A0A074J0C2__V471_05910
ERR1913176.497927__1.497927	387090__S0F7Y3__BACCOPRO_02028
ERR1913176.498003__1.498003	28117__B0MXL6__ALIPUT_01851
ERR1913176.498120__1.498120	310297__B5CV67__DXD04_03690
ERR1913176.498199__1.498199	1263107__GCA_000436995.1_00097
ERR1913176.498310__1.498310	357276__A0A0K2HKT7__B5F95_21090
ERR1913176.498405__1.498405	28117__B0MUX4__ALIPUT_00911
ERR1913176.498600__1.498600	853__A0A2A7B9I6__DW855_13690
ERR1913176.498656__1.498656	310297__B5CU85__DXB87_05250
ERR1913176.498706__1.498706	820__A0A174F696__macB_13
ERR1913176.498837__1.498837	1897011__A0A1Q6RDN7__BHW41_05650
ERR1913176.499135__1.499135	1263000__R5EBJ6__BN466_00543
ERR1913176.499190__1.499190	310297__B5CZ21__DXB87_00235
ERR1913176.499258__1.499258	820__A0A174CG08__DXB62_13215
ERR1913176.499479__1.499479	310297__B5D009__DXB87_08940
ERR1913176.499730__1.499730	310297__R5V814__DXC17_10530
ERR1913176.499771__1.499771	820__A7V780__adaA_3
ERR1913176.499825__1.499825	1897011__A0A1Q6RGE4__BHW41_02910
ERR1913176.499885__1.499885	1262927__R7F1D3__BN677_00456
ERR1913176.500050__1.500050	28117__B0MYA9__BHV66_07790
ERR1913176.500130__1.500130	310297__R5VE18__DXD04_14500
ERR1913176.500160__1.500160	1262986__R5ZUP0__BN492_01284
ERR1913176.500171__1.500171	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913176.500199__1.500199	357276__A0A0K2HNG3__HMPREF1064_03004
ERR1913176.500427__1.500427	40520__R7D6X4__addA
ERR1913176.500508__1.500508	1262927__R7ETW9__BN677_00993
ERR1913176.500794__1.500794	820__A0A3E4RU03__M093_0563
ERR1913176.500853__1.500853	853__A0A3E2U7E6__ERS852582_01640
ERR1913176.501094__1.501094	46506__S3YS03__DXC34_03445
ERR1913176.501144__1.501144	1262886__R6QKS8__BN563_01572
ERR1913176.501379__1.501379	1263000__R5EI35__BN466_01649
ERR1913176.501733__1.501733	1262927__R7EV52__BN677_01072
ERR1913176.501887__1.501887	818__A0A139L1D5__BT_2967
ERR1913176.501919__1.501919	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913176.501904__1.501904	214856__A0A175A6T5__ERS852447_02658
ERR1913176.502178__1.502178	310297__B5D0I4__gldH
ERR1913176.502489__1.502489	46506__S3YVT5__BACSTE_02352
ERR1913176.502687__1.502687	46506__A0A108TBL0__BACSTE_01998
ERR1913176.502771__1.502771	39496__A5Z5I2__EUBVEN_00963
ERR1913176.502851__1.502851	357276__I9FRW5__B5F95_21685
ERR1913176.502959__1.502959	28117__B0MY36__BHV66_05185
ERR1913176.503110__1.503110	357276__B6VT86__IY41_22515
ERR1913176.503167__1.503167	28117__B0MXQ6__ALIPUT_01917
ERR1913176.503203__1.503203	1897011__A0A1Q6REX0__BHW41_04225
ERR1913176.503152__1.503152	1160721__R6TAA3__BHW50_03385
ERR1913176.503540__1.503540	1262777__R5VQY2__BN512_00997
ERR1913176.503632__1.503632	1160721__R6U304__BHW50_05725
ERR1913176.503706__1.503706	46506__S3YVT5__BACSTE_02352
ERR1913176.503788__1.503788	28117__B0MYP3__BHV66_04995
ERR1913176.504038__1.504038	40520__R7D5D8__DXD81_09550
ERR1913176.504231__1.504231	46228__B5CPT8__RUMLAC_01482
ERR1913176.504238__1.504238	46506__A0A108TAK3__fepA_3
ERR1913176.504563__1.504563	823__A0A355XF06__B5F32_11480
ERR1913176.504815__1.504815	357276__I9QBT4__GV66_09000
ERR1913176.504842__1.504842	820__A0A3E4W984__pssA
ERR1913176.504852__1.504852	301301__A0A395VGH2__dltB_2
ERR1913176.504891__1.504891	820__A0A078S4C2__ERS417307_00828
ERR1913176.504894__1.504894	47678__R5U9X5__BACCAC_01339
ERR1913176.504901__1.504901	39491__A0A3E4YFT8__DXB69_10940
ERR1913176.504968__1.504968	239935__A0A2N8HQR1__Amuc_0287
ERR1913176.505328__1.505328	1262911__R6H2B5__BN557_01151
ERR1913176.505500__1.505500	357276__I9FTR0__HMPREF1065_02861
ERR1913176.505465__1.505465	301301__A0A395V736__ERS852391_01566
ERR1913176.505476__1.505476	544645__A0A3E4T3I2__DXC42_11395
ERR1913176.505708__1.505708	46506__A0A108TDB0__DXC34_12240
ERR1913176.505762__1.505762	357276__A0A076J726__IY41_15030
ERR1913176.506158__1.506158	1263109__GCA_000438135.1_00334
ERR1913176.506209__1.506209	544645__A0A3E4TK28__DXC42_00040
ERR1913176.506263__1.506263	28117__B0MTI4__ALIPUT_00084
ERR1913176.506372__1.506372	28118__F9Z4Q2__Odosp_2759
ERR1913176.506535__1.506535	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913176.506797__1.506797	310297__B5CTT3__DXC17_00385
