ERR1913207.106__1.106	39492__D4JSU6__dacB_3
ERR1913207.116875__1.116875	418240__A0A174SJB0__toxA_3
ERR1913207.116929__1.116929	820__R7E9Z4__DXC68_06065
ERR1913207.117018__1.117018	239935__R6IYQ1__CXU15_06450
ERR1913207.117211__1.117211	47678__A0A174H7W9__ERS852494_00524
ERR1913207.117294__1.117294	818__A0A396DZ59__NCTC13706_00402
ERR1913207.117664__1.117664	820__A0A139KIL9__DXC68_05945
ERR1913207.117878__1.117878	1262989__R6Y388__BN815_01680
ERR1913207.118188__1.118188	820__A0A374Q854__HMPREF1073_03281
ERR1913207.118267__1.118267	1547__H1AN91__DW242_04070
ERR1913207.118277__1.118277	28118__R6FHC4__NCTC10826_00338
ERR1913207.118307__1.118307	357276__A0A0K2HJA6__DXD47_07320
ERR1913207.118457__1.118457	818__A0A3E5HDS4__BJP75_002620
ERR1913207.118588__1.118588	818__A0A0P0FWH4__Btheta7330_05099
ERR1913207.118657__1.118657	1262756__R5XM86__BN568_01886
ERR1913207.118673__1.118673	28117__B0MXU6__ALIPUT_01958
ERR1913207.118941__1.118941	47678__R5U7P3__DXB67_08985
ERR1913207.119270__1.119270	626933__H1DGX0__HMPREF9449_01506
ERR1913207.119340__1.119340	328814__GCA_004558275.1_00035
ERR1913207.119346__1.119346	853__A0A2A7B9I6__DW855_13690
ERR1913207.119491__1.119491	820__A0A374Q8T2__DXB64_16190
ERR1913207.119561__1.119561	246787__A0A108T429__BACCELL_00192
ERR1913207.119600__1.119600	820__A0A174DZ97__SAMN05444418_101240
ERR1913207.119691__1.119691	28118__F9Z3G8__B5F99_01835
ERR1913207.119929__1.119929	239935__A0A2N8IAZ5__xseA
ERR1913207.119949__1.119949	246787__A0A0P0GIS1__BcellWH2_02680
ERR1913207.119982__1.119982	821__A0A174AYT0__DXC02_03530
ERR1913207.120204__1.120204	1547__H1ANX2__DW242_02990
ERR1913207.120308__1.120308	239935__A0A2N8HSC0__CXU06_05505
ERR1913207.120439__1.120439	820__A0A3E5BMG9__DXD40_05130
ERR1913207.120606__1.120606	821__C6Z451__BHV80_04265
ERR1913207.120619__1.120619	1099853__U5CHL3__NSB1T_13030
ERR1913207.120901__1.120901	47678__R5UMC3__CGC64_08380
ERR1913207.121175__1.121175	357276__I8VLL2__HMPREF1065_03395
ERR1913207.121237__1.121237	28117__B0MYZ8__BHV66_04535
ERR1913207.121350__1.121350	818__A0A1H7L4U6__BSIG_3287
ERR1913207.121465__1.121465	821__A0A174NM17__lacZ_6
ERR1913207.121638__1.121638	47678__R5U332__C5Z00_16810
ERR1913207.121779__1.121779	818__A0A2J6AAA9__NCTC10582_00162
ERR1913207.121937__1.121937	47678__A5ZEX0__DW706_08045
ERR1913207.121965__1.121965	214856__I3YMN6__Alfi_1938
ERR1913207.122041__1.122041	33025__A0A395JE11__C8D73_101318
ERR1913207.122077__1.122077	821__A0A174NM17__lacZ_6
ERR1913207.122232__1.122232	239935__A0A2N8HB50__CXU17_02615
ERR1913207.122312__1.122312	544644__GCA_001915615.1_02269
ERR1913207.122359__1.122359	239935__R6IYQ1__CXU15_06450
ERR1913207.122489__1.122489	821__A0A0P0L952__M097_4235
ERR1913207.122544__1.122544	821__D4VC51__M099_1508
ERR1913207.122549__1.122549	821__A0A395UNT8__DXD64_15275
ERR1913207.122434__1.122434	47678__A5ZI88__BACCAC_02617
ERR1913207.122625__1.122625	818__A0A174RFL1__ERS852511_03380
ERR1913207.122650__1.122650	820__A0A174DZ97__SAMN05444418_101240
ERR1913207.122736__1.122736	820__A0A174A6K0__M093_0079
ERR1913207.122758__1.122758	1099853__R7DDY8__NSB1T_14310
ERR1913207.122777__1.122777	1262989__R6ZGE3__BN815_01181
ERR1913207.122794__1.122794	818__A0A0N7IB02__BT_3500
ERR1913207.122815__1.122815	239935__A0A139TSG7__CXU17_09600
ERR1913207.122817__1.122817	820__A0A174CG08__DXB62_13215
ERR1913207.122828__1.122828	818__A0A0N7IB02__BT_3500
ERR1913207.122900__1.122900	821__A0A3E4HP25__SAMN04487923_102450
ERR1913207.123019__1.123019	239935__R6JCH3__CXT95_08205
ERR1913207.123133__1.123133	239935__A0A2N8I1R3__CXU05_06075
ERR1913207.123440__1.123440	820__R9I2U8__DXC68_09590
ERR1913207.123370__1.123370	821__A6KZK3__ERS852457_04265
ERR1913207.123522__1.123522	239935__A0A2N8HWS3__CXU19_10285
ERR1913207.123689__1.123689	820__A0A139KH21__DXC80_01780
ERR1913207.123725__1.123725	820__A0A3E4VXP2__yesR
ERR1913207.123808__1.123808	1105171__GeneID:11605488
ERR1913207.124025__1.124025	189722__E0NQU7__HMPREF0658_0548
ERR1913207.123993__1.123993	821__A0A395UNT8__DXD64_15275
ERR1913207.124075__1.124075	1262989__R6ZDV1__BN815_00926
ERR1913207.124111__1.124111	204516__U6RAM4__HMPREF1534_03439
ERR1913207.124178__1.124178	40518__R5E6X5__sbcD
ERR1913207.124419__1.124419	818__A0A1H7L4U6__BSIG_3287
ERR1913207.124446__1.124446	39492__A0A174ZP27__EUBSIR_00033
ERR1913207.124514__1.124514	1262824__R6RMT2__BN719_01295
ERR1913207.124713__1.124713	239935__A0A139TPD8__CXU12_11015
ERR1913207.124928__1.124928	239935__A0A2N8HB50__CXU17_02615
ERR1913207.125180__1.125180	820__A0A3E4WA06__ERS852554_03404
ERR1913207.125237__1.125237	818__A0A3E5HE16__C5Z03_22745
ERR1913207.125254__1.125254	823__A0A174UR44__M095_2641
ERR1913207.125320__1.125320	333367__C0D6P1__CLOSTASPAR_04938
ERR1913207.125348__1.125348	820__A0A3E4VZY4__ERS852554_01211
ERR1913207.125365__1.125365	1550024__A0A3B9WJJ2__TQ39_18110
ERR1913207.125376__1.125376	820__A0A174TRB5__DXD40_11305
ERR1913207.125386__1.125386	239935__A0A139TSG7__CXU17_09600
ERR1913207.125410__1.125410	239935__R6IYQ1__CXU15_06450
ERR1913207.125537__1.125537	1099853__U5CNF1__NSB1T_01130
ERR1913207.125588__1.125588	820__A0A174QT76__B5G17_18060
ERR1913207.125912__1.125912	818__A0A0P0FSA3__ERS852557_00283
ERR1913207.126139__1.126139	471189__GCA_003340385.1_00360
ERR1913207.126422__1.126422	821__C3RB94__DXC03_15585
ERR1913207.126494__1.126494	821__A0A3E4HP25__SAMN04487923_102450
ERR1913207.126504__1.126504	853__A0A2A7A4A9__C4N21_14870
ERR1913207.126467__1.126467	1501392__A0A0B2JL74__PU94_02570
ERR1913207.126470__1.126470	239935__A0A2N8IMD6__CXU03_05585
ERR1913207.126817__1.126817	821__A0A0P0M2J4__DXD46_10295
ERR1913207.126849__1.126849	39492__D4JQY4__EUBSIR_01325
ERR1913207.127078__1.127078	820__A0A174FUF0__HMPREF1073_03308
ERR1913207.127121__1.127121	818__A0A174Q773__SAMN02910322_03683
ERR1913207.127335__1.127335	820__A0A174TRB5__DXD40_11305
ERR1913207.127437__1.127437	333367__C0CU58__CLOSTASPAR_00507
ERR1913207.127482__1.127482	818__A0A3E5HN72__C799_03359
ERR1913207.127638__1.127638	357276__A0A076ISJ4__B5F95_19420
ERR1913207.127691__1.127691	820__A0A174R952__DXB48_02570
ERR1913207.127782__1.127782	208479__R5FKP7__HMPREF1097_03665
ERR1913207.127791__1.127791	818__A0A0P0F391__BJP75_009470
ERR1913207.127849__1.127849	239935__A0A2N8IQU3__CXU22_05890
ERR1913207.127860__1.127860	820__I9A4U7__DHU98_12785
ERR1913207.128186__1.128186	28118__F9Z8Y7__DHW44_02235
ERR1913207.128177__1.128177	333367__C0CW59__citN
ERR1913207.128247__1.128247	821__A0A0P0L952__M097_4235
ERR1913207.128769__1.128769	823__A0A173RD26__B5F32_03910
ERR1913207.128777__1.128777	1262989__R6Y9H3__BN815_01748
ERR1913207.128853__1.128853	246787__R6KM92__AA416_01456
ERR1913207.128977__1.128977	821__R7P1Q7__M099_2990
ERR1913207.129359__1.129359	47678__R5U8P0__DW706_15950
ERR1913207.129477__1.129477	1262700__R5XLR2__BN695_01660
ERR1913207.129512__1.129512	239935__A0A139TLF5__CXU18_06685
ERR1913207.129599__1.129599	239935__A0A2N8IUW6__Amuc_1525
ERR1913207.129695__1.129695	820__R9HXK9__DXB62_08265
ERR1913207.129689__1.129689	292800__A0A174IVN3__B5F52_08105
ERR1913207.129913__1.129913	821__A0A174TD86__C800_00949
ERR1913207.129918__1.129918	246787__A0A108T429__BACCELL_00192
ERR1913207.129874__1.129874	33025__A0A395J9T5__C8D73_1126
ERR1913207.130018__1.130018	820__A0A3E4WCC2__lptB_1
ERR1913207.130035__1.130035	1263005__R6ESK6__BN497_01132
ERR1913207.130336__1.130336	47678__R5U8Y1__BACCAC_02615
ERR1913207.130496__1.130496	818__A0A0P0F2P7__BT_1771
ERR1913207.130631__1.130631	47678__A0A174TQR6__CGC64_14735
ERR1913207.130779__1.130779	1099853__U5CEJ4__NSB1T_04000
ERR1913207.130783__1.130783	1034346__A0A3C0DIP9__DES51_108135
ERR1913207.130707__1.130707	818__R7KZU1__ERS852430_01306
ERR1913207.130889__1.130889	1262989__R6ZJ29__BN815_01679
ERR1913207.130930__1.130930	820__A0A139K426__B5G17_09115
ERR1913207.130949__1.130949	47678__R5UUQ0__C5Z00_15605
ERR1913207.131200__1.131200	239935__A0A2N8HHN7__folK
ERR1913207.131223__1.131223	28117__B0MWH8__BHV66_01330
ERR1913207.131327__1.131327	821__A0A396F1N0__M099_1553
ERR1913207.131473__1.131473	1099853__U5C9V7__NSB1T_11195
ERR1913207.131644__1.131644	487174__R5F3K6__DDY40_04230
ERR1913207.131841__1.131841	239935__A0A2N8I390__CXU16_10675
ERR1913207.131853__1.131853	246787__A0A0P0FV02__AA416_03728
ERR1913207.131956__1.131956	239935__A0A139TSG7__CXU17_09600
ERR1913207.132098__1.132098	820__R9I2U8__DXC68_09590
ERR1913207.132304__1.132304	239935__A0A2N8IVT6__CXU13_08520
ERR1913207.132345__1.132345	39492__D4MMN2__EUBSIR_00964
ERR1913207.132517__1.132517	818__A0A174RFL1__ERS852511_03380
ERR1913207.132674__1.132674	1262743__R5C054__BN727_01980
ERR1913207.132721__1.132721	487174__K0WTV8__DIT83_04385
ERR1913207.132878__1.132878	487174__R5G1E8__DIT83_00510
ERR1913207.132898__1.132898	1262700__R5XWP9__BN695_01562
ERR1913207.133033__1.133033	853__A0A2A7B1Y7__C7K05_11930
ERR1913207.133126__1.133126	818__A0A3E5H6T5__Btheta7330_01926
ERR1913207.133154__1.133154	820__I9J701__ERS852510_01809
ERR1913207.133249__1.133249	2049043__A0A316N592__DBY37_03650
ERR1913207.133218__1.133218	246787__R6KRT7__BACCELL_01801
ERR1913207.133231__1.133231	292800__H1CMV7__B5F52_10350
ERR1913207.133441__1.133441	1522__G1VP74__CIAN88_05185
ERR1913207.133470__1.133470	97138__N1ZIQ8__C820_01900
ERR1913207.133559__1.133559	333367__C0CYL4__CLOSTASPAR_02091
ERR1913207.133651__1.133651	818__A0A0P0FLV3__ERS852430_01650
ERR1913207.133583__1.133583	1501391__GCA_000786575.1_00024
ERR1913207.133701__1.133701	333367__C0D0A6__CLOSTASPAR_02688
ERR1913207.133904__1.133904	310298__B3JII2__BACCOP_01694
ERR1913207.133921__1.133921	239935__A0A139TSG7__CXU17_09600
ERR1913207.134050__1.134050	239935__B2UPP2__CXU20_12035
ERR1913207.134094__1.134094	671267__R9IB12__C802_00696
ERR1913207.134154__1.134154	239935__A0A2N8HZZ2__CXU19_04895
ERR1913207.134223__1.134223	820__A0A3E4W6P0__gmhA
ERR1913207.134428__1.134428	821__A0A3E4HP25__SAMN04487923_102450
ERR1913207.134619__1.134619	357276__B6VYT9__HMPREF1063_05030
ERR1913207.134600__1.134600	239935__A0A2N8I693__CXU17_08410
ERR1913207.134747__1.134747	1262700__R5XCS8__BN695_01594
ERR1913207.134792__1.134792	1099853__G9S6K9__NSB1T_13415
ERR1913207.134891__1.134891	33025__A0A395J976__C8D73_1123
ERR1913207.135142__1.135142	1262746__R5SS80__BN750_02125
ERR1913207.135148__1.135148	1262989__R6YNK1__BN815_01429
ERR1913207.135229__1.135229	1262700__R5XBD0__BN695_00459
ERR1913207.135381__1.135381	239935__R6J4Y4__CXU17_09810
ERR1913207.135497__1.135497	818__A0A139K023__trxA_3
ERR1913207.135705__1.135705	471189__GCA_003340385.1_00197
ERR1913207.135768__1.135768	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913207.136050__1.136050	40518__R5DUG7__sbcC
ERR1913207.136057__1.136057	292800__A0A174IVH2__zraR_1
ERR1913207.136126__1.136126	357276__A0A0P0M2G3__BACDOR_03913
ERR1913207.136278__1.136278	239935__A0A2N8I375__menA
ERR1913207.136457__1.136457	853__A0A173YYY4__DWZ04_09420
ERR1913207.136536__1.136536	821__A0A395UNT8__DXD64_15275
ERR1913207.136721__1.136721	328814__GCA_004558275.1_01743
ERR1913207.136810__1.136810	239935__B2UPZ6__CXU03_03800
ERR1913207.136896__1.136896	239935__A0A139TTZ7__CXU14_07900
ERR1913207.136941__1.136941	136841__Q9HXF5__CJU50_20635
ERR1913207.136974__1.136974	820__A0A3E4W4W5__ERS852554_02179
ERR1913207.137091__1.137091	820__A0A174I980__gldH
ERR1913207.137120__1.137120	487174__K0X789__DIT83_10440
ERR1913207.137153__1.137153	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913207.137157__1.137157	820__A0A174G065__DXB62_08975
ERR1913207.137243__1.137243	208479__A8RGZ4__C5Z06_12385
ERR1913207.137455__1.137455	333367__C0D2L2__CLOSTASPAR_03501
ERR1913207.137549__1.137549	821__A0A0P0L8F8__ERS852509_03705
ERR1913207.137506__1.137506	487174__K0WV63__DIT83_11035
ERR1913207.137566__1.137566	1262700__R5XVU6__BN695_01237
ERR1913207.137575__1.137575	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913207.137695__1.137695	818__A0A0P0F004__SAMN02910322_02925
ERR1913207.137733__1.137733	328814__GCA_004558275.1_01393
ERR1913207.137745__1.137745	487174__K0X591__DDY40_01805
ERR1913207.137850__1.137850	33025__A0A395JBA6__C8D73_1039
ERR1913207.137887__1.137887	239935__A0A2N8HL91__holA
ERR1913207.137877__1.137877	823__A0A174UI22__CF162_13840
ERR1913207.137929__1.137929	1796613__A0A1C7H127__A4V03_09040
ERR1913207.138058__1.138058	246787__I9QX02__HMPREF1062_01641
ERR1913207.138242__1.138242	1653434__A0A150YBX2__DW008_04520
ERR1913207.138435__1.138435	357276__A0A0P0M2G3__BACDOR_03913
ERR1913207.138443__1.138443	1262743__R5C054__BN727_01980
ERR1913207.138460__1.138460	239935__A0A2N8HWS3__CXU19_10285
ERR1913207.138547__1.138547	239935__A0A2N8IB69__CXU22_11315
ERR1913207.138513__1.138513	823__A0A173RD26__B5F32_03910
ERR1913207.138707__1.138707	1547__B0N7T0__DW242_05515
ERR1913207.138854__1.138854	28117__B0MWP2__ALIPUT_01468
ERR1913207.139069__1.139069	1262700__R5XUF1__BN695_00765
ERR1913207.139091__1.139091	239935__A0A2N8IDR5__CXU13_04315
ERR1913207.139178__1.139178	821__A0A396F598__CUU_3259
ERR1913207.139180__1.139180	53442__A0A317RYT9__SAMN04515649_105292
ERR1913207.139274__1.139274	310298__B3JII2__BACCOP_01694
ERR1913207.139362__1.139362	47678__R5U8P0__DW706_15950
ERR1913207.139642__1.139642	821__A0A174K302__CUU_3129
ERR1913207.139610__1.139610	1099853__U5CE08__NSB1T_14190
ERR1913207.139783__1.139783	820__A0A139JRS5__HMPREF1073_04025
ERR1913207.140318__1.140318	626932__G5H8A5__HMPREF9450_01165
ERR1913207.140427__1.140427	820__A0A174F696__macB_13
ERR1913207.140547__1.140547	47678__R5USR9__HMPREF1061_01404
ERR1913207.140624__1.140624	239935__A0A2N8HAQ1__DEF40_05290
ERR1913207.140706__1.140706	53442__A0A1E7RYI0__SAMN04515649_107203
ERR1913207.140715__1.140715	818__A0A0P0FLN9__NCTC13706_01794
ERR1913207.140721__1.140721	823__A0A174W1A8__panE
ERR1913207.140844__1.140844	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913207.140895__1.140895	820__A0A3E4W4Y7__B5G17_02055
ERR1913207.141116__1.141116	239935__A0A2N8I390__CXU16_10675
ERR1913207.141203__1.141203	357276__A0A076ISJ4__B5F95_19420
ERR1913207.141284__1.141284	1432052__A0A1I3E558__BEI60_31955
ERR1913207.141298__1.141298	818__Q8A335__HMPREF2534_01154
ERR1913207.141448__1.141448	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913207.141661__1.141661	820__A0A139K0J1__HMPREF2141_03205
ERR1913207.141605__1.141605	74426__nrdD
ERR1913207.141702__1.141702	820__I9A4U7__DHU98_12785
ERR1913207.141759__1.141759	820__A0A3E4PYB0__yejM
ERR1913207.141812__1.141812	214856__R6Z4Q8__ERS852447_00885
ERR1913207.141886__1.141886	1512__U2B9K4__ldh_2
ERR1913207.141961__1.141961	239935__R6J4Y4__CXU17_09810
ERR1913207.142025__1.142025	471189__GCA_003340385.1_00065
ERR1913207.142045__1.142045	1262700__R5XCS8__BN695_01594
ERR1913207.142292__1.142292	47678__R5UGC2__ERS852494_02070
ERR1913207.142379__1.142379	239935__A0A2N8IDR5__CXU13_04315
ERR1913207.142392__1.142392	239935__A0A2N8HWS3__CXU19_10285
ERR1913207.142719__1.142719	821__A0A396F1N0__M099_1553
ERR1913207.142758__1.142758	1099853__U5CKV1__NSB1T_12505
ERR1913207.142874__1.142874	40518__R5DY98__mepA_5
ERR1913207.142907__1.142907	47678__R5UAF6__ERS852494_02966
ERR1913207.142979__1.142979	821__A0A396F9T7__M097_3427
ERR1913207.142980__1.142980	821__C6Z087__DXB90_00750
ERR1913207.143157__1.143157	239935__A0A2N8HX65__CXU17_02540
ERR1913207.143345__1.143345	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913207.143469__1.143469	818__A0A0N7I9M6__Btheta7330_00939
ERR1913207.143559__1.143559	239935__A0A2N8HCF5__CXU15_05660
ERR1913207.143680__1.143680	239935__A0A2N8HWS3__CXU19_10285
ERR1913207.143799__1.143799	1522__E4LWQ3__ERS852468_00352
ERR1913207.143715__1.143715	487174__K0WXI5__DDY40_07185
ERR1913207.143762__1.143762	239935__A0A2N8IQX1__dnaA
ERR1913207.143854__1.143854	471189__GCA_003340385.1_00697
ERR1913207.144117__1.144117	821__A0A396F598__CUU_3259
ERR1913207.144256__1.144256	823__A0A173UDF6__CEQ22_003270
ERR1913207.144382__1.144382	246787__A0A0P0GUU5__BACCELL_02894
ERR1913207.144518__1.144518	823__A0A355XKR1__DHP27_04035
ERR1913207.144644__1.144644	821__A0A3E4WAR6__DXD64_10735
ERR1913207.144815__1.144815	487174__K0WZU9__HMPREF9448_01159
ERR1913207.144891__1.144891	239935__A0A2N8HS88__CXU19_12255
ERR1913207.144979__1.144979	333367__C0CW59__citN
ERR1913207.144939__1.144939	1262989__R6Y4S3__BN815_02095
ERR1913207.145052__1.145052	246787__A0A3D6AS39__ina
ERR1913207.145064__1.145064	1653434__A0A150Y762__DW871_08715
ERR1913207.145203__1.145203	239935__A0A2N8I693__CXU17_08410
ERR1913207.145272__1.145272	820__R9HP61__DXC91_01090
ERR1913207.145224__1.145224	1099853__G9S8H2__NSB1T_13060
ERR1913207.145231__1.145231	208479__A8S5U9__HMPREF1095_01860
ERR1913207.145249__1.145249	28117__B0MVL5__BHV66_01660
ERR1913207.145374__1.145374	246787__A0A0P0G254__axeA1_2
ERR1913207.145333__1.145333	820__A0A139JRH8__HMPREF2141_04326
ERR1913207.145442__1.145442	28117__B0MXG8__ALIPUT_01814
ERR1913207.145502__1.145502	333367__C0D8M9__CLOSTASPAR_05628
ERR1913207.145717__1.145717	357276__I9R1V6__DXD47_04125
ERR1913207.145915__1.145915	246787__A0A0P0GLJ1__BcellWH2_01674
ERR1913207.146277__1.146277	47678__R5UAI1__BACCAC_01922
ERR1913207.146502__1.146502	246787__A0A0P0FS62__HMPREF1062_05447
ERR1913207.146517__1.146517	818__A0A3E5HHE1__Btheta7330_00796
ERR1913207.146628__1.146628	47678__A0A3E5BQM1__DXB67_08970
ERR1913207.146688__1.146688	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913207.146845__1.146845	820__A0A173YYG4__evgS_3
ERR1913207.147040__1.147040	1262986__D9Y8J4__BN492_00022
ERR1913207.147218__1.147218	820__A0A374Q854__HMPREF1073_03281
ERR1913207.147415__1.147415	239935__A0A2N8I9I3__CXU19_12035
ERR1913207.147603__1.147603	2108523__A0A2P2F586__LAWASA_1166
ERR1913207.147717__1.147717	1262989__R6YJX4__BN815_00450
ERR1913207.147755__1.147755	39492__A0A174ZYY6__EUBSIR_02510
ERR1913207.147856__1.147856	1262700__R5XLN1__BN695_01615
ERR1913207.147839__1.147839	239935__R6JWM7__CXU14_12295
ERR1913207.147944__1.147944	1297617__A0A0S2W0W0__IB211_00605
ERR1913207.147956__1.147956	823__A0A173UDF6__CEQ22_003270
ERR1913207.147912__1.147912	818__A0A139KW23__HMPREF2534_00792
ERR1913207.148024__1.148024	39492__D4MIK7__EUBSIR_00676
ERR1913207.147995__1.147995	818__A0A0P0F7K1__ERS852461_02719
ERR1913207.148097__1.148097	820__A0A078S4C2__ERS417307_00828
ERR1913207.148168__1.148168	328814__GCA_004558275.1_00095
ERR1913207.148242__1.148242	818__A0A3E5GY47__SAMN02910322_02002
ERR1913207.148348__1.148348	1262743__R5C054__BN727_01980
ERR1913207.148327__1.148327	821__D4VD59__BHV80_04260
ERR1913207.148376__1.148376	820__A0A173W419__DXC68_17760
ERR1913207.148414__1.148414	40518__R5E1J7__RBL236_02062
ERR1913207.148575__1.148575	820__A0A174G065__DXB62_08975
ERR1913207.148666__1.148666	1501391__GCA_000786575.1_00043
ERR1913207.148693__1.148693	1262700__R5XWU5__BN695_01617
ERR1913207.148702__1.148702	820__A0A174DZ97__SAMN05444418_101240
ERR1913207.148719__1.148719	239935__A0A2N8HAQ1__DEF40_05290
ERR1913207.148842__1.148842	821__A0A174WBC9__ERS852556_03145
ERR1913207.149013__1.149013	357276__I9QBT7__BSEG_03340
ERR1913207.148965__1.148965	292800__A0A174V693__HMPREF9460_03050
ERR1913207.148979__1.148979	333367__C0DAX8__CLOSTASPAR_06433
ERR1913207.149285__1.149285	28117__B0MU57__ALIPUT_00175
ERR1913207.149303__1.149303	1263064__GCA_000431175.1_00320
ERR1913207.149338__1.149338	246787__A0A0P0FS62__HMPREF1062_05447
ERR1913207.149600__1.149600	1262700__R5X902__BN695_00437
ERR1913207.149639__1.149639	820__A0A396EUU8__luxQ_3
ERR1913207.149716__1.149716	820__A0A174DZ97__SAMN05444418_101240
ERR1913207.150297__1.150297	33025__A0A395J973__C8D73_11010
ERR1913207.150498__1.150498	40520__R7DD10__glgB
ERR1913207.150531__1.150531	338188__A0A174ETX3__ERS852397_01955
ERR1913207.150533__1.150533	487174__R5EPJ7__HMPREF9448_00444
ERR1913207.150809__1.150809	820__A0A3E4G826__C801_01612
ERR1913207.150824__1.150824	2108523__A0A2P2F7H5__LAWASA_1993
ERR1913207.150829__1.150829	39492__D4JRZ7__smc
ERR1913207.150901__1.150901	239935__A0A2N8HJX0__CXU19_08380
ERR1913207.151033__1.151033	53443__A0A173UFU1__ERS852414_02921
ERR1913207.151186__1.151186	821__A0A396F598__CUU_3259
ERR1913207.151203__1.151203	820__A0A174B4N2__M093_2531
ERR1913207.151392__1.151392	1262700__R5XD02__BN695_01659
ERR1913207.151532__1.151532	818__A0A3E5H6T5__Btheta7330_01926
ERR1913207.151579__1.151579	100884__E7GFM5__DXB26_10210
ERR1913207.151584__1.151584	239935__A0A139TMD2__CXU18_02250
ERR1913207.151694__1.151694	239935__A0A2N8ITW6__CXT91_06265
ERR1913207.151714__1.151714	821__A0A0P0LH09__ERS852457_03390
ERR1913207.151794__1.151794	33025__A0A395JHD9__C8D73_101774
ERR1913207.151893__1.151893	821__A0A3E4XY72__NCTC10583_01067
ERR1913207.151943__1.151943	820__A0A3E4PYB0__yejM
ERR1913207.151920__1.151920	820__A0A139KH21__DXC80_01780
ERR1913207.152010__1.152010	239935__A0A2N8IMD6__CXU03_05585
ERR1913207.152114__1.152114	1512__E7GIZ6__mepA_21
ERR1913207.152169__1.152169	818__A0A3E5H5M0__SAMN05216253_12081
ERR1913207.152216__1.152216	47678__R5USS6__C5Z00_03300
ERR1913207.152221__1.152221	820__A0A3E4IGA7__DXD40_07110
ERR1913207.152314__1.152314	28117__B0MVL5__BHV66_01660
ERR1913207.152352__1.152352	820__A0A173WZS4__DXD90_10250
ERR1913207.152422__1.152422	820__R9HXK9__DXB62_08265
ERR1913207.152446__1.152446	818__A0A3E5HVB7__Btheta7330_02386
ERR1913207.152465__1.152465	1262989__R6Y8I0__BN815_00658
ERR1913207.152817__1.152817	820__A0A173WZS4__DXD90_10250
ERR1913207.152864__1.152864	820__A0A3E4G3J9__ERS852459_02265
ERR1913207.153040__1.153040	239935__A0A2N8IUU3__CXU18_08060
ERR1913207.153077__1.153077	820__A0A174DZ97__SAMN05444418_101240
ERR1913207.153202__1.153202	487174__K0WZ94__HMPREF9448_00984
ERR1913207.153218__1.153218	1512__A0A174JYN9__bsdC
ERR1913207.153288__1.153288	239935__A0A2N8HB50__CXU17_02615
ERR1913207.153490__1.153490	821__D4VC51__M099_1508
ERR1913207.153681__1.153681	246787__R6LCL3__AA416_03522
ERR1913207.153687__1.153687	820__A0A139KA34__B5G17_05520
ERR1913207.153960__1.153960	1262989__R6ZIJ7__BN815_01511
ERR1913207.154187__1.154187	820__A0A078S4C2__ERS417307_00828
ERR1913207.154323__1.154323	239935__R7E4Y3__CXU15_13135
ERR1913207.154399__1.154399	39492__D4JT67__EUBSIR_01784
ERR1913207.154424__1.154424	1653434__A0A150Y791__DW871_08930
ERR1913207.154453__1.154453	820__A0A139KHX1__HMPREF2141_00289
ERR1913207.154581__1.154581	1547__H1AID7__DW242_09695
ERR1913207.154641__1.154641	292800__U2BMX8__HMPREF9460_01222
ERR1913207.154700__1.154700	818__A0A1H7L4U6__BSIG_3287
ERR1913207.155004__1.155004	239935__A0A139TTZ7__CXU14_07900
ERR1913207.154959__1.154959	239935__R6IZT7__CXU18_11710
ERR1913207.155096__1.155096	239935__A0A2N8HPG4__CXU16_03730
ERR1913207.155125__1.155125	820__A0A174QLF0__SAMN05444418_109151
ERR1913207.155162__1.155162	821__C6ZAA5__ERS852556_00403
ERR1913207.155290__1.155290	239935__A0A2N8IUU3__CXU18_08060
ERR1913207.155430__1.155430	821__A0A3E4WAR6__DXD64_10735
ERR1913207.155675__1.155675	239935__A0A2N8IQX1__dnaA
ERR1913207.156079__1.156079	246787__I9QX02__HMPREF1062_01641
ERR1913207.156277__1.156277	820__R9I3Q7__HMPREF1072_01668
ERR1913207.156280__1.156280	818__C6ILT7__BSIG_2708
ERR1913207.156457__1.156457	28117__B0MWP2__ALIPUT_01468
ERR1913207.156524__1.156524	1501391__GCA_000786575.1_00141
ERR1913207.156588__1.156588	333367__C0CST2__CLOSTASPAR_00026
ERR1913207.156642__1.156642	544644__GCA_001915615.1_01797
ERR1913207.156905__1.156905	246787__I9QX02__HMPREF1062_01641
ERR1913207.157250__1.157250	28117__B0MYP3__BHV66_04995
ERR1913207.157342__1.157342	820__A0A3E4W4Y7__B5G17_02055
ERR1913207.157439__1.157439	818__A0A0P0FLN9__NCTC13706_01794
ERR1913207.157504__1.157504	310297__B5CWI6__DXB87_12520
ERR1913207.157447__1.157447	28117__B0MT86__BHV66_02450
ERR1913207.157467__1.157467	820__A0A374Q854__HMPREF1073_03281
ERR1913207.157642__1.157642	1099853__U5CNN9__NSB1T_08570
ERR1913207.157970__1.157970	39492__B0MN61__epsF_2
