ERR1912996.488__1.488	45851__D4RY81__BUTYVIB_00786
ERR1912996.1373302__1.1373302	1263000__R5ELA0__BN466_02255
ERR1912996.1373715__1.1373715	1680__A0A174BEE7__BSTER_1311
ERR1912996.1373750__1.1373750	147206__GCF_000156215.1_00198
ERR1912996.1373843__1.1373843	572010__ydhV
ERR1912996.1373936__1.1373936	39485__A0A174Z8V5__fliU_2
ERR1912996.1373971__1.1373971	1262911__R6GKS1__BN557_00184
ERR1912996.1374405__1.1374405	1680__A0A076JNS9__BIFADO_02309
ERR1912996.1374488__1.1374488	45851__D4RZ86__BHV86_03570
ERR1912996.1374499__1.1374499	1262936__R7J0K9__BN799_01537
ERR1912996.1374547__1.1374547	901__B6WXG1__DHV46_02130
ERR1912996.1374694__1.1374694	301302__A0A0M6WTB1__M72_11101
ERR1912996.1374721__1.1374721	216816__Q8G585__APC1473_0508
ERR1912996.1375065__1.1375065	1897011__A0A1Q6RIC6__BHW41_01345
ERR1912996.1375195__1.1375195	1680__A0A374QDL4__LMG18897_0432
ERR1912996.1375561__1.1375561	239935__A0A2N8HAQ1__DEF40_05290
ERR1912996.1375598__1.1375598	28052__R7N9Y1__spoIIE
ERR1912996.1375723__1.1375723	1680__R5GR82__AD0028_0014
ERR1912996.1375721__1.1375721	1262882__R5N3H1__BN519_01121
ERR1912996.1375771__1.1375771	28052__R7NFJ0__lytR_8
ERR1912996.1375819__1.1375819	1897011__A0A1Q6RF44__BHW41_03065
ERR1912996.1375922__1.1375922	39488__C0EWC5__EHLA_2843
ERR1912996.1375990__1.1375990	1550024__A0A0D8IY45__ASJ35_05575
ERR1912996.1376167__1.1376167	1680__A0A174BEE7__BSTER_1311
ERR1912996.1376172__1.1376172	28111__E5X237__NCTC11155_00628
ERR1912996.1376207__1.1376207	1628085__A0A2U1B7S9__C7386_11634
ERR1912996.1376262__1.1376262	1680__A0A076JM61__DXD63_05245
ERR1912996.1376399__1.1376399	1262936__R7J169__BN799_00083
ERR1912996.1376602__1.1376602	301301__A0A395V8G6__RHOM_11005
ERR1912996.1376671__1.1376671	853__D4JY61__C4N21_10560
ERR1912996.1376755__1.1376755	1262936__R7J049__BN799_01347
ERR1912996.1376903__1.1376903	1262882__R5MJM8__BN519_01064
ERR1912996.1376925__1.1376925	45851__D4RWJ0__BHV86_05915
ERR1912996.1376930__1.1376930	28111__E5X0Y0__HMPREF1016_02598
ERR1912996.1377181__1.1377181	74426__purL
ERR1912996.1377164__1.1377164	1897011__A0A1Q6RDL4__BHW41_05540
ERR1912996.1377328__1.1377328	1897011__A0A1Q6RGG6__BHW41_02770
ERR1912996.1377505__1.1377505	1262761__R6QR25__BN606_01386
ERR1912996.1377598__1.1377598	853__A0A3E2U7E6__ERS852582_01640
ERR1912996.1377754__1.1377754	1897011__A0A1Q6REW8__BHW41_04435
ERR1912996.1377895__1.1377895	671267__R9I7B5__C802_04018
ERR1912996.1377908__1.1377908	1680__A0A174BEE7__BSTER_1311
ERR1912996.1378098__1.1378098	712117__F3P710__HMPREF9056_00824
ERR1912996.1378218__1.1378218	2022527__A0A264Y8R9__CHL74_05250
ERR1912996.1378264__1.1378264	2022527__A0A264Y8R9__CHL74_05250
ERR1912996.1378605__1.1378605	1262936__R7J354__BN799_00281
ERR1912996.1378937__1.1378937	1628085__A0A374VS54__C7386_101156
ERR1912996.1379071__1.1379071	40518__R5DZB1__DXD83_08840
ERR1912996.1379186__1.1379186	216816__D6ZXY6__BL105A_0298
ERR1912996.1379205__1.1379205	853__A0A3E2U7E6__ERS852582_01640
ERR1912996.1379627__1.1379627	45851__D4S1B2__BHV86_08920
ERR1912996.1379667__1.1379667	292800__G9YMM4__B5F52_06130
ERR1912996.1379896__1.1379896	901__B6WVE1__DESPIGER_2036
ERR1912996.1379954__1.1379954	820__A7V859__ERS852462_00341
ERR1912996.1380000__1.1380000	39491__A0A395UXH0__EUBREC_0021
ERR1912996.1380337__1.1380337	74426__nifJ
ERR1912996.1380449__1.1380449	1262936__R7IYH4__BN799_00795
ERR1912996.1380453__1.1380453	147206__GCF_000156215.1_01776
ERR1912996.1380620__1.1380620	40518__R5E4E8__phoR_4
ERR1912996.1380622__1.1380622	853__A0A3E2U7E6__ERS852582_01640
ERR1912996.1380814__1.1380814	301302__R5UU15__ERS852420_02998
ERR1912996.1380766__1.1380766	45851__D4RYC4__BHV86_01935
ERR1912996.1381296__1.1381296	1262936__R7J6M0__BN799_00574
ERR1912996.1381571__1.1381571	1680__A0A087DHN0__AL0462_1532
ERR1912996.1381676__1.1381676	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1912996.1382463__1.1382463	216816__A0A087BBV6__BFS26_06210
ERR1912996.1382745__1.1382745	147206__GCF_000156215.1_01776
ERR1912996.1383089__1.1383089	45851__D4RWZ9__murF
ERR1912996.1383428__1.1383428	1262936__R7IZC2__BN799_01006
ERR1912996.1383459__1.1383459	45851__D4S141__BHV86_05760
ERR1912996.1383487__1.1383487	1262882__R5MHQ8__BN519_00707
ERR1912996.1383533__1.1383533	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1912996.1383543__1.1383543	1262936__R7J354__BN799_00281
ERR1912996.1383681__1.1383681	39485__C4Z6K2__ERS852490_00407
ERR1912996.1383778__1.1383778	821__A0A395UNT8__DXD64_15275
ERR1912996.1383791__1.1383791	1263027__R6ZKG6__BN699_02114
ERR1912996.1383947__1.1383947	1628085__A0A396MGZ2__C7386_12111
ERR1912996.1384066__1.1384066	165179__A0A3E4SDC8__PREVCOP_05706
ERR1912996.1384062__1.1384062	74426__rpoB
ERR1912996.1384392__1.1384392	1263000__R5EXT3__BN466_02213
ERR1912996.1384594__1.1384594	45851__D4S141__BHV86_05760
ERR1912996.1384799__1.1384799	45851__D4RX09__BUTYVIB_00360
ERR1912996.1384889__1.1384889	147206__GCF_000156215.1_01773
ERR1912996.1385082__1.1385082	216816__B7GPE8__I118_0062
ERR1912996.1385191__1.1385191	1686__A1A2Q5__BIFCAT_00347
ERR1912996.1385839__1.1385839	74426__purL
ERR1912996.1386073__1.1386073	301302__R5USZ5__dus_2
ERR1912996.1386236__1.1386236	216816__B7GNA5__BL71B_04625
ERR1912996.1386436__1.1386436	1680__A0A0C2YPV2__AL0462_1474
ERR1912996.1387029__1.1387029	1680__R5GRA4__ERS852382_01548
ERR1912996.1387262__1.1387262	74426__group_4823
ERR1912996.1387311__1.1387311	74426__purL
ERR1912996.1387455__1.1387455	1262936__R7IY18__BN799_00607
ERR1912996.1387459__1.1387459	74426__asnS
ERR1912996.1387513__1.1387513	147206__GCF_000156215.1_01776
ERR1912996.1387538__1.1387538	1680__A0A087DLC6__C8077_00815
ERR1912996.1387598__1.1387598	45851__D4RWS3__BUTYVIB_00110
ERR1912996.1387709__1.1387709	1680__A0A174BEE7__BSTER_1311
ERR1912996.1387737__1.1387737	28052__A0A174GK20__ERS852451_00454
ERR1912996.1387828__1.1387828	1680__A0A076JM61__DXD63_05245
ERR1912996.1387866__1.1387866	2022527__A0A264YA19__CHL74_03075
ERR1912996.1388065__1.1388065	572010__nifJ
ERR1912996.1388377__1.1388377	1263011__R6DRE4__BN553_01302
ERR1912996.1388500__1.1388500	301301__A0A395VAM3__yfiN_2
ERR1912996.1388506__1.1388506	1262936__R7J5M9__BN799_00277
ERR1912996.1388620__1.1388620	74426__purC
ERR1912996.1388764__1.1388764	301302__R5V5K3__M72_10541
ERR1912996.1388783__1.1388783	39485__C4Z1Y9__EUBELI_00143
ERR1912996.1388785__1.1388785	1263006__R6LU28__BN515_01365
ERR1912996.1388821__1.1388821	39485__A0A175A403__EUBELI_20577
ERR1912996.1388836__1.1388836	1262924__R7HRE7__BN585_00055
ERR1912996.1388911__1.1388911	301302__R5UQK8__M72_11501
ERR1912996.1389183__1.1389183	301302__A0A173T3P5__ERS852420_01836
ERR1912996.1389304__1.1389304	40518__R5DY98__mepA_5
ERR1912996.1389570__1.1389570	301301__A0A395V8E1__RHOM_11160
ERR1912996.1389842__1.1389842	1897011__A0A1Q6RH29__BHW41_01570
ERR1912996.1389852__1.1389852	1262911__R6GIB9__BN557_01439
ERR1912996.1389905__1.1389905	1262936__R7J0Z2__BN799_00650
ERR1912996.1390006__1.1390006	1262882__R5MFA5__BN519_00331
ERR1912996.1390158__1.1390158	1262959__R5Y6L0__BN680_01484
ERR1912996.1390376__1.1390376	1262924__R7HRJ9__BN585_00557
ERR1912996.1390383__1.1390383	1680__A0A174BEE7__BSTER_1311
ERR1912996.1390389__1.1390389	33043__A8SWZ6__ERS852386_02582
ERR1912996.1390469__1.1390469	384638__B7APN3__BACPEC_00639
ERR1912996.1390485__1.1390485	1897011__A0A1Q6RDY7__BHW41_05255
ERR1912996.1390550__1.1390550	1262911__R6GTZ4__BN557_01440
ERR1912996.1390662__1.1390662	39485__R5ZNG4__yerB
ERR1912996.1390876__1.1390876	1897011__A0A1Q6RE67__BHW41_04635
ERR1912996.1390932__1.1390932	853__A0A174BZY1__xerD_1
ERR1912996.1391127__1.1391127	45851__A0A3C0J7S9__BUTYVIB_01423
ERR1912996.1391164__1.1391164	901__B6WVN9__DESPIG_02157
ERR1912996.1391608__1.1391608	1262936__R7IYJ1__BN799_00810
ERR1912996.1391656__1.1391656	901__B6WY80__DESPIGER_1408
ERR1912996.1391700__1.1391700	1897011__A0A1Q6RDG0__BHW41_05600
ERR1912996.1391723__1.1391723	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1912996.1391842__1.1391842	35833__E5Y5X2__HMPREF0179_01585
ERR1912996.1392325__1.1392325	1897011__A0A1Q6RH12__BHW41_01505
ERR1912996.1392503__1.1392503	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1912996.1392586__1.1392586	901__B6WTX7__DESPIGER_1193
ERR1912996.1392796__1.1392796	1262911__R6HJS5__BN557_00288
ERR1912996.1392827__1.1392827	45851__D4RYC5__BHV86_01930
ERR1912996.1392918__1.1392918	1680__A7A7Z9__AAX71_05385
ERR1912996.1392996__1.1392996	2022527__A0A264Y7D2__CHL74_07285
ERR1912996.1393094__1.1393094	1263000__R5EXT3__BN466_02213
ERR1912996.1393085__1.1393085	147206__GCF_000156215.1_01773
ERR1912996.1393123__1.1393123	45851__D4RYQ1__BHV86_00310
ERR1912996.1393363__1.1393363	1262936__R7J2N8__BN799_01236
ERR1912996.1393390__1.1393390	147206__GCF_000156215.1_00974
ERR1912996.1393467__1.1393467	1262959__R5YC14__BN680_01757
ERR1912996.1393494__1.1393494	2022527__A0A264YAJ7__CHL74_00810
ERR1912996.1393520__1.1393520	1262936__R7J354__BN799_00281
ERR1912996.1393559__1.1393559	1262936__R7IZZ2__BN799_01307
ERR1912996.1393832__1.1393832	39485__A0A174YMM2__ERS852490_01019
ERR1912996.1393897__1.1393897	1263030__R5CRU0__BN705_01485
ERR1912996.1394009__1.1394009	40518__R5DT93__DXD86_08730
ERR1912996.1394091__1.1394091	216816__E8MVM4__APC1480_1562
ERR1912996.1394282__1.1394282	1628085__A0A2U1BCN9__C7386_10764
ERR1912996.1394381__1.1394381	552398__F4XCQ4__HMPREF0866_01621
ERR1912996.1394644__1.1394644	166486__D4KXA3__ROSINTL182_05894
ERR1912996.1394753__1.1394753	1262911__R6H2J2__BN557_01228
ERR1912996.1395341__1.1395341	39485__C4Z1J7__ERS852490_01574
ERR1912996.1395380__1.1395380	1262936__R7IZZ2__BN799_01307
ERR1912996.1395799__1.1395799	2022527__A0A264YA73__CHL74_04745
ERR1912996.1395918__1.1395918	901__B6WTT4__DESPIGER_1232
ERR1912996.1395924__1.1395924	147206__GCF_000156215.1_01777
ERR1912996.1395925__1.1395925	301302__R5V741__M72_13261
ERR1912996.1395927__1.1395927	74426__purL
ERR1912996.1396115__1.1396115	39488__C0EX25__DXD91_11965
ERR1912996.1396379__1.1396379	1262911__R6GZW9__BN557_00833
ERR1912996.1396405__1.1396405	74426__purL
ERR1912996.1396732__1.1396732	745368__A0A1T4XL98__SAMN02745178_01986
ERR1912996.1396916__1.1396916	1262936__R7J1X7__BN799_01807
ERR1912996.1397077__1.1397077	1262959__R5YE35__BN680_00548
ERR1912996.1397215__1.1397215	1262936__R7J1X7__BN799_01807
ERR1912996.1397291__1.1397291	74426__purL
ERR1912996.1397555__1.1397555	61171__B9Y5T8__HOLDEFILI_01170
ERR1912996.1397787__1.1397787	1263027__R6ZQT3__BN699_00088
ERR1912996.1397835__1.1397835	901__A0A1K1LF78__DESPIGER_1556
ERR1912996.1397842__1.1397842	2173__A0A1D2WSY4__METSMIF1_03317
ERR1912996.1397929__1.1397929	1262936__R7J048__BN799_01270
ERR1912996.1397939__1.1397939	39491__A0A395V2Y7__DXB72_13970
ERR1912996.1397999__1.1397999	1262936__R7J354__BN799_00281
ERR1912996.1398135__1.1398135	45851__D4RWC6__BHV86_07010
ERR1912996.1398183__1.1398183	39491__C4Z8S1__DXB76_06750
ERR1912996.1398272__1.1398272	1263011__R6E0L4__BN553_01675
ERR1912996.1398678__1.1398678	39491__C4ZC33__DXC13_11585
ERR1912996.1398718__1.1398718	39491__A0A396FJJ9__DXB76_11995
ERR1912996.1398948__1.1398948	28111__R5JQQ7__NCTC11155_02278
ERR1912996.1399141__1.1399141	1897011__A0A1Q6RIP7__BHW41_00530
ERR1912996.1399687__1.1399687	853__A0A174BZY1__xerD_1
ERR1912996.1400005__1.1400005	239935__R6K0V8__CXT94_02055
ERR1912996.1400647__1.1400647	39485__A0A174ZJ13__ssuB
ERR1912996.1400945__1.1400945	1628085__A0A3E2Y1L0__C7386_11254
ERR1912996.1400998__1.1400998	1897011__A0A1Q6RIQ3__BHW41_00450
ERR1912996.1401372__1.1401372	1628085__A0A3E2Y0H4__C7386_101347
ERR1912996.1401530__1.1401530	1680__A0A1X3A7D3__AD0028_1139
ERR1912996.1402240__1.1402240	1262741__R6DGB4__BN697_00418
ERR1912996.1402500__1.1402500	216816__Q8G4X6__DXD52_09895
ERR1912996.1402565__1.1402565	1680__A0A1E7XZY9__DXC60_05815
ERR1912996.1402717__1.1402717	901__B6WUY7__DHV46_11425
ERR1912996.1402757__1.1402757	1680__A0A0C2YPV2__AL0462_1474
ERR1912996.1402789__1.1402789	820__A0A139K5E7__DXC68_09550
ERR1912996.1402836__1.1402836	39485__C4Z6J9__ERS852492_02049
ERR1912996.1402905__1.1402905	216816__C5E9N8__DD678_02795
ERR1912996.1403148__1.1403148	901__B6WR17__DHV46_00835
ERR1912996.1403211__1.1403211	1680__R5GRA4__ERS852382_01548
ERR1912996.1403290__1.1403290	39485__A0A174ZPH7__ERS852490_01992
ERR1912996.1403379__1.1403379	1262936__R7IYM0__BN799_00052
ERR1912996.1403698__1.1403698	1680__A0A087DHN0__AL0462_1532
ERR1912996.1403704__1.1403704	1680__A0A174BEE7__BSTER_1311
ERR1912996.1403742__1.1403742	33043__A0A174H1Y6__ERS852575_02698
ERR1912996.1403825__1.1403825	1680__A0A076JNH5__DXC60_03835
ERR1912996.1403957__1.1403957	216816__C2GTH2__CE159_03580
ERR1912996.1404094__1.1404094	147206__GCF_000156215.1_01776
ERR1912996.1404273__1.1404273	1550024__A0A3B9WE41__ASJ35_03585
ERR1912996.1404653__1.1404653	28111__E5WYP5__BACEGG_00185
ERR1912996.1404963__1.1404963	1262886__R6QI91__BN563_00800
ERR1912996.1405050__1.1405050	1680__A7A4N3__ERS852382_00779
ERR1912996.1405146__1.1405146	1262936__R7J146__BN799_01697
ERR1912996.1405287__1.1405287	147206__GCF_000156215.1_01776
ERR1912996.1405602__1.1405602	301302__R5UKF2__M72_19701
ERR1912996.1405640__1.1405640	1262936__R7J144__BN799_01386
ERR1912996.1405792__1.1405792	40518__R5DU38__DXD83_06770
ERR1912996.1406002__1.1406002	2022527__A0A264Y7D2__CHL74_07285
ERR1912996.1406132__1.1406132	1263027__R6ZKS8__BN699_02246
ERR1912996.1406200__1.1406200	45851__D4RYA4__BHV86_02030
ERR1912996.1406646__1.1406646	1680__A0A174BEE7__BSTER_1311
ERR1912996.1406694__1.1406694	1262936__R7J2L3__BN799_01877
ERR1912996.1407015__1.1407015	1262882__R5MMY3__BN519_00724
ERR1912996.1407119__1.1407119	853__A0A2J4JL53__CRH10_10795
ERR1912996.1407318__1.1407318	1262911__R6HJS5__BN557_00288
ERR1912996.1407332__1.1407332	239935__A0A2N8IF99__lpdA
ERR1912996.1408016__1.1408016	1262936__R7J5M9__BN799_00277
ERR1912996.1408060__1.1408060	901__B6WWW2__DESPIG_02583
ERR1912996.1408388__1.1408388	1263027__R6ZK97__BN699_01244
ERR1912996.1408433__1.1408433	1680__A0A174BEE7__BSTER_1311
ERR1912996.1408767__1.1408767	1628085__A0A374VV54__C7386_11332
ERR1912996.1408838__1.1408838	39491__A0A395ZGU6__ERS852417_01456
ERR1912996.1408990__1.1408990	116085__D4J6V9__DW747_08450
ERR1912996.1408927__1.1408927	901__B6WUG8__DHV46_10540
ERR1912996.1409076__1.1409076	1262936__R7J6F9__BN799_00540
ERR1912996.1409233__1.1409233	28111__R5JPB6__NCTC11155_02514
ERR1912996.1409354__1.1409354	1262959__R5YCZ2__BN680_00156
ERR1912996.1409490__1.1409490	74426__pta
ERR1912996.1409567__1.1409567	1262936__R7IY33__BN799_00622
ERR1912996.1409789__1.1409789	1680__A0A0B5BIU5__BSTER_0145
ERR1912996.1409926__1.1409926	1262936__R7J0S3__BN799_01459
ERR1912996.1409968__1.1409968	901__A0A1K1LG50__DESPIG_01817
ERR1912996.1410066__1.1410066	204516__U6R9H3__HMPREF1534_03348
ERR1912996.1410094__1.1410094	301301__A0A395VAL3__mcp2_2
ERR1912996.1410642__1.1410642	40518__R5DVL2__penA
ERR1912996.1410968__1.1410968	216816__B3DP82__DVB78_09640
ERR1912996.1411012__1.1411012	74426__purL
ERR1912996.1411137__1.1411137	1628085__A0A2U1BCN9__C7386_10764
ERR1912996.1411215__1.1411215	1262992__R5D3R1__BN795_01492
ERR1912996.1411416__1.1411416	1262924__R7HKP8__BN585_01113
ERR1912996.1411482__1.1411482	1262882__R5N5H2__BN519_01493
ERR1912996.1411533__1.1411533	301301__A0A395VG51__RHOM_05870
ERR1912996.1411624__1.1411624	1263000__R5EXT3__BN466_02213
ERR1912996.1411777__1.1411777	74426__rpoB
ERR1912996.1411808__1.1411808	1897011__A0A1Q6RG95__BHW41_02720
ERR1912996.1412408__1.1412408	1628085__A0A374VSS7__C7386_101299
ERR1912996.1412787__1.1412787	147206__GCF_000156215.1_01776
ERR1912996.1413076__1.1413076	1262936__R7IY41__BN799_00608
ERR1912996.1413278__1.1413278	40518__R5DQJ0__DXD93_03790
ERR1912996.1413295__1.1413295	39491__A0A395ZG96__DXB69_15120
ERR1912996.1413505__1.1413505	357276__I9F3U2__B5F00_20845
ERR1912996.1414237__1.1414237	147206__GCF_000156215.1_01777
ERR1912996.1414348__1.1414348	45851__D4S0T7__BHV86_09275
ERR1912996.1414526__1.1414526	2292352__A0A374UNV2__DXC23_05215
ERR1912996.1414565__1.1414565	1680__A0A087DHN0__AL0462_1532
ERR1912996.1414667__1.1414667	1263000__R5EI42__BN466_00075
ERR1912996.1414786__1.1414786	1628085__A0A3E2XTK8__C7386_10217
ERR1912996.1414805__1.1414805	100884__E7GFK3__DXB26_14415
ERR1912996.1414842__1.1414842	649756__D4MTX1__DCR88_05080
ERR1912996.1414928__1.1414928	239935__A0A2N8ITG2__Amuc_0335
ERR1912996.1415010__1.1415010	1735__B7CDP2__carA
ERR1912996.1415278__1.1415278	1680__A0A374QDL4__LMG18897_0432
ERR1912996.1415934__1.1415934	1262911__R6HHR1__BN557_01622
ERR1912996.1416033__1.1416033	45851__D4S2J5__BUTYVIB_02317
ERR1912996.1416104__1.1416104	172901__A0A2U1ALK5__C8D82_13135
ERR1912996.1416163__1.1416163	1262936__R7J354__BN799_00281
ERR1912996.1416124__1.1416124	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1912996.1416218__1.1416218	39485__A0A174YZE2__spoIIE
ERR1912996.1416553__1.1416553	1262924__R7HPS8__BN585_00646
ERR1912996.1416655__1.1416655	1897011__A0A1Q6REX0__BHW41_04225
ERR1912996.1416688__1.1416688	853__A0A2A6Z8X1__FPR_03410
ERR1912996.1416810__1.1416810	901__B6WUY7__DHV46_11425
ERR1912996.1416884__1.1416884	239935__A0A2N8I390__CXU16_10675
ERR1912996.1417151__1.1417151	1262936__R7J169__BN799_00083
ERR1912996.1417166__1.1417166	1262936__R7J049__BN799_01347
ERR1912996.1417394__1.1417394	39491__A0A396FMT0__EUBREC_3020
ERR1912996.1417597__1.1417597	853__A0A174C5M1__CGS58_04460
ERR1912996.1417916__1.1417916	39485__A0A174YTF7__ERS852490_01271
ERR1912996.1418249__1.1418249	1680__A0A0B5BIU5__BSTER_0145
ERR1912996.1418412__1.1418412	45851__D4S288__BHV86_04325
ERR1912996.1418488__1.1418488	28052__R7N8Y9__macB_4
ERR1912996.1418920__1.1418920	165179__A0A174WGF6__PREVCOP_04095
ERR1912996.1418946__1.1418946	853__A8SCP3__C4N26_07960
ERR1912996.1418986__1.1418986	572010__rpsR
ERR1912996.1419404__1.1419404	1262936__R7J1V8__BN799_00957
ERR1912996.1419435__1.1419435	1262936__R7J0Z2__BN799_00650
ERR1912996.1419782__1.1419782	74426__purL
ERR1912996.1419847__1.1419847	1680__A0A087DHN0__AL0462_1532
ERR1912996.1419926__1.1419926	39485__A0A174YYW2__benM
ERR1912996.1419997__1.1419997	820__A7UYX8__DXD40_11635
ERR1912996.1420284__1.1420284	28052__R7N8X2__ERS852451_01586
ERR1912996.1420494__1.1420494	45851__D4RWS3__BUTYVIB_00110
ERR1912996.1420683__1.1420683	823__A0A355XLH0__fepA_1
ERR1912996.1420663__1.1420663	45851__R5LTE7__BHV86_04805
ERR1912996.1420778__1.1420778	301302__R5V741__M72_13261
ERR1912996.1420959__1.1420959	1262911__R6GZW9__BN557_00833
ERR1912996.1421122__1.1421122	292800__A0A174T130__HMPREF9460_00060
ERR1912996.1421325__1.1421325	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1912996.1421349__1.1421349	1262936__R7IY41__BN799_00608
ERR1912996.1421642__1.1421642	1262936__R7IYW8__BN799_00842
ERR1912996.1421806__1.1421806	216816__B3DNW2__BL171B_07980
ERR1912996.1421874__1.1421874	1262936__R7J420__BN799_00406
ERR1912996.1421881__1.1421881	901__B6WQQ5__DHV46_03695
ERR1912996.1421910__1.1421910	301302__A0A173TNM6__luxQ
ERR1912996.1421984__1.1421984	1262911__R6H2J2__BN557_01228
ERR1912996.1422142__1.1422142	1680__A0A174BEE7__BSTER_1311
ERR1912996.1422376__1.1422376	45851__R5LTQ3__BHV86_02315
ERR1912996.1422443__1.1422443	1628085__A0A374VPP0__C7386_11442
ERR1912996.1422455__1.1422455	901__B6WXG1__DHV46_02130
ERR1912996.1422426__1.1422426	301302__A0A173S436__M72_16191
ERR1912996.1422606__1.1422606	100884__E7GFK8__HMPREF9488_03551
ERR1912996.1422694__1.1422694	2022527__A0A264Y9Y7__CHL74_02905
ERR1912996.1422872__1.1422872	74426__asnS
ERR1912996.1423146__1.1423146	39491__C4ZAT2__ERE_28440
ERR1912996.1423232__1.1423232	1262936__R7J5M9__BN799_00277
ERR1912996.1423353__1.1423353	39491__A0A395V0H3__ERS852417_01192
ERR1912996.1423375__1.1423375	853__E2ZGD9__C7J97_11715
ERR1912996.1423389__1.1423389	1262936__R7J169__BN799_00083
ERR1912996.1423457__1.1423457	301302__A0A0M6WZT5__M72_18331
ERR1912996.1423560__1.1423560	1680__A7A7Z9__AAX71_05385
ERR1912996.1424490__1.1424490	1680__A7A7Z9__AAX71_05385
ERR1912996.1424649__1.1424649	1262992__R5D952__BN795_00714
ERR1912996.1424666__1.1424666	901__B6WR17__DHV46_00835
ERR1912996.1424756__1.1424756	853__A0A3E2V168__FAEPRAM212_00929
ERR1912996.1424872__1.1424872	901__B6WVE2__DHV46_05785
ERR1912996.1424874__1.1424874	1262936__R7J158__BN799_01406
ERR1912996.1424983__1.1424983	28111__E5WXQ8__NCTC11155_03183
ERR1912996.1425082__1.1425082	147206__GCF_000156215.1_01774
ERR1912996.1425120__1.1425120	1262882__R5MNC1__BN519_00818
ERR1912996.1425294__1.1425294	1262741__R6CGN4__BN697_00056
ERR1912996.1425318__1.1425318	216816__Q8G6X1__DD674_00140
ERR1912996.1425499__1.1425499	1680__A1A1R1__BIFADO_00076
ERR1912996.1425579__1.1425579	74426__rpoC
ERR1912996.1425868__1.1425868	40518__R5DZ16__DXD86_01455
ERR1912996.1426050__1.1426050	1150298__R7JRU1__degA_3
ERR1912996.1426051__1.1426051	487174__K0X3L3__DDY40_11345
ERR1912996.1426088__1.1426088	1263006__R6LMY4__BN515_01429
ERR1912996.1426375__1.1426375	35833__E5Y6S3__HMPREF0179_01886
ERR1912996.1426514__1.1426514	33039__D4M149__ERS852390_03118
ERR1912996.1426584__1.1426584	165179__A0A3E5A832__DXC61_13685
ERR1912996.1426593__1.1426593	216816__D6DBD5__DXC32_04335
ERR1912996.1426626__1.1426626	1263006__R6MPG9__BN515_01866
ERR1912996.1426672__1.1426672	45851__D4RW33__ylbJ
ERR1912996.1426878__1.1426878	45851__D4S1R9__BHV86_08150
ERR1912996.1426951__1.1426951	1680__A0A3E4SB79__BAD_1517
ERR1912996.1427233__1.1427233	301302__A0A0M6WWK6__M72_13961
ERR1912996.1427364__1.1427364	1262919__R5PRP3__BN465_00924
ERR1912996.1427523__1.1427523	45851__D4S069__spoIVA
ERR1912996.1427585__1.1427585	39491__R6TQ09__DXC13_03010
ERR1912996.1427705__1.1427705	1897011__A0A1Q6RG37__BHW41_02405
ERR1912996.1427741__1.1427741	301302__A0A0M6W9I4__M72_19871
ERR1912996.1427959__1.1427959	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1912996.1428303__1.1428303	1297617__A0A0S2W665__BIV19_07330
ERR1912996.1428382__1.1428382	901__B6WUG8__DHV46_10540
ERR1912996.1428430__1.1428430	820__A7V859__ERS852462_00341
ERR1912996.1428647__1.1428647	216816__A0A133L1E2__ptsP
ERR1912996.1428927__1.1428927	1263027__R7A006__BN699_02145
ERR1912996.1428988__1.1428988	2022527__A0A264YA19__CHL74_03075
ERR1912996.1429124__1.1429124	1263000__R5EGY6__BN466_00973
ERR1912996.1429066__1.1429066	209880__A0A1G5UW97__SAMN02910343_00185
ERR1912996.1429257__1.1429257	239935__A0A2N8HMQ8__pgsA
ERR1912996.1429292__1.1429292	301301__A0A395V9P9__ERS852391_00747
ERR1912996.1429442__1.1429442	1262936__R7J1M7__BN799_01868
ERR1912996.1429750__1.1429750	39491__A0A0M6WLC7__ERS852497_00640
ERR1912996.1429962__1.1429962	820__A0A3E5E9Y8__DXD90_09110
ERR1912996.1430023__1.1430023	301301__G2SZK8__ERS852391_00581
ERR1912996.1430357__1.1430357	40518__R5DPA7__RBATCC27255_01319
ERR1912996.1430516__1.1430516	1262936__R7IZZ2__BN799_01307
ERR1912996.1430533__1.1430533	901__B6WVN9__DESPIG_02157
ERR1912996.1430538__1.1430538	1680__A0A0C2YPV2__AL0462_1474
ERR1912996.1430780__1.1430780	1262936__R7J354__BN799_00281
ERR1912996.1430959__1.1430959	853__A0A3E2V168__FAEPRAM212_00929
ERR1912996.1431148__1.1431148	1262936__R7J420__BN799_00406
ERR1912996.1431813__1.1431813	1262936__R7J1V8__BN799_00957
ERR1912996.1431953__1.1431953	820__A0A174KKV6__DXC07_02635
ERR1912996.1432200__1.1432200	901__A0A1K1LGQ2__DESPIG_02072
ERR1912996.1432338__1.1432338	2173__A0A1D2WT64__METSMIALI_01143
ERR1912996.1432508__1.1432508	572010__rplB
ERR1912996.1432534__1.1432534	1262936__R7J048__BN799_01270
