ERR1913161.22__1.22	1550024__A0A0D8J179__ASJ35_09245
ERR1913161.244068__1.244068	1262882__R5N532__BN519_01420
ERR1913161.244186__1.244186	39485__A0A174YSS6__trxB_2
ERR1913161.244323__1.244323	47678__R5UMP1__CGC64_03365
ERR1913161.244441__1.244441	357276__B6VW91__BACDOR_01584
ERR1913161.244824__1.244824	28117__B0MSR5__BHV66_02095
ERR1913161.244831__1.244831	47678__R5UZM4__DW706_15680
ERR1913161.244981__1.244981	1160721__R6TH97__BHW50_04165
ERR1913161.245234__1.245234	328814__GCA_004558275.1_02025
ERR1913161.245237__1.245237	239935__B2UQB8__CXT86_01740
ERR1913161.245225__1.245225	1262924__R7HRJ9__BN585_00557
ERR1913161.245863__1.245863	239935__A0A2N8I8X8__B5G29_00185
ERR1913161.245950__1.245950	1262882__R5N4D8__BN519_01497
ERR1913161.246124__1.246124	1262869__R7CRP7__BN625_01723
ERR1913161.246435__1.246435	291645__I9SGK8__HMPREF1068_00004
ERR1913161.246477__1.246477	28117__R7JJM9__ALIPUT_00662
ERR1913161.246653__1.246653	301301__A0A395V3Q5__sufB
ERR1913161.246794__1.246794	360807__A0A1Q6SXK5__RIL183_06541
ERR1913161.246953__1.246953	239935__A0A2N8INZ4__CXU08_03560
ERR1913161.247061__1.247061	239935__A0A2N8HQR1__Amuc_0287
ERR1913161.247112__1.247112	239935__B2UL21__CXT98_03395
ERR1913161.247249__1.247249	214856__A0A173W3Y5__ERS852559_02032
ERR1913161.247361__1.247361	1262882__R5N587__BN519_01643
ERR1913161.248134__1.248134	246787__A0A3D6AS39__ina
ERR1913161.248386__1.248386	1262743__R5C054__BN727_01980
ERR1913161.248469__1.248469	2293125__A0A374BMX7__DW917_15775
ERR1913161.248665__1.248665	239935__A0A2N8IDX4__CXU20_07380
ERR1913161.248762__1.248762	47678__R5UES7__sipS
ERR1913161.248801__1.248801	1262869__R7CNL6__BN625_01290
ERR1913161.248820__1.248820	328814__GCA_004558275.1_00034
ERR1913161.248967__1.248967	239935__A0A2N8HB50__CXU17_02615
ERR1913161.248992__1.248992	1262869__R7CKH2__BN625_00829
ERR1913161.249073__1.249073	1262882__R5MND9__BN519_00831
ERR1913161.249079__1.249079	301301__A0A395V957__RHOM_14115
ERR1913161.249138__1.249138	1235835__R9LCU2__C814_02677
ERR1913161.249242__1.249242	47678__R5U325__HMPREF1061_03209
ERR1913161.249395__1.249395	88431__A0A174L1Y3__cat
ERR1913161.249661__1.249661	823__A0A174RH99__ERS852380_00691
ERR1913161.249881__1.249881	1263000__R5EKG2__BN466_02040
ERR1913161.250206__1.250206	821__A0A396FEL8__C5Z04_06030
ERR1913161.250259__1.250259	214856__I3YPQ0__ERS852447_01379
ERR1913161.250373__1.250373	544645__A0A3D2DVR9__DXC42_05855
ERR1913161.250597__1.250597	821__A0A3E4WAR6__DXD64_10735
ERR1913161.250650__1.250650	1262882__R5MEN9__BN519_00201
ERR1913161.250978__1.250978	1897011__A0A1Q6RDY7__BHW41_05255
ERR1913161.251289__1.251289	1550024__G9RZG0__ASJ35_05540
ERR1913161.251291__1.251291	1262992__R5D6J2__BN795_00288
ERR1913161.251540__1.251540	823__A0A174RH99__ERS852380_00691
ERR1913161.251663__1.251663	884684__GCA_002892425.1_01416
ERR1913161.251618__1.251618	2292352__A0A374UNZ9__DXC23_01520
ERR1913161.251691__1.251691	1263005__R6ETF4__BN497_00777
ERR1913161.252615__1.252615	823__A0A355XIK0__CEQ22_011965
ERR1913161.252703__1.252703	239935__A0A2N8IMC3__CXT96_03840
ERR1913161.252684__1.252684	239935__B2URG9__CXU00_11290
ERR1913161.252738__1.252738	1262743__R5C054__BN727_01980
ERR1913161.252794__1.252794	1432052__A0A1E3ABI0__BEI62_01345
ERR1913161.253003__1.253003	1124654__GeneID:3953020
ERR1913161.253084__1.253084	328814__GCA_004558275.1_00296
ERR1913161.253105__1.253105	1262882__R5N4P6__BN519_01346
ERR1913161.253421__1.253421	1550024__A0A3B9WEG3__ASJ35_04505
ERR1913161.253669__1.253669	1262882__R5MRT2__BN519_01494
ERR1913161.253598__1.253598	357276__B6W5Q9__HMPREF1063_03125
ERR1913161.253854__1.253854	328814__GCA_004558275.1_02023
ERR1913161.253966__1.253966	1780376__A0A143XSC4__BN3659_01663
ERR1913161.254643__1.254643	239935__A0A2N8IEP3__CXT84_03735
ERR1913161.254701__1.254701	165179__D1PGU8__PREVCOP_06463
ERR1913161.254789__1.254789	1262882__R5N3T7__BN519_01188
ERR1913161.254751__1.254751	1262882__R5MEW7__BN519_00010
ERR1913161.254843__1.254843	1235835__R9LCU2__C814_02677
ERR1913161.254905__1.254905	28117__B0MTS2__ALIPUT_00159
ERR1913161.254865__1.254865	1262882__R5N1L4__BN519_00757
ERR1913161.255308__1.255308	239935__A0A2N8IEP3__CXT84_03735
ERR1913161.255602__1.255602	328814__GCA_004558275.1_00036
ERR1913161.255794__1.255794	357276__I9F327__DXD47_22495
ERR1913161.255933__1.255933	410072__A0A174K186__ERS852481_00847
ERR1913161.256001__1.256001	818__A0A3E5HDS4__BJP75_002620
ERR1913161.256324__1.256324	1262882__R5N0M6__BN519_00794
ERR1913161.256356__1.256356	823__K6APS3__DDY96_02400
ERR1913161.256626__1.256626	1550024__A0A0D8IUW2__TQ39_17855
ERR1913161.256675__1.256675	821__A0A3E4KIM1__M097_3660
ERR1913161.256747__1.256747	1262924__R7HS18__BN585_01949
ERR1913161.256847__1.256847	821__A0A0P0L8F8__ERS852509_03705
ERR1913161.257046__1.257046	28117__B0MTV5__BHV66_06415
ERR1913161.257160__1.257160	239935__A0A2N8HTZ8__CXU09_01270
ERR1913161.257531__1.257531	239935__A0A2N8I3Z7__CXU05_10555
ERR1913161.258022__1.258022	1262882__R5MND9__BN519_00831
ERR1913161.258412__1.258412	239935__A0A2N8HBM4__CXT85_06270
ERR1913161.258421__1.258421	823__A0A173VS36__M091_4727
ERR1913161.258656__1.258656	239935__B2UNC5__B5G29_07685
ERR1913161.259034__1.259034	821__A0A0P0L8F8__ERS852509_03705
ERR1913161.259173__1.259173	1262882__R5MLT4__BN519_01496
ERR1913161.259329__1.259329	239935__A0A2N8I3G2__CXT89_00720
ERR1913161.259411__1.259411	1263005__R6F226__BN497_00998
ERR1913161.259554__1.259554	1262992__R5DCV6__BN795_00412
ERR1913161.259763__1.259763	292800__A0A174UC23__ERS852544_02659
ERR1913161.259826__1.259826	821__U6RDC2__DXD46_15675
ERR1913161.260313__1.260313	1034346__A0A318KFK9__DES51_1172
ERR1913161.260334__1.260334	823__A0A395YZG9__M092_4358
ERR1913161.260452__1.260452	239935__A0A2N8IVR0__CXT87_07115
ERR1913161.260462__1.260462	239935__A0A2N8IRL2__CXU06_01170
ERR1913161.260493__1.260493	147206__GCF_000156215.1_01431
ERR1913161.260583__1.260583	357276__I8WML9__DXD47_10570
ERR1913161.260857__1.260857	410072__C0B8G3__DXD67_01535
ERR1913161.260974__1.260974	239935__R7DVW2__CXU02_03915
ERR1913161.261072__1.261072	239935__A0A139TT05__CXU09_03335
ERR1913161.261149__1.261149	1680__A0A0B5BL52__ERS852382_00480
ERR1913161.261208__1.261208	239935__A0A2N8HM32__CXT85_08075
ERR1913161.261179__1.261179	328814__GCA_004558275.1_02021
ERR1913161.261307__1.261307	556259__E5C6L5__BSGG_0298
ERR1913161.261633__1.261633	1262882__R5MZZ3__BN519_00482
ERR1913161.261654__1.261654	1550024__G9RQ59__TQ39_14360
ERR1913161.261807__1.261807	239935__A0A2N8HBM4__CXT85_06270
ERR1913161.261842__1.261842	821__A0A396F1N0__M099_1553
ERR1913161.262011__1.262011	1379702__U6EE28__MBMB1_1515
ERR1913161.262126__1.262126	357276__I9FGI3__EL88_12385
ERR1913161.262296__1.262296	239935__A0A2N8I3Z7__CXU05_10555
ERR1913161.262728__1.262728	544645__A0A3E4TA01__DXC42_07540
ERR1913161.262751__1.262751	1262882__R5MF51__BN519_00287
ERR1913161.262758__1.262758	239935__A0A2N8HQR1__Amuc_0287
ERR1913161.262785__1.262785	239935__A0A2N8IRW0__A4V05_11620
ERR1913161.262886__1.262886	28117__B0MY82__BHV66_04755
ERR1913161.263240__1.263240	74426__yccM
ERR1913161.263248__1.263248	410072__A0A174E1G6__phoR_6
ERR1913161.263268__1.263268	823__A0A174GGT1__queG
ERR1913161.263333__1.263333	544645__A0A3E4T3I1__DXC42_11810
ERR1913161.263361__1.263361	1262882__R5MSX6__BN519_01697
ERR1913161.263550__1.263550	47678__A5ZF31__DXB67_11050
ERR1913161.263702__1.263702	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913161.263707__1.263707	1262869__R7CT13__BN625_00558
ERR1913161.263857__1.263857	301301__A0A395V714__evgS
ERR1913161.264012__1.264012	1262869__R7CPW8__BN625_01602
ERR1913161.264343__1.264343	1262869__R7CQK4__BN625_01693
ERR1913161.264344__1.264344	1262882__R5MGK3__BN519_00655
ERR1913161.264407__1.264407	360807__A0A1Q6T5F3__ERS852392_00510
ERR1913161.264472__1.264472	357276__I8WBQ9__HMPREF1065_03212
ERR1913161.264564__1.264564	239935__A0A2N8I1R3__CXU05_06075
ERR1913161.264591__1.264591	239935__A0A139TMG9__CXU07_10650
ERR1913161.264678__1.264678	1262882__R5MEN9__BN519_00201
ERR1913161.264957__1.264957	239935__A0A139TPD4__CXT86_06450
ERR1913161.265088__1.265088	246787__A0A0P0GF82__HMPREF1062_02163
ERR1913161.265325__1.265325	1262882__R5MGX3__BN519_00046
ERR1913161.265405__1.265405	1262992__R5DCV6__BN795_00412
ERR1913161.265514__1.265514	214856__I3YPN9__ERS852447_01389
ERR1913161.265580__1.265580	246787__A0A0P0GET5__AA416_04410
ERR1913161.265598__1.265598	821__A0A3E4KIM1__M097_3660
ERR1913161.265827__1.265827	1262869__R7CM75__BN625_00831
ERR1913161.265840__1.265840	1263006__R6LU28__BN515_01365
ERR1913161.266134__1.266134	100886__R7GNA5__ERS852383_05535
ERR1913161.266557__1.266557	2173__A0A1D2WTT4__BK798_05110
ERR1913161.266587__1.266587	1262882__R5MRS7__BN519_01490
ERR1913161.266642__1.266642	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913161.266799__1.266799	1897011__A0A1Q6RI45__BHW41_00970
ERR1913161.267200__1.267200	216816__Q8G5T7__HMPREF0175_0394
ERR1913161.267215__1.267215	1262882__R5MGX3__BN519_00046
ERR1913161.267321__1.267321	1262869__R7CQL0__BN625_01594
ERR1913161.267493__1.267493	818__A0A2J6AED2__C5Z03_02940
ERR1913161.267514__1.267514	97478__A0A099YB52__SAMN05216461_12015
ERR1913161.267843__1.267843	239935__R6K0V8__CXT94_02055
ERR1913161.267930__1.267930	239935__R6JCH3__CXT95_08205
ERR1913161.267987__1.267987	28117__B0MTI4__ALIPUT_00084
ERR1913161.268152__1.268152	214856__I3YPN0__ERS852447_01398
ERR1913161.268308__1.268308	544645__A0A3E4TJQ9__DXC42_00310
ERR1913161.268712__1.268712	1550024__G9RPC6__TQ39_05630
ERR1913161.268831__1.268831	1262882__R5MIW5__BN519_00945
ERR1913161.269236__1.269236	1683__A0A126SU27__Bang102_001985
ERR1913161.269345__1.269345	1262882__R5MSI7__BN519_01601
ERR1913161.269410__1.269410	239935__A0A2N8J2P6__ADH72_06730
ERR1913161.269535__1.269535	239935__A0A139TT05__CXU09_03335
ERR1913161.269497__1.269497	357276__D1JYA0__EL88_06560
ERR1913161.269665__1.269665	239935__B2UL82__CXU14_06655
ERR1913161.270141__1.270141	357276__I9R994__BACDOR_04044
ERR1913161.270335__1.270335	820__A0A078S4C2__ERS417307_00828
ERR1913161.270575__1.270575	239935__A0A2N8HT68__ADH72_00510
ERR1913161.270653__1.270653	239935__A0A2N8IVR0__CXT87_07115
ERR1913161.270675__1.270675	28116__A0A078Q626__HMPREF1070_02735
ERR1913161.270706__1.270706	818__A0A139K1T6__SAMN05216253_11033
ERR1913161.270829__1.270829	1262911__R6GTG0__BN557_01247
ERR1913161.270872__1.270872	239935__B2URG6__CXU02_00030
ERR1913161.270901__1.270901	1263000__R5EXT3__BN466_02213
ERR1913161.271137__1.271137	239935__A0A2N8HB50__CXU17_02615
ERR1913161.271292__1.271292	214856__I3YPN0__ERS852447_01398
ERR1913161.271378__1.271378	1550024__A0A0D8J3J4__TQ39_01275
ERR1913161.271750__1.271750	1262882__R5N2U9__BN519_01221
ERR1913161.271964__1.271964	328814__GCA_004558275.1_00236
ERR1913161.272048__1.272048	1660__A0A1N1ZD03__NCTC9935_00080
ERR1913161.272255__1.272255	214856__R6Z5D0__resA_4
ERR1913161.272383__1.272383	46503__R6X8R7__PARMER_00141
ERR1913161.272467__1.272467	40518__R5DTJ1__DXD86_03635
ERR1913161.272473__1.272473	1550024__A0A0D8J0U7__ASJ35_13230
ERR1913161.272503__1.272503	1262882__R5MLP5__BN519_01602
ERR1913161.272705__1.272705	239935__B2URG9__CXU00_11290
ERR1913161.272701__1.272701	823__A0A174PDQ0__DXC05_08200
ERR1913161.272804__1.272804	2173__A0A1D2WVA1__Msm_0411
ERR1913161.272997__1.272997	239935__A0A2N8ITX2__CXT86_11265
ERR1913161.273030__1.273030	1262882__R5N2A9__BN519_00921
ERR1913161.273112__1.273112	2173__A0A1D2WSN7__Msm_1465
ERR1913161.273169__1.273169	28116__A7M344__BACOV975_04644
ERR1913161.273639__1.273639	214856__I3YMC8__ERS852447_02666
ERR1913161.273821__1.273821	1550024__G9RWG5__TQ39_04290
ERR1913161.274152__1.274152	1160721__W0U2B0__BHW50_02375
ERR1913161.274154__1.274154	1262777__R5VLQ5__BN512_00479
ERR1913161.274162__1.274162	1262882__R5MIW5__BN519_00945
ERR1913161.274210__1.274210	214856__R6XNE7__ERS852447_02267
ERR1913161.274467__1.274467	28118__A0A1Y3Y204__NCTC10826_02015
ERR1913161.274523__1.274523	239935__B2UQP8__CXU15_01110
ERR1913161.274538__1.274538	28116__A0A3D2LPA1__CUY_3388
ERR1913161.274857__1.274857	239935__A0A2N8IUW6__Amuc_1525
ERR1913161.274875__1.274875	1262882__R5MYP8__BN519_00439
ERR1913161.274899__1.274899	1262911__R6H0U7__BN557_01104
ERR1913161.275212__1.275212	1124654__GeneID:14005778
ERR1913161.275235__1.275235	371601__A0A139LNM6__BN891_32770
ERR1913161.275446__1.275446	239935__A0A2N8ILG3__CXT93_10135
ERR1913161.275573__1.275573	1262882__R5MEK3__BN519_00296
ERR1913161.275876__1.275876	239935__A0A2N8HL50__CXT98_09135
ERR1913161.275965__1.275965	1235835__R9LCU2__C814_02677
ERR1913161.276126__1.276126	1262929__R6F8A0__BN691_00413
ERR1913161.276109__1.276109	371601__W6P7Q9__BN890_32770
ERR1913161.276156__1.276156	1262882__R5MSI7__BN519_01601
ERR1913161.276169__1.276169	1683__A0A087BKL0__BIANG_0568
ERR1913161.276497__1.276497	563769__GeneID:6973156
ERR1913161.276572__1.276572	820__R9I2U8__DXC68_09590
ERR1913161.276727__1.276727	1262882__R5N4P6__BN519_01346
ERR1913161.276903__1.276903	820__A0A174LJB2__HMPREF1072_04112
ERR1913161.276940__1.276940	239935__A0A2N8IEP3__CXT84_03735
ERR1913161.276926__1.276926	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913161.277170__1.277170	28117__B0MSQ3__ALIPUT_00347
ERR1913161.277371__1.277371	1262882__R5MY46__BN519_00355
ERR1913161.277400__1.277400	214856__A0A174G9T6__ERS852447_02535
ERR1913161.277552__1.277552	487175__R5EHY8__HMPREF9439_01174
ERR1913161.277563__1.277563	820__A7V092__hldE
ERR1913161.277599__1.277599	1262882__R5MHZ2__BN519_00742
ERR1913161.277661__1.277661	239935__A0A139TPU7__CXT91_06575
ERR1913161.277732__1.277732	817__A0A1C0WW19__macB_12
ERR1913161.277979__1.277979	1550024__G9RWE0__TQ39_04155
ERR1913161.278041__1.278041	239935__A0A2N8IF99__lpdA
ERR1913161.278058__1.278058	821__A0A0P0M2J4__DXD46_10295
ERR1913161.278283__1.278283	1262882__R5MHQ8__BN519_00707
ERR1913161.278652__1.278652	47678__R5U8P0__DW706_15950
ERR1913161.278674__1.278674	214856__A0A174EQR4__rsmA
ERR1913161.278939__1.278939	100886__E2NRI8__ERS852383_05979
ERR1913161.279026__1.279026	1897011__A0A1Q6RDX0__BHW41_05325
ERR1913161.279061__1.279061	823__E1YSG0__DHP27_00465
ERR1913161.279438__1.279438	328814__GCA_004558275.1_00074
ERR1913161.279503__1.279503	357276__B6VYT9__HMPREF1063_05030
ERR1913161.279531__1.279531	28116__A0A1Y4Q114__DXF98_00470
ERR1913161.279593__1.279593	239935__A0A139TPG3__CXT86_08810
ERR1913161.279678__1.279678	214856__A0A173YXX1__ERS852559_01651
ERR1913161.279702__1.279702	28117__R7JH62__BHV66_05735
ERR1913161.279800__1.279800	1897011__A0A1Q6RG93__BHW41_02645
ERR1913161.280036__1.280036	357276__C3R5A0__B5F00_02960
ERR1913161.280737__1.280737	1099853__R7DG84__NSB1T_13390
ERR1913161.280920__1.280920	39488__A0A173RXS4__ribF
ERR1913161.281383__1.281383	216816__B7GTP7__BLIC_h02039
ERR1913161.281694__1.281694	2292352__A0A374UNZ9__DXC23_01520
ERR1913161.281696__1.281696	172901__A0A2U1ARD1__C8D82_12318
ERR1913161.281727__1.281727	487175__F3QIG5__HMPREF9439_00712
ERR1913161.281856__1.281856	649756__A0A173TB83__HMPREF0369_01758
ERR1913161.281867__1.281867	28117__B0MXQ6__ALIPUT_01917
ERR1913161.281935__1.281935	239935__A0A2N8IRH4__CXT92_05605
ERR1913161.281947__1.281947	360807__A0A173VDL4__dosC_2
ERR1913161.281976__1.281976	239935__A0A2N8HT44__CXT84_11035
ERR1913161.282063__1.282063	28117__B0MXW9__ALIPUT_01981
ERR1913161.282253__1.282253	1262882__R5MKI3__BN519_00334
ERR1913161.282263__1.282263	1262869__R7CPL6__BN625_01439
ERR1913161.282267__1.282267	165179__A0A3E5DWZ6__DXC61_10880
ERR1913161.282284__1.282284	410072__A0A174JCL9__tee6
ERR1913161.282427__1.282427	1262743__R5C054__BN727_01980
ERR1913161.282566__1.282566	1262869__R7CS12__BN625_00205
ERR1913161.282571__1.282571	2292352__A0A374UNZ9__DXC23_01520
ERR1913161.282695__1.282695	357276__A0A0M1W657__HMPREF1064_04629
ERR1913161.282951__1.282951	39488__A0A285PS86__EUBHAL_02647
ERR1913161.283085__1.283085	1235835__R9LCU2__C814_02677
ERR1913161.283141__1.283141	1262869__R7CSM2__BN625_00375
ERR1913161.283381__1.283381	1262869__R7CQA4__BN625_01547
ERR1913161.283474__1.283474	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913161.283810__1.283810	1262882__R5MSQ8__BN519_01647
ERR1913161.283816__1.283816	1262869__R7CR03__BN625_01769
ERR1913161.283852__1.283852	818__A0A174LEN9__BJP75_006595
ERR1913161.283872__1.283872	1897011__A0A1Q6RE77__BHW41_04655
ERR1913161.284009__1.284009	1550024__A0A0D8J659__TQ39_00125
ERR1913161.284060__1.284060	1262882__R5N1N6__BN519_00968
ERR1913161.284414__1.284414	100886__A0A174IRJ7__argD
ERR1913161.284987__1.284987	239935__R7DVW2__CXU02_03915
ERR1913161.285259__1.285259	47678__R5U878__ERS852494_03300
ERR1913161.285485__1.285485	239935__A0A2N8IMC9__CXU09_02095
ERR1913161.285611__1.285611	239935__A0A2N8HT44__CXT84_11035
ERR1913161.285783__1.285783	28116__A0A1Y4Q112__evgS_13
ERR1913161.286197__1.286197	47678__R5UES3__CGC64_00760
ERR1913161.286223__1.286223	239935__A0A2N8IG27__CXT85_07805
ERR1913161.286507__1.286507	1262882__R5MHZ2__BN519_00742
ERR1913161.286596__1.286596	820__A0A174LJB2__HMPREF1072_04112
ERR1913161.286773__1.286773	823__C7XBX3__HMPREF1059_03212
ERR1913161.287056__1.287056	357276__A0A076IYE6__IY41_04275
ERR1913161.287196__1.287196	1262992__R5DCV6__BN795_00412
ERR1913161.287658__1.287658	1160721__R6T4W2__RBI_I00237
ERR1913161.287844__1.287844	1263005__R6FJL6__BN497_01675
ERR1913161.287990__1.287990	1262882__R5N1T9__BN519_00804
ERR1913161.288072__1.288072	28117__B0MWH8__BHV66_01330
ERR1913161.288509__1.288509	1262882__R5MIC9__BN519_00834
ERR1913161.288553__1.288553	28116__A0A3D2LPA1__CUY_3388
ERR1913161.288748__1.288748	28116__A0A396DFW5__C5Z02_07010
ERR1913161.289043__1.289043	823__A0A174EFT7__luxQ_5
ERR1913161.289224__1.289224	1235835__R9LCU2__C814_02677
ERR1913161.289301__1.289301	1262882__R5MYI1__BN519_00416
ERR1913161.289299__1.289299	1235835__R9LCU2__C814_02677
ERR1913161.289384__1.289384	1262882__R5MYI1__BN519_00416
ERR1913161.289417__1.289417	328814__GCA_004558275.1_00234
ERR1913161.289539__1.289539	328814__GCA_004558275.1_02021
ERR1913161.289558__1.289558	1160721__W0U4N3__BHW50_05270
ERR1913161.289834__1.289834	1262882__R5MFK5__BN519_00378
ERR1913161.289865__1.289865	214856__A0A174A0P3__ERS852447_00994
ERR1913161.289866__1.289866	74426__rpoB
ERR1913161.289915__1.289915	214856__A0A174ZLW6__ERS852559_01424
ERR1913161.290370__1.290370	328814__GCA_004558275.1_00221
ERR1913161.290540__1.290540	214856__I3YMC8__ERS852447_02666
ERR1913161.290603__1.290603	1262537__GeneID:16385341
ERR1913161.290690__1.290690	544645__A0A1U7L806__DXC42_13525
ERR1913161.290697__1.290697	1262986__R5ZUP0__BN492_01284
ERR1913161.291267__1.291267	1262882__R5MFK5__BN519_00378
ERR1913161.291286__1.291286	818__Q8A3I3__HMPREF2534_00068
ERR1913161.291306__1.291306	820__E5VEH7__ERS852459_01300
ERR1913161.291417__1.291417	239935__A0A2N8I3G2__CXT89_00720
ERR1913161.291444__1.291444	1262882__R5MSX6__BN519_01697
ERR1913161.291538__1.291538	214856__A0A174ZEF7__mboIIM_1
ERR1913161.291939__1.291939	290054__A0A1T4NGJ6__SAMN02745114_01599
ERR1913161.291877__1.291877	821__A0A174NSU0__BVU_3144
ERR1913161.291954__1.291954	301301__A0A395V573__RHOM_13925
ERR1913161.292403__1.292403	410072__A0A3E4GQ67__sigV_1
ERR1913161.292411__1.292411	239935__A0A2N8I9I3__CXU19_12035
ERR1913161.292537__1.292537	28116__A0A078Q626__HMPREF1070_02735
ERR1913161.292688__1.292688	328814__GCA_004558275.1_00036
ERR1913161.293023__1.293023	823__A0A173RD26__B5F32_03910
ERR1913161.293298__1.293298	487175__R5E7M6__HMPREF9439_02807
ERR1913161.293396__1.293396	214856__R6YD52__ERS852447_02171
ERR1913161.293490__1.293490	357276__A0A076IYE6__IY41_04275
ERR1913161.293553__1.293553	399742__A0A2A3WWQ3__Ent638_1356
ERR1913161.294048__1.294048	562__A0A376L0A6__CQA14_19985
ERR1913161.294057__1.294057	1550024__G9RTW4__TQ39_08265
ERR1913161.294073__1.294073	1262882__R5MM96__BN519_01545
ERR1913161.294178__1.294178	1160721__W0U3Z9__RBI_I00543
ERR1913161.294297__1.294297	1262924__R7HRF6__BN585_01735
ERR1913161.294255__1.294255	2173__A0A1D2WT64__METSMIALI_01143
ERR1913161.294339__1.294339	239935__A0A2N8ITX2__CXT86_11265
ERR1913161.294462__1.294462	239935__A0A2N8IXN0__CXT95_01765
ERR1913161.294498__1.294498	246787__R6KCH8__csbC
ERR1913161.294513__1.294513	28118__F9Z408__NCTC10826_01194
ERR1913161.294529__1.294529	1262869__R7CLU9__BN625_01053
ERR1913161.294658__1.294658	39491__A0A395UWZ1__DXC13_02175
ERR1913161.294623__1.294623	1262882__R5MGJ7__BN519_00652
ERR1913161.294666__1.294666	328814__GCA_004558275.1_00079
ERR1913161.294736__1.294736	1262869__R7CPH9__BN625_01415
ERR1913161.294782__1.294782	1262869__R7CNU1__BN625_01324
ERR1913161.295001__1.295001	1683__A0A126STS5__BIFANG_02227
ERR1913161.295082__1.295082	410072__C0B785__ERS852574_00808
ERR1913161.295208__1.295208	357276__I9QWN0__ABI39_00335
ERR1913161.295698__1.295698	1262869__R7CKJ6__BN625_00840
ERR1913161.295835__1.295835	239935__A0A2N8IMC9__CXU09_02095
ERR1913161.295945__1.295945	1262986__R6A821__BN492_01136
ERR1913161.296171__1.296171	823__A0A395YY84__DXC05_19515
ERR1913161.296453__1.296453	1262882__R5MXS6__BN519_00286
ERR1913161.296782__1.296782	1685__F9Y281__B31L_1344
ERR1913161.297137__1.297137	1262882__R5N1R4__BN519_00788
ERR1913161.297181__1.297181	1262882__R5N3T7__BN519_01188
ERR1913161.297439__1.297439	2173__A0A1D2WXY3__BK798_04185
ERR1913161.297646__1.297646	1550024__A0A3B9WKW6__TQ39_07780
ERR1913161.297666__1.297666	239935__A0A2N8HW65__CXU09_08515
ERR1913161.297725__1.297725	239935__A0A139TT05__CXU09_03335
ERR1913161.297751__1.297751	1262882__R5MHZ2__BN519_00742
ERR1913161.297776__1.297776	39492__D4JT87__clpC
ERR1913161.298136__1.298136	818__A0A0P0FBI1__NCTC10582_00163
ERR1913161.298286__1.298286	387090__S0F8B2__BACCOPRO_02129
ERR1913161.298244__1.298244	823__A0A173TMY6__M096_4753
ERR1913161.298252__1.298252	47678__A5ZBM1__pknD_1
ERR1913161.298607__1.298607	2292352__A0A374UNZ9__DXC23_01520
ERR1913161.299387__1.299387	239935__A0A2N8IRW0__A4V05_11620
ERR1913161.299764__1.299764	487175__D9Y3A5__HMPREF9439_00211
ERR1913161.299812__1.299812	1550024__A0A0D8J3J4__TQ39_01275
ERR1913161.299897__1.299897	239935__R6JWJ7__CXT94_02580
ERR1913161.300029__1.300029	301302__R5V631__ERS852420_03369
ERR1913161.300190__1.300190	1262882__R5MEW7__BN519_00010
ERR1913161.300377__1.300377	821__A6L0C7__ERS852556_03520
ERR1913161.300467__1.300467	1262882__R5MFA5__BN519_00331
ERR1913161.300761__1.300761	28117__B0MY40__BHV66_05170
ERR1913161.300926__1.300926	1262869__R7CNN0__BN625_01419
ERR1913161.301163__1.301163	100886__E2NUS9__ghrA
ERR1913161.301546__1.301546	1262869__R7CT13__BN625_00558
ERR1913161.301681__1.301681	818__A0A174LEN9__BJP75_006595
ERR1913161.301679__1.301679	239935__A0A2N8I7W6__CXT90_04245
ERR1913161.301750__1.301750	821__A0A174NM17__lacZ_6
ERR1913161.301752__1.301752	239935__A0A2N8HPX2__CXT90_09930
ERR1913161.302227__1.302227	239935__R6JCH3__CXT95_08205
ERR1913161.302479__1.302479	1235835__R9LCU2__C814_02677
ERR1913161.302634__1.302634	46503__A7AII9__ERS852463_00984
ERR1913161.303046__1.303046	239935__A0A2N8I9P4__CXT85_05050
ERR1913161.303116__1.303116	47678__A5ZF31__DXB67_11050
ERR1913161.303467__1.303467	165179__A0A3E5AER8__DXB80_07075
ERR1913161.303720__1.303720	28117__B0N007__BHV66_10275
ERR1913161.303783__1.303783	1297617__A0A0S2W1U2__BIV19_00295
ERR1913161.303837__1.303837	39488__A0A374N0M3__EUBHAL_02860
ERR1913161.304047__1.304047	1262924__R7HRJ9__BN585_00557
ERR1913161.304081__1.304081	328814__GCA_004558275.1_00035
ERR1913161.304411__1.304411	357276__B6W1J2__BACDOR_03380
ERR1913161.304485__1.304485	1297617__A0A0S2W1V2__IB211_00824
ERR1913161.304591__1.304591	357276__A0A076IS26__EL88_15950
ERR1913161.304640__1.304640	53442__A0A1E7S3R5__SAMN04515649_10324
ERR1913161.304652__1.304652	1550024__G9RYR1__TQ39_01725
ERR1913161.305067__1.305067	47678__A5ZGW9__HMPREF1061_01068
ERR1913161.305140__1.305140	239935__A0A139TPD4__CXT86_06450
ERR1913161.305347__1.305347	1262882__R5MFR3__BN519_00473
ERR1913161.305598__1.305598	357276__C3RDQ5__HMPREF1065_03827
