ERR1913209.41__1.41	39492__D4JTU4__ykfG
ERR1913209.218134__1.218134	1262921__R5MBU7__BN473_02531
ERR1913209.218167__1.218167	1262911__R6GMZ7__BN557_01741
ERR1913209.218230__1.218230	563769__GeneID:6973158
ERR1913209.218789__1.218789	239935__A0A2N8IFA0__CXT92_02050
ERR1913209.218818__1.218818	39491__C4ZD70__LD38_03510
ERR1913209.218863__1.218863	454155__F3QTG9__HMPREF9442_01487
ERR1913209.219026__1.219026	39492__A0A174ZP27__EUBSIR_00033
ERR1913209.219041__1.219041	338188__R6D6U2__ERS852397_02840
ERR1913209.219098__1.219098	1150298__A0A174N5I7__ERS852498_01953
ERR1913209.219084__1.219084	823__A0A355XN73__DXC05_07000
ERR1913209.219247__1.219247	1262882__R5N532__BN519_01420
ERR1913209.219271__1.219271	28117__B0MTH2__ALIPUT_00061
ERR1913209.219327__1.219327	1263044__GCA_000433375.1_01453
ERR1913209.219550__1.219550	10678__GeneID:2777431
ERR1913209.219783__1.219783	28026__A0A267WLP7__DXD35_07115
ERR1913209.219787__1.219787	1262882__R5MGX3__BN519_00046
ERR1913209.219837__1.219837	172901__A0A2U1ALG8__C8D82_13225
ERR1913209.219928__1.219928	39492__D4JWP8__EUBSIR_00699
ERR1913209.219933__1.219933	1686__B6XSI9__BBCT_0009
ERR1913209.220183__1.220183	1897011__A0A1Q6RI93__BHW41_01175
ERR1913209.220290__1.220290	239935__A0A2N8HUU6__CXT90_06150
ERR1913209.220855__1.220855	10678__GeneID:2777434
ERR1913209.220901__1.220901	239935__A0A3F3K9J9__DEF40_00940
ERR1913209.221271__1.221271	651822__GCA_000210715.1_00753
ERR1913209.221715__1.221715	10678__GeneID:2777396
ERR1913209.221777__1.221777	10678__GeneID:2777447
ERR1913209.221979__1.221979	239935__A0A3F3K985__CXT98_05805
ERR1913209.222040__1.222040	28117__B0MU76__ALIPUT_00202
ERR1913209.222178__1.222178	357276__I9R4T1__IY41_06800
ERR1913209.222210__1.222210	1262882__R5MGI7__BN519_00643
ERR1913209.222274__1.222274	33039__A0A174ZQJ6__ERS852530_06709
ERR1913209.222317__1.222317	39491__A0A395ZHH5__ERS852497_02076
ERR1913209.222343__1.222343	1150298__A0A174R918__ERS852535_01749
ERR1913209.222382__1.222382	239935__R7E524__CXT91_06180
ERR1913209.222386__1.222386	1262921__R5M5K3__BN473_01395
ERR1913209.222428__1.222428	817__A0A016CCS1__CQW33_01259
ERR1913209.222558__1.222558	239935__R6K0V8__CXT94_02055
ERR1913209.222829__1.222829	28026__C0BR32__DXC48_06585
ERR1913209.222934__1.222934	563769__GeneID:6973141
ERR1913209.222908__1.222908	39492__R6SA81__EUBSIR_00402
ERR1913209.223006__1.223006	10678__GeneID:2777481
ERR1913209.223236__1.223236	218538__C9LQ77__GCWU000321_01709
ERR1913209.223342__1.223342	28117__B0MTI4__ALIPUT_00084
ERR1913209.223573__1.223573	1262882__R5N532__BN519_01420
ERR1913209.223739__1.223739	1262882__R5N708__BN519_00095
ERR1913209.223837__1.223837	562__P77393__PU31_14870
ERR1913209.223959__1.223959	1262921__R5LTU7__BN473_01717
ERR1913209.223960__1.223960	39492__D4JXA0__ERS852540_02538
ERR1913209.224175__1.224175	562__P0AFH7__oppC
ERR1913209.224111__1.224111	820__A0A173YYG4__evgS_3
ERR1913209.224196__1.224196	1262882__R5MT08__BN519_01706
ERR1913209.224359__1.224359	239935__A0A2N8IJI1__B5G29_04615
ERR1913209.224475__1.224475	1099853__U5CLE4__NSB1T_06555
ERR1913209.224457__1.224457	221029__GeneID:2777078
ERR1913209.225024__1.225024	820__A0A1T4IYF4__mprA_1
ERR1913209.225169__1.225169	418240__A0A174LKU1__ERS852523_01012
ERR1913209.225251__1.225251	357276__I8WAB8__B5F00_08100
ERR1913209.225297__1.225297	46228__V8BQP5__HMPREF1202_02378
ERR1913209.225302__1.225302	39491__A0A396FNY7__LD38_16155
ERR1913209.225308__1.225308	39491__A0A395UWA3__DXB69_11805
ERR1913209.225428__1.225428	39492__D4JTH4__ERS852540_00702
ERR1913209.225486__1.225486	1262744__R6FHL2__BN744_02799
ERR1913209.225598__1.225598	166486__D4KVA1__ROSINTL182_06909
ERR1913209.225774__1.225774	40518__R5DYU1__DXD86_01160
ERR1913209.226010__1.226010	28052__R7NEM3__fabD
ERR1913209.226137__1.226137	1262921__R5M3E4__BN473_00712
ERR1913209.226194__1.226194	39492__R6SPM9__pheT
ERR1913209.226231__1.226231	1628085__A0A2U1B224__C7386_12221
ERR1913209.226387__1.226387	46228__B5CSI8__DXD17_05145
ERR1913209.226359__1.226359	28052__R7NDF6__ERS852499_01807
ERR1913209.226364__1.226364	74426__infB
ERR1913209.226378__1.226378	28117__B0MST6__BHV66_06090
ERR1913209.226446__1.226446	28026__A0A396B9Q8__B5791_0179
ERR1913209.226508__1.226508	418240__A0A174VMW5__ERS852478_01082
ERR1913209.226664__1.226664	1150298__A0A174S911__ERS852406_01972
ERR1913209.226705__1.226705	28025__D3R4P5__DD683_00185
ERR1913209.226739__1.226739	1262921__R5M9E5__BN473_02191
ERR1913209.226792__1.226792	1262921__R5LMK9__BN473_01331
ERR1913209.226931__1.226931	28052__A0A174KNE1__ptsI_2
ERR1913209.227053__1.227053	820__A0A374Q1D8__SAMN05444418_112114
ERR1913209.227220__1.227220	1150298__A0A174RJ10__ERS852535_00223
ERR1913209.227579__1.227579	1262744__R6FP57__BN744_02446
ERR1913209.227680__1.227680	1262911__R6GY22__BN557_00023
ERR1913209.227684__1.227684	239935__A0A2N8IYM5__CXT84_05130
ERR1913209.227959__1.227959	39492__D4JSB6__ERS852540_00627
ERR1913209.227977__1.227977	74426__group_4823
ERR1913209.227991__1.227991	1262958__R7GUY5__BN645_01326
ERR1913209.228106__1.228106	310298__B3JLC6__BACCOP_02712
ERR1913209.228111__1.228111	128975__GeneID:6030673
ERR1913209.228594__1.228594	414970__GeneID:5204371
ERR1913209.228708__1.228708	410072__R6LD64__ERS852525_02440
ERR1913209.228729__1.228729	563769__GeneID:6973158
ERR1913209.228777__1.228777	1262744__R6FIA3__BN744_00247
ERR1913209.228754__1.228754	552398__F4XHU2__HMPREF0866_03196
ERR1913209.228853__1.228853	10868__GeneID:1261859
ERR1913209.229042__1.229042	820__A0A174Q0F0__DXB48_08080
ERR1913209.229043__1.229043	1099853__U5CFJ1__NSB1T_13500
ERR1913209.229121__1.229121	40518__R5DMC7__blaR1
ERR1913209.229178__1.229178	357276__A0A076ISD9__EL88_07480
ERR1913209.229315__1.229315	1150298__A0A174QS63__ERS852406_03087
ERR1913209.229352__1.229352	172901__A0A2U1B281__C8D82_11084
ERR1913209.229517__1.229517	1263107__GCA_000436995.1_00232
ERR1913209.229522__1.229522	820__A0A139K8N1__ERS852554_00951
ERR1913209.229597__1.229597	1263006__R6LL73__BN515_00292
ERR1913209.229611__1.229611	172901__A0A2U1ARD1__C8D82_12318
ERR1913209.229857__1.229857	28116__E5CH91__B5F02_11815
ERR1913209.229892__1.229892	218538__C9LQG6__GCWU000321_01798
ERR1913209.230383__1.230383	1897011__A0A1Q6RIP7__BHW41_00530
ERR1913209.230397__1.230397	74426__purL
ERR1913209.230400__1.230400	10678__GeneID:2777397
ERR1913209.230577__1.230577	39492__A0A174ZP27__EUBSIR_00033
ERR1913209.230686__1.230686	46503__R6WVI6__HMPREF1060_03610
ERR1913209.230713__1.230713	563769__GeneID:6973158
ERR1913209.230730__1.230730	853__A0A2A7A628__CGS57_13755
ERR1913209.230916__1.230916	853__A0A174C5M1__CGS58_04460
ERR1913209.230934__1.230934	1099853__G9S433__NSB1T_07535
ERR1913209.231009__1.231009	1262921__R5LU12__BN473_00262
ERR1913209.231080__1.231080	1262882__R5MGK3__BN519_00655
ERR1913209.231306__1.231306	418240__A0A174G147__toxA_4
ERR1913209.231428__1.231428	853__A0A2A7A628__CGS57_13755
ERR1913209.231508__1.231508	562__P0ADK7__yibA
ERR1913209.231613__1.231613	246787__A0A3D6AV26__BcellWH2_02579
ERR1913209.231626__1.231626	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913209.231798__1.231798	166486__D4L458__ROSINTL182_07088
ERR1913209.231808__1.231808	33043__A0A173WWJ5__ERS852386_00339
ERR1913209.232046__1.232046	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913209.232441__1.232441	239935__A0A2N8I3G2__CXT89_00720
ERR1913209.232531__1.232531	1262744__R6FEB0__BN744_02692
ERR1913209.232513__1.232513	1262882__R5MSX6__BN519_01697
ERR1913209.232580__1.232580	1262921__R5LSI3__BN473_01312
ERR1913209.232765__1.232765	246787__A0A0P0GCR8__xynD_3
ERR1913209.232785__1.232785	1262911__R6GPI7__BN557_00907
ERR1913209.232914__1.232914	1263000__R5ER22__BN466_01180
ERR1913209.232962__1.232962	1099853__U5CN79__NSB1T_00690
ERR1913209.233055__1.233055	823__A0A173W404__DHP27_04905
ERR1913209.233151__1.233151	1262889__R7HD81__BN634_00648
ERR1913209.233165__1.233165	10678__GeneID:2777481
ERR1913209.234092__1.234092	1263000__R5EKR4__BN466_01609
ERR1913209.234175__1.234175	1262882__R5MJM8__BN519_01064
ERR1913209.234283__1.234283	818__R6VB25__BSIG_5053
ERR1913209.234469__1.234469	310298__B3JII2__BACCOP_01694
ERR1913209.234553__1.234553	563769__GeneID:6973141
ERR1913209.234716__1.234716	10678__GeneID:2777429
ERR1913209.234752__1.234752	1262882__R5MND9__BN519_00831
ERR1913209.234787__1.234787	1150298__A0A174BE63__ERS852406_01048
ERR1913209.235165__1.235165	244366__A0A0B7GCL1__sucC
ERR1913209.235183__1.235183	1262882__R5N3H1__BN519_01121
ERR1913209.235474__1.235474	239935__A0A2N8IVK9__CXU08_03750
ERR1913209.235507__1.235507	414970__GeneID:5204371
ERR1913209.235574__1.235574	46503__K6A7H7__DCY29_03460
ERR1913209.235702__1.235702	1262921__R5LTU7__BN473_01717
ERR1913209.235653__1.235653	28117__B0MWP2__ALIPUT_01468
ERR1913209.236167__1.236167	418240__R7CEI8__ERS852523_02541
ERR1913209.236189__1.236189	39492__D4JU31__ERS852540_00198
ERR1913209.236243__1.236243	1262882__R5N2U9__BN519_01221
ERR1913209.236316__1.236316	1262921__R5LTU7__BN473_01717
ERR1913209.236423__1.236423	357276__B6VW91__BACDOR_01584
ERR1913209.236555__1.236555	823__D7IV95__DXC05_09565
ERR1913209.236778__1.236778	853__A0A3E2U7E6__ERS852582_01640
ERR1913209.236961__1.236961	28026__A0A396B960__DXC71_09530
ERR1913209.237401__1.237401	28118__F9Z5M3__B5F93_14990
ERR1913209.237492__1.237492	1262882__R5N5S3__BN519_00085
ERR1913209.237538__1.237538	1262921__R5MG79__BN473_00711
ERR1913209.237624__1.237624	674529__R6UY37__SAMN05444400_12650
ERR1913209.237636__1.237636	387090__S0F8B2__BACCOPRO_02129
ERR1913209.237730__1.237730	820__R9I3Q7__HMPREF1072_01668
ERR1913209.237746__1.237746	820__A0A174CG08__DXB62_13215
ERR1913209.237767__1.237767	1897011__A0A1Q6RE83__BHW41_04925
ERR1913209.238057__1.238057	239935__A0A2N8I5A2__DEF40_08455
ERR1913209.238073__1.238073	562__P76656__CD803_05075
ERR1913209.238180__1.238180	301302__R5UUM8__ganB_1
ERR1913209.238227__1.238227	823__A0A355XLQ9__DXC05_02185
ERR1913209.238219__1.238219	823__A0A174PAQ4__ERS852429_04218
ERR1913209.238290__1.238290	1262882__R5MDR8__BN519_00124
ERR1913209.238321__1.238321	1262882__R5MS31__BN519_01529
ERR1913209.238529__1.238529	1262958__R7H4C1__BN645_00317
ERR1913209.238799__1.238799	246787__A0A0P0GPP9__BACCELL_01902
ERR1913209.238841__1.238841	10678__GeneID:2777432
ERR1913209.239198__1.239198	562__P77616__CSC08_0123
ERR1913209.239357__1.239357	821__I9R3W6__DXC16_12455
ERR1913209.239479__1.239479	357276__D1K3K9__EL88_23995
ERR1913209.239692__1.239692	853__C7H1R8__DW905_06675
ERR1913209.239706__1.239706	820__A0A3E4W4Y7__B5G17_02055
ERR1913209.239787__1.239787	820__A0A174Q0F0__DXB48_08080
ERR1913209.239952__1.239952	1263000__R5EKG2__BN466_02040
ERR1913209.240068__1.240068	39492__D4JTF2__mutS2
ERR1913209.240263__1.240263	1262882__R5MRT2__BN519_01494
ERR1913209.240475__1.240475	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913209.240883__1.240883	10678__GeneID:2777415
ERR1913209.240959__1.240959	338188__A0A1Q6HCN7__ptrA
ERR1913209.241018__1.241018	562__P32704__COD56_15900
ERR1913209.241343__1.241343	823__A6LH14__B5F32_11640
ERR1913209.241396__1.241396	820__A0A1Q6IDS8__chtA
ERR1913209.241379__1.241379	820__A0A396CMY7__HMPREF1072_03009
ERR1913209.241434__1.241434	562__P75859__AML60_03870
ERR1913209.241446__1.241446	1262958__R7GZI3__BN645_01811
ERR1913209.241452__1.241452	1262882__R5MND9__BN519_00831
ERR1913209.241532__1.241532	820__A0A139KEW8__DXB64_06405
ERR1913209.241470__1.241470	820__A0A3E4XM43__DXC91_13960
ERR1913209.241822__1.241822	562__P40876__fimC_1
ERR1913209.241957__1.241957	1262911__R6H1B2__BN557_00840
ERR1913209.242093__1.242093	1262882__R5N5S3__BN519_00085
ERR1913209.242174__1.242174	239935__A0A2N8IJI1__B5G29_04615
ERR1913209.242345__1.242345	1150298__A0A174BE63__ERS852406_01048
ERR1913209.242463__1.242463	28117__B0MY40__BHV66_05170
ERR1913209.242678__1.242678	55884__GeneID:935206
ERR1913209.242876__1.242876	1262882__R5MYI1__BN519_00416
ERR1913209.242965__1.242965	46503__R6Y837__PARMER_03866
ERR1913209.243093__1.243093	357276__A0A076IRZ5__BACDOR_00630
ERR1913209.243224__1.243224	39492__D4JTL0__EUBSIR_01428
ERR1913209.243324__1.243324	1262882__R5N3H1__BN519_01121
ERR1913209.243330__1.243330	454155__F3QT57__HMPREF9442_01374
ERR1913209.243432__1.243432	239935__R6JAS2__CXU02_10725
ERR1913209.243435__1.243435	28117__B0MY82__BHV66_04755
ERR1913209.243681__1.243681	239935__A0A2N8HQR1__Amuc_0287
ERR1913209.243702__1.243702	823__A0A355XN73__DXC05_07000
ERR1913209.243782__1.243782	239935__A0A2N8IVR0__CXT87_07115
ERR1913209.243929__1.243929	1262911__R6GT76__BN557_01150
ERR1913209.244037__1.244037	351676__A0A2D0KSQ6__Xkoz_03831
ERR1913209.244061__1.244061	39491__A0A396FGM9__fliU_1
ERR1913209.244099__1.244099	10678__GeneID:2777477
ERR1913209.244079__1.244079	40518__R5E4E8__phoR_4
ERR1913209.244159__1.244159	28117__B0MU57__ALIPUT_00175
ERR1913209.244644__1.244644	39492__D4MMN2__EUBSIR_00964
ERR1913209.244850__1.244850	246787__R6K756__HMPREF1062_01819
ERR1913209.245099__1.245099	823__A0A355XIK0__CEQ22_011965
ERR1913209.245158__1.245158	562__P76135__CTY41_23560
ERR1913209.245201__1.245201	1262744__R6FJL4__BN744_00626
ERR1913209.245730__1.245730	1262746__R5S265__BN750_01952
ERR1913209.245754__1.245754	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913209.245963__1.245963	1147158__GeneID:14182428
ERR1913209.246033__1.246033	28117__B0MXG8__ALIPUT_01814
ERR1913209.245990__1.245990	10678__GeneID:2777434
ERR1913209.246118__1.246118	1262882__R5MRS7__BN519_01490
ERR1913209.246386__1.246386	1262882__R5MSX6__BN519_01697
ERR1913209.246391__1.246391	10868__GeneID:1261859
ERR1913209.246517__1.246517	39492__D4JUN0__EUBSIR_02705
ERR1913209.246553__1.246553	357276__I8WPR6__EL88_06675
ERR1913209.246618__1.246618	1262921__R5LTJ9__BN473_02529
ERR1913209.246801__1.246801	1150298__A0A173W9F4__ERS852498_02567
ERR1913209.247060__1.247060	853__A0A173T0Y8__CGS54_07215
ERR1913209.247194__1.247194	55884__GeneID:935206
ERR1913209.247317__1.247317	28117__R7JH62__BHV66_05735
ERR1913209.247440__1.247440	239935__A0A2N8HEH9__CXU07_11710
ERR1913209.247423__1.247423	1262958__R7H1D8__BN645_01554
ERR1913209.247623__1.247623	1262911__R6GUQ4__BN557_01581
ERR1913209.247744__1.247744	1262958__R7H1Q6__BN645_01951
ERR1913209.247938__1.247938	357276__D1JYA3__BSEG_00395
ERR1913209.248096__1.248096	1262882__R5MYI1__BN519_00416
ERR1913209.248223__1.248223	55884__GeneID:935206
ERR1913209.248280__1.248280	1262882__R5MT42__BN519_01729
ERR1913209.248281__1.248281	1262882__R5N1R4__BN519_00788
ERR1913209.248310__1.248310	853__A0A173T0Y8__CGS54_07215
ERR1913209.248475__1.248475	1262921__R5MBU7__BN473_02531
ERR1913209.248735__1.248735	630129__A0A087B2G3__BBKW_1870
ERR1913209.248743__1.248743	820__A0A374QGD2__ERS852421_02382
ERR1913209.248822__1.248822	1262882__R5N3H1__BN519_01121
ERR1913209.248885__1.248885	820__A0A139KHX1__HMPREF2141_00289
ERR1913209.248962__1.248962	1796613__A0A1C7GYD6__A4V03_03700
ERR1913209.249127__1.249127	1262744__R6F7Y4__BN744_00645
ERR1913209.249109__1.249109	1262882__R5MEN9__BN519_00201
ERR1913209.249522__1.249522	2108523__A0A2P2F8K1__LAWASA_2323
ERR1913209.249542__1.249542	218538__C9LPF0__GCWU000321_01429
ERR1913209.249548__1.249548	1262882__R5MRS7__BN519_01490
ERR1913209.250082__1.250082	1262921__R5LMK9__BN473_01331
ERR1913209.250315__1.250315	357276__A0A0K2HKT7__B5F95_21090
ERR1913209.250323__1.250323	562__P0ADK7__yibA
ERR1913209.250489__1.250489	1262744__R6FG43__BN744_02322
ERR1913209.250517__1.250517	1124654__GeneID:14005780
ERR1913209.250804__1.250804	1262921__R5MBU7__BN473_02531
ERR1913209.251039__1.251039	46228__V8C9H7__RUMLAC_01008
ERR1913209.251136__1.251136	39488__A0A285PS86__EUBHAL_02647
ERR1913209.251404__1.251404	563769__GeneID:6972918
ERR1913209.251491__1.251491	35833__E5Y1X0__HMPREF0179_00179
ERR1913209.251735__1.251735	820__A0A3E4VZT7__DXB48_16145
ERR1913209.251816__1.251816	74426__nifJ
ERR1913209.251978__1.251978	39492__D4JQS6__ykoD
ERR1913209.252088__1.252088	823__A0A355XKQ8__DHP27_04010
ERR1913209.252151__1.252151	10678__GeneID:2777456
ERR1913209.252252__1.252252	1262882__R5MHZ2__BN519_00742
ERR1913209.252288__1.252288	853__A0A2A7A4A9__C4N21_14870
ERR1913209.252295__1.252295	338188__R6RPM1__BACFIN_05401
ERR1913209.252353__1.252353	1262882__R5MM10__BN519_01679
ERR1913209.252410__1.252410	28026__A0A087B7I7__DXA79_02175
ERR1913209.252443__1.252443	28052__R7NCE8__cph2_1
ERR1913209.252615__1.252615	28026__A0A072MUU6__DXD87_08375
ERR1913209.252691__1.252691	246787__R6LGB3__BcellWH2_02361
ERR1913209.252853__1.252853	214856__A0A174AYS4__ERS852447_01192
ERR1913209.252886__1.252886	28026__C0BQX5__DXC71_03265
ERR1913209.252945__1.252945	28026__A0A3E5HLJ8__BPSE_0576
ERR1913209.253035__1.253035	1099853__G9S433__NSB1T_07535
ERR1913209.253234__1.253234	35833__E5Y1H2__HMPREF0179_00031
ERR1913209.253502__1.253502	1262882__R5MRS7__BN519_01490
ERR1913209.253476__1.253476	1262882__R5N0H9__BN519_00764
ERR1913209.253481__1.253481	28026__C0BVD4__DXC83_04115
ERR1913209.253605__1.253605	357276__I9R994__BACDOR_04044
ERR1913209.253699__1.253699	28117__B0MUY3__BHV66_00515
ERR1913209.253817__1.253817	46228__V8BL46__HMPREF1202_02714
ERR1913209.253839__1.253839	28026__A0A174A9E6__AW18_09515
ERR1913209.253969__1.253969	39492__D4JWL2__ERS852540_01201
ERR1913209.253983__1.253983	28026__C0BRQ1__BPS1E_0883
ERR1913209.254030__1.254030	74426__purC
ERR1913209.254106__1.254106	1262882__R5N5S3__BN519_00085
ERR1913209.254251__1.254251	1262882__R5MYI1__BN519_00416
ERR1913209.254298__1.254298	239935__A0A2N8I5A2__DEF40_08455
ERR1913209.254304__1.254304	39491__A0A396FKI6__mltF
ERR1913209.254551__1.254551	28052__R5HJU0__ERS852451_00148
ERR1913209.254791__1.254791	1150298__R7JPI7__cotI
ERR1913209.255103__1.255103	1263044__GCA_000433375.1_00346
ERR1913209.255363__1.255363	218538__C9LQG6__GCWU000321_01798
ERR1913209.255409__1.255409	1262882__R5MT08__BN519_01706
ERR1913209.255463__1.255463	301302__A0A173R6H4__M72_21671
ERR1913209.255545__1.255545	28117__B0MSS1__ALIPUT_00273
ERR1913209.255711__1.255711	28117__B0MXW9__ALIPUT_01981
ERR1913209.255839__1.255839	10678__GeneID:2777415
ERR1913209.255922__1.255922	1099853__R7DGD2__NSB1T_01240
ERR1913209.256139__1.256139	328814__GCA_004558275.1_01621
ERR1913209.256212__1.256212	1263107__GCA_000436995.1_00213
ERR1913209.256362__1.256362	820__A0A173YYG4__evgS_3
ERR1913209.256381__1.256381	28117__R7JLL3__ALIPUT_02219
ERR1913209.256723__1.256723	310298__B3JQJ5__BACCOP_04231
ERR1913209.256742__1.256742	1262743__R5C054__BN727_01980
ERR1913209.257041__1.257041	820__A0A174CG08__DXB62_13215
ERR1913209.257120__1.257120	310298__B3JII2__BACCOP_01694
ERR1913209.257336__1.257336	239935__R6JD78__CXU05_09250
ERR1913209.257617__1.257617	28026__A0A087B874__DXD35_05140
ERR1913209.257688__1.257688	28117__R7JIJ8__BHV66_01635
ERR1913209.257733__1.257733	649756__A0A173S1U5__DCR88_06920
ERR1913209.257737__1.257737	454155__F3QTH4__HMPREF9442_01492
ERR1913209.257998__1.257998	204516__U6R9E0__HMPREF1534_03742
ERR1913209.258225__1.258225	1262882__R5MIW5__BN519_00945
ERR1913209.258247__1.258247	1262744__R6G6M0__BN744_01270
ERR1913209.258383__1.258383	10868__GeneID:1261859
ERR1913209.258398__1.258398	189722__E0NQU7__HMPREF0658_0548
ERR1913209.258466__1.258466	357276__A0A076IYG1__B5F95_22465
ERR1913209.258501__1.258501	1262911__R6GT99__BN557_01335
ERR1913209.258610__1.258610	28117__B0MTH2__ALIPUT_00061
ERR1913209.258771__1.258771	244366__A0A0B7GCL1__sucC
ERR1913209.258886__1.258886	214856__A0A173YE57__ERS852559_00126
ERR1913209.258897__1.258897	1262882__R5MZZ3__BN519_00482
ERR1913209.259374__1.259374	820__A0A3E5E9Y8__DXD90_09110
ERR1913209.259612__1.259612	1262911__R6GY22__BN557_00023
ERR1913209.260015__1.260015	40518__R5DV58__htrA
ERR1913209.260069__1.260069	10678__GeneID:2777481
ERR1913209.260194__1.260194	817__A0A139T481__M114_3532
ERR1913209.260280__1.260280	39492__D4MMN2__EUBSIR_00964
ERR1913209.260293__1.260293	1262882__R5N3T7__BN519_01188
ERR1913209.260345__1.260345	357276__D1K526__GV66_17250
ERR1913209.260567__1.260567	40518__R5DV58__htrA
ERR1913209.260652__1.260652	1262911__R6GHG8__BN557_01301
ERR1913209.260736__1.260736	28026__A0A267WP56__DXD43_06910
ERR1913209.260752__1.260752	1262882__R5MFM2__BN519_00460
ERR1913209.260956__1.260956	1263000__R5EBB0__BN466_00463
ERR1913209.260924__1.260924	1501391__GCA_000786575.1_00072
ERR1913209.260989__1.260989	1262882__R5N2A9__BN519_00921
ERR1913209.261039__1.261039	239935__A0A2N8IVK9__CXU08_03750
ERR1913209.261121__1.261121	2108523__A0A2P2F677__LAWASA_1497
ERR1913209.261123__1.261123	562__P26458__cydB
ERR1913209.261608__1.261608	1262882__R5N4P6__BN519_01346
ERR1913209.261863__1.261863	39492__D4JSU6__dacB_3
ERR1913209.262011__1.262011	1150298__A0A174TF64__ERS852406_00108
ERR1913209.262147__1.262147	39491__A0A396FNY7__LD38_16155
ERR1913209.262184__1.262184	1262963__R6CBY4__BN718_00134
ERR1913209.262246__1.262246	562__A0A0E1LDD5__B9N12_14240
ERR1913209.262279__1.262279	1262882__R5MQ68__BN519_01178
ERR1913209.262322__1.262322	10678__GeneID:2777481
ERR1913209.262416__1.262416	39492__D4JUR4__ERS852540_01427
ERR1913209.262516__1.262516	10678__GeneID:2777457
ERR1913209.262744__1.262744	88431__A0A174UW18__lytR_4
ERR1913209.262836__1.262836	218538__C9LQG6__GCWU000321_01798
ERR1913209.262894__1.262894	1262882__R5MHQ8__BN519_00707
ERR1913209.262952__1.262952	1262882__R5MHZ2__BN519_00742
ERR1913209.263037__1.263037	820__A0A174NUS8__DXC80_12885
ERR1913209.263251__1.263251	106588__A6NUL8__BACCAP_01900
ERR1913209.263387__1.263387	454155__F3QS52__HMPREF9442_01007
ERR1913209.263517__1.263517	399742__A0A2A3WWQ3__Ent638_1356
ERR1913209.263575__1.263575	1099853__G9S0L9__NSB1T_05150
ERR1913209.263628__1.263628	310298__B3JII2__BACCOP_01694
ERR1913209.263630__1.263630	820__A0A139K8X8__DXC80_17665
ERR1913209.263707__1.263707	165179__A0A3E5E2S3__DXB80_03455
ERR1913209.263833__1.263833	40520__R7DDA4__RUMOBE_00531
ERR1913209.263895__1.263895	1262882__R5N1L4__BN519_00757
ERR1913209.264005__1.264005	562__P0AFH7__oppC
ERR1913209.264145__1.264145	46228__V8CE24__thiD
ERR1913209.264203__1.264203	1262882__R5N3T7__BN519_01188
ERR1913209.264523__1.264523	28118__F9ZAB2__SAMEA44545918_01079
ERR1913209.264535__1.264535	1099853__U5CNN9__NSB1T_08570
ERR1913209.264623__1.264623	28117__B0MWP2__ALIPUT_01468
ERR1913209.264749__1.264749	1796613__A0A1C7H2D6__A4V03_10740
ERR1913209.264754__1.264754	820__A0A174DZ97__SAMN05444418_101240
ERR1913209.265346__1.265346	10678__GeneID:2777400
ERR1913209.265423__1.265423	1262882__R5N526__BN519_01603
ERR1913209.265434__1.265434	387661__K6AIS2__B5F96_14865
ERR1913209.265457__1.265457	357276__I8W1E1__B5F00_10785
ERR1913209.265638__1.265638	820__R9HP61__DXC91_01090
ERR1913209.265871__1.265871	853__A0A2A7B1Y7__C7K05_11930
ERR1913209.266069__1.266069	28052__A0A174PNN9__ERS852451_02058
ERR1913209.266193__1.266193	28052__A0A174LHM7__ERS852451_02351
ERR1913209.266363__1.266363	706562__GCA_900112995.1_01624
ERR1913209.266592__1.266592	39492__D4JSS4__ERS852540_02517
ERR1913209.266615__1.266615	1501391__GCA_000786575.1_00155
ERR1913209.266648__1.266648	239935__A0A2N8HPS5__Amuc_0950
ERR1913209.267292__1.267292	358743__A0A0F0CKN6__SAMN05216568_11175
ERR1913209.267431__1.267431	46228__V8C3Z1__RUMLAC_02619
ERR1913209.267457__1.267457	166486__D4KNM9__ERS852572_00072
ERR1913209.267545__1.267545	1150298__R7JU23__ERS852498_02342
ERR1913209.267615__1.267615	246787__R6KUE5__BcellWH2_01117
ERR1913209.267841__1.267841	246787__R6LGA6__tmoS_11
ERR1913209.267879__1.267879	706562__GCA_900112995.1_02230
ERR1913209.268081__1.268081	166486__D4L2C5__ERS852572_01688
ERR1913209.268349__1.268349	1262899__R7J6U8__BN657_01620
ERR1913209.268350__1.268350	1262899__R7J6U8__BN657_01620
ERR1913209.268445__1.268445	310298__B3JEE8__BACCOP_00239
ERR1913209.268455__1.268455	214856__R6Y2Y4__ERS852447_01086
ERR1913209.268663__1.268663	820__R9I3N4__M093_0061
ERR1913209.268704__1.268704	817__A0A395WMP7__M107_2481
ERR1913209.268759__1.268759	552398__F4XCR9__HMPREF0866_01636
ERR1913209.268936__1.268936	454154__G5SPC2__HMPREF9441_01204
ERR1913209.268974__1.268974	626933__H1DGX0__HMPREF9449_01506
ERR1913209.269104__1.269104	239935__A0A139TPG3__CXT86_08810
ERR1913209.269270__1.269270	357276__A0A0K2HDP3__IY41_00705
