ERR1913186.42__1.42	1262882__R5N5S3__BN519_00085
ERR1913186.353283__1.353283	1262936__R7J049__BN799_01347
ERR1913186.353313__1.353313	74426__purL
ERR1913186.353485__1.353485	384638__B7APN3__BACPEC_00639
ERR1913186.353718__1.353718	40519__U2KYR7__RUMCAL_00225
ERR1913186.353965__1.353965	901__B6WXG9__DESPIG_02795
ERR1913186.354052__1.354052	1263006__R6M176__BN515_00274
ERR1913186.354108__1.354108	45851__D4S288__BHV86_04325
ERR1913186.354276__1.354276	301302__R5UL57__ERS852420_00622
ERR1913186.354334__1.354334	74426__rpoB
ERR1913186.354548__1.354548	1262761__R6RB22__BN606_01933
ERR1913186.354938__1.354938	147206__GCF_000156215.1_01777
ERR1913186.354941__1.354941	2173__A0A1D2WV05__BK798_06920
ERR1913186.355230__1.355230	28025__D3R5U6__ADH71_000865
ERR1913186.355414__1.355414	1262936__R7IYJ1__BN799_00810
ERR1913186.355936__1.355936	40518__R5DXI4__DXD86_07420
ERR1913186.356004__1.356004	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913186.356055__1.356055	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913186.356262__1.356262	301302__R5UK77__M72_08681
ERR1913186.357186__1.357186	45851__D4S2F2__BHV86_00830
ERR1913186.357195__1.357195	165179__D1PGU8__PREVCOP_06463
ERR1913186.357508__1.357508	1680__A0A174BEE7__BSTER_1311
ERR1913186.357575__1.357575	239935__A0A3F3K985__CXT98_05805
ERR1913186.357634__1.357634	853__D4JY61__C4N21_10560
ERR1913186.357799__1.357799	1262911__R6GT76__BN557_01150
ERR1913186.357804__1.357804	1262936__R7IZZ2__BN799_01307
ERR1913186.358036__1.358036	1262936__R7J5X5__BN799_00356
ERR1913186.358081__1.358081	1232426__carB_1
ERR1913186.358130__1.358130	1263027__R6ZBL3__BN699_01374
ERR1913186.358106__1.358106	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913186.358185__1.358185	301302__R5UNC5__M72_02681
ERR1913186.358568__1.358568	1680__A0A0B5BME4__DXD63_05015
ERR1913186.358577__1.358577	1262911__R6GZX7__BN557_00838
ERR1913186.358792__1.358792	552398__F4XCQ4__HMPREF0866_01621
ERR1913186.359020__1.359020	1262936__R7J2K7__BN799_00229
ERR1913186.359171__1.359171	853__A0A174CVG7__CGS58_09335
ERR1913186.359836__1.359836	1262936__R7J0S3__BN799_01459
ERR1913186.360004__1.360004	165179__A0A3E5E2S3__DXB80_03455
ERR1913186.360595__1.360595	74426__pdxS
ERR1913186.360629__1.360629	1897011__A0A1Q6RH29__BHW41_01570
ERR1913186.360784__1.360784	239935__R6J9Y2__CXT85_07000
ERR1913186.361279__1.361279	1262936__R7J144__BN799_01386
ERR1913186.361341__1.361341	1262911__R6GXS5__BN557_00160
ERR1913186.361346__1.361346	39491__A0A396FFW0__ERE_10580
ERR1913186.361749__1.361749	1262936__R7J0Z2__BN799_00650
ERR1913186.361847__1.361847	28111__R5JQQ7__NCTC11155_02278
ERR1913186.361982__1.361982	552398__T5S086__HMPREF0866_01580
ERR1913186.362162__1.362162	39485__R5ZPP8__EUBELI_20334
ERR1913186.362268__1.362268	40518__R5DUJ5__DXD83_01635
ERR1913186.362539__1.362539	901__B6WR31__DESPIG_00511
ERR1913186.362626__1.362626	901__B6WR13__DHV46_00815
ERR1913186.362665__1.362665	458033__GCA_001482755.1_02203
ERR1913186.362804__1.362804	1263000__R5EXT3__BN466_02213
ERR1913186.362844__1.362844	853__D4JY61__C4N21_10560
ERR1913186.362868__1.362868	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913186.362896__1.362896	147206__GCF_000156215.1_01776
ERR1913186.363335__1.363335	147206__GCF_000156215.1_00014
ERR1913186.363408__1.363408	2022527__A0A264YA19__CHL74_03075
ERR1913186.363426__1.363426	1262882__R5MIC9__BN519_00834
ERR1913186.363864__1.363864	39491__A0A396FNY7__LD38_16155
ERR1913186.364695__1.364695	1263000__R5EI25__BN466_01781
ERR1913186.364755__1.364755	39485__R5ZQJ7__yniC
ERR1913186.364919__1.364919	45851__D4RYZ4__BHV86_03155
ERR1913186.365076__1.365076	74426__sufB
ERR1913186.365156__1.365156	1262936__R7J3B1__BN799_00034
ERR1913186.365668__1.365668	216816__A0A3D8U0T6__BN57_1990
ERR1913186.365749__1.365749	39488__A0A173U8N3__yhbU_1
ERR1913186.365782__1.365782	28118__R6FC74__DHW44_13330
ERR1913186.365857__1.365857	40518__R5DT16__ysdC_2
ERR1913186.366062__1.366062	901__B6WUH5__DESPIGER_1779
ERR1913186.366460__1.366460	39496__A5Z3H5__EUBVEN_00221
ERR1913186.366643__1.366643	45851__D4RYG8__BUTYVIB_00874
ERR1913186.366868__1.366868	29361__B6FKH5__CLONEX_00621
ERR1913186.366905__1.366905	28052__R7NB47__msbA_2
ERR1913186.366968__1.366968	357276__B6VT86__IY41_22515
ERR1913186.367407__1.367407	1262936__R7J172__BN799_01663
ERR1913186.367580__1.367580	1628085__A0A2U1BGN2__C7386_10147
ERR1913186.367623__1.367623	1262936__R7J420__BN799_00406
ERR1913186.368039__1.368039	1680__R5GRA4__ERS852382_01548
ERR1913186.368307__1.368307	1680__A0A174BEE7__BSTER_1311
ERR1913186.368384__1.368384	1262959__R5YDA4__BN680_00301
ERR1913186.368713__1.368713	239935__A0A2N8IUW6__Amuc_1525
ERR1913186.369137__1.369137	901__B6WVX9__DESPIG_02247
ERR1913186.369245__1.369245	45851__D4S2J5__BUTYVIB_02317
ERR1913186.369425__1.369425	1150298__A0A174K7D2__ERS852498_01147
ERR1913186.369769__1.369769	1897011__A0A1Q6RH61__BHW41_01970
ERR1913186.369888__1.369888	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913186.370310__1.370310	45851__D4RWJ0__BHV86_05915
ERR1913186.370323__1.370323	39485__C4Z069__EUBELI_00981
ERR1913186.370907__1.370907	1262936__R7J6F9__BN799_00540
ERR1913186.371043__1.371043	301302__R5V631__ERS852420_03369
ERR1913186.371101__1.371101	1262911__R6H174__BN557_01246
ERR1913186.371293__1.371293	88431__A0A3D0F1J0__ERS852526_00938
ERR1913186.371447__1.371447	471189__GCA_003340385.1_00053
ERR1913186.371492__1.371492	2173__A5UNC4__METSMIALI_00562
ERR1913186.371982__1.371982	74426__rpoB
ERR1913186.372031__1.372031	39485__C4Z434__tilS
ERR1913186.372447__1.372447	209880__A0A1G5WVY2__SAMN02910343_01622
ERR1913186.372572__1.372572	1262936__R7J2K7__BN799_00229
ERR1913186.372609__1.372609	301302__R5UTE0__ERS852420_02625
ERR1913186.372773__1.372773	39496__A5Z5I2__EUBVEN_00963
ERR1913186.372986__1.372986	1262911__R6GN99__BN557_01784
ERR1913186.373219__1.373219	1262911__R6H1K1__BN557_00910
ERR1913186.373270__1.373270	458033__GCA_001482755.1_02203
ERR1913186.373347__1.373347	1262911__R6GKS1__BN557_00184
ERR1913186.373510__1.373510	2022527__A0A264Y8G4__CHL74_05770
ERR1913186.373795__1.373795	1262936__R7J354__BN799_00281
ERR1913186.374137__1.374137	901__B6WVN9__DESPIG_02157
ERR1913186.374233__1.374233	45851__D4RY62__BHV86_05035
ERR1913186.374410__1.374410	1680__A0A174BEE7__BSTER_1311
ERR1913186.374520__1.374520	1263011__R6E1J2__BN553_01468
ERR1913186.374525__1.374525	1680__A0A0C2VBJ4__birA
ERR1913186.374769__1.374769	818__A0A3E5HHL6__C799_04659
ERR1913186.374892__1.374892	301302__A0A0M6X0D2__cpsB_2
ERR1913186.375195__1.375195	821__A0A173XDD3__DXB82_17180
ERR1913186.375357__1.375357	116085__D4J740__DW747_11625
ERR1913186.375424__1.375424	1628085__A0A1C6CGB4__C7386_11411
ERR1913186.375629__1.375629	39485__A0A174YQX9__ERS852490_00864
ERR1913186.375630__1.375630	1680__A0A0C2VBJ4__birA
ERR1913186.375707__1.375707	74426__purL
ERR1913186.375799__1.375799	1263006__R6MNK5__BN515_01555
ERR1913186.375833__1.375833	39485__A0A175A023__yhhT
ERR1913186.376442__1.376442	1262924__R7HQB3__BN585_00435
ERR1913186.376448__1.376448	1262959__R5YSA1__BN680_00535
ERR1913186.376575__1.376575	901__B6WS58__glk
ERR1913186.376686__1.376686	1262936__R7J2G9__BN799_01824
ERR1913186.377220__1.377220	572010__hgdC_1
ERR1913186.377428__1.377428	1262936__R7J146__BN799_01697
ERR1913186.377565__1.377565	1262911__R6GKS1__BN557_00184
ERR1913186.377829__1.377829	45851__R5LHP6__BUTYVIB_00994
ERR1913186.378091__1.378091	301302__A0A0M6WMV7__M72_28281
ERR1913186.378327__1.378327	1680__A0A174BEE7__BSTER_1311
ERR1913186.378709__1.378709	1150298__A0A174R4D7__tmpC_2
ERR1913186.378914__1.378914	28111__R5JSC9__HMPREF1016_01677
ERR1913186.379077__1.379077	1897011__A0A1Q6RH61__BHW41_01970
ERR1913186.379341__1.379341	28052__R7NFQ5__ERS852499_01906
ERR1913186.379353__1.379353	74426__asnS
ERR1913186.379854__1.379854	1680__A0A087DHN0__AL0462_1532
ERR1913186.380145__1.380145	1262936__R7J0K5__BN799_01232
ERR1913186.380230__1.380230	626940__E8LEB7__DCQ00_02550
ERR1913186.380357__1.380357	46503__A0A3E4ZLE8__DXB61_09555
ERR1913186.380614__1.380614	2022527__A0A264Y5V9__CHL74_10280
ERR1913186.380747__1.380747	1550024__G9RVU1__TQ39_06560
ERR1913186.380765__1.380765	33043__D5HIA8__ERS852575_01867
ERR1913186.381055__1.381055	40518__R5DV58__htrA
ERR1913186.381092__1.381092	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913186.381454__1.381454	1680__A0A174BEE7__BSTER_1311
ERR1913186.381579__1.381579	853__A0A174C5M1__CGS58_04460
ERR1913186.381952__1.381952	1262936__R7J172__BN799_01663
ERR1913186.382292__1.382292	147206__GCF_000156215.1_01775
ERR1913186.382515__1.382515	1263030__R5D2P7__BN705_00388
ERR1913186.382749__1.382749	1547597__A0A0C3R522__IE90_04575
ERR1913186.382760__1.382760	1262936__R7IZZ2__BN799_01307
ERR1913186.382857__1.382857	301301__A0A395V7G5__RHOM_16755
ERR1913186.383046__1.383046	28111__E5WYC8__BACEGG_00347
ERR1913186.383606__1.383606	1897011__A0A1Q6REW8__BHW41_04435
ERR1913186.383839__1.383839	572010__nifJ
ERR1913186.384162__1.384162	1262911__R6GTZ0__BN557_01437
ERR1913186.384260__1.384260	45851__D4S1N9__BHV86_08300
ERR1913186.384415__1.384415	1550024__A0A3B9WM87__TQ39_06420
ERR1913186.384559__1.384559	1262882__R5MYP8__BN519_00439
ERR1913186.384641__1.384641	1262936__R7J354__BN799_00281
ERR1913186.384686__1.384686	301302__A0A173T8V6__ERS852420_01966
ERR1913186.385035__1.385035	1150298__R7JUW7__ERS852406_02089
ERR1913186.385120__1.385120	40520__A0A174HHX4__RUMOBE_03561
ERR1913186.385604__1.385604	1393034__GCA_001552785.1_00502
ERR1913186.385731__1.385731	216816__B7GNA5__BL71B_04625
ERR1913186.385715__1.385715	572010__dnaK2
ERR1913186.385884__1.385884	1262954__R7FF20__BN611_00535
ERR1913186.385986__1.385986	1262936__R7IYM0__BN799_00052
ERR1913186.386228__1.386228	853__E2ZGD9__C7J97_11715
ERR1913186.386230__1.386230	1262936__R7IZZ2__BN799_01307
ERR1913186.386576__1.386576	820__A0A3E4PYB0__yejM
ERR1913186.386645__1.386645	147206__GCF_000156215.1_01776
ERR1913186.386714__1.386714	1680__A0A0B5BIU5__BSTER_0145
ERR1913186.387462__1.387462	901__B6WV45__DESPIGER_1962
ERR1913186.387876__1.387876	301302__R5UMB3__M72_01421
ERR1913186.388626__1.388626	1680__A1A0V3__C8077_03025
ERR1913186.388653__1.388653	1262936__R7J1X7__BN799_01807
ERR1913186.388709__1.388709	1263000__R5EXT3__BN466_02213
ERR1913186.388748__1.388748	572010__ppdK
ERR1913186.388782__1.388782	74426__rpoC
ERR1913186.389594__1.389594	239935__R6J9Y2__CXT85_07000
ERR1913186.389611__1.389611	1262911__R6GPA3__BN557_00827
ERR1913186.389968__1.389968	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913186.390405__1.390405	74426__rpoB
ERR1913186.390854__1.390854	1628085__A0A2U1BGI3__C7386_10130
ERR1913186.390914__1.390914	572010__ydhV
ERR1913186.391119__1.391119	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913186.391301__1.391301	1262936__R7J354__BN799_00281
ERR1913186.391564__1.391564	1262741__R6CFZ5__BN697_02112
ERR1913186.392369__1.392369	1262911__R6GMZ7__BN557_01741
ERR1913186.392476__1.392476	1262919__R5PRP3__BN465_00924
ERR1913186.392486__1.392486	1262936__R7J5J9__BN799_00247
ERR1913186.392615__1.392615	1262936__R7IYJ1__BN799_00810
ERR1913186.392815__1.392815	147206__GCF_000156215.1_01777
ERR1913186.392972__1.392972	301301__A0A395VBY5__yfiN_1
ERR1913186.393288__1.393288	820__A0A139KEW8__DXB64_06405
ERR1913186.393530__1.393530	712124__F9EHP3__HMPREF9062_1965
ERR1913186.393590__1.393590	147206__GCF_000156215.1_01777
ERR1913186.393622__1.393622	901__B6WTR9__DESPIG_01476
ERR1913186.393705__1.393705	1680__A0A374QDL4__LMG18897_0432
ERR1913186.394058__1.394058	1680__A0A3E4SB79__BAD_1517
ERR1913186.394383__1.394383	45851__D4RZ84__BUTYVIB_01149
ERR1913186.394455__1.394455	147206__GCF_000156215.1_01776
ERR1913186.394599__1.394599	40518__R5DV58__htrA
ERR1913186.394870__1.394870	901__B6WUL1__DESPIG_01755
ERR1913186.395088__1.395088	147206__GCF_000156215.1_01777
ERR1913186.395143__1.395143	301302__A0A173RMN7__ERS852420_00721
ERR1913186.395324__1.395324	147206__GCF_000156215.1_01776
ERR1913186.395827__1.395827	74426__purC
ERR1913186.395998__1.395998	1262882__R5N1T9__BN519_00804
ERR1913186.396379__1.396379	301302__A0A173SUI7__M72_11091
ERR1913186.396435__1.396435	239935__R7E524__CXT91_06180
ERR1913186.396471__1.396471	45851__D4RZF4__BUTYVIB_01220
ERR1913186.396642__1.396642	74426__rpoB
ERR1913186.396789__1.396789	1680__R5GRA4__ERS852382_01548
ERR1913186.397360__1.397360	1262882__R5MEW7__BN519_00010
ERR1913186.397878__1.397878	39485__A0A174YTF8__EUBELI_20448
ERR1913186.398358__1.398358	301302__R5VFQ6__ERS852420_00378
ERR1913186.398412__1.398412	1262911__R6GS70__BN557_00854
ERR1913186.398488__1.398488	418240__A0A173YIF6__ypdA_1
ERR1913186.399224__1.399224	1897011__A0A1Q6RC54__BHW41_06555
ERR1913186.399311__1.399311	552398__F4XCR9__HMPREF0866_01636
ERR1913186.399833__1.399833	328814__GCA_004558275.1_00073
ERR1913186.399846__1.399846	1262882__R5N089__BN519_00546
ERR1913186.400300__1.400300	1262882__R5N3T7__BN519_01188
ERR1913186.400324__1.400324	1262936__R7IY78__BN799_00717
ERR1913186.400427__1.400427	147206__GCF_000156215.1_01777
ERR1913186.400529__1.400529	1262882__R5MLP0__BN519_01597
ERR1913186.400745__1.400745	301302__R5UV35__M72_02721
ERR1913186.400816__1.400816	216816__Q8G4X6__DXD52_09895
ERR1913186.400864__1.400864	74426__rpoB
ERR1913186.401248__1.401248	1262936__R7J0Z2__BN799_00650
ERR1913186.401334__1.401334	821__A0A3E4HP25__SAMN04487923_102450
ERR1913186.401599__1.401599	1628085__A0A1C6D825__C7386_1061
ERR1913186.402085__1.402085	204516__U6RFV1__HMPREF1534_02560
ERR1913186.402261__1.402261	45851__D4RXM8__BHV86_03015
ERR1913186.402746__1.402746	1262954__R7FHG0__BN611_00258
ERR1913186.402783__1.402783	357276__C3R5C9__HMPREF1063_00213
ERR1913186.402945__1.402945	1263030__R5D7J2__BN705_00982
ERR1913186.403342__1.403342	45851__D4RZ17__BUTYVIB_01081
ERR1913186.403359__1.403359	74426__purL
ERR1913186.403363__1.403363	216816__D6ZXY6__BL105A_0298
ERR1913186.403633__1.403633	45851__D4S330__BHV86_03650
ERR1913186.404051__1.404051	901__B6WXA0__aroE
ERR1913186.404175__1.404175	147206__GCF_000156215.1_01776
ERR1913186.404260__1.404260	2022527__A0A264Y8R9__CHL74_05250
ERR1913186.404740__1.404740	1680__A0A174BEE7__BSTER_1311
ERR1913186.405212__1.405212	2173__A0A1D2WSN7__Msm_1465
ERR1913186.405252__1.405252	45851__D4S2F3__BUTYVIB_02275
ERR1913186.405602__1.405602	74426__rpoB
ERR1913186.405830__1.405830	40518__R5DX31__DXD86_09775
ERR1913186.405999__1.405999	853__A0A3E2U7E6__ERS852582_01640
ERR1913186.406164__1.406164	1680__A0A173XYA2__B0703_0121
ERR1913186.406182__1.406182	33039__D4M5E1__ERS852577_03873
ERR1913186.406420__1.406420	1262936__R7J0S3__BN799_01459
ERR1913186.406484__1.406484	1150298__A0A174Q3G7__hyaD_2
ERR1913186.406732__1.406732	1299998__GCA_001494635.1_01530
ERR1913186.407034__1.407034	116085__D4J6U2__DW747_08350
ERR1913186.407318__1.407318	301302__A0A173UN64__manA_2
ERR1913186.407647__1.407647	1262882__R5MY46__BN519_00355
ERR1913186.408263__1.408263	39491__A0A396FNY7__LD38_16155
ERR1913186.408359__1.408359	147206__GCF_000156215.1_01777
ERR1913186.408579__1.408579	40518__R5DTH7__DXD83_02405
ERR1913186.408938__1.408938	1263000__R5EXT3__BN466_02213
ERR1913186.409130__1.409130	40518__R5DR39__mreB_2
ERR1913186.409264__1.409264	1897011__A0A1Q6RF44__BHW41_03065
ERR1913186.409683__1.409683	1262936__R7J358__BN799_01390
ERR1913186.409770__1.409770	301302__A0A0M6WIX9__ERS852420_01972
ERR1913186.410015__1.410015	901__B6WUL1__DESPIG_01755
ERR1913186.410426__1.410426	172901__A0A2U1BA98__C8D82_102146
ERR1913186.410679__1.410679	1263027__R6ZBJ0__BN699_01349
ERR1913186.410834__1.410834	1680__A0A076JNH5__DXC60_03835
ERR1913186.411019__1.411019	74426__group_4823
ERR1913186.411093__1.411093	2022527__A0A264Y5L2__CHL74_10875
ERR1913186.411151__1.411151	1299998__GCA_001494635.1_00422
ERR1913186.411282__1.411282	901__B6WRD8__DHV46_04960
ERR1913186.411414__1.411414	901__A0A1K1LGQ2__DESPIG_02072
ERR1913186.411607__1.411607	552398__F4XCQ4__HMPREF0866_01621
ERR1913186.411825__1.411825	166486__D4KVZ0__ERS852572_03130
ERR1913186.411888__1.411888	1262936__R7IZZ2__BN799_01307
ERR1913186.412256__1.412256	1262936__R7IY78__BN799_00717
ERR1913186.412872__1.412872	40518__R5DS23__DXD86_01715
ERR1913186.412915__1.412915	40518__R5E4X1__DXD93_05270
ERR1913186.413270__1.413270	165179__A0A3E5EDS1__DXC61_03115
ERR1913186.413275__1.413275	410072__A0A174HCW3__ERS852574_00529
ERR1913186.413289__1.413289	901__B6WQQ5__DHV46_03695
ERR1913186.413388__1.413388	1262700__R5XKX7__BN695_01333
ERR1913186.413647__1.413647	1680__A0A076JM61__DXD63_05245
ERR1913186.413956__1.413956	74426__purL
ERR1913186.414729__1.414729	552398__T5S086__HMPREF0866_01580
ERR1913186.415248__1.415248	1262911__R6GZX7__BN557_00838
ERR1913186.415258__1.415258	1262936__R7J0N1__BN799_01252
ERR1913186.415529__1.415529	1550024__G9RWE3__TQ39_04170
ERR1913186.415534__1.415534	147206__GCF_000156215.1_01777
ERR1913186.415597__1.415597	901__A0A1K1LG50__DESPIG_01817
ERR1913186.415610__1.415610	1299998__GCA_001494635.1_01799
ERR1913186.415634__1.415634	552398__F4XCR9__HMPREF0866_01636
ERR1913186.415644__1.415644	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913186.415675__1.415675	216816__B3DNW2__BL171B_07980
ERR1913186.415687__1.415687	1680__R5GRA4__ERS852382_01548
ERR1913186.415698__1.415698	1680__A0A2R4G1K8__BBMN23_0315
ERR1913186.415727__1.415727	301302__R5UKP4__cbiT
ERR1913186.415882__1.415882	40518__R5E7G3__DXD86_03405
ERR1913186.416737__1.416737	901__B6WXK9__DESPIG_02836
ERR1913186.416738__1.416738	45851__D4RW33__ylbJ
ERR1913186.417092__1.417092	301302__A0A173TNM6__luxQ
ERR1913186.417175__1.417175	1262936__R7J5J9__BN799_00247
ERR1913186.417481__1.417481	1680__A0A087DHN0__AL0462_1532
ERR1913186.417761__1.417761	40518__R5DZU5__RBL263_00458
ERR1913186.417778__1.417778	328814__GCA_004558275.1_02030
ERR1913186.417839__1.417839	630129__A0A087B617__BKAS_1320
ERR1913186.417843__1.417843	40518__R5DS38__RBL236_00785
ERR1913186.417909__1.417909	28052__R7N6Q7__rafA
ERR1913186.418094__1.418094	626940__E8LG67__DCQ00_09020
ERR1913186.418101__1.418101	901__B6WRW6__DHV46_04315
ERR1913186.418135__1.418135	630129__A0A087B617__BKAS_1320
ERR1913186.418213__1.418213	74426__nifJ
ERR1913186.418906__1.418906	301301__A0A395V928__RHOM_04950
ERR1913186.418914__1.418914	76489__A0A1E8EUC5__CLOACE_23150
ERR1913186.418953__1.418953	1897011__A0A1Q6RH37__BHW41_01795
ERR1913186.419032__1.419032	45851__D4RWJ0__BHV86_05915
ERR1913186.419524__1.419524	1262936__R7J2K7__BN799_00229
ERR1913186.419624__1.419624	1680__A0A087DHN0__AL0462_1532
ERR1913186.419808__1.419808	1628085__A0A3E2XTK8__C7386_10217
ERR1913186.419852__1.419852	671267__R9I7B5__C802_04018
ERR1913186.420242__1.420242	1262936__R7J0U9__BN799_01484
ERR1913186.420401__1.420401	246787__E2NCX3__HMPREF1062_01637
ERR1913186.420615__1.420615	1680__A0A087DHN0__AL0462_1532
ERR1913186.420735__1.420735	1628085__A0A2U1B935__C7386_11439
ERR1913186.421018__1.421018	1262924__R7HTK4__BN585_00496
ERR1913186.421340__1.421340	28111__E5X3N9__NCTC11155_00170
ERR1913186.422092__1.422092	28111__E5WUX3__HMPREF1016_00550
ERR1913186.422214__1.422214	572010__rplB
ERR1913186.422409__1.422409	1897011__A0A1Q6RBT0__BHW41_06785
ERR1913186.422343__1.422343	1262911__R6GMZ7__BN557_01741
ERR1913186.422389__1.422389	1262936__R7J358__BN799_01390
ERR1913186.422463__1.422463	1262936__R7J1E6__BN799_01664
ERR1913186.422482__1.422482	1262936__R7IYJ1__BN799_00810
ERR1913186.422495__1.422495	1897011__A0A1Q6RH85__BHW41_01750
ERR1913186.422543__1.422543	301302__A0A173RYX5__ERS852420_00973
ERR1913186.422571__1.422571	239935__A0A2N8HBM4__CXT85_06270
ERR1913186.422696__1.422696	301302__A0A0M6W9N8__tig_2
ERR1913186.422936__1.422936	1535__G9RWN9__CH238_11575
ERR1913186.423711__1.423711	1262936__R7J354__BN799_00281
ERR1913186.424001__1.424001	147206__GCF_000156215.1_01774
ERR1913186.424221__1.424221	1262936__R7J048__BN799_01270
ERR1913186.424601__1.424601	1262882__R5MHA1__BN519_00763
ERR1913186.424918__1.424918	1262882__R5MGJ7__BN519_00652
ERR1913186.425365__1.425365	39491__A0A0M6WLC7__ERS852497_00640
ERR1913186.425387__1.425387	487174__K0WV96__HMPREF9448_01901
ERR1913186.425546__1.425546	301302__A0A0M6WWK6__M72_13961
ERR1913186.425584__1.425584	1262911__R6H2B5__BN557_01151
ERR1913186.425830__1.425830	45851__D4RWS3__BUTYVIB_00110
ERR1913186.425942__1.425942	544644__GCA_001915615.1_00061
ERR1913186.426089__1.426089	1897011__A0A1Q6RGA1__BHW41_02610
ERR1913186.426270__1.426270	1262882__R5MQ63__BN519_01173
ERR1913186.426841__1.426841	901__B6WRD8__DHV46_04960
ERR1913186.427081__1.427081	45851__D4S1A8__BHV86_08940
ERR1913186.427194__1.427194	45851__D4S184__BUTYVIB_01854
ERR1913186.427220__1.427220	1262936__R7IY41__BN799_00608
ERR1913186.427558__1.427558	40518__R5E642__RBATCC27255_00729
ERR1913186.427715__1.427715	1262911__R6GY78__BN557_00532
ERR1913186.428092__1.428092	901__B6WUL1__DESPIG_01755
ERR1913186.428107__1.428107	1628085__A0A3E2XSL7__C7386_12131
ERR1913186.428152__1.428152	1262911__R6GZW9__BN557_00833
ERR1913186.428454__1.428454	301302__A0A0M6WJW1__ERS852420_02245
ERR1913186.428613__1.428613	901__B6WUL1__DESPIG_01755
ERR1913186.428886__1.428886	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1913186.429074__1.429074	1680__A0A374QDL4__LMG18897_0432
ERR1913186.429091__1.429091	165179__A0A174IYW3__DXC61_01235
ERR1913186.429120__1.429120	1262936__R7J5X5__BN799_00356
ERR1913186.429211__1.429211	45851__D4RX09__BUTYVIB_00360
ERR1913186.429264__1.429264	1262936__R7J2K7__BN799_00229
ERR1913186.429385__1.429385	45851__D4S069__spoIVA
ERR1913186.429538__1.429538	1262936__R7IY78__BN799_00717
ERR1913186.429867__1.429867	2022527__A0A264Y8R9__CHL74_05250
ERR1913186.430242__1.430242	40518__R5DLU0__fmt
ERR1913186.430445__1.430445	301302__A0A173S3L8__vpr
ERR1913186.430452__1.430452	39491__A0A395V5R3__EUBREC_1883
ERR1913186.430755__1.430755	1262936__R7J0S3__BN799_01459
ERR1913186.430930__1.430930	454154__G5SPP3__HMPREF9441_01326
ERR1913186.431301__1.431301	39485__A0A174ZA72__glgB_1
ERR1913186.431821__1.431821	45851__D4RWC1__BHV86_06985
ERR1913186.431971__1.431971	1262911__R6GLA5__BN557_01456
ERR1913186.432009__1.432009	1262936__R7J146__BN799_01697
ERR1913186.432284__1.432284	301302__R5UNJ6__M72_26701
ERR1913186.432382__1.432382	1897011__A0A1Q6RBT0__BHW41_06785
ERR1913186.432463__1.432463	216816__Q8G4X6__DXD52_09895
ERR1913186.432650__1.432650	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913186.432750__1.432750	1680__A0A087DHN0__AL0462_1532
ERR1913186.432754__1.432754	1680__A0A087DLC6__C8077_00815
ERR1913186.432807__1.432807	357276__A0A0K2HG61__BACDOR_02028
ERR1913186.433148__1.433148	1262919__R5P589__BN465_00619
ERR1913186.433484__1.433484	1262936__R7J0Z2__BN799_00650
ERR1913186.433712__1.433712	1262936__R7J1I2__BN799_01776
ERR1913186.433779__1.433779	901__B6WR13__DHV46_00815
ERR1913186.434534__1.434534	1262936__R7J1E6__BN799_01664
ERR1913186.434609__1.434609	154046__A0A174HT61__HMPREF1093_05652
ERR1913186.434777__1.434777	301302__R5V4M3__ERS852420_01171
ERR1913186.434909__1.434909	1262936__R7J5J9__BN799_00247
ERR1913186.435404__1.435404	1262936__R7J0Z2__BN799_00650
ERR1913186.435435__1.435435	39485__A0A174Z2N7__EUBELI_02062
ERR1913186.435457__1.435457	39485__C4Z6K2__ERS852490_00407
ERR1913186.435638__1.435638	1262959__R5Y113__BN680_01545
ERR1913186.435693__1.435693	1262936__R7J5J9__BN799_00247
ERR1913186.435983__1.435983	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913186.436191__1.436191	74426__group_4823
ERR1913186.436253__1.436253	1262936__R7J1I2__BN799_01776
ERR1913186.436308__1.436308	1262945__R6ZW55__BN600_01033
ERR1913186.436388__1.436388	1262911__R6H1J5__BN557_00905
ERR1913186.436891__1.436891	1680__A0A173YLK6__BAD_0868
ERR1913186.436969__1.436969	821__I9R3W6__DXC16_12455
ERR1913186.437012__1.437012	1262924__R7HLJ9__BN585_01064
ERR1913186.437069__1.437069	1262936__R7J049__BN799_01347
ERR1913186.437094__1.437094	901__B6WPV2__DHV46_04070
ERR1913186.437155__1.437155	820__A0A3E4QZJ7__C801_01798
ERR1913186.437250__1.437250	45851__R5LVD9__BHV86_05140
ERR1913186.437491__1.437491	1262882__R5MMP8__BN519_01654
ERR1913186.437707__1.437707	40520__R7DBI2__ERS852533_03021
ERR1913186.437966__1.437966	853__A0A2A7ATM9__DWZ89_13645
