ERR1913260.118__1.118	39488__A0A173UQ83__mutY
ERR1913260.189081__1.189081	301302__R5VGE0__ERS852420_00121
ERR1913260.189222__1.189222	239935__A0A2N8HH03__CXU09_08875
ERR1913260.189412__1.189412	214856__R6Y7P0__ERS852447_00307
ERR1913260.189682__1.189682	239935__A0A139TMG9__CXU07_10650
ERR1913260.189754__1.189754	1680__R5GKP2__DXD60_06200
ERR1913260.189861__1.189861	745368__A0A1T4Y7V7__SAMN02745178_02833
ERR1913260.189926__1.189926	239935__R6IZU4__CXT87_08085
ERR1913260.189933__1.189933	239935__A0A139TPD4__CXT86_06450
ERR1913260.190030__1.190030	1550024__G9RTD6__TQ39_10825
ERR1913260.190076__1.190076	1681__A0A1V8QZE2__B216_08176
ERR1913260.190178__1.190178	28025__A0A0L7BUS8__BASA_1347
ERR1913260.190335__1.190335	239935__R7DVL7__CXT93_01180
ERR1913260.190604__1.190604	28025__A0A0L7CV69__BLC1_1290
ERR1913260.190728__1.190728	1308__G6EPE2__Y018_01915
ERR1913260.190760__1.190760	1263000__R5EHB0__BN466_01647
ERR1913260.190776__1.190776	410072__C0B8M3__ERS852574_02182
ERR1913260.190896__1.190896	40518__R5E282__DXD86_08940
ERR1913260.190943__1.190943	2173__A0A1D2WW38__METSMIF1_03111
ERR1913260.190988__1.190988	1262736__R5Y4Y8__BN496_00388
ERR1913260.191003__1.191003	1550024__A0A3B9WKM9__ASJ35_18565
ERR1913260.191068__1.191068	301301__A0A395VFD3__ERS852391_02492
ERR1913260.191127__1.191127	1262848__R6TXE6__BN818_00265
ERR1913260.191223__1.191223	39491__A0A174K265__DXB76_05915
ERR1913260.191227__1.191227	2173__A0A1D2WWU1__METSMIALI_01068
ERR1913260.191237__1.191237	239935__A0A2N8HH03__CXU09_08875
ERR1913260.191304__1.191304	1680__A0A0B5BL52__ERS852382_00480
ERR1913260.191687__1.191687	39491__A0A396FNY7__LD38_16155
ERR1913260.191693__1.191693	39491__A0A395UZ89__DXB72_12805
ERR1913260.191775__1.191775	1680__A0A174BEE7__BSTER_1311
ERR1913260.191876__1.191876	1262848__R6U6L1__BN818_00132
ERR1913260.191913__1.191913	78345__A0A087BJN2__BMERY_1596
ERR1913260.192126__1.192126	74426__rpoB
ERR1913260.192258__1.192258	239935__R6JWJ7__CXT94_02580
ERR1913260.192307__1.192307	106588__A6NUL8__BACCAP_01900
ERR1913260.192355__1.192355	246787__A0A0P0G684__cirA_10
ERR1913260.192403__1.192403	1680__A0A076JNH5__DXC60_03835
ERR1913260.192427__1.192427	239935__A0A139TMG9__CXU07_10650
ERR1913260.192458__1.192458	1262848__R6U804__BN818_00069
ERR1913260.192516__1.192516	239935__A0A2N8IUU3__CXU18_08060
ERR1913260.192699__1.192699	357276__A0A0M1W9N4__GV66_05135
ERR1913260.192717__1.192717	39491__A0A395ZDC6__addB
ERR1913260.192818__1.192818	39491__A0A173VYV1__DXC13_02710
ERR1913260.192828__1.192828	74426__sugC
ERR1913260.192931__1.192931	1150298__R7JNQ8__ERS852406_00857
ERR1913260.193006__1.193006	1680__R5GRA4__ERS852382_01548
ERR1913260.193214__1.193214	1680__A0A0B5BIU5__BSTER_0145
ERR1913260.193260__1.193260	33043__D5HDZ9__ERS852386_00394
ERR1913260.193363__1.193363	1263000__R5EXT3__BN466_02213
ERR1913260.193403__1.193403	28117__B0MT73__ALIPUT_00412
ERR1913260.193532__1.193532	184870__A0A2I1YD63__CYK25_01140
ERR1913260.193554__1.193554	1897011__A0A1Q6RE83__BHW41_04925
ERR1913260.193591__1.193591	1680__A7A7Z9__AAX71_05385
ERR1913260.193667__1.193667	1262942__R7QW45__BN520_01921
ERR1913260.193724__1.193724	1150298__A0A174DQT6__ERS852498_00506
ERR1913260.193774__1.193774	39492__R6SA81__EUBSIR_00402
ERR1913260.194290__1.194290	1263107__GCA_000436995.1_00046
ERR1913260.194345__1.194345	820__A0A139KHX1__HMPREF2141_00289
ERR1913260.194326__1.194326	216816__C5E9C3__CJO32_03030
ERR1913260.194374__1.194374	818__A0A0P0F4D0__BT_2503
ERR1913260.194396__1.194396	1681__A0A292G6V6__BBB_1561
ERR1913260.194402__1.194402	39491__A0A395UZ89__DXB72_12805
ERR1913260.194480__1.194480	216816__D6D9J4__DPC6320_0487
ERR1913260.194706__1.194706	33039__A0A174XW11__RTO_07780
ERR1913260.194715__1.194715	40520__A0A174HSN4__ltaS1_2
ERR1913260.194780__1.194780	78345__A0A087BK46__SAMN02745589_0061
ERR1913260.194907__1.194907	239935__A0A2N8ITW6__CXT91_06265
ERR1913260.195044__1.195044	1550024__G9RZG0__ASJ35_05540
ERR1913260.195051__1.195051	1680__R5GSL8__DXD60_03315
ERR1913260.195145__1.195145	1680__A0A2R4G1K8__BBMN23_0315
ERR1913260.195237__1.195237	357276__A0A0K2HDV9__DXD47_02600
ERR1913260.195241__1.195241	2173__A0A1D2WVH4__METSMIALI_00947
ERR1913260.195482__1.195482	853__A0A173XRA8__CGS56_09290
ERR1913260.195518__1.195518	1681__A0A0H2PKG4__SAMN05216254_0742
ERR1913260.195552__1.195552	907__A0A2S0M5P1__AZ49_01645
ERR1913260.195591__1.195591	61171__B9Y5T8__HOLDEFILI_01170
ERR1913260.195730__1.195730	820__A0A174GYA8__DXB64_07370
ERR1913260.196262__1.196262	1683__C4FEM4__BIANG_0131
ERR1913260.196207__1.196207	1393034__GCA_001552785.1_00506
ERR1913260.196311__1.196311	1262924__R7HML0__BN585_01508
ERR1913260.196352__1.196352	1680__R5GRA4__ERS852382_01548
ERR1913260.196399__1.196399	2173__A0A1D2WXY3__BK798_04185
ERR1913260.196403__1.196403	1680__A0A0C2YPV2__AL0462_1474
ERR1913260.196529__1.196529	239935__R6JAS2__CXU02_10725
ERR1913260.196700__1.196700	40518__R5E1J2__DXD93_04070
ERR1913260.196866__1.196866	28117__B0MYA9__BHV66_07790
ERR1913260.196975__1.196975	74426__nifJ
ERR1913260.196897__1.196897	1262848__R6U2G7__BN818_00847
ERR1913260.196994__1.196994	74426__nrdD
ERR1913260.197016__1.197016	853__C7H1R8__DW905_06675
ERR1913260.197030__1.197030	1262848__R6U1W9__BN818_00751
ERR1913260.197059__1.197059	820__A0A173W419__DXC68_17760
ERR1913260.197086__1.197086	1680__A0A1X3A951__AL0462_1583
ERR1913260.197154__1.197154	1660__A0A2X0VEX1__ACTODO_01022
ERR1913260.197204__1.197204	39488__A0A173UK14__araC_3
ERR1913260.197305__1.197305	1680__A0A174BEE7__BSTER_1311
ERR1913260.197322__1.197322	239935__A0A2N8HS88__CXU19_12255
ERR1913260.197381__1.197381	301301__G2SZK8__ERS852391_00581
ERR1913260.197830__1.197830	853__A0A173XRA8__CGS56_09290
ERR1913260.197949__1.197949	1897011__A0A1Q6RI94__BHW41_01260
ERR1913260.198034__1.198034	820__A0A3E4W9W8__C801_01069
ERR1913260.198245__1.198245	40520__D4LXF6__RUMOBE_00717
ERR1913260.198419__1.198419	357276__E5UTL1__HMPREF1065_03551
ERR1913260.198444__1.198444	239935__R6J9Y2__CXT85_07000
ERR1913260.198667__1.198667	357276__D1K3K9__EL88_23995
ERR1913260.198731__1.198731	204516__U6R9E7__HMPREF1534_03313
ERR1913260.198901__1.198901	239935__A0A139TPU7__CXT91_06575
ERR1913260.198987__1.198987	1703337__A0A2U0TJK6__C7379_1361
ERR1913260.199138__1.199138	239935__R7E524__CXT91_06180
ERR1913260.199172__1.199172	626940__E8LEB7__DCQ00_02550
ERR1913260.199450__1.199450	1263000__R5EEL2__BN466_01100
ERR1913260.199673__1.199673	40520__A0A174DGW8__DXB81_10115
ERR1913260.199787__1.199787	39491__A0A395ZDC6__addB
ERR1913260.199799__1.199799	239935__A0A2N8J2P6__ADH72_06730
ERR1913260.199971__1.199971	387090__S0F7Y3__BACCOPRO_02028
ERR1913260.200180__1.200180	1262736__R5YWX2__BN496_01074
ERR1913260.200248__1.200248	1965650__A0A1Y3VA28__B5G16_11230
ERR1913260.200336__1.200336	1263011__R6DXZ6__BN553_01033
ERR1913260.200423__1.200423	116085__D4J6R4__DW747_08190
ERR1913260.200524__1.200524	40518__R5DY98__mepA_5
ERR1913260.200773__1.200773	216816__Q8G464__BFS25_05925
ERR1913260.200834__1.200834	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913260.200836__1.200836	39491__A0A174LTW7__DXD13_08720
ERR1913260.200891__1.200891	204516__U6R9E7__HMPREF1534_03313
ERR1913260.201086__1.201086	1897011__A0A1Q6RE76__BHW41_04850
ERR1913260.201175__1.201175	45851__R5LAF0__BHV86_08225
ERR1913260.201413__1.201413	446660__GCA_003428235.1_00881
ERR1913260.201704__1.201704	1262848__R6U148__BN818_00289
ERR1913260.201908__1.201908	2173__A0A1D2WTN6__METSMIALI_01091
ERR1913260.202000__1.202000	28116__C3QMW5__M089_4133
ERR1913260.202020__1.202020	853__A0A2A7A628__CGS57_13755
ERR1913260.202022__1.202022	301302__R5UIY5__M72_17461
ERR1913260.202079__1.202079	1550024__G9RPH0__TQ39_05505
ERR1913260.202128__1.202128	745368__A0A1T4XXN7__SAMN02745178_02496
ERR1913260.202174__1.202174	39491__A0A3E4YFT8__DXB69_10940
ERR1913260.202180__1.202180	39488__A0A374NVL2__EHLA_3034
ERR1913260.202266__1.202266	1550024__A0A0D8IYB1__TQ39_12130
ERR1913260.202387__1.202387	74426__pflB_2
ERR1913260.202490__1.202490	39491__A0A395ZHW9__DXC13_02590
ERR1913260.202700__1.202700	28117__R7JJM9__ALIPUT_00662
ERR1913260.202657__1.202657	246787__A0A3D6AYS8__HMPREF1062_06098
ERR1913260.202824__1.202824	301301__A0A395VD84__RHOM_09080
ERR1913260.202949__1.202949	1150298__R7JT48__gsiA_6
ERR1913260.202934__1.202934	28117__B0MXR4__BHV66_08025
ERR1913260.203029__1.203029	28117__R7JIJ8__BHV66_01635
ERR1913260.203085__1.203085	1262743__R5C054__BN727_01980
ERR1913260.203091__1.203091	39491__A0A173QT73__alaS_2
ERR1913260.203271__1.203271	1680__A0A076JNH5__DXC60_03835
ERR1913260.203295__1.203295	239935__A0A2N8I6R6__CXU04_04335
ERR1913260.203446__1.203446	1308__A0A2S4DZ34__DID82_04655
ERR1913260.203451__1.203451	33043__A0A174AEP1__apr
ERR1913260.203543__1.203543	239935__A0A2N8IU45__DEF40_02365
ERR1913260.203556__1.203556	1262736__R5YAV6__BN496_01775
ERR1913260.203630__1.203630	1263107__GCA_000436995.1_00056
ERR1913260.203733__1.203733	28052__A0A174KBY5__slyD
ERR1913260.203763__1.203763	1262911__R6H0U7__BN557_01104
ERR1913260.203767__1.203767	239935__A0A2N8IYM5__CXT84_05130
ERR1913260.203791__1.203791	384638__B7APR0__BACPEC_00666
ERR1913260.203933__1.203933	116085__D4J683__DW747_12695
ERR1913260.204046__1.204046	301302__A0A173RJJ7__ERS852420_00620
ERR1913260.204161__1.204161	1262848__R6U2B6__BN818_00428
ERR1913260.204277__1.204277	2173__A0A1D2WXE6__Msm_0136
ERR1913260.204353__1.204353	1263000__R5ERG7__BN466_00390
ERR1913260.204336__1.204336	1099853__U5CBZ4__NSB1T_00950
ERR1913260.204420__1.204420	239935__A0A2N8I5A2__DEF40_08455
ERR1913260.204647__1.204647	1263109__GCA_000438135.1_00034
ERR1913260.204775__1.204775	1550024__G9RWG5__TQ39_04290
ERR1913260.204757__1.204757	1680__A0A076JNS9__BIFADO_02309
ERR1913260.204806__1.204806	1680__A7A4N3__ERS852382_00779
ERR1913260.204816__1.204816	40518__R5DVQ2__DXD93_00365
ERR1913260.204884__1.204884	1262882__R5N5S3__BN519_00085
ERR1913260.204918__1.204918	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913260.204996__1.204996	1262911__R6H174__BN557_01246
ERR1913260.205133__1.205133	239935__R6J9Y2__CXT85_07000
ERR1913260.205783__1.205783	1550024__G9RY06__TQ39_00225
ERR1913260.205881__1.205881	239935__A0A2N8HUU6__CXT90_06150
ERR1913260.205931__1.205931	33039__A0A173VTT4__frdB_1
ERR1913260.206436__1.206436	1897011__A0A1Q6RH97__BHW41_01945
ERR1913260.206531__1.206531	39491__A0A396FUZ3__phoR_1
ERR1913260.206712__1.206712	39491__C4Z872__LD38_07250
ERR1913260.206803__1.206803	1263107__GCA_000436995.1_00103
ERR1913260.206744__1.206744	39488__C0F0P7__ERS852578_02651
ERR1913260.206749__1.206749	1522__G1VP46__CIAN88_18795
ERR1913260.206759__1.206759	39491__A0A395ZF49__DXB69_05290
ERR1913260.206838__1.206838	630129__A0A087AXR7__BKAS_1051
ERR1913260.207134__1.207134	216816__Q8G6X1__DD674_00140
ERR1913260.207266__1.207266	39491__A0A395V5R3__EUBREC_1883
ERR1913260.207295__1.207295	39491__A0A396FRE7__EUR_27520
ERR1913260.207323__1.207323	40518__R5DW64__RBL236_01394
ERR1913260.207339__1.207339	1680__A0A174BEE7__BSTER_1311
ERR1913260.207416__1.207416	820__A0A173WUD7__DXB48_08055
ERR1913260.207554__1.207554	40518__R5DXI4__DXD86_07420
ERR1913260.207593__1.207593	1263107__GCA_000436995.1_00236
ERR1913260.207607__1.207607	74426__infB
ERR1913260.207910__1.207910	1550024__A0A0W7TSP5__ASJ35_06140
ERR1913260.207937__1.207937	28117__B0MU57__ALIPUT_00175
ERR1913260.208277__1.208277	216816__A0A0S2MCH0__AYW81_04880
ERR1913260.208302__1.208302	39491__A0A395UZL1__DXB76_05950
ERR1913260.208589__1.208589	187327__G4Q2R6__Acin_2204
ERR1913260.208690__1.208690	357276__A0A0K2HNG3__HMPREF1064_03004
ERR1913260.208713__1.208713	39491__A0A396FS17__envC
ERR1913260.208868__1.208868	216816__Q8G464__BFS25_05925
ERR1913260.208951__1.208951	907__S7HJ70__SAMN02910401_01794
ERR1913260.208912__1.208912	1680__A0A173YLK6__BAD_0868
ERR1913260.208965__1.208965	39492__A0A174ZYY6__EUBSIR_02510
ERR1913260.208999__1.208999	214856__A0A174C683__ERS852559_00523
ERR1913260.209253__1.209253	1681__I3WGI8__DD715_03705
ERR1913260.209290__1.209290	45851__D4RWC3__BUTYVIB_00254
ERR1913260.209322__1.209322	1550024__A0A3B9WJZ9__TQ39_02585
ERR1913260.209414__1.209414	2173__A0A1D2WT83__METSMIF1_03309
ERR1913260.209423__1.209423	745368__A0A1T4Y6M3__SAMN02745178_02754
ERR1913260.209608__1.209608	239935__R6JAS2__CXU02_10725
ERR1913260.209611__1.209611	29385__A0A3A0S8D5__BUZ78_12140
ERR1913260.209741__1.209741	820__A0A374Q854__HMPREF1073_03281
ERR1913260.209755__1.209755	184870__A0A134BKS9__Q618_VCMC00001G1024
ERR1913260.209826__1.209826	1262848__R6UGM0__BN818_00635
ERR1913260.209830__1.209830	166486__D4KWZ7__cph2_5
ERR1913260.209872__1.209872	39491__D4JMW8__ERS852497_01971
ERR1913260.210030__1.210030	821__A0A395UNT8__DXD64_15275
ERR1913260.210130__1.210130	820__A0A3E4GA19__SAMN05444418_10562
ERR1913260.210103__1.210103	246787__A0A0P0GM17__BACCELL_03224
ERR1913260.210450__1.210450	239935__A0A2N8HTZ8__CXU09_01270
ERR1913260.210452__1.210452	1550024__G9RPI3__ASJ35_09180
ERR1913260.210540__1.210540	2173__A0A1D2WS51__METSMIALI_00230
ERR1913260.210565__1.210565	1680__A0A1X2ZFB6__AD0028_0856
ERR1913260.210676__1.210676	1262761__R6RU22__BN606_01110
ERR1913260.210679__1.210679	371601__I9JEF3__DXD80_17785
ERR1913260.210707__1.210707	1680__A0A174BEE7__BSTER_1311
ERR1913260.210829__1.210829	216816__D6DBD5__DXC32_04335
ERR1913260.210837__1.210837	1680__A0A087DLC6__C8077_00815
ERR1913260.210865__1.210865	239935__A0A2N8HHY4__DEF40_10850
ERR1913260.210897__1.210897	552398__T5S086__HMPREF0866_01580
ERR1913260.211012__1.211012	40518__R5DYP7__envC
ERR1913260.211256__1.211256	1262848__R6U148__BN818_00289
ERR1913260.211221__1.211221	1680__R5GR82__AD0028_0014
ERR1913260.211460__1.211460	239935__A0A2N8HDT1__CXT94_05270
ERR1913260.211462__1.211462	820__A0A396EWL3__ERS417307_03868
ERR1913260.211524__1.211524	1262924__R7HST1__BN585_00215
ERR1913260.211535__1.211535	1680__A0A374QDL4__LMG18897_0432
ERR1913260.211576__1.211576	626932__G5H6N6__HMPREF9450_00596
ERR1913260.211601__1.211601	1262736__R5Y3Y0__BN496_01937
ERR1913260.211607__1.211607	1681__R6GK25__DXD45_08865
ERR1913260.211749__1.211749	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913260.211963__1.211963	214856__A0A173YXX1__ERS852559_01651
ERR1913260.211966__1.211966	239935__R7DVW2__CXU02_03915
ERR1913260.211862__1.211862	1262736__R5Y2K8__BN496_01061
ERR1913260.212034__1.212034	40520__A0A3E4QB73__adrA
ERR1913260.212074__1.212074	239935__A0A2N8IMC3__CXT96_03840
ERR1913260.212225__1.212225	45851__R5LJL1__BHV86_09305
ERR1913260.212301__1.212301	1150298__A0A174SLE6__mlc_1
ERR1913260.212395__1.212395	745368__A0A1T4Y6M3__SAMN02745178_02754
ERR1913260.212382__1.212382	1680__A0A374QDL4__LMG18897_0432
ERR1913260.212709__1.212709	239935__R6J776__CXU07_02355
ERR1913260.212692__1.212692	745368__A0A1T4YBU5__SAMN02745178_02911
ERR1913260.212784__1.212784	853__A0A173XRA8__CGS56_09290
ERR1913260.212852__1.212852	820__A0A139KJ23__celCCA
ERR1913260.213189__1.213189	45851__D4S0P6__BUTYVIB_01665
ERR1913260.213220__1.213220	239935__A0A2N8IEP3__CXT84_03735
ERR1913260.213332__1.213332	1262924__R7HSB4__BN585_00816
ERR1913260.213475__1.213475	216816__Q8G585__APC1473_0508
ERR1913260.213573__1.213573	1263030__R5CTB6__BN705_00381
ERR1913260.213554__1.213554	88431__A0A173XSN2__ERS852526_00723
ERR1913260.213599__1.213599	1550024__A0A0D8J136__TQ39_12150
ERR1913260.213679__1.213679	1522__G1VP44__SAMN04487929_10230
ERR1913260.213772__1.213772	1680__R5GZJ8__BSTER_1195
ERR1913260.213799__1.213799	88431__A0A3D0F1H3__ERS852573_02429
ERR1913260.213810__1.213810	39491__A0A395UVM9__DXB76_04540
ERR1913260.214087__1.214087	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913260.214094__1.214094	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913260.214164__1.214164	39491__A0A395ZBW8__DXC13_08840
ERR1913260.214171__1.214171	39491__A0A395ZE48__DXB76_02395
ERR1913260.214272__1.214272	1550024__G9RNX5__ASJ35_11740
ERR1913260.214348__1.214348	1262848__R6UAA6__BN818_01734
ERR1913260.214682__1.214682	301302__R5VCU3__cbiK_2
ERR1913260.214800__1.214800	1681__E4V7X5__BBNG_00264
ERR1913260.214910__1.214910	39491__A0A395UWZ1__DXC13_02175
ERR1913260.215027__1.215027	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913260.215034__1.215034	74426__asnS
ERR1913260.215103__1.215103	239935__A0A139TPU7__CXT91_06575
ERR1913260.215147__1.215147	28117__B0MU76__ALIPUT_00202
ERR1913260.215175__1.215175	1550024__A0A3B9WIW5__TQ39_04755
ERR1913260.215188__1.215188	39491__A0A174LTW7__DXD13_08720
ERR1913260.215199__1.215199	39488__C0EX25__DXD91_11965
ERR1913260.215247__1.215247	1262924__R7HU74__BN585_00690
ERR1913260.215418__1.215418	626940__E8LC18__BHW43_04640
ERR1913260.215480__1.215480	39488__A0A173TCD3__lytR_1
ERR1913260.215522__1.215522	74426__group_4823
ERR1913260.215586__1.215586	39491__A0A173TFQ1__rsmF
ERR1913260.215631__1.215631	1680__A0A0B5BL52__ERS852382_00480
ERR1913260.215639__1.215639	1262848__R6U2F0__BN818_00838
ERR1913260.215645__1.215645	626940__E8LDA6__BHW43_10055
ERR1913260.215874__1.215874	853__A0A3E2U7E6__ERS852582_01640
ERR1913260.215881__1.215881	1680__A0A174BEE7__BSTER_1311
ERR1913260.216455__1.216455	1680__A0A174BEE7__BSTER_1311
ERR1913260.216597__1.216597	1262911__R6GZ01__BN557_00641
ERR1913260.216606__1.216606	1263107__GCA_000436995.1_00133
ERR1913260.216931__1.216931	39485__A0A174ZA08__EUBELI_01019
ERR1913260.217128__1.217128	1262777__R5W471__BN512_01274
ERR1913260.217167__1.217167	46503__R6X275__DD461_10840
ERR1913260.217231__1.217231	39485__C4Z0S8__hisK
ERR1913260.217257__1.217257	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913260.217314__1.217314	820__A0A3E4VZY4__ERS852554_01211
ERR1913260.217320__1.217320	1686__B6XTW8__B5782_0877
ERR1913260.217500__1.217500	239935__R6IZT7__CXU18_11710
ERR1913260.217628__1.217628	216816__D6DBD5__DXC32_04335
ERR1913260.217658__1.217658	1235835__R9LCU2__C814_02677
ERR1913260.217684__1.217684	853__A0A3E2U7E6__ERS852582_01640
ERR1913260.217998__1.217998	1550024__G9RNN4__ASJ35_08335
ERR1913260.218095__1.218095	28111__E5WUE9__NCTC11155_01729
ERR1913260.218131__1.218131	39491__A0A395V464__EUBREC_1509
ERR1913260.218273__1.218273	2173__A0A1D2WX16__METSMIALI_00508
ERR1913260.218631__1.218631	1681__K2HRF5__B0156_0361
ERR1913260.218934__1.218934	39491__A0A395UWZ1__DXC13_02175
ERR1913260.219173__1.219173	384639__GCA_003096855.1_01173
ERR1913260.219359__1.219359	246787__R6KIG0__BcellWH2_02358
ERR1913260.219410__1.219410	1680__A0A0C2YPV2__AL0462_1474
ERR1913260.219542__1.219542	28117__B0MWH8__BHV66_01330
ERR1913260.219569__1.219569	1628085__A0A3E2Y1Z4__C7386_12230
ERR1913260.219615__1.219615	39492__D4JWM0__atpF
ERR1913260.219910__1.219910	74426__thrZ
ERR1913260.220002__1.220002	28117__B0MWP2__ALIPUT_01468
ERR1913260.220246__1.220246	446660__GCA_003428235.1_01223
ERR1913260.220280__1.220280	1263011__R6DQ79__BN553_01057
ERR1913260.220281__1.220281	1262992__R5D1Y3__BN795_00199
ERR1913260.220482__1.220482	216816__A0A133L1E2__ptsP
ERR1913260.220412__1.220412	357276__I9FRW5__B5F95_21685
ERR1913260.220628__1.220628	1262848__R6UDH8__BN818_01704
ERR1913260.220870__1.220870	357276__A0A0K2HG61__BACDOR_02028
ERR1913260.221029__1.221029	74426__groL
ERR1913260.221198__1.221198	33043__D5HHE4__ERS852445_02332
ERR1913260.221340__1.221340	907__A0A269TDG0__feoB
ERR1913260.221566__1.221566	214856__A0A175A6T5__ERS852447_02658
ERR1913260.221728__1.221728	40518__R5DNY7__RBATCC27255_00367
ERR1913260.221760__1.221760	239935__A0A139TQT9__Amuc_1197
ERR1913260.221819__1.221819	820__A0A173W419__DXC68_17760
ERR1913260.221968__1.221968	1262882__R5ML49__BN519_01361
ERR1913260.222038__1.222038	1150298__A0A174LKY6__ERS852535_00447
ERR1913260.222097__1.222097	1680__A0A1E7Y0K2__DXC59_05185
ERR1913260.222230__1.222230	39491__A0A395V2P3__DXB69_08700
ERR1913260.222242__1.222242	39488__A0A374MV67__DXD91_15895
ERR1913260.222373__1.222373	384638__B7APR0__BACPEC_00666
ERR1913260.222395__1.222395	1680__A0A0C2YPV2__AL0462_1474
ERR1913260.222646__1.222646	39491__C4Z9K7__EUBREC_0050
ERR1913260.222745__1.222745	1680__A0A076JNS9__BIFADO_02309
ERR1913260.222812__1.222812	239935__A0A3F3K985__CXT98_05805
ERR1913260.222830__1.222830	239935__A0A2N8HZW2__A4V05_11120
ERR1913260.222864__1.222864	40518__R5E2R8__nnr_2
ERR1913260.222883__1.222883	1262993__R5CJC7__BN785_00469
ERR1913260.222952__1.222952	1263107__GCA_000436995.1_00014
ERR1913260.223075__1.223075	1150298__A0A174MSM0__toxA_2
ERR1913260.223050__1.223050	74426__infB
ERR1913260.223110__1.223110	745368__A0A1T4YBU5__SAMN02745178_02911
ERR1913260.223299__1.223299	1262924__R7HMZ0__BN585_01986
ERR1913260.223303__1.223303	246787__A0A3D6AS39__ina
ERR1913260.223372__1.223372	1262889__R7H8W0__BN634_02256
ERR1913260.223413__1.223413	1681__A0A286TCN9__LMG13195_0626
ERR1913260.223721__1.223721	487175__R5EHI2__HMPREF9439_00085
ERR1913260.223729__1.223729	853__A8SGX8__C4N21_08625
ERR1913260.223932__1.223932	1263107__GCA_000436995.1_00193
ERR1913260.224306__1.224306	239935__A0A2N8I6R6__CXU04_04335
ERR1913260.224755__1.224755	418240__A0A174NZX7__tagF_1
ERR1913260.224913__1.224913	239935__A0A2N8ITX2__CXT86_11265
ERR1913260.224924__1.224924	253839__D9VQ27__SSNG_03091
ERR1913260.225028__1.225028	33039__D4M286__ERS852502_02380
ERR1913260.225203__1.225203	1262736__R5Y4S4__BN496_00323
ERR1913260.225344__1.225344	39485__A0A174Z7L4__EUBELI_01085
ERR1913260.225722__1.225722	1262848__R6V8J8__BN818_00569
ERR1913260.226039__1.226039	301302__A0A173R6H4__M72_21671
ERR1913260.226066__1.226066	357276__I9FRW5__B5F95_21685
ERR1913260.226177__1.226177	39491__C4ZCV7__ERE_23110
ERR1913260.226470__1.226470	357276__A0A076IP73__BACDOR_04237
ERR1913260.226593__1.226593	1262882__R5MYG7__BN519_00405
ERR1913260.226600__1.226600	1550024__G9RYB3__TQ39_01060
ERR1913260.226532__1.226532	1550024__G9RWE0__TQ39_04155
ERR1913260.226690__1.226690	1550024__A0A0D8IY61__ASJ35_05690
ERR1913260.226762__1.226762	1262992__R5CXM8__BN795_01024
ERR1913260.226772__1.226772	1262924__R7HQ14__BN585_00419
ERR1913260.226811__1.226811	39486__R6SE83__DXD82_03080
ERR1913260.226955__1.226955	394340__htpG
ERR1913260.226990__1.226990	39492__A0A174ZG93__EUBSIR_00254
ERR1913260.227046__1.227046	1680__R5GRA4__ERS852382_01548
ERR1913260.227299__1.227299	267818__A0A0R1PKA2__B8W86_09675
ERR1913260.227402__1.227402	1897011__A0A1Q6RDY7__BHW41_05255
ERR1913260.227502__1.227502	74426__purL
ERR1913260.227666__1.227666	39491__A0A173VYV1__DXC13_02710
ERR1913260.227843__1.227843	39491__C4Z9D4__DXD95_00055
ERR1913260.227991__1.227991	2173__A5UND4__Msm_1507
ERR1913260.228000__1.228000	1262848__R6V8K2__BN818_00571
ERR1913260.228128__1.228128	1579__A0A3A9XVR7__DBQ07_08950
ERR1913260.228148__1.228148	745368__A0A1T4WEV8__SAMN02745178_00491
ERR1913260.228232__1.228232	2173__A0A1D2WXH6__METSMIALI_01616
ERR1913260.228319__1.228319	1263107__GCA_000436995.1_00032
ERR1913260.228493__1.228493	239935__R7DVW2__CXU02_03915
ERR1913260.228495__1.228495	1681__A0A0E2ZAJ3__BJL93_03770
ERR1913260.228502__1.228502	1681__E4V7J8__RY70_284
ERR1913260.228621__1.228621	1263000__R5EDV4__BN466_01097
ERR1913260.228826__1.228826	1550024__A0A3B9WI73__ASJ35_03410
ERR1913260.229052__1.229052	147206__GCF_000156215.1_01776
ERR1913260.229101__1.229101	216816__A0A0A0UDU9__BL1246
ERR1913260.229300__1.229300	28117__B0MXU6__ALIPUT_01958
ERR1913260.229383__1.229383	40518__R5DME2__DXD86_07315
ERR1913260.229414__1.229414	1262848__R6UFE6__BN818_00496
ERR1913260.229662__1.229662	301302__A0A173TEJ2__M72_09031
ERR1913260.229690__1.229690	1550024__A0A0D8IY45__ASJ35_05575
ERR1913260.229693__1.229693	1680__A0A0B5BIU5__BSTER_0145
ERR1913260.229836__1.229836	419015__A0A2I1M7I9__CYJ32_01210
ERR1913260.230118__1.230118	1681__U2DMQ1__LMG13200_0318
ERR1913260.230221__1.230221	33039__A0A173VTT4__frdB_1
ERR1913260.230558__1.230558	33043__D5HGZ8__nnr
