ERR1913319.248__1.248	47678__R5U8S9__DW706_06260
ERR1913319.572788__1.572788	239935__A0A2N8IRL2__CXU06_01170
ERR1913319.572798__1.572798	39492__D4JTW7__EUBSIR_00859
ERR1913319.572900__1.572900	649756__R5Z9G3__ERS852571_02234
ERR1913319.572871__1.572871	820__R7E9Z4__DXC68_06065
ERR1913319.572951__1.572951	671267__R9I7B5__C802_04018
ERR1913319.573059__1.573059	39492__D4JS46__EUBSIR_02553
ERR1913319.573113__1.573113	820__A0A174VD39__DXD90_12235
ERR1913319.573237__1.573237	820__A0A173YYG4__evgS_3
ERR1913319.573276__1.573276	821__A0A174V2F3__NCTC10583_01474
ERR1913319.573307__1.573307	28117__B0MTW8__ALIPUT_00502
ERR1913319.573345__1.573345	246787__A0A3D6B0E4__BACCELL_02533
ERR1913319.573393__1.573393	39492__D4JQP0__ypeB
ERR1913319.573398__1.573398	29361__B6FRT6__CLONEX_02860
ERR1913319.573447__1.573447	328814__GCA_004558275.1_00236
ERR1913319.573543__1.573543	626932__G5H9W8__HMPREF9450_01433
ERR1913319.573549__1.573549	328814__GCA_004558275.1_00135
ERR1913319.573817__1.573817	820__A0A3E4WA06__ERS852554_03404
ERR1913319.573951__1.573951	47678__A0A174H7W9__ERS852494_00524
ERR1913319.573978__1.573978	821__A0A396F1N0__M099_1553
ERR1913319.573981__1.573981	820__A0A3E4FWC8__DXC91_14635
ERR1913319.574050__1.574050	39492__A0A174ZHV5__msbA_2
ERR1913319.574051__1.574051	820__A0A174CK74__DXB48_07060
ERR1913319.574320__1.574320	291644__I8YYM8__HMPREF1532_01562
ERR1913319.574352__1.574352	239935__A0A2N8HL50__CXT98_09135
ERR1913319.574454__1.574454	291644__R5IZM2__HMPREF1071_04522
ERR1913319.574434__1.574434	820__A0A174M9V5__M093_0237
ERR1913319.574680__1.574680	820__A0A1T4IY71__HMPREF2141_02402
ERR1913319.574695__1.574695	1263000__R5EXT3__BN466_02213
ERR1913319.574701__1.574701	820__A0A3E4IGA7__DXD40_07110
ERR1913319.574833__1.574833	820__A0A174F0C1__nreB
ERR1913319.574895__1.574895	291644__I9HGA0__wzc
ERR1913319.574881__1.574881	28116__I8YA52__M088_0798
ERR1913319.575043__1.575043	28117__B0MXU0__BHV66_07550
ERR1913319.575025__1.575025	239935__A0A2N8IVR0__CXT87_07115
ERR1913319.575218__1.575218	291644__R5JNC3__HMPREF1071_03576
ERR1913319.575349__1.575349	820__A0A3E4PYB0__yejM
ERR1913319.575405__1.575405	291644__I8YUW1__HMPREF1532_01990
ERR1913319.575513__1.575513	239935__A0A2N8IXN0__CXT95_01765
ERR1913319.575468__1.575468	671267__R9I139__C802_03525
ERR1913319.575572__1.575572	216816__B7GPE8__I118_0062
ERR1913319.575597__1.575597	291644__I9SQZ5__ERS852428_01656
ERR1913319.575626__1.575626	820__A0A396EWL3__ERS417307_03868
ERR1913319.575696__1.575696	39492__D4JR31__EUBSIR_00106
ERR1913319.575805__1.575805	47678__R5U9S9__BACCAC_01855
ERR1913319.575879__1.575879	45851__D4RXA4__BUTYVIB_00455
ERR1913319.575886__1.575886	821__A0A174V2F3__NCTC10583_01474
ERR1913319.575898__1.575898	35833__E5Y5K1__HMPREF0179_01464
ERR1913319.575970__1.575970	820__A0A174GYA8__DXB64_07370
ERR1913319.576065__1.576065	820__A0A374MMF0__HMPREF1073_03811
ERR1913319.576134__1.576134	28117__B0MXU0__BHV66_07550
ERR1913319.576111__1.576111	820__A0A174M9V5__M093_0237
ERR1913319.576164__1.576164	544644__GCA_001915615.1_02003
ERR1913319.576212__1.576212	239935__A0A2N8HZW2__A4V05_11120
ERR1913319.576259__1.576259	820__A0A139K8N1__ERS852554_00951
ERR1913319.576319__1.576319	820__A0A174Q0F0__DXB48_08080
ERR1913319.576538__1.576538	214856__A0A174ZB00__ERS852559_00631
ERR1913319.576602__1.576602	820__A0A3E5BMG9__DXD40_05130
ERR1913319.576622__1.576622	291644__U6RCK0__HMPREF1532_04079
ERR1913319.576682__1.576682	821__A6KZK3__ERS852457_04265
ERR1913319.576684__1.576684	820__A0A139KEW8__DXB64_06405
ERR1913319.576777__1.576777	871325__A0A1M5B4I9__SAMN05444349_11762
ERR1913319.576880__1.576880	410072__A0A173WD04__penA_2
ERR1913319.576891__1.576891	28118__R6F6C0__Odosp_0731
ERR1913319.576965__1.576965	291644__I9HP97__HMPREF1532_00061
ERR1913319.577061__1.577061	1263109__GCA_000438135.1_01124
ERR1913319.577164__1.577164	39492__D4JUD9__EUBSIR_01875
ERR1913319.577175__1.577175	39492__D4MN06__EUBSIR_02672
ERR1913319.577308__1.577308	291644__I8YR49__ERS852428_01188
ERR1913319.577330__1.577330	39492__D4JUP6__ERS852540_01404
ERR1913319.577336__1.577336	214856__I3YMC8__ERS852447_02666
ERR1913319.577410__1.577410	418240__A0A173X9D3__ERS852478_00421
ERR1913319.577525__1.577525	291644__I9I2F9__HMPREF1532_01625
ERR1913319.577555__1.577555	39492__D4JV86__spoIIE
ERR1913319.577760__1.577760	820__R9I3N4__M093_0061
ERR1913319.577815__1.577815	820__A0A139KHX1__HMPREF2141_00289
ERR1913319.577888__1.577888	328814__GCA_004558275.1_00100
ERR1913319.578178__1.578178	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913319.578140__1.578140	820__A0A396EXA7__DXB37_15530
ERR1913319.578246__1.578246	39496__A5Z5I2__EUBVEN_00963
ERR1913319.578262__1.578262	28117__B0MSQ3__ALIPUT_00347
ERR1913319.578403__1.578403	39492__D4JTL0__EUBSIR_01428
ERR1913319.578447__1.578447	291644__I8YR49__ERS852428_01188
ERR1913319.578490__1.578490	820__A0A3E4VZT7__DXB48_16145
ERR1913319.578561__1.578561	820__A0A173XIP7__B5G17_16050
ERR1913319.578539__1.578539	820__A0A174LJB2__HMPREF1072_04112
ERR1913319.578683__1.578683	291644__I9SWB4__HMPREF1071_03184
ERR1913319.578784__1.578784	821__A0A396ER29__ERS852457_02298
ERR1913319.578798__1.578798	28117__B0MY41__BHV66_05165
ERR1913319.578890__1.578890	39492__D4JVC7__yfgF
ERR1913319.578949__1.578949	823__E1YT73__NCTC11152_02675
ERR1913319.579051__1.579051	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913319.579070__1.579070	28117__R7JJM9__ALIPUT_00662
ERR1913319.579085__1.579085	246787__A0A0P0GMR5__HMPREF1062_04678
ERR1913319.579134__1.579134	291644__I9T9Y0__HMPREF1071_01813
ERR1913319.579205__1.579205	291644__I8YR49__ERS852428_01188
ERR1913319.579399__1.579399	239935__A0A2N8HBP0__CXT94_04450
ERR1913319.579551__1.579551	821__E5UPR6__SAMN04487923_101768
ERR1913319.579588__1.579588	821__A6L0C7__ERS852556_03520
ERR1913319.579810__1.579810	45851__D4S096__BUTYVIB_01513
ERR1913319.579831__1.579831	291644__I9SRU5__HMPREF1532_02538
ERR1913319.579921__1.579921	291644__I9T317__ERS852428_03619
ERR1913319.580024__1.580024	28117__B0MXU6__ALIPUT_01958
ERR1913319.580075__1.580075	821__A0A3E4KIM1__M097_3660
ERR1913319.580113__1.580113	820__A7V470__HMPREF1072_02076
ERR1913319.580184__1.580184	820__A0A3E4FWC8__DXC91_14635
ERR1913319.580368__1.580368	291644__I8YYM8__HMPREF1532_01562
ERR1913319.580696__1.580696	28117__B0MWC6__BHV66_00965
ERR1913319.580703__1.580703	39492__D4JT87__clpC
ERR1913319.580784__1.580784	2108523__A0A2P2F214__LAWASA_27
ERR1913319.580920__1.580920	820__R7E9Z4__DXC68_06065
ERR1913319.581001__1.581001	1262743__R5C054__BN727_01980
ERR1913319.580998__1.580998	820__A0A3E4RUC4__DHU98_02635
ERR1913319.581237__1.581237	28117__R7JLL3__ALIPUT_02219
ERR1913319.581307__1.581307	214856__R6Y1K2__ERS852447_02306
ERR1913319.581440__1.581440	291644__I9TBA1__HMPREF1532_01959
ERR1913319.581503__1.581503	39492__A0A174Z2N0__EUBSIR_01615
ERR1913319.581548__1.581548	820__A0A173YYG4__evgS_3
ERR1913319.581621__1.581621	33043__D5HFA0__glfT2
ERR1913319.581660__1.581660	291644__I9I2F9__HMPREF1532_01625
ERR1913319.581668__1.581668	821__A0A173WG51__BVU_2549
ERR1913319.581834__1.581834	487174__K0X694__DIT83_09060
ERR1913319.582021__1.582021	820__A0A174LJB2__HMPREF1072_04112
ERR1913319.582069__1.582069	35833__E5Y5Y1__HMPREF0179_01594
ERR1913319.582105__1.582105	384639__GCA_003096855.1_00975
ERR1913319.582242__1.582242	358743__A0A0F0CFJ5__DWZ14_23945
ERR1913319.582296__1.582296	46228__V8C7P7__HMPREF1202_01523
ERR1913319.582384__1.582384	291644__I9HLV6__ERS852428_02603
ERR1913319.582388__1.582388	46503__A7AG59__ERS852463_00349
ERR1913319.582425__1.582425	820__A0A3E4G8F8__ERS852421_01645
ERR1913319.582612__1.582612	820__A7UYG6__M094_0070
ERR1913319.582773__1.582773	39492__R6SPM9__pheT
ERR1913319.582806__1.582806	39492__A0A174Z2N0__EUBSIR_01615
ERR1913319.582851__1.582851	820__A0A374Q8T2__DXB64_16190
ERR1913319.582904__1.582904	820__A0A3E4IGA7__DXD40_07110
ERR1913319.582910__1.582910	39492__R6RT40__prkC_3
ERR1913319.582939__1.582939	418240__A0A173WPF0__spoIIIAE
ERR1913319.583119__1.583119	328814__GCA_004558275.1_00236
ERR1913319.583212__1.583212	216816__E8MVM4__APC1480_1562
ERR1913319.583270__1.583270	821__A0A3E4WAR6__DXD64_10735
ERR1913319.583325__1.583325	437898__GCF_000250875.1_00077
ERR1913319.583303__1.583303	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913319.583345__1.583345	823__A0A174U5E4__BDI_3390
ERR1913319.583356__1.583356	820__A0A1T4IYF4__mprA_1
ERR1913319.583416__1.583416	35833__E5Y6B3__HMPREF0179_01726
ERR1913319.583399__1.583399	28117__B0MY40__BHV66_05170
ERR1913319.583451__1.583451	821__A0A174NM17__lacZ_6
ERR1913319.583486__1.583486	329854__R5LZK1__DXD27_00590
ERR1913319.583565__1.583565	291644__I9SIM2__evgS_11
ERR1913319.583605__1.583605	821__A0A3E4KIM1__M097_3660
ERR1913319.583662__1.583662	39492__D4JUY6__ERS852540_01913
ERR1913319.583701__1.583701	821__A0A173XDD3__DXB82_17180
ERR1913319.583851__1.583851	39491__A0A173QT73__alaS_2
ERR1913319.584079__1.584079	239935__A0A2N8I9P4__CXT85_05050
ERR1913319.584104__1.584104	487174__K0XH97__HMPREF9448_01909
ERR1913319.584248__1.584248	853__A0A2A7B1Y7__C7K05_11930
ERR1913319.584289__1.584289	821__A0A0P0M2J4__DXD46_10295
ERR1913319.584305__1.584305	1263005__R6FJE0__BN497_01606
ERR1913319.584329__1.584329	39492__D4JWR6__dnaN
ERR1913319.584396__1.584396	246787__A0A0N7IFC5__HMPREF1062_01960
ERR1913319.584412__1.584412	820__A0A139JUD3__DXC91_19380
ERR1913319.584453__1.584453	1501391__GCA_000786575.1_00149
ERR1913319.584465__1.584465	820__A0A1Q6IDS8__chtA
ERR1913319.584652__1.584652	39492__D4JUY6__ERS852540_01913
ERR1913319.584709__1.584709	28117__B0MZ22__BHV66_04430
ERR1913319.584736__1.584736	820__R9I324__HMPREF2141_02414
ERR1913319.584911__1.584911	1262915__R6ID43__BN574_00300
ERR1913319.584984__1.584984	39492__D4JS88__ERS852540_00578
ERR1913319.585261__1.585261	821__A0A395VIK7__BVU_1225
ERR1913319.585269__1.585269	28118__F9Z857__DER54_07670
ERR1913319.585491__1.585491	821__I9R3W6__DXC16_12455
ERR1913319.585653__1.585653	820__A0A174Q0F0__DXB48_08080
ERR1913319.585664__1.585664	39492__D4JQS6__ykoD
ERR1913319.585690__1.585690	291644__I9I2F9__HMPREF1532_01625
ERR1913319.585820__1.585820	820__A0A173YYG4__evgS_3
ERR1913319.585884__1.585884	28117__B0MYM2__BHV66_04910
ERR1913319.585918__1.585918	291644__I9HGE0__HMPREF1071_03565
ERR1913319.585967__1.585967	1550024__A0A3B9WKW6__TQ39_07780
ERR1913319.585972__1.585972	28117__B0MTY2__BHV66_06485
ERR1913319.586000__1.586000	823__A0A073I1X2__DXD05_18820
ERR1913319.586231__1.586231	1262824__R6RR47__BN719_02604
ERR1913319.586241__1.586241	28117__B0MY40__BHV66_05170
ERR1913319.586304__1.586304	291644__I9TA29__HMPREF1532_02081
ERR1913319.586404__1.586404	39492__D4JR58__EUBSIR_02090
ERR1913319.586366__1.586366	39492__D4JTJ1__EUBSIR_01453
ERR1913319.586634__1.586634	246787__A0A0P0GNX3__BACCELL_00807
ERR1913319.586692__1.586692	214856__A0A174ZLY7__ERS852447_02456
ERR1913319.586667__1.586667	820__A0A174F0C1__nreB
ERR1913319.586668__1.586668	28117__R7JIY2__BHV66_06465
ERR1913319.586751__1.586751	28052__A0A174GWB0__amiC
ERR1913319.586849__1.586849	28117__B0MUT8__ALIPUT_00879
ERR1913319.586871__1.586871	1262743__R5C054__BN727_01980
ERR1913319.586954__1.586954	820__A0A174NUS8__DXC80_12885
ERR1913319.587146__1.587146	28117__R7JR95__ALIPUT_01367
ERR1913319.587299__1.587299	1297617__A0A0S2W0X1__IB211_00621
ERR1913319.587329__1.587329	820__A0A374Q854__HMPREF1073_03281
ERR1913319.587342__1.587342	820__A0A3E4G3J9__ERS852459_02265
ERR1913319.587445__1.587445	291644__R5JEU7__HMPREF1532_03611
ERR1913319.587703__1.587703	1262824__R6RRF1__BN719_00389
ERR1913319.587723__1.587723	46228__B5CS18__RUMLAC_02269
ERR1913319.587728__1.587728	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913319.587946__1.587946	214856__I3YMC8__ERS852447_02666
ERR1913319.587987__1.587987	820__A0A139K1Y6__DXB48_02610
ERR1913319.588138__1.588138	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913319.588200__1.588200	821__A0A174WBC9__ERS852556_03145
ERR1913319.588325__1.588325	47678__R5UES3__CGC64_00760
ERR1913319.588421__1.588421	39492__B0MNL5__phoR_1
ERR1913319.588499__1.588499	39492__D4JUD7__EUBSIR_01877
ERR1913319.588588__1.588588	821__A0A174MBW9__SAMN04487923_10272
ERR1913319.588671__1.588671	820__A0A174Q0F0__DXB48_08080
ERR1913319.588706__1.588706	418240__A0A174M9G4__ERS852523_01208
ERR1913319.588734__1.588734	823__A0A355XFH7__ERS852513_00769
ERR1913319.588740__1.588740	39492__D4JW28__spoVFA
ERR1913319.588758__1.588758	28117__R7JPX7__BHV66_00900
ERR1913319.589192__1.589192	291644__I9ICQ4__HMPREF1532_00686
ERR1913319.589234__1.589234	28117__B0MU76__ALIPUT_00202
ERR1913319.589295__1.589295	39492__D4JQS6__ykoD
ERR1913319.589465__1.589465	1262920__R5KD76__BN467_01465
ERR1913319.589587__1.589587	820__A7V470__HMPREF1072_02076
ERR1913319.589630__1.589630	239935__A0A139TQT9__Amuc_1197
ERR1913319.589637__1.589637	291644__I9TD23__HMPREF1532_01622
ERR1913319.589744__1.589744	291644__I9I0P6__HMPREF1532_01982
ERR1913319.589802__1.589802	39492__A0A174ZP27__EUBSIR_00033
ERR1913319.590001__1.590001	239935__A0A2N8IKW7__pstA
ERR1913319.590010__1.590010	820__A0A174A6K0__M093_0079
ERR1913319.590073__1.590073	39492__D4JRM4__tap_5
ERR1913319.590110__1.590110	820__A0A374Q854__HMPREF1073_03281
ERR1913319.590122__1.590122	329854__R5LZK1__DXD27_00590
ERR1913319.590203__1.590203	820__A0A078S569__gmhB
ERR1913319.590250__1.590250	418240__A0A174AX68__ERS852478_00844
ERR1913319.590303__1.590303	39492__D4JT67__EUBSIR_01784
ERR1913319.590413__1.590413	820__A0A3E4RU03__M093_0563
ERR1913319.590543__1.590543	39492__B0MM84__lgt
ERR1913319.590673__1.590673	28117__B0MT86__BHV66_02450
ERR1913319.590710__1.590710	39492__D4JU57__EUBSIR_00802
ERR1913319.591146__1.591146	33043__A8SWM2__ERS852575_01910
ERR1913319.591153__1.591153	39492__D4JV38__EUBSIR_01205
ERR1913319.591327__1.591327	28117__B0MTW8__ALIPUT_00502
ERR1913319.591442__1.591442	360807__C0FVL5__ERS852392_00391
ERR1913319.591533__1.591533	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913319.591582__1.591582	820__R9I3N4__M093_0061
ERR1913319.591816__1.591816	214856__R6Y0B9__ERS852559_00164
ERR1913319.591824__1.591824	1796620__A0A1C7GKS2__ADH66_06940
ERR1913319.591843__1.591843	357276__A0A076ISJ4__B5F95_19420
ERR1913319.591931__1.591931	39492__D4JUL4__ERS852540_01381
ERR1913319.591946__1.591946	28117__B0MYW5__ALIPUT_02334
ERR1913319.591970__1.591970	820__R9I3Q7__HMPREF1072_01668
ERR1913319.591993__1.591993	328814__GCA_004558275.1_00034
ERR1913319.591995__1.591995	39492__D4JSG7__EUBSIR_01006
ERR1913319.592077__1.592077	1501391__GCA_000786575.1_00120
ERR1913319.592125__1.592125	39492__D4MIK7__EUBSIR_00676
ERR1913319.592134__1.592134	39492__D4JX50__EUBSIR_00410
ERR1913319.592421__1.592421	820__A0A1T4IY71__HMPREF2141_02402
ERR1913319.592440__1.592440	821__A0A173WG51__BVU_2549
ERR1913319.592460__1.592460	28117__B0MVL5__BHV66_01660
ERR1913319.592507__1.592507	214856__A0A174ZED5__ERS852559_00591
ERR1913319.592548__1.592548	246787__A0A0P0FV02__AA416_03728
ERR1913319.592566__1.592566	39492__A0A174ZYY6__EUBSIR_02510
ERR1913319.592688__1.592688	239935__A0A139TPG3__CXT86_08810
ERR1913319.592697__1.592697	33025__A0A395JEP7__C8D73_10844
ERR1913319.592753__1.592753	821__A0A3E4XY72__NCTC10583_01067
ERR1913319.592869__1.592869	820__A7V859__ERS852462_00341
ERR1913319.593006__1.593006	291644__R5JEU7__HMPREF1532_03611
ERR1913319.593135__1.593135	239935__A0A2N8IVR0__CXT87_07115
ERR1913319.593235__1.593235	291644__R5JSL7__HMPREF1071_01282
ERR1913319.593261__1.593261	820__R9HP61__DXC91_01090
ERR1913319.593467__1.593467	820__A0A173YYG4__evgS_3
ERR1913319.593791__1.593791	39492__D4JTG7__EUBSIR_00572
ERR1913319.593848__1.593848	820__A0A374Q854__HMPREF1073_03281
ERR1913319.593926__1.593926	291644__I8Y0K6__HMPREF1532_04085
ERR1913319.593975__1.593975	820__A0A1T4IYF4__mprA_1
ERR1913319.594016__1.594016	357276__I9QBT7__BSEG_03340
ERR1913319.594115__1.594115	291644__I9HHY2__HMPREF1071_03364
ERR1913319.594148__1.594148	821__A0A173XDD3__DXB82_17180
ERR1913319.594176__1.594176	328814__GCA_004558275.1_00235
ERR1913319.594331__1.594331	820__A0A3E4FZM1__adaA_2
ERR1913319.594409__1.594409	820__A0A139JRS5__HMPREF1073_04025
ERR1913319.594410__1.594410	239935__B2URG9__CXU00_11290
ERR1913319.594461__1.594461	357276__B6W1J2__BACDOR_03380
ERR1913319.594516__1.594516	246787__A0A0P0GIA4__AA416_04405
ERR1913319.594474__1.594474	823__A0A174UR44__M095_2641
ERR1913319.594579__1.594579	820__A0A139K1Y6__DXB48_02610
ERR1913319.594603__1.594603	291644__I8YYM8__HMPREF1532_01562
ERR1913319.594677__1.594677	301301__A0A174G0R7__RHOM_09270
ERR1913319.594772__1.594772	1297617__A0A0S2W377__C7373_102381
ERR1913319.594815__1.594815	1262824__R6RK15__BN719_01613
ERR1913319.594962__1.594962	671267__R9ICM6__C802_00589
ERR1913319.595297__1.595297	487174__K0XRP0__DDY40_09260
ERR1913319.595355__1.595355	544644__GCA_001915615.1_00026
ERR1913319.595475__1.595475	39492__D4JTI2__ERS852540_00694
ERR1913319.595569__1.595569	820__A0A174QLF0__SAMN05444418_109151
ERR1913319.595613__1.595613	39492__D4JTI2__ERS852540_00694
ERR1913319.595619__1.595619	820__A7UYX8__DXD40_11635
ERR1913319.595630__1.595630	820__A0A3E4G826__C801_01612
ERR1913319.595852__1.595852	357276__B6W1J2__BACDOR_03380
ERR1913319.596014__1.596014	28117__B0MY40__BHV66_05170
ERR1913319.596022__1.596022	360807__C0FSM3__ROSEINA2194_01739
ERR1913319.596040__1.596040	820__A0A174VD39__DXD90_12235
ERR1913319.596114__1.596114	820__A0A139K1Y6__DXB48_02610
ERR1913319.596223__1.596223	820__A0A173WUD7__DXB48_08055
ERR1913319.596206__1.596206	821__A0A397WGD6__M098_0084
ERR1913319.596346__1.596346	820__A0A174R952__DXB48_02570
ERR1913319.596684__1.596684	1262915__R6HRC0__BN574_00122
ERR1913319.596756__1.596756	1796613__R9HHZ9__ADH74_10095
ERR1913319.596815__1.596815	649756__D4MX28__ERS852520_02831
ERR1913319.596817__1.596817	39492__D4JQS6__ykoD
ERR1913319.596929__1.596929	28117__B0MUY3__BHV66_00515
ERR1913319.597209__1.597209	39492__D4JT87__clpC
ERR1913319.597538__1.597538	239935__A0A2N8IMD6__CXU03_05585
ERR1913319.597675__1.597675	821__R6F3Y1__SAMN04487923_104318
ERR1913319.597728__1.597728	821__R7P1Q7__M099_2990
ERR1913319.597842__1.597842	1262915__R6ICM3__BN574_00148
ERR1913319.597900__1.597900	39492__D4JV86__spoIIE
ERR1913319.597958__1.597958	821__A0A397WGD6__M098_0084
ERR1913319.598012__1.598012	820__A0A396EUU8__luxQ_3
ERR1913319.598030__1.598030	820__A7V859__ERS852462_00341
ERR1913319.598069__1.598069	820__R9I3Q7__HMPREF1072_01668
ERR1913319.598128__1.598128	40519__U2KYE0__RUMCAL_00517
ERR1913319.598156__1.598156	214856__A0A174FWM7__ERS852559_00590
ERR1913319.598258__1.598258	47678__A5ZEA3__ERS852558_00257
ERR1913319.598272__1.598272	239935__A0A2N8IRL2__CXU06_01170
ERR1913319.598351__1.598351	328814__GCA_004558275.1_00033
ERR1913319.598391__1.598391	39492__D4JRY3__EUBSIR_01473
ERR1913319.598406__1.598406	328814__GCA_004558275.1_00097
ERR1913319.598618__1.598618	39492__D4JVZ6__truB
ERR1913319.598789__1.598789	39492__D4JRM9__bglB_2
ERR1913319.598826__1.598826	28117__B0MXG8__ALIPUT_01814
ERR1913319.598840__1.598840	39492__D4JRM9__bglB_2
ERR1913319.598932__1.598932	291644__I9I2F9__HMPREF1532_01625
ERR1913319.599009__1.599009	410072__A0A174K1D5__hscC
ERR1913319.599040__1.599040	820__A0A3E4FWC8__DXC91_14635
ERR1913319.599020__1.599020	820__A0A3E4GE89__DXB48_02565
ERR1913319.599109__1.599109	239935__A0A2N8HL14__CXT98_09285
ERR1913319.599199__1.599199	39492__D4JVW2__EUBSIR_02285
ERR1913319.599307__1.599307	39492__D4JV38__EUBSIR_01205
ERR1913319.599355__1.599355	39492__D4JT87__clpC
ERR1913319.599522__1.599522	239935__A0A2N8IF99__lpdA
ERR1913319.599566__1.599566	1262743__R5C054__BN727_01980
ERR1913319.599606__1.599606	39492__D4JQP0__ypeB
ERR1913319.599620__1.599620	28117__B0MY45__ALIPUT_02164
ERR1913319.599726__1.599726	820__A0A3E4G8F8__ERS852421_01645
ERR1913319.599745__1.599745	328814__GCA_004558275.1_00099
ERR1913319.599773__1.599773	291644__I9I9V2__ERS852428_00583
ERR1913319.599864__1.599864	820__A0A139KIL9__DXC68_05945
ERR1913319.599920__1.599920	820__A0A173WUD7__DXB48_08055
ERR1913319.599976__1.599976	39492__D4JWL2__ERS852540_01201
ERR1913319.600083__1.600083	39492__D4MMN2__EUBSIR_00964
ERR1913319.600296__1.600296	820__R9I3N4__M093_0061
ERR1913319.600329__1.600329	33039__D4M6I1__nadB_2
ERR1913319.600542__1.600542	39492__D4JQS6__ykoD
ERR1913319.600688__1.600688	61171__B9Y5T9__HOLDEFILI_01171
ERR1913319.600663__1.600663	39492__D4JQS7__ERS852540_01645
ERR1913319.600714__1.600714	291644__I9TJP2__ERS852428_00842
ERR1913319.600728__1.600728	821__I9R3W6__DXC16_12455
ERR1913319.600883__1.600883	291644__R5JGS8__HMPREF1071_01205
ERR1913319.600914__1.600914	1512__A0A174JYN9__bsdC
ERR1913319.600924__1.600924	39492__B0MNQ2__EUBSIR_01459
ERR1913319.600958__1.600958	39492__B0MP07__ERS852540_02083
ERR1913319.600984__1.600984	328814__GCA_004558275.1_00128
ERR1913319.601002__1.601002	823__A6LHU5__M092_0203
ERR1913319.601086__1.601086	820__A0A174A6K0__M093_0079
ERR1913319.601092__1.601092	28117__B0MTH2__ALIPUT_00061
ERR1913319.601102__1.601102	853__A0A2A7B9I6__DW855_13690
ERR1913319.601118__1.601118	853__A0A2A7B9I6__DW855_13690
ERR1913319.601189__1.601189	818__A0A1H7L4U6__BSIG_3287
ERR1913319.601198__1.601198	853__A0A2A7B9I6__DW855_13690
ERR1913319.601259__1.601259	28116__D7J6B1__B5F02_07870
ERR1913319.601370__1.601370	39492__D4JU94__ispE
ERR1913319.601503__1.601503	239935__A0A2N8INZ4__CXU08_03560
ERR1913319.601462__1.601462	28117__B0MWX3__BHV66_03010
ERR1913319.601468__1.601468	291644__I8YXS6__HMPREF1071_01285
ERR1913319.601700__1.601700	291644__I8Z4T0__ERS852428_03213
ERR1913319.601828__1.601828	820__A0A374QGD2__ERS852421_02382
ERR1913319.601903__1.601903	820__A0A139KJ23__celCCA
ERR1913319.601951__1.601951	239935__A0A2N8IUW6__Amuc_1525
ERR1913319.602154__1.602154	820__A0A174CG08__DXB62_13215
ERR1913319.602196__1.602196	46228__V8C8N0__RUMLAC_01038
ERR1913319.602219__1.602219	1150298__A0A174S4G4__dacB_1
ERR1913319.602280__1.602280	820__A0A173WZS4__DXD90_10250
ERR1913319.602512__1.602512	47678__A5ZI88__BACCAC_02617
ERR1913319.602723__1.602723	28117__B0MTH2__ALIPUT_00061
ERR1913319.602756__1.602756	239935__A0A139TPD8__CXU12_11015
ERR1913319.602765__1.602765	291644__I9TA29__HMPREF1532_02081
ERR1913319.602767__1.602767	46503__R6WU62__PARMER_00182
ERR1913319.602799__1.602799	46503__R6WU62__PARMER_00182
ERR1913319.602810__1.602810	39492__D4JRR5__ERS852540_02089
ERR1913319.602857__1.602857	821__A0A174T998__DXB82_10860
ERR1913319.603023__1.603023	871324__A0A1M6C0H7__SAMN05444350_103243
ERR1913319.603058__1.603058	328814__GCA_004558275.1_00293
ERR1913319.603080__1.603080	328814__GCA_004558275.1_00128
ERR1913319.603245__1.603245	418240__A0A174SL99__ERS852478_00007
ERR1913319.603384__1.603384	820__A0A173WUD7__DXB48_08055
ERR1913319.603344__1.603344	820__A0A374MMF0__HMPREF1073_03811
ERR1913319.603372__1.603372	823__A0A395YSW8__CF162_05645
ERR1913319.603509__1.603509	820__R9I324__HMPREF2141_02414
ERR1913319.603622__1.603622	39492__R6SA81__EUBSIR_00402
ERR1913319.603861__1.603861	29361__B6FRT6__CLONEX_02860
ERR1913319.603908__1.603908	371601__D0TUU4__BXY_31970
ERR1913319.603918__1.603918	823__A6LC27__DXB14_11470
ERR1913319.604173__1.604173	39492__D4JTW7__EUBSIR_00859
ERR1913319.604287__1.604287	820__A0A174Q0F0__DXB48_08080
ERR1913319.604474__1.604474	821__A0A174WBC9__ERS852556_03145
ERR1913319.604451__1.604451	820__A0A174VD39__DXD90_12235
ERR1913319.604634__1.604634	328814__GCA_004558275.1_00073
ERR1913319.604685__1.604685	28117__B0MUX4__ALIPUT_00911
ERR1913319.604695__1.604695	39492__D4JUS6__accD5
ERR1913319.604838__1.604838	291644__I9HP97__HMPREF1532_00061
ERR1913319.604906__1.604906	820__A0A174CG08__DXB62_13215
ERR1913319.604952__1.604952	239935__A0A2N8IRL2__CXU06_01170
ERR1913319.605255__1.605255	1262915__R6ID43__BN574_00300
ERR1913319.605266__1.605266	853__A0A173XRA8__CGS56_09290
ERR1913319.605381__1.605381	28117__B0MTY2__BHV66_06485
