ERR1913042.39__1.39	39491__A0A395ZDC6__addB
ERR1913042.329781__1.329781	69974__A0A090FEL8__MPL3365_630008
ERR1913042.329992__1.329992	33038__F7JV68__C5Y99_05575
ERR1913042.330051__1.330051	410072__A0A174KCA8__DXD67_01455
ERR1913042.330100__1.330100	69974__A0A090FEL8__MPL3365_630008
ERR1913042.330290__1.330290	2292284__A0A374V9L1__DXC10_09375
ERR1913042.330617__1.330617	1262924__R7HQD9__BN585_00129
ERR1913042.330758__1.330758	820__A0A374Q1D8__SAMN05444418_112114
ERR1913042.330838__1.330838	165179__D1PES9__DXB80_11585
ERR1913042.330992__1.330992	69974__A0A090FEL8__MPL3365_630008
ERR1913042.331035__1.331035	39485__C4Z028__ERS852492_00100
ERR1913042.331060__1.331060	204516__U6RSX5__HMPREF1534_00314
ERR1913042.331107__1.331107	165179__A0A229I6N7__DXC61_06720
ERR1913042.331211__1.331211	69974__A0A090FEL8__MPL3365_630008
ERR1913042.331302__1.331302	69974__A0A090FEL8__MPL3365_630008
ERR1913042.331303__1.331303	310298__B3JLT9__BACCOP_02886
ERR1913042.331427__1.331427	165179__A0A3E5EA43__DXC61_07775
ERR1913042.331478__1.331478	28116__E5C3L8__DXF98_06270
ERR1913042.331521__1.331521	28117__R7JQW0__ALIPUT_01453
ERR1913042.331609__1.331609	39491__R6TNE2__LD38_07270
ERR1913042.331717__1.331717	371601__D4WBK5__BN891_3970
ERR1913042.331815__1.331815	39485__A0A174YKY3__EUBELI_00877
ERR1913042.331870__1.331870	40518__A0A1C6H8C4__DXD93_02535
ERR1913042.331943__1.331943	1284680__A0A095X680__HMPREF1627_01530
ERR1913042.331957__1.331957	165179__A0A3E5EAM5__DXC61_07785
ERR1913042.332098__1.332098	853__A0A2A7B1Y7__C7K05_11930
ERR1913042.332135__1.332135	371601__D6D2M1__CW1_3199
ERR1913042.332137__1.332137	39485__A0A174YRS0__ERS852492_00307
ERR1913042.332202__1.332202	69974__A0A090FEL8__MPL3365_630008
ERR1913042.332205__1.332205	371601__I9UNU3__DXD03_06250
ERR1913042.332418__1.332418	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913042.332431__1.332431	1323__A0A380LMG1__cdsA
ERR1913042.332447__1.332447	28117__R7JLL3__ALIPUT_02219
ERR1913042.332658__1.332658	165179__A0A3E5AER8__DXB80_07075
ERR1913042.332716__1.332716	69974__A0A090FEL8__MPL3365_630008
ERR1913042.332777__1.332777	2293125__A0A374CIC9__DW917_02045
ERR1913042.332974__1.332974	39491__A0A395V0H3__ERS852417_01192
ERR1913042.333061__1.333061	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913042.333314__1.333314	1235835__R9LCU2__C814_02677
ERR1913042.333350__1.333350	310298__B3JQL6__BACCOP_04252
ERR1913042.333352__1.333352	28116__A0A3A9HTT7__BACOVA_05446
ERR1913042.333369__1.333369	820__A7VAR9__ERS852421_00197
ERR1913042.333594__1.333594	853__A0A2A7B1Y7__C7K05_11930
ERR1913042.333748__1.333748	40518__R5DWQ2__DXD93_03810
ERR1913042.333749__1.333749	310298__B3JGJ2__BACCOP_00994
ERR1913042.333881__1.333881	204516__U6R989__HMPREF1534_03109
ERR1913042.333911__1.333911	165179__A0A3E5DN34__DXC61_07865
ERR1913042.333970__1.333970	820__A0A139K5A6__DXB48_12175
ERR1913042.334025__1.334025	69974__A0A090FEL8__MPL3365_630008
ERR1913042.334143__1.334143	28118__F9Z9C4__B5F93_16310
ERR1913042.334264__1.334264	69974__A0A090FEL8__MPL3365_630008
ERR1913042.334340__1.334340	301302__R5V6L8__M72_16121
ERR1913042.334423__1.334423	216816__A0A0A0UDU9__BL1246
ERR1913042.334456__1.334456	165179__A0A3E5A554__DXB80_13805
ERR1913042.334509__1.334509	310298__B3JGJ2__BACCOP_00994
ERR1913042.334524__1.334524	418240__A0A173YEF7__ERS852478_00090
ERR1913042.334606__1.334606	40518__R5DMC7__blaR1
ERR1913042.334681__1.334681	410072__C0B4V0__ERS852481_02420
ERR1913042.334686__1.334686	165179__A0A229I3Z6__PREVCOP_03666
ERR1913042.334794__1.334794	165179__A0A174UTZ7__DXC61_06705
ERR1913042.334801__1.334801	216816__B7GTR6__BLD_0992
ERR1913042.334898__1.334898	310298__B3JMG0__BACCOP_03099
ERR1913042.334963__1.334963	69974__A0A090FEL8__MPL3365_630008
ERR1913042.334969__1.334969	165179__D1PHV2__PREVCOP_06822
ERR1913042.335061__1.335061	69974__A0A090FEL8__MPL3365_630008
ERR1913042.335098__1.335098	47678__R5U948__ERS852494_02962
ERR1913042.335139__1.335139	154288__A0A0X8G3L5__ERS852422_01361
ERR1913042.335126__1.335126	165179__D1PCL6__DXB80_13435
ERR1913042.335191__1.335191	165179__A0A3E5AGH1__DXB80_05820
ERR1913042.335192__1.335192	69974__A0A090FEL8__MPL3365_630008
ERR1913042.335196__1.335196	165179__A0A174SA26__PREVCOP_05758
ERR1913042.335218__1.335218	1262924__R7HR75__BN585_00689
ERR1913042.335237__1.335237	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913042.335367__1.335367	39491__A0A174K1W6__DXB99_15020
ERR1913042.335368__1.335368	310298__B3JGJ2__BACCOP_00994
ERR1913042.335409__1.335409	39491__C4Z8S1__DXB76_06750
ERR1913042.335495__1.335495	40518__R5E4X5__RB5AMG_01438
ERR1913042.335502__1.335502	165179__A0A3E5AHY4__CFT61_07675
ERR1913042.335558__1.335558	204516__U6R9E7__HMPREF1534_03313
ERR1913042.335579__1.335579	204516__U6R898__HMPREF1534_03335
ERR1913042.335666__1.335666	165179__A0A3E5EB26__CFT61_02800
ERR1913042.335673__1.335673	1262743__R5C054__BN727_01980
ERR1913042.335681__1.335681	69974__A0A090FEL8__MPL3365_630008
ERR1913042.335701__1.335701	69974__A0A090FEL8__MPL3365_630008
ERR1913042.335908__1.335908	204516__U6RPN2__HMPREF1534_00368
ERR1913042.335887__1.335887	1323__A0A3E3DXF2__queE
ERR1913042.336025__1.336025	853__A0A3E2U7E6__ERS852582_01640
ERR1913042.336144__1.336144	69974__A0A090FEL8__MPL3365_630008
ERR1913042.336402__1.336402	69974__A0A090FEL8__MPL3365_630008
ERR1913042.336408__1.336408	69974__A0A090FEL8__MPL3365_630008
ERR1913042.336523__1.336523	28117__B0MXX2__ALIPUT_01984
ERR1913042.336674__1.336674	626933__H1DGX0__HMPREF9449_01506
ERR1913042.336772__1.336772	1262913__R7J7E0__BN646_00943
ERR1913042.336818__1.336818	1262924__R7HU74__BN585_00690
ERR1913042.336836__1.336836	487174__K0WWT0__DIT83_10190
ERR1913042.336860__1.336860	40518__R5DQD6__DXD83_09060
ERR1913042.336883__1.336883	69974__A0A090FEL8__MPL3365_630008
ERR1913042.337075__1.337075	69974__A0A090FEL8__MPL3365_630008
ERR1913042.337161__1.337161	1262924__R7HP98__BN585_02065
ERR1913042.337171__1.337171	165179__D1PCL6__DXB80_13435
ERR1913042.337183__1.337183	39491__A0A173U130__ERE_16110
ERR1913042.337252__1.337252	853__A0A173T8T3__DW882_06555
ERR1913042.337344__1.337344	69974__A0A090FEL8__MPL3365_630008
ERR1913042.337347__1.337347	371601__D6D4P3__BN890_24980
ERR1913042.337300__1.337300	33039__D4M5D2__ERS852424_00738
ERR1913042.337402__1.337402	165179__R6PU83__CFT61_14275
ERR1913042.337459__1.337459	1780381__A0A143ZVG1__BN3661_01525
ERR1913042.337462__1.337462	69974__A0A090FEL8__MPL3365_630008
ERR1913042.337475__1.337475	69974__A0A090FEL8__MPL3365_630008
ERR1913042.337575__1.337575	487173__H1D020__HMPREF9453_00958
ERR1913042.337676__1.337676	165179__A0A3E5E8N5__DXC61_13460
ERR1913042.337679__1.337679	165179__A0A174SA26__PREVCOP_05758
ERR1913042.337931__1.337931	39492__D4JWD3__EUBSIR_00151
ERR1913042.337936__1.337936	165179__R6PNJ9__PREVCOP_04730
ERR1913042.338054__1.338054	821__E5UY21__C800_02204
ERR1913042.338112__1.338112	820__A0A174A6K0__M093_0079
ERR1913042.338114__1.338114	1262924__R7HR75__BN585_00689
ERR1913042.338126__1.338126	165179__A0A3E5DN34__DXC61_07865
ERR1913042.338197__1.338197	40518__R5E1J2__DXD93_04070
ERR1913042.338212__1.338212	301301__A0A395V6Z6__ERS852391_00966
ERR1913042.338274__1.338274	820__A0A3E4W084__BACUNI_04042
ERR1913042.338315__1.338315	853__A0A173YYY4__DWZ04_09420
ERR1913042.338341__1.338341	165179__R6PU83__CFT61_14275
ERR1913042.338384__1.338384	165179__A0A3E5EAM5__DXC61_07785
ERR1913042.338390__1.338390	84024__A0A174KV25__bacE
ERR1913042.338402__1.338402	69974__A0A090FEL8__MPL3365_630008
ERR1913042.338412__1.338412	820__A0A3E4RU03__M093_0563
ERR1913042.338573__1.338573	39491__A0A395ZJZ1__LD38_01870
ERR1913042.338580__1.338580	39488__A0A174KVU1__EUBHAL_00302
ERR1913042.338584__1.338584	39485__R5ZPP8__EUBELI_20334
ERR1913042.338587__1.338587	820__R9I3N4__M093_0061
ERR1913042.338673__1.338673	69974__A0A090FEL8__MPL3365_630008
ERR1913042.338766__1.338766	39488__C0EVP9__ERS852450_03163
ERR1913042.338777__1.338777	69974__A0A090FEL8__MPL3365_630008
ERR1913042.338849__1.338849	39491__A0A395ZEI6__ERE_07950
ERR1913042.338799__1.338799	261299__W1URY6__ERS852493_01464
ERR1913042.338915__1.338915	28117__B0MWP2__ALIPUT_01468
ERR1913042.338926__1.338926	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913042.339012__1.339012	310298__B3JEE8__BACCOP_00239
ERR1913042.339099__1.339099	165179__A0A3E4SID1__DXB80_01945
ERR1913042.339104__1.339104	1308__Q5M640__CG712_07405
ERR1913042.339196__1.339196	165179__A0A3E5EB26__CFT61_02800
ERR1913042.339221__1.339221	69974__A0A090FEL8__MPL3365_630008
ERR1913042.339361__1.339361	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913042.339383__1.339383	165179__A0A3E4SID1__DXB80_01945
ERR1913042.339466__1.339466	165179__R6PU83__CFT61_14275
ERR1913042.339520__1.339520	1150298__A0A174SZP5__ERS852535_02327
ERR1913042.339529__1.339529	818__R9GZ02__C799_04453
ERR1913042.339615__1.339615	853__A0A173T8T3__DW882_06555
ERR1913042.339660__1.339660	820__A7V9F9__B5G17_14640
ERR1913042.339668__1.339668	28117__B0MVL2__BHV66_01645
ERR1913042.339810__1.339810	69974__A0A090FEL8__MPL3365_630008
ERR1913042.339846__1.339846	28116__D7J6A7__NCTC11153_02798
ERR1913042.339960__1.339960	310298__B3JFK5__BACCOP_00655
ERR1913042.340051__1.340051	69974__A0A090FEL8__MPL3365_630008
ERR1913042.340202__1.340202	69974__A0A090FEL8__MPL3365_630008
ERR1913042.340176__1.340176	28116__A0A1Y4Q374__ERS852555_04681
ERR1913042.340311__1.340311	28117__B0MWC6__BHV66_00965
ERR1913042.340338__1.340338	69974__A0A090FEL8__MPL3365_630008
ERR1913042.340463__1.340463	40518__R5DSI5__fieF
ERR1913042.340511__1.340511	69974__A0A090FEL8__MPL3365_630008
ERR1913042.340652__1.340652	69974__A0A090FEL8__MPL3365_630008
ERR1913042.340813__1.340813	820__A0A139JY23__B5G17_06330
ERR1913042.340908__1.340908	69974__A0A090FEL8__MPL3365_630008
ERR1913042.340927__1.340927	39485__A0A174ZKZ4__spoIIQ_1
ERR1913042.341038__1.341038	69974__A0A090FEL8__MPL3365_630008
ERR1913042.341069__1.341069	1262924__R7HLJ9__BN585_01064
ERR1913042.341081__1.341081	301301__G2T0A9__RHOM_03910
ERR1913042.341117__1.341117	487173__H1CYA6__HMPREF9453_00344
ERR1913042.341118__1.341118	1262911__R6GY22__BN557_00023
ERR1913042.341185__1.341185	310298__B3JFS5__BACCOP_00726
ERR1913042.341248__1.341248	39491__A0A395ZF49__DXB69_05290
ERR1913042.341276__1.341276	69974__A0A090FEL8__MPL3365_630008
ERR1913042.341322__1.341322	28117__B0MU76__ALIPUT_00202
ERR1913042.341337__1.341337	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913042.341434__1.341434	39488__C0F0P8__EUBHAL_03272
ERR1913042.341440__1.341440	1263000__R5EKG2__BN466_02040
ERR1913042.341496__1.341496	69974__A0A090FEL8__MPL3365_630008
ERR1913042.341556__1.341556	1262924__R7HPY0__BN585_01950
ERR1913042.341576__1.341576	69974__A0A090FEL8__MPL3365_630008
ERR1913042.341691__1.341691	818__A0A0P0FLN9__NCTC13706_01794
ERR1913042.341730__1.341730	1262924__R7HRE7__BN585_00055
ERR1913042.341744__1.341744	1262924__R7HT26__BN585_00306
ERR1913042.341798__1.341798	69974__A0A090FEL8__MPL3365_630008
ERR1913042.341803__1.341803	69974__A0A090FEL8__MPL3365_630008
ERR1913042.341889__1.341889	39485__A0A1Q6PH92__cbbX
ERR1913042.341998__1.341998	69974__A0A090FEL8__MPL3365_630008
ERR1913042.342038__1.342038	69974__A0A090FEL8__MPL3365_630008
ERR1913042.342075__1.342075	1323__A0A3E3DZZ5__DXC78_09505
ERR1913042.342083__1.342083	216816__C2GTH2__CE159_03580
ERR1913042.342089__1.342089	165179__D1PHM6__DXC61_06700
ERR1913042.342371__1.342371	626933__H1DGX0__HMPREF9449_01506
ERR1913042.342457__1.342457	487175__R6A8J0__HMPREF9439_01209
ERR1913042.342443__1.342443	69974__A0A090FEL8__MPL3365_630008
ERR1913042.342452__1.342452	28117__B0MTW8__ALIPUT_00502
ERR1913042.342549__1.342549	310298__B3JFS5__BACCOP_00726
ERR1913042.342553__1.342553	216816__F9XZU5__BBL306_1935
ERR1913042.342597__1.342597	47678__A0A174TQR6__CGC64_14735
ERR1913042.342603__1.342603	28116__A7M617__SAMN05192582_105025
ERR1913042.342970__1.342970	165179__A0A174SA26__PREVCOP_05758
ERR1913042.342976__1.342976	39492__D4JU49__ERS852540_00175
ERR1913042.343012__1.343012	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913042.343114__1.343114	1262924__R7HN51__BN585_01718
ERR1913042.343424__1.343424	338188__A0A174EU88__BACFIN_08820
ERR1913042.343494__1.343494	40518__R5DZB3__RB5AMG_01719
ERR1913042.343546__1.343546	28116__A7LS06__HMPREF2532_04668
ERR1913042.343732__1.343732	165179__A0A174SA26__PREVCOP_05758
ERR1913042.343823__1.343823	214856__R6XTZ7__ERS852447_02314
ERR1913042.343886__1.343886	165179__A0A229I443__DXB80_10950
ERR1913042.343893__1.343893	39485__C4Z685__EUBELI_20332
ERR1913042.344032__1.344032	69974__A0A090FEL8__MPL3365_630008
ERR1913042.344035__1.344035	821__A0A395UNT8__DXD64_15275
ERR1913042.344039__1.344039	671267__R9IB12__C802_00696
ERR1913042.344052__1.344052	1628085__A0A2U1BGI2__C7386_10124
ERR1913042.344076__1.344076	204516__U6R921__HMPREF1534_03932
ERR1913042.344126__1.344126	487174__K0WZU9__HMPREF9448_01159
ERR1913042.344208__1.344208	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913042.344229__1.344229	69974__A0A090FEL8__MPL3365_630008
ERR1913042.344319__1.344319	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913042.344353__1.344353	853__A8S882__C4N23_07600
ERR1913042.344363__1.344363	1262911__R6GSH8__BN557_00939
ERR1913042.344436__1.344436	69974__A0A090FEL8__MPL3365_630008
ERR1913042.344519__1.344519	69974__A0A090FEL8__MPL3365_630008
ERR1913042.344536__1.344536	69974__A0A090FEL8__MPL3365_630008
ERR1913042.344593__1.344593	39491__A0A395V2P3__DXB69_08700
ERR1913042.344637__1.344637	1262924__R7HPL8__BN585_01826
ERR1913042.344858__1.344858	69974__A0A090FEL8__MPL3365_630008
ERR1913042.344887__1.344887	1262924__R7HRE7__BN585_00055
ERR1913042.344897__1.344897	216816__A0A396FVC5__BL71B_00290
ERR1913042.344934__1.344934	69974__A0A090FEL8__MPL3365_630008
ERR1913042.344948__1.344948	39491__A0A395ZHW9__DXC13_02590
ERR1913042.344974__1.344974	156456__G9YEI6__HMPREF0080_00044
ERR1913042.344977__1.344977	39485__A0A174ZLH6__EUBELI_01564
ERR1913042.345015__1.345015	853__A0A174BA00__DW905_01145
ERR1913042.345016__1.345016	204516__U6R9E6__HMPREF1534_03149
ERR1913042.345019__1.345019	1160721__W0U611__BHW50_08625
ERR1913042.345099__1.345099	69974__A0A090FEL8__MPL3365_630008
ERR1913042.345079__1.345079	69974__A0A090FEL8__MPL3365_630008
ERR1913042.345158__1.345158	204516__U6REI9__HMPREF1534_02357
ERR1913042.345350__1.345350	69974__A0A090FEL8__MPL3365_630008
ERR1913042.345546__1.345546	1550024__G9RTA6__TQ39_10970
ERR1913042.345590__1.345590	68892__E8K2M6__SPAR10_0228
ERR1913042.345614__1.345614	820__A0A174FUG6__DXC91_11265
ERR1913042.345644__1.345644	216816__C5E8I1__yciB
ERR1913042.345651__1.345651	1262924__R7HPZ6__BN585_00681
ERR1913042.345664__1.345664	39485__R5ZT20__ERS852490_00975
ERR1913042.345676__1.345676	1263000__R5EXT3__BN466_02213
ERR1913042.345693__1.345693	47678__A0A174G5P3__DXB67_14265
ERR1913042.345715__1.345715	69974__A0A090FEL8__MPL3365_630008
ERR1913042.345795__1.345795	820__A0A139JRS5__HMPREF1073_04025
ERR1913042.345768__1.345768	69974__A0A090FEL8__MPL3365_630008
ERR1913042.345955__1.345955	853__A0A3E2V168__FAEPRAM212_00929
ERR1913042.346000__1.346000	28116__A0A1Y4Q112__evgS_13
ERR1913042.346015__1.346015	165179__A0A174IPI3__CFT61_10940
ERR1913042.346029__1.346029	28118__F9Z4Q2__Odosp_2759
ERR1913042.346162__1.346162	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913042.346242__1.346242	69974__A0A090FEL8__MPL3365_630008
ERR1913042.346392__1.346392	310298__B3JFK4__BACCOP_00654
ERR1913042.346487__1.346487	1262924__R7HNN4__BN585_01505
ERR1913042.346506__1.346506	69974__A0A090FEL8__MPL3365_630008
ERR1913042.346556__1.346556	69974__A0A090FEL8__MPL3365_630008
ERR1913042.346566__1.346566	487174__K0X524__DDY40_09270
ERR1913042.346651__1.346651	1262929__R6EYU3__BN691_00676
ERR1913042.346663__1.346663	487174__K0X4Y9__DDY40_09115
ERR1913042.346984__1.346984	292800__A0A096B6V4__tap_3
ERR1913042.347125__1.347125	821__D4VC51__M099_1508
ERR1913042.347165__1.347165	69974__A0A090FEL8__MPL3365_630008
ERR1913042.347214__1.347214	39485__A0A174ZPH7__ERS852490_01992
ERR1913042.347415__1.347415	1262743__R5C054__BN727_01980
ERR1913042.347532__1.347532	69974__A0A090FEL8__MPL3365_630008
ERR1913042.347572__1.347572	39491__A0A173TFQ1__rsmF
ERR1913042.347575__1.347575	165179__A0A3E5EA43__DXC61_07775
ERR1913042.347605__1.347605	165179__A0A3E5EAM5__DXC61_07785
ERR1913042.347609__1.347609	69974__A0A090FEL8__MPL3365_630008
ERR1913042.347805__1.347805	301302__R5VGE0__ERS852420_00121
ERR1913042.347904__1.347904	626933__H1DGX0__HMPREF9449_01506
ERR1913042.348213__1.348213	165179__D1PGU8__PREVCOP_06463
ERR1913042.348250__1.348250	310298__B3JJ24__BACCOP_01886
ERR1913042.348277__1.348277	39491__A0A395V5R3__EUBREC_1883
ERR1913042.348516__1.348516	328814__GCA_004558275.1_01847
ERR1913042.348492__1.348492	165179__A0A3E5DY64__CFT61_10025
ERR1913042.348562__1.348562	69974__A0A090FEL8__MPL3365_630008
ERR1913042.348544__1.348544	39488__A0A174BSK2__ERS852450_01031
ERR1913042.348622__1.348622	88431__A0A3D0F2C1__DORLON_02135
ERR1913042.348675__1.348675	39491__A0A396FSN2__EUBREC_0707
ERR1913042.348785__1.348785	410072__A0A174B9D6__COPCOM_00384
ERR1913042.348796__1.348796	47678__R5U2H9__DXB67_10685
ERR1913042.348821__1.348821	310298__B3JQL6__BACCOP_04252
ERR1913042.348898__1.348898	1263107__GCA_000436995.1_00212
ERR1913042.348901__1.348901	69974__A0A090FEL8__MPL3365_630008
ERR1913042.348876__1.348876	310298__B3JMG0__BACCOP_03099
ERR1913042.348921__1.348921	69974__A0A090FEL8__MPL3365_630008
ERR1913042.348975__1.348975	310298__B3JQR0__BACCOP_04272
ERR1913042.349038__1.349038	69974__A0A090FEL8__MPL3365_630008
ERR1913042.349163__1.349163	69974__A0A090FEL8__MPL3365_630008
ERR1913042.349238__1.349238	165179__A0A229I4J4__proA
ERR1913042.349228__1.349228	1262924__R7HR75__BN585_00689
ERR1913042.349424__1.349424	69974__A0A090FEL8__MPL3365_630008
ERR1913042.349488__1.349488	69974__A0A090FEL8__MPL3365_630008
ERR1913042.349502__1.349502	853__A0A2A7B1Y7__C7K05_11930
ERR1913042.349573__1.349573	69974__A0A090FEL8__MPL3365_630008
ERR1913042.349709__1.349709	28117__R7JJM9__ALIPUT_00662
ERR1913042.349792__1.349792	69974__A0A090FEL8__MPL3365_630008
ERR1913042.349812__1.349812	371601__C3R2J2__ERS852396_04353
ERR1913042.349826__1.349826	84024__A0A173ZF49__ERS852470_00629
ERR1913042.349846__1.349846	69974__A0A090FEL8__MPL3365_630008
ERR1913042.349997__1.349997	310298__B3JH75__BACCOP_01229
ERR1913042.350096__1.350096	410072__C0B8G3__DXD67_01535
ERR1913042.350144__1.350144	1262992__R5DDD8__BN795_00502
ERR1913042.350210__1.350210	165179__A0A3E5ED28__PREVCOP_06655
ERR1913042.350260__1.350260	165179__D1PHC0__PREVCOP_06640
ERR1913042.350240__1.350240	28116__A0A1G6G396__DXD69_22115
ERR1913042.350361__1.350361	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913042.350421__1.350421	39491__A0A395V0E5__ERE_31370
ERR1913042.350441__1.350441	69974__A0A090FEL8__MPL3365_630008
ERR1913042.350467__1.350467	69974__A0A090FEL8__MPL3365_630008
ERR1913042.350582__1.350582	1262924__R7HP98__BN585_02065
ERR1913042.350656__1.350656	853__A0A173T0Y8__CGS54_07215
ERR1913042.350767__1.350767	165179__A0A3E5DV57__DXB80_11400
ERR1913042.350772__1.350772	216816__B3DRY8__DPC6320_0936
ERR1913042.350836__1.350836	39492__D4JWM0__atpF
ERR1913042.350898__1.350898	853__A0A173YYY4__DWZ04_09420
ERR1913042.350941__1.350941	165179__A0A174IPI3__CFT61_10940
ERR1913042.351173__1.351173	69974__A0A090FEL8__MPL3365_630008
ERR1913042.351338__1.351338	204516__U6RFV1__HMPREF1534_02560
ERR1913042.351350__1.351350	165179__A0A229I7F5__DXB80_02650
ERR1913042.351294__1.351294	626933__H1DGX0__HMPREF9449_01506
ERR1913042.351453__1.351453	69974__A0A090FEL8__MPL3365_630008
ERR1913042.351473__1.351473	487174__K0XES7__HMPREF9448_00566
ERR1913042.351555__1.351555	39491__A0A395ZBQ4__cph2_2
ERR1913042.351565__1.351565	165179__A0A229I6N7__DXC61_06720
ERR1913042.351588__1.351588	1262739__R6MMI4__BN659_01195
ERR1913042.351592__1.351592	47678__R5U7X5__ERS852558_01354
ERR1913042.351724__1.351724	418240__R7CEI8__ERS852523_02541
ERR1913042.351746__1.351746	820__A7VAR9__ERS852421_00197
ERR1913042.351890__1.351890	310298__B3JNH3__BACCOP_03486
ERR1913042.351936__1.351936	28117__R7JLL3__ALIPUT_02219
ERR1913042.351973__1.351973	165179__A0A174IPI3__CFT61_10940
ERR1913042.352000__1.352000	853__A0A173T0Y8__CGS54_07215
ERR1913042.352105__1.352105	39491__A0A395ZDC6__addB
ERR1913042.352246__1.352246	1262913__R7J6B7__BN646_00856
ERR1913042.352260__1.352260	40518__R5E304__thiT
ERR1913042.352377__1.352377	1262924__R7HLK0__BN585_01496
ERR1913042.352396__1.352396	165179__A0A174IPI3__CFT61_10940
ERR1913042.352434__1.352434	853__A0A2A7A4A9__C4N21_14870
ERR1913042.352436__1.352436	69974__A0A090FEL8__MPL3365_630008
ERR1913042.352496__1.352496	39485__A0A174Z1A6__EUBELI_00220
ERR1913042.352515__1.352515	310298__B3JGL4__BACCOP_01016
ERR1913042.352727__1.352727	410072__A0A174KCA8__DXD67_01455
ERR1913042.352745__1.352745	69974__A0A090FEL8__MPL3365_630008
ERR1913042.352761__1.352761	1262743__R5C054__BN727_01980
ERR1913042.352791__1.352791	310298__B3JFS5__BACCOP_00726
ERR1913042.352891__1.352891	29361__B6FKH5__CLONEX_00621
ERR1913042.353014__1.353014	165179__A0A229I6N7__DXC61_06720
ERR1913042.353019__1.353019	626933__H1DGX0__HMPREF9449_01506
ERR1913042.353077__1.353077	69974__A0A090FEL8__MPL3365_630008
ERR1913042.353188__1.353188	39491__C4ZCH3__EUR_17560
ERR1913042.353249__1.353249	69974__A0A090FEL8__MPL3365_630008
ERR1913042.353305__1.353305	1235790__S0J8L6__C805_00148
ERR1913042.353462__1.353462	410072__A0A174LAX8__DXD67_10655
ERR1913042.353499__1.353499	310298__B3JM32__BACCOP_00571
ERR1913042.353511__1.353511	69974__A0A090FEL8__MPL3365_630008
ERR1913042.353618__1.353618	310298__B3JI31__BACCOP_01543
ERR1913042.353628__1.353628	69974__A0A090FEL8__MPL3365_630008
ERR1913042.353722__1.353722	39485__C4Z1W5__ERS852492_01530
ERR1913042.353752__1.353752	165179__A0A3E5DR10__DXC61_03505
ERR1913042.353856__1.353856	39491__C4Z872__LD38_07250
ERR1913042.353871__1.353871	39491__A0A396FIU1__DXC13_07905
ERR1913042.353882__1.353882	39488__C0EYJ6__ERS852578_01971
ERR1913042.353908__1.353908	1262924__R7HUJ5__BN585_00830
ERR1913042.353916__1.353916	165179__A0A229I6N7__DXC61_06720
ERR1913042.353989__1.353989	84024__A0A174IFB1__ERS852384_03564
ERR1913042.354072__1.354072	165179__A0A174UTZ7__DXC61_06705
ERR1913042.354117__1.354117	487174__K0X3A6__HMPREF9448_02725
ERR1913042.354156__1.354156	1796613__A0A1C7H300__A4V03_17350
ERR1913042.354186__1.354186	69974__A0A090FEL8__MPL3365_630008
ERR1913042.354196__1.354196	69974__A0A090FEL8__MPL3365_630008
ERR1913042.354233__1.354233	310298__B3JH76__BACCOP_01230
ERR1913042.354241__1.354241	204516__U6R8I1__HMPREF1534_03341
ERR1913042.354280__1.354280	1965660__A0A1Y3SSG6__B5G34_01735
ERR1913042.354346__1.354346	1263109__GCA_000438135.1_01184
ERR1913042.354371__1.354371	821__A0A174NM17__lacZ_6
ERR1913042.354358__1.354358	165179__A0A3E5A554__DXB80_13805
ERR1913042.354391__1.354391	410072__A0A174B435__COPCOM_00497
ERR1913042.354471__1.354471	69974__A0A090FEL8__MPL3365_630008
ERR1913042.354480__1.354480	626933__H1DGX0__HMPREF9449_01506
ERR1913042.354496__1.354496	1263107__GCA_000436995.1_00132
ERR1913042.354541__1.354541	69974__A0A090FEL8__MPL3365_630008
ERR1913042.354771__1.354771	69974__A0A090FEL8__MPL3365_630008
ERR1913042.354862__1.354862	69974__A0A090FEL8__MPL3365_630008
ERR1913042.354912__1.354912	165179__A0A3E5EAM5__DXC61_07785
ERR1913042.354929__1.354929	69974__A0A090FEL8__MPL3365_630008
ERR1913042.355060__1.355060	69974__A0A090FEL8__MPL3365_630008
ERR1913042.355076__1.355076	1680__A0A173XYA2__B0703_0121
ERR1913042.355223__1.355223	39485__A0A174YMI9__cph2_5
ERR1913042.355369__1.355369	69974__A0A090FEL8__MPL3365_630008
ERR1913042.355642__1.355642	69974__A0A090FEL8__MPL3365_630008
ERR1913042.355656__1.355656	338188__A0A174ETX3__ERS852397_01955
ERR1913042.355751__1.355751	39485__A0A174Z7G5__EUBELI_01168
ERR1913042.355801__1.355801	853__C7H7F8__yccM_1
ERR1913042.355869__1.355869	39485__C4Z6J7__ERS852492_02047
ERR1913042.355920__1.355920	626933__H1DGX0__HMPREF9449_01506
