ERR1913301.129__1.129	28118__F9Z8K4__Odosp_0843
ERR1913301.132084__1.132084	40518__R5DU38__DXD83_06770
ERR1913301.132116__1.132116	363265__G6AY47__HMPREF0673_01556
ERR1913301.132163__1.132163	1262886__R6QIW7__BN563_00997
ERR1913301.132185__1.132185	166486__R6AY46__ROSINTL182_06128
ERR1913301.132259__1.132259	39492__D4JX87__EUBSIR_00361
ERR1913301.132230__1.132230	40520__A5ZXC0__DXB81_15750
ERR1913301.132351__1.132351	165179__D1PDG7__DXB80_11180
ERR1913301.132363__1.132363	1262929__R6F820__BN691_00328
ERR1913301.132420__1.132420	39492__D4MMZ8__ERS852540_01407
ERR1913301.132452__1.132452	1262929__R6F4F7__BN691_01167
ERR1913301.132576__1.132576	360807__A0A0M6WBB8__ROSEINA2194_00909
ERR1913301.132787__1.132787	165179__A0A3E5E2S3__DXB80_03455
ERR1913301.132928__1.132928	45634__E8JSR4__HMPREF9960_1766
ERR1913301.132966__1.132966	1262929__R6F1E4__BN691_00073
ERR1913301.133209__1.133209	165179__A0A3E5E7D5__PREVCOP_03928
ERR1913301.133288__1.133288	39492__A0A174ZHV5__msbA_2
ERR1913301.133579__1.133579	40518__R5E426__DXD93_04485
ERR1913301.133772__1.133772	166486__D4KYW5__ROSINTL182_05595
ERR1913301.133836__1.133836	301302__R5VGE0__ERS852420_00121
ERR1913301.133837__1.133837	820__A0A3E4FZM1__adaA_2
ERR1913301.133838__1.133838	853__C7H1R8__DW905_06675
ERR1913301.133944__1.133944	649756__D4MVE0__HMPREF0369_02014
ERR1913301.133902__1.133902	246787__I8V2S2__BACCELL_02524
ERR1913301.134049__1.134049	1263011__R6DVP1__BN553_00338
ERR1913301.134085__1.134085	818__A0A3E5H650__C799_01514
ERR1913301.134495__1.134495	165179__D1P8V8__DXC61_01940
ERR1913301.134683__1.134683	40518__R5E6K4__RB5AMG_02070
ERR1913301.134695__1.134695	165179__A0A174IHQ2__PREVCOP_05478
ERR1913301.134767__1.134767	47678__A5ZL09__BACCAC_03608
ERR1913301.134792__1.134792	360807__C0FSM3__ROSEINA2194_01739
ERR1913301.134906__1.134906	165179__A0A174IPI3__CFT61_10940
ERR1913301.134930__1.134930	301302__A0A173UN64__manA_2
ERR1913301.135183__1.135183	165179__D1PDG7__DXB80_11180
ERR1913301.135414__1.135414	820__A0A3E4FZM1__adaA_2
ERR1913301.135492__1.135492	301302__A0A0M6WIX9__ERS852420_01972
ERR1913301.135561__1.135561	165179__A0A3E5E8M8__DXB80_11580
ERR1913301.135622__1.135622	820__R9I2U8__DXC68_09590
ERR1913301.135859__1.135859	46506__A0A108TBL0__BACSTE_01998
ERR1913301.135955__1.135955	1661745__A0A0M1GGT5__ABW51_09305
ERR1913301.135981__1.135981	165179__A0A3E5EDP4__DXB80_05800
ERR1913301.135988__1.135988	165179__D1PES9__DXB80_11585
ERR1913301.135996__1.135996	1263000__R5ESM1__BN466_01440
ERR1913301.136007__1.136007	39485__C4Z0G6__spoIVB
ERR1913301.136013__1.136013	649756__R7BXP1__ERS852425_00382
ERR1913301.136126__1.136126	626940__E8LF94__DCQ00_07860
ERR1913301.136151__1.136151	33039__D4M5E1__ERS852577_03873
ERR1913301.136247__1.136247	410072__A0A3E4GT65__ERS852574_02325
ERR1913301.136493__1.136493	165179__A0A174IYW3__DXC61_01235
ERR1913301.136564__1.136564	649756__B0NZI4__DCR88_08000
ERR1913301.136655__1.136655	165179__A0A3E5E920__DXB80_11625
ERR1913301.136763__1.136763	39492__B0MP07__ERS852540_02083
ERR1913301.136711__1.136711	853__A0A173RZ39__C4N22_01650
ERR1913301.136737__1.136737	1262929__R6FV20__BN691_00610
ERR1913301.136976__1.136976	1262889__R7HD87__BN634_01680
ERR1913301.137116__1.137116	745368__A0A1T4XC26__SAMN02745178_01685
ERR1913301.137153__1.137153	165179__R6CJG8__DXC61_09290
ERR1913301.137182__1.137182	166486__D4KUC8__ERS852572_00958
ERR1913301.137426__1.137426	363265__G6AVR7__HMPREF0673_00706
ERR1913301.137433__1.137433	363265__R7H1G5__HMPREF0673_00879
ERR1913301.137537__1.137537	166486__D4L1D8__ROSINTL182_06455
ERR1913301.137648__1.137648	28052__R7N9D0__yhaP
ERR1913301.137761__1.137761	853__A0A173T751__C4N24_10280
ERR1913301.137793__1.137793	1262929__R6FT48__BN691_02038
ERR1913301.137858__1.137858	1628085__A0A2U1BD76__C7386_10691
ERR1913301.137860__1.137860	384638__B7AT14__BACPEC_01282
ERR1913301.138041__1.138041	823__A6LHK0__M090_1297
ERR1913301.138229__1.138229	39492__R6SA81__EUBSIR_00402
ERR1913301.138204__1.138204	1262929__R6F4M1__BN691_00136
ERR1913301.138282__1.138282	360807__A0A0M6WW50__ROSEINA2194_00764
ERR1913301.138330__1.138330	853__A0A174C5M1__CGS58_04460
ERR1913301.138348__1.138348	338188__C9KT88__ERS852397_01691
ERR1913301.138806__1.138806	1262992__R5DA07__BN795_01576
ERR1913301.138866__1.138866	39492__D4JT87__clpC
ERR1913301.138873__1.138873	28052__R7NDD4__ywtF
ERR1913301.138935__1.138935	363265__R6F4I0__HMPREF0673_00778
ERR1913301.139019__1.139019	39485__A0A174YZE2__spoIIE
ERR1913301.139041__1.139041	552398__F4XCQ4__HMPREF0866_01621
ERR1913301.139083__1.139083	1262924__R7HQB3__BN585_00435
ERR1913301.139218__1.139218	165179__A0A3E5EBQ2__DXC61_01930
ERR1913301.139282__1.139282	1262929__R6EV93__BN691_01445
ERR1913301.139284__1.139284	1150298__A0A174BR70__ERS852535_01666
ERR1913301.139355__1.139355	363265__R6F9Q7__HMPREF0673_00179
ERR1913301.139435__1.139435	1262741__R6CVQ4__BN697_00413
ERR1913301.139445__1.139445	39485__A0A174Z3B9__ERS852492_00779
ERR1913301.139576__1.139576	626940__R6WJH0__BN587_01516
ERR1913301.139591__1.139591	39485__C4Z355__ERS852490_01971
ERR1913301.139645__1.139645	410072__A0A174IQI6__ERS852574_01030
ERR1913301.139649__1.139649	1262929__R6F1E4__BN691_00073
ERR1913301.139715__1.139715	301302__A0A0M6WSS7__ERS852420_02367
ERR1913301.139894__1.139894	165179__R6CNX7__DXB80_02200
ERR1913301.139922__1.139922	363265__R6FVK6__HMPREF0673_01906
ERR1913301.139978__1.139978	39492__D4JUT9__ERS852540_01449
ERR1913301.140026__1.140026	40518__R5DYU1__DXD86_01160
ERR1913301.140080__1.140080	1262929__R6FV83__BN691_00675
ERR1913301.140178__1.140178	363265__G6AX60__HMPREF0673_01211
ERR1913301.140180__1.140180	165179__R6B8D8__DXC61_09245
ERR1913301.140269__1.140269	165179__D1PCL6__DXB80_13435
ERR1913301.140340__1.140340	301302__R5VFQ6__ERS852420_00378
ERR1913301.140423__1.140423	39485__A0A174YR79__EUBELI_20418
ERR1913301.140531__1.140531	166486__D4KVZ2__cbiT
ERR1913301.140686__1.140686	1262929__R6F7M1__BN691_00234
ERR1913301.140845__1.140845	2024224__A0A255TXW1__CIK98_00380
ERR1913301.140846__1.140846	39485__A0A175A403__EUBELI_20577
ERR1913301.140856__1.140856	363265__G6AXV1__HMPREF0673_01458
ERR1913301.140997__1.140997	165179__D1PFV4__PREVCOP_06112
ERR1913301.141265__1.141265	166486__D4KWN0__ERS852572_00733
ERR1913301.141407__1.141407	1501391__GCA_000786575.1_00155
ERR1913301.141488__1.141488	165179__D1PCT4__DXB80_09470
ERR1913301.141582__1.141582	1262929__R6F3S2__BN691_00920
ERR1913301.141708__1.141708	1262924__R7HRT1__BN585_00630
ERR1913301.141709__1.141709	363265__R7H115__HMPREF0673_02883
ERR1913301.141762__1.141762	1262889__R7HCR1__BN634_01576
ERR1913301.141805__1.141805	357276__A0A076IN30__DXD47_09350
ERR1913301.141817__1.141817	1897011__A0A1Q6REU8__BHW41_04300
ERR1913301.141933__1.141933	165179__A0A3E5E5M2__PREVCOP_03530
ERR1913301.141965__1.141965	1262929__R6FTR6__BN691_00242
ERR1913301.142106__1.142106	39492__D4JRX7__EUBSIR_01480
ERR1913301.142331__1.142331	2024224__A0A255TXW1__CIK98_00380
ERR1913301.142341__1.142341	165179__D1P8V8__DXC61_01940
ERR1913301.142380__1.142380	301302__A0A173TWC1__phoR_7
ERR1913301.142462__1.142462	820__A0A1T4IYF4__mprA_1
ERR1913301.142696__1.142696	28052__A0A174IKM0__ERS852499_00833
ERR1913301.142766__1.142766	818__A0A3E5HVB7__Btheta7330_02386
ERR1913301.142710__1.142710	165179__D1PGU8__PREVCOP_06463
ERR1913301.142908__1.142908	301302__R5VCB8__M72_07901
ERR1913301.142932__1.142932	626940__E8LFN4__HMPREF9443_01675
ERR1913301.143243__1.143243	39485__C4Z6J7__ERS852492_02047
ERR1913301.143258__1.143258	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913301.143414__1.143414	28052__R7NDB6__ERS852499_00304
ERR1913301.143445__1.143445	1262924__R7HSF6__BN585_00844
ERR1913301.143458__1.143458	301302__R5UKE6__M72_05651
ERR1913301.143504__1.143504	39492__D4JT75__EUBSIR_01776
ERR1913301.143555__1.143555	1262929__R6EYQ0__BN691_00631
ERR1913301.143799__1.143799	88431__A0A173XPY6__DXB16_06910
ERR1913301.143757__1.143757	1547597__A0A0C3RD71__IE90_01035
ERR1913301.143822__1.143822	1262929__R6EZA2__BN691_02113
ERR1913301.143862__1.143862	28052__R7NCR8__ERS852499_01142
ERR1913301.143960__1.143960	544645__A0A3E4T917__DXC42_08350
ERR1913301.144072__1.144072	357276__I8VN30__HMPREF1065_03051
ERR1913301.144081__1.144081	165179__D1PEW8__DXB80_13775
ERR1913301.144172__1.144172	165179__A0A3E5AE59__DXC61_12885
ERR1913301.144175__1.144175	165179__A0A229I443__DXB80_10950
ERR1913301.144232__1.144232	165179__D1PGJ6__DXC61_07300
ERR1913301.144328__1.144328	1262929__R6F141__BN691_00686
ERR1913301.144454__1.144454	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913301.144559__1.144559	39492__A0A175A133__cycB_1
ERR1913301.144907__1.144907	1262929__R6F620__BN691_01750
ERR1913301.144951__1.144951	1262924__R7HQ14__BN585_00419
ERR1913301.145116__1.145116	626940__E8LDI1__HMPREF9443_00908
ERR1913301.145097__1.145097	1262929__R6FV83__BN691_00675
ERR1913301.145355__1.145355	165179__A0A229I4J4__proA
ERR1913301.145323__1.145323	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913301.145400__1.145400	820__A0A139JY23__B5G17_06330
ERR1913301.145429__1.145429	410072__A0A174J5N8__sbcC
ERR1913301.145436__1.145436	39492__D4JQL8__ywpJ
ERR1913301.145556__1.145556	39492__D4JT87__clpC
ERR1913301.145676__1.145676	1262929__R6ETI0__BN691_00865
ERR1913301.145743__1.145743	39485__A0A174YZZ2__ERS852492_00215
ERR1913301.145750__1.145750	39492__D4JSA4__ERS852540_00596
ERR1913301.145784__1.145784	1262929__R6EXI8__BN691_01531
ERR1913301.145798__1.145798	1262936__R7IY41__BN799_00608
ERR1913301.145871__1.145871	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913301.145983__1.145983	39492__D4JRY3__EUBSIR_01473
ERR1913301.145951__1.145951	745368__A0A1T4Y178__SAMN02745178_02628
ERR1913301.146043__1.146043	626940__E8LBR4__BHW43_02255
ERR1913301.146369__1.146369	1262924__R7HQV3__BN585_00017
ERR1913301.146484__1.146484	1262936__R7J0K9__BN799_01537
ERR1913301.146515__1.146515	46506__R6L6Y9__wza_1
ERR1913301.146518__1.146518	1262929__R6EXF7__BN691_00015
ERR1913301.146534__1.146534	165179__A0A174W369__PREVCOP_04548
ERR1913301.146593__1.146593	165179__D1PHV2__PREVCOP_06822
ERR1913301.146663__1.146663	1262929__R6ETI0__BN691_00865
ERR1913301.146730__1.146730	901__B6WQE3__DHV46_07200
ERR1913301.146988__1.146988	363265__R6F843__HMPREF0673_01819
ERR1913301.147203__1.147203	1501391__GCA_000786575.1_00128
ERR1913301.147251__1.147251	166486__A0A173T114__ROSINTL182_05085
ERR1913301.147367__1.147367	626940__R6XYY7__DCQ00_03935
ERR1913301.147476__1.147476	165179__R6B8D8__DXC61_09245
ERR1913301.147432__1.147432	166486__D4KPQ7__ROSINTL182_09065
ERR1913301.147847__1.147847	39485__C4Z058__ERS852492_00130
ERR1913301.147943__1.147943	360807__A0A174EVF2__RIL183_27331
ERR1913301.148093__1.148093	39492__A0A174ZP27__EUBSIR_00033
ERR1913301.148209__1.148209	165179__R6CNX7__DXB80_02200
ERR1913301.148431__1.148431	1308__R5ZWT4__str1498
ERR1913301.148435__1.148435	1262929__R6FRR0__BN691_00154
ERR1913301.148401__1.148401	1262929__R6EVW8__BN691_00941
ERR1913301.148598__1.148598	166486__D4KJ39__ERS852572_02622
ERR1913301.148833__1.148833	165179__A0A3E4SB80__DXC61_12880
ERR1913301.148866__1.148866	371601__A0A1H3XPY7__CW1_0993
ERR1913301.149027__1.149027	301302__R5UMB3__M72_01421
ERR1913301.149055__1.149055	821__R7P1Q7__M099_2990
ERR1913301.149101__1.149101	28118__R6FD01__B5F99_06665
ERR1913301.149152__1.149152	820__A0A3E4FZM1__adaA_2
ERR1913301.149215__1.149215	33039__A0A173U9Q3__ERS852390_00518
ERR1913301.149356__1.149356	1262929__R6F825__BN691_00333
ERR1913301.149399__1.149399	820__A0A139KHX1__HMPREF2141_00289
ERR1913301.149428__1.149428	28116__A0A395W0G7__NCTC11153_02716
ERR1913301.149458__1.149458	165179__A0A3E5DZ45__DXC61_02820
ERR1913301.149676__1.149676	33043__A0A173ZXG0__ERS852400_00169
ERR1913301.149696__1.149696	1262886__R6QNU3__BN563_00612
ERR1913301.149794__1.149794	39492__D4JT90__coaE
ERR1913301.149876__1.149876	1262929__R6EV27__BN691_00137
ERR1913301.149903__1.149903	165179__A0A174WRI9__DXB80_04870
ERR1913301.149951__1.149951	1262929__R6F4H4__BN691_01187
ERR1913301.149958__1.149958	165179__A0A3E5EBQ2__DXC61_01930
ERR1913301.149961__1.149961	33043__A0A173WPI1__ERS852400_02100
ERR1913301.150009__1.150009	165179__R6C3A5__DXC61_11820
ERR1913301.150087__1.150087	40518__R5DV58__htrA
ERR1913301.150293__1.150293	165179__D1PCT4__DXB80_09470
ERR1913301.150308__1.150308	1262936__R7IY41__BN799_00608
ERR1913301.150650__1.150650	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913301.150727__1.150727	40518__R5E1X3__clcA
ERR1913301.150830__1.150830	1501391__GCA_000786575.1_00050
ERR1913301.150892__1.150892	1262924__R7HQD9__BN585_00129
ERR1913301.150981__1.150981	165179__A0A174IPI3__CFT61_10940
ERR1913301.151043__1.151043	820__A0A3E4W084__BACUNI_04042
ERR1913301.151142__1.151142	1262924__R7HRW9__BN585_00665
ERR1913301.151171__1.151171	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913301.151205__1.151205	1263000__R5EFA7__BN466_01197
ERR1913301.151357__1.151357	820__A0A374Q8T2__DXB64_16190
ERR1913301.151408__1.151408	39492__D4JVX0__udk
ERR1913301.151470__1.151470	165179__A0A3E5E9I4__DXB80_09745
ERR1913301.151499__1.151499	1262929__R6F4M1__BN691_00136
ERR1913301.151544__1.151544	40518__R5DVH6__DXD86_08955
ERR1913301.151571__1.151571	39486__R6SW59__DORFOR_03117
ERR1913301.151623__1.151623	165179__A0A3E5E6S6__DXB80_07575
ERR1913301.151594__1.151594	39492__D4JWY7__EUBSIR_01655
ERR1913301.151699__1.151699	1262929__R6F7R3__BN691_01777
ERR1913301.151704__1.151704	40518__R5DLM5__RB5AMG_00422
ERR1913301.151746__1.151746	1262929__R6EYQ0__BN691_00631
ERR1913301.151798__1.151798	46228__V8CGF0__HMPREF1202_00126
ERR1913301.151831__1.151831	39492__D4JT87__clpC
ERR1913301.151902__1.151902	384639__GCA_003096855.1_01180
ERR1913301.151927__1.151927	1262929__R6EZP7__BN691_00230
ERR1913301.152138__1.152138	39492__D4JRM9__bglB_2
ERR1913301.152152__1.152152	33043__D5HDB6__sipT_2
ERR1913301.152168__1.152168	165179__D1PDJ4__DXB80_08505
ERR1913301.152207__1.152207	1262929__R6F5I2__BN691_01051
ERR1913301.152281__1.152281	1262824__R6S4K1__BN719_00370
ERR1913301.152525__1.152525	1897011__A0A1Q6RH97__BHW41_01945
ERR1913301.152564__1.152564	1262929__R6F053__BN691_00334
ERR1913301.152580__1.152580	39492__D4JUD7__EUBSIR_01877
ERR1913301.152666__1.152666	301302__R5V4M3__ERS852420_01171
ERR1913301.152642__1.152642	363265__A0A3C0CEC7__HMPREF0673_01283
ERR1913301.152749__1.152749	165179__A0A174SA26__PREVCOP_05758
ERR1913301.152836__1.152836	1262929__R6F7R3__BN691_01777
ERR1913301.152847__1.152847	1262929__R6F7S9__BN691_01792
ERR1913301.152896__1.152896	165179__D1PGU8__PREVCOP_06463
ERR1913301.152949__1.152949	357276__B6W5Q9__HMPREF1063_03125
ERR1913301.153077__1.153077	1501391__GCA_000786575.1_00017
ERR1913301.153418__1.153418	1262929__R6F7M1__BN691_00234
ERR1913301.153498__1.153498	1262924__R7HRA8__BN585_01680
ERR1913301.153534__1.153534	39492__D4JWY5__rpe
ERR1913301.153641__1.153641	384638__B7AT21__BACPEC_01289
ERR1913301.153682__1.153682	1262929__R6EZ86__BN691_00765
ERR1913301.153724__1.153724	820__A0A3E4VZS7__DXC07_14435
ERR1913301.153955__1.153955	1105031__J1H3W2__HMPREF1141_2783
ERR1913301.154041__1.154041	28052__A0A174GLS7__cmpC
ERR1913301.154106__1.154106	1262936__R7IZZ2__BN799_01307
ERR1913301.154156__1.154156	360807__A0A1Q6T5F1__fliF
ERR1913301.154329__1.154329	39485__A0A174YVL0__xynZ_2
ERR1913301.154385__1.154385	338188__C9KWZ8__BACFIN_06840
ERR1913301.154618__1.154618	165179__A0A174K816__DXB80_12000
ERR1913301.154658__1.154658	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913301.154659__1.154659	363265__R7H608__HMPREF0673_01944
ERR1913301.154941__1.154941	165179__A0A174W369__PREVCOP_04548
ERR1913301.155004__1.155004	165179__D1PE06__DXC61_05975
ERR1913301.155126__1.155126	165179__A0A229I2W6__PREVCOP_04332
ERR1913301.155211__1.155211	39492__D4JQS6__ykoD
ERR1913301.155272__1.155272	39485__R5ZRN3__ERS852490_00208
ERR1913301.155335__1.155335	1262929__R6EU29__BN691_01068
ERR1913301.155392__1.155392	46506__A0A3E4USX2__BACSTE_03107
ERR1913301.155496__1.155496	301302__A0A173T010__M72_26571
ERR1913301.155510__1.155510	1263044__GCA_000433375.1_03388
ERR1913301.155544__1.155544	1262929__R6F9S8__BN691_00485
ERR1913301.155582__1.155582	853__A0A2A7B9I6__DW855_13690
ERR1913301.155556__1.155556	165179__A0A3E5AER8__DXB80_07075
ERR1913301.155679__1.155679	165179__A0A174IPI3__CFT61_10940
ERR1913301.155662__1.155662	363265__R6F6E7__HMPREF0673_02119
ERR1913301.155822__1.155822	363265__R6FPM1__HMPREF0673_01826
ERR1913301.155839__1.155839	166486__A0A173T114__ROSINTL182_05085
ERR1913301.155858__1.155858	360807__A0A173SPW8__ERS852444_01048
ERR1913301.155926__1.155926	39492__A0A175A133__cycB_1
ERR1913301.156004__1.156004	39485__A0A174Z7G5__EUBELI_01168
ERR1913301.156172__1.156172	1262929__R6FTR6__BN691_00242
ERR1913301.156329__1.156329	47678__R5UZM4__DW706_15680
ERR1913301.156273__1.156273	1262929__R6F7M1__BN691_00234
ERR1913301.156235__1.156235	1262924__R7HQN1__BN585_00550
ERR1913301.156284__1.156284	28118__F9ZBV2__NCTC10826_00352
ERR1913301.156288__1.156288	1262929__R6EZA2__BN691_02113
ERR1913301.156342__1.156342	39492__R6SA81__EUBSIR_00402
ERR1913301.156494__1.156494	166486__R6AY46__ROSINTL182_06128
ERR1913301.156535__1.156535	363265__G6AUM0__HMPREF0673_00305
ERR1913301.156681__1.156681	1262929__R6F4H4__BN691_01187
ERR1913301.156729__1.156729	853__A0A173XRA8__CGS56_09290
ERR1913301.156839__1.156839	1897011__A0A1Q6RE47__BHW41_04715
ERR1913301.156935__1.156935	301302__A0A0M6WIX9__ERS852420_01972
ERR1913301.157100__1.157100	165179__A0A174W369__PREVCOP_04548
ERR1913301.157131__1.157131	301302__R5UPH9__M72_00521
ERR1913301.157137__1.157137	1262929__R6EU29__BN691_01068
ERR1913301.157383__1.157383	418240__A0A174AQ30__ERS852478_00945
ERR1913301.157484__1.157484	39492__A0A174ZL16__EUBSIR_01269
ERR1913301.157603__1.157603	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913301.157686__1.157686	166486__D4L346__ROSINTL182_06263
ERR1913301.157884__1.157884	1262929__R6F820__BN691_00328
ERR1913301.157950__1.157950	165179__D1P8Q2__trpF
ERR1913301.157967__1.157967	1262929__R6F0A6__BN691_00414
ERR1913301.158075__1.158075	301302__A0A0M6WJW1__ERS852420_02245
ERR1913301.158214__1.158214	40520__R7DB69__lgt_1
ERR1913301.158614__1.158614	820__A0A374Q351__DXD40_05850
ERR1913301.158703__1.158703	1262924__R7HQ73__BN585_02030
ERR1913301.158675__1.158675	165179__R6PU83__CFT61_14275
ERR1913301.158726__1.158726	823__A6L9D3__ERS852560_03374
ERR1913301.158740__1.158740	28116__D7K2E0__endOF2_3
ERR1913301.158798__1.158798	1262929__R6F620__BN691_01750
ERR1913301.159130__1.159130	821__A0A174RA14__M099_1655
ERR1913301.159390__1.159390	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913301.159681__1.159681	626940__E8LFF6__BHW43_06155
ERR1913301.159917__1.159917	39485__C4Z6R3__mcp2_1
ERR1913301.159940__1.159940	39492__D4JTI2__ERS852540_00694
ERR1913301.160103__1.160103	165179__D1P8K1__DXB80_06045
ERR1913301.160126__1.160126	165179__D1PDJ4__DXB80_08505
ERR1913301.160130__1.160130	1262929__R6F053__BN691_00334
ERR1913301.160163__1.160163	363265__R7H1G5__HMPREF0673_00879
ERR1913301.160264__1.160264	1262924__R7HRW9__BN585_00665
ERR1913301.160316__1.160316	2108523__A0A2P2FAD2__LAWASA_3010
ERR1913301.160320__1.160320	39492__D4JVC7__yfgF
ERR1913301.160281__1.160281	40518__R5DTG5__RBATCC27255_00890
ERR1913301.160350__1.160350	363265__G6AUM0__HMPREF0673_00305
ERR1913301.160384__1.160384	1262533__GeneID:16385392
ERR1913301.160473__1.160473	1262929__R6FTR6__BN691_00242
ERR1913301.160486__1.160486	165179__R6C5D6__PREVCOP_04658
ERR1913301.160575__1.160575	165179__A0A3E5A554__DXB80_13805
ERR1913301.160727__1.160727	33043__A0A374K1H3__ykoD_2
ERR1913301.160835__1.160835	1318__A0A380L8D7__HMPREF9626_0877
ERR1913301.160852__1.160852	165179__D1PES9__DXB80_11585
ERR1913301.161256__1.161256	39496__A5Z5I2__EUBVEN_00963
ERR1913301.161431__1.161431	84024__A0A174H823__ERS852384_00712
ERR1913301.161532__1.161532	166486__R6AY46__ROSINTL182_06128
ERR1913301.161499__1.161499	1501391__GCA_000786575.1_00156
ERR1913301.161614__1.161614	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913301.161662__1.161662	301301__A0A395VFD3__ERS852391_02492
ERR1913301.161715__1.161715	39492__D4JV86__spoIIE
ERR1913301.161784__1.161784	1262929__R6F141__BN691_00686
ERR1913301.161791__1.161791	301302__R5UVR7__ERS852420_00118
ERR1913301.161850__1.161850	1262929__R6F4F7__BN691_01167
ERR1913301.161896__1.161896	165179__A0A174SA26__PREVCOP_05758
ERR1913301.162000__1.162000	363265__G6B0S9__HMPREF0673_02497
ERR1913301.162158__1.162158	39485__C4Z355__ERS852490_01971
ERR1913301.162280__1.162280	166486__D4KYC3__ROSINTL182_05485
ERR1913301.162360__1.162360	1262929__R6F9I6__BN691_00385
ERR1913301.162492__1.162492	165179__D1PGJ6__DXC61_07300
ERR1913301.162746__1.162746	28052__R7NAP6__ERS852499_01969
ERR1913301.162824__1.162824	165179__R6CJG8__DXC61_09290
ERR1913301.162778__1.162778	39492__D4JR08__ERS852540_02467
ERR1913301.162899__1.162899	1501391__GCA_000786575.1_00080
ERR1913301.163041__1.163041	166486__D4KJ71__ERS852572_03479
ERR1913301.163093__1.163093	901__B6WYA9__DHV46_06795
ERR1913301.163306__1.163306	454155__F3QUC1__HMPREF9442_01791
ERR1913301.163366__1.163366	39485__A0A174YMD0__EUBELI_01093
ERR1913301.163391__1.163391	39485__C4Z389__ERS852490_01920
ERR1913301.163401__1.163401	1262929__R6F558__BN691_01421
ERR1913301.163673__1.163673	1262929__R6F5I2__BN691_01051
ERR1913301.163827__1.163827	39485__R6A1W2__ERS852490_01584
ERR1913301.163854__1.163854	1501391__GCA_000786575.1_00081
ERR1913301.163894__1.163894	165179__A0A3E5DZA5__DXB80_12550
ERR1913301.164108__1.164108	1262929__R6F6P4__BN691_01423
ERR1913301.164128__1.164128	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913301.164163__1.164163	853__A0A173T0Y8__CGS54_07215
ERR1913301.164172__1.164172	410072__C0BC38__ERS852574_02017
ERR1913301.164395__1.164395	165179__R6C330__DXC61_04975
ERR1913301.164468__1.164468	363265__R6F9Q7__HMPREF0673_00179
ERR1913301.164488__1.164488	301301__A0A395V9V2__nplT_1
ERR1913301.164507__1.164507	165179__A0A3E5E920__DXB80_11625
ERR1913301.164588__1.164588	301302__R5UTG6__M72_25801
ERR1913301.164823__1.164823	165179__R6CNX7__DXB80_02200
ERR1913301.164967__1.164967	40518__R5DZU5__RBL263_00458
ERR1913301.164989__1.164989	166486__R6AY46__ROSINTL182_06128
ERR1913301.164998__1.164998	1263000__R5ES99__BN466_01121
ERR1913301.165112__1.165112	1262924__R7HR75__BN585_00689
ERR1913301.165063__1.165063	166486__R6AZI2__ydaF
ERR1913301.165171__1.165171	363265__G6B1A8__HMPREF0673_02679
ERR1913301.165238__1.165238	1262929__R6F7V9__BN691_01817
ERR1913301.165240__1.165240	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913301.165205__1.165205	165179__A0A229I740__DXC61_10430
ERR1913301.165332__1.165332	853__A0A173XRA8__CGS56_09290
ERR1913301.165304__1.165304	363265__R6FVK6__HMPREF0673_01906
ERR1913301.165675__1.165675	1262929__R6F594__BN691_01450
ERR1913301.165699__1.165699	39485__C4Z2X2__ERS852492_01808
ERR1913301.165722__1.165722	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913301.165841__1.165841	1262924__R7HPX8__BN585_00310
ERR1913301.165895__1.165895	1262929__R6FR28__BN691_01320
ERR1913301.165940__1.165940	28118__F9Z3J9__B5F93_07500
ERR1913301.165976__1.165976	1262929__R6EXG3__BN691_01506
ERR1913301.165982__1.165982	2108523__A0A2P2F6R3__LAWASA_1701
ERR1913301.166018__1.166018	1262929__R6FSA0__BN691_01738
ERR1913301.166086__1.166086	29361__B6FLM7__CLONEX_01049
ERR1913301.166131__1.166131	166486__C7GCP5__ROSINTL182_07683
ERR1913301.166145__1.166145	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913301.166257__1.166257	165179__D1PDF6__DXB80_12430
ERR1913301.166450__1.166450	1262929__R6F558__BN691_01421
ERR1913301.166513__1.166513	292800__G9YVI7__yrrB
ERR1913301.166654__1.166654	853__C7H7F5__DWZ46_01780
ERR1913301.166667__1.166667	301301__A0A395V7G5__RHOM_16755
ERR1913301.166858__1.166858	363265__R6FQP4__HMPREF0673_00216
ERR1913301.166868__1.166868	363265__G6B1Q3__HMPREF0673_02828
ERR1913301.166984__1.166984	165179__A0A3E5E189__PREVCOP_06699
ERR1913301.167152__1.167152	820__A0A3E4VZT7__DXB48_16145
ERR1913301.167164__1.167164	165179__A0A174SA26__PREVCOP_05758
ERR1913301.167231__1.167231	1262929__R6FV83__BN691_00675
