ERR1913171.1__1.1	74426__group_4823
ERR1913171.155305__1.155305	357276__I8WBQ9__HMPREF1065_03212
ERR1913171.155630__1.155630	820__A7V470__HMPREF1072_02076
ERR1913171.155651__1.155651	357276__A0A076IXE0__HMPREF1064_04364
ERR1913171.155692__1.155692	745368__A0A1T4XUK3__SAMN02745178_02339
ERR1913171.155790__1.155790	239935__A0A2N8HHY4__DEF40_10850
ERR1913171.155871__1.155871	1150298__A0A174CCD5__ERS852406_01310
ERR1913171.155891__1.155891	39491__A0A395ZE48__DXB76_02395
ERR1913171.155904__1.155904	47678__R5U2I4__ERS852558_03712
ERR1913171.155916__1.155916	371601__D7K8P3__SAMN05216250_10395
ERR1913171.156301__1.156301	818__C6IEU8__BSIG_0269
ERR1913171.156338__1.156338	47678__R5U9Z0__HMPREF1061_03210
ERR1913171.156343__1.156343	820__A0A174QLF0__SAMN05444418_109151
ERR1913171.156443__1.156443	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913171.156912__1.156912	818__A0A3E5GY47__SAMN02910322_02002
ERR1913171.157092__1.157092	820__A0A374Q351__DXD40_05850
ERR1913171.157207__1.157207	28117__B0MT73__ALIPUT_00412
ERR1913171.157169__1.157169	28117__B0MYI9__BHV66_05415
ERR1913171.157145__1.157145	818__R7KVH8__SAMN02910322_00597
ERR1913171.157215__1.157215	39486__B0G4W5__DXD50_05095
ERR1913171.157238__1.157238	357276__C3R9Y0__HMPREF1064_01889
ERR1913171.157391__1.157391	39491__A0A396FEW6__T1815_18721
ERR1913171.157406__1.157406	626929__F3PL90__HMPREF9445_03120
ERR1913171.157602__1.157602	357276__I8WML9__DXD47_10570
ERR1913171.157700__1.157700	357276__C3RA36__HMPREF1065_03270
ERR1913171.157756__1.157756	28118__F9Z5M3__B5F93_14990
ERR1913171.157725__1.157725	1297617__A0A2U1BIA1__IB211_03110c
ERR1913171.157911__1.157911	418240__A0A173YIF6__ypdA_1
ERR1913171.157840__1.157840	28116__I8YA52__M088_0798
ERR1913171.157861__1.157861	239935__A0A2N8HT68__ADH72_00510
ERR1913171.158001__1.158001	39486__G1WM36__DXD10_02135
ERR1913171.158074__1.158074	820__A0A174NUS8__DXC80_12885
ERR1913171.158057__1.158057	40518__R5DXI4__DXD86_07420
ERR1913171.158139__1.158139	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913171.158215__1.158215	357276__I9F327__DXD47_22495
ERR1913171.158194__1.158194	28116__A0A3D2LPA1__CUY_3388
ERR1913171.158235__1.158235	40518__R5DYM0__DXD86_08165
ERR1913171.158325__1.158325	820__A0A374QGD2__ERS852421_02382
ERR1913171.158343__1.158343	47678__R5U8Y1__BACCAC_02615
ERR1913171.158387__1.158387	1262746__R5SS80__BN750_02125
ERR1913171.158672__1.158672	820__A7UYX8__DXD40_11635
ERR1913171.158678__1.158678	823__A0A078SYK6__DXB14_02485
ERR1913171.158761__1.158761	357276__A0A076IRX4__ABI39_13585
ERR1913171.158932__1.158932	820__A0A3E4WA06__ERS852554_03404
ERR1913171.159056__1.159056	820__A0A174QT76__B5G17_18060
ERR1913171.159073__1.159073	821__A0A174T998__DXB82_10860
ERR1913171.159207__1.159207	820__A0A174Q0F0__DXB48_08080
ERR1913171.159278__1.159278	28117__B0MTH2__ALIPUT_00061
ERR1913171.159561__1.159561	820__A7UYX8__DXD40_11635
ERR1913171.159693__1.159693	820__A0A3E4XM43__DXC91_13960
ERR1913171.159711__1.159711	246787__R6KDR9__BcellWH2_02360
ERR1913171.159657__1.159657	820__A0A3E4W984__pssA
ERR1913171.159758__1.159758	649756__R7BXP1__ERS852425_00382
ERR1913171.159841__1.159841	39491__A0A396FGM9__fliU_1
ERR1913171.159901__1.159901	820__A0A3E4PYB0__yejM
ERR1913171.159942__1.159942	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913171.160023__1.160023	2108523__A0A2P2F6V3__LAWASA_1735
ERR1913171.160122__1.160122	1547__H1AHY8__DW242_13390
ERR1913171.160138__1.160138	39491__A0A3E4YFT8__DXB69_10940
ERR1913171.160164__1.160164	487174__K0WTV8__DIT83_04385
ERR1913171.160342__1.160342	626929__F3PF38__HMPREF9445_00603
ERR1913171.160399__1.160399	820__A0A374Q854__HMPREF1073_03281
ERR1913171.160472__1.160472	357276__B6W1J2__BACDOR_03380
ERR1913171.160479__1.160479	74426__sugC
ERR1913171.160551__1.160551	823__A0A174V089__BDI_3204
ERR1913171.160508__1.160508	818__C6IEV5__ERS852430_00644
ERR1913171.160610__1.160610	357276__D1JZM4__HMPREF1065_01278
ERR1913171.160626__1.160626	1965560__A0A1Y4RFR5__B5E82_15700
ERR1913171.160884__1.160884	357276__I9QBT7__BSEG_03340
ERR1913171.161032__1.161032	28116__A0A1Y4Q363__Bovatus_00608
ERR1913171.161091__1.161091	871324__A0A1M6C0H7__SAMN05444350_103243
ERR1913171.161289__1.161289	901__B6WXK8__DESPIG_02835
ERR1913171.161209__1.161209	387090__S0F8B2__BACCOPRO_02129
ERR1913171.161302__1.161302	74426__purL
ERR1913171.161440__1.161440	39491__A0A173SH34__EUR_24920
ERR1913171.161529__1.161529	823__A0A355XGQ3__prmC
ERR1913171.161696__1.161696	556259__I0PYM3__BSGG_5385
ERR1913171.161783__1.161783	820__A0A174A6K0__M093_0079
ERR1913171.161816__1.161816	78257__A0A087CUE0__BSAE_1156
ERR1913171.161915__1.161915	40518__R5E328__DXD86_08885
ERR1913171.162140__1.162140	820__A0A173YYG4__evgS_3
ERR1913171.162095__1.162095	820__A0A396EWL3__ERS417307_03868
ERR1913171.162129__1.162129	820__I9A4U7__DHU98_12785
ERR1913171.162132__1.162132	820__R9I324__HMPREF2141_02414
ERR1913171.162226__1.162226	820__A0A174QLF0__SAMN05444418_109151
ERR1913171.162434__1.162434	1262888__R6Q957__BN582_01655
ERR1913171.162465__1.162465	357276__I9R994__BACDOR_04044
ERR1913171.162472__1.162472	853__A0A173YYY4__DWZ04_09420
ERR1913171.162484__1.162484	818__A0A0P0F989__BJP75_019080
ERR1913171.162512__1.162512	1262888__R6PKL8__BN582_01372
ERR1913171.162536__1.162536	39491__A0A395V0H3__ERS852417_01192
ERR1913171.162543__1.162543	246787__A0A3D6ARC7__BACCELL_03328
ERR1913171.162645__1.162645	357276__A0A0P0M2G3__BACDOR_03913
ERR1913171.162683__1.162683	820__A0A1T4IY71__HMPREF2141_02402
ERR1913171.162753__1.162753	556259__E5C614__BSGG_0177
ERR1913171.162795__1.162795	820__A7V859__ERS852462_00341
ERR1913171.162715__1.162715	820__A0A3E4WA06__ERS852554_03404
ERR1913171.162986__1.162986	1262930__R6A254__BN693_01006
ERR1913171.163006__1.163006	556259__E5CDQ6__BSGG_3921
ERR1913171.163111__1.163111	39491__A0A174IJH1__DXB76_01865
ERR1913171.163265__1.163265	33039__D4M0U3__ERS852577_02211
ERR1913171.163290__1.163290	820__A0A139JRH8__HMPREF2141_04326
ERR1913171.163365__1.163365	357276__A0A076IP73__BACDOR_04237
ERR1913171.163556__1.163556	33039__D4M6R8__bglB_8
ERR1913171.163658__1.163658	39486__R6SRP8__DXD84_13920
ERR1913171.163747__1.163747	820__A0A174M9V5__M093_0237
ERR1913171.163908__1.163908	487174__K0XKD7__HMPREF9448_01550
ERR1913171.163959__1.163959	47678__R5U9Z0__HMPREF1061_03210
ERR1913171.163963__1.163963	357276__I9R994__BACDOR_04044
ERR1913171.164118__1.164118	39491__A0A3E4YFT8__DXB69_10940
ERR1913171.164229__1.164229	239935__A0A2N8IXN0__CXT95_01765
ERR1913171.164359__1.164359	626929__F3PF45__B5F24_16795
ERR1913171.164562__1.164562	39491__D6E4H2__DXB99_00485
ERR1913171.164648__1.164648	823__A6LEF1__CF162_12695
ERR1913171.164606__1.164606	820__A0A3E4RU03__M093_0563
ERR1913171.164610__1.164610	820__A0A139KJR5__M093_4469
ERR1913171.164718__1.164718	357276__I8WPR6__EL88_06675
ERR1913171.164886__1.164886	1703337__A0A2U0U7Q7__C7379_11089
ERR1913171.165059__1.165059	820__A0A1T4IY80__ERS852554_01621
ERR1913171.165112__1.165112	487174__K0X9T7__HMPREF9448_00996
ERR1913171.165221__1.165221	901__B6WXF1__DESPIGER_1660
ERR1913171.165453__1.165453	821__A0A173XDD3__DXB82_17180
ERR1913171.165422__1.165422	820__A0A3E4VZY4__ERS852554_01211
ERR1913171.165435__1.165435	820__A0A174FUF0__HMPREF1073_03308
ERR1913171.165650__1.165650	487174__K0X694__DIT83_09060
ERR1913171.165734__1.165734	1263000__R5EXT3__BN466_02213
ERR1913171.165774__1.165774	28117__B0MUX4__ALIPUT_00911
ERR1913171.165875__1.165875	84030__R5MF15__B5F06_03685
ERR1913171.165879__1.165879	357276__B6W5Q7__DXD47_13945
ERR1913171.166013__1.166013	823__A0A174VHT1__DHP27_04775
ERR1913171.166047__1.166047	357276__A0A0M1W4C0__DXD47_07095
ERR1913171.166019__1.166019	39486__B0G7W4__DXD50_04530
ERR1913171.166072__1.166072	357276__D1JZM4__HMPREF1065_01278
ERR1913171.166266__1.166266	487174__K0X4F7__DDY40_08055
ERR1913171.166404__1.166404	28117__B0MSL1__BHV66_06710
ERR1913171.166499__1.166499	820__A0A174Q0F0__DXB48_08080
ERR1913171.166594__1.166594	214856__A0A173ZQB9__ERS852559_00006
ERR1913171.166702__1.166702	552398__F4XHU2__HMPREF0866_03196
ERR1913171.166782__1.166782	820__A0A139K0J1__HMPREF2141_03205
ERR1913171.166747__1.166747	820__A0A3E4XM43__DXC91_13960
ERR1913171.166796__1.166796	487174__K0XL35__DDY40_11955
ERR1913171.166846__1.166846	39486__B0G9D1__DXC93_13935
ERR1913171.167019__1.167019	39488__A0A374NJ86__mltG
ERR1913171.166995__1.166995	820__A0A3E4G3J9__ERS852459_02265
ERR1913171.167045__1.167045	357276__I8VN30__HMPREF1065_03051
ERR1913171.167108__1.167108	357276__B6W5Q9__HMPREF1063_03125
ERR1913171.167151__1.167151	357276__D1K3K9__EL88_23995
ERR1913171.167180__1.167180	88431__A0A3E5GJ50__DORLON_02273
ERR1913171.167248__1.167248	820__A0A139KIL9__DXC68_05945
ERR1913171.167206__1.167206	28117__B0MZ50__ALIPUT_02424
ERR1913171.167277__1.167277	39491__A0A396FMF1__EUR_28700
ERR1913171.167529__1.167529	649756__B0P1V3__HMPREF0369_02570
ERR1913171.167530__1.167530	487174__K0X1H0__DDY40_11080
ERR1913171.167568__1.167568	39491__A0A173SH34__EUR_24920
ERR1913171.167579__1.167579	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913171.167774__1.167774	820__A0A174CK74__DXB48_07060
ERR1913171.167797__1.167797	556259__E5CDQ6__BSGG_3921
ERR1913171.167926__1.167926	387090__S0F7Y3__BACCOPRO_02028
ERR1913171.167858__1.167858	204516__U6R9E7__HMPREF1534_03313
ERR1913171.167954__1.167954	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913171.168036__1.168036	28117__B0MXW9__ALIPUT_01981
ERR1913171.168057__1.168057	820__A0A3E4WCC2__lptB_1
ERR1913171.168102__1.168102	820__A0A174LJB2__HMPREF1072_04112
ERR1913171.168185__1.168185	820__A0A374Q854__HMPREF1073_03281
ERR1913171.168407__1.168407	820__A0A139KIL9__DXC68_05945
ERR1913171.168451__1.168451	39492__D4JX05__EUBSIR_01678
ERR1913171.168536__1.168536	239935__R7E524__CXT91_06180
ERR1913171.168668__1.168668	820__A0A173XIP7__B5G17_16050
ERR1913171.168675__1.168675	820__A0A174A6K0__M093_0079
ERR1913171.168676__1.168676	40518__R5DN55__RBATCC27255_01652
ERR1913171.168753__1.168753	357276__A0A0M1VZP2__IY41_00605
ERR1913171.168868__1.168868	360807__A0A0M6WZU2__ROSEINA2194_04025
ERR1913171.168924__1.168924	84112__C8WGV1__Elen_1373
ERR1913171.168998__1.168998	204516__U6RFB2__HMPREF1534_01733
ERR1913171.169018__1.169018	853__A0A173XRA8__CGS56_09290
ERR1913171.169085__1.169085	820__A0A173XIP7__B5G17_16050
ERR1913171.169291__1.169291	28117__B0MY34__BHV66_05195
ERR1913171.169250__1.169250	204516__U6R9E7__HMPREF1534_03313
ERR1913171.169349__1.169349	28117__B0MTH2__ALIPUT_00061
ERR1913171.169369__1.169369	820__A0A174TRB5__DXD40_11305
ERR1913171.169450__1.169450	1150298__A0A174KDX3__ERS852498_01212
ERR1913171.169519__1.169519	39491__A0A395ZDC6__addB
ERR1913171.169599__1.169599	357276__I9F327__DXD47_22495
ERR1913171.169711__1.169711	1262992__R5D6J2__BN795_00288
ERR1913171.169725__1.169725	823__A6LB63__M095_1847
ERR1913171.169848__1.169848	371601__A0A139LNL6__ERS852396_04350
ERR1913171.169921__1.169921	40518__R5DQK2__DXD93_03730
ERR1913171.170047__1.170047	204516__U6R9E7__HMPREF1534_03313
ERR1913171.170136__1.170136	239935__A0A139TPD8__CXU12_11015
ERR1913171.170404__1.170404	28118__R6FDR5__B5F93_17520
ERR1913171.170391__1.170391	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913171.170430__1.170430	357276__I9R994__BACDOR_04044
ERR1913171.170678__1.170678	47678__R5U9Z0__HMPREF1061_03210
ERR1913171.170682__1.170682	820__A0A3E4VZT7__DXB48_16145
ERR1913171.170835__1.170835	357276__I9QXD4__IY41_00345
ERR1913171.170868__1.170868	239935__A0A2N8HPS5__Amuc_0950
ERR1913171.171298__1.171298	28118__R6F984__B5F93_04540
ERR1913171.171289__1.171289	820__A0A174A6K0__M093_0079
ERR1913171.171344__1.171344	820__A0A3E4RU03__M093_0563
ERR1913171.171402__1.171402	823__A0A395YQ63__B5F32_15335
ERR1913171.171434__1.171434	818__A0A1H7S810__BJP75_003270
ERR1913171.171491__1.171491	357276__I9QPN0__B5F95_09195
ERR1913171.171598__1.171598	1262911__R6GZ01__BN557_00641
ERR1913171.171666__1.171666	820__A0A3E4GA19__SAMN05444418_10562
ERR1913171.171687__1.171687	820__A0A139K4T0__ERS852510_03146
ERR1913171.171768__1.171768	39486__G1WVT6__DXD50_09980
ERR1913171.171691__1.171691	357276__D1K3K9__EL88_23995
ERR1913171.171726__1.171726	820__A0A174LJB2__HMPREF1072_04112
ERR1913171.171911__1.171911	820__A0A3E4G826__C801_01612
ERR1913171.171971__1.171971	357276__I9FRW5__B5F95_21685
ERR1913171.171996__1.171996	820__A0A139K8N1__ERS852554_00951
ERR1913171.172091__1.172091	1262743__R5C054__BN727_01980
ERR1913171.172280__1.172280	487174__K0X1D9__HMPREF9448_00919
ERR1913171.172220__1.172220	820__A0A174TRB5__DXD40_11305
ERR1913171.172329__1.172329	47678__A5ZEA3__ERS852558_00257
ERR1913171.172453__1.172453	820__A0A139K5A6__DXB48_12175
ERR1913171.172466__1.172466	357276__A0A076IXE0__HMPREF1064_04364
ERR1913171.172473__1.172473	28116__A0A1G6G9R4__CUY_0131
ERR1913171.172550__1.172550	28117__B0MY45__ALIPUT_02164
ERR1913171.172606__1.172606	357276__I9QBT7__BSEG_03340
ERR1913171.172698__1.172698	487174__K0X3E9__DDY40_04905
ERR1913171.172704__1.172704	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913171.172794__1.172794	818__A0A3E5HDU6__C799_04515
ERR1913171.172907__1.172907	820__A0A3E4VZT7__DXB48_16145
ERR1913171.172987__1.172987	28117__B0MUX4__ALIPUT_00911
ERR1913171.172991__1.172991	823__A0A355XP97__M092_2525
ERR1913171.173026__1.173026	47678__R5UAY9__DW706_07200
ERR1913171.172994__1.172994	357276__A0A076IYE6__IY41_04275
ERR1913171.173140__1.173140	820__A0A139K8X8__DXC80_17665
ERR1913171.173254__1.173254	357276__A0A076INK2__BSEG_04225
ERR1913171.173360__1.173360	357276__I9R201__B5F00_01910
ERR1913171.173491__1.173491	204516__U6R9E7__HMPREF1534_03313
ERR1913171.173614__1.173614	821__A0A173XDD3__DXB82_17180
ERR1913171.173644__1.173644	820__A7V092__hldE
ERR1913171.173744__1.173744	820__A0A3E4G2R7__DXC07_00510
ERR1913171.173715__1.173715	33039__R6PAH6__ERS852577_01830
ERR1913171.173981__1.173981	818__A0A0N7I9M6__Btheta7330_00939
ERR1913171.174008__1.174008	33038__A0A2N5NWR8__CDL18_14140
ERR1913171.174019__1.174019	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913171.174085__1.174085	166486__D4KPQ7__ROSINTL182_09065
ERR1913171.174246__1.174246	556259__E5CDQ6__BSGG_3921
ERR1913171.174203__1.174203	418240__A0A174U9H0__folP
ERR1913171.174494__1.174494	28116__A0A1G6G9R4__CUY_0131
ERR1913171.174438__1.174438	820__R7E9Z4__DXC68_06065
ERR1913171.174447__1.174447	820__A0A374QGD2__ERS852421_02382
ERR1913171.174467__1.174467	292800__G9YRQ7__ERS852518_04236
ERR1913171.174500__1.174500	823__K6APS3__DDY96_02400
ERR1913171.174639__1.174639	823__A6LBY1__ERS852380_00510
ERR1913171.174775__1.174775	239935__A0A2N8HT68__ADH72_00510
ERR1913171.174745__1.174745	39491__C4Z872__LD38_07250
ERR1913171.174790__1.174790	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913171.174831__1.174831	40520__A0A174RXB2__DXD81_16980
ERR1913171.174847__1.174847	552398__T5S086__HMPREF0866_01580
ERR1913171.174951__1.174951	823__A0A174PAQ4__ERS852429_04218
ERR1913171.175026__1.175026	821__A0A3E4WAR6__DXD64_10735
ERR1913171.174961__1.174961	901__B6WXD6__DHV46_02215
ERR1913171.175049__1.175049	823__A0A355XKQ8__DHP27_04010
ERR1913171.175122__1.175122	357276__B6VXX7__HMPREF1063_02683
ERR1913171.175288__1.175288	28117__B0MWP2__ALIPUT_01468
ERR1913171.175439__1.175439	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913171.175484__1.175484	818__A0A174VV39__BT_3492
ERR1913171.175750__1.175750	357276__D1K3K9__EL88_23995
ERR1913171.175775__1.175775	544645__A0A3E4SWW3__DXC42_16595
ERR1913171.175802__1.175802	820__A0A174Q0F0__DXB48_08080
ERR1913171.175822__1.175822	357276__A0A076INK2__BSEG_04225
ERR1913171.175947__1.175947	239935__A0A2N8IMD6__CXU03_05585
ERR1913171.175998__1.175998	357276__A0A076IXE0__HMPREF1064_04364
ERR1913171.175999__1.175999	147206__GCF_000156215.1_01776
ERR1913171.176030__1.176030	357276__I9R994__BACDOR_04044
ERR1913171.176044__1.176044	39491__A0A395UWA3__DXB69_11805
ERR1913171.176067__1.176067	47678__R5U6J0__ERS852558_00310
ERR1913171.176081__1.176081	33038__A0A2N5NQ00__HMPREF1201_01708
ERR1913171.176087__1.176087	820__A0A174TRB5__DXD40_11305
ERR1913171.176089__1.176089	487174__K0X1H0__DDY40_11080
ERR1913171.176132__1.176132	387090__S0F7Y3__BACCOPRO_02028
ERR1913171.176192__1.176192	28116__R6JAK2__DXD69_23875
ERR1913171.176290__1.176290	28111__E5WXY3__NCTC11155_00116
ERR1913171.176363__1.176363	820__A0A173W419__DXC68_17760
ERR1913171.176547__1.176547	357276__D1K3K9__EL88_23995
ERR1913171.176694__1.176694	820__A0A3E4QZJ7__C801_01798
ERR1913171.176700__1.176700	556259__E5C445__BSGG_0931
ERR1913171.176729__1.176729	357276__B6W1Y5__IY41_11405
ERR1913171.176749__1.176749	820__A0A078STJ8__DXC68_04690
ERR1913171.176925__1.176925	47678__R5UST1__ERS852558_03505
ERR1913171.177187__1.177187	823__A0A078SYK6__DXB14_02485
ERR1913171.177243__1.177243	357276__I9QDB8__B5F95_08105
ERR1913171.177310__1.177310	649756__B0NYW1__DCR88_01045
ERR1913171.177543__1.177543	1150298__A0A174HG99__ERS852498_00387
ERR1913171.177590__1.177590	1262886__R6QI91__BN563_00800
ERR1913171.177714__1.177714	820__A0A374Q854__HMPREF1073_03281
ERR1913171.177929__1.177929	820__A7VAS1__HMPREF2141_03259
ERR1913171.177961__1.177961	823__A0A174WTX5__DD466_11965
ERR1913171.178025__1.178025	458033__GCA_001482755.1_02203
ERR1913171.178122__1.178122	28117__B0MYI9__BHV66_05415
ERR1913171.178153__1.178153	39491__A0A396FM36__DXB99_00820
ERR1913171.178190__1.178190	360807__C0FN02__ERS852392_01841
ERR1913171.178225__1.178225	1897011__A0A1Q6RF88__BHW41_03295
ERR1913171.178394__1.178394	1262992__R5D8P4__BN795_00650
ERR1913171.178509__1.178509	487174__K0WRI1__DIT83_06780
ERR1913171.178812__1.178812	820__A0A3E4VZF8__C801_00319
ERR1913171.178826__1.178826	28116__A7LYG5__M089_5828
ERR1913171.178884__1.178884	1150298__R7JV71__ERS852498_00755
ERR1913171.178946__1.178946	39491__A0A395V1R3__T1815_08181
ERR1913171.179156__1.179156	1897011__A0A1Q6RDI2__BHW41_05530
ERR1913171.179336__1.179336	166486__A0A1Q6S852__ERS852572_03466
ERR1913171.179451__1.179451	487174__K0X1V7__DIT83_03020
ERR1913171.179535__1.179535	214856__A0A173ZQB9__ERS852559_00006
ERR1913171.179605__1.179605	28116__A0A1Y4Q363__Bovatus_00608
ERR1913171.179727__1.179727	820__A0A174F696__macB_13
ERR1913171.179750__1.179750	246787__A0A0P0GM17__BACCELL_03224
ERR1913171.179886__1.179886	39491__A0A174K9A3__DXB69_07785
ERR1913171.179940__1.179940	371601__D4WBK5__BN891_3970
ERR1913171.179967__1.179967	29361__B6FT65__CLONEX_03342
ERR1913171.179971__1.179971	39486__B0G7R1__DXD10_04295
ERR1913171.180038__1.180038	46503__A7AH78__DD461_04085
ERR1913171.180055__1.180055	818__A0A1H7L4U6__BSIG_3287
ERR1913171.180085__1.180085	820__A0A139K9Q2__DXD40_08795
ERR1913171.180236__1.180236	371601__A0A1Y4VA23__SAMN04487924_1246
ERR1913171.180294__1.180294	28117__B0MXG8__ALIPUT_01814
ERR1913171.180462__1.180462	40518__R5DNY7__RBATCC27255_00367
ERR1913171.180596__1.180596	357276__I9QWN0__ABI39_00335
ERR1913171.180622__1.180622	487174__K0X5B1__DDY40_01695
ERR1913171.180664__1.180664	818__A0A0N7I9M6__Btheta7330_00939
ERR1913171.180708__1.180708	820__A0A3E4W4Y7__B5G17_02055
ERR1913171.180769__1.180769	216816__A0A2U0BT35__BL1206_1860
ERR1913171.181142__1.181142	820__A0A174QLF0__SAMN05444418_109151
ERR1913171.181332__1.181332	214856__A0A173YE57__ERS852559_00126
ERR1913171.181394__1.181394	28117__B0MT73__ALIPUT_00412
ERR1913171.181438__1.181438	357276__I9R994__BACDOR_04044
ERR1913171.181467__1.181467	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1913171.181675__1.181675	823__A0A073I5R7__cloSI
ERR1913171.181920__1.181920	357276__B6W1Y1__BSEG_03960
ERR1913171.181964__1.181964	853__A0A2A7B1Y7__C7K05_11930
ERR1913171.182112__1.182112	820__A0A3E5BMG9__DXD40_05130
ERR1913171.182170__1.182170	1262886__R6QI91__BN563_00800
ERR1913171.182294__1.182294	357276__I9QWN0__ABI39_00335
ERR1913171.182236__1.182236	39491__C4ZCV7__ERE_23110
ERR1913171.182375__1.182375	820__A0A3E4VZY4__ERS852554_01211
ERR1913171.182569__1.182569	204516__U6R898__HMPREF1534_03335
ERR1913171.182604__1.182604	487174__K0XKD7__HMPREF9448_01550
ERR1913171.182735__1.182735	357276__B6W5Q7__DXD47_13945
ERR1913171.182744__1.182744	821__A0A174WBC9__ERS852556_03145
ERR1913171.182759__1.182759	820__A0A174M9V5__M093_0237
ERR1913171.182761__1.182761	28117__B0MWP2__ALIPUT_01468
ERR1913171.182812__1.182812	820__A0A173YYG4__evgS_3
ERR1913171.183137__1.183137	28116__I9TDA4__BACOV975_03134
ERR1913171.183154__1.183154	487174__K0XER9__DDY40_08885
ERR1913171.183162__1.183162	40518__R5DMZ0__DXD83_05610
ERR1913171.183320__1.183320	292800__A0A174VWN6__HMPREF9460_03556
ERR1913171.183347__1.183347	357276__A0A076IN30__DXD47_09350
ERR1913171.183396__1.183396	357276__D1K3K9__EL88_23995
ERR1913171.183436__1.183436	28117__R7JN92__BHV66_00550
ERR1913171.183539__1.183539	454154__G5ST93__HMPREF9441_02594
ERR1913171.183553__1.183553	823__A6LEF3__ERS852560_01356
ERR1913171.183736__1.183736	84112__F0HQA3__Elen_0032
ERR1913171.183755__1.183755	246787__A0A3D6AZF8__BACCELL_02529
ERR1913171.183805__1.183805	820__A0A139KHD8__ERS417307_00569
ERR1913171.183900__1.183900	820__A0A078S4C2__ERS417307_00828
ERR1913171.183965__1.183965	853__A0A2A7B1Y7__C7K05_11930
ERR1913171.184074__1.184074	818__A0A139KQP8__BJP75_006755
ERR1913171.184097__1.184097	853__A0A174C5M1__CGS58_04460
ERR1913171.184126__1.184126	418240__A0A173ZAZ4__ERS852478_00637
ERR1913171.184185__1.184185	39492__D4JUP6__ERS852540_01404
ERR1913171.184248__1.184248	820__R9I3N4__M093_0061
ERR1913171.184369__1.184369	40518__R5DZ88__DXD93_06320
ERR1913171.184568__1.184568	33039__A0A174YJ10__ERS852502_01829
ERR1913171.184577__1.184577	39491__A0A395ZG74__licR
ERR1913171.184626__1.184626	821__A0A174WBC9__ERS852556_03145
ERR1913171.184689__1.184689	239935__A0A2N8HUU6__CXT90_06150
ERR1913171.184833__1.184833	818__A0A0N7I9H8__ERS852461_00040
ERR1913171.185094__1.185094	820__R7E9Z4__DXC68_06065
ERR1913171.185204__1.185204	28116__I8Y7V6__HMPREF1017_02728
ERR1913171.185253__1.185253	823__D7IT19__DHP27_03495
ERR1913171.185259__1.185259	745368__A0A1T4YBU5__SAMN02745178_02911
ERR1913171.185388__1.185388	47678__R5U7M7__CGC64_14730
ERR1913171.185696__1.185696	820__A0A1T4IY71__HMPREF2141_02402
ERR1913171.185741__1.185741	820__R9HVB9__DXC68_17285
ERR1913171.185794__1.185794	47678__R5UUS9__ERS852558_01432
ERR1913171.185846__1.185846	39486__B0G1Y1__DXD82_09465
ERR1913171.185941__1.185941	214856__A0A174H3U9__ERS852559_00612
ERR1913171.185905__1.185905	40518__R5DVR2__RBL236_00303
ERR1913171.186224__1.186224	820__A0A3E4RUC4__DHU98_02635
ERR1913171.186342__1.186342	1628085__A0A374VLY7__C7386_10688
ERR1913171.186405__1.186405	28117__B0MTV0__BHV66_06395
ERR1913171.186472__1.186472	487174__K0XG81__HMPREF9448_02274
ERR1913171.186532__1.186532	357276__B6W1J2__BACDOR_03380
ERR1913171.186670__1.186670	818__A0A0N7I9M6__Btheta7330_00939
ERR1913171.186842__1.186842	1262992__R5D1T0__BN795_01079
ERR1913171.186875__1.186875	39491__A0A396FJJ9__DXB76_11995
ERR1913171.186988__1.186988	820__A0A3E4G8F8__ERS852421_01645
ERR1913171.187327__1.187327	39491__A0A395UZZ5__htpG_1
ERR1913171.187332__1.187332	820__A0A173WZS4__DXD90_10250
ERR1913171.187256__1.187256	1262911__R6GZW9__BN557_00833
ERR1913171.187260__1.187260	47678__A5ZG68__ERS852494_02968
ERR1913171.187377__1.187377	357276__I9F327__DXD47_22495
ERR1913171.187561__1.187561	204516__U6R8I1__HMPREF1534_03341
ERR1913171.187730__1.187730	40518__R5E2R8__nnr_2
ERR1913171.187739__1.187739	40518__R5DUG7__sbcC
ERR1913171.187780__1.187780	820__A0A174TRB5__DXD40_11305
ERR1913171.187881__1.187881	357276__A0A076IKP7__BACDOR_04239
ERR1913171.187882__1.187882	292800__H1C6M9__ERS852518_00105
ERR1913171.187941__1.187941	544645__A0A3D2DU60__DXC42_05785
ERR1913171.187985__1.187985	823__C7XA51__BDI_0499
ERR1913171.188092__1.188092	745368__A0A1T4XN25__SAMN02745178_02084
ERR1913171.188184__1.188184	820__A0A396EWL3__ERS417307_03868
ERR1913171.188365__1.188365	487174__K0WS78__HMPREF9448_02825
ERR1913171.188489__1.188489	1550024__G9RVD5__ASJ35_04350
