ERR1913261.83__1.83	1150298__A0A174AM35__ERS852498_00645
ERR1913261.110012__1.110012	106588__A6NUL8__BACCAP_01900
ERR1913261.110090__1.110090	39491__A0A395V464__EUBREC_1509
ERR1913261.110098__1.110098	1262922__R6E4S1__BN487_00090
ERR1913261.110121__1.110121	357276__A0A076IXE0__HMPREF1064_04364
ERR1913261.110124__1.110124	39491__D4JMW8__ERS852497_01971
ERR1913261.110814__1.110814	1262922__R6E682__BN487_01726
ERR1913261.110834__1.110834	39491__A0A396FKI0__DXC13_11560
ERR1913261.111014__1.111014	1262933__R7PA34__BN736_01673
ERR1913261.111091__1.111091	39491__A0A395V0H3__ERS852417_01192
ERR1913261.111406__1.111406	1965537__A0A1Y4WD84__B5E42_16800
ERR1913261.111608__1.111608	853__A0A329UEG4__CHR60_00585
ERR1913261.111667__1.111667	39485__A0A174YMI9__cph2_5
ERR1913261.111808__1.111808	28117__B0MZ50__ALIPUT_02424
ERR1913261.111939__1.111939	1262980__R5BZQ1__BN814_00049
ERR1913261.111984__1.111984	39491__A0A395ZBW8__DXC13_08840
ERR1913261.111996__1.111996	1262922__R6EVJ0__BN487_00736
ERR1913261.112080__1.112080	28117__B0MVL5__BHV66_01660
ERR1913261.112114__1.112114	39491__A0A3E4YFT8__DXB69_10940
ERR1913261.112132__1.112132	1262922__R6E9J4__BN487_00738
ERR1913261.112471__1.112471	823__C7XBX3__HMPREF1059_03212
ERR1913261.112507__1.112507	1262922__R6EYJ3__BN487_01212
ERR1913261.112682__1.112682	823__A0A078TL61__ERS852429_00610
ERR1913261.112695__1.112695	39491__A0A395ZHV7__ykvU
ERR1913261.112851__1.112851	39491__A0A396FSR4__ERS852580_02287
ERR1913261.112927__1.112927	1262922__R6E736__BN487_01852
ERR1913261.113063__1.113063	328814__GCA_004558275.1_00067
ERR1913261.113143__1.113143	371601__R6JE01__SAMN05216250_10396
ERR1913261.113227__1.113227	1160721__R6TBU4__BHW50_04080
ERR1913261.113248__1.113248	821__A0A397WGD6__M098_0084
ERR1913261.113396__1.113396	823__A6LER2__ERS852513_00365
ERR1913261.113444__1.113444	853__A0A173XRA8__CGS56_09290
ERR1913261.113489__1.113489	2108523__A0A2P2FD79__LAWASA_4034
ERR1913261.113500__1.113500	360807__A0A0M6X0M8__ERS852444_00740
ERR1913261.113540__1.113540	28117__B0N028__BHV66_05935
ERR1913261.113563__1.113563	1262922__R6EDI1__BN487_01092
ERR1913261.113655__1.113655	487174__K0X2A4__DDY40_04095
ERR1913261.113913__1.113913	39491__A0A174EQV2__DXB69_10230
ERR1913261.114094__1.114094	39491__C4ZCV5__DXB99_11855
ERR1913261.114178__1.114178	28117__R7JH62__BHV66_05735
ERR1913261.114211__1.114211	39491__A0A395ZFH9__ERS852417_01193
ERR1913261.114319__1.114319	1262922__R6E8Z6__BN487_01791
ERR1913261.114443__1.114443	39491__A0A395ZGU6__ERS852417_01456
ERR1913261.114417__1.114417	2108523__A0A2P2FCH9__LAWASA_3756
ERR1913261.114514__1.114514	160404__R6QVK4__SAMN02745138_00269
ERR1913261.114592__1.114592	1262933__R7PBW4__BN736_01558
ERR1913261.114749__1.114749	357276__I9QBT7__BSEG_03340
ERR1913261.114784__1.114784	1263000__R5EWT9__BN466_02076
ERR1913261.114792__1.114792	1262945__R6YJW5__BN600_00526
ERR1913261.114930__1.114930	1262922__R6EBN7__BN487_01095
ERR1913261.114978__1.114978	1262922__R6E219__BN487_00678
ERR1913261.115076__1.115076	823__D7ILK2__ERS852380_00031
ERR1913261.115303__1.115303	1262933__R7PAJ4__BN736_00159
ERR1913261.115449__1.115449	39491__A0A2U2EKL1__ERS852580_00911
ERR1913261.115501__1.115501	39496__A5Z5I2__EUBVEN_00963
ERR1913261.115510__1.115510	39491__C4ZCV5__DXB99_11855
ERR1913261.116412__1.116412	1262933__R7PCN4__BN736_01780
ERR1913261.116483__1.116483	214856__A0A174Z9G9__ERS852447_00497
ERR1913261.116537__1.116537	487174__K0XLV6__DIT83_00940
ERR1913261.116552__1.116552	39491__A0A396FS17__envC
ERR1913261.116640__1.116640	2108523__A0A2P2FCI3__LAWASA_3749
ERR1913261.116983__1.116983	39491__A0A396FRK0__ERS852417_00541
ERR1913261.117087__1.117087	1262922__R6EDI1__BN487_01092
ERR1913261.117207__1.117207	821__C6Z087__DXB90_00750
ERR1913261.117288__1.117288	39491__A0A395V464__EUBREC_1509
ERR1913261.117330__1.117330	214856__I3YMN6__Alfi_1938
ERR1913261.117439__1.117439	1160721__W0U2H8__BHW50_07775
ERR1913261.117630__1.117630	39491__A0A396FMF1__EUR_28700
ERR1913261.117730__1.117730	39491__A0A174K9A3__DXB69_07785
ERR1913261.117841__1.117841	821__A0A3E4HP25__SAMN04487923_102450
ERR1913261.117887__1.117887	1262922__R6EAM2__BN487_00919
ERR1913261.117912__1.117912	1262933__R7PE73__BN736_00490
ERR1913261.117970__1.117970	1501391__GCA_000786575.1_00128
ERR1913261.118049__1.118049	39491__A0A395ZBQ4__cph2_2
ERR1913261.118062__1.118062	1262933__R7PB79__BN736_00852
ERR1913261.118066__1.118066	1262922__R6ECX9__BN487_01332
ERR1913261.118189__1.118189	214856__A0A173YE57__ERS852559_00126
ERR1913261.118284__1.118284	39491__C4ZHS4__EUR_24420
ERR1913261.118352__1.118352	1150298__A0A174QSP7__ERS852406_03088
ERR1913261.118429__1.118429	40518__R5DZB1__DXD83_08840
ERR1913261.118441__1.118441	39491__A0A2U2EKL1__ERS852580_00911
ERR1913261.118569__1.118569	39485__C4Z6N2__EUBELI_20479
ERR1913261.118584__1.118584	2108523__A0A2P2FDD9__LAWASA_4026
ERR1913261.118680__1.118680	853__A0A173YYY4__DWZ04_09420
ERR1913261.118709__1.118709	160404__R6PSH0__B5G26_00810
ERR1913261.118773__1.118773	1262933__R7P731__BN736_01291
ERR1913261.118801__1.118801	160404__R6Q3S3__B5G26_06345
ERR1913261.118860__1.118860	823__D7IV95__DXC05_09565
ERR1913261.118971__1.118971	39491__C4Z9D4__DXD95_00055
ERR1913261.119063__1.119063	1501391__GCA_000786575.1_00052
ERR1913261.119188__1.119188	39491__A0A396FQV7__T1815_10751
ERR1913261.119398__1.119398	39491__D6E2U1__EUBREC_3278
ERR1913261.119565__1.119565	39491__R6TQ09__DXC13_03010
ERR1913261.119826__1.119826	39491__A0A395ZBW8__DXC13_08840
ERR1913261.119782__1.119782	44742__A0A120KNE2__AXF13_12405
ERR1913261.119962__1.119962	1262922__R6E5W2__BN487_01361
ERR1913261.120014__1.120014	823__A0A355XP97__M092_2525
ERR1913261.120093__1.120093	1465754__A0A1H4AV40__SAMN05444145_103130
ERR1913261.120361__1.120361	1262824__R6RRF1__BN719_00389
ERR1913261.120408__1.120408	1263000__R5EK63__BN466_02075
ERR1913261.120458__1.120458	1262922__R6EDI1__BN487_01092
ERR1913261.120640__1.120640	46228__V8BYC1__RUMLAC_00426
ERR1913261.120641__1.120641	823__A0A355XN36__DXB14_02385
ERR1913261.120697__1.120697	39491__C4ZC33__DXC13_11585
ERR1913261.120777__1.120777	357276__A0A0K2HF54__HMPREF1063_03537
ERR1913261.120839__1.120839	28117__B0MY40__BHV66_05170
ERR1913261.120913__1.120913	1263000__R5EFY3__BN466_01416
ERR1913261.120943__1.120943	1150298__A0A174I6Y0__ERS852498_00576
ERR1913261.121011__1.121011	39491__A0A395ZE48__DXB76_02395
ERR1913261.121030__1.121030	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913261.121088__1.121088	1099853__U5CMG7__NSB1T_07970
ERR1913261.121145__1.121145	39491__A0A395ZG74__licR
ERR1913261.121391__1.121391	39491__A0A396FM36__DXB99_00820
ERR1913261.121486__1.121486	1465754__A0A1H4DFH7__SAMN05444145_105267
ERR1913261.121584__1.121584	1160721__W0U8M9__RBI_II00386
ERR1913261.121666__1.121666	1262933__R7P8L6__BN736_01776
ERR1913261.121765__1.121765	28117__B0MYI9__BHV66_05415
ERR1913261.121789__1.121789	39486__B0G2J6__DXB12_13190
ERR1913261.121997__1.121997	1262933__R7PEZ3__BN736_00729
ERR1913261.122145__1.122145	821__A0A174WBC9__ERS852556_03145
ERR1913261.122189__1.122189	46228__V8BRM9__HMPREF1202_02379
ERR1913261.122380__1.122380	1150298__A0A174QSP7__ERS852406_03088
ERR1913261.122389__1.122389	821__C6Z087__DXB90_00750
ERR1913261.122461__1.122461	39491__A0A395ZHV7__ykvU
ERR1913261.122552__1.122552	39491__A0A396FP46__cobD_2
ERR1913261.122639__1.122639	39491__D4JMW8__ERS852497_01971
ERR1913261.122645__1.122645	39491__A0A395ZM93__DXD13_03490
ERR1913261.122681__1.122681	39491__A0A2U2EI54__DXD95_12010
ERR1913261.122719__1.122719	1262922__R6E6U3__BN487_00260
ERR1913261.122731__1.122731	1262792__R6ZCG2__BN593_01586
ERR1913261.122790__1.122790	214856__I3YMN6__Alfi_1938
ERR1913261.122832__1.122832	214856__I3YK71__ERS852559_02472
ERR1913261.122859__1.122859	1262922__R6E195__BN487_00989
ERR1913261.122957__1.122957	1501391__GCA_000786575.1_00006
ERR1913261.123013__1.123013	1150298__A0A174DU21__toxA_3
ERR1913261.123084__1.123084	310298__B3JQJ5__BACCOP_04231
ERR1913261.123193__1.123193	1262989__R6YCD9__BN815_00001
ERR1913261.123245__1.123245	1965629__A0A1Y4B8Y3__B5F88_18835
ERR1913261.123777__1.123777	39491__A0A395V0X2__EUBREC_3007
ERR1913261.123909__1.123909	39491__A0A0M6WNS5__DXC13_02015
ERR1913261.123978__1.123978	39491__A0A396FRE7__EUR_27520
ERR1913261.123981__1.123981	853__D4JY61__C4N21_10560
ERR1913261.124152__1.124152	1262922__R6EG39__BN487_01800
ERR1913261.124283__1.124283	853__A0A174CVG7__CGS58_09335
ERR1913261.124345__1.124345	39491__A0A173VD97__DXB69_07350
ERR1913261.124606__1.124606	1262933__R7PBI2__BN736_00367
ERR1913261.124791__1.124791	39491__A0A396FMT0__EUBREC_3020
ERR1913261.125151__1.125151	1262922__R6E4Q0__BN487_01510
ERR1913261.125486__1.125486	39491__A0A396FTE5__ERS852417_01346
ERR1913261.125594__1.125594	28117__B0MZ14__ALIPUT_02383
ERR1913261.125655__1.125655	1262922__R6E6U3__BN487_00260
ERR1913261.126267__1.126267	2108523__A0A2P2FCH9__LAWASA_3756
ERR1913261.126254__1.126254	39491__A0A396FRE7__EUR_27520
ERR1913261.126296__1.126296	1262989__R6YQ01__BN815_01878
ERR1913261.126513__1.126513	39491__D6E2U1__EUBREC_3278
ERR1913261.127116__1.127116	853__C7H1R8__DW905_06675
ERR1913261.127147__1.127147	39491__A0A395ZGU6__ERS852417_01456
ERR1913261.127254__1.127254	1262922__R6E4Q0__BN487_01510
ERR1913261.127263__1.127263	1150298__A0A174HXS4__ERS852498_00503
ERR1913261.127387__1.127387	28117__B0MWC6__BHV66_00965
ERR1913261.127500__1.127500	39491__A0A395ZEN3__DXD95_12655
ERR1913261.127503__1.127503	821__A0A173WG51__BVU_2549
ERR1913261.127610__1.127610	39491__D6E118__DXB69_05765
ERR1913261.127752__1.127752	76489__A0A1E8EUC5__CLOACE_23150
ERR1913261.127844__1.127844	853__A0A173SUU8__CGS54_06840
ERR1913261.128199__1.128199	1150298__A0A174DSD1__dacB_3
ERR1913261.128319__1.128319	1550024__A0A0D8IYB1__TQ39_12130
ERR1913261.128291__1.128291	1262922__R6DWT1__BN487_00269
ERR1913261.128392__1.128392	1965537__A0A1Y4WLK0__B5E42_08175
ERR1913261.128403__1.128403	1099853__U5CMG7__NSB1T_07970
ERR1913261.128379__1.128379	360807__C0FU45__ERS852392_01591
ERR1913261.128478__1.128478	2108523__A0A2P2FCQ2__LAWASA_3778
ERR1913261.128616__1.128616	1262922__R6E4S1__BN487_00090
ERR1913261.128646__1.128646	39491__A0A0M6WLC7__ERS852497_00640
ERR1913261.128912__1.128912	39491__A0A396FPV7__ERS852580_01177
ERR1913261.128976__1.128976	39485__A0A174Z2K9__ERS852490_02052
ERR1913261.129164__1.129164	2137880__A0A316P0B8__bioD
ERR1913261.129304__1.129304	1262922__R6E290__BN487_01114
ERR1913261.129319__1.129319	1262922__R6EZH3__BN487_01393
ERR1913261.129453__1.129453	28117__B0MY40__BHV66_05170
ERR1913261.129804__1.129804	39491__A0A395ZHW9__DXC13_02590
ERR1913261.129907__1.129907	28117__B0MTI4__ALIPUT_00084
ERR1913261.129936__1.129936	626933__H1DGX0__HMPREF9449_01506
ERR1913261.130054__1.130054	1262922__R6F2R2__BN487_01821
ERR1913261.130064__1.130064	821__A0A174AYT0__DXC02_03530
ERR1913261.130125__1.130125	1550024__A0A0D8IZK5__TQ39_07980
ERR1913261.130151__1.130151	39491__A0A395ZEI6__ERE_07950
ERR1913261.130220__1.130220	1150298__A0A174FT27__ERS852535_01803
ERR1913261.130225__1.130225	556259__I0PXW0__BSGG_5187
ERR1913261.130471__1.130471	39491__A0A395ZJZ1__LD38_01870
ERR1913261.130554__1.130554	487174__K0XJ34__DDY40_06890
ERR1913261.130582__1.130582	39491__A0A173VYV1__DXC13_02710
ERR1913261.130621__1.130621	823__A0A173RD26__B5F32_03910
ERR1913261.130694__1.130694	40518__R5DTH7__DXD83_02405
ERR1913261.130855__1.130855	39491__C4ZAT2__ERE_28440
ERR1913261.130958__1.130958	328814__GCA_004558275.1_00292
ERR1913261.131110__1.131110	1262933__R7PE73__BN736_00490
ERR1913261.131200__1.131200	1150298__R7JNQ8__ERS852406_00857
ERR1913261.131214__1.131214	1965660__A0A1Y3SFA7__B5G34_05840
ERR1913261.131582__1.131582	39491__D6E408__EUBREC_1466
ERR1913261.132183__1.132183	39491__R6TQ09__DXC13_03010
ERR1913261.132426__1.132426	1262933__R7PDZ9__BN736_00494
ERR1913261.132444__1.132444	1262922__R6EE49__BN487_01193
ERR1913261.132605__1.132605	487174__K0WUW8__DDY40_02615
ERR1913261.132902__1.132902	410072__A0A174L267__ERS852525_00949
ERR1913261.132972__1.132972	1262922__R6DWT1__BN487_00269
ERR1913261.133183__1.133183	1150298__A0A174FWV5__ERS852535_01842
ERR1913261.133203__1.133203	28117__B0MT86__BHV66_02450
ERR1913261.133509__1.133509	2108523__A0A2P2FCQ2__LAWASA_3778
ERR1913261.133701__1.133701	1262922__R6F3P6__BN487_01980
ERR1913261.133771__1.133771	1262922__R6E3V4__BN487_00986
ERR1913261.134012__1.134012	1160721__W0U330__BHW50_08125
ERR1913261.134013__1.134013	1150298__R7JUS2__ERS852498_02193
ERR1913261.134038__1.134038	39491__A0A396FMT0__EUBREC_3020
ERR1913261.134285__1.134285	2108523__A0A2P2FDA1__LAWASA_4052
ERR1913261.134353__1.134353	1965538__A0A1Y4W145__B5E43_13055
ERR1913261.134437__1.134437	1262922__R6E6U3__BN487_00260
ERR1913261.134523__1.134523	46228__V8BQP5__HMPREF1202_02378
ERR1913261.134529__1.134529	1262920__R5KD76__BN467_01465
ERR1913261.134547__1.134547	1965537__A0A1Y4WG38__B5E42_12270
ERR1913261.134665__1.134665	39491__A0A395ZF49__DXB69_05290
ERR1913261.134939__1.134939	39491__A0A395UYA6__EUBREC_0408
ERR1913261.134971__1.134971	1160721__W0U3K4__RBI_I00339
ERR1913261.135034__1.135034	39491__A0A396FJV5__ERS852417_00035
ERR1913261.135136__1.135136	1262922__R6EEP0__BN487_01314
ERR1913261.135661__1.135661	745368__A0A1T4Y5S3__SAMN02745178_02736
ERR1913261.135663__1.135663	487174__K0X109__DDY40_03235
ERR1913261.135730__1.135730	1262922__R6F3P6__BN487_01980
ERR1913261.135764__1.135764	328814__GCA_004558275.1_02280
ERR1913261.135859__1.135859	1262792__R6Z7I1__BN593_01796
ERR1913261.136285__1.136285	823__D7IT19__DHP27_03495
ERR1913261.136491__1.136491	46228__V8BL81__DXD17_11825
ERR1913261.136585__1.136585	1262933__R7P962__BN736_01206
ERR1913261.136596__1.136596	1262873__R6WDY4__BN605_01047
ERR1913261.136761__1.136761	328814__GCA_004558275.1_00293
ERR1913261.136859__1.136859	1262933__R7PF93__BN736_00841
ERR1913261.136862__1.136862	1262922__R6EEH5__BN487_01593
ERR1913261.137121__1.137121	39491__A0A0M6WWT1__dus_2
ERR1913261.137175__1.137175	39491__A0A395ZG74__licR
ERR1913261.137336__1.137336	1150298__A0A174PZ15__lytA
ERR1913261.137422__1.137422	1262933__R7PCX2__BN736_01897
ERR1913261.137519__1.137519	1262933__R7PE73__BN736_00490
ERR1913261.137542__1.137542	39491__C4ZF05__vpr
ERR1913261.137587__1.137587	2137880__A0A316NRP1__DBY21_06500
ERR1913261.137681__1.137681	39485__C4Z389__ERS852490_01920
ERR1913261.137639__1.137639	28117__B0MZ50__ALIPUT_02424
ERR1913261.137835__1.137835	1262922__R6EEP0__BN487_01314
ERR1913261.137791__1.137791	39491__A0A395ZHW3__ERS852417_01359
ERR1913261.137799__1.137799	39491__A0A396FRK0__ERS852417_00541
ERR1913261.137899__1.137899	39485__R5ZNS8__rsmG
ERR1913261.138133__1.138133	2108523__A0A2P2F4E1__LAWASA_871
ERR1913261.138249__1.138249	544645__A0A3E4TA01__DXC42_07540
ERR1913261.138395__1.138395	1262920__R5KD76__BN467_01465
ERR1913261.138478__1.138478	1262922__R6EZ98__BN487_01346
ERR1913261.138683__1.138683	853__A0A2A7B9I6__DW855_13690
ERR1913261.138868__1.138868	818__R7KVH8__SAMN02910322_00597
ERR1913261.138952__1.138952	28117__B0N007__BHV66_10275
ERR1913261.138994__1.138994	46228__B5CTC0__RUMLAC_02743
ERR1913261.139242__1.139242	853__A0A173XRA8__CGS56_09290
ERR1913261.139278__1.139278	823__A6LDT7__CEQ22_002595
ERR1913261.139871__1.139871	39491__A0A173QT73__alaS_2
ERR1913261.140118__1.140118	1501391__GCA_000786575.1_00024
ERR1913261.140187__1.140187	301301__A0A395V8C2__rhaR_3
ERR1913261.140281__1.140281	28117__B0MWC6__BHV66_00965
ERR1913261.140220__1.140220	1965537__A0A1Y4WQA6__B5E42_02750
ERR1913261.140593__1.140593	1262933__R7PAH1__BN736_00085
ERR1913261.140549__1.140549	39488__C0F0P7__ERS852578_02651
ERR1913261.140689__1.140689	1262922__R6E8C9__BN487_00223
ERR1913261.140833__1.140833	1501391__GCA_000786575.1_00025
ERR1913261.140915__1.140915	821__A0A3E4HP25__SAMN04487923_102450
ERR1913261.140983__1.140983	1263000__R5EFY3__BN466_01416
ERR1913261.141508__1.141508	39491__A0A395V0E5__ERE_31370
ERR1913261.141723__1.141723	1262933__R7PDJ8__BN736_00265
ERR1913261.141756__1.141756	39491__A0A395V0H6__ERS852580_02570
ERR1913261.141961__1.141961	1501391__GCA_000786575.1_00080
ERR1913261.142144__1.142144	28117__B0MU57__ALIPUT_00175
ERR1913261.142293__1.142293	1262922__R6E8V3__BN487_01763
ERR1913261.142495__1.142495	39491__A0A395ZJZ1__LD38_01870
ERR1913261.142435__1.142435	291645__I9S0N1__HMPREF1068_02854
ERR1913261.142448__1.142448	292800__A0A1C7FR40__ERS852518_06781
ERR1913261.142662__1.142662	1262945__R6YP45__BN600_01845
ERR1913261.142911__1.142911	1262922__R6E290__BN487_01114
ERR1913261.143061__1.143061	823__K6APS3__DDY96_02400
ERR1913261.143044__1.143044	823__A0A174W1A8__panE
ERR1913261.143345__1.143345	328814__GCA_004558275.1_00035
ERR1913261.143406__1.143406	39491__C4ZCH3__EUR_17560
ERR1913261.143628__1.143628	821__R6F3Y1__SAMN04487923_104318
ERR1913261.143743__1.143743	39491__C4Z9K7__EUBREC_0050
ERR1913261.143807__1.143807	853__A0A2J4JL53__CRH10_10795
ERR1913261.143942__1.143942	1501391__GCA_000786575.1_00030
ERR1913261.144034__1.144034	1262922__R6E6V1__BN487_00270
ERR1913261.144051__1.144051	39491__A0A395UZ82__EUR_31520
ERR1913261.144175__1.144175	28117__R7JQW0__ALIPUT_01453
ERR1913261.144268__1.144268	328814__GCA_004558275.1_02167
ERR1913261.144426__1.144426	1262922__R6E0J0__BN487_00426
ERR1913261.144449__1.144449	1965537__A0A1Y4WGE4__B5E42_12740
ERR1913261.144454__1.144454	1262922__R6E4Q0__BN487_01510
ERR1913261.144503__1.144503	626932__G5H6M5__HMPREF9450_00585
ERR1913261.144513__1.144513	1262922__R6E9U7__BN487_01899
ERR1913261.144886__1.144886	1796613__A0A1C7H7K4__ADH74_11665
ERR1913261.144895__1.144895	39485__A0A174Z851__cdaR_1
ERR1913261.144865__1.144865	1465754__A0A1H4DTE1__SAMN05444145_10611
ERR1913261.145355__1.145355	160404__A0A1Y3TT09__SAMN02745138_03131
ERR1913261.145371__1.145371	1965537__A0A1Y4WKU8__B5E42_05475
ERR1913261.145427__1.145427	39491__A0A396FJJ9__DXB76_11995
ERR1913261.145622__1.145622	39491__A0A395ZG74__licR
ERR1913261.145674__1.145674	1263000__R5ECJ8__BN466_00781
ERR1913261.145837__1.145837	821__A0A396ER29__ERS852457_02298
ERR1913261.145922__1.145922	39491__C4ZHS4__EUR_24420
ERR1913261.145949__1.145949	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913261.146135__1.146135	823__A6LB63__M095_1847
ERR1913261.146381__1.146381	39483__U2PN26__HMPREF0367_01016
ERR1913261.146647__1.146647	671267__R9IB12__C802_00696
ERR1913261.146923__1.146923	39491__A0A174G6M3__DXD13_14470
ERR1913261.146952__1.146952	39485__A0A174YZZ2__ERS852492_00215
ERR1913261.147293__1.147293	39491__A0A395UZ89__DXB72_12805
ERR1913261.147398__1.147398	1262922__R6EA90__BN487_00523
ERR1913261.147363__1.147363	39491__C4ZD70__LD38_03510
ERR1913261.147444__1.147444	823__A0A355XP97__M092_2525
ERR1913261.147453__1.147453	1262933__R7P8L6__BN736_01776
ERR1913261.147518__1.147518	39491__C4Z9K0__DXD95_07445
ERR1913261.147570__1.147570	28117__R7JPX7__BHV66_00900
ERR1913261.147662__1.147662	823__A0A069S0G2__DXB14_03195
ERR1913261.147749__1.147749	39491__A0A396FKI0__DXC13_11560
ERR1913261.147755__1.147755	820__A0A139K8N1__ERS852554_00951
ERR1913261.147795__1.147795	28117__B0MTV0__BHV66_06395
ERR1913261.147948__1.147948	39491__A0A395ZF49__DXB69_05290
ERR1913261.148167__1.148167	1262933__R7PB71__BN736_00008
ERR1913261.148183__1.148183	1262922__R6ECW3__BN487_01323
ERR1913261.148263__1.148263	39496__A5Z5I2__EUBVEN_00963
ERR1913261.149064__1.149064	1262933__R7P8T1__BN736_00162
ERR1913261.149070__1.149070	39483__D4JFK8__B5G15_05950
ERR1913261.149166__1.149166	46228__V8C9H7__RUMLAC_01008
ERR1913261.149121__1.149121	46503__R6Y2Q2__DCY29_15375
ERR1913261.149345__1.149345	2108523__A0A2P2F3I3__LAWASA_548
ERR1913261.149483__1.149483	40518__R5DVX3__RBL263_01584
ERR1913261.149566__1.149566	1262922__R6E290__BN487_01114
ERR1913261.149595__1.149595	1262783__R6D646__BN558_00756
ERR1913261.150165__1.150165	1262922__R6E4Q0__BN487_01510
ERR1913261.150261__1.150261	28117__R7JJM9__ALIPUT_00662
ERR1913261.150464__1.150464	823__A6LBY1__ERS852380_00510
ERR1913261.150467__1.150467	1501391__GCA_000786575.1_00146
ERR1913261.150742__1.150742	1262922__R6E195__BN487_00989
ERR1913261.150828__1.150828	46228__V8C3Z1__RUMLAC_02619
ERR1913261.151352__1.151352	853__A0A173T751__C4N24_10280
ERR1913261.151401__1.151401	39491__A0A396FIZ8__ERE_20410
ERR1913261.151409__1.151409	1262922__R6EAK5__BN487_00566
ERR1913261.151568__1.151568	301302__A0A0M6WF57__M72_22681
ERR1913261.151799__1.151799	39491__A0A396FM36__DXB99_00820
ERR1913261.151887__1.151887	46503__R6X0P0__DXB61_03855
ERR1913261.151957__1.151957	216816__C2GUV2__APC1478_0430
ERR1913261.151986__1.151986	39491__A0A395ZEI6__ERE_07950
ERR1913261.152337__1.152337	39485__A0A174YNF6__lytR_1
ERR1913261.152523__1.152523	39491__C4ZCH3__EUR_17560
ERR1913261.152749__1.152749	1262922__R6E290__BN487_01114
ERR1913261.152925__1.152925	853__A0A2A7A4A9__C4N21_14870
ERR1913261.153019__1.153019	39488__A0A374N483__ERS852578_01412
ERR1913261.153025__1.153025	1262922__R6E3T8__BN487_00972
ERR1913261.153064__1.153064	2108523__A0A2P2FEH2__LAWASA_4478
ERR1913261.153236__1.153236	28118__R6FY14__NCTC10826_00745
ERR1913261.153656__1.153656	44742__A0A109W4N0__AXF13_11490
ERR1913261.153729__1.153729	40518__R5E0F2__RBATCC27255_01890
ERR1913261.154167__1.154167	1150298__A0A174HG99__ERS852498_00387
ERR1913261.154447__1.154447	487174__K0X429__HMPREF9448_00932
ERR1913261.154663__1.154663	39491__D4JMW8__ERS852497_01971
ERR1913261.154840__1.154840	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913261.154790__1.154790	487174__K0X6A4__HMPREF9448_00105
ERR1913261.154821__1.154821	1262989__R6YQN6__BN815_00189
ERR1913261.154936__1.154936	1262922__R6E5H3__BN487_01250
ERR1913261.155235__1.155235	39491__A0A396FJA4__DXB99_05435
ERR1913261.155236__1.155236	328814__GCA_004558275.1_00074
ERR1913261.155584__1.155584	1262922__R6E4W9__BN487_01554
ERR1913261.155593__1.155593	649756__B0NWY4__blaR1_3
ERR1913261.155685__1.155685	1965631__A0A1Y4APU2__B5F90_03005
ERR1913261.155698__1.155698	28117__B0MWH8__BHV66_01330
ERR1913261.155831__1.155831	823__A0A174VHT1__DHP27_04775
ERR1913261.155980__1.155980	1262889__R7H889__BN634_02048
ERR1913261.156143__1.156143	1262922__R6E6U3__BN487_00260
ERR1913261.156269__1.156269	1263000__R5EEL2__BN466_01100
ERR1913261.156183__1.156183	39485__R5ZZA6__ERS852490_00168
ERR1913261.156214__1.156214	47678__R5U9Z6__HMPREF1061_03205
ERR1913261.156926__1.156926	160404__R6PTP1__SAMN02745138_00248
ERR1913261.157116__1.157116	39491__A0A395V0H3__ERS852417_01192
ERR1913261.157192__1.157192	39491__A0A395V5R3__EUBREC_1883
ERR1913261.157224__1.157224	1262922__R6E5H3__BN487_01250
ERR1913261.157474__1.157474	360807__C0FP30__ROSEINA2194_00482
ERR1913261.157629__1.157629	46228__B5CMW7__DXD17_11810
ERR1913261.157801__1.157801	160404__R6Q1G0__B5G26_04630
ERR1913261.157754__1.157754	487174__K0WRP3__HMPREF9448_02660
ERR1913261.157821__1.157821	1262922__R6EXU8__BN487_01099
ERR1913261.157861__1.157861	853__C7H7F8__yccM_1
ERR1913261.157946__1.157946	39491__C4ZF05__vpr
ERR1913261.158183__1.158183	384639__GCA_003096855.1_00253
ERR1913261.158394__1.158394	357276__B6W1Y5__IY41_11405
ERR1913261.158460__1.158460	649756__D4MXW9__ERS852520_02286
ERR1913261.158530__1.158530	39491__C4ZHS4__EUR_24420
ERR1913261.158553__1.158553	39491__A0A396FMT0__EUBREC_3020
ERR1913261.158745__1.158745	360807__C0FVV2__RIL183_27361
ERR1913261.158942__1.158942	487174__K0WT65__HMPREF9448_02407
ERR1913261.159103__1.159103	39491__A0A395V297__EUR_01010
ERR1913261.159126__1.159126	1262922__R6E3T8__BN487_00972
ERR1913261.159522__1.159522	29361__B6FRT6__CLONEX_02860
ERR1913261.159568__1.159568	1262922__R6E8Z6__BN487_01791
ERR1913261.159576__1.159576	1262922__R6E3S7__BN487_01394
ERR1913261.159743__1.159743	1262922__R6EVM4__BN487_00759
ERR1913261.159846__1.159846	823__A0A355XIK0__CEQ22_011965
ERR1913261.159921__1.159921	39491__C4ZAT2__ERE_28440
ERR1913261.160184__1.160184	823__A0A355XFH7__ERS852513_00769
ERR1913261.160317__1.160317	471189__GCA_003340385.1_00565
ERR1913261.160687__1.160687	1150298__R7JTY5__ERS852406_02079
