ERR1913276.154__1.154	1262929__R6EXF7__BN691_00015
ERR1913276.106959__1.106959	239935__R7E524__CXT91_06180
ERR1913276.107182__1.107182	165179__A0A3E5AEF7__DXC61_05000
ERR1913276.107205__1.107205	10742__GeneID:1262491
ERR1913276.107280__1.107280	1680__A7A7Z9__AAX71_05385
ERR1913276.107372__1.107372	357276__D1K3K9__EL88_23995
ERR1913276.107658__1.107658	626929__F3PKG7__SAMN05444376_0720
ERR1913276.107688__1.107688	239935__A0A2N8I3G2__CXT89_00720
ERR1913276.107794__1.107794	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913276.107858__1.107858	823__A0A355XH29__lolE_1
ERR1913276.108046__1.108046	1680__R5GR82__AD0028_0014
ERR1913276.108050__1.108050	40518__R5DUG7__sbcC
ERR1913276.108145__1.108145	1099853__U5CFJ1__NSB1T_13500
ERR1913276.108278__1.108278	84030__D4CFA9__B5F06_00075
ERR1913276.108336__1.108336	47678__R5U9M8__CGC64_07665
ERR1913276.108252__1.108252	239935__A0A2N8IVR0__CXT87_07115
ERR1913276.108557__1.108557	33039__A0A174YA68__ribU
ERR1913276.108597__1.108597	1262743__R5C054__BN727_01980
ERR1913276.108680__1.108680	820__A0A139KEW8__DXB64_06405
ERR1913276.108728__1.108728	1262743__R5C054__BN727_01980
ERR1913276.108866__1.108866	820__A0A174QLF0__SAMN05444418_109151
ERR1913276.109333__1.109333	147206__GCF_000156215.1_01108
ERR1913276.109337__1.109337	39492__D4JU30__EUBSIR_00838
ERR1913276.109363__1.109363	363265__R6EW17__HMPREF0673_02095
ERR1913276.109406__1.109406	820__A0A396EWL3__ERS417307_03868
ERR1913276.109609__1.109609	1262929__R6EX87__BN691_01422
ERR1913276.109656__1.109656	39492__D4MIY5__EUBSIR_00233
ERR1913276.109695__1.109695	40518__R5E6K5__speA
ERR1913276.109815__1.109815	357276__I9QBT7__BSEG_03340
ERR1913276.110090__1.110090	39491__D6E555__DXB99_06765
ERR1913276.110164__1.110164	1262929__R6FV83__BN691_00675
ERR1913276.110399__1.110399	1262924__R7HUJ5__BN585_00830
ERR1913276.110374__1.110374	818__A0A0P0F2P7__BT_1771
ERR1913276.110525__1.110525	28116__A0A1Y4PVG3__imd
ERR1913276.110473__1.110473	47678__R5UET0__BACCAC_02656
ERR1913276.110496__1.110496	706562__GCA_900112995.1_02104
ERR1913276.110504__1.110504	28116__I9ST00__M088_5588
ERR1913276.110613__1.110613	28117__R7JJM9__ALIPUT_00662
ERR1913276.110668__1.110668	214856__A0A174A1J3__ERS852447_01000
ERR1913276.110977__1.110977	165179__A0A3E5E8N5__DXC61_13460
ERR1913276.111069__1.111069	823__D7IV95__DXC05_09565
ERR1913276.111121__1.111121	33039__A0A174XLA4__araR
ERR1913276.111321__1.111321	387661__K6A2L3__B5F96_00975
ERR1913276.111323__1.111323	1262911__R6GN99__BN557_01784
ERR1913276.111459__1.111459	1550024__G9RW08__ASJ35_03155
ERR1913276.111633__1.111633	823__D7IT19__DHP27_03495
ERR1913276.111768__1.111768	39492__D4JRZ7__smc
ERR1913276.111873__1.111873	360807__C0FVL1__ERS852392_00394
ERR1913276.112123__1.112123	214856__A0A174A0R8__ERS852447_00998
ERR1913276.112374__1.112374	374840__GeneID:2546403
ERR1913276.112404__1.112404	28117__B0MU57__ALIPUT_00175
ERR1913276.112481__1.112481	214856__I3YPQ8__ERS852447_01371
ERR1913276.112523__1.112523	1780381__A0A143ZVW4__BN3661_01482
ERR1913276.112601__1.112601	820__A0A3E4W9W8__C801_01069
ERR1913276.112606__1.112606	818__Q8A0V7__BSIG_2755
ERR1913276.112643__1.112643	487174__K0X347__DIT83_07775
ERR1913276.112662__1.112662	165179__A0A3E5AG99__DXB80_04390
ERR1913276.112683__1.112683	46228__V8CH54__RUMLAC_00903
ERR1913276.112909__1.112909	28117__R7JIJ8__BHV66_01635
ERR1913276.113055__1.113055	33039__D4M6I1__nadB_2
ERR1913276.113323__1.113323	853__A0A2A7B1Y7__C7K05_11930
ERR1913276.113456__1.113456	28117__B0MY41__BHV66_05165
ERR1913276.113478__1.113478	165179__A0A3E5DV57__DXB80_11400
ERR1913276.113667__1.113667	39492__D4JR31__EUBSIR_00106
ERR1913276.114210__1.114210	357276__A0A0M1VZP2__IY41_00605
ERR1913276.114419__1.114419	853__A0A2A7B1Y7__C7K05_11930
ERR1913276.114346__1.114346	328814__GCA_004558275.1_00007
ERR1913276.114349__1.114349	853__A8S882__C4N23_07600
ERR1913276.114500__1.114500	1263006__R6LWF1__BN515_02111
ERR1913276.114568__1.114568	357276__A0A0K2HJA6__DXD47_07320
ERR1913276.114702__1.114702	853__A0A174C5M1__CGS58_04460
ERR1913276.115020__1.115020	572010__rpoA
ERR1913276.114993__1.114993	214856__A0A175A6T5__ERS852447_02658
ERR1913276.115164__1.115164	214856__A0A174FWM7__ERS852559_00590
ERR1913276.115131__1.115131	214856__R6XS46__ERS852559_00812
ERR1913276.115250__1.115250	817__A0A139SZA0__DXD74_11670
ERR1913276.115608__1.115608	214856__A0A174G1M7__ERS852559_00594
ERR1913276.115867__1.115867	46228__B5CPF2__RUMLAC_01345
ERR1913276.115898__1.115898	216816__D6DBD5__DXC32_04335
ERR1913276.116225__1.116225	820__A7V049__DXB48_04755
ERR1913276.116366__1.116366	820__A7V470__HMPREF1072_02076
ERR1913276.116551__1.116551	820__R9I2U8__DXC68_09590
ERR1913276.116601__1.116601	28117__B0MWP2__ALIPUT_01468
ERR1913276.116604__1.116604	214856__A0A174ZB00__ERS852559_00631
ERR1913276.116667__1.116667	818__R7KWE7__HMPREF2534_03255
ERR1913276.117079__1.117079	1262746__R5SRE2__BN750_01171
ERR1913276.117162__1.117162	1680__A0A174BEE7__BSTER_1311
ERR1913276.117297__1.117297	1965604__A0A1Y4EVK4__B5F54_11290
ERR1913276.117463__1.117463	39492__D4JVC7__yfgF
ERR1913276.117392__1.117392	28052__A0A174GFL5__ERS852451_00478
ERR1913276.117480__1.117480	817__D1JRG3__M076_0507
ERR1913276.117507__1.117507	328814__GCA_004558275.1_00992
ERR1913276.117514__1.117514	74426__rpoB
ERR1913276.117533__1.117533	39488__A0A173RU01__EUBHAL_00881
ERR1913276.117541__1.117541	214856__R6XS46__ERS852559_00812
ERR1913276.117545__1.117545	487174__K0WZP2__DDY40_04000
ERR1913276.117659__1.117659	1262911__R6GPX9__BN557_00406
ERR1913276.117689__1.117689	817__D1JL38__M147_1752
ERR1913276.117769__1.117769	28117__B0MTV3__BHV66_06405
ERR1913276.117776__1.117776	28117__B0MY36__BHV66_05185
ERR1913276.117851__1.117851	820__A0A139K426__B5G17_09115
ERR1913276.117909__1.117909	820__A0A139KJR5__M093_4469
ERR1913276.118096__1.118096	246787__R6K756__HMPREF1062_01819
ERR1913276.118321__1.118321	28117__B0MY40__BHV66_05170
ERR1913276.118591__1.118591	1160721__R6TH82__BHW50_00835
ERR1913276.118774__1.118774	357276__I9RCD3__IY41_15070
ERR1913276.118809__1.118809	1262740__R7CW46__BN666_01523
ERR1913276.118875__1.118875	1550024__A0A0D8J179__ASJ35_09245
ERR1913276.119141__1.119141	1550024__A0A0D8IWU5__TQ39_13940
ERR1913276.119471__1.119471	853__A0A174C5M1__CGS58_04460
ERR1913276.119526__1.119526	820__A0A174I980__gldH
ERR1913276.119531__1.119531	360807__A0A173WJE3__mcp4_4
ERR1913276.119623__1.119623	214856__A0A174FWM7__ERS852559_00590
ERR1913276.119817__1.119817	28117__B0MTV5__BHV66_06415
ERR1913276.119834__1.119834	1633__C2EVU6__FC58_GL001277
ERR1913276.120110__1.120110	1896974__A0A1Q6H018__BHV77_13175
ERR1913276.120228__1.120228	28117__B0MVL5__BHV66_01660
ERR1913276.120310__1.120310	291645__I8WZT8__HMPREF1068_04327
ERR1913276.120430__1.120430	46228__B5CQI6__RUMLAC_01732
ERR1913276.120571__1.120571	630129__A0A087B617__BKAS_1320
ERR1913276.120690__1.120690	46228__V8CC10__RUMLAC_01472
ERR1913276.120744__1.120744	40518__R5E282__DXD86_08940
ERR1913276.120788__1.120788	853__E2ZGD9__C7J97_11715
ERR1913276.121702__1.121702	214856__R6XNE7__ERS852447_02267
ERR1913276.121852__1.121852	1680__R5GPK0__B0487_0620
ERR1913276.121857__1.121857	357276__A0A076IXE0__HMPREF1064_04364
ERR1913276.121907__1.121907	28117__B0MY34__BHV66_05195
ERR1913276.122053__1.122053	214856__A0A174A0R8__ERS852447_00998
ERR1913276.122196__1.122196	28117__B0MT73__ALIPUT_00412
ERR1913276.122269__1.122269	357276__I8WBQ9__HMPREF1065_03212
ERR1913276.122282__1.122282	357276__I8VLL2__HMPREF1065_03395
ERR1913276.122382__1.122382	1262930__R6A4H3__BN693_00360
ERR1913276.122523__1.122523	853__A0A2A7B9I6__DW855_13690
ERR1913276.122554__1.122554	1160721__R6TGH1__BHW50_05060
ERR1913276.122600__1.122600	820__A0A139KJ23__celCCA
ERR1913276.122639__1.122639	1463165__A6TG76__rbn
ERR1913276.122691__1.122691	357276__D1JYA3__BSEG_00395
ERR1913276.122737__1.122737	820__A0A174TRB5__DXD40_11305
ERR1913276.122748__1.122748	820__A0A139KHX1__HMPREF2141_00289
ERR1913276.122914__1.122914	68891__A0A0F2DY13__dnaK
ERR1913276.122918__1.122918	214856__A0A174H3U9__ERS852559_00612
ERR1913276.122941__1.122941	817__A0A395WMP7__M107_2481
ERR1913276.122986__1.122986	214856__A0A174A1J3__ERS852447_01000
ERR1913276.123091__1.123091	1262740__R7CYB0__BN666_02324
ERR1913276.123161__1.123161	1680__A0A0C2VBJ4__birA
ERR1913276.123293__1.123293	360807__A0A0M6X184__ERS852392_03203
ERR1913276.123366__1.123366	817__Q64ZX9__M067_0167
ERR1913276.123720__1.123720	630129__A0A087B617__BKAS_1320
ERR1913276.123916__1.123916	820__A7V9F9__B5G17_14640
ERR1913276.123924__1.123924	357276__I8WC65__EL88_00520
ERR1913276.124056__1.124056	28117__B0MTV0__BHV66_06395
ERR1913276.124069__1.124069	165179__R6CNX7__DXB80_02200
ERR1913276.124347__1.124347	357276__A0A076IRX4__ABI39_13585
ERR1913276.124462__1.124462	821__I9R3W6__DXC16_12455
ERR1913276.124643__1.124643	820__E5VA63__DXC80_01025
ERR1913276.124761__1.124761	818__A0A0N7I9C8__BT_2965
ERR1913276.124782__1.124782	820__A0A173XIP7__B5G17_16050
ERR1913276.124903__1.124903	360807__A0A174D2B1__ROSEINA2194_00224
ERR1913276.124939__1.124939	1965650__A0A1Y3VEZ6__B5G16_11190
ERR1913276.125011__1.125011	823__A0A174XJM9__CEQ22_007230
ERR1913276.125102__1.125102	357276__C3R9Y0__HMPREF1064_01889
ERR1913276.125137__1.125137	47678__R5UGX6__CGC64_16275
ERR1913276.125260__1.125260	410072__C0BBS7__ERS852525_00851
ERR1913276.125291__1.125291	1297617__A0A0S2W8Q3__BIV19_11155
ERR1913276.125460__1.125460	47678__R5UUS9__ERS852558_01432
ERR1913276.125583__1.125583	165179__D1PGD2__DXC61_10875
ERR1913276.126133__1.126133	823__A6LHK0__M090_1297
ERR1913276.126272__1.126272	328814__GCA_004558275.1_00007
ERR1913276.126351__1.126351	33039__A0A173V4G5__ERS852577_02906
ERR1913276.126459__1.126459	363265__R6F5L9__HMPREF0673_00327
ERR1913276.126658__1.126658	626932__G5H8T7__HMPREF9450_02023
ERR1913276.126683__1.126683	214856__A0A173ZZ16__umuC_2
ERR1913276.126909__1.126909	47678__R5UGC2__ERS852494_02070
ERR1913276.126910__1.126910	47678__R5U3D5__DW706_05635
ERR1913276.126911__1.126911	1465754__A0A1H4FGH5__SAMN05444145_11058
ERR1913276.127030__1.127030	214856__A0A175A6T5__ERS852447_02658
ERR1913276.127154__1.127154	820__A0A174GYA8__DXB64_07370
ERR1913276.127094__1.127094	626940__E8LFV6__DCQ00_05640
ERR1913276.127184__1.127184	573__A0A1D3KLS4__AQD78_21925
ERR1913276.127252__1.127252	28117__B0MYI9__BHV66_05415
ERR1913276.127442__1.127442	165179__A0A3E5DZ45__DXC61_02820
ERR1913276.127548__1.127548	1550024__A0A0W7TQZ0__TQ39_10670
ERR1913276.127689__1.127689	33039__D4M5J1__spoIIIAE_2
ERR1913276.127708__1.127708	28117__B0MY40__BHV66_05170
ERR1913276.127880__1.127880	820__I9TWZ7__DXC80_10550
ERR1913276.127943__1.127943	357276__I9F3U2__B5F00_20845
ERR1913276.127994__1.127994	28117__B0MTV5__BHV66_06415
ERR1913276.128013__1.128013	929814__GeneID:14006942
ERR1913276.128199__1.128199	214856__A0A174ZB00__ERS852559_00631
ERR1913276.128279__1.128279	374840__GeneID:2546403
ERR1913276.128331__1.128331	74426__sufB
ERR1913276.128422__1.128422	28117__B0MT73__ALIPUT_00412
ERR1913276.128431__1.128431	820__A0A1Y3V743__M093_0235
ERR1913276.128534__1.128534	28117__B0MZ50__ALIPUT_02424
ERR1913276.128588__1.128588	33039__D4M6E9__ERS852390_02866
ERR1913276.128707__1.128707	35833__E5Y477__HMPREF0179_00988
ERR1913276.128897__1.128897	47678__R5UES3__CGC64_00760
ERR1913276.128975__1.128975	214856__A0A174G1M7__ERS852559_00594
ERR1913276.129165__1.129165	820__A0A3E4G3J9__ERS852459_02265
ERR1913276.129189__1.129189	1262777__R5VKG4__BN512_01658
ERR1913276.129203__1.129203	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913276.129492__1.129492	853__A0A329UEG4__CHR60_00585
ERR1913276.129574__1.129574	817__A0A015NVK9__HMPREF1204_01972
ERR1913276.129612__1.129612	39485__C4Z6V7__walK
ERR1913276.129838__1.129838	28117__B0MWP2__ALIPUT_01468
ERR1913276.129842__1.129842	40518__R5DP61__DXD86_06345
ERR1913276.129946__1.129946	214856__A0A174ZED5__ERS852559_00591
ERR1913276.130107__1.130107	820__E5VA63__DXC80_01025
ERR1913276.130173__1.130173	40518__R5E2R8__nnr_2
ERR1913276.130226__1.130226	46228__V8CGF0__HMPREF1202_00126
ERR1913276.130307__1.130307	28117__B0MXG8__ALIPUT_01814
ERR1913276.130540__1.130540	328814__GCA_004558275.1_00987
ERR1913276.130571__1.130571	35833__E5Y6S3__HMPREF0179_01886
ERR1913276.130687__1.130687	291645__I8WZT8__HMPREF1068_04327
ERR1913276.130709__1.130709	820__A0A3E4WA06__ERS852554_03404
ERR1913276.130853__1.130853	823__A6LC27__DXB14_11470
ERR1913276.130912__1.130912	328814__GCA_004558275.1_01822
ERR1913276.131059__1.131059	28117__B0MXW9__ALIPUT_01981
ERR1913276.131024__1.131024	74426__rpoB
ERR1913276.131256__1.131256	214856__R6Y6H8__ERS852447_01719
ERR1913276.131380__1.131380	1680__R5GZJ8__BSTER_1195
ERR1913276.131407__1.131407	147206__GCF_000156215.1_01108
ERR1913276.131417__1.131417	410072__A0A173T062__oxyR
ERR1913276.131460__1.131460	823__A0A073I1X2__DXD05_18820
ERR1913276.131462__1.131462	820__A0A139KH21__DXC80_01780
ERR1913276.131580__1.131580	671267__R9IB12__C802_00696
ERR1913276.131714__1.131714	40518__R5E6K4__RB5AMG_02070
ERR1913276.131752__1.131752	1262929__R6EXK5__BN691_00233
ERR1913276.131898__1.131898	818__A0A1H7S810__BJP75_003270
ERR1913276.131902__1.131902	39492__D4JXA0__ERS852540_02538
ERR1913276.131976__1.131976	2108523__A0A2P2FAD2__LAWASA_3010
ERR1913276.131993__1.131993	357276__A0A076IRX7__HMPREF1064_00526
ERR1913276.132130__1.132130	820__A0A3E4WCX3__C801_02709
ERR1913276.132175__1.132175	28117__B0MXR4__BHV66_08025
ERR1913276.132188__1.132188	1680__A0A0C2VBJ4__birA
ERR1913276.132274__1.132274	165179__A0A3E5E643__DXB80_06030
ERR1913276.132446__1.132446	216816__A0A061M1M5__HMPREF0177_01046
ERR1913276.132492__1.132492	40518__R5E6X5__sbcD
ERR1913276.132975__1.132975	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913276.133072__1.133072	165179__A0A3E5EB26__CFT61_02800
ERR1913276.133175__1.133175	823__D7IUM6__M091_1082
ERR1913276.133216__1.133216	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913276.133238__1.133238	239935__A0A2N8I3G2__CXT89_00720
ERR1913276.133339__1.133339	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913276.133434__1.133434	821__A0A0P0LQT3__DXC03_05050
ERR1913276.133499__1.133499	410072__A0A174JCL9__tee6
ERR1913276.133555__1.133555	147206__GCF_000156215.1_00452
ERR1913276.133609__1.133609	1262929__R6F8L7__BN691_00557
ERR1913276.133612__1.133612	214856__A0A174FY71__ERS852559_01033
ERR1913276.133783__1.133783	214856__R5UN64__ERS852447_02669
ERR1913276.133830__1.133830	28117__R7JJM9__ALIPUT_00662
ERR1913276.134021__1.134021	1965537__A0A1Y4WKU8__B5E42_05475
ERR1913276.134035__1.134035	817__D1JKH2__M133_1377
ERR1913276.134037__1.134037	626940__E8LEE2__BN587_00636
ERR1913276.134259__1.134259	626940__E8LGB7__BN587_02010
ERR1913276.134339__1.134339	28117__R7JIY2__BHV66_06465
ERR1913276.134484__1.134484	47678__R5UPZ8__ERS852494_01752
ERR1913276.134639__1.134639	853__A0A3E2U7E6__ERS852582_01640
ERR1913276.134681__1.134681	1262740__R7CXU1__BN666_01746
ERR1913276.134723__1.134723	818__A0A174TT69__SAMN02910322_02680
ERR1913276.134960__1.134960	1150298__A0A174S4G4__dacB_1
ERR1913276.135238__1.135238	1896974__A0A1Q6H018__BHV77_13175
ERR1913276.135380__1.135380	1680__A0A0C2VBJ4__birA
ERR1913276.135614__1.135614	47678__R5U7X8__C5Z00_18270
ERR1913276.135629__1.135629	216816__D6D9J4__DPC6320_0487
ERR1913276.135696__1.135696	214851__D1PSM7__SUBVAR_07410
ERR1913276.135897__1.135897	28116__I9SW74__BACOVA_04237
ERR1913276.135898__1.135898	1262736__R5YI45__BN496_00967
ERR1913276.136014__1.136014	39491__A0A173TM76__DXB72_10535
ERR1913276.135962__1.135962	884684__GCA_002892425.1_01417
ERR1913276.136054__1.136054	387661__B7B805__HMPREF1077_03508
ERR1913276.136112__1.136112	29466__D1BR72__HMPREF9323_0040
ERR1913276.136155__1.136155	255431__GeneID:2777908
ERR1913276.136310__1.136310	214856__A0A174ZED5__ERS852559_00591
ERR1913276.136548__1.136548	301302__R5UNJ6__M72_26701
ERR1913276.136608__1.136608	1262911__R6GMD8__BN557_01647
ERR1913276.136652__1.136652	216816__D6DBD5__DXC32_04335
ERR1913276.136699__1.136699	1550024__G9RZN9__ASJ35_05735
ERR1913276.136723__1.136723	239935__R6JD78__CXU05_09250
ERR1913276.136746__1.136746	39496__A5Z5I2__EUBVEN_00963
ERR1913276.136834__1.136834	820__A0A3E4IGA7__DXD40_07110
ERR1913276.136889__1.136889	328814__GCA_004558275.1_00235
ERR1913276.136821__1.136821	823__A0A355XGQ3__prmC
ERR1913276.137480__1.137480	1965604__A0A1Y4EMH2__B5F54_14485
ERR1913276.137487__1.137487	626932__G5HAG6__HMPREF9450_01631
ERR1913276.137725__1.137725	820__A0A174M9V5__M093_0237
ERR1913276.137730__1.137730	301302__A0A173TWC1__phoR_7
ERR1913276.137737__1.137737	818__A0A0N7I9M6__Btheta7330_00939
ERR1913276.137689__1.137689	357276__A0A0M1VXQ9__BSEG_00942
ERR1913276.137833__1.137833	823__A0A355XEX9__ERS852560_03521
ERR1913276.137894__1.137894	374840__GeneID:2546403
ERR1913276.137920__1.137920	360807__A0A0M6X0S9__RIL183_10591
ERR1913276.137926__1.137926	387661__B7BG55__B5F96_17505
ERR1913276.138001__1.138001	28116__F7LC60__AA414_00422
ERR1913276.138070__1.138070	1262929__R6EV93__BN691_01445
ERR1913276.138127__1.138127	28117__B0MYI9__BHV66_05415
ERR1913276.138190__1.138190	820__R9I324__HMPREF2141_02414
ERR1913276.138245__1.138245	2108523__A0A2P2F214__LAWASA_27
ERR1913276.138358__1.138358	106588__A6NVA6__BACCAP_02141
ERR1913276.138529__1.138529	46228__V8CB83__RUMLAC_02479
ERR1913276.139007__1.139007	357276__A0A076IRX4__ABI39_13585
ERR1913276.139038__1.139038	626940__E8LFV6__DCQ00_05640
ERR1913276.139252__1.139252	214856__A0A174FY71__ERS852559_01033
ERR1913276.139341__1.139341	214856__R6Y1K2__ERS852447_02306
ERR1913276.139556__1.139556	1262743__R5C054__BN727_01980
ERR1913276.139569__1.139569	214856__A0A173ZZ16__umuC_2
ERR1913276.139572__1.139572	820__A0A139KA34__B5G17_05520
ERR1913276.139591__1.139591	214856__I3YPQ4__Alfi_2712
ERR1913276.139673__1.139673	818__A0A139KQP8__BJP75_006755
ERR1913276.139641__1.139641	39492__D4MMZ8__ERS852540_01407
ERR1913276.139728__1.139728	39485__A0A174YMI9__cph2_5
ERR1913276.139888__1.139888	47678__R5U3L4__C5Z00_12600
ERR1913276.139893__1.139893	1262740__R7CUS8__BN666_01511
ERR1913276.139939__1.139939	28116__E5CCI2__M089_3437
ERR1913276.140022__1.140022	853__A0A2A7AXC8__C4N21_14120
ERR1913276.140235__1.140235	214856__I3YPP0__ERS852447_01388
ERR1913276.140522__1.140522	820__A0A139KEW8__DXB64_06405
ERR1913276.140628__1.140628	1262929__R6EVW8__BN691_00941
ERR1913276.140640__1.140640	821__A0A173XDD3__DXB82_17180
ERR1913276.140740__1.140740	40518__R5DY98__mepA_5
ERR1913276.140912__1.140912	147206__GCF_000156215.1_01776
ERR1913276.141051__1.141051	40518__R5DYP7__envC
ERR1913276.141158__1.141158	239935__A0A139TPU7__CXT91_06575
ERR1913276.141243__1.141243	1680__A0A076JNS9__BIFADO_02309
ERR1913276.141398__1.141398	820__A0A374QGD2__ERS852421_02382
ERR1913276.141420__1.141420	116085__D4J7N1__DW747_15135
ERR1913276.141509__1.141509	28117__B0MTI4__ALIPUT_00084
ERR1913276.141629__1.141629	626940__E8LD23__BN587_00187
ERR1913276.141706__1.141706	387661__K6ACM8__HMPREF1077_00750
ERR1913276.141778__1.141778	40518__R5DP61__DXD86_06345
ERR1913276.141834__1.141834	818__A0A174TXD9__C799_03229
ERR1913276.142029__1.142029	33039__A0A174YIE5__soxS_4
ERR1913276.142095__1.142095	28117__B0MWP2__ALIPUT_01468
ERR1913276.142226__1.142226	165179__A0A3E5DX15__DXC61_00345
ERR1913276.142413__1.142413	818__A0A3E5HGN6__Btheta7330_00798
ERR1913276.142438__1.142438	820__A0A374Q351__DXD40_05850
ERR1913276.142707__1.142707	28117__B0MXU6__ALIPUT_01958
ERR1913276.142614__1.142614	214856__I3YPP3__Alfi_2701
ERR1913276.142723__1.142723	39492__R6SPM9__pheT
ERR1913276.142835__1.142835	357276__A0A076J8M3__ABI39_13695
ERR1913276.142850__1.142850	147206__GCF_000156215.1_01297
ERR1913276.143054__1.143054	40518__R5DYM0__DXD86_08165
ERR1913276.143118__1.143118	214856__A0A174G1M7__ERS852559_00594
ERR1913276.143462__1.143462	820__A0A139K8N1__ERS852554_00951
ERR1913276.143532__1.143532	1262911__R6GTG0__BN557_01247
ERR1913276.143575__1.143575	328814__GCA_004558275.1_00990
ERR1913276.143639__1.143639	1262989__R6XUS2__BN815_00026
ERR1913276.143663__1.143663	853__E2ZGD9__C7J97_11715
ERR1913276.143664__1.143664	214856__I3YPN9__ERS852447_01389
ERR1913276.144078__1.144078	214856__A0A174A257__ERS852447_01007
ERR1913276.144080__1.144080	46503__R6Y9P8__evgS_3
ERR1913276.144113__1.144113	239935__A0A139TLF5__CXU18_06685
ERR1913276.144262__1.144262	1550024__A0A3B9WFD4__ASJ35_04875
ERR1913276.144458__1.144458	853__E2ZJT1__C4N23_03535
ERR1913276.144500__1.144500	1262989__R6ZAH8__BN815_00636
ERR1913276.144558__1.144558	328813__A0A1Y3QQ66__B5G41_14240
ERR1913276.144508__1.144508	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913276.144674__1.144674	823__A0A395YRE1__DXC05_20005
ERR1913276.145211__1.145211	818__A0A3E5HGB5__ERS852511_02145
ERR1913276.145287__1.145287	39492__D4JS06__ERS852540_02297
ERR1913276.145432__1.145432	78535__E6J204__NCTC1080_01272
ERR1913276.145444__1.145444	818__A0A0P0FWH4__Btheta7330_05099
ERR1913276.145447__1.145447	39492__B0MNQ2__EUBSIR_01459
ERR1913276.145521__1.145521	1262929__R6FQI0__BN691_01125
ERR1913276.145720__1.145720	46228__B5CPT9__DXD17_07345
ERR1913276.145684__1.145684	820__A0A3E4G826__C801_01612
ERR1913276.145793__1.145793	1465754__A0A1H4FGH5__SAMN05444145_11058
ERR1913276.145904__1.145904	28117__B0MYW7__ALIPUT_02336
ERR1913276.145892__1.145892	428712__H0UM52__GCWU000246_01503
ERR1913276.145835__1.145835	28117__B0MU58__BHV66_05630
ERR1913276.146010__1.146010	1099853__G9S6Y8__NSB1T_06345
ERR1913276.146079__1.146079	1262924__R7HQ14__BN585_00419
ERR1913276.146230__1.146230	823__A0A355XLT7__HMPREF1075_03402
ERR1913276.146232__1.146232	821__A0A173XDD3__DXB82_17180
ERR1913276.146306__1.146306	853__A0A2A7B9I6__DW855_13690
ERR1913276.146505__1.146505	1550024__G9RXA1__TQ39_18810
ERR1913276.146587__1.146587	853__A0A174C5M1__CGS58_04460
ERR1913276.146635__1.146635	410072__C0B9G6__ERS852481_03113
ERR1913276.146883__1.146883	40520__A0A174I8K5__ERS852394_02169
ERR1913276.146853__1.146853	28116__C3QMW5__M089_4133
ERR1913276.146873__1.146873	410072__C0B785__ERS852574_00808
ERR1913276.146950__1.146950	487174__K0WZN5__HMPREF9448_01108
ERR1913276.147003__1.147003	360807__A0A173UCM1__RIL183_07511
ERR1913276.147011__1.147011	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913276.147345__1.147345	39492__D4JVN3__spsA
ERR1913276.147519__1.147519	214856__R6Z5D0__resA_4
ERR1913276.147602__1.147602	820__A7V8C2__ERS852554_01338
ERR1913276.147640__1.147640	1262911__R6H2J2__BN557_01228
ERR1913276.147705__1.147705	820__A0A374Q854__HMPREF1073_03281
ERR1913276.147766__1.147766	165179__A0A3E5A554__DXB80_13805
ERR1913276.147877__1.147877	1262992__R5DC57__BN795_01509
ERR1913276.147993__1.147993	1262929__R6F5G9__BN691_01545
ERR1913276.148031__1.148031	28117__B0MTS2__ALIPUT_00159
ERR1913276.148135__1.148135	40518__R5DWH8__DXD86_04530
ERR1913276.148178__1.148178	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913276.148468__1.148468	671232__E6J460__C6A27_04985
ERR1913276.148554__1.148554	820__R9HXK9__DXB62_08265
ERR1913276.148616__1.148616	28117__R7JH62__BHV66_05735
ERR1913276.148663__1.148663	28117__B0MT86__BHV66_02450
ERR1913276.148749__1.148749	214856__A0A174ZLY7__ERS852447_02456
ERR1913276.148879__1.148879	818__A0A174N1L6__ERS852511_02039
ERR1913276.148969__1.148969	820__A0A139K8N1__ERS852554_00951
ERR1913276.148980__1.148980	216816__B3DNW2__BL171B_07980
ERR1913276.149148__1.149148	1262911__R6GTG0__BN557_01247
ERR1913276.149521__1.149521	39491__D6E118__DXB69_05765
ERR1913276.149797__1.149797	28117__B0MUB3__ALIPUT_00727
ERR1913276.149932__1.149932	818__A0A139KCA0__SAMN05216253_102371
ERR1913276.150026__1.150026	40518__R5E6K4__RB5AMG_02070
ERR1913276.150089__1.150089	820__R9I324__HMPREF2141_02414
ERR1913276.150151__1.150151	820__R9I2U8__DXC68_09590
ERR1913276.150295__1.150295	214856__A0A174ZEF7__mboIIM_1
ERR1913276.150403__1.150403	33039__A0A174ZKC1__RTO_00250
ERR1913276.150457__1.150457	817__A0A016CCS1__CQW33_01259
ERR1913276.150503__1.150503	214856__A0A174FWM7__ERS852559_00590
