ERR1913284.369__1.369	40519__U2KBF3__RUMCAL_01572
ERR1913284.118608__1.118608	28052__A0A174JQH3__ERS852499_01195
ERR1913284.118629__1.118629	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913284.118658__1.118658	39491__A0A174G6M3__DXD13_14470
ERR1913284.118810__1.118810	853__D4KAK8__C4N21_13380
ERR1913284.118776__1.118776	165179__A0A3E5E189__PREVCOP_06699
ERR1913284.118906__1.118906	357276__D1K526__GV66_17250
ERR1913284.119042__1.119042	40518__R5E6Y7__DXD83_08230
ERR1913284.119139__1.119139	165179__R6C3A5__DXC61_11820
ERR1913284.119123__1.119123	28117__B0MT73__ALIPUT_00412
ERR1913284.119259__1.119259	165179__A0A229I4J4__proA
ERR1913284.119261__1.119261	39492__D4JTU4__ykfG
ERR1913284.119265__1.119265	1262736__R5YI45__BN496_00967
ERR1913284.119399__1.119399	165179__A0A174WGF6__PREVCOP_04095
ERR1913284.119672__1.119672	28117__B0MU57__ALIPUT_00175
ERR1913284.119617__1.119617	817__A0A395WRC9__CQW37_02759
ERR1913284.119730__1.119730	820__A0A3E4PYB0__yejM
ERR1913284.119750__1.119750	47678__A5ZL09__BACCAC_03608
ERR1913284.119754__1.119754	1263011__R6DZH6__BN553_01379
ERR1913284.119691__1.119691	33043__A0A173QUI0__ERS852386_00036
ERR1913284.119862__1.119862	853__A0A173XRA8__CGS56_09290
ERR1913284.119885__1.119885	28117__B0MT84__ALIPUT_00402
ERR1913284.120034__1.120034	1262911__R6H054__BN557_00908
ERR1913284.120097__1.120097	1263011__R6DRV2__BN553_01393
ERR1913284.120213__1.120213	2293125__A0A374BY09__DW917_11855
ERR1913284.120324__1.120324	853__A0A3E2U7E6__ERS852582_01640
ERR1913284.120567__1.120567	165179__R6CNX7__DXB80_02200
ERR1913284.120549__1.120549	40518__R5E5I9__yvhJ_2
ERR1913284.120726__1.120726	165179__A0A3E5E2V4__PREVCOP_05070
ERR1913284.120783__1.120783	28052__A0A174IP79__gmr_4
ERR1913284.120811__1.120811	823__A0A073I5R7__cloSI
ERR1913284.120906__1.120906	360807__A0A396ADY6__RIL183_17001
ERR1913284.120911__1.120911	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913284.120843__1.120843	165179__A0A3E5DWQ1__DXB80_06635
ERR1913284.121156__1.121156	239935__A0A2N8J1K0__CXT97_05765
ERR1913284.121234__1.121234	100886__A0A174KUH7__murR_4
ERR1913284.121295__1.121295	46228__V8BPH3__RUMLAC_01268
ERR1913284.121405__1.121405	1897011__A0A1Q6RES7__BHW41_04275
ERR1913284.121409__1.121409	116085__D4J5G5__DW747_05425
ERR1913284.121601__1.121601	39491__A0A395V0H3__ERS852417_01192
ERR1913284.121609__1.121609	1263000__R5EMZ8__BN466_00707
ERR1913284.121616__1.121616	165179__A0A3E5A554__DXB80_13805
ERR1913284.121717__1.121717	239935__A0A2N8I694__CXU04_06245
ERR1913284.121867__1.121867	39492__D4JUS6__accD5
ERR1913284.121965__1.121965	33043__A0A173X520__ERS852575_01617
ERR1913284.121978__1.121978	1262743__R5CCN6__BN727_02239
ERR1913284.122167__1.122167	39491__A0A395ZHV7__ykvU
ERR1913284.122187__1.122187	487174__K0XF08__DDY40_09050
ERR1913284.122210__1.122210	39491__A0A395V0H6__ERS852580_02570
ERR1913284.122274__1.122274	39492__D4JRZ7__smc
ERR1913284.122458__1.122458	187979__A0A173Y1G6__ERS852385_00801
ERR1913284.122782__1.122782	33043__A0A174B7D6__ERS852400_01331
ERR1913284.122807__1.122807	1776045__A0A0U5J7K7__BN3456_00132
ERR1913284.122832__1.122832	33043__D5HIS6__ERS852575_02019
ERR1913284.122849__1.122849	165179__A0A3E5DZA5__DXB80_12550
ERR1913284.122948__1.122948	39491__A0A396FJJ9__DXB76_11995
ERR1913284.122999__1.122999	39491__A0A396FE96__EUR_00280
ERR1913284.123049__1.123049	46503__R6WNB1__PARMER_00135
ERR1913284.123189__1.123189	1262924__R7HQ03__BN585_01295
ERR1913284.123445__1.123445	821__A0A174RA14__M099_1655
ERR1913284.123540__1.123540	1262743__R5C0T1__BN727_02241
ERR1913284.124004__1.124004	552398__F4XCR9__HMPREF0866_01636
ERR1913284.124244__1.124244	39491__A0A395ZKJ0__DXD13_11010
ERR1913284.124252__1.124252	1263011__R6E488__BN553_00229
ERR1913284.124434__1.124434	33043__A0A173YPE0__thiD
ERR1913284.124500__1.124500	301301__G2T2X5__ERS852391_00403
ERR1913284.124531__1.124531	40518__A0A1C6H8C4__DXD93_02535
ERR1913284.124541__1.124541	28116__I9TDA4__BACOV975_03134
ERR1913284.124623__1.124623	39491__A0A395ZG74__licR
ERR1913284.124834__1.124834	39492__D4JRZ7__smc
ERR1913284.124873__1.124873	165179__A0A3E5EBQ2__DXC61_01930
ERR1913284.124899__1.124899	165179__A0A229I1J2__DXB80_03950
ERR1913284.124951__1.124951	33043__A0A173ZZ54__ERS852400_00193
ERR1913284.125082__1.125082	1262803__R6NV39__BN649_01654
ERR1913284.125142__1.125142	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913284.125300__1.125300	165179__A0A3E5DY64__CFT61_10025
ERR1913284.125420__1.125420	165179__D1PHV2__PREVCOP_06822
ERR1913284.125434__1.125434	487174__K0WUJ8__DIT83_08050
ERR1913284.125544__1.125544	46503__K5ZX50__dnaG_1
ERR1913284.125552__1.125552	33043__A0A174CLG4__hemA
ERR1913284.125763__1.125763	818__A0A173T914__ERS852430_01841
ERR1913284.125792__1.125792	360807__A0A174EGV9__ROSEINA2194_01773
ERR1913284.125817__1.125817	39491__A0A396FSR4__ERS852580_02287
ERR1913284.125835__1.125835	165179__D1PES9__DXB80_11585
ERR1913284.126331__1.126331	820__A0A1T4IY80__ERS852554_01621
ERR1913284.126358__1.126358	214856__A0A174A257__ERS852447_01007
ERR1913284.126407__1.126407	820__A0A174G065__DXB62_08975
ERR1913284.126452__1.126452	2293125__A0A374BY09__DW917_11855
ERR1913284.126618__1.126618	1262803__R6P408__BN649_00941
ERR1913284.126716__1.126716	39491__A0A173TAZ5__DXB99_09520
ERR1913284.126821__1.126821	357276__A0A076IRV2__BACDOR_02822
ERR1913284.126832__1.126832	360807__A0A0M6WR80__RIL183_05221
ERR1913284.127008__1.127008	33043__A0A173YSY7__tilS
ERR1913284.127337__1.127337	165179__A0A3E5E2S3__DXB80_03455
ERR1913284.127376__1.127376	33043__A0A174ADZ1__dcuS_1
ERR1913284.127406__1.127406	39488__A0A173UQ83__mutY
ERR1913284.127438__1.127438	360807__A0A1Q6SWU5__ERS852444_03068
ERR1913284.127507__1.127507	1262803__R6NP12__BN649_01645
ERR1913284.127795__1.127795	165179__A0A3E5E5L1__DXB80_05980
ERR1913284.127779__1.127779	821__A0A173XDD3__DXB82_17180
ERR1913284.127912__1.127912	165179__A0A3E5E4P9__DXB80_07930
ERR1913284.127951__1.127951	33043__D5HHE4__ERS852445_02332
ERR1913284.128010__1.128010	853__A0A173XRA8__CGS56_09290
ERR1913284.128104__1.128104	357276__A0A076IYG1__B5F95_22465
ERR1913284.128110__1.128110	1262744__R6FFV0__BN744_02241
ERR1913284.128128__1.128128	165179__A0A3E5EAT2__DXC61_07585
ERR1913284.128184__1.128184	116085__D4J5D0__DW747_06710
ERR1913284.128207__1.128207	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913284.128273__1.128273	165179__A0A229I443__DXB80_10950
ERR1913284.128286__1.128286	818__A0A3E5HGN6__Btheta7330_00798
ERR1913284.128368__1.128368	1262911__R6GY78__BN557_00532
ERR1913284.128379__1.128379	39491__A0A395V464__EUBREC_1509
ERR1913284.128453__1.128453	1150298__A0A174MSM0__toxA_2
ERR1913284.128527__1.128527	165179__A0A3E5EDS1__DXC61_03115
ERR1913284.128678__1.128678	239935__A0A2N8ITG2__Amuc_0335
ERR1913284.128744__1.128744	165179__R6CJG8__DXC61_09290
ERR1913284.128799__1.128799	165179__A0A3E4S980__PREVCOP_04626
ERR1913284.128882__1.128882	360807__A0A173WE18__prkC_2
ERR1913284.129004__1.129004	40518__R5E2F3__artQ
ERR1913284.129147__1.129147	820__A0A139JRS5__HMPREF1073_04025
ERR1913284.129302__1.129302	853__A0A173XRA8__CGS56_09290
ERR1913284.129343__1.129343	572010__hgdC_1
ERR1913284.129415__1.129415	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913284.129418__1.129418	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913284.129544__1.129544	820__R9HP61__DXC91_01090
ERR1913284.129548__1.129548	853__A0A3E2U7E6__ERS852582_01640
ERR1913284.129579__1.129579	357276__A0A0M1VXQ9__BSEG_00942
ERR1913284.129637__1.129637	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913284.129859__1.129859	39492__D4JQS7__ERS852540_01645
ERR1913284.130117__1.130117	239935__A0A2N8IXN0__CXT95_01765
ERR1913284.130131__1.130131	33043__A0A174EI47__inlJ
ERR1913284.130289__1.130289	28052__A0A174IE05__ypdA_2
ERR1913284.130306__1.130306	1550024__G9RPC6__TQ39_05630
ERR1913284.130372__1.130372	39492__B0MPL6__EUBSIR_01779
ERR1913284.130373__1.130373	165179__D1PES9__DXB80_11585
ERR1913284.130488__1.130488	39492__B0MPL6__EUBSIR_01779
ERR1913284.130450__1.130450	39491__D6E558__DXB69_00810
ERR1913284.130559__1.130559	820__A0A3E4G8F8__ERS852421_01645
ERR1913284.130680__1.130680	165179__A0A3E5A5E5__DXC61_13965
ERR1913284.130763__1.130763	239935__A0A2N8IF99__lpdA
ERR1913284.130803__1.130803	371601__A0A1H4AUL8__BXY_43960
ERR1913284.131182__1.131182	487174__W0ES49__HMPREF9448_00709
ERR1913284.131349__1.131349	165179__A0A3E5E643__DXB80_06030
ERR1913284.131354__1.131354	40519__U2M5D2__RUMCAL_00691
ERR1913284.131484__1.131484	487175__F3QGM6__HMPREF9439_00065
ERR1913284.131726__1.131726	33043__A0A173WXS1__ERS852445_00262
ERR1913284.131949__1.131949	239935__A0A2N8IVT6__CXU13_08520
ERR1913284.132159__1.132159	165179__A0A3E5AGH1__DXB80_05820
ERR1913284.132260__1.132260	39492__D4JTF2__mutS2
ERR1913284.132320__1.132320	33043__D5HEE1__ERS852386_01671
ERR1913284.132391__1.132391	39486__R6SCN1__DXB36_08330
ERR1913284.132425__1.132425	33043__A0A173ZDC4__malL_1
ERR1913284.132581__1.132581	33043__A0A174BZH8__ERS852575_02145
ERR1913284.132576__1.132576	820__A0A3E4WA06__ERS852554_03404
ERR1913284.132801__1.132801	165179__D1PGJ6__DXC61_07300
ERR1913284.132846__1.132846	40518__R5DY98__mepA_5
ERR1913284.132878__1.132878	39492__D4JWP8__EUBSIR_00699
ERR1913284.133037__1.133037	165179__A0A3E5E3D6__DXC61_05750
ERR1913284.133081__1.133081	39485__A0A174Z7G5__EUBELI_01168
ERR1913284.133378__1.133378	165179__A0A174UI01__DXB80_12165
ERR1913284.133449__1.133449	239935__R7DVW2__CXU02_03915
ERR1913284.133520__1.133520	165179__A0A174W369__PREVCOP_04548
ERR1913284.133548__1.133548	28052__A0A174MKP3__ERS852451_02483
ERR1913284.133790__1.133790	33043__D5HEK8__lytR_1
ERR1913284.133865__1.133865	165179__D1PGD2__DXC61_10875
ERR1913284.133867__1.133867	116085__D4JBB0__DW747_02175
ERR1913284.133895__1.133895	39491__A0A395V1R3__T1815_08181
ERR1913284.133917__1.133917	165179__A0A174SA26__PREVCOP_05758
ERR1913284.133921__1.133921	165179__A0A229I6N7__DXC61_06720
ERR1913284.134032__1.134032	33043__A0A173X520__ERS852575_01617
ERR1913284.134174__1.134174	39491__A0A395ZBQ4__cph2_2
ERR1913284.134270__1.134270	610243__A0A060QJF7__ASAP_2763
ERR1913284.134523__1.134523	301302__R5UM41__M72_15921
ERR1913284.134539__1.134539	360807__A0A0M6WDI8__RIL183_01921
ERR1913284.134608__1.134608	360807__A0A173V2S2__phoR_7
ERR1913284.134916__1.134916	39491__D4JMW8__ERS852497_01971
ERR1913284.135033__1.135033	39492__D4JTF2__mutS2
ERR1913284.135068__1.135068	239935__A0A2N8HPS5__Amuc_0950
ERR1913284.135271__1.135271	39491__A0A396FF66__DXD95_01810
ERR1913284.135328__1.135328	33043__A0A174GAW5__ydcV_2
ERR1913284.135290__1.135290	84030__D6DH89__B5F06_08080
ERR1913284.135745__1.135745	33043__D5HEE1__ERS852386_01671
ERR1913284.135764__1.135764	165179__D1PCT4__DXB80_09470
ERR1913284.136074__1.136074	1262945__R6YL13__BN600_00850
ERR1913284.136223__1.136223	46228__V8C4T8__RUMLAC_02058
ERR1913284.136224__1.136224	33043__D5HFA0__glfT2
ERR1913284.136240__1.136240	360807__C0FNJ9__ERS852392_02898
ERR1913284.136401__1.136401	410072__A0A174GUH9__ERS852481_02532
ERR1913284.136467__1.136467	39491__A0A396FFW0__ERE_10580
ERR1913284.136524__1.136524	33043__A0A174AEP1__apr
ERR1913284.136531__1.136531	410072__C0BBT6__DXD67_02315
ERR1913284.136625__1.136625	28052__A0A174M9U3__ERS852451_02548
ERR1913284.136748__1.136748	33043__D5HEU4__ftsW_3
ERR1913284.136857__1.136857	360807__A0A0M6WHH1__RIL183_16811
ERR1913284.136872__1.136872	1262803__R6PRI7__BN649_00531
ERR1913284.136959__1.136959	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913284.136918__1.136918	357276__I9RCD3__IY41_15070
ERR1913284.137037__1.137037	165179__D1PCT4__DXB80_09470
ERR1913284.137342__1.137342	39491__A0A173TFQ1__rsmF
ERR1913284.137441__1.137441	357276__A0A076IP73__BACDOR_04237
ERR1913284.137565__1.137565	821__A6L0C7__ERS852556_03520
ERR1913284.137636__1.137636	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913284.137646__1.137646	745368__A0A1T4XUK3__SAMN02745178_02339
ERR1913284.137650__1.137650	853__A0A173XRA8__CGS56_09290
ERR1913284.137653__1.137653	187979__A0A174A2K7__yjcC_2
ERR1913284.137719__1.137719	40518__R5DRG6__ylbJ
ERR1913284.138056__1.138056	823__A0A355XLS2__ERS852380_02644
ERR1913284.138314__1.138314	28052__A0A174IP79__gmr_4
ERR1913284.138335__1.138335	165179__R6C3K4__PREVCOP_05795
ERR1913284.138456__1.138456	165179__A0A3E5A832__DXC61_13685
ERR1913284.138607__1.138607	820__A0A374QGD2__ERS852421_02382
ERR1913284.138863__1.138863	357276__B6W5Q7__DXD47_13945
ERR1913284.139149__1.139149	487174__K0WV13__DIT83_10890
ERR1913284.139354__1.139354	28052__A0A174GFL5__ERS852451_00478
ERR1913284.139440__1.139440	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913284.139520__1.139520	28117__B0MTY2__BHV66_06485
ERR1913284.139629__1.139629	165179__A0A174SA26__PREVCOP_05758
ERR1913284.139751__1.139751	165179__R6XLJ7__CFT61_06250
ERR1913284.139837__1.139837	165179__D1PES9__DXB80_11585
ERR1913284.140040__1.140040	165179__A0A174IPI3__CFT61_10940
ERR1913284.140167__1.140167	165179__A0A174W369__PREVCOP_04548
ERR1913284.140213__1.140213	820__A0A139K5E7__DXC68_09550
ERR1913284.140646__1.140646	818__A0A174RX04__BJP75_008800
ERR1913284.140694__1.140694	165179__D1PDJ4__DXB80_08505
ERR1913284.140774__1.140774	301302__A0A0M6W9N8__tig_2
ERR1913284.140814__1.140814	28117__B0MUB3__ALIPUT_00727
ERR1913284.140896__1.140896	39491__A0A396FSR4__ERS852580_02287
ERR1913284.141055__1.141055	360807__C0FPV8__RIL183_29891
ERR1913284.141165__1.141165	165179__A0A3E5EBQ2__DXC61_01930
ERR1913284.141215__1.141215	40518__R5DYP7__envC
ERR1913284.141283__1.141283	706562__GCA_900112995.1_00063
ERR1913284.141536__1.141536	239935__R6JD78__CXU05_09250
ERR1913284.141587__1.141587	165179__A0A3E5E8M8__DXB80_11580
ERR1913284.141566__1.141566	28117__B0MXG7__BHV66_08620
ERR1913284.141572__1.141572	1262746__R5S5B0__BN750_00647
ERR1913284.141669__1.141669	33043__D5HF50__ERS852386_02415
ERR1913284.141611__1.141611	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913284.141732__1.141732	33043__D5HHT2__ERS852445_02796
ERR1913284.141820__1.141820	853__A0A174AML0__FPR_08640
ERR1913284.141826__1.141826	1965650__A0A1Y3VBZ1__B5G16_10055
ERR1913284.141876__1.141876	28117__B0MXG7__BHV66_08620
ERR1913284.141945__1.141945	165179__A0A174IHQ2__PREVCOP_05478
ERR1913284.141993__1.141993	706562__GCA_900112995.1_02104
ERR1913284.142021__1.142021	39491__A0A395UUN5__EUBREC_0291
ERR1913284.141914__1.141914	39491__A0A0M6WWT1__dus_2
ERR1913284.142027__1.142027	28052__R7N7E0__cynR_4
ERR1913284.142128__1.142128	410072__C0BC63__ERS852525_02815
ERR1913284.142135__1.142135	165179__D1PEQ5__PREVCOP_05711
ERR1913284.142244__1.142244	1262911__R6H2J2__BN557_01228
ERR1913284.142376__1.142376	39491__C4Z8Y4__ERS852417_00909
ERR1913284.142422__1.142422	28118__F9Z7M2__B5F99_10065
ERR1913284.142653__1.142653	360807__C0FVT5__RIL183_27241
ERR1913284.142907__1.142907	84030__D6DDS4__B5F06_06240
ERR1913284.143079__1.143079	165179__A0A3E5E7J5__DXC61_10360
ERR1913284.143250__1.143250	165179__A0A3E5AG99__DXB80_04390
ERR1913284.143267__1.143267	853__A0A173RZ39__C4N22_01650
ERR1913284.143310__1.143310	39491__C4ZCH3__EUR_17560
ERR1913284.143662__1.143662	39491__C4ZCV7__ERE_23110
ERR1913284.143705__1.143705	33043__D5HIA8__ERS852575_01867
ERR1913284.143726__1.143726	33043__A0A174B5C6__acm_3
ERR1913284.143916__1.143916	239935__A0A2N8HBP0__CXT94_04450
ERR1913284.143941__1.143941	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913284.143971__1.143971	28117__B0MTV5__BHV66_06415
ERR1913284.144075__1.144075	28052__A0A174HF53__ERS852499_00436
ERR1913284.144078__1.144078	1628085__A0A2U1BCR5__C7386_10796
ERR1913284.144088__1.144088	33043__A0A174DSP1__essC_2
ERR1913284.144192__1.144192	239935__A0A2N8I3G2__CXT89_00720
ERR1913284.144315__1.144315	165179__A0A3E4SEG4__DXC61_11235
ERR1913284.144381__1.144381	165179__A0A3E5AF88__DXC61_14960
ERR1913284.144386__1.144386	165179__D1PEQ5__PREVCOP_05711
ERR1913284.144500__1.144500	28052__A0A174P6J3__comEA
ERR1913284.144565__1.144565	239935__A0A2N8IAZ5__xseA
ERR1913284.144605__1.144605	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913284.144686__1.144686	165179__A0A3E5E3D6__DXC61_05750
ERR1913284.144769__1.144769	39491__A0A174LTW7__DXD13_08720
ERR1913284.144894__1.144894	239935__A0A2N8IRW0__A4V05_11620
ERR1913284.144915__1.144915	39491__A0A395UZ89__DXB72_12805
ERR1913284.144934__1.144934	28116__A0A078Q626__HMPREF1070_02735
ERR1913284.145117__1.145117	165179__A0A3E5E7J5__DXC61_10360
ERR1913284.145213__1.145213	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913284.145224__1.145224	33043__A8STG7__ERS852575_00353
ERR1913284.145537__1.145537	39492__D4JX50__EUBSIR_00410
ERR1913284.145741__1.145741	46228__V8C3Q5__DXD17_04230
ERR1913284.145832__1.145832	39492__D4JQL8__ywpJ
ERR1913284.145929__1.145929	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913284.145903__1.145903	357276__A0A0K2HKT7__B5F95_21090
ERR1913284.146037__1.146037	817__A0A395WNA4__HMPREF1067_03282
ERR1913284.146357__1.146357	39491__A0A395V0H3__ERS852417_01192
ERR1913284.146438__1.146438	33043__D5HEU4__ftsW_3
ERR1913284.146593__1.146593	165179__A0A174K816__DXB80_12000
ERR1913284.146946__1.146946	165179__A0A174W369__PREVCOP_04548
ERR1913284.147217__1.147217	33043__A0A174FIJ8__ERS852445_02217
ERR1913284.147237__1.147237	39485__A0A174ZPJ9__tig_2
ERR1913284.147341__1.147341	853__A0A2A7ATM9__DWZ89_13645
ERR1913284.147619__1.147619	817__A0A396C3S8__CQW36_02929
ERR1913284.147577__1.147577	33043__D5HHT0__ERS852445_02798
ERR1913284.147669__1.147669	820__A0A174F0C1__nreB
ERR1913284.147633__1.147633	165179__A0A174UI01__DXB80_12165
ERR1913284.147889__1.147889	165179__R6BPK1__DXB80_04445
ERR1913284.147972__1.147972	28052__A0A174JZ61__ERS852451_01201
ERR1913284.148619__1.148619	39492__A0A174ZP27__EUBSIR_00033
ERR1913284.148642__1.148642	39492__D4JRL2__ERS852540_01608
ERR1913284.148743__1.148743	165179__A0A3E5DWQ1__DXB80_06635
ERR1913284.148757__1.148757	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913284.148777__1.148777	39491__A0A0M6WLC7__ERS852497_00640
ERR1913284.148905__1.148905	239935__A0A2N8HTZ8__CXU09_01270
ERR1913284.148873__1.148873	853__A0A173YYY4__DWZ04_09420
ERR1913284.149148__1.149148	394340__glnA_1
ERR1913284.149229__1.149229	165179__A0A229I7F5__DXB80_02650
ERR1913284.149393__1.149393	39491__A0A396FRK0__ERS852417_00541
ERR1913284.149445__1.149445	165179__A0A174MTF2__DXC61_13200
ERR1913284.149542__1.149542	39491__A0A395ZDC6__addB
ERR1913284.149880__1.149880	239935__A0A139TT05__CXU09_03335
ERR1913284.149839__1.149839	1150298__A0A174SLE6__mlc_1
ERR1913284.149843__1.149843	301302__R5VCU3__cbiK_2
ERR1913284.149850__1.149850	1304__F8LGI5__CQA85_08435
ERR1913284.150108__1.150108	39492__D4JVG1__ERS852540_00951
ERR1913284.150273__1.150273	360807__C0FVL5__ERS852392_00391
ERR1913284.150250__1.150250	165179__D1PGU8__PREVCOP_06463
ERR1913284.150413__1.150413	165179__D1P9T6__PREVCOP_04016
ERR1913284.150468__1.150468	40519__U2LZV0__RUMCAL_01736
ERR1913284.150495__1.150495	46228__V8CDM9__HMPREF1202_00303
ERR1913284.150541__1.150541	821__C6Z451__BHV80_04265
ERR1913284.150804__1.150804	39491__A0A174K9A3__DXB69_07785
ERR1913284.150884__1.150884	165179__R6CJG8__DXC61_09290
ERR1913284.150959__1.150959	371601__A0A174ATP8__SAMN05216250_11646
ERR1913284.151140__1.151140	239935__A0A2N8IIB9__CXU04_01970
ERR1913284.151155__1.151155	47678__A5ZEP5__CGC64_03450
ERR1913284.151286__1.151286	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913284.151306__1.151306	820__A0A173YYG4__evgS_3
ERR1913284.151491__1.151491	39491__A0A396FJA4__DXB99_05435
ERR1913284.151509__1.151509	40518__R5E1J2__DXD93_04070
ERR1913284.151412__1.151412	39491__A0A395ZG74__licR
ERR1913284.151465__1.151465	165179__R6C330__DXC61_04975
ERR1913284.151959__1.151959	165179__R6CNX7__DXB80_02200
ERR1913284.151965__1.151965	165179__D1P9T6__PREVCOP_04016
ERR1913284.152320__1.152320	40518__R5E6K5__speA
ERR1913284.152661__1.152661	292800__A0A1C7FRP6__HMPREF9460_00386
ERR1913284.152708__1.152708	165179__D1PDJ4__DXB80_08505
ERR1913284.152854__1.152854	39491__C4ZF05__vpr
ERR1913284.152953__1.152953	39491__A0A174M1X5__DXB99_18695
ERR1913284.152899__1.152899	1262924__R7HUJ5__BN585_00830
ERR1913284.153048__1.153048	1262744__R6FCG3__BN744_02085
ERR1913284.153098__1.153098	28052__A0A174GFL5__ERS852451_00478
ERR1913284.153216__1.153216	39491__A0A174LTW7__DXD13_08720
ERR1913284.153282__1.153282	1262924__R7HPX8__BN585_00310
ERR1913284.153335__1.153335	33043__D5HFD3__ybbD
ERR1913284.153386__1.153386	1262746__R5S4S7__BN750_02366
ERR1913284.153527__1.153527	853__A0A174CVG7__CGS58_09335
ERR1913284.153654__1.153654	33043__D5HIS6__ERS852575_02019
ERR1913284.153607__1.153607	357276__A0A076IKP2__HMPREF1063_00218
ERR1913284.153709__1.153709	39491__A0A396FKI0__DXC13_11560
ERR1913284.153936__1.153936	884684__GCA_002892425.1_01408
ERR1913284.153975__1.153975	165179__A0A229I1J2__DXB80_03950
ERR1913284.154021__1.154021	2293125__A0A374CA90__DW917_07695
ERR1913284.154027__1.154027	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913284.153985__1.153985	820__A0A174M9V5__M093_0237
ERR1913284.154039__1.154039	39491__A0A396FPV7__ERS852580_01177
ERR1913284.154152__1.154152	338188__A0A1Q6HJ51__endOF1_2
ERR1913284.154156__1.154156	165179__A0A3E5A554__DXB80_13805
ERR1913284.154278__1.154278	853__E2ZJT1__C4N23_03535
ERR1913284.154364__1.154364	301301__A0A395V944__ERS852391_00514
ERR1913284.154365__1.154365	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913284.154447__1.154447	33043__A8SV35__ERS852386_01106
ERR1913284.154499__1.154499	239935__A0A2N8IV82__CXT99_06735
ERR1913284.154531__1.154531	165179__A0A174SA26__PREVCOP_05758
ERR1913284.154573__1.154573	165179__D1PES9__DXB80_11585
ERR1913284.154584__1.154584	1150298__R7JL35__ERS852498_02809
ERR1913284.154630__1.154630	165179__A0A3E5DV57__DXB80_11400
ERR1913284.154682__1.154682	165179__A0A174SA26__PREVCOP_05758
ERR1913284.154750__1.154750	33043__A0A174BPV6__ERS852445_01773
ERR1913284.154969__1.154969	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913284.155519__1.155519	39485__C4Z6F3__EUBELI_20400
ERR1913284.155728__1.155728	387090__S0F7Y3__BACCOPRO_02028
ERR1913284.155711__1.155711	322505__xre_3
ERR1913284.156000__1.156000	165179__A0A3E5DRF6__DXC61_00200
ERR1913284.156057__1.156057	165179__D1PGU8__PREVCOP_06463
ERR1913284.156121__1.156121	47678__R5UST1__ERS852558_03505
ERR1913284.156096__1.156096	39491__A0A395ZIT8__EUR_13460
ERR1913284.156303__1.156303	28118__R6F390__ypdA_1
ERR1913284.156304__1.156304	29361__B6FRT6__CLONEX_02860
ERR1913284.156468__1.156468	165179__R6BQP4__DXC61_02015
ERR1913284.156586__1.156586	165179__D1PES9__DXB80_11585
ERR1913284.156587__1.156587	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913284.156704__1.156704	649756__D4MWN6__ERS852571_00821
ERR1913284.156656__1.156656	39491__A0A395V1R3__T1815_08181
ERR1913284.156672__1.156672	338188__A0A173XHS4__BACFIN_08438
ERR1913284.156722__1.156722	28052__A0A174P635__ERS852499_02418
ERR1913284.156826__1.156826	33043__D5HEU4__ftsW_3
ERR1913284.156829__1.156829	165179__D1PDG7__DXB80_11180
ERR1913284.156906__1.156906	39491__A0A173TAZ5__DXB99_09520
ERR1913284.157125__1.157125	28116__A0A1Y4Q363__Bovatus_00608
ERR1913284.157409__1.157409	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913284.157840__1.157840	820__A0A3E4RUC4__DHU98_02635
ERR1913284.157858__1.157858	165179__A0A3E5E4P9__DXB80_07930
ERR1913284.157883__1.157883	165179__A0A3E5AF88__DXC61_14960
ERR1913284.158023__1.158023	165179__D1PES9__DXB80_11585
ERR1913284.158422__1.158422	39491__A0A396FBR6__DXC13_08575
ERR1913284.158496__1.158496	360807__A0A1Q6T5F1__fliF
ERR1913284.158510__1.158510	33043__D5HJ22__ERS852575_02302
ERR1913284.158671__1.158671	820__A0A174F0C1__nreB
ERR1913284.158686__1.158686	1550024__A0A3B9WLJ1__TQ39_10125
ERR1913284.158917__1.158917	239935__R6J9N8__CXT96_07990
ERR1913284.158929__1.158929	165179__A0A3E5E2C8__folA
ERR1913284.159326__1.159326	165179__A0A3E5AGH1__DXB80_05820
ERR1913284.159436__1.159436	39491__A0A173TM76__DXB72_10535
