ERR1913167.17__1.17	47678__R5U3D5__DW706_05635
ERR1913167.177729__1.177729	28117__B0MU76__ALIPUT_00202
ERR1913167.177778__1.177778	1262882__R5N678__BN519_01604
ERR1913167.177830__1.177830	28117__B0MUL5__ALIPUT_00722
ERR1913167.177905__1.177905	820__A0A174GYA8__DXB64_07370
ERR1913167.177847__1.177847	487174__R5FN40__HMPREF9448_01366
ERR1913167.177860__1.177860	820__A0A3E5E0T0__ERS852554_00312
ERR1913167.177882__1.177882	818__D7IK38__ERS852430_03017
ERR1913167.178043__1.178043	487174__R5EP60__DIT83_09045
ERR1913167.178236__1.178236	626940__E8LBE7__BN587_01102
ERR1913167.178254__1.178254	853__A0A174C5M1__CGS58_04460
ERR1913167.178291__1.178291	1262882__R5MS31__BN519_01529
ERR1913167.178367__1.178367	745368__A0A1T4YBU5__SAMN02745178_02911
ERR1913167.178689__1.178689	674529__R6V730__DXB21_06405
ERR1913167.178858__1.178858	357276__I9QBT7__BSEG_03340
ERR1913167.178827__1.178827	820__A7VAR9__ERS852421_00197
ERR1913167.178920__1.178920	301302__R5VBF4__ERS852420_01650
ERR1913167.179048__1.179048	204516__U6RFB2__HMPREF1534_01733
ERR1913167.179261__1.179261	820__A0A174QT76__B5G17_18060
ERR1913167.179291__1.179291	1105171__GeneID:11605488
ERR1913167.179651__1.179651	820__A0A3E4VXP2__yesR
ERR1913167.180156__1.180156	820__A0A139KHX1__HMPREF2141_00289
ERR1913167.180246__1.180246	487173__H1D090__HMPREF9453_01028
ERR1913167.180310__1.180310	28117__B0MU76__ALIPUT_00202
ERR1913167.180445__1.180445	820__A0A3E4XDK3__ERS852554_03650
ERR1913167.180483__1.180483	1160721__R6TH82__BHW50_00835
ERR1913167.180513__1.180513	1262743__R5C3P9__BN727_00587
ERR1913167.180589__1.180589	1550024__G9RPS1__TQ39_05000
ERR1913167.180682__1.180682	820__A0A173WZS4__DXD90_10250
ERR1913167.180702__1.180702	1150298__A0A174AP40__ERS852535_01165
ERR1913167.180777__1.180777	239935__A0A2N8IUW6__Amuc_1525
ERR1913167.180928__1.180928	820__A0A139KA34__B5G17_05520
ERR1913167.181085__1.181085	820__A0A396EXA7__DXB37_15530
ERR1913167.181170__1.181170	820__A0A374Q854__HMPREF1073_03281
ERR1913167.181183__1.181183	487174__K0WXG8__DIT83_09300
ERR1913167.181325__1.181325	239935__A0A2N8J1K0__CXT97_05765
ERR1913167.181329__1.181329	357276__A0A076IXE0__HMPREF1064_04364
ERR1913167.181332__1.181332	328814__GCA_004558275.1_00061
ERR1913167.181395__1.181395	39492__D4JTW7__EUBSIR_00859
ERR1913167.181554__1.181554	1262882__R5MEN2__BN519_00200
ERR1913167.181595__1.181595	371601__W6P7Q9__BN890_32770
ERR1913167.181729__1.181729	239935__R6IZU4__CXT87_08085
ERR1913167.181759__1.181759	820__A0A174M9V5__M093_0237
ERR1913167.181857__1.181857	216816__D6DBD5__DXC32_04335
ERR1913167.182037__1.182037	820__A0A174F696__macB_13
ERR1913167.181997__1.181997	820__A0A139KIL9__DXC68_05945
ERR1913167.182065__1.182065	820__I9A4U7__DHU98_12785
ERR1913167.182179__1.182179	47678__A5ZEP4__DXB67_14045
ERR1913167.182194__1.182194	487174__K0X3E9__DDY40_04905
ERR1913167.182196__1.182196	820__A0A374Q854__HMPREF1073_03281
ERR1913167.182248__1.182248	47678__A5ZHJ2__DXB67_12405
ERR1913167.182522__1.182522	239935__A0A2N8IRL2__CXU06_01170
ERR1913167.182588__1.182588	35833__S2KWP6__HMPREF0179_05248
ERR1913167.182638__1.182638	1262882__R5MZ41__BN519_00356
ERR1913167.182878__1.182878	1262882__R5MRS7__BN519_01490
ERR1913167.183108__1.183108	818__A0A396EA53__ERS852557_04332
ERR1913167.183143__1.183143	1262882__R5N4I5__BN519_01288
ERR1913167.183240__1.183240	820__A0A139K0J1__HMPREF2141_03205
ERR1913167.183243__1.183243	39492__D4JTI1__EUBSIR_01463
ERR1913167.183365__1.183365	1263044__GCA_000433375.1_03640
ERR1913167.183455__1.183455	820__A0A139JRH8__HMPREF2141_04326
ERR1913167.183512__1.183512	301302__A0A173RZU9__M72_23561
ERR1913167.183684__1.183684	820__A0A3E4VZT7__DXB48_16145
ERR1913167.183774__1.183774	47678__A0A3E5BQM1__DXB67_08970
ERR1913167.183807__1.183807	329854__R5M3H6__DXD27_08960
ERR1913167.183861__1.183861	47678__A5ZLX1__C5Z00_04825
ERR1913167.183888__1.183888	820__A0A3E4PYB0__yejM
ERR1913167.184173__1.184173	329854__R5M926__BACINT_00302
ERR1913167.184148__1.184148	820__A0A139K4T0__ERS852510_03146
ERR1913167.184224__1.184224	28111__R5K5Y0__NCTC11155_03071
ERR1913167.184231__1.184231	1262948__R7EGW0__BN671_00708
ERR1913167.184259__1.184259	820__A0A139JUD3__DXC91_19380
ERR1913167.184355__1.184355	39492__R6RT40__prkC_3
ERR1913167.184566__1.184566	820__A0A139KJ23__celCCA
ERR1913167.184607__1.184607	820__A0A3E4GA19__SAMN05444418_10562
ERR1913167.184687__1.184687	28116__A0A0J9IIV5__M089_5519
ERR1913167.184722__1.184722	820__R9I3Q7__HMPREF1072_01668
ERR1913167.184807__1.184807	246787__R6LGA6__tmoS_11
ERR1913167.184892__1.184892	820__A7UYX8__DXD40_11635
ERR1913167.184960__1.184960	820__A0A173YYG4__evgS_3
ERR1913167.185039__1.185039	674529__A0A174FE49__DXB21_01625
ERR1913167.185089__1.185089	1262882__A0A356PSJ4__BN519_01180
ERR1913167.185245__1.185245	820__A0A174A6K0__M093_0079
ERR1913167.185257__1.185257	47678__R5UAG4__DW706_17045
ERR1913167.185305__1.185305	820__A0A173YYG4__evgS_3
ERR1913167.185328__1.185328	39492__D4JWX2__accB
ERR1913167.185391__1.185391	820__R9I3N4__M093_0061
ERR1913167.185392__1.185392	329854__R5MTF4__DXK01_12115
ERR1913167.185614__1.185614	1297617__A0A2U1CF44__C7373_10161
ERR1913167.185628__1.185628	39492__D4JSS2__EUBSIR_00553
ERR1913167.185633__1.185633	1262882__R5MM96__BN519_01545
ERR1913167.185634__1.185634	820__A0A3E4G3J9__ERS852459_02265
ERR1913167.185651__1.185651	387090__S0F8B2__BACCOPRO_02129
ERR1913167.186237__1.186237	820__A0A174TRB5__DXD40_11305
ERR1913167.186401__1.186401	1262992__R5DCN3__BN795_00359
ERR1913167.186572__1.186572	820__A0A1T4IY80__ERS852554_01621
ERR1913167.186543__1.186543	371601__D7J175__DXD03_05675
ERR1913167.186631__1.186631	239935__A0A2N8HB50__CXU17_02615
ERR1913167.186974__1.186974	820__A0A139K5A6__DXB48_12175
ERR1913167.187012__1.187012	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913167.187075__1.187075	820__A0A174Q0F0__DXB48_08080
ERR1913167.187127__1.187127	1262882__R5MYI1__BN519_00416
ERR1913167.187291__1.187291	1550024__A0A0D8J274__ASJ35_12405
ERR1913167.187470__1.187470	357276__I9F327__DXD47_22495
ERR1913167.187505__1.187505	823__A0A078TL61__ERS852429_00610
ERR1913167.187599__1.187599	1297617__A0A2U1BIA1__IB211_03110c
ERR1913167.187719__1.187719	820__A0A396EUU8__luxQ_3
ERR1913167.187782__1.187782	820__R9HP61__DXC91_01090
ERR1913167.187827__1.187827	39492__D4JQP0__ypeB
ERR1913167.187796__1.187796	823__A6LBY1__ERS852380_00510
ERR1913167.187862__1.187862	820__A0A1T4IYF4__mprA_1
ERR1913167.187975__1.187975	1262882__R5MPY4__BN519_01128
ERR1913167.187923__1.187923	823__A0A174LDE8__M096_3277
ERR1913167.187949__1.187949	28116__A0A1G8IGK0__DXF98_23045
ERR1913167.188006__1.188006	39491__A0A396FRK0__ERS852417_00541
ERR1913167.188101__1.188101	820__A7V9F9__B5G17_14640
ERR1913167.188108__1.188108	820__A0A3E4GA19__SAMN05444418_10562
ERR1913167.188114__1.188114	46503__A7AGD9__HMPREF1078_01631
ERR1913167.188231__1.188231	820__A0A139KIL9__DXC68_05945
ERR1913167.188311__1.188311	338188__R6S1A3__spsA_1
ERR1913167.188434__1.188434	820__A0A173YYG4__evgS_3
ERR1913167.188393__1.188393	820__A0A139K1Y6__DXB48_02610
ERR1913167.188462__1.188462	1965538__A0A1Y4W145__B5E43_13055
ERR1913167.188529__1.188529	1262882__R5MQ68__BN519_01178
ERR1913167.188604__1.188604	246787__A0A0P0GCH1__BACCELL_02793
ERR1913167.188766__1.188766	1262746__R5SS80__BN750_02125
ERR1913167.189076__1.189076	239935__A0A2N8IL82__CXU02_11740
ERR1913167.189155__1.189155	2173__A0A1D2WX16__METSMIALI_00508
ERR1913167.189168__1.189168	820__A0A174F0C1__nreB
ERR1913167.189266__1.189266	301302__R5VGE0__ERS852420_00121
ERR1913167.189276__1.189276	820__A0A139K024__B5G17_02060
ERR1913167.189342__1.189342	46503__A7AH78__DD461_04085
ERR1913167.189359__1.189359	853__A0A329UEG4__CHR60_00585
ERR1913167.189509__1.189509	1262882__R5N2E1__BN519_01117
ERR1913167.189527__1.189527	387090__S0F7Y3__BACCOPRO_02028
ERR1913167.189733__1.189733	1318__I1ZJC0__TZ97_01904
ERR1913167.189882__1.189882	820__A0A3E4W984__pssA
ERR1913167.190013__1.190013	214856__R6XTZ7__ERS852447_02314
ERR1913167.190031__1.190031	820__A0A3E4WCX3__C801_02709
ERR1913167.190081__1.190081	28117__B0MUL5__ALIPUT_00722
ERR1913167.190235__1.190235	329854__R5M1L3__DXD57_08795
ERR1913167.190309__1.190309	28117__B0MWC6__BHV66_00965
ERR1913167.190359__1.190359	820__A0A1T4IYF4__mprA_1
ERR1913167.190370__1.190370	820__A0A174LJB2__HMPREF1072_04112
ERR1913167.190373__1.190373	820__A0A139KJ23__celCCA
ERR1913167.190576__1.190576	301301__A0A395V573__RHOM_13925
ERR1913167.190584__1.190584	820__A0A1Q6IDS8__chtA
ERR1913167.190709__1.190709	216816__A0A083X5W4__HMPREF0177_01593
ERR1913167.190714__1.190714	28111__R5JUJ8__nanA_2
ERR1913167.190768__1.190768	820__A0A396EUU8__luxQ_3
ERR1913167.190826__1.190826	1262882__R5N526__BN519_01603
ERR1913167.190939__1.190939	1262882__R5MEN2__BN519_00200
ERR1913167.191006__1.191006	39491__C4ZHS4__EUR_24420
ERR1913167.191384__1.191384	166486__D4KJ39__ERS852572_02622
ERR1913167.191448__1.191448	820__A0A3E4W9W8__C801_01069
ERR1913167.191548__1.191548	820__A0A174QLF0__SAMN05444418_109151
ERR1913167.191624__1.191624	820__A0A139K8N1__ERS852554_00951
ERR1913167.191604__1.191604	47678__R5UAI1__BACCAC_01922
ERR1913167.191662__1.191662	1297617__A0A0S2W853__C7373_107125
ERR1913167.191803__1.191803	820__A0A396EWL3__ERS417307_03868
ERR1913167.191827__1.191827	28117__B0MUX7__ALIPUT_00918
ERR1913167.191766__1.191766	227943__C8P780__HMPREF0494_1174
ERR1913167.191888__1.191888	820__A0A3E4W7J3__DXC07_00330
ERR1913167.192363__1.192363	239935__A0A2N8HAQ1__DEF40_05290
ERR1913167.192377__1.192377	387090__S0F7Y3__BACCOPRO_02028
ERR1913167.192387__1.192387	239935__A0A2N8IMD6__CXU03_05585
ERR1913167.192741__1.192741	40518__R5DWP7__ansA
ERR1913167.192941__1.192941	1262882__R5N4I8__BN519_01293
ERR1913167.192942__1.192942	818__A0A0P0F7K1__ERS852461_02719
ERR1913167.193091__1.193091	40518__R5E4X5__RB5AMG_01438
ERR1913167.193105__1.193105	674529__R6W0I5__SAMN05444400_108102
ERR1913167.193249__1.193249	387090__S0F7Y3__BACCOPRO_02028
ERR1913167.193450__1.193450	820__A0A174Q0F0__DXB48_08080
ERR1913167.193462__1.193462	820__A0A173YYG4__evgS_3
ERR1913167.193477__1.193477	820__A0A173WUD7__DXB48_08055
ERR1913167.193570__1.193570	39492__D4JTG7__EUBSIR_00572
ERR1913167.193681__1.193681	204516__U6RAM4__HMPREF1534_03439
ERR1913167.193773__1.193773	1262882__R5MLA4__BN519_01536
ERR1913167.193786__1.193786	68891__A0A0F2DY13__dnaK
ERR1913167.193858__1.193858	820__A0A374Q854__HMPREF1073_03281
ERR1913167.193921__1.193921	820__A0A139K4W5__HMPREF2141_02394
ERR1913167.193935__1.193935	204516__U6R7Y8__HMPREF1534_03942
ERR1913167.193998__1.193998	166486__R6AY46__ROSINTL182_06128
ERR1913167.194036__1.194036	1262882__R5MFK5__BN519_00378
ERR1913167.194084__1.194084	28117__B0N007__BHV66_10275
ERR1913167.194381__1.194381	820__A0A174M9V5__M093_0237
ERR1913167.194389__1.194389	40518__R5E2X9__RBATCC27255_01546
ERR1913167.194773__1.194773	820__A0A3E4WCC2__lptB_1
ERR1913167.194711__1.194711	1263044__GCA_000433375.1_01823
ERR1913167.194713__1.194713	39492__D4JVG7__ERS852540_00946
ERR1913167.194729__1.194729	820__A0A173W419__DXC68_17760
ERR1913167.195012__1.195012	1796613__A0A1C7GYD6__A4V03_03700
ERR1913167.195038__1.195038	820__A7V470__HMPREF1072_02076
ERR1913167.195086__1.195086	1304__F8LL78__A6J87_06705
ERR1913167.195112__1.195112	1262882__R5MKI3__BN519_00334
ERR1913167.195199__1.195199	328814__GCA_004558275.1_00079
ERR1913167.195332__1.195332	39492__D4JRV7__EUBSIR_01513
ERR1913167.195372__1.195372	1681__A0A292G0N0__DD699_04260
ERR1913167.195377__1.195377	39492__D4JVG7__ERS852540_00946
ERR1913167.195380__1.195380	820__A7V8C2__ERS852554_01338
ERR1913167.195443__1.195443	33038__A0A3E4K4Y5__CDL20_06020
ERR1913167.195555__1.195555	820__R9I2U8__DXC68_09590
ERR1913167.195617__1.195617	820__A0A174CK74__DXB48_07060
ERR1913167.195642__1.195642	820__A0A3E4GA19__SAMN05444418_10562
ERR1913167.195668__1.195668	1262882__R5MSS9__BN519_01662
ERR1913167.195793__1.195793	204516__U6RFB2__HMPREF1534_01733
ERR1913167.195844__1.195844	820__A0A174CG08__DXB62_13215
ERR1913167.195829__1.195829	820__A0A3E4GA19__SAMN05444418_10562
ERR1913167.195834__1.195834	820__A0A139KIL9__DXC68_05945
ERR1913167.195979__1.195979	1262882__R5MZQ5__BN519_00648
ERR1913167.195982__1.195982	1160721__R6THG6__RBI_I00012
ERR1913167.196058__1.196058	820__A0A374Q854__HMPREF1073_03281
ERR1913167.196161__1.196161	820__A0A139K8X8__DXC80_17665
ERR1913167.196249__1.196249	818__R6VB25__BSIG_5053
ERR1913167.196406__1.196406	39492__D4MMN2__EUBSIR_00964
ERR1913167.196476__1.196476	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913167.196497__1.196497	1263006__R6LYW4__BN515_01529
ERR1913167.196509__1.196509	39491__A0A396FJV5__ERS852417_00035
ERR1913167.196555__1.196555	820__A0A139K426__B5G17_09115
ERR1913167.196617__1.196617	1715092__A0A1X1JZW7__HMPREF2613_08035
ERR1913167.196699__1.196699	301302__A0A173TZN3__M72_00321
ERR1913167.196799__1.196799	47678__R5U8Y1__BACCAC_02615
ERR1913167.196837__1.196837	820__A0A173YYG4__evgS_3
ERR1913167.196850__1.196850	820__A0A174QLF0__SAMN05444418_109151
ERR1913167.197027__1.197027	216816__Q8G6X1__DD674_00140
ERR1913167.197177__1.197177	820__A0A174CG08__DXB62_13215
ERR1913167.197253__1.197253	1160721__W0U8E3__BHW50_10005
ERR1913167.197316__1.197316	371601__A0A1C7H1Z9__BN890_35950
ERR1913167.197390__1.197390	39492__D4MIX3__ERS852540_01230
ERR1913167.197415__1.197415	1897011__A0A1Q6RBT0__BHW41_06785
ERR1913167.197558__1.197558	820__R9I2U8__DXC68_09590
ERR1913167.197872__1.197872	39492__D4JRZ7__smc
ERR1913167.197957__1.197957	820__R9I3N4__M093_0061
ERR1913167.198118__1.198118	820__A0A078STJ8__DXC68_04690
ERR1913167.198149__1.198149	1262882__R5MLP5__BN519_01602
ERR1913167.198185__1.198185	1262992__R5CWS7__BN795_00754
ERR1913167.198224__1.198224	820__A0A139K426__B5G17_09115
ERR1913167.198354__1.198354	820__R9I324__HMPREF2141_02414
ERR1913167.198536__1.198536	46503__R6Y449__ERS852463_00137
ERR1913167.198614__1.198614	820__A0A1T4IY71__HMPREF2141_02402
ERR1913167.198623__1.198623	39492__D4JRM4__tap_5
ERR1913167.198693__1.198693	820__A0A173XIP7__B5G17_16050
ERR1913167.198715__1.198715	820__A0A3E4WA06__ERS852554_03404
ERR1913167.198852__1.198852	820__A0A1T4IYF4__mprA_1
ERR1913167.198872__1.198872	39492__D4JV86__spoIIE
ERR1913167.198889__1.198889	39491__C4ZF05__vpr
ERR1913167.198935__1.198935	39492__D4JQY4__EUBSIR_01325
ERR1913167.199235__1.199235	820__A0A139K024__B5G17_02060
ERR1913167.199238__1.199238	820__A0A3E4W4Y7__B5G17_02055
ERR1913167.199265__1.199265	239935__A0A2N8HAQ1__DEF40_05290
ERR1913167.199296__1.199296	820__A0A3E4W9W8__C801_01069
ERR1913167.199301__1.199301	820__A0A3E4QZJ7__C801_01798
ERR1913167.199352__1.199352	820__A0A174TRB5__DXD40_11305
ERR1913167.199378__1.199378	1262882__R5MYS9__BN519_00290
ERR1913167.199319__1.199319	1262882__R5MEI8__BN519_00283
ERR1913167.199510__1.199510	1262882__R5N3H1__BN519_01121
ERR1913167.199538__1.199538	216816__A0A2N0SME6__BLIF_1881
ERR1913167.199580__1.199580	820__A0A173XIP7__B5G17_16050
ERR1913167.199675__1.199675	329854__R5MLZ7__DXD27_15500
ERR1913167.199651__1.199651	239935__A0A2N8I368__CXT95_04550
ERR1913167.199734__1.199734	239935__A0A2N8I1R3__CXU05_06075
ERR1913167.199861__1.199861	1150298__R7JRK4__ERS852406_01648
ERR1913167.199942__1.199942	1262882__R5ML49__BN519_01361
ERR1913167.199904__1.199904	39492__D4JX40__EUBSIR_00020
ERR1913167.199994__1.199994	39492__D4JW10__pppA
ERR1913167.199999__1.199999	40518__R5DMC7__blaR1
ERR1913167.200084__1.200084	1263109__GCA_000438135.1_00331
ERR1913167.200145__1.200145	820__A0A173YYG4__evgS_3
ERR1913167.200222__1.200222	820__A0A139KHD8__ERS417307_00569
ERR1913167.200213__1.200213	487174__K0X5B1__DDY40_01695
ERR1913167.200293__1.200293	820__A0A173WUD7__DXB48_08055
ERR1913167.200300__1.200300	1308__A0A1J0HRS7__SMQ301_1679
ERR1913167.200365__1.200365	454154__G5SS69__HMPREF9441_02219
ERR1913167.200371__1.200371	39492__D4JUP6__ERS852540_01404
ERR1913167.200409__1.200409	820__A0A139KG04__ERS852459_01249
ERR1913167.200441__1.200441	46506__B0NM94__HMPREF1181_03250
ERR1913167.200482__1.200482	28111__R5K5Y0__NCTC11155_03071
ERR1913167.200729__1.200729	820__A0A3E4G3J9__ERS852459_02265
ERR1913167.200828__1.200828	820__A0A139KG60__M094_2679
ERR1913167.200910__1.200910	820__A0A396CMY7__HMPREF1072_03009
ERR1913167.201001__1.201001	820__A0A3E4PYB0__yejM
ERR1913167.201058__1.201058	39492__D4MIK7__EUBSIR_00676
ERR1913167.201078__1.201078	1263044__GCA_000433375.1_01440
ERR1913167.201134__1.201134	823__A0A395YVY3__ERS852513_03204
ERR1913167.201239__1.201239	204516__U6RDD8__HMPREF1534_02559
ERR1913167.201277__1.201277	39492__D4JTF2__mutS2
ERR1913167.201420__1.201420	418240__A0A173ZAZ4__ERS852478_00637
ERR1913167.201489__1.201489	1262882__R5N4I8__BN519_01293
ERR1913167.201684__1.201684	1262882__R5N708__BN519_00095
ERR1913167.201688__1.201688	487173__H1D0A3__HMPREF9453_01041
ERR1913167.201724__1.201724	239935__A0A2N8ITX2__CXT86_11265
ERR1913167.201846__1.201846	820__A0A139K8X8__DXC80_17665
ERR1913167.201816__1.201816	1262882__R5MSX6__BN519_01697
ERR1913167.202029__1.202029	820__A0A139JUD3__DXC91_19380
ERR1913167.202046__1.202046	820__A0A374MMF0__HMPREF1073_03811
ERR1913167.202091__1.202091	204516__U6RNE3__HMPREF1534_00331
ERR1913167.202120__1.202120	1550024__G9RTN6__TQ39_08170
ERR1913167.202137__1.202137	239935__A0A2N8ITW6__CXT91_06265
ERR1913167.202213__1.202213	239935__A0A2N8HBP0__CXT94_04450
ERR1913167.202318__1.202318	357276__I9F327__DXD47_22495
ERR1913167.202333__1.202333	823__A6LGI3__DXB14_09215
ERR1913167.202425__1.202425	820__A0A3E4W4Y7__B5G17_02055
ERR1913167.202434__1.202434	1262882__R5N1R4__BN519_00788
ERR1913167.202389__1.202389	1262924__R7HMZ0__BN585_01986
ERR1913167.202468__1.202468	39492__D4JSU6__dacB_3
ERR1913167.202531__1.202531	28116__A7LS06__HMPREF2532_04668
ERR1913167.202726__1.202726	820__A0A3E4G3J9__ERS852459_02265
ERR1913167.202920__1.202920	1262882__R5MM25__BN519_00600
ERR1913167.202934__1.202934	28116__A0A1Y4PWN5__M088_3731
ERR1913167.203352__1.203352	820__A0A139K337__ERS852459_02375
ERR1913167.203489__1.203489	820__A7VAS1__HMPREF2141_03259
ERR1913167.203575__1.203575	820__A0A173WUD7__DXB48_08055
ERR1913167.203596__1.203596	1262882__R5N678__BN519_01604
ERR1913167.203600__1.203600	1262882__R5MNC1__BN519_00818
ERR1913167.203631__1.203631	328814__GCA_004558275.1_02279
ERR1913167.203620__1.203620	1262882__R5N3H1__BN519_01121
ERR1913167.203651__1.203651	454154__G5SVT0__HMPREF9441_03497
ERR1913167.203654__1.203654	1262882__R5MM69__BN519_00075
ERR1913167.203790__1.203790	820__A0A139JY23__B5G17_06330
ERR1913167.203842__1.203842	820__A0A139KJR5__M093_4469
ERR1913167.203881__1.203881	216816__A0A0S2ML20__B5780_2007
ERR1913167.203953__1.203953	28117__B0MXW9__ALIPUT_01981
ERR1913167.203979__1.203979	1262924__R7HRJ9__BN585_00557
ERR1913167.204007__1.204007	821__A0A174T998__DXB82_10860
ERR1913167.204028__1.204028	820__A0A374MMF0__HMPREF1073_03811
ERR1913167.204056__1.204056	820__A0A3E4FZM1__adaA_2
ERR1913167.204351__1.204351	1262882__R5N3T7__BN519_01188
ERR1913167.204456__1.204456	820__A0A174EV88__HMPREF1072_01427
ERR1913167.204557__1.204557	820__A0A139K8N1__ERS852554_00951
ERR1913167.204610__1.204610	387090__S0F7Y3__BACCOPRO_02028
ERR1913167.204641__1.204641	821__C6ZAA5__ERS852556_00403
ERR1913167.204590__1.204590	214856__A0A174Z9Y8__ERS852559_00247
ERR1913167.204726__1.204726	820__A0A173W419__DXC68_17760
ERR1913167.204739__1.204739	1262882__R5N1T9__BN519_00804
ERR1913167.204784__1.204784	820__A0A139K426__B5G17_09115
ERR1913167.204947__1.204947	820__A0A173WUD7__DXB48_08055
ERR1913167.204953__1.204953	820__A0A3E4VZT7__DXB48_16145
ERR1913167.204991__1.204991	820__A0A3E4WCX3__C801_02709
ERR1913167.205022__1.205022	823__A6L9D3__ERS852560_03374
ERR1913167.205023__1.205023	1550024__A0A0D8IWM4__TQ39_15635
ERR1913167.205129__1.205129	1262882__R5N532__BN519_01420
ERR1913167.205138__1.205138	820__A0A3E4IGA7__DXD40_07110
ERR1913167.205155__1.205155	823__A0A173VPM3__DHW69_17170
ERR1913167.205116__1.205116	39491__A0A395ZF49__DXB69_05290
ERR1913167.205167__1.205167	1262882__R5N511__BN519_01592
ERR1913167.205214__1.205214	204516__U6R9E6__HMPREF1534_03149
ERR1913167.205278__1.205278	471189__GCA_003340385.1_00016
ERR1913167.205375__1.205375	820__E5VA63__DXC80_01025
ERR1913167.205468__1.205468	239935__A0A139TPU7__CXT91_06575
ERR1913167.205494__1.205494	820__A0A174QLF0__SAMN05444418_109151
ERR1913167.205580__1.205580	820__A0A3E4WCC2__lptB_1
ERR1913167.205581__1.205581	204516__U6RFB2__HMPREF1534_01733
ERR1913167.205734__1.205734	820__A7VAR9__ERS852421_00197
ERR1913167.205817__1.205817	820__A0A174QT76__B5G17_18060
ERR1913167.205768__1.205768	487174__K0XRP0__DDY40_09260
ERR1913167.205795__1.205795	820__A0A174Q0F0__DXB48_08080
ERR1913167.206038__1.206038	821__A0A174NM17__lacZ_6
ERR1913167.206079__1.206079	674529__A0A174FE49__DXB21_01625
ERR1913167.206087__1.206087	820__A0A139JV05__B5G17_18125
ERR1913167.206249__1.206249	246787__A0A108T1Y3__fepA_8
ERR1913167.206420__1.206420	1262882__R5MSP5__BN519_01637
ERR1913167.206569__1.206569	821__A0A174T998__DXB82_10860
ERR1913167.206532__1.206532	239935__A0A139TPU7__CXT91_06575
ERR1913167.206540__1.206540	820__A0A3E4GA19__SAMN05444418_10562
ERR1913167.206703__1.206703	1262743__R5C054__BN727_01980
ERR1913167.206793__1.206793	28116__F7LEX0__CUY_5042
ERR1913167.206888__1.206888	823__A0A173RD26__B5F32_03910
ERR1913167.206970__1.206970	820__A0A139K4W5__HMPREF2141_02394
ERR1913167.207108__1.207108	820__A7V092__hldE
ERR1913167.207118__1.207118	100884__E7GC98__HMPREF9488_02390
ERR1913167.207212__1.207212	487173__H1D2V9__HMPREF9453_01947
ERR1913167.207463__1.207463	1160721__W0U8M9__RBI_II00386
ERR1913167.207545__1.207545	820__A0A396EXA7__DXB37_15530
ERR1913167.207737__1.207737	820__R7E9Z4__DXC68_06065
ERR1913167.207742__1.207742	820__A0A173YYG4__evgS_3
ERR1913167.207791__1.207791	239935__A0A2N8I3G2__CXT89_00720
ERR1913167.207975__1.207975	820__A0A1Q6IDS8__chtA
ERR1913167.208111__1.208111	1897011__A0A1Q6RG95__BHW41_02720
ERR1913167.208315__1.208315	1262882__R5ML49__BN519_01361
ERR1913167.208363__1.208363	1262882__R5MZ41__BN519_00356
ERR1913167.208388__1.208388	487174__K0WX10__DIT83_10030
ERR1913167.208476__1.208476	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913167.208524__1.208524	820__A0A3E4VZT7__DXB48_16145
ERR1913167.208547__1.208547	820__A0A3E4WCC2__lptB_1
ERR1913167.208621__1.208621	674529__R6UVJ4__DXB21_05405
ERR1913167.208689__1.208689	820__A0A139KIL9__DXC68_05945
ERR1913167.208709__1.208709	820__A0A374QGD2__ERS852421_02382
ERR1913167.208764__1.208764	338188__C9KTQ6__BACFIN_05559
ERR1913167.208770__1.208770	820__R9I2U8__DXC68_09590
ERR1913167.209050__1.209050	387090__S0F8B2__BACCOPRO_02129
ERR1913167.209053__1.209053	214856__A0A173XTZ8__ERS852447_00498
ERR1913167.209128__1.209128	820__A0A174GYA8__DXB64_07370
ERR1913167.209132__1.209132	820__A0A139KA34__B5G17_05520
ERR1913167.209136__1.209136	820__A7UYX8__DXD40_11635
ERR1913167.209240__1.209240	820__A7V8C2__ERS852554_01338
ERR1913167.209330__1.209330	39492__D4JWY0__EUBSIR_01648
ERR1913167.209342__1.209342	820__A0A3E4W9D9__B5G17_12400
ERR1913167.209472__1.209472	820__A0A174GYA8__DXB64_07370
ERR1913167.209558__1.209558	1150298__R7JU23__ERS852498_02342
ERR1913167.209750__1.209750	820__R9I3N4__M093_0061
ERR1913167.209753__1.209753	820__A7V9F9__B5G17_14640
ERR1913167.209839__1.209839	28117__B0MY41__BHV66_05165
ERR1913167.209882__1.209882	820__A0A174Q0F0__DXB48_08080
ERR1913167.209999__1.209999	820__A0A396EUV1__B5G17_06465
ERR1913167.209970__1.209970	1262882__R5MRS7__BN519_01490
ERR1913167.210134__1.210134	1262882__R5N678__BN519_01604
ERR1913167.210171__1.210171	1263107__GCA_000436995.1_00012
ERR1913167.210267__1.210267	1262882__R5N3T7__BN519_01188
ERR1913167.210297__1.210297	820__A0A139KHX1__HMPREF2141_00289
ERR1913167.210549__1.210549	1262743__R5C7C5__BN727_00596
ERR1913167.210662__1.210662	204516__U6RPN2__HMPREF1534_00368
