ERR1913224.352__1.352	853__A0A173RZ39__C4N22_01650
ERR1913224.286326__1.286326	384638__B7ANI2__BACPEC_00236
ERR1913224.286386__1.286386	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913224.286331__1.286331	88431__A0A174G8Q6__ERS852526_02711
ERR1913224.286660__1.286660	820__A0A139KIL9__DXC68_05945
ERR1913224.286760__1.286760	1262761__R6QMI9__BN606_00798
ERR1913224.286986__1.286986	39485__A0A1Q6PGI7__pehX_3
ERR1913224.287275__1.287275	823__A0A355XFH7__ERS852513_00769
ERR1913224.287278__1.287278	458033__GCA_001482755.1_02203
ERR1913224.287441__1.287441	820__A0A3E5E0T0__ERS852554_00312
ERR1913224.287628__1.287628	487174__K0WRR5__DDY40_06130
ERR1913224.287671__1.287671	301301__A0A395VAM3__yfiN_2
ERR1913224.287698__1.287698	10680__GeneID:1261099
ERR1913224.287708__1.287708	84112__F0HK91__Elen_0229
ERR1913224.287929__1.287929	2293125__A0A374CFZ2__DW917_03445
ERR1913224.288138__1.288138	2293125__A0A374CHT4__DW917_03485
ERR1913224.288301__1.288301	823__A0A355XIK0__CEQ22_011965
ERR1913224.288418__1.288418	1263107__GCA_000436995.1_00231
ERR1913224.288425__1.288425	47678__R5U558__ERS852558_02232
ERR1913224.288434__1.288434	39486__B0G8H8__DXD10_14350
ERR1913224.288759__1.288759	1262761__R6QJW9__BN606_00404
ERR1913224.288792__1.288792	218538__C9LPF0__GCWU000321_01429
ERR1913224.288855__1.288855	1262942__R7R215__BN520_00302
ERR1913224.288866__1.288866	28116__A0A1Y4Q112__evgS_13
ERR1913224.289209__1.289209	1262761__R6QS33__BN606_00308
ERR1913224.289356__1.289356	218538__C9LL79__GCWU000321_00015
ERR1913224.289390__1.289390	1262761__R6QS21__BN606_00301
ERR1913224.289498__1.289498	2293125__A0A374CHT4__DW917_03485
ERR1913224.289504__1.289504	61171__B9YDB5__HOLDEFILI_03831
ERR1913224.289525__1.289525	853__A0A2A7B1Y7__C7K05_11930
ERR1913224.289554__1.289554	1160721__W0U851__RBI_I02005
ERR1913224.289614__1.289614	1262761__R6R2J2__BN606_00943
ERR1913224.289736__1.289736	1501391__GCA_000786575.1_00036
ERR1913224.289841__1.289841	33043__A0A173ZEP9__araC_1
ERR1913224.290271__1.290271	853__A0A174CVG7__CGS58_09335
ERR1913224.290317__1.290317	820__A0A174DZ97__SAMN05444418_101240
ERR1913224.290677__1.290677	2293125__A0A374C8E6__DW917_07195
ERR1913224.290767__1.290767	1262992__R5DC96__BN795_01524
ERR1913224.291215__1.291215	239935__A0A2N8HT68__ADH72_00510
ERR1913224.291503__1.291503	39488__A0A374NJP4__DXD91_10845
ERR1913224.291541__1.291541	820__A7V9F9__B5G17_14640
ERR1913224.291607__1.291607	165179__A0A174W369__PREVCOP_04548
ERR1913224.291663__1.291663	1262736__R5Y6X9__BN496_00558
ERR1913224.292135__1.292135	2293125__A0A374CFZ2__DW917_03445
ERR1913224.292217__1.292217	1897011__A0A1Q6RGE1__BHW41_02880
ERR1913224.292279__1.292279	39491__D4JM76__DXC13_02150
ERR1913224.292364__1.292364	820__A0A173YYG4__evgS_3
ERR1913224.292550__1.292550	1262911__R6GMS3__BN557_00579
ERR1913224.292471__1.292471	28118__R6FGS3__DHW44_03135
ERR1913224.292574__1.292574	2293125__A0A374BQ34__DW917_14250
ERR1913224.292664__1.292664	1501391__GCA_000786575.1_00064
ERR1913224.292703__1.292703	239935__A0A2N8IKW7__pstA
ERR1913224.292884__1.292884	820__A0A3E4XM43__DXC91_13960
ERR1913224.293277__1.293277	544644__GCA_001915615.1_02352
ERR1913224.294325__1.294325	116085__D4J5M3__DW747_05085
ERR1913224.294378__1.294378	1160721__W0U4Y3__sipW2
ERR1913224.294553__1.294553	1262761__R6RP99__BN606_00488
ERR1913224.294596__1.294596	165179__D1PGU8__PREVCOP_06463
ERR1913224.294888__1.294888	165179__D1PDG7__DXB80_11180
ERR1913224.294968__1.294968	39485__C4Z6V1__ERS852492_02640
ERR1913224.295018__1.295018	1150298__A0A174Q3G7__hyaD_2
ERR1913224.295095__1.295095	40520__A0A395XDY5__ERS852394_00913
ERR1913224.295067__1.295067	820__A0A374MMF0__HMPREF1073_03811
ERR1913224.295548__1.295548	2293125__A0A374BUM7__DW917_12980
ERR1913224.295575__1.295575	165179__D1PHC0__PREVCOP_06640
ERR1913224.295644__1.295644	2293125__A0A374C9M9__DW917_08170
ERR1913224.295764__1.295764	817__D1JSX5__M105_3516
ERR1913224.296015__1.296015	2293125__A0A374BZ50__DW917_11090
ERR1913224.296058__1.296058	2293125__A0A374CII6__DW917_03460
ERR1913224.296064__1.296064	820__A0A174F0C1__nreB
ERR1913224.296104__1.296104	1262736__R5Y2P0__BN496_01097
ERR1913224.296234__1.296234	1712665__A0A2G3E1H3__CSX02_08860
ERR1913224.296336__1.296336	165179__A0A3E5DY64__CFT61_10025
ERR1913224.296375__1.296375	1262889__R7HA08__BN634_00271
ERR1913224.296492__1.296492	471189__GCA_003340385.1_00423
ERR1913224.296538__1.296538	74426__group_4823
ERR1913224.296634__1.296634	1501391__GCA_000786575.1_00018
ERR1913224.296792__1.296792	1262942__R7QWR9__BN520_01253
ERR1913224.296803__1.296803	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913224.297010__1.297010	817__A0A396BRW8__gldM
ERR1913224.297034__1.297034	2293125__A0A374CFZ2__DW917_03445
ERR1913224.297167__1.297167	820__A0A3E4VZY4__ERS852554_01211
ERR1913224.297316__1.297316	1501391__GCA_000786575.1_00024
ERR1913224.297378__1.297378	1263107__GCA_000436995.1_00122
ERR1913224.297910__1.297910	2108523__A0A2P2F8F4__LAWASA_2326
ERR1913224.297957__1.297957	1263000__R5EC87__BN466_00713
ERR1913224.297985__1.297985	40520__R7D6H0__RUMOBE_03886
ERR1913224.298002__1.298002	820__A0A173YYG4__evgS_3
ERR1913224.298152__1.298152	1501391__GCA_000786575.1_00003
ERR1913224.298532__1.298532	821__A0A0P0L8F8__ERS852509_03705
ERR1913224.298749__1.298749	246787__A0A3D6AZF8__BACCELL_02529
ERR1913224.298860__1.298860	853__A0A174C5M1__CGS58_04460
ERR1913224.298914__1.298914	820__R9I2U8__DXC68_09590
ERR1913224.298937__1.298937	1262761__R6R8B3__BN606_01478
ERR1913224.299054__1.299054	46228__V8CG89__RUMLAC_00663
ERR1913224.299105__1.299105	820__A0A078STJ8__DXC68_04690
ERR1913224.299066__1.299066	820__A0A3E4W7J3__DXC07_00330
ERR1913224.299358__1.299358	745368__A0A1T4WAV4__SAMN02745178_00326
ERR1913224.299361__1.299361	820__R9I3Q7__HMPREF1072_01668
ERR1913224.299417__1.299417	820__A0A174CK74__DXB48_07060
ERR1913224.299722__1.299722	2293125__A0A374C9I8__DW917_06795
ERR1913224.300255__1.300255	853__A0A174UDE9__C4N25_12775
ERR1913224.300181__1.300181	820__A0A3E4VXP2__yesR
ERR1913224.300323__1.300323	1262911__R6H212__BN557_01031
ERR1913224.300436__1.300436	853__D4K7X0__DW905_09540
ERR1913224.300787__1.300787	1501391__GCA_000786575.1_00056
ERR1913224.301492__1.301492	2293125__A0A374BSW4__DW917_13420
ERR1913224.301505__1.301505	820__A0A173YYG4__evgS_3
ERR1913224.301583__1.301583	1262988__R7N3Z1__BN816_00044
ERR1913224.301669__1.301669	820__A0A139KHX1__HMPREF2141_00289
ERR1913224.301718__1.301718	2293125__A0A374BQ34__DW917_14250
ERR1913224.301740__1.301740	214856__I3YMN6__Alfi_1938
ERR1913224.301953__1.301953	1262944__R7IQ53__BN596_01611
ERR1913224.302141__1.302141	2293125__A0A374CII0__DW917_03470
ERR1913224.302252__1.302252	1124654__GeneID:14005780
ERR1913224.302306__1.302306	853__A0A2A7AXC8__C4N21_14120
ERR1913224.302371__1.302371	360807__A0A1Q6T326__appA_1
ERR1913224.302480__1.302480	821__A0A395UNT8__DXD64_15275
ERR1913224.302598__1.302598	39492__D4JRZ7__smc
ERR1913224.302751__1.302751	165179__A0A3E5AHY4__CFT61_07675
ERR1913224.302821__1.302821	2293125__A0A374CI55__DW917_03455
ERR1913224.303191__1.303191	2293125__A0A374C9M9__DW917_08170
ERR1913224.303466__1.303466	817__A0A081UA45__M112_0802
ERR1913224.303567__1.303567	820__A0A174FUF0__HMPREF1073_03308
ERR1913224.303695__1.303695	39485__C4Z069__EUBELI_00981
ERR1913224.303835__1.303835	821__A0A173XDD3__DXB82_17180
ERR1913224.304373__1.304373	46228__V8C7P7__HMPREF1202_01523
ERR1913224.304325__1.304325	1297617__A0A0S2W5Z4__BIV19_06870
ERR1913224.304496__1.304496	1160721__R6U5L6__RBI_I01802
ERR1913224.304630__1.304630	1262911__R6H1A6__BN557_01286
ERR1913224.304705__1.304705	820__A0A174QT76__B5G17_18060
ERR1913224.304743__1.304743	820__A0A3E4PYB0__yejM
ERR1913224.304833__1.304833	1262911__R6GTG0__BN557_01247
ERR1913224.304863__1.304863	820__A0A139JUD3__DXC91_19380
ERR1913224.304886__1.304886	853__D4JY61__C4N21_10560
ERR1913224.304954__1.304954	1262761__R6RUC6__BN606_00092
ERR1913224.304905__1.304905	562__P40876__fimC_1
ERR1913224.305044__1.305044	1262911__R6GT76__BN557_01150
ERR1913224.305067__1.305067	651822__GCA_000210715.1_00753
ERR1913224.305091__1.305091	823__D7IW29__DXD05_13365
ERR1913224.305408__1.305408	410072__A0A173SHF2__COPCOM_03201
ERR1913224.305477__1.305477	820__A0A174CG08__DXB62_13215
ERR1913224.305523__1.305523	1099853__U5CD68__NSB1T_05535
ERR1913224.305524__1.305524	1262761__R6QMI9__BN606_00798
ERR1913224.305531__1.305531	2293125__A0A374C9M9__DW917_08170
ERR1913224.305657__1.305657	1262761__R6QR25__BN606_01386
ERR1913224.305659__1.305659	39492__D4JVT0__EUBSIR_00059
ERR1913224.305830__1.305830	39492__D4JWG3__EUBSIR_00308
ERR1913224.305888__1.305888	1262736__R5Y6S0__BN496_00488
ERR1913224.305995__1.305995	1262988__R7N441__BN816_01998
ERR1913224.306043__1.306043	853__A0A173YYY4__DWZ04_09420
ERR1913224.306092__1.306092	1501391__GCA_000786575.1_00068
ERR1913224.306254__1.306254	817__A0A0E2SZL0__M100_0905
ERR1913224.306328__1.306328	820__A0A139KIL9__DXC68_05945
ERR1913224.306630__1.306630	820__A0A3E4IBC1__M094_0628
ERR1913224.306690__1.306690	2293125__A0A374BZ93__DW917_11205
ERR1913224.306955__1.306955	40520__A0A395XAI7__DXB81_16005
ERR1913224.307014__1.307014	1897011__A0A1Q6RD70__BHW41_05845
ERR1913224.307207__1.307207	165179__A0A229I9X5__CFT61_01205
ERR1913224.307299__1.307299	28118__R6FCY1__DER54_07335
ERR1913224.307418__1.307418	1262761__R6QW14__BN606_00877
ERR1913224.307684__1.307684	1262536__GeneID:16385454
ERR1913224.307832__1.307832	214856__R6Y7P0__ERS852447_00307
ERR1913224.307925__1.307925	2293125__A0A374CIX5__DW917_01125
ERR1913224.307940__1.307940	1262911__R6H1A6__BN557_01286
ERR1913224.307971__1.307971	1262761__R6QUM5__BN606_02048
ERR1913224.308101__1.308101	33043__A0A173WWJ5__ERS852386_00339
ERR1913224.308229__1.308229	1262889__R7H7F9__BN634_02079
ERR1913224.308442__1.308442	1262988__R7N3Z1__BN816_00044
ERR1913224.308543__1.308543	39485__R5ZRN3__ERS852490_00208
ERR1913224.308633__1.308633	394340__nifJ
ERR1913224.308654__1.308654	2293125__A0A374CCM7__DW917_05375
ERR1913224.308677__1.308677	2293125__A0A374C8E6__DW917_07195
ERR1913224.308711__1.308711	2293125__A0A374CII6__DW917_03460
ERR1913224.308739__1.308739	343516__GeneID:3953002
ERR1913224.309032__1.309032	1263000__R5EFY3__BN466_01416
ERR1913224.309056__1.309056	820__A0A3E4VXP2__yesR
ERR1913224.309084__1.309084	39485__R6AET9__EUBELI_01205
ERR1913224.309115__1.309115	1262761__R6RBJ5__BN606_02022
ERR1913224.309287__1.309287	165179__D1PGU8__PREVCOP_06463
ERR1913224.309299__1.309299	47678__R5UWN2__BACCAC_01649
ERR1913224.309315__1.309315	2293125__A0A374C4I0__DW917_08630
ERR1913224.309631__1.309631	39490__A0A173UR66__pheA_2
ERR1913224.309739__1.309739	649756__D4MW45__DCR88_11455
ERR1913224.309758__1.309758	1897011__A0A1Q6RI90__BHW41_01230
ERR1913224.309777__1.309777	820__I9J701__ERS852510_01809
ERR1913224.309891__1.309891	562__P0AFH7__oppC
ERR1913224.309893__1.309893	1262911__R6H174__BN557_01246
ERR1913224.309926__1.309926	446660__GCA_003428235.1_00668
ERR1913224.310063__1.310063	487174__K0WTW4__DDY40_12630
ERR1913224.310117__1.310117	39485__A0A174YMD0__EUBELI_01093
ERR1913224.310137__1.310137	246787__A0A0P0GCR8__xynD_3
ERR1913224.310167__1.310167	165179__A0A229I4J4__proA
ERR1913224.310310__1.310310	454154__G5SVN0__HMPREF9441_03447
ERR1913224.310421__1.310421	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1913224.310470__1.310470	487174__K0X3E9__DDY40_04905
ERR1913224.310515__1.310515	47678__R5UUB5__ERS852558_00247
ERR1913224.310471__1.310471	853__C7H1R8__DW905_06675
ERR1913224.310602__1.310602	384638__B7ASI3__BACPEC_02038
ERR1913224.310624__1.310624	165179__A0A229I9X5__CFT61_01205
ERR1913224.310895__1.310895	218538__C9LL79__GCWU000321_00015
ERR1913224.311146__1.311146	821__R7P1Q7__M099_2990
ERR1913224.311173__1.311173	1501391__GCA_000786575.1_00056
ERR1913224.311229__1.311229	820__A7V470__HMPREF1072_02076
ERR1913224.311233__1.311233	1262777__R5VLQ5__BN512_00479
ERR1913224.311280__1.311280	820__A7V049__DXB48_04755
ERR1913224.311368__1.311368	1262911__R6GMD8__BN557_01647
ERR1913224.311377__1.311377	820__A7V470__HMPREF1072_02076
ERR1913224.311388__1.311388	1262761__R6QUM5__BN606_02048
ERR1913224.311525__1.311525	820__A0A3E4WA06__ERS852554_03404
ERR1913224.311781__1.311781	1262911__R6GP58__BN557_00798
ERR1913224.311849__1.311849	1262911__R6HI44__BN557_01691
ERR1913224.311926__1.311926	1262911__R6GMZ7__BN557_01741
ERR1913224.312053__1.312053	1262911__R6H174__BN557_01246
ERR1913224.312056__1.312056	1262911__R6GMH5__BN557_00511
ERR1913224.312197__1.312197	1262889__R7HD87__BN634_01680
ERR1913224.312361__1.312361	853__A0A173XRA8__CGS56_09290
ERR1913224.312385__1.312385	1262783__R6CKD8__BN558_01372
ERR1913224.312389__1.312389	820__A0A174CG08__DXB62_13215
ERR1913224.312493__1.312493	1501391__GCA_000786575.1_00064
ERR1913224.312895__1.312895	1263107__GCA_000436995.1_00076
ERR1913224.313091__1.313091	820__A0A139KHD8__ERS417307_00569
ERR1913224.313130__1.313130	1262761__R6RB22__BN606_01933
ERR1913224.313135__1.313135	853__A0A2A7B9I6__DW855_13690
ERR1913224.313189__1.313189	1501391__GCA_000786575.1_00075
ERR1913224.313522__1.313522	820__A0A174I980__gldH
ERR1913224.313535__1.313535	2293125__A0A374BQ34__DW917_14250
ERR1913224.313637__1.313637	1501391__GCA_000786575.1_00115
ERR1913224.313689__1.313689	39485__C4Z6J7__ERS852492_02047
ERR1913224.313711__1.313711	165179__A0A229I7F5__DXB80_02650
ERR1913224.313760__1.313760	1501391__GCA_000786575.1_00076
ERR1913224.313893__1.313893	218538__C9LL79__GCWU000321_00015
ERR1913224.314127__1.314127	2293125__A0A374CII0__DW917_03470
ERR1913224.314247__1.314247	39485__A0A174YSU1__ERS852492_00576
ERR1913224.314272__1.314272	1262824__R6S1A7__BN719_01944
ERR1913224.314421__1.314421	820__A7V092__hldE
ERR1913224.314464__1.314464	712461__I0TD56__HMPREF9969_2051
ERR1913224.314570__1.314570	2293125__A0A374C4J1__DW917_09855
ERR1913224.314696__1.314696	39485__A0A174Z851__cdaR_1
ERR1913224.314795__1.314795	2293125__A0A374CII0__DW917_03470
ERR1913224.315041__1.315041	820__A0A139K4T0__ERS852510_03146
ERR1913224.315138__1.315138	1263107__GCA_000436995.1_00193
ERR1913224.315190__1.315190	39488__C0EVS1__ERS852450_02297
ERR1913224.315154__1.315154	1262746__R5SS80__BN750_02125
ERR1913224.315206__1.315206	39485__C4Z6N2__EUBELI_20479
ERR1913224.315396__1.315396	1501391__GCA_000786575.1_00065
ERR1913224.315725__1.315725	820__A7V8C2__ERS852554_01338
ERR1913224.315904__1.315904	821__A0A174ALF2__BvMPK_3016
ERR1913224.315975__1.315975	1262963__R6D9I4__BN718_00461
ERR1913224.316042__1.316042	1262761__R6RU22__BN606_01110
ERR1913224.316218__1.316218	1501391__GCA_000786575.1_00128
ERR1913224.316461__1.316461	820__A0A174CG08__DXB62_13215
ERR1913224.316448__1.316448	40520__A0A396A2X4__RUMOBE_00875
ERR1913224.316543__1.316543	853__A0A329UEG4__CHR60_00585
ERR1913224.316575__1.316575	820__A0A139K5A6__DXB48_12175
ERR1913224.316627__1.316627	1501391__GCA_000786575.1_00008
ERR1913224.316737__1.316737	487174__K0WRI1__DIT83_06780
ERR1913224.316790__1.316790	820__A7UYG6__M094_0070
ERR1913224.316855__1.316855	47678__A5ZL09__BACCAC_03608
ERR1913224.317296__1.317296	1501391__GCA_000786575.1_00016
ERR1913224.317486__1.317486	1232426__group_1953
ERR1913224.318157__1.318157	46228__V8C7P7__HMPREF1202_01523
ERR1913224.318215__1.318215	1262911__R6GLA5__BN557_01456
ERR1913224.318235__1.318235	820__A0A174TRB5__DXD40_11305
ERR1913224.318405__1.318405	1262743__R5C054__BN727_01980
ERR1913224.318479__1.318479	487174__K0X524__DDY40_09270
ERR1913224.318538__1.318538	820__A0A173W419__DXC68_17760
ERR1913224.318668__1.318668	821__U6RDC2__DXD46_15675
ERR1913224.318781__1.318781	1501391__GCA_000786575.1_00129
ERR1913224.318883__1.318883	165179__A0A229I7F5__DXB80_02650
ERR1913224.319044__1.319044	1262942__R7R029__BN520_02116
ERR1913224.319069__1.319069	39485__A0A174YMD0__EUBELI_01093
ERR1913224.319111__1.319111	1262761__R6RBJ5__BN606_02022
ERR1913224.319081__1.319081	1262911__R6GI18__BN557_01377
ERR1913224.319234__1.319234	1262911__R6GTG0__BN557_01247
ERR1913224.319373__1.319373	166486__A0A173V5I7__ERS852572_02640
ERR1913224.319444__1.319444	165179__A0A229I9X5__CFT61_01205
ERR1913224.319506__1.319506	2293125__A0A374CBD1__DW917_06995
ERR1913224.319593__1.319593	820__A0A139K4W1__M093_0353
ERR1913224.320064__1.320064	39485__A0A174YTF7__ERS852490_01271
ERR1913224.320126__1.320126	820__A0A3E4VZY4__ERS852554_01211
ERR1913224.320160__1.320160	1160721__R6TAA3__BHW50_03385
ERR1913224.320554__1.320554	2293125__A0A374C4C8__DW917_09805
ERR1913224.320634__1.320634	165179__A0A229I9X5__CFT61_01205
ERR1913224.320733__1.320733	820__A0A3E4QZJ7__C801_01798
ERR1913224.320783__1.320783	1262942__R7R1P7__BN520_00351
ERR1913224.321135__1.321135	74426__group_1871
ERR1913224.321266__1.321266	360807__A0A173RZE9__polC_2
ERR1913224.321319__1.321319	1263011__R6EMA6__BN553_01862
ERR1913224.321326__1.321326	1263000__R5EXT3__BN466_02213
ERR1913224.321581__1.321581	2293125__A0A374C955__DW917_08135
ERR1913224.321681__1.321681	1262911__R6GPB1__BN557_00837
ERR1913224.321692__1.321692	820__A7V9F9__B5G17_14640
ERR1913224.321894__1.321894	820__A0A139KA34__B5G17_05520
ERR1913224.321972__1.321972	1262889__R7HCM3__BN634_01536
ERR1913224.321985__1.321985	1262761__R6R4X3__BN606_01996
ERR1913224.322105__1.322105	165179__D1PHC0__PREVCOP_06640
ERR1913224.322173__1.322173	2293125__A0A374CII6__DW917_03460
ERR1913224.322229__1.322229	2293125__A0A374C955__DW917_08135
ERR1913224.322299__1.322299	384638__B7ANH9__BACPEC_00233
ERR1913224.322622__1.322622	745368__A0A1T4XXN7__SAMN02745178_02496
ERR1913224.322810__1.322810	218538__C9LL79__GCWU000321_00015
ERR1913224.322987__1.322987	46228__B5CT56__RUMLAC_02679
ERR1913224.323099__1.323099	2293125__A0A374C8E6__DW917_07195
ERR1913224.323475__1.323475	820__A0A174RFI5__SAMN05444418_12240
ERR1913224.324075__1.324075	418240__C6JAJ9__ERS852523_02796
ERR1913224.324155__1.324155	820__A0A3E4VZY4__ERS852554_01211
ERR1913224.324220__1.324220	2293125__A0A374BUM7__DW917_12980
ERR1913224.324279__1.324279	745368__A0A1T4Y7W7__SAMN02745178_02825
ERR1913224.324443__1.324443	2293125__A0A374CFZ2__DW917_03445
ERR1913224.324702__1.324702	820__A0A173YYG4__evgS_3
ERR1913224.325007__1.325007	1262992__R5D5Z8__BN795_00201
ERR1913224.325244__1.325244	1501391__GCA_000786575.1_00085
ERR1913224.325280__1.325280	322505__xre_3
ERR1913224.325666__1.325666	360807__A0A1Q6T9R3__ERS852392_02666
ERR1913224.325672__1.325672	218538__C9LPF0__GCWU000321_01429
ERR1913224.325792__1.325792	2293125__A0A374BN09__DW917_16245
ERR1913224.326233__1.326233	1262911__R6GZX7__BN557_00838
ERR1913224.326438__1.326438	2293125__A0A374BZ50__DW917_11090
ERR1913224.326576__1.326576	282402__F0FB95__HMPREF9141_2862
ERR1913224.326647__1.326647	649756__A0A173R860__DO83_09130
ERR1913224.326651__1.326651	820__A0A174F696__macB_13
ERR1913224.326922__1.326922	165179__A0A3E5AHY4__CFT61_07675
ERR1913224.327204__1.327204	47678__R5UU25__DXB67_16190
ERR1913224.327249__1.327249	820__A0A3E4VXP2__yesR
ERR1913224.327432__1.327432	214856__A0A175A6T5__ERS852447_02658
ERR1913224.327567__1.327567	820__A0A174R952__DXB48_02570
ERR1913224.327597__1.327597	562__P76296__yecT
ERR1913224.327601__1.327601	2293125__A0A374BSW4__DW917_13420
ERR1913224.327624__1.327624	39485__C4Z6I9__ERS852492_02038
ERR1913224.327638__1.327638	2293125__A0A374CII6__DW917_03460
ERR1913224.327779__1.327779	853__A0A3E2U7E6__ERS852582_01640
ERR1913224.327811__1.327811	1262911__R6GY78__BN557_00532
ERR1913224.328000__1.328000	1262761__R6QJW9__BN606_00404
ERR1913224.328030__1.328030	28116__A0A1Y4PHM7__DXA80_25130
ERR1913224.328065__1.328065	1262761__R6R8A4__BN606_01470
ERR1913224.328123__1.328123	40518__R5E2F3__artQ
ERR1913224.328270__1.328270	1501391__GCA_000786575.1_00123
ERR1913224.328467__1.328467	552398__T5S086__HMPREF0866_01580
ERR1913224.328513__1.328513	458033__GCA_001482755.1_02203
ERR1913224.328601__1.328601	2293125__A0A374C955__DW917_08135
ERR1913224.328705__1.328705	165179__D1PCL6__DXB80_13435
ERR1913224.328768__1.328768	820__A0A078STJ8__DXC68_04690
ERR1913224.328826__1.328826	1796613__A0A1C7H6N8__ADH74_01350
ERR1913224.328843__1.328843	384638__B7AVU0__BACPEC_02840
ERR1913224.329356__1.329356	165179__A0A174XZU8__DXB80_12180
ERR1913224.329510__1.329510	820__R9HXK9__DXB62_08265
ERR1913224.329514__1.329514	820__A0A139K0K1__DXB37_05460
ERR1913224.329666__1.329666	2293125__A0A374CCM7__DW917_05375
ERR1913224.329948__1.329948	1263107__GCA_000436995.1_00032
ERR1913224.330271__1.330271	821__A0A396F9T7__M097_3427
ERR1913224.330286__1.330286	39485__C4Z5L2__ERS852490_00659
ERR1913224.330502__1.330502	820__A0A374Q854__HMPREF1073_03281
ERR1913224.330567__1.330567	745368__A0A1T4XQU7__SAMN02745178_02180
ERR1913224.330683__1.330683	2293125__A0A374BR61__DW917_14880
ERR1913224.330760__1.330760	820__A0A139K1Y6__DXB48_02610
ERR1913224.330837__1.330837	1501391__GCA_000786575.1_00032
ERR1913224.331035__1.331035	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913224.331165__1.331165	820__A0A3E4W9D9__B5G17_12400
ERR1913224.331244__1.331244	1262889__R7H8W0__BN634_02256
ERR1913224.331768__1.331768	2293125__A0A374C9I8__DW917_06795
ERR1913224.331827__1.331827	1262761__R6QJQ2__BN606_00751
ERR1913224.331935__1.331935	28116__A0A1Y4PIA6__BACOV975_04529
ERR1913224.332137__1.332137	189722__E0NQU7__HMPREF0658_0548
ERR1913224.332201__1.332201	2293125__A0A374CFZ2__DW917_03445
ERR1913224.332240__1.332240	544644__GCA_001915615.1_00060
ERR1913224.332509__1.332509	47678__R5UZM4__DW706_15680
ERR1913224.332636__1.332636	820__A0A3E4VXP2__yesR
ERR1913224.332640__1.332640	1262824__R6S4J6__BN719_00365
ERR1913224.332860__1.332860	165179__A0A3E5DY64__CFT61_10025
ERR1913224.333050__1.333050	821__A0A174NM17__lacZ_6
ERR1913224.333106__1.333106	1160721__W0U4D5__RBI_I01230
ERR1913224.333334__1.333334	2293125__A0A374BZ93__DW917_11205
ERR1913224.333336__1.333336	2293125__A0A374CFU2__DW917_03475
ERR1913224.333793__1.333793	165179__A0A229I9X5__CFT61_01205
ERR1913224.334033__1.334033	1262911__R6GN99__BN557_01784
ERR1913224.334090__1.334090	820__A0A174B4N2__M093_2531
ERR1913224.334112__1.334112	1262988__R7N751__BN816_00584
ERR1913224.334161__1.334161	1160721__W0U4N8__RBI_I00805
ERR1913224.334389__1.334389	165179__D1PGU8__PREVCOP_06463
ERR1913224.334434__1.334434	2293125__A0A374BQ34__DW917_14250
ERR1913224.334449__1.334449	2293125__A0A374C4J1__DW917_09855
ERR1913224.334510__1.334510	2293125__A0A374CIC9__DW917_02045
ERR1913224.334689__1.334689	1262911__R6H0U7__BN557_01104
ERR1913224.335028__1.335028	1628085__A0A2U1B7S9__C7386_11634
ERR1913224.335129__1.335129	820__A0A174CG08__DXB62_13215
ERR1913224.335212__1.335212	165179__A0A3E5A5E5__DXC61_13965
ERR1913224.335301__1.335301	214856__A0A175A1E6__ERS852447_01907
ERR1913224.335311__1.335311	820__A0A174DZ97__SAMN05444418_101240
ERR1913224.335387__1.335387	2293125__A0A374CII0__DW917_03470
ERR1913224.335605__1.335605	28116__A0A1G8H1M8__DXF98_11065
ERR1913224.335769__1.335769	39485__C4Z0S8__hisK
ERR1913224.335806__1.335806	1262911__R6H0S8__BN557_01079
ERR1913224.335821__1.335821	214856__R5UN64__ERS852447_02669
ERR1913224.335875__1.335875	2293125__A0A374BUM7__DW917_12980
ERR1913224.336256__1.336256	820__A0A173XIP7__B5G17_16050
ERR1913224.336553__1.336553	39490__U2PCP5__HMPREF0373_03001
ERR1913224.336698__1.336698	1501391__GCA_000786575.1_00006
ERR1913224.337308__1.337308	165179__A0A3E5AER8__DXB80_07075
ERR1913224.337383__1.337383	28118__R6FCY1__DER54_07335
ERR1913224.337353__1.337353	39491__C4ZGN3__DXB99_14175
ERR1913224.337458__1.337458	820__A0A3E4FZM1__adaA_2
ERR1913224.337534__1.337534	360807__A0A0M6X0S9__RIL183_10591
ERR1913224.337637__1.337637	2293125__A0A374C4J1__DW917_09855
ERR1913224.337655__1.337655	2293125__A0A374CFZ2__DW917_03445
ERR1913224.337936__1.337936	2293125__A0A374BR61__DW917_14880
ERR1913224.338311__1.338311	1501391__GCA_000786575.1_00079
ERR1913224.338372__1.338372	820__A0A396EUU8__luxQ_3
ERR1913224.338574__1.338574	1262761__R6QUM5__BN606_02048
ERR1913224.338880__1.338880	394340__dmdA
ERR1913224.338892__1.338892	1965650__A0A1Y3V7C0__B5G16_11985
ERR1913224.339004__1.339004	487174__K0X3L3__DDY40_11345
ERR1913224.339032__1.339032	820__A0A174B4N2__M093_2531
ERR1913224.339087__1.339087	1262761__R6QU78__BN606_01972
ERR1913224.339197__1.339197	165179__A0A174SA26__PREVCOP_05758
ERR1913224.339529__1.339529	820__A7V049__DXB48_04755
