ERR1913181.91__1.91	39492__D4MMN2__EUBSIR_00964
ERR1913181.1652646__1.1652646	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1652843__1.1652843	1262911__R6GTG0__BN557_01247
ERR1913181.1653092__1.1653092	33043__A0A173YPE0__thiD
ERR1913181.1653101__1.1653101	1262882__R5MYX5__BN519_00333
ERR1913181.1653197__1.1653197	487174__K0X177__HMPREF9448_00818
ERR1913181.1653262__1.1653262	33043__D5HFD3__ybbD
ERR1913181.1653492__1.1653492	1262948__R7EG18__BN671_00074
ERR1913181.1653587__1.1653587	47678__R5U206__C5Z00_07065
ERR1913181.1653637__1.1653637	1262882__R5N1L4__BN519_00757
ERR1913181.1653638__1.1653638	40518__R5E4E8__phoR_4
ERR1913181.1653618__1.1653618	2173__A0A1D2WRI1__BK798_01230
ERR1913181.1654002__1.1654002	40518__R5E0F2__RBATCC27255_01890
ERR1913181.1654018__1.1654018	47678__R5V127__HMPREF1061_04334
ERR1913181.1654048__1.1654048	47678__R5U819__DW706_12015
ERR1913181.1654275__1.1654275	2173__A0A1D2WT96__BK798_08100
ERR1913181.1654387__1.1654387	214856__A0A174ZLY7__ERS852447_02456
ERR1913181.1654706__1.1654706	820__A0A374Q854__HMPREF1073_03281
ERR1913181.1654756__1.1654756	39496__A5Z5I2__EUBVEN_00963
ERR1913181.1654789__1.1654789	1262882__R5MGX3__BN519_00046
ERR1913181.1654876__1.1654876	1262882__R5MFR3__BN519_00473
ERR1913181.1654839__1.1654839	1262911__R6GP42__BN557_00222
ERR1913181.1654992__1.1654992	35241__GeneID:920906
ERR1913181.1655309__1.1655309	39492__D4JTB5__EUBSIR_01720
ERR1913181.1655325__1.1655325	172901__A0A2U1AZZ4__C8D82_1126
ERR1913181.1655368__1.1655368	487174__K0X551__HMPREF9448_02151
ERR1913181.1655388__1.1655388	33043__A0A173ZDC4__malL_1
ERR1913181.1655648__1.1655648	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1655729__1.1655729	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1655773__1.1655773	10680__GeneID:1261088
ERR1913181.1655862__1.1655862	487174__R5EV44__HMPREF9448_01630
ERR1913181.1656042__1.1656042	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1656085__1.1656085	1262882__R5MSS9__BN519_01662
ERR1913181.1656388__1.1656388	129861__GeneID:5955658
ERR1913181.1656417__1.1656417	39492__D4MN06__EUBSIR_02672
ERR1913181.1656471__1.1656471	1150298__A0A174L6T3__cobD
ERR1913181.1656450__1.1656450	239935__A0A139TPD8__CXU12_11015
ERR1913181.1656526__1.1656526	1262911__R6HIV6__BN557_01807
ERR1913181.1656541__1.1656541	1262882__R5MLP5__BN519_01602
ERR1913181.1656755__1.1656755	47678__R5UU25__DXB67_16190
ERR1913181.1656770__1.1656770	1262882__R5MSQ8__BN519_01647
ERR1913181.1656983__1.1656983	33043__D5HFD3__ybbD
ERR1913181.1657005__1.1657005	1262915__R6HDU8__BN574_01115
ERR1913181.1657034__1.1657034	39492__B0MNL5__phoR_1
ERR1913181.1657262__1.1657262	1262948__R7E9I7__BN671_01930
ERR1913181.1657193__1.1657193	33043__A0A173X5R2__ERS852445_01329
ERR1913181.1657373__1.1657373	1262882__R5MND9__BN519_00831
ERR1913181.1657465__1.1657465	1262911__R6GZW9__BN557_00833
ERR1913181.1657648__1.1657648	40518__R5DVH6__DXD86_08955
ERR1913181.1657626__1.1657626	33043__A0A174CC83__ERS852575_02077
ERR1913181.1657936__1.1657936	74426__pdxS
ERR1913181.1658121__1.1658121	10678__GeneID:2777413
ERR1913181.1658150__1.1658150	214856__R6XP73__ERS852447_00886
ERR1913181.1658585__1.1658585	28116__A0A1Y4Q112__evgS_13
ERR1913181.1658624__1.1658624	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1658994__1.1658994	310297__B5CXJ7__DXB87_06645
ERR1913181.1659100__1.1659100	28117__B0MY40__BHV66_05170
ERR1913181.1659116__1.1659116	39492__D4JU79__EUBSIR_01975
ERR1913181.1659250__1.1659250	1262882__R5MHZ2__BN519_00742
ERR1913181.1659258__1.1659258	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1659420__1.1659420	1160721__W0U3C6__BHW50_11080
ERR1913181.1659473__1.1659473	33043__A0A173QUA9__ERS852400_01795
ERR1913181.1659673__1.1659673	239935__A0A2N8IDR5__CXU13_04315
ERR1913181.1659700__1.1659700	39492__D4JTF2__mutS2
ERR1913181.1659708__1.1659708	387661__K6AET8__HMPREF1077_00420
ERR1913181.1659802__1.1659802	1262882__R5MMP8__BN519_01654
ERR1913181.1659898__1.1659898	511969__GeneID:3959334
ERR1913181.1660030__1.1660030	511969__GeneID:3959334
ERR1913181.1660089__1.1660089	1262882__R5N5J6__BN519_01504
ERR1913181.1660272__1.1660272	39492__A0A174ZP27__EUBSIR_00033
ERR1913181.1660323__1.1660323	40518__R5DYU1__DXD86_01160
ERR1913181.1660499__1.1660499	40518__R5DVH6__DXD86_08955
ERR1913181.1660876__1.1660876	1262911__R6GMA5__BN557_00481
ERR1913181.1660979__1.1660979	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913181.1661413__1.1661413	39488__A0A173TAA3__EUBHAL_03220
ERR1913181.1661556__1.1661556	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1661559__1.1661559	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1661603__1.1661603	1680__A0A2R4G1K8__BBMN23_0315
ERR1913181.1661617__1.1661617	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1661670__1.1661670	116085__D4J6X4__DW747_08530
ERR1913181.1661808__1.1661808	39488__A0A173U9Q8__ERS852578_02196
ERR1913181.1661886__1.1661886	1735__B7CDQ1__EUBIFOR_02334
ERR1913181.1661836__1.1661836	1262882__R5MM90__BN519_01721
ERR1913181.1662048__1.1662048	384638__B7APR1__BACPEC_00667
ERR1913181.1662109__1.1662109	1124654__GeneID:14005760
ERR1913181.1662203__1.1662203	1262911__R6GZ46__BN557_00668
ERR1913181.1662352__1.1662352	40518__R5DYU1__DXD86_01160
ERR1913181.1662371__1.1662371	1262911__R6GY22__BN557_00023
ERR1913181.1662415__1.1662415	823__A0A174LWY0__lepB
ERR1913181.1662487__1.1662487	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1662646__1.1662646	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1662636__1.1662636	1262886__R6QAT8__BN563_00993
ERR1913181.1662703__1.1662703	487174__K0WRZ5__HMPREF9448_02826
ERR1913181.1662723__1.1662723	46228__B5CLE1__HMPREF1202_01861
ERR1913181.1663029__1.1663029	1262911__R6HHG7__BN557_01574
ERR1913181.1663005__1.1663005	1263107__GCA_000436995.1_00031
ERR1913181.1663076__1.1663076	216816__A0A2N0SME6__BLIF_1881
ERR1913181.1663098__1.1663098	47678__R5U3U1__BACCAC_03593
ERR1913181.1663151__1.1663151	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1663209__1.1663209	563769__GeneID:6973158
ERR1913181.1663288__1.1663288	33043__D5HI09__ERS852575_02656
ERR1913181.1663645__1.1663645	47678__A5ZJ14__ERS852494_02225
ERR1913181.1663762__1.1663762	33043__A0A173W9Y8__ERS852575_00062
ERR1913181.1664010__1.1664010	1150298__R7JUS2__ERS852498_02193
ERR1913181.1664384__1.1664384	39492__D4JTB5__EUBSIR_01720
ERR1913181.1664510__1.1664510	1262882__R5MYX5__BN519_00333
ERR1913181.1664679__1.1664679	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1664785__1.1664785	1262882__R5MT08__BN519_01706
ERR1913181.1665005__1.1665005	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1665041__1.1665041	487174__K0WTV8__DIT83_04385
ERR1913181.1665221__1.1665221	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1665416__1.1665416	33043__A0A173YPE0__thiD
ERR1913181.1665442__1.1665442	630129__A0A087B617__BKAS_1320
ERR1913181.1665641__1.1665641	410072__A0A3E4GPD6__DXD67_10205
ERR1913181.1665574__1.1665574	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1665883__1.1665883	47678__R5USR9__HMPREF1061_01404
ERR1913181.1665885__1.1665885	1735__B7CCF2__EUBIFOR_01879
ERR1913181.1665929__1.1665929	1262911__R6GXH0__BN557_00389
ERR1913181.1666092__1.1666092	823__A0A069S0G2__DXB14_03195
ERR1913181.1666171__1.1666171	1680__A1A2N8__LMG10734_1314
ERR1913181.1666256__1.1666256	1262915__R6HNH6__BN574_00898
ERR1913181.1666399__1.1666399	33043__A0A173ZL29__ERS852386_01345
ERR1913181.1666822__1.1666822	46503__R6WWH2__DXB85_00365
ERR1913181.1667092__1.1667092	487174__K0X488__HMPREF9448_00323
ERR1913181.1667288__1.1667288	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1667262__1.1667262	1262911__R6GLA5__BN557_01456
ERR1913181.1667431__1.1667431	138595__GCF_000468755.1_00313
ERR1913181.1667436__1.1667436	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1667989__1.1667989	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1668123__1.1668123	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1668167__1.1668167	1262911__R6H2J2__BN557_01228
ERR1913181.1668223__1.1668223	40518__R5DZB3__RB5AMG_01719
ERR1913181.1668344__1.1668344	1262882__R5MSX6__BN519_01697
ERR1913181.1668292__1.1668292	35833__E5YB06__HMPREF0179_03378
ERR1913181.1668352__1.1668352	33043__D5HI36__ERS852400_02168
ERR1913181.1668431__1.1668431	820__R9I2U8__DXC68_09590
ERR1913181.1668499__1.1668499	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1668589__1.1668589	1262882__R5MFY4__BN519_00529
ERR1913181.1668673__1.1668673	1262911__R6H2J2__BN557_01228
ERR1913181.1668743__1.1668743	1262882__R5MEK3__BN519_00296
ERR1913181.1669038__1.1669038	40518__A0A1Q6S5M1__DXD83_09325
ERR1913181.1669227__1.1669227	28116__I9TDA4__BACOV975_03134
ERR1913181.1669242__1.1669242	1262911__R6GXH0__BN557_00389
ERR1913181.1669363__1.1669363	10680__GeneID:1261100
ERR1913181.1669586__1.1669586	1262882__R5MRS7__BN519_01490
ERR1913181.1669587__1.1669587	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1669595__1.1669595	1262882__R5MF51__BN519_00287
ERR1913181.1669783__1.1669783	1262882__R5MDR8__BN519_00124
ERR1913181.1669947__1.1669947	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1670252__1.1670252	1262882__R5N3T7__BN519_01188
ERR1913181.1670290__1.1670290	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1670375__1.1670375	165179__A0A3E5E4T9__DXB80_08030
ERR1913181.1670519__1.1670519	47678__A5ZF31__DXB67_11050
ERR1913181.1670600__1.1670600	823__E1YSG0__DHP27_00465
ERR1913181.1670721__1.1670721	1262911__R6HP91__BN557_01264
ERR1913181.1670829__1.1670829	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1671038__1.1671038	28117__B0MXX3__BHV66_07695
ERR1913181.1671070__1.1671070	1262882__R5MZZ3__BN519_00482
ERR1913181.1671108__1.1671108	39485__A0A174YYW2__benM
ERR1913181.1671232__1.1671232	28116__A0A1G8IGK0__DXF98_23045
ERR1913181.1671238__1.1671238	1150298__A0A174DQT6__ERS852498_00506
ERR1913181.1671256__1.1671256	239935__R7E4Y3__CXU15_13135
ERR1913181.1671276__1.1671276	39488__A0A285PVH6__EUBHAL_00530
ERR1913181.1671915__1.1671915	187327__G4Q4X8__ACDG_00099
ERR1913181.1672018__1.1672018	28118__F9ZCN2__DF785_09230
ERR1913181.1672046__1.1672046	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1672167__1.1672167	384638__B7APR1__BACPEC_00667
ERR1913181.1672301__1.1672301	1262911__R6GJ95__BN557_01617
ERR1913181.1672681__1.1672681	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1672922__1.1672922	626929__F3PLU7__HMPREF9445_02842
ERR1913181.1673082__1.1673082	301302__R5V631__ERS852420_03369
ERR1913181.1673160__1.1673160	1150298__A0A174FT27__ERS852535_01803
ERR1913181.1673546__1.1673546	820__A0A139K426__B5G17_09115
ERR1913181.1673695__1.1673695	39488__C0ESJ2__DXD91_14695
ERR1913181.1673758__1.1673758	1520815__A0A1I3IDT1__SAMN02910435_00135
ERR1913181.1673897__1.1673897	40518__R5DU74__RBATCC27255_00707
ERR1913181.1674039__1.1674039	1680__A0A0C2YNK5__BADO_0780
ERR1913181.1674348__1.1674348	301302__A0A173T010__M72_26571
ERR1913181.1674429__1.1674429	239935__A0A139TPD8__CXU12_11015
ERR1913181.1674495__1.1674495	40518__R5DLU0__fmt
ERR1913181.1674586__1.1674586	1262882__R5N5W2__BN519_00074
ERR1913181.1674600__1.1674600	357276__A0A0K2HKT7__B5F95_21090
ERR1913181.1674702__1.1674702	487174__K0WRI1__DIT83_06780
ERR1913181.1674946__1.1674946	40518__R5DVV1__RBATCC27255_00999
ERR1913181.1675064__1.1675064	28116__I9SW74__BACOVA_04237
ERR1913181.1675544__1.1675544	28037__A0A0B4ZID4__csp2G_1
ERR1913181.1675614__1.1675614	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1675652__1.1675652	33043__D5HIU3__ERS852386_01914
ERR1913181.1675957__1.1675957	47678__R5U3V5__DW706_14455
ERR1913181.1676232__1.1676232	853__A0A173T0Y8__CGS54_07215
ERR1913181.1676295__1.1676295	374840__GeneID:2546403
ERR1913181.1676345__1.1676345	301302__A0A0M6WXK9__chtA
ERR1913181.1676384__1.1676384	74426__pflB_2
ERR1913181.1676399__1.1676399	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1676542__1.1676542	39492__D4JR43__ERS852540_02379
ERR1913181.1676681__1.1676681	574930__A0A0F5JE98__DXB27_02785
ERR1913181.1676764__1.1676764	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1676822__1.1676822	487174__K0X694__DIT83_09060
ERR1913181.1676986__1.1676986	35833__E5YB06__HMPREF0179_03378
ERR1913181.1677020__1.1677020	1501391__GCA_000786575.1_00041
ERR1913181.1677071__1.1677071	1796652__group_1423
ERR1913181.1677201__1.1677201	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1677338__1.1677338	214856__A0A173ZUI6__ERS852447_00955
ERR1913181.1677373__1.1677373	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1677573__1.1677573	626933__H1DGX0__HMPREF9449_01506
ERR1913181.1677679__1.1677679	1262882__R5N4D8__BN519_01497
ERR1913181.1677913__1.1677913	1262882__R5N5J6__BN519_01504
ERR1913181.1678073__1.1678073	39492__A0A174ZHV5__msbA_2
ERR1913181.1678128__1.1678128	147206__GCF_000156215.1_01773
ERR1913181.1678425__1.1678425	487174__K0X3H8__HMPREF9448_02822
ERR1913181.1678624__1.1678624	33043__A0A173YLD4__ERS852575_00535
ERR1913181.1678739__1.1678739	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1678777__1.1678777	40518__R5DNY7__RBATCC27255_00367
ERR1913181.1679043__1.1679043	457421__C5ERC0__CBFG_04276
ERR1913181.1679158__1.1679158	823__A0A174U5E4__BDI_3390
ERR1913181.1679288__1.1679288	28117__B0MY40__BHV66_05170
ERR1913181.1679292__1.1679292	2292352__A0A374UKI4__DXC23_09350
ERR1913181.1679559__1.1679559	1550024__G9RPH0__TQ39_05505
ERR1913181.1679561__1.1679561	239935__A0A2N8HL91__holA
ERR1913181.1679813__1.1679813	1680__A0A2R4G1K8__BBMN23_0315
ERR1913181.1679900__1.1679900	28116__A0A3D2LPA1__CUY_3388
ERR1913181.1680271__1.1680271	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1680208__1.1680208	33043__A0A173S5P8__ERS852445_00566
ERR1913181.1680234__1.1680234	487174__K0WXI9__HMPREF9448_02340
ERR1913181.1680337__1.1680337	1262882__R5MT42__BN519_01729
ERR1913181.1680520__1.1680520	28117__B0MTV0__BHV66_06395
ERR1913181.1680665__1.1680665	1735__B7C8Q8__EUBIFOR_00562
ERR1913181.1680898__1.1680898	47678__R5USS6__C5Z00_03300
ERR1913181.1680941__1.1680941	1262882__R5MRT2__BN519_01494
ERR1913181.1680957__1.1680957	1262911__R6HP91__BN557_01264
ERR1913181.1681170__1.1681170	410072__C0BAS6__ERS852481_01274
ERR1913181.1681177__1.1681177	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1681235__1.1681235	33043__D5HHY4__luxQ_1
ERR1913181.1681270__1.1681270	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1681444__1.1681444	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1681420__1.1681420	40518__R5DUG7__sbcC
ERR1913181.1681437__1.1681437	46228__V8CH54__RUMLAC_00903
ERR1913181.1681471__1.1681471	33043__A0A173YQY3__ERS852445_01438
ERR1913181.1681766__1.1681766	1262911__R6H1D2__BN557_00855
ERR1913181.1681870__1.1681870	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1681899__1.1681899	39488__A0A174BS94__DXD91_16570
ERR1913181.1682138__1.1682138	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1682173__1.1682173	47678__R5UU99__C5Z00_11925
ERR1913181.1682184__1.1682184	820__A0A374MMF0__HMPREF1073_03811
ERR1913181.1682246__1.1682246	33043__D5HF53__ERS852386_02418
ERR1913181.1682448__1.1682448	1262882__R5N587__BN519_01643
ERR1913181.1682604__1.1682604	820__A0A139K8X8__DXC80_17665
ERR1913181.1682809__1.1682809	1262911__R6GIY2__BN557_01575
ERR1913181.1682846__1.1682846	1262911__R6HI44__BN557_01691
ERR1913181.1683041__1.1683041	487174__K0XL60__DDY40_11760
ERR1913181.1683046__1.1683046	1262882__R5MHZ2__BN519_00742
ERR1913181.1683365__1.1683365	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1683525__1.1683525	820__A0A3E4VZS7__DXC07_14435
ERR1913181.1683538__1.1683538	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1683644__1.1683644	28117__R7JG17__ALIPUT_01859
ERR1913181.1683813__1.1683813	1262911__R6H2J2__BN557_01228
ERR1913181.1683975__1.1683975	33043__A0A174CPX4__ERS852386_02360
ERR1913181.1684026__1.1684026	328814__GCA_004558275.1_00834
ERR1913181.1684059__1.1684059	39492__D4JVZ6__truB
ERR1913181.1684291__1.1684291	47678__R5UG22__ERS852558_01514
ERR1913181.1684342__1.1684342	511969__GeneID:3959334
ERR1913181.1684496__1.1684496	1263107__GCA_000436995.1_00111
ERR1913181.1684510__1.1684510	39492__D4JSS4__ERS852540_02517
ERR1913181.1684648__1.1684648	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1684808__1.1684808	40518__R5DWP7__ansA
ERR1913181.1684804__1.1684804	1262882__R5N0J9__BN519_00773
ERR1913181.1684884__1.1684884	562__P0AFH7__oppC
ERR1913181.1684902__1.1684902	1262882__R5N526__BN519_01603
ERR1913181.1684905__1.1684905	1262882__R5MF51__BN519_00287
ERR1913181.1685016__1.1685016	1262882__R5N1T9__BN519_00804
ERR1913181.1685154__1.1685154	853__A0A173T6P2__DWZ46_14595
ERR1913181.1685140__1.1685140	562__P26458__cydB
ERR1913181.1685144__1.1685144	821__A0A395UNT8__DXD64_15275
ERR1913181.1685244__1.1685244	133926__E1R076__Olsu_0929
ERR1913181.1685341__1.1685341	291644__I8Y0K6__HMPREF1532_04085
ERR1913181.1685391__1.1685391	1262911__R6H0S8__BN557_01079
ERR1913181.1685454__1.1685454	374844__GeneID:1260912
ERR1913181.1685464__1.1685464	1262911__R6GT99__BN557_01335
ERR1913181.1685474__1.1685474	33043__A0A374K1H3__ykoD_2
ERR1913181.1685496__1.1685496	116085__D4J6A4__DW747_12795
ERR1913181.1685588__1.1685588	1262911__R6H2B5__BN557_01151
ERR1913181.1685777__1.1685777	1262911__R6GK39__BN557_01755
ERR1913181.1685850__1.1685850	487174__R5EXS5__HMPREF9448_02541
ERR1913181.1686079__1.1686079	410072__A0A173R660__ERS852389_00536
ERR1913181.1686152__1.1686152	1262911__R6GZX7__BN557_00838
ERR1913181.1686359__1.1686359	511969__GeneID:3959334
ERR1913181.1686324__1.1686324	1262911__R6GXH0__BN557_00389
ERR1913181.1686418__1.1686418	10678__GeneID:2777456
ERR1913181.1686487__1.1686487	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1686520__1.1686520	1262882__R5MMD8__BN519_01576
ERR1913181.1686527__1.1686527	1263000__R5EXT3__BN466_02213
ERR1913181.1686528__1.1686528	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1686663__1.1686663	28116__A0A1Y4PVG3__imd
ERR1913181.1686800__1.1686800	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1686822__1.1686822	1262882__R5MND9__BN519_00831
ERR1913181.1686923__1.1686923	1262882__R5MHA1__BN519_00763
ERR1913181.1686931__1.1686931	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1686939__1.1686939	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1686969__1.1686969	40518__R5E4E8__phoR_4
ERR1913181.1687002__1.1687002	1262882__R5N532__BN519_01420
ERR1913181.1687040__1.1687040	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1687049__1.1687049	39492__D4JT68__spoIIIE
ERR1913181.1687260__1.1687260	28117__B0MTI4__ALIPUT_00084
ERR1913181.1687503__1.1687503	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1687510__1.1687510	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1687638__1.1687638	1262882__R5MN65__BN519_00771
ERR1913181.1687756__1.1687756	239935__A0A139TVJ4__CXT86_02020
ERR1913181.1687757__1.1687757	545__A0A2X2W303__NCTC10771_03204
ERR1913181.1687763__1.1687763	1262882__R5N526__BN519_01603
ERR1913181.1688121__1.1688121	47678__R5U6B9__BACCAC_01372
ERR1913181.1688423__1.1688423	33043__A0A173QUI0__ERS852386_00036
ERR1913181.1688358__1.1688358	1150298__R7JRK4__ERS852406_01648
ERR1913181.1688549__1.1688549	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1688898__1.1688898	1262915__R6HMH7__BN574_01494
ERR1913181.1688952__1.1688952	1262882__R5MKV8__BN519_01281
ERR1913181.1689068__1.1689068	33043__A0A173ZZF8__sbp_2
ERR1913181.1689152__1.1689152	28116__E5CH94__NCTC11153_03344
ERR1913181.1689507__1.1689507	40518__R5E7S2__RBL263_00671
ERR1913181.1689949__1.1689949	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1690109__1.1690109	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1690134__1.1690134	40520__A5ZSL9__DXC87_07025
ERR1913181.1690218__1.1690218	47678__R5U978__ERS852558_01076
ERR1913181.1690264__1.1690264	1262882__R5MIC9__BN519_00834
ERR1913181.1690409__1.1690409	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1690539__1.1690539	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1690581__1.1690581	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1690627__1.1690627	374844__GeneID:1260912
ERR1913181.1690835__1.1690835	374840__GeneID:2546403
ERR1913181.1690895__1.1690895	40518__A0A1C6H844__DXD93_02510
ERR1913181.1690841__1.1690841	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1691324__1.1691324	1472761__GCA_002159295.1_00743
ERR1913181.1691538__1.1691538	1735__B7CCE4__EUBIFOR_01871
ERR1913181.1691553__1.1691553	1262915__R6HB57__BN574_01044
ERR1913181.1691614__1.1691614	33043__A0A173WXS1__ERS852445_00262
ERR1913181.1691874__1.1691874	116085__D4J3V2__DW747_12375
ERR1913181.1691973__1.1691973	853__A0A173XRA8__CGS56_09290
ERR1913181.1692023__1.1692023	33043__D5HED4__ERS852575_01589
ERR1913181.1692036__1.1692036	1262882__R5MLE6__BN519_01423
ERR1913181.1692050__1.1692050	1262882__R5MIC9__BN519_00834
ERR1913181.1692097__1.1692097	239935__A0A2N8IAY7__CXU13_02935
ERR1913181.1692098__1.1692098	29361__B6FRT6__CLONEX_02860
ERR1913181.1692242__1.1692242	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913181.1692262__1.1692262	357276__B6W1Y1__BSEG_03960
ERR1913181.1692296__1.1692296	239935__A0A139TSG7__CXU17_09600
ERR1913181.1692372__1.1692372	1735__A0A395W638__EUBIFOR_00262
ERR1913181.1692424__1.1692424	1735__B7C896__EUBIFOR_00393
ERR1913181.1692888__1.1692888	329854__R5M2W2__DXD57_07845
ERR1913181.1692818__1.1692818	1262882__R5MJ49__BN519_01124
ERR1913181.1692841__1.1692841	47678__R5UAG4__DW706_17045
ERR1913181.1692913__1.1692913	40518__R5DUG7__sbcC
ERR1913181.1692964__1.1692964	1262882__R5MIW5__BN519_00945
ERR1913181.1693113__1.1693113	1150298__A0A174I2L4__ERS852535_01377
ERR1913181.1693145__1.1693145	1262911__R6HNT6__BN557_01082
ERR1913181.1693315__1.1693315	1262882__R5MFA5__BN519_00331
ERR1913181.1693330__1.1693330	374844__GeneID:1260912
ERR1913181.1693488__1.1693488	1262882__R5N532__BN519_01420
ERR1913181.1693521__1.1693521	1262911__R6H2J2__BN557_01228
ERR1913181.1694141__1.1694141	47678__R5UBT0__CGC64_12195
ERR1913181.1694198__1.1694198	47678__R5UER2__CGC64_00710
ERR1913181.1694330__1.1694330	46228__V8CDM9__HMPREF1202_00303
ERR1913181.1694359__1.1694359	40518__R5E304__thiT
ERR1913181.1694482__1.1694482	39492__D4JWB3__EUBSIR_00040
ERR1913181.1694520__1.1694520	47678__R5UMC3__CGC64_08380
ERR1913181.1694530__1.1694530	28117__B0MST8__ALIPUT_00310
ERR1913181.1694612__1.1694612	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1694621__1.1694621	1680__A0A076JM61__DXD63_05245
ERR1913181.1694657__1.1694657	1262911__R6H174__BN557_01246
ERR1913181.1694953__1.1694953	853__C7H7F5__DWZ46_01780
ERR1913181.1695046__1.1695046	39492__D4JRM9__bglB_2
ERR1913181.1695070__1.1695070	40518__R5E2R8__nnr_2
ERR1913181.1695215__1.1695215	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1695259__1.1695259	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1695312__1.1695312	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1695494__1.1695494	357276__A0A076IXE0__HMPREF1064_04364
ERR1913181.1695593__1.1695593	1680__A0A0C2YNK5__BADO_0780
ERR1913181.1695698__1.1695698	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1695755__1.1695755	1124654__GeneID:14005759
ERR1913181.1695919__1.1695919	820__E5VEH7__ERS852459_01300
ERR1913181.1695899__1.1695899	1735__B7C8T4__EUBIFOR_00588
ERR1913181.1696138__1.1696138	39492__D4JTI2__ERS852540_00694
ERR1913181.1696149__1.1696149	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1696236__1.1696236	853__A0A173T0Y8__CGS54_07215
ERR1913181.1696332__1.1696332	39492__D4JQY4__EUBSIR_01325
ERR1913181.1696409__1.1696409	39492__D4JUR4__ERS852540_01427
ERR1913181.1696462__1.1696462	187327__G4Q5F1__Acin_2129
ERR1913181.1696516__1.1696516	1262911__R6H2B5__BN557_01151
ERR1913181.1696854__1.1696854	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1696966__1.1696966	511969__GeneID:3959334
ERR1913181.1697177__1.1697177	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1697686__1.1697686	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1697824__1.1697824	1150298__A0A174HYM9__ERS852406_01664
ERR1913181.1697836__1.1697836	1262882__R5MGK3__BN519_00655
