ERR1913258.46__1.46	1550024__A0A0D8IWM4__TQ39_15635
ERR1913258.236765__1.236765	39491__A0A396FRK0__ERS852417_00541
ERR1913258.236780__1.236780	1680__A0A3E4SB79__BAD_1517
ERR1913258.236902__1.236902	371601__I9A9S3__ERS852396_01220
ERR1913258.236917__1.236917	1680__A0A3E4SB79__BAD_1517
ERR1913258.236924__1.236924	28117__B0MY41__BHV66_05165
ERR1913258.237176__1.237176	1262848__R6UBC5__BN818_01849
ERR1913258.237218__1.237218	357276__I9QWD4__DXD47_15075
ERR1913258.237222__1.237222	454154__G5STF9__HMPREF9441_02662
ERR1913258.237236__1.237236	2173__A0A1D2WU48__Msm_1454
ERR1913258.237463__1.237463	823__A0A355XLH0__fepA_1
ERR1913258.237487__1.237487	239935__A0A2N8IVR0__CXT87_07115
ERR1913258.237628__1.237628	1262942__R7QVY5__BN520_00657
ERR1913258.237610__1.237610	820__A7V092__hldE
ERR1913258.237653__1.237653	116085__D4J3X4__DW747_12270
ERR1913258.237783__1.237783	39485__A0A174ZPH7__ERS852490_01992
ERR1913258.237810__1.237810	33043__A0A174CPX4__ERS852386_02360
ERR1913258.238117__1.238117	1262736__R5YMG1__BN496_00514
ERR1913258.238250__1.238250	1262848__R6TXS3__BN818_00318
ERR1913258.238370__1.238370	1680__A7A7Z9__AAX71_05385
ERR1913258.238391__1.238391	820__A0A3E5BMG9__DXD40_05130
ERR1913258.238473__1.238473	166486__D4L1D8__ROSINTL182_06455
ERR1913258.238438__1.238438	39491__A0A2U2EI54__DXD95_12010
ERR1913258.238577__1.238577	1681__A0A0H3E849__BBJK_01758
ERR1913258.238612__1.238612	39491__A0A395V1R3__T1815_08181
ERR1913258.238656__1.238656	1680__R5GRA4__ERS852382_01548
ERR1913258.238692__1.238692	1681__U2BXF8__DXC70_05435
ERR1913258.239196__1.239196	1262911__R6H1B2__BN557_00840
ERR1913258.239362__1.239362	1680__A0A087DLC6__C8077_00815
ERR1913258.239509__1.239509	40518__R5E1J7__RBL236_02062
ERR1913258.239553__1.239553	1550024__A0A0D8IWE6__ASJ35_08175
ERR1913258.239578__1.239578	1263107__GCA_000436995.1_00056
ERR1913258.239729__1.239729	357276__A0A076IP73__BACDOR_04237
ERR1913258.239839__1.239839	28052__A0A174JFU5__yhbU_1
ERR1913258.239843__1.239843	1308__Q5M5Z8__STACADC2_0257
ERR1913258.239865__1.239865	39491__C4ZEW3__T1815_18241
ERR1913258.239875__1.239875	239935__A0A2N8HW65__CXU09_08515
ERR1913258.239909__1.239909	28117__B0MTH2__ALIPUT_00061
ERR1913258.240118__1.240118	39488__C0EWC5__EHLA_2843
ERR1913258.240068__1.240068	39491__C4ZC33__DXC13_11585
ERR1913258.240069__1.240069	1262942__R7R0S8__BN520_02387
ERR1913258.240077__1.240077	39488__A0A285PUH7__ERS852450_00520
ERR1913258.240181__1.240181	246787__A0A0P0GLJ1__BcellWH2_01674
ERR1913258.240402__1.240402	820__A0A3E5E0T0__ERS852554_00312
ERR1913258.240797__1.240797	45851__D4RYQ0__BUTYVIB_00958
ERR1913258.241041__1.241041	1680__A0A2R4G1K8__BBMN23_0315
ERR1913258.241057__1.241057	1579__A0A3A9YGM6__DBQ42_07305
ERR1913258.241273__1.241273	1680__R5GR82__AD0028_0014
ERR1913258.241341__1.241341	214856__I3YPI7__pepD_1
ERR1913258.241623__1.241623	820__A0A174F0C1__nreB
ERR1913258.241762__1.241762	39491__C4ZC33__DXC13_11585
ERR1913258.241776__1.241776	357276__A0A076IRV2__BACDOR_02822
ERR1913258.241823__1.241823	1550024__G9RT62__ASJ35_10800
ERR1913258.241996__1.241996	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913258.242093__1.242093	1550024__G9RWE3__TQ39_04170
ERR1913258.242211__1.242211	1308__G6ERN5__A9497_05625
ERR1913258.242257__1.242257	239935__A0A2N8IMC3__CXT96_03840
ERR1913258.242319__1.242319	1262736__R5Y7T6__BN496_00858
ERR1913258.242395__1.242395	39491__A0A395UZ82__EUR_31520
ERR1913258.242749__1.242749	28111__R5K5Y0__NCTC11155_03071
ERR1913258.242827__1.242827	1680__A0A174BEE7__BSTER_1311
ERR1913258.243019__1.243019	1263107__GCA_000436995.1_00099
ERR1913258.243048__1.243048	1262992__R5D1X3__BN795_00176
ERR1913258.243159__1.243159	1303__A0A139RM62__B7729_06890
ERR1913258.243270__1.243270	1262848__R6U0K1__BN818_00616
ERR1913258.243407__1.243407	1308__A0A0M3RT46__CV712_09030
ERR1913258.243590__1.243590	454155__F3QU38__HMPREF9442_01709
ERR1913258.243607__1.243607	88431__A0A174IEH2__DXB16_05910
ERR1913258.243613__1.243613	884684__GCA_002892425.1_01408
ERR1913258.243649__1.243649	410072__C0B9G1__ERS852525_01203
ERR1913258.244207__1.244207	907__G0VRJ9__SAMN04488492_101228
ERR1913258.244369__1.244369	39491__A0A395ZHW3__ERS852417_01359
ERR1913258.244468__1.244468	1304__F8LKU2__CGZ74_08405
ERR1913258.244542__1.244542	2173__A0A1D2WUJ0__Msm_1370
ERR1913258.244561__1.244561	40518__R5DRY6__RB5AMG_00549
ERR1913258.244657__1.244657	239935__A0A139TVJ4__CXT86_02020
ERR1913258.244702__1.244702	1680__A0A173W9E6__C8077_07070
ERR1913258.244924__1.244924	39492__D4JVG1__ERS852540_00951
ERR1913258.244875__1.244875	239935__A0A2N8I6R6__CXU04_04335
ERR1913258.244948__1.244948	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913258.245231__1.245231	1263107__GCA_000436995.1_00249
ERR1913258.245397__1.245397	239935__A0A2N8IRW0__A4V05_11620
ERR1913258.245352__1.245352	820__A7VAR9__ERS852421_00197
ERR1913258.245362__1.245362	1680__A0A174BEE7__BSTER_1311
ERR1913258.245446__1.245446	40518__R5DXI4__DXD86_07420
ERR1913258.245490__1.245490	39492__D4JT75__EUBSIR_01776
ERR1913258.245793__1.245793	1550024__G9RTW5__TQ39_08270
ERR1913258.246337__1.246337	45851__D4S1R9__BHV86_08150
ERR1913258.246271__1.246271	1897011__A0A1Q6RH58__BHW41_01950
ERR1913258.246289__1.246289	1263011__R6DPZ5__BN553_01010
ERR1913258.247274__1.247274	239935__R7DVW2__CXU02_03915
ERR1913258.247215__1.247215	1262911__R6HJZ1__BN557_00331
ERR1913258.247381__1.247381	884684__GCA_002892425.1_01408
ERR1913258.247390__1.247390	626940__E8LGB7__BN587_02010
ERR1913258.247597__1.247597	33043__A0A173X520__ERS852575_01617
ERR1913258.247663__1.247663	39485__A0A174Z851__cdaR_1
ERR1913258.247886__1.247886	1550024__A0A0D8IZ16__ASJ35_10840
ERR1913258.247924__1.247924	1262848__R6VHS2__BN818_01514
ERR1913258.247970__1.247970	1681__A0A151C793__DD715_06350
ERR1913258.247978__1.247978	1680__A0A1E7Y0K2__DXC59_05185
ERR1913258.248104__1.248104	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913258.248148__1.248148	820__A0A3E4VZY4__ERS852554_01211
ERR1913258.248469__1.248469	39491__A0A395ZGU6__ERS852417_01456
ERR1913258.248523__1.248523	626940__R6X0Z1__DCQ00_01035
ERR1913258.248564__1.248564	820__A7VAR9__ERS852421_00197
ERR1913258.248937__1.248937	1262992__R5DDC9__BN795_00492
ERR1913258.249006__1.249006	1150298__A0A174U8I6__ERS852535_02809
ERR1913258.249007__1.249007	1150298__A0A174U8I6__ERS852535_02809
ERR1913258.249035__1.249035	1262924__R7HLJ5__BN585_01491
ERR1913258.249152__1.249152	1262848__R6TXS3__BN818_00318
ERR1913258.249277__1.249277	39491__A0A396FKG5__DXB76_07455
ERR1913258.249413__1.249413	39491__A0A396FMF1__EUR_28700
ERR1913258.249812__1.249812	39491__A0A396FBR6__DXC13_08575
ERR1913258.250045__1.250045	357276__I9FRW5__B5F95_21685
ERR1913258.250064__1.250064	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913258.250227__1.250227	39492__A0A174ZG93__EUBSIR_00254
ERR1913258.250582__1.250582	239935__R7DVW2__CXU02_03915
ERR1913258.250678__1.250678	1150298__A0A174LYE0__ERS852535_00529
ERR1913258.250809__1.250809	239935__A0A2N8IRH4__CXT92_05605
ERR1913258.250811__1.250811	216816__A0A083X5W4__HMPREF0177_01593
ERR1913258.250828__1.250828	820__A0A1Q6IDS8__chtA
ERR1913258.250835__1.250835	28117__B0MUY3__BHV66_00515
ERR1913258.250836__1.250836	39491__A0A396FP46__cobD_2
ERR1913258.250849__1.250849	28111__E5X119__NCTC11155_02426
ERR1913258.250854__1.250854	357276__I8WEZ6__BACDOR_02323
ERR1913258.251182__1.251182	39485__C4Z6E8__EUBELI_20395
ERR1913258.251637__1.251637	33043__D5HIS6__ERS852575_02019
ERR1913258.251765__1.251765	39491__R6TQ09__DXC13_03010
ERR1913258.251773__1.251773	357276__B6VUQ5__B5F00_10940
ERR1913258.251908__1.251908	1683__C4FFP8__BIFANG_03162
ERR1913258.251974__1.251974	39491__A0A396FNY7__LD38_16155
ERR1913258.251991__1.251991	1550024__G9RVU1__TQ39_06560
ERR1913258.252066__1.252066	39491__A0A174EQV2__DXB69_10230
ERR1913258.252269__1.252269	1522__A0A175A9N8__SAMN05216507_11521
ERR1913258.252298__1.252298	46503__A7AG59__ERS852463_00349
ERR1913258.252515__1.252515	39488__A0A173SMQ7__EUBHAL_00819
ERR1913258.252487__1.252487	357276__A0A1Y4PPG2__B5F95_02305
ERR1913258.252598__1.252598	1680__A0A174BEE7__BSTER_1311
ERR1913258.252862__1.252862	1263107__GCA_000436995.1_00020
ERR1913258.252892__1.252892	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913258.253188__1.253188	45851__D4RY08__BUTYVIB_00711
ERR1913258.253362__1.253362	1262848__R6UNC8__BN818_01440
ERR1913258.253393__1.253393	33043__A0A374K1H3__ykoD_2
ERR1913258.253449__1.253449	40518__R5E0F2__RBATCC27255_01890
ERR1913258.253525__1.253525	33043__D5HHT0__ERS852445_02798
ERR1913258.253605__1.253605	1680__A0A087DHN0__AL0462_1532
ERR1913258.253766__1.253766	1150298__A0A174HXS4__ERS852498_00503
ERR1913258.253860__1.253860	301302__A0A0M6WTB1__M72_11101
ERR1913258.253896__1.253896	907__S7HS10__SAMN04488492_1154
ERR1913258.254039__1.254039	1262882__R5MSX6__BN519_01697
ERR1913258.254046__1.254046	39491__A0A395ZGU6__ERS852417_01456
ERR1913258.254159__1.254159	187327__G4Q6E0__ACDG_00710
ERR1913258.254171__1.254171	301301__A0A395VCJ3__cbiT
ERR1913258.254117__1.254117	28117__B0MSS1__ALIPUT_00273
ERR1913258.254385__1.254385	1680__A0A0C2VBJ4__birA
ERR1913258.254487__1.254487	33039__A0A173U4W1__ERS852502_00464
ERR1913258.254760__1.254760	1262924__R7HP98__BN585_02065
ERR1913258.255184__1.255184	820__A0A374Q8T2__DXB64_16190
ERR1913258.255496__1.255496	39491__A0A173QT73__alaS_2
ERR1913258.255776__1.255776	28117__B0MVL2__BHV66_01645
ERR1913258.255781__1.255781	39491__A0A395UZ82__EUR_31520
ERR1913258.255932__1.255932	1681__A0A0H2PP44__BBTM_02041
ERR1913258.255933__1.255933	1262924__R7HST1__BN585_00215
ERR1913258.255951__1.255951	39491__C4Z872__LD38_07250
ERR1913258.255991__1.255991	74426__group_1871
ERR1913258.256081__1.256081	40520__A5ZY33__DXC87_11790
ERR1913258.256085__1.256085	301302__R5UKF2__M72_19701
ERR1913258.256275__1.256275	1263011__R6DX70__BN553_00897
ERR1913258.256383__1.256383	1897011__A0A1Q6RF88__BHW41_03295
ERR1913258.256506__1.256506	1262848__R6U1W9__BN818_00751
ERR1913258.256507__1.256507	39491__C4ZC33__DXC13_11585
ERR1913258.256532__1.256532	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913258.256884__1.256884	1262736__R5Y4Y4__BN496_00383
ERR1913258.256934__1.256934	40518__R5DSI5__fieF
ERR1913258.256962__1.256962	39491__A0A395V1Y4__DXB99_08035
ERR1913258.257232__1.257232	39485__A0A174YTX0__mro
ERR1913258.257572__1.257572	357276__C3RA36__HMPREF1065_03270
ERR1913258.257586__1.257586	239935__A0A2N8HAQ1__DEF40_05290
ERR1913258.257703__1.257703	39491__D6E4H2__DXB99_00485
ERR1913258.257966__1.257966	40518__R5E4V5__RBL263_01242
ERR1913258.257972__1.257972	28117__B0MYI9__BHV66_05415
ERR1913258.258006__1.258006	246787__I9EAB0__BACCELL_00131
ERR1913258.257994__1.257994	29361__B6FPC9__CLONEX_01992
ERR1913258.258336__1.258336	626929__F3PGX9__HMPREF9445_01323
ERR1913258.258417__1.258417	1680__A0A0B5BME4__DXD63_05015
ERR1913258.258429__1.258429	39491__C4Z9E9__T1815_12341
ERR1913258.258528__1.258528	1680__A0A0B5BKZ3__DXD60_01450
ERR1913258.258944__1.258944	1262924__R7HQV3__BN585_00017
ERR1913258.259171__1.259171	1550024__G9RQ59__TQ39_14360
ERR1913258.259209__1.259209	1262848__R6U9D6__BN818_01628
ERR1913258.259334__1.259334	1550024__A0A0D8IYM8__ASJ35_18670
ERR1913258.259462__1.259462	1897011__A0A1Q6RG48__BHW41_02345
ERR1913258.259609__1.259609	39491__A0A395ZHW9__DXC13_02590
ERR1913258.259787__1.259787	1262848__R6UBC5__BN818_01849
ERR1913258.259799__1.259799	820__A0A174M9V5__M093_0237
ERR1913258.259924__1.259924	39488__A0A173URJ8__misCB
ERR1913258.259936__1.259936	1681__I3WGI8__DD715_03705
ERR1913258.260033__1.260033	487174__K0X7X4__DIT83_09125
ERR1913258.260471__1.260471	40520__R7D5D8__DXD81_09550
ERR1913258.260484__1.260484	216816__B7GQ29__APC1465_1199
ERR1913258.260620__1.260620	239935__A0A2N8I6R6__CXU04_04335
ERR1913258.260637__1.260637	1262924__R7HLK0__BN585_01496
ERR1913258.260715__1.260715	1681__K2I8N0__DXD62_05100
ERR1913258.260733__1.260733	45851__D4RZ84__BUTYVIB_01149
ERR1913258.260762__1.260762	246787__R6K756__HMPREF1062_01819
ERR1913258.260913__1.260913	28025__D3R3W5__DD682_00780
ERR1913258.261031__1.261031	239935__R6JAS2__CXU02_10725
ERR1913258.261145__1.261145	39491__R6UMS6__DXD13_07035
ERR1913258.261329__1.261329	28117__B0MU58__BHV66_05630
ERR1913258.261649__1.261649	2173__A0A1D2WRS4__METSMIALI_00521
ERR1913258.261609__1.261609	458033__GCA_001482755.1_02203
ERR1913258.261772__1.261772	1262992__R5DDW9__BN795_00572
ERR1913258.261929__1.261929	1796613__A0A1C7H300__A4V03_17350
ERR1913258.262149__1.262149	1262848__R6VHM5__BN818_01501
ERR1913258.262227__1.262227	820__A0A396EWL3__ERS417307_03868
ERR1913258.262273__1.262273	1262911__R6GQM3__BN557_01245
ERR1913258.262287__1.262287	39491__C4ZAT2__ERE_28440
ERR1913258.262334__1.262334	1550024__G9RYR1__TQ39_01725
ERR1913258.262415__1.262415	384638__B7APN3__BACPEC_00639
ERR1913258.262500__1.262500	1343__E3CRN8__HMPREF9192_0959
ERR1913258.262580__1.262580	1680__A0A173Y6N7__yhaH
ERR1913258.262670__1.262670	28117__B0MY36__BHV66_05185
ERR1913258.263020__1.263020	1262848__R6UFE6__BN818_00496
ERR1913258.263132__1.263132	239935__R7DVW2__CXU02_03915
ERR1913258.263604__1.263604	39488__A0A174BSK2__ERS852450_01031
ERR1913258.263743__1.263743	216816__C2GTV2__BLIF_0674
ERR1913258.263718__1.263718	39491__A0A395UXH0__EUBREC_0021
ERR1913258.263858__1.263858	394340__ppdK
ERR1913258.264009__1.264009	39491__A0A395ZDC6__addB
ERR1913258.264218__1.264218	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913258.264428__1.264428	39485__C4Z5L2__ERS852490_00659
ERR1913258.264454__1.264454	487174__K0X488__HMPREF9448_00323
ERR1913258.264509__1.264509	1680__A0A087DHN0__AL0462_1532
ERR1913258.264486__1.264486	1681__A0A0H2P0H2__IF232_0799
ERR1913258.264672__1.264672	246787__R6KQ08__AA416_01934
ERR1913258.264772__1.264772	28025__A0A0L7CWM5__BALAC2494_00678
ERR1913258.264782__1.264782	1897011__A0A1Q6RCY0__BHW41_05945
ERR1913258.264879__1.264879	1681__A0A0H3ECG3__BBBF_1813
ERR1913258.264880__1.264880	74426__rpoC
ERR1913258.264994__1.264994	301301__A0A395VBI2__RHOM_00545
ERR1913258.265141__1.265141	39491__A0A395V5L2__ERE_28270
ERR1913258.265203__1.265203	45851__D4RWC3__BUTYVIB_00254
ERR1913258.265206__1.265206	239935__R6K0V8__CXT94_02055
ERR1913258.265331__1.265331	1262736__R5YWX2__BN496_01074
ERR1913258.265503__1.265503	1262911__R6H2J2__BN557_01228
ERR1913258.265714__1.265714	820__A0A3E4XM43__DXC91_13960
ERR1913258.265804__1.265804	1263000__R5EGY6__BN466_00973
ERR1913258.265772__1.265772	907__G0VPQ1__AZ49_11950
ERR1913258.265782__1.265782	39492__D4MIK7__EUBSIR_00676
ERR1913258.266022__1.266022	907__A0A1M6MZB9__C6Y28_08765
ERR1913258.266132__1.266132	1680__R5GR82__AD0028_0014
ERR1913258.266158__1.266158	357276__A0A076IR37__DXD47_07890
ERR1913258.266438__1.266438	2173__A0A1D2WY02__BK798_00680
ERR1913258.266525__1.266525	1680__A0A0C2YNK5__BADO_0780
ERR1913258.266633__1.266633	88431__A0A174RV97__ERS852573_01297
ERR1913258.266766__1.266766	1262736__R5Y3Y0__BN496_01937
ERR1913258.266800__1.266800	45851__D4RXA4__BUTYVIB_00455
ERR1913258.267452__1.267452	239935__R6JCH3__CXT95_08205
ERR1913258.267649__1.267649	239935__A0A139TPU7__CXT91_06575
ERR1913258.268181__1.268181	823__A0A069SAX6__ERS852380_00710
ERR1913258.268185__1.268185	626940__E8LB53__holA
ERR1913258.268316__1.268316	39491__A0A174EQV2__DXB69_10230
ERR1913258.268410__1.268410	1680__R5GKP2__DXD60_06200
ERR1913258.268411__1.268411	1262736__R5YX38__BN496_01145
ERR1913258.268422__1.268422	410072__C0BD90__rpoD
ERR1913258.268546__1.268546	239935__A0A2N8IV82__CXT99_06735
ERR1913258.268671__1.268671	454155__F3QX23__HMPREF9442_02757
ERR1913258.268714__1.268714	1263000__R5EQY7__BN466_01150
ERR1913258.268881__1.268881	301301__A0A174C8W8__ERS852391_01378
ERR1913258.268949__1.268949	1263109__GCA_000438135.1_01395
ERR1913258.269139__1.269139	74426__asnS
ERR1913258.269371__1.269371	1263030__R5CRR4__BN705_00100
ERR1913258.269813__1.269813	820__A0A139K4T0__ERS852510_03146
ERR1913258.269910__1.269910	1150298__R7JRK4__ERS852406_01648
ERR1913258.269823__1.269823	39491__A0A173TFQ1__rsmF
ERR1913258.269919__1.269919	1680__A0A173XYA2__B0703_0121
ERR1913258.269978__1.269978	39491__D4JMW8__ERS852497_01971
ERR1913258.270036__1.270036	2173__A0A1D2WXL3__Msm_1788
ERR1913258.270418__1.270418	216816__D6ZXY6__BL105A_0298
ERR1913258.270518__1.270518	116085__D4J7G1__DW747_10355
ERR1913258.270527__1.270527	28117__R7JMT0__BHV66_05875
ERR1913258.270611__1.270611	301302__A0A173TEJ2__M72_09031
ERR1913258.270633__1.270633	239935__A0A3F3K985__CXT98_05805
ERR1913258.270742__1.270742	239935__A0A2N8HT18__CXT93_06135
ERR1913258.270849__1.270849	1680__R5GR82__AD0028_0014
ERR1913258.270854__1.270854	649756__A0A174L4G4__cls_1
ERR1913258.270857__1.270857	28117__B0MTV5__BHV66_06415
ERR1913258.270909__1.270909	853__A0A173T0Y8__CGS54_07215
ERR1913258.271016__1.271016	1263000__R5EXT3__BN466_02213
ERR1913258.271152__1.271152	1680__A0A087DHN0__AL0462_1532
ERR1913258.271177__1.271177	820__A7V049__DXB48_04755
ERR1913258.271284__1.271284	29361__B6FPC9__CLONEX_01992
ERR1913258.271383__1.271383	418240__A0A174AX68__ERS852478_00844
ERR1913258.271521__1.271521	1550024__G9RYX6__ASJ35_10025
ERR1913258.271550__1.271550	1680__R5GSL8__DXD60_03315
ERR1913258.271606__1.271606	1680__A0A174BEE7__BSTER_1311
ERR1913258.271607__1.271607	74426__group_4823
ERR1913258.271623__1.271623	39491__A0A395ZGE4__ERS852497_01269
ERR1913258.271762__1.271762	1897011__A0A1Q6RH29__BHW41_01570
ERR1913258.271820__1.271820	40520__A0A174Q336__RUMOBE_02539
ERR1913258.271914__1.271914	39485__C4Z1Y9__EUBELI_00143
ERR1913258.271827__1.271827	1897011__A0A1Q6RI94__BHW41_01260
ERR1913258.272001__1.272001	239935__A0A2N8HQR1__Amuc_0287
ERR1913258.272094__1.272094	1680__A0A1X2ZKM8__B5789_0981
ERR1913258.272293__1.272293	820__A0A3E4WCX3__C801_02709
ERR1913258.272649__1.272649	216816__B7GQM4__BLIC_f01073
ERR1913258.272893__1.272893	216816__C2GSX7__DD678_03555
ERR1913258.273076__1.273076	820__R9I2U8__DXC68_09590
ERR1913258.273082__1.273082	1263107__GCA_000436995.1_00032
ERR1913258.273309__1.273309	1680__A0A0C2YPV2__AL0462_1474
ERR1913258.273502__1.273502	40520__A0A396A2X4__RUMOBE_00875
ERR1913258.273935__1.273935	1550024__A0A0D8IY61__ASJ35_05690
ERR1913258.274010__1.274010	28117__B0MXW9__ALIPUT_01981
ERR1913258.274184__1.274184	39485__C4Z0B2__EUBELI_01024
ERR1913258.274300__1.274300	1550024__G9RY06__TQ39_00225
ERR1913258.274400__1.274400	40518__R5DYT8__mscS
ERR1913258.274410__1.274410	28052__A0A174GQI3__ERS852451_00394
ERR1913258.274429__1.274429	28117__R7JJM9__ALIPUT_00662
ERR1913258.274486__1.274486	907__G0VQV7__JY94_08330
ERR1913258.274630__1.274630	28117__B0MYP3__BHV66_04995
ERR1913258.274752__1.274752	39491__A0A396FUZ3__phoR_1
ERR1913258.274804__1.274804	39488__A0A173TCD3__lytR_1
ERR1913258.274906__1.274906	239935__R6JWM7__CXU14_12295
ERR1913258.275526__1.275526	39491__A0A396FUZ3__phoR_1
ERR1913258.275608__1.275608	39491__A0A395UZ89__DXB72_12805
ERR1913258.275674__1.275674	28052__A0A174IKM0__ERS852499_00833
ERR1913258.275981__1.275981	239935__A0A2N8IRL2__CXU06_01170
ERR1913258.276116__1.276116	239935__A0A2N8IUW6__Amuc_1525
ERR1913258.276148__1.276148	387090__S0F8B2__BACCOPRO_02129
ERR1913258.276236__1.276236	46503__R6WVI6__HMPREF1060_03610
ERR1913258.276391__1.276391	239935__A0A2N8I5A2__DEF40_08455
ERR1913258.276756__1.276756	39491__C4Z9K0__DXD95_07445
ERR1913258.276804__1.276804	821__A0A395UNT8__DXD64_15275
ERR1913258.276909__1.276909	357276__I8WEZ6__BACDOR_02323
ERR1913258.276946__1.276946	239935__A0A2N8I7W6__CXT90_04245
ERR1913258.277013__1.277013	2173__A5UNB7__BK798_05290
ERR1913258.277186__1.277186	1579__A0A3A9Y4Q4__DB331_04850
ERR1913258.277237__1.277237	1262924__R7HML0__BN585_01508
ERR1913258.277361__1.277361	39491__A0A395ZJZ1__LD38_01870
ERR1913258.277564__1.277564	39488__A0A173RDQ1__EUBHAL_02348
ERR1913258.277502__1.277502	28117__B0MWZ9__ALIPUT_01735
ERR1913258.277743__1.277743	239935__A0A2N8IVK9__CXU08_03750
ERR1913258.277793__1.277793	1680__R5GSL8__DXD60_03315
ERR1913258.277849__1.277849	649756__B0P3M9__ERS852475_01934
ERR1913258.277822__1.277822	2049043__A0A316N1A7__cls
ERR1913258.277998__1.277998	39492__D4JRV7__EUBSIR_01513
ERR1913258.278042__1.278042	357276__A0A076IS73__GV66_00410
ERR1913258.278311__1.278311	1262882__R5N4P6__BN519_01346
ERR1913258.278506__1.278506	1150298__A0A174RJU1__gsiA_4
ERR1913258.278586__1.278586	1262911__R6HGD7__BN557_00108
ERR1913258.278663__1.278663	458033__GCA_001482755.1_02203
ERR1913258.278764__1.278764	357276__D1K3K9__EL88_23995
ERR1913258.278841__1.278841	40520__A0A395X2X5__C4886_03165
ERR1913258.278918__1.278918	820__A0A3E4G8F8__ERS852421_01645
ERR1913258.278975__1.278975	1099853__G9S8I7__NSB1T_12985
ERR1913258.278988__1.278988	39491__A0A396FMF1__EUR_28700
ERR1913258.279017__1.279017	907__G0VS55__SAMN02910401_00065
ERR1913258.279064__1.279064	39491__D4JMW8__ERS852497_01971
ERR1913258.279171__1.279171	1680__R5GZF2__DXC60_01925
ERR1913258.279213__1.279213	216816__A0A133L1E2__ptsP
ERR1913258.279334__1.279334	1262736__R5YMG1__BN496_00514
ERR1913258.279401__1.279401	216816__A0A1V8QFN0__HMPREF1315_0061
ERR1913258.279600__1.279600	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913258.279747__1.279747	239935__A0A2N8IUQ8__CXU09_01665
ERR1913258.280264__1.280264	1550024__A0A0D8J230__TQ39_04480
ERR1913258.280290__1.280290	1550024__G9RTW5__TQ39_08270
ERR1913258.280349__1.280349	1262945__R6YM76__BN600_01248
ERR1913258.280320__1.280320	1262882__R5MRT2__BN519_01494
ERR1913258.280400__1.280400	1680__R5GRA4__ERS852382_01548
ERR1913258.280485__1.280485	572010__ydhV
ERR1913258.280626__1.280626	357276__A0A076IKP2__HMPREF1063_00218
ERR1913258.280832__1.280832	39488__C0EUW7__ERS852578_01381
ERR1913258.280933__1.280933	853__A0A173XRA8__CGS56_09290
ERR1913258.280935__1.280935	552398__F4XHJ6__HMPREF0866_03100
ERR1913258.281069__1.281069	1681__A0A2U0BVK5__B0156_0307
ERR1913258.281083__1.281083	28111__B0NT39__NCTC11155_02876
ERR1913258.281086__1.281086	1680__A7A4N3__ERS852382_00779
ERR1913258.281155__1.281155	1308__A0A0M5JQG5__A9497_00900
ERR1913258.281649__1.281649	1263011__R6EMB0__BN553_01865
ERR1913258.281656__1.281656	33043__D5HHE4__ERS852445_02332
ERR1913258.282089__1.282089	1262992__R5D5Z8__BN795_00201
ERR1913258.282139__1.282139	1680__R5GMB5__AD0028_1137
ERR1913258.282232__1.282232	39488__A0A173T8Z7__hemZ_2
ERR1913258.282250__1.282250	28117__B0MTS2__ALIPUT_00159
ERR1913258.282313__1.282313	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913258.282437__1.282437	40520__R7D9L9__DXC87_14715
ERR1913258.282588__1.282588	28025__A0A0L7CYK2__DD683_02425
ERR1913258.282532__1.282532	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913258.282826__1.282826	45851__D4RZF4__BUTYVIB_01220
ERR1913258.283030__1.283030	39491__A0A396FF66__DXD95_01810
ERR1913258.282984__1.282984	907__G0VQB0__C6362_00485
ERR1913258.282997__1.282997	1685__A0A3D8UE34__NRBB18_0294
ERR1913258.283249__1.283249	1262848__R6VF33__BN818_01266
ERR1913258.283157__1.283157	239935__A0A139TMG9__CXU07_10650
ERR1913258.283451__1.283451	39491__A0A396FFW0__ERE_10580
ERR1913258.283716__1.283716	39491__A0A174K1W6__DXB99_15020
ERR1913258.283958__1.283958	246787__A0A0P0GCH1__BACCELL_02793
ERR1913258.283921__1.283921	239935__A0A2N8I6R6__CXU04_04335
ERR1913258.284152__1.284152	1680__A0A1E7XZY9__DXC60_05815
ERR1913258.284215__1.284215	214856__R6Y7P0__ERS852447_00307
ERR1913258.284448__1.284448	626940__E8LE43__BN587_02187
ERR1913258.284719__1.284719	1262924__R7HML0__BN585_01508
ERR1913258.284811__1.284811	40518__R5DVL2__penA
ERR1913258.284986__1.284986	239935__B2UL82__CXU14_06655
ERR1913258.285064__1.285064	1263000__R5EXT3__BN466_02213
ERR1913258.285100__1.285100	1680__A0A374QDL4__LMG18897_0432
ERR1913258.285176__1.285176	1262848__R6U4T9__BN818_00690
ERR1913258.285269__1.285269	1681__K2I8N0__DXD62_05100
