ERR1913285.200__1.200	33043__A0A173YEP6__ERS852575_00888
ERR1913285.280651__1.280651	28117__B0MYW5__ALIPUT_02334
ERR1913285.280818__1.280818	1262743__R5CCN6__BN727_02239
ERR1913285.280979__1.280979	165179__D1PAJ7__PREVCOP_04222
ERR1913285.281118__1.281118	853__A8SCP3__C4N26_07960
ERR1913285.281175__1.281175	821__E5UY21__C800_02204
ERR1913285.281142__1.281142	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913285.281158__1.281158	165179__A0A229I2W6__PREVCOP_04332
ERR1913285.281198__1.281198	39485__A0A174ZKZ4__spoIIQ_1
ERR1913285.281239__1.281239	165179__D1P9T6__PREVCOP_04016
ERR1913285.281266__1.281266	214856__A0A174ZLY7__ERS852447_02456
ERR1913285.281410__1.281410	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913285.281377__1.281377	39491__A0A396FMF1__EUR_28700
ERR1913285.281648__1.281648	1262743__R5C9H2__BN727_02240
ERR1913285.281720__1.281720	1262803__R6NTB0__BN649_02169
ERR1913285.281837__1.281837	33043__A8SV35__ERS852386_01106
ERR1913285.281992__1.281992	39491__A0A396FF66__DXD95_01810
ERR1913285.281996__1.281996	853__D4KAK8__C4N21_13380
ERR1913285.282106__1.282106	239935__A0A139TSG7__CXU17_09600
ERR1913285.282073__1.282073	357276__B6VW91__BACDOR_01584
ERR1913285.282300__1.282300	239935__A0A2N8I368__CXT95_04550
ERR1913285.282476__1.282476	33043__D5HFA0__glfT2
ERR1913285.282615__1.282615	301302__R5VFU2__xynA1
ERR1913285.282695__1.282695	165179__D1PES9__DXB80_11585
ERR1913285.282718__1.282718	28052__A0A174PF05__ERS852451_02043
ERR1913285.282962__1.282962	47678__R5UAG4__DW706_17045
ERR1913285.283295__1.283295	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913285.283315__1.283315	626940__A0A1Q6R984__BHW43_02680
ERR1913285.283734__1.283734	239935__B2UQB8__CXT86_01740
ERR1913285.283799__1.283799	820__A0A139K5A6__DXB48_12175
ERR1913285.283946__1.283946	165179__A0A229I6N7__DXC61_06720
ERR1913285.283965__1.283965	239935__R6J9Y2__CXT85_07000
ERR1913285.284291__1.284291	165179__A0A3E5EB26__CFT61_02800
ERR1913285.284367__1.284367	165179__A0A3E5E7J5__DXC61_10360
ERR1913285.284416__1.284416	239935__B2URG9__CXU00_11290
ERR1913285.284471__1.284471	28052__A0A174YMS1__ERS852499_02271
ERR1913285.284555__1.284555	1262743__R5C054__BN727_01980
ERR1913285.284649__1.284649	39491__A0A395UYA6__EUBREC_0408
ERR1913285.284938__1.284938	165179__D1PDG7__DXB80_11180
ERR1913285.285033__1.285033	1263030__R5CUH1__BN705_00716
ERR1913285.285103__1.285103	820__A0A1T4IYF4__mprA_1
ERR1913285.285125__1.285125	33043__A0A173WXS1__ERS852445_00262
ERR1913285.285240__1.285240	1628085__A0A2U1BDY5__C7386_104102
ERR1913285.285251__1.285251	39492__D4JU36__cobC_1
ERR1913285.285266__1.285266	39491__A0A395ZG74__licR
ERR1913285.285274__1.285274	165179__A0A3E5EBQ2__DXC61_01930
ERR1913285.285565__1.285565	853__A0A173XRA8__CGS56_09290
ERR1913285.285573__1.285573	165179__D1PCL6__DXB80_13435
ERR1913285.285650__1.285650	165179__D1P9T6__PREVCOP_04016
ERR1913285.285745__1.285745	1262803__R6P1C2__BN649_00451
ERR1913285.285791__1.285791	33043__A0A174CLG4__hemA
ERR1913285.286080__1.286080	239935__A0A2N8I1R3__CXU05_06075
ERR1913285.286166__1.286166	39491__D4JMW8__ERS852497_01971
ERR1913285.286200__1.286200	165179__R6C3K4__PREVCOP_05795
ERR1913285.286273__1.286273	28117__B0MXG8__ALIPUT_01814
ERR1913285.286283__1.286283	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913285.286338__1.286338	239935__A0A2N8IUK0__CXU01_07370
ERR1913285.286430__1.286430	239935__A0A2N8IKW7__pstA
ERR1913285.286399__1.286399	853__D4JY61__C4N21_10560
ERR1913285.286583__1.286583	1262911__R6GPI7__BN557_00907
ERR1913285.286616__1.286616	214856__A0A174ZB00__ERS852559_00631
ERR1913285.286617__1.286617	39491__C4Z9K0__DXD95_07445
ERR1913285.286688__1.286688	2108523__A0A2P2F6U5__LAWASA_1727
ERR1913285.286667__1.286667	39492__D4JRZ7__smc
ERR1913285.286744__1.286744	239935__R6JAS2__CXU02_10725
ERR1913285.286789__1.286789	239935__A0A2N8I3G2__CXT89_00720
ERR1913285.286823__1.286823	39492__R6SPM9__pheT
ERR1913285.286875__1.286875	39491__A0A395UWZ1__DXC13_02175
ERR1913285.286886__1.286886	33043__A0A174AEP1__apr
ERR1913285.286912__1.286912	165179__D1PGU8__PREVCOP_06463
ERR1913285.287155__1.287155	301302__R5VE75__M72_12161
ERR1913285.287288__1.287288	39491__A0A174K1W6__DXB99_15020
ERR1913285.287365__1.287365	239935__A0A2N8HAQ1__DEF40_05290
ERR1913285.287335__1.287335	1628085__A0A2U1BHD5__C7386_101308
ERR1913285.287343__1.287343	165179__A0A3E5E2S3__DXB80_03455
ERR1913285.287380__1.287380	165179__A0A174IPI3__CFT61_10940
ERR1913285.287472__1.287472	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913285.287554__1.287554	28118__F9ZAK8__NCTC10826_02458
ERR1913285.287594__1.287594	1262911__R6GSH0__BN557_00934
ERR1913285.287602__1.287602	165179__R6CJG8__DXC61_09290
ERR1913285.287619__1.287619	33043__A0A173SS22__yceG
ERR1913285.287661__1.287661	39491__C4Z9D4__DXD95_00055
ERR1913285.287804__1.287804	357276__C3REQ8__GV66_09740
ERR1913285.288018__1.288018	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913285.288166__1.288166	33043__A0A173YUV6__ERS852386_00507
ERR1913285.288307__1.288307	239935__A0A2N8J2P6__ADH72_06730
ERR1913285.288369__1.288369	165179__D1PCT4__DXB80_09470
ERR1913285.288378__1.288378	165179__D1PGU8__PREVCOP_06463
ERR1913285.288395__1.288395	165179__D1PC26__PREVCOP_04756
ERR1913285.288511__1.288511	40518__R5DTP7__DXD83_02415
ERR1913285.288583__1.288583	39491__A0A395V464__EUBREC_1509
ERR1913285.288599__1.288599	165179__A0A174UTZ7__DXC61_06705
ERR1913285.288909__1.288909	853__A0A174CVG7__CGS58_09335
ERR1913285.289022__1.289022	357276__B6VW91__BACDOR_01584
ERR1913285.289087__1.289087	1262924__R7HLJ5__BN585_01491
ERR1913285.289179__1.289179	28117__B0MVL2__BHV66_01645
ERR1913285.289200__1.289200	39491__A0A2U2EI54__DXD95_12010
ERR1913285.289479__1.289479	165179__D1P8K1__DXB80_06045
ERR1913285.289496__1.289496	165179__R6C330__DXC61_04975
ERR1913285.289995__1.289995	165179__A0A174W369__PREVCOP_04548
ERR1913285.290105__1.290105	40518__R5DWQ2__DXD93_03810
ERR1913285.290494__1.290494	165179__A0A3E5A5E5__DXC61_13965
ERR1913285.290497__1.290497	165179__D1PHD6__DXC61_03380
ERR1913285.290769__1.290769	39485__R5ZT06__EUBELI_20526
ERR1913285.290717__1.290717	39491__C4Z9K7__EUBREC_0050
ERR1913285.290879__1.290879	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913285.290948__1.290948	823__D0TGE9__ERS852429_03294
ERR1913285.290987__1.290987	28117__B0MYI9__BHV66_05415
ERR1913285.291108__1.291108	28052__R7NBE1__ERS852499_01798
ERR1913285.291237__1.291237	39485__C4Z1W5__ERS852492_01530
ERR1913285.291244__1.291244	165179__D1PES9__DXB80_11585
ERR1913285.291263__1.291263	39491__A0A395ZG74__licR
ERR1913285.291315__1.291315	1262743__R5C9H2__BN727_02240
ERR1913285.291350__1.291350	39488__C0EVP9__ERS852450_03163
ERR1913285.291363__1.291363	165179__A0A174XZU8__DXB80_12180
ERR1913285.291415__1.291415	821__D4VD59__BHV80_04260
ERR1913285.291389__1.291389	28052__A0A174LZK5__ERS852451_02148
ERR1913285.291510__1.291510	821__A0A3E4WAR6__DXD64_10735
ERR1913285.291522__1.291522	33043__A8SQU6__ERS852386_01237
ERR1913285.291623__1.291623	239935__A0A2N8IB69__CXU22_11315
ERR1913285.291838__1.291838	39491__A0A0M6WLC7__ERS852497_00640
ERR1913285.291983__1.291983	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913285.291952__1.291952	39486__G1WPN2__DORFOR_01095
ERR1913285.292077__1.292077	165179__A0A229I6N7__DXC61_06720
ERR1913285.292172__1.292172	165179__A0A3E5DX15__DXC61_00345
ERR1913285.292278__1.292278	239935__A0A2N8IEP3__CXT84_03735
ERR1913285.292391__1.292391	33043__D5HF43__ERS852445_00477
ERR1913285.292400__1.292400	487175__F3QK29__HMPREF9439_01286
ERR1913285.292515__1.292515	165179__D1P9T6__PREVCOP_04016
ERR1913285.292555__1.292555	165179__D1PCL6__DXB80_13435
ERR1913285.292656__1.292656	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913285.292695__1.292695	239935__A0A2N8HZW2__A4V05_11120
ERR1913285.293147__1.293147	165179__A0A3E5E2S3__DXB80_03455
ERR1913285.293150__1.293150	301301__A0A395VA65__eutA
ERR1913285.293217__1.293217	33043__A0A173W4M0__dnaD
ERR1913285.293182__1.293182	33043__D5HFE3__lacR
ERR1913285.293377__1.293377	1262911__R6HIV6__BN557_01807
ERR1913285.293380__1.293380	39491__A0A174EQV2__DXB69_10230
ERR1913285.293327__1.293327	165179__A0A3E5DWQ1__DXB80_06635
ERR1913285.293502__1.293502	1262911__R6GSH8__BN557_00939
ERR1913285.293542__1.293542	165179__A0A174W369__PREVCOP_04548
ERR1913285.293554__1.293554	820__R9I324__HMPREF2141_02414
ERR1913285.293558__1.293558	39491__A0A173QT73__alaS_2
ERR1913285.293612__1.293612	820__A0A3E4W4W5__ERS852554_02179
ERR1913285.293705__1.293705	39491__A0A395ZG74__licR
ERR1913285.293822__1.293822	33043__A0A174A3W6__ERS852445_00349
ERR1913285.293847__1.293847	239935__A0A139TPG3__CXT86_08810
ERR1913285.293887__1.293887	165179__A0A3E5EBQ2__DXC61_01930
ERR1913285.293896__1.293896	1262911__R6H054__BN557_00908
ERR1913285.294007__1.294007	357276__B6W1J2__BACDOR_03380
ERR1913285.294076__1.294076	165179__A0A174W369__PREVCOP_04548
ERR1913285.294418__1.294418	1150298__A0A174APS6__kinA
ERR1913285.294490__1.294490	47678__A5ZEA3__ERS852558_00257
ERR1913285.294533__1.294533	74426__purL
ERR1913285.294657__1.294657	33043__A0A173ZEP9__araC_1
ERR1913285.294658__1.294658	28117__R7JH62__BHV66_05735
ERR1913285.294749__1.294749	46503__B7B776__DXB85_00355
ERR1913285.294814__1.294814	165179__A0A3E5E5M2__PREVCOP_03530
ERR1913285.294826__1.294826	394340__guaB
ERR1913285.294880__1.294880	33043__D5HJB7__ERS852400_01485
ERR1913285.294921__1.294921	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913285.294947__1.294947	28117__B0MZ22__BHV66_04430
ERR1913285.295088__1.295088	239935__A0A2N8IL82__CXU02_11740
ERR1913285.295191__1.295191	1262911__R6H0G8__BN557_00659
ERR1913285.295262__1.295262	165179__D1P9T6__PREVCOP_04016
ERR1913285.295266__1.295266	820__I9A4U7__DHU98_12785
ERR1913285.295333__1.295333	1262803__R6NKZ1__BN649_00281
ERR1913285.295490__1.295490	1965604__A0A1Y4EMH2__B5F54_14485
ERR1913285.295575__1.295575	46228__B5CNQ2__HMPREF1202_00124
ERR1913285.295576__1.295576	33043__A0A173WXS1__ERS852445_00262
ERR1913285.295667__1.295667	165179__A0A174W369__PREVCOP_04548
ERR1913285.295774__1.295774	165179__A0A3E5E189__PREVCOP_06699
ERR1913285.295847__1.295847	1262882__R5MFK5__BN519_00378
ERR1913285.295855__1.295855	28117__B0MTH2__ALIPUT_00061
ERR1913285.295866__1.295866	239935__R6JAS2__CXU02_10725
ERR1913285.295929__1.295929	239935__B2UQP8__CXU15_01110
ERR1913285.295954__1.295954	165179__D1PDG7__DXB80_11180
ERR1913285.296206__1.296206	28117__B0MU76__ALIPUT_00202
ERR1913285.296240__1.296240	239935__A0A2N8IMC9__CXU09_02095
ERR1913285.296340__1.296340	820__A0A1Y3V743__M093_0235
ERR1913285.296537__1.296537	1262911__R6GUP7__BN557_01578
ERR1913285.296488__1.296488	165179__A0A174SA26__PREVCOP_05758
ERR1913285.296792__1.296792	28052__A0A174HF53__ERS852499_00436
ERR1913285.296810__1.296810	39492__D4JTF2__mutS2
ERR1913285.296828__1.296828	46228__B5CR74__HMPREF1202_02190
ERR1913285.297100__1.297100	165179__A0A174SA26__PREVCOP_05758
ERR1913285.297215__1.297215	165179__A0A3E5DWQ1__DXB80_06635
ERR1913285.297347__1.297347	165179__A0A174W369__PREVCOP_04548
ERR1913285.297373__1.297373	39491__C4ZC33__DXC13_11585
ERR1913285.297321__1.297321	165179__A0A3E5DX15__DXC61_00345
ERR1913285.297455__1.297455	165179__D1PES9__DXB80_11585
ERR1913285.297649__1.297649	360807__A0A173XR05__RIL183_10401
ERR1913285.297650__1.297650	165179__A0A174SR12__DXB80_04410
ERR1913285.297717__1.297717	165179__D1P8K1__DXB80_06045
ERR1913285.297739__1.297739	853__A0A3E2V168__FAEPRAM212_00929
ERR1913285.298027__1.298027	357276__A0A076IS26__EL88_15950
ERR1913285.298204__1.298204	1262986__R6ANG7__BN492_01069
ERR1913285.298222__1.298222	165179__A0A229I1J2__DXB80_03950
ERR1913285.298475__1.298475	360807__A0A1Q6SXK5__RIL183_06541
ERR1913285.298453__1.298453	360807__A0A396AK01__RIL183_20461
ERR1913285.298577__1.298577	165179__R6BPK1__DXB80_04445
ERR1913285.298693__1.298693	39492__B0MM84__lgt
ERR1913285.298764__1.298764	1262924__R7HSV7__BN585_00245
ERR1913285.298709__1.298709	39491__C4ZEW3__T1815_18241
ERR1913285.298808__1.298808	853__A0A173TAZ8__DWZ46_14590
ERR1913285.298835__1.298835	1262911__R6GPI7__BN557_00907
ERR1913285.298894__1.298894	1262924__R7HQD9__BN585_00129
ERR1913285.299035__1.299035	165179__A0A3E4SB80__DXC61_12880
ERR1913285.299378__1.299378	1263000__R5F0H8__BN466_00254
ERR1913285.299653__1.299653	823__A0A078SYK6__DXB14_02485
ERR1913285.299750__1.299750	46228__V8CE24__thiD
ERR1913285.299791__1.299791	1262989__R6YGB8__BN815_00667
ERR1913285.299900__1.299900	39492__D4JSS2__EUBSIR_00553
ERR1913285.299994__1.299994	239935__A0A2N8I375__menA
ERR1913285.300001__1.300001	39492__D4JR08__ERS852540_02467
ERR1913285.300099__1.300099	487174__K0WWT0__DIT83_10190
ERR1913285.300261__1.300261	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913285.300268__1.300268	165179__A0A3E5E5L1__DXB80_05980
ERR1913285.300297__1.300297	626940__E8LFV0__DCQ00_04535
ERR1913285.300366__1.300366	33043__A0A173WXS1__ERS852445_00262
ERR1913285.300467__1.300467	33043__A0A173ZZ54__ERS852400_00193
ERR1913285.300480__1.300480	823__A0A355XLS2__ERS852380_02644
ERR1913285.300584__1.300584	360807__A0A0M6X003__ERS852392_02817
ERR1913285.300752__1.300752	1262743__R5C564__BN727_01104
ERR1913285.301075__1.301075	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913285.301188__1.301188	1263011__R6EQB8__BN553_00541
ERR1913285.301506__1.301506	39491__C4ZCV7__ERE_23110
ERR1913285.301579__1.301579	649756__L1PU84__ERS852571_01295
ERR1913285.301580__1.301580	649756__L1PU84__ERS852571_01295
ERR1913285.301748__1.301748	1262743__R5C5Y3__BN727_01337
ERR1913285.301823__1.301823	671232__A0A0C1K2X8__C6A30_05370
ERR1913285.301987__1.301987	357276__C3R9Y0__HMPREF1064_01889
ERR1913285.302096__1.302096	46228__B5CTE4__DXD17_12795
ERR1913285.302117__1.302117	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913285.302611__1.302611	165179__A0A229I6N7__DXC61_06720
ERR1913285.302797__1.302797	39492__D4JR58__EUBSIR_02090
ERR1913285.302816__1.302816	39492__A0A174ZG93__EUBSIR_00254
ERR1913285.302904__1.302904	33043__A0A173RQ80__ERS852445_02211
ERR1913285.302906__1.302906	33043__A0A173RQ80__ERS852445_02211
ERR1913285.302917__1.302917	33043__A0A173ZL29__ERS852386_01345
ERR1913285.302931__1.302931	165179__D1PDG7__DXB80_11180
ERR1913285.302964__1.302964	39491__A0A395ZBQ4__cph2_2
ERR1913285.302980__1.302980	1150298__A0A174BE63__ERS852406_01048
ERR1913285.303130__1.303130	28052__A0A174KLS3__ERS852451_01864
ERR1913285.303166__1.303166	446660__GCA_003428235.1_00689
ERR1913285.303316__1.303316	818__E5C5U7__SAMN05216253_101163
ERR1913285.303292__1.303292	165179__A0A174K816__DXB80_12000
ERR1913285.303335__1.303335	820__A0A174B4N2__M093_2531
ERR1913285.303349__1.303349	706562__GCA_900112995.1_02127
ERR1913285.303445__1.303445	47678__A5ZJ80__BACCAC_02965
ERR1913285.303447__1.303447	39491__D4JMW8__ERS852497_01971
ERR1913285.303531__1.303531	1263011__R6EIY4__BN553_01183
ERR1913285.303844__1.303844	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913285.303775__1.303775	165179__A0A229I1J2__DXB80_03950
ERR1913285.303785__1.303785	165179__D1PHM6__DXC61_06700
ERR1913285.303886__1.303886	39491__A0A395V464__EUBREC_1509
ERR1913285.303916__1.303916	165179__A0A174XZU8__DXB80_12180
ERR1913285.304168__1.304168	487175__D9Y2B5__HMPREF9439_00822
ERR1913285.304178__1.304178	165179__A0A174K816__DXB80_12000
ERR1913285.304291__1.304291	301301__A0A395VBJ2__ERS852391_02160
ERR1913285.304293__1.304293	165179__A0A3E5AEF7__DXC61_05000
ERR1913285.304308__1.304308	46503__K5ZLB1__DD461_01070
ERR1913285.304382__1.304382	39485__C4Z208__ywiB
ERR1913285.304398__1.304398	33043__A0A174CV49__ERS852386_02395
ERR1913285.304618__1.304618	853__A0A173XRA8__CGS56_09290
ERR1913285.304625__1.304625	29361__B6FRT6__CLONEX_02860
ERR1913285.304685__1.304685	33043__A0A173W9Y8__ERS852575_00062
ERR1913285.304726__1.304726	853__E2ZJT1__C4N23_03535
ERR1913285.304857__1.304857	165179__A0A3E5E189__PREVCOP_06699
ERR1913285.305008__1.305008	239935__A0A139TPD4__CXT86_06450
ERR1913285.305098__1.305098	39492__D4JRZ7__smc
ERR1913285.305067__1.305067	165179__D1PAJ7__PREVCOP_04222
ERR1913285.305522__1.305522	165179__R6CNX7__DXB80_02200
ERR1913285.305468__1.305468	165179__A0A3E5E3D6__DXC61_05750
ERR1913285.305776__1.305776	823__A6LB62__B5F32_04550
ERR1913285.305668__1.305668	165179__A0A3E5EDV6__DXC61_03365
ERR1913285.305944__1.305944	165179__A0A3E5E920__DXB80_11625
ERR1913285.306241__1.306241	33043__A0A173YQY3__ERS852445_01438
ERR1913285.306196__1.306196	165179__A0A174W369__PREVCOP_04548
ERR1913285.306338__1.306338	239935__A0A2N8IRH4__CXT92_05605
ERR1913285.306511__1.306511	47678__R5UST1__ERS852558_03505
ERR1913285.306524__1.306524	165179__A0A3E5E643__DXB80_06030
ERR1913285.306592__1.306592	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913285.306831__1.306831	165179__A0A3E5EDS1__DXC61_03115
ERR1913285.306781__1.306781	821__D4VD59__BHV80_04260
ERR1913285.306765__1.306765	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913285.306844__1.306844	33043__D5HI36__ERS852400_02168
ERR1913285.306980__1.306980	387090__S0F7Y3__BACCOPRO_02028
ERR1913285.307000__1.307000	165179__D1P9T6__PREVCOP_04016
ERR1913285.307397__1.307397	40520__R7DCV6__ERS852394_02102
ERR1913285.307535__1.307535	1262948__R7EDK5__BN671_00579
ERR1913285.307661__1.307661	39492__D4JSS2__EUBSIR_00553
ERR1913285.307787__1.307787	853__A0A3E2U7E6__ERS852582_01640
ERR1913285.307900__1.307900	1262743__R5BZ85__BN727_01705
ERR1913285.307917__1.307917	39492__D4JTF2__mutS2
ERR1913285.307933__1.307933	165179__D1PDT3__PREVCOP_05375
ERR1913285.308197__1.308197	301301__A0A395V9G1__RHOM_02750
ERR1913285.308300__1.308300	165179__A0A174W369__PREVCOP_04548
ERR1913285.308434__1.308434	649756__D4MV98__ERS852475_00895
ERR1913285.308534__1.308534	165179__R6CNX7__DXB80_02200
ERR1913285.308679__1.308679	39491__A0A2U2EK03__ERE_28780
ERR1913285.308777__1.308777	745368__A0A1T4X373__SAMN02745178_01365
ERR1913285.309018__1.309018	39491__A0A174K1W6__DXB99_15020
ERR1913285.309167__1.309167	39486__B0G8H8__DXD10_14350
ERR1913285.309270__1.309270	1262803__R6NU90__BN649_01506
ERR1913285.309515__1.309515	165179__A0A3E5DN34__DXC61_07865
ERR1913285.309674__1.309674	33043__A0A173WU55__ganB_2
ERR1913285.309770__1.309770	33043__A0A173WPI1__ERS852400_02100
ERR1913285.309982__1.309982	39491__A0A395UZZ5__htpG_1
ERR1913285.310339__1.310339	165179__A0A3E5AI09__DXC61_05815
ERR1913285.310361__1.310361	165179__A0A3E5E2S3__DXB80_03455
ERR1913285.310369__1.310369	33043__D5HDB6__sipT_2
ERR1913285.310528__1.310528	47678__R5U8P0__DW706_15950
ERR1913285.310765__1.310765	40518__R5DZ88__DXD93_06320
ERR1913285.310943__1.310943	39492__D4JUY6__ERS852540_01913
ERR1913285.311242__1.311242	239935__A0A2N8I694__CXU04_06245
ERR1913285.311367__1.311367	39491__A0A173U130__ERE_16110
ERR1913285.311441__1.311441	40518__R5E6X5__sbcD
ERR1913285.311558__1.311558	1262746__R5S8P9__BN750_01268
ERR1913285.311585__1.311585	823__A0A174UI22__CF162_13840
ERR1913285.311744__1.311744	165179__A0A3E5E4P9__DXB80_07930
ERR1913285.311939__1.311939	165179__A0A3E4SID1__DXB80_01945
ERR1913285.312070__1.312070	165179__D1PEZ7__DXC61_06515
ERR1913285.312119__1.312119	853__A0A329UEG4__CHR60_00585
ERR1913285.312273__1.312273	1262803__R6NKD0__BN649_01161
ERR1913285.312348__1.312348	1262911__R6GPM2__BN557_00937
ERR1913285.312460__1.312460	165179__D1PGD2__DXC61_10875
ERR1913285.312518__1.312518	88431__A0A173VJL7__ERS852526_01348
ERR1913285.312529__1.312529	360807__C0FPV8__RIL183_29891
ERR1913285.312817__1.312817	39491__A0A396FJV5__ERS852417_00035
ERR1913285.312775__1.312775	1897011__A0A1Q6RH61__BHW41_01970
ERR1913285.313019__1.313019	301301__A0A395VDE4__ERS852391_00518
ERR1913285.313022__1.313022	40518__R5DUU8__DXD86_08440
ERR1913285.313315__1.313315	1160721__W0U834__RBI_I01990
ERR1913285.313347__1.313347	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913285.313349__1.313349	40520__A0A3E5A422__RUMOBE_00654
ERR1913285.313383__1.313383	1262869__R7CLV2__BN625_01058
ERR1913285.313477__1.313477	165179__A0A3E5E920__DXB80_11625
ERR1913285.313536__1.313536	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913285.313735__1.313735	100886__E2NR52__ERS852383_03476
ERR1913285.313833__1.313833	165179__D1PE06__DXC61_05975
ERR1913285.313804__1.313804	410072__A0A173ZG02__ERS852574_01061
ERR1913285.313869__1.313869	165179__D1PGU8__PREVCOP_06463
ERR1913285.314025__1.314025	39491__C4ZCH3__EUR_17560
ERR1913285.314258__1.314258	1263011__R6EID3__BN553_01066
ERR1913285.314517__1.314517	165179__R6C3K4__PREVCOP_05795
ERR1913285.314729__1.314729	165179__D1PCY7__DXB80_02765
ERR1913285.314789__1.314789	33043__D5HEY0__ERS852386_01426
ERR1913285.314964__1.314964	39492__A0A174ZL16__EUBSIR_01269
ERR1913285.315326__1.315326	28052__A0A174GQI3__ERS852451_00394
ERR1913285.315300__1.315300	39491__A0A395UZZ5__htpG_1
ERR1913285.315635__1.315635	165179__A0A174SA26__PREVCOP_05758
ERR1913285.315799__1.315799	39491__A0A395ZDC6__addB
ERR1913285.315955__1.315955	239935__A0A2N8IVR0__CXT87_07115
ERR1913285.316032__1.316032	33043__D5HFZ0__rlmH
ERR1913285.316051__1.316051	46228__B5CQY8__RUMLAC_01887
ERR1913285.316245__1.316245	52226__A0A356UMN6__MITSMUL_04934
ERR1913285.316319__1.316319	47678__R5V1A3__BACCAC_02796
ERR1913285.316418__1.316418	384639__GCA_003096855.1_01181
ERR1913285.316677__1.316677	39491__A0A395UWA3__DXB69_11805
ERR1913285.316780__1.316780	853__A0A173T0Y8__CGS54_07215
ERR1913285.316980__1.316980	165179__A0A3E4SB95__DXC61_13455
ERR1913285.317203__1.317203	39492__D4JRZ7__smc
ERR1913285.317411__1.317411	1150298__A0A174S2H3__spoIIQ
ERR1913285.317478__1.317478	33043__D5HFE3__lacR
ERR1913285.317541__1.317541	33043__D5HGZ8__nnr
ERR1913285.317614__1.317614	360807__A0A0M6WW58__ERS852444_03162
ERR1913285.317726__1.317726	165179__A0A3E5AG99__DXB80_04390
ERR1913285.317744__1.317744	671267__R9HYS1__C802_04097
ERR1913285.317794__1.317794	165179__D1PES9__DXB80_11585
ERR1913285.317955__1.317955	165179__D1P9T6__PREVCOP_04016
ERR1913285.317879__1.317879	33043__A0A374K1H3__ykoD_2
ERR1913285.318127__1.318127	39491__D4JMW8__ERS852497_01971
ERR1913285.318337__1.318337	33043__A0A173YSY7__tilS
ERR1913285.318533__1.318533	165179__D1PDJ4__DXB80_08505
ERR1913285.318634__1.318634	165179__R6C3K4__PREVCOP_05795
ERR1913285.318662__1.318662	216816__C2GW26__chb
ERR1913285.318678__1.318678	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913285.318746__1.318746	165179__D1PC26__PREVCOP_04756
ERR1913285.318796__1.318796	165179__A0A3E5E920__DXB80_11625
ERR1913285.318987__1.318987	39488__A0A174CH59__DXD91_12625
ERR1913285.319323__1.319323	40518__R5DW64__RBL236_01394
ERR1913285.319387__1.319387	39491__A0A173TAZ5__DXB99_09520
ERR1913285.319480__1.319480	165179__R6CJG8__DXC61_09290
ERR1913285.319414__1.319414	39485__A0A174YMI9__cph2_5
ERR1913285.319509__1.319509	33043__A8SWM2__ERS852575_01910
ERR1913285.319584__1.319584	360807__A0A0M6WW50__ROSEINA2194_00764
ERR1913285.319731__1.319731	1262803__R6PU22__BN649_00992
ERR1913285.319790__1.319790	39491__A0A396FMF1__EUR_28700
ERR1913285.319850__1.319850	39491__A0A0M6WPN4__DXB69_06325
ERR1913285.319909__1.319909	28052__A0A174NW82__lytR_1
ERR1913285.319936__1.319936	853__A0A174BZY1__xerD_1
ERR1913285.319976__1.319976	28052__A0A174GFL5__ERS852451_00478
ERR1913285.320069__1.320069	239935__A0A2N8IMC9__CXU09_02095
ERR1913285.320147__1.320147	165179__A0A3E5EDV6__DXC61_03365
ERR1913285.320284__1.320284	853__A0A3E2V168__FAEPRAM212_00929
ERR1913285.320424__1.320424	165179__A0A174WRI9__DXB80_04870
ERR1913285.320431__1.320431	33043__D5HIS6__ERS852575_02019
ERR1913285.320394__1.320394	1262911__R6GLX2__BN557_01573
ERR1913285.320520__1.320520	165179__A0A3E5A832__DXC61_13685
ERR1913285.320651__1.320651	552398__F4XCR9__HMPREF0866_01636
ERR1913285.320674__1.320674	165179__A0A3E4SEG4__DXC61_11235
ERR1913285.320833__1.320833	39491__D4JMW8__ERS852497_01971
ERR1913285.320800__1.320800	165179__D1PAJ7__PREVCOP_04222
ERR1913285.320805__1.320805	39491__A0A395ZHH5__ERS852497_02076
ERR1913285.320912__1.320912	1263000__R5EMC1__BN466_00539
ERR1913285.321107__1.321107	357276__D1K3K9__EL88_23995
