ERR1913195.27__1.27	292800__G9YWZ8__A4U99_12635
ERR1913195.246134__1.246134	165179__R6XIF8__DXC61_07265
ERR1913195.246446__1.246446	626940__E8LD48__DCQ00_06315
ERR1913195.246727__1.246727	33043__A0A174H5E3__ERS852400_02880
ERR1913195.247074__1.247074	418240__A0A174T5R0__yehU_2
ERR1913195.247195__1.247195	552398__T5RKT4__HMPREF0866_04531
ERR1913195.247586__1.247586	572010__hgdC_1
ERR1913195.247653__1.247653	301302__A0A173S3L8__vpr
ERR1913195.247810__1.247810	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913195.248309__1.248309	165179__A0A3E5EAM5__DXC61_07785
ERR1913195.248400__1.248400	165179__A0A3E5EDP4__DXB80_05800
ERR1913195.248413__1.248413	216816__Q8G464__BFS25_05925
ERR1913195.248706__1.248706	1284775__A0A095Y5J4__HMPREF1640_07320
ERR1913195.248789__1.248789	552398__T5S086__HMPREF0866_01580
ERR1913195.248983__1.248983	166486__R6AY46__ROSINTL182_06128
ERR1913195.249033__1.249033	301302__A0A0M6WVU2__M72_13551
ERR1913195.249257__1.249257	39488__A0A285PS86__EUBHAL_02647
ERR1913195.249363__1.249363	1262882__R5MM10__BN519_01679
ERR1913195.249392__1.249392	301302__A0A173T010__M72_26571
ERR1913195.249650__1.249650	1262882__R5MEN9__BN519_00201
ERR1913195.249756__1.249756	33043__A8STG7__ERS852575_00353
ERR1913195.249889__1.249889	1262882__R5MGK3__BN519_00655
ERR1913195.250026__1.250026	165179__D1PHM6__DXC61_06700
ERR1913195.250115__1.250115	239935__A0A2N8IEP3__CXT84_03735
ERR1913195.250206__1.250206	1262911__R6H2J2__BN557_01228
ERR1913195.250284__1.250284	33043__A0A173X9G8__ERS852386_00532
ERR1913195.250286__1.250286	165179__R6B8D8__DXC61_09245
ERR1913195.250706__1.250706	100886__E2NWG3__CATMIT_02958
ERR1913195.250748__1.250748	147206__GCF_000156215.1_01108
ERR1913195.250811__1.250811	1680__R5GMB5__AD0028_1137
ERR1913195.250718__1.250718	172901__A0A2U1ASG0__C8D82_12144
ERR1913195.250873__1.250873	823__A0A355XJT5__ERS852429_03504
ERR1913195.250902__1.250902	1262929__R6EYQ0__BN691_00631
ERR1913195.251136__1.251136	165179__D1PES9__DXB80_11585
ERR1913195.251260__1.251260	165179__A0A3E5AE59__DXC61_12885
ERR1913195.251482__1.251482	418240__A0A174U9H0__folP
ERR1913195.251602__1.251602	901__B6WUY7__DHV46_11425
ERR1913195.251723__1.251723	2022527__A0A264YA42__CHL74_01870
ERR1913195.251912__1.251912	301302__A0A173RZU9__M72_23561
ERR1913195.252523__1.252523	165179__A0A3E5DWQ1__DXB80_06635
ERR1913195.252861__1.252861	165179__A0A3E5A554__DXB80_13805
ERR1913195.252832__1.252832	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913195.252873__1.252873	1262882__R5N349__BN519_01037
ERR1913195.253087__1.253087	301302__A0A173TWC1__phoR_7
ERR1913195.253101__1.253101	301302__A0A173T8V6__ERS852420_01966
ERR1913195.253071__1.253071	556259__I0PYL9__BSGG_5205
ERR1913195.253243__1.253243	33043__D5HI09__ERS852575_02656
ERR1913195.253285__1.253285	1262929__R6F5G9__BN691_01545
ERR1913195.253404__1.253404	39488__A0A374N0M3__EUBHAL_02860
ERR1913195.253442__1.253442	301302__A0A173T3P5__ERS852420_01836
ERR1913195.253755__1.253755	165179__A0A3E5DZD8__DXB80_09150
ERR1913195.253933__1.253933	39488__R5G6A7__DXD91_05835
ERR1913195.254009__1.254009	301302__R5UQK8__M72_11501
ERR1913195.254147__1.254147	301302__A0A173T8V6__ERS852420_01966
ERR1913195.254227__1.254227	165179__A0A174SA26__PREVCOP_05758
ERR1913195.254296__1.254296	1284775__A0A095Y5J4__HMPREF1640_07320
ERR1913195.254554__1.254554	1358__T0VND1__BN927_00201
ERR1913195.254633__1.254633	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913195.254720__1.254720	165179__A0A174SA26__PREVCOP_05758
ERR1913195.254780__1.254780	165179__D1PE06__DXC61_05975
ERR1913195.254916__1.254916	165179__R6BQP4__DXC61_02015
ERR1913195.255196__1.255196	301302__A0A0M6WBZ5__spr
ERR1913195.255670__1.255670	1304__A0A110Z5J8__SSALIVM18_06191
ERR1913195.255878__1.255878	40518__R5DU74__RBATCC27255_00707
ERR1913195.256106__1.256106	165179__A0A3E5E2S3__DXB80_03455
ERR1913195.256133__1.256133	1680__A0A1X3A951__AL0462_1583
ERR1913195.256235__1.256235	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.256355__1.256355	165179__A0A3E5EA43__DXC61_07775
ERR1913195.256643__1.256643	301302__A0A173R6H4__M72_21671
ERR1913195.256790__1.256790	301302__R5UMN4__M72_24341
ERR1913195.256806__1.256806	165179__A0A3E4SB80__DXC61_12880
ERR1913195.256969__1.256969	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913195.257029__1.257029	165179__A0A174K816__DXB80_12000
ERR1913195.257100__1.257100	301302__R5VCU3__cbiK_2
ERR1913195.257345__1.257345	165179__R6XIF8__DXC61_07265
ERR1913195.257348__1.257348	40518__R5DY98__mepA_5
ERR1913195.257454__1.257454	1262929__R6FT48__BN691_02038
ERR1913195.257686__1.257686	165179__D1PDJ4__DXB80_08505
ERR1913195.257717__1.257717	33043__D5HIL8__ERS852386_02009
ERR1913195.257764__1.257764	165179__R6CJG8__DXC61_09290
ERR1913195.257821__1.257821	552398__F4XCR9__HMPREF0866_01636
ERR1913195.257894__1.257894	165179__A0A3E5AF88__DXC61_14960
ERR1913195.257961__1.257961	33043__A0A173QUA9__ERS852400_01795
ERR1913195.258166__1.258166	626940__E8LEU0__HMPREF9443_01374
ERR1913195.258606__1.258606	301302__A0A0M6WMV7__M72_28281
ERR1913195.258686__1.258686	165179__A0A3E5E9I4__DXB80_09745
ERR1913195.258744__1.258744	165179__D1PGU8__PREVCOP_06463
ERR1913195.259024__1.259024	1284775__A0A095Y637__HMPREF1640_07040
ERR1913195.259076__1.259076	33043__A0A174B5C6__acm_3
ERR1913195.259296__1.259296	165179__R6CNX7__DXB80_02200
ERR1913195.259218__1.259218	901__B6WXK8__DESPIG_02835
ERR1913195.259350__1.259350	1284775__A0A096A9F7__HMPREF1640_07000
ERR1913195.259485__1.259485	301302__R5UKP4__cbiT
ERR1913195.259991__1.259991	165179__A0A174SA26__PREVCOP_05758
ERR1913195.260070__1.260070	853__D4KAK8__C4N21_13380
ERR1913195.260374__1.260374	1680__A0A2R4G1K8__BBMN23_0315
ERR1913195.260420__1.260420	39491__A0A174EQV2__DXB69_10230
ERR1913195.260551__1.260551	1628085__A0A2U1BCM4__C7386_10792
ERR1913195.260558__1.260558	165179__A0A3E5EBM5__DXC61_02170
ERR1913195.260712__1.260712	40518__R5E6X5__sbcD
ERR1913195.260766__1.260766	165179__A0A3E5AAM8__DXB80_10240
ERR1913195.261024__1.261024	165179__A0A3E5AER8__DXB80_07075
ERR1913195.261061__1.261061	1262882__R5MJZ7__BN519_01272
ERR1913195.261078__1.261078	1262882__R5MGX3__BN519_00046
ERR1913195.261558__1.261558	823__A0A355XN73__DXC05_07000
ERR1913195.261635__1.261635	1262882__R5MT08__BN519_01706
ERR1913195.261606__1.261606	328814__GCA_004558275.1_00035
ERR1913195.261931__1.261931	165179__A0A3E5EDS1__DXC61_03115
ERR1913195.261933__1.261933	165179__D1PCT4__DXB80_09470
ERR1913195.262651__1.262651	165179__A0A174NK27__PREVCOP_06433
ERR1913195.262658__1.262658	214856__A0A174A0P3__ERS852447_00994
ERR1913195.262806__1.262806	165179__D1PDF6__DXB80_12430
ERR1913195.262814__1.262814	301302__A0A0M6WWE7__ERS852420_01309
ERR1913195.262899__1.262899	165179__D1PAJ7__PREVCOP_04222
ERR1913195.262974__1.262974	1628085__A0A374VPA3__C7386_11438
ERR1913195.263022__1.263022	100886__E2NR02__CATMIT_01005
ERR1913195.263173__1.263173	1262882__R5MT08__BN519_01706
ERR1913195.263175__1.263175	363265__G6AWS7__HMPREF0673_01076
ERR1913195.263405__1.263405	1262929__R6EU29__BN691_01068
ERR1913195.263717__1.263717	1262882__R5MSS9__BN519_01662
ERR1913195.263745__1.263745	165179__W1I4H6__DXB80_13655
ERR1913195.263889__1.263889	853__A0A174UDE9__C4N25_12775
ERR1913195.264243__1.264243	2047__D8UP04__B8W87_03250
ERR1913195.264295__1.264295	165179__R6XIF8__DXC61_07265
ERR1913195.264863__1.264863	1262882__R5N0M6__BN519_00794
ERR1913195.264795__1.264795	626940__E8LD43__DCQ00_06340
ERR1913195.265067__1.265067	165179__A0A174NK27__PREVCOP_06433
ERR1913195.265080__1.265080	165179__A0A3E5AEF7__DXC61_05000
ERR1913195.265357__1.265357	301302__A0A173T3P5__ERS852420_01836
ERR1913195.265884__1.265884	33043__D5HGR0__rpfC_2
ERR1913195.266171__1.266171	1262882__R5MEI8__BN519_00283
ERR1913195.266656__1.266656	165179__A0A174IHQ2__PREVCOP_05478
ERR1913195.266792__1.266792	165179__A0A3E5EAM5__DXC61_07785
ERR1913195.266966__1.266966	165179__D1PCY7__DXB80_02765
ERR1913195.266984__1.266984	165179__R6BQP4__DXC61_02015
ERR1913195.266985__1.266985	165179__D1PES9__DXB80_11585
ERR1913195.267088__1.267088	165179__A0A3E5DZ45__DXC61_02820
ERR1913195.267368__1.267368	165179__A0A229I4J4__proA
ERR1913195.267599__1.267599	328814__GCA_004558275.1_00998
ERR1913195.267802__1.267802	1262924__R7HUG0__BN585_00790
ERR1913195.267866__1.267866	363265__R7H0P1__HMPREF0673_01907
ERR1913195.268176__1.268176	301302__R5UNJ6__M72_26701
ERR1913195.268669__1.268669	165179__A0A174W369__PREVCOP_04548
ERR1913195.269321__1.269321	165179__A0A3E5EA43__DXC61_07775
ERR1913195.269604__1.269604	853__A0A3E2V168__FAEPRAM212_00929
ERR1913195.269708__1.269708	165179__A0A174WRI9__DXB80_04870
ERR1913195.269894__1.269894	39491__A0A396FI89__DXD95_01300
ERR1913195.270157__1.270157	165179__D1PGU8__PREVCOP_06463
ERR1913195.270508__1.270508	410072__A0A173RMJ4__ydfH_1
ERR1913195.270520__1.270520	28052__A0A174H9I6__ERS852451_00172
ERR1913195.270575__1.270575	40518__R5DZB1__DXD83_08840
ERR1913195.270690__1.270690	2022527__A0A264YA74__CHL74_02045
ERR1913195.270813__1.270813	1284775__A0A095Y5F5__HMPREF1640_07020
ERR1913195.270814__1.270814	1262929__R6ETI0__BN691_00865
ERR1913195.270864__1.270864	2293125__A0A374BV30__DW917_13395
ERR1913195.270978__1.270978	165179__A0A3E5EA43__DXC61_07775
ERR1913195.271041__1.271041	165179__A0A3E5EBV0__DXB80_01745
ERR1913195.271086__1.271086	165179__R6BPK1__DXB80_04445
ERR1913195.271329__1.271329	1262919__R5PMI2__BN465_00447
ERR1913195.271362__1.271362	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913195.271573__1.271573	165179__W1I4H6__DXB80_13655
ERR1913195.271670__1.271670	165179__R6BQP4__DXC61_02015
ERR1913195.271707__1.271707	626940__E8LCM1__HMPREF9443_00590
ERR1913195.271885__1.271885	1262746__R5SLP4__BN750_01973
ERR1913195.272100__1.272100	165179__A0A3E5E7D5__PREVCOP_03928
ERR1913195.272117__1.272117	40518__R5DUU8__DXD86_08440
ERR1913195.272162__1.272162	301302__A0A173T010__M72_26571
ERR1913195.272193__1.272193	1262929__R6F7S9__BN691_01792
ERR1913195.272233__1.272233	165179__R6CNX7__DXB80_02200
ERR1913195.272273__1.272273	301302__A0A173RZU9__M72_23561
ERR1913195.272328__1.272328	165179__A0A3E5E9I4__DXB80_09745
ERR1913195.272349__1.272349	165179__R6CNX7__DXB80_02200
ERR1913195.272393__1.272393	33043__D5HIL8__ERS852386_02009
ERR1913195.272405__1.272405	1284775__A0A095Y663__HMPREF1640_07240
ERR1913195.272498__1.272498	1262882__R5MLT4__BN519_01496
ERR1913195.272509__1.272509	165179__A0A3E5A5E5__DXC61_13965
ERR1913195.272620__1.272620	100886__A0A174HM39__CATMIT_01357
ERR1913195.272644__1.272644	301302__R5V7D6__tagA
ERR1913195.272655__1.272655	1284775__A0A095Y649__HMPREF1640_07125
ERR1913195.272730__1.272730	165179__D1PCU4__PREVCOP_05029
ERR1913195.272791__1.272791	165179__A0A3E5AER8__DXB80_07075
ERR1913195.272857__1.272857	2022527__A0A264Y3X7__CHL74_13910
ERR1913195.272981__1.272981	165179__A0A229I443__DXB80_10950
ERR1913195.273055__1.273055	100886__E2NUJ1__CATMIT_02272
ERR1913195.273081__1.273081	301302__R5V4M3__ERS852420_01171
ERR1913195.273190__1.273190	301302__R5UK77__M72_08681
ERR1913195.273426__1.273426	100886__E2NR50__CATMIT_01053
ERR1913195.273740__1.273740	165179__R6C5D6__PREVCOP_04658
ERR1913195.273789__1.273789	165179__R6CJG8__DXC61_09290
ERR1913195.273842__1.273842	28117__R7JJM9__ALIPUT_00662
ERR1913195.273853__1.273853	301302__A0A173SD94__ERS852420_01254
ERR1913195.273925__1.273925	165179__D1PEQ5__PREVCOP_05711
ERR1913195.274112__1.274112	40518__R5E6K5__speA
ERR1913195.274138__1.274138	165179__A0A174WRI9__DXB80_04870
ERR1913195.274260__1.274260	1262924__R7HRW9__BN585_00665
ERR1913195.274282__1.274282	165179__D1PB89__DXC61_08425
ERR1913195.274240__1.274240	301302__R5VFU2__xynA1
ERR1913195.274426__1.274426	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.274539__1.274539	1262930__R6AST5__BN693_01722
ERR1913195.274562__1.274562	165179__A0A3E5EA43__DXC61_07775
ERR1913195.274725__1.274725	165179__A0A3E5A5E5__DXC61_13965
ERR1913195.275008__1.275008	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913195.275160__1.275160	1284775__A0A095Y637__HMPREF1640_07040
ERR1913195.275222__1.275222	181487__N6W4L2__HMPREF9004_1780
ERR1913195.275254__1.275254	33043__A0A173X520__ERS852575_01617
ERR1913195.275354__1.275354	40518__R5DME2__DXD86_07315
ERR1913195.275375__1.275375	165179__R6C5D6__PREVCOP_04658
ERR1913195.275438__1.275438	626940__E8LE41__DCQ00_06695
ERR1913195.275404__1.275404	165179__A0A3E5AGH1__DXB80_05820
ERR1913195.275535__1.275535	1262930__R5ZWP2__BN693_01542
ERR1913195.275743__1.275743	301302__R5VFU2__xynA1
ERR1913195.275744__1.275744	418240__C6JFK4__ERS852523_01172
ERR1913195.275875__1.275875	165179__D1PCL6__DXB80_13435
ERR1913195.275936__1.275936	301302__A0A0M6X0D2__cpsB_2
ERR1913195.275947__1.275947	301302__R5VF67__M72_01841
ERR1913195.276045__1.276045	100886__E2NNQ5__CATMIT_00187
ERR1913195.276223__1.276223	2022527__A0A264Y834__CHL74_06340
ERR1913195.276251__1.276251	301302__A0A0M6X038__M72_18501
ERR1913195.276258__1.276258	901__B6WUI5__DESPIGER_1817
ERR1913195.276266__1.276266	820__A0A139KJ23__celCCA
ERR1913195.276518__1.276518	165179__R6CNX7__DXB80_02200
ERR1913195.276627__1.276627	165179__A0A174SA26__PREVCOP_05758
ERR1913195.276666__1.276666	322505__xre_3
ERR1913195.276797__1.276797	28116__D7K7K3__SAMN05192581_103348
ERR1913195.276833__1.276833	33043__A0A174B7D6__ERS852400_01331
ERR1913195.276863__1.276863	165179__A0A174UTZ7__DXC61_06705
ERR1913195.277010__1.277010	649756__D4MU45__ERS852425_01466
ERR1913195.277071__1.277071	28037__I0QDJ5__B0179_05215
ERR1913195.277123__1.277123	39491__D4JMW8__ERS852497_01971
ERR1913195.277219__1.277219	28117__B0MY36__BHV66_05185
ERR1913195.277344__1.277344	2293125__A0A374CIC9__DW917_02045
ERR1913195.277448__1.277448	1680__A0A087DLC6__C8077_00815
ERR1913195.277483__1.277483	363265__R7H1G5__HMPREF0673_00879
ERR1913195.277569__1.277569	384638__B7AN60__BACPEC_00112
ERR1913195.277597__1.277597	2293125__A0A374BSW4__DW917_13420
ERR1913195.277690__1.277690	1623__E7FT42__LRU_01113
ERR1913195.277771__1.277771	301302__R5UM41__M72_15921
ERR1913195.277784__1.277784	301302__R5UPH9__M72_00521
ERR1913195.277848__1.277848	2024223__A0A255TFB9__CIL02_01190
ERR1913195.277890__1.277890	1680__A0A174BEE7__BSTER_1311
ERR1913195.277944__1.277944	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.278029__1.278029	39488__A0A174JWI1__sipT_2
ERR1913195.278382__1.278382	39488__A0A285PT25__EUBHAL_01908
ERR1913195.278428__1.278428	1262924__R7HKP8__BN585_01113
ERR1913195.278507__1.278507	1262882__R5MYX5__BN519_00333
ERR1913195.278532__1.278532	410072__A0A173ZG02__ERS852574_01061
ERR1913195.278711__1.278711	301302__R5UQW7__ERS852420_02102
ERR1913195.278781__1.278781	1262929__R6FV28__BN691_00620
ERR1913195.279056__1.279056	39491__A0A396FJJ9__DXB76_11995
ERR1913195.279180__1.279180	39488__A0A173SKQ5__DXD91_03870
ERR1913195.279614__1.279614	33043__A0A173X520__ERS852575_01617
ERR1913195.279755__1.279755	1262924__R7HMN2__BN585_01573
ERR1913195.280103__1.280103	165179__R6CNX7__DXB80_02200
ERR1913195.280108__1.280108	1262929__R6F839__BN691_00353
ERR1913195.280152__1.280152	1262882__R5MQ63__BN519_01173
ERR1913195.280302__1.280302	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.280379__1.280379	552398__F4XCR9__HMPREF0866_01636
ERR1913195.280359__1.280359	165179__A0A3E5AAM8__DXB80_10240
ERR1913195.280530__1.280530	39491__A0A396FSN2__EUBREC_0707
ERR1913195.280703__1.280703	165179__A0A3E5EDP4__DXB80_05800
ERR1913195.280813__1.280813	301302__A0A173TNM6__luxQ
ERR1913195.280883__1.280883	363265__G6B1Q3__HMPREF0673_02828
ERR1913195.280917__1.280917	165179__R6CJG8__DXC61_09290
ERR1913195.280955__1.280955	165179__D1PEW8__DXB80_13775
ERR1913195.281092__1.281092	165179__A0A174SR12__DXB80_04410
ERR1913195.281301__1.281301	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.281321__1.281321	1262882__R5N4D8__BN519_01497
ERR1913195.281518__1.281518	1262929__R6FUB1__BN691_00386
ERR1913195.281792__1.281792	2293125__A0A374BSW4__DW917_13420
ERR1913195.281977__1.281977	33039__D4M1J4__ERS852390_02215
ERR1913195.282091__1.282091	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913195.282301__1.282301	301302__A0A0M6WF57__M72_22681
ERR1913195.282419__1.282419	166486__D4L1D8__ROSINTL182_06455
ERR1913195.282447__1.282447	100886__A0A174HSH4__CATMIT_02717
ERR1913195.282553__1.282553	39491__A0A395V1R3__T1815_08181
ERR1913195.283030__1.283030	820__A0A174F696__macB_13
ERR1913195.283098__1.283098	301302__R5VFW5__M72_26781
ERR1913195.283468__1.283468	46503__R6X5E7__PARMER_00245
ERR1913195.283584__1.283584	301302__R5UQK8__M72_11501
ERR1913195.283572__1.283572	39491__C4ZC33__DXC13_11585
ERR1913195.283745__1.283745	1262924__R7HML0__BN585_01508
ERR1913195.283763__1.283763	40518__R5E1J7__RBL236_02062
ERR1913195.283860__1.283860	384639__GCA_003096855.1_00995
ERR1913195.283877__1.283877	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913195.283895__1.283895	649756__A0A348YI82__ERS852520_03326
ERR1913195.283896__1.283896	1262882__R5N2E1__BN519_01117
ERR1913195.283950__1.283950	39491__A0A396FEV5__EUR_24750
ERR1913195.284071__1.284071	1683__C4FDC0__BIFANG_02303
ERR1913195.284111__1.284111	1965604__A0A1Y4ERL1__B5F54_16810
ERR1913195.284410__1.284410	39491__A0A395V297__EUR_01010
ERR1913195.284511__1.284511	1628085__A0A2U1AX94__C7386_1283
ERR1913195.284552__1.284552	28117__B0MY40__BHV66_05170
ERR1913195.284582__1.284582	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913195.284592__1.284592	820__A7V092__hldE
ERR1913195.284688__1.284688	1262536__GeneID:16385454
ERR1913195.284702__1.284702	165179__D1PER3__DXB80_11525
ERR1913195.284765__1.284765	1284775__A0A095ZFS6__HMPREF1640_07045
ERR1913195.284808__1.284808	301302__A0A173T3P5__ERS852420_01836
ERR1913195.284848__1.284848	1262882__R5N4G2__BN519_01273
ERR1913195.284875__1.284875	165179__R6CNX7__DXB80_02200
ERR1913195.284928__1.284928	1262929__R6F9D0__BN691_00320
ERR1913195.284930__1.284930	165179__A0A174K816__DXB80_12000
ERR1913195.284935__1.284935	28117__B0MYI9__BHV66_05415
ERR1913195.285034__1.285034	33043__A0A174CLG4__hemA
ERR1913195.285075__1.285075	33043__D5HIS6__ERS852575_02019
ERR1913195.285121__1.285121	1262882__R5N4I5__BN519_01288
ERR1913195.285280__1.285280	33043__D5HEF6__ERS852445_00180
ERR1913195.285297__1.285297	1160721__R6T344__RBI_I00565
ERR1913195.285299__1.285299	853__D4JY61__C4N21_10560
ERR1913195.285368__1.285368	301302__R5VCU3__cbiK_2
ERR1913195.285416__1.285416	165179__A0A3E5E2S3__DXB80_03455
ERR1913195.285423__1.285423	1262882__R5MHQ8__BN519_00707
ERR1913195.285471__1.285471	1160721__W0U202__BHW50_02380
ERR1913195.285488__1.285488	384639__GCA_003096855.1_00972
ERR1913195.285658__1.285658	166486__D4L458__ROSINTL182_07088
ERR1913195.285806__1.285806	165179__D1PGU8__PREVCOP_06463
ERR1913195.285900__1.285900	2024223__A0A255TFB9__CIL02_01190
ERR1913195.285943__1.285943	823__A0A355XEX9__ERS852560_03521
ERR1913195.286110__1.286110	33043__A0A174DSP1__essC_2
ERR1913195.286166__1.286166	39491__C4ZF05__vpr
ERR1913195.286272__1.286272	39485__A0A174YZE2__spoIIE
ERR1913195.286206__1.286206	100886__A0A174K0P2__cysA_2
ERR1913195.286208__1.286208	2024223__A0A255TFB9__CIL02_01190
ERR1913195.286498__1.286498	165179__D1PDJ4__DXB80_08505
ERR1913195.286550__1.286550	165179__A0A3E5EAM5__DXC61_07785
ERR1913195.286661__1.286661	165179__D1P9T6__PREVCOP_04016
ERR1913195.286715__1.286715	1262882__R5MJJ9__BN519_01035
ERR1913195.286965__1.286965	165179__A0A3E5A5E5__DXC61_13965
ERR1913195.287110__1.287110	301302__A0A173T3P5__ERS852420_01836
ERR1913195.287161__1.287161	33043__A0A173X5R2__ERS852445_01329
ERR1913195.287440__1.287440	2293125__A0A374BSV3__DW917_13360
ERR1913195.287463__1.287463	165179__D1P8Q2__trpF
ERR1913195.287537__1.287537	1262924__R7HRI6__BN585_00824
ERR1913195.287647__1.287647	552398__F4XCQ4__HMPREF0866_01621
ERR1913195.287662__1.287662	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913195.287687__1.287687	1284775__A0A096A9I3__HMPREF1640_07195
ERR1913195.287786__1.287786	458033__GCA_001482755.1_02203
ERR1913195.287908__1.287908	33043__D5HIL8__ERS852386_02009
ERR1913195.288003__1.288003	360807__A0A396AIV6__RIL183_05461
ERR1913195.288140__1.288140	165179__A0A3E4SID1__DXB80_01945
ERR1913195.288098__1.288098	301302__R5VE75__M72_12161
ERR1913195.288397__1.288397	40518__R5DZC6__mreC
ERR1913195.288620__1.288620	1262882__R5MND9__BN519_00831
ERR1913195.288735__1.288735	165179__D1PCT4__DXB80_09470
ERR1913195.288767__1.288767	2293125__A0A374BSW4__DW917_13420
ERR1913195.289266__1.289266	39485__R5ZSI4__ERS852492_00875
ERR1913195.289347__1.289347	1262929__R6F558__BN691_01421
ERR1913195.289490__1.289490	301302__A0A0M6WCT0__M72_03221
ERR1913195.289543__1.289543	1680__A0A174BEE7__BSTER_1311
ERR1913195.289603__1.289603	40518__R5DZE2__DXD86_07400
ERR1913195.290053__1.290053	301302__R5UHX5__M72_14301
ERR1913195.290392__1.290392	165179__A0A174IHQ2__PREVCOP_05478
ERR1913195.290473__1.290473	165179__D1PFV4__PREVCOP_06112
ERR1913195.290489__1.290489	1680__R5GSL8__DXD60_03315
ERR1913195.290587__1.290587	410072__A0A173XQG6__ERS852574_01620
ERR1913195.290662__1.290662	649756__D4MV02__CL2_23590
ERR1913195.290723__1.290723	165179__A0A174UTZ7__DXC61_06705
ERR1913195.290759__1.290759	301302__R5V7K8__M72_11711
ERR1913195.290895__1.290895	28052__A0A174HXG0__galK_3
ERR1913195.291086__1.291086	626940__E8LBW8__DCQ00_03950
ERR1913195.291159__1.291159	165179__A0A174IPI3__CFT61_10940
ERR1913195.291642__1.291642	301302__A0A173T0N8__ERS852420_01792
ERR1913195.291703__1.291703	301302__R5VE75__M72_12161
ERR1913195.291710__1.291710	301302__A0A0M6W9I4__M72_19871
ERR1913195.291796__1.291796	39488__A0A285PQE3__DXD91_00180
ERR1913195.291830__1.291830	165179__R6C3K4__PREVCOP_05795
ERR1913195.292069__1.292069	853__A0A2A7B1Y7__C7K05_11930
ERR1913195.292280__1.292280	33043__A0A173YLD4__ERS852575_00535
ERR1913195.292568__1.292568	1284775__A0A095Y5J4__HMPREF1640_07320
ERR1913195.292690__1.292690	246787__A0A3D6AV26__BcellWH2_02579
ERR1913195.292773__1.292773	418240__A0A173XCL4__ERS852523_02725
ERR1913195.292884__1.292884	165179__W1I4H6__DXB80_13655
ERR1913195.292835__1.292835	165179__A0A229I4J4__proA
ERR1913195.292847__1.292847	1262929__R6F5G9__BN691_01545
ERR1913195.293151__1.293151	301302__R5UNJ6__M72_26701
ERR1913195.293174__1.293174	1262882__R5MLP0__BN519_01597
ERR1913195.293338__1.293338	165179__A0A3E5E189__PREVCOP_06699
ERR1913195.293645__1.293645	1284775__A0A095Y5G0__HMPREF1640_07060
ERR1913195.293666__1.293666	360807__A0A1Q6TAH8__RIL183_11271
ERR1913195.293701__1.293701	301302__A0A0M6X038__M72_18501
ERR1913195.293782__1.293782	853__A0A174UDE9__C4N25_12775
ERR1913195.293789__1.293789	1160721__R6SZN5__BHW50_07705
ERR1913195.294038__1.294038	28118__R6F7J8__Odosp_3206
ERR1913195.294759__1.294759	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.294820__1.294820	1680__A0A087DLC6__C8077_00815
ERR1913195.295126__1.295126	1262929__R6FV28__BN691_00620
ERR1913195.295142__1.295142	165179__A0A3E5E2C8__folA
ERR1913195.295192__1.295192	1262882__R5N5D7__BN519_01676
ERR1913195.295251__1.295251	33043__A0A173YYE7__ERS852445_00670
ERR1913195.295301__1.295301	1262911__R6GS52__BN557_00834
ERR1913195.295578__1.295578	165179__A0A174IYW3__DXC61_01235
ERR1913195.295739__1.295739	40518__R5DVR2__RBL236_00303
ERR1913195.295903__1.295903	301302__R5V5V1__M72_08471
ERR1913195.295907__1.295907	165179__A0A174WGF6__PREVCOP_04095
ERR1913195.296268__1.296268	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913195.296395__1.296395	301302__A0A0M6WWC3__M72_11371
ERR1913195.296408__1.296408	1262930__R5ZV69__BN693_01268
ERR1913195.296750__1.296750	165179__A0A229I1J2__DXB80_03950
ERR1913195.296853__1.296853	626940__E8LF01__HMPREF9443_01436
ERR1913195.296954__1.296954	165179__A0A229I740__DXC61_10430
ERR1913195.297024__1.297024	387090__S0F5W0__BACCOPRO_01138
ERR1913195.297135__1.297135	165179__A0A3E5EBM5__DXC61_02170
ERR1913195.297233__1.297233	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913195.297627__1.297627	328812__S0GJD6__C803_01758
ERR1913195.297805__1.297805	165179__A0A3E4SG51__DXC61_10575
ERR1913195.298173__1.298173	301302__A0A0M6WCT0__M72_03221
ERR1913195.298092__1.298092	28052__R7NDB2__ERS852451_01735
ERR1913195.298425__1.298425	39488__A0A285Q0V4__paaK_1
