ERR1913236.229__1.229	357276__B6W1Y1__BSEG_03960
ERR1913236.661591__1.661591	410072__A0A173YNZ0__ERS852481_00766
ERR1913236.661755__1.661755	88431__A0A3D0EZN6__DORLON_02944
ERR1913236.661794__1.661794	214856__R6Z288__ERS852447_00734
ERR1913236.661832__1.661832	357276__A0A076ISJ4__B5F95_19420
ERR1913236.661946__1.661946	2108523__A0A2P2F3I3__LAWASA_548
ERR1913236.662023__1.662023	674529__R6UY37__SAMN05444400_12650
ERR1913236.662130__1.662130	214856__A0A173ZQY0__ERS852559_00007
ERR1913236.662059__1.662059	853__R6QDR1__C4N27_08170
ERR1913236.662222__1.662222	40518__R5E7G3__DXD86_03405
ERR1913236.662244__1.662244	820__R9HP61__DXC91_01090
ERR1913236.662245__1.662245	820__A0A174Q0F0__DXB48_08080
ERR1913236.662253__1.662253	626929__F3PIK9__HMPREF9445_01807
ERR1913236.662475__1.662475	1262992__R5D1X3__BN795_00176
ERR1913236.662495__1.662495	39491__A0A395ZF49__DXB69_05290
ERR1913236.662455__1.662455	820__A0A396EWL3__ERS417307_03868
ERR1913236.662622__1.662622	39491__A0A396FFW0__ERE_10580
ERR1913236.662650__1.662650	394340__gyrA
ERR1913236.662783__1.662783	33025__A0A395J910__C8D73_11128
ERR1913236.662802__1.662802	1150298__A0A174I6Y0__ERS852498_00576
ERR1913236.662839__1.662839	214856__A0A173ZPR4__ERS852447_00928
ERR1913236.663107__1.663107	246787__A0A108T1Y3__fepA_8
ERR1913236.663169__1.663169	40518__R5DU52__RB5AMG_02245
ERR1913236.663149__1.663149	394340__putP_1
ERR1913236.663379__1.663379	1262536__GeneID:16385454
ERR1913236.663417__1.663417	310298__B3JHU0__BACCOP_01452
ERR1913236.663468__1.663468	166486__D4KYD7__ERS852572_03817
ERR1913236.663654__1.663654	28117__B0MWX3__BHV66_03010
ERR1913236.663703__1.663703	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913236.663693__1.663693	649756__B0P2G4__HMPREF0369_01300
ERR1913236.663764__1.663764	820__A0A174CK74__DXB48_07060
ERR1913236.663965__1.663965	310298__B3JEH9__BACCOP_00270
ERR1913236.663971__1.663971	649756__D4MW50__HMPREF0369_01323
ERR1913236.664021__1.664021	357276__B6VT86__IY41_22515
ERR1913236.664033__1.664033	40518__R5DYU1__DXD86_01160
ERR1913236.664074__1.664074	487174__K0WXG8__DIT83_09300
ERR1913236.664118__1.664118	29361__B6FRT6__CLONEX_02860
ERR1913236.664151__1.664151	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913236.664223__1.664223	850__C3WAN9__C4N19_06110
ERR1913236.664309__1.664309	820__A0A174KKV6__DXC07_02635
ERR1913236.664314__1.664314	1262992__R5CXL9__BN795_01014
ERR1913236.664362__1.664362	821__R7P1Q7__M099_2990
ERR1913236.664382__1.664382	674529__R6V0V1__DXB21_06395
ERR1913236.664566__1.664566	1263044__GCA_000433375.1_00683
ERR1913236.664574__1.664574	649756__A0A174K9U9__HMPREF0369_00778
ERR1913236.664631__1.664631	394340__group_3267
ERR1913236.664635__1.664635	1095727__I2JB28__HMPREF1117_1224
ERR1913236.664666__1.664666	166486__D4L301__ROSINTL182_06234
ERR1913236.664673__1.664673	40518__R5E4V5__RBL263_01242
ERR1913236.664698__1.664698	821__A0A174WBC9__ERS852556_03145
ERR1913236.664750__1.664750	39491__A0A174K265__DXB76_05915
ERR1913236.664726__1.664726	214856__A0A174G9T6__ERS852447_02535
ERR1913236.664759__1.664759	820__A0A174QLF0__SAMN05444418_109151
ERR1913236.664776__1.664776	33039__D4M340__sleB_2
ERR1913236.664820__1.664820	823__A6LGI3__DXB14_09215
ERR1913236.665003__1.665003	410072__A0A174B435__COPCOM_00497
ERR1913236.665123__1.665123	40518__A0A1C6H8C4__DXD93_02535
ERR1913236.665198__1.665198	371601__I9AJK3__SAMN04487924_10989
ERR1913236.665213__1.665213	28117__B0MSS1__ALIPUT_00273
ERR1913236.665224__1.665224	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913236.665423__1.665423	204516__U6RNF5__HMPREF1534_00381
ERR1913236.665503__1.665503	1263109__GCA_000438135.1_00482
ERR1913236.665506__1.665506	821__U6RDC2__DXD46_15675
ERR1913236.665659__1.665659	823__A6LB62__B5F32_04550
ERR1913236.665687__1.665687	166486__D4KZ78__ROSINTL182_05698
ERR1913236.665772__1.665772	1262743__R5C054__BN727_01980
ERR1913236.665907__1.665907	1263107__GCA_000436995.1_00106
ERR1913236.666133__1.666133	357276__B6W5Q7__DXD47_13945
ERR1913236.666134__1.666134	33025__A0A395J9R3__C8D73_10817
ERR1913236.666355__1.666355	338188__R6SAC6__ERS852397_01653
ERR1913236.666519__1.666519	1150298__A0A174MSM0__toxA_2
ERR1913236.666574__1.666574	39485__A0A174YSU1__ERS852492_00576
ERR1913236.666645__1.666645	820__A0A1Y3V743__M093_0235
ERR1913236.666663__1.666663	823__A0A073I9P2__CF162_18000
ERR1913236.666841__1.666841	418240__C6J849__ERS852478_02462
ERR1913236.667075__1.667075	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913236.667116__1.667116	371601__A0A1I4XTE3__B5E50_03310
ERR1913236.667117__1.667117	88431__A0A174G8Q6__ERS852526_02711
ERR1913236.667119__1.667119	39491__A0A395ZKJ0__DXD13_11010
ERR1913236.667319__1.667319	214856__A0A174FWM7__ERS852559_00590
ERR1913236.667334__1.667334	46503__R6Y2Q2__DCY29_15375
ERR1913236.667531__1.667531	40520__A0A174Q8Q4__DXB81_11370
ERR1913236.667597__1.667597	28117__B0MXR4__BHV66_08025
ERR1913236.667724__1.667724	301302__A0A0M6WV88__dhaS_2
ERR1913236.667673__1.667673	1263107__GCA_000436995.1_00229
ERR1913236.667780__1.667780	820__A0A174M9V5__M093_0237
ERR1913236.667850__1.667850	216816__C2GUV2__APC1478_0430
ERR1913236.667927__1.667927	821__A0A3E4HP25__SAMN04487923_102450
ERR1913236.667897__1.667897	820__A0A139KHX1__HMPREF2141_00289
ERR1913236.667907__1.667907	1262920__R5KD76__BN467_01465
ERR1913236.668069__1.668069	820__A0A3E4WA06__ERS852554_03404
ERR1913236.668123__1.668123	820__A7VAR9__ERS852421_00197
ERR1913236.668172__1.668172	40518__R5E1J7__RBL236_02062
ERR1913236.668223__1.668223	166486__D4L1P3__ERS852572_00760
ERR1913236.668228__1.668228	1262743__R5C054__BN727_01980
ERR1913236.668440__1.668440	39486__G1WUB8__DXD82_09390
ERR1913236.668448__1.668448	820__A7V092__hldE
ERR1913236.668492__1.668492	40518__R5DME2__DXD86_07315
ERR1913236.668543__1.668543	40518__R5DUJ5__DXD83_01635
ERR1913236.668522__1.668522	214856__R6YBX3__msbA_2
ERR1913236.668894__1.668894	33039__R6P284__spoIIIE
ERR1913236.668898__1.668898	40518__R5E4E8__phoR_4
ERR1913236.668907__1.668907	40518__R5DZU5__RBL263_00458
ERR1913236.669084__1.669084	1150298__R7JRK4__ERS852406_01648
ERR1913236.669152__1.669152	40518__R5DP61__DXD86_06345
ERR1913236.669154__1.669154	116085__D4J693__DW747_12735
ERR1913236.669178__1.669178	823__A6LEF3__ERS852560_01356
ERR1913236.669328__1.669328	166486__D4KUM5__afr
ERR1913236.669343__1.669343	371601__D7J6D0__DXD03_12830
ERR1913236.669307__1.669307	329854__A0A3E4IA10__DXD57_17005
ERR1913236.669417__1.669417	552398__F4XDS4__HMPREF0866_01997
ERR1913236.669557__1.669557	820__A7V049__DXB48_04755
ERR1913236.669563__1.669563	338188__C9L0Q9__HMPREF1057_02408
ERR1913236.669686__1.669686	166486__D4L0J8__ROSINTL182_08089
ERR1913236.669696__1.669696	40518__R5E6K5__speA
ERR1913236.669709__1.669709	338188__R6RY59__BACFIN_08333
ERR1913236.669720__1.669720	1150298__A0A174SLE6__mlc_1
ERR1913236.669738__1.669738	820__A0A1Q6IDS8__chtA
ERR1913236.669758__1.669758	33039__A0A173VNF2__truB
ERR1913236.669791__1.669791	344021__GeneID:3707741
ERR1913236.669835__1.669835	40518__R5DU28__DXD86_07960
ERR1913236.669980__1.669980	291644__R5JUW8__wecA_3
ERR1913236.669937__1.669937	626929__R6MDM3__B5F24_06470
ERR1913236.670068__1.670068	39491__A0A395V0E5__ERE_31370
ERR1913236.670119__1.670119	40518__R5DSI5__fieF
ERR1913236.670128__1.670128	39491__D6E408__EUBREC_1466
ERR1913236.670163__1.670163	39491__C4Z8B6__ERE_17960
ERR1913236.670194__1.670194	40518__R5DT16__ysdC_2
ERR1913236.670215__1.670215	39491__A0A395ZDC6__addB
ERR1913236.670231__1.670231	1735__A0A0E9EXE5__EUBIFOR_01739
ERR1913236.670289__1.670289	214856__R6Z5D0__resA_4
ERR1913236.670346__1.670346	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913236.670480__1.670480	46503__A7A9H8__DD461_05910
ERR1913236.670541__1.670541	1735__B7CBP5__EUBIFOR_01620
ERR1913236.670744__1.670744	39488__A0A374N0M3__EUBHAL_02860
ERR1913236.670823__1.670823	33039__D4M0U9__mucD
ERR1913236.670841__1.670841	344022__GeneID:3837321
ERR1913236.670850__1.670850	850__C3WFD6__C4N19_00685
ERR1913236.670930__1.670930	820__R7E9Z4__DXC68_06065
ERR1913236.671071__1.671071	820__A0A174CK74__DXB48_07060
ERR1913236.671076__1.671076	552398__F4XE75__HMPREF0866_01394
ERR1913236.671130__1.671130	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913236.671247__1.671247	820__A0A1T4IY71__HMPREF2141_02402
ERR1913236.671316__1.671316	820__A0A3E4GA19__SAMN05444418_10562
ERR1913236.671288__1.671288	291644__I9HRU8__ERS852428_03635
ERR1913236.671337__1.671337	853__A8SB03__C4Q21_07960
ERR1913236.671338__1.671338	674529__A0A174RBF7__SAMN05444400_1464
ERR1913236.671344__1.671344	33039__D4M1V6__bioA
ERR1913236.671502__1.671502	1150298__A0A174CCD5__ERS852406_01310
ERR1913236.671578__1.671578	40520__R7D4G0__ERS852533_01128
ERR1913236.671546__1.671546	33025__A0A395JDV3__C8D73_101685
ERR1913236.671678__1.671678	853__A0A2A7B9I6__DW855_13690
ERR1913236.671755__1.671755	674529__R6V7P0__SAMN05444400_102331
ERR1913236.671986__1.671986	674529__R6V730__DXB21_06405
ERR1913236.672001__1.672001	446660__GCA_003428235.1_00097
ERR1913236.672126__1.672126	28118__F9Z8E3__SAMEA44545918_03282
ERR1913236.672167__1.672167	40518__R5E5W1__RBL263_01034
ERR1913236.672229__1.672229	39496__A5Z5I2__EUBVEN_00963
ERR1913236.672232__1.672232	1263044__GCA_000433375.1_02419
ERR1913236.672240__1.672240	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913236.672283__1.672283	626929__R5K4I0__B5F24_03615
ERR1913236.672324__1.672324	820__A0A174M9V5__M093_0237
ERR1913236.672373__1.672373	166486__C7G849__ERS852572_00697
ERR1913236.672383__1.672383	40518__R5E328__DXD86_08885
ERR1913236.672554__1.672554	357276__I9QBT7__BSEG_03340
ERR1913236.672895__1.672895	820__A0A174CK74__DXB48_07060
ERR1913236.672903__1.672903	820__A0A1T4IY80__ERS852554_01621
ERR1913236.673078__1.673078	1262783__R6CRY8__BN558_00646
ERR1913236.673080__1.673080	853__A0A174CVG7__CGS58_09335
ERR1913236.673359__1.673359	626929__F3PJ28__B5F24_03465
ERR1913236.673772__1.673772	818__A0A0P0FLN9__NCTC13706_01794
ERR1913236.673789__1.673789	626929__F3PF36__B5F24_16825
ERR1913236.673850__1.673850	1965629__A0A1Y4B8Y3__B5F88_18835
ERR1913236.673943__1.673943	820__A0A139K0J1__HMPREF2141_03205
ERR1913236.673918__1.673918	33039__A0A173U4W1__ERS852502_00464
ERR1913236.674101__1.674101	74426__asnS
ERR1913236.674130__1.674130	39486__R6S7Q3__DXD84_03220
ERR1913236.674138__1.674138	1304__A0A1V0GHA0__SSALIVM18_08666
ERR1913236.674194__1.674194	360807__C0FWL1__RIL183_24711
ERR1913236.674325__1.674325	28116__A0A395VSP8__ERS852555_02642
ERR1913236.674336__1.674336	214856__A0A174ZZS1__ERS852559_01484
ERR1913236.674396__1.674396	821__C6ZAA5__ERS852556_00403
ERR1913236.674421__1.674421	301302__A0A0M6WKN8__M72_27741
ERR1913236.674500__1.674500	214856__A0A173ZSA1__cnrH_1
ERR1913236.674571__1.674571	649756__B0NZZ8__DO83_09740
ERR1913236.674654__1.674654	820__A0A173YYG4__evgS_3
ERR1913236.674688__1.674688	818__A0A0P0F7K1__ERS852461_02719
ERR1913236.674690__1.674690	1262889__R7HDI0__BN634_01483
ERR1913236.674698__1.674698	820__A0A3E4VZT7__DXB48_16145
ERR1913236.674733__1.674733	410072__C0BAQ2__ERS852574_01938
ERR1913236.674840__1.674840	338188__R6SX54__mscM_1
ERR1913236.675010__1.675010	40518__R5DYM0__DXD86_08165
ERR1913236.674985__1.674985	674529__R6UY37__SAMN05444400_12650
ERR1913236.675244__1.675244	1304__T0TCW4__SALIVA_1763
ERR1913236.675265__1.675265	1263044__GCA_000433375.1_00195
ERR1913236.675295__1.675295	821__A0A174WBC9__ERS852556_03145
ERR1913236.675303__1.675303	821__R7P1Q7__M099_2990
ERR1913236.675498__1.675498	39491__C4ZC33__DXC13_11585
ERR1913236.675576__1.675576	820__A0A174CG08__DXB62_13215
ERR1913236.675673__1.675673	823__A0A173RD26__B5F32_03910
ERR1913236.675719__1.675719	820__A0A1T4IY71__HMPREF2141_02402
ERR1913236.675828__1.675828	214856__A0A173ZUI6__ERS852447_00955
ERR1913236.675837__1.675837	823__D7ILK2__ERS852380_00031
ERR1913236.675965__1.675965	1150298__A0A174R918__ERS852535_01749
ERR1913236.676137__1.676137	166486__D4L457__ROSINTL182_07087
ERR1913236.676170__1.676170	28117__R7JPX7__BHV66_00900
ERR1913236.676207__1.676207	28117__B0MY40__BHV66_05170
ERR1913236.676285__1.676285	39491__A0A396FJJ9__DXB76_11995
ERR1913236.676353__1.676353	29348__B1C499__CLOSPI_02067
ERR1913236.676459__1.676459	820__A0A139KHX1__HMPREF2141_00289
ERR1913236.676519__1.676519	166486__D4KYW5__ROSINTL182_05595
ERR1913236.676714__1.676714	820__A7V092__hldE
ERR1913236.676813__1.676813	28117__B0MT84__ALIPUT_00402
ERR1913236.676975__1.676975	46228__V8C4T8__RUMLAC_02058
ERR1913236.677078__1.677078	371601__D6D4P3__BN890_24980
ERR1913236.677104__1.677104	460384__A0A1I0K2D7__SAMN05216313_14113
ERR1913236.677330__1.677330	291644__I9TD23__HMPREF1532_01622
ERR1913236.677309__1.677309	28117__B0N007__BHV66_10275
ERR1913236.677416__1.677416	460384__A0A2T3F9F2__SAMN05216313_12349
ERR1913236.677638__1.677638	820__A0A3E4XM43__DXC91_13960
ERR1913236.677797__1.677797	246787__A0A108TE61__HMPREF1062_02205
ERR1913236.677965__1.677965	674529__R6V9C9__DXB21_16435
ERR1913236.677886__1.677886	1628085__A0A1C5ZVV6__C7386_11323
ERR1913236.678252__1.678252	28117__B0MTV0__BHV66_06395
ERR1913236.678337__1.678337	1263044__GCA_000433375.1_00649
ERR1913236.678382__1.678382	820__A0A3E4W6P0__gmhA
ERR1913236.678463__1.678463	820__R7E9Z4__DXC68_06065
ERR1913236.678564__1.678564	820__A0A3E4WA06__ERS852554_03404
ERR1913236.678565__1.678565	820__A0A3E4WA06__ERS852554_03404
ERR1913236.678856__1.678856	820__A0A139KA34__B5G17_05520
ERR1913236.678878__1.678878	338188__R6RWE8__BACFIN_08980
ERR1913236.678980__1.678980	1735__A0A395WAL9__EUBIFOR_01618
ERR1913236.678995__1.678995	46503__R6X6Y1__DCY29_15600
ERR1913236.679077__1.679077	820__A0A3E4PYB0__yejM
ERR1913236.679146__1.679146	246787__A0A3D6ARN8__yehU_6
ERR1913236.679106__1.679106	821__A0A0P0LFP6__C5Z04_13890
ERR1913236.679367__1.679367	821__A0A174NSU0__BVU_3144
ERR1913236.679376__1.679376	487174__K0X347__DIT83_07775
ERR1913236.679347__1.679347	360807__C0FVL1__ERS852392_00394
ERR1913236.679415__1.679415	40520__A0A395ZYA8__DXC87_11720
ERR1913236.679494__1.679494	1735__B7CCH2__EUBIFOR_01900
ERR1913236.679596__1.679596	820__E5VA63__DXC80_01025
ERR1913236.679634__1.679634	1235790__S0J8L6__C805_00148
ERR1913236.679574__1.679574	33039__A0A174Z8F8__ERS852530_05419
ERR1913236.679787__1.679787	246787__A0A0P0GNX3__BACCELL_00807
ERR1913236.679827__1.679827	820__A0A3E4G8F8__ERS852421_01645
ERR1913236.679923__1.679923	88431__A0A3D0EYE9__rafA
ERR1913236.679975__1.679975	1263044__GCA_000433375.1_00904
ERR1913236.680009__1.680009	821__A0A0P0M3U7__DXB90_14325
ERR1913236.680257__1.680257	39486__G1WSX8__DXD82_08635
ERR1913236.680277__1.680277	344021__GeneID:3707741
ERR1913236.680355__1.680355	823__A0A395YS82__M091_1569
ERR1913236.680478__1.680478	28118__F9ZCH4__kfoC_2
ERR1913236.680565__1.680565	360807__A0A173V2S2__phoR_7
ERR1913236.680590__1.680590	39491__A0A173RA59__EUR_24800
ERR1913236.680729__1.680729	40518__R5DLW4__thiN
ERR1913236.680817__1.680817	818__A0A139KY34__ERS852461_03898
ERR1913236.680820__1.680820	818__A0A139KY34__ERS852461_03898
ERR1913236.681214__1.681214	487174__K0WTQ3__HMPREF9448_02140
ERR1913236.681476__1.681476	818__A0A0N7I9M6__Btheta7330_00939
ERR1913236.681497__1.681497	1263109__GCA_000438135.1_01227
ERR1913236.681501__1.681501	820__A0A3E4VZT7__DXB48_16145
ERR1913236.681522__1.681522	214856__A0A173ZSM1__ERS852447_00944
ERR1913236.681636__1.681636	881953__GeneID:10358887
ERR1913236.681662__1.681662	116085__D4J5C8__DW747_06720
ERR1913236.681730__1.681730	360807__C0FQL8__tipA
ERR1913236.681804__1.681804	1263044__GCA_000433375.1_01145
ERR1913236.681973__1.681973	820__A0A3E4VXP2__yesR
ERR1913236.681984__1.681984	39491__A0A395UZ82__EUR_31520
ERR1913236.682143__1.682143	649756__D4MXY4__CL2_04010
ERR1913236.682244__1.682244	46503__R6Y9P8__evgS_3
ERR1913236.682273__1.682273	820__A7V9F9__B5G17_14640
ERR1913236.682328__1.682328	820__A0A3E4PYB0__yejM
ERR1913236.682546__1.682546	214856__A0A174H6R3__ERS852447_02809
ERR1913236.682634__1.682634	820__A0A374QGD2__ERS852421_02382
ERR1913236.682812__1.682812	820__A0A396EUU8__luxQ_3
ERR1913236.682776__1.682776	357276__A0A076IN21__BSEG_03078
ERR1913236.683018__1.683018	418240__A0A173XCL4__ERS852523_02725
ERR1913236.683035__1.683035	820__A0A139K5E7__DXC68_09550
ERR1913236.683055__1.683055	214856__A0A173ZSL2__ERS852559_00010
ERR1913236.683170__1.683170	338188__R6D6U2__ERS852397_02840
ERR1913236.683171__1.683171	820__A0A3E4GA19__SAMN05444418_10562
ERR1913236.683176__1.683176	823__D7ILK2__ERS852380_00031
ERR1913236.683235__1.683235	487174__K0WTV8__DIT83_04385
ERR1913236.683256__1.683256	820__A0A3E4VZY4__ERS852554_01211
ERR1913236.683476__1.683476	820__A0A3E4PYB0__yejM
ERR1913236.683757__1.683757	46503__R6WWH2__DXB85_00365
ERR1913236.683781__1.683781	39491__A0A395ZFH9__ERS852417_01193
ERR1913236.683897__1.683897	674529__R6W482__DXB21_24930
ERR1913236.683946__1.683946	338188__A0A174ETX3__ERS852397_01955
ERR1913236.684070__1.684070	376805__F0R8H8__Bacsa_0435
ERR1913236.684128__1.684128	674529__R6W6H9__SAMN05444400_109129
ERR1913236.684130__1.684130	820__A0A173WUD7__DXB48_08055
ERR1913236.684142__1.684142	357276__A0A076IN30__DXD47_09350
ERR1913236.684143__1.684143	820__A0A3E4W6P0__gmhA
ERR1913236.684259__1.684259	338188__R6S8N0__BACFIN_06127
ERR1913236.684323__1.684323	446660__GCA_003428235.1_01044
ERR1913236.684328__1.684328	820__A0A3E4WA06__ERS852554_03404
ERR1913236.684549__1.684549	40518__R5E1J2__DXD93_04070
ERR1913236.684559__1.684559	28117__B0MYW5__ALIPUT_02334
ERR1913236.684606__1.684606	39488__A0A374NKN1__ltaS_2
ERR1913236.684668__1.684668	33039__A0A174ZQJ6__ERS852530_06709
ERR1913236.684695__1.684695	166486__A0A173T114__ROSINTL182_05085
ERR1913236.684883__1.684883	357276__B6W1J2__BACDOR_03380
ERR1913236.684846__1.684846	214856__A0A173XIZ3__ERS852559_00434
ERR1913236.684973__1.684973	360807__C0FMY6__ROSEINA2194_00074
ERR1913236.685015__1.685015	820__A0A174TRB5__DXD40_11305
ERR1913236.685035__1.685035	823__A0A395YXR9__M091_4086
ERR1913236.685053__1.685053	46228__V8C4T8__RUMLAC_02058
ERR1913236.685173__1.685173	46228__V8C4T8__RUMLAC_02058
ERR1913236.685131__1.685131	33039__D4M4L0__ERS852577_02891
ERR1913236.685225__1.685225	823__A0A355XN36__DXB14_02385
ERR1913236.685303__1.685303	33039__A0A174ZX07__dapE_1
ERR1913236.685266__1.685266	204516__U6RPN2__HMPREF1534_00368
ERR1913236.685395__1.685395	33039__A0A174ZIS2__RTO_10090
ERR1913236.685357__1.685357	39491__A0A0M6WWT1__dus_2
ERR1913236.685405__1.685405	387661__B7B704__B5F96_16210
ERR1913236.685559__1.685559	820__A0A3E4GA19__SAMN05444418_10562
ERR1913236.685627__1.685627	246787__R6K7I2__BcellWH2_03256
ERR1913236.685693__1.685693	39491__A0A173TFQ1__rsmF
ERR1913236.685750__1.685750	166486__A0A173VSA0__ROSINTL182_06124
ERR1913236.685814__1.685814	39491__A0A395UZ82__EUR_31520
ERR1913236.685834__1.685834	301302__A0A0M6X038__M72_18501
ERR1913236.686330__1.686330	39491__A0A395ZGE4__ERS852497_01269
ERR1913236.686463__1.686463	823__A0A355XIK0__CEQ22_011965
ERR1913236.686552__1.686552	820__A0A139KJ23__celCCA
ERR1913236.686582__1.686582	33025__A0A395JD47__C8D73_101260
ERR1913236.686617__1.686617	40518__R5DXH2__DXD83_10135
ERR1913236.686661__1.686661	166486__A0A173T114__ROSINTL182_05085
ERR1913236.686679__1.686679	706562__GCA_900112995.1_01884
ERR1913236.686714__1.686714	1262743__R5C054__BN727_01980
ERR1913236.686746__1.686746	214856__R6YC22__ERS852447_01215
ERR1913236.686793__1.686793	28117__B0MWC6__BHV66_00965
ERR1913236.686833__1.686833	214856__A0A174EQR4__rsmA
ERR1913236.686844__1.686844	39491__A0A174LTW7__DXD13_08720
ERR1913236.686855__1.686855	818__A0A139KMC9__C799_02694
ERR1913236.686867__1.686867	39491__D6E2U1__EUBREC_3278
ERR1913236.686994__1.686994	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913236.687014__1.687014	853__A0A2A7A4A9__C4N21_14870
ERR1913236.687176__1.687176	1304__Q55242__V471_04485
ERR1913236.687401__1.687401	246787__A0A0P0FV02__AA416_03728
ERR1913236.687409__1.687409	360807__A0A396ADY6__RIL183_17001
ERR1913236.687549__1.687549	820__A0A139JUD3__DXC91_19380
ERR1913236.687751__1.687751	487174__K0X3L3__DDY40_11345
ERR1913236.688005__1.688005	820__A0A3E4WCC2__lptB_1
ERR1913236.688006__1.688006	290052__A0A0V8QDP3__ASU35_02330
ERR1913236.688062__1.688062	821__U6RDC2__DXD46_15675
ERR1913236.688149__1.688149	1735__B7CDA5__EUBIFOR_02186
ERR1913236.688258__1.688258	39491__A0A396FJJ9__DXB76_11995
ERR1913236.688260__1.688260	214856__R5UN64__ERS852447_02669
ERR1913236.688356__1.688356	544645__A0A3E4TA59__DXC42_07760
ERR1913236.688342__1.688342	820__A0A174EV88__HMPREF1072_01427
ERR1913236.688309__1.688309	214856__A0A173ZUI6__ERS852447_00955
ERR1913236.688379__1.688379	820__A0A3E4WCX3__C801_02709
ERR1913236.688420__1.688420	820__A0A374QGD2__ERS852421_02382
ERR1913236.688603__1.688603	1628085__A0A2U1BHQ4__C7386_101458
ERR1913236.688661__1.688661	1263044__GCA_000433375.1_03640
ERR1913236.688718__1.688718	39491__A0A174LTW7__DXD13_08720
ERR1913236.688651__1.688651	418240__A0A173XSX9__ERS852523_01591
ERR1913236.688817__1.688817	1318__I1ZJC0__TZ97_01904
ERR1913236.688783__1.688783	214856__A0A173YE57__ERS852559_00126
ERR1913236.688840__1.688840	214856__A0A174CRY5__ERS852559_01060
ERR1913236.688974__1.688974	166486__D4KWZ7__cph2_5
ERR1913236.689055__1.689055	35833__E5YAA4__HMPREF0179_03124
ERR1913236.689037__1.689037	39491__C4ZCV7__ERE_23110
ERR1913236.689219__1.689219	418240__A0A173YIF6__ypdA_1
ERR1913236.689201__1.689201	544645__A0A1Y3W0G8__DXC42_07680
ERR1913236.689209__1.689209	40518__R5E4X5__RB5AMG_01438
ERR1913236.689330__1.689330	394340__groL
ERR1913236.689338__1.689338	821__C6Z451__BHV80_04265
ERR1913236.689475__1.689475	1628085__A0A374VRS5__C7386_10481
ERR1913236.689469__1.689469	166486__D4L082__yicI_5
ERR1913236.689516__1.689516	820__A0A173YYG4__evgS_3
ERR1913236.689546__1.689546	1263044__GCA_000433375.1_01140
ERR1913236.689646__1.689646	387090__S0F8B2__BACCOPRO_02129
ERR1913236.689704__1.689704	823__A0A173V751__DXD05_02690
ERR1913236.689711__1.689711	626930__F3PVR2__HMPREF9446_02840
ERR1913236.689715__1.689715	394340__mfd
ERR1913236.689747__1.689747	1628085__A0A396MGZ2__C7386_12111
ERR1913236.689844__1.689844	246787__A0A0P0GNB7__xyl4
ERR1913236.689987__1.689987	853__D4KAK8__C4N21_13380
ERR1913236.690008__1.690008	820__A0A3E4G826__C801_01612
ERR1913236.690256__1.690256	1150298__R7JTX5__ERS852535_01291
ERR1913236.690325__1.690325	40518__R5E1X3__clcA
ERR1913236.690390__1.690390	28118__F9Z7M5__B5F99_15930
ERR1913236.690678__1.690678	435637__GeneID:5075980
ERR1913236.690725__1.690725	1263044__GCA_000433375.1_01150
ERR1913236.690990__1.690990	216816__B3DRY8__DPC6320_0936
ERR1913236.691052__1.691052	649756__B0P0D0__ERS852571_02742
ERR1913236.691200__1.691200	39491__A0A395ZHW9__DXC13_02590
ERR1913236.691364__1.691364	338188__R6RY59__BACFIN_08333
ERR1913236.691390__1.691390	820__A0A174TRB5__DXD40_11305
ERR1913236.691495__1.691495	39491__C4Z9Y3__ERS852417_01808
ERR1913236.691429__1.691429	626929__F3PJ28__B5F24_03465
ERR1913236.691452__1.691452	1160721__A0A373ML50__RBI_I01893
ERR1913236.691551__1.691551	820__A0A174KKV6__DXC07_02635
ERR1913236.691655__1.691655	39491__A0A173TFQ1__rsmF
ERR1913236.691778__1.691778	394340__ppdK
ERR1913236.691743__1.691743	246787__A0A3D6AWM8__BACCELL_01963
ERR1913236.691966__1.691966	818__A0A1H7L4U6__BSIG_3287
ERR1913236.692077__1.692077	33025__A0A395JBN6__C8D73_10630
ERR1913236.692031__1.692031	820__A0A139KJ23__celCCA
ERR1913236.692080__1.692080	214856__A0A174ZLW6__ERS852559_01424
ERR1913236.692287__1.692287	1263044__GCA_000433375.1_01147
ERR1913236.692319__1.692319	823__A6LGI3__DXB14_09215
ERR1913236.692381__1.692381	39485__A0A174ZBJ8__speA_2
ERR1913236.692808__1.692808	1381__group_1158
ERR1913236.692961__1.692961	39491__A0A174M1X5__DXB99_18695
ERR1913236.693027__1.693027	820__A0A139K1Y6__DXB48_02610
ERR1913236.692992__1.692992	1735__B7CDL7__EUBIFOR_02300
ERR1913236.693160__1.693160	47678__R5U9Z0__HMPREF1061_03210
ERR1913236.693192__1.693192	821__D4VD59__BHV80_04260
ERR1913236.693435__1.693435	166486__D4L255__mcp4_5
ERR1913236.693586__1.693586	166486__D4KX83__ERS852572_01103
