ERR1913287.193__1.193	39492__D4JUJ6__ssuB_2
ERR1913287.106600__1.106600	821__A0A173XDD3__DXB82_17180
ERR1913287.106608__1.106608	239935__A0A2N8HB50__CXU17_02615
ERR1913287.106671__1.106671	821__A0A174NM17__lacZ_6
ERR1913287.106767__1.106767	239935__A0A2N8I791__CXT99_09415
ERR1913287.106771__1.106771	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913287.106827__1.106827	820__A7V049__DXB48_04755
ERR1913287.106831__1.106831	39491__A0A396FM36__DXB99_00820
ERR1913287.106904__1.106904	239935__A0A2N8IVR0__CXT87_07115
ERR1913287.106939__1.106939	39491__D6E118__DXB69_05765
ERR1913287.106949__1.106949	33043__A0A3A6J8T3__yvhJ
ERR1913287.106999__1.106999	821__A0A174JYD3__ERS852457_02610
ERR1913287.107037__1.107037	165179__A0A229I4J4__proA
ERR1913287.107275__1.107275	301302__A0A173UN42__lytR_3
ERR1913287.107316__1.107316	28052__A0A174H9I6__ERS852451_00172
ERR1913287.107398__1.107398	239935__A0A2N8HQY4__CXT99_03170
ERR1913287.107418__1.107418	1262924__R7HMN2__BN585_01573
ERR1913287.107488__1.107488	46503__R6Y2Y6__ERS852463_03103
ERR1913287.107636__1.107636	1628085__A0A3E2XZQ1__C7386_101439
ERR1913287.107624__1.107624	165179__D1PCL6__DXB80_13435
ERR1913287.107586__1.107586	301302__A0A173R6H4__M72_21671
ERR1913287.107798__1.107798	165179__A0A174W369__PREVCOP_04548
ERR1913287.107981__1.107981	39491__A0A173TAZ5__DXB99_09520
ERR1913287.108298__1.108298	626940__R6X4V5__DCQ00_10410
ERR1913287.108322__1.108322	1262803__R6NXS7__BN649_00953
ERR1913287.108470__1.108470	39491__C4ZAT2__ERE_28440
ERR1913287.108494__1.108494	301302__R5UHX5__M72_14301
ERR1913287.108582__1.108582	39491__A0A396FP46__cobD_2
ERR1913287.108643__1.108643	28117__R7JIJ8__BHV66_01635
ERR1913287.108747__1.108747	626940__E8LE63__BN587_02212
ERR1913287.108834__1.108834	338188__R6S2N9__ERS852397_00568
ERR1913287.108967__1.108967	1262746__R5S4S7__BN750_02366
ERR1913287.108971__1.108971	33043__A0A173WPI1__ERS852400_02100
ERR1913287.109082__1.109082	165179__D1P9T6__PREVCOP_04016
ERR1913287.109317__1.109317	165179__D1PEZ7__DXC61_06515
ERR1913287.109448__1.109448	33043__D5HGR0__rpfC_2
ERR1913287.109450__1.109450	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913287.109678__1.109678	165179__R6CJG8__DXC61_09290
ERR1913287.109681__1.109681	853__A0A329UEG4__CHR60_00585
ERR1913287.109756__1.109756	706562__GCA_900112995.1_01870
ERR1913287.109900__1.109900	301301__A0A395VA63__sbcC
ERR1913287.109921__1.109921	39491__D4JMW8__ERS852497_01971
ERR1913287.110085__1.110085	2293125__A0A374BMK9__DW917_16190
ERR1913287.110600__1.110600	39492__D4JWA3__ERS852540_01332
ERR1913287.110642__1.110642	823__A0A395YRE1__DXC05_20005
ERR1913287.110829__1.110829	165179__A0A174SR12__DXB80_04410
ERR1913287.110877__1.110877	165179__A0A3E5EDV6__DXC61_03365
ERR1913287.110904__1.110904	165179__A0A174W369__PREVCOP_04548
ERR1913287.110943__1.110943	165179__A0A3E5EA83__DXC61_07750
ERR1913287.111022__1.111022	2108523__A0A2P2F3I9__LAWASA_555
ERR1913287.111031__1.111031	40518__R5DRG6__ylbJ
ERR1913287.111070__1.111070	165179__A0A3E5E2S3__DXB80_03455
ERR1913287.111098__1.111098	28117__B0MXX2__ALIPUT_01984
ERR1913287.111416__1.111416	239935__A0A2N8IU14__ADH72_05655
ERR1913287.111609__1.111609	165179__A0A3E5DZD8__DXB80_09150
ERR1913287.111631__1.111631	33043__D5HJ22__ERS852575_02302
ERR1913287.111763__1.111763	165179__D1PE06__DXC61_05975
ERR1913287.111875__1.111875	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913287.111949__1.111949	818__A0A0P0FBI1__NCTC10582_00163
ERR1913287.111967__1.111967	33043__D5HFA0__glfT2
ERR1913287.112058__1.112058	165179__A0A229I9X5__CFT61_01205
ERR1913287.112089__1.112089	165179__A0A3E5AGH1__DXB80_05820
ERR1913287.112168__1.112168	239935__B2URG9__CXU00_11290
ERR1913287.112298__1.112298	357276__A0A076IS26__EL88_15950
ERR1913287.112348__1.112348	301302__R5VCU3__cbiK_2
ERR1913287.112391__1.112391	239935__A0A2N8HAQ1__DEF40_05290
ERR1913287.112483__1.112483	239935__A0A2N8HQR1__Amuc_0287
ERR1913287.112526__1.112526	165179__D1PCU4__PREVCOP_05029
ERR1913287.112702__1.112702	165179__D1PCY7__DXB80_02765
ERR1913287.112718__1.112718	40518__R5DUG7__sbcC
ERR1913287.112923__1.112923	33043__A0A173YEP6__ERS852575_00888
ERR1913287.113062__1.113062	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913287.113100__1.113100	239935__R6JWJ7__CXT94_02580
ERR1913287.113105__1.113105	39491__D4JMW8__ERS852497_01971
ERR1913287.113106__1.113106	39491__A0A395ZDC6__addB
ERR1913287.113144__1.113144	39491__A0A174LTW7__DXD13_08720
ERR1913287.113480__1.113480	165179__D1PGD2__DXC61_10875
ERR1913287.113422__1.113422	357276__I9R4T1__IY41_06800
ERR1913287.113540__1.113540	1262803__R6NTB0__BN649_02169
ERR1913287.113727__1.113727	301302__A0A173V3Z4__ecfA1_3
ERR1913287.113718__1.113718	39491__C4ZGN3__DXB99_14175
ERR1913287.113771__1.113771	165179__D1PEQ5__PREVCOP_05711
ERR1913287.113849__1.113849	821__A6L0C7__ERS852556_03520
ERR1913287.113960__1.113960	33043__A0A173ZDC4__malL_1
ERR1913287.113964__1.113964	33043__A0A173YUV6__ERS852386_00507
ERR1913287.114128__1.114128	239935__A0A2N8IFA0__CXT92_02050
ERR1913287.114106__1.114106	33043__D5HF50__ERS852386_02415
ERR1913287.114261__1.114261	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913287.114182__1.114182	1262911__R6HN81__BN557_00921
ERR1913287.114419__1.114419	1263011__R6DXZ6__BN553_01033
ERR1913287.114681__1.114681	165179__D1PDT3__PREVCOP_05375
ERR1913287.114691__1.114691	39492__D4JTF2__mutS2
ERR1913287.114832__1.114832	1965604__A0A1Y4ERL1__B5F54_16810
ERR1913287.115065__1.115065	820__A0A1T4IY71__HMPREF2141_02402
ERR1913287.115113__1.115113	39485__R5ZNS8__rsmG
ERR1913287.115203__1.115203	239935__A0A2N8IHY1__CXU06_00035
ERR1913287.115229__1.115229	214856__E4MF20__Alfi_0697
ERR1913287.115326__1.115326	165179__A0A3E5EB26__CFT61_02800
ERR1913287.115422__1.115422	165179__A0A174MTF2__DXC61_13200
ERR1913287.115575__1.115575	39491__C4Z9K0__DXD95_07445
ERR1913287.115756__1.115756	853__A0A2A7B1Y7__C7K05_11930
ERR1913287.115764__1.115764	1262911__R6H074__BN557_00923
ERR1913287.115791__1.115791	39491__A0A396FGM9__fliU_1
ERR1913287.115804__1.115804	239935__A0A2N8I9P4__CXT85_05050
ERR1913287.115921__1.115921	39492__D4JSS2__EUBSIR_00553
ERR1913287.115974__1.115974	33043__A8SWI7__bcrC
ERR1913287.116302__1.116302	2293125__A0A374BMK9__DW917_16190
ERR1913287.116338__1.116338	33043__A0A173YEP6__ERS852575_00888
ERR1913287.116468__1.116468	46503__A7AG53__DD461_14240
ERR1913287.116426__1.116426	165179__A0A174XZU8__DXB80_12180
ERR1913287.116772__1.116772	165179__A0A3E5E920__DXB80_11625
ERR1913287.116788__1.116788	239935__A0A139TVJ4__CXT86_02020
ERR1913287.116724__1.116724	47678__R5U206__C5Z00_07065
ERR1913287.116975__1.116975	165179__D1PE06__DXC61_05975
ERR1913287.117251__1.117251	165179__D1PDG7__DXB80_11180
ERR1913287.117295__1.117295	39492__D4JUL4__ERS852540_01381
ERR1913287.117345__1.117345	39491__A0A395ZE48__DXB76_02395
ERR1913287.117447__1.117447	165179__D1PGU8__PREVCOP_06463
ERR1913287.117450__1.117450	1262924__R7HRE7__BN585_00055
ERR1913287.117488__1.117488	1263107__GCA_000436995.1_00140
ERR1913287.117744__1.117744	239935__R7E524__CXT91_06180
ERR1913287.117826__1.117826	239935__A0A2N8I9P4__CXT85_05050
ERR1913287.118031__1.118031	853__A0A3E2U7E6__ERS852582_01640
ERR1913287.118078__1.118078	626940__E8LF94__DCQ00_07860
ERR1913287.118102__1.118102	820__A0A139KJR5__M093_4469
ERR1913287.118042__1.118042	357276__D1JZM4__HMPREF1065_01278
ERR1913287.118316__1.118316	189722__E0NQU7__HMPREF0658_0548
ERR1913287.118400__1.118400	39491__A0A395ZJZ1__LD38_01870
ERR1913287.118510__1.118510	2293125__A0A374BY09__DW917_11855
ERR1913287.118545__1.118545	39491__D4JM76__DXC13_02150
ERR1913287.118812__1.118812	46228__V8CGF0__HMPREF1202_00126
ERR1913287.118938__1.118938	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913287.119108__1.119108	1262743__R5C8J0__BN727_01904
ERR1913287.119131__1.119131	28117__B0MXL6__ALIPUT_01851
ERR1913287.119261__1.119261	1501392__A0A0B2JGG4__PU94_12275
ERR1913287.119318__1.119318	239935__A0A3F3KBB8__CXU16_06755
ERR1913287.119346__1.119346	165179__A0A174W369__PREVCOP_04548
ERR1913287.119488__1.119488	165179__D1PE06__DXC61_05975
ERR1913287.119583__1.119583	626940__E8LDM4__mreC
ERR1913287.119724__1.119724	1263000__R5ES99__BN466_01121
ERR1913287.119755__1.119755	165179__A0A3E5DN34__DXC61_07865
ERR1913287.119826__1.119826	1263000__R5EFA7__BN466_01197
ERR1913287.119829__1.119829	821__A0A3E4WAR6__DXD64_10735
ERR1913287.119879__1.119879	360807__A0A173UCM1__RIL183_07511
ERR1913287.120015__1.120015	823__A6LH14__B5F32_11640
ERR1913287.120106__1.120106	165179__A0A3E5EDS1__DXC61_03115
ERR1913287.120196__1.120196	165179__A0A3E5A832__DXC61_13685
ERR1913287.120167__1.120167	239935__A0A2N8J2P6__ADH72_06730
ERR1913287.120211__1.120211	239935__A0A2N8IF99__lpdA
ERR1913287.120248__1.120248	1099853__U5CNF1__NSB1T_01130
ERR1913287.120611__1.120611	165179__A0A3E5EDS1__DXC61_03115
ERR1913287.120631__1.120631	165179__A0A3E5E2B6__DXB80_02820
ERR1913287.120780__1.120780	39491__R6TQ09__DXC13_03010
ERR1913287.120841__1.120841	28117__B0MXU6__ALIPUT_01958
ERR1913287.120935__1.120935	853__A0A173T0Y8__CGS54_07215
ERR1913287.120953__1.120953	165179__D1PAJ7__PREVCOP_04222
ERR1913287.121015__1.121015	40518__R5DX17__DXD86_01230
ERR1913287.120980__1.120980	1262924__R7HPU8__BN585_00010
ERR1913287.121320__1.121320	33043__A8SQU6__ERS852386_01237
ERR1913287.121349__1.121349	487174__K0WXG8__DIT83_09300
ERR1913287.121364__1.121364	820__A0A139K5E7__DXC68_09550
ERR1913287.121581__1.121581	39491__A0A396FMT0__EUBREC_3020
ERR1913287.121683__1.121683	165179__D1PCU4__PREVCOP_05029
ERR1913287.121752__1.121752	165179__D1P9T6__PREVCOP_04016
ERR1913287.121807__1.121807	371601__C3QEU5__ERS852396_01058
ERR1913287.122207__1.122207	853__A0A173XRA8__CGS56_09290
ERR1913287.122295__1.122295	165179__A0A174MTF2__DXC61_13200
ERR1913287.122350__1.122350	1780381__A0A143ZNY8__BN3661_00200
ERR1913287.122615__1.122615	1262924__R7HSM4__BN585_00913
ERR1913287.122795__1.122795	39492__D4JT75__EUBSIR_01776
ERR1913287.122965__1.122965	239935__R6JCH3__CXT95_08205
ERR1913287.122979__1.122979	33043__A0A173SQ62__ERS852575_01610
ERR1913287.123060__1.123060	1262889__R7H8W1__BN634_00624
ERR1913287.123184__1.123184	384638__B7AN60__BACPEC_00112
ERR1913287.123231__1.123231	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913287.123260__1.123260	649756__B0P1V9__CL2_10750
ERR1913287.123318__1.123318	47678__A5ZI88__BACCAC_02617
ERR1913287.123399__1.123399	39492__R6RYB8__ERS852540_00322
ERR1913287.123512__1.123512	165179__D1PGJ6__DXC61_07300
ERR1913287.123598__1.123598	1262803__R6PQS1__BN649_00399
ERR1913287.123772__1.123772	165179__D1P9T6__PREVCOP_04016
ERR1913287.123815__1.123815	239935__A0A2N8I368__CXT95_04550
ERR1913287.123950__1.123950	165179__A0A174XZU8__DXB80_12180
ERR1913287.124007__1.124007	39491__A0A396FI89__DXD95_01300
ERR1913287.124096__1.124096	165179__A0A174W369__PREVCOP_04548
ERR1913287.124403__1.124403	165179__A0A174WGF6__PREVCOP_04095
ERR1913287.124459__1.124459	1262911__R6H1P0__BN557_00940
ERR1913287.124465__1.124465	165179__A0A3E5E189__PREVCOP_06699
ERR1913287.124577__1.124577	1262803__R6NRB9__BN649_01933
ERR1913287.124602__1.124602	39491__D6E4H2__DXB99_00485
ERR1913287.124603__1.124603	39491__D6E4H2__DXB99_00485
ERR1913287.124793__1.124793	165179__D1P9T6__PREVCOP_04016
ERR1913287.124920__1.124920	28052__A0A174YNL0__ERS852499_00232
ERR1913287.124937__1.124937	1262744__R6FCG3__BN744_02085
ERR1913287.125039__1.125039	338188__A0A174GXA9__bglX_10
ERR1913287.125051__1.125051	39492__D4JQM9__EUBSIR_00669
ERR1913287.125082__1.125082	88431__A6BDR0__DXB16_07995
ERR1913287.125130__1.125130	165179__A0A174IYW3__DXC61_01235
ERR1913287.125143__1.125143	853__E2ZJT1__C4N23_03535
ERR1913287.125225__1.125225	28052__R7NAP6__ERS852499_01969
ERR1913287.125670__1.125670	239935__A0A2N8HBM4__CXT85_06270
ERR1913287.125693__1.125693	39492__D4JU56__hemZ
ERR1913287.125765__1.125765	165179__D1PHD6__DXC61_03380
ERR1913287.126209__1.126209	47678__A5ZBD0__ERS852494_02920
ERR1913287.126225__1.126225	853__A0A173T6P2__DWZ46_14595
ERR1913287.126299__1.126299	47678__R5UPZ8__ERS852494_01752
ERR1913287.126357__1.126357	33043__D5HH72__ERS852445_02265
ERR1913287.126409__1.126409	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913287.126518__1.126518	165179__A0A3E5EBQ2__DXC61_01930
ERR1913287.126457__1.126457	649756__A0A173RNX6__ERS852475_00267
ERR1913287.126574__1.126574	39492__D4JW10__pppA
ERR1913287.126875__1.126875	28052__R6JVH3__ERS852499_00454
ERR1913287.126907__1.126907	33043__D5HHY4__luxQ_1
ERR1913287.127046__1.127046	301301__A0A395V5W5__RHOM_01200
ERR1913287.127048__1.127048	853__A0A2A7B9I6__DW855_13690
ERR1913287.127135__1.127135	28117__B0MY82__BHV66_04755
ERR1913287.127284__1.127284	165179__A0A3E5E643__DXB80_06030
ERR1913287.127290__1.127290	239935__A0A139TPU7__CXT91_06575
ERR1913287.127298__1.127298	39492__A0A174ZHV5__msbA_2
ERR1913287.127378__1.127378	33043__A0A374K1H3__ykoD_2
ERR1913287.127379__1.127379	552398__F4XCQ4__HMPREF0866_01621
ERR1913287.127412__1.127412	1628085__A0A374VUI1__C7386_11920
ERR1913287.127504__1.127504	357276__I9QPN3__EL88_09245
ERR1913287.127616__1.127616	360807__A0A0M6WIS4__ROSEINA2194_02000
ERR1913287.127590__1.127590	165179__R6CNX7__DXB80_02200
ERR1913287.127643__1.127643	1262743__R5C054__BN727_01980
ERR1913287.127715__1.127715	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913287.127861__1.127861	165179__A0A229I6N7__DXC61_06720
ERR1913287.128048__1.128048	357276__A0A076J8D4__HMPREF1064_00553
ERR1913287.128037__1.128037	1150298__A0A174KML4__hisK
ERR1913287.128080__1.128080	2293125__A0A374CA90__DW917_07695
ERR1913287.128191__1.128191	39491__A0A174M1X5__DXB99_18695
ERR1913287.128234__1.128234	33043__A0A173WTV6__ERS852400_02153
ERR1913287.128472__1.128472	357276__I8WAB8__B5F00_08100
ERR1913287.128715__1.128715	165179__A0A229I9X5__CFT61_01205
ERR1913287.129092__1.129092	853__E2ZGD9__C7J97_11715
ERR1913287.129151__1.129151	33043__A0A3A6J8T3__yvhJ
ERR1913287.129312__1.129312	33043__A0A174BZH8__ERS852575_02145
ERR1913287.129364__1.129364	165179__D1PGU8__PREVCOP_06463
ERR1913287.129388__1.129388	33043__A0A174H1B6__ERS852575_02702
ERR1913287.129410__1.129410	39492__D4JRZ7__smc
ERR1913287.129511__1.129511	165179__A0A174W369__PREVCOP_04548
ERR1913287.129581__1.129581	40518__R5DNI6__RBATCC27255_00844
ERR1913287.129837__1.129837	165179__D1P8K1__DXB80_06045
ERR1913287.129868__1.129868	165179__A0A229I1J2__DXB80_03950
ERR1913287.129944__1.129944	360807__C0FVT5__RIL183_27241
ERR1913287.129952__1.129952	28117__B0MWH8__BHV66_01330
ERR1913287.130024__1.130024	357276__I9F3U2__B5F00_20845
ERR1913287.130046__1.130046	165179__A0A3E5AEF7__DXC61_05000
ERR1913287.130223__1.130223	626940__E8LCL8__DCQ00_09880
ERR1913287.130263__1.130263	165179__D1PAJ7__PREVCOP_04222
ERR1913287.130368__1.130368	820__A7UYX8__DXD40_11635
ERR1913287.130416__1.130416	39492__D4JRZ7__smc
ERR1913287.130465__1.130465	1897011__A0A1Q6RG95__BHW41_02720
ERR1913287.130644__1.130644	165179__D1P8K1__DXB80_06045
ERR1913287.130650__1.130650	39485__C4Z0B2__EUBELI_01024
ERR1913287.130664__1.130664	39492__D4MMN2__EUBSIR_00964
ERR1913287.130677__1.130677	40518__R5E7G3__DXD86_03405
ERR1913287.130747__1.130747	165179__A0A174SA26__PREVCOP_05758
ERR1913287.130850__1.130850	165179__D1P9T6__PREVCOP_04016
ERR1913287.130865__1.130865	39491__A0A395ZKJ0__DXD13_11010
ERR1913287.131061__1.131061	39492__D4JW10__pppA
ERR1913287.131090__1.131090	39491__C4ZGN3__DXB99_14175
ERR1913287.131290__1.131290	28117__B0MXG8__ALIPUT_01814
ERR1913287.131310__1.131310	33043__A0A174B5C6__acm_3
ERR1913287.131346__1.131346	1263011__R6ENV2__BN553_00326
ERR1913287.131448__1.131448	360807__A0A1Q6T8A0__mepA_13
ERR1913287.131509__1.131509	165179__D1PHV2__PREVCOP_06822
ERR1913287.131592__1.131592	301301__A0A395V3C0__mcpC_6
ERR1913287.131674__1.131674	46503__A7AH78__DD461_04085
ERR1913287.131718__1.131718	39491__C4ZAT2__ERE_28440
ERR1913287.131919__1.131919	1308__V8LZ20__amtB
ERR1913287.132060__1.132060	360807__A0A173WYK2__ROSEINA2194_02795
ERR1913287.132146__1.132146	33043__D5HDZ9__ERS852386_00394
ERR1913287.132176__1.132176	1680__A0A076JM61__DXD63_05245
ERR1913287.132214__1.132214	823__A0A355XKR1__DHP27_04035
ERR1913287.132349__1.132349	357276__I9QBT7__BSEG_03340
ERR1913287.132525__1.132525	165179__D1PDJ4__DXB80_08505
ERR1913287.132536__1.132536	1262911__R6H212__BN557_01031
ERR1913287.132631__1.132631	46503__R6Y4M7__HMPREF1078_03269
ERR1913287.132700__1.132700	487175__F3QND5__HMPREF9439_02467
ERR1913287.132673__1.132673	239935__A0A2N8HT44__CXT84_11035
ERR1913287.132674__1.132674	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913287.132768__1.132768	40518__R5DXW3__DXD86_07900
ERR1913287.132930__1.132930	853__A0A173T6P2__DWZ46_14595
ERR1913287.132934__1.132934	487175__R5E147__HMPREF9439_02494
ERR1913287.132997__1.132997	165179__A0A3E5E9I4__DXB80_09745
ERR1913287.133022__1.133022	88431__A6BIL9__ERS852573_01301
ERR1913287.133405__1.133405	165179__A0A3E5E4P9__DXB80_07930
ERR1913287.133380__1.133380	39485__R5ZZA6__ERS852490_00168
ERR1913287.133504__1.133504	28052__R5HJU0__ERS852451_00148
ERR1913287.133534__1.133534	360807__A0A173WJE3__mcp4_4
ERR1913287.133577__1.133577	165179__D1P9T6__PREVCOP_04016
ERR1913287.133678__1.133678	39491__C4ZCH3__EUR_17560
ERR1913287.133693__1.133693	239935__A0A2N8IEP3__CXT84_03735
ERR1913287.133886__1.133886	28052__R7N7E0__cynR_4
ERR1913287.133899__1.133899	853__A0A173XRA8__CGS56_09290
ERR1913287.133936__1.133936	39491__C4ZAT2__ERE_28440
ERR1913287.134108__1.134108	39491__D6DXZ8__DXB72_15035
ERR1913287.134180__1.134180	39492__D4JUJ6__ssuB_2
ERR1913287.134187__1.134187	1262924__R7HRR0__BN585_00872
ERR1913287.134217__1.134217	28052__R7NBE1__ERS852499_01798
ERR1913287.134469__1.134469	28052__A0A174YYK2__ERS852451_01810
ERR1913287.134538__1.134538	28052__R7NBT0__mltF
ERR1913287.134551__1.134551	165179__A0A3E5AI09__DXC61_05815
ERR1913287.134655__1.134655	706562__GCA_900112995.1_01415
ERR1913287.134676__1.134676	33043__A0A173YSY7__tilS
ERR1913287.134768__1.134768	1262744__R6FST0__BN744_00381
ERR1913287.134813__1.134813	165179__R6BQP4__DXC61_02015
ERR1913287.134819__1.134819	39491__A0A174G6M3__DXD13_14470
ERR1913287.134829__1.134829	165179__D1PEZ7__DXC61_06515
ERR1913287.134894__1.134894	360807__C0FSM3__ROSEINA2194_01739
ERR1913287.134939__1.134939	487175__D9Y8N2__HMPREF9439_01198
ERR1913287.134972__1.134972	39485__C4Z6F3__EUBELI_20400
ERR1913287.135105__1.135105	357276__I9QBT7__BSEG_03340
ERR1913287.135068__1.135068	29361__B6FRT6__CLONEX_02860
ERR1913287.135137__1.135137	165179__A0A174SA26__PREVCOP_05758
ERR1913287.135222__1.135222	1262803__R6NZR7__BN649_00216
ERR1913287.135296__1.135296	39492__B0MP07__ERS852540_02083
ERR1913287.135337__1.135337	387090__S0F7Y3__BACCOPRO_02028
ERR1913287.135396__1.135396	40520__R7DEU2__ERS852394_00085
ERR1913287.135277__1.135277	338188__K5CK57__ERS852397_02236
ERR1913287.135434__1.135434	39491__A0A396FM36__DXB99_00820
ERR1913287.135560__1.135560	165179__R6XLJ7__CFT61_06250
ERR1913287.135659__1.135659	853__A0A174BA00__DW905_01145
ERR1913287.135564__1.135564	301302__R5UL57__ERS852420_00622
ERR1913287.135688__1.135688	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913287.135696__1.135696	165179__A0A3E5AEF7__DXC61_05000
ERR1913287.135625__1.135625	1262743__R5C1C7__BN727_02374
ERR1913287.135630__1.135630	165179__A0A174IPI3__CFT61_10940
ERR1913287.136091__1.136091	46503__R6Y9P8__evgS_3
ERR1913287.136361__1.136361	165179__D1PCY7__DXB80_02765
ERR1913287.136676__1.136676	39492__R6SPM9__pheT
ERR1913287.136739__1.136739	165179__W1I4H6__DXB80_13655
ERR1913287.136924__1.136924	338188__A0A174GXA9__bglX_10
ERR1913287.137044__1.137044	706562__GCA_900112995.1_02104
ERR1913287.137050__1.137050	1262803__R6PHT7__BN649_01355
ERR1913287.137139__1.137139	853__A0A2A7B9I6__DW855_13690
ERR1913287.137234__1.137234	360807__C0FPV8__RIL183_29891
ERR1913287.137447__1.137447	165179__D1PCY7__DXB80_02765
ERR1913287.137483__1.137483	39491__A0A395ZHW9__DXC13_02590
ERR1913287.137624__1.137624	165179__D1PGD2__DXC61_10875
ERR1913287.137766__1.137766	28052__A0A174YGN0__mcp4_2
ERR1913287.137747__1.137747	239935__R6JCH3__CXT95_08205
ERR1913287.137916__1.137916	39491__A0A395ZKJ0__DXD13_11010
ERR1913287.137969__1.137969	1262986__R6AME2__BN492_00932
ERR1913287.137919__1.137919	1262743__R5CD58__BN727_02390
ERR1913287.138189__1.138189	239935__A0A2N8IU14__ADH72_05655
ERR1913287.138194__1.138194	1262924__R7HTK4__BN585_00496
ERR1913287.138151__1.138151	39485__A0A174ZLH6__EUBELI_01564
ERR1913287.138168__1.138168	33043__A0A173X520__ERS852575_01617
ERR1913287.138252__1.138252	165179__D1PDG7__DXB80_11180
ERR1913287.138466__1.138466	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913287.138469__1.138469	853__A0A173T0Y8__CGS54_07215
ERR1913287.138471__1.138471	239935__A0A2N8IKW7__pstA
ERR1913287.138474__1.138474	39492__D4JUS6__accD5
ERR1913287.138657__1.138657	165179__D1PGJ6__DXC61_07300
ERR1913287.138642__1.138642	1262743__R5CD58__BN727_02390
ERR1913287.138779__1.138779	28052__R7NEG2__yihY
ERR1913287.138848__1.138848	165179__A0A3E5EDS1__DXC61_03115
ERR1913287.138956__1.138956	33043__A0A174AEP1__apr
ERR1913287.139034__1.139034	28118__R6F1T8__Odosp_0789
ERR1913287.139492__1.139492	165179__R6BQP4__DXC61_02015
ERR1913287.139595__1.139595	39492__D4JTF2__mutS2
ERR1913287.139845__1.139845	1262924__R7HQ14__BN585_00419
ERR1913287.139981__1.139981	165179__D1P9T6__PREVCOP_04016
ERR1913287.140095__1.140095	165179__D1PGD2__DXC61_10875
ERR1913287.140118__1.140118	239935__A0A2N8HPX2__CXT90_09930
ERR1913287.140132__1.140132	39491__A0A396FF66__DXD95_01810
ERR1913287.140212__1.140212	33043__D5HI09__ERS852575_02656
ERR1913287.140369__1.140369	40518__R5DUW7__DXD83_02105
ERR1913287.140652__1.140652	165179__D1PGU8__PREVCOP_06463
ERR1913287.140653__1.140653	33043__A0A174A113__ERS852445_00416
ERR1913287.140644__1.140644	165179__D1PGU8__PREVCOP_06463
ERR1913287.140691__1.140691	39492__D4JVX0__udk
ERR1913287.140734__1.140734	853__A0A173YYY4__DWZ04_09420
ERR1913287.140743__1.140743	165179__A0A3E5EBQ2__DXC61_01930
ERR1913287.140880__1.140880	33043__A0A374K1H3__ykoD_2
ERR1913287.140991__1.140991	853__A0A3E2V168__FAEPRAM212_00929
ERR1913287.141006__1.141006	853__A0A2A7B9I6__DW855_13690
ERR1913287.141143__1.141143	821__A0A174NM17__lacZ_6
ERR1913287.141148__1.141148	33043__D5HIS6__ERS852575_02019
ERR1913287.141065__1.141065	165179__A0A3E5E5H1__DXC61_07220
ERR1913287.141264__1.141264	384638__B7AT14__BACPEC_01282
ERR1913287.141346__1.141346	165179__D1P8V8__DXC61_01940
ERR1913287.141623__1.141623	301302__A0A173UPG6__ERS852420_03127
ERR1913287.141712__1.141712	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913287.141716__1.141716	853__A0A174C5M1__CGS58_04460
ERR1913287.141798__1.141798	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913287.141828__1.141828	33043__A8SPT5__yfiN_2
ERR1913287.141872__1.141872	33043__A0A174CC83__ERS852575_02077
ERR1913287.142259__1.142259	165179__R6CNX7__DXB80_02200
ERR1913287.142322__1.142322	187979__A0A173XSR0__ERS852385_00724
ERR1913287.142473__1.142473	33043__D5HFA0__glfT2
ERR1913287.142493__1.142493	187979__A0A173XW42__yceD_3
ERR1913287.142568__1.142568	1262746__R5SBF1__BN750_02442
ERR1913287.142731__1.142731	165179__D1PE06__DXC61_05975
ERR1913287.142748__1.142748	165179__R6C3K4__PREVCOP_05795
ERR1913287.143088__1.143088	626940__E8LE41__DCQ00_06695
ERR1913287.143072__1.143072	46503__R6Y9P8__evgS_3
ERR1913287.143308__1.143308	39491__A0A3E4E7C5__DXB69_03255
ERR1913287.143380__1.143380	33043__A0A174EI47__inlJ
ERR1913287.143391__1.143391	165179__D1PDG7__DXB80_11180
ERR1913287.143393__1.143393	1262924__R7HPZ6__BN585_00681
ERR1913287.143495__1.143495	165179__D1PGD2__DXC61_10875
ERR1913287.143506__1.143506	1262803__R6P408__BN649_00941
ERR1913287.143556__1.143556	165179__A0A3E5E643__DXB80_06030
ERR1913287.143759__1.143759	39491__A0A395ZDC6__addB
ERR1913287.143770__1.143770	39491__A0A0M6WLC7__ERS852497_00640
