ERR1913225.225__1.225	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913225.162570__1.162570	745368__A0A1T4Y5S3__SAMN02745178_02736
ERR1913225.162603__1.162603	46228__B5CP97__RUMLAC_01288
ERR1913225.162608__1.162608	1897011__A0A1Q6RG48__BHW41_02345
ERR1913225.162688__1.162688	46228__V8BPQ7__HMPREF1202_02326
ERR1913225.162808__1.162808	820__A0A139K0K1__DXB37_05460
ERR1913225.162943__1.162943	823__A6LHK0__M090_1297
ERR1913225.163094__1.163094	214856__I3YPI7__pepD_1
ERR1913225.163184__1.163184	1262911__R6GYT4__BN557_00617
ERR1913225.163569__1.163569	165179__A0A3E5A5E5__DXC61_13965
ERR1913225.163602__1.163602	2293125__A0A374C4C8__DW917_09805
ERR1913225.163743__1.163743	820__A0A174GYA8__DXB64_07370
ERR1913225.163762__1.163762	820__A0A3E4WA06__ERS852554_03404
ERR1913225.163855__1.163855	2293125__A0A374C7Q7__DW917_07770
ERR1913225.164026__1.164026	394340__putP_1
ERR1913225.164327__1.164327	28116__A7LS06__HMPREF2532_04668
ERR1913225.164340__1.164340	1262761__R6RB22__BN606_01933
ERR1913225.164502__1.164502	1262911__R6GY78__BN557_00532
ERR1913225.164917__1.164917	1262992__R5CXM7__BN795_01016
ERR1913225.164884__1.164884	2293125__A0A374BR61__DW917_14880
ERR1913225.164926__1.164926	371601__E5CE41__ERS852396_04351
ERR1913225.165023__1.165023	47678__A5ZEA3__ERS852558_00257
ERR1913225.165115__1.165115	1262736__R5Y7T6__BN496_00858
ERR1913225.165376__1.165376	39485__A0A174ZPH7__ERS852490_01992
ERR1913225.165625__1.165625	1262761__R6QUP0__BN606_01674
ERR1913225.165813__1.165813	2293125__A0A374BZ93__DW917_11205
ERR1913225.166004__1.166004	820__A7V470__HMPREF1072_02076
ERR1913225.166062__1.166062	1628085__A0A374VPL1__C7386_10315
ERR1913225.166104__1.166104	1262911__R6H174__BN557_01246
ERR1913225.166315__1.166315	2293125__A0A374CFZ2__DW917_03445
ERR1913225.166463__1.166463	165179__W1I4H6__DXB80_13655
ERR1913225.166398__1.166398	1263107__GCA_000436995.1_00102
ERR1913225.166493__1.166493	165179__A0A229I7F5__DXB80_02650
ERR1913225.166584__1.166584	1262911__R6GQ41__BN557_00435
ERR1913225.166846__1.166846	820__A0A174M9V5__M093_0237
ERR1913225.166899__1.166899	2293125__A0A374CI55__DW917_03455
ERR1913225.166964__1.166964	40518__A0A1C6H8C4__DXD93_02535
ERR1913225.167331__1.167331	1897011__A0A1Q6RH35__BHW41_01705
ERR1913225.167422__1.167422	410072__A0A174L0Z1__ERS852525_00863
ERR1913225.167499__1.167499	28116__E5CH94__NCTC11153_03344
ERR1913225.167784__1.167784	39485__A0A174YSS6__trxB_2
ERR1913225.167791__1.167791	2293125__A0A374BSW4__DW917_13420
ERR1913225.167849__1.167849	1235835__R9LCU2__C814_02677
ERR1913225.168029__1.168029	2293125__A0A374BUM7__DW917_12980
ERR1913225.168250__1.168250	165179__R6C330__DXC61_04975
ERR1913225.168636__1.168636	2293125__A0A374C9M9__DW917_08170
ERR1913225.168744__1.168744	1150298__A0A173X9I5__ERS852498_01823
ERR1913225.168856__1.168856	1262988__R7N7D6__BN816_00654
ERR1913225.169237__1.169237	2293125__A0A374CI55__DW917_03455
ERR1913225.169360__1.169360	1965650__A0A1Y3VC87__B5G16_07625
ERR1913225.169433__1.169433	853__A0A2A7B9I6__DW855_13690
ERR1913225.169583__1.169583	116085__D4J9Q0__DW747_03420
ERR1913225.169591__1.169591	239935__A0A2N8I3G2__CXT89_00720
ERR1913225.170031__1.170031	446660__GCA_003428235.1_00088
ERR1913225.170123__1.170123	39485__C4Z1Y6__EUBELI_00140
ERR1913225.170345__1.170345	2293125__A0A374CI55__DW917_03455
ERR1913225.170425__1.170425	2293125__A0A374BSW4__DW917_13420
ERR1913225.170503__1.170503	820__A0A3E4WA06__ERS852554_03404
ERR1913225.170709__1.170709	2293125__A0A374CHT4__DW917_03485
ERR1913225.170722__1.170722	1501391__GCA_000786575.1_00018
ERR1913225.170740__1.170740	820__A0A139KEW8__DXB64_06405
ERR1913225.170752__1.170752	239935__B2UPZ6__CXU03_03800
ERR1913225.170667__1.170667	218538__C9LL79__GCWU000321_00015
ERR1913225.170820__1.170820	544644__GCA_001915615.1_01749
ERR1913225.170849__1.170849	820__A7V9F9__B5G17_14640
ERR1913225.170895__1.170895	487174__K0WXG8__DIT83_09300
ERR1913225.171005__1.171005	823__A0A174LWY0__lepB
ERR1913225.171020__1.171020	821__A0A395UNT8__DXD64_15275
ERR1913225.171041__1.171041	1263006__R6LL73__BN515_00292
ERR1913225.171366__1.171366	2293125__A0A374CHT4__DW917_03485
ERR1913225.171447__1.171447	820__A0A3E4VXP2__yesR
ERR1913225.171490__1.171490	1263107__GCA_000436995.1_00135
ERR1913225.171578__1.171578	165179__A0A174SA26__PREVCOP_05758
ERR1913225.171890__1.171890	610243__A0A060QJF7__ASAP_2763
ERR1913225.172100__1.172100	1262911__R6HLC0__BN557_00578
ERR1913225.172134__1.172134	39492__D4MJF3__EUBSIR_02248
ERR1913225.172177__1.172177	820__A0A3E4IGA7__DXD40_07110
ERR1913225.172198__1.172198	820__A0A174TRB5__DXD40_11305
ERR1913225.172205__1.172205	1262761__R6RNL8__BN606_00387
ERR1913225.172206__1.172206	165179__A0A3E5E189__PREVCOP_06699
ERR1913225.172293__1.172293	2293125__A0A374BRB6__DW917_13815
ERR1913225.172535__1.172535	820__A0A374Q8T2__DXB64_16190
ERR1913225.172587__1.172587	301301__A0A395V8W4__RHOM_04130
ERR1913225.172648__1.172648	1501391__GCA_000786575.1_00011
ERR1913225.172678__1.172678	820__A0A174M9V5__M093_0237
ERR1913225.172997__1.172997	820__A0A3E4PYB0__yejM
ERR1913225.173034__1.173034	1501391__GCA_000786575.1_00123
ERR1913225.173090__1.173090	821__A0A174ALF2__BvMPK_3016
ERR1913225.173239__1.173239	2293125__A0A374CFW0__DW917_03450
ERR1913225.173400__1.173400	239935__A0A2N8IL82__CXU02_11740
ERR1913225.173538__1.173538	239935__A0A2N8HUU6__CXT90_06150
ERR1913225.173852__1.173852	820__R9I3Q7__HMPREF1072_01668
ERR1913225.173817__1.173817	2293125__A0A374BV30__DW917_13395
ERR1913225.173961__1.173961	1160721__W0U969__BHW50_09895
ERR1913225.174202__1.174202	239935__A0A2N8IHY1__CXU06_00035
ERR1913225.174098__1.174098	1501391__GCA_000786575.1_00017
ERR1913225.174255__1.174255	820__A0A174GYA8__DXB64_07370
ERR1913225.174278__1.174278	820__A0A139K1Y6__DXB48_02610
ERR1913225.174409__1.174409	1262761__R6R5Y6__BN606_00217
ERR1913225.174449__1.174449	1262761__R6QWI4__BN606_00934
ERR1913225.174496__1.174496	823__D7IPM3__DER51_17585
ERR1913225.174506__1.174506	1262911__R6GYT4__BN557_00617
ERR1913225.174714__1.174714	165179__A0A3E5E6S6__DXB80_07575
ERR1913225.174736__1.174736	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913225.174846__1.174846	1262761__R6QUM5__BN606_02048
ERR1913225.174856__1.174856	2293125__A0A374BR61__DW917_14880
ERR1913225.175005__1.175005	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913225.175037__1.175037	2293125__A0A374CFZ2__DW917_03445
ERR1913225.175047__1.175047	371601__C3QR34__DXD03_22980
ERR1913225.175450__1.175450	2293125__A0A374CMK5__DW917_00330
ERR1913225.175528__1.175528	2293125__A0A374C955__DW917_08135
ERR1913225.175565__1.175565	2293125__A0A374BIB7__DW917_16550
ERR1913225.175622__1.175622	40518__R5DQD6__DXD83_09060
ERR1913225.175678__1.175678	1735__B7CCF2__EUBIFOR_01879
ERR1913225.175827__1.175827	39492__D4JSG7__EUBSIR_01006
ERR1913225.176015__1.176015	28116__A0A1Y4PH15__DXA80_17985
ERR1913225.176020__1.176020	1501391__GCA_000786575.1_00067
ERR1913225.176091__1.176091	820__R9I3Q7__HMPREF1072_01668
ERR1913225.176248__1.176248	39491__C4ZCH3__EUR_17560
ERR1913225.176259__1.176259	2293125__A0A374CI55__DW917_03455
ERR1913225.176303__1.176303	820__A0A174TRB5__DXD40_11305
ERR1913225.176320__1.176320	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913225.176350__1.176350	218538__C9LL79__GCWU000321_00015
ERR1913225.176747__1.176747	1262761__R6QYZ5__BN606_00402
ERR1913225.176808__1.176808	2293125__A0A374CFW0__DW917_03450
ERR1913225.176828__1.176828	165179__A0A3E5EB26__CFT61_02800
ERR1913225.177004__1.177004	218538__C9LQG6__GCWU000321_01798
ERR1913225.177086__1.177086	820__R9HP61__DXC91_01090
ERR1913225.177148__1.177148	1263107__GCA_000436995.1_00133
ERR1913225.177273__1.177273	239935__A0A2N8HTZ8__CXU09_01270
ERR1913225.177390__1.177390	1262761__R6QTF1__BN606_01445
ERR1913225.177546__1.177546	1235835__R9LCU2__C814_02677
ERR1913225.177571__1.177571	1262761__R6QND7__BN606_00927
ERR1913225.177702__1.177702	2293125__A0A374CMK5__DW917_00330
ERR1913225.177740__1.177740	46228__B5CR77__truA
ERR1913225.177933__1.177933	2293125__A0A374BUM7__DW917_12980
ERR1913225.178043__1.178043	418240__A0A173YIF6__ypdA_1
ERR1913225.178275__1.178275	1501391__GCA_000786575.1_00061
ERR1913225.178456__1.178456	487174__K0X2Q8__DDY40_04590
ERR1913225.178980__1.178980	820__A0A3E4HWJ4__DXD40_05945
ERR1913225.179144__1.179144	1262736__R5YX38__BN496_01145
ERR1913225.179219__1.179219	2293125__A0A374C4J1__DW917_09855
ERR1913225.179388__1.179388	1262942__R7QZL1__BN520_02168
ERR1913225.179443__1.179443	1262889__R7HA41__BN634_01028
ERR1913225.179692__1.179692	1262761__R6QN56__BN606_00886
ERR1913225.179826__1.179826	2293125__A0A374CI55__DW917_03455
ERR1913225.179836__1.179836	1262911__R6GZX7__BN557_00838
ERR1913225.180557__1.180557	1262736__R5YMQ1__BN496_00619
ERR1913225.180711__1.180711	1262889__R7HDC3__BN634_00683
ERR1913225.180830__1.180830	246787__A0A0P0GR24__BcellWH2_03263
ERR1913225.180841__1.180841	28116__F7LEX0__CUY_5042
ERR1913225.180970__1.180970	39485__A0A175A2T1__EUBELI_02034
ERR1913225.181223__1.181223	1501391__GCA_000786575.1_00036
ERR1913225.181264__1.181264	820__A0A139KHD8__ERS417307_00569
ERR1913225.181353__1.181353	1263000__R5EQY7__BN466_01150
ERR1913225.181413__1.181413	487174__R5F5Z4__DIT83_00635
ERR1913225.181609__1.181609	1263000__R5EQI3__BN466_00125
ERR1913225.181639__1.181639	218538__C9LNQ3__GCWU000321_01176
ERR1913225.181694__1.181694	28116__C3QQN3__CUY_4207
ERR1913225.181721__1.181721	218538__C9LPF0__GCWU000321_01429
ERR1913225.181811__1.181811	820__A0A139KIL9__DXC68_05945
ERR1913225.181942__1.181942	2293125__A0A374BZ50__DW917_11090
ERR1913225.181971__1.181971	1262988__R7N521__BN816_01886
ERR1913225.182057__1.182057	853__A0A174CVG7__CGS58_09335
ERR1913225.182178__1.182178	884684__GCA_002892425.1_01416
ERR1913225.182315__1.182315	853__A0A174UDE9__C4N25_12775
ERR1913225.182414__1.182414	2293125__A0A374BR61__DW917_14880
ERR1913225.182580__1.182580	1160721__W0U633__BHW50_00240
ERR1913225.182743__1.182743	166486__D4L2T9__lytM
ERR1913225.182729__1.182729	40520__R7DA92__DXC87_13515
ERR1913225.182818__1.182818	2293125__A0A374C0L7__DW917_11510
ERR1913225.182823__1.182823	218538__C9LPD3__GCWU000321_01411
ERR1913225.182827__1.182827	853__A0A173RZ39__C4N22_01650
ERR1913225.182941__1.182941	39491__A0A396FGM9__fliU_1
ERR1913225.182968__1.182968	166486__D4L1H3__sacC
ERR1913225.183059__1.183059	820__A0A3E4IGA7__DXD40_07110
ERR1913225.183213__1.183213	1680__R5GKP2__DXD60_06200
ERR1913225.183331__1.183331	39492__D4JQP0__ypeB
ERR1913225.183443__1.183443	1735__B7CCE4__EUBIFOR_01871
ERR1913225.183522__1.183522	418240__A0A174G147__toxA_4
ERR1913225.183843__1.183843	820__A0A174B4N2__M093_2531
ERR1913225.183882__1.183882	1262911__R6GN99__BN557_01784
ERR1913225.183988__1.183988	40520__C6JG23__ERS852533_01990
ERR1913225.184025__1.184025	2293125__A0A374BSW4__DW917_13420
ERR1913225.184344__1.184344	820__A0A139KA34__B5G17_05520
ERR1913225.184652__1.184652	1262761__R6RP35__BN606_00461
ERR1913225.184693__1.184693	820__A0A139KHX1__HMPREF2141_00289
ERR1913225.184907__1.184907	2293125__A0A374CMK5__DW917_00330
ERR1913225.184942__1.184942	39491__A0A395V0E5__ERE_31370
ERR1913225.185164__1.185164	820__A0A396EUU8__luxQ_3
ERR1913225.185223__1.185223	166486__D4KZ14__inlA_1
ERR1913225.185236__1.185236	2293125__A0A374CFW0__DW917_03450
ERR1913225.185271__1.185271	1501391__GCA_000786575.1_00002
ERR1913225.185293__1.185293	1262911__R6GZX7__BN557_00838
ERR1913225.185554__1.185554	1897011__A0A1Q6RI45__BHW41_00970
ERR1913225.185622__1.185622	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913225.185626__1.185626	1262761__R6RZF9__BN606_01803
ERR1913225.185661__1.185661	544644__GCA_001915615.1_00059
ERR1913225.185683__1.185683	853__C7H7F8__yccM_1
ERR1913225.185835__1.185835	165179__A0A174SA26__PREVCOP_05758
ERR1913225.185982__1.185982	2293125__A0A374BZ50__DW917_11090
ERR1913225.186107__1.186107	2293125__A0A374CFT0__DW917_03440
ERR1913225.186288__1.186288	820__A7V8C2__ERS852554_01338
ERR1913225.186385__1.186385	28116__A0A1G8H1M8__DXF98_11065
ERR1913225.186415__1.186415	282402__F0FAB6__HMPREF9141_2533
ERR1913225.186474__1.186474	1501391__GCA_000786575.1_00115
ERR1913225.186746__1.186746	40518__A0A373KL92__RBATCC27255_01378
ERR1913225.186842__1.186842	39485__A0A174YMD0__EUBELI_01093
ERR1913225.186924__1.186924	88431__A0A173XSN2__ERS852526_00723
ERR1913225.187082__1.187082	2293125__A0A374CFZ2__DW917_03445
ERR1913225.187209__1.187209	39492__R6RT40__prkC_3
ERR1913225.187215__1.187215	1262988__R7N397__BN816_01278
ERR1913225.187476__1.187476	1501391__GCA_000786575.1_00148
ERR1913225.187691__1.187691	1263107__GCA_000436995.1_00246
ERR1913225.187708__1.187708	1262761__R6QKZ0__BN606_00913
ERR1913225.187846__1.187846	820__A0A173XIP7__B5G17_16050
ERR1913225.187857__1.187857	823__A0A174U5E4__BDI_3390
ERR1913225.188133__1.188133	1501391__GCA_000786575.1_00017
ERR1913225.188076__1.188076	1262761__R6RB22__BN606_01933
ERR1913225.188267__1.188267	1965650__A0A1Y3VNL0__B5G16_05815
ERR1913225.188321__1.188321	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913225.188293__1.188293	2293125__A0A374CFU2__DW917_03475
ERR1913225.188378__1.188378	165179__A0A3E5EB26__CFT61_02800
ERR1913225.188578__1.188578	1262911__R6H174__BN557_01246
ERR1913225.188669__1.188669	853__A0A2A7B9I6__DW855_13690
ERR1913225.188671__1.188671	820__R7E9Z4__DXC68_06065
ERR1913225.188672__1.188672	820__A0A1T4IY71__HMPREF2141_02402
ERR1913225.188703__1.188703	820__A0A173YYG4__evgS_3
ERR1913225.188841__1.188841	820__A0A174B4N2__M093_2531
ERR1913225.188844__1.188844	246787__R6KCH8__csbC
ERR1913225.188900__1.188900	1262889__R7HA74__BN634_01063
ERR1913225.188956__1.188956	820__E5VA63__DXC80_01025
ERR1913225.189075__1.189075	1150298__R7JTH7__ERS852498_00177
ERR1913225.189133__1.189133	820__A0A078S4C2__ERS417307_00828
ERR1913225.189243__1.189243	1262761__R6RU22__BN606_01110
ERR1913225.189415__1.189415	1262761__R6R1G2__BN606_01397
ERR1913225.189554__1.189554	1262942__R7QX36__BN520_01383
ERR1913225.189519__1.189519	1628085__A0A374VRS5__C7386_10481
ERR1913225.189520__1.189520	1263107__GCA_000436995.1_00230
ERR1913225.189707__1.189707	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913225.189751__1.189751	853__A8S882__C4N23_07600
ERR1913225.189855__1.189855	820__A0A174G065__DXB62_08975
ERR1913225.189836__1.189836	487174__K0WYG8__HMPREF9448_01522
ERR1913225.189913__1.189913	1262761__R6RU22__BN606_01110
ERR1913225.189922__1.189922	1378168__V2YA11__N510_02528
ERR1913225.190040__1.190040	1712665__A0A2G3E1H3__CSX02_08860
ERR1913225.190180__1.190180	2293125__A0A374C0L7__DW917_11510
ERR1913225.190238__1.190238	46228__B5CNB4__RUMLAC_00950
ERR1913225.190267__1.190267	2293125__A0A374BUM7__DW917_12980
ERR1913225.190401__1.190401	1262911__R6GY22__BN557_00023
ERR1913225.190485__1.190485	218538__C9LQ77__GCWU000321_01709
ERR1913225.190507__1.190507	2293125__A0A374CII6__DW917_03460
ERR1913225.191338__1.191338	1262889__R7HA08__BN634_00271
ERR1913225.191682__1.191682	1262736__R5Y3Z8__BN496_01484
ERR1913225.191764__1.191764	28116__E5CH91__B5F02_11815
ERR1913225.191920__1.191920	1262761__R6R380__BN606_01693
ERR1913225.191975__1.191975	820__A0A174TRB5__DXD40_11305
ERR1913225.192062__1.192062	820__A0A3E4PYB0__yejM
ERR1913225.192160__1.192160	820__A0A174CG08__DXB62_13215
ERR1913225.192178__1.192178	626933__H1DGX0__HMPREF9449_01506
ERR1913225.192319__1.192319	1262761__R6QHJ4__BN606_00427
ERR1913225.192363__1.192363	166486__C7GAX1__ERS852572_03188
ERR1913225.192520__1.192520	1262911__R6GR13__BN557_00618
ERR1913225.192560__1.192560	2293125__A0A374C8A8__DW917_07550
ERR1913225.192600__1.192600	458033__GCA_001482755.1_02203
ERR1913225.192806__1.192806	410072__A0A174PXK1__ERS852481_01537
ERR1913225.192904__1.192904	239935__A0A2N8IUW6__Amuc_1525
ERR1913225.193025__1.193025	1262736__R5Y6X9__BN496_00558
ERR1913225.193146__1.193146	1262761__R6QMJ7__BN606_00803
ERR1913225.193302__1.193302	46228__V8CAV6__addA
ERR1913225.193432__1.193432	348058__GeneID:7353089
ERR1913225.193465__1.193465	28118__F9Z4Q7__DER54_08070
ERR1913225.193470__1.193470	1262988__R7N7X7__BN816_00195
ERR1913225.193625__1.193625	2293125__A0A374CII0__DW917_03470
ERR1913225.193588__1.193588	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913225.193771__1.193771	820__A0A139K0K1__DXB37_05460
ERR1913225.193880__1.193880	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913225.194106__1.194106	28116__F7L4X5__M089_2857
ERR1913225.194143__1.194143	1262930__R6AXR1__BN693_00352
ERR1913225.194328__1.194328	165179__A0A3E5EB26__CFT61_02800
ERR1913225.194763__1.194763	239935__A0A139TQT9__Amuc_1197
ERR1913225.195174__1.195174	820__A0A139K1Y6__DXB48_02610
ERR1913225.195182__1.195182	2293125__A0A374C4J1__DW917_09855
ERR1913225.195154__1.195154	1262911__R6GN99__BN557_01784
ERR1913225.195358__1.195358	820__A0A3E4WCC2__lptB_1
ERR1913225.195412__1.195412	1965650__A0A1Y3VKH1__B5G16_10400
ERR1913225.195464__1.195464	1262988__R7N2E1__BN816_02359
ERR1913225.195595__1.195595	165179__A0A3E5A5E5__DXC61_13965
ERR1913225.195507__1.195507	1262944__R7INW8__BN596_01602
ERR1913225.195525__1.195525	1262911__R6GPA3__BN557_00827
ERR1913225.195526__1.195526	2293125__A0A374C4I0__DW917_08630
ERR1913225.196205__1.196205	2293125__A0A374BUM7__DW917_12980
ERR1913225.196492__1.196492	47678__R5U2I4__ERS852558_03712
ERR1913225.196495__1.196495	301301__A0A395VA18__RHOM_11700
ERR1913225.196533__1.196533	165179__A0A3E5A5E5__DXC61_13965
ERR1913225.196701__1.196701	1262911__R6GR13__BN557_00618
ERR1913225.196771__1.196771	2293125__A0A374BQ34__DW917_14250
ERR1913225.196917__1.196917	820__A0A139K8N1__ERS852554_00951
ERR1913225.197119__1.197119	820__A0A174M9V5__M093_0237
ERR1913225.197103__1.197103	1501391__GCA_000786575.1_00157
ERR1913225.197163__1.197163	1262761__R6RTQ9__BN606_01087
ERR1913225.197198__1.197198	2293125__A0A374C9M9__DW917_08170
ERR1913225.197218__1.197218	820__A0A3E4PYB0__yejM
ERR1913225.197325__1.197325	820__A7V8C2__ERS852554_01338
ERR1913225.197473__1.197473	820__A0A1T4IY80__ERS852554_01621
ERR1913225.197657__1.197657	1262761__R6QJW9__BN606_00404
ERR1913225.197702__1.197702	40520__A0A173WIQ7__apu
ERR1913225.197709__1.197709	2293125__A0A374CHT4__DW917_03485
ERR1913225.197756__1.197756	2293125__A0A374C7Q4__DW917_07745
ERR1913225.198365__1.198365	384638__B7APR0__BACPEC_00666
ERR1913225.198487__1.198487	155148__GeneID:920967
ERR1913225.198542__1.198542	1263006__R6MQA3__BN515_02104
ERR1913225.198559__1.198559	33043__A8SWI7__bcrC
ERR1913225.198577__1.198577	39485__C4Z6U7__EUBELI_20545
ERR1913225.198585__1.198585	1262761__R6QMC1__BN606_00771
ERR1913225.198705__1.198705	1262761__R6R840__BN606_01433
ERR1913225.198852__1.198852	1262942__R7R089__BN520_02195
ERR1913225.199126__1.199126	1501391__GCA_000786575.1_00068
ERR1913225.199245__1.199245	165179__A0A3E5A5E5__DXC61_13965
ERR1913225.199189__1.199189	1262824__R6RH74__BN719_00881
ERR1913225.199270__1.199270	39485__A0A174YJA4__EUBELI_20421
ERR1913225.199355__1.199355	2293125__A0A374C9M9__DW917_08170
ERR1913225.199374__1.199374	820__A0A139JRS5__HMPREF1073_04025
ERR1913225.199375__1.199375	1262889__R7HD84__BN634_01675
ERR1913225.199497__1.199497	2293125__A0A374C7Q7__DW917_07770
ERR1913225.199752__1.199752	2293125__A0A374BUM7__DW917_12980
ERR1913225.199931__1.199931	33043__A0A173WWJ5__ERS852386_00339
ERR1913225.200065__1.200065	1262911__R6GZX7__BN557_00838
ERR1913225.200093__1.200093	1262911__R6H174__BN557_01246
ERR1913225.200118__1.200118	1262761__R6QUP0__BN606_01674
ERR1913225.200127__1.200127	821__A0A173XDD3__DXB82_17180
ERR1913225.200224__1.200224	39485__A0A174YSU1__ERS852492_00576
ERR1913225.200367__1.200367	33043__D5HGR0__rpfC_2
ERR1913225.200406__1.200406	214856__R6YD52__ERS852447_02171
ERR1913225.200443__1.200443	301301__A0A174HIB3__ERS852391_02730
ERR1913225.200706__1.200706	1262911__R6HN72__BN557_00911
ERR1913225.201213__1.201213	1262911__R6H174__BN557_01246
ERR1913225.201267__1.201267	10680__GeneID:1261100
ERR1913225.201514__1.201514	2293125__A0A374CHT4__DW917_03485
ERR1913225.201624__1.201624	1501391__GCA_000786575.1_00116
ERR1913225.201659__1.201659	820__A0A173YYG4__evgS_3
ERR1913225.201673__1.201673	28025__A0A0L7CZ24__BL03_00239
ERR1913225.201730__1.201730	1262911__R6H0U7__BN557_01104
ERR1913225.201731__1.201731	1262911__R6GSH8__BN557_00939
ERR1913225.201754__1.201754	39485__A0A175A403__EUBELI_20577
ERR1913225.201824__1.201824	165179__R6XLJ7__CFT61_06250
ERR1913225.201919__1.201919	165179__D1PHC0__PREVCOP_06640
ERR1913225.201948__1.201948	1160721__W0U3Z9__RBI_I00543
ERR1913225.202092__1.202092	1262736__R5YL83__BN496_01990
ERR1913225.202027__1.202027	2293125__A0A374C4J1__DW917_09855
ERR1913225.202032__1.202032	1262761__R6RU22__BN606_01110
ERR1913225.202442__1.202442	2293125__A0A374CII6__DW917_03460
ERR1913225.202485__1.202485	1472761__GCA_002159295.1_00742
ERR1913225.202609__1.202609	820__A0A3E4VZY4__ERS852554_01211
ERR1913225.202664__1.202664	165179__D1PHC0__PREVCOP_06640
ERR1913225.202638__1.202638	1262777__R5VSE0__BN512_00126
ERR1913225.202979__1.202979	820__A0A139K4W1__M093_0353
ERR1913225.202989__1.202989	1262988__R7N6C8__BN816_02368
ERR1913225.203030__1.203030	820__A0A374MMF0__HMPREF1073_03811
ERR1913225.203055__1.203055	2293125__A0A374CMK5__DW917_00330
ERR1913225.203079__1.203079	2293125__A0A374C955__DW917_08135
ERR1913225.203085__1.203085	820__A0A3E4RUC4__DHU98_02635
ERR1913225.203438__1.203438	218538__C9LQZ7__GCWU000321_01979
ERR1913225.203595__1.203595	39485__C4Z637__ERS852490_00218
ERR1913225.203692__1.203692	301301__A0A395V4X8__ERS852391_01546
ERR1913225.204022__1.204022	39485__C4Z6V1__ERS852492_02640
ERR1913225.204214__1.204214	823__A0A078SLK0__ERS852513_02755
ERR1913225.204316__1.204316	1501391__GCA_000786575.1_00014
ERR1913225.205023__1.205023	1735__B7CCE4__EUBIFOR_01871
ERR1913225.205255__1.205255	1262911__R6H212__BN557_01031
ERR1913225.205389__1.205389	39492__D4JUP6__ERS852540_01404
ERR1913225.205622__1.205622	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913225.205810__1.205810	745368__A0A1T4Y6X5__SAMN02745178_02807
ERR1913225.205988__1.205988	1262911__R6GZW9__BN557_00833
ERR1913225.206242__1.206242	2293125__A0A374BVX3__DW917_12740
ERR1913225.206544__1.206544	487174__K0WWY0__DIT83_10195
ERR1913225.206951__1.206951	1262761__R6QU88__BN606_01983
ERR1913225.207331__1.207331	2293125__A0A374C4C8__DW917_09805
ERR1913225.207360__1.207360	33043__A8SPT5__yfiN_2
ERR1913225.207374__1.207374	820__E5VEH7__ERS852459_01300
ERR1913225.207377__1.207377	1501391__GCA_000786575.1_00121
ERR1913225.207474__1.207474	853__A0A2A7B9I6__DW855_13690
ERR1913225.207449__1.207449	820__A0A174KKV6__DXC07_02635
ERR1913225.207662__1.207662	853__A0A2A7B9I6__DW855_13690
ERR1913225.207751__1.207751	2293125__A0A374BSW4__DW917_13420
ERR1913225.208000__1.208000	1501391__GCA_000786575.1_00024
ERR1913225.208067__1.208067	46228__V8CB83__RUMLAC_02479
ERR1913225.208109__1.208109	1262736__R5YCP0__BN496_00404
ERR1913225.208265__1.208265	1262761__R6QKZ0__BN606_00913
ERR1913225.208290__1.208290	2293125__A0A374BSW4__DW917_13420
ERR1913225.208302__1.208302	1262761__R6QU88__BN606_01983
ERR1913225.208311__1.208311	487174__K0WV13__DIT83_10890
ERR1913225.208615__1.208615	1262911__R6GI18__BN557_01377
ERR1913225.208638__1.208638	2293125__A0A374C4J1__DW917_09855
ERR1913225.208986__1.208986	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913225.209080__1.209080	1262783__R6CQW1__BN558_00305
ERR1913225.209322__1.209322	1262942__R7QZ52__BN520_01874
ERR1913225.209343__1.209343	1235835__R9LCU2__C814_02677
ERR1913225.209389__1.209389	1262761__R6R4Y1__BN606_02001
ERR1913225.209482__1.209482	39492__A0A174ZP27__EUBSIR_00033
ERR1913225.209578__1.209578	853__A0A173YYY4__DWZ04_09420
ERR1913225.209763__1.209763	282402__F0FAB6__HMPREF9141_2533
ERR1913225.210070__1.210070	2293125__A0A374CHT4__DW917_03485
ERR1913225.210120__1.210120	1262911__R6H212__BN557_01031
ERR1913225.210239__1.210239	1262911__R6GR13__BN557_00618
ERR1913225.210590__1.210590	884684__GCA_002892425.1_01417
ERR1913225.210547__1.210547	239935__A0A2N8HZW2__A4V05_11120
ERR1913225.210609__1.210609	165179__R6PU83__CFT61_14275
ERR1913225.210695__1.210695	1263000__R5EUM2__BN466_01747
ERR1913225.210647__1.210647	2293125__A0A374C4J1__DW917_09855
ERR1913225.210796__1.210796	39491__A0A396FQ67__DXB99_07505
ERR1913225.210994__1.210994	39485__C4Z6Z5__EUBELI_20593
