ERR1913246.489__1.489	84030__D6DE34__B5F06_14455
ERR1913246.168539__1.168539	563769__GeneID:6973158
ERR1913246.168815__1.168815	1262911__R6H1J5__BN557_00905
ERR1913246.168845__1.168845	10678__GeneID:2777428
ERR1913246.168867__1.168867	1262911__R6GY22__BN557_00023
ERR1913246.169053__1.169053	562__Q8XBR9__G770_00628
ERR1913246.169132__1.169132	47678__R5UAI1__BACCAC_01922
ERR1913246.169094__1.169094	10678__GeneID:2777457
ERR1913246.169252__1.169252	1262911__R6GUQ4__BN557_01581
ERR1913246.169326__1.169326	1147151__GeneID:14182075
ERR1913246.169458__1.169458	10678__GeneID:2777410
ERR1913246.169438__1.169438	40518__R5E282__DXD86_08940
ERR1913246.169580__1.169580	100886__E2NV13__CATMIT_02444
ERR1913246.169774__1.169774	10678__GeneID:2777434
ERR1913246.169891__1.169891	823__A0A395YY84__DXC05_19515
ERR1913246.170049__1.170049	820__A0A139KHX1__HMPREF2141_00289
ERR1913246.170023__1.170023	214856__R6Z590__ERS852447_01059
ERR1913246.170033__1.170033	214856__I3YPQ0__ERS852447_01379
ERR1913246.170099__1.170099	1147152__GeneID:14181982
ERR1913246.170247__1.170247	216816__A0A0S2MI06__pepV
ERR1913246.170393__1.170393	357276__I9QBT7__BSEG_03340
ERR1913246.170480__1.170480	328814__GCA_004558275.1_00035
ERR1913246.170735__1.170735	10678__GeneID:2777427
ERR1913246.170962__1.170962	1262911__R6H212__BN557_01031
ERR1913246.171013__1.171013	1262873__R6WM58__BN605_01388
ERR1913246.171055__1.171055	357276__B6VT86__IY41_22515
ERR1913246.171254__1.171254	216816__A0A0S2MI06__pepV
ERR1913246.171368__1.171368	10678__GeneID:2777403
ERR1913246.171493__1.171493	10678__GeneID:2777404
ERR1913246.171659__1.171659	562__A0A0E1LDD5__B9N12_14240
ERR1913246.171690__1.171690	1357825__GeneID:17494415
ERR1913246.171916__1.171916	47678__R5U332__C5Z00_16810
ERR1913246.172171__1.172171	10678__GeneID:2777437
ERR1913246.172293__1.172293	357276__B6W5Q7__DXD47_13945
ERR1913246.172377__1.172377	357276__C3REQ8__GV66_09740
ERR1913246.172542__1.172542	10678__GeneID:2777413
ERR1913246.172647__1.172647	214856__R6Z288__ERS852447_00734
ERR1913246.172651__1.172651	214856__I3YPR6__Alfi_2724
ERR1913246.172764__1.172764	357276__A0A076IS73__GV66_00410
ERR1913246.172858__1.172858	1262911__R6GMZ7__BN557_01741
ERR1913246.172871__1.172871	214856__I3YMN6__Alfi_1938
ERR1913246.173019__1.173019	487174__K0X694__DIT83_09060
ERR1913246.173068__1.173068	384639__GCA_003096855.1_00253
ERR1913246.173060__1.173060	246787__A0A0P0FW66__sigW_7
ERR1913246.173394__1.173394	84030__D6DLC5__B5F06_07685
ERR1913246.173501__1.173501	10678__GeneID:2777454
ERR1913246.173586__1.173586	487174__K0WRR5__DDY40_06130
ERR1913246.173587__1.173587	214856__I3YPP0__ERS852447_01388
ERR1913246.173632__1.173632	84030__D4MNX0__B5F06_15420
ERR1913246.173692__1.173692	562__P77183__CDL50_13955
ERR1913246.173774__1.173774	1501391__GCA_000786575.1_00110
ERR1913246.173787__1.173787	39492__D4JWI6__EUBSIR_01073
ERR1913246.173861__1.173861	216816__C2GUV2__APC1478_0430
ERR1913246.173971__1.173971	471189__GCA_003340385.1_00221
ERR1913246.174051__1.174051	216816__A0A0S2MCH0__AYW81_04880
ERR1913246.174053__1.174053	1262873__R6WC63__BN605_00442
ERR1913246.174158__1.174158	357276__D1JZM4__HMPREF1065_01278
ERR1913246.174336__1.174336	40518__R5DUG7__sbcC
ERR1913246.174431__1.174431	487174__K0WRP3__HMPREF9448_02660
ERR1913246.174537__1.174537	1354__I6T031__F523_07625
ERR1913246.174551__1.174551	357276__A0A076IRZ5__BACDOR_00630
ERR1913246.174844__1.174844	216816__A0A0A0UDU9__BL1246
ERR1913246.174801__1.174801	40518__R5DQL2__RBATCC27255_00937
ERR1913246.174941__1.174941	40518__R5E6X5__sbcD
ERR1913246.174959__1.174959	216816__C2GTV2__BLIF_0674
ERR1913246.175115__1.175115	40518__R5DPI9__DXD83_07375
ERR1913246.175190__1.175190	357276__B6W1Y1__BSEG_03960
ERR1913246.175289__1.175289	246787__A0A108T1Y3__fepA_8
ERR1913246.175293__1.175293	818__A0A3E5HHE1__Btheta7330_00796
ERR1913246.175529__1.175529	100886__A0A174HS89__CATMIT_02596
ERR1913246.175505__1.175505	47678__R5U8Y1__BACCAC_02615
ERR1913246.175543__1.175543	216816__A0A0M0VK23__BLGT_09805
ERR1913246.175603__1.175603	10678__GeneID:2777493
ERR1913246.175671__1.175671	563769__GeneID:6973158
ERR1913246.175679__1.175679	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913246.175738__1.175738	1501391__GCA_000786575.1_00081
ERR1913246.175788__1.175788	246787__A0A3D6AWJ7__AA416_00506
ERR1913246.175805__1.175805	216816__B3DPC3__CE169_06855
ERR1913246.175864__1.175864	1262911__R6GSH8__BN557_00939
ERR1913246.175888__1.175888	216816__B7GTP7__BLIC_h02039
ERR1913246.176216__1.176216	172901__A0A2U1AXN3__C8D82_11568
ERR1913246.176175__1.176175	1432052__A0A1E3AVS2__BEI60_31905
ERR1913246.176188__1.176188	216816__A0A061M1M5__HMPREF0177_01046
ERR1913246.176393__1.176393	10678__GeneID:2777435
ERR1913246.176481__1.176481	84030__D4MSP6__B5F06_01680
ERR1913246.176484__1.176484	487174__K0X9T7__HMPREF9448_00996
ERR1913246.176497__1.176497	357276__A0A076IKP7__BACDOR_04239
ERR1913246.176570__1.176570	357276__A0A0K2HP62__HMPREF1063_01560
ERR1913246.176587__1.176587	33039__A0A174ZEE3__ERS852502_00495
ERR1913246.176732__1.176732	10678__GeneID:2777413
ERR1913246.176784__1.176784	10678__GeneID:2777452
ERR1913246.176865__1.176865	216816__C2GSX7__DD678_03555
ERR1913246.176908__1.176908	1501391__GCA_000786575.1_00124
ERR1913246.176956__1.176956	216816__C2GV16__APC1504_1666
ERR1913246.176933__1.176933	103807__GeneID:929693
ERR1913246.176951__1.176951	1262911__R6GMD8__BN557_01647
ERR1913246.177173__1.177173	1262911__R6GYL3__BN557_00607
ERR1913246.177182__1.177182	357276__A0A0K2HHN3__GV66_08845
ERR1913246.177185__1.177185	216816__A0A396FRQ5__DD678_01245
ERR1913246.177306__1.177306	216816__D6D9H5__APC1466_0493
ERR1913246.177362__1.177362	544645__A0A1U7L9B0__DXC42_03910
ERR1913246.177442__1.177442	357276__A0A076INK2__BSEG_04225
ERR1913246.177571__1.177571	10678__GeneID:2777413
ERR1913246.177616__1.177616	357276__A0A0P0M2G3__BACDOR_03913
ERR1913246.177980__1.177980	47678__A5ZI88__BACCAC_02617
ERR1913246.177989__1.177989	1262873__R6WM58__BN605_01388
ERR1913246.178013__1.178013	216816__A0A083XFS3__APC1472_0413
ERR1913246.178109__1.178109	216816__D6DBD5__DXC32_04335
ERR1913246.178192__1.178192	1262911__R6H2J2__BN557_01228
ERR1913246.178433__1.178433	28116__A0A1Y4P7B7__M088_2098
ERR1913246.178495__1.178495	216816__D6DBD7__BL71B_09615
ERR1913246.178521__1.178521	10678__GeneID:2777403
ERR1913246.178815__1.178815	216816__B3DRY8__DPC6320_0936
ERR1913246.178830__1.178830	357276__B6W1Y1__BSEG_03960
ERR1913246.179002__1.179002	216816__B3DRY8__DPC6320_0936
ERR1913246.179123__1.179123	10678__GeneID:2777413
ERR1913246.179263__1.179263	1262911__R6GTZ0__BN557_01437
ERR1913246.179352__1.179352	246787__A0A3D6AXI0__AA416_04256
ERR1913246.179357__1.179357	651822__GCA_000210715.1_00753
ERR1913246.179565__1.179565	10678__GeneID:2777383
ERR1913246.179659__1.179659	823__A6L930__DDY96_14995
ERR1913246.179672__1.179672	28118__F9Z9Z6__DHW44_15190
ERR1913246.179758__1.179758	10678__GeneID:2777425
ERR1913246.179865__1.179865	10678__GeneID:2777473
ERR1913246.179853__1.179853	214856__R6XUN2__rcsC_1
ERR1913246.180017__1.180017	214856__I3YPN9__ERS852447_01389
ERR1913246.179996__1.179996	1262744__R6FST0__BN744_00381
ERR1913246.180266__1.180266	562__P46855__PU39_09885
ERR1913246.180283__1.180283	10678__GeneID:2777454
ERR1913246.180385__1.180385	818__A0A139KW19__nedA_1
ERR1913246.180481__1.180481	216816__D6DCQ7__HMPREF1312_1623
ERR1913246.180635__1.180635	487174__R5ER56__HMPREF9448_02812
ERR1913246.180670__1.180670	10678__GeneID:2777494
ERR1913246.180739__1.180739	28116__E5CCI3__NCTC11153_04275
ERR1913246.180796__1.180796	418240__C6JFB3__ERS852523_02503
ERR1913246.180832__1.180832	1776392__A0A1Y4SX30__B5E75_06690
ERR1913246.180975__1.180975	1147152__GeneID:14181982
ERR1913246.181075__1.181075	10678__GeneID:2777445
ERR1913246.181161__1.181161	1965576__A0A1Y4KUG3__B5F19_16470
ERR1913246.181248__1.181248	100886__A0A174GX43__ERS852383_03814
ERR1913246.181259__1.181259	1232426__group_1915
ERR1913246.181308__1.181308	216816__A0A396FVC5__BL71B_00290
ERR1913246.181541__1.181541	246787__A0A3D6AZF8__BACCELL_02529
ERR1913246.181780__1.181780	28116__A0A0J9IIV5__M089_5519
ERR1913246.181916__1.181916	562__P0ABR8__antA
ERR1913246.181961__1.181961	418240__C6J892__ERS852478_02502
ERR1913246.182039__1.182039	214856__I3YPQ4__Alfi_2712
ERR1913246.182045__1.182045	216816__C5E9A6__mutT4
ERR1913246.182051__1.182051	39492__D4JT68__spoIIIE
ERR1913246.182000__1.182000	216816__B3DRU6__DPC6323_0992
ERR1913246.182021__1.182021	216816__D6DC09__BLIC_a02334
ERR1913246.182136__1.182136	1147152__GeneID:14181982
ERR1913246.182310__1.182310	216816__D6DC09__BLIC_a02334
ERR1913246.182432__1.182432	357276__C3RA36__HMPREF1065_03270
ERR1913246.182521__1.182521	10868__GeneID:1261859
ERR1913246.182581__1.182581	28116__A0A395VUS9__DXD69_03560
ERR1913246.182756__1.182756	10678__GeneID:2777481
ERR1913246.182785__1.182785	562__P0ADK7__yibA
ERR1913246.183171__1.183171	10678__GeneID:2777403
ERR1913246.183457__1.183457	246787__A0A3D6AWM8__BACCELL_01963
ERR1913246.183479__1.183479	246787__R6K756__HMPREF1062_01819
ERR1913246.183616__1.183616	10678__GeneID:2777403
ERR1913246.183703__1.183703	1090133__GeneID:14008334
ERR1913246.183713__1.183713	10678__GeneID:2777408
ERR1913246.183780__1.183780	1262911__R6GKS1__BN557_00184
ERR1913246.183793__1.183793	216816__A0A2N0SME6__BLIF_1881
ERR1913246.183743__1.183743	1472761__GCA_002159295.1_01925
ERR1913246.183904__1.183904	84030__D6DJ93__B5F06_11335
ERR1913246.184015__1.184015	1262911__R6GI18__BN557_01377
ERR1913246.184049__1.184049	328814__GCA_004558275.1_00292
ERR1913246.184160__1.184160	10678__GeneID:2777406
ERR1913246.184137__1.184137	84030__D4MSB3__B5F06_07550
ERR1913246.184510__1.184510	1354__A0A0E2HVM8__BH735_12285
ERR1913246.184575__1.184575	10678__GeneID:2777415
ERR1913246.184582__1.184582	136841__Q9I6U6__CAY95_19175
ERR1913246.184798__1.184798	1965576__A0A1Y4L4M7__B5F19_14830
ERR1913246.184888__1.184888	10678__GeneID:2777452
ERR1913246.185199__1.185199	216816__A0A0S2ML20__B5780_2007
ERR1913246.185528__1.185528	214856__I3YPP0__ERS852447_01388
ERR1913246.185672__1.185672	1232426__nifJ
ERR1913246.185732__1.185732	28116__A0A3D2LPA1__CUY_3388
ERR1913246.185740__1.185740	1262911__R6HNT6__BN557_01082
ERR1913246.185827__1.185827	1262911__R6GMH5__BN557_00511
ERR1913246.185997__1.185997	871324__A0A1M6C0H7__SAMN05444350_103243
ERR1913246.186202__1.186202	1263109__GCA_000438135.1_00299
ERR1913246.186424__1.186424	1262911__R6GPL1__BN557_00927
ERR1913246.186600__1.186600	214856__R6Y7P0__ERS852447_00307
ERR1913246.186712__1.186712	446660__GCA_003428235.1_00726
ERR1913246.186770__1.186770	35833__E5Y477__HMPREF0179_00988
ERR1913246.186772__1.186772	216816__D6D9J4__DPC6320_0487
ERR1913246.187074__1.187074	29361__B6FLM7__CLONEX_01049
ERR1913246.187223__1.187223	487174__K0XG81__HMPREF9448_02274
ERR1913246.187246__1.187246	216816__C5E9N8__DD678_02795
ERR1913246.187287__1.187287	39492__D4JT75__EUBSIR_01776
ERR1913246.187358__1.187358	216816__A0A395XZB7__DXD37_04075
ERR1913246.187434__1.187434	100886__E2NP44__aroD
ERR1913246.187413__1.187413	216816__C5E7T6__B5781_0828
ERR1913246.187701__1.187701	84030__D6DGY7__B5F06_04560
ERR1913246.187803__1.187803	10678__GeneID:2777474
ERR1913246.188018__1.188018	357276__B6W1Y5__IY41_11405
ERR1913246.188084__1.188084	216816__B7GQM4__BLIC_f01073
ERR1913246.188207__1.188207	214856__R5UN64__ERS852447_02669
ERR1913246.188219__1.188219	394340__atpB
ERR1913246.188224__1.188224	562__P69229__G746_02312
ERR1913246.188507__1.188507	47678__R5U8D1__CGC64_17595
ERR1913246.188708__1.188708	10678__GeneID:2777493
ERR1913246.188671__1.188671	40518__R5DRG6__ylbJ
ERR1913246.188830__1.188830	418240__C6J892__ERS852478_02502
ERR1913246.188970__1.188970	10678__GeneID:2777494
ERR1913246.189043__1.189043	821__I9R3W6__DXC16_12455
ERR1913246.189189__1.189189	562__P46855__PU39_09885
ERR1913246.189208__1.189208	84030__D6DDP3__B5F06_06075
ERR1913246.189282__1.189282	1262873__R6XN34__BN605_01173
ERR1913246.189308__1.189308	239935__A0A2N8HAQ1__DEF40_05290
ERR1913246.189415__1.189415	853__A0A173YYY4__DWZ04_09420
ERR1913246.189476__1.189476	1124654__GeneID:14005782
ERR1913246.189517__1.189517	10678__GeneID:2777405
ERR1913246.189620__1.189620	1262889__R7H8U0__BN634_00239
ERR1913246.189653__1.189653	10678__GeneID:2777386
ERR1913246.189833__1.189833	216816__V6XY04__APK78_02285
ERR1913246.190042__1.190042	239935__A0A139TLF5__CXU18_06685
ERR1913246.190049__1.190049	214856__I3YPP0__ERS852447_01388
ERR1913246.190053__1.190053	1147152__GeneID:14181982
ERR1913246.190146__1.190146	1232426__lepA
ERR1913246.190198__1.190198	28116__A0A1Y4PHM7__DXA80_25130
ERR1913246.190248__1.190248	216816__B7GPE8__I118_0062
ERR1913246.190289__1.190289	357276__I9RAC4__BSEG_00561
ERR1913246.190322__1.190322	357276__B6W1J2__BACDOR_03380
ERR1913246.190338__1.190338	47678__R5UG30__ERS852558_03525
ERR1913246.190456__1.190456	360807__A0A1Q6T4B4__ROSEINA2194_04053
ERR1913246.190626__1.190626	216816__C2GUV2__APC1478_0430
ERR1913246.190866__1.190866	487175__F3QIG5__HMPREF9439_00712
ERR1913246.191109__1.191109	357276__A0A0K2HJA6__DXD47_07320
ERR1913246.191161__1.191161	1262911__R6GPA9__BN557_00286
ERR1913246.191162__1.191162	10678__GeneID:2777403
ERR1913246.191177__1.191177	214856__R6Z3P8__ERS852559_01737
ERR1913246.191258__1.191258	216816__A0A0S2MCH0__AYW81_04880
ERR1913246.191304__1.191304	1232426__uvrA_2
ERR1913246.191406__1.191406	216816__B7GPH6__DXC74_08225
ERR1913246.191465__1.191465	564886__GeneID:6973115
ERR1913246.191561__1.191561	10678__GeneID:2777494
ERR1913246.191675__1.191675	35833__E5YAA4__HMPREF0179_03124
ERR1913246.191629__1.191629	246787__A0A3D6AXG0__BACCELL_01743
ERR1913246.191659__1.191659	562__P32704__COD56_15900
ERR1913246.191757__1.191757	88431__A6BFJ3__ERS852408_01680
ERR1913246.191782__1.191782	1501391__GCA_000786575.1_00085
ERR1913246.191786__1.191786	357276__I9R994__BACDOR_04044
ERR1913246.191875__1.191875	10678__GeneID:2777420
ERR1913246.191991__1.191991	216816__A0A0M4NCP0__HMPREF1313_0712
ERR1913246.192028__1.192028	40518__R5DU28__DXD86_07960
ERR1913246.192308__1.192308	1472761__GCA_002159295.1_00965
ERR1913246.192455__1.192455	823__A6LGI3__DXB14_09215
ERR1913246.192424__1.192424	1262911__R6HN81__BN557_00921
ERR1913246.192629__1.192629	1262911__R6GY22__BN557_00023
ERR1913246.192711__1.192711	562__P32704__COD56_15900
ERR1913246.192715__1.192715	357276__A0A0M1W4C0__DXD47_07095
ERR1913246.192813__1.192813	1965576__A0A1Y4LMB5__B5F19_07385
ERR1913246.192905__1.192905	214856__E4MF20__Alfi_0697
ERR1913246.192907__1.192907	432200__GeneID:14182864
ERR1913246.193052__1.193052	246787__A0A3D6AZF8__BACCELL_02529
ERR1913246.193126__1.193126	84030__D6DGX9__B5F06_04530
ERR1913246.193115__1.193115	1262911__R6H2J2__BN557_01228
ERR1913246.193425__1.193425	40518__R5DY73__DXD86_02865
ERR1913246.193443__1.193443	1796652__ltrA_3
ERR1913246.193471__1.193471	214856__R6XP73__ERS852447_00886
ERR1913246.193475__1.193475	487175__D9Y601__HMPREF9439_02635
ERR1913246.193480__1.193480	10678__GeneID:2777380
ERR1913246.193701__1.193701	28118__R6FCN5__Odosp_2070
ERR1913246.193890__1.193890	39492__D4JUN0__EUBSIR_02705
ERR1913246.194040__1.194040	1262911__R6GPL1__BN557_00927
ERR1913246.194219__1.194219	40518__R5E670__DXD93_06195
ERR1913246.194223__1.194223	357276__C3R9Y0__HMPREF1064_01889
ERR1913246.194417__1.194417	562__P32704__COD56_15900
ERR1913246.194332__1.194332	216816__E5XYF2__APC1480_0509
ERR1913246.194432__1.194432	1262911__R6GMD8__BN557_01647
ERR1913246.194454__1.194454	357276__A0A076INK2__BSEG_04225
ERR1913246.194547__1.194547	745368__A0A1T4Y6I3__SAMN02745178_02753
ERR1913246.194740__1.194740	1472761__GCA_002159295.1_01817
ERR1913246.194897__1.194897	246787__A0A0P0FSC9__BACCELL_02534
ERR1913246.195029__1.195029	39492__D4JS46__EUBSIR_02553
ERR1913246.195108__1.195108	10678__GeneID:2777387
ERR1913246.195255__1.195255	544645__A0A1U7LFJ1__DXC42_14695
ERR1913246.195299__1.195299	357276__I8WPR6__EL88_06675
ERR1913246.195442__1.195442	28118__F9Z7M5__B5F99_15930
ERR1913246.195444__1.195444	562__P52045__CW278_17595
ERR1913246.195505__1.195505	1851568__A0A1B8YKN4__Phpb_01224
ERR1913246.195509__1.195509	1262911__R6GZX7__BN557_00838
ERR1913246.195795__1.195795	1262911__R6HN87__BN557_00926
ERR1913246.195860__1.195860	246787__R6KDR9__BcellWH2_02360
ERR1913246.196219__1.196219	33039__D4M1J4__ERS852390_02215
ERR1913246.196389__1.196389	357276__A0A0K2HI42__ABI39_06975
ERR1913246.196445__1.196445	418240__A0A174G147__toxA_4
ERR1913246.196485__1.196485	357276__I9R994__BACDOR_04044
ERR1913246.196650__1.196650	216816__B7GQ29__APC1465_1199
ERR1913246.196602__1.196602	10678__GeneID:2777434
ERR1913246.196606__1.196606	106588__A6NWG1__BACCAP_02555
ERR1913246.196738__1.196738	457421__C5EKJ0__CBFG_01826
ERR1913246.196878__1.196878	216816__A0A087BBV6__BFS26_06210
ERR1913246.196999__1.196999	1262911__R6HIJ8__BN557_01742
ERR1913246.197335__1.197335	246787__A0A0P0GK12__BcellWH2_04154
ERR1913246.197489__1.197489	564886__GeneID:6973115
ERR1913246.197562__1.197562	357276__A0A076ITU4__EL88_22160
ERR1913246.197793__1.197793	562__Q8XBR9__G770_00628
ERR1913246.197833__1.197833	1262873__R6W9L4__BN605_01204
ERR1913246.198206__1.198206	1134687__A0A377SEG4__A225_2996
ERR1913246.198280__1.198280	1232426__group_1953
ERR1913246.198324__1.198324	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913246.198675__1.198675	246787__A0A0P0GET5__AA416_04410
ERR1913246.198632__1.198632	1262873__R6WB29__BN605_02128
ERR1913246.198694__1.198694	10678__GeneID:2777470
ERR1913246.198735__1.198735	1262911__R6GUQ4__BN557_01581
ERR1913246.198964__1.198964	216816__C2GUV2__APC1478_0430
ERR1913246.198985__1.198985	1262873__R6WEY1__BN605_01359
ERR1913246.199018__1.199018	1263064__GCA_000431175.1_02660
ERR1913246.199087__1.199087	100886__A0A174IWV6__CATMIT_02431
ERR1913246.199125__1.199125	853__A0A173TAZ8__DWZ46_14590
ERR1913246.199249__1.199249	10678__GeneID:2777423
ERR1913246.199414__1.199414	1262911__R6GPM2__BN557_00937
ERR1913246.199498__1.199498	1262911__R6H1P0__BN557_00940
ERR1913246.199597__1.199597	246787__R6LGB3__BcellWH2_02361
ERR1913246.199660__1.199660	47678__A5ZEP5__CGC64_03450
ERR1913246.199886__1.199886	357276__I9FTR0__HMPREF1065_02861
ERR1913246.199791__1.199791	47678__R5U9X5__BACCAC_01339
ERR1913246.199823__1.199823	29361__B6FLM7__CLONEX_01049
ERR1913246.200000__1.200000	343516__GeneID:3953004
ERR1913246.200067__1.200067	88431__A6BIP6__DXB16_05510
ERR1913246.200085__1.200085	216816__E8MVM4__APC1480_1562
ERR1913246.200206__1.200206	1262873__R6WGS6__BN605_01931
ERR1913246.200210__1.200210	10678__GeneID:2777379
ERR1913246.200529__1.200529	357276__B6W1Y1__BSEG_03960
ERR1913246.201012__1.201012	562__P63202__gadW
ERR1913246.201063__1.201063	216816__C5E9A6__mutT4
ERR1913246.201181__1.201181	562__P23837__phoQ
ERR1913246.201200__1.201200	821__A0A3E4WAR6__DXD64_10735
ERR1913246.201453__1.201453	418240__C6JFJ7__ERS852523_01165
ERR1913246.201509__1.201509	823__A0A395YQ63__B5F32_15335
ERR1913246.201517__1.201517	1501391__GCA_000786575.1_00047
ERR1913246.201561__1.201561	564886__GeneID:6973115
ERR1913246.201689__1.201689	10678__GeneID:2777415
ERR1913246.201699__1.201699	1262911__R6GZ01__BN557_00641
ERR1913246.201721__1.201721	10678__GeneID:2777413
ERR1913246.201870__1.201870	246787__R6KIG0__BcellWH2_02358
ERR1913246.201896__1.201896	418240__A0A173X9L0__ERS852523_01318
ERR1913246.202211__1.202211	564__A0A377CVF5__VP22_0211710
ERR1913246.202306__1.202306	1943580__A0A1V4AJG8__B0D78_08290
ERR1913246.202417__1.202417	10678__GeneID:2777413
ERR1913246.202668__1.202668	357276__C3R5A0__B5F00_02960
ERR1913246.202738__1.202738	357276__B6W5Q9__HMPREF1063_03125
ERR1913246.202754__1.202754	1851568__A0A1B8YKN4__Phpb_01224
ERR1913246.202860__1.202860	1262911__R6H174__BN557_01246
ERR1913246.203019__1.203019	1262911__R6GTZ0__BN557_01437
ERR1913246.203050__1.203050	10678__GeneID:2777424
ERR1913246.203133__1.203133	214856__I3YPQ0__ERS852447_01379
ERR1913246.203226__1.203226	216816__A0A0S2MCH0__AYW81_04880
ERR1913246.203234__1.203234	40518__R5DR39__mreB_2
ERR1913246.203509__1.203509	10678__GeneID:2777444
ERR1913246.203565__1.203565	40518__R5DYU1__DXD86_01160
ERR1913246.203566__1.203566	1262992__R5D6J2__BN795_00288
ERR1913246.203572__1.203572	216816__A0A1V8RHV4__DXD44_06445
ERR1913246.203600__1.203600	33039__D4M1A4__ERS852502_00742
ERR1913246.203789__1.203789	10678__GeneID:2777473
ERR1913246.203806__1.203806	1262911__R6H1P0__BN557_00940
ERR1913246.203928__1.203928	563769__GeneID:6973158
ERR1913246.203997__1.203997	216816__A0A2N0SME6__BLIF_1881
ERR1913246.204081__1.204081	1262911__R6GSH8__BN557_00939
ERR1913246.204060__1.204060	40518__R5DNV4__RBATCC27255_00359
ERR1913246.204076__1.204076	1432052__A0A1E3AKE5__BEI59_08735
ERR1913246.204382__1.204382	562__P77393__PU31_14870
ERR1913246.204386__1.204386	216816__A0A374SVM3__BLSL_0492
ERR1913246.204445__1.204445	357276__A0A0M1VXQ9__BSEG_00942
ERR1913246.204498__1.204498	39496__A5Z5I2__EUBVEN_00963
ERR1913246.204523__1.204523	100886__E2NWG3__CATMIT_02958
ERR1913246.204606__1.204606	246787__I8V2S2__BACCELL_02524
ERR1913246.204810__1.204810	10678__GeneID:2777421
ERR1913246.204858__1.204858	1550024__A0A0D8IZ16__ASJ35_10840
ERR1913246.205053__1.205053	1262911__R6GPL1__BN557_00927
ERR1913246.205196__1.205196	10678__GeneID:2777400
ERR1913246.205197__1.205197	47678__A5ZHJ2__DXB67_12405
ERR1913246.205205__1.205205	10678__GeneID:2777386
ERR1913246.205310__1.205310	328814__GCA_004558275.1_00066
ERR1913246.205538__1.205538	216816__C2GUV2__APC1478_0430
ERR1913246.205540__1.205540	1262911__R6H174__BN557_01246
ERR1913246.205543__1.205543	1262911__R6H2J2__BN557_01228
ERR1913246.205614__1.205614	214856__A0A175A6T5__ERS852447_02658
ERR1913246.205733__1.205733	1304__A0A1W5ZEC2__SALIVA_1284
ERR1913246.205909__1.205909	216816__E8MW20__DD674_07905
ERR1913246.206083__1.206083	626932__G5HA20__HMPREF9450_01485
ERR1913246.206188__1.206188	10678__GeneID:2777427
ERR1913246.206212__1.206212	562__P23837__phoQ
ERR1913246.206276__1.206276	47678__R5UER2__CGC64_00710
ERR1913246.206529__1.206529	328812__A0A0F5J9M6__HMPREF1076_05136
ERR1913246.206504__1.206504	214856__I3YMC8__ERS852447_02666
ERR1913246.206507__1.206507	40518__R5E2Z2__DXD93_09295
ERR1913246.206865__1.206865	246787__R6KIG0__BcellWH2_02358
ERR1913246.206882__1.206882	216816__B3DRU6__DPC6323_0992
ERR1913246.206891__1.206891	39496__A5Z5I2__EUBVEN_00963
ERR1913246.206922__1.206922	28111__E5WYP5__BACEGG_00185
ERR1913246.207076__1.207076	1232426__uvrA_1
ERR1913246.207090__1.207090	10678__GeneID:2777449
ERR1913246.207286__1.207286	552398__F4XH43__HMPREF0866_02944
ERR1913246.207313__1.207313	394340__pyrH
ERR1913246.207548__1.207548	357276__A0A0M1W657__HMPREF1064_04629
ERR1913246.207810__1.207810	84112__F0HKE6__Elen_0579
ERR1913246.207983__1.207983	40518__R5DVV1__RBATCC27255_00999
ERR1913246.208428__1.208428	216816__A0A2N0SME6__BLIF_1881
ERR1913246.208480__1.208480	84030__D4CFA9__B5F06_00075
ERR1913246.208497__1.208497	216816__A0A2U0BT35__BL1206_1860
ERR1913246.208601__1.208601	216816__D6DBD5__DXC32_04335
ERR1913246.208791__1.208791	1262911__R6H1M1__BN557_00925
ERR1913246.208951__1.208951	46503__R6X5E7__PARMER_00245
ERR1913246.208916__1.208916	357276__B6W1Y1__BSEG_03960
ERR1913246.209046__1.209046	47678__R5U8S9__DW706_06260
ERR1913246.209298__1.209298	1262882__R5MKX3__BN519_00395
ERR1913246.209317__1.209317	47678__R5U206__C5Z00_07065
ERR1913246.209354__1.209354	394340__atpD
ERR1913246.209364__1.209364	1262911__R6GZX7__BN557_00838
ERR1913246.209451__1.209451	246787__R6K756__HMPREF1062_01819
ERR1913246.209513__1.209513	40518__R5DW64__RBL236_01394
ERR1913246.209675__1.209675	562__P76296__yecT
ERR1913246.209988__1.209988	216816__C2GTV6__AS143_01355
ERR1913246.210032__1.210032	1262911__R6H212__BN557_01031
ERR1913246.210397__1.210397	40518__R5DZU5__RBL263_00458
ERR1913246.210456__1.210456	1647455__GeneID:7205473
ERR1913246.210514__1.210514	216816__B7GPE8__I118_0062
ERR1913246.210618__1.210618	626932__G5H517__HMPREF9450_00027
ERR1913246.210533__1.210533	47678__A0A174TQR6__CGC64_14735
ERR1913246.210683__1.210683	216816__C2GTH2__CE159_03580
ERR1913246.210906__1.210906	357276__C3RA36__HMPREF1065_03270
ERR1913246.210944__1.210944	246787__A0A3D6AQP8__AA416_04153
ERR1913246.211076__1.211076	29361__B6FKH5__CLONEX_00621
ERR1913246.211290__1.211290	10678__GeneID:2777434
ERR1913246.211480__1.211480	246787__A0A0P0GR24__BcellWH2_03263
