ERR1913280.111__1.111	1262700__R5XM04__BN695_00162
ERR1913280.208536__1.208536	820__A0A3E4G2R7__DXC07_00510
ERR1913280.208579__1.208579	1262992__R5CXL9__BN795_01014
ERR1913280.208616__1.208616	310298__B3JFI7__BACCOP_00636
ERR1913280.208662__1.208662	563769__GeneID:6973156
ERR1913280.208688__1.208688	1262777__R5VJ33__BN512_01225
ERR1913280.208867__1.208867	820__A0A078S4C2__ERS417307_00828
ERR1913280.208846__1.208846	246787__R6LGA6__tmoS_11
ERR1913280.209016__1.209016	338188__C9KTQ6__BACFIN_05559
ERR1913280.209234__1.209234	28117__B0MWC6__BHV66_00965
ERR1913280.209266__1.209266	818__A0A0P0F004__SAMN02910322_02925
ERR1913280.209503__1.209503	1262889__R7HA49__BN634_00677
ERR1913280.209536__1.209536	239935__A0A139TPU7__CXT91_06575
ERR1913280.209595__1.209595	338188__A0A173WKZ0__BACFIN_07292
ERR1913280.209898__1.209898	487174__K0X694__DIT83_09060
ERR1913280.210066__1.210066	239935__R6JAS2__CXU02_10725
ERR1913280.210131__1.210131	821__A0A0P0LFP6__C5Z04_13890
ERR1913280.210264__1.210264	39485__A0A174YYW2__benM
ERR1913280.210415__1.210415	360807__A0A174CZ42__RIL183_11251
ERR1913280.210501__1.210501	1262700__R5XF05__BN695_01686
ERR1913280.210777__1.210777	1262911__R6GT12__BN557_01070
ERR1913280.210820__1.210820	823__A6LHJ7__ERS852380_00253
ERR1913280.210960__1.210960	39491__A0A173QT73__alaS_2
ERR1913280.211014__1.211014	40518__R5DW64__RBL236_01394
ERR1913280.211019__1.211019	39491__D6E4H2__DXB99_00485
ERR1913280.211143__1.211143	820__A0A139KIL9__DXC68_05945
ERR1913280.211225__1.211225	28117__B0MXW9__ALIPUT_01981
ERR1913280.211523__1.211523	28117__B0MTV3__BHV66_06405
ERR1913280.211565__1.211565	820__A0A174CG08__DXB62_13215
ERR1913280.211836__1.211836	39491__C4ZCV5__DXB99_11855
ERR1913280.211946__1.211946	1262700__R5XCA0__BN695_00029
ERR1913280.211970__1.211970	39492__D4JWJ4__EUBSIR_01090
ERR1913280.212035__1.212035	39492__A0A174ZP27__EUBSIR_00033
ERR1913280.212138__1.212138	360807__A0A1Q6T3E4__ROSEINA2194_03999
ERR1913280.212148__1.212148	2108523__A0A2P2F3W3__LAWASA_692
ERR1913280.212176__1.212176	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913280.212392__1.212392	33025__A0A395JF03__C8D73_101684
ERR1913280.212514__1.212514	28117__B0MTY2__BHV66_06485
ERR1913280.212595__1.212595	820__I9J701__ERS852510_01809
ERR1913280.212605__1.212605	39491__D4JMW8__ERS852497_01971
ERR1913280.212856__1.212856	28117__B0MXQ6__ALIPUT_01917
ERR1913280.213051__1.213051	357276__A0A076IXE0__HMPREF1064_04364
ERR1913280.213028__1.213028	820__A0A173W419__DXC68_17760
ERR1913280.213157__1.213157	239935__A0A2N8HB50__CXU17_02615
ERR1913280.213164__1.213164	338188__C9KSV8__BACFIN_05392
ERR1913280.213107__1.213107	39491__C4ZC33__DXC13_11585
ERR1913280.213178__1.213178	338188__A0A1Q6HI30__BACFIN_05356
ERR1913280.213199__1.213199	1263000__R5EXT3__BN466_02213
ERR1913280.213257__1.213257	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913280.213350__1.213350	239935__A0A2N8IG27__CXT85_07805
ERR1913280.213380__1.213380	1262889__R7HD12__BN634_00607
ERR1913280.213384__1.213384	487174__K0X524__DDY40_09270
ERR1913280.213759__1.213759	47678__R5UU25__DXB67_16190
ERR1913280.213914__1.213914	1262700__R5XLG8__BN695_01525
ERR1913280.214271__1.214271	239935__A0A2N8HZW2__A4V05_11120
ERR1913280.214857__1.214857	820__A0A3E4VZY4__ERS852554_01211
ERR1913280.214889__1.214889	338188__K5BSQ8__HMPREF1057_02842
ERR1913280.214992__1.214992	1262911__R6GI18__BN557_01377
ERR1913280.214994__1.214994	39491__A0A396FNY7__LD38_16155
ERR1913280.215188__1.215188	39492__D4JTF2__mutS2
ERR1913280.215446__1.215446	1262736__R5Y285__BN496_00964
ERR1913280.215498__1.215498	166486__D4L1L1__ROSINTL182_05277
ERR1913280.215510__1.215510	166486__D4L284__ERS852572_01651
ERR1913280.215574__1.215574	1262700__R5Y6F4__BN695_00541
ERR1913280.216393__1.216393	40518__R5DVV1__RBATCC27255_00999
ERR1913280.216360__1.216360	39485__A0A174Z2K9__ERS852490_02052
ERR1913280.216376__1.216376	820__A0A174M9V5__M093_0237
ERR1913280.216522__1.216522	310298__B3JPY4__BACCOP_04016
ERR1913280.216658__1.216658	820__A0A174F0C1__nreB
ERR1913280.216800__1.216800	39486__R6S761__DXB36_12045
ERR1913280.216930__1.216930	39491__A0A396FQV7__T1815_10751
ERR1913280.216949__1.216949	1263107__GCA_000436995.1_00032
ERR1913280.217029__1.217029	39492__A0A174ZP27__EUBSIR_00033
ERR1913280.217438__1.217438	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913280.217586__1.217586	47678__R5UET0__BACCAC_02656
ERR1913280.217687__1.217687	39492__R6RT40__prkC_3
ERR1913280.217932__1.217932	823__D7IT19__DHP27_03495
ERR1913280.218054__1.218054	360807__A0A0M6WN30__RIL183_03801
ERR1913280.218254__1.218254	328814__GCA_004558275.1_00036
ERR1913280.218293__1.218293	239935__A0A2N8HM32__CXT85_08075
ERR1913280.218349__1.218349	1262743__R5C054__BN727_01980
ERR1913280.218617__1.218617	487174__K0WVG2__DDY40_00285
ERR1913280.218792__1.218792	47678__R5UG30__ERS852558_03525
ERR1913280.218898__1.218898	328814__GCA_004558275.1_01620
ERR1913280.219147__1.219147	820__A0A174Q0F0__DXB48_08080
ERR1913280.219236__1.219236	884684__GCA_002892425.1_01408
ERR1913280.219361__1.219361	47678__R5UD76__BACCAC_01373
ERR1913280.219371__1.219371	820__A0A396EUV1__B5G17_06465
ERR1913280.219390__1.219390	674529__R6V5A6__SAMN05444400_12636
ERR1913280.219494__1.219494	40520__R7D6G3__DXB81_16300
ERR1913280.219495__1.219495	1262700__R5XK22__BN695_00076
ERR1913280.219459__1.219459	239935__R6JFR5__CXT84_04850
ERR1913280.219465__1.219465	39491__A0A395V5R3__EUBREC_1883
ERR1913280.219791__1.219791	626932__G5HAB4__HMPREF9450_01579
ERR1913280.219759__1.219759	39492__A0A174Z2N0__EUBSIR_01615
ERR1913280.219767__1.219767	239935__A0A2N8IU45__DEF40_02365
ERR1913280.219804__1.219804	39491__A0A396FMF1__EUR_28700
ERR1913280.219919__1.219919	1897011__A0A1Q6RDI4__BHW41_05605
ERR1913280.219970__1.219970	28117__B0MWZ3__BHV66_03240
ERR1913280.219957__1.219957	39491__A0A396FQ67__DXB99_07505
ERR1913280.220004__1.220004	47678__A5ZB44__C5Z00_17730
ERR1913280.220096__1.220096	357276__A0A0M1W9N4__GV66_05135
ERR1913280.220283__1.220283	820__A0A3E4WA06__ERS852554_03404
ERR1913280.220424__1.220424	166486__D4KZY5__ROSINTL182_07635
ERR1913280.220429__1.220429	820__A0A139JUD3__DXC91_19380
ERR1913280.220399__1.220399	818__A0A139JVX2__ERS852557_01101
ERR1913280.220493__1.220493	1262736__R5YX38__BN496_01145
ERR1913280.220632__1.220632	1262743__R5C054__BN727_01980
ERR1913280.220647__1.220647	338188__A0A174GX93__BACFIN_07818
ERR1913280.220888__1.220888	239935__A0A139TMG9__CXU07_10650
ERR1913280.221065__1.221065	28117__B0MY34__BHV66_05195
ERR1913280.221096__1.221096	239935__A0A2N8IVR0__CXT87_07115
ERR1913280.221141__1.221141	820__A0A174CK74__DXB48_07060
ERR1913280.221246__1.221246	33025__A0A395JJE3__C8D73_101669
ERR1913280.221279__1.221279	823__A0A395YX30__M090_4590
ERR1913280.221367__1.221367	552398__F4XCQ4__HMPREF0866_01621
ERR1913280.221444__1.221444	487174__K0X1V7__DIT83_03020
ERR1913280.221461__1.221461	239935__A0A2N8IVR0__CXT87_07115
ERR1913280.221878__1.221878	853__D4JY61__C4N21_10560
ERR1913280.221890__1.221890	39492__R6SPM9__pheT
ERR1913280.221971__1.221971	1263006__R6MQA3__BN515_02104
ERR1913280.221975__1.221975	1263006__R6LUX0__BN515_01610
ERR1913280.222031__1.222031	1262911__R6GKS1__BN557_00184
ERR1913280.222253__1.222253	1262700__R5XDY1__BN695_01269
ERR1913280.222337__1.222337	1262911__R6HH15__BN557_01507
ERR1913280.222508__1.222508	218538__C9LPE5__GCWU000321_01424
ERR1913280.222591__1.222591	371601__E5CE41__ERS852396_04351
ERR1913280.222613__1.222613	1262911__R6GZX7__BN557_00838
ERR1913280.222737__1.222737	239935__A0A2N8I3G2__CXT89_00720
ERR1913280.222956__1.222956	239935__A0A2N8ITG2__Amuc_0335
ERR1913280.223089__1.223089	384638__B7APN3__BACPEC_00639
ERR1913280.223105__1.223105	239935__A0A2N8I694__CXU04_06245
ERR1913280.223400__1.223400	239935__A0A2N8HDT1__CXT94_05270
ERR1913280.223434__1.223434	820__A0A396EUU8__luxQ_3
ERR1913280.223507__1.223507	338188__C9KXT4__ERS852397_00312
ERR1913280.223514__1.223514	39491__C4ZF05__vpr
ERR1913280.223783__1.223783	487174__R5FN40__HMPREF9448_01366
ERR1913280.223841__1.223841	853__A0A173XRA8__CGS56_09290
ERR1913280.223850__1.223850	40518__R5DUJ5__DXD83_01635
ERR1913280.223855__1.223855	1681__A0A286TD18__DD718_00365
ERR1913280.223961__1.223961	818__A0A139KY34__ERS852461_03898
ERR1913280.224064__1.224064	1262700__R5XK32__BN695_00091
ERR1913280.224180__1.224180	47678__A0A3E5BQM1__DXB67_08970
ERR1913280.224321__1.224321	39491__A0A396FNY7__LD38_16155
ERR1913280.224573__1.224573	33025__A0A395JHD9__C8D73_101774
ERR1913280.224549__1.224549	239935__R7DVL7__CXT93_01180
ERR1913280.224640__1.224640	674529__R6V5A6__SAMN05444400_12636
ERR1913280.224709__1.224709	820__A0A173XIP7__B5G17_16050
ERR1913280.224815__1.224815	1262988__R7N0Q0__BN816_00945
ERR1913280.224861__1.224861	820__A0A1Q6IDS8__chtA
ERR1913280.224936__1.224936	823__A0A174VHT1__DHP27_04775
ERR1913280.225022__1.225022	1262743__R5C054__BN727_01980
ERR1913280.224989__1.224989	28118__F9Z8E3__SAMEA44545918_03282
ERR1913280.225166__1.225166	820__A0A3E4PYB0__yejM
ERR1913280.225228__1.225228	39492__D4JWY7__EUBSIR_01655
ERR1913280.225234__1.225234	820__A0A139K0J1__HMPREF2141_03205
ERR1913280.225312__1.225312	39491__C4Z9K0__DXD95_07445
ERR1913280.225459__1.225459	47678__R5UG96__C5Z00_12630
ERR1913280.225467__1.225467	39491__A0A395V1R3__T1815_08181
ERR1913280.225543__1.225543	338188__A0A173X8B0__BACFIN_07108
ERR1913280.225780__1.225780	39491__C4ZC33__DXC13_11585
ERR1913280.225813__1.225813	1262700__R5XEQ4__BN695_01576
ERR1913280.225815__1.225815	239935__A0A2N8J2P6__ADH72_06730
ERR1913280.226025__1.226025	28117__B0MXG8__ALIPUT_01814
ERR1913280.226059__1.226059	1262911__R6H212__BN557_01031
ERR1913280.226186__1.226186	166486__D4KY48__gmr_5
ERR1913280.226270__1.226270	1262889__R7H889__BN634_02048
ERR1913280.226341__1.226341	360807__A0A173YJ94__ERS852444_03492
ERR1913280.226314__1.226314	1262700__R5XEF2__BN695_01474
ERR1913280.226641__1.226641	338188__R6RT73__HMPREF1057_02828
ERR1913280.227074__1.227074	1897011__A0A1Q6REW8__BHW41_04435
ERR1913280.227117__1.227117	1262911__R6H092__BN557_00938
ERR1913280.227320__1.227320	39492__R6SPM9__pheT
ERR1913280.227335__1.227335	39492__D4JS87__EUBSIR_02328
ERR1913280.227418__1.227418	39491__A0A396FF66__DXD95_01810
ERR1913280.227689__1.227689	817__A0A396EJL6__M079_2920
ERR1913280.227745__1.227745	552398__F4XCQ4__HMPREF0866_01621
ERR1913280.227748__1.227748	39491__A0A396FPV7__ERS852580_01177
ERR1913280.227885__1.227885	820__I9A4U7__DHU98_12785
ERR1913280.227993__1.227993	820__A0A174F0C1__nreB
ERR1913280.228178__1.228178	820__A0A078STJ8__DXC68_04690
ERR1913280.228200__1.228200	853__A0A173XRA8__CGS56_09290
ERR1913280.228301__1.228301	487174__K0X2W8__HMPREF9448_02611
ERR1913280.228680__1.228680	39492__R6RYB8__ERS852540_00322
ERR1913280.228697__1.228697	823__C7XA51__BDI_0499
ERR1913280.228705__1.228705	884684__GCA_002892425.1_01408
ERR1913280.228753__1.228753	1796613__A0A1V0QDA8__A4V03_02465
ERR1913280.229039__1.229039	1262700__R5XKK5__BN695_01205
ERR1913280.229270__1.229270	1262736__R5Y035__BN496_00793
ERR1913280.229278__1.229278	1262911__R6GYT4__BN557_00617
ERR1913280.229280__1.229280	820__A0A174DZ97__SAMN05444418_101240
ERR1913280.229308__1.229308	1262889__R7HEJ5__BN634_01091
ERR1913280.229364__1.229364	823__A0A395YXR9__M091_4086
ERR1913280.229399__1.229399	239935__A0A2N8IVK9__CXU08_03750
ERR1913280.229478__1.229478	1262700__R5XCS8__BN695_01594
ERR1913280.229496__1.229496	1150298__A0A174HG99__ERS852498_00387
ERR1913280.229427__1.229427	39491__C4ZAT2__ERE_28440
ERR1913280.229617__1.229617	1262911__R6GPI7__BN557_00907
ERR1913280.229695__1.229695	1263006__R6M176__BN515_00274
ERR1913280.229932__1.229932	338188__R6S7Z0__BACFIN_08441
ERR1913280.230077__1.230077	437898__GCF_000250875.1_01732
ERR1913280.230093__1.230093	338188__A0A174IDH7__ERS852397_02952
ERR1913280.230224__1.230224	28117__B0MWH8__BHV66_01330
ERR1913280.230237__1.230237	820__A0A173WUD7__DXB48_08055
ERR1913280.230865__1.230865	39491__D4JMW8__ERS852497_01971
ERR1913280.231368__1.231368	820__R9I3Q7__HMPREF1072_01668
ERR1913280.231474__1.231474	40518__R5DWB0__DXD86_00925
ERR1913280.231513__1.231513	823__C7XBX3__HMPREF1059_03212
ERR1913280.231501__1.231501	1262700__R5XEQ4__BN695_01576
ERR1913280.231610__1.231610	823__A0A078TE44__DD466_14830
ERR1913280.231641__1.231641	88431__A0A174G8Q6__ERS852526_02711
ERR1913280.231659__1.231659	39491__A0A174EQV2__DXB69_10230
ERR1913280.231744__1.231744	28117__B0MWZ9__ALIPUT_01735
ERR1913280.231892__1.231892	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913280.232018__1.232018	166486__D4L398__ERS852572_03633
ERR1913280.232060__1.232060	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913280.232214__1.232214	166486__D4KY48__gmr_5
ERR1913280.232249__1.232249	239935__R6IZU4__CXT87_08085
ERR1913280.232446__1.232446	338188__A0A1Q6HLG8__ERS852397_03417
ERR1913280.232619__1.232619	1262889__R7HAY6__BN634_02225
ERR1913280.232652__1.232652	820__A0A139K8N1__ERS852554_00951
ERR1913280.232677__1.232677	1262889__R7H801__BN634_02373
ERR1913280.232978__1.232978	40518__R5DW64__RBL236_01394
ERR1913280.233022__1.233022	821__A0A174RA14__M099_1655
ERR1913280.233023__1.233023	823__A0A174VHT1__DHP27_04775
ERR1913280.233258__1.233258	28117__B0MTW8__ALIPUT_00502
ERR1913280.233284__1.233284	823__A0A069S0G2__DXB14_03195
ERR1913280.233404__1.233404	40518__R5DLM5__RB5AMG_00422
ERR1913280.233441__1.233441	2108523__A0A2P2F5J6__LAWASA_1285
ERR1913280.233507__1.233507	820__A0A174Q0F0__DXB48_08080
ERR1913280.233467__1.233467	1262700__R5Y7L6__BN695_00886
ERR1913280.233623__1.233623	166486__D4KWN4__ERS852572_01865
ERR1913280.233741__1.233741	61171__B9Y5T9__HOLDEFILI_01171
ERR1913280.233940__1.233940	357276__A0A0M1W1I8__ABI39_13620
ERR1913280.234121__1.234121	818__A0A1H7TGM1__BJP75_010615
ERR1913280.234124__1.234124	39491__A0A396FFW0__ERE_10580
ERR1913280.234267__1.234267	239935__A0A139TPU7__CXT91_06575
ERR1913280.234392__1.234392	884684__GCA_002892425.1_01416
ERR1913280.234444__1.234444	820__A0A374Q351__DXD40_05850
ERR1913280.235306__1.235306	47678__R5UXJ2__DW706_08325
ERR1913280.235507__1.235507	1262988__R7N4K8__BN816_01737
ERR1913280.235740__1.235740	1262911__R6H1J5__BN557_00905
ERR1913280.235773__1.235773	1160721__W0U8M9__RBI_II00386
ERR1913280.235820__1.235820	821__A0A3E4HP25__SAMN04487923_102450
ERR1913280.235823__1.235823	33039__A0A173VTT4__frdB_1
ERR1913280.235868__1.235868	39491__A0A0M6WLC7__ERS852497_00640
ERR1913280.235906__1.235906	246787__A0A3D6ARN8__yehU_6
ERR1913280.236007__1.236007	218538__C9LQ77__GCWU000321_01709
ERR1913280.236117__1.236117	239935__A0A139TT05__CXU09_03335
ERR1913280.236097__1.236097	820__A0A139K4W5__HMPREF2141_02394
ERR1913280.236155__1.236155	357276__C3R9Y0__HMPREF1064_01889
ERR1913280.236263__1.236263	487174__K0X9T7__HMPREF9448_00996
ERR1913280.236466__1.236466	28116__F7L4X5__M089_2857
ERR1913280.236522__1.236522	39492__R6RT40__prkC_3
ERR1913280.236554__1.236554	39491__A0A174LTW7__DXD13_08720
ERR1913280.236567__1.236567	1262700__R5XTJ6__BN695_00425
ERR1913280.236626__1.236626	1262988__R7N3I4__BN816_01805
ERR1913280.236772__1.236772	28117__B0MVL5__BHV66_01660
ERR1913280.236803__1.236803	338188__A0A174FPA3__BACFIN_06857
ERR1913280.236989__1.236989	1262911__R6GQM3__BN557_01245
ERR1913280.236945__1.236945	39492__D4JRM9__bglB_2
ERR1913280.237466__1.237466	820__A7V780__adaA_3
ERR1913280.237474__1.237474	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913280.237627__1.237627	239935__A0A2N8HUU6__CXT90_06150
ERR1913280.237768__1.237768	1535__A7VS87__CLOLEP_01425
ERR1913280.237809__1.237809	40518__R5DZE2__DXD86_07400
ERR1913280.237980__1.237980	820__A7V9F9__B5G17_14640
ERR1913280.237993__1.237993	39488__A0A374NRX1__licR_1
ERR1913280.238050__1.238050	1263044__GCA_000433375.1_02419
ERR1913280.238234__1.238234	246787__A0A0P0GF82__HMPREF1062_02163
ERR1913280.238299__1.238299	1262700__R5XEQ4__BN695_01576
ERR1913280.238410__1.238410	338188__R6S1A3__spsA_1
ERR1913280.238594__1.238594	338188__R6S8N0__BACFIN_06127
ERR1913280.239022__1.239022	487174__K0WRI1__DIT83_06780
ERR1913280.239113__1.239113	47678__R5UUB5__ERS852558_00247
ERR1913280.239261__1.239261	338188__A0A1Q6HCN7__ptrA
ERR1913280.239275__1.239275	487174__K0X5B1__DDY40_01695
ERR1913280.239426__1.239426	823__A6LEF1__CF162_12695
ERR1913280.239545__1.239545	29361__B6FKH5__CLONEX_00621
ERR1913280.239607__1.239607	1262911__R6H0U7__BN557_01104
ERR1913280.239704__1.239704	820__A0A374Q854__HMPREF1073_03281
ERR1913280.240018__1.240018	28118__F9Z6D1__DER54_04565
ERR1913280.240031__1.240031	1263000__R5EWT9__BN466_02076
ERR1913280.240337__1.240337	1262700__R5XJU2__BN695_00943
ERR1913280.240346__1.240346	820__A0A3E4RTP0__C801_01067
ERR1913280.240542__1.240542	357276__A0A0K2HI25__DXD47_04465
ERR1913280.240584__1.240584	28117__B0MTV5__BHV66_06415
ERR1913280.240799__1.240799	47678__R5UUS9__ERS852558_01432
ERR1913280.240845__1.240845	239935__A0A2N8IRW0__A4V05_11620
ERR1913280.241117__1.241117	820__A0A174QLF0__SAMN05444418_109151
ERR1913280.241179__1.241179	1262700__R5XDY1__BN695_01269
ERR1913280.241396__1.241396	418240__C6JET3__ERS852478_01564
ERR1913280.241870__1.241870	820__A7V859__ERS852462_00341
ERR1913280.242016__1.242016	820__A0A174Q0F0__DXB48_08080
ERR1913280.242170__1.242170	572010__lepA
ERR1913280.242457__1.242457	239935__R6J5N6__CXT99_10770
ERR1913280.242492__1.242492	39491__A0A395ZHW3__ERS852417_01359
ERR1913280.242585__1.242585	410072__A0A174L0Z1__ERS852525_00863
ERR1913280.242667__1.242667	820__A0A139K2N9__DXB62_12420
ERR1913280.242688__1.242688	1160721__W0U3K4__RBI_I00339
ERR1913280.242976__1.242976	820__A0A174Q0F0__DXB48_08080
ERR1913280.243010__1.243010	166486__D4L0J8__ROSINTL182_08089
ERR1913280.243017__1.243017	301301__A0A395V4X8__ERS852391_01546
ERR1913280.243228__1.243228	1262911__R6GT99__BN557_01335
ERR1913280.243351__1.243351	847__C3X7Z1__BRW84_08980
ERR1913280.243481__1.243481	820__A0A3E4GA19__SAMN05444418_10562
ERR1913280.243776__1.243776	820__A0A1Y3V743__M093_0235
ERR1913280.244003__1.244003	820__A0A174CG08__DXB62_13215
ERR1913280.244021__1.244021	39492__D4JTF2__mutS2
ERR1913280.244038__1.244038	39492__D4JQS6__ykoD
ERR1913280.244264__1.244264	853__E2ZGD9__C7J97_11715
ERR1913280.244402__1.244402	820__A0A174Q0F0__DXB48_08080
ERR1913280.244768__1.244768	1262700__R5Y750__BN695_00786
ERR1913280.244896__1.244896	28116__A0A078Q626__HMPREF1070_02735
ERR1913280.244980__1.244980	39491__A0A396FIZ8__ERE_20410
ERR1913280.245100__1.245100	239935__A0A2N8HT44__CXT84_11035
ERR1913280.245111__1.245111	39491__A0A395V5R3__EUBREC_1883
ERR1913280.245247__1.245247	1263044__GCA_000433375.1_01436
ERR1913280.245258__1.245258	39485__A0A174YVL0__xynZ_2
ERR1913280.245259__1.245259	487174__K0X2W8__HMPREF9448_02611
ERR1913280.245385__1.245385	820__A0A174A6K0__M093_0079
ERR1913280.245409__1.245409	39491__A0A173VYV1__DXC13_02710
ERR1913280.245572__1.245572	39491__C4ZAT2__ERE_28440
ERR1913280.245591__1.245591	28117__B0MY34__BHV66_05195
ERR1913280.245784__1.245784	28117__B0MSS1__ALIPUT_00273
ERR1913280.245799__1.245799	33025__A0A395JE11__C8D73_101318
ERR1913280.245905__1.245905	216816__B3DP82__DVB78_09640
ERR1913280.245919__1.245919	360807__A0A173WJE3__mcp4_4
ERR1913280.245931__1.245931	1160721__W0U834__RBI_I01990
ERR1913280.246235__1.246235	310297__B5CV72__BACPLE_00601
ERR1913280.246272__1.246272	39491__C4Z9K0__DXD95_07445
ERR1913280.246301__1.246301	1680__A1A0V3__C8077_03025
ERR1913280.246565__1.246565	239935__A0A2N8HB50__CXU17_02615
ERR1913280.246543__1.246543	1263044__GCA_000433375.1_00682
ERR1913280.246583__1.246583	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913280.246718__1.246718	1262700__R5Y738__BN695_00776
ERR1913280.246734__1.246734	1262992__R5DC96__BN795_01524
ERR1913280.247167__1.247167	239935__A0A2N8I9P4__CXT85_05050
ERR1913280.247330__1.247330	28117__B0MTW8__ALIPUT_00502
ERR1913280.247446__1.247446	1262911__R6H1P0__BN557_00940
ERR1913280.247495__1.247495	1263044__GCA_000433375.1_01440
ERR1913280.247663__1.247663	1262911__R6GZX7__BN557_00838
ERR1913280.247597__1.247597	821__A0A0P0L8F8__ERS852509_03705
ERR1913280.247613__1.247613	360807__A0A1Q6SXK5__RIL183_06541
ERR1913280.247755__1.247755	239935__A0A2N8I6R6__CXU04_04335
ERR1913280.247932__1.247932	1262911__R6GPM2__BN557_00937
ERR1913280.248025__1.248025	33025__A0A395J8P0__C8D73_1144
ERR1913280.248004__1.248004	55565__G9PG54__CJ186_06190
ERR1913280.248143__1.248143	1522__G1VP46__CIAN88_18795
ERR1913280.248200__1.248200	820__A0A3E4G8F8__ERS852421_01645
ERR1913280.248372__1.248372	39491__D4JMW8__ERS852497_01971
ERR1913280.248683__1.248683	39491__A0A395V464__EUBREC_1509
ERR1913280.248695__1.248695	360807__A0A0M6WN30__RIL183_03801
ERR1913280.248766__1.248766	28117__B0N007__BHV66_10275
ERR1913280.248769__1.248769	33043__A0A173ZEP9__araC_1
ERR1913280.249038__1.249038	1262911__R6GU62__BN557_01488
ERR1913280.249305__1.249305	820__A7UYX8__DXD40_11635
ERR1913280.249434__1.249434	39491__A0A396FTE5__ERS852417_01346
ERR1913280.249425__1.249425	823__A6LEF1__CF162_12695
ERR1913280.249580__1.249580	820__A0A3E4G3J9__ERS852459_02265
ERR1913280.249916__1.249916	239935__R7E524__CXT91_06180
ERR1913280.250117__1.250117	823__K6AS99__ERS852429_01856
ERR1913280.250213__1.250213	820__A0A139KJ23__celCCA
ERR1913280.250346__1.250346	823__A6L930__DDY96_14995
ERR1913280.250577__1.250577	820__A0A1T4IY71__HMPREF2141_02402
ERR1913280.250532__1.250532	246787__A0A0P0GR24__BcellWH2_03263
ERR1913280.250597__1.250597	1262889__R7H954__BN634_00680
ERR1913280.250651__1.250651	1262911__R6GLF4__BN557_01493
ERR1913280.250710__1.250710	820__A0A139K1Y6__DXB48_02610
ERR1913280.250921__1.250921	847__C3XAU5__znuA
ERR1913280.250967__1.250967	1262911__R6H1J5__BN557_00905
ERR1913280.251015__1.251015	239935__R6J5N6__CXT99_10770
ERR1913280.251059__1.251059	820__R9I2U8__DXC68_09590
ERR1913280.251115__1.251115	338188__A0A174GXA9__bglX_10
ERR1913280.251137__1.251137	1262700__R5XCA0__BN695_00029
ERR1913280.251215__1.251215	820__A7V9F9__B5G17_14640
ERR1913280.251342__1.251342	823__A6LH14__B5F32_11640
ERR1913280.251491__1.251491	239935__A0A2N8ITX2__CXT86_11265
ERR1913280.251782__1.251782	39492__D4JT67__EUBSIR_01784
ERR1913280.251764__1.251764	39491__C4ZEW3__T1815_18241
ERR1913280.251810__1.251810	338188__C9KT46__BACFIN_05482
ERR1913280.251893__1.251893	239935__A0A139TPD4__CXT86_06450
ERR1913280.252187__1.252187	1263107__GCA_000436995.1_00168
ERR1913280.252134__1.252134	39491__A0A3E4YFT8__DXB69_10940
ERR1913280.252347__1.252347	47678__A5ZF31__DXB67_11050
ERR1913280.252350__1.252350	820__A7VAR9__ERS852421_00197
ERR1913280.252451__1.252451	820__R9HXK9__DXB62_08265
ERR1913280.253075__1.253075	1550024__G9RXV5__TQ39_13455
ERR1913280.253486__1.253486	28117__B0MY40__BHV66_05170
ERR1913280.253525__1.253525	1263044__GCA_000433375.1_01728
ERR1913280.253679__1.253679	328814__GCA_004558275.1_00834
ERR1913280.253826__1.253826	820__A7VAR9__ERS852421_00197
ERR1913280.253873__1.253873	1897011__A0A1Q6RE52__BHW41_04690
ERR1913280.253867__1.253867	1262700__R5XM04__BN695_00162
ERR1913280.253893__1.253893	338188__R6S8N0__BACFIN_06127
ERR1913280.254078__1.254078	1262736__R5Y6S0__BN496_00488
ERR1913280.254163__1.254163	1262743__R5C054__BN727_01980
ERR1913280.254184__1.254184	47678__R5UG30__ERS852558_03525
ERR1913280.254211__1.254211	820__R9HP61__DXC91_01090
ERR1913280.254217__1.254217	1150298__A0A174LLX0__dhaD
ERR1913280.254362__1.254362	39492__D4JU30__EUBSIR_00838
ERR1913280.254732__1.254732	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913280.254786__1.254786	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913280.254850__1.254850	1262700__R5Y7U2__BN695_00971
ERR1913280.255112__1.255112	28117__B0MTD2__ALIPUT_00428
ERR1913280.255179__1.255179	394340__proP_1
ERR1913280.255202__1.255202	357276__A0A076IYG1__B5F95_22465
ERR1913280.255424__1.255424	239935__A0A2N8IMD6__CXU03_05585
ERR1913280.255381__1.255381	239935__A0A2N8IDX4__CXU20_07380
ERR1913280.255389__1.255389	1262911__R6H1K1__BN557_00910
ERR1913280.255517__1.255517	246787__A0A0P0GV75__HMPREF1062_00095
ERR1913280.255747__1.255747	33025__A0A395JBU5__C8D73_10423
