ERR1913060.366__1.366	1262930__R6ACJ7__BN693_00131
ERR1913060.1683994__1.1683994	487174__K0XER9__DDY40_08885
ERR1913060.1684061__1.1684061	301301__A0A395V978__RHOM_08905
ERR1913060.1684070__1.1684070	2293125__A0A374C8A8__DW917_07550
ERR1913060.1684096__1.1684096	544644__GCA_001915615.1_01285
ERR1913060.1684170__1.1684170	853__D4KAK8__C4N21_13380
ERR1913060.1684184__1.1684184	823__A0A078S9Y4__M096_1441
ERR1913060.1684355__1.1684355	487174__K0X3E8__DIT83_11025
ERR1913060.1684446__1.1684446	821__I9R3W6__DXC16_12455
ERR1913060.1684558__1.1684558	39488__A0A174DGL6__EUBHAL_03262
ERR1913060.1684618__1.1684618	387661__B7B9X2__B5F96_13855
ERR1913060.1684734__1.1684734	1262930__R6A1N0__BN693_00917
ERR1913060.1684783__1.1684783	853__A0A174CVG7__CGS58_09335
ERR1913060.1684879__1.1684879	165179__D1PHC0__PREVCOP_06640
ERR1913060.1684905__1.1684905	1262930__R6AB27__BN693_00390
ERR1913060.1685002__1.1685002	357276__I8WEZ6__BACDOR_02323
ERR1913060.1685154__1.1685154	823__A0A174PAQ4__ERS852429_04218
ERR1913060.1685105__1.1685105	823__A0A355XIK0__CEQ22_011965
ERR1913060.1685243__1.1685243	166486__D4L458__ROSINTL182_07088
ERR1913060.1685431__1.1685431	823__A6LHU5__M092_0203
ERR1913060.1685505__1.1685505	2108523__A0A2P2F214__LAWASA_27
ERR1913060.1685556__1.1685556	1550024__G9RW43__TQ39_06925
ERR1913060.1685586__1.1685586	823__A0A355XH29__lolE_1
ERR1913060.1685672__1.1685672	310298__B3JMG0__BACCOP_03099
ERR1913060.1685744__1.1685744	46503__R6X0L4__DXB61_05325
ERR1913060.1685798__1.1685798	853__E2ZGD9__C7J97_11715
ERR1913060.1685971__1.1685971	116085__D4J8A4__DW747_06625
ERR1913060.1686020__1.1686020	33039__A0A174ZQJ6__ERS852530_06709
ERR1913060.1686067__1.1686067	1262739__R6M9P7__BN659_01903
ERR1913060.1686074__1.1686074	487174__K0X429__HMPREF9448_00932
ERR1913060.1686243__1.1686243	357276__A6L053__ABI39_04450
ERR1913060.1686327__1.1686327	853__A0A3E2U7E6__ERS852582_01640
ERR1913060.1686505__1.1686505	1262924__R7HSM4__BN585_00913
ERR1913060.1686513__1.1686513	33039__A0A174P3P0__ERS852424_01681
ERR1913060.1686694__1.1686694	310298__B3JK97__BACCOP_02326
ERR1913060.1686818__1.1686818	1628085__A0A2U1BE16__C7386_104119
ERR1913060.1686942__1.1686942	39496__A5Z7Y8__EUBVEN_01828
ERR1913060.1686948__1.1686948	823__A0A355XLS2__ERS852380_02644
ERR1913060.1687054__1.1687054	1262930__R6A6G2__BN693_00683
ERR1913060.1687059__1.1687059	2293125__A0A374C8A8__DW917_07550
ERR1913060.1687086__1.1687086	487174__K0X455__HMPREF9448_00399
ERR1913060.1687116__1.1687116	166486__D4L301__ROSINTL182_06234
ERR1913060.1687164__1.1687164	301301__A0A395V6Z6__ERS852391_00966
ERR1913060.1687146__1.1687146	821__A0A396FEL8__C5Z04_06030
ERR1913060.1687319__1.1687319	165179__R6B8D8__DXC61_09245
ERR1913060.1687498__1.1687498	310298__B3JED9__BACCOP_00230
ERR1913060.1687604__1.1687604	820__A0A174M9V5__M093_0237
ERR1913060.1687612__1.1687612	166486__D4KZA5__ERS852572_03317
ERR1913060.1687718__1.1687718	626932__G5H776__HMPREF9450_00919
ERR1913060.1687823__1.1687823	853__A0A3E2U7E6__ERS852582_01640
ERR1913060.1687830__1.1687830	818__A0A174N1L6__ERS852511_02039
ERR1913060.1687950__1.1687950	357276__I9QBT4__GV66_09000
ERR1913060.1687972__1.1687972	2293125__A0A374BSW4__DW917_13420
ERR1913060.1688110__1.1688110	2293125__A0A374CJ42__DW917_03305
ERR1913060.1688425__1.1688425	39488__R6GBC5__DXD91_06450
ERR1913060.1688658__1.1688658	301301__A0A395V5S1__ERS852391_01890
ERR1913060.1688809__1.1688809	204516__U6R7W5__HMPREF1534_03766
ERR1913060.1688905__1.1688905	165179__D1PGU8__PREVCOP_06463
ERR1913060.1689045__1.1689045	1263044__GCA_000433375.1_00023
ERR1913060.1689136__1.1689136	165179__R6B8D8__DXC61_09245
ERR1913060.1689190__1.1689190	823__A0A069SAX6__ERS852380_00710
ERR1913060.1689290__1.1689290	360807__C0FPW0__ROSEINA2194_00763
ERR1913060.1689368__1.1689368	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913060.1689242__1.1689242	2293125__A0A374BSW4__DW917_13420
ERR1913060.1689450__1.1689450	2293125__A0A374BUM7__DW917_12980
ERR1913060.1689551__1.1689551	418240__C6J8Y5__ERS852478_01177
ERR1913060.1689646__1.1689646	1261__D3MR67__SAMN05660467_01650
ERR1913060.1689744__1.1689744	823__A0A355XNV2__DXB14_15920
ERR1913060.1689861__1.1689861	46503__R6WYJ8__DXB85_13825
ERR1913060.1689898__1.1689898	820__A0A3E4PYB0__yejM
ERR1913060.1690210__1.1690210	820__A0A374MMF0__HMPREF1073_03811
ERR1913060.1690336__1.1690336	1776392__A0A1Y4SGY0__B5E75_14315
ERR1913060.1690317__1.1690317	310298__B3JLT9__BACCOP_02886
ERR1913060.1690351__1.1690351	371601__D6D2Q4__HMPREF1074_00826
ERR1913060.1690387__1.1690387	33039__D4M6V6__yjjG
ERR1913060.1690366__1.1690366	357276__I9F327__DXD47_22495
ERR1913060.1690612__1.1690612	39488__A0A374NJV6__EUBHAL_02710
ERR1913060.1690650__1.1690650	818__A0A0P0F004__SAMN02910322_02925
ERR1913060.1690712__1.1690712	820__A0A174M9V5__M093_0237
ERR1913060.1690878__1.1690878	2293125__A0A374C9I8__DW917_06795
ERR1913060.1690957__1.1690957	2293125__A0A374BY09__DW917_11855
ERR1913060.1691024__1.1691024	360807__A0A1Q6T8W5__ROSEINA2194_03072
ERR1913060.1691017__1.1691017	818__R7KZF1__C5Z03_07410
ERR1913060.1691050__1.1691050	39488__A0A374NPE4__EUBHAL_00845
ERR1913060.1691073__1.1691073	301301__A0A395V9A0__RHOM_08800
ERR1913060.1691119__1.1691119	33039__R6P284__spoIIIE
ERR1913060.1691226__1.1691226	1262930__R5ZWP2__BN693_01542
ERR1913060.1691519__1.1691519	823__A6LC27__DXB14_11470
ERR1913060.1691576__1.1691576	166486__R6AY46__ROSINTL182_06128
ERR1913060.1691714__1.1691714	1262924__R7HM72__BN585_01169
ERR1913060.1691790__1.1691790	166486__D4L1P3__ERS852572_00760
ERR1913060.1691801__1.1691801	487174__K0X551__HMPREF9448_02151
ERR1913060.1692043__1.1692043	310298__B3JQJ5__BACCOP_04231
ERR1913060.1692514__1.1692514	2293125__A0A374C4C8__DW917_09805
ERR1913060.1692501__1.1692501	2293125__A0A374BUM7__DW917_12980
ERR1913060.1692596__1.1692596	823__C7XBX3__HMPREF1059_03212
ERR1913060.1692676__1.1692676	165179__A0A3E5DN34__DXC61_07865
ERR1913060.1692778__1.1692778	28118__R6F7J8__Odosp_3206
ERR1913060.1692869__1.1692869	358742__A0A3E2WS72__DWX59_01515
ERR1913060.1693026__1.1693026	165179__A0A3E5ED28__PREVCOP_06655
ERR1913060.1693090__1.1693090	2293125__A0A374BSW4__DW917_13420
ERR1913060.1693209__1.1693209	357276__D1JZM4__HMPREF1065_01278
ERR1913060.1693267__1.1693267	39491__A0A2U2EED4__ERS852580_01584
ERR1913060.1693282__1.1693282	853__A0A2A7A628__CGS57_13755
ERR1913060.1693393__1.1693393	853__A0A2A7B1Y7__C7K05_11930
ERR1913060.1693466__1.1693466	853__A0A174C5M1__CGS58_04460
ERR1913060.1693477__1.1693477	165179__A0A229I2W6__PREVCOP_04332
ERR1913060.1693773__1.1693773	310298__B3JMG0__BACCOP_03099
ERR1913060.1693913__1.1693913	1262924__R7HRW9__BN585_00665
ERR1913060.1693991__1.1693991	821__A0A0P0L952__M097_4235
ERR1913060.1694029__1.1694029	166486__A0A173T114__ROSINTL182_05085
ERR1913060.1694087__1.1694087	165179__A0A3E5AER8__DXB80_07075
ERR1913060.1694109__1.1694109	853__A0A3E2U7E6__ERS852582_01640
ERR1913060.1694171__1.1694171	821__R7P1Q7__M099_2990
ERR1913060.1694251__1.1694251	1735__B7C9P4__EUBIFOR_00904
ERR1913060.1694414__1.1694414	2293125__A0A374C9I8__DW917_06795
ERR1913060.1694477__1.1694477	39491__A0A396FI89__DXD95_01300
ERR1913060.1694503__1.1694503	1262930__R6AX76__BN693_00292
ERR1913060.1694580__1.1694580	1262924__R7HLU6__BN585_01291
ERR1913060.1694603__1.1694603	165179__A0A174UTZ7__DXC61_06705
ERR1913060.1694668__1.1694668	357276__I9FGI3__EL88_12385
ERR1913060.1694931__1.1694931	310298__B3JQJ5__BACCOP_04231
ERR1913060.1694963__1.1694963	39491__A0A174LTW7__DXD13_08720
ERR1913060.1695069__1.1695069	853__E2ZJT1__C4N23_03535
ERR1913060.1695091__1.1695091	165179__A0A3E5AER8__DXB80_07075
ERR1913060.1695288__1.1695288	2293125__A0A374C9I8__DW917_06795
ERR1913060.1695303__1.1695303	2293125__A0A374BY09__DW917_11855
ERR1913060.1695337__1.1695337	1099853__U5CIZ3__NSB1T_04880
ERR1913060.1695596__1.1695596	821__A6L0C7__ERS852556_03520
ERR1913060.1695656__1.1695656	28118__R6F7J8__Odosp_3206
ERR1913060.1695739__1.1695739	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913060.1695917__1.1695917	853__D4JY61__C4N21_10560
ERR1913060.1695898__1.1695898	410072__C0BC88__DXD67_11180
ERR1913060.1695980__1.1695980	292800__A0A174M480__ADH75_04280
ERR1913060.1695987__1.1695987	2293125__A0A374BUM7__DW917_12980
ERR1913060.1695997__1.1695997	1262930__R5ZXL8__BN693_01321
ERR1913060.1696069__1.1696069	1262911__R6GPL1__BN557_00927
ERR1913060.1696242__1.1696242	46503__K5ZBF7__DD461_15285
ERR1913060.1696246__1.1696246	2293125__A0A374BUM7__DW917_12980
ERR1913060.1696254__1.1696254	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913060.1696316__1.1696316	166486__D4L458__ROSINTL182_07088
ERR1913060.1696332__1.1696332	166486__D4KNM9__ERS852572_00072
ERR1913060.1696530__1.1696530	166486__D4KUK5__thiM
ERR1913060.1696734__1.1696734	1322__C9L414__CGC63_13635
ERR1913060.1696969__1.1696969	46503__K5ZLB1__DD461_01070
ERR1913060.1697071__1.1697071	39488__A0A285PSK3__yihY
ERR1913060.1697117__1.1697117	166486__D4KZ04__ERS852572_01569
ERR1913060.1697163__1.1697163	2293125__A0A374BUM7__DW917_12980
ERR1913060.1697197__1.1697197	823__A0A355XGQ3__prmC
ERR1913060.1697204__1.1697204	818__A0A3E5HHE1__Btheta7330_00796
ERR1913060.1697207__1.1697207	39496__A5Z8T5__EUBVEN_02127
ERR1913060.1697233__1.1697233	818__A0A3E5HHE1__Btheta7330_00796
ERR1913060.1697552__1.1697552	165179__D1PGU8__PREVCOP_06463
ERR1913060.1697584__1.1697584	853__E2ZGD9__C7J97_11715
ERR1913060.1697602__1.1697602	357276__A0A0M1W1I8__ABI39_13620
ERR1913060.1697606__1.1697606	544644__GCA_001915615.1_00029
ERR1913060.1697749__1.1697749	39496__A5ZAL3__EUBVEN_02760
ERR1913060.1697941__1.1697941	823__A0A174LDE8__M096_3277
ERR1913060.1698021__1.1698021	821__A0A0P0M2J4__DXD46_10295
ERR1913060.1698099__1.1698099	853__E2ZGD9__C7J97_11715
ERR1913060.1698041__1.1698041	2293125__A0A374CJ42__DW917_03305
ERR1913060.1698220__1.1698220	165179__D1PHD6__DXC61_03380
ERR1913060.1698197__1.1698197	820__A0A3E5BMG9__DXD40_05130
ERR1913060.1698271__1.1698271	823__A0A355XLQ9__DXC05_02185
ERR1913060.1698430__1.1698430	853__A0A174BA00__DW905_01145
ERR1913060.1698431__1.1698431	457421__C5EFS9__CBFG_00771
ERR1913060.1698486__1.1698486	2293125__A0A374BUM7__DW917_12980
ERR1913060.1698597__1.1698597	820__R9HP61__DXC91_01090
ERR1913060.1698921__1.1698921	853__D4K7X0__DW905_09540
ERR1913060.1698922__1.1698922	39488__C0ET55__tauA
ERR1913060.1698927__1.1698927	166486__D4L346__ROSINTL182_06263
ERR1913060.1699019__1.1699019	166486__C7G8R8__ROSINTL182_06294
ERR1913060.1698971__1.1698971	2293125__A0A374BSW4__DW917_13420
ERR1913060.1699175__1.1699175	649756__L1PXG6__CL2_21620
ERR1913060.1699332__1.1699332	166486__D4L337__msbA_4
ERR1913060.1699377__1.1699377	357276__A0A076IYG1__B5F95_22465
ERR1913060.1699414__1.1699414	487174__K0XER9__DDY40_08885
ERR1913060.1699504__1.1699504	2293125__A0A374BSW4__DW917_13420
ERR1913060.1699575__1.1699575	357276__A0A0K2HI25__DXD47_04465
ERR1913060.1699767__1.1699767	823__A6L9W2__DXB14_07905
ERR1913060.1699881__1.1699881	820__R7E9Z4__DXC68_06065
ERR1913060.1700294__1.1700294	166486__D4KRN9__ERS852572_01822
ERR1913060.1700247__1.1700247	853__A0A2A7B1Y7__C7K05_11930
ERR1913060.1700255__1.1700255	28118__F9ZCN9__DHW44_07820
ERR1913060.1700407__1.1700407	166486__D4KWP5__ROSINTL182_06014
ERR1913060.1700355__1.1700355	88431__A0A174GCE2__ERS852423_01397
ERR1913060.1700417__1.1700417	39488__A0A173YJL3__EUBHAL_01681
ERR1913060.1700527__1.1700527	821__U6RDC2__DXD46_15675
ERR1913060.1700490__1.1700490	1263044__GCA_000433375.1_03394
ERR1913060.1700522__1.1700522	823__A0A173RD26__B5F32_03910
ERR1913060.1700734__1.1700734	39488__C0EVS1__ERS852450_02297
ERR1913060.1700791__1.1700791	1262930__R6ALR2__BN693_00077
ERR1913060.1700937__1.1700937	165179__D1PGU8__PREVCOP_06463
ERR1913060.1700952__1.1700952	218538__C9LPE5__GCWU000321_01424
ERR1913060.1700962__1.1700962	820__A0A174CG08__DXB62_13215
ERR1913060.1700970__1.1700970	360807__C0FQD4__codY
ERR1913060.1701003__1.1701003	1262930__R6A6G2__BN693_00683
ERR1913060.1701095__1.1701095	46506__B0NM94__HMPREF1181_03250
ERR1913060.1701162__1.1701162	2293125__A0A374BN09__DW917_16245
ERR1913060.1701225__1.1701225	853__A0A173TAZ8__DWZ46_14590
ERR1913060.1701319__1.1701319	823__A6LGI3__DXB14_09215
ERR1913060.1701503__1.1701503	487174__K0X773__DIT83_07170
ERR1913060.1701548__1.1701548	2293125__A0A374CMK5__DW917_00330
ERR1913060.1701555__1.1701555	1262746__R5S265__BN750_01952
ERR1913060.1701667__1.1701667	821__A0A396F598__CUU_3259
ERR1913060.1701700__1.1701700	216816__B3DNW2__BL171B_07980
ERR1913060.1701796__1.1701796	820__A0A374Q8T2__DXB64_16190
ERR1913060.1701852__1.1701852	214856__A0A174A0P3__ERS852447_00994
ERR1913060.1701931__1.1701931	310298__B3JQJ5__BACCOP_04231
ERR1913060.1701951__1.1701951	310298__B3JEE8__BACCOP_00239
ERR1913060.1701989__1.1701989	2293125__A0A374BUM7__DW917_12980
ERR1913060.1701993__1.1701993	410072__A0A174IE93__DXD67_12120
ERR1913060.1702104__1.1702104	410072__A0A174DIZ5__ERS852574_01258
ERR1913060.1702120__1.1702120	820__A7VAR9__ERS852421_00197
ERR1913060.1702187__1.1702187	165179__R6XLJ7__CFT61_06250
ERR1913060.1702163__1.1702163	360807__C0FR49__ROSEINA2194_01203
ERR1913060.1702224__1.1702224	818__A0A3E5GYI4__NCTC10582_00013
ERR1913060.1702510__1.1702510	1262930__R6A468__BN693_01366
ERR1913060.1702540__1.1702540	39488__A0A374NJ86__mltG
ERR1913060.1702567__1.1702567	371601__I9AGH0__BN890_47500
ERR1913060.1702614__1.1702614	2108523__A0A2P2F6V3__LAWASA_1735
ERR1913060.1702666__1.1702666	166486__D4L458__ROSINTL182_07088
ERR1913060.1703115__1.1703115	33025__A0A395JCA1__C8D73_102219
ERR1913060.1703125__1.1703125	165179__D1PHC0__PREVCOP_06640
ERR1913060.1703184__1.1703184	165179__A0A3E5AER8__DXB80_07075
ERR1913060.1703189__1.1703189	33039__A0A174ZHW3__ERS852424_00452
ERR1913060.1703208__1.1703208	218538__C9LPF0__GCWU000321_01429
ERR1913060.1703384__1.1703384	39491__A0A395ZDC6__addB
ERR1913060.1703385__1.1703385	216816__A0A396FVC5__BL71B_00290
ERR1913060.1703481__1.1703481	544644__GCA_001915615.1_01859
ERR1913060.1703511__1.1703511	818__Q89ZX6__ERS852511_03600
ERR1913060.1703584__1.1703584	165179__A0A3E5DN34__DXC61_07865
ERR1913060.1703764__1.1703764	47678__R5UPZ8__ERS852494_01752
ERR1913060.1703817__1.1703817	1262992__R5D3T4__BN795_00483
ERR1913060.1703852__1.1703852	261299__B0A8H8__tetD
ERR1913060.1703915__1.1703915	821__A0A3E4WAR6__DXD64_10735
ERR1913060.1703988__1.1703988	823__A0A355XN73__DXC05_07000
ERR1913060.1703994__1.1703994	165179__D1PHC0__PREVCOP_06640
ERR1913060.1704119__1.1704119	165179__D1PHC0__PREVCOP_06640
ERR1913060.1704120__1.1704120	820__A0A1Q6IDS8__chtA
ERR1913060.1704654__1.1704654	28118__F9Z5U0__sfp
ERR1913060.1704659__1.1704659	410072__C0B8G3__DXD67_01535
ERR1913060.1704831__1.1704831	39486__B0G7S5__DXD50_04355
ERR1913060.1704807__1.1704807	410072__A0A174B9D6__COPCOM_00384
ERR1913060.1704858__1.1704858	357276__B6W1J2__BACDOR_03380
ERR1913060.1705331__1.1705331	820__A0A396EWL3__ERS417307_03868
ERR1913060.1705506__1.1705506	47678__R5UXY0__CGC64_03535
ERR1913060.1705561__1.1705561	820__A0A3E4VZT7__DXB48_16145
ERR1913060.1705649__1.1705649	853__A0A3E2U7E6__ERS852582_01640
ERR1913060.1705621__1.1705621	46503__R6X0R5__DXB85_12380
ERR1913060.1705748__1.1705748	166486__D4KUC4__arcB_1
ERR1913060.1705910__1.1705910	1262992__R5CXM8__BN795_01024
ERR1913060.1706013__1.1706013	2293125__A0A374BSW4__DW917_13420
ERR1913060.1706035__1.1706035	823__A0A355XF06__B5F32_11480
ERR1913060.1706298__1.1706298	357276__B6VUQ5__B5F00_10940
ERR1913060.1706373__1.1706373	166486__D4L3V9__ROSINTL182_07680
ERR1913060.1706579__1.1706579	39486__R6SNR2__DXD18_05710
ERR1913060.1706631__1.1706631	310298__B3JNG7__BACCOP_03480
ERR1913060.1706667__1.1706667	821__A0A0P0M2J4__DXD46_10295
ERR1913060.1706711__1.1706711	1099853__U5CNF1__NSB1T_01130
ERR1913060.1706890__1.1706890	166486__D4KVZ4__sleB_3
ERR1913060.1706902__1.1706902	1262930__R5ZVG4__BN693_00969
ERR1913060.1706918__1.1706918	165179__D1PHC0__PREVCOP_06640
ERR1913060.1707336__1.1707336	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913060.1707350__1.1707350	1262930__R6AAD1__BN693_01367
ERR1913060.1707368__1.1707368	853__A0A173TAZ8__DWZ46_14590
ERR1913060.1707532__1.1707532	46503__R6Y449__ERS852463_00137
ERR1913060.1707709__1.1707709	310298__B3JJX9__BACCOP_02203
ERR1913060.1708094__1.1708094	823__A0A395YX30__M090_4590
ERR1913060.1708186__1.1708186	357276__I9FRW5__B5F95_21685
ERR1913060.1708288__1.1708288	853__A0A173YYY4__DWZ04_09420
ERR1913060.1708367__1.1708367	1099853__G9S871__NSB1T_02700
ERR1913060.1708528__1.1708528	165179__A0A3E5E4T9__DXB80_08030
ERR1913060.1708666__1.1708666	821__A6L0C7__ERS852556_03520
ERR1913060.1708808__1.1708808	1262930__R6ADH9__BN693_01876
ERR1913060.1708886__1.1708886	46503__R6X1R0__ERS852463_00596
ERR1913060.1709089__1.1709089	165179__R6XLJ7__CFT61_06250
ERR1913060.1709067__1.1709067	1735__B7CBP5__EUBIFOR_01620
ERR1913060.1709125__1.1709125	626933__H1DGX0__HMPREF9449_01506
ERR1913060.1709146__1.1709146	1628085__A0A1C5XX26__C7386_10235
ERR1913060.1709363__1.1709363	487174__K0X0F6__HMPREF9448_01444
ERR1913060.1709536__1.1709536	46503__K5ZV67__PARMER_03859
ERR1913060.1709538__1.1709538	1680__R5GR82__AD0028_0014
ERR1913060.1709603__1.1709603	2293125__A0A374BLR6__DW917_15555
ERR1913060.1709640__1.1709640	46503__R6WQ01__PARMER_03826
ERR1913060.1709685__1.1709685	853__A0A173YYY4__DWZ04_09420
ERR1913060.1709855__1.1709855	39488__A0A174GS53__dnaC_1
ERR1913060.1709942__1.1709942	39496__A5Z778__EUBVEN_01561
ERR1913060.1710253__1.1710253	487174__K0WX70__DDY40_01710
ERR1913060.1710263__1.1710263	357276__I9QBT7__BSEG_03340
ERR1913060.1710372__1.1710372	310298__B3JQJ5__BACCOP_04231
ERR1913060.1710625__1.1710625	820__A0A374Q351__DXD40_05850
ERR1913060.1710650__1.1710650	310298__B3JQ37__BACCOP_04069
ERR1913060.1710671__1.1710671	626929__F3PKG7__SAMN05444376_0720
ERR1913060.1710823__1.1710823	1262992__R5D3X7__BN795_00539
ERR1913060.1710826__1.1710826	1262739__R6MRD4__BN659_02013
ERR1913060.1710873__1.1710873	853__A0A174CVG7__CGS58_09335
ERR1913060.1711016__1.1711016	544644__GCA_001915615.1_00013
ERR1913060.1711061__1.1711061	357276__I9QBT7__BSEG_03340
ERR1913060.1711125__1.1711125	820__R9I3Q7__HMPREF1072_01668
ERR1913060.1711450__1.1711450	820__A0A396EUV1__B5G17_06465
ERR1913060.1711577__1.1711577	166486__D4L449__ROSINTL182_08802
ERR1913060.1711644__1.1711644	821__A0A174JYD3__ERS852457_02610
ERR1913060.1711617__1.1711617	820__A0A173XIP7__B5G17_16050
ERR1913060.1711833__1.1711833	166486__A0A173T114__ROSINTL182_05085
ERR1913060.1711939__1.1711939	1628085__A0A374VUI1__C7386_11920
ERR1913060.1711953__1.1711953	166486__A0A173VSA0__ROSINTL182_06124
ERR1913060.1711995__1.1711995	46503__R6WYJ8__DXB85_13825
ERR1913060.1712006__1.1712006	166486__D4KXK8__xynB_1
ERR1913060.1712026__1.1712026	39488__A0A174JWI1__sipT_2
ERR1913060.1712061__1.1712061	165179__A0A3E5DY64__CFT61_10025
ERR1913060.1712149__1.1712149	310298__B3JJG1__BACCOP_02031
ERR1913060.1712199__1.1712199	818__A0A0P0FT56__BSIG_1453
ERR1913060.1712297__1.1712297	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.1712341__1.1712341	418240__A0A174AUI7__ERS852478_00883
ERR1913060.1712395__1.1712395	821__D4VD59__BHV80_04260
ERR1913060.1712502__1.1712502	2293125__A0A374C8A8__DW917_07550
ERR1913060.1712712__1.1712712	166486__D4KVX6__ROSINTL182_06735
ERR1913060.1712934__1.1712934	410072__A0A173YGR9__ERS852389_00952
ERR1913060.1713035__1.1713035	2293125__A0A374C0L7__DW917_11510
ERR1913060.1713068__1.1713068	166486__C7GFB3__ERS852572_03826
ERR1913060.1713156__1.1713156	46503__R6Y837__PARMER_03866
ERR1913060.1713214__1.1713214	410072__A0A173XQG6__ERS852574_01620
ERR1913060.1713324__1.1713324	2293125__A0A374BUM7__DW917_12980
ERR1913060.1713364__1.1713364	357276__A0A076IYG1__B5F95_22465
ERR1913060.1713479__1.1713479	823__A0A174LDE8__M096_3277
ERR1913060.1713524__1.1713524	166486__D4KYB5__mcp3_2
ERR1913060.1713561__1.1713561	165179__A0A3E5AER8__DXB80_07075
ERR1913060.1713643__1.1713643	853__A0A173YYY4__DWZ04_09420
ERR1913060.1713665__1.1713665	310298__B3JQJ5__BACCOP_04231
ERR1913060.1713737__1.1713737	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.1713834__1.1713834	2108523__A0A2P2F8Z8__LAWASA_2511
ERR1913060.1713870__1.1713870	820__A0A078S4C2__ERS417307_00828
ERR1913060.1714014__1.1714014	310298__B3JQJ5__BACCOP_04231
ERR1913060.1714286__1.1714286	1262930__R6AAD1__BN693_01367
ERR1913060.1714379__1.1714379	2293125__A0A374BUM7__DW917_12980
ERR1913060.1714457__1.1714457	357276__I9QWD4__DXD47_15075
ERR1913060.1714519__1.1714519	821__A6L0C7__ERS852556_03520
ERR1913060.1714541__1.1714541	1150298__A0A174S4G4__dacB_1
ERR1913060.1714542__1.1714542	1262948__R7ED37__BN671_00777
ERR1913060.1714560__1.1714560	384638__B7APR1__BACPEC_00667
ERR1913060.1714795__1.1714795	39488__A0A285PT25__EUBHAL_01908
ERR1913060.1715070__1.1715070	853__E2ZGD9__C7J97_11715
ERR1913060.1715334__1.1715334	1735__B7CCF2__EUBIFOR_01879
ERR1913060.1715438__1.1715438	310298__B3JGJ2__BACCOP_00994
ERR1913060.1715456__1.1715456	166486__D4KWZ7__cph2_5
ERR1913060.1715534__1.1715534	28116__E5C5U2__HMPREF2532_02418
ERR1913060.1715663__1.1715663	28118__R6FFC1__Odosp_2660
ERR1913060.1715756__1.1715756	1262930__R5ZZI5__BN693_01682
ERR1913060.1715838__1.1715838	1262924__R7HML0__BN585_01508
ERR1913060.1715852__1.1715852	39488__A0A285PQ61__ERS852578_00704
ERR1913060.1715928__1.1715928	410072__C0B785__ERS852574_00808
ERR1913060.1716076__1.1716076	39486__B0G9K3__DXD18_11205
ERR1913060.1716319__1.1716319	310298__B3JQJ5__BACCOP_04231
ERR1913060.1716345__1.1716345	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.1716551__1.1716551	626930__F3PR68__HMPREF9446_01218
ERR1913060.1716710__1.1716710	310298__B3JQJ5__BACCOP_04231
ERR1913060.1716804__1.1716804	165179__A0A174SA26__PREVCOP_05758
ERR1913060.1716894__1.1716894	821__A0A174V2F3__NCTC10583_01474
ERR1913060.1717049__1.1717049	166486__D4KVA1__ROSINTL182_06909
ERR1913060.1717137__1.1717137	821__A6L0C7__ERS852556_03520
ERR1913060.1717289__1.1717289	821__E5UPR6__SAMN04487923_101768
ERR1913060.1717408__1.1717408	823__D7IUM6__M091_1082
ERR1913060.1717439__1.1717439	1262930__R6A1X5__BN693_02075
ERR1913060.1717495__1.1717495	166486__D4KXE5__ERS852572_01168
ERR1913060.1717498__1.1717498	823__A6LEF3__ERS852560_01356
ERR1913060.1717710__1.1717710	39488__A0A174JH77__EUBHAL_03278
ERR1913060.1717867__1.1717867	39488__A0A174CPK1__yyaC
ERR1913060.1717961__1.1717961	310298__B3JQJ5__BACCOP_04231
ERR1913060.1718040__1.1718040	166486__D4KY84__ERS852572_02606
ERR1913060.1718090__1.1718090	487174__R5F2W8__HMPREF9448_01730
ERR1913060.1718097__1.1718097	820__A0A139KHX1__HMPREF2141_00289
ERR1913060.1718173__1.1718173	410072__C0B9A1__COPCOM_01727
ERR1913060.1718330__1.1718330	823__A6L9W2__DXB14_07905
ERR1913060.1718415__1.1718415	410072__C0BES0__ERS852389_01714
ERR1913060.1718725__1.1718725	371601__A0A139LNL6__ERS852396_04350
ERR1913060.1718780__1.1718780	823__A0A355XJT5__ERS852429_03504
ERR1913060.1718897__1.1718897	28118__F9ZCN2__DF785_09230
ERR1913060.1719041__1.1719041	818__A0A0P0FI06__BJP75_017205
ERR1913060.1719198__1.1719198	1262930__R6AUX8__BN693_00160
ERR1913060.1719217__1.1719217	310298__B3JQJ5__BACCOP_04231
ERR1913060.1719328__1.1719328	823__D0TAX5__HMPREF1075_01064
ERR1913060.1719473__1.1719473	818__A0A139L1D5__BT_2967
ERR1913060.1719493__1.1719493	360807__C0FYL6__ROSEINA2194_03855
ERR1913060.1719717__1.1719717	821__A0A174V2F3__NCTC10583_01474
ERR1913060.1719747__1.1719747	46503__A7AG53__DD461_14240
