ERR1913217.134__1.134	1624__A0A089QH34__B6U42_07040
ERR1913217.159534__1.159534	1550024__A0A3B9WIW5__TQ39_04755
ERR1913217.159786__1.159786	823__A0A073IAS1__M091_0201
ERR1913217.160055__1.160055	239935__A0A2N8HQY4__CXT99_03170
ERR1913217.160189__1.160189	158787__A0A087D7V7__BSCA_1978
ERR1913217.160202__1.160202	74426__gap
ERR1913217.160517__1.160517	151535__GeneID:920293
ERR1913217.160559__1.160559	227942__A0A0R1VCE6__FC60_GL001445
ERR1913217.160668__1.160668	1624__A0A385XN09__B6U44_01760
ERR1913217.160676__1.160676	1318__A0A3E4U5C6__TZ97_00998
ERR1913217.160704__1.160704	40518__R5DW64__RBL236_01394
ERR1913217.160721__1.160721	820__A0A3E4VXP2__yesR
ERR1913217.160842__1.160842	1262911__R6GPI7__BN557_00907
ERR1913217.161041__1.161041	357276__A0A0K2HHN3__GV66_08845
ERR1913217.161150__1.161150	2173__A0A1D2WXI2__METSMIF1_02140
ERR1913217.161201__1.161201	165179__D1PB89__DXC61_08425
ERR1913217.161212__1.161212	239935__A0A2N8IMD6__CXU03_05585
ERR1913217.161481__1.161481	28116__A0A395VUS9__DXD69_03560
ERR1913217.161526__1.161526	151538__GeneID:920449
ERR1913217.161713__1.161713	820__A7VAS1__HMPREF2141_03259
ERR1913217.161857__1.161857	39485__A0A174YZZ2__ERS852492_00215
ERR1913217.161976__1.161976	239935__A0A139TM51__CXT91_12120
ERR1913217.161924__1.161924	1550024__G9RXY7__TQ39_00100
ERR1913217.161998__1.161998	1550024__G9RVD5__ASJ35_04350
ERR1913217.162027__1.162027	357276__B6W1J2__BACDOR_03380
ERR1913217.162321__1.162321	853__A0A174C5M1__CGS58_04460
ERR1913217.162322__1.162322	1160721__R6TGH1__BHW50_05060
ERR1913217.162326__1.162326	40518__R5DV58__htrA
ERR1913217.162478__1.162478	246787__I9QX02__HMPREF1062_01641
ERR1913217.162866__1.162866	239935__A0A2N8IRW0__A4V05_11620
ERR1913217.162982__1.162982	1262911__R6H2J2__BN557_01228
ERR1913217.163087__1.163087	39485__C4Z0F4__ERS852490_00945
ERR1913217.163147__1.163147	1263006__R6LY93__BN515_00695
ERR1913217.163393__1.163393	47770__C7XJL2__AYP96_00230
ERR1913217.163507__1.163507	1262882__R5MLP5__BN519_01602
ERR1913217.163975__1.163975	1624__A0A1V9SK95__A8C44_02370
ERR1913217.164755__1.164755	1262882__R5MGX3__BN519_00046
ERR1913217.164826__1.164826	1263006__R6LWH5__BN515_00768
ERR1913217.164833__1.164833	820__A0A139K5E7__DXC68_09550
ERR1913217.164926__1.164926	78258__E6K1V5__HMPREF9017_01173
ERR1913217.164969__1.164969	2108523__A0A2P2F214__LAWASA_27
ERR1913217.165138__1.165138	239935__A0A2N8I3G2__CXT89_00720
ERR1913217.165335__1.165335	1263006__R6LR21__BN515_00462
ERR1913217.165545__1.165545	301301__A0A395V573__RHOM_13925
ERR1913217.165503__1.165503	1099853__G9S297__NSB1T_13915
ERR1913217.165634__1.165634	29361__B6FTH3__CLONEX_03450
ERR1913217.165885__1.165885	357276__C3R5C9__HMPREF1063_00213
ERR1913217.166141__1.166141	820__A0A374Q8T2__DXB64_16190
ERR1913217.166331__1.166331	1680__A1A2N8__LMG10734_1314
ERR1913217.166503__1.166503	357276__A0A076IXE0__HMPREF1064_04364
ERR1913217.166439__1.166439	357276__I8WC65__EL88_00520
ERR1913217.166586__1.166586	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913217.166661__1.166661	301301__A0A395V7N0__ERS852391_02330
ERR1913217.166828__1.166828	40520__A5ZY33__DXC87_11790
ERR1913217.166993__1.166993	1624__A0A385XP25__HMPREF9269_0593
ERR1913217.167016__1.167016	239935__B2URG6__CXU02_00030
ERR1913217.167023__1.167023	2173__R7PT68__Msm_0886
ERR1913217.167351__1.167351	40518__R5E4Y8__RBATCC27255_01448
ERR1913217.167559__1.167559	1263006__R6LY37__BN515_01224
ERR1913217.167853__1.167853	820__A0A3E4PYB0__yejM
ERR1913217.168082__1.168082	1680__A0A174BEE7__BSTER_1311
ERR1913217.168172__1.168172	1262911__R6H054__BN557_00908
ERR1913217.168361__1.168361	40518__R5DV66__DXD83_04215
ERR1913217.168368__1.168368	40518__R5E6X5__sbcD
ERR1913217.168606__1.168606	1147152__GeneID:14181982
ERR1913217.169083__1.169083	1624__F7QST1__A8C34_07585
ERR1913217.169098__1.169098	29466__D1BPN3__HSIVP1_1631
ERR1913217.169133__1.169133	1262882__R5MRS7__BN519_01490
ERR1913217.169381__1.169381	40518__R5DP21__RBATCC27255_00348
ERR1913217.169285__1.169285	239935__A0A2N8IU45__DEF40_02365
ERR1913217.169725__1.169725	1547597__A0A0C3MEN6__BA92_07770
ERR1913217.170065__1.170065	1262882__R5MGX3__BN519_00046
ERR1913217.170068__1.170068	820__A0A1Y3V743__M093_0235
ERR1913217.170101__1.170101	1263006__R6LHU1__BN515_01203
ERR1913217.170167__1.170167	1262911__R6H2J2__BN557_01228
ERR1913217.170440__1.170440	39491__A0A173TFQ1__rsmF
ERR1913217.170586__1.170586	1160721__R6TC37__BHW50_00820
ERR1913217.171085__1.171085	1680__A0A174BEE7__BSTER_1311
ERR1913217.171338__1.171338	1262911__R6H212__BN557_01031
ERR1913217.171378__1.171378	239935__B2URG6__CXU02_00030
ERR1913217.171413__1.171413	239935__A0A2N8IF99__lpdA
ERR1913217.171496__1.171496	40518__R5DW64__RBL236_01394
ERR1913217.171504__1.171504	1263006__R6LQF9__BN515_02202
ERR1913217.171524__1.171524	239935__R6J776__CXU07_02355
ERR1913217.171845__1.171845	1550024__G9RPI3__ASJ35_09180
ERR1913217.171849__1.171849	820__A0A173YYG4__evgS_3
ERR1913217.171925__1.171925	33039__D4M286__ERS852502_02380
ERR1913217.172018__1.172018	301301__A0A395VEJ3__hupR1
ERR1913217.172167__1.172167	1160721__R6UAE5__BHW50_03280
ERR1913217.172120__1.172120	357276__I9FTR0__HMPREF1065_02861
ERR1913217.172128__1.172128	823__A0A174VHT1__DHP27_04775
ERR1913217.172218__1.172218	78258__E6JZJ9__PSDT_0599
ERR1913217.172222__1.172222	1263006__R6LM98__BN515_00610
ERR1913217.172301__1.172301	1263000__R5EHB0__BN466_01647
ERR1913217.172332__1.172332	301301__A0A395VCJ3__cbiT
ERR1913217.172473__1.172473	820__A0A3E4RUC4__DHU98_02635
ERR1913217.172519__1.172519	40518__R5DXH2__DXD83_10135
ERR1913217.172791__1.172791	1680__A7A7Z9__AAX71_05385
ERR1913217.172934__1.172934	1550024__A0A0D8J3P2__TQ39_00965
ERR1913217.173021__1.173021	820__A7UYX8__DXD40_11635
ERR1913217.173083__1.173083	239935__R7E524__CXT91_06180
ERR1913217.173121__1.173121	74426__sufB
ERR1913217.173195__1.173195	999425__K8MX24__HMPREF9186_00483
ERR1913217.173258__1.173258	357276__A0A0K2HJA6__DXD47_07320
ERR1913217.173769__1.173769	1263000__R5F0H8__BN466_00254
ERR1913217.173793__1.173793	1263006__R6ML09__BN515_00769
ERR1913217.173800__1.173800	1111760__A0A1L7LLM3__SRT_18360
ERR1913217.173954__1.173954	2173__A0A1D2WXE6__Msm_0136
ERR1913217.174119__1.174119	562__P08371__RW92_04043
ERR1913217.174086__1.174086	821__A0A078R9Y9__M097_2119
ERR1913217.174208__1.174208	1262882__R5MEN9__BN519_00201
ERR1913217.174300__1.174300	820__R9I3Q7__HMPREF1072_01668
ERR1913217.174419__1.174419	626940__E8LEW0__BN587_02177
ERR1913217.174606__1.174606	820__A0A173WUD7__DXB48_08055
ERR1913217.174933__1.174933	820__A0A396EUU8__luxQ_3
ERR1913217.174999__1.174999	239935__A0A2N8I9P4__CXT85_05050
ERR1913217.175024__1.175024	301301__A0A395VDR8__ERS852391_00554
ERR1913217.175204__1.175204	2173__A0A1D2WTP5__BK798_02785
ERR1913217.175417__1.175417	39492__D4JSS2__EUBSIR_00553
ERR1913217.175381__1.175381	649756__A0A173RL48__ERS852571_00544
ERR1913217.175499__1.175499	239935__A0A2N8IRW0__A4V05_11620
ERR1913217.175920__1.175920	357276__D1JZM4__HMPREF1065_01278
ERR1913217.176035__1.176035	1624__F7QVZ7__A8C52_08820
ERR1913217.176222__1.176222	1550024__G9RWG1__ASJ35_03770
ERR1913217.176286__1.176286	301301__G2SZ87__RHOM_00995
ERR1913217.176510__1.176510	158787__A0A087DE09__BBSC_0018
ERR1913217.176814__1.176814	820__A0A3E4GA19__SAMN05444418_10562
ERR1913217.176965__1.176965	1263006__R6LYS1__BN515_01485
ERR1913217.177117__1.177117	239935__B2UQB8__CXT86_01740
ERR1913217.177384__1.177384	1550024__G9RZG5__TQ39_11180
ERR1913217.177414__1.177414	1262882__R5MH62__BN519_00734
ERR1913217.177549__1.177549	239935__A0A2N8I3G2__CXT89_00720
ERR1913217.177513__1.177513	74426__nifJ
ERR1913217.177526__1.177526	40518__R5DMC7__blaR1
ERR1913217.177583__1.177583	301301__A0A395VEZ0__mcp4_1
ERR1913217.177664__1.177664	357276__I8WBQ9__HMPREF1065_03212
ERR1913217.177797__1.177797	357276__I9F327__DXD47_22495
ERR1913217.177813__1.177813	301301__A0A174EZ95__graS_1
ERR1913217.177830__1.177830	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913217.177868__1.177868	1680__A0A173XYA2__B0703_0121
ERR1913217.177930__1.177930	820__A7VAR9__ERS852421_00197
ERR1913217.177936__1.177936	1680__A7A7Z9__AAX71_05385
ERR1913217.177969__1.177969	357276__C3R5A0__B5F00_02960
ERR1913217.178165__1.178165	239935__A0A2N8ITX2__CXT86_11265
ERR1913217.178433__1.178433	1263006__R6LRT3__BN515_00657
ERR1913217.178456__1.178456	147206__GCF_000156215.1_01775
ERR1913217.178524__1.178524	357276__I9R002__HMPREF1064_01826
ERR1913217.178549__1.178549	1550024__G9RWQ7__ASJ35_03880
ERR1913217.178579__1.178579	1263006__R6LTP2__BN515_01199
ERR1913217.178620__1.178620	1680__A0A2R4G1K8__BBMN23_0315
ERR1913217.178711__1.178711	1262911__R6H1K1__BN557_00910
ERR1913217.178760__1.178760	820__A0A139K2N9__DXB62_12420
ERR1913217.178794__1.178794	40518__R5DX93__DXD93_03055
ERR1913217.178890__1.178890	1262930__R6AXR1__BN693_00352
ERR1913217.178996__1.178996	46228__V8CH54__RUMLAC_00903
ERR1913217.179522__1.179522	301301__A0A395VBY5__yfiN_1
ERR1913217.179614__1.179614	1680__A0A087DLC6__C8077_00815
ERR1913217.179559__1.179559	239935__R6IZU4__CXT87_08085
ERR1913217.179562__1.179562	301301__G2SZK8__ERS852391_00581
ERR1913217.179687__1.179687	1358__P0A4N7__CRM88_09405
ERR1913217.179921__1.179921	40518__R5E4V5__RBL263_01242
ERR1913217.179993__1.179993	1147152__GeneID:14181982
ERR1913217.180010__1.180010	1432052__A0A1E3UK83__BEI61_05652
ERR1913217.180135__1.180135	823__A0A395YRW4__DD466_15895
ERR1913217.180220__1.180220	1628085__A0A2U1B8S0__C7386_11465
ERR1913217.180404__1.180404	1263006__R6LPZ5__BN515_02090
ERR1913217.180498__1.180498	1263006__R6LUL0__BN515_01517
ERR1913217.180506__1.180506	1263006__R6MLL2__BN515_00946
ERR1913217.180695__1.180695	1550024__A0A0D8J1Q0__ASJ35_04495
ERR1913217.180758__1.180758	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913217.180813__1.180813	1262911__R6H2J2__BN557_01228
ERR1913217.180828__1.180828	239935__A0A2N8IU45__DEF40_02365
ERR1913217.181269__1.181269	1550024__G9RXI8__TQ39_11495
ERR1913217.181362__1.181362	1262882__R5MLE6__BN519_01423
ERR1913217.181372__1.181372	357276__B6VW91__BACDOR_01584
ERR1913217.181466__1.181466	1263064__GCA_000431175.1_02925
ERR1913217.181696__1.181696	1262911__R6GQM3__BN557_01245
ERR1913217.181803__1.181803	1262911__R6HN87__BN557_00926
ERR1913217.182112__1.182112	301301__A0A395VA63__sbcC
ERR1913217.182113__1.182113	626940__R6WLE3__BN587_00781
ERR1913217.182056__1.182056	820__A0A174R952__DXB48_02570
ERR1913217.182236__1.182236	820__A0A3E4G493__ERS417307_00253
ERR1913217.182262__1.182262	1550024__G9RNX5__ASJ35_11740
ERR1913217.182417__1.182417	820__A0A174R952__DXB48_02570
ERR1913217.182451__1.182451	820__A0A174G065__DXB62_08975
ERR1913217.182525__1.182525	1550024__A0A0D8J0L2__ASJ35_04680
ERR1913217.182548__1.182548	1263006__R6LXR8__BN515_01161
ERR1913217.182590__1.182590	40518__R5DTW7__phoU
ERR1913217.182772__1.182772	1550024__A0A3B9WJZ9__TQ39_02585
ERR1913217.182710__1.182710	40518__R5DME2__DXD86_07315
ERR1913217.182718__1.182718	1624__A0A385XLX3__LsR_01407
ERR1913217.182880__1.182880	357276__A0A076J8M3__ABI39_13695
ERR1913217.182843__1.182843	1262882__R5ML49__BN519_01361
ERR1913217.182910__1.182910	2173__A0A1D2WW38__METSMIF1_03111
ERR1913217.182934__1.182934	1681__A0A3E4TVZ7__DD715_06415
ERR1913217.183040__1.183040	28116__A7M344__BACOV975_04644
ERR1913217.183076__1.183076	1147152__GeneID:14181982
ERR1913217.183084__1.183084	357276__A0A0K2HKT7__B5F95_21090
ERR1913217.183091__1.183091	1262911__R6HN81__BN557_00921
ERR1913217.183191__1.183191	1680__A7A2Y2__NCTC11814_00537
ERR1913217.183224__1.183224	40518__R5DXI4__DXD86_07420
ERR1913217.183375__1.183375	239935__R6JFR5__CXT84_04850
ERR1913217.183623__1.183623	820__A0A374Q351__DXD40_05850
ERR1913217.183661__1.183661	1550024__G9RZN9__ASJ35_05735
ERR1913217.183784__1.183784	1263006__R6LGA5__BN515_00076
ERR1913217.183787__1.183787	1263006__R6LN84__BN515_01543
ERR1913217.183903__1.183903	1263109__GCA_000438135.1_00481
ERR1913217.184000__1.184000	820__A0A174VD39__DXD90_12235
ERR1913217.184113__1.184113	246787__R6LGA6__tmoS_11
ERR1913217.184154__1.184154	1624__A0A385XPV1__B6U38_03440
ERR1913217.184351__1.184351	1263000__R5EMU9__BN466_00667
ERR1913217.184365__1.184365	820__A0A174P0L5__glcK_3
ERR1913217.184327__1.184327	1739341__S9SWB6__HMPREF2837_10215
ERR1913217.184336__1.184336	40518__R5DUG7__sbcC
ERR1913217.184672__1.184672	301301__A0A395VAM3__yfiN_2
ERR1913217.184640__1.184640	471189__GCA_003340385.1_00346
ERR1913217.184708__1.184708	1263006__R6LR21__BN515_00462
ERR1913217.184734__1.184734	820__I9TWZ7__DXC80_10550
ERR1913217.184742__1.184742	39488__A0A173V2K5__EHLA_3132
ERR1913217.184978__1.184978	823__A0A355XKQ8__DHP27_04010
ERR1913217.185084__1.185084	301301__A0A395VA99__rpfG_5
ERR1913217.185159__1.185159	820__A0A139KH21__DXC80_01780
ERR1913217.185389__1.185389	28118__R6F4F9__Odosp_1027
ERR1913217.185466__1.185466	301301__G2T455__RHOM_11960
ERR1913217.185495__1.185495	1099853__G9S127__NSB1T_01845
ERR1913217.185508__1.185508	1624__F7QWW8__DBP89_09915
ERR1913217.185551__1.185551	823__A6LC27__DXB14_11470
ERR1913217.185643__1.185643	1262911__R6H1K1__BN557_00910
ERR1913217.185675__1.185675	74426__sugC
ERR1913217.186132__1.186132	1262911__R6GS70__BN557_00854
ERR1913217.186334__1.186334	1262882__R5N526__BN519_01603
ERR1913217.186373__1.186373	820__A0A173YYG4__evgS_3
ERR1913217.186414__1.186414	820__A7VAR9__ERS852421_00197
ERR1913217.186497__1.186497	1262992__R5DGC6__BN795_00540
ERR1913217.186689__1.186689	1262803__R6NL95__BN649_00814
ERR1913217.186794__1.186794	1099853__R7DKZ4__NSB1T_03875
ERR1913217.186771__1.186771	1262911__R6H1A6__BN557_01286
ERR1913217.186951__1.186951	820__A0A174B4N2__M093_2531
ERR1913217.187055__1.187055	40518__R5DP91__RBL236_00890
ERR1913217.187060__1.187060	1263006__R6LTR6__BN515_01217
ERR1913217.187027__1.187027	40518__R5DT93__DXD86_08730
ERR1913217.187717__1.187717	40518__R5DU74__RBATCC27255_00707
ERR1913217.188153__1.188153	1550024__A0A0D8IYY8__TQ39_09180
ERR1913217.188318__1.188318	1550024__A0A0D8IYM8__ASJ35_18670
ERR1913217.188401__1.188401	1680__R5GRA4__ERS852382_01548
ERR1913217.188495__1.188495	820__A7V8C2__ERS852554_01338
ERR1913217.188635__1.188635	1263006__R6LMG0__BN515_01213
ERR1913217.188737__1.188737	1262911__R6GS70__BN557_00854
ERR1913217.188747__1.188747	1262882__R5MH82__BN519_00752
ERR1913217.188800__1.188800	78258__E6K0N8__A200_06973
ERR1913217.188860__1.188860	712121__L1PHY6__HMPREF9061_00800
ERR1913217.188915__1.188915	1681__K2HX38__DD684_04780
ERR1913217.188971__1.188971	106588__A6NUL8__BACCAP_01900
ERR1913217.189027__1.189027	820__A0A173WUD7__DXB48_08055
ERR1913217.189035__1.189035	1263006__R6LMY4__BN515_01429
ERR1913217.189191__1.189191	1263006__R6LT73__BN515_01094
ERR1913217.189213__1.189213	820__A0A3E5E0T0__ERS852554_00312
ERR1913217.189231__1.189231	823__K6APS3__DDY96_02400
ERR1913217.189405__1.189405	818__A0A174RFL1__ERS852511_03380
ERR1913217.189436__1.189436	239935__A0A2N8HPS5__Amuc_0950
ERR1913217.189582__1.189582	357276__A0A0M1VXQ9__BSEG_00942
ERR1913217.189715__1.189715	1624__A0A1V9QK23__LSL_1134
ERR1913217.189796__1.189796	1352__A0A242FNA2__OM5_01864
ERR1913217.189798__1.189798	1550024__G9RXA8__TQ39_17870
ERR1913217.189799__1.189799	820__A0A3E4WCX3__C801_02709
ERR1913217.189811__1.189811	552398__F4XCQ4__HMPREF0866_01621
ERR1913217.189977__1.189977	1262992__R5D749__BN795_01063
ERR1913217.190017__1.190017	28118__F9Z750__Odosp_3044
ERR1913217.190119__1.190119	39486__G1WMX5__HMPREF9457_00476
ERR1913217.190166__1.190166	1680__R5GSL8__DXD60_03315
ERR1913217.190302__1.190302	1263006__R6LHU1__BN515_01203
ERR1913217.190353__1.190353	301301__A0A395V3C0__mcpC_6
ERR1913217.190450__1.190450	37105__GeneID:14006866
ERR1913217.190685__1.190685	78258__E6K1A4__HMPREF0620_0590
ERR1913217.190882__1.190882	1262911__R6GKS1__BN557_00184
ERR1913217.190994__1.190994	1680__A0A087DKM6__B0042_0664
ERR1913217.191066__1.191066	1263006__R6LKF3__BN515_02083
ERR1913217.191235__1.191235	1263006__R6LSL5__BN515_00102
ERR1913217.191403__1.191403	820__A0A174M9V5__M093_0237
ERR1913217.191485__1.191485	69974__A0A090FEL8__MPL3365_630008
ERR1913217.191543__1.191543	165179__A0A3E5EAM5__DXC61_07785
ERR1913217.191695__1.191695	820__A7V9F9__B5G17_14640
ERR1913217.191816__1.191816	40518__R5DXI4__DXD86_07420
ERR1913217.191963__1.191963	820__A0A139K4W5__HMPREF2141_02394
ERR1913217.192134__1.192134	40518__R5DU92__DXD93_03170
ERR1913217.192299__1.192299	1382__C8W9D2__Apar_0289
ERR1913217.192428__1.192428	1262882__R5N3T7__BN519_01188
ERR1913217.192541__1.192541	1550024__G9RVD5__ASJ35_04350
ERR1913217.192597__1.192597	239935__A0A2N8HT44__CXT84_11035
ERR1913217.192862__1.192862	1262911__R6H174__BN557_01246
ERR1913217.193017__1.193017	354260__GeneID:1260676
ERR1913217.193318__1.193318	40518__R5DZ16__DXD86_01455
ERR1913217.193388__1.193388	1550024__G9RVD5__ASJ35_04350
ERR1913217.193413__1.193413	39492__B0MLV5__EUBSIR_00804
ERR1913217.193442__1.193442	239935__A0A2N8IKW7__pstA
ERR1913217.193447__1.193447	357276__I9F327__DXD47_22495
ERR1913217.193567__1.193567	820__A0A173YYG4__evgS_3
ERR1913217.193752__1.193752	239935__A0A2N8IHY1__CXU06_00035
ERR1913217.193755__1.193755	1263000__R5ESM1__BN466_01440
ERR1913217.193772__1.193772	357276__A0A076IXE0__HMPREF1064_04364
ERR1913217.193782__1.193782	1550024__G9RZ38__ASJ35_12765
ERR1913217.194028__1.194028	301301__A0A395V8J8__RHOM_11280
ERR1913217.194031__1.194031	100886__E2NSF9__rpoB
ERR1913217.194188__1.194188	154046__A0A173XMR7__tauA_1
ERR1913217.194193__1.194193	1262882__R5N3T7__BN519_01188
ERR1913217.194288__1.194288	39488__A0A173SQY9__minC
ERR1913217.194351__1.194351	35833__S2KT88__HMPREF0179_05280
ERR1913217.194498__1.194498	1263006__R6ML86__BN515_00100
ERR1913217.194493__1.194493	1550024__A0A0D8J3J4__TQ39_01275
ERR1913217.194725__1.194725	821__A0A3E4WAR6__DXD64_10735
ERR1913217.195007__1.195007	820__A0A139K8X8__DXC80_17665
ERR1913217.195096__1.195096	1263000__R5ESM1__BN466_01440
ERR1913217.195194__1.195194	820__A0A139KHX1__HMPREF2141_00289
ERR1913217.195280__1.195280	1262911__R6GPI7__BN557_00907
ERR1913217.195383__1.195383	1262882__R5MRT2__BN519_01494
ERR1913217.195407__1.195407	40518__R5E670__DXD93_06195
ERR1913217.195476__1.195476	1550024__G9RPC6__TQ39_05630
ERR1913217.195479__1.195479	823__A0A173W8N5__ERS852513_00780
ERR1913217.195856__1.195856	88431__A0A3D0EZN6__DORLON_02944
ERR1913217.196014__1.196014	1550024__G9RNX0__ASJ35_11770
ERR1913217.196107__1.196107	1262882__R5MT42__BN519_01729
ERR1913217.196145__1.196145	1262992__R5D1X3__BN795_00176
ERR1913217.196260__1.196260	626933__H1DGX0__HMPREF9449_01506
ERR1913217.196593__1.196593	1262700__R5XC07__BN695_01332
ERR1913217.196742__1.196742	1681__A0A0H3E8X1__B0324_0530
ERR1913217.196766__1.196766	239935__A0A2N8IMC9__CXU09_02095
ERR1913217.197105__1.197105	1263006__R6LMG0__BN515_01213
ERR1913217.197109__1.197109	820__A0A396EUU8__luxQ_3
ERR1913217.197230__1.197230	853__A0A173YYY4__DWZ04_09420
ERR1913217.197542__1.197542	357276__B6W5Q9__HMPREF1063_03125
ERR1913217.197668__1.197668	40518__R5DNI6__RBATCC27255_00844
ERR1913217.197699__1.197699	853__A0A173YYY4__DWZ04_09420
ERR1913217.197862__1.197862	1262882__R5MEI8__BN519_00283
ERR1913217.197923__1.197923	357276__I9QWD4__DXD47_15075
ERR1913217.197928__1.197928	1262882__R5MIQ8__BN519_01036
ERR1913217.198038__1.198038	357276__A0A076II57__GV66_07710
ERR1913217.198047__1.198047	823__A0A395YZ10__NCTC11152_02955
ERR1913217.198086__1.198086	2107999__A0A1V3Y225__LK7_008245
ERR1913217.198094__1.198094	820__A0A173YYG4__evgS_3
ERR1913217.198102__1.198102	239935__A0A2N8IU45__DEF40_02365
ERR1913217.198307__1.198307	820__A0A3E4VZT7__DXB48_16145
ERR1913217.198348__1.198348	357276__A0A0K2HG61__BACDOR_02028
ERR1913217.198599__1.198599	1681__A0A0H2PRA3__DXC55_01735
ERR1913217.198602__1.198602	239935__A0A2N8I694__CXU04_06245
ERR1913217.198791__1.198791	853__A0A2A7B1Y7__C7K05_11930
ERR1913217.198949__1.198949	1550024__G9RPP6__ASJ35_08860
ERR1913217.199066__1.199066	1358__D2BKV8__LLUC08_1640
ERR1913217.199087__1.199087	158787__A0A087DEG0__BSCA_2286
ERR1913217.199219__1.199219	1263006__R6LHU1__BN515_01203
ERR1913217.199399__1.199399	1550024__G9RTA6__TQ39_10970
ERR1913217.199407__1.199407	820__A0A139K4W5__HMPREF2141_02394
ERR1913217.199812__1.199812	1263006__R6LN71__BN515_01528
ERR1913217.199998__1.199998	1263006__R6LWH5__BN515_00768
ERR1913217.200002__1.200002	1680__A0A173X776__B0070_1318
ERR1913217.200564__1.200564	1681__A0A0H2Q3M0__B0085_1011
ERR1913217.200606__1.200606	1382__C8W8X9__Apar_0131
ERR1913217.200695__1.200695	820__A0A174QLF0__SAMN05444418_109151
ERR1913217.200658__1.200658	100884__E7G8H2__HMPREF9488_01060
ERR1913217.200985__1.200985	239935__A0A2N8IQU3__CXU22_05890
ERR1913217.201086__1.201086	28118__F9Z8E3__SAMEA44545918_03282
ERR1913217.201194__1.201194	1680__A0A3E4SB79__BAD_1517
ERR1913217.201318__1.201318	301301__A0A395V714__evgS
ERR1913217.201512__1.201512	158787__A0A087DI29__BBSC_1487
ERR1913217.201913__1.201913	1263006__R6LWH5__BN515_00768
ERR1913217.202097__1.202097	40518__R5E6Y7__DXD83_08230
ERR1913217.202319__1.202319	74426__asnS
ERR1913217.202406__1.202406	1628085__A0A2U1B224__C7386_12221
ERR1913217.202412__1.202412	820__A0A139KJ23__celCCA
ERR1913217.202628__1.202628	1624__D8ILJ0__A8C40_05830
ERR1913217.202632__1.202632	820__A0A139K4W1__M093_0353
ERR1913217.202620__1.202620	626933__H1DGX0__HMPREF9449_01506
ERR1913217.203034__1.203034	40518__R5E2R8__nnr_2
ERR1913217.203075__1.203075	357276__A0A0M1VZP2__IY41_00605
ERR1913217.203136__1.203136	853__C7H1R8__DW905_06675
ERR1913217.203211__1.203211	820__A0A174CK74__DXB48_07060
ERR1913217.203234__1.203234	301301__A0A395VGH2__dltB_2
ERR1913217.203401__1.203401	40518__R5E1J2__DXD93_04070
ERR1913217.203408__1.203408	246787__A0A108T4D5__HMPREF1062_06346
ERR1913217.203371__1.203371	1680__A0A173Y6N7__yhaH
ERR1913217.203544__1.203544	39492__D4JRZ7__smc
ERR1913217.203587__1.203587	1099853__U5CKR3__NSB1T_08705
ERR1913217.203788__1.203788	1263006__R6LUL0__BN515_01517
ERR1913217.204028__1.204028	301301__G2T5S1__gsiA_1
ERR1913217.204042__1.204042	1262911__R6H1K1__BN557_00910
ERR1913217.204222__1.204222	301302__A0A0M6WI31__znuC_2
ERR1913217.204242__1.204242	1624__A0A089QBF7__A8C46_08780
ERR1913217.204275__1.204275	116085__D4J3Z5__tig
ERR1913217.204393__1.204393	165179__A0A3E5AAM8__DXB80_10240
ERR1913217.204379__1.204379	357276__A0A0K2HI25__DXD47_04465
ERR1913217.204597__1.204597	1550024__G9RNN7__TQ39_03420
ERR1913217.204748__1.204748	1099853__U5CNF1__NSB1T_01130
ERR1913217.204866__1.204866	820__A0A374QGD2__ERS852421_02382
ERR1913217.204887__1.204887	357276__I8WBQ9__HMPREF1065_03212
ERR1913217.204968__1.204968	239935__A0A2N8HAQ1__DEF40_05290
ERR1913217.205124__1.205124	158787__A0A087DBK3__BBSC_0336
ERR1913217.205151__1.205151	1262911__R6H1J5__BN557_00905
ERR1913217.205183__1.205183	1680__A0A1X2ZFB6__AD0028_0856
ERR1913217.205184__1.205184	1680__A0A173XYA2__B0703_0121
ERR1913217.205208__1.205208	820__A7VAR9__ERS852421_00197
ERR1913217.205239__1.205239	1263006__R6MQA3__BN515_02104
ERR1913217.205268__1.205268	1263006__R6MR77__BN515_00434
ERR1913217.205289__1.205289	301301__A0A395V7P2__ERS852391_05080
ERR1913217.205346__1.205346	1262911__R6GT76__BN557_01150
ERR1913217.205411__1.205411	1680__A0A174BEE7__BSTER_1311
ERR1913217.205487__1.205487	40518__R5DT16__ysdC_2
ERR1913217.205488__1.205488	74426__nifJ
ERR1913217.205511__1.205511	1624__C2EH71__B6U57_06835
ERR1913217.205563__1.205563	820__A7V470__HMPREF1072_02076
ERR1913217.205602__1.205602	1263006__R6LR21__BN515_00462
ERR1913217.205698__1.205698	1262882__R5MKV8__BN519_01281
ERR1913217.205864__1.205864	39496__A5Z5I2__EUBVEN_00963
ERR1913217.206034__1.206034	820__A0A174A6K0__M093_0079
ERR1913217.206056__1.206056	410072__A0A173XQG6__ERS852574_01620
ERR1913217.206086__1.206086	40518__R5DUU0__DXD93_03985
ERR1913217.206127__1.206127	552398__F4XCQ4__HMPREF0866_01621
