ERR1913143.22__1.22	40518__R5DP61__DXD86_06345
ERR1913143.96150__1.96150	47678__A5ZHJ2__DXB67_12405
ERR1913143.96207__1.96207	239935__A0A2N8HT18__CXT93_06135
ERR1913143.96354__1.96354	1262882__R5MKU7__BN519_01276
ERR1913143.97076__1.97076	820__A0A139K426__B5G17_09115
ERR1913143.97248__1.97248	820__A7V470__HMPREF1072_02076
ERR1913143.97327__1.97327	239935__A0A2N8IMD6__CXU03_05585
ERR1913143.97364__1.97364	239935__R6JCH3__CXT95_08205
ERR1913143.97545__1.97545	1262882__R5MFR3__BN519_00473
ERR1913143.97836__1.97836	338188__K5CK57__ERS852397_02236
ERR1913143.97757__1.97757	239935__A0A3F3K985__CXT98_05805
ERR1913143.97781__1.97781	1262882__R5MXW0__BN519_00317
ERR1913143.97922__1.97922	39491__C4ZHS4__EUR_24420
ERR1913143.98018__1.98018	1501391__GCA_000786575.1_00068
ERR1913143.98104__1.98104	1501391__GCA_000786575.1_00030
ERR1913143.98344__1.98344	1262882__R5MFY4__BN519_00529
ERR1913143.98380__1.98380	239935__A0A139TSG7__CXU17_09600
ERR1913143.98676__1.98676	239935__A0A2N8IMC3__CXT96_03840
ERR1913143.98924__1.98924	1501391__GCA_000786575.1_00035
ERR1913143.99048__1.99048	239935__A0A139TT05__CXU09_03335
ERR1913143.99194__1.99194	47678__R5U9Z0__HMPREF1061_03210
ERR1913143.99231__1.99231	338188__A0A173ZJ94__BACFIN_06122
ERR1913143.99526__1.99526	820__A0A374QGD2__ERS852421_02382
ERR1913143.99645__1.99645	820__A0A139K5A6__DXB48_12175
ERR1913143.99774__1.99774	1262911__R6GIB9__BN557_01439
ERR1913143.99980__1.99980	820__A0A174VD39__DXD90_12235
ERR1913143.100100__1.100100	239935__A0A2N8IIB9__CXU04_01970
ERR1913143.100812__1.100812	820__A0A139K5A6__DXB48_12175
ERR1913143.101062__1.101062	2292284__A0A374V8M3__DXC10_12345
ERR1913143.101141__1.101141	1263000__R5EK63__BN466_02075
ERR1913143.101564__1.101564	1160721__R6U5L6__RBI_I01802
ERR1913143.101598__1.101598	820__A0A3E4RUC4__DHU98_02635
ERR1913143.101877__1.101877	239935__A0A2N8IJI1__B5G29_04615
ERR1913143.101963__1.101963	239935__R6JWJ7__CXT94_02580
ERR1913143.101966__1.101966	820__A0A139KJR5__M093_4469
ERR1913143.102119__1.102119	820__A0A139K5A6__DXB48_12175
ERR1913143.102150__1.102150	239935__A0A2N8IRL2__CXU06_01170
ERR1913143.102351__1.102351	357276__B6VXX7__HMPREF1063_02683
ERR1913143.102491__1.102491	820__A0A139KHD8__ERS417307_00569
ERR1913143.102617__1.102617	820__A0A173WUD7__DXB48_08055
ERR1913143.102691__1.102691	310298__B3JH48__BACCOP_01204
ERR1913143.102903__1.102903	239935__A0A2N8IRL2__CXU06_01170
ERR1913143.103066__1.103066	820__A0A3E4XM43__DXC91_13960
ERR1913143.103052__1.103052	357276__B6W5Q9__HMPREF1063_03125
ERR1913143.103012__1.103012	239935__R7DVL7__CXT93_01180
ERR1913143.103216__1.103216	39492__D4JTL0__EUBSIR_01428
ERR1913143.103375__1.103375	1501391__GCA_000786575.1_00085
ERR1913143.103528__1.103528	239935__A0A2N8IEP3__CXT84_03735
ERR1913143.103537__1.103537	1897011__A0A1Q6RFA6__BHW41_03080
ERR1913143.103865__1.103865	338188__A0A174ETX3__ERS852397_01955
ERR1913143.103980__1.103980	820__A0A1Q6IDS8__chtA
ERR1913143.104297__1.104297	239935__A0A2N8IJI1__B5G29_04615
ERR1913143.104475__1.104475	40518__R5E6K5__speA
ERR1913143.104734__1.104734	47678__R5V127__HMPREF1061_04334
ERR1913143.105161__1.105161	47678__R5U3U1__BACCAC_03593
ERR1913143.105398__1.105398	1681__D4QAP5__CJD48_05740
ERR1913143.105431__1.105431	1262882__R5N587__BN519_01643
ERR1913143.105629__1.105629	239935__A0A2N8ITX2__CXT86_11265
ERR1913143.105918__1.105918	818__A0A139K2A0__SAMN02910322_00898
ERR1913143.105952__1.105952	1262882__R5MQ68__BN519_01178
ERR1913143.106240__1.106240	40518__R5E4X1__DXD93_05270
ERR1913143.106319__1.106319	239935__R7E524__CXT91_06180
ERR1913143.106271__1.106271	239935__A0A2N8HT18__CXT93_06135
ERR1913143.106797__1.106797	239935__A0A2N8HQR1__Amuc_0287
ERR1913143.107162__1.107162	1262882__R5MKL9__BN519_00353
ERR1913143.107203__1.107203	1263044__GCA_000433375.1_01145
ERR1913143.107264__1.107264	239935__A0A2N8HUU6__CXT90_06150
ERR1913143.107539__1.107539	820__A0A174CG08__DXB62_13215
ERR1913143.107691__1.107691	1262911__R6HHR1__BN557_01622
ERR1913143.108048__1.108048	1897011__A0A1Q6RE52__BHW41_04690
ERR1913143.108026__1.108026	328814__GCA_004558275.1_00985
ERR1913143.108270__1.108270	35833__E5YBQ8__HMPREF0179_03632
ERR1913143.108300__1.108300	371601__D7J5K3__DXD80_05815
ERR1913143.108319__1.108319	239935__R6JAS2__CXU02_10725
ERR1913143.108533__1.108533	1262948__R7EGL5__BN671_00676
ERR1913143.108731__1.108731	239935__A0A2N8IF99__lpdA
ERR1913143.109205__1.109205	357276__A0A076IXE0__HMPREF1064_04364
ERR1913143.109404__1.109404	1150298__A0A174MDR2__ERS852498_01766
ERR1913143.109628__1.109628	818__A0A139K9H8__C5Z03_23905
ERR1913143.109631__1.109631	239935__A0A2N8IMD6__CXU03_05585
ERR1913143.109695__1.109695	1262882__R5MIP9__BN519_01028
ERR1913143.110021__1.110021	820__A0A139K426__B5G17_09115
ERR1913143.109999__1.109999	458033__GCA_001482755.1_02203
ERR1913143.110271__1.110271	1262911__R6H0S8__BN557_01079
ERR1913143.110815__1.110815	239935__A0A2N8IMD6__CXU03_05585
ERR1913143.110717__1.110717	2293125__A0A374BSW4__DW917_13420
ERR1913143.110890__1.110890	820__A7VAR9__ERS852421_00197
ERR1913143.110993__1.110993	239935__A0A2N8ITG2__Amuc_0335
ERR1913143.111029__1.111029	1681__A0A0H3ED55__IF1010_1588
ERR1913143.111149__1.111149	239935__R6IZT7__CXU18_11710
ERR1913143.111109__1.111109	1262882__R5N4P6__BN519_01346
ERR1913143.111114__1.111114	357276__A0A0K2HJA6__DXD47_07320
ERR1913143.111217__1.111217	1263000__R5EGY7__BN466_01478
ERR1913143.111271__1.111271	1550024__A0A3B9WJJ2__TQ39_18110
ERR1913143.111435__1.111435	239935__A0A2N8IFA0__CXT92_02050
ERR1913143.111493__1.111493	239935__A0A2N8IV82__CXT99_06735
ERR1913143.111643__1.111643	40518__R5E7S2__RBL263_00671
ERR1913143.111617__1.111617	338188__A0A1Q6HJ51__endOF1_2
ERR1913143.111814__1.111814	47678__A5ZI88__BACCAC_02617
ERR1913143.111821__1.111821	1550024__A0A0W7TSP5__ASJ35_06140
ERR1913143.112361__1.112361	1263107__GCA_000436995.1_00100
ERR1913143.112468__1.112468	820__A0A174VD39__DXD90_12235
ERR1913143.112462__1.112462	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913143.112595__1.112595	1262882__R5MMP8__BN519_01654
ERR1913143.112647__1.112647	820__A0A139KG04__ERS852459_01249
ERR1913143.113196__1.113196	46506__B0NT08__BACSTE_02624
ERR1913143.113199__1.113199	820__A7VAR9__ERS852421_00197
ERR1913143.113295__1.113295	818__A0A3E5HHE1__Btheta7330_00796
ERR1913143.113417__1.113417	1262882__R5MF58__BN519_00393
ERR1913143.113571__1.113571	239935__B2URG6__CXU02_00030
ERR1913143.113585__1.113585	820__A0A3E4WA06__ERS852554_03404
ERR1913143.113631__1.113631	820__A0A1T4IYF4__mprA_1
ERR1913143.113749__1.113749	33039__D4M1B1__ERS852577_03971
ERR1913143.113768__1.113768	239935__A0A2N8HBM4__CXT85_06270
ERR1913143.113792__1.113792	371601__I9UPW7__BN890_25900
ERR1913143.113803__1.113803	1262882__R5MSX6__BN519_01697
ERR1913143.113906__1.113906	214856__R6YC22__ERS852447_01215
ERR1913143.113824__1.113824	1262882__R5MYS9__BN519_00290
ERR1913143.114410__1.114410	357276__I9R2M6__BSEG_03499
ERR1913143.114680__1.114680	239935__A0A2N8HT18__CXT93_06135
ERR1913143.114751__1.114751	1262882__R5MKV8__BN519_01281
ERR1913143.114857__1.114857	1897011__A0A1Q6RGC4__BHW41_02800
ERR1913143.114871__1.114871	818__A0A139KW19__nedA_1
ERR1913143.115018__1.115018	1550024__A0A0W7TN61__ASJ35_14460
ERR1913143.114960__1.114960	357276__A0A076INR8__EL88_12300
ERR1913143.114967__1.114967	1550024__G9RPH0__TQ39_05505
ERR1913143.115198__1.115198	239935__R6JAS2__CXU02_10725
ERR1913143.115399__1.115399	39492__D4JV86__spoIIE
ERR1913143.115442__1.115442	239935__A0A2N8HDT1__CXT94_05270
ERR1913143.115512__1.115512	239935__A0A139TLF5__CXU18_06685
ERR1913143.115523__1.115523	823__A0A395YSW8__CF162_05645
ERR1913143.116313__1.116313	1501391__GCA_000786575.1_00076
ERR1913143.117060__1.117060	853__A0A174C5M1__CGS58_04460
ERR1913143.117076__1.117076	116085__D4JA07__DW747_02915
ERR1913143.117171__1.117171	853__A0A2A7B1Y7__C7K05_11930
ERR1913143.117299__1.117299	1263000__R5ETL6__BN466_01607
ERR1913143.117381__1.117381	820__A0A173W419__DXC68_17760
ERR1913143.117418__1.117418	820__A7V8C2__ERS852554_01338
ERR1913143.117552__1.117552	1262882__R5N2A9__BN519_00921
ERR1913143.117638__1.117638	820__A0A1T4IY80__ERS852554_01621
ERR1913143.117749__1.117749	820__A0A374Q4X1__HMPREF2141_02370
ERR1913143.117805__1.117805	239935__R6JD78__CXU05_09250
ERR1913143.117863__1.117863	239935__A0A2N8IMD6__CXU03_05585
ERR1913143.117948__1.117948	818__A0A174RX04__BJP75_008800
ERR1913143.118190__1.118190	1501391__GCA_000786575.1_00055
ERR1913143.118494__1.118494	239935__A0A2N8HQY4__CXT99_03170
ERR1913143.118585__1.118585	818__A0A1H7X9X1__SAMN02910322_04797
ERR1913143.118559__1.118559	818__A0A3E5GY47__SAMN02910322_02002
ERR1913143.118741__1.118741	239935__A0A2N8J1K0__CXT97_05765
ERR1913143.119096__1.119096	820__A0A3E4G3J9__ERS852459_02265
ERR1913143.119333__1.119333	239935__R7E524__CXT91_06180
ERR1913143.119416__1.119416	239935__A0A2N8I7W6__CXT90_04245
ERR1913143.119433__1.119433	357276__I8WC65__EL88_00520
ERR1913143.119400__1.119400	1501391__GCA_000786575.1_00018
ERR1913143.119655__1.119655	47678__R5UER2__CGC64_00710
ERR1913143.119664__1.119664	1262882__R5MLA4__BN519_01536
ERR1913143.119922__1.119922	745368__A0A1T4XQU7__SAMN02745178_02180
ERR1913143.120297__1.120297	818__Q8A3I3__HMPREF2534_00068
ERR1913143.120397__1.120397	820__A0A174VD39__DXD90_12235
ERR1913143.120333__1.120333	239935__A0A2N8I791__CXT99_09415
ERR1913143.120819__1.120819	1262882__R5MZZ3__BN519_00482
ERR1913143.121370__1.121370	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913143.121577__1.121577	418240__A0A173YKG4__ycjO_4
ERR1913143.121609__1.121609	47678__R5UPZ8__ERS852494_01752
ERR1913143.121620__1.121620	239935__A0A2N8HBM4__CXT85_06270
ERR1913143.121740__1.121740	239935__A0A2N8IRH4__CXT92_05605
ERR1913143.121875__1.121875	1501391__GCA_000786575.1_00132
ERR1913143.122058__1.122058	47678__R5U2X1__ERS852494_00033
ERR1913143.122190__1.122190	47678__R5U9Z0__HMPREF1061_03210
ERR1913143.122344__1.122344	1262882__R5N1Z9__BN519_01020
ERR1913143.122356__1.122356	1262746__R5SN04__BN750_02419
ERR1913143.122406__1.122406	1472761__GCA_002159295.1_00731
ERR1913143.122408__1.122408	239935__A0A2N8HEH9__CXU07_11710
ERR1913143.122409__1.122409	357276__B6W1Y1__BSEG_03960
ERR1913143.122594__1.122594	820__A0A139K5E7__DXC68_09550
ERR1913143.122723__1.122723	46503__R6Y837__PARMER_03866
ERR1913143.123050__1.123050	239935__A0A2N8HMQ8__pgsA
ERR1913143.123056__1.123056	239935__A0A2N8IU45__DEF40_02365
ERR1913143.123100__1.123100	239935__A0A139TPD4__CXT86_06450
ERR1913143.123123__1.123123	239935__A0A2N8ITX2__CXT86_11265
ERR1913143.123551__1.123551	239935__R7E524__CXT91_06180
ERR1913143.123633__1.123633	1501391__GCA_000786575.1_00095
ERR1913143.123892__1.123892	823__D7IV95__DXC05_09565
ERR1913143.124155__1.124155	820__A0A174NUS8__DXC80_12885
ERR1913143.124378__1.124378	1501391__GCA_000786575.1_00082
ERR1913143.124521__1.124521	239935__A0A2N8IUU3__CXU18_08060
ERR1913143.124650__1.124650	394340__gap
ERR1913143.124814__1.124814	33039__A0A174ZQJ6__ERS852530_06709
ERR1913143.124846__1.124846	1550024__A0A3B9WI04__ASJ35_06105
ERR1913143.125033__1.125033	1263000__R5EU91__BN466_01432
ERR1913143.125393__1.125393	239935__A0A2N8HUU6__CXT90_06150
ERR1913143.125650__1.125650	820__A0A173W419__DXC68_17760
ERR1913143.125790__1.125790	357276__C3RA36__HMPREF1065_03270
ERR1913143.125882__1.125882	40520__R7D9K2__DXC87_04105
ERR1913143.125763__1.125763	820__A0A374QGD2__ERS852421_02382
ERR1913143.125822__1.125822	1262882__R5MFR3__BN519_00473
ERR1913143.126199__1.126199	820__A0A139K2N9__DXB62_12420
ERR1913143.126116__1.126116	820__A0A139K426__B5G17_09115
ERR1913143.126318__1.126318	239935__A0A2N8I791__CXT99_09415
ERR1913143.126455__1.126455	357276__G5SMD3__BSEG_02959
ERR1913143.126504__1.126504	239935__R6J4Y4__CXU17_09810
ERR1913143.126599__1.126599	39492__D4JVC7__yfgF
ERR1913143.126732__1.126732	239935__A0A139TQT9__Amuc_1197
ERR1913143.126846__1.126846	239935__A0A2N8IV82__CXT99_06735
ERR1913143.127126__1.127126	823__A0A355XJT5__ERS852429_03504
ERR1913143.127179__1.127179	239935__A0A139TT05__CXU09_03335
ERR1913143.128102__1.128102	820__A0A174F0C1__nreB
ERR1913143.128311__1.128311	46506__R6B8Z4__SAMN05444283_11711
ERR1913143.128627__1.128627	820__A0A174F696__macB_13
ERR1913143.128749__1.128749	147206__GCF_000156215.1_00392
ERR1913143.128970__1.128970	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913143.129104__1.129104	239935__A0A2N8ITX2__CXT86_11265
ERR1913143.129168__1.129168	239935__A0A139TPG3__CXT86_08810
ERR1913143.129174__1.129174	371601__A0A1H4AKU1__BXY_45200
ERR1913143.129232__1.129232	39491__A0A174K9A3__DXB69_07785
ERR1913143.129479__1.129479	239935__A0A2N8HMQ8__pgsA
ERR1913143.129707__1.129707	338188__R6RPM1__BACFIN_05401
ERR1913143.129697__1.129697	1262882__R5MGI7__BN519_00643
ERR1913143.129760__1.129760	328814__GCA_004558275.1_01004
ERR1913143.129856__1.129856	239935__A0A2N8HMQ8__pgsA
ERR1913143.130177__1.130177	28116__A0A1G8P076__AA414_01051
ERR1913143.130292__1.130292	239935__A0A2N8HQR1__Amuc_0287
ERR1913143.130552__1.130552	47678__R5U6B9__BACCAC_01372
ERR1913143.130650__1.130650	239935__A0A2N8I3G2__CXT89_00720
ERR1913143.130789__1.130789	1501391__GCA_000786575.1_00075
ERR1913143.130726__1.130726	1550024__G9RZN9__ASJ35_05735
ERR1913143.130879__1.130879	649756__R7BXP1__ERS852425_00382
ERR1913143.130955__1.130955	820__I9J701__ERS852510_01809
ERR1913143.130957__1.130957	820__A0A174GYA8__DXB64_07370
ERR1913143.131075__1.131075	40518__R5E328__DXD86_08885
ERR1913143.131187__1.131187	820__A0A174VD39__DXD90_12235
ERR1913143.131297__1.131297	820__A0A139KIL9__DXC68_05945
ERR1913143.131463__1.131463	371601__G1UK36__HMPREF1074_03496
ERR1913143.131573__1.131573	239935__A0A139TPU7__CXT91_06575
ERR1913143.131719__1.131719	1501391__GCA_000786575.1_00107
ERR1913143.131803__1.131803	821__A0A173XDD3__DXB82_17180
ERR1913143.132128__1.132128	820__A0A3E4VZT7__DXB48_16145
ERR1913143.132351__1.132351	239935__A0A139TPG3__CXT86_08810
ERR1913143.132447__1.132447	239935__R6JD78__CXU05_09250
ERR1913143.132457__1.132457	239935__A0A2N8IRW0__A4V05_11620
ERR1913143.132532__1.132532	1501391__GCA_000786575.1_00116
ERR1913143.132536__1.132536	239935__A0A2N8HCF5__CXU15_05660
ERR1913143.132634__1.132634	116085__D4J4J2__DW747_14050
ERR1913143.132729__1.132729	820__A0A078STJ8__DXC68_04690
ERR1913143.132757__1.132757	328814__GCA_004558275.1_00033
ERR1913143.133027__1.133027	1550024__A0A0W7TTP8__TQ39_06385
ERR1913143.133028__1.133028	1263044__GCA_000433375.1_01150
ERR1913143.133352__1.133352	820__A0A139K8X8__DXC80_17665
ERR1913143.133476__1.133476	239935__A0A2N8IG27__CXT85_07805
ERR1913143.133709__1.133709	40520__A0A174JSI5__ERS852394_00345
ERR1913143.133826__1.133826	1378168__V2YA11__N510_02528
ERR1913143.133863__1.133863	1262989__R6YIL4__BN815_02393
ERR1913143.134164__1.134164	47678__R5UUS9__ERS852558_01432
ERR1913143.134278__1.134278	357276__A0A076J0Y3__IY41_06810
ERR1913143.134703__1.134703	1897011__A0A1Q6RES7__BHW41_04275
ERR1913143.134855__1.134855	1262882__R5MEW7__BN519_00010
ERR1913143.135023__1.135023	820__A0A139K5A6__DXB48_12175
ERR1913143.135109__1.135109	214856__A0A175A6T5__ERS852447_02658
ERR1913143.135128__1.135128	29361__B6FT60__CLONEX_03337
ERR1913143.135190__1.135190	1262882__R5N5D7__BN519_01676
ERR1913143.135345__1.135345	1501391__GCA_000786575.1_00055
ERR1913143.135372__1.135372	1981510__A0A2K9P1F4__B9O19_00896
ERR1913143.135539__1.135539	47678__R5UG22__ERS852558_01514
ERR1913143.135689__1.135689	338188__R6RZK7__ERS852397_02417
ERR1913143.135723__1.135723	1262911__R6GQ41__BN557_00435
ERR1913143.135739__1.135739	239935__A0A2N8HDT1__CXT94_05270
ERR1913143.135904__1.135904	239935__A0A2N8J1K0__CXT97_05765
ERR1913143.135968__1.135968	357276__A0A0K2HG61__BACDOR_02028
ERR1913143.136111__1.136111	1262882__R5MMZ6__BN519_00737
ERR1913143.136180__1.136180	29361__B6FRT6__CLONEX_02860
ERR1913143.136318__1.136318	239935__A0A2N8IU45__DEF40_02365
ERR1913143.136348__1.136348	1681__E3EQP9__DXD45_08580
ERR1913143.136478__1.136478	39486__B0G9H3__DXD18_11315
ERR1913143.136491__1.136491	239935__A0A2N8IRW0__A4V05_11620
ERR1913143.136681__1.136681	1501391__GCA_000786575.1_00149
ERR1913143.136862__1.136862	239935__R6JFR5__CXT84_04850
ERR1913143.137049__1.137049	1522__A0A099IAA8__HMPREF1094_01294
ERR1913143.137144__1.137144	1262882__R5N089__BN519_00546
ERR1913143.137290__1.137290	418240__A0A174R2N4__ERS852523_02758
ERR1913143.137497__1.137497	820__A0A139K8X8__DXC80_17665
ERR1913143.137605__1.137605	1501391__GCA_000786575.1_00115
ERR1913143.137678__1.137678	47678__R5UHH8__HMPREF1061_02584
ERR1913143.137812__1.137812	394340__dnaE
ERR1913143.137840__1.137840	1262882__R5MFY4__BN519_00529
ERR1913143.138087__1.138087	39491__A0A173U130__ERE_16110
ERR1913143.138218__1.138218	357276__B6W5Q7__DXD47_13945
ERR1913143.138339__1.138339	239935__A0A2N8I1R3__CXU05_06075
ERR1913143.138384__1.138384	47678__R5UA23__C5Z00_15610
ERR1913143.138510__1.138510	40520__A0A174M3Q7__DXD81_08640
ERR1913143.138622__1.138622	239935__A0A2N8HEH9__CXU07_11710
ERR1913143.138898__1.138898	357276__I8WPR6__EL88_06675
ERR1913143.139162__1.139162	820__A0A3E4PYB0__yejM
ERR1913143.139142__1.139142	818__R7KLE6__BJP75_004275
ERR1913143.139314__1.139314	116085__D4J3X4__DW747_12270
ERR1913143.139510__1.139510	1262882__R5MF51__BN519_00287
ERR1913143.139862__1.139862	40520__A0A395ZYA8__DXC87_11720
ERR1913143.140039__1.140039	357276__A0A076INR8__EL88_12300
ERR1913143.140130__1.140130	820__A0A174CG08__DXB62_13215
ERR1913143.140156__1.140156	1965650__A0A1Y3VEZ6__B5G16_11190
ERR1913143.140323__1.140323	1262882__R5MLA4__BN519_01536
ERR1913143.140413__1.140413	239935__A0A2N8IMC9__CXU09_02095
ERR1913143.140473__1.140473	47678__R5U8S9__DW706_06260
ERR1913143.140520__1.140520	820__A0A3E4RU03__M093_0563
ERR1913143.140899__1.140899	357276__A0A174L570__GV66_05720
ERR1913143.141018__1.141018	820__A0A139KJR5__M093_4469
ERR1913143.140963__1.140963	357276__D1JYA0__EL88_06560
ERR1913143.141101__1.141101	47678__R5U9Z0__HMPREF1061_03210
ERR1913143.141470__1.141470	1550024__A0A0D8J3P2__TQ39_00965
ERR1913143.141562__1.141562	1262882__R5N678__BN519_01604
ERR1913143.141573__1.141573	239935__A0A2N8IRL2__CXU06_01170
ERR1913143.141756__1.141756	239935__A0A139TPG3__CXT86_08810
ERR1913143.142054__1.142054	1262882__R5MQ68__BN519_01178
ERR1913143.142144__1.142144	1263000__R5ES99__BN466_01121
ERR1913143.142184__1.142184	820__A0A3E4RU03__M093_0563
ERR1913143.142329__1.142329	1262882__R5MH82__BN519_00752
ERR1913143.142628__1.142628	47678__A5ZI88__BACCAC_02617
ERR1913143.142752__1.142752	239935__A0A2N8IVR0__CXT87_07115
ERR1913143.142756__1.142756	239935__R7E524__CXT91_06180
ERR1913143.142811__1.142811	154046__A0A174I3C1__DXB08_18295
ERR1913143.142840__1.142840	239935__R7DVW2__CXU02_03915
ERR1913143.142850__1.142850	820__A0A3E4VXP2__yesR
ERR1913143.142944__1.142944	1263107__GCA_000436995.1_00087
ERR1913143.143093__1.143093	40518__R5DME2__DXD86_07315
ERR1913143.143123__1.143123	1262882__R5N1R4__BN519_00788
ERR1913143.143243__1.143243	820__A0A174Q0F0__DXB48_08080
ERR1913143.143446__1.143446	165179__A0A229I6N7__DXC61_06720
ERR1913143.143495__1.143495	1263000__R5EV67__BN466_01611
ERR1913143.143671__1.143671	218538__C9LPF0__GCWU000321_01429
ERR1913143.143799__1.143799	239935__A0A2N8I368__CXT95_04550
ERR1913143.144034__1.144034	239935__R6JAS2__CXU02_10725
ERR1913143.144090__1.144090	239935__A0A2N8IYM5__CXT84_05130
ERR1913143.144701__1.144701	39492__D4JQP0__ypeB
ERR1913143.144898__1.144898	418240__A0A174D0Q2__ERS852478_02068
ERR1913143.144904__1.144904	239935__A0A2N8IKW7__pstA
ERR1913143.144964__1.144964	338188__A0A174FPA3__BACFIN_06857
ERR1913143.145014__1.145014	239935__A0A2N8HT68__ADH72_00510
ERR1913143.145033__1.145033	1501391__GCA_000786575.1_00059
ERR1913143.145096__1.145096	1262882__R5MJJ9__BN519_01035
ERR1913143.145133__1.145133	820__R9I2U8__DXC68_09590
ERR1913143.145166__1.145166	820__A0A374QGD2__ERS852421_02382
ERR1913143.145288__1.145288	239935__A0A2N8HT44__CXT84_11035
ERR1913143.145333__1.145333	820__A0A3E4G3J9__ERS852459_02265
ERR1913143.145488__1.145488	410072__A0A173XU61__ykvU
ERR1913143.145454__1.145454	1897011__A0A1Q6REU8__BHW41_04300
ERR1913143.145504__1.145504	2293125__A0A374C9I8__DW917_06795
ERR1913143.145538__1.145538	418240__A0A173ZAZ4__ERS852478_00637
ERR1913143.145862__1.145862	1897011__A0A1Q6RI93__BHW41_01175
ERR1913143.146004__1.146004	239935__A0A2N8HTZ8__CXU09_01270
ERR1913143.146051__1.146051	239935__A0A2N8J1K0__CXT97_05765
ERR1913143.146137__1.146137	47678__R5UU99__C5Z00_11925
ERR1913143.146273__1.146273	39486__B0G5I5__DXD50_01395
ERR1913143.146197__1.146197	820__A0A174M9V5__M093_0237
ERR1913143.146215__1.146215	239935__A0A2N8HT18__CXT93_06135
ERR1913143.146288__1.146288	820__A0A396EXA7__DXB37_15530
ERR1913143.146380__1.146380	239935__A0A139TT05__CXU09_03335
ERR1913143.146434__1.146434	165179__A0A174W369__PREVCOP_04548
ERR1913143.146681__1.146681	47678__R5USR9__HMPREF1061_01404
ERR1913143.146826__1.146826	239935__A0A2N8IVR0__CXT87_07115
ERR1913143.146948__1.146948	239935__A0A2N8IUK0__CXU01_07370
ERR1913143.146934__1.146934	1262882__R5N5J6__BN519_01504
ERR1913143.147030__1.147030	853__A8SCP3__C4N26_07960
ERR1913143.147283__1.147283	820__A0A3E4WA06__ERS852554_03404
ERR1913143.148283__1.148283	357276__A0A076IXE0__HMPREF1064_04364
ERR1913143.148498__1.148498	1550024__A0A3B9WIA4__TQ39_14495
ERR1913143.148726__1.148726	820__A0A174EV88__HMPREF1072_01427
ERR1913143.148650__1.148650	1262882__R5MEI8__BN519_00283
ERR1913143.148676__1.148676	338188__R6RPM1__BACFIN_05401
ERR1913143.148627__1.148627	820__A0A174NUS8__DXC80_12885
ERR1913143.148629__1.148629	239935__A0A2N8HM32__CXT85_08075
ERR1913143.148899__1.148899	371601__A0A1H4AKU1__BXY_45200
ERR1913143.149028__1.149028	301301__G2T0A9__RHOM_03910
ERR1913143.149052__1.149052	1965660__A0A1Y3SSG6__B5G34_01735
ERR1913143.149064__1.149064	820__A0A1Q6IDS8__chtA
ERR1913143.149120__1.149120	818__A0A0P0F4D0__BT_2503
ERR1913143.149244__1.149244	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913143.149403__1.149403	239935__A0A2N8HDT1__CXT94_05270
ERR1913143.149659__1.149659	357276__A0A174L570__GV66_05720
ERR1913143.150109__1.150109	2292284__A0A374V8M3__DXC10_12345
ERR1913143.150114__1.150114	1262882__R5MIP9__BN519_01028
ERR1913143.150263__1.150263	239935__A0A2N8ITX2__CXT86_11265
ERR1913143.150301__1.150301	1262911__R6HN81__BN557_00921
ERR1913143.150383__1.150383	823__A6LHJ7__ERS852380_00253
ERR1913143.150423__1.150423	820__A7UYG6__M094_0070
ERR1913143.150431__1.150431	239935__A0A2N8I9N0__CXT97_09915
ERR1913143.150564__1.150564	40518__R5DZM6__lytR_3
ERR1913143.150821__1.150821	820__R9HP61__DXC91_01090
ERR1913143.150967__1.150967	820__A7UYX8__DXD40_11635
ERR1913143.151073__1.151073	301302__R5UMN4__M72_24341
ERR1913143.151154__1.151154	239935__A0A2N8IVR0__CXT87_07115
ERR1913143.151196__1.151196	818__A0A139KW19__nedA_1
ERR1913143.151215__1.151215	1263107__GCA_000436995.1_00131
ERR1913143.151173__1.151173	820__R9I324__HMPREF2141_02414
ERR1913143.151358__1.151358	1263000__R5EVY6__BN466_01709
ERR1913143.151360__1.151360	1263107__GCA_000436995.1_00173
ERR1913143.151417__1.151417	818__A0A0N7I9H8__ERS852461_00040
ERR1913143.151535__1.151535	28118__F9Z750__Odosp_3044
ERR1913143.151617__1.151617	39496__A5Z5I2__EUBVEN_00963
ERR1913143.151620__1.151620	239935__A0A2N8J1K0__CXT97_05765
ERR1913143.151908__1.151908	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913143.152013__1.152013	239935__R7E524__CXT91_06180
ERR1913143.152027__1.152027	357276__I9FGI3__EL88_12385
ERR1913143.152042__1.152042	239935__A0A139TPG3__CXT86_08810
ERR1913143.152058__1.152058	360807__C0FNM3__ERS852392_00919
ERR1913143.152189__1.152189	1501391__GCA_000786575.1_00004
ERR1913143.152479__1.152479	239935__A0A139TVJ4__CXT86_02020
ERR1913143.152447__1.152447	823__A0A174XJM9__CEQ22_007230
ERR1913143.152627__1.152627	47678__R5UZM4__DW706_15680
ERR1913143.152736__1.152736	394340__clpP
