ERR1913214.431__1.431	821__A0A3E4WAR6__DXD64_10735
ERR1913214.170411__1.170411	1262935__R5GRP8__BN773_01395
ERR1913214.170535__1.170535	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913214.170733__1.170733	1262935__R5GT80__BN773_01758
ERR1913214.170734__1.170734	204516__U6RH18__HMPREF1534_01847
ERR1913214.170823__1.170823	39492__D4JW10__pppA
ERR1913214.170826__1.170826	301301__A0A395V683__RHOM_00495
ERR1913214.170936__1.170936	544644__GCA_001915615.1_01041
ERR1913214.171153__1.171153	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913214.171324__1.171324	39492__D4JWX2__accB
ERR1913214.171418__1.171418	1262736__R5Y3T9__BN496_01881
ERR1913214.171482__1.171482	47678__R5UMP1__CGC64_03365
ERR1913214.171551__1.171551	39488__A0A173RSC6__ERS852450_01530
ERR1913214.171713__1.171713	338188__A0A174ETX3__ERS852397_01955
ERR1913214.171750__1.171750	1501391__GCA_000786575.1_00003
ERR1913214.171855__1.171855	458033__GCA_001482755.1_02203
ERR1913214.171897__1.171897	28117__R7JIJ8__BHV66_01635
ERR1913214.172108__1.172108	1262935__R5GUE2__BN773_00325
ERR1913214.172489__1.172489	1897011__A0A1Q6RFQ8__BHW41_03470
ERR1913214.172745__1.172745	47678__R5U7T0__CGC64_00755
ERR1913214.172906__1.172906	28117__B0MXG8__ALIPUT_01814
ERR1913214.173215__1.173215	1501391__GCA_000786575.1_00096
ERR1913214.173335__1.173335	46503__A7AB27__DXB85_00430
ERR1913214.173381__1.173381	310298__B3JQJ5__BACCOP_04231
ERR1913214.173958__1.173958	2293125__A0A374CMH5__DW917_00750
ERR1913214.173983__1.173983	823__A0A173V751__DXD05_02690
ERR1913214.174294__1.174294	291644__I9TBY1__HMPREF1532_01991
ERR1913214.174524__1.174524	39492__D4JWY7__EUBSIR_01655
ERR1913214.174607__1.174607	1262873__R6WBY4__BN605_01944
ERR1913214.175079__1.175079	821__A0A174WBC9__ERS852556_03145
ERR1913214.175163__1.175163	357276__C3RA36__HMPREF1065_03270
ERR1913214.175250__1.175250	1263107__GCA_000436995.1_00065
ERR1913214.175613__1.175613	1263000__R5EKG2__BN466_02040
ERR1913214.175850__1.175850	214856__A0A175A6T5__ERS852447_02658
ERR1913214.175880__1.175880	39491__A0A395V5R3__EUBREC_1883
ERR1913214.175905__1.175905	204516__U6R9E7__HMPREF1534_03313
ERR1913214.176197__1.176197	46506__A0A108TCU0__etk
ERR1913214.176601__1.176601	46228__V8C5T7__DXD17_10485
ERR1913214.176625__1.176625	821__A0A174JYD3__ERS852457_02610
ERR1913214.176761__1.176761	821__A6L0C7__ERS852556_03520
ERR1913214.177083__1.177083	1897011__A0A1Q6REX0__BHW41_04225
ERR1913214.177355__1.177355	1262935__R5GUD0__BN773_00454
ERR1913214.177427__1.177427	46503__R6Y8M7__ERS852463_01228
ERR1913214.177538__1.177538	487174__K0WTV8__DIT83_04385
ERR1913214.177564__1.177564	853__A0A173XRA8__CGS56_09290
ERR1913214.177753__1.177753	1262935__R5GCM2__BN773_01053
ERR1913214.177855__1.177855	291644__I8YWR0__HMPREF1071_01375
ERR1913214.178193__1.178193	1262911__R6H2J2__BN557_01228
ERR1913214.178351__1.178351	39492__D4JS06__ERS852540_02297
ERR1913214.178389__1.178389	487173__H1CXZ3__HMPREF9453_00231
ERR1913214.178442__1.178442	28117__B0MWZ9__ALIPUT_01735
ERR1913214.178675__1.178675	357276__A0A0M1W4C0__DXD47_07095
ERR1913214.178686__1.178686	357276__A0A076IR37__DXD47_07890
ERR1913214.178905__1.178905	1299998__GCA_001494635.1_00422
ERR1913214.179069__1.179069	1262888__R6PEC9__BN582_00075
ERR1913214.180278__1.180278	28111__E5X0Y0__HMPREF1016_02598
ERR1913214.181034__1.181034	1262935__R5GH23__BN773_00804
ERR1913214.181071__1.181071	47678__A5ZF31__DXB67_11050
ERR1913214.181354__1.181354	371601__A0A395W6D8__BXY_21530
ERR1913214.181877__1.181877	410072__A0A174H348__sfp_2
ERR1913214.181927__1.181927	88431__A0A174G8Q6__ERS852526_02711
ERR1913214.182071__1.182071	821__A0A174NVL6__NCTC10583_01782
ERR1913214.182141__1.182141	39492__D4JVG1__ERS852540_00951
ERR1913214.182270__1.182270	28117__B0MU58__BHV66_05630
ERR1913214.182305__1.182305	28118__F9ZCN9__DHW44_07820
ERR1913214.182434__1.182434	291644__I9SRU1__ERS852428_04178
ERR1913214.182548__1.182548	371601__D0TQQ4__BN891_30250
ERR1913214.182992__1.182992	28116__D4WLZ3__C5Z02_24105
ERR1913214.183014__1.183014	820__E5VA63__DXC80_01025
ERR1913214.183016__1.183016	1262911__R6GPC5__BN557_00852
ERR1913214.183058__1.183058	1262958__R7H622__BN645_00771
ERR1913214.183084__1.183084	28111__E5WZR2__HMPREF1016_02168
ERR1913214.183134__1.183134	357276__B6W5Q9__HMPREF1063_03125
ERR1913214.183188__1.183188	39492__D4JRZ7__smc
ERR1913214.183158__1.183158	46228__B5CPY3__DXD17_03535
ERR1913214.183307__1.183307	39488__A0A374MV67__DXD91_15895
ERR1913214.183439__1.183439	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913214.183449__1.183449	39491__A0A396FBR6__DXC13_08575
ERR1913214.183414__1.183414	1262935__R5GT45__BN773_01713
ERR1913214.183534__1.183534	1262935__R5GEM8__BN773_01536
ERR1913214.183690__1.183690	40518__R5DV66__DXD83_04215
ERR1913214.183871__1.183871	291644__I9TLE2__HMPREF1071_00556
ERR1913214.184180__1.184180	76489__A0A1E8EUC5__CLOACE_23150
ERR1913214.184564__1.184564	204516__U6R9H3__HMPREF1534_03348
ERR1913214.184618__1.184618	821__A0A0P0LJ37__DXB82_14270
ERR1913214.184894__1.184894	357276__A0A076ISJ4__B5F95_19420
ERR1913214.185026__1.185026	1262935__R5GDX6__BN773_01326
ERR1913214.185060__1.185060	46228__B5CTE5__HMPREF1202_00334
ERR1913214.185261__1.185261	820__A0A3E4VZY4__ERS852554_01211
ERR1913214.185609__1.185609	853__A0A174C5M1__CGS58_04460
ERR1913214.185728__1.185728	39492__D4JTF2__mutS2
ERR1913214.186109__1.186109	1262935__R5GF37__BN773_01715
ERR1913214.186164__1.186164	1262935__R5GDY7__BN773_01336
ERR1913214.186302__1.186302	357276__A0A076IKP7__BACDOR_04239
ERR1913214.186323__1.186323	1262935__R5GQA8__BN773_00915
ERR1913214.186376__1.186376	47678__R5U7L8__DXB67_16595
ERR1913214.186805__1.186805	1628085__A0A2U1BHD5__C7386_101308
ERR1913214.186892__1.186892	823__A0A173UDF6__CEQ22_003270
ERR1913214.186992__1.186992	40518__R5DY98__mepA_5
ERR1913214.187207__1.187207	821__A0A0P0M5Z6__BVU_0429
ERR1913214.188232__1.188232	2293125__A0A374BMK9__DW917_16190
ERR1913214.188496__1.188496	28117__B0MYI9__BHV66_05415
ERR1913214.188774__1.188774	1262889__R7HAP4__BN634_00533
ERR1913214.189221__1.189221	487174__K0WZU9__HMPREF9448_01159
ERR1913214.189466__1.189466	821__A0A174TD86__C800_00949
ERR1913214.189583__1.189583	1308__A0A2X3U861__CV713_04305
ERR1913214.189883__1.189883	1263006__R6LZM6__BN515_01762
ERR1913214.189942__1.189942	28117__B0MYW7__ALIPUT_02336
ERR1913214.190325__1.190325	39492__D4JWX2__accB
ERR1913214.190432__1.190432	357276__A0A076IKP7__BACDOR_04239
ERR1913214.190923__1.190923	28117__R7JJM9__ALIPUT_00662
ERR1913214.191111__1.191111	40518__R5E2F3__artQ
ERR1913214.191254__1.191254	357276__A0A0P0M2G3__BACDOR_03913
ERR1913214.191317__1.191317	39492__B0MPL6__EUBSIR_01779
ERR1913214.191501__1.191501	1897011__A0A1Q6RI93__BHW41_01175
ERR1913214.191705__1.191705	46228__B5CKX6__RUMLAC_00090
ERR1913214.192107__1.192107	46228__V8CAH7__HMPREF1202_00795
ERR1913214.192626__1.192626	454154__G5STF9__HMPREF9441_02662
ERR1913214.192713__1.192713	46228__V8CAV6__addA
ERR1913214.193498__1.193498	28117__B0MY40__BHV66_05170
ERR1913214.193534__1.193534	46503__R6X0P0__DXB61_03855
ERR1913214.193606__1.193606	487174__K0X524__DDY40_09270
ERR1913214.193608__1.193608	1262935__R5GT45__BN773_01713
ERR1913214.193671__1.193671	371601__A0A1H4AKU1__BXY_45200
ERR1913214.193681__1.193681	871325__A0A1M4UBX1__SAMN05444349_10387
ERR1913214.194115__1.194115	2293125__A0A374BSW4__DW917_13420
ERR1913214.194406__1.194406	357276__A0A076II57__GV66_07710
ERR1913214.194412__1.194412	39492__D4JV86__spoIIE
ERR1913214.194601__1.194601	357276__A0A0M1W657__HMPREF1064_04629
ERR1913214.194717__1.194717	47678__R5U9Z0__HMPREF1061_03210
ERR1913214.194778__1.194778	28117__B0MVL2__BHV66_01645
ERR1913214.195758__1.195758	1262935__R5GDG4__BN773_01363
ERR1913214.195861__1.195861	291644__I9SRU5__HMPREF1532_02538
ERR1913214.196030__1.196030	28117__B0MTH2__ALIPUT_00061
ERR1913214.196165__1.196165	1262743__R5C054__BN727_01980
ERR1913214.196255__1.196255	821__A0A174AYT0__DXC02_03530
ERR1913214.196693__1.196693	291644__I9SRU5__HMPREF1532_02538
ERR1913214.197005__1.197005	820__A0A396EUU8__luxQ_3
ERR1913214.197089__1.197089	357276__A0A076ISD9__EL88_07480
ERR1913214.197202__1.197202	39491__A0A395ZHV7__ykvU
ERR1913214.197327__1.197327	418240__C6JH13__ERS852478_02750
ERR1913214.197343__1.197343	40518__R5DWP7__ansA
ERR1913214.197677__1.197677	820__A0A174M9V5__M093_0237
ERR1913214.197849__1.197849	853__A0A174BA00__DW905_01145
ERR1913214.197923__1.197923	357276__A0A0K2HI25__DXD47_04465
ERR1913214.198077__1.198077	1501391__GCA_000786575.1_00081
ERR1913214.198191__1.198191	820__A0A174M9V5__M093_0237
ERR1913214.198757__1.198757	1262935__R5GR54__BN773_00986
ERR1913214.198890__1.198890	454155__F3QSU2__HMPREF9442_01256
ERR1913214.198942__1.198942	1262889__R7HCM3__BN634_01536
ERR1913214.198974__1.198974	410072__C0B4V0__ERS852481_02420
ERR1913214.199304__1.199304	28116__A0A1Y4P7B7__M088_2098
ERR1913214.199376__1.199376	357276__I9R994__BACDOR_04044
ERR1913214.199893__1.199893	357276__I8VQA2__HMPREF1065_04183
ERR1913214.200280__1.200280	1262889__R7HAQ6__BN634_02130
ERR1913214.200373__1.200373	2293125__A0A374BSW4__DW917_13420
ERR1913214.200504__1.200504	1501391__GCA_000786575.1_00040
ERR1913214.200941__1.200941	204516__U6RAM4__HMPREF1534_03439
ERR1913214.201277__1.201277	246787__E2N7G0__resA_6
ERR1913214.201481__1.201481	1262935__R5GS65__BN773_01399
ERR1913214.201692__1.201692	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913214.201779__1.201779	820__A7VAR9__ERS852421_00197
ERR1913214.201838__1.201838	1393034__GCA_001552785.1_00728
ERR1913214.202029__1.202029	371601__C3R2J2__ERS852396_04353
ERR1913214.202336__1.202336	821__D4VC51__M099_1508
ERR1913214.202662__1.202662	39492__D4JWA3__ERS852540_01332
ERR1913214.203312__1.203312	1262935__R5GL68__BN773_00556
ERR1913214.204203__1.204203	1262825__R5ECD5__BN724_02213
ERR1913214.204244__1.204244	820__A0A3E4XM43__DXC91_13960
ERR1913214.204701__1.204701	39496__A5Z5I2__EUBVEN_00963
ERR1913214.204900__1.204900	1262935__R5GT62__BN773_01738
ERR1913214.205422__1.205422	357276__A0A076IN30__DXD47_09350
ERR1913214.205541__1.205541	291644__I9T2X9__HMPREF1071_02431
ERR1913214.205706__1.205706	291644__I9SK54__HMPREF1532_03743
ERR1913214.205875__1.205875	2293125__A0A374C671__DW917_09135
ERR1913214.205885__1.205885	626932__G5H8H1__HMPREF9450_01231
ERR1913214.206187__1.206187	1262889__R7H960__BN634_00690
ERR1913214.206253__1.206253	239935__A0A2N8ITW6__CXT91_06265
ERR1913214.206283__1.206283	291644__I8Z302__HMPREF1532_01182
ERR1913214.206323__1.206323	1262888__R6P8U1__BN582_00511
ERR1913214.206379__1.206379	35833__E5Y2U0__HMPREF0179_00454
ERR1913214.206589__1.206589	106588__A6NXI5__BACCAP_02931
ERR1913214.206558__1.206558	821__A0A174NVL6__NCTC10583_01782
ERR1913214.206569__1.206569	821__A0A0P0L952__M097_4235
ERR1913214.206714__1.206714	820__A0A174VD39__DXD90_12235
ERR1913214.207089__1.207089	410072__A0A173SWT8__ERS852389_01443
ERR1913214.207287__1.207287	1262935__R5GR54__BN773_00986
ERR1913214.207529__1.207529	35833__S2KT88__HMPREF0179_05280
ERR1913214.207559__1.207559	552398__F4XCQ4__HMPREF0866_01621
ERR1913214.207641__1.207641	821__D4VD59__BHV80_04260
ERR1913214.207721__1.207721	823__A0A174WTX5__DD466_11965
ERR1913214.207888__1.207888	239935__A0A3F3K9J9__DEF40_00940
ERR1913214.208260__1.208260	1262889__R7H960__BN634_00690
ERR1913214.208490__1.208490	291644__I9TDL9__HMPREF1532_01624
ERR1913214.208577__1.208577	1263000__R5EKG2__BN466_02040
ERR1913214.208669__1.208669	357276__I9QBT7__BSEG_03340
ERR1913214.208677__1.208677	40518__R5DUU0__DXD93_03985
ERR1913214.208894__1.208894	28118__F9ZB50__Odosp_2374
ERR1913214.209281__1.209281	487174__K0XDI7__DIT83_12065
ERR1913214.209345__1.209345	487174__R5FN40__HMPREF9448_01366
ERR1913214.210343__1.210343	1262935__R5GT62__BN773_01738
ERR1913214.210544__1.210544	1262935__R5GIL8__BN773_01483
ERR1913214.210558__1.210558	1262935__R5GEV7__BN773_01835
ERR1913214.210565__1.210565	818__A0A3E5HN77__HMPREF2534_00072
ERR1913214.210868__1.210868	40518__R5DLJ7__lytR_4
ERR1913214.210879__1.210879	371601__I9UUB0__SAMN04487924_11836
ERR1913214.211029__1.211029	291644__I9T9Y0__HMPREF1071_01813
ERR1913214.211131__1.211131	357276__A0A0K2HG61__BACDOR_02028
ERR1913214.211135__1.211135	357276__A0A076IS73__GV66_00410
ERR1913214.211964__1.211964	820__A0A139KEW8__DXB64_06405
ERR1913214.212366__1.212366	1262889__R7HFS7__BN634_01527
ERR1913214.212847__1.212847	454155__R5NGE6__HMPREF9442_02438
ERR1913214.212974__1.212974	357276__A0A0M1W9N4__GV66_05135
ERR1913214.213044__1.213044	47678__R5UZR6__HMPREF1061_03971
ERR1913214.213099__1.213099	823__D7IV95__DXC05_09565
ERR1913214.213159__1.213159	28117__B0MTY2__BHV66_06485
ERR1913214.213218__1.213218	1262911__R6GPC5__BN557_00852
ERR1913214.213285__1.213285	552398__F4XHU2__HMPREF0866_03196
ERR1913214.213413__1.213413	410072__A0A174CHL0__ERS852574_02022
ERR1913214.213626__1.213626	46228__V8CHW6__DXD17_13890
ERR1913214.213877__1.213877	46506__R6B8Z4__SAMN05444283_11711
ERR1913214.213830__1.213830	1262889__R7HDT7__BN634_01583
ERR1913214.213913__1.213913	487174__R5F4K8__HMPREF9448_01532
ERR1913214.214036__1.214036	1262935__R5GG00__BN773_00204
ERR1913214.214067__1.214067	291644__I9HRU8__ERS852428_03635
ERR1913214.214415__1.214415	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913214.214494__1.214494	40518__R5DVR2__RBL236_00303
ERR1913214.214561__1.214561	357276__D1JY58__BACDOR_04277
ERR1913214.215045__1.215045	46506__A0A108TAK3__fepA_3
ERR1913214.215214__1.215214	821__A0A395VMG0__DXC44_18080
ERR1913214.215487__1.215487	410072__A0A174DJM1__DXD67_05275
ERR1913214.215951__1.215951	1262935__R5GDY7__BN773_01336
ERR1913214.216598__1.216598	487174__K0WUJ8__DIT83_08050
ERR1913214.216773__1.216773	823__A0A173W404__DHP27_04905
ERR1913214.217360__1.217360	28111__E5WZE2__NCTC11155_00550
ERR1913214.217446__1.217446	823__A0A395YRX4__ERS852513_03444
ERR1913214.217609__1.217609	823__A0A173W404__DHP27_04905
ERR1913214.217629__1.217629	29361__B6FRT6__CLONEX_02860
ERR1913214.217837__1.217837	1262886__R6QKQ6__BN563_01547
ERR1913214.218061__1.218061	1304__J7TU64__CYK22_02490
ERR1913214.218442__1.218442	28026__C0BR32__DXC48_06585
ERR1913214.218391__1.218391	820__A7V092__hldE
ERR1913214.218474__1.218474	74426__rpoB
ERR1913214.219036__1.219036	487174__K0WYI1__DDY40_08675
ERR1913214.219254__1.219254	471189__GCA_003340385.1_00112
ERR1913214.219915__1.219915	1897011__A0A1Q6RFG0__BHW41_03665
ERR1913214.219978__1.219978	2293125__A0A374BSW4__DW917_13420
ERR1913214.220114__1.220114	357276__B6W1Y1__BSEG_03960
ERR1913214.220334__1.220334	1235835__R9LCU2__C814_02677
ERR1913214.220453__1.220453	1262889__R7HAY6__BN634_02225
ERR1913214.220635__1.220635	820__A0A139KEW8__DXB64_06405
ERR1913214.220709__1.220709	1262889__R7H7F9__BN634_02079
ERR1913214.220763__1.220763	1262935__R5GV51__BN773_00707
ERR1913214.220767__1.220767	291644__I9TLT3__inlJ_2
ERR1913214.220960__1.220960	1501391__GCA_000786575.1_00006
ERR1913214.221043__1.221043	46503__R6X8Q3__fepA_2
ERR1913214.221178__1.221178	28117__B0MWX3__BHV66_03010
ERR1913214.221340__1.221340	33043__A0A173WWJ5__ERS852386_00339
ERR1913214.221412__1.221412	544644__GCA_001915615.1_02255
ERR1913214.221470__1.221470	821__I9R3W6__DXC16_12455
ERR1913214.221479__1.221479	39492__A0A174ZL16__EUBSIR_01269
ERR1913214.221450__1.221450	821__A0A0P0L8F8__ERS852509_03705
ERR1913214.221536__1.221536	28118__F9ZBV2__NCTC10826_00352
ERR1913214.221585__1.221585	47678__A5ZHJ2__DXB67_12405
ERR1913214.221601__1.221601	821__A0A3E4HP25__SAMN04487923_102450
ERR1913214.222056__1.222056	1262935__R5GFW3__BN773_00404
ERR1913214.222161__1.222161	454154__G5SVN0__HMPREF9441_03447
ERR1913214.222280__1.222280	823__A0A355XH29__lolE_1
ERR1913214.222631__1.222631	1150298__A0A174MFX3__ERS852498_01752
ERR1913214.222848__1.222848	1263006__R6LRT3__BN515_00657
ERR1913214.222915__1.222915	357276__A0A0P0M2G3__BACDOR_03913
ERR1913214.222876__1.222876	487174__K0X177__HMPREF9448_00818
ERR1913214.223187__1.223187	487174__K0XK83__HMPREF9448_01485
ERR1913214.223756__1.223756	39492__A0A174ZHV5__msbA_2
ERR1913214.224001__1.224001	821__E5UY21__C800_02204
ERR1913214.224200__1.224200	823__A0A355XJ56__DDY96_07685
ERR1913214.224466__1.224466	165179__A0A3E5E4P9__DXB80_07930
ERR1913214.224534__1.224534	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913214.224872__1.224872	458033__GCA_001482755.1_02203
ERR1913214.225127__1.225127	1262889__R7HBY1__BN634_01290
ERR1913214.225152__1.225152	357276__I9F327__DXD47_22495
ERR1913214.225335__1.225335	39492__B0MM26__ERS852540_00640
ERR1913214.226059__1.226059	1262889__R7HBV1__BN634_00200
ERR1913214.226114__1.226114	357276__A0A0K2HNG3__HMPREF1064_03004
ERR1913214.226281__1.226281	357276__I9QWD4__DXD47_15075
ERR1913214.226412__1.226412	1501391__GCA_000786575.1_00073
ERR1913214.226631__1.226631	291644__I9SQZ5__ERS852428_01656
ERR1913214.226843__1.226843	1262935__R5GVL3__BN773_00865
ERR1913214.226910__1.226910	1680__A0A3E4SB79__BAD_1517
ERR1913214.227241__1.227241	821__I9R3W6__DXC16_12455
ERR1913214.227458__1.227458	47678__R5UUQ0__C5Z00_15605
ERR1913214.227639__1.227639	1262935__R5GVF6__BN773_00033
ERR1913214.227644__1.227644	487174__K0X347__DIT83_07775
ERR1913214.227900__1.227900	820__A7V049__DXB48_04755
ERR1913214.228174__1.228174	1262935__R5GGB1__BN773_00342
ERR1913214.228197__1.228197	28111__E5X3F5__BACEGG_02868
ERR1913214.228583__1.228583	28111__E5WUE7__BACEGG_02087
ERR1913214.228606__1.228606	46503__R6XCJ0__PARMER_01847
ERR1913214.228667__1.228667	357276__A0A076IIL0__EL88_03065
ERR1913214.228672__1.228672	291644__R5JDR3__HMPREF1071_02272
ERR1913214.228836__1.228836	291644__I8Y778__HMPREF1532_02537
ERR1913214.229166__1.229166	820__A0A139KJR5__M093_4469
ERR1913214.229466__1.229466	552398__F4XHU2__HMPREF0866_03196
ERR1913214.229482__1.229482	371601__A0A174FWT4__SAMN04487924_11134
ERR1913214.229616__1.229616	823__A0A174RH99__ERS852380_00691
ERR1913214.229618__1.229618	357276__C3RDQ5__HMPREF1065_03827
ERR1913214.229766__1.229766	28111__R5JUK8__NCTC11155_02515
ERR1913214.229773__1.229773	357276__B6VUQ5__B5F00_10940
ERR1913214.229959__1.229959	328814__GCA_004558275.1_00076
ERR1913214.230659__1.230659	357276__C3REQ8__GV66_09740
ERR1913214.231167__1.231167	357276__I9RCD3__IY41_15070
ERR1913214.231240__1.231240	1262935__R5GTK7__BN773_00203
ERR1913214.231324__1.231324	357276__A0A0K2HNG3__HMPREF1064_03004
ERR1913214.231773__1.231773	357276__I8WBQ9__HMPREF1065_03212
ERR1913214.231840__1.231840	823__A0A173UDF6__CEQ22_003270
ERR1913214.231925__1.231925	1262935__R5GEC6__BN773_01664
ERR1913214.232674__1.232674	821__A0A174ALF2__BvMPK_3016
ERR1913214.232916__1.232916	1262935__R5GF26__BN773_01700
ERR1913214.233010__1.233010	487174__K0X429__HMPREF9448_00932
ERR1913214.233161__1.233161	823__A0A395YQ63__B5F32_15335
ERR1913214.233361__1.233361	458033__GCA_001482755.1_02203
ERR1913214.233686__1.233686	821__A0A0P0LQT3__DXC03_05050
ERR1913214.233813__1.233813	1262911__R6GY22__BN557_00023
ERR1913214.234066__1.234066	40518__R5E2F3__artQ
ERR1913214.234119__1.234119	1262889__R7HAY6__BN634_02225
ERR1913214.234171__1.234171	1547597__A0A0C3NK67__IE90_03105
ERR1913214.234306__1.234306	821__A0A174NM17__lacZ_6
ERR1913214.234309__1.234309	357276__I8WEZ6__BACDOR_02323
ERR1913214.234504__1.234504	1297617__A0A2U1CEN0__BIV19_02710
ERR1913214.234554__1.234554	487174__K0X2W8__HMPREF9448_02611
ERR1913214.234575__1.234575	820__A0A139KHX1__HMPREF2141_00289
ERR1913214.234763__1.234763	46228__V8CE19__DXD17_01950
ERR1913214.235350__1.235350	1262935__R5GG37__BN773_00249
ERR1913214.235351__1.235351	357276__I8WAB8__B5F00_08100
ERR1913214.235355__1.235355	46506__B0NQN6__AA415_00632
ERR1913214.236102__1.236102	1262889__R7HF76__BN634_01321
ERR1913214.236287__1.236287	357276__C3R5C9__HMPREF1063_00213
ERR1913214.236341__1.236341	823__A0A355XIK0__CEQ22_011965
ERR1913214.236358__1.236358	1262888__R6PGZ9__BN582_00598
ERR1913214.236739__1.236739	1547597__A0A0C3ML27__IE90_14400
ERR1913214.237045__1.237045	487174__K0WUZ1__DIT83_10815
ERR1913214.237618__1.237618	1262935__R5GSF1__BN773_01646
ERR1913214.238120__1.238120	820__A7V780__adaA_3
ERR1913214.238160__1.238160	46506__S3YS03__DXC34_03445
ERR1913214.238144__1.238144	39492__D4JUS6__accD5
ERR1913214.238512__1.238512	2173__A0A1D2WXI2__METSMIF1_02140
ERR1913214.239349__1.239349	821__A0A173XDD3__DXB82_17180
ERR1913214.239996__1.239996	357276__A0A076IN21__BSEG_03078
ERR1913214.240029__1.240029	2108523__A0A2P2FC94__LAWASA_3667
ERR1913214.240190__1.240190	1263006__R6LZM6__BN515_01762
ERR1913214.240103__1.240103	246787__A0A0P0GM17__BACCELL_03224
ERR1913214.240470__1.240470	821__A0A396F9T7__M097_3427
ERR1913214.240523__1.240523	204516__U6R9H3__HMPREF1534_03348
ERR1913214.240712__1.240712	1262889__R7HCG5__BN634_01481
ERR1913214.240966__1.240966	1262886__R6Q805__BN563_00926
ERR1913214.240939__1.240939	1262935__R5GK32__BN773_00174
ERR1913214.241471__1.241471	28111__E5WUE7__BACEGG_02087
ERR1913214.241919__1.241919	39486__B0G9D1__DXC93_13935
ERR1913214.241936__1.241936	1262935__R5GH23__BN773_00804
ERR1913214.241949__1.241949	46228__V8BYB0__HMPREF1202_02063
ERR1913214.241993__1.241993	293939__A0A0S7DXK2__ALT_7486
ERR1913214.242323__1.242323	454155__F3QT57__HMPREF9442_01374
ERR1913214.242525__1.242525	39492__D4JR58__EUBSIR_02090
ERR1913214.242746__1.242746	1263044__GCA_000433375.1_00023
ERR1913214.243176__1.243176	357276__A6L053__ABI39_04450
ERR1913214.243456__1.243456	2293125__A0A374BPP3__DW917_14380
ERR1913214.243673__1.243673	291644__R5JR56__HMPREF1532_03512
ERR1913214.243727__1.243727	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913214.243823__1.243823	821__A0A0P0L952__M097_4235
ERR1913214.243834__1.243834	28118__F9Z8K4__Odosp_0843
ERR1913214.244388__1.244388	1262935__R5GK32__BN773_00174
ERR1913214.244450__1.244450	871325__A0A1M5AZB1__SAMN05444349_1173
ERR1913214.244459__1.244459	291644__I9TLE2__HMPREF1071_00556
ERR1913214.244933__1.244933	1308__A0A2U2M0Z8__CW339_04140
ERR1913214.245397__1.245397	821__A6L0C7__ERS852556_03520
ERR1913214.245423__1.245423	357276__I8WDF1__B5F00_02455
ERR1913214.246136__1.246136	1262825__R5EBR2__BN724_01996
ERR1913214.246205__1.246205	357276__A0A0M1VZP2__IY41_00605
ERR1913214.246206__1.246206	821__A0A0P0M2J4__DXD46_10295
ERR1913214.246325__1.246325	1262935__R5GT62__BN773_01738
ERR1913214.246406__1.246406	204516__U6RFV1__HMPREF1534_02560
ERR1913214.246812__1.246812	39491__A0A396FRK0__ERS852417_00541
ERR1913214.246780__1.246780	1262935__R5GG37__BN773_00249
ERR1913214.246948__1.246948	165179__A0A3E5DWZ6__DXC61_10880
ERR1913214.247249__1.247249	821__A0A174WBC9__ERS852556_03145
ERR1913214.247282__1.247282	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913214.247606__1.247606	820__A0A174F0C1__nreB
ERR1913214.247639__1.247639	204516__U6R921__HMPREF1534_03932
ERR1913214.248198__1.248198	357276__D1JY58__BACDOR_04277
ERR1913214.248542__1.248542	40519__U2KZ37__RUMCAL_00168
ERR1913214.248555__1.248555	1735__B7C777__EUBIFOR_00024
ERR1913214.248758__1.248758	1262889__R7HDC3__BN634_00683
ERR1913214.248834__1.248834	1262888__R6QBF6__BN582_00146
ERR1913214.249159__1.249159	1547597__A0A318N9H2__DMB45_00775
ERR1913214.249305__1.249305	454154__G5STF9__HMPREF9441_02662
ERR1913214.249283__1.249283	166486__D4KUE6__ROSINTL182_08604
ERR1913214.249511__1.249511	357276__I9G0T7__BACDOR_04266
ERR1913214.249687__1.249687	1262935__R5GG03__BN773_00437
ERR1913214.249772__1.249772	821__A0A395UNT8__DXD64_15275
ERR1913214.249970__1.249970	821__A0A3E4HP25__SAMN04487923_102450
ERR1913214.250000__1.250000	1965604__A0A1Y4EPK1__B5F54_11440
ERR1913214.249960__1.249960	487174__K0X068__DDY40_07105
ERR1913214.250249__1.250249	487174__K0WZ94__HMPREF9448_00984
ERR1913214.250275__1.250275	28117__B0MST6__BHV66_06090
ERR1913214.250377__1.250377	46503__R6X8Q3__fepA_2
ERR1913214.250672__1.250672	853__A0A174CVG7__CGS58_09335
ERR1913214.250930__1.250930	28117__B0MTY2__BHV66_06485
ERR1913214.251097__1.251097	823__A0A355XIK0__CEQ22_011965
ERR1913214.251760__1.251760	291644__R5IZM2__HMPREF1071_04522
ERR1913214.251917__1.251917	823__K6ACX1__ERS852513_00266
ERR1913214.252072__1.252072	39491__A0A395UWA3__DXB69_11805
