ERR1913174.31__1.31	209880__A0A1G5WTG1__SAMN02910343_01605
ERR1913174.106697__1.106697	820__A0A3E4RU03__M093_0563
ERR1913174.106739__1.106739	820__A0A3E4VXP2__yesR
ERR1913174.106938__1.106938	556259__I0PXW0__BSGG_5187
ERR1913174.106975__1.106975	1150298__A0A174SLE6__mlc_1
ERR1913174.107056__1.107056	745368__A0A1T4WAW2__SAMN02745178_00328
ERR1913174.107125__1.107125	626929__F3PLF4__HMPREF9445_03185
ERR1913174.107184__1.107184	1150298__A0A174L6T3__cobD
ERR1913174.107252__1.107252	820__E5VA63__DXC80_01025
ERR1913174.107286__1.107286	239935__A0A2N8INK7__Amuc_0521
ERR1913174.107309__1.107309	820__A0A3E4G826__C801_01612
ERR1913174.107520__1.107520	820__A0A3E4WCX3__C801_02709
ERR1913174.107525__1.107525	823__A0A395YX30__M090_4590
ERR1913174.107851__1.107851	33038__A0A2N5PVP0__C5Y99_01390
ERR1913174.107955__1.107955	820__A0A3E4W9D9__B5G17_12400
ERR1913174.107984__1.107984	47678__A5ZJ14__ERS852494_02225
ERR1913174.108362__1.108362	39486__B0G9E4__tilS
ERR1913174.108417__1.108417	47678__R5UA23__C5Z00_15610
ERR1913174.108560__1.108560	246787__A0A3D6AZF8__BACCELL_02529
ERR1913174.108625__1.108625	39486__B0G761__DXB36_00715
ERR1913174.108714__1.108714	28116__I9AKR7__DXA80_22960
ERR1913174.108956__1.108956	820__A0A396EUU8__luxQ_3
ERR1913174.109101__1.109101	357276__I9R201__B5F00_01910
ERR1913174.109132__1.109132	820__A0A1Y3V743__M093_0235
ERR1913174.109228__1.109228	47678__I8UYF7__DW706_16415
ERR1913174.109253__1.109253	28117__B0MXR4__BHV66_08025
ERR1913174.109325__1.109325	40518__R5DVR2__RBL236_00303
ERR1913174.109513__1.109513	28117__B0N028__BHV66_05935
ERR1913174.109523__1.109523	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913174.109722__1.109722	371601__A0A1C7H1B8__BN890_22320
ERR1913174.109879__1.109879	487174__K0XA48__DDY40_03955
ERR1913174.109937__1.109937	821__E5UPR6__SAMN04487923_101768
ERR1913174.109989__1.109989	418240__A0A174R2N4__ERS852523_02758
ERR1913174.110163__1.110163	820__R9HP61__DXC91_01090
ERR1913174.110266__1.110266	823__A6L9D3__ERS852560_03374
ERR1913174.110315__1.110315	88431__A0A173RMM9__coaE
ERR1913174.110353__1.110353	745368__A0A1T4Y6I3__SAMN02745178_02753
ERR1913174.110368__1.110368	853__D4K7X0__DW905_09540
ERR1913174.110377__1.110377	418240__A0A174E8U8__sigM_3
ERR1913174.110402__1.110402	246787__R6KK25__HMPREF1062_01860
ERR1913174.110411__1.110411	40518__R5DXI4__DXD86_07420
ERR1913174.110467__1.110467	823__A6LBY1__ERS852380_00510
ERR1913174.110502__1.110502	28116__C3QMW5__M089_4133
ERR1913174.110518__1.110518	40518__R5DR72__RBL236_02110
ERR1913174.110677__1.110677	820__A0A174RFI5__SAMN05444418_12240
ERR1913174.110742__1.110742	357276__A0A076J8D4__HMPREF1064_00553
ERR1913174.110897__1.110897	820__A0A374Q351__DXD40_05850
ERR1913174.110898__1.110898	47678__A0A174TQR6__CGC64_14735
ERR1913174.110919__1.110919	820__A0A1T4IYF4__mprA_1
ERR1913174.111053__1.111053	47678__A5ZEA3__ERS852558_00257
ERR1913174.111057__1.111057	39491__C4ZCH3__EUR_17560
ERR1913174.111066__1.111066	820__A0A174Q0F0__DXB48_08080
ERR1913174.111021__1.111021	357276__A0A076IRZ5__BACDOR_00630
ERR1913174.111203__1.111203	820__A0A173WZS4__DXD90_10250
ERR1913174.111212__1.111212	626929__F3PLF4__HMPREF9445_03185
ERR1913174.111119__1.111119	820__A0A139KHX1__HMPREF2141_00289
ERR1913174.111111__1.111111	820__A0A374Q854__HMPREF1073_03281
ERR1913174.111305__1.111305	47678__A5ZEP5__CGC64_03450
ERR1913174.111323__1.111323	357276__A0A076IS26__EL88_15950
ERR1913174.111391__1.111391	471189__GCA_003340385.1_00241
ERR1913174.111392__1.111392	47678__R5U8S9__DW706_06260
ERR1913174.111491__1.111491	39491__A0A395ZG74__licR
ERR1913174.111492__1.111492	357276__I8WEY2__ABI39_04185
ERR1913174.111422__1.111422	33039__D4M4F8__ERS852502_02771
ERR1913174.111459__1.111459	214856__A0A175A6T5__ERS852447_02658
ERR1913174.111617__1.111617	357276__B6VW91__BACDOR_01584
ERR1913174.111568__1.111568	820__A0A139K5A6__DXB48_12175
ERR1913174.111581__1.111581	357276__A0A076IN21__BSEG_03078
ERR1913174.111677__1.111677	487174__K0X347__DIT83_07775
ERR1913174.111770__1.111770	357276__A0A0M1W1I8__ABI39_13620
ERR1913174.111830__1.111830	820__A0A1T4IYF4__mprA_1
ERR1913174.111885__1.111885	820__A0A3E4VXP2__yesR
ERR1913174.112068__1.112068	39491__A0A396FM36__DXB99_00820
ERR1913174.112004__1.112004	820__A0A174QLF0__SAMN05444418_109151
ERR1913174.112215__1.112215	820__A0A3E4G493__ERS417307_00253
ERR1913174.112184__1.112184	818__A0A3E5HY51__rpfC_2
ERR1913174.112432__1.112432	204516__U6R9H3__HMPREF1534_03348
ERR1913174.112524__1.112524	357276__A0A0K2HG61__BACDOR_02028
ERR1913174.112630__1.112630	820__A0A173W419__DXC68_17760
ERR1913174.112654__1.112654	820__A0A374Q854__HMPREF1073_03281
ERR1913174.112679__1.112679	40518__R5E5I9__yvhJ_2
ERR1913174.112781__1.112781	39491__C4ZHS4__EUR_24420
ERR1913174.112822__1.112822	820__A0A139K426__B5G17_09115
ERR1913174.112999__1.112999	39491__A0A396FVC0__ERE_15900
ERR1913174.113097__1.113097	357276__D1JY58__BACDOR_04277
ERR1913174.113299__1.113299	292800__A0A174V693__HMPREF9460_03050
ERR1913174.113368__1.113368	818__A0A3E5GYI4__NCTC10582_00013
ERR1913174.113476__1.113476	818__A0A0P0FT56__BSIG_1453
ERR1913174.113646__1.113646	820__A0A374Q1D8__SAMN05444418_112114
ERR1913174.113664__1.113664	357276__D1K3K9__EL88_23995
ERR1913174.113815__1.113815	820__A0A374MMF0__HMPREF1073_03811
ERR1913174.113998__1.113998	39486__B0G239__DXD82_09385
ERR1913174.114133__1.114133	1150298__A0A173YHI7__ERS852406_00466
ERR1913174.114110__1.114110	818__A0A139L1N9__ERS852430_00647
ERR1913174.114255__1.114255	823__A0A355XN73__DXC05_07000
ERR1913174.114347__1.114347	823__A6LGI3__DXB14_09215
ERR1913174.114549__1.114549	2108523__A0A2P2FB24__LAWASA_3255
ERR1913174.114566__1.114566	39491__A0A395ZHW3__ERS852417_01359
ERR1913174.114662__1.114662	39491__A0A396FPV7__ERS852580_01177
ERR1913174.114634__1.114634	820__A7UYX8__DXD40_11635
ERR1913174.114734__1.114734	39491__A0A395UZZ5__htpG_1
ERR1913174.114812__1.114812	246787__A0A0P0GCR8__xynD_3
ERR1913174.114820__1.114820	357276__A6L053__ABI39_04450
ERR1913174.114920__1.114920	820__A0A3E4G3J9__ERS852459_02265
ERR1913174.115036__1.115036	166486__D4L0L8__ROSINTL182_08063
ERR1913174.115043__1.115043	88431__A0A174EMW0__thiD_1
ERR1913174.115139__1.115139	823__A0A073IAS1__M091_0201
ERR1913174.115155__1.115155	39491__A0A174A751__DXB69_15525
ERR1913174.115223__1.115223	204516__U6R9E7__HMPREF1534_03313
ERR1913174.115224__1.115224	818__R9HBA6__HMPREF2534_04317
ERR1913174.115247__1.115247	357276__A0A076IS46__BACDOR_03265
ERR1913174.115278__1.115278	357276__E5UTL1__HMPREF1065_03551
ERR1913174.115376__1.115376	39491__C4ZCV7__ERE_23110
ERR1913174.115412__1.115412	487174__K0WYC5__HMPREF9448_01493
ERR1913174.115494__1.115494	39491__A0A396FFW0__ERE_10580
ERR1913174.115565__1.115565	47678__R5UZM4__DW706_15680
ERR1913174.115695__1.115695	1150298__R7JRK4__ERS852406_01648
ERR1913174.115838__1.115838	820__A0A139K0J1__HMPREF2141_03205
ERR1913174.115839__1.115839	487174__K0WV19__HMPREF9448_01820
ERR1913174.116051__1.116051	818__R6VB25__BSIG_5053
ERR1913174.116092__1.116092	1150298__R7JSS6__ERS852535_01362
ERR1913174.116115__1.116115	357276__I8WBQ9__HMPREF1065_03212
ERR1913174.116203__1.116203	28117__B0MZ50__ALIPUT_02424
ERR1913174.116366__1.116366	246787__A0A3D6AXJ7__BACCELL_02379
ERR1913174.116378__1.116378	820__A0A139KHX1__HMPREF2141_00289
ERR1913174.116416__1.116416	74426__asnS
ERR1913174.116426__1.116426	39491__A0A396FVC0__ERE_15900
ERR1913174.116518__1.116518	820__A0A3E4GA19__SAMN05444418_10562
ERR1913174.116550__1.116550	47678__A5ZL09__BACCAC_03608
ERR1913174.116618__1.116618	47678__R5U948__ERS852494_02962
ERR1913174.116690__1.116690	357276__B6VT86__IY41_22515
ERR1913174.116760__1.116760	39491__C4ZCH3__EUR_17560
ERR1913174.117018__1.117018	818__A0A174V5M6__BT_1963
ERR1913174.117046__1.117046	820__R9I3N4__M093_0061
ERR1913174.117109__1.117109	818__A0A0N7IB02__BT_3500
ERR1913174.117128__1.117128	39491__A0A395ZG96__DXB69_15120
ERR1913174.117206__1.117206	820__A0A139KJ23__celCCA
ERR1913174.117216__1.117216	28116__A0A078Q626__HMPREF1070_02735
ERR1913174.117347__1.117347	818__A0A0P0FSA3__ERS852557_00283
ERR1913174.117519__1.117519	820__A0A3E4RU03__M093_0563
ERR1913174.117564__1.117564	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913174.117577__1.117577	357276__A0A076J9V8__BACDOR_01395
ERR1913174.117842__1.117842	820__A0A174DZ97__SAMN05444418_101240
ERR1913174.118085__1.118085	820__A0A1T4IYF4__mprA_1
ERR1913174.118156__1.118156	357276__B6W5Q9__HMPREF1063_03125
ERR1913174.118286__1.118286	28117__B0MTY2__BHV66_06485
ERR1913174.118359__1.118359	823__A0A355XEX9__ERS852560_03521
ERR1913174.118423__1.118423	820__A7VAR9__ERS852421_00197
ERR1913174.118468__1.118468	357276__A0A076IN30__DXD47_09350
ERR1913174.118623__1.118623	204516__U6RNE3__HMPREF1534_00331
ERR1913174.118644__1.118644	39486__G1WX25__DXD84_13390
ERR1913174.118725__1.118725	820__A0A174CG08__DXB62_13215
ERR1913174.118729__1.118729	671267__R9HYS1__C802_04097
ERR1913174.118754__1.118754	357276__I8WBQ9__HMPREF1065_03212
ERR1913174.118868__1.118868	357276__B6W1J2__BACDOR_03380
ERR1913174.119035__1.119035	820__A0A3E4WA06__ERS852554_03404
ERR1913174.118996__1.118996	820__A0A173YYG4__evgS_3
ERR1913174.119295__1.119295	39491__A0A396FE96__EUR_00280
ERR1913174.119442__1.119442	1550024__G9RP69__ASJ35_11625
ERR1913174.119586__1.119586	1393034__GCA_001552785.1_00510
ERR1913174.119673__1.119673	357276__E5UTL1__HMPREF1065_03551
ERR1913174.119736__1.119736	39491__A0A396FKI0__DXC13_11560
ERR1913174.119807__1.119807	33039__D4M0J9__ERS852577_03924
ERR1913174.119933__1.119933	820__A0A3E4G2R7__DXC07_00510
ERR1913174.119999__1.119999	706562__GCA_900112995.1_01625
ERR1913174.120076__1.120076	47678__R5UMC3__CGC64_08380
ERR1913174.120165__1.120165	357276__I9R994__BACDOR_04044
ERR1913174.120179__1.120179	357276__I9R994__BACDOR_04044
ERR1913174.120449__1.120449	820__A0A174F0C1__nreB
ERR1913174.120502__1.120502	39491__A0A395V0E5__ERE_31370
ERR1913174.120521__1.120521	39491__A0A395UWA3__DXB69_11805
ERR1913174.120644__1.120644	820__A0A174M9V5__M093_0237
ERR1913174.120684__1.120684	1512__E7GU38__CLOSYM_03033
ERR1913174.120801__1.120801	33038__A0A2N5NWR8__CDL18_14140
ERR1913174.120955__1.120955	552398__F4XCR9__HMPREF0866_01636
ERR1913174.120995__1.120995	820__A0A174G065__DXB62_08975
ERR1913174.121066__1.121066	357276__A0A076IRV2__BACDOR_02822
ERR1913174.121218__1.121218	39491__A0A396FMF1__EUR_28700
ERR1913174.121243__1.121243	820__A0A173YYG4__evgS_3
ERR1913174.121261__1.121261	39488__A0A173UQ83__mutY
ERR1913174.121332__1.121332	40518__R5DTH7__DXD83_02405
ERR1913174.121339__1.121339	39491__A0A174K265__DXB76_05915
ERR1913174.121369__1.121369	39491__A0A396FSK3__ERS852417_00383
ERR1913174.121436__1.121436	371601__A0A1C7H1B8__BN890_22320
ERR1913174.121460__1.121460	820__R9HP61__DXC91_01090
ERR1913174.121542__1.121542	487174__K0X7X4__DIT83_09125
ERR1913174.121563__1.121563	39486__R6SFA1__DXC93_11325
ERR1913174.121728__1.121728	28117__B0MSL1__BHV66_06710
ERR1913174.121731__1.121731	626933__H1DGX0__HMPREF9449_01506
ERR1913174.121740__1.121740	357276__A0A076IYE6__IY41_04275
ERR1913174.121771__1.121771	357276__C3R9Y0__HMPREF1064_01889
ERR1913174.121773__1.121773	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913174.121873__1.121873	454155__F3QX42__HMPREF9442_02776
ERR1913174.121874__1.121874	818__R6VB25__BSIG_5053
ERR1913174.122213__1.122213	823__E1YSG0__DHP27_00465
ERR1913174.122374__1.122374	47678__R5U6B9__BACCAC_01372
ERR1913174.122493__1.122493	572010__rpoB
ERR1913174.122518__1.122518	39491__A0A395ZIT8__EUR_13460
ERR1913174.122693__1.122693	820__I9A4U7__DHU98_12785
ERR1913174.122720__1.122720	338188__A0A174ETX3__ERS852397_01955
ERR1913174.122746__1.122746	820__A0A3E4W4W5__ERS852554_02179
ERR1913174.122748__1.122748	357276__B6W5Q9__HMPREF1063_03125
ERR1913174.122760__1.122760	487174__K0X1V7__DIT83_03020
ERR1913174.123008__1.123008	357276__I9QBT7__BSEG_03340
ERR1913174.123120__1.123120	357276__A0A0M1W4C0__DXD47_07095
ERR1913174.123179__1.123179	820__A0A139KJR5__M093_4469
ERR1913174.123257__1.123257	246787__A0A0P0FSC0__cytR_2
ERR1913174.123309__1.123309	820__A7V9F9__B5G17_14640
ERR1913174.123322__1.123322	214856__A0A173WIP5__ERS852447_00168
ERR1913174.123435__1.123435	39491__A0A395ZGU6__ERS852417_01456
ERR1913174.123462__1.123462	357276__A0A076IP73__BACDOR_04237
ERR1913174.123410__1.123410	28117__B0MY41__BHV66_05165
ERR1913174.123505__1.123505	820__A0A3E4IGA7__DXD40_07110
ERR1913174.123516__1.123516	239935__A0A139TPG3__CXT86_08810
ERR1913174.123578__1.123578	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913174.123708__1.123708	454155__F3QQI3__HMPREF9442_00425
ERR1913174.123739__1.123739	357276__A0A076IRV2__BACDOR_02822
ERR1913174.123741__1.123741	626929__F3PGX4__B5F97_10765
ERR1913174.123790__1.123790	823__A6LFW2__M095_1860
ERR1913174.123794__1.123794	454154__G5SVM9__HMPREF9441_03446
ERR1913174.123877__1.123877	39491__A0A395V1Y4__DXB99_08035
ERR1913174.123903__1.123903	1262920__R5KD76__BN467_01465
ERR1913174.124017__1.124017	28117__B0N028__BHV66_05935
ERR1913174.124031__1.124031	1150298__R7JTH7__ERS852498_00177
ERR1913174.124155__1.124155	28117__B0MWP2__ALIPUT_01468
ERR1913174.124244__1.124244	47678__A5ZB44__C5Z00_17730
ERR1913174.124288__1.124288	40518__R5DU28__DXD86_07960
ERR1913174.124289__1.124289	818__A0A139K2A0__SAMN02910322_00898
ERR1913174.124318__1.124318	357276__B6VW91__BACDOR_01584
ERR1913174.124386__1.124386	1897011__A0A1Q6RI31__BHW41_00965
ERR1913174.124415__1.124415	357276__A0A076IKP2__HMPREF1063_00218
ERR1913174.124640__1.124640	357276__B6VT86__IY41_22515
ERR1913174.124696__1.124696	818__A0A0P0F4D0__BT_2503
ERR1913174.124754__1.124754	454154__G5ST89__HMPREF9441_02589
ERR1913174.124846__1.124846	239935__A0A139TSG7__CXU17_09600
ERR1913174.124826__1.124826	40518__R5E6K5__speA
ERR1913174.124877__1.124877	160404__A0A1M6L7L3__SAMN02745138_00301
ERR1913174.124983__1.124983	626929__F3PIV6__B5F24_03810
ERR1913174.124987__1.124987	820__A0A139JV05__B5G17_18125
ERR1913174.125177__1.125177	820__A0A174F696__macB_13
ERR1913174.125239__1.125239	74426__purL
ERR1913174.125306__1.125306	239935__A0A2N8HL50__CXT98_09135
ERR1913174.125318__1.125318	39486__G1WN57__DORFOR_02477
ERR1913174.125430__1.125430	28117__B0MTH2__ALIPUT_00061
ERR1913174.125497__1.125497	626929__F3PGX4__B5F97_10765
ERR1913174.125505__1.125505	357276__I9QWD4__DXD47_15075
ERR1913174.125577__1.125577	820__A0A173YYG4__evgS_3
ERR1913174.125592__1.125592	820__A0A396EUV1__B5G17_06465
ERR1913174.125698__1.125698	40518__R5DLJ7__lytR_4
ERR1913174.125796__1.125796	246787__A0A0P0GMR5__HMPREF1062_04678
ERR1913174.125819__1.125819	818__D7IK38__ERS852430_03017
ERR1913174.125943__1.125943	47678__R5UU25__DXB67_16190
ERR1913174.125978__1.125978	820__R9HP61__DXC91_01090
ERR1913174.125981__1.125981	166486__D4L457__ROSINTL182_07087
ERR1913174.126072__1.126072	820__A0A139JRH8__HMPREF2141_04326
ERR1913174.126182__1.126182	820__A0A139KEW8__DXB64_06405
ERR1913174.126214__1.126214	820__A0A3E4W7J3__DXC07_00330
ERR1913174.126368__1.126368	1262888__R6P8U1__BN582_00511
ERR1913174.126501__1.126501	820__A0A139KG04__ERS852459_01249
ERR1913174.126559__1.126559	40518__R5DU52__RB5AMG_02245
ERR1913174.126770__1.126770	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913174.126913__1.126913	47678__R5U9Z0__HMPREF1061_03210
ERR1913174.126935__1.126935	820__A0A139KHX1__HMPREF2141_00289
ERR1913174.127030__1.127030	28118__F9Z3G8__B5F99_01835
ERR1913174.127144__1.127144	820__A0A3E4HWJ4__DXD40_05945
ERR1913174.127163__1.127163	357276__I9QBT7__BSEG_03340
ERR1913174.127168__1.127168	626929__R6LKK1__B5F24_07400
ERR1913174.127319__1.127319	820__A0A078STJ8__DXC68_04690
ERR1913174.127290__1.127290	823__A0A355XKQ8__DHP27_04010
ERR1913174.127295__1.127295	820__A0A3E4WA06__ERS852554_03404
ERR1913174.127265__1.127265	820__A0A078S4C2__ERS417307_00828
ERR1913174.127596__1.127596	39491__D4JIB6__ERS852417_01685
ERR1913174.127762__1.127762	47678__A5ZEA3__ERS852558_00257
ERR1913174.127763__1.127763	487174__R5F2W8__HMPREF9448_01730
ERR1913174.127860__1.127860	820__A0A3E4RU03__M093_0563
ERR1913174.127898__1.127898	487174__K0WXG8__DIT83_09300
ERR1913174.127953__1.127953	820__A0A139K1Y6__DXB48_02610
ERR1913174.128013__1.128013	39486__B0G9H3__DXD18_11315
ERR1913174.128124__1.128124	821__A0A174NVL6__NCTC10583_01782
ERR1913174.128191__1.128191	33039__A0A174XW11__RTO_07780
ERR1913174.128306__1.128306	33039__R6PAH6__ERS852577_01830
ERR1913174.128384__1.128384	820__A0A374Q854__HMPREF1073_03281
ERR1913174.128414__1.128414	239935__R6J5N6__CXT99_10770
ERR1913174.128529__1.128529	357276__B6VVS0__HMPREF1064_03951
ERR1913174.128640__1.128640	1262911__R6GS70__BN557_00854
ERR1913174.128642__1.128642	28118__F9Z8J0__DF785_14955
ERR1913174.128654__1.128654	28116__A0A395VZB9__Bovatus_03205
ERR1913174.128897__1.128897	1150298__A0A174QAL8__ERS852498_02570
ERR1913174.128916__1.128916	357276__A0A0K2HDP3__IY41_00705
ERR1913174.129001__1.129001	357276__A0A1Y3Z6X3__GV66_07715
ERR1913174.129189__1.129189	28116__A0A1Y4PWN5__M088_3731
ERR1913174.129345__1.129345	28117__R7JH62__BHV66_05735
ERR1913174.129358__1.129358	239935__A0A2N8ILG3__CXT93_10135
ERR1913174.129618__1.129618	39491__A0A395UWZ1__DXC13_02175
ERR1913174.129626__1.129626	853__A0A173YYY4__DWZ04_09420
ERR1913174.129816__1.129816	487174__K0XA11__DDY40_03585
ERR1913174.129860__1.129860	820__A0A3E5BMG9__DXD40_05130
ERR1913174.129957__1.129957	820__A0A139K4T0__ERS852510_03146
ERR1913174.129967__1.129967	823__A0A174W1A8__panE
ERR1913174.130072__1.130072	820__A0A3E4RUC4__DHU98_02635
ERR1913174.130083__1.130083	28116__A7LYG5__M089_5828
ERR1913174.130236__1.130236	39491__A0A395V397__EUR_09960
ERR1913174.130388__1.130388	33039__D4LZZ3__psf-1
ERR1913174.130460__1.130460	820__A0A174F0C1__nreB
ERR1913174.130504__1.130504	246787__A0A108T1Y3__fepA_8
ERR1913174.130510__1.130510	357276__D1JZM4__HMPREF1065_01278
ERR1913174.130554__1.130554	40518__R5DZB3__RB5AMG_01719
ERR1913174.130702__1.130702	820__A0A3E4W084__BACUNI_04042
ERR1913174.130787__1.130787	338188__A0A174ETX3__ERS852397_01955
ERR1913174.130820__1.130820	357276__A0A0K2HI25__DXD47_04465
ERR1913174.130974__1.130974	357276__D1JZM4__HMPREF1065_01278
ERR1913174.131053__1.131053	357276__E5UTL1__HMPREF1065_03551
ERR1913174.131012__1.131012	823__A0A174VHT1__DHP27_04775
ERR1913174.131183__1.131183	818__A0A3E5HXH0__NCTC13706_02166
ERR1913174.131234__1.131234	160404__R6PM02__SAMN02745138_03201
ERR1913174.131247__1.131247	39491__A0A395V0X2__EUBREC_3007
ERR1913174.131252__1.131252	357276__I9QBT4__GV66_09000
ERR1913174.131289__1.131289	28117__B0MWP2__ALIPUT_01468
ERR1913174.131468__1.131468	28116__A7M0E3__AA414_00536
ERR1913174.131515__1.131515	1262992__R5D952__BN795_00714
ERR1913174.131713__1.131713	39491__C4Z872__LD38_07250
ERR1913174.131672__1.131672	357276__A0A076J8M3__ABI39_13695
ERR1913174.131796__1.131796	357276__A0A0K2HG61__BACDOR_02028
ERR1913174.131817__1.131817	820__A0A174TRB5__DXD40_11305
ERR1913174.131891__1.131891	28117__B0MWH8__BHV66_01330
ERR1913174.131894__1.131894	357276__I8WBQ9__HMPREF1065_03212
ERR1913174.131981__1.131981	28117__R7JJM9__ALIPUT_00662
ERR1913174.131961__1.131961	39486__R6SE83__DXD82_03080
ERR1913174.132096__1.132096	214856__A0A173ZS19__ERS852447_00954
ERR1913174.132163__1.132163	820__A0A139K024__B5G17_02060
ERR1913174.132189__1.132189	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913174.132451__1.132451	1263044__GCA_000433375.1_00352
ERR1913174.132453__1.132453	204516__U6RFU0__HMPREF1534_02545
ERR1913174.132622__1.132622	820__A0A174GYA8__DXB64_07370
ERR1913174.132727__1.132727	853__A0A173XRA8__CGS56_09290
ERR1913174.132815__1.132815	357276__A0A0K2HI42__ABI39_06975
ERR1913174.132828__1.132828	246787__A0A108T429__BACCELL_00192
ERR1913174.133004__1.133004	820__A0A139JV05__B5G17_18125
ERR1913174.133138__1.133138	418240__A0A174L567__ERS852478_01510
ERR1913174.133145__1.133145	28117__B0MXG8__ALIPUT_01814
ERR1913174.133167__1.133167	357276__A0A076IS26__EL88_15950
ERR1913174.133209__1.133209	820__R9I2U8__DXC68_09590
ERR1913174.133251__1.133251	39491__C4ZCV7__ERE_23110
ERR1913174.133318__1.133318	39491__A0A395V0E5__ERE_31370
ERR1913174.133323__1.133323	820__A0A396EUU8__luxQ_3
ERR1913174.133330__1.133330	820__A0A139KJ23__celCCA
ERR1913174.133414__1.133414	853__C7H7F5__DWZ46_01780
ERR1913174.133426__1.133426	1262992__R5CYZ3__BN795_01363
ERR1913174.133396__1.133396	823__A0A355XF06__B5F32_11480
ERR1913174.133461__1.133461	74426__group_4823
ERR1913174.133713__1.133713	1262743__R5C054__BN727_01980
ERR1913174.133986__1.133986	329854__R7E733__DXD57_00120
ERR1913174.134078__1.134078	239935__A0A2N8IUQ8__CXU09_01665
ERR1913174.134080__1.134080	40518__R5E5W1__RBL263_01034
ERR1913174.134232__1.134232	820__A0A174TRB5__DXD40_11305
ERR1913174.134303__1.134303	28116__D7K7K3__SAMN05192581_103348
ERR1913174.134340__1.134340	40518__R5E4Y8__RBATCC27255_01448
ERR1913174.134368__1.134368	820__A0A174CG08__DXB62_13215
ERR1913174.134473__1.134473	28117__B0MVL5__BHV66_01660
ERR1913174.134558__1.134558	820__A0A174Q0F0__DXB48_08080
ERR1913174.134657__1.134657	820__A0A3E4VZY4__ERS852554_01211
ERR1913174.134772__1.134772	1897011__A0A1Q6REW8__BHW41_04435
ERR1913174.134741__1.134741	820__A0A3E4W9D9__B5G17_12400
ERR1913174.134883__1.134883	338188__A0A174ETX3__ERS852397_01955
ERR1913174.134977__1.134977	820__A7V8C2__ERS852554_01338
ERR1913174.135041__1.135041	39491__A0A395V5R3__EUBREC_1883
ERR1913174.135103__1.135103	28117__B0MXR4__BHV66_08025
ERR1913174.135097__1.135097	823__D7IXG8__ERS852560_01232
ERR1913174.135228__1.135228	820__A0A3E5BMG9__DXD40_05130
ERR1913174.135340__1.135340	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913174.135350__1.135350	820__A0A139KJ23__celCCA
ERR1913174.135373__1.135373	823__E1YT73__NCTC11152_02675
ERR1913174.135611__1.135611	820__A0A174RFI5__SAMN05444418_12240
ERR1913174.135590__1.135590	39491__A0A395ZKJ0__DXD13_11010
ERR1913174.135733__1.135733	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913174.135815__1.135815	1262911__R6H2J2__BN557_01228
ERR1913174.135962__1.135962	39491__A0A395UXH0__EUBREC_0021
ERR1913174.135987__1.135987	357276__A0A076IXE0__HMPREF1064_04364
ERR1913174.136352__1.136352	1703337__A0A2U0U7Q7__C7379_11089
ERR1913174.136448__1.136448	39491__A0A396FPV7__ERS852580_01177
ERR1913174.136487__1.136487	28117__B0MY40__BHV66_05170
ERR1913174.136521__1.136521	820__A0A139K8N1__ERS852554_00951
ERR1913174.136658__1.136658	823__A0A069S0G2__DXB14_03195
ERR1913174.136777__1.136777	371601__D7K8P3__SAMN05216250_10395
ERR1913174.136848__1.136848	357276__I9R994__BACDOR_04044
ERR1913174.136958__1.136958	357276__A0A0K2HG61__BACDOR_02028
ERR1913174.137188__1.137188	39491__A0A395V1T9__DXD13_03310
ERR1913174.137172__1.137172	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913174.137289__1.137289	357276__A0A0M1W4C0__DXD47_07095
ERR1913174.137377__1.137377	820__A0A174Q0F0__DXB48_08080
ERR1913174.137392__1.137392	823__A0A174VBJ5__M091_5021
ERR1913174.137423__1.137423	147206__GCF_000156215.1_02107
ERR1913174.137447__1.137447	39486__R6S173__DXD84_02630
ERR1913174.137493__1.137493	47678__A5ZBD0__ERS852494_02920
ERR1913174.137580__1.137580	47678__R5UUS9__ERS852558_01432
ERR1913174.137652__1.137652	39491__A0A3E4E7C5__DXB69_03255
ERR1913174.137787__1.137787	371601__A0A139LNL6__ERS852396_04350
ERR1913174.138017__1.138017	204516__U6R9E7__HMPREF1534_03313
ERR1913174.138052__1.138052	820__A7V9F9__B5G17_14640
ERR1913174.138111__1.138111	371601__C3R2J2__ERS852396_04353
ERR1913174.138199__1.138199	33039__R6P9A7__ERS852424_01559
ERR1913174.138203__1.138203	357276__B6VVS0__HMPREF1064_03951
ERR1913174.138167__1.138167	357276__A6L053__ABI39_04450
ERR1913174.138237__1.138237	239935__A0A2N8J1K0__CXT97_05765
ERR1913174.138267__1.138267	39491__A0A396FI89__DXD95_01300
ERR1913174.138380__1.138380	745368__A0A1T4WBZ5__SAMN02745178_00335
ERR1913174.138394__1.138394	239935__A0A2N8ITX2__CXT86_11265
ERR1913174.138452__1.138452	1262744__R6FST0__BN744_00381
ERR1913174.138475__1.138475	820__A0A374Q8T2__DXB64_16190
