ERR1913312.55__1.55	357276__A0A076IXE0__HMPREF1064_04364
ERR1913312.481817__1.481817	1262882__R5MYX5__BN519_00333
ERR1913312.482090__1.482090	1262882__R5MFY4__BN519_00529
ERR1913312.482217__1.482217	166486__D4KZY5__ROSINTL182_07635
ERR1913312.482314__1.482314	360807__C0FPV5__ERS852444_03160
ERR1913312.482399__1.482399	246787__A0A3D6AZ54__BcellWH2_03646
ERR1913312.482471__1.482471	1150298__A0A174PHI0__ERS852498_00826
ERR1913312.482477__1.482477	820__R9HXK9__DXB62_08265
ERR1913312.482516__1.482516	216816__A0A061M1M5__HMPREF0177_01046
ERR1913312.482910__1.482910	357276__A0A076IRZ5__BACDOR_00630
ERR1913312.482862__1.482862	418240__A0A173YIF6__ypdA_1
ERR1913312.482933__1.482933	39492__D4JRZ7__smc
ERR1913312.482876__1.482876	1262882__R5MZZ3__BN519_00482
ERR1913312.482988__1.482988	39492__D4JRM4__tap_5
ERR1913312.483046__1.483046	39492__D4JT68__spoIIIE
ERR1913312.483217__1.483217	301301__A0A395V407__ERS852391_02230
ERR1913312.483220__1.483220	360807__C0FVK8__ERS852392_00397
ERR1913312.483444__1.483444	39492__D4JWI6__EUBSIR_01073
ERR1913312.483451__1.483451	301301__A0A395V736__ERS852391_01566
ERR1913312.483593__1.483593	1262882__R5MPY4__BN519_01128
ERR1913312.483700__1.483700	39492__D4JV86__spoIIE
ERR1913312.483900__1.483900	46228__V8BLJ0__DXD17_08675
ERR1913312.484331__1.484331	301302__A0A0M6WZT5__M72_18331
ERR1913312.484308__1.484308	28117__B0MWH8__BHV66_01330
ERR1913312.484407__1.484407	216816__D6ZW33__azlC
ERR1913312.484425__1.484425	1262911__R6H1P0__BN557_00940
ERR1913312.484519__1.484519	40518__R5E8B6__RB5AMG_00876
ERR1913312.484653__1.484653	214856__R6YC22__ERS852447_01215
ERR1913312.484632__1.484632	1262882__R5MIQ8__BN519_01036
ERR1913312.484785__1.484785	166486__D4KXK8__xynB_1
ERR1913312.484839__1.484839	39492__D4JTF2__mutS2
ERR1913312.484841__1.484841	1547__B0N8R1__DXB93_14835
ERR1913312.484884__1.484884	39492__B0MPL6__EUBSIR_01779
ERR1913312.484953__1.484953	820__A0A374Q854__HMPREF1073_03281
ERR1913312.484966__1.484966	239935__B2UQP8__CXU15_01110
ERR1913312.485255__1.485255	39491__A0A395ZHH5__ERS852497_02076
ERR1913312.485330__1.485330	39492__D4JWJ4__EUBSIR_01090
ERR1913312.485339__1.485339	1262989__R6YJX4__BN815_00450
ERR1913312.485476__1.485476	39492__D4JTW6__ERS852540_00220
ERR1913312.485486__1.485486	218538__C9LQZ7__GCWU000321_01979
ERR1913312.485487__1.485487	853__A0A3E2V168__FAEPRAM212_00929
ERR1913312.485450__1.485450	1262882__R5MM25__BN519_00600
ERR1913312.485548__1.485548	1262986__R5ZX08__BN492_01351
ERR1913312.485639__1.485639	1150298__A0A174APS6__kinA
ERR1913312.485648__1.485648	1262913__R7J737__BN646_00600
ERR1913312.485775__1.485775	1262924__R7HPS8__BN585_00646
ERR1913312.485748__1.485748	1262944__R7IMI0__BN596_00948
ERR1913312.485802__1.485802	1965660__A0A1Y3SSG6__B5G34_01735
ERR1913312.485803__1.485803	1262913__R7JEY4__BN646_02004
ERR1913312.485874__1.485874	820__A0A139K0J1__HMPREF2141_03205
ERR1913312.486017__1.486017	246787__A0A0P0G372__BcellWH2_03657
ERR1913312.486022__1.486022	357276__A0A076IYE6__IY41_04275
ERR1913312.485997__1.485997	1262992__R5D1U8__BN795_00158
ERR1913312.486084__1.486084	46228__B5CP96__RUMLAC_01287
ERR1913312.486081__1.486081	166486__D4L402__ROSINTL182_05182
ERR1913312.486431__1.486431	46228__B5CPT9__DXD17_07345
ERR1913312.486462__1.486462	40518__R5DYU1__DXD86_01160
ERR1913312.486610__1.486610	1263000__R5EXT3__BN466_02213
ERR1913312.486673__1.486673	39491__A0A396FVC0__ERE_15900
ERR1913312.486719__1.486719	246787__R6KCH8__csbC
ERR1913312.486847__1.486847	1262992__R5D4S4__BN795_00634
ERR1913312.486871__1.486871	1262945__R6YJW5__BN600_00526
ERR1913312.486883__1.486883	40518__R5DYU1__DXD86_01160
ERR1913312.486924__1.486924	1897011__A0A1Q6RE52__BHW41_04690
ERR1913312.487104__1.487104	1262882__R5MKU2__BN519_01271
ERR1913312.487105__1.487105	28116__F7L4X5__M089_2857
ERR1913312.487197__1.487197	39492__D4JQL8__ywpJ
ERR1913312.487567__1.487567	47678__R5UES3__CGC64_00760
ERR1913312.487647__1.487647	39485__A0A174Z9M2__yhbU_1
ERR1913312.487797__1.487797	1262882__R5N5S3__BN519_00085
ERR1913312.487891__1.487891	301301__A0A174G0R7__RHOM_09270
ERR1913312.488069__1.488069	239935__A0A2N8HB50__CXU17_02615
ERR1913312.488145__1.488145	40518__R5DQR9__DXD83_00030
ERR1913312.488196__1.488196	1262882__R5MLA4__BN519_01536
ERR1913312.488263__1.488263	301301__A0A395V8W4__RHOM_04130
ERR1913312.488380__1.488380	1262882__R5N349__BN519_01037
ERR1913312.488465__1.488465	33039__D4M0U3__ERS852577_02211
ERR1913312.488511__1.488511	1897011__A0A1Q6RIP3__BHW41_00615
ERR1913312.488586__1.488586	1262882__R5MJM8__BN519_01064
ERR1913312.488527__1.488527	1262913__R7JGD1__BN646_02188
ERR1913312.488652__1.488652	371601__A0A1I4R345__BN891_16250
ERR1913312.488695__1.488695	1262882__R5MK03__BN519_01277
ERR1913312.488717__1.488717	39492__D4JTK2__EUBSIR_01439
ERR1913312.488827__1.488827	410072__A0A174J5N8__sbcC
ERR1913312.489078__1.489078	39485__A0A174Z7G5__EUBELI_01168
ERR1913312.489102__1.489102	214856__A0A174ZB00__ERS852559_00631
ERR1913312.489134__1.489134	46228__V8C6B2__DXD17_09805
ERR1913312.489328__1.489328	371601__D6CWZ8__CW3_1356
ERR1913312.489397__1.489397	1263109__GCA_000438135.1_01430
ERR1913312.489422__1.489422	47678__R5USZ3__DXB67_12245
ERR1913312.489584__1.489584	40518__R5DVU7__RBL236_00839
ERR1913312.489938__1.489938	46228__V8CC10__RUMLAC_01472
ERR1913312.489959__1.489959	371601__A0A174FWT4__SAMN04487924_11134
ERR1913312.490175__1.490175	1262882__R5MJM8__BN519_01064
ERR1913312.490152__1.490152	853__A0A2A7B9I6__DW855_13690
ERR1913312.490209__1.490209	1262882__R5N089__BN519_00546
ERR1913312.490319__1.490319	1262924__R7HRJ9__BN585_00557
ERR1913312.490389__1.490389	46228__B5CMZ5__HMPREF1202_01647
ERR1913312.490443__1.490443	39492__B0MNL5__phoR_1
ERR1913312.490627__1.490627	39492__D4JT87__clpC
ERR1913312.490599__1.490599	357276__B6W5Q9__HMPREF1063_03125
ERR1913312.490610__1.490610	39492__D4JUD7__EUBSIR_01877
ERR1913312.490688__1.490688	39492__D4MN06__EUBSIR_02672
ERR1913312.490716__1.490716	39492__D4JQX3__EUBSIR_01310
ERR1913312.490830__1.490830	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913312.490863__1.490863	823__A0A395YY84__DXC05_19515
ERR1913312.491262__1.491262	39492__D4JT56__lepB
ERR1913312.491317__1.491317	39488__A0A374NKN1__ltaS_2
ERR1913312.491445__1.491445	28116__A0A1Y4P7B7__M088_2098
ERR1913312.491524__1.491524	39491__D6E2U1__EUBREC_3278
ERR1913312.491627__1.491627	823__A0A355XKR1__DHP27_04035
ERR1913312.491729__1.491729	853__A0A173XRA8__CGS56_09290
ERR1913312.491757__1.491757	301302__A0A173RJJ7__ERS852420_00620
ERR1913312.491831__1.491831	820__A0A3E4VXP2__yesR
ERR1913312.491949__1.491949	371601__C3QB87__BN890_8390
ERR1913312.492036__1.492036	1262924__R7HQI4__BN585_00500
ERR1913312.492037__1.492037	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913312.492175__1.492175	360807__A0A396AIV6__RIL183_05461
ERR1913312.492285__1.492285	328814__GCA_004558275.1_00036
ERR1913312.492312__1.492312	39491__A0A0M6WNS5__DXC13_02015
ERR1913312.492343__1.492343	1262882__R5MDR8__BN519_00124
ERR1913312.492369__1.492369	301301__A0A395VFD3__ERS852391_02492
ERR1913312.492383__1.492383	487174__K0XH97__HMPREF9448_01909
ERR1913312.492499__1.492499	1262948__R7EG47__BN671_01193
ERR1913312.492569__1.492569	387090__S0F3Z9__BACCOPRO_00013
ERR1913312.492587__1.492587	1263000__R5EXT3__BN466_02213
ERR1913312.492687__1.492687	1262882__R5MRS7__BN519_01490
ERR1913312.493181__1.493181	1262913__R7J4R5__BN646_00631
ERR1913312.493229__1.493229	820__A0A139K8N1__ERS852554_00951
ERR1913312.493331__1.493331	46228__V8CE19__DXD17_01950
ERR1913312.493630__1.493630	39492__D4JU30__EUBSIR_00838
ERR1913312.493643__1.493643	1262882__R5MND9__BN519_00831
ERR1913312.493654__1.493654	218538__C9LNE0__GCWU000321_01061
ERR1913312.493699__1.493699	1262889__R7HA49__BN634_00677
ERR1913312.493852__1.493852	706562__GCA_900112995.1_01883
ERR1913312.493860__1.493860	46228__V8CHJ4__RUMLAC_00753
ERR1913312.493904__1.493904	821__A0A0P0LNX8__ERS852509_03015
ERR1913312.493880__1.493880	39492__D4JUJ6__ssuB_2
ERR1913312.493987__1.493987	1262882__R5N5D7__BN519_01676
ERR1913312.493944__1.493944	39492__D4JT67__EUBSIR_01784
ERR1913312.494150__1.494150	35833__E5Y2U0__HMPREF0179_00454
ERR1913312.494258__1.494258	823__A6L930__DDY96_14995
ERR1913312.494332__1.494332	39492__D4JW10__pppA
ERR1913312.494363__1.494363	371601__I9AJD5__BN890_44160
ERR1913312.494403__1.494403	820__A0A174CG08__DXB62_13215
ERR1913312.494440__1.494440	301301__A0A395VAZ8__RHOM_11660
ERR1913312.494517__1.494517	39491__D4JMW8__ERS852497_01971
ERR1913312.494585__1.494585	1262882__R5N511__BN519_01592
ERR1913312.494909__1.494909	40518__R5DVR2__RBL236_00303
ERR1913312.495058__1.495058	1262913__R7JCU2__BN646_01689
ERR1913312.495060__1.495060	1735__B7C9P4__EUBIFOR_00904
ERR1913312.495239__1.495239	328814__GCA_004558275.1_00989
ERR1913312.495324__1.495324	214856__R6Y6H8__ERS852447_01719
ERR1913312.495365__1.495365	39492__A0A174ZYY6__EUBSIR_02510
ERR1913312.495412__1.495412	1262882__R5MEN9__BN519_00201
ERR1913312.495416__1.495416	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913312.495423__1.495423	40518__R5E6K5__speA
ERR1913312.495522__1.495522	39492__D4JTJ1__EUBSIR_01453
ERR1913312.495662__1.495662	1262882__R5N3T7__BN519_01188
ERR1913312.495884__1.495884	1262992__R5D0H1__BN795_01569
ERR1913312.496013__1.496013	39492__D4JQY4__EUBSIR_01325
ERR1913312.496109__1.496109	46228__V8CE73__DXD17_11635
ERR1913312.496112__1.496112	39492__D4JWX2__accB
ERR1913312.496254__1.496254	204516__U6RDD8__HMPREF1534_02559
ERR1913312.496484__1.496484	823__A0A173W404__DHP27_04905
ERR1913312.496529__1.496529	166486__C7GE31__ganB_3
ERR1913312.496552__1.496552	39492__D4JU56__hemZ
ERR1913312.496667__1.496667	371601__D6D2M1__CW1_3199
ERR1913312.496886__1.496886	204516__U6RR05__HMPREF1534_00736
ERR1913312.497152__1.497152	28052__R5HJU0__ERS852451_00148
ERR1913312.497305__1.497305	39492__D4JR08__ERS852540_02467
ERR1913312.497280__1.497280	357276__A0A076J4B1__DXD47_03445
ERR1913312.497282__1.497282	357276__A0A0K2HMX2__HMPREF1063_03979
ERR1913312.497313__1.497313	46503__K5ZAK9__NCTC13052_03308
ERR1913312.497488__1.497488	1262882__R5MPJ1__BN519_01023
ERR1913312.497523__1.497523	820__A0A396EUU8__luxQ_3
ERR1913312.497658__1.497658	39492__D4JT87__clpC
ERR1913312.497674__1.497674	216816__B3DQ11__APC1466_1528
ERR1913312.497807__1.497807	39491__A0A396FM36__DXB99_00820
ERR1913312.498023__1.498023	1262913__R7JQL8__BN646_00411
ERR1913312.498045__1.498045	218538__C9LNQ3__GCWU000321_01176
ERR1913312.498073__1.498073	1735__B7C892__EUBIFOR_00389
ERR1913312.498151__1.498151	214856__A0A174ZJU0__ERS852559_00619
ERR1913312.498280__1.498280	853__A0A173YYY4__DWZ04_09420
ERR1913312.498288__1.498288	487175__D9Y2L5__HMPREF9439_02565
ERR1913312.498318__1.498318	39492__D4JR31__EUBSIR_00106
ERR1913312.498321__1.498321	1262911__R6GMA5__BN557_00481
ERR1913312.498434__1.498434	1150298__R7JRK4__ERS852406_01648
ERR1913312.498644__1.498644	1262882__R5MGS8__BN519_00565
ERR1913312.498750__1.498750	239935__A0A2N8INZ4__CXU08_03560
ERR1913312.498712__1.498712	39492__D4JVT0__EUBSIR_00059
ERR1913312.498801__1.498801	821__A0A397WGD6__M098_0084
ERR1913312.499067__1.499067	328814__GCA_004558275.1_00834
ERR1913312.499108__1.499108	39492__D4JT68__spoIIIE
ERR1913312.499204__1.499204	39491__D4JMW8__ERS852497_01971
ERR1913312.499224__1.499224	1262882__R5MIQ8__BN519_01036
ERR1913312.499330__1.499330	39492__D4JT56__lepB
ERR1913312.499377__1.499377	2173__A0A1D2WU54__METSMIALI_00342
ERR1913312.499553__1.499553	1262911__R6GPL1__BN557_00927
ERR1913312.499724__1.499724	853__C7H1R8__DW905_06675
ERR1913312.499807__1.499807	328814__GCA_004558275.1_01331
ERR1913312.499810__1.499810	39491__A0A395V2Y7__DXB72_13970
ERR1913312.499957__1.499957	1150298__R7JV71__ERS852498_00755
ERR1913312.500037__1.500037	35833__E5Y6S3__HMPREF0179_01886
ERR1913312.500091__1.500091	214856__I3YMC8__ERS852447_02666
ERR1913312.500250__1.500250	1262913__R7JGU5__BN646_02158
ERR1913312.500408__1.500408	1262882__R5N2E1__BN519_01117
ERR1913312.500518__1.500518	292800__A0A1C7FHV2__HMPREF9460_00045
ERR1913312.500623__1.500623	39485__R5ZSI4__ERS852492_00875
ERR1913312.500685__1.500685	820__A7V470__HMPREF1072_02076
ERR1913312.500759__1.500759	1262944__R7ILU4__BN596_00763
ERR1913312.500869__1.500869	154046__D3ANE7__DWZ21_25610
ERR1913312.500892__1.500892	1262924__R7HP98__BN585_02065
ERR1913312.501019__1.501019	418240__A0A173XCL4__ERS852523_02725
ERR1913312.501172__1.501172	39485__C4Z355__ERS852490_01971
ERR1913312.501220__1.501220	1262882__R5ML49__BN519_01361
ERR1913312.501320__1.501320	301301__A0A395VGH2__dltB_2
ERR1913312.501330__1.501330	1262882__R5MPY4__BN519_01128
ERR1913312.501397__1.501397	853__A0A2A7B9I6__DW855_13690
ERR1913312.501410__1.501410	357276__I8WBQ9__HMPREF1065_03212
ERR1913312.501467__1.501467	357276__U6R8F9__DXD47_04035
ERR1913312.501521__1.501521	40518__R5DME2__DXD86_07315
ERR1913312.501609__1.501609	78257__A0A087CUE0__BSAE_1156
ERR1913312.501717__1.501717	39492__D4JW10__pppA
ERR1913312.501756__1.501756	40520__R7DA92__DXC87_13515
ERR1913312.501833__1.501833	418240__A0A173XT66__ERS852478_00742
ERR1913312.502546__1.502546	301301__A0A395VER0__RHOM_06755
ERR1913312.502567__1.502567	39485__R5ZPP8__EUBELI_20334
ERR1913312.502615__1.502615	1262924__R7HMN2__BN585_01573
ERR1913312.502594__1.502594	301302__A0A0M6WU48__M72_10411
ERR1913312.502686__1.502686	1150298__A0A174HIS8__ERS852535_00284
ERR1913312.502864__1.502864	166486__D4KZ27__ROSINTL182_05762
ERR1913312.502839__1.502839	1262882__R5MIQ8__BN519_01036
ERR1913312.502870__1.502870	166486__D4L301__ROSINTL182_06234
ERR1913312.502981__1.502981	821__A0A174MBW9__SAMN04487923_10272
ERR1913312.503125__1.503125	556259__I0PXW0__BSGG_5187
ERR1913312.503217__1.503217	46228__B5CP87__HMPREF1202_02330
ERR1913312.503177__1.503177	1262913__R7JJ24__BN646_02388
ERR1913312.503190__1.503190	1262889__R7H8M8__BN634_00534
ERR1913312.503243__1.503243	39492__D4JUD7__EUBSIR_01877
ERR1913312.503248__1.503248	487175__F3QI79__HMPREF9439_00626
ERR1913312.503279__1.503279	1262924__R7HQB7__BN585_02057
ERR1913312.503283__1.503283	39491__A0A396FMF1__EUR_28700
ERR1913312.503303__1.503303	39492__D4JUR4__ERS852540_01427
ERR1913312.503358__1.503358	1262992__R5DAK8__BN795_01248
ERR1913312.503380__1.503380	39491__A0A395ZE48__DXB76_02395
ERR1913312.503442__1.503442	821__A0A395UNT8__DXD64_15275
ERR1913312.503418__1.503418	39491__A0A396FQ67__DXB99_07505
ERR1913312.503524__1.503524	102148__E7MM98__HMPREF9430_00698
ERR1913312.503613__1.503613	853__A0A173YYY4__DWZ04_09420
ERR1913312.503799__1.503799	1150298__A0A174R4D7__tmpC_2
ERR1913312.503828__1.503828	1735__B7CDA5__EUBIFOR_02186
ERR1913312.504041__1.504041	39491__A0A396FF66__DXD95_01810
ERR1913312.504144__1.504144	40518__R5E4Y8__RBATCC27255_01448
ERR1913312.504128__1.504128	1262882__R5MMY3__BN519_00724
ERR1913312.504180__1.504180	1262882__R5MHZ2__BN519_00742
ERR1913312.504246__1.504246	214856__R6Z7Q9__ERS852447_02172
ERR1913312.504326__1.504326	371601__F7LA63__HMPREF1074_04288
ERR1913312.504444__1.504444	1262743__R5C9G8__BN727_01341
ERR1913312.504710__1.504710	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913312.504726__1.504726	39492__D4MN06__EUBSIR_02672
ERR1913312.505389__1.505389	214856__R6YD52__ERS852447_02171
ERR1913312.505457__1.505457	214856__A0A174ZLY7__ERS852447_02456
ERR1913312.505561__1.505561	39492__D4JUD9__EUBSIR_01875
ERR1913312.505578__1.505578	1262992__R5DE38__BN795_00174
ERR1913312.505699__1.505699	218538__C9LQ92__GCWU000321_01724
ERR1913312.505661__1.505661	47678__R5USR9__HMPREF1061_01404
ERR1913312.505780__1.505780	1262924__R7HM17__BN585_01318
ERR1913312.506195__1.506195	39492__D4MIX3__ERS852540_01230
ERR1913312.506178__1.506178	1150298__R7JV71__ERS852498_00755
ERR1913312.506261__1.506261	39492__D4JSG7__EUBSIR_01006
ERR1913312.506395__1.506395	1262882__R5MRS7__BN519_01490
ERR1913312.506434__1.506434	1262882__R5N1R4__BN519_00788
ERR1913312.506515__1.506515	1262913__R7JHR3__BN646_02361
ERR1913312.506649__1.506649	39492__A0A174Z2N0__EUBSIR_01615
ERR1913312.506742__1.506742	1735__B7CC21__EUBIFOR_01746
ERR1913312.506870__1.506870	1262824__R6RS08__BN719_00545
ERR1913312.506925__1.506925	39492__D4JTG7__EUBSIR_00572
ERR1913312.507011__1.507011	214856__A0A174A1J3__ERS852447_01000
ERR1913312.507032__1.507032	1262882__R5MK82__BN519_00260
ERR1913312.507105__1.507105	39492__R6SPM9__pheT
ERR1913312.507216__1.507216	853__A0A3E2U7E6__ERS852582_01640
ERR1913312.507180__1.507180	214856__A0A174FZ29__ERS852559_00600
ERR1913312.507286__1.507286	39492__D4MIX3__ERS852540_01230
ERR1913312.507311__1.507311	28118__F9Z8J0__DF785_14955
ERR1913312.507387__1.507387	39492__D4JVT0__EUBSIR_00059
ERR1913312.507430__1.507430	40518__A0A2N0UUY0__DXD83_02620
ERR1913312.507529__1.507529	40518__R5DS37__DXD93_01965
ERR1913312.507571__1.507571	39492__D4MJF3__EUBSIR_02248
ERR1913312.507667__1.507667	371601__W6P7Q9__BN890_32770
ERR1913312.507675__1.507675	357276__I8WAB8__B5F00_08100
ERR1913312.507855__1.507855	1262882__R5MPJ1__BN519_01023
ERR1913312.507937__1.507937	39492__D4JV86__spoIIE
ERR1913312.507971__1.507971	884684__GCA_002892425.1_00913
ERR1913312.508032__1.508032	39491__A0A395V5R3__EUBREC_1883
ERR1913312.508041__1.508041	39491__A0A174LTW7__DXD13_08720
ERR1913312.508119__1.508119	88431__A6BIP6__DXB16_05510
ERR1913312.508153__1.508153	292800__A0A174RE33__HMPREF0372_03363
ERR1913312.508194__1.508194	46503__R6WQ76__HMPREF1078_02467
ERR1913312.508209__1.508209	40518__R5DP21__RBATCC27255_00348
ERR1913312.508240__1.508240	1262924__R7HU74__BN585_00690
ERR1913312.508444__1.508444	1262913__R7JIT0__BN646_02465
ERR1913312.508463__1.508463	28116__C3QXZ9__DXA80_15295
ERR1913312.508569__1.508569	166486__D4KX00__ROSINTL182_07577
ERR1913312.508625__1.508625	1780376__A0A143XEY2__BN3659_00222
ERR1913312.508659__1.508659	552398__F4XAJ9__HMPREF0866_00317
ERR1913312.508880__1.508880	39492__D4JVG7__ERS852540_00946
ERR1913312.509017__1.509017	39492__D4JUN0__EUBSIR_02705
ERR1913312.509019__1.509019	39492__D4JTH4__ERS852540_00702
ERR1913312.508984__1.508984	301301__A0A395VFK0__RHOM_05215
ERR1913312.509199__1.509199	40518__R5DM08__DXD83_06415
ERR1913312.509218__1.509218	301302__R5UNJ6__M72_26701
ERR1913312.509361__1.509361	39492__D4JQU6__ERS852540_02194
ERR1913312.509460__1.509460	1150298__A0A174QRU8__ERS852498_00962
ERR1913312.509627__1.509627	1262992__R5D4Q0__BN795_01630
ERR1913312.509636__1.509636	39492__D4JUD9__EUBSIR_01875
ERR1913312.509649__1.509649	246787__A0A120A2E7__HMPREF1062_06329
ERR1913312.509729__1.509729	204516__U6RGK1__HMPREF1534_01924
ERR1913312.509833__1.509833	39492__D4JW28__spoVFA
ERR1913312.509864__1.509864	46228__V8BPL7__DXD17_00445
ERR1913312.509977__1.509977	39491__C4Z875__T1815_09771
ERR1913312.509933__1.509933	39492__D4MMZ8__ERS852540_01407
ERR1913312.510096__1.510096	1262882__R5MLT4__BN519_01496
ERR1913312.510129__1.510129	487175__R6A7L2__HMPREF9439_00047
ERR1913312.510215__1.510215	39492__D4JQS6__ykoD
ERR1913312.510484__1.510484	1263000__R5EXT3__BN466_02213
ERR1913312.510535__1.510535	328814__GCA_004558275.1_00007
ERR1913312.510743__1.510743	1262882__R5N3T7__BN519_01188
ERR1913312.510818__1.510818	166486__C7GCP5__ROSINTL182_07683
ERR1913312.510830__1.510830	39492__D4JRM9__bglB_2
ERR1913312.510916__1.510916	39492__R6SPM9__pheT
ERR1913312.510963__1.510963	166486__D4KWL3__ROSINTL182_06053
ERR1913312.511002__1.511002	214856__A0A174G1M7__ERS852559_00594
ERR1913312.511152__1.511152	39492__D4JT56__lepB
ERR1913312.511170__1.511170	39491__A0A395UZ82__EUR_31520
ERR1913312.511295__1.511295	39492__D4JQL8__ywpJ
ERR1913312.511311__1.511311	46228__V8C3T3__DXD17_04075
ERR1913312.511360__1.511360	1262924__R7HRF6__BN585_01735
ERR1913312.511363__1.511363	1262882__R5N345__BN519_01034
ERR1913312.511378__1.511378	46228__V8CHW6__DXD17_13890
ERR1913312.511406__1.511406	301301__A0A395V407__ERS852391_02230
ERR1913312.511445__1.511445	360807__A0A0M6WIL3__ERS852444_01365
ERR1913312.511513__1.511513	1150298__A0A174N5I7__ERS852498_01953
ERR1913312.511557__1.511557	1262882__R5MQ68__BN519_01178
ERR1913312.511774__1.511774	39491__D6E558__DXB69_00810
ERR1913312.511862__1.511862	40518__R5DTG5__RBATCC27255_00890
ERR1913312.511935__1.511935	1262913__R7J4I7__BN646_00599
ERR1913312.511943__1.511943	1262913__R7J4I7__BN646_00599
ERR1913312.512204__1.512204	46228__V8CE24__thiD
ERR1913312.512251__1.512251	1150298__A0A174SLE6__mlc_1
ERR1913312.512269__1.512269	166486__D4L334__mcp3_1
ERR1913312.512303__1.512303	214856__R6YBX3__msbA_2
ERR1913312.512307__1.512307	28116__E5CH94__NCTC11153_03344
ERR1913312.512320__1.512320	1262882__R5N3H1__BN519_01121
ERR1913312.512391__1.512391	39491__A0A395UWZ1__DXC13_02175
ERR1913312.512524__1.512524	1262924__R7HM98__BN585_01697
ERR1913312.512673__1.512673	1099853__U5CB66__NSB1T_01370
ERR1913312.512687__1.512687	39492__D4JU30__EUBSIR_00838
ERR1913312.512753__1.512753	39491__A0A395UYL9__ERS852417_00624
ERR1913312.512773__1.512773	35833__S2KWP6__HMPREF0179_05248
ERR1913312.512848__1.512848	39492__D4JT87__clpC
ERR1913312.512851__1.512851	39492__A0A174ZHV5__msbA_2
ERR1913312.512858__1.512858	246787__A0A3D6AQP8__AA416_04153
ERR1913312.512868__1.512868	1262882__R5MNC1__BN519_00818
ERR1913312.512931__1.512931	28116__A0A1Y4Q119__DXD69_10975
ERR1913312.512946__1.512946	1262882__R5MRS7__BN519_01490
ERR1913312.512972__1.512972	1683__C4FFP8__BIFANG_03162
ERR1913312.513167__1.513167	246787__A0A3D6AWV8__gltP
ERR1913312.513222__1.513222	1262924__R7HR75__BN585_00689
ERR1913312.513283__1.513283	1262924__R7HPY0__BN585_01950
ERR1913312.513291__1.513291	39492__D4JRP0__yetF
ERR1913312.513341__1.513341	1262913__R7J4I7__BN646_00599
ERR1913312.513359__1.513359	28118__F9Z857__DER54_07670
ERR1913312.513516__1.513516	1262882__R5MRS7__BN519_01490
ERR1913312.513692__1.513692	39492__D4MJF3__EUBSIR_02248
ERR1913312.513743__1.513743	1262911__R6GPC5__BN557_00852
ERR1913312.513945__1.513945	1262882__R5N5S3__BN519_00085
ERR1913312.514061__1.514061	1150298__R7JUX4__ERS852535_02669
ERR1913312.514067__1.514067	1262913__R7J944__BN646_00827
ERR1913312.514144__1.514144	1262882__R5MDR8__BN519_00124
ERR1913312.514281__1.514281	35833__E5YAY4__HMPREF0179_03355
ERR1913312.514491__1.514491	821__A0A0P0M2J4__DXD46_10295
ERR1913312.514593__1.514593	218538__C9LQW2__GCWU000321_01944
ERR1913312.514731__1.514731	39492__B0MM84__lgt
ERR1913312.514785__1.514785	1263000__R5EXT3__BN466_02213
ERR1913312.514944__1.514944	1262913__R7J737__BN646_00600
ERR1913312.514923__1.514923	1262882__R5MGX3__BN519_00046
ERR1913312.514999__1.514999	204516__U6R9H3__HMPREF1534_03348
ERR1913312.515251__1.515251	39492__D4JTH4__ERS852540_00702
ERR1913312.515312__1.515312	239935__A0A2N8ITX2__CXT86_11265
ERR1913312.515373__1.515373	166486__D4L398__ERS852572_03633
ERR1913312.515570__1.515570	357276__A0A076J8M3__ABI39_13695
ERR1913312.515871__1.515871	301302__A0A173UAS4__M72_15061
ERR1913312.515898__1.515898	39492__D4JTG7__EUBSIR_00572
ERR1913312.515860__1.515860	39485__R5ZVC3__ERS852490_00250
ERR1913312.515949__1.515949	371601__F7LHU5__B5E52_04280
ERR1913312.515971__1.515971	39485__A0A174ZTY8__ycfH
ERR1913312.516054__1.516054	1262913__R7JB85__BN646_01473
ERR1913312.516163__1.516163	301301__A0A395VDQ5__RHOM_08975
ERR1913312.516266__1.516266	216816__E8MVM4__APC1480_1562
ERR1913312.516291__1.516291	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913312.516695__1.516695	328814__GCA_004558275.1_00035
ERR1913312.516664__1.516664	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913312.516756__1.516756	39492__A0A174ZP27__EUBSIR_00033
ERR1913312.516786__1.516786	39492__D4JSD3__EUBSIR_00131
ERR1913312.516791__1.516791	410072__A0A173XQG6__ERS852574_01620
ERR1913312.516896__1.516896	39492__D4JUJ6__ssuB_2
ERR1913312.517073__1.517073	818__A0A0P0FLV3__ERS852430_01650
ERR1913312.517118__1.517118	1262882__R5N211__BN519_01033
ERR1913312.517220__1.517220	1262882__R5MFK5__BN519_00378
ERR1913312.517385__1.517385	46228__V8BPD3__HMPREF1202_02498
ERR1913312.517305__1.517305	1263005__R6FL85__BN497_00432
ERR1913312.517311__1.517311	357276__A0A076IS73__GV66_00410
