ERR1913265.120__1.120	1150298__R7JPB1__corA
ERR1913265.223424__1.223424	74426__argF
ERR1913265.223545__1.223545	216816__A0A395XZB7__DXD37_04075
ERR1913265.223619__1.223619	40518__R5DS23__DXD86_01715
ERR1913265.223668__1.223668	1304__A0A0A1DX26__SSAL8618_09600
ERR1913265.223682__1.223682	106588__A6NXS6__BACCAP_03021
ERR1913265.224107__1.224107	39491__C4ZHS4__EUR_24420
ERR1913265.224197__1.224197	487174__K0WR72__HMPREF9448_02610
ERR1913265.224335__1.224335	39491__A0A395ZHV7__ykvU
ERR1913265.224338__1.224338	100886__A0A174KEC0__CATMIT_00757
ERR1913265.224398__1.224398	1262911__R6GSH0__BN557_00934
ERR1913265.224430__1.224430	1304__T0T9N5__CQA85_09935
ERR1913265.224491__1.224491	216816__A0A061M1M5__HMPREF0177_01046
ERR1913265.224591__1.224591	214856__R6XS02__ERS852447_01685
ERR1913265.224594__1.224594	28117__B0MWX3__BHV66_03010
ERR1913265.224610__1.224610	821__A0A396F9T7__M097_3427
ERR1913265.224880__1.224880	1150298__A0A174DU21__toxA_3
ERR1913265.224975__1.224975	40518__R5DZE2__DXD86_07400
ERR1913265.225116__1.225116	1628085__A0A2U1B8P6__C7386_11432
ERR1913265.225334__1.225334	28117__B0MXW9__ALIPUT_01981
ERR1913265.225308__1.225308	1263109__GCA_000438135.1_01430
ERR1913265.225310__1.225310	310298__B3JNG7__BACCOP_03480
ERR1913265.225360__1.225360	292800__A0A174VL30__A4U99_16555
ERR1913265.225396__1.225396	218538__C9LPF0__GCWU000321_01429
ERR1913265.225495__1.225495	1304__A0A1V0GIJ4__SALIVB_0248
ERR1913265.225706__1.225706	40518__R5E2R8__nnr_2
ERR1913265.225776__1.225776	40518__R5DUW7__DXD83_02105
ERR1913265.225832__1.225832	28117__B0MWZ9__ALIPUT_01735
ERR1913265.225881__1.225881	630129__A0A087B5Z4__BBKW_1208
ERR1913265.225933__1.225933	216816__C2GW26__chb
ERR1913265.225988__1.225988	820__A7V9F9__B5G17_14640
ERR1913265.225959__1.225959	1262992__R5CYZ3__BN795_01363
ERR1913265.225969__1.225969	216816__D6DC09__BLIC_a02334
ERR1913265.226022__1.226022	853__A0A2J4JL53__CRH10_10795
ERR1913265.226084__1.226084	853__A0A173YYY4__DWZ04_09420
ERR1913265.226149__1.226149	310298__B3JJ10__BACCOP_01872
ERR1913265.226159__1.226159	39491__A0A396FS17__envC
ERR1913265.226235__1.226235	39491__A0A0M6WWT1__dus_2
ERR1913265.226241__1.226241	821__A0A174V2F3__NCTC10583_01474
ERR1913265.226281__1.226281	39491__A0A395V6A3__DXB69_00505
ERR1913265.226286__1.226286	1150298__R7JMX3__ERS852498_00681
ERR1913265.226448__1.226448	39491__A0A395UXH0__EUBREC_0021
ERR1913265.226587__1.226587	1262736__R5YYR0__BN496_01650
ERR1913265.226662__1.226662	487175__D9Y3S6__HMPREF9439_00920
ERR1913265.226766__1.226766	818__C6IJ09__SAMN05216253_102150
ERR1913265.226967__1.226967	1681__K2I8N0__DXD62_05100
ERR1913265.227163__1.227163	820__R9I3N4__M093_0061
ERR1913265.227236__1.227236	853__A0A2A7A4A9__C4N21_14870
ERR1913265.227455__1.227455	853__A0A173YYY4__DWZ04_09420
ERR1913265.227548__1.227548	1680__A0A076JM61__DXD63_05245
ERR1913265.227803__1.227803	40518__R5DT16__ysdC_2
ERR1913265.227916__1.227916	39485__C4Z6B7__EUBELI_20364
ERR1913265.228029__1.228029	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913265.228117__1.228117	853__A0A173XRA8__CGS56_09290
ERR1913265.228286__1.228286	28117__B0MUX4__ALIPUT_00911
ERR1913265.228294__1.228294	310298__B3JLC6__BACCOP_02712
ERR1913265.228535__1.228535	40518__R5DRY6__RB5AMG_00549
ERR1913265.228627__1.228627	821__A0A395VLM8__BvMPK_3650
ERR1913265.228695__1.228695	39491__C4ZCH3__EUR_17560
ERR1913265.228707__1.228707	853__A0A2A7B1Y7__C7K05_11930
ERR1913265.228740__1.228740	1681__K2I5X7__BJL93_01655
ERR1913265.228987__1.228987	853__A0A2A7B9I6__DW855_13690
ERR1913265.229034__1.229034	1235793__R9KSF0__C809_01679
ERR1913265.229085__1.229085	40518__R5E2F3__artQ
ERR1913265.229105__1.229105	853__A0A173XRA8__CGS56_09290
ERR1913265.229189__1.229189	40520__U2ENY9__C4886_17680
ERR1913265.229190__1.229190	39491__A0A395ZE48__DXB76_02395
ERR1913265.229362__1.229362	487175__D9Y8N2__HMPREF9439_01198
ERR1913265.229451__1.229451	853__A0A2A7B1Y7__C7K05_11930
ERR1913265.229500__1.229500	1680__A0A087DLC6__C8077_00815
ERR1913265.229536__1.229536	39491__A0A395ZE48__DXB76_02395
ERR1913265.229574__1.229574	40518__R5DUW7__DXD83_02105
ERR1913265.229685__1.229685	853__A0A173T8T3__DW882_06555
ERR1913265.229710__1.229710	40518__R5E8B6__RB5AMG_00876
ERR1913265.229737__1.229737	28117__B0MXG7__BHV66_08620
ERR1913265.229809__1.229809	39491__A0A395ZHH5__ERS852497_02076
ERR1913265.229841__1.229841	40518__R5E6K5__speA
ERR1913265.229969__1.229969	821__A0A174NSU0__BVU_3144
ERR1913265.230045__1.230045	1317__A0A380JC16__HMPREF9176_0866
ERR1913265.230227__1.230227	33043__D5HFF6__yihX
ERR1913265.230334__1.230334	147206__GCF_000156215.1_01387
ERR1913265.230344__1.230344	40518__R5DVU7__RBL236_00839
ERR1913265.230417__1.230417	47678__R5U3L4__C5Z00_12600
ERR1913265.230648__1.230648	216816__Q8G4X6__DXD52_09895
ERR1913265.230854__1.230854	28117__B0N007__BHV66_10275
ERR1913265.230976__1.230976	39491__D6DXZ8__DXB72_15035
ERR1913265.231044__1.231044	1686__B6XTQ5__B5782_1168
ERR1913265.231195__1.231195	1262911__R6HN72__BN557_00911
ERR1913265.231146__1.231146	1680__A0A174BH90__B0487_1759
ERR1913265.231242__1.231242	1680__A0A174BEE7__BSTER_1311
ERR1913265.231304__1.231304	853__A0A174C5M1__CGS58_04460
ERR1913265.231360__1.231360	28118__F9ZCN9__DHW44_07820
ERR1913265.231402__1.231402	47678__R5UAF6__ERS852494_02966
ERR1913265.231587__1.231587	487174__K0WYC5__HMPREF9448_01493
ERR1913265.231700__1.231700	1263109__GCA_000438135.1_00481
ERR1913265.231947__1.231947	853__A0A2A7B9I6__DW855_13690
ERR1913265.231995__1.231995	216816__D6ZXB6__BBL306_0063
ERR1913265.231968__1.231968	47678__R5U6B9__BACCAC_01372
ERR1913265.232101__1.232101	487174__K0WXI5__DDY40_07185
ERR1913265.232040__1.232040	853__A8SB03__C4Q21_07960
ERR1913265.232055__1.232055	28117__B0MSS1__ALIPUT_00273
ERR1913265.232251__1.232251	853__A0A2A7A4A9__C4N21_14870
ERR1913265.232273__1.232273	1680__A0A0C2YNK5__BADO_0780
ERR1913265.232330__1.232330	39486__B0G9K3__DXD18_11205
ERR1913265.232338__1.232338	40518__R5E4V5__RBL263_01242
ERR1913265.232450__1.232450	39491__A0A395ZE48__DXB76_02395
ERR1913265.232466__1.232466	1680__A0A087DHN0__AL0462_1532
ERR1913265.232742__1.232742	1680__A0A3E4SB79__BAD_1517
ERR1913265.232731__1.232731	1680__R5GRA4__ERS852382_01548
ERR1913265.233096__1.233096	39491__A0A395ZG74__licR
ERR1913265.233152__1.233152	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913265.233288__1.233288	40518__R5DY98__mepA_5
ERR1913265.233410__1.233410	820__A0A3E4W4Y7__B5G17_02055
ERR1913265.233526__1.233526	40518__R5DME2__DXD86_07315
ERR1913265.233586__1.233586	39491__A0A173U130__ERE_16110
ERR1913265.233647__1.233647	1262992__R5DE88__BN795_00202
ERR1913265.233835__1.233835	1681__A0A2U0BVI9__DD686_07310
ERR1913265.233840__1.233840	1304__J7TW34__msbA
ERR1913265.233859__1.233859	1680__A0A0B5BL52__ERS852382_00480
ERR1913265.234045__1.234045	28117__B0MT73__ALIPUT_00412
ERR1913265.234113__1.234113	1262743__R5C054__BN727_01980
ERR1913265.234148__1.234148	1262743__R5C054__BN727_01980
ERR1913265.234175__1.234175	1150298__R7JUS5__soxS_1
ERR1913265.234280__1.234280	1683__C4FEM4__BIANG_0131
ERR1913265.234303__1.234303	40518__A0A1C6H844__DXD93_02510
ERR1913265.234424__1.234424	40518__R5DXH2__DXD83_10135
ERR1913265.234439__1.234439	884684__GCA_002892425.1_01408
ERR1913265.234564__1.234564	47678__R5UG22__ERS852558_01514
ERR1913265.234755__1.234755	821__C6ZAA5__ERS852556_00403
ERR1913265.234869__1.234869	40520__A5ZRI6__DXC87_12175
ERR1913265.234923__1.234923	214856__R6YBX3__msbA_2
ERR1913265.234973__1.234973	40520__A0A3E5A422__RUMOBE_00654
ERR1913265.235017__1.235017	40518__R5DLW4__thiN
ERR1913265.235036__1.235036	853__A0A3E2U7E6__ERS852582_01640
ERR1913265.235089__1.235089	1685__A0A2X0Z9D6__CYJ38_03705
ERR1913265.235137__1.235137	821__A0A396ER29__ERS852457_02298
ERR1913265.235247__1.235247	1262992__R5D749__BN795_01063
ERR1913265.235226__1.235226	204516__U6RFU0__HMPREF1534_02545
ERR1913265.235300__1.235300	853__A0A173XRA8__CGS56_09290
ERR1913265.235370__1.235370	1262736__R5YXP7__BN496_01309
ERR1913265.235334__1.235334	40518__R5DUU0__DXD93_03985
ERR1913265.235389__1.235389	1150298__A0A174I6Y0__ERS852498_00576
ERR1913265.235494__1.235494	1263109__GCA_000438135.1_00240
ERR1913265.235498__1.235498	28117__B0MYI9__BHV66_05415
ERR1913265.235512__1.235512	1680__A0A374QDL4__LMG18897_0432
ERR1913265.235626__1.235626	1318__I1ZJN1__HMPREF9962_0374
ERR1913265.235655__1.235655	820__A7V8C2__ERS852554_01338
ERR1913265.235674__1.235674	28117__B0MYI9__BHV66_05415
ERR1913265.235780__1.235780	33043__A0A174AMG1__ERS852386_01665
ERR1913265.235830__1.235830	214856__A0A174G1M7__ERS852559_00594
ERR1913265.235944__1.235944	410072__A0A173XQG6__ERS852574_01620
ERR1913265.235948__1.235948	40518__R5E6T5__DXD86_02820
ERR1913265.236055__1.236055	39491__C4ZF05__vpr
ERR1913265.236090__1.236090	1680__A0A173W5Z2__DXC53_01290
ERR1913265.236109__1.236109	853__A0A2A7A4A9__C4N21_14870
ERR1913265.236152__1.236152	216816__B3DRY8__DPC6320_0936
ERR1913265.236181__1.236181	1680__A0A173XYA2__B0703_0121
ERR1913265.236298__1.236298	100886__E2NSF9__rpoB
ERR1913265.236304__1.236304	1965650__A0A1Y3V7C0__B5G16_11985
ERR1913265.236341__1.236341	821__A0A3E4WAR6__DXD64_10735
ERR1913265.236342__1.236342	1343__E3CNF4__comA
ERR1913265.236358__1.236358	360807__A0A396A9J5__ROSEINA2194_00828
ERR1913265.236429__1.236429	39491__A0A395ZG74__licR
ERR1913265.236438__1.236438	39491__A0A173TAZ5__DXB99_09520
ERR1913265.236529__1.236529	487174__K0X347__DIT83_07775
ERR1913265.236575__1.236575	853__A8SB03__C4Q21_07960
ERR1913265.236604__1.236604	28117__B0MYZ8__BHV66_04535
ERR1913265.236781__1.236781	40518__R5DZB3__RB5AMG_01719
ERR1913265.236891__1.236891	328813__A0A1Y3QSX5__B5G41_09440
ERR1913265.236817__1.236817	1680__A0A1X3A951__AL0462_1583
ERR1913265.236927__1.236927	884684__GCA_002892425.1_01408
ERR1913265.236989__1.236989	28117__B0MXD0__ALIPUT_01669
ERR1913265.237099__1.237099	1680__A0A087DHN0__AL0462_1532
ERR1913265.237175__1.237175	28117__B0MU76__ALIPUT_00202
ERR1913265.237302__1.237302	292800__A0A174VL30__A4U99_16555
ERR1913265.237308__1.237308	40518__R5DWH8__DXD86_04530
ERR1913265.237354__1.237354	853__A0A174BA00__DW905_01145
ERR1913265.237410__1.237410	1304__A0A1V0GIJ4__SALIVB_0248
ERR1913265.237457__1.237457	100886__E2NQ99__CATMIT_00751
ERR1913265.237495__1.237495	116085__D4J4J2__DW747_14050
ERR1913265.237501__1.237501	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913265.237566__1.237566	1680__A0A173W5Z2__DXC53_01290
ERR1913265.237681__1.237681	820__A0A173YYG4__evgS_3
ERR1913265.237695__1.237695	39491__A0A173TFQ1__rsmF
ERR1913265.237820__1.237820	1262992__R5DB53__BN795_01346
ERR1913265.237935__1.237935	310298__B3JGJ2__BACCOP_00994
ERR1913265.237948__1.237948	310298__B3JLC6__BACCOP_02712
ERR1913265.238023__1.238023	853__A0A3E2V168__FAEPRAM212_00929
ERR1913265.238058__1.238058	1150298__A0A174K7D2__ERS852498_01147
ERR1913265.238120__1.238120	40518__R5DZI2__DXD93_06940
ERR1913265.238378__1.238378	487175__A0A350CXX6__HMPREF9439_00888
ERR1913265.238389__1.238389	28117__B0MXJ1__BHV66_08445
ERR1913265.238465__1.238465	820__A0A3E4W4W5__ERS852554_02179
ERR1913265.238741__1.238741	100886__E2NWF3__CATMIT_02947
ERR1913265.238815__1.238815	1262824__R6RM58__BN719_02447
ERR1913265.239019__1.239019	328813__A0A1Y3QSV7__B5G41_09435
ERR1913265.239072__1.239072	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913265.239102__1.239102	1262992__R5DG08__BN795_00475
ERR1913265.239253__1.239253	853__A0A2A7B1Y7__C7K05_11930
ERR1913265.239286__1.239286	1150298__A0A174LLX0__dhaD
ERR1913265.239294__1.239294	1304__A0A0Y1UXU5__NX99_02180
ERR1913265.239300__1.239300	1263107__GCA_000436995.1_00040
ERR1913265.239487__1.239487	853__A0A2A7B1Y7__C7K05_11930
ERR1913265.239577__1.239577	820__A0A396CMY7__HMPREF1072_03009
ERR1913265.239678__1.239678	487175__D9Y2J1__HMPREF9439_02540
ERR1913265.239737__1.239737	28117__B0MXL6__ALIPUT_01851
ERR1913265.239837__1.239837	40518__R5DYU1__DXD86_01160
ERR1913265.239878__1.239878	853__E2ZJT1__C4N23_03535
ERR1913265.239901__1.239901	28117__B0MWP2__ALIPUT_01468
ERR1913265.239940__1.239940	28117__B0MXJ1__BHV66_08445
ERR1913265.239927__1.239927	47678__R5UU25__DXB67_16190
ERR1913265.240002__1.240002	821__A0A174AYT0__DXC02_03530
ERR1913265.240072__1.240072	1150298__A0A174DSD1__dacB_3
ERR1913265.240098__1.240098	218538__C9LQR2__GCWU000321_01894
ERR1913265.240149__1.240149	100884__E7GAR2__HMPREF9488_01852
ERR1913265.240185__1.240185	40518__R5E2F3__artQ
ERR1913265.240288__1.240288	216816__Q8G585__APC1473_0508
ERR1913265.240382__1.240382	28117__B0MY40__BHV66_05170
ERR1913265.240345__1.240345	487174__K0XEE4__DDY40_09500
ERR1913265.240498__1.240498	39491__C4ZHS4__EUR_24420
ERR1913265.240579__1.240579	39491__A0A395ZG74__licR
ERR1913265.240749__1.240749	39491__C4Z9Y3__ERS852417_01808
ERR1913265.240915__1.240915	1680__R5GPK0__B0487_0620
ERR1913265.241053__1.241053	39777__A0A3A6WLF0__HMPREF0870_01480
ERR1913265.241143__1.241143	40518__R5E6U1__yunB
ERR1913265.241443__1.241443	74426__thrZ
ERR1913265.241472__1.241472	40518__R5DLM5__RB5AMG_00422
ERR1913265.241512__1.241512	1680__R5GSL8__DXD60_03315
ERR1913265.241528__1.241528	1680__A0A3E4SB79__BAD_1517
ERR1913265.241677__1.241677	214856__A0A174FWM7__ERS852559_00590
ERR1913265.241657__1.241657	853__A0A174C5M1__CGS58_04460
ERR1913265.241659__1.241659	853__A0A2A7B1Y7__C7K05_11930
ERR1913265.241729__1.241729	33043__D5HI86__ERS852575_00288
ERR1913265.241815__1.241815	1680__R5GKP2__DXD60_06200
ERR1913265.242063__1.242063	1150298__A0A174R4D7__tmpC_2
ERR1913265.242079__1.242079	905__D2RMB3__Acfer_1861
ERR1913265.242130__1.242130	1680__R5GSL8__DXD60_03315
ERR1913265.242214__1.242214	39486__B0G7R1__DXD10_04295
ERR1913265.242464__1.242464	487174__K0WUJ5__HMPREF9448_02567
ERR1913265.242528__1.242528	40518__R5E1J2__DXD93_04070
ERR1913265.242539__1.242539	39485__C4Z6F3__EUBELI_20400
ERR1913265.242688__1.242688	853__A0A173YYY4__DWZ04_09420
ERR1913265.242735__1.242735	1150298__A0A174HB98__ERS852406_02617
ERR1913265.242766__1.242766	28117__B0MTV3__BHV66_06405
ERR1913265.242746__1.242746	100886__E2NRN8__CATMIT_01243
ERR1913265.242747__1.242747	471189__GCA_003340385.1_00366
ERR1913265.242861__1.242861	214856__A0A173YE57__ERS852559_00126
ERR1913265.242869__1.242869	39491__A0A396FPV7__ERS852580_01177
ERR1913265.242834__1.242834	1150298__R7JND0__ERS852498_02814
ERR1913265.242839__1.242839	853__A0A174C5M1__CGS58_04460
ERR1913265.242892__1.242892	40518__A0A1C6H8C4__DXD93_02535
ERR1913265.242978__1.242978	1150298__A0A174MDL5__ERS852406_00648
ERR1913265.243107__1.243107	39491__A0A395ZEN3__DXD95_12655
ERR1913265.243120__1.243120	1150298__A0A174PZ15__lytA
ERR1913265.243156__1.243156	821__A0A0P0LH09__ERS852457_03390
ERR1913265.243212__1.243212	1263109__GCA_000438135.1_00481
ERR1913265.243229__1.243229	88431__A0A3D0F1J0__ERS852526_00938
ERR1913265.243247__1.243247	291644__I9TBY1__HMPREF1532_01991
ERR1913265.243313__1.243313	39491__A0A395ZDC6__addB
ERR1913265.243484__1.243484	40518__R5E4E8__phoR_4
ERR1913265.243543__1.243543	33039__A0A173VTT4__frdB_1
ERR1913265.243564__1.243564	821__A0A395VLM8__BvMPK_3650
ERR1913265.243602__1.243602	823__D0TC25__B5F32_04575
ERR1913265.243781__1.243781	1150298__A0A174FT27__ERS852535_01803
ERR1913265.243878__1.243878	821__A0A396F598__CUU_3259
ERR1913265.243879__1.243879	1304__Q55242__V471_04485
ERR1913265.244082__1.244082	1680__A0A173W5Z2__DXC53_01290
ERR1913265.244039__1.244039	1680__A0A0C2YPV2__AL0462_1474
ERR1913265.244150__1.244150	310298__B3JK97__BACCOP_02326
ERR1913265.244262__1.244262	28117__B0MVL5__BHV66_01660
ERR1913265.244263__1.244263	820__A0A374Q4X1__HMPREF2141_02370
ERR1913265.244269__1.244269	818__Q8A0V7__BSIG_2755
ERR1913265.244367__1.244367	387661__K5ZPK6__HMPREF1077_00748
ERR1913265.244391__1.244391	116085__D4J6X5__DW747_08535
ERR1913265.244443__1.244443	216816__R5MZK3__DPC6320_1630
ERR1913265.244497__1.244497	39491__A0A395V1R3__T1815_08181
ERR1913265.244472__1.244472	820__A0A139KHD8__ERS417307_00569
ERR1913265.244626__1.244626	310298__B3JNR4__BACCOP_03579
ERR1913265.244654__1.244654	310298__B3JEV6__BACCOP_00400
ERR1913265.244678__1.244678	820__A0A173YYG4__evgS_3
ERR1913265.244698__1.244698	853__A0A173RZ39__C4N22_01650
ERR1913265.244709__1.244709	1150298__R7JRU1__degA_3
ERR1913265.244736__1.244736	39491__A0A395V1R3__T1815_08181
ERR1913265.244921__1.244921	1304__J7TYF2__hk13_3
ERR1913265.244932__1.244932	357276__I9QBT7__BSEG_03340
ERR1913265.245048__1.245048	33043__A0A173YUV6__ERS852386_00507
ERR1913265.245090__1.245090	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913265.245098__1.245098	853__A0A2A7B9I6__DW855_13690
ERR1913265.245265__1.245265	1304__J7TU69__A6J87_07685
ERR1913265.245419__1.245419	387661__R6WWH2__HMPREF1077_01384
ERR1913265.245450__1.245450	1680__R5GKP2__DXD60_06200
ERR1913265.245544__1.245544	88431__A0A174EMW0__thiD_1
ERR1913265.245584__1.245584	33043__A0A173X520__ERS852575_01617
ERR1913265.245606__1.245606	853__A0A173XRA8__CGS56_09290
ERR1913265.245699__1.245699	39492__D4JVN3__spsA
ERR1913265.245886__1.245886	310298__B3JED9__BACCOP_00230
ERR1913265.245922__1.245922	39491__A0A174LTW7__DXD13_08720
ERR1913265.245950__1.245950	1150298__A0A174TDE7__ERS852535_00299
ERR1913265.246045__1.246045	40518__R5DQJ0__DXD93_03790
ERR1913265.246210__1.246210	40518__R5DMZ0__DXD83_05610
ERR1913265.246249__1.246249	853__D4KAK8__C4N21_13380
ERR1913265.246284__1.246284	28117__B0MU76__ALIPUT_00202
ERR1913265.246366__1.246366	1681__E4VB90__DXD45_06585
ERR1913265.246411__1.246411	1263109__GCA_000438135.1_00047
ERR1913265.246448__1.246448	47678__R5UXJ2__DW706_08325
ERR1913265.246517__1.246517	40518__R5DU38__DXD83_06770
ERR1913265.246555__1.246555	40518__R5DQR9__DXD83_00030
ERR1913265.246731__1.246731	1681__K2IQY4__RY70_39
ERR1913265.246846__1.246846	28117__R7JIJ8__BHV66_01635
ERR1913265.246862__1.246862	821__A0A174JYD3__ERS852457_02610
ERR1913265.246879__1.246879	40518__R5E4V5__RBL263_01242
ERR1913265.247038__1.247038	821__E5UY21__C800_02204
ERR1913265.247050__1.247050	39491__A0A395ZG74__licR
ERR1913265.247073__1.247073	820__A0A1T4IY71__HMPREF2141_02402
ERR1913265.247267__1.247267	1150298__A0A173W9F4__ERS852498_02567
ERR1913265.247312__1.247312	487174__K0WYC5__HMPREF9448_01493
ERR1913265.247323__1.247323	821__A0A174V2F3__NCTC10583_01474
ERR1913265.247360__1.247360	214856__R6Y0B9__ERS852559_00164
ERR1913265.247385__1.247385	1262992__R5CXL4__BN795_01001
ERR1913265.247391__1.247391	39491__A0A395UVM9__DXB76_04540
ERR1913265.247641__1.247641	853__A8SCP3__C4N26_07960
ERR1913265.247746__1.247746	1150298__A0A173YHI7__ERS852406_00466
ERR1913265.247809__1.247809	39486__R6SD97__DXD10_02865
ERR1913265.248060__1.248060	1304__F8LKP1__TZ99_00769
ERR1913265.248095__1.248095	39496__A5Z5I2__EUBVEN_00963
ERR1913265.248340__1.248340	853__A0A2A7B9I6__DW855_13690
ERR1913265.248499__1.248499	884684__GCA_002892425.1_01408
ERR1913265.248619__1.248619	1304__A0A1W5ZCY0__CKU37_03270
ERR1913265.248643__1.248643	40518__R5DUU0__DXD93_03985
ERR1913265.248792__1.248792	291644__I9T9Y0__HMPREF1071_01813
ERR1913265.248836__1.248836	328813__A0A1Y3QQ66__B5G41_14240
ERR1913265.248983__1.248983	818__Q8A3I3__HMPREF2534_00068
ERR1913265.249234__1.249234	487175__D9Y3H6__HMPREF9439_00946
ERR1913265.249337__1.249337	853__A0A173TAZ8__DWZ46_14590
ERR1913265.249352__1.249352	39491__A0A396FEW6__T1815_18721
ERR1913265.249359__1.249359	310298__B3JHU0__BACCOP_01452
ERR1913265.249360__1.249360	1262743__R5C054__BN727_01980
ERR1913265.249456__1.249456	357276__B6VXX7__HMPREF1063_02683
ERR1913265.249655__1.249655	28117__R7JIJ8__BHV66_01635
ERR1913265.249829__1.249829	1304__F8LHC8__A6J87_02615
ERR1913265.249958__1.249958	821__A6L0C7__ERS852556_03520
ERR1913265.249974__1.249974	214856__A0A174ZLY7__ERS852447_02456
ERR1913265.250175__1.250175	1150298__A0A174SLE6__mlc_1
ERR1913265.250216__1.250216	40518__R5E1J7__RBL236_02062
ERR1913265.250345__1.250345	1680__A7A8N9__BBMN23_1271
ERR1913265.250381__1.250381	821__A0A174NM17__lacZ_6
ERR1913265.250333__1.250333	820__A0A1T4IY80__ERS852554_01621
ERR1913265.250338__1.250338	1628085__A0A396Q6V9__C7386_102126
ERR1913265.250341__1.250341	1735__B7CCH2__EUBIFOR_01900
ERR1913265.250564__1.250564	39491__A0A174K9A3__DXB69_07785
ERR1913265.250663__1.250663	1262739__R6MZI8__BN659_01574
ERR1913265.250819__1.250819	39491__A0A396FS17__envC
ERR1913265.250858__1.250858	291644__I9T9Y0__HMPREF1071_01813
ERR1913265.251193__1.251193	1686__B6XUP4__BCAT_1210
ERR1913265.251198__1.251198	853__A0A2A7B9I6__DW855_13690
ERR1913265.251242__1.251242	40518__R5E1J7__RBL236_02062
ERR1913265.251255__1.251255	216816__A0A133LQN7__BL15B_00780
ERR1913265.251259__1.251259	204516__U6RMH5__HMPREF1534_00591
ERR1913265.251304__1.251304	39488__A0A174B7Y0__ERS852450_00913
ERR1913265.251309__1.251309	214856__A0A174EJT5__mnmA
ERR1913265.251390__1.251390	39491__A0A395ZGU6__ERS852417_01456
ERR1913265.251457__1.251457	310298__B3JMZ2__BACCOP_03297
ERR1913265.251468__1.251468	40518__R5DME2__DXD86_07315
ERR1913265.251479__1.251479	1304__F8LK78__STRSA0001_0840
ERR1913265.251498__1.251498	1304__A0A0A1DX26__SSAL8618_09600
ERR1913265.251602__1.251602	487174__R5FN40__HMPREF9448_01366
ERR1913265.251647__1.251647	1150298__A0A174FT13__ERS852406_02197
ERR1913265.251720__1.251720	821__R7P1Q7__M099_2990
ERR1913265.251729__1.251729	40518__R5E2R8__nnr_2
ERR1913265.252112__1.252112	28117__B0MUT8__ALIPUT_00879
ERR1913265.252332__1.252332	39491__A0A396FNY7__LD38_16155
ERR1913265.252358__1.252358	40519__U2MCQ8__RUMCAL_00556
ERR1913265.252294__1.252294	39491__C4ZC33__DXC13_11585
ERR1913265.252413__1.252413	446660__GCA_003428235.1_00357
ERR1913265.252423__1.252423	40518__R5DPI9__DXD83_07375
ERR1913265.252515__1.252515	28117__B0MVL5__BHV66_01660
ERR1913265.252589__1.252589	310298__B3JH76__BACCOP_01230
ERR1913265.252594__1.252594	39491__A0A0M6WWT1__dus_2
ERR1913265.252639__1.252639	28118__F9ZAK8__NCTC10826_02458
ERR1913265.252709__1.252709	39491__A0A395ZGU6__ERS852417_01456
ERR1913265.252741__1.252741	1304__A0A1V0GL68__CGZ74_06870
ERR1913265.252941__1.252941	39491__A0A396FKG5__DXB76_07455
ERR1913265.252975__1.252975	100886__E2NNK0__ERS852383_03515
ERR1913265.253021__1.253021	1680__A0A174BEE7__BSTER_1311
ERR1913265.253046__1.253046	28118__F9Z5N6__SAMEA44545918_01718
ERR1913265.253014__1.253014	853__A0A2A7ATM9__DWZ89_13645
ERR1913265.253126__1.253126	28117__B0MTV0__BHV66_06395
ERR1913265.253155__1.253155	1150298__A0A174QS63__ERS852406_03087
ERR1913265.253184__1.253184	1262746__R5SS80__BN750_02125
ERR1913265.253305__1.253305	823__A0A078SYK6__DXB14_02485
ERR1913265.253347__1.253347	39491__A0A395ZG74__licR
ERR1913265.253407__1.253407	1262992__R5DH03__BN795_00664
ERR1913265.253445__1.253445	1263109__GCA_000438135.1_00053
ERR1913265.253478__1.253478	357276__I9QBT7__BSEG_03340
ERR1913265.253520__1.253520	310298__B3JMG0__BACCOP_03099
ERR1913265.253692__1.253692	1680__A0A173W5Z2__DXC53_01290
ERR1913265.253650__1.253650	1680__A0A0B5BME4__DXD63_05015
ERR1913265.253731__1.253731	33043__A0A173YQY3__ERS852445_01438
ERR1913265.253815__1.253815	40518__R5DZ16__DXD86_01455
ERR1913265.253830__1.253830	823__A6LHJ7__ERS852380_00253
ERR1913265.254155__1.254155	28117__R7JPX7__BHV66_00900
ERR1913265.254380__1.254380	487174__K0WYI1__DDY40_08675
ERR1913265.254479__1.254479	39491__A0A395V464__EUBREC_1509
ERR1913265.254569__1.254569	204516__U6RJY4__HMPREF1534_01494
ERR1913265.254607__1.254607	1150298__R7JL35__ERS852498_02809
ERR1913265.254636__1.254636	40518__R5DY98__mepA_5
ERR1913265.254658__1.254658	39491__D6E2U1__EUBREC_3278
ERR1913265.254709__1.254709	823__A0A073I748__M096_3057
ERR1913265.254831__1.254831	74426__rpoC
ERR1913265.254863__1.254863	310298__B3JQL6__BACCOP_04252
ERR1913265.254957__1.254957	1304__T0SYC6__TZ98_01429
ERR1913265.255004__1.255004	360807__A0A0M6WZU2__ROSEINA2194_04025
