ERR1913243.162__1.162	487174__K0WZN5__HMPREF9448_01108
ERR1913243.148441__1.148441	2292352__A0A374UMQ2__DXC23_07970
ERR1913243.148453__1.148453	39492__D4JUP6__ERS852540_01404
ERR1913243.148418__1.148418	471189__GCA_003340385.1_00712
ERR1913243.148493__1.148493	487174__K0X3L3__DDY40_11345
ERR1913243.148512__1.148512	40518__R5DX17__DXD86_01230
ERR1913243.148750__1.148750	1262824__R6RKY7__BN719_01145
ERR1913243.148850__1.148850	39492__A0A174ZG93__EUBSIR_00254
ERR1913243.148859__1.148859	301302__R5UTG6__M72_25801
ERR1913243.148953__1.148953	1262882__R5N1T9__BN519_00804
ERR1913243.148877__1.148877	1262882__R5MSQ8__BN519_01647
ERR1913243.148984__1.148984	556259__E5C690__BSGG_1431
ERR1913243.149140__1.149140	1262989__R6Y8C1__BN815_01420
ERR1913243.149227__1.149227	1262882__R5MFA5__BN519_00331
ERR1913243.149353__1.149353	1535__A7VU50__CH238_00980
ERR1913243.149295__1.149295	1262911__R6H2J2__BN557_01228
ERR1913243.149358__1.149358	46503__R6X275__DD461_10840
ERR1913243.149431__1.149431	40518__R5DLU0__fmt
ERR1913243.149583__1.149583	626933__H1DGX0__HMPREF9449_01506
ERR1913243.149591__1.149591	371601__A0A1C7H1Z9__BN890_35950
ERR1913243.149576__1.149576	487174__K0X591__DDY40_01805
ERR1913243.149726__1.149726	40518__R5E6K5__speA
ERR1913243.149731__1.149731	329854__R7E733__DXD57_00120
ERR1913243.149854__1.149854	328814__GCA_004558275.1_00035
ERR1913243.150119__1.150119	1262882__R5MM25__BN519_00600
ERR1913243.150165__1.150165	745368__A0A1T4WAW2__SAMN02745178_00328
ERR1913243.150333__1.150333	40518__R5E4X1__DXD93_05270
ERR1913243.150372__1.150372	357276__A0A076IP73__BACDOR_04237
ERR1913243.150419__1.150419	1262882__R5MYP8__BN519_00439
ERR1913243.150427__1.150427	84030__D6DEV7__B5F06_01955
ERR1913243.150441__1.150441	1550024__G9RNN5__TQ39_03430
ERR1913243.150458__1.150458	1262882__R5MXW0__BN519_00317
ERR1913243.150502__1.150502	823__A0A174WTX5__DD466_11965
ERR1913243.150655__1.150655	39492__D4JWY0__EUBSIR_01648
ERR1913243.150725__1.150725	33039__A0A173VTT4__frdB_1
ERR1913243.150866__1.150866	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913243.150894__1.150894	39492__D4JRM9__bglB_2
ERR1913243.150999__1.150999	1501391__GCA_000786575.1_00002
ERR1913243.151080__1.151080	410072__A0A173Y8R3__rng
ERR1913243.151160__1.151160	39492__D4JS46__EUBSIR_02553
ERR1913243.151215__1.151215	239935__A0A2N8IKW7__pstA
ERR1913243.151403__1.151403	40518__R5DTG5__RBATCC27255_00890
ERR1913243.151407__1.151407	40518__R5DXI4__DXD86_07420
ERR1913243.151408__1.151408	2108523__A0A2P2FCH7__LAWASA_3739
ERR1913243.151492__1.151492	1263107__GCA_000436995.1_00168
ERR1913243.151516__1.151516	1550024__A0A3B9WKW6__TQ39_07780
ERR1913243.151547__1.151547	384639__GCA_003096855.1_00684
ERR1913243.151695__1.151695	40518__R5E4X1__DXD93_05270
ERR1913243.151843__1.151843	39492__D4MN06__EUBSIR_02672
ERR1913243.151916__1.151916	39492__A0A174ZL16__EUBSIR_01269
ERR1913243.152097__1.152097	39488__A0A174JE42__ERS852450_02774
ERR1913243.152136__1.152136	328814__GCA_004558275.1_00062
ERR1913243.152286__1.152286	46506__R6AC22__HMPREF1181_00516
ERR1913243.152334__1.152334	100884__E7G7E4__HMPREF9488_00658
ERR1913243.152474__1.152474	1550024__A0A0W7TQU7__TQ39_10940
ERR1913243.152611__1.152611	410072__A0A3E4GQ67__sigV_1
ERR1913243.152618__1.152618	1262882__R5MPY4__BN519_01128
ERR1913243.152927__1.152927	1550024__G9RZG0__ASJ35_05540
ERR1913243.152989__1.152989	39492__D4JR58__EUBSIR_02090
ERR1913243.153028__1.153028	1588754__A0A134CNQ9__HMPREF3191_00192
ERR1913243.153075__1.153075	1262743__R5C054__BN727_01980
ERR1913243.153404__1.153404	1262882__R5MH82__BN519_00752
ERR1913243.153608__1.153608	39492__D4JV70__EUBSIR_01253
ERR1913243.153805__1.153805	823__A6LBY1__ERS852380_00510
ERR1913243.153852__1.153852	40518__R5DRY6__RB5AMG_00549
ERR1913243.153920__1.153920	328814__GCA_004558275.1_00989
ERR1913243.153952__1.153952	28116__A0A3A9HTT7__BACOVA_05446
ERR1913243.154052__1.154052	40520__A0A3E5EEQ6__ERS852394_00491
ERR1913243.154006__1.154006	239935__A0A139TPG3__CXT86_08810
ERR1913243.154129__1.154129	2137880__A0A316NPY5__DBY21_08940
ERR1913243.154155__1.154155	39492__D4JQM9__EUBSIR_00669
ERR1913243.154157__1.154157	1262882__R5N5W2__BN519_00074
ERR1913243.154163__1.154163	40518__R5DU52__RB5AMG_02245
ERR1913243.154201__1.154201	1263000__R5ECL2__BN466_00920
ERR1913243.154300__1.154300	40520__R7DAS1__RUMOBE_00778
ERR1913243.154373__1.154373	40518__R5DP91__RBL236_00890
ERR1913243.154817__1.154817	1550024__G9RWQ7__ASJ35_03880
ERR1913243.154935__1.154935	328814__GCA_004558275.1_01004
ERR1913243.154961__1.154961	39492__D4JTI2__ERS852540_00694
ERR1913243.155025__1.155025	418240__A0A173X9L0__ERS852523_01318
ERR1913243.155290__1.155290	301302__R5V5K3__M72_10541
ERR1913243.155308__1.155308	208479__A8RLB0__CGC65_23115
ERR1913243.155423__1.155423	28117__B0MTV3__BHV66_06405
ERR1913243.155550__1.155550	39492__B0MNL5__phoR_1
ERR1913243.155696__1.155696	1262882__R5MNC1__BN519_00818
ERR1913243.155710__1.155710	28117__B0N028__BHV66_05935
ERR1913243.155858__1.155858	239935__A0A2N8IMC9__CXU09_02095
ERR1913243.156166__1.156166	487174__K0XA68__DDY40_04135
ERR1913243.156194__1.156194	1263107__GCA_000436995.1_00175
ERR1913243.156255__1.156255	1262882__R5N3H1__BN519_01121
ERR1913243.156448__1.156448	1550024__A0A0W7TQU7__TQ39_10940
ERR1913243.156523__1.156523	2108523__A0A2P2FCY3__LAWASA_3926
ERR1913243.156706__1.156706	39492__R6RYB8__ERS852540_00322
ERR1913243.156798__1.156798	40518__R5DXW3__DXD86_07900
ERR1913243.156956__1.156956	39488__A0A174IFL3__DXD91_00270
ERR1913243.157020__1.157020	1262882__R5N3T7__BN519_01188
ERR1913243.156975__1.156975	328814__GCA_004558275.1_00074
ERR1913243.157068__1.157068	40518__R5E2R8__nnr_2
ERR1913243.157115__1.157115	1262882__R5MFR3__BN519_00473
ERR1913243.157210__1.157210	446660__GCA_003428235.1_02052
ERR1913243.157291__1.157291	40518__A0A2N0UK36__RBATCC27255_01376
ERR1913243.157354__1.157354	40518__R5E7G3__DXD86_03405
ERR1913243.157465__1.157465	328814__GCA_004558275.1_00990
ERR1913243.157538__1.157538	1262882__R5N048__BN519_00502
ERR1913243.157590__1.157590	2022527__A0A264Y7D2__CHL74_07285
ERR1913243.157675__1.157675	1262882__R5MH82__BN519_00752
ERR1913243.157761__1.157761	39492__D4JV86__spoIIE
ERR1913243.157950__1.157950	1262882__R5N1L4__BN519_00757
ERR1913243.157956__1.157956	328814__GCA_004558275.1_00018
ERR1913243.158094__1.158094	292800__A0A174W622__ADH75_01915
ERR1913243.158070__1.158070	39492__D4JQU6__ERS852540_02194
ERR1913243.158154__1.158154	40518__R5E6X1__DXD83_01720
ERR1913243.158243__1.158243	28117__B0MTY2__BHV66_06485
ERR1913243.158244__1.158244	1550024__A0A3B9WH35__TQ39_04960
ERR1913243.158481__1.158481	1550024__A0A3B9WJZ9__TQ39_02585
ERR1913243.158500__1.158500	823__A0A174UI22__CF162_13840
ERR1913243.158885__1.158885	1262882__R5N3H1__BN519_01121
ERR1913243.158948__1.158948	1262882__R5N5S3__BN519_00085
ERR1913243.159054__1.159054	46503__R6Y4W3__DXB85_01650
ERR1913243.159083__1.159083	291645__I9S327__HMPREF1068_02550
ERR1913243.159206__1.159206	40518__R5DUU0__DXD93_03985
ERR1913243.159393__1.159393	28116__E5C3L0__B5F02_21065
ERR1913243.159505__1.159505	821__E5UY21__C800_02204
ERR1913243.159514__1.159514	2292352__A0A374URH1__DXC23_03540
ERR1913243.159567__1.159567	239935__A0A2N8HBM4__CXT85_06270
ERR1913243.160061__1.160061	39492__D4JSD3__EUBSIR_00131
ERR1913243.160300__1.160300	1550024__G9RT62__ASJ35_10800
ERR1913243.160437__1.160437	1263086__GCA_000431395.1_00669
ERR1913243.160468__1.160468	820__A7VAR9__ERS852421_00197
ERR1913243.160540__1.160540	40518__R5E6K4__RB5AMG_02070
ERR1913243.160615__1.160615	246787__A0A0P0GJZ5__BcellWH2_01116
ERR1913243.160632__1.160632	39492__D4JUN0__EUBSIR_02705
ERR1913243.160682__1.160682	40518__R5DYP7__envC
ERR1913243.160730__1.160730	371601__D7K8P3__SAMN05216250_10395
ERR1913243.160765__1.160765	35833__S2KTV4__HMPREF0179_05216
ERR1913243.160890__1.160890	649756__D4MX28__ERS852520_02831
ERR1913243.161018__1.161018	28117__B0MU76__ALIPUT_00202
ERR1913243.161145__1.161145	239935__A0A2N8ITW6__CXT91_06265
ERR1913243.161349__1.161349	239935__R6J5N6__CXT99_10770
ERR1913243.161362__1.161362	239935__A0A2N8IHY1__CXU06_00035
ERR1913243.161437__1.161437	552398__F4XCQ4__HMPREF0866_01621
ERR1913243.161467__1.161467	821__A0A395US34__C5Z04_18975
ERR1913243.161592__1.161592	1262882__R5N0C3__BN519_00731
ERR1913243.161708__1.161708	39492__B0MNL5__phoR_1
ERR1913243.161784__1.161784	1263086__GCA_000431395.1_00669
ERR1913243.161823__1.161823	39492__D4MM10__EUBSIR_01460
ERR1913243.161986__1.161986	239935__A0A139TQT9__Amuc_1197
ERR1913243.162020__1.162020	239935__A0A3F3KBB8__CXU16_06755
ERR1913243.162127__1.162127	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913243.162128__1.162128	357276__A0A0M1W1I8__ABI39_13620
ERR1913243.162298__1.162298	39492__D4JRZ7__smc
ERR1913243.162528__1.162528	40518__R5DSI5__fieF
ERR1913243.162595__1.162595	2173__A0A1D2WW38__METSMIF1_03111
ERR1913243.162847__1.162847	820__A0A174CK74__DXB48_07060
ERR1913243.162890__1.162890	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913243.162898__1.162898	1262882__A0A356PSJ4__BN519_01180
ERR1913243.163015__1.163015	28026__A0A3E5HSU4__DXD71_06220
ERR1913243.163018__1.163018	1262882__R5MSS9__BN519_01662
ERR1913243.163130__1.163130	40518__R5E6X1__DXD83_01720
ERR1913243.163173__1.163173	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913243.163238__1.163238	40518__R5DUU0__DXD93_03985
ERR1913243.163242__1.163242	2173__A0A1D2WX19__METSMIF1_03132
ERR1913243.163526__1.163526	1262882__R5MKI3__BN519_00334
ERR1913243.163784__1.163784	328814__GCA_004558275.1_00014
ERR1913243.163846__1.163846	28117__B0N028__BHV66_05935
ERR1913243.164210__1.164210	40518__R5E4X1__DXD93_05270
ERR1913243.164327__1.164327	2108523__A0A2P2F5J6__LAWASA_1285
ERR1913243.164349__1.164349	1263000__R5EKG2__BN466_02040
ERR1913243.164403__1.164403	40518__R5DNY7__RBATCC27255_00367
ERR1913243.164426__1.164426	471189__GCA_003340385.1_00411
ERR1913243.164434__1.164434	1262948__R7ECN6__BN671_00406
ERR1913243.164474__1.164474	1262882__R5MMP8__BN519_01654
ERR1913243.164760__1.164760	246787__A0A108TBH4__BACCELL_02980
ERR1913243.164844__1.164844	1393034__GCA_001552785.1_00728
ERR1913243.164851__1.164851	239935__A0A139TMG9__CXU07_10650
ERR1913243.164936__1.164936	39486__G1WMI6__DXD18_00590
ERR1913243.165061__1.165061	39485__A0A174ZBK4__ERS852490_01585
ERR1913243.165072__1.165072	40518__R5DV66__DXD83_04215
ERR1913243.165080__1.165080	1263000__R5EB82__BN466_00644
ERR1913243.165191__1.165191	820__A0A3E4WCX3__C801_02709
ERR1913243.165355__1.165355	2173__A5UNK1__METSMIF1_03217
ERR1913243.165376__1.165376	40518__R5DLM5__RB5AMG_00422
ERR1913243.165413__1.165413	1262739__R6M9P7__BN659_01903
ERR1913243.165428__1.165428	1550024__A0A0W7TR84__TQ39_05305
ERR1913243.165847__1.165847	28026__A0A174ANJ0__BPS1E_1565
ERR1913243.166000__1.166000	418240__C6JH11__ERS852523_02507
ERR1913243.166078__1.166078	33039__A0A174ZIS2__RTO_10090
ERR1913243.166084__1.166084	328814__GCA_004558275.1_00095
ERR1913243.166197__1.166197	338188__C9L213__ERS852397_00630
ERR1913243.166225__1.166225	1550024__A0A0D8IY61__ASJ35_05690
ERR1913243.166385__1.166385	84136__GCF_000469465.1_01120
ERR1913243.166398__1.166398	821__A0A0P0LH09__ERS852457_03390
ERR1913243.166526__1.166526	1501391__GCA_000786575.1_00155
ERR1913243.166971__1.166971	301302__R5UTG6__M72_25801
ERR1913243.167083__1.167083	418240__A0A173X9L0__ERS852523_01318
ERR1913243.167463__1.167463	40518__R5E282__DXD86_08940
ERR1913243.167533__1.167533	40518__R5E7G3__DXD86_03405
ERR1913243.167636__1.167636	1550024__A0A0D8IWU5__TQ39_13940
ERR1913243.167729__1.167729	40518__R5DNI6__RBATCC27255_00844
ERR1913243.167864__1.167864	40518__R5DWB0__DXD86_00925
ERR1913243.168196__1.168196	1263000__R5EKR3__BN466_00099
ERR1913243.168409__1.168409	239935__R6JCH3__CXT95_08205
ERR1913243.168612__1.168612	239935__A0A2N8IU45__DEF40_02365
ERR1913243.168804__1.168804	1262882__R5N5S3__BN519_00085
ERR1913243.168870__1.168870	28117__B0MUY3__BHV66_00515
ERR1913243.169115__1.169115	1501391__GCA_000786575.1_00041
ERR1913243.169259__1.169259	1262911__R6H0U7__BN557_01104
ERR1913243.169463__1.169463	40518__R5E2R8__nnr_2
ERR1913243.169476__1.169476	40518__R5DQL2__RBATCC27255_00937
ERR1913243.169565__1.169565	2108523__A0A2P2FD44__LAWASA_3973
ERR1913243.169615__1.169615	28116__A0A1Y4Q112__evgS_13
ERR1913243.169899__1.169899	40518__R5DV58__htrA
ERR1913243.169918__1.169918	239935__A0A2N8I3G2__CXT89_00720
ERR1913243.170235__1.170235	40518__R5DVR2__RBL236_00303
ERR1913243.170421__1.170421	2292352__A0A374UQJ9__DXC23_03560
ERR1913243.170451__1.170451	40518__A0A373KL92__RBATCC27255_01378
ERR1913243.170513__1.170513	40520__D4LUV4__DXB81_08455
ERR1913243.170574__1.170574	820__A0A174LIN6__HMPREF1072_03144
ERR1913243.170861__1.170861	40518__R5DY98__mepA_5
ERR1913243.170979__1.170979	821__E5UMZ6__BVU_1450
ERR1913243.170980__1.170980	154046__A0A3E4U134__ERS852528_03923
ERR1913243.171145__1.171145	1262882__R5MEN9__BN519_00201
ERR1913243.171234__1.171234	649756__D4MZ64__ERS852425_00811
ERR1913243.171556__1.171556	40518__R5DQL2__RBATCC27255_00937
ERR1913243.171847__1.171847	328814__GCA_004558275.1_00018
ERR1913243.171864__1.171864	28117__B0MUT8__ALIPUT_00879
ERR1913243.171907__1.171907	39492__D4JUT9__ERS852540_01449
ERR1913243.171982__1.171982	1501391__GCA_000786575.1_00063
ERR1913243.172049__1.172049	47678__A5ZF31__DXB67_11050
ERR1913243.172033__1.172033	487174__R5FJY1__DDY40_07045
ERR1913243.172093__1.172093	28117__B0N007__BHV66_10275
ERR1913243.172198__1.172198	29361__B6FRT6__CLONEX_02860
ERR1913243.172168__1.172168	1262882__R5MZZ3__BN519_00482
ERR1913243.172404__1.172404	328814__GCA_004558275.1_00992
ERR1913243.173060__1.173060	1262992__R5D3X7__BN795_00539
ERR1913243.173229__1.173229	1262882__R5N3T7__BN519_01188
ERR1913243.173256__1.173256	40518__R5E4X1__DXD93_05270
ERR1913243.173621__1.173621	1263000__R5EJ27__BN466_01916
ERR1913243.173700__1.173700	239935__R7E524__CXT91_06180
ERR1913243.173853__1.173853	487174__K0WZ94__HMPREF9448_00984
ERR1913243.173920__1.173920	28117__B0MTH2__ALIPUT_00061
ERR1913243.173994__1.173994	28117__B0MTW8__ALIPUT_00502
ERR1913243.174163__1.174163	1262882__R5MZ58__BN519_00525
ERR1913243.174238__1.174238	39492__D4JQM9__EUBSIR_00669
ERR1913243.174394__1.174394	40518__R5DZ88__DXD93_06320
ERR1913243.174407__1.174407	239935__A0A3F3KBB8__CXU16_06755
ERR1913243.174488__1.174488	649756__A0A173TB83__HMPREF0369_01758
ERR1913243.174513__1.174513	1535__A7VY24__CLOLEP_03500
ERR1913243.174532__1.174532	1262882__R5MGX3__BN519_00046
ERR1913243.174606__1.174606	1432052__A0A1E3AVS2__BEI60_31905
ERR1913243.174785__1.174785	40518__R5E7S2__RBL263_00671
ERR1913243.174839__1.174839	28117__B0MWC6__BHV66_00965
ERR1913243.174863__1.174863	246787__A0A0P0GLJ1__BcellWH2_01674
ERR1913243.174942__1.174942	40518__R5E6U1__yunB
ERR1913243.175186__1.175186	154046__A0A174GL73__DXB08_29205
ERR1913243.175261__1.175261	1262882__R5N0C3__BN519_00731
ERR1913243.175396__1.175396	328814__GCA_004558275.1_00059
ERR1913243.175603__1.175603	28117__B0MSR5__BHV66_02095
ERR1913243.175687__1.175687	823__A0A395YZ10__NCTC11152_02955
ERR1913243.175759__1.175759	40518__R5DYU1__DXD86_01160
ERR1913243.175835__1.175835	853__A0A173T8T3__DW882_06555
ERR1913243.175865__1.175865	246787__R6LGB3__BcellWH2_02361
ERR1913243.175980__1.175980	487174__K0XQM6__HMPREF9448_00330
ERR1913243.176025__1.176025	1262882__R5MYP8__BN519_00439
ERR1913243.176190__1.176190	544644__GCA_001915615.1_02354
ERR1913243.176515__1.176515	820__A0A1Q6IDS8__chtA
ERR1913243.176704__1.176704	40518__R5E2F3__artQ
ERR1913243.176899__1.176899	544644__GCA_001915615.1_02043
ERR1913243.177003__1.177003	820__A0A139KIL9__DXC68_05945
ERR1913243.177247__1.177247	40518__R5DZC6__mreC
ERR1913243.177392__1.177392	40518__R5E6X5__sbcD
ERR1913243.177446__1.177446	1262882__R5MIW5__BN519_00945
ERR1913243.177652__1.177652	1550024__A0A0D8IZ03__ASJ35_10695
ERR1913243.177665__1.177665	487174__K0X455__HMPREF9448_00399
ERR1913243.177745__1.177745	1302__A8AZI8__SGO_1932
ERR1913243.177764__1.177764	487174__K0WRH0__DDY40_05725
ERR1913243.177856__1.177856	1262882__R5MIY9__BN519_01097
ERR1913243.177884__1.177884	821__E5UY21__C800_02204
ERR1913243.177990__1.177990	418240__C6JGW8__ERS852523_02296
ERR1913243.178088__1.178088	471189__GCA_003340385.1_00567
ERR1913243.178195__1.178195	1262911__R6GYT4__BN557_00617
ERR1913243.178280__1.178280	28117__B0MWP2__ALIPUT_01468
ERR1913243.178320__1.178320	1262882__R5MHZ2__BN519_00742
ERR1913243.178336__1.178336	40518__R5DQL2__RBATCC27255_00937
ERR1913243.178489__1.178489	1262882__R5N048__BN519_00502
ERR1913243.178595__1.178595	239935__A0A2N8IL82__CXU02_11740
ERR1913243.178738__1.178738	471189__GCA_003340385.1_00050
ERR1913243.179011__1.179011	1547__H1ANU7__frlR
ERR1913243.179172__1.179172	40518__R5DNI6__RBATCC27255_00844
ERR1913243.179191__1.179191	823__A0A355XKQ8__DHP27_04010
ERR1913243.179351__1.179351	446660__GCA_003428235.1_01044
ERR1913243.179400__1.179400	40518__R5DUU0__DXD93_03985
ERR1913243.179563__1.179563	1099853__U5CJQ4__NSB1T_11640
ERR1913243.179673__1.179673	239935__B2UQP8__CXU15_01110
ERR1913243.179679__1.179679	39492__D4MJF3__EUBSIR_02248
ERR1913243.179811__1.179811	1262882__R5MRS7__BN519_01490
ERR1913243.179851__1.179851	310298__B3JQJ5__BACCOP_04231
ERR1913243.179889__1.179889	328814__GCA_004558275.1_01976
ERR1913243.179892__1.179892	1262882__R5N2A9__BN519_00921
ERR1913243.180046__1.180046	40518__R5DNY7__RBATCC27255_00367
ERR1913243.180069__1.180069	1262882__R5MQ63__BN519_01173
ERR1913243.180115__1.180115	1263006__R6LU28__BN515_01365
ERR1913243.180167__1.180167	649756__D4N1B6__HMPREF0369_02032
ERR1913243.180450__1.180450	39492__D4JRV7__EUBSIR_01513
ERR1913243.180410__1.180410	39492__D4MJF3__EUBSIR_02248
ERR1913243.180414__1.180414	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913243.180954__1.180954	410072__C0BC38__ERS852574_02017
ERR1913243.181327__1.181327	39492__D4JT75__EUBSIR_01776
ERR1913243.181507__1.181507	39492__D4JR08__ERS852540_02467
ERR1913243.181593__1.181593	246787__R6K756__HMPREF1062_01819
ERR1913243.181668__1.181668	35833__E5Y305__HMPREF0179_00566
ERR1913243.181699__1.181699	823__A0A174LWY0__lepB
ERR1913243.181704__1.181704	88431__A0A174L1Y3__cat
ERR1913243.181883__1.181883	40518__R5DVL2__penA
ERR1913243.181933__1.181933	39492__D4JR58__EUBSIR_02090
ERR1913243.181905__1.181905	410072__A0A174K186__ERS852481_00847
ERR1913243.182009__1.182009	246787__A0A3D6AV26__BcellWH2_02579
ERR1913243.182123__1.182123	1262882__R5N532__BN519_01420
ERR1913243.182337__1.182337	40518__R5DR96__RBATCC27255_01185
ERR1913243.182318__1.182318	246787__A0A0P0GNX3__BACCELL_00807
ERR1913243.182605__1.182605	40518__R5DUG7__sbcC
ERR1913243.182728__1.182728	40518__A0A373KL92__RBATCC27255_01378
ERR1913243.182913__1.182913	28026__A0A174CDN1__DXC83_09100
ERR1913243.182943__1.182943	239935__A0A2N8HQY4__CXT99_03170
ERR1913243.182963__1.182963	39492__D4JRV7__EUBSIR_01513
ERR1913243.183079__1.183079	39492__D4JWI6__EUBSIR_01073
ERR1913243.183232__1.183232	39488__A0A173TAA3__EUBHAL_03220
ERR1913243.183263__1.183263	1262882__R5N5J6__BN519_01504
ERR1913243.183303__1.183303	246787__A0A3D6AS39__ina
ERR1913243.183479__1.183479	39492__D4JWY0__EUBSIR_01648
ERR1913243.183655__1.183655	1262911__R6H1D2__BN557_00855
ERR1913243.183821__1.183821	328814__GCA_004558275.1_00035
ERR1913243.183822__1.183822	471189__GCA_003340385.1_00366
ERR1913243.183853__1.183853	116085__D4J7N1__DW747_15135
ERR1913243.183999__1.183999	357276__A0A076IXE0__HMPREF1064_04364
ERR1913243.184138__1.184138	40518__R5DYM0__DXD86_08165
ERR1913243.184289__1.184289	40518__R5DSI5__fieF
ERR1913243.184340__1.184340	823__K6AS99__ERS852429_01856
ERR1913243.184478__1.184478	1262882__R5MRS7__BN519_01490
ERR1913243.184640__1.184640	40518__R5E2F3__artQ
ERR1913243.184616__1.184616	821__I9R3W6__DXC16_12455
ERR1913243.184971__1.184971	39488__A0A173RH64__EUBHAL_01712
ERR1913243.184920__1.184920	1262882__R5MSI5__BN519_01596
ERR1913243.185165__1.185165	1262882__R5MGX3__BN519_00046
ERR1913243.185101__1.185101	28026__A0A396BDZ7__DXC83_06050
ERR1913243.185616__1.185616	28117__B0MXQ6__ALIPUT_01917
ERR1913243.185855__1.185855	357276__B6W1J2__BACDOR_03380
ERR1913243.186082__1.186082	39486__B0G2S6__DXC93_16450
ERR1913243.186099__1.186099	823__D7IV95__DXC05_09565
ERR1913243.186220__1.186220	40518__R5DYF6__RBL263_01812
ERR1913243.186402__1.186402	39492__D4JV86__spoIIE
ERR1913243.186429__1.186429	40518__R5DR72__RBL236_02110
ERR1913243.186513__1.186513	39492__D4JTB5__EUBSIR_01720
ERR1913243.186530__1.186530	46503__A7AG53__DD461_14240
ERR1913243.186542__1.186542	39492__D4JV70__EUBSIR_01253
ERR1913243.186567__1.186567	2292352__A0A374US54__DXC23_03155
ERR1913243.186636__1.186636	817__A0A396EMI5__M134_2664
ERR1913243.186637__1.186637	1262882__R5MND9__BN519_00831
ERR1913243.186593__1.186593	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913243.186615__1.186615	301302__R5ULQ3__ERS852420_02626
ERR1913243.186864__1.186864	1262882__R5MYX5__BN519_00333
ERR1913243.186866__1.186866	823__A0A174W1A8__panE
ERR1913243.186794__1.186794	2292352__A0A374URH1__DXC23_03540
ERR1913243.186955__1.186955	40518__R5E2F3__artQ
ERR1913243.187342__1.187342	820__A0A174GYA8__DXB64_07370
ERR1913243.187346__1.187346	40518__R5DWP7__ansA
ERR1913243.187389__1.187389	1262882__R5MGJ7__BN519_00652
ERR1913243.187522__1.187522	76489__A0A1E8EUC5__CLOACE_23150
ERR1913243.187530__1.187530	471189__GCA_003340385.1_00337
ERR1913243.187733__1.187733	328814__GCA_004558275.1_00036
ERR1913243.187810__1.187810	39486__B0G2S6__DXC93_16450
ERR1913243.187826__1.187826	39488__A0A374NRX1__licR_1
ERR1913243.187958__1.187958	33039__A0A174ZC42__ppaC
ERR1913243.188071__1.188071	820__A0A174GYA8__DXB64_07370
ERR1913243.188131__1.188131	487174__K0WUZ1__DIT83_10815
ERR1913243.188136__1.188136	1262882__R5N3H1__BN519_01121
ERR1913243.188147__1.188147	39491__C4ZAT2__ERE_28440
ERR1913243.188236__1.188236	1550024__A0A0D8IZ16__ASJ35_10840
ERR1913243.188292__1.188292	40518__R5DZB3__RB5AMG_01719
ERR1913243.188310__1.188310	74426__groL
ERR1913243.188360__1.188360	28117__B0MWP2__ALIPUT_01468
ERR1913243.188457__1.188457	40518__R5E426__DXD93_04485
ERR1913243.188552__1.188552	487174__K0XDI7__DIT83_12065
ERR1913243.188597__1.188597	328814__GCA_004558275.1_00033
ERR1913243.189105__1.189105	1378168__V2YA11__N510_02528
ERR1913243.189066__1.189066	328814__GCA_004558275.1_00986
ERR1913243.189232__1.189232	820__A0A078S4C2__ERS417307_00828
ERR1913243.189253__1.189253	1262911__R6GU62__BN557_01488
ERR1913243.189358__1.189358	28116__A0A0J9IIV5__M089_5519
ERR1913243.189386__1.189386	29361__B6FLM7__CLONEX_01049
ERR1913243.189516__1.189516	40518__R5DW64__RBL236_01394
ERR1913243.189535__1.189535	40518__R5DZC6__mreC
ERR1913243.189783__1.189783	1262882__R5MZ58__BN519_00525
ERR1913243.190075__1.190075	823__A0A355XF06__B5F32_11480
ERR1913243.190100__1.190100	821__A0A174RA14__M099_1655
ERR1913243.190149__1.190149	35833__E5Y3G7__HMPREF0179_00728
ERR1913243.190316__1.190316	1262882__R5MZF2__BN519_00592
ERR1913243.190369__1.190369	28116__A7LS02__DXF98_24100
ERR1913243.190460__1.190460	239935__A0A2N8I791__CXT99_09415
ERR1913243.190475__1.190475	1535__A7VWN8__CH238_02485
ERR1913243.190498__1.190498	745368__A0A1T4Y6M3__SAMN02745178_02754
ERR1913243.190843__1.190843	40518__R5DLU0__fmt
ERR1913243.190861__1.190861	239935__R7DVL7__CXT93_01180
ERR1913243.191199__1.191199	1262882__R5MZZ3__BN519_00482
ERR1913243.191201__1.191201	357276__I9QBT7__BSEG_03340
ERR1913243.191403__1.191403	40518__R5DS37__DXD93_01965
ERR1913243.191757__1.191757	40518__R5DUG7__sbcC
ERR1913243.192107__1.192107	1262882__R5MSX6__BN519_01697
ERR1913243.192165__1.192165	169435__B0P8N3__B5F55_05025
ERR1913243.192544__1.192544	40518__R5DP21__RBATCC27255_00348
ERR1913243.192573__1.192573	246787__R6KCH8__csbC
ERR1913243.192857__1.192857	1262882__R5MIC9__BN519_00834
ERR1913243.192962__1.192962	1262992__R5D7H2__BN795_00443
ERR1913243.193221__1.193221	28026__A0A173ZSU0__DXC83_01895
ERR1913243.193466__1.193466	28117__B0MVL2__BHV66_01645
ERR1913243.193445__1.193445	1262882__A0A356PSJ4__BN519_01180
