ERR1913247.224__1.224	100886__E2NQ59__ERS852383_05954
ERR1913247.195900__1.195900	84030__D6DLQ3__B5F06_15765
ERR1913247.196024__1.196024	246787__R6KBH9__HMPREF1062_04676
ERR1913247.196087__1.196087	216816__C2GTH2__CE159_03580
ERR1913247.196133__1.196133	10678__GeneID:2777401
ERR1913247.196135__1.196135	10678__GeneID:2777387
ERR1913247.196672__1.196672	136841__A0A335ESU0__Q025_01250
ERR1913247.196679__1.196679	357276__I9G0T7__BACDOR_04266
ERR1913247.196691__1.196691	1354__I6T842__EHR_10470
ERR1913247.196724__1.196724	823__A0A174EFT7__luxQ_5
ERR1913247.196832__1.196832	1262911__R6GTZ0__BN557_01437
ERR1913247.196840__1.196840	1262911__R6GPL1__BN557_00927
ERR1913247.196943__1.196943	1262911__R6GPM2__BN557_00937
ERR1913247.196955__1.196955	1262911__R6HJT1__BN557_00291
ERR1913247.196957__1.196957	487174__K0XH97__HMPREF9448_01909
ERR1913247.197072__1.197072	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913247.197122__1.197122	357276__I9QWD4__DXD47_15075
ERR1913247.197104__1.197104	357276__A0A0M1W4C0__DXD47_07095
ERR1913247.197149__1.197149	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913247.197202__1.197202	328814__GCA_004558275.1_00043
ERR1913247.197213__1.197213	216816__A0A2U0BT35__BL1206_1860
ERR1913247.197322__1.197322	1472761__GCA_002159295.1_00591
ERR1913247.197477__1.197477	1550024__G9RZ52__TQ39_02420
ERR1913247.197710__1.197710	28116__A0A078Q7C2__DHW41_14520
ERR1913247.197944__1.197944	88431__A0A3D0EZN6__DORLON_02944
ERR1913247.197982__1.197982	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913247.197984__1.197984	1262911__R6GZX7__BN557_00838
ERR1913247.197997__1.197997	28116__D4WJ30__DHW41_06080
ERR1913247.198129__1.198129	329854__R7E733__DXD57_00120
ERR1913247.198199__1.198199	216816__A0A2N0SME6__BLIF_1881
ERR1913247.198239__1.198239	291645__I8XPK0__HMPREF1068_01554
ERR1913247.198314__1.198314	357276__I9R994__BACDOR_04044
ERR1913247.198501__1.198501	1262911__R6H0U7__BN557_01104
ERR1913247.198842__1.198842	216816__A0A061M1M5__HMPREF0177_01046
ERR1913247.198902__1.198902	563769__GeneID:6973158
ERR1913247.199107__1.199107	1965576__A0A1Y4LMB5__B5F19_07385
ERR1913247.199393__1.199393	1262911__R6H074__BN557_00923
ERR1913247.199394__1.199394	246787__A0A3D6AXG0__BACCELL_01743
ERR1913247.199477__1.199477	246787__E2N7F5__AA416_04404
ERR1913247.199588__1.199588	1099853__G9S5B5__NSB1T_00810
ERR1913247.199649__1.199649	10678__GeneID:2777422
ERR1913247.199605__1.199605	1943580__A0A1V4ALD9__B0D78_04730
ERR1913247.199724__1.199724	214856__A0A174C683__ERS852559_00523
ERR1913247.199860__1.199860	216816__C5EC66__tcrA
ERR1913247.199842__1.199842	1262911__R6H1K1__BN557_00910
ERR1913247.199882__1.199882	1232426__groL2
ERR1913247.199974__1.199974	84030__D6DGX9__B5F06_04530
ERR1913247.200029__1.200029	328814__GCA_004558275.1_00139
ERR1913247.200044__1.200044	821__A0A396F9T7__M097_3427
ERR1913247.200119__1.200119	1262911__R6GUQ4__BN557_01581
ERR1913247.200089__1.200089	1432052__A0A1E3AQ54__BEI64_02255
ERR1913247.200318__1.200318	1378168__V2YA11__N510_02528
ERR1913247.200321__1.200321	216816__E8MW20__DD674_07905
ERR1913247.200393__1.200393	216816__A0A133LD41__NL89_06245
ERR1913247.200405__1.200405	10678__GeneID:2777437
ERR1913247.200480__1.200480	33039__A0A174Y5G7__ERS852530_01222
ERR1913247.200520__1.200520	10678__GeneID:2777403
ERR1913247.200552__1.200552	562__P77183__CDL50_13955
ERR1913247.200674__1.200674	328812__A0A0F5IJL4__HMPREF1535_04981
ERR1913247.200678__1.200678	1262911__R6GXH0__BN557_00389
ERR1913247.200781__1.200781	216816__A0A395XZB7__DXD37_04075
ERR1913247.200810__1.200810	216816__D6DCR3__APC1464_1142
ERR1913247.200944__1.200944	10678__GeneID:2777422
ERR1913247.200982__1.200982	823__A0A355XKQ8__DHP27_04010
ERR1913247.201115__1.201115	357276__A0A076INK2__BSEG_04225
ERR1913247.201081__1.201081	638849__D1Y5U6__HMPREF7215_1229
ERR1913247.201098__1.201098	394340__nrdD
ERR1913247.201169__1.201169	1851568__A0A1B8YKN4__Phpb_01224
ERR1913247.201249__1.201249	1472761__GCA_002159295.1_01930
ERR1913247.201441__1.201441	564886__GeneID:6973115
ERR1913247.201532__1.201532	1965576__A0A1Y4KTU1__B5F19_16495
ERR1913247.201759__1.201759	214856__I3YPI7__pepD_1
ERR1913247.201834__1.201834	10678__GeneID:2777435
ERR1913247.201977__1.201977	1531__R0CL56__HMPREF9471_02386
ERR1913247.202600__1.202600	564886__GeneID:6973115
ERR1913247.202605__1.202605	10678__GeneID:2777383
ERR1913247.202676__1.202676	214856__I3YMB7__Alfi_1811
ERR1913247.202845__1.202845	40518__R5DM08__DXD83_06415
ERR1913247.202849__1.202849	820__A0A174G065__DXB62_08975
ERR1913247.202908__1.202908	1501391__GCA_000786575.1_00005
ERR1913247.203077__1.203077	216816__C5E9C3__CJO32_03030
ERR1913247.203027__1.203027	357276__A0A076IN21__BSEG_03078
ERR1913247.203142__1.203142	357276__A6L053__ABI39_04450
ERR1913247.203171__1.203171	214856__R5UN64__ERS852447_02669
ERR1913247.203251__1.203251	357276__B6W5Q9__HMPREF1063_03125
ERR1913247.203357__1.203357	216816__A0A396FVC5__BL71B_00290
ERR1913247.203534__1.203534	216816__D6D9J4__DPC6320_0487
ERR1913247.203739__1.203739	40518__R5E6K4__RB5AMG_02070
ERR1913247.203795__1.203795	638849__D1Y6F1__HMPREF7215_1492
ERR1913247.203807__1.203807	214856__D4IMT6__Alfi_1830
ERR1913247.203856__1.203856	214856__R6Y2Y4__ERS852447_01086
ERR1913247.204012__1.204012	39491__R6TQ09__DXC13_03010
ERR1913247.203974__1.203974	10678__GeneID:2777456
ERR1913247.204099__1.204099	357276__A0A0M1W4C0__DXD47_07095
ERR1913247.204155__1.204155	218139__GCA_002259595.1_01048
ERR1913247.204204__1.204204	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913247.204309__1.204309	216816__Q8G4X6__DXD52_09895
ERR1913247.204546__1.204546	418240__A0A173WPF0__spoIIIAE
ERR1913247.204559__1.204559	47678__R5U8P0__DW706_15950
ERR1913247.204632__1.204632	10678__GeneID:2777481
ERR1913247.204706__1.204706	84030__D4MS40__B5F06_05670
ERR1913247.205090__1.205090	10678__GeneID:2777404
ERR1913247.205034__1.205034	357276__A0A076IN30__DXD47_09350
ERR1913247.205427__1.205427	418240__A0A173XSX9__ERS852523_01591
ERR1913247.205574__1.205574	10678__GeneID:2777397
ERR1913247.205603__1.205603	214856__I3YPP0__ERS852447_01388
ERR1913247.206428__1.206428	239935__R7E524__CXT91_06180
ERR1913247.206660__1.206660	169435__A0A174N7Z3__DXC40_07125
ERR1913247.206866__1.206866	357276__I8WFU9__BACDOR_02006
ERR1913247.206809__1.206809	2173__A0A1D2WSY6__Msm_1050
ERR1913247.207141__1.207141	357276__A0A076ITU4__EL88_22160
ERR1913247.207185__1.207185	47678__A5ZL09__BACCAC_03608
ERR1913247.207257__1.207257	1262889__R7HAE5__BN634_02047
ERR1913247.207396__1.207396	10678__GeneID:2777415
ERR1913247.207435__1.207435	1232426__mfd
ERR1913247.207510__1.207510	357276__A0A076INK2__BSEG_04225
ERR1913247.207665__1.207665	820__R7E9Z4__DXC68_06065
ERR1913247.207777__1.207777	246787__R6KIG0__BcellWH2_02358
ERR1913247.207781__1.207781	216816__A0A0M4NCP0__HMPREF1313_0712
ERR1913247.207950__1.207950	40518__R5DU92__DXD93_03170
ERR1913247.208068__1.208068	357276__A0A1Y4PPG2__B5F95_02305
ERR1913247.208073__1.208073	1099853__G9S2B8__NSB1T_09105
ERR1913247.208090__1.208090	357276__B6W1Y1__BSEG_03960
ERR1913247.208118__1.208118	216816__A0A2N0SME6__BLIF_1881
ERR1913247.208410__1.208410	10678__GeneID:2777415
ERR1913247.208487__1.208487	35833__E5YA05__HMPREF0179_03023
ERR1913247.208583__1.208583	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913247.208703__1.208703	1262911__R6H1D2__BN557_00855
ERR1913247.208624__1.208624	246787__A0A0P0GLJ1__BcellWH2_01674
ERR1913247.209097__1.209097	10678__GeneID:2777413
ERR1913247.209318__1.209318	1262911__R6GPM2__BN557_00937
ERR1913247.209342__1.209342	216816__D6DCL7__BFS26_02835
ERR1913247.209474__1.209474	10678__GeneID:2777481
ERR1913247.209460__1.209460	216816__D6ZSV1__CE169_00930
ERR1913247.209848__1.209848	216816__A0A0A6VML2__DD678_06965
ERR1913247.209907__1.209907	10678__GeneID:2777413
ERR1913247.210115__1.210115	216816__C2GTV6__AS143_01355
ERR1913247.210185__1.210185	46503__R6WSB3__DCY29_07745
ERR1913247.210253__1.210253	216816__C2GTV6__AS143_01355
ERR1913247.210482__1.210482	216816__Q8G585__APC1473_0508
ERR1913247.210755__1.210755	1851568__A0A1B8YKN4__Phpb_01224
ERR1913247.210756__1.210756	487174__K0WXG8__DIT83_09300
ERR1913247.210839__1.210839	1965555__A0A1Y4S5H1__B5E77_12530
ERR1913247.211033__1.211033	562__P0AEK1__CR916_15790
ERR1913247.211268__1.211268	39496__A5Z5I2__EUBVEN_00963
ERR1913247.211042__1.211042	10742__GeneID:1262491
ERR1913247.211368__1.211368	1501391__GCA_000786575.1_00079
ERR1913247.211381__1.211381	100886__A0A174GT42__ERS852383_03762
ERR1913247.211562__1.211562	28118__F9ZBV2__NCTC10826_00352
ERR1913247.211495__1.211495	214856__A0A174EQR4__rsmA
ERR1913247.211540__1.211540	1147152__GeneID:14181982
ERR1913247.211892__1.211892	100886__E2NVC9__ERS852383_05891
ERR1913247.212067__1.212067	246787__A0A3D6B182__HMPREF1062_00600
ERR1913247.212139__1.212139	357276__I9QWD4__DXD47_15075
ERR1913247.212116__1.212116	1262911__R6H074__BN557_00923
ERR1913247.212179__1.212179	10678__GeneID:2777493
ERR1913247.212174__1.212174	214856__R6XS46__ERS852559_00812
ERR1913247.212361__1.212361	10678__GeneID:2777413
ERR1913247.212379__1.212379	10678__GeneID:2777494
ERR1913247.212470__1.212470	100886__A0A174K7J5__ybbH_3
ERR1913247.212611__1.212611	818__A0A174RFL1__ERS852511_03380
ERR1913247.212640__1.212640	10678__GeneID:2777481
ERR1913247.212755__1.212755	357276__I8WPR6__EL88_06675
ERR1913247.212777__1.212777	357276__B6VXX7__HMPREF1063_02683
ERR1913247.213030__1.213030	1262889__R7H9M3__BN634_00850
ERR1913247.213200__1.213200	35833__S2KTV4__HMPREF0179_05216
ERR1913247.213383__1.213383	10678__GeneID:2777483
ERR1913247.213392__1.213392	563769__GeneID:6973158
ERR1913247.213478__1.213478	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913247.213682__1.213682	1262911__R6GI18__BN557_01377
ERR1913247.213812__1.213812	46503__R6Y9P8__evgS_3
ERR1913247.213873__1.213873	10678__GeneID:2777387
ERR1913247.214006__1.214006	1550024__G9RZ38__ASJ35_12765
ERR1913247.214060__1.214060	357276__A0A0K2HDP3__IY41_00705
ERR1913247.214260__1.214260	10678__GeneID:2777427
ERR1913247.214282__1.214282	1550024__G9RWE3__TQ39_04170
ERR1913247.214392__1.214392	1262911__R6GPM2__BN557_00937
ERR1913247.214556__1.214556	291645__I8XXZ0__HMPREF1068_00133
ERR1913247.214648__1.214648	1550024__A0A0D8J230__TQ39_04480
ERR1913247.214778__1.214778	1262889__R7HEJ5__BN634_01091
ERR1913247.214859__1.214859	10678__GeneID:2777481
ERR1913247.214819__1.214819	1262911__R6GQM3__BN557_01245
ERR1913247.214826__1.214826	2108523__A0A2P2F8E3__LAWASA_2315
ERR1913247.214961__1.214961	214856__A0A174EJT5__mnmA
ERR1913247.214966__1.214966	508460__GCF_000585335.1_00074
ERR1913247.214972__1.214972	246787__A0A108THP8__HMPREF1062_03171
ERR1913247.214979__1.214979	84030__D4MRQ4__B5F06_03535
ERR1913247.215021__1.215021	214856__A0A173Z1B0__ERS852447_00765
ERR1913247.215116__1.215116	10678__GeneID:2777415
ERR1913247.215245__1.215245	10678__GeneID:2777396
ERR1913247.215316__1.215316	1262911__R6GMD8__BN557_01647
ERR1913247.215259__1.215259	1472761__GCA_002159295.1_00965
ERR1913247.215537__1.215537	563769__GeneID:6973158
ERR1913247.215652__1.215652	1262911__R6GPM2__BN557_00937
ERR1913247.215857__1.215857	1262911__R6GMZ7__BN557_01741
ERR1913247.215917__1.215917	100886__A0A174GWP1__CATMIT_01006
ERR1913247.215956__1.215956	196242__GeneID:5580412
ERR1913247.215993__1.215993	214856__I3YPI7__pepD_1
ERR1913247.216216__1.216216	418240__C6JFI7__ERS852523_01130
ERR1913247.216298__1.216298	246787__R6KK25__HMPREF1062_01860
ERR1913247.216412__1.216412	216816__A0A133L1E2__ptsP
ERR1913247.216630__1.216630	1501391__GCA_000786575.1_00124
ERR1913247.216675__1.216675	40518__R5DYT8__mscS
ERR1913247.217051__1.217051	10678__GeneID:2777383
ERR1913247.217138__1.217138	1262911__R6GSH0__BN557_00934
ERR1913247.217222__1.217222	562__P0A9K7__AUQ29_19530
ERR1913247.217479__1.217479	1262911__R6GPM2__BN557_00937
ERR1913247.217560__1.217560	10678__GeneID:2777415
ERR1913247.217838__1.217838	40518__R5DV58__htrA
ERR1913247.217991__1.217991	745368__A0A1T4Y1B7__SAMN02745178_02639
ERR1913247.218030__1.218030	216816__A0A396FVC5__BL71B_00290
ERR1913247.218061__1.218061	216816__D6DBD5__DXC32_04335
ERR1913247.218092__1.218092	1232426__group_1915
ERR1913247.218169__1.218169	410072__A0A173XQG6__ERS852574_01620
ERR1913247.218177__1.218177	10678__GeneID:2777415
ERR1913247.218373__1.218373	35833__E5Y6S3__HMPREF0179_01886
ERR1913247.218461__1.218461	246787__A0A3D6AS39__ina
ERR1913247.218611__1.218611	418240__A0A173Y0F1__ERS852478_01157
ERR1913247.218612__1.218612	357276__D1JZM4__HMPREF1065_01278
ERR1913247.218794__1.218794	28118__F9Z6X2__B5F99_11710
ERR1913247.218828__1.218828	1262911__R6GPI7__BN557_00907
ERR1913247.218892__1.218892	357276__I9RAC4__BSEG_00561
ERR1913247.218898__1.218898	216816__D6ZSV1__CE169_00930
ERR1913247.218956__1.218956	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913247.219051__1.219051	10678__GeneID:2777480
ERR1913247.219121__1.219121	216816__C2GUV2__APC1478_0430
ERR1913247.219417__1.219417	508460__GCF_000585335.1_00181
ERR1913247.219455__1.219455	10678__GeneID:2777455
ERR1913247.219733__1.219733	357276__A0A076IIL0__EL88_03065
ERR1913247.219812__1.219812	823__A6LEF3__ERS852560_01356
ERR1913247.219932__1.219932	823__A6LEF3__ERS852560_01356
ERR1913247.220470__1.220470	216816__D6DBD5__DXC32_04335
ERR1913247.220535__1.220535	28025__D3R7B4__CDD75_01389
ERR1913247.220802__1.220802	1042156__F7V3A8__HipB
ERR1913247.220988__1.220988	10678__GeneID:2777481
ERR1913247.221557__1.221557	10678__GeneID:2777482
ERR1913247.221720__1.221720	46503__R6Y8M7__ERS852463_01228
ERR1913247.221797__1.221797	418240__A0A174B589__ERS852523_01681
ERR1913247.221756__1.221756	562__A0A377AAV3__CDL32_10800
ERR1913247.221764__1.221764	544644__GCA_001915615.1_00059
ERR1913247.221809__1.221809	40518__R5DR72__RBL236_02110
ERR1913247.221877__1.221877	487174__K0XKD7__HMPREF9448_01550
ERR1913247.222080__1.222080	487174__K0X694__DIT83_09060
ERR1913247.222109__1.222109	28116__D7K7K3__SAMN05192581_103348
ERR1913247.222184__1.222184	1472761__GCA_002159295.1_01982
ERR1913247.222341__1.222341	487174__K0XER9__DDY40_08885
ERR1913247.222436__1.222436	1262873__R6WIF6__BN605_02142
ERR1913247.222448__1.222448	1685__D6ZXC4__B12L_0080
ERR1913247.222756__1.222756	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913247.222769__1.222769	357276__I9R994__BACDOR_04044
ERR1913247.222773__1.222773	10678__GeneID:2777381
ERR1913247.222828__1.222828	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913247.223051__1.223051	823__A0A174VHT1__DHP27_04775
ERR1913247.223633__1.223633	10678__GeneID:2777400
ERR1913247.223814__1.223814	218139__GCA_002259595.1_01049
ERR1913247.223867__1.223867	246787__R6KK25__HMPREF1062_01860
ERR1913247.223889__1.223889	214856__I3YPP9__Alfi_2707
ERR1913247.224024__1.224024	40518__R5DLJ7__lytR_4
ERR1913247.224067__1.224067	562__P63202__gadW
ERR1913247.224244__1.224244	10678__GeneID:2777403
ERR1913247.224247__1.224247	1550024__G9RW35__ASJ35_04635
ERR1913247.224330__1.224330	357276__I8WML9__DXD47_10570
ERR1913247.224607__1.224607	40518__R5DR72__RBL236_02110
ERR1913247.224811__1.224811	216816__C2GUV2__APC1478_0430
ERR1913247.224873__1.224873	84030__D4MSL5__B5F06_03945
ERR1913247.224911__1.224911	1262889__R7HAP4__BN634_00533
ERR1913247.224927__1.224927	10678__GeneID:2777437
ERR1913247.225217__1.225217	84030__D6DDS4__B5F06_06240
ERR1913247.225295__1.225295	216816__A0A0M0VK23__BLGT_09805
ERR1913247.225583__1.225583	544644__GCA_001915615.1_01894
ERR1913247.225588__1.225588	329854__R7E733__DXD57_00120
ERR1913247.225623__1.225623	418240__A0A174SJB0__toxA_3
ERR1913247.225840__1.225840	246787__I9QX02__HMPREF1062_01641
ERR1913247.226068__1.226068	418240__A0A173YIF6__ypdA_1
ERR1913247.226107__1.226107	1432052__F7K3J3__BEI63_08945
ERR1913247.226129__1.226129	487174__R5FN40__HMPREF9448_01366
ERR1913247.226216__1.226216	216816__A0A0M0VK23__BLGT_09805
ERR1913247.226409__1.226409	1262911__R6GSH0__BN557_00934
ERR1913247.226459__1.226459	1501391__GCA_000786575.1_00057
ERR1913247.226446__1.226446	1262911__R6GKS1__BN557_00184
ERR1913247.226500__1.226500	169435__A0A174L7K5__B5F10_06825
ERR1913247.226667__1.226667	357276__I8WAB8__B5F00_08100
ERR1913247.226752__1.226752	508460__GCF_000585335.1_00182
ERR1913247.226799__1.226799	10678__GeneID:2777427
ERR1913247.226846__1.226846	40518__R5DZI2__DXD93_06940
ERR1913247.226883__1.226883	47678__R5UET0__BACCAC_02656
ERR1913247.226948__1.226948	357276__C3R5C9__HMPREF1063_00213
ERR1913247.227034__1.227034	47678__R5UT79__ERS852558_03890
ERR1913247.227050__1.227050	216816__A0A2N0SME6__BLIF_1881
ERR1913247.227054__1.227054	552398__T5RY45__HMPREF0866_04559
ERR1913247.227393__1.227393	508460__GCF_000585335.1_00034
ERR1913247.227412__1.227412	216816__A0A395XZB7__DXD37_04075
ERR1913247.227543__1.227543	2173__A0A1D2WSN7__Msm_1465
ERR1913247.227605__1.227605	214856__I3YPP1__Alfi_2699
ERR1913247.227661__1.227661	1262911__R6H054__BN557_00908
ERR1913247.227667__1.227667	1318__I1ZLK7__Spaf_0932
ERR1913247.227718__1.227718	357276__A0A076IS73__GV66_00410
ERR1913247.227874__1.227874	487174__R5F4K8__HMPREF9448_01532
ERR1913247.227899__1.227899	357276__A0A076IS73__GV66_00410
ERR1913247.227912__1.227912	1262911__R6H0S8__BN557_01079
ERR1913247.227974__1.227974	1262911__R6GQM3__BN557_01245
ERR1913247.227983__1.227983	214856__I3YPP0__ERS852447_01388
ERR1913247.228184__1.228184	357276__I8WPR6__EL88_06675
ERR1913247.228244__1.228244	46503__R6Y2Q2__DCY29_15375
ERR1913247.228804__1.228804	1501391__GCA_000786575.1_00003
ERR1913247.228954__1.228954	1262911__R6GIB9__BN557_01439
ERR1913247.228979__1.228979	40518__R5DUG7__sbcC
ERR1913247.229029__1.229029	357276__I8WDF1__B5F00_02455
ERR1913247.229124__1.229124	214856__A0A174CRY5__ERS852559_01060
ERR1913247.229184__1.229184	214856__R6Y9P5__ERS852559_01811
ERR1913247.229291__1.229291	1261__D3MR67__SAMN05660467_01650
ERR1913247.229394__1.229394	1262911__R6GSH8__BN557_00939
ERR1913247.229461__1.229461	10678__GeneID:2777383
ERR1913247.229499__1.229499	246787__A0A3D6AQP8__AA416_04153
ERR1913247.229510__1.229510	10678__GeneID:2777421
ERR1913247.229517__1.229517	1262911__R6GZX7__BN557_00838
ERR1913247.229518__1.229518	246787__A0A3D6AWM8__BACCELL_01963
ERR1913247.229542__1.229542	1965538__A0A1Y4W3Y5__B5E43_12125
ERR1913247.229808__1.229808	1099853__G9S2B8__NSB1T_09105
ERR1913247.229883__1.229883	1262911__R6GSH0__BN557_00934
ERR1913247.229966__1.229966	28116__A0A1Y4PHM7__DXA80_25130
ERR1913247.229984__1.229984	10678__GeneID:2777401
ERR1913247.230187__1.230187	1965576__A0A1Y4LSQ8__B5F19_04655
ERR1913247.230466__1.230466	1354__I6T632__BH740_11640
ERR1913247.230578__1.230578	216816__D6DCR3__APC1464_1142
ERR1913247.230605__1.230605	328813__A0A1Y3QZ64__B5G41_14235
ERR1913247.230698__1.230698	214856__R6Y6H8__ERS852447_01719
ERR1913247.230878__1.230878	216816__D6DBD5__DXC32_04335
ERR1913247.230779__1.230779	1232426__nifJ
ERR1913247.230997__1.230997	508460__GCF_000585335.1_00075
ERR1913247.230989__1.230989	216816__C2GW26__chb
ERR1913247.231113__1.231113	1262911__R6GPB1__BN557_00837
ERR1913247.231294__1.231294	357276__A0A1Y3Z3W0__IY41_20500
ERR1913247.231407__1.231407	357276__I9G0T7__BACDOR_04266
ERR1913247.231413__1.231413	357276__C3RA36__HMPREF1065_03270
ERR1913247.231417__1.231417	508460__GCF_000585335.1_00240
ERR1913247.231437__1.231437	216816__B7GQM4__BLIC_f01073
ERR1913247.231494__1.231494	508460__GCF_000585335.1_00129
ERR1913247.231532__1.231532	214856__I3YPN9__ERS852447_01389
ERR1913247.231675__1.231675	216816__A0A133L1E2__ptsP
ERR1913247.231754__1.231754	562__P77616__CSC08_0123
ERR1913247.231995__1.231995	10678__GeneID:2777431
ERR1913247.232019__1.232019	154046__A0A374PE86__DXC88_07585
ERR1913247.231962__1.231962	214856__R6YC22__ERS852447_01215
ERR1913247.232089__1.232089	745368__A0A1T4YA51__SAMN02745178_02876
ERR1913247.232122__1.232122	1262911__R6GSH8__BN557_00939
ERR1913247.232277__1.232277	1262911__R6H212__BN557_01031
ERR1913247.232344__1.232344	357276__A0A076IS73__GV66_00410
ERR1913247.232434__1.232434	246787__I9QX02__HMPREF1062_01641
ERR1913247.232392__1.232392	47678__R5U9Z0__HMPREF1061_03210
ERR1913247.232394__1.232394	10678__GeneID:2777435
ERR1913247.232679__1.232679	246787__A0A0P0GUU5__BACCELL_02894
ERR1913247.232689__1.232689	100886__E2NUY7__ERS852383_04727
ERR1913247.232691__1.232691	1262736__R5Y591__BN496_01853
ERR1913247.232704__1.232704	544644__GCA_001915615.1_00057
ERR1913247.233209__1.233209	1262911__R6GT12__BN557_01070
ERR1913247.233164__1.233164	2108523__A0A2P2F472__LAWASA_799
ERR1913247.233239__1.233239	820__A7UYX8__DXD40_11635
ERR1913247.233744__1.233744	1262911__R6GPM2__BN557_00937
ERR1913247.233807__1.233807	10678__GeneID:2777484
ERR1913247.233813__1.233813	357276__A0A076ITU4__EL88_22160
ERR1913247.234078__1.234078	1685__A0A3D8UEL2__DRBB29_0129
ERR1913247.234218__1.234218	1318__A0A359YHY5__HMPREF9626_1667
ERR1913247.234328__1.234328	214856__R6XUN2__rcsC_1
ERR1913247.234281__1.234281	214856__I3YPQ0__ERS852447_01379
ERR1913247.234618__1.234618	216816__V6XY04__APK78_02285
ERR1913247.235174__1.235174	2173__P22350__Msm_0089
ERR1913247.235396__1.235396	40518__R5E1J2__DXD93_04070
ERR1913247.235397__1.235397	39492__A0A174Z2N0__EUBSIR_01615
ERR1913247.235757__1.235757	626932__G5H744__HMPREF9450_00887
ERR1913247.235797__1.235797	487175__R5E741__HMPREF9439_02597
ERR1913247.235809__1.235809	84030__D4MSB3__B5F06_07550
ERR1913247.235862__1.235862	214856__I3YPQ9__ERS852447_01370
ERR1913247.235949__1.235949	216816__C5E9A6__mutT4
ERR1913247.236075__1.236075	84030__D6DK59__B5F06_00950
ERR1913247.236116__1.236116	357276__A0A076IRZ5__BACDOR_00630
ERR1913247.236349__1.236349	47678__A5ZEP5__CGC64_03450
ERR1913247.236495__1.236495	216816__D6D9A3__BLNIAS_01911
ERR1913247.236682__1.236682	10678__GeneID:2777470
ERR1913247.236706__1.236706	1262911__R6GPA9__BN557_00286
ERR1913247.236772__1.236772	1943580__A0A1V4AMS4__B0D78_03530
ERR1913247.236920__1.236920	40518__R5DR72__RBL236_02110
ERR1913247.237040__1.237040	564886__GeneID:6973115
ERR1913247.237105__1.237105	214856__I3YMB7__Alfi_1811
ERR1913247.237303__1.237303	84030__D6DDL9__B5F06_14675
ERR1913247.237497__1.237497	1685__A0A3D8UEL2__DRBB29_0129
ERR1913247.237892__1.237892	216816__B7GPE8__I118_0062
ERR1913247.237803__1.237803	357276__B6VT86__IY41_22515
ERR1913247.237927__1.237927	1262911__R6GMK4__BN557_00535
ERR1913247.238040__1.238040	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913247.238079__1.238079	1004150__W3VEE3__PTE_00574
ERR1913247.238171__1.238171	244366__A0A0B7GCL1__sucC
ERR1913247.238211__1.238211	216816__A0A2U0BT35__BL1206_1860
ERR1913247.238292__1.238292	563769__GeneID:6973141
ERR1913247.238545__1.238545	218139__GCA_002259595.1_01048
ERR1913247.238484__1.238484	46503__R6Y9P8__evgS_3
ERR1913247.238582__1.238582	1262911__R6H1J5__BN557_00905
ERR1913247.238613__1.238613	1284775__A0A095ZFV3__HMPREF1640_07245
ERR1913247.238660__1.238660	1147152__GeneID:14181982
ERR1913247.238793__1.238793	28116__A7LYG5__M089_5828
ERR1913247.238769__1.238769	10678__GeneID:2777413
ERR1913247.238895__1.238895	246787__R6KDR9__BcellWH2_02360
ERR1913247.239324__1.239324	10678__GeneID:2777482
ERR1913247.239434__1.239434	10678__GeneID:2777477
ERR1913247.239501__1.239501	1099853__G9S2B8__NSB1T_09105
ERR1913247.239587__1.239587	1262911__R6GQM3__BN557_01245
ERR1913247.239777__1.239777	246787__A0A0P0GG22__BACCELL_01899
ERR1913247.239868__1.239868	214856__I3YPP3__Alfi_2701
ERR1913247.239975__1.239975	823__A0A174VBJ5__M091_5021
ERR1913247.240061__1.240061	46503__R6Y4M7__HMPREF1078_03269
ERR1913247.240163__1.240163	357276__B6W5Q7__DXD47_13945
ERR1913247.240252__1.240252	47678__R5U8Y1__BACCAC_02615
ERR1913247.240258__1.240258	40520__A5ZQ72__RUMOBE_01142
ERR1913247.240415__1.240415	216816__D6DCL7__BFS26_02835
ERR1913247.240454__1.240454	563769__GeneID:6973157
ERR1913247.240475__1.240475	563769__GeneID:6973158
ERR1913247.240552__1.240552	10678__GeneID:2777481
ERR1913247.240609__1.240609	357276__A0A0K2HGB7__HMPREF1064_01580
ERR1913247.240617__1.240617	216816__A0A3D8U0T6__BN57_1990
ERR1913247.240755__1.240755	214856__R6Y6H8__ERS852447_01719
ERR1913247.240910__1.240910	246787__A0A3D6AXG0__BACCELL_01743
ERR1913247.240933__1.240933	1501391__GCA_000786575.1_00079
ERR1913247.240947__1.240947	216816__C5E9A6__mutT4
ERR1913247.240976__1.240976	1262911__R6GSH8__BN557_00939
ERR1913247.241050__1.241050	40518__R5E426__DXD93_04485
ERR1913247.241345__1.241345	745368__A0A1T4Y2H2__SAMN02745178_02630
