ERR1913216.557__1.557	823__E1YQ32__DXC05_04185
ERR1913216.213617__1.213617	823__A6LBY1__ERS852380_00510
ERR1913216.214435__1.214435	394340__uvrA_2
ERR1913216.214575__1.214575	357276__A0A0M1W657__HMPREF1064_04629
ERR1913216.214727__1.214727	1262935__R5GLG4__BN773_00617
ERR1913216.214941__1.214941	291644__R5JSL7__HMPREF1071_01282
ERR1913216.215432__1.215432	357276__D1JYA0__EL88_06560
ERR1913216.215737__1.215737	487174__K0WUM9__HMPREF9448_02608
ERR1913216.216094__1.216094	357276__I9RCD3__IY41_15070
ERR1913216.216212__1.216212	40518__R5DVR2__RBL236_00303
ERR1913216.216524__1.216524	1262935__R5GUZ2__BN773_00533
ERR1913216.216551__1.216551	246787__A0A108T1Y3__fepA_8
ERR1913216.216710__1.216710	46228__V8CB66__RUMLAC_02810
ERR1913216.216880__1.216880	1262911__R6H1D2__BN557_00855
ERR1913216.216885__1.216885	239935__A0A2N8J1K0__CXT97_05765
ERR1913216.216987__1.216987	28111__E5X119__NCTC11155_02426
ERR1913216.217218__1.217218	29361__B6FKH5__CLONEX_00621
ERR1913216.217472__1.217472	1262886__R6REZ5__BN563_01087
ERR1913216.217534__1.217534	1263000__R5EFA7__BN466_01197
ERR1913216.218113__1.218113	1304__A0A1W5ZD60__TZ99_01678
ERR1913216.218478__1.218478	418240__C6JAJ9__ERS852523_02796
ERR1913216.219400__1.219400	1262911__R6H2J2__BN557_01228
ERR1913216.219480__1.219480	1628085__A0A2U1B477__C7386_12136
ERR1913216.219690__1.219690	357276__B6VYT9__HMPREF1063_05030
ERR1913216.219859__1.219859	357276__B6W5Q7__DXD47_13945
ERR1913216.219819__1.219819	1262736__R5YL00__BN496_01879
ERR1913216.219926__1.219926	1501391__GCA_000786575.1_00035
ERR1913216.220045__1.220045	418240__C6JET3__ERS852478_01564
ERR1913216.220162__1.220162	46228__V8BRK9__DXD17_11400
ERR1913216.220206__1.220206	418240__A0A174DNS5__ERS852478_02290
ERR1913216.220414__1.220414	1262958__R7GXF9__BN645_01204
ERR1913216.220606__1.220606	357276__A0A076IN30__DXD47_09350
ERR1913216.220692__1.220692	46506__R6B8Z4__SAMN05444283_11711
ERR1913216.221434__1.221434	46506__S3YBS6__AA415_01011
ERR1913216.221573__1.221573	823__A0A395YZG9__M092_4358
ERR1913216.221552__1.221552	301301__A0A395VD41__RHOM_11540
ERR1913216.222760__1.222760	853__A8SCP3__C4N26_07960
ERR1913216.222850__1.222850	246787__A0A0P0GIA4__AA416_04405
ERR1913216.222933__1.222933	39488__A0A285PT25__EUBHAL_01908
ERR1913216.223060__1.223060	165179__A0A3E5EA43__DXC61_07775
ERR1913216.223502__1.223502	671267__R9IL60__C802_00379
ERR1913216.224034__1.224034	39492__D4JTJ1__EUBSIR_01453
ERR1913216.224139__1.224139	820__A0A139K337__ERS852459_02375
ERR1913216.224239__1.224239	1263006__R6LIE4__BN515_01447
ERR1913216.224993__1.224993	39486__G1WLM5__DXD50_02025
ERR1913216.225077__1.225077	357276__I9FU68__HMPREF1063_00557
ERR1913216.225543__1.225543	458033__GCA_001482755.1_02203
ERR1913216.225669__1.225669	1160721__W0U7T4__BHW50_09645
ERR1913216.225745__1.225745	1263030__R5CZV8__BN705_01159
ERR1913216.225836__1.225836	487174__K0X4L2__pgl
ERR1913216.225945__1.225945	78448__A0A087CJX1__BPULL_1761
ERR1913216.225984__1.225984	46228__B5CT56__RUMLAC_02679
ERR1913216.226023__1.226023	1262889__R7H7F9__BN634_02079
ERR1913216.226116__1.226116	1897011__A0A1Q6RBR9__BHW41_06830
ERR1913216.226150__1.226150	357276__A0A076IN30__DXD47_09350
ERR1913216.226908__1.226908	357276__A0A076IS46__BACDOR_03265
ERR1913216.226922__1.226922	28117__B0MU57__ALIPUT_00175
ERR1913216.227290__1.227290	357276__C3RDQ5__HMPREF1065_03827
ERR1913216.227469__1.227469	357276__A0A0P0M2G3__BACDOR_03913
ERR1913216.227545__1.227545	39492__D4JUD7__EUBSIR_01877
ERR1913216.227585__1.227585	1262889__R7HB69__BN634_01104
ERR1913216.227612__1.227612	1262889__R7H967__BN634_00445
ERR1913216.228197__1.228197	358743__G5HST5__HMPREF9469_05647
ERR1913216.228231__1.228231	2293125__A0A374BSW4__DW917_13420
ERR1913216.228263__1.228263	291644__I8YWU4__HMPREF1532_01473
ERR1913216.228527__1.228527	357276__B6VW91__BACDOR_01584
ERR1913216.228676__1.228676	1262935__R5GHS7__BN773_01245
ERR1913216.229193__1.229193	39491__A0A395ZHW9__DXC13_02590
ERR1913216.229329__1.229329	39492__D4JR04__phoU
ERR1913216.229352__1.229352	487175__R5E4R8__HMPREF9439_00088
ERR1913216.229439__1.229439	1262935__R5GT45__BN773_01713
ERR1913216.229538__1.229538	246787__A0A3D6AZF7__BcellWH2_04504
ERR1913216.229898__1.229898	823__D7ILK2__ERS852380_00031
ERR1913216.229908__1.229908	214856__I3YPR6__Alfi_2724
ERR1913216.230079__1.230079	28116__A7M617__SAMN05192582_105025
ERR1913216.230129__1.230129	821__A0A395VIK7__BVU_1225
ERR1913216.230173__1.230173	1262886__R6RFE5__BN563_01256
ERR1913216.230497__1.230497	572010__tgt
ERR1913216.230571__1.230571	2293125__A0A374C671__DW917_09135
ERR1913216.230691__1.230691	552398__T5RKT4__HMPREF0866_04531
ERR1913216.231176__1.231176	358743__G5HPJ3__HMPREF9470_01024
ERR1913216.231134__1.231134	291644__I9HGE0__HMPREF1071_03565
ERR1913216.231267__1.231267	821__A0A173XDD3__DXB82_17180
ERR1913216.231634__1.231634	487174__K0WXG8__DIT83_09300
ERR1913216.231606__1.231606	204516__U6R7W5__HMPREF1534_03766
ERR1913216.231623__1.231623	1262889__R7HCM3__BN634_01536
ERR1913216.232213__1.232213	821__A0A3E4WAR6__DXD64_10735
ERR1913216.232364__1.232364	165179__A0A3E5EA43__DXC61_07775
ERR1913216.232755__1.232755	821__A0A174NM17__lacZ_6
ERR1913216.232870__1.232870	1262935__R5GQL0__BN773_00002
ERR1913216.233124__1.233124	823__A0A174PDQ0__DXC05_08200
ERR1913216.233624__1.233624	40518__R5DP61__DXD86_06345
ERR1913216.233814__1.233814	106588__A6NXI5__BACCAP_02931
ERR1913216.234002__1.234002	357276__I9QWD4__DXD47_15075
ERR1913216.234285__1.234285	29361__B6FRT6__CLONEX_02860
ERR1913216.234689__1.234689	556259__E5C690__BSGG_1431
ERR1913216.234844__1.234844	1262889__R7HBU7__BN634_01579
ERR1913216.234893__1.234893	1262935__R5GF26__BN773_01700
ERR1913216.235407__1.235407	371601__A0A139LNL6__ERS852396_04350
ERR1913216.235590__1.235590	820__A0A139JUD3__DXC91_19380
ERR1913216.235602__1.235602	1297617__A0A0S2W7N3__C7373_108102
ERR1913216.235875__1.235875	357276__G5SMD3__BSEG_02959
ERR1913216.236530__1.236530	1244__J9YGU3__PB1A_0333
ERR1913216.237102__1.237102	820__A0A3E4VXP2__yesR
ERR1913216.237084__1.237084	820__A7V9F9__B5G17_14640
ERR1913216.237435__1.237435	28118__F9Z3U6__B5F99_03365
ERR1913216.237503__1.237503	357276__B6W5Q9__HMPREF1063_03125
ERR1913216.238096__1.238096	1262889__R7HEB0__BN634_01682
ERR1913216.238114__1.238114	357276__A0A076IKP7__BACDOR_04239
ERR1913216.238117__1.238117	820__A7V470__HMPREF1072_02076
ERR1913216.238967__1.238967	487174__K0WY34__DDY40_07435
ERR1913216.238988__1.238988	1263000__R5EKG2__BN466_02040
ERR1913216.239022__1.239022	28118__A0A1Y3Y204__NCTC10826_02015
ERR1913216.239098__1.239098	246787__A0A0P0GUU5__BACCELL_02894
ERR1913216.239334__1.239334	35833__E5Y2B5__HMPREF0179_00325
ERR1913216.239420__1.239420	204516__U6RFU0__HMPREF1534_02545
ERR1913216.239818__1.239818	28117__B0MST6__BHV66_06090
ERR1913216.239972__1.239972	821__A0A3E4WAR6__DXD64_10735
ERR1913216.240218__1.240218	33039__D4M5E1__ERS852577_03873
ERR1913216.240273__1.240273	823__A6L9W2__DXB14_07905
ERR1913216.240380__1.240380	291644__I9I0P6__HMPREF1532_01982
ERR1913216.240595__1.240595	1465754__A0A1H3X9W5__SAMN05444145_101153
ERR1913216.240825__1.240825	487174__K0X429__HMPREF9448_00932
ERR1913216.240946__1.240946	1262935__R5GRH6__BN773_01325
ERR1913216.240968__1.240968	1262935__R5GM63__BN773_00882
ERR1913216.240981__1.240981	28111__E5X333__NCTC11155_03016
ERR1913216.240992__1.240992	357276__I8WBQ9__HMPREF1065_03212
ERR1913216.241029__1.241029	239935__R7E524__CXT91_06180
ERR1913216.241858__1.241858	357276__A0A0K2HDP3__IY41_00705
ERR1913216.242320__1.242320	291644__I8YYM8__HMPREF1532_01562
ERR1913216.242522__1.242522	820__A0A3E4IGA7__DXD40_07110
ERR1913216.242719__1.242719	28117__B0MT73__ALIPUT_00412
ERR1913216.242958__1.242958	1262935__R5GRP8__BN773_01395
ERR1913216.243105__1.243105	821__A0A174NM17__lacZ_6
ERR1913216.243224__1.243224	487173__H1CXZ3__HMPREF9453_00231
ERR1913216.243231__1.243231	357276__I9QBT7__BSEG_03340
ERR1913216.243487__1.243487	820__A0A174QT76__B5G17_18060
ERR1913216.243616__1.243616	821__A0A3E4WAR6__DXD64_10735
ERR1913216.243649__1.243649	28111__R5JN40__HMPREF1016_01803
ERR1913216.243653__1.243653	1262935__R5GUT3__BN773_00488
ERR1913216.243960__1.243960	165179__A0A3E5EAM5__DXC61_07785
ERR1913216.243984__1.243984	39491__A0A395ZDC6__addB
ERR1913216.243993__1.243993	28117__B0N028__BHV66_05935
ERR1913216.244092__1.244092	487174__K0WY34__DDY40_07435
ERR1913216.244270__1.244270	823__A0A174MNW4__M091_0199
ERR1913216.244448__1.244448	1263006__R6LYR2__BN515_01475
ERR1913216.244607__1.244607	357276__I9QWD4__DXD47_15075
ERR1913216.244861__1.244861	487174__K0X068__DDY40_07105
ERR1913216.245258__1.245258	204516__U6R9H3__HMPREF1534_03348
ERR1913216.245337__1.245337	1262889__R7HD12__BN634_00607
ERR1913216.245422__1.245422	28118__F9Z9Z6__DHW44_15190
ERR1913216.245466__1.245466	1965538__A0A1Y4W9M4__B5E43_06100
ERR1913216.245482__1.245482	1262935__R5GT45__BN773_01713
ERR1913216.245506__1.245506	1262886__R6QAH7__BN563_01646
ERR1913216.245534__1.245534	2293125__A0A374BSW4__DW917_13420
ERR1913216.245566__1.245566	291644__I9TER0__HMPREF1532_01526
ERR1913216.245604__1.245604	818__Q8A3I3__HMPREF2534_00068
ERR1913216.245680__1.245680	458033__GCA_001482755.1_02203
ERR1913216.245888__1.245888	487175__R5EH26__HMPREF9439_02210
ERR1913216.246234__1.246234	1262825__R5DYC4__BN724_00821
ERR1913216.246609__1.246609	47678__A0A174H7W9__ERS852494_00524
ERR1913216.246769__1.246769	820__A0A173W419__DXC68_17760
ERR1913216.246910__1.246910	28116__E5C3L0__B5F02_21065
ERR1913216.246928__1.246928	1263006__R6LWV2__BN515_00272
ERR1913216.247228__1.247228	291644__I9TL44__HMPREF1532_01311
ERR1913216.247267__1.247267	1262825__R5EER7__BN724_00148
ERR1913216.247421__1.247421	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913216.247552__1.247552	1547597__A0A0C3ME14__DMB45_11205
ERR1913216.247555__1.247555	818__A0A3E5GYI4__NCTC10582_00013
ERR1913216.247659__1.247659	1262889__R7H9H9__BN634_02436
ERR1913216.247883__1.247883	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913216.248272__1.248272	357276__I9RD92__BACDOR_04262
ERR1913216.248336__1.248336	1262935__R5GC23__BN773_00903
ERR1913216.248417__1.248417	1628085__A0A374VPA3__C7386_11438
ERR1913216.248518__1.248518	2173__A0A1D2WU59__Msm_1444
ERR1913216.248626__1.248626	820__A0A1Y3V743__M093_0235
ERR1913216.248645__1.248645	74426__rpsS
ERR1913216.248750__1.248750	291644__R5J2A9__HMPREF1071_01590
ERR1913216.248841__1.248841	823__A0A174VHT1__DHP27_04775
ERR1913216.248848__1.248848	823__A0A355XF06__B5F32_11480
ERR1913216.249010__1.249010	1262889__R7HD87__BN634_01680
ERR1913216.249172__1.249172	454155__F3QXK9__HMPREF9442_02930
ERR1913216.249550__1.249550	28118__F9Z9C4__B5F93_16310
ERR1913216.249792__1.249792	821__A0A174NSU0__BVU_3144
ERR1913216.250097__1.250097	1628085__A0A1C5ZCR8__C7386_10447
ERR1913216.250172__1.250172	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913216.250283__1.250283	1262935__R5GG37__BN773_00249
ERR1913216.250597__1.250597	1262889__R7H8U0__BN634_00239
ERR1913216.250621__1.250621	820__A0A174CG08__DXB62_13215
ERR1913216.250823__1.250823	626932__G5H5B5__HMPREF9450_00125
ERR1913216.250851__1.250851	357276__A0A0K2HDP3__IY41_00705
ERR1913216.251226__1.251226	165179__A0A3E5DWZ6__DXC61_10880
ERR1913216.251360__1.251360	1897011__A0A1Q6RCY0__BHW41_05945
ERR1913216.251445__1.251445	291644__R5JSX2__HMPREF1071_01120
ERR1913216.251645__1.251645	853__A0A173T751__C4N24_10280
ERR1913216.251649__1.251649	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913216.251715__1.251715	821__A0A174JYD3__ERS852457_02610
ERR1913216.251832__1.251832	39492__D4JR58__EUBSIR_02090
ERR1913216.251985__1.251985	28118__R6FC74__DHW44_13330
ERR1913216.252075__1.252075	823__A0A355XP97__M092_2525
ERR1913216.252084__1.252084	1262935__R5GQM6__BN773_00997
ERR1913216.252128__1.252128	357276__I9G0T7__BACDOR_04266
ERR1913216.252103__1.252103	460384__A0A1I0K0G6__C7256_27210
ERR1913216.252454__1.252454	166486__D4L2C3__ERS852572_01686
ERR1913216.252496__1.252496	28111__R5JUJ8__nanA_2
ERR1913216.252921__1.252921	165179__A0A229I7F5__DXB80_02650
ERR1913216.253532__1.253532	291644__R5JCI3__HMPREF1532_04074
ERR1913216.253796__1.253796	357276__A0A076IXE0__HMPREF1064_04364
ERR1913216.254332__1.254332	487174__K0WZN5__HMPREF9448_01108
ERR1913216.254409__1.254409	821__U6RDC2__DXD46_15675
ERR1913216.254495__1.254495	39492__D4JW10__pppA
ERR1913216.254572__1.254572	291644__I8YYM8__HMPREF1532_01562
ERR1913216.254630__1.254630	1262935__R5GCK3__BN773_01033
ERR1913216.254947__1.254947	301301__A0A395VG30__RHOM_05975
ERR1913216.255955__1.255955	1262886__R6QHF8__BN563_00567
ERR1913216.256086__1.256086	820__A0A1T4IYF4__mprA_1
ERR1913216.256468__1.256468	2173__A0A1D2WTP5__BK798_02785
ERR1913216.257481__1.257481	1262935__R5GSF1__BN773_01646
ERR1913216.257540__1.257540	165179__A0A3E5AER8__DXB80_07075
ERR1913216.257665__1.257665	28118__F9ZCH6__DHW44_07090
ERR1913216.257993__1.257993	46503__R6Y4M7__HMPREF1078_03269
ERR1913216.259206__1.259206	1735__B7CE14__EUBIFOR_02449
ERR1913216.259317__1.259317	291644__R5JC88__HMPREF1532_00990
ERR1913216.259444__1.259444	820__R9I2U8__DXC68_09590
ERR1913216.259501__1.259501	338188__A0A174EU88__BACFIN_08820
ERR1913216.259568__1.259568	820__A0A139K4T0__ERS852510_03146
ERR1913216.259643__1.259643	1160721__W0U3J7__RBI_I00948
ERR1913216.259831__1.259831	820__A0A139K2N9__DXB62_12420
ERR1913216.260365__1.260365	371601__A0A174KGU6__CW3_4554
ERR1913216.260465__1.260465	823__A0A355XLH0__fepA_1
ERR1913216.260574__1.260574	1262935__R5GGB5__BN773_00347
ERR1913216.260586__1.260586	820__A0A3E4PYB0__yejM
ERR1913216.260662__1.260662	291644__I9I0P6__HMPREF1532_01982
ERR1913216.260750__1.260750	1262935__R5GSF1__BN773_01646
ERR1913216.261024__1.261024	39492__D4JWG6__EUBSIR_00253
ERR1913216.261258__1.261258	1262935__R5GG00__BN773_00204
ERR1913216.261321__1.261321	46506__R6A5T2__DXC41_10795
ERR1913216.261492__1.261492	46228__V8BSH8__HMPREF1202_02173
ERR1913216.261724__1.261724	291644__I9T2X5__ERS852428_03729
ERR1913216.262200__1.262200	1262825__R5EGI3__BN724_01623
ERR1913216.262222__1.262222	357276__D1K3K9__EL88_23995
ERR1913216.262531__1.262531	487174__K0WXI9__HMPREF9448_02340
ERR1913216.262627__1.262627	418240__C6JGZ2__ERS852478_02682
ERR1913216.262700__1.262700	1262935__R5GF26__BN773_01700
ERR1913216.262779__1.262779	39492__D4JQS6__ykoD
ERR1913216.263155__1.263155	28111__E5WVZ4__NCTC11155_02635
ERR1913216.263217__1.263217	1262911__R6H0U7__BN557_01104
ERR1913216.263251__1.263251	138595__GCF_000468755.1_01199
ERR1913216.263491__1.263491	823__A0A173W8N5__ERS852513_00780
ERR1913216.263501__1.263501	165179__A0A3E5EAM5__DXC61_07785
ERR1913216.263902__1.263902	821__E5UPR6__SAMN04487923_101768
ERR1913216.264087__1.264087	821__A0A396F9T7__M097_3427
ERR1913216.264226__1.264226	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913216.264330__1.264330	823__A6LB62__B5F32_04550
ERR1913216.264518__1.264518	487175__D9Y3F1__HMPREF9439_00163
ERR1913216.264625__1.264625	821__A0A0P0M3U7__DXB90_14325
ERR1913216.265044__1.265044	821__A0A396F9T7__M097_3427
ERR1913216.265108__1.265108	1262935__R5GEN3__BN773_01757
ERR1913216.265135__1.265135	291644__I9T9Y0__HMPREF1071_01813
ERR1913216.265192__1.265192	28117__B0MSS1__ALIPUT_00273
ERR1913216.265531__1.265531	357276__A0A076INK2__BSEG_04225
ERR1913216.265846__1.265846	454155__F3QXK9__HMPREF9442_02930
ERR1913216.265945__1.265945	821__A0A3E4WAR6__DXD64_10735
ERR1913216.266041__1.266041	1262935__R5GC23__BN773_00903
ERR1913216.266876__1.266876	454154__G5SLR2__HMPREF9441_00281
ERR1913216.267260__1.267260	821__A0A174WBC9__ERS852556_03145
ERR1913216.267401__1.267401	1262886__R6QHF8__BN563_00567
ERR1913216.267305__1.267305	371601__D0TQQ4__BN891_30250
ERR1913216.267674__1.267674	487174__K0WV19__HMPREF9448_01820
ERR1913216.267973__1.267973	821__A0A0P0L952__M097_4235
ERR1913216.267977__1.267977	28117__B0MZ14__ALIPUT_02383
ERR1913216.268061__1.268061	418240__A0A174FWP2__ERS852478_02093
ERR1913216.268577__1.268577	820__A0A139KEW8__DXB64_06405
ERR1913216.268929__1.268929	46228__V8C4V0__HMPREF1202_01552
ERR1913216.269704__1.269704	1284680__A0A095WN91__HMPREF1627_08465
ERR1913216.269832__1.269832	1262825__R5EHM5__BN724_01843
ERR1913216.269868__1.269868	28118__F9Z759__B5F93_05180
ERR1913216.270411__1.270411	371601__F7M1V2__DXD80_13245
ERR1913216.271168__1.271168	823__A6LBY1__ERS852380_00510
ERR1913216.271442__1.271442	821__A0A396F1N0__M099_1553
ERR1913216.271539__1.271539	1501391__GCA_000786575.1_00024
ERR1913216.271704__1.271704	357276__I9R4T1__IY41_06800
ERR1913216.271825__1.271825	357276__A0A0M1W9N4__GV66_05135
ERR1913216.271932__1.271932	291644__I9T9Y0__HMPREF1071_01813
ERR1913216.272671__1.272671	821__C6Z087__DXB90_00750
ERR1913216.272948__1.272948	820__A0A173WUD7__DXB48_08055
ERR1913216.272992__1.272992	39492__B0MM84__lgt
ERR1913216.272964__1.272964	165179__A0A174SA26__PREVCOP_05758
ERR1913216.273081__1.273081	1262935__R5GCM2__BN773_01053
ERR1913216.273368__1.273368	357276__A0A076INK2__BSEG_04225
ERR1913216.273431__1.273431	1262935__R5GDX6__BN773_01326
ERR1913216.273690__1.273690	357276__G5SMD3__BSEG_02959
ERR1913216.273808__1.273808	1262886__R6Q989__BN563_01287
ERR1913216.274101__1.274101	487174__R5ER56__HMPREF9448_02812
ERR1913216.274233__1.274233	1262935__R5GFE1__BN773_00206
ERR1913216.274252__1.274252	39492__D4JX40__EUBSIR_00020
ERR1913216.274538__1.274538	357276__C3RA36__HMPREF1065_03270
ERR1913216.274773__1.274773	291644__I9SJB6__HMPREF1532_04086
ERR1913216.274817__1.274817	1262935__R5GK32__BN773_00174
ERR1913216.275422__1.275422	2293125__A0A374BSW4__DW917_13420
ERR1913216.275705__1.275705	46228__V8CGG7__RUMLAC_01115
ERR1913216.275780__1.275780	291644__I8Y011__HMPREF1071_04228
ERR1913216.276187__1.276187	454154__G5SQ56__HMPREF9441_01493
ERR1913216.276990__1.276990	487174__K0WXI5__DDY40_07185
ERR1913216.277214__1.277214	1897011__A0A1Q6RJH2__BHW41_00235
ERR1913216.277238__1.277238	820__A0A139K4W5__HMPREF2141_02394
ERR1913216.277265__1.277265	820__A0A3E4PYB0__yejM
ERR1913216.277389__1.277389	1897011__A0A1Q6RFG1__BHW41_03725
ERR1913216.277391__1.277391	418240__A0A174VMW5__ERS852478_01082
ERR1913216.277467__1.277467	357276__A0A1Y3Z6X3__GV66_07715
ERR1913216.277963__1.277963	1262935__R5GK32__BN773_00174
ERR1913216.277987__1.277987	1262935__R5GSZ0__BN773_01827
ERR1913216.278167__1.278167	291644__R5JAW4__HMPREF1071_01744
ERR1913216.278311__1.278311	853__A0A2A7B9I6__DW855_13690
ERR1913216.278351__1.278351	626932__G5H4Z7__HMPREF9450_00007
ERR1913216.278841__1.278841	1262935__R5GF26__BN773_01700
ERR1913216.278991__1.278991	246787__R6K756__HMPREF1062_01819
ERR1913216.279018__1.279018	28118__R6F045__B5F99_10560
ERR1913216.279152__1.279152	40518__R5DYP7__envC
ERR1913216.279202__1.279202	357276__A0A076IXE0__HMPREF1064_04364
ERR1913216.279355__1.279355	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913216.279457__1.279457	28116__R6JIR4__DXA80_14190
ERR1913216.279604__1.279604	39492__D4JU31__ERS852540_00198
ERR1913216.279965__1.279965	821__D4VD59__BHV80_04260
ERR1913216.280377__1.280377	820__A0A1Q6IDS8__chtA
ERR1913216.280419__1.280419	544645__A0A3E4T2K3__DXC42_13505
ERR1913216.280420__1.280420	2173__A0A1D2WTZ3__frhB
ERR1913216.280481__1.280481	39492__D4JRM4__tap_5
ERR1913216.281155__1.281155	823__A0A395YZ10__NCTC11152_02955
ERR1913216.281608__1.281608	46228__V8BPQ7__HMPREF1202_02326
ERR1913216.281817__1.281817	33039__A0A174ZQJ6__ERS852530_06709
ERR1913216.281976__1.281976	820__A0A139K0J1__HMPREF2141_03205
ERR1913216.282416__1.282416	1262958__R7GT75__BN645_01080
ERR1913216.282613__1.282613	820__A0A139JV05__B5G17_18125
ERR1913216.282658__1.282658	28111__E5WVZ4__NCTC11155_02635
ERR1913216.282803__1.282803	291644__I9T317__ERS852428_03619
ERR1913216.282820__1.282820	820__A0A174Q0F0__DXB48_08080
ERR1913216.282912__1.282912	28117__B0MWX3__BHV66_03010
ERR1913216.283067__1.283067	1262911__R6H0U7__BN557_01104
ERR1913216.283124__1.283124	626932__G5H7N2__HMPREF9450_00685
ERR1913216.283243__1.283243	1150298__A0A174SLE6__mlc_1
ERR1913216.283300__1.283300	357276__B6W1Y1__BSEG_03960
ERR1913216.283211__1.283211	454155__F3QQI3__HMPREF9442_00425
ERR1913216.283407__1.283407	820__A0A3E4XM43__DXC91_13960
ERR1913216.283529__1.283529	821__U6RDC2__DXD46_15675
ERR1913216.283643__1.283643	28111__E5WUX1__HMPREF1016_00548
ERR1913216.283775__1.283775	418240__A0A174D0Q2__ERS852478_02068
ERR1913216.283821__1.283821	357276__I9G0T7__BACDOR_04266
ERR1913216.284008__1.284008	46228__B5CM12__DXD17_00945
ERR1913216.284510__1.284510	357276__E5UTL1__HMPREF1065_03551
ERR1913216.284739__1.284739	357276__A0A076J4B1__DXD47_03445
ERR1913216.285315__1.285315	1262935__R5GQI1__BN773_00059
ERR1913216.285337__1.285337	28111__E5WYP5__BACEGG_00185
ERR1913216.285539__1.285539	823__A0A355XEX9__ERS852560_03521
ERR1913216.285711__1.285711	821__A0A3E4WAR6__DXD64_10735
ERR1913216.285951__1.285951	1263044__GCA_000433375.1_03425
ERR1913216.286158__1.286158	357276__A0A0K2HJA6__DXD47_07320
ERR1913216.286185__1.286185	35833__E5Y2V2__HMPREF0179_00466
ERR1913216.286787__1.286787	823__A0A395YZ10__NCTC11152_02955
ERR1913216.286962__1.286962	328814__GCA_004558275.1_00056
ERR1913216.287094__1.287094	28117__B0MWH8__BHV66_01330
ERR1913216.287249__1.287249	820__A0A3E4RTP0__C801_01067
ERR1913216.287222__1.287222	165179__A0A3E5EAM5__DXC61_07785
ERR1913216.287208__1.287208	357276__A0A0P0M2G3__BACDOR_03913
ERR1913216.288244__1.288244	823__A0A078SYK6__DXB14_02485
ERR1913216.288157__1.288157	1262935__R5GQL0__BN773_00002
ERR1913216.288767__1.288767	371601__C3QR34__DXD03_22980
ERR1913216.290188__1.290188	871325__A0A1M4TSZ2__SAMN05444349_102236
ERR1913216.290330__1.290330	1262935__R5GG03__BN773_00437
ERR1913216.290360__1.290360	820__R9I3Q7__HMPREF1072_01668
ERR1913216.290790__1.290790	820__R9I2U8__DXC68_09590
ERR1913216.291114__1.291114	1262935__R5GT62__BN773_01738
ERR1913216.291137__1.291137	357276__B6W1J2__BACDOR_03380
ERR1913216.291705__1.291705	28117__B0MXU6__ALIPUT_01958
ERR1913216.291884__1.291884	384638__B7APN3__BACPEC_00639
ERR1913216.291957__1.291957	821__I9R3W6__DXC16_12455
ERR1913216.292359__1.292359	454155__F3QXB7__HMPREF9442_02852
ERR1913216.292394__1.292394	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913216.292637__1.292637	1547597__A0A0C3RK25__BA92_02335
ERR1913216.293238__1.293238	820__E5VEH7__ERS852459_01300
ERR1913216.293298__1.293298	46228__V8C6B2__DXD17_09805
ERR1913216.293415__1.293415	28117__B0MUB3__ALIPUT_00727
ERR1913216.293368__1.293368	357276__A0A076IXE0__HMPREF1064_04364
ERR1913216.293540__1.293540	820__A0A174CG08__DXB62_13215
ERR1913216.293757__1.293757	74426__thrZ
ERR1913216.293762__1.293762	1262935__R5GCM2__BN773_01053
ERR1913216.293850__1.293850	1628085__A0A374VP93__C7386_10150
ERR1913216.294081__1.294081	46506__B0NSD0__HMPREF1181_00408
ERR1913216.294390__1.294390	46506__B0NM04__DXC41_13195
ERR1913216.294362__1.294362	1150298__R7JUS5__soxS_1
ERR1913216.294634__1.294634	46228__B5CTE4__DXD17_12795
ERR1913216.295099__1.295099	28118__F9ZCH6__DHW44_07090
ERR1913216.295481__1.295481	1897011__A0A1Q6RG48__BHW41_02345
ERR1913216.295626__1.295626	46506__B0NU72__DXC41_00075
ERR1913216.296075__1.296075	823__A0A355XKQ8__DHP27_04010
ERR1913216.296518__1.296518	1262935__R5GG37__BN773_00249
ERR1913216.296905__1.296905	106588__A6P303__BACCAP_04887
ERR1913216.296913__1.296913	821__A0A173WG51__BVU_2549
ERR1913216.296958__1.296958	39492__A0A174ZHV5__msbA_2
ERR1913216.297180__1.297180	821__D4VC51__M099_1508
ERR1913216.297183__1.297183	1262935__R5GH94__BN773_00883
ERR1913216.297272__1.297272	204516__U6R8I1__HMPREF1534_03341
ERR1913216.297559__1.297559	1262945__R6YHY2__BN600_01802
ERR1913216.297701__1.297701	1547597__A0A0C3MD33__BA92_08910
ERR1913216.297601__1.297601	39492__D4JRZ7__smc
ERR1913216.297657__1.297657	820__A0A139K1Y6__DXB48_02610
ERR1913216.297727__1.297727	33039__R6P0F1__ERS852424_02256
ERR1913216.297950__1.297950	487173__H1CXZ3__HMPREF9453_00231
ERR1913216.297990__1.297990	487174__K0WXG8__DIT83_09300
ERR1913216.298334__1.298334	1262935__R5GU54__BN773_00232
