ERR1913252.674__1.674	1262924__R7HST1__BN585_00215
ERR1913252.745611__1.745611	821__C6Z451__BHV80_04265
ERR1913252.745657__1.745657	310298__B3JMZ2__BACCOP_03297
ERR1913252.745824__1.745824	1262924__R7HTK4__BN585_00496
ERR1913252.745828__1.745828	360807__A0A173VUT6__RIL183_10071
ERR1913252.745859__1.745859	1628085__A0A374VP93__C7386_10150
ERR1913252.746158__1.746158	544644__GCA_001915615.1_02043
ERR1913252.746301__1.746301	165179__D1PCL6__DXB80_13435
ERR1913252.746381__1.746381	1263107__GCA_000436995.1_00090
ERR1913252.746529__1.746529	487174__K0XKB7__DDY40_03475
ERR1913252.746585__1.746585	28118__F9ZBZ0__DHW44_07740
ERR1913252.747077__1.747077	1262948__R7EBX1__BN671_01946
ERR1913252.747199__1.747199	1262948__R7E7V4__BN671_01746
ERR1913252.747326__1.747326	46503__B7BG40__ERS852463_01623
ERR1913252.747333__1.747333	2293125__A0A374BSW4__DW917_13420
ERR1913252.747407__1.747407	1262911__R6HG22__BN557_01336
ERR1913252.747442__1.747442	165179__A0A174UTZ7__DXC61_06705
ERR1913252.747610__1.747610	165179__A0A174SA26__PREVCOP_05758
ERR1913252.747786__1.747786	357276__I8VQA2__HMPREF1065_04183
ERR1913252.747807__1.747807	556259__E5CB83__BSGG_2632
ERR1913252.748326__1.748326	322505__group_1006
ERR1913252.748275__1.748275	1262924__R7HQ03__BN585_01295
ERR1913252.748357__1.748357	820__A0A139JRH8__HMPREF2141_04326
ERR1913252.748463__1.748463	821__A6L0C7__ERS852556_03520
ERR1913252.748542__1.748542	458033__GCA_001482755.1_02203
ERR1913252.748675__1.748675	821__E5UY21__C800_02204
ERR1913252.748683__1.748683	821__E5UY21__C800_02204
ERR1913252.748711__1.748711	821__A0A395US34__C5Z04_18975
ERR1913252.748845__1.748845	310298__B3JK49__BACCOP_02273
ERR1913252.748849__1.748849	823__A0A174GGT1__queG
ERR1913252.749208__1.749208	1262924__R7HRJ9__BN585_00557
ERR1913252.749215__1.749215	39496__A5Z7Y8__EUBVEN_01828
ERR1913252.749283__1.749283	820__R9HXK9__DXB62_08265
ERR1913252.749893__1.749893	626932__G5H7N2__HMPREF9450_00685
ERR1913252.750911__1.750911	1262930__R5ZXL8__BN693_01321
ERR1913252.750985__1.750985	357276__B6W1J2__BACDOR_03380
ERR1913252.751171__1.751171	1262930__R6AUX8__BN693_00160
ERR1913252.751263__1.751263	818__A0A0P0F2P7__BT_1771
ERR1913252.751265__1.751265	1262930__R6A468__BN693_01366
ERR1913252.751344__1.751344	39488__A0A285PUH7__ERS852450_00520
ERR1913252.751460__1.751460	165179__R6PU83__CFT61_14275
ERR1913252.751490__1.751490	165179__A0A229I3Z6__PREVCOP_03666
ERR1913252.751558__1.751558	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913252.751645__1.751645	1262924__R7HQB3__BN585_00435
ERR1913252.751727__1.751727	418240__C6JFD7__ERS852523_02475
ERR1913252.751820__1.751820	821__I9R3W6__DXC16_12455
ERR1913252.751821__1.751821	853__D4JY61__C4N21_10560
ERR1913252.751825__1.751825	166486__R6AY46__ROSINTL182_06128
ERR1913252.751893__1.751893	88431__A0A174EDE9__yxeP_2
ERR1913252.752104__1.752104	818__A0A3E5HEV0__BT_3682
ERR1913252.752379__1.752379	310298__B3JK99__BACCOP_02328
ERR1913252.752583__1.752583	106588__A6NUL8__BACCAP_01900
ERR1913252.752589__1.752589	418240__C6JFD7__ERS852523_02475
ERR1913252.752602__1.752602	166486__D4L082__yicI_5
ERR1913252.752725__1.752725	357276__I9RCD3__IY41_15070
ERR1913252.752982__1.752982	820__A0A174TRB5__DXD40_11305
ERR1913252.753058__1.753058	820__A0A139JUD3__DXC91_19380
ERR1913252.753064__1.753064	818__A0A3E5GXM2__BJP75_025230
ERR1913252.753334__1.753334	28118__F9Z7M2__B5F99_10065
ERR1913252.753482__1.753482	40520__A0A174JSI5__ERS852394_00345
ERR1913252.753896__1.753896	33025__A0A395JED3__C8D73_101461
ERR1913252.754217__1.754217	2293125__A0A374BN09__DW917_16245
ERR1913252.754473__1.754473	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.754644__1.754644	818__A0A0N7IB36__BJP75_006465
ERR1913252.754797__1.754797	853__A0A174C5M1__CGS58_04460
ERR1913252.754886__1.754886	1262930__R5ZZI5__BN693_01682
ERR1913252.755083__1.755083	1150298__A0A174BC67__ERS852498_00837
ERR1913252.755383__1.755383	1535__A7VPW6__CLOLEP_00593
ERR1913252.755615__1.755615	853__A0A174CVG7__CGS58_09335
ERR1913252.755641__1.755641	820__A0A174R952__DXB48_02570
ERR1913252.755929__1.755929	165179__D1PGU8__PREVCOP_06463
ERR1913252.755932__1.755932	246787__E2NCX3__HMPREF1062_01637
ERR1913252.756078__1.756078	820__A0A174DZ97__SAMN05444418_101240
ERR1913252.756193__1.756193	823__A0A174LWY0__lepB
ERR1913252.756378__1.756378	394340__tufA
ERR1913252.756408__1.756408	1262992__R5D5Z8__BN795_00201
ERR1913252.756574__1.756574	1262930__R6AQL4__BN693_01311
ERR1913252.756715__1.756715	818__R7KWE7__HMPREF2534_03255
ERR1913252.756861__1.756861	39488__A0A374NKN1__ltaS_2
ERR1913252.756953__1.756953	371601__F7LYI1__BN891_45470
ERR1913252.757004__1.757004	820__A0A3E4XM43__DXC91_13960
ERR1913252.757011__1.757011	821__A0A174V2F3__NCTC10583_01474
ERR1913252.757233__1.757233	310298__B3JFK5__BACCOP_00655
ERR1913252.757275__1.757275	1308__A0A0M5JQG5__A9497_00900
ERR1913252.757286__1.757286	821__A0A174V2F3__NCTC10583_01474
ERR1913252.757470__1.757470	28118__R6FJE6__NCTC10826_00111
ERR1913252.757806__1.757806	28118__F9ZCN9__DHW44_07820
ERR1913252.757772__1.757772	360807__A0A396AIG0__ROSEINA2194_00358
ERR1913252.757939__1.757939	487174__K0X1V7__DIT83_03020
ERR1913252.757951__1.757951	47678__R5UXJ2__DW706_08325
ERR1913252.758079__1.758079	357276__I9G0T7__BACDOR_04266
ERR1913252.758067__1.758067	1304__A0A0Y1WH36__STRSA0001_0605
ERR1913252.758119__1.758119	357276__A0A076IYE6__IY41_04275
ERR1913252.758188__1.758188	2292284__A0A374VC26__DXC10_06060
ERR1913252.758231__1.758231	28116__R6K4N7__ERS852555_03750
ERR1913252.758686__1.758686	88431__A0A174NWK4__DORLON_02346
ERR1913252.758776__1.758776	820__A0A374QGD2__ERS852421_02382
ERR1913252.758861__1.758861	371601__A0A395W6D8__BXY_21530
ERR1913252.758923__1.758923	626932__G5H8P7__HMPREF9450_01983
ERR1913252.759000__1.759000	88431__A0A174G8Q6__ERS852526_02711
ERR1913252.759067__1.759067	46503__R6X1R0__ERS852463_00596
ERR1913252.759139__1.759139	2293125__A0A374CKY3__DW917_01805
ERR1913252.759313__1.759313	357276__I9QBT7__BSEG_03340
ERR1913252.759388__1.759388	820__A0A1T4IY71__HMPREF2141_02402
ERR1913252.759855__1.759855	165179__A0A174SA26__PREVCOP_05758
ERR1913252.759918__1.759918	1262930__R5ZXU1__BN693_01352
ERR1913252.760909__1.760909	820__A0A3E4WCC2__lptB_1
ERR1913252.761130__1.761130	487174__K0WUJ5__HMPREF9448_02567
ERR1913252.761241__1.761241	1150298__A0A174R4D7__tmpC_2
ERR1913252.761322__1.761322	487174__K0X4F7__DDY40_08055
ERR1913252.761467__1.761467	820__A0A174F696__macB_13
ERR1913252.761476__1.761476	1263109__GCA_000438135.1_01610
ERR1913252.761484__1.761484	1262930__R5ZZ59__BN693_01578
ERR1913252.761579__1.761579	821__A0A3E4WAR6__DXD64_10735
ERR1913252.761595__1.761595	310298__B3JMG0__BACCOP_03099
ERR1913252.761795__1.761795	821__C6Z087__DXB90_00750
ERR1913252.761803__1.761803	821__A0A0P0M3U7__DXB90_14325
ERR1913252.762159__1.762159	821__A0A0P0LNX8__ERS852509_03015
ERR1913252.762214__1.762214	820__A0A174FUF0__HMPREF1073_03308
ERR1913252.762385__1.762385	310298__B3JM32__BACCOP_00571
ERR1913252.762392__1.762392	820__A0A173WZS4__DXD90_10250
ERR1913252.762730__1.762730	2293125__A0A374BN09__DW917_16245
ERR1913252.762832__1.762832	1262924__R7HMZ4__BN585_01629
ERR1913252.762907__1.762907	626933__H1DGX0__HMPREF9449_01506
ERR1913252.763022__1.763022	28118__R6F6F1__B5F93_10805
ERR1913252.763108__1.763108	166486__D4KUC4__arcB_1
ERR1913252.763158__1.763158	1262920__R5KD76__BN467_01465
ERR1913252.763502__1.763502	165179__D1PEQ5__PREVCOP_05711
ERR1913252.763520__1.763520	853__A0A2A7AXC8__C4N21_14120
ERR1913252.763537__1.763537	74426__rplS
ERR1913252.763609__1.763609	310298__B3JM32__BACCOP_00571
ERR1913252.763612__1.763612	410072__A0A174A5E2__dtpT
ERR1913252.763667__1.763667	165179__A0A3E5DN34__DXC61_07865
ERR1913252.763764__1.763764	387661__K5ZF23__HMPREF1077_00436
ERR1913252.763992__1.763992	1262930__R6A1N0__BN693_00917
ERR1913252.764012__1.764012	626933__H1DGX0__HMPREF9449_01506
ERR1913252.764209__1.764209	818__R7KLE6__BJP75_004275
ERR1913252.764367__1.764367	1262948__R7EDZ4__BN671_00895
ERR1913252.764540__1.764540	1262930__R6AA23__BN693_01312
ERR1913252.764463__1.764463	28118__F9Z7M5__B5F99_15930
ERR1913252.764578__1.764578	166486__D4KZ24__ROSINTL182_05766
ERR1913252.764580__1.764580	39486__R6RY39__DXD82_07230
ERR1913252.764677__1.764677	166486__D4KXZ7__ROSINTL182_05052
ERR1913252.764892__1.764892	821__A0A396F9T7__M097_3427
ERR1913252.764856__1.764856	626929__F3PER7__B5F24_11615
ERR1913252.764860__1.764860	39488__C0F0P7__ERS852578_02651
ERR1913252.764865__1.764865	1263044__GCA_000433375.1_03403
ERR1913252.765113__1.765113	626932__G5H9Q9__HMPREF9450_01374
ERR1913252.765311__1.765311	1262930__R6AQM8__BN693_01323
ERR1913252.765371__1.765371	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.765327__1.765327	821__A0A174NM17__lacZ_6
ERR1913252.765809__1.765809	1150298__R7JRU1__degA_3
ERR1913252.765826__1.765826	820__A0A396EXA7__DXB37_15530
ERR1913252.765882__1.765882	165179__A0A3E5AAM8__DXB80_10240
ERR1913252.765908__1.765908	884684__GCA_002892425.1_01408
ERR1913252.765926__1.765926	28118__R6F045__B5F99_10560
ERR1913252.765933__1.765933	33039__D4M6R8__bglB_8
ERR1913252.765964__1.765964	1262924__R7HU74__BN585_00690
ERR1913252.766138__1.766138	853__A0A2A7B1Y7__C7K05_11930
ERR1913252.766176__1.766176	410072__A0A173SWT8__ERS852389_01443
ERR1913252.766231__1.766231	39492__D4JRZ7__smc
ERR1913252.766252__1.766252	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913252.766779__1.766779	1628085__A0A374VLK9__C7386_1227
ERR1913252.766789__1.766789	46503__R6WYJ8__DXB85_13825
ERR1913252.767109__1.767109	310298__B3JNG7__BACCOP_03480
ERR1913252.767122__1.767122	1735__B7CCF3__EUBIFOR_01880
ERR1913252.767269__1.767269	823__A0A073I748__M096_3057
ERR1913252.767217__1.767217	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913252.767850__1.767850	204516__U6R9E7__HMPREF1534_03313
ERR1913252.768070__1.768070	1262924__R7HQ14__BN585_00419
ERR1913252.768309__1.768309	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913252.768383__1.768383	165179__A0A3E5AHY4__CFT61_07675
ERR1913252.768400__1.768400	371601__C3R2J2__ERS852396_04353
ERR1913252.768527__1.768527	1796613__A0A1C7GYE7__ADH74_04570
ERR1913252.768647__1.768647	544645__A0A373UZ25__DXC42_17170
ERR1913252.768658__1.768658	1262924__R7HQV3__BN585_00017
ERR1913252.768664__1.768664	166486__D4KJ71__ERS852572_03479
ERR1913252.768731__1.768731	821__D4VD59__BHV80_04260
ERR1913252.768803__1.768803	357276__A0A0K2HJA6__DXD47_07320
ERR1913252.768853__1.768853	1680__A0A087DLC6__C8077_00815
ERR1913252.768864__1.768864	1262930__R6A1N0__BN693_00917
ERR1913252.768897__1.768897	204516__U6RGN8__HMPREF1534_01465
ERR1913252.768969__1.768969	39488__C0ES56__DXD91_10565
ERR1913252.768985__1.768985	310298__B3JQJ5__BACCOP_04231
ERR1913252.769067__1.769067	544644__GCA_001915615.1_01895
ERR1913252.769159__1.769159	626932__G5H6T1__HMPREF9450_00641
ERR1913252.769410__1.769410	853__A0A174CVG7__CGS58_09335
ERR1913252.769806__1.769806	28116__C3QSX8__SAMN05444282_101331
ERR1913252.770574__1.770574	2293125__A0A374C9I8__DW917_06795
ERR1913252.770706__1.770706	357276__D1JYA3__BSEG_00395
ERR1913252.770712__1.770712	218538__C9LNE0__GCWU000321_01061
ERR1913252.770644__1.770644	74426__rpoC
ERR1913252.770722__1.770722	853__A0A2A7B9I6__DW855_13690
ERR1913252.770849__1.770849	28116__F7L4N5__BACOVA_00137
ERR1913252.771135__1.771135	166486__C7GE31__ganB_3
ERR1913252.771172__1.771172	821__A0A3E4KIM1__M097_3660
ERR1913252.771193__1.771193	310298__B3JNH3__BACCOP_03486
ERR1913252.771199__1.771199	1262911__R6HN87__BN557_00926
ERR1913252.771427__1.771427	544644__GCA_001915615.1_01170
ERR1913252.771494__1.771494	357276__B6W1J2__BACDOR_03380
ERR1913252.771631__1.771631	818__A0A139KW23__HMPREF2534_00792
ERR1913252.771685__1.771685	410072__A0A174J5N8__sbcC
ERR1913252.771740__1.771740	165179__D1PGU8__PREVCOP_06463
ERR1913252.771898__1.771898	821__A0A0P0LFP6__C5Z04_13890
ERR1913252.771864__1.771864	310298__B3JN86__BACCOP_03398
ERR1913252.771950__1.771950	166486__D4L1P5__ERS852572_00758
ERR1913252.772331__1.772331	1150298__A0A174LE54__cysA
ERR1913252.772356__1.772356	2293125__A0A374BSW4__DW917_13420
ERR1913252.772708__1.772708	1262992__R5D9T1__BN795_00079
ERR1913252.773027__1.773027	310298__B3JMG0__BACCOP_03099
ERR1913252.773236__1.773236	1262992__R5CY89__BN795_01227
ERR1913252.773544__1.773544	39488__A0A285PSK3__yihY
ERR1913252.773711__1.773711	820__A0A174G065__DXB62_08975
ERR1913252.774069__1.774069	1262924__R7HKX0__BN585_01279
ERR1913252.774185__1.774185	46506__A0A120A0V1__DXC41_00280
ERR1913252.774278__1.774278	2293125__A0A374CMK5__DW917_00330
ERR1913252.774596__1.774596	626932__G5HB69__HMPREF9450_01884
ERR1913252.774604__1.774604	166486__D4L3V9__ROSINTL182_07680
ERR1913252.774569__1.774569	166486__R6AY46__ROSINTL182_06128
ERR1913252.774910__1.774910	544644__GCA_001915615.1_02267
ERR1913252.775406__1.775406	360807__A0A396AK01__RIL183_20461
ERR1913252.775573__1.775573	165179__D1PHD6__DXC61_03380
ERR1913252.775735__1.775735	821__I9R3W6__DXC16_12455
ERR1913252.775999__1.775999	165179__A0A3E5AER8__DXB80_07075
ERR1913252.776471__1.776471	46503__R6Y9P8__evgS_3
ERR1913252.776545__1.776545	1262930__R6AQL4__BN693_01311
ERR1913252.776579__1.776579	2293125__A0A374CJ42__DW917_03305
ERR1913252.776741__1.776741	556259__E5C614__BSGG_0177
ERR1913252.776913__1.776913	2293125__A0A374BUM7__DW917_12980
ERR1913252.777147__1.777147	357276__I9FTR0__HMPREF1065_02861
ERR1913252.777193__1.777193	46503__R6WWH2__DXB85_00365
ERR1913252.777233__1.777233	818__D7IK38__ERS852430_03017
ERR1913252.777168__1.777168	2293125__A0A374C9I8__DW917_06795
ERR1913252.777338__1.777338	204516__U6RFB2__HMPREF1534_01733
ERR1913252.777384__1.777384	823__A0A174LDE8__M096_3277
ERR1913252.777453__1.777453	360807__C0FPV8__RIL183_29891
ERR1913252.777501__1.777501	46503__K5ZBF7__DD461_15285
ERR1913252.777561__1.777561	823__A0A174UR44__M095_2641
ERR1913252.777674__1.777674	853__A0A173T6P2__DWZ46_14595
ERR1913252.777966__1.777966	1262930__R5ZVQ3__BN693_01357
ERR1913252.777983__1.777983	165179__D1PHC0__PREVCOP_06640
ERR1913252.777992__1.777992	1628085__A0A1C6AZZ4__C7386_101481
ERR1913252.777994__1.777994	2293125__A0A374BV30__DW917_13395
ERR1913252.778101__1.778101	1262992__R5D1Y3__BN795_00199
ERR1913252.778261__1.778261	165179__A0A3E5AAM8__DXB80_10240
ERR1913252.778306__1.778306	46503__R6Y2Y6__ERS852463_03103
ERR1913252.778438__1.778438	1262930__R5ZZI5__BN693_01682
ERR1913252.778632__1.778632	310298__B3JQD7__BACCOP_04095
ERR1913252.778749__1.778749	820__A0A374Q4X1__HMPREF2141_02370
ERR1913252.778818__1.778818	166486__D4L402__ROSINTL182_05182
ERR1913252.778976__1.778976	823__A6LFW2__M095_1860
ERR1913252.778884__1.778884	88431__A6BFJ3__ERS852408_01680
ERR1913252.779302__1.779302	820__A0A139KIL9__DXC68_05945
ERR1913252.779362__1.779362	2293125__A0A374C9I8__DW917_06795
ERR1913252.779527__1.779527	410072__C0BDA3__DXD67_12185
ERR1913252.779623__1.779623	74426__sigA
ERR1913252.779652__1.779652	1262739__R6MRD4__BN659_02013
ERR1913252.779728__1.779728	649756__R7C0E8__ERS852387_01288
ERR1913252.779874__1.779874	165179__D1PHC0__PREVCOP_06640
ERR1913252.779923__1.779923	1105031__J1H3W2__HMPREF1141_2783
ERR1913252.779937__1.779937	357276__C3RDQ5__HMPREF1065_03827
ERR1913252.779977__1.779977	28118__F9Z9C4__B5F93_16310
ERR1913252.780051__1.780051	310298__B3JNG7__BACCOP_03480
ERR1913252.780220__1.780220	823__A6LH14__B5F32_11640
ERR1913252.780529__1.780529	2293125__A0A374BN09__DW917_16245
ERR1913252.780582__1.780582	544644__GCA_001915615.1_02269
ERR1913252.780564__1.780564	1735__B7C932__EUBIFOR_00689
ERR1913252.780946__1.780946	165179__A0A174SA26__PREVCOP_05758
ERR1913252.780976__1.780976	46503__R6X275__DD461_10840
ERR1913252.781179__1.781179	1262930__R6AYA7__BN693_00428
ERR1913252.781208__1.781208	357276__B6VUQ5__B5F00_10940
ERR1913252.781259__1.781259	821__A0A173WG51__BVU_2549
ERR1913252.781482__1.781482	418240__C6JGW8__ERS852523_02296
ERR1913252.781752__1.781752	360807__A0A173V2S2__phoR_7
ERR1913252.781759__1.781759	301301__G2SZ82__RHOM_00970
ERR1913252.781813__1.781813	165179__A0A229I3Z6__PREVCOP_03666
ERR1913252.781931__1.781931	1628085__A0A1C6D825__C7386_1061
ERR1913252.782097__1.782097	2293125__A0A374BSW4__DW917_13420
ERR1913252.782176__1.782176	166486__D4KZ14__inlA_1
ERR1913252.782225__1.782225	39488__R6GBC5__DXD91_06450
ERR1913252.782390__1.782390	28052__R7NCD4__ERS852451_00170
ERR1913252.782589__1.782589	310298__B3JK99__BACCOP_02328
ERR1913252.782647__1.782647	2293125__A0A374BUM7__DW917_12980
ERR1913252.782797__1.782797	487174__K0XA48__DDY40_03955
ERR1913252.783044__1.783044	1735__B7CCE4__EUBIFOR_01871
ERR1913252.783078__1.783078	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.783190__1.783190	166486__D4KZA5__ERS852572_03317
ERR1913252.783256__1.783256	487174__K0WXI5__DDY40_07185
ERR1913252.783450__1.783450	853__A0A2A7A4A9__C4N21_14870
ERR1913252.783467__1.783467	544644__GCA_001915615.1_02043
ERR1913252.783611__1.783611	357276__B6W1J2__BACDOR_03380
ERR1913252.783964__1.783964	360807__A0A0M6X0S9__RIL183_10591
ERR1913252.784256__1.784256	310298__B3JQJ5__BACCOP_04231
ERR1913252.784465__1.784465	1133319__W4US87__JCM10512_2118
ERR1913252.784589__1.784589	165179__R6B8D8__DXC61_09245
ERR1913252.784568__1.784568	1262992__R5D749__BN795_01063
ERR1913252.784690__1.784690	292800__A0A174IG67__A4U99_10595
ERR1913252.784707__1.784707	821__A6L0C7__ERS852556_03520
ERR1913252.784798__1.784798	818__A0A3E5HEV0__BT_3682
ERR1913252.784903__1.784903	1150298__A0A174LLX0__dhaD
ERR1913252.785227__1.785227	2293125__A0A374BSW4__DW917_13420
ERR1913252.785243__1.785243	1262930__R6AHR4__BN693_00447
ERR1913252.785398__1.785398	310298__B3JK49__BACCOP_02273
ERR1913252.785356__1.785356	165179__A0A3E5A5E5__DXC61_13965
ERR1913252.785789__1.785789	820__A7VAR9__ERS852421_00197
ERR1913252.786084__1.786084	165179__R6B8D8__DXC61_09245
ERR1913252.786344__1.786344	46503__R6WYJ8__DXB85_13825
ERR1913252.786374__1.786374	410072__A0A173YNZ0__ERS852481_00766
ERR1913252.786534__1.786534	39488__C0EY05__EUBHAL_02306
ERR1913252.786586__1.786586	166486__D4KVA1__ROSINTL182_06909
ERR1913252.786844__1.786844	821__A0A174TD86__C800_00949
ERR1913252.786980__1.786980	39496__A5Z7Y4__EUBVEN_01825
ERR1913252.787256__1.787256	2293125__A0A374BSW4__DW917_13420
ERR1913252.787227__1.787227	853__A0A174C5M1__CGS58_04460
ERR1913252.787360__1.787360	40518__R5E175__RB5AMG_00757
ERR1913252.787475__1.787475	821__E5UMZ6__BVU_1450
ERR1913252.787636__1.787636	46503__K6A7H7__DCY29_03460
ERR1913252.787899__1.787899	310298__B3JMG0__BACCOP_03099
ERR1913252.788088__1.788088	853__A0A174C5M1__CGS58_04460
ERR1913252.788090__1.788090	818__A0A3E5GY47__SAMN02910322_02002
ERR1913252.788236__1.788236	165179__A0A3E5ED28__PREVCOP_06655
ERR1913252.788239__1.788239	823__A0A395YZG9__M092_4358
ERR1913252.788338__1.788338	820__A0A3E4RU03__M093_0563
ERR1913252.788694__1.788694	28118__R6FA80__DHW44_06470
ERR1913252.788748__1.788748	165179__A0A174UTZ7__DXC61_06705
ERR1913252.788879__1.788879	821__A0A174NSU0__BVU_3144
ERR1913252.788955__1.788955	165179__D1PGU8__PREVCOP_06463
ERR1913252.789027__1.789027	39486__R6RY39__DXD82_07230
ERR1913252.789045__1.789045	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913252.789079__1.789079	165179__A0A229I3Z6__PREVCOP_03666
ERR1913252.789212__1.789212	46506__B0NQN6__AA415_00632
ERR1913252.789304__1.789304	820__A0A396EUU8__luxQ_3
ERR1913252.789447__1.789447	165179__A0A3E5AER8__DXB80_07075
ERR1913252.790078__1.790078	166486__D4KVA1__ROSINTL182_06909
ERR1913252.790109__1.790109	544644__GCA_001915615.1_01914
ERR1913252.790177__1.790177	28118__F9Z750__Odosp_3044
ERR1913252.790281__1.790281	166486__A0A1Q6SGI9__ERS852572_00327
ERR1913252.790257__1.790257	1262924__R7HQD9__BN585_00129
ERR1913252.790298__1.790298	410072__A0A173WZ94__DXD67_05780
ERR1913252.790395__1.790395	1628085__A0A2U1BCN9__C7386_10764
ERR1913252.790774__1.790774	410072__A0A173YQW3__dtpT_1
ERR1913252.790787__1.790787	821__A6L0C7__ERS852556_03520
ERR1913252.790887__1.790887	1262924__R7HRJ9__BN585_00557
ERR1913252.790937__1.790937	166486__D4L1P3__ERS852572_00760
ERR1913252.791207__1.791207	1735__B7CCQ2__EUBIFOR_01980
ERR1913252.791220__1.791220	410072__C0BAS6__ERS852481_01274
ERR1913252.791731__1.791731	1262930__R6AX81__BN693_00293
ERR1913252.791742__1.791742	823__A0A395YY84__DXC05_19515
ERR1913252.791928__1.791928	1262992__R5D3B5__BN795_00427
ERR1913252.792176__1.792176	166486__D4KX18__ROSINTL182_07596
ERR1913252.792281__1.792281	165179__D1PGU8__PREVCOP_06463
ERR1913252.792457__1.792457	1262911__R6HN87__BN557_00926
ERR1913252.792585__1.792585	204516__U6R7Y8__HMPREF1534_03942
ERR1913252.792681__1.792681	1262930__R5ZZI5__BN693_01682
ERR1913252.793100__1.793100	487174__K0WXI5__DDY40_07185
ERR1913252.793088__1.793088	28118__F9Z6D1__DER54_04565
ERR1913252.793323__1.793323	1381__group_461
ERR1913252.793758__1.793758	1150298__A0A174QZ74__ERS852406_01102
ERR1913252.793810__1.793810	357276__A0A0P0M2G3__BACDOR_03913
ERR1913252.793970__1.793970	556259__I0PXW0__BSGG_5187
ERR1913252.794006__1.794006	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.794327__1.794327	360807__A0A1Q6T9R3__ERS852392_02666
ERR1913252.794676__1.794676	853__A0A173XRA8__CGS56_09290
ERR1913252.795256__1.795256	2293125__A0A374BY09__DW917_11855
ERR1913252.795332__1.795332	487174__K0X429__HMPREF9448_00932
ERR1913252.795398__1.795398	133926__E1QYG8__Olsu_0308
ERR1913252.795485__1.795485	28111__E5WTR3__BACEGG_01888
ERR1913252.795529__1.795529	823__A0A174KUS4__araC_7
ERR1913252.795639__1.795639	418240__A0A174SJB0__toxA_3
ERR1913252.795735__1.795735	820__A7V470__HMPREF1072_02076
ERR1913252.795857__1.795857	544644__GCA_001915615.1_02266
ERR1913252.795881__1.795881	165179__A0A174SA26__PREVCOP_05758
ERR1913252.795934__1.795934	166486__D4KY48__gmr_5
ERR1913252.796052__1.796052	649756__L1Q497__ERS852571_03051
ERR1913252.796078__1.796078	1262924__R7HRW9__BN585_00665
ERR1913252.796213__1.796213	39491__A0A396FSR4__ERS852580_02287
ERR1913252.796261__1.796261	821__A0A396FEL8__C5Z04_06030
ERR1913252.796429__1.796429	821__A0A174NM17__lacZ_6
ERR1913252.796476__1.796476	552398__F4XG18__HMPREF0866_02476
ERR1913252.796493__1.796493	46503__R6Y4M7__HMPREF1078_03269
ERR1913252.796547__1.796547	1263044__GCA_000433375.1_03385
ERR1913252.796703__1.796703	46503__K5ZX50__dnaG_1
ERR1913252.796769__1.796769	1262924__R7HT26__BN585_00306
ERR1913252.796963__1.796963	301301__A0A395V948__rsgA_2
ERR1913252.797394__1.797394	818__A0A3E5HXH0__NCTC13706_02166
ERR1913252.797532__1.797532	853__C7H7F5__DWZ46_01780
ERR1913252.797614__1.797614	487174__K0X1V7__DIT83_03020
ERR1913252.797653__1.797653	310298__B3JGJ2__BACCOP_00994
ERR1913252.797696__1.797696	165179__A0A3E5A5E5__DXC61_13965
ERR1913252.797737__1.797737	39488__C0EXY6__ltaS1_2
ERR1913252.797935__1.797935	1150298__A0A174EBT8__ERS852406_01739
ERR1913252.797956__1.797956	410072__A0A174RDI4__drrA_6
ERR1913252.798053__1.798053	823__A0A173VPM3__DHW69_17170
ERR1913252.798155__1.798155	165179__A0A3E5A5E5__DXC61_13965
ERR1913252.798205__1.798205	371601__D6D2M1__CW1_3199
ERR1913252.798611__1.798611	2293125__A0A374CMK5__DW917_00330
ERR1913252.798650__1.798650	410072__C0BBP9__ERS852525_00825
ERR1913252.798777__1.798777	310298__B3JN86__BACCOP_03398
ERR1913252.798737__1.798737	166486__A0A1Q6SA53__ROSINTL182_05714
ERR1913252.798738__1.798738	166486__D4L273__ERS852572_01638
ERR1913252.798837__1.798837	853__A0A174BZY1__xerD_1
ERR1913252.798814__1.798814	39488__C0EY05__EUBHAL_02306
ERR1913252.798985__1.798985	166486__D4KW03__ERS852572_03114
ERR1913252.799079__1.799079	487174__K0WR72__HMPREF9448_02610
ERR1913252.799155__1.799155	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913252.799170__1.799170	1284680__A0A095XY99__HMPREF1627_09780
ERR1913252.799193__1.799193	1550024__A0A3B9WKW6__TQ39_07780
ERR1913252.799255__1.799255	818__A0A0N7IB02__BT_3500
ERR1913252.799371__1.799371	28118__R6F2P2__NCTC10826_02131
ERR1913252.799840__1.799840	1150298__A0A174N5I7__ERS852498_01953
ERR1913252.800036__1.800036	2293125__A0A374C9I8__DW917_06795
ERR1913252.800216__1.800216	46503__B7B776__DXB85_00355
