ERR1913315.80__1.80	649756__L1Q8X1__DCR88_03995
ERR1913315.140978__1.140978	821__A0A0P0L8F8__ERS852509_03705
ERR1913315.141013__1.141013	47678__A0A3E5BQM1__DXB67_08970
ERR1913315.141093__1.141093	820__A0A173YYG4__evgS_3
ERR1913315.141153__1.141153	820__A0A139KIL9__DXC68_05945
ERR1913315.141302__1.141302	47678__R5U2H9__DXB67_10685
ERR1913315.141275__1.141275	39488__A0A173U8N3__yhbU_1
ERR1913315.141298__1.141298	40518__R5DTJ1__DXD86_03635
ERR1913315.141419__1.141419	1304__J7TU64__CYK22_02490
ERR1913315.141508__1.141508	40518__R5DR96__RBATCC27255_01185
ERR1913315.141700__1.141700	28117__B0MTV0__BHV66_06395
ERR1913315.141734__1.141734	821__C6Z451__BHV80_04265
ERR1913315.141758__1.141758	821__A0A395VIK7__BVU_1225
ERR1913315.141861__1.141861	820__A0A374Q854__HMPREF1073_03281
ERR1913315.141936__1.141936	821__A0A395UNT8__DXD64_15275
ERR1913315.141954__1.141954	1776081__A0A1B8WSQ5__A0U42_03000
ERR1913315.142059__1.142059	40518__R5DME2__DXD86_07315
ERR1913315.142099__1.142099	216816__D6ZXB6__BBL306_0063
ERR1913315.142102__1.142102	821__A0A3E4WAR6__DXD64_10735
ERR1913315.142134__1.142134	821__A0A174WBC9__ERS852556_03145
ERR1913315.142148__1.142148	823__A0A173W404__DHP27_04905
ERR1913315.142152__1.142152	28052__A0A174IE05__ypdA_2
ERR1913315.142174__1.142174	820__A0A374QGD2__ERS852421_02382
ERR1913315.142220__1.142220	187327__G4Q5F1__Acin_2129
ERR1913315.142256__1.142256	292800__A0A174N232__ADH75_10840
ERR1913315.142288__1.142288	328814__GCA_004558275.1_00066
ERR1913315.142336__1.142336	28118__F9Z7S2__DF785_12600
ERR1913315.142315__1.142315	820__A0A174GK47__ERS852421_00200
ERR1913315.142367__1.142367	820__A0A174CK74__DXB48_07060
ERR1913315.142471__1.142471	821__E5UY21__C800_02204
ERR1913315.142616__1.142616	1304__J7TNT8__AWB63_08895
ERR1913315.142742__1.142742	357276__I9QBT7__BSEG_03340
ERR1913315.142726__1.142726	821__A0A0P0M2J4__DXD46_10295
ERR1913315.142732__1.142732	820__R9I2U8__DXC68_09590
ERR1913315.142736__1.142736	821__A0A3E4HP25__SAMN04487923_102450
ERR1913315.142766__1.142766	649756__L1Q497__ERS852571_03051
ERR1913315.142902__1.142902	820__A0A174GYA8__DXB64_07370
ERR1913315.142906__1.142906	40518__R5DYU1__DXD86_01160
ERR1913315.142985__1.142985	74426__pdxS
ERR1913315.142996__1.142996	40518__R5DS17__RBATCC27255_00416
ERR1913315.143040__1.143040	40518__R5DU52__RB5AMG_02245
ERR1913315.143121__1.143121	39491__C4ZF05__vpr
ERR1913315.143202__1.143202	47678__R5U8Y1__BACCAC_02615
ERR1913315.143411__1.143411	328813__A0A1Y3QZ24__B5G41_08040
ERR1913315.143438__1.143438	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913315.143445__1.143445	28117__B0MY40__BHV66_05170
ERR1913315.143487__1.143487	820__A0A174EV88__HMPREF1072_01427
ERR1913315.143514__1.143514	1628085__A0A3E2Y1Z4__C7386_12230
ERR1913315.143765__1.143765	823__D0TBY4__M090_0431
ERR1913315.143845__1.143845	2173__A0A1D2WSY6__Msm_1050
ERR1913315.143850__1.143850	74426__purL
ERR1913315.143857__1.143857	166486__D4KXB5__ROSINTL182_05909
ERR1913315.143866__1.143866	820__A0A139K9Q2__DXD40_08795
ERR1913315.143867__1.143867	187327__G4Q2V4__Acin_1541
ERR1913315.143929__1.143929	28117__B0MXG8__ALIPUT_01814
ERR1913315.143932__1.143932	487174__K0X7X4__DIT83_09125
ERR1913315.144056__1.144056	28116__A0A1Y4PIA6__BACOV975_04529
ERR1913315.144060__1.144060	328814__GCA_004558275.1_00066
ERR1913315.144107__1.144107	820__A0A139K426__B5G17_09115
ERR1913315.144186__1.144186	820__R9HUV5__HMPREF2141_02582
ERR1913315.144664__1.144664	338188__R6RT73__HMPREF1057_02828
ERR1913315.144977__1.144977	28116__A7M344__BACOV975_04644
ERR1913315.145051__1.145051	820__A0A174QLF0__SAMN05444418_109151
ERR1913315.145194__1.145194	1262869__R7CQK4__BN625_01693
ERR1913315.145158__1.145158	40518__A0A373KL92__RBATCC27255_01378
ERR1913315.145258__1.145258	820__A7VAR9__ERS852421_00197
ERR1913315.145286__1.145286	820__A0A173W419__DXC68_17760
ERR1913315.145512__1.145512	40518__R5E1J7__RBL236_02062
ERR1913315.145522__1.145522	28117__B0MXG8__ALIPUT_01814
ERR1913315.145539__1.145539	820__A0A139KJ23__celCCA
ERR1913315.145581__1.145581	821__A0A174T998__DXB82_10860
ERR1913315.145691__1.145691	187327__G4Q3E9__Acin_1732
ERR1913315.145731__1.145731	39491__A0A396FRE7__EUR_27520
ERR1913315.145800__1.145800	820__A0A374Q854__HMPREF1073_03281
ERR1913315.146026__1.146026	820__A0A374Q854__HMPREF1073_03281
ERR1913315.146681__1.146681	820__A0A396EXA7__DXB37_15530
ERR1913315.146781__1.146781	820__A0A173WZS4__DXD90_10250
ERR1913315.146841__1.146841	28116__A0A1Y4Q374__ERS852555_04681
ERR1913315.146851__1.146851	820__A0A3E4IBC1__M094_0628
ERR1913315.146864__1.146864	357276__B6VT86__IY41_22515
ERR1913315.146868__1.146868	166486__D4KUE6__ROSINTL182_08604
ERR1913315.147183__1.147183	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913315.147281__1.147281	820__A0A1Y3V743__M093_0235
ERR1913315.147381__1.147381	821__D4VC51__M099_1508
ERR1913315.147419__1.147419	820__R9HUV5__HMPREF2141_02582
ERR1913315.147529__1.147529	40518__R5DU92__DXD93_03170
ERR1913315.147624__1.147624	626929__F3PGY0__SAMN05444376_1243
ERR1913315.147728__1.147728	821__A0A174T998__DXB82_10860
ERR1913315.147750__1.147750	821__A0A0P0LQT3__DXC03_05050
ERR1913315.147888__1.147888	39491__A0A395ZJZ1__LD38_01870
ERR1913315.147901__1.147901	1160721__W0U3Z9__RBI_I00543
ERR1913315.148081__1.148081	187327__G4Q600__ACDG_00661
ERR1913315.148106__1.148106	1680__R5GR82__AD0028_0014
ERR1913315.148177__1.148177	40518__R5E2F3__artQ
ERR1913315.148352__1.148352	820__A0A3E4RU03__M093_0563
ERR1913315.148418__1.148418	40518__R5DXP6__DXD83_06110
ERR1913315.148714__1.148714	487174__K0X1V7__DIT83_03020
ERR1913315.148725__1.148725	39491__A0A395UYA6__EUBREC_0408
ERR1913315.148740__1.148740	1680__A7A7Z9__AAX71_05385
ERR1913315.148659__1.148659	28116__A7M344__BACOV975_04644
ERR1913315.148663__1.148663	820__A0A139K1Y6__DXB48_02610
ERR1913315.148808__1.148808	147206__GCF_000156215.1_01775
ERR1913315.148848__1.148848	1680__A0A173XYA2__B0703_0121
ERR1913315.148870__1.148870	649756__A0A173SZT9__ptsG_1
ERR1913315.149031__1.149031	1262869__R7CS43__BN625_00206
ERR1913315.149082__1.149082	823__A6LC27__DXB14_11470
ERR1913315.148923__1.148923	1262954__R7FF20__BN611_00535
ERR1913315.149197__1.149197	46503__K5ZV67__PARMER_03859
ERR1913315.149211__1.149211	821__E5UY21__C800_02204
ERR1913315.149242__1.149242	820__A0A374Q854__HMPREF1073_03281
ERR1913315.149303__1.149303	39488__A0A173T8Z7__hemZ_2
ERR1913315.149509__1.149509	40518__R5E1X3__clcA
ERR1913315.149540__1.149540	310298__B3JII2__BACCOP_01694
ERR1913315.149643__1.149643	292800__A0A174R932__ERS852518_02126
ERR1913315.149608__1.149608	74426__group_4851
ERR1913315.149701__1.149701	387090__S0FBZ8__BACCOPRO_01470
ERR1913315.149822__1.149822	1262756__R5WZY1__BN568_02020
ERR1913315.149928__1.149928	820__A0A3E4G826__C801_01612
ERR1913315.149997__1.149997	40518__R5E670__DXD93_06195
ERR1913315.150302__1.150302	823__D0TBY4__M090_0431
ERR1913315.150220__1.150220	1680__A0A087DHN0__AL0462_1532
ERR1913315.150319__1.150319	301302__R5VE56__M72_25941
ERR1913315.150398__1.150398	28116__R6DIL2__DXD69_10970
ERR1913315.150409__1.150409	28139__A0A379MUK5__xerD_3
ERR1913315.150385__1.150385	820__R9I2U8__DXC68_09590
ERR1913315.150474__1.150474	820__A0A139K426__B5G17_09115
ERR1913315.150479__1.150479	329854__R5MCJ1__DXD57_00165
ERR1913315.150555__1.150555	187327__U2TUH7__ACDG_00970
ERR1913315.150573__1.150573	823__D0TGE9__ERS852429_03294
ERR1913315.150595__1.150595	820__R7E9Z4__DXC68_06065
ERR1913315.150540__1.150540	1776081__A0A1B8WWL7__A0U42_07095
ERR1913315.150605__1.150605	74426__group_1088
ERR1913315.150723__1.150723	487174__K0WZU9__HMPREF9448_01159
ERR1913315.150773__1.150773	820__A0A139KHX1__HMPREF2141_00289
ERR1913315.150815__1.150815	40518__R5E6K4__RB5AMG_02070
ERR1913315.150986__1.150986	357276__I9QBT7__BSEG_03340
ERR1913315.151154__1.151154	820__A7VAR9__ERS852421_00197
ERR1913315.151222__1.151222	626929__F3PJN9__B5F24_15155
ERR1913315.151349__1.151349	187327__G4Q5A9__Acin_2086
ERR1913315.151369__1.151369	39491__A0A396FPV7__ERS852580_01177
ERR1913315.151378__1.151378	28117__B0MXL6__ALIPUT_01851
ERR1913315.151383__1.151383	820__A0A3E4FZM1__adaA_2
ERR1913315.151439__1.151439	39491__A0A2U2EI54__DXD95_12010
ERR1913315.151520__1.151520	821__A0A0P0M3U7__DXB90_14325
ERR1913315.151643__1.151643	39491__A0A396FUZ3__phoR_1
ERR1913315.151733__1.151733	626929__R6L473__HMPREF9445_00229
ERR1913315.151961__1.151961	820__A0A173W419__DXC68_17760
ERR1913315.152079__1.152079	187327__G4Q3B5__arcB
ERR1913315.152136__1.152136	820__A0A3E4G8F8__ERS852421_01645
ERR1913315.152147__1.152147	39491__C4ZHS4__EUR_24420
ERR1913315.152101__1.152101	821__E5UY21__C800_02204
ERR1913315.152112__1.152112	821__A0A3E4HP25__SAMN04487923_102450
ERR1913315.152290__1.152290	28117__R7JJM9__ALIPUT_00662
ERR1913315.152283__1.152283	39488__R6GWX1__EUBHAL_01710
ERR1913315.152418__1.152418	820__A0A174QT76__B5G17_18060
ERR1913315.152379__1.152379	47678__R5U2F6__HMPREF1061_00767
ERR1913315.152382__1.152382	820__R7E9Z4__DXC68_06065
ERR1913315.152384__1.152384	40518__R5E1J7__RBL236_02062
ERR1913315.152393__1.152393	39488__A0A285Q0V4__paaK_1
ERR1913315.152572__1.152572	28026__C0BTQ4__DXC75_02895
ERR1913315.152526__1.152526	28117__B0MXR1__BHV66_08035
ERR1913315.152635__1.152635	387090__S0F8B2__BACCOPRO_02129
ERR1913315.152768__1.152768	40518__R5DYU1__DXD86_01160
ERR1913315.152826__1.152826	821__A0A174NM17__lacZ_6
ERR1913315.152857__1.152857	216816__Q8G464__BFS25_05925
ERR1913315.153265__1.153265	820__A0A139KHD8__ERS417307_00569
ERR1913315.153305__1.153305	820__A0A174TRB5__DXD40_11305
ERR1913315.153274__1.153274	820__A0A3E4QZJ7__C801_01798
ERR1913315.153416__1.153416	821__A0A174JYD3__ERS852457_02610
ERR1913315.153507__1.153507	821__I9R3W6__DXC16_12455
ERR1913315.153568__1.153568	1262746__R5SS80__BN750_02125
ERR1913315.153635__1.153635	216816__E5XYF2__APC1480_0509
ERR1913315.153711__1.153711	1680__A0A0C2VBJ4__birA
ERR1913315.153889__1.153889	33039__D4M5J1__spoIIIAE_2
ERR1913315.154241__1.154241	40518__R5E5I9__yvhJ_2
ERR1913315.154317__1.154317	39491__A0A396FMF1__EUR_28700
ERR1913315.154337__1.154337	28116__C3R0H4__DXD69_00155
ERR1913315.154387__1.154387	40518__R5DMC7__blaR1
ERR1913315.154388__1.154388	40520__A0A174JSI5__ERS852394_00345
ERR1913315.154572__1.154572	187327__G4Q3H4__Acin_1758
ERR1913315.154584__1.154584	820__A7VAR9__ERS852421_00197
ERR1913315.154668__1.154668	821__U6RDC2__DXD46_15675
ERR1913315.154829__1.154829	40518__R5DP21__RBATCC27255_00348
ERR1913315.154796__1.154796	820__A0A139KHX1__HMPREF2141_00289
ERR1913315.154914__1.154914	28117__R7JPX7__BHV66_00900
ERR1913315.154935__1.154935	418240__A0A174NZX7__tagF_1
ERR1913315.155035__1.155035	39491__A0A396FFW0__ERE_10580
ERR1913315.155137__1.155137	1681__A0A0H2PGZ6__DXD34_05075
ERR1913315.155139__1.155139	46506__R5K437__DXC34_00685
ERR1913315.155204__1.155204	165179__D1PE06__DXC61_05975
ERR1913315.155171__1.155171	820__A7V092__hldE
ERR1913315.155288__1.155288	214856__R6XUN2__rcsC_1
ERR1913315.155328__1.155328	46506__S3YT03__AA415_01895
ERR1913315.155412__1.155412	147206__GCF_000156215.1_01108
ERR1913315.155457__1.155457	28117__B0MXR4__BHV66_08025
ERR1913315.155463__1.155463	371601__F7LA63__HMPREF1074_04288
ERR1913315.155565__1.155565	187327__G4Q682__Acin_1672
ERR1913315.155625__1.155625	187327__G4Q7L1__Acin_1124
ERR1913315.155598__1.155598	820__A0A3E4G2R7__DXC07_00510
ERR1913315.155751__1.155751	820__A0A1Q6IDS8__chtA
ERR1913315.155810__1.155810	40518__R5E7G3__DXD86_03405
ERR1913315.156003__1.156003	1776081__A0A1B8WXB9__A0U42_00960
ERR1913315.156028__1.156028	187327__R6MEG4__Acin_2254
ERR1913315.156093__1.156093	1304__A0A1V0H6X5__CQA85_03155
ERR1913315.156132__1.156132	418240__R7CJP2__cycB_1
ERR1913315.156192__1.156192	820__R9HP61__DXC91_01090
ERR1913315.156237__1.156237	28118__F9Z5M5__DHW44_03300
ERR1913315.156432__1.156432	626929__F3PER9__HMPREF9445_00479
ERR1913315.156536__1.156536	28116__A0A078QF71__HMPREF1070_01231
ERR1913315.156811__1.156811	40518__R5E500__RBL263_01193
ERR1913315.156993__1.156993	187327__G4Q7M4__ACDG_01826
ERR1913315.157027__1.157027	39491__A0A396FP46__cobD_2
ERR1913315.157235__1.157235	820__A0A174NUS8__DXC80_12885
ERR1913315.157311__1.157311	28116__A0A139LF77__HMPREF2532_01174
ERR1913315.157446__1.157446	820__A0A3E4G493__ERS417307_00253
ERR1913315.157419__1.157419	40518__R5E7G3__DXD86_03405
ERR1913315.157566__1.157566	187327__G4Q2M9__ACDG_01875
ERR1913315.157488__1.157488	28116__A0A1G8H1M8__DXF98_11065
ERR1913315.157493__1.157493	357276__A0A0K2HGB7__HMPREF1064_01580
ERR1913315.157583__1.157583	820__A0A3E4G826__C801_01612
ERR1913315.157612__1.157612	187327__G4Q682__Acin_1672
ERR1913315.157652__1.157652	820__A0A374MXK3__HMPREF1072_00166
ERR1913315.157945__1.157945	28117__B0MYI9__BHV66_05415
ERR1913315.157895__1.157895	39491__A0A173TM76__DXB72_10535
ERR1913315.157993__1.157993	187327__G4Q4L2__Acin_0690
ERR1913315.158066__1.158066	1262911__R6HN87__BN557_00926
ERR1913315.158089__1.158089	820__R7E9Z4__DXC68_06065
ERR1913315.158118__1.158118	823__A0A174V089__BDI_3204
ERR1913315.158125__1.158125	1680__R5GMB5__AD0028_1137
ERR1913315.158229__1.158229	487174__K0WZU7__HMPREF9448_01154
ERR1913315.158300__1.158300	820__A0A174CK74__DXB48_07060
ERR1913315.158384__1.158384	40518__R5DVL2__penA
ERR1913315.158495__1.158495	820__A0A078S569__gmhB
ERR1913315.158535__1.158535	28116__A0A3D2LPA1__CUY_3388
ERR1913315.158597__1.158597	821__R6F3Y1__SAMN04487923_104318
ERR1913315.158607__1.158607	371601__F7LA63__HMPREF1074_04288
ERR1913315.158664__1.158664	47678__R5U7M7__CGC64_14730
ERR1913315.158713__1.158713	40520__A0A396A222__ERS852533_00316
ERR1913315.158786__1.158786	47678__R5UV30__C5Z00_12615
ERR1913315.158807__1.158807	187327__G4Q7A0__ACDG_00618
ERR1913315.158819__1.158819	1776081__A0A1B8WVH2__A0U42_09025
ERR1913315.158909__1.158909	357276__B6W1J2__BACDOR_03380
ERR1913315.159105__1.159105	40518__R5E6Y7__DXD83_08230
ERR1913315.159141__1.159141	1550024__G9RTW4__TQ39_08265
ERR1913315.159217__1.159217	1628085__A0A374VP93__C7386_10150
ERR1913315.159187__1.159187	47678__R5U8Y1__BACCAC_02615
ERR1913315.159206__1.159206	187327__G4Q6A3__ACDG_01732
ERR1913315.159242__1.159242	33038__A0A2N5NXH5__CDL27_14300
ERR1913315.159276__1.159276	39488__A0A285PS86__EUBHAL_02647
ERR1913315.159464__1.159464	47678__A0A174VGP6__HMPREF1061_01625
ERR1913315.159529__1.159529	820__A0A374MMF0__HMPREF1073_03811
ERR1913315.159537__1.159537	487174__K0X7X4__DIT83_09125
ERR1913315.159638__1.159638	626929__F3PIN4__SAMN05444376_2010
ERR1913315.159786__1.159786	216816__A0A0A6VPB9__B624_1780
ERR1913315.159763__1.159763	28118__R6F2P2__NCTC10826_02131
ERR1913315.159778__1.159778	820__A0A173YYG4__evgS_3
ERR1913315.159872__1.159872	246787__A0A3D6AXJ7__BACCELL_02379
ERR1913315.159939__1.159939	46506__B0NM94__HMPREF1181_03250
ERR1913315.160051__1.160051	649756__D4MZI8__ERS852387_00933
ERR1913315.160123__1.160123	28116__A7LXU0__HMPREF1070_00358
ERR1913315.160193__1.160193	1150298__A0A174QNY9__ERS852498_01028
ERR1913315.160216__1.160216	818__A0A0N7I9M6__Btheta7330_00939
ERR1913315.160304__1.160304	1680__R5GZF2__DXC60_01925
ERR1913315.160388__1.160388	820__A0A3E4RU03__M093_0563
ERR1913315.160431__1.160431	187327__G4Q3P2__ACDG_00349
ERR1913315.160473__1.160473	39491__A0A395V1R3__T1815_08181
ERR1913315.160511__1.160511	301302__R5UNJ6__M72_26701
ERR1913315.160725__1.160725	187327__G4Q682__Acin_1672
ERR1913315.160732__1.160732	40518__R5DVR2__RBL236_00303
ERR1913315.160826__1.160826	1680__A7A2Y2__NCTC11814_00537
ERR1913315.161047__1.161047	821__A0A396F598__CUU_3259
ERR1913315.161048__1.161048	1776081__A0A1B8WT22__A0U42_02640
ERR1913315.161106__1.161106	821__A0A174K302__CUU_3129
ERR1913315.161092__1.161092	820__A0A3E4VZT7__DXB48_16145
ERR1913315.161274__1.161274	46506__A0A3E4USX2__BACSTE_03107
ERR1913315.161374__1.161374	28116__I9ST00__M088_5588
ERR1913315.161508__1.161508	74426__sugC
ERR1913315.161807__1.161807	820__A0A139K4T0__ERS852510_03146
ERR1913315.161834__1.161834	1680__A0A173Y6N7__yhaH
ERR1913315.161839__1.161839	338188__A0A174ETX3__ERS852397_01955
ERR1913315.161881__1.161881	820__A0A174GYA8__DXB64_07370
ERR1913315.161896__1.161896	46506__R6AC22__HMPREF1181_00516
ERR1913315.162026__1.162026	1150298__A0A174HD82__yusO_2
ERR1913315.162021__1.162021	214856__A0A174ZLY7__ERS852447_02456
ERR1913315.162092__1.162092	40518__R5E4X1__DXD93_05270
ERR1913315.162137__1.162137	821__A0A0P0L952__M097_4235
ERR1913315.162306__1.162306	214856__I3YMC8__ERS852447_02666
ERR1913315.162360__1.162360	1680__A0A1X3AAI9__BADO_1163
ERR1913315.162447__1.162447	40518__R5DV58__htrA
ERR1913315.162540__1.162540	214856__R5UN64__ERS852447_02669
ERR1913315.162655__1.162655	40518__R5DXH2__DXD83_10135
ERR1913315.162713__1.162713	216816__C2GTH2__CE159_03580
ERR1913315.162995__1.162995	187327__G4Q682__Acin_1672
ERR1913315.163071__1.163071	821__E5UPR6__SAMN04487923_101768
ERR1913315.163240__1.163240	187327__G4Q6P7__ACDG_01266
ERR1913315.163666__1.163666	47678__R5U7M7__CGC64_14730
ERR1913315.163601__1.163601	187327__G4Q2J3__ACDG_01696
ERR1913315.163802__1.163802	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913315.163833__1.163833	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913315.163834__1.163834	820__R9HP61__DXC91_01090
ERR1913315.163850__1.163850	187327__G4Q682__Acin_1672
ERR1913315.164108__1.164108	39491__A0A395V1R3__T1815_08181
ERR1913315.164137__1.164137	1262989__R6ZFQ2__BN815_01116
ERR1913315.164370__1.164370	820__A0A139JRS5__HMPREF1073_04025
ERR1913315.164306__1.164306	820__A0A174CG08__DXB62_13215
ERR1913315.164719__1.164719	1263107__GCA_000436995.1_00005
ERR1913315.164819__1.164819	1776081__A0A1B8WU38__A0U42_10095
ERR1913315.164899__1.164899	556259__E5C8S0__BSGG_1769
ERR1913315.164903__1.164903	1680__A0A0C2VBJ4__birA
ERR1913315.165009__1.165009	74426__pflB_2
ERR1913315.165064__1.165064	821__A0A174NM17__lacZ_6
ERR1913315.165230__1.165230	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913315.165191__1.165191	820__A0A173YYG4__evgS_3
ERR1913315.165236__1.165236	1308__Q56S46__AMD33_01255
ERR1913315.165373__1.165373	387090__S0FBZ8__BACCOPRO_01470
ERR1913315.165404__1.165404	28116__A7M344__BACOV975_04644
ERR1913315.165444__1.165444	1150298__A0A174I2L4__ERS852535_01377
ERR1913315.165566__1.165566	649756__D4MVS5__yxeP
ERR1913315.165752__1.165752	39491__C4ZHS4__EUR_24420
ERR1913315.165876__1.165876	40518__R5DYU1__DXD86_01160
ERR1913315.166001__1.166001	820__A0A3E4VXP2__yesR
ERR1913315.166132__1.166132	216816__A0A0A6VPB9__B624_1780
ERR1913315.166133__1.166133	292800__G9YPS4__ERS852544_03247
ERR1913315.166168__1.166168	187327__G4Q2R6__Acin_2204
ERR1913315.166404__1.166404	821__A0A174JYD3__ERS852457_02610
ERR1913315.166493__1.166493	28116__R6DIL2__DXD69_10970
ERR1913315.166558__1.166558	187327__G4Q785__oadA
ERR1913315.166687__1.166687	821__D4VD59__BHV80_04260
ERR1913315.166778__1.166778	40518__R5DME2__DXD86_07315
ERR1913315.166809__1.166809	821__E5UY21__C800_02204
ERR1913315.166931__1.166931	292800__A0A174X5U4__B5F52_18190
ERR1913315.167203__1.167203	39485__R5ZRN3__ERS852490_00208
ERR1913315.167150__1.167150	46506__B0NM94__HMPREF1181_03250
ERR1913315.167154__1.167154	821__A0A3E4KIM1__M097_3660
ERR1913315.167375__1.167375	821__A0A174JYD3__ERS852457_02610
ERR1913315.167412__1.167412	820__A7V470__HMPREF1072_02076
ERR1913315.167443__1.167443	187327__G4Q4X9__ACDG_00100
ERR1913315.167561__1.167561	820__A7V859__ERS852462_00341
ERR1913315.167542__1.167542	39486__R6SE83__DXD82_03080
ERR1913315.167695__1.167695	823__A0A174GGT1__queG
ERR1913315.167728__1.167728	487174__K0WU53__DDY40_07650
ERR1913315.168183__1.168183	384638__B7ASI3__BACPEC_02038
ERR1913315.168190__1.168190	820__A0A174F0C1__nreB
ERR1913315.168238__1.168238	821__I9R3W6__DXC16_12455
ERR1913315.168260__1.168260	1896974__A0A1Q6H2H7__BHV77_11215
ERR1913315.168321__1.168321	1776081__A0A1B8WUB7__A0U42_09535
ERR1913315.168427__1.168427	821__A0A0P0M405__DXC02_15075
ERR1913315.168376__1.168376	216816__C2GSX7__DD678_03555
ERR1913315.168505__1.168505	1680__R5GR82__AD0028_0014
ERR1913315.168529__1.168529	187327__G4Q2T1__ACDG_01978
ERR1913315.168730__1.168730	214856__I3YPN0__ERS852447_01398
ERR1913315.168735__1.168735	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913315.168956__1.168956	246787__A0A3D6AWM8__BACCELL_01963
ERR1913315.169027__1.169027	28116__A0A0J9FH50__BACOVA_00317
ERR1913315.169057__1.169057	820__A0A139KHX1__HMPREF2141_00289
ERR1913315.169081__1.169081	39496__A5ZAL3__EUBVEN_02760
ERR1913315.169266__1.169266	40518__R5DXW3__DXD86_07900
ERR1913315.169306__1.169306	1150298__A0A174RP87__uppP_1
ERR1913315.169328__1.169328	47678__R5UUD7__bga_1
ERR1913315.169341__1.169341	1262980__R5BM32__BN814_00274
ERR1913315.169354__1.169354	147207__adhE_1
ERR1913315.169423__1.169423	820__A0A3E4HWJ4__DXD40_05945
ERR1913315.169439__1.169439	28117__B0MXG8__ALIPUT_01814
ERR1913315.169443__1.169443	820__A0A173WZS4__DXD90_10250
ERR1913315.169486__1.169486	820__A0A3E4G8F8__ERS852421_01645
ERR1913315.169547__1.169547	40518__R5DVR2__RBL236_00303
ERR1913315.169581__1.169581	820__A7V470__HMPREF1072_02076
ERR1913315.169797__1.169797	820__A0A139JY23__B5G17_06330
ERR1913315.169767__1.169767	1776081__A0A1B8WVC3__A0U42_08125
ERR1913315.169829__1.169829	820__A0A3E4IGA7__DXD40_07110
ERR1913315.169915__1.169915	40518__R5DP21__RBATCC27255_00348
ERR1913315.169905__1.169905	626929__F3PKZ5__B5F24_10670
ERR1913315.169982__1.169982	28116__A0A3D2LPA1__CUY_3388
ERR1913315.170055__1.170055	187327__G4Q441__ACDG_01975
ERR1913315.170145__1.170145	820__A0A139KIL9__DXC68_05945
ERR1913315.170301__1.170301	820__A0A3E4VZY4__ERS852554_01211
ERR1913315.170295__1.170295	204516__U6RAM4__HMPREF1534_03439
ERR1913315.170359__1.170359	216816__B3DNW2__BL171B_07980
ERR1913315.170537__1.170537	214856__R6XTZ7__ERS852447_02314
ERR1913315.170557__1.170557	1262743__R5C054__BN727_01980
ERR1913315.170723__1.170723	820__A0A139JV05__B5G17_18125
ERR1913315.170729__1.170729	853__A0A3E2V168__FAEPRAM212_00929
ERR1913315.170742__1.170742	39486__G1WN57__DORFOR_02477
ERR1913315.170830__1.170830	28116__A0A3E5ID75__SAMN05444282_10832
ERR1913315.170863__1.170863	820__A0A139KA34__B5G17_05520
ERR1913315.170935__1.170935	820__R9HVB9__DXC68_17285
ERR1913315.170992__1.170992	187327__G4Q560__ACDG_01931
ERR1913315.171086__1.171086	649756__D4MXY1__ERS852425_00764
ERR1913315.171140__1.171140	187327__R6MTJ8__Acin_0940
ERR1913315.171244__1.171244	820__A0A174R952__DXB48_02570
ERR1913315.171311__1.171311	40518__R5DVR2__RBL236_00303
ERR1913315.171359__1.171359	187327__G4Q682__Acin_1672
ERR1913315.171364__1.171364	28116__E5C3L0__B5F02_21065
ERR1913315.171370__1.171370	28117__B0MT84__ALIPUT_00402
ERR1913315.171385__1.171385	820__A0A374MXK3__HMPREF1072_00166
ERR1913315.171386__1.171386	40518__R5DU52__RB5AMG_02245
ERR1913315.171472__1.171472	820__A0A396CMY7__HMPREF1072_03009
ERR1913315.171560__1.171560	39486__B0G9E4__tilS
ERR1913315.171634__1.171634	387090__S0FBZ8__BACCOPRO_01470
ERR1913315.171708__1.171708	28117__B0MWH8__BHV66_01330
ERR1913315.171785__1.171785	28116__I9ST00__M088_5588
ERR1913315.171804__1.171804	820__A7V8C2__ERS852554_01338
ERR1913315.171854__1.171854	40518__R5DZM6__lytR_3
ERR1913315.171990__1.171990	46506__A0A108T991__AA415_01433
ERR1913315.172035__1.172035	47678__R5UUD7__bga_1
ERR1913315.172108__1.172108	821__A0A174NSU0__BVU_3144
ERR1913315.172138__1.172138	1262954__R7FDC6__BN611_01738
ERR1913315.172211__1.172211	1262869__R7CUB7__BN625_00451
ERR1913315.172369__1.172369	187327__G4Q5W9__ACDG_01996
ERR1913315.172478__1.172478	820__A0A3E4W4W5__ERS852554_02179
ERR1913315.172510__1.172510	820__A7V049__DXB48_04755
ERR1913315.172520__1.172520	1680__A0A173YLK6__BAD_0868
ERR1913315.172569__1.172569	556259__E5C8F1__BSGG_0698
ERR1913315.172778__1.172778	371601__A0A1H3XPY7__CW1_0993
ERR1913315.173008__1.173008	626929__F3PIP0__B5F97_02200
ERR1913315.173158__1.173158	823__D7IUM6__M091_1082
