ERR1913048.648__1.648	166486__D4KZH8__ERS852572_00419
ERR1913048.1320345__1.1320345	1897011__A0A1Q6RE67__BHW41_04635
ERR1913048.1320432__1.1320432	901__A0A1K1LF78__DESPIGER_1556
ERR1913048.1320453__1.1320453	821__A0A174V2F3__NCTC10583_01474
ERR1913048.1320708__1.1320708	1262927__R7EX56__BN677_00089
ERR1913048.1320825__1.1320825	901__B6WUY7__DHV46_11425
ERR1913048.1320841__1.1320841	1550024__A0A0D8J0L2__ASJ35_04680
ERR1913048.1321057__1.1321057	61171__B9Y5L9__HOLDEFILI_01101
ERR1913048.1321306__1.1321306	853__A0A174C5M1__CGS58_04460
ERR1913048.1321399__1.1321399	39491__A0A395ZM93__DXD13_03490
ERR1913048.1321432__1.1321432	817__F7LJ34__M100_4716
ERR1913048.1321514__1.1321514	901__B6WXX4__DESPIGER_1515
ERR1913048.1321740__1.1321740	166486__D4KZP0__ERS852572_00486
ERR1913048.1321817__1.1321817	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913048.1322022__1.1322022	28117__B0N007__BHV66_10275
ERR1913048.1322156__1.1322156	166486__D4L273__ERS852572_01638
ERR1913048.1322124__1.1322124	28117__B0MTV3__BHV66_06405
ERR1913048.1322359__1.1322359	446660__GCA_003428235.1_00098
ERR1913048.1322595__1.1322595	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913048.1323100__1.1323100	1897011__A0A1Q6RG95__BHW41_02720
ERR1913048.1323389__1.1323389	1235790__S0J8L6__C805_00148
ERR1913048.1323545__1.1323545	1897011__A0A1Q6RG95__BHW41_02720
ERR1913048.1324217__1.1324217	1263000__R5EI35__BN466_01649
ERR1913048.1324361__1.1324361	46228__B5CTB8__DXD17_12310
ERR1913048.1324388__1.1324388	1263000__R5EET9__BN466_01245
ERR1913048.1324546__1.1324546	328814__GCA_004558275.1_00290
ERR1913048.1324805__1.1324805	745368__A0A1T4XL98__SAMN02745178_01986
ERR1913048.1324837__1.1324837	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913048.1324855__1.1324855	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.1324934__1.1324934	1262927__R7EX56__BN677_00089
ERR1913048.1325006__1.1325006	1262911__R6GMZ7__BN557_01741
ERR1913048.1325054__1.1325054	1262911__R6GXS5__BN557_00160
ERR1913048.1325150__1.1325150	46228__B5CNB4__RUMLAC_00950
ERR1913048.1325168__1.1325168	74426__rpoC
ERR1913048.1325279__1.1325279	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913048.1325333__1.1325333	853__A0A174C5M1__CGS58_04460
ERR1913048.1325404__1.1325404	1235835__R9LCU2__C814_02677
ERR1913048.1325669__1.1325669	1262911__R6H2J2__BN557_01228
ERR1913048.1326898__1.1326898	28117__B0MTV3__BHV66_06405
ERR1913048.1327088__1.1327088	821__A0A395VIK7__BVU_1225
ERR1913048.1327106__1.1327106	147206__GCF_000156215.1_01387
ERR1913048.1327146__1.1327146	1897011__A0A1Q6RFQ8__BHW41_03470
ERR1913048.1327617__1.1327617	46228__B5CSA1__HMPREF1202_00678
ERR1913048.1327703__1.1327703	487174__K0WYC5__HMPREF9448_01493
ERR1913048.1327821__1.1327821	1897011__A0A1Q6RFC7__BHW41_03540
ERR1913048.1328450__1.1328450	328814__GCA_004558275.1_00987
ERR1913048.1329243__1.1329243	901__B6WPV2__DHV46_04070
ERR1913048.1329262__1.1329262	1150298__A0A174MFD0__degA_1
ERR1913048.1329288__1.1329288	901__B6WUN9__DESPIGER_1850
ERR1913048.1329571__1.1329571	1501391__GCA_000786575.1_00098
ERR1913048.1329761__1.1329761	818__A0A3E5HN77__HMPREF2534_00072
ERR1913048.1329917__1.1329917	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913048.1329851__1.1329851	46228__B5CPF2__RUMLAC_01345
ERR1913048.1329854__1.1329854	674529__R6V7P0__SAMN05444400_102331
ERR1913048.1330001__1.1330001	1520810__A0A1H5XYJ5__SAMN02910276_02047
ERR1913048.1330025__1.1330025	328814__GCA_004558275.1_00296
ERR1913048.1330292__1.1330292	853__A0A2A7ATM9__DWZ89_13645
ERR1913048.1330399__1.1330399	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913048.1330780__1.1330780	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913048.1330864__1.1330864	821__A6L0C7__ERS852556_03520
ERR1913048.1331088__1.1331088	1550024__A0A0D8IU01__TQ39_19670
ERR1913048.1331178__1.1331178	626930__F3PVE3__HMPREF9446_02721
ERR1913048.1331287__1.1331287	74426__rpoB
ERR1913048.1331560__1.1331560	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.1331708__1.1331708	1262927__R7EX56__BN677_00089
ERR1913048.1332033__1.1332033	853__A0A3E2V168__FAEPRAM212_00929
ERR1913048.1332242__1.1332242	471189__GCA_003340385.1_00050
ERR1913048.1332417__1.1332417	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913048.1332473__1.1332473	214856__R6Y7P0__ERS852447_00307
ERR1913048.1332699__1.1332699	47678__R5UGX6__CGC64_16275
ERR1913048.1332885__1.1332885	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913048.1332886__1.1332886	1235835__R9LCU2__C814_02677
ERR1913048.1333152__1.1333152	1262911__R6GQM3__BN557_01245
ERR1913048.1333283__1.1333283	214856__I3YPI7__pepD_1
ERR1913048.1333446__1.1333446	1897011__A0A1Q6RDY7__BHW41_05255
ERR1913048.1333764__1.1333764	1550024__A0A3B9WFS7__ASJ35_05525
ERR1913048.1333932__1.1333932	216816__C2GV16__APC1504_1666
ERR1913048.1334462__1.1334462	901__A0A1K1LI09__BHW59_05710
ERR1913048.1334520__1.1334520	28118__F9Z750__Odosp_3044
ERR1913048.1334676__1.1334676	214856__A0A174EQR4__rsmA
ERR1913048.1335146__1.1335146	1262927__R7EX56__BN677_00089
ERR1913048.1335441__1.1335441	1897011__A0A1Q6RDN9__BHW41_05070
ERR1913048.1335718__1.1335718	39491__A0A396FE96__EUR_00280
ERR1913048.1335698__1.1335698	853__A0A174C5M1__CGS58_04460
ERR1913048.1335922__1.1335922	853__A0A174BA00__DW905_01145
ERR1913048.1336034__1.1336034	821__I9R3W6__DXC16_12455
ERR1913048.1336195__1.1336195	360807__A0A174C9G9__ERS852392_02115
ERR1913048.1336319__1.1336319	821__A0A174TD86__C800_00949
ERR1913048.1336367__1.1336367	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913048.1336782__1.1336782	33025__A0A395JBU5__C8D73_10423
ERR1913048.1337176__1.1337176	1501391__GCA_000786575.1_00052
ERR1913048.1337220__1.1337220	301301__A0A395VA99__rpfG_5
ERR1913048.1337437__1.1337437	214856__I3YPN9__ERS852447_01389
ERR1913048.1337592__1.1337592	1262886__R6Q9F4__BN563_00588
ERR1913048.1337638__1.1337638	823__A0A355XLT7__HMPREF1075_03402
ERR1913048.1337642__1.1337642	74426__group_4808
ERR1913048.1337715__1.1337715	901__B6WXF1__DESPIGER_1660
ERR1913048.1337758__1.1337758	410072__C0BC88__DXD67_11180
ERR1913048.1337858__1.1337858	214856__R6YBX3__msbA_2
ERR1913048.1338215__1.1338215	1262913__R7JB76__BN646_01467
ERR1913048.1338407__1.1338407	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913048.1338410__1.1338410	1520815__A0A1I3Q9U1__SAMN02910435_01736
ERR1913048.1338744__1.1338744	46228__V8CCW7__DXD17_07330
ERR1913048.1338923__1.1338923	901__B6WRK6__DESPIGER_0403
ERR1913048.1338928__1.1338928	901__B6WUN9__DESPIGER_1850
ERR1913048.1339114__1.1339114	28117__B0MWZ9__ALIPUT_01735
ERR1913048.1339203__1.1339203	1262927__R7EX56__BN677_00089
ERR1913048.1339415__1.1339415	214856__A0A175A6T5__ERS852447_02658
ERR1913048.1339419__1.1339419	74426__yccM
ERR1913048.1339519__1.1339519	1262927__R7EX56__BN677_00089
ERR1913048.1339569__1.1339569	28117__B0MTW8__ALIPUT_00502
ERR1913048.1339584__1.1339584	47678__R5UGC2__ERS852494_02070
ERR1913048.1339608__1.1339608	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1913048.1339623__1.1339623	1262911__R6GPB5__BN557_00842
ERR1913048.1340038__1.1340038	1897011__A0A1Q6RGX0__BHW41_01465
ERR1913048.1340209__1.1340209	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913048.1340778__1.1340778	39488__A0A174JH77__EUBHAL_03278
ERR1913048.1341305__1.1341305	74426__thrZ
ERR1913048.1341307__1.1341307	901__B6WTR4__DESPIGER_1248
ERR1913048.1341346__1.1341346	328814__GCA_004558275.1_00079
ERR1913048.1341658__1.1341658	1262927__R7EX56__BN677_00089
ERR1913048.1341888__1.1341888	1235835__R9LCU2__C814_02677
ERR1913048.1341891__1.1341891	1297617__A0A0S2W429__BIV19_03925
ERR1913048.1342310__1.1342310	2292283__A0A374W9Y6__DXB63_12365
ERR1913048.1342914__1.1342914	214856__A0A173W3Y5__ERS852559_02032
ERR1913048.1343070__1.1343070	1796613__A0A1V0QD55__ADH74_03490
ERR1913048.1343319__1.1343319	166486__D4L0E1__ypdA_4
ERR1913048.1343369__1.1343369	84109__J5VS19__HMPREF0762_00567
ERR1913048.1343452__1.1343452	1160721__W0U8M9__RBI_II00386
ERR1913048.1343475__1.1343475	1501391__GCA_000786575.1_00117
ERR1913048.1343586__1.1343586	1262992__R5D749__BN795_01063
ERR1913048.1344098__1.1344098	147206__GCF_000156215.1_01774
ERR1913048.1344102__1.1344102	853__A0A2A7A628__CGS57_13755
ERR1913048.1344326__1.1344326	901__B6WXG9__DESPIG_02795
ERR1913048.1344565__1.1344565	1501391__GCA_000786575.1_00092
ERR1913048.1344625__1.1344625	1235835__R9LCU2__C814_02677
ERR1913048.1345800__1.1345800	901__B6WWB4__DESPIGER_2273
ERR1913048.1345790__1.1345790	214856__I3YPR5__ERS852447_01364
ERR1913048.1345897__1.1345897	901__A0A1K1LF78__DESPIGER_1556
ERR1913048.1345901__1.1345901	214856__I3YPQ3__Alfi_2711
ERR1913048.1346190__1.1346190	1263000__R5EGY6__BN466_00973
ERR1913048.1346642__1.1346642	116085__D4J5M8__DW747_05055
ERR1913048.1346888__1.1346888	1262992__R5D559__BN795_00706
ERR1913048.1347128__1.1347128	901__B6WTW8__DESPIGER_1202
ERR1913048.1347603__1.1347603	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913048.1347963__1.1347963	1262911__R6GIB9__BN557_01439
ERR1913048.1347990__1.1347990	901__B6WRD8__DHV46_04960
ERR1913048.1348039__1.1348039	1262927__R7EX56__BN677_00089
ERR1913048.1348114__1.1348114	1262886__R6QKT6__BN563_01582
ERR1913048.1348202__1.1348202	46503__R6Y9P8__evgS_3
ERR1913048.1348372__1.1348372	166486__C7GCP5__ROSINTL182_07683
ERR1913048.1348422__1.1348422	46228__B5CKT3__RUMLAC_00047
ERR1913048.1348552__1.1348552	28117__B0MUX4__ALIPUT_00911
ERR1913048.1348969__1.1348969	901__B6WWE5__DHV46_10030
ERR1913048.1349017__1.1349017	1262927__R7EX56__BN677_00089
ERR1913048.1349042__1.1349042	1263000__R5ERG7__BN466_00390
ERR1913048.1349841__1.1349841	214856__I3YPQ3__Alfi_2711
ERR1913048.1349862__1.1349862	1263000__R5EF60__BN466_01316
ERR1913048.1349999__1.1349999	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1913048.1350204__1.1350204	214856__R6XS46__ERS852559_00812
ERR1913048.1350439__1.1350439	901__B6WR17__DHV46_00835
ERR1913048.1350444__1.1350444	901__B6WRB3__DESPIGER_0300
ERR1913048.1350563__1.1350563	28117__B0MUR5__BHV66_03900
ERR1913048.1351453__1.1351453	1262911__R6GTZ4__BN557_01440
ERR1913048.1351625__1.1351625	821__A0A395UNT8__DXD64_15275
ERR1913048.1351696__1.1351696	1150298__A0A174L6T3__cobD
ERR1913048.1351747__1.1351747	901__B6WY35__DESPIGER_1461
ERR1913048.1351814__1.1351814	1897011__A0A1Q6RDN7__BHW41_05650
ERR1913048.1351863__1.1351863	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913048.1351846__1.1351846	28117__R7JMT0__BHV66_05875
ERR1913048.1351923__1.1351923	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913048.1351939__1.1351939	214856__R6XS46__ERS852559_00812
ERR1913048.1352113__1.1352113	28117__R7JQW0__ALIPUT_01453
ERR1913048.1352264__1.1352264	28117__B0MY34__BHV66_05195
ERR1913048.1352637__1.1352637	2173__A0A1D2WRI1__BK798_01230
ERR1913048.1352667__1.1352667	901__B6WVD2__DESPIGER_2029
ERR1913048.1353044__1.1353044	28117__B0MY40__BHV66_05170
ERR1913048.1353032__1.1353032	901__B6WXD6__DHV46_02215
ERR1913048.1353556__1.1353556	46228__V8BRM9__HMPREF1202_02379
ERR1913048.1353729__1.1353729	394340__clpB_1
ERR1913048.1353853__1.1353853	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913048.1353889__1.1353889	745368__A0A1T4Y178__SAMN02745178_02628
ERR1913048.1354055__1.1354055	301301__A0A395VCJ3__cbiT
ERR1913048.1354200__1.1354200	214856__R5UN64__ERS852447_02669
ERR1913048.1354609__1.1354609	446660__GCA_003428235.1_00818
ERR1913048.1354800__1.1354800	28117__R7JIY2__BHV66_06465
ERR1913048.1354971__1.1354971	246787__I8V2S2__BACCELL_02524
ERR1913048.1355021__1.1355021	745368__A0A1T4Y8U9__SAMN02745178_02851
ERR1913048.1355052__1.1355052	292800__G9YQ32__ERS852518_04089
ERR1913048.1355168__1.1355168	166486__D4KV38__ROSINTL182_06841
ERR1913048.1355450__1.1355450	1262927__R7EX56__BN677_00089
ERR1913048.1355540__1.1355540	853__A0A3E2V168__FAEPRAM212_00929
ERR1913048.1355798__1.1355798	216816__R5MZK3__DPC6320_1630
ERR1913048.1355924__1.1355924	1262927__R7EX56__BN677_00089
ERR1913048.1356502__1.1356502	1262911__R6GP42__BN557_00222
ERR1913048.1356705__1.1356705	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913048.1356739__1.1356739	1263044__GCA_000433375.1_00546
ERR1913048.1356962__1.1356962	1897011__A0A1Q6RJI3__BHW41_00255
ERR1913048.1357236__1.1357236	39491__A0A396FUZ3__phoR_1
ERR1913048.1357355__1.1357355	1263000__R5EGY6__BN466_00973
ERR1913048.1357524__1.1357524	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913048.1357542__1.1357542	28117__B0MTV0__BHV66_06395
ERR1913048.1357601__1.1357601	1501391__GCA_000786575.1_00040
ERR1913048.1357774__1.1357774	214856__A0A174ZZS1__ERS852559_01484
ERR1913048.1357838__1.1357838	40520__A0A174IJ62__DXC87_06795
ERR1913048.1358557__1.1358557	28117__B0MVL5__BHV66_01660
ERR1913048.1358684__1.1358684	901__B6WVR2__DESPIGER_2124
ERR1913048.1358734__1.1358734	1262927__R7EX56__BN677_00089
ERR1913048.1358867__1.1358867	1780376__A0A143XQT4__BN3659_01658
ERR1913048.1359065__1.1359065	1263000__R5EVY6__BN466_01709
ERR1913048.1359146__1.1359146	1262927__R7EX56__BN677_00089
ERR1913048.1359341__1.1359341	853__E2ZGD9__C7J97_11715
ERR1913048.1359351__1.1359351	214856__R6Y7P0__ERS852447_00307
ERR1913048.1359359__1.1359359	901__B6WQD5__DESPIG_00255
ERR1913048.1359787__1.1359787	821__D4VD59__BHV80_04260
ERR1913048.1360092__1.1360092	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913048.1360289__1.1360289	1897011__A0A1Q6RG48__BHW41_02345
ERR1913048.1360699__1.1360699	74426__infB
ERR1913048.1360957__1.1360957	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913048.1361114__1.1361114	1262927__R7EX56__BN677_00089
ERR1913048.1361147__1.1361147	1263000__R5EPJ2__BN466_00954
ERR1913048.1361152__1.1361152	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913048.1361188__1.1361188	74426__purL
ERR1913048.1361189__1.1361189	1263000__R5EPJ2__BN466_00954
ERR1913048.1361296__1.1361296	147206__GCF_000156215.1_01773
ERR1913048.1361363__1.1361363	1897011__A0A1Q6REW8__BHW41_04435
ERR1913048.1361522__1.1361522	214856__I3YMN6__Alfi_1938
ERR1913048.1361866__1.1361866	487174__K0WRZ5__HMPREF9448_02826
ERR1913048.1362371__1.1362371	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913048.1362427__1.1362427	204516__U6R9E6__HMPREF1534_03149
ERR1913048.1362404__1.1362404	1262989__R6Y2G4__BN815_01491
ERR1913048.1362595__1.1362595	28117__B0MVL5__BHV66_01660
ERR1913048.1362726__1.1362726	901__B6WY35__DESPIGER_1461
ERR1913048.1362885__1.1362885	360807__C0FUR6__RIL183_24171
ERR1913048.1363126__1.1363126	28117__B0MTV3__BHV66_06405
ERR1913048.1363382__1.1363382	292800__G9YPS4__ERS852544_03247
ERR1913048.1363396__1.1363396	384638__B7APN3__BACPEC_00639
ERR1913048.1363471__1.1363471	901__B6WQH5__DESPIG_00299
ERR1913048.1364165__1.1364165	552398__T5S086__HMPREF0866_01580
ERR1913048.1364359__1.1364359	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913048.1364452__1.1364452	384638__B7AVU0__BACPEC_02840
ERR1913048.1364686__1.1364686	46503__K5ZAK9__NCTC13052_03308
ERR1913048.1364785__1.1364785	1535__A7VRF9__CLOLEP_01142
ERR1913048.1364936__1.1364936	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.1365507__1.1365507	1263000__R5EET9__BN466_01245
ERR1913048.1365669__1.1365669	1262911__R6H0U7__BN557_01104
ERR1913048.1366062__1.1366062	166486__C7GAX1__ERS852572_03188
ERR1913048.1366201__1.1366201	821__I9R3W6__DXC16_12455
ERR1913048.1366356__1.1366356	901__B6WY46__DESPIGER_1451
ERR1913048.1366556__1.1366556	166486__D4KVN3__ERS852572_03944
ERR1913048.1366648__1.1366648	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913048.1366654__1.1366654	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.1367127__1.1367127	745368__A0A1T4XF62__SAMN02745178_01833
ERR1913048.1367296__1.1367296	1262911__R6HHR1__BN557_01622
ERR1913048.1367405__1.1367405	821__A0A174V2F3__NCTC10583_01474
ERR1913048.1367513__1.1367513	1262889__R7H9H9__BN634_02436
ERR1913048.1367879__1.1367879	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.1367839__1.1367839	901__B6WRB3__DESPIGER_0300
ERR1913048.1367951__1.1367951	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913048.1368606__1.1368606	901__B6WVE1__DESPIGER_2036
ERR1913048.1368913__1.1368913	1550024__A0A0D8J3F2__ASJ35_12800
ERR1913048.1368872__1.1368872	1262927__R7EX56__BN677_00089
ERR1913048.1368900__1.1368900	901__B6WTR4__DESPIGER_1248
ERR1913048.1369372__1.1369372	28117__B0MVL5__BHV66_01660
ERR1913048.1369696__1.1369696	1262911__R6HLR5__BN557_00628
ERR1913048.1369737__1.1369737	360807__A0A1Q6T5F3__ERS852392_00510
ERR1913048.1370306__1.1370306	1262911__R6GY78__BN557_00532
ERR1913048.1370520__1.1370520	901__A0A1K1LGQ2__DESPIG_02072
ERR1913048.1370540__1.1370540	147206__GCF_000156215.1_01108
ERR1913048.1371208__1.1371208	328814__GCA_004558275.1_00293
ERR1913048.1371284__1.1371284	1263000__R5EPJ2__BN466_00954
ERR1913048.1371650__1.1371650	901__B6WXD6__DHV46_02215
ERR1913048.1371769__1.1371769	901__B6WXA0__aroE
ERR1913048.1371888__1.1371888	901__B6WUI5__DESPIGER_1817
ERR1913048.1371917__1.1371917	853__A0A174C5M1__CGS58_04460
ERR1913048.1372182__1.1372182	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913048.1372458__1.1372458	35755__A0A0F6R1S3__UL82_09485
ERR1913048.1372469__1.1372469	1262927__R7EX56__BN677_00089
ERR1913048.1372560__1.1372560	821__A6L0C7__ERS852556_03520
ERR1913048.1372659__1.1372659	1262927__R7EX56__BN677_00089
ERR1913048.1373030__1.1373030	1262927__R7EX56__BN677_00089
ERR1913048.1373528__1.1373528	901__B6WQ97__DHV46_07025
ERR1913048.1373615__1.1373615	901__B6WR13__DHV46_00815
ERR1913048.1373662__1.1373662	1262927__R7EX56__BN677_00089
ERR1913048.1373830__1.1373830	1262927__R7EX56__BN677_00089
ERR1913048.1373955__1.1373955	1897011__A0A1Q6RDY7__BHW41_05255
ERR1913048.1374075__1.1374075	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913048.1374542__1.1374542	1235835__R9LCU2__C814_02677
ERR1913048.1374565__1.1374565	821__A0A3E4XY72__NCTC10583_01067
ERR1913048.1374579__1.1374579	216816__A0A0M4NCP0__HMPREF1313_0712
ERR1913048.1374726__1.1374726	1235835__R9LCU2__C814_02677
ERR1913048.1374779__1.1374779	1262911__R6HLR5__BN557_00628
ERR1913048.1375145__1.1375145	446660__GCA_003428235.1_02052
ERR1913048.1375627__1.1375627	901__B6WQB0__DHV46_07090
ERR1913048.1375663__1.1375663	394340__nifJ
ERR1913048.1375775__1.1375775	1897011__A0A1Q6RDW7__BHW41_05280
ERR1913048.1376021__1.1376021	1262927__R7EX56__BN677_00089
ERR1913048.1376168__1.1376168	301301__A0A395V957__RHOM_14115
ERR1913048.1376441__1.1376441	214856__I3YPN0__ERS852447_01398
ERR1913048.1376472__1.1376472	901__B6WXH2__DESPIGER_1643
ERR1913048.1376530__1.1376530	216816__A0A395XYV2__APC1468_1887
ERR1913048.1376790__1.1376790	1378168__V2YA11__N510_02528
ERR1913048.1376831__1.1376831	1897011__A0A1Q6RIC6__BHW41_01345
ERR1913048.1376905__1.1376905	552398__T5S086__HMPREF0866_01580
ERR1913048.1376915__1.1376915	1263000__R5EU91__BN466_01432
ERR1913048.1377057__1.1377057	820__A0A174CG08__DXB62_13215
ERR1913048.1377158__1.1377158	28118__R6F7J8__Odosp_3206
ERR1913048.1377305__1.1377305	820__A0A139KHX1__HMPREF2141_00289
ERR1913048.1377472__1.1377472	572010__group_1550
ERR1913048.1377661__1.1377661	216816__A0A0M4NCP0__HMPREF1313_0712
ERR1913048.1377762__1.1377762	360807__C0FQL8__tipA
ERR1913048.1377996__1.1377996	901__B6WQQ5__DHV46_03695
ERR1913048.1378049__1.1378049	820__A0A374MMF0__HMPREF1073_03811
ERR1913048.1378472__1.1378472	820__A0A139K8N1__ERS852554_00951
ERR1913048.1378451__1.1378451	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913048.1378621__1.1378621	166486__D4KUC4__arcB_1
ERR1913048.1378771__1.1378771	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913048.1379104__1.1379104	166486__D4KW03__ERS852572_03114
ERR1913048.1379154__1.1379154	901__B6WXI1__DESPIGER_1636
ERR1913048.1379178__1.1379178	446660__GCA_003428235.1_00970
ERR1913048.1379391__1.1379391	1263000__R5EAZ0__BN466_00537
ERR1913048.1379397__1.1379397	33025__A0A395JEP7__C8D73_10844
ERR1913048.1379783__1.1379783	39491__A0A395UYM9__DXC13_07980
ERR1913048.1379781__1.1379781	28117__B0MTH2__ALIPUT_00061
ERR1913048.1379838__1.1379838	1263000__R5EKR4__BN466_01609
ERR1913048.1379905__1.1379905	1897011__A0A1Q6RG59__BHW41_02475
ERR1913048.1380126__1.1380126	328814__GCA_004558275.1_00296
ERR1913048.1380182__1.1380182	33025__A0A395J9R3__C8D73_10817
ERR1913048.1380270__1.1380270	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913048.1380392__1.1380392	28117__B0MXD0__ALIPUT_01669
ERR1913048.1380722__1.1380722	39491__D6E118__DXB69_05765
ERR1913048.1380793__1.1380793	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913048.1381199__1.1381199	1263000__R5EET9__BN466_01245
ERR1913048.1381232__1.1381232	1262886__R6QAT8__BN563_00993
ERR1913048.1381580__1.1381580	1262992__R5D4Q0__BN795_01630
ERR1913048.1381647__1.1381647	853__A0A2A7B1Y7__C7K05_11930
ERR1913048.1381826__1.1381826	1897011__A0A1Q6REW8__BHW41_04435
ERR1913048.1382686__1.1382686	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913048.1383039__1.1383039	166486__C7GCP5__ROSINTL182_07683
ERR1913048.1383207__1.1383207	246787__A0A0P0GCH1__BACCELL_02793
ERR1913048.1383906__1.1383906	166486__C7G6A9__ROSINTL182_05422
ERR1913048.1384474__1.1384474	1897011__A0A1Q6RGC4__BHW41_02800
ERR1913048.1384490__1.1384490	74426__rpoB
ERR1913048.1384769__1.1384769	46228__V8BPH7__RUMLAC_01273
ERR1913048.1384771__1.1384771	371601__A0A0J9FJQ6__HMPREF1074_04066
ERR1913048.1384868__1.1384868	1897011__A0A1Q6RDX0__BHW41_05325
ERR1913048.1384963__1.1384963	33025__A0A395JBU5__C8D73_10423
ERR1913048.1385091__1.1385091	821__A0A173XDD3__DXB82_17180
ERR1913048.1385792__1.1385792	204516__U6R838__HMPREF1534_03867
ERR1913048.1386160__1.1386160	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913048.1386262__1.1386262	328814__GCA_004558275.1_01976
ERR1913048.1386298__1.1386298	1263044__GCA_000433375.1_01861
ERR1913048.1386555__1.1386555	1262927__R7EX56__BN677_00089
ERR1913048.1386668__1.1386668	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913048.1386937__1.1386937	820__A0A3E4W984__pssA
ERR1913048.1387227__1.1387227	28117__B0MY40__BHV66_05170
ERR1913048.1387263__1.1387263	853__D4JY61__C4N21_10560
ERR1913048.1387394__1.1387394	745368__A0A1T4XUK3__SAMN02745178_02339
ERR1913048.1387417__1.1387417	1393034__GCA_001552785.1_00503
ERR1913048.1387792__1.1387792	328814__GCA_004558275.1_00056
ERR1913048.1387988__1.1387988	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913048.1388032__1.1388032	1501391__GCA_000786575.1_00141
ERR1913048.1388444__1.1388444	821__A0A174RA14__M099_1655
ERR1913048.1388766__1.1388766	1263000__R5EVY6__BN466_01709
ERR1913048.1388794__1.1388794	936548__J1LNM6__HMPREF1136_1528
ERR1913048.1389381__1.1389381	853__A8SCP3__C4N26_07960
ERR1913048.1389451__1.1389451	147206__GCF_000156215.1_01108
ERR1913048.1389643__1.1389643	33043__A0A173WWJ5__ERS852386_00339
ERR1913048.1390288__1.1390288	1897011__A0A1Q6RGE1__BHW41_02880
ERR1913048.1390336__1.1390336	166486__D4L1L1__ROSINTL182_05277
ERR1913048.1390447__1.1390447	1262927__R7EX56__BN677_00089
ERR1913048.1390468__1.1390468	1263000__R5EI35__BN466_01649
ERR1913048.1390616__1.1390616	853__A0A174UDE9__C4N25_12775
ERR1913048.1390636__1.1390636	28117__B0MY34__BHV66_05195
ERR1913048.1390670__1.1390670	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913048.1390679__1.1390679	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913048.1390742__1.1390742	28117__R7JIY2__BHV66_06465
ERR1913048.1391100__1.1391100	901__B6WRK6__DESPIGER_0403
ERR1913048.1391120__1.1391120	1263000__R5EXT3__BN466_02213
ERR1913048.1391496__1.1391496	1262942__R7QX23__BN520_01368
ERR1913048.1391573__1.1391573	35833__S2KT88__HMPREF0179_05280
ERR1913048.1392043__1.1392043	214856__I3YPP9__Alfi_2707
ERR1913048.1392044__1.1392044	28117__B0MVL2__BHV66_01645
ERR1913048.1392156__1.1392156	46228__B5CP91__RUMLAC_01282
ERR1913048.1392233__1.1392233	166486__D4KUL4__pemA
ERR1913048.1392462__1.1392462	853__A0A3E2U7E6__ERS852582_01640
