ERR1912995.212__1.212	301302__A0A173RZU9__M72_23561
ERR1912995.2341902__1.2341902	821__A6L0C7__ERS852556_03520
ERR1912995.2341906__1.2341906	45851__D4S0F7__BUTYVIB_01576
ERR1912995.2341957__1.2341957	1262936__R7IYH4__BN799_00795
ERR1912995.2342026__1.2342026	301302__A0A173S3L8__vpr
ERR1912995.2342088__1.2342088	1680__A0A174BEE7__BSTER_1311
ERR1912995.2342153__1.2342153	74426__group_4823
ERR1912995.2342208__1.2342208	901__B6WY11__DESPIGER_1484
ERR1912995.2342377__1.2342377	901__B6WTQ4__DESPIGER_1255
ERR1912995.2342449__1.2342449	1262882__R5MKV8__BN519_01281
ERR1912995.2342438__1.2342438	446660__GCA_003428235.1_00249
ERR1912995.2342574__1.2342574	1897011__A0A1Q6RDG0__BHW41_05600
ERR1912995.2342657__1.2342657	1689__W4N8E2__HMPREF0168_1430
ERR1912995.2342735__1.2342735	1262882__R5MKV8__BN519_01281
ERR1912995.2342753__1.2342753	147206__GCF_000156215.1_01776
ERR1912995.2342850__1.2342850	116085__D4J8D7__DW747_09195
ERR1912995.2342902__1.2342902	39485__C4Z6F3__EUBELI_20400
ERR1912995.2343022__1.2343022	239935__A0A2N8IL82__CXU02_11740
ERR1912995.2343062__1.2343062	1680__A0A087DLC6__C8077_00815
ERR1912995.2343391__1.2343391	216816__D6ZW33__azlC
ERR1912995.2343576__1.2343576	901__B6WXK8__DESPIG_02835
ERR1912995.2343782__1.2343782	301302__A0A173T8V6__ERS852420_01966
ERR1912995.2343895__1.2343895	1262936__R7J3N4__BN799_00434
ERR1912995.2344022__1.2344022	410072__A0A174DIZ5__ERS852574_01258
ERR1912995.2344070__1.2344070	1262936__R7J146__BN799_01697
ERR1912995.2344186__1.2344186	901__B6WVN3__DHV46_02690
ERR1912995.2344188__1.2344188	1262936__R7J3N4__BN799_00434
ERR1912995.2344224__1.2344224	45851__D4S317__BUTYVIB_02469
ERR1912995.2344318__1.2344318	1680__A0A0C2VBJ4__birA
ERR1912995.2344707__1.2344707	74426__rpoC
ERR1912995.2344805__1.2344805	147206__GCF_000156215.1_01776
ERR1912995.2344842__1.2344842	1680__A0A174BEE7__BSTER_1311
ERR1912995.2344867__1.2344867	1680__A0A174BEE7__BSTER_1311
ERR1912995.2345005__1.2345005	74426__infB
ERR1912995.2345133__1.2345133	1680__A0A173XYA2__B0703_0121
ERR1912995.2345169__1.2345169	1680__A0A173XYA2__B0703_0121
ERR1912995.2345257__1.2345257	853__A0A2A7B9I6__DW855_13690
ERR1912995.2345699__1.2345699	116085__D4JAS8__DW747_11300
ERR1912995.2345838__1.2345838	301302__R5UKE6__M72_05651
ERR1912995.2345907__1.2345907	1262911__R6GN99__BN557_01784
ERR1912995.2346079__1.2346079	39485__C4Z538__EUBELI_00734
ERR1912995.2346081__1.2346081	45851__D4S1P9__BUTYVIB_02021
ERR1912995.2346143__1.2346143	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1912995.2346118__1.2346118	74426__purL
ERR1912995.2346154__1.2346154	74426__nifJ
ERR1912995.2346178__1.2346178	1680__A0A0C2YPV2__AL0462_1474
ERR1912995.2346331__1.2346331	239935__A0A139TT05__CXU09_03335
ERR1912995.2346412__1.2346412	74426__nifJ
ERR1912995.2346503__1.2346503	1262911__R6GKS1__BN557_00184
ERR1912995.2346530__1.2346530	1262911__R6GLA5__BN557_01456
ERR1912995.2346862__1.2346862	1262936__R7IYW8__BN799_00842
ERR1912995.2347054__1.2347054	1735__B7CCH2__EUBIFOR_01900
ERR1912995.2347258__1.2347258	745368__A0A1T4X373__SAMN02745178_01365
ERR1912995.2347396__1.2347396	40518__R5DMC7__blaR1
ERR1912995.2347607__1.2347607	45851__R5LTQ3__BHV86_02315
ERR1912995.2347726__1.2347726	901__B6WQ96__DESPIGER_1063
ERR1912995.2347989__1.2347989	239935__A0A2N8IRH4__CXT92_05605
ERR1912995.2348225__1.2348225	39491__A0A395V0E5__ERE_31370
ERR1912995.2348249__1.2348249	2173__A5ULL1__Msm_0884
ERR1912995.2348502__1.2348502	1262911__R6GPC5__BN557_00852
ERR1912995.2348817__1.2348817	74426__infB
ERR1912995.2348844__1.2348844	1680__A0A087DHN0__AL0462_1532
ERR1912995.2348909__1.2348909	216816__D6ZW33__azlC
ERR1912995.2349174__1.2349174	165179__R6CNX7__DXB80_02200
ERR1912995.2349185__1.2349185	61171__B9Y5T8__HOLDEFILI_01170
ERR1912995.2349227__1.2349227	165179__R6CNX7__DXB80_02200
ERR1912995.2349311__1.2349311	1680__A7A7Z9__AAX71_05385
ERR1912995.2349543__1.2349543	745368__A0A1T4Y119__SAMN02745178_02629
ERR1912995.2349818__1.2349818	572010__srrA
ERR1912995.2350027__1.2350027	1628085__A0A1C6BMM1__C7386_11221
ERR1912995.2350163__1.2350163	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1912995.2350532__1.2350532	1628085__A0A396MGZ2__C7386_12111
ERR1912995.2351083__1.2351083	39491__A0A396FBR6__DXC13_08575
ERR1912995.2351279__1.2351279	1628085__A0A2U1B8P9__C7386_11441
ERR1912995.2351380__1.2351380	45851__D4RYS4__BHV86_05460
ERR1912995.2351521__1.2351521	1628085__A0A374VPP0__C7386_11442
ERR1912995.2351687__1.2351687	301302__A0A173TNM6__luxQ
ERR1912995.2351749__1.2351749	1262936__R7IZC2__BN799_01006
ERR1912995.2351758__1.2351758	239935__A0A2N8IRL2__CXU06_01170
ERR1912995.2351819__1.2351819	74426__rpoB
ERR1912995.2351876__1.2351876	1897011__A0A1Q6RDG0__BHW41_05600
ERR1912995.2351877__1.2351877	1897011__A0A1Q6RDG0__BHW41_05600
ERR1912995.2351975__1.2351975	1262936__R7J5J9__BN799_00247
ERR1912995.2352046__1.2352046	1262919__R5PQE8__BN465_00094
ERR1912995.2352062__1.2352062	1897011__A0A1Q6RDX0__BHW41_05325
ERR1912995.2352289__1.2352289	1628085__A0A374VS54__C7386_101156
ERR1912995.2352705__1.2352705	1628085__A0A374VV54__C7386_11332
ERR1912995.2352826__1.2352826	384638__B7AVU0__BACPEC_02840
ERR1912995.2352884__1.2352884	821__A0A174JYD3__ERS852457_02610
ERR1912995.2352982__1.2352982	820__A0A3E4G3J9__ERS852459_02265
ERR1912995.2353065__1.2353065	1262911__R6H174__BN557_01246
ERR1912995.2353084__1.2353084	1796646__A0A1B1S8E7__ADH68_13145
ERR1912995.2353451__1.2353451	1262936__R7J0S3__BN799_01459
ERR1912995.2353457__1.2353457	1897011__A0A1Q6REW8__BHW41_04435
ERR1912995.2353512__1.2353512	116085__D4J9Y4__rsmB
ERR1912995.2353524__1.2353524	1262936__R7J5J9__BN799_00247
ERR1912995.2353807__1.2353807	216816__D6ZSV1__CE169_00930
ERR1912995.2353812__1.2353812	301302__A0A173UN42__lytR_3
ERR1912995.2353834__1.2353834	901__B6WUY7__DHV46_11425
ERR1912995.2353954__1.2353954	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1912995.2354112__1.2354112	1262911__R6GTN3__BN557_01365
ERR1912995.2354086__1.2354086	1680__A0A087DHN0__AL0462_1532
ERR1912995.2354091__1.2354091	239935__A0A2N8ITX2__CXT86_11265
ERR1912995.2354680__1.2354680	853__R6QDR1__C4N27_08170
ERR1912995.2354746__1.2354746	2022527__A0A264YA09__CHL74_03035
ERR1912995.2355032__1.2355032	216816__A0A061M1M5__HMPREF0177_01046
ERR1912995.2355119__1.2355119	239935__A0A2N8I9P4__CXT85_05050
ERR1912995.2355101__1.2355101	74426__purL
ERR1912995.2355213__1.2355213	572010__ppdK
ERR1912995.2355302__1.2355302	1262936__R7J0S3__BN799_01459
ERR1912995.2355387__1.2355387	1262911__R6GU62__BN557_01488
ERR1912995.2355439__1.2355439	1262936__R7IZZ2__BN799_01307
ERR1912995.2355414__1.2355414	1262936__R7J358__BN799_01390
ERR1912995.2355416__1.2355416	1680__R5GRA4__ERS852382_01548
ERR1912995.2355491__1.2355491	1262911__R6H0U7__BN557_01104
ERR1912995.2355663__1.2355663	1262936__R7IY33__BN799_00622
ERR1912995.2355670__1.2355670	45851__D4RW33__ylbJ
ERR1912995.2355718__1.2355718	45851__D4RW33__ylbJ
ERR1912995.2355893__1.2355893	1262919__R5P9H7__BN465_02339
ERR1912995.2356059__1.2356059	1680__A0A087DHN0__AL0462_1532
ERR1912995.2356120__1.2356120	1262936__R7IZZ2__BN799_01307
ERR1912995.2356227__1.2356227	1262911__R6GMA5__BN557_00481
ERR1912995.2356310__1.2356310	45851__R5LTE7__BHV86_04805
ERR1912995.2356497__1.2356497	1262936__R7J2B4__BN799_01114
ERR1912995.2356528__1.2356528	1263000__R5EXT3__BN466_02213
ERR1912995.2356556__1.2356556	301302__A0A173T3P5__ERS852420_01836
ERR1912995.2356607__1.2356607	301302__A0A0M6W9I4__M72_19871
ERR1912995.2356730__1.2356730	1262936__R7J2L3__BN799_01877
ERR1912995.2356796__1.2356796	552398__F4XCR9__HMPREF0866_01636
ERR1912995.2356916__1.2356916	901__B6WXH1__DESPIGER_1644
ERR1912995.2356992__1.2356992	1262988__R7N4A0__BN816_02360
ERR1912995.2357021__1.2357021	1680__A0A087DHN0__AL0462_1532
ERR1912995.2357276__1.2357276	39485__A0A174YW66__ERS852490_03040
ERR1912995.2357365__1.2357365	1262936__R7IZZ2__BN799_01307
ERR1912995.2357374__1.2357374	853__A0A173RZ39__C4N22_01650
ERR1912995.2357456__1.2357456	39485__C4Z1W5__ERS852492_01530
ERR1912995.2358302__1.2358302	1628085__A0A1C5ZVV6__C7386_11323
ERR1912995.2358458__1.2358458	74426__purL
ERR1912995.2358498__1.2358498	1550024__A0A3B9WKW6__TQ39_07780
ERR1912995.2358551__1.2358551	901__B6WXK8__DESPIG_02835
ERR1912995.2358578__1.2358578	1628085__A0A374VPP0__C7386_11442
ERR1912995.2359233__1.2359233	1262959__R5XZ30__BN680_00854
ERR1912995.2359357__1.2359357	39488__A0A174JH77__EUBHAL_03278
ERR1912995.2359463__1.2359463	1680__A0A173Y6N7__yhaH
ERR1912995.2359869__1.2359869	1262911__R6GMA5__BN557_00481
ERR1912995.2359917__1.2359917	28111__B0NT39__NCTC11155_02876
ERR1912995.2359985__1.2359985	1262936__R7J5J9__BN799_00247
ERR1912995.2360118__1.2360118	1628085__A0A374VV54__C7386_11332
ERR1912995.2360226__1.2360226	1262936__R7IZ99__BN799_01076
ERR1912995.2360580__1.2360580	301302__A0A173T3P5__ERS852420_01836
ERR1912995.2360708__1.2360708	853__A0A3E2U7E6__ERS852582_01640
ERR1912995.2360809__1.2360809	1262911__R6H212__BN557_01031
ERR1912995.2360948__1.2360948	901__B6WR27__lnt
ERR1912995.2361109__1.2361109	45851__D4S1R9__BHV86_08150
ERR1912995.2361211__1.2361211	1262936__R7J247__BN799_01051
ERR1912995.2361579__1.2361579	1262911__R6GS52__BN557_00834
ERR1912995.2361666__1.2361666	1628085__A0A2U1BCM4__C7386_10792
ERR1912995.2361693__1.2361693	1628085__A0A2U1BCM4__C7386_10792
ERR1912995.2361807__1.2361807	246787__A0A3D6ARN8__yehU_6
ERR1912995.2362131__1.2362131	901__B6WTR9__DESPIG_01476
ERR1912995.2362613__1.2362613	147206__GCF_000156215.1_01775
ERR1912995.2362715__1.2362715	901__B6WVR4__DESPIGER_2125
ERR1912995.2362954__1.2362954	572010__hgdC_1
ERR1912995.2362994__1.2362994	40518__R5DS17__RBATCC27255_00416
ERR1912995.2363118__1.2363118	901__A0A1K1LGQ2__DESPIG_02072
ERR1912995.2363361__1.2363361	1262936__R7IZC2__BN799_01006
ERR1912995.2363415__1.2363415	901__B6WVN9__DESPIG_02157
ERR1912995.2363437__1.2363437	901__B6WVN9__DESPIG_02157
ERR1912995.2363492__1.2363492	28052__A0A174H9I6__ERS852451_00172
ERR1912995.2363595__1.2363595	1262911__R6GPB1__BN557_00837
ERR1912995.2364178__1.2364178	74426__groL
ERR1912995.2364231__1.2364231	1262924__R7HRE7__BN585_00055
ERR1912995.2364336__1.2364336	239935__A0A2N8HPX2__CXT90_09930
ERR1912995.2364346__1.2364346	239935__R6J5N6__CXT99_10770
ERR1912995.2364495__1.2364495	28111__E5X3P5__HMPREF1016_03553
ERR1912995.2364968__1.2364968	1262936__R7J3N4__BN799_00434
ERR1912995.2365308__1.2365308	239935__A0A2N8IRW0__A4V05_11620
ERR1912995.2365500__1.2365500	1680__A0A0C2VBJ4__birA
ERR1912995.2365715__1.2365715	1262924__R7HLU6__BN585_01291
ERR1912995.2365790__1.2365790	166486__D4L082__yicI_5
ERR1912995.2366080__1.2366080	1262919__R5P5Y8__BN465_01244
ERR1912995.2366682__1.2366682	2108523__A0A2P2F6E4__LAWASA_1598
ERR1912995.2366746__1.2366746	1263011__R6E2T8__BN553_01793
ERR1912995.2367357__1.2367357	147206__GCF_000156215.1_00014
ERR1912995.2367928__1.2367928	1628085__A0A2U1BE16__C7386_104119
ERR1912995.2367986__1.2367986	1628085__A0A2U1BHS7__C7386_101494
ERR1912995.2368185__1.2368185	901__B6WPV2__DHV46_04070
ERR1912995.2368314__1.2368314	1262936__R7J2E3__BN799_00170
ERR1912995.2368409__1.2368409	572010__lepA
ERR1912995.2368636__1.2368636	1263000__R5EDV4__BN466_01097
ERR1912995.2368864__1.2368864	74426__asnS
ERR1912995.2368969__1.2368969	45851__D4RWJ0__BHV86_05915
ERR1912995.2369190__1.2369190	74426__rpsS
ERR1912995.2369372__1.2369372	901__B6WUW8__DESPIGER_1921
ERR1912995.2369587__1.2369587	74426__rpoB
ERR1912995.2369872__1.2369872	74426__rpoB
ERR1912995.2370144__1.2370144	901__B6WRL8__epaO
ERR1912995.2370252__1.2370252	1680__A0A087DHN0__AL0462_1532
ERR1912995.2370705__1.2370705	1262911__R6GQM3__BN557_01245
ERR1912995.2370702__1.2370702	706562__GCA_900112995.1_02104
ERR1912995.2370827__1.2370827	28111__E5WTP3__BACEGG_01876
ERR1912995.2370860__1.2370860	45851__D4RZ84__BUTYVIB_01149
ERR1912995.2370917__1.2370917	1680__A0A076JM61__DXD63_05245
ERR1912995.2371048__1.2371048	1262936__R7J1S4__BN799_01918
ERR1912995.2371349__1.2371349	301301__A0A395V714__evgS
ERR1912995.2371437__1.2371437	1262936__R7J3B1__BN799_00034
ERR1912995.2371698__1.2371698	45851__D4RYS4__BHV86_05460
ERR1912995.2371707__1.2371707	301302__A0A173UT39__M72_23901
ERR1912995.2371781__1.2371781	74426__rpoC
ERR1912995.2371910__1.2371910	1680__A0A087DHN0__AL0462_1532
ERR1912995.2371960__1.2371960	147207__adhE_1
ERR1912995.2371962__1.2371962	821__A0A3E4HP25__SAMN04487923_102450
ERR1912995.2372041__1.2372041	1263000__R5EXT3__BN466_02213
ERR1912995.2372451__1.2372451	1897011__A0A1Q6RDG0__BHW41_05600
ERR1912995.2372525__1.2372525	1689__A0A1V8Q2S7__BBDE_1570
ERR1912995.2372636__1.2372636	1660__A0A2I1HYL5__CYJ22_08700
ERR1912995.2372957__1.2372957	39485__C4Z684__ERS852492_01895
ERR1912995.2373125__1.2373125	1150298__A0A174PXR1__ERS852406_02747
ERR1912995.2373321__1.2373321	1262911__R6H2J2__BN557_01228
ERR1912995.2373379__1.2373379	1262936__R7J1X7__BN799_01807
ERR1912995.2373437__1.2373437	165179__A0A3E5E2B6__DXB80_02820
ERR1912995.2373756__1.2373756	1628085__A0A2U1BG30__C7386_102206
ERR1912995.2373859__1.2373859	1897011__A0A1Q6RC19__BHW41_06415
ERR1912995.2374221__1.2374221	1262882__R5MFK5__BN519_00378
ERR1912995.2374772__1.2374772	1628085__A0A374VS54__C7386_101156
ERR1912995.2374805__1.2374805	2173__A0A1D2WV05__BK798_06920
ERR1912995.2374984__1.2374984	630129__S2ZXU6__BKAS_1980
ERR1912995.2375108__1.2375108	1150298__A0A174SLE6__mlc_1
ERR1912995.2375292__1.2375292	2022527__A0A264Y9X6__CHL74_02935
ERR1912995.2375317__1.2375317	290054__A0A1T4N7L2__SAMN02745114_01501
ERR1912995.2375321__1.2375321	74426__sugC
ERR1912995.2375368__1.2375368	45851__D4S247__BUTYVIB_02169
ERR1912995.2375442__1.2375442	1263006__R6LU28__BN515_01365
ERR1912995.2375587__1.2375587	853__A0A3E2U7E6__ERS852582_01640
ERR1912995.2375825__1.2375825	301302__R5UPH9__M72_00521
ERR1912995.2375933__1.2375933	853__A0A173RZ39__C4N22_01650
ERR1912995.2375970__1.2375970	2022527__A0A264Y8R9__CHL74_05250
ERR1912995.2376093__1.2376093	901__B6WVS1__DESPIG_02189
ERR1912995.2376119__1.2376119	2022527__A0A264Y8G4__CHL74_05770
ERR1912995.2376703__1.2376703	901__B6WXA0__aroE
ERR1912995.2376709__1.2376709	74426__group_4808
ERR1912995.2376963__1.2376963	40518__R5DME2__DXD86_07315
ERR1912995.2377241__1.2377241	1262919__R5PQZ5__BN465_00701
ERR1912995.2377328__1.2377328	46503__R6X3F9__DCY29_09585
ERR1912995.2377821__1.2377821	216816__E8MW20__DD674_07905
ERR1912995.2377886__1.2377886	40518__R5DWP7__ansA
ERR1912995.2378013__1.2378013	1262882__R5MXW0__BN519_00317
ERR1912995.2378123__1.2378123	454154__G5SPP3__HMPREF9441_01326
ERR1912995.2378384__1.2378384	74426__purL
ERR1912995.2378576__1.2378576	1680__A0A174BEE7__BSTER_1311
ERR1912995.2378682__1.2378682	301302__A0A0M6WCE2__M72_20161
ERR1912995.2378707__1.2378707	1263006__R6LU28__BN515_01365
ERR1912995.2378785__1.2378785	901__B6WQT6__DESPIG_00415
ERR1912995.2379058__1.2379058	39491__A0A174EQV2__DXB69_10230
ERR1912995.2379080__1.2379080	1262882__R5MGI7__BN519_00643
ERR1912995.2379111__1.2379111	901__B6WVJ0__BHW59_08380
ERR1912995.2379176__1.2379176	74426__asnS
ERR1912995.2379290__1.2379290	1897011__A0A1Q6RDB1__BHW41_05850
ERR1912995.2379451__1.2379451	552398__F4XCQ4__HMPREF0866_01621
ERR1912995.2379548__1.2379548	328814__GCA_004558275.1_01003
ERR1912995.2379663__1.2379663	901__B6WR61__DESPIGER_0224
ERR1912995.2379832__1.2379832	1897011__A0A1Q6REU9__BHW41_04345
ERR1912995.2380082__1.2380082	572010__rpsR
ERR1912995.2380157__1.2380157	901__B6WUL1__DESPIG_01755
ERR1912995.2380819__1.2380819	572010__rplB
ERR1912995.2380887__1.2380887	1628085__A0A2U1B3X8__C7386_12120
ERR1912995.2381005__1.2381005	1262936__R7J3N4__BN799_00434
ERR1912995.2381375__1.2381375	1263011__R6DR81__BN553_01264
ERR1912995.2381530__1.2381530	45851__D4S0F7__BUTYVIB_01576
ERR1912995.2381516__1.2381516	1263027__R6ZZS9__BN699_02055
ERR1912995.2381521__1.2381521	1680__A7A7Z9__AAX71_05385
ERR1912995.2381598__1.2381598	301302__R5UU15__ERS852420_02998
ERR1912995.2381674__1.2381674	45851__D4RWC6__BHV86_07010
ERR1912995.2381729__1.2381729	216816__D6DBD5__DXC32_04335
ERR1912995.2381835__1.2381835	1262936__R7IY33__BN799_00622
ERR1912995.2381915__1.2381915	28052__A0A174GWB0__amiC
ERR1912995.2382625__1.2382625	28111__E5WU11__HMPREF1016_00162
ERR1912995.2382719__1.2382719	1262911__R6GJ95__BN557_01617
ERR1912995.2382921__1.2382921	45851__D4RZA1__rimI
ERR1912995.2382999__1.2382999	1262911__R6GJ95__BN557_01617
ERR1912995.2383019__1.2383019	45851__D4RWG7__BUTYVIB_00298
ERR1912995.2383222__1.2383222	1262911__R6H212__BN557_01031
ERR1912995.2383354__1.2383354	74426__purL
ERR1912995.2383446__1.2383446	2022527__A0A264YB77__CHL74_00090
ERR1912995.2383617__1.2383617	1680__A0A0C2VBJ4__birA
ERR1912995.2383867__1.2383867	1656__F2UYI5__HMPREF0059_01140
ERR1912995.2383978__1.2383978	1660__S2ZFR0__HMPREF0970_02423
ERR1912995.2384100__1.2384100	147206__GCF_000156215.1_01776
ERR1912995.2384070__1.2384070	1262911__R6H2J2__BN557_01228
ERR1912995.2384160__1.2384160	901__B6WQ97__DHV46_07025
ERR1912995.2384267__1.2384267	40518__R5DVV1__RBATCC27255_00999
ERR1912995.2385074__1.2385074	1897011__A0A1Q6RDL4__BHW41_05540
ERR1912995.2385166__1.2385166	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1912995.2385184__1.2385184	74426__purL
ERR1912995.2385328__1.2385328	1680__A0A0B5BME4__DXD63_05015
ERR1912995.2385422__1.2385422	301302__A0A173UN64__manA_2
ERR1912995.2385505__1.2385505	45851__D4S2J5__BUTYVIB_02317
ERR1912995.2385577__1.2385577	1897011__A0A1Q6RDX8__BHW41_05330
ERR1912995.2385736__1.2385736	301302__R5UMU6__M72_26821
ERR1912995.2385761__1.2385761	1262911__R6GP58__BN557_00798
ERR1912995.2385985__1.2385985	301302__A0A173S3L8__vpr
ERR1912995.2386009__1.2386009	1262936__R7J354__BN799_00281
ERR1912995.2386102__1.2386102	1680__A0A173W5Z2__DXC53_01290
ERR1912995.2386161__1.2386161	1628085__A0A3E2Y462__C7386_1246
ERR1912995.2386193__1.2386193	1680__A0A374QDL4__LMG18897_0432
ERR1912995.2386212__1.2386212	1262882__R5MM90__BN519_01721
ERR1912995.2386274__1.2386274	1262882__R5MM90__BN519_01721
ERR1912995.2386339__1.2386339	1262882__R5N0J9__BN519_00773
ERR1912995.2386621__1.2386621	901__A0A1K1LGQ2__DESPIG_02072
ERR1912995.2386938__1.2386938	74426__purL
ERR1912995.2387095__1.2387095	2173__A5ULV3__Msm_0976
ERR1912995.2387217__1.2387217	1262911__R6H2J2__BN557_01228
ERR1912995.2387576__1.2387576	820__A7VAS1__HMPREF2141_03259
ERR1912995.2387622__1.2387622	1263027__R6ZKS3__BN699_02241
ERR1912995.2387709__1.2387709	45851__D4S0D7__BUTYVIB_01556
ERR1912995.2387853__1.2387853	901__B6WXF1__DESPIGER_1660
ERR1912995.2387914__1.2387914	39486__B0G445__DXD10_10335
ERR1912995.2388027__1.2388027	28111__E5X121__BACEGG_03113
ERR1912995.2388146__1.2388146	39485__A0A174YVS4__EUBELI_00620
ERR1912995.2388166__1.2388166	1263000__R5EXT3__BN466_02213
ERR1912995.2388226__1.2388226	1680__A0A374QDL4__LMG18897_0432
ERR1912995.2388285__1.2388285	39485__A0A175A403__EUBELI_20577
ERR1912995.2388452__1.2388452	1262959__R5YFN8__BN680_01122
ERR1912995.2388484__1.2388484	1897011__A0A1Q6RE83__BHW41_04925
ERR1912995.2388596__1.2388596	1262936__R7IY78__BN799_00717
ERR1912995.2388960__1.2388960	1262911__R6GN99__BN557_01784
ERR1912995.2389036__1.2389036	2022527__A0A264Y8R9__CHL74_05250
ERR1912995.2389121__1.2389121	1262911__R6GVD4__BN557_01470
ERR1912995.2389189__1.2389189	706562__GCA_900112995.1_01624
ERR1912995.2389432__1.2389432	901__A0A1K1LG50__DESPIG_01817
ERR1912995.2389555__1.2389555	1263011__R6EJU5__BN553_01327
ERR1912995.2389570__1.2389570	301302__R5UJR5__M72_06371
ERR1912995.2389675__1.2389675	1262882__R5N3H1__BN519_01121
ERR1912995.2389830__1.2389830	1680__A0A087DHN0__AL0462_1532
ERR1912995.2389808__1.2389808	165179__R6C5D6__PREVCOP_04658
ERR1912995.2390044__1.2390044	301302__A0A173S3L8__vpr
ERR1912995.2390302__1.2390302	239935__A0A2N8HBM4__CXT85_06270
ERR1912995.2390371__1.2390371	45851__D4S0D7__BUTYVIB_01556
ERR1912995.2390372__1.2390372	45851__D4S0D7__BUTYVIB_01556
ERR1912995.2390380__1.2390380	1897011__A0A1Q6RG37__BHW41_02405
ERR1912995.2390408__1.2390408	28111__E5WYY8__HMPREF1016_01893
ERR1912995.2390391__1.2390391	1680__A0A173XYA2__B0703_0121
ERR1912995.2390461__1.2390461	45851__D4RWC1__BHV86_06985
ERR1912995.2390585__1.2390585	2173__A0A1D2WVF8__Msm_1030
ERR1912995.2390613__1.2390613	28052__R7NBP3__ERS852499_02167
ERR1912995.2390657__1.2390657	1897011__A0A1Q6RDL4__BHW41_05540
ERR1912995.2390691__1.2390691	1262911__R6H1D2__BN557_00855
ERR1912995.2390745__1.2390745	1150298__R7JRT0__ERS852498_01068
ERR1912995.2390998__1.2390998	301302__R5USI9__prsA3
ERR1912995.2391812__1.2391812	1680__A0A174BEE7__BSTER_1311
ERR1912995.2391833__1.2391833	45851__D4S1B2__BHV86_08920
ERR1912995.2391913__1.2391913	74426__group_4823
ERR1912995.2392392__1.2392392	45851__D4RZ17__BUTYVIB_01081
ERR1912995.2392576__1.2392576	1680__A7A4N3__ERS852382_00779
ERR1912995.2392771__1.2392771	1680__A7A4N3__ERS852382_00779
ERR1912995.2392963__1.2392963	216816__B3DNW2__BL171B_07980
ERR1912995.2393250__1.2393250	39491__A0A395UYM9__DXC13_07980
ERR1912995.2393291__1.2393291	39491__A0A395UYM9__DXC13_07980
ERR1912995.2393678__1.2393678	45851__D4RZ40__BHV86_03390
ERR1912995.2393848__1.2393848	40518__R5DZI2__DXD93_06940
ERR1912995.2394008__1.2394008	1550024__G9RPC6__TQ39_05630
ERR1912995.2394324__1.2394324	40520__A5ZSH0__ERS852533_03692
ERR1912995.2394411__1.2394411	301302__R5UMB9__M72_25011
ERR1912995.2394483__1.2394483	1262936__R7J360__BN799_00345
ERR1912995.2394586__1.2394586	172901__A0A2U1AV38__C8D82_1177
ERR1912995.2394812__1.2394812	1680__A0A374QDL4__LMG18897_0432
ERR1912995.2394893__1.2394893	239935__A0A2N8IJI1__B5G29_04615
ERR1912995.2395148__1.2395148	2022527__A0A264Y9E2__CHL74_03740
ERR1912995.2395172__1.2395172	45851__D4RZ27__BHV86_03325
ERR1912995.2395524__1.2395524	239935__A0A2N8IYM5__CXT84_05130
ERR1912995.2395846__1.2395846	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1912995.2396109__1.2396109	1263011__R6EJU5__BN553_01327
ERR1912995.2396094__1.2396094	1680__A0A174BEE7__BSTER_1311
ERR1912995.2396097__1.2396097	1262936__R7J354__BN799_00281
ERR1912995.2396149__1.2396149	853__A0A3E2U7E6__ERS852582_01640
ERR1912995.2396327__1.2396327	40518__R5DQK2__DXD93_03730
ERR1912995.2396710__1.2396710	901__B6WUN9__DESPIGER_1850
ERR1912995.2396797__1.2396797	74426__rpoC
ERR1912995.2396808__1.2396808	40518__R5DLJ7__lytR_4
ERR1912995.2396840__1.2396840	1520815__A0A1I3MVA2__SAMN02910435_01183
ERR1912995.2396946__1.2396946	39485__A0A174ZMD4__ERS852492_01969
ERR1912995.2397037__1.2397037	39491__A0A395V1R3__T1815_08181
ERR1912995.2397038__1.2397038	301301__A0A395VB45__ERS852391_02575
ERR1912995.2397254__1.2397254	39491__A0A395ZDC6__addB
ERR1912995.2397258__1.2397258	1628085__A0A2U1BCH3__C7386_10746
ERR1912995.2397336__1.2397336	166486__D4KWN4__ERS852572_01865
ERR1912995.2397360__1.2397360	1897011__A0A1Q6RG95__BHW41_02720
ERR1912995.2397376__1.2397376	1965587__A0A1Y4HVC6__B5F35_09360
ERR1912995.2397866__1.2397866	39485__A0A174YVS4__EUBELI_00620
ERR1912995.2398233__1.2398233	147206__GCF_000156215.1_01776
ERR1912995.2398425__1.2398425	1262936__R7IZ38__BN799_00965
ERR1912995.2398432__1.2398432	172901__A0A2U1B942__C8D82_10389
ERR1912995.2398546__1.2398546	1628085__A0A3E2Y1Z4__C7386_12230
ERR1912995.2399213__1.2399213	1262936__R7J049__BN799_01347
ERR1912995.2399343__1.2399343	74426__group_4823
ERR1912995.2399452__1.2399452	1262882__R5MS31__BN519_01529
ERR1912995.2399501__1.2399501	1680__R5GZF2__DXC60_01925
