ERR1913233.21__1.21	204516__U6RJY4__HMPREF1534_01494
ERR1913233.45809__1.45809	69974__A0A090FEL8__MPL3365_630008
ERR1913233.45902__1.45902	1262924__R7HRT1__BN585_00630
ERR1913233.45985__1.45985	39492__D4JR31__EUBSIR_00106
ERR1913233.45993__1.45993	204516__U6R7W5__HMPREF1534_03766
ERR1913233.46116__1.46116	69974__A0A090FEL8__MPL3365_630008
ERR1913233.46238__1.46238	39491__C4ZC33__DXC13_11585
ERR1913233.46387__1.46387	2292284__A0A374V9L1__DXC10_09375
ERR1913233.46492__1.46492	69974__A0A090FEL8__MPL3365_630008
ERR1913233.46543__1.46543	820__A0A174QLF0__SAMN05444418_109151
ERR1913233.46766__1.46766	820__A0A173XIP7__B5G17_16050
ERR1913233.47029__1.47029	1323__A0A380LNX8__DXC78_02555
ERR1913233.46968__1.46968	28117__B0MT86__BHV66_02450
ERR1913233.47157__1.47157	310298__B3JNG7__BACCOP_03480
ERR1913233.47177__1.47177	39485__R5ZSI4__ERS852492_00875
ERR1913233.47192__1.47192	1262924__R7HRJ9__BN585_00557
ERR1913233.47322__1.47322	69974__A0A090FEL8__MPL3365_630008
ERR1913233.47370__1.47370	487173__H1D2L5__HMPREF9453_01853
ERR1913233.47423__1.47423	1262924__R7HTA4__BN585_00391
ERR1913233.47537__1.47537	853__A0A3E2U7E6__ERS852582_01640
ERR1913233.47596__1.47596	28116__A7LUQ0__CUY_2205
ERR1913233.47724__1.47724	165179__A0A3E5AER8__DXB80_07075
ERR1913233.47727__1.47727	39488__A0A285PQ61__ERS852578_00704
ERR1913233.47785__1.47785	165179__A0A3E5A5E5__DXC61_13965
ERR1913233.47916__1.47916	310298__B3JEE8__BACCOP_00239
ERR1913233.47928__1.47928	853__C7H7F5__DWZ46_01780
ERR1913233.48260__1.48260	418240__A0A174AX68__ERS852478_00844
ERR1913233.48515__1.48515	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913233.48689__1.48689	28117__B0MY34__BHV66_05195
ERR1913233.49384__1.49384	69974__A0A090FEL8__MPL3365_630008
ERR1913233.49489__1.49489	1262929__R6EYU3__BN691_00676
ERR1913233.49541__1.49541	1262992__R5D4D2__BN795_00592
ERR1913233.49626__1.49626	39491__A0A0M6WNS5__DXC13_02015
ERR1913233.49641__1.49641	487173__H1D020__HMPREF9453_00958
ERR1913233.49961__1.49961	1965604__A0A1Y4EV95__B5F54_11735
ERR1913233.50070__1.50070	28116__F7M1Q5__CUY_1584
ERR1913233.50011__1.50011	74426__pflB_2
ERR1913233.50216__1.50216	39492__D4JWM0__atpF
ERR1913233.50215__1.50215	39492__D4JWM0__atpF
ERR1913233.50296__1.50296	47678__R5U2F6__HMPREF1061_00767
ERR1913233.50311__1.50311	40518__R5DYP7__envC
ERR1913233.50353__1.50353	853__A0A173XRA8__CGS56_09290
ERR1913233.50403__1.50403	626933__H1DGX0__HMPREF9449_01506
ERR1913233.50487__1.50487	310298__B3JMG0__BACCOP_03099
ERR1913233.50592__1.50592	69974__A0A090FEL8__MPL3365_630008
ERR1913233.50651__1.50651	39491__A0A395V0E5__ERE_31370
ERR1913233.50672__1.50672	69974__A0A090FEL8__MPL3365_630008
ERR1913233.50714__1.50714	1262924__R7HQV3__BN585_00017
ERR1913233.50894__1.50894	216816__A0A0A6VPB9__B624_1780
ERR1913233.50962__1.50962	165179__A0A174IPI3__CFT61_10940
ERR1913233.51165__1.51165	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913233.51228__1.51228	853__E2ZJT1__C4N23_03535
ERR1913233.51289__1.51289	40518__R5DVL2__penA
ERR1913233.51342__1.51342	626933__H1DGX0__HMPREF9449_01506
ERR1913233.51484__1.51484	216816__E8MU45__DPC6316_1140
ERR1913233.51499__1.51499	301301__A0A395V4S5__RHOM_15770
ERR1913233.51594__1.51594	165179__A0A3E5DN34__DXC61_07865
ERR1913233.51597__1.51597	418240__C6J9W6__ERS852523_00370
ERR1913233.51716__1.51716	40518__R5E2Z2__DXD93_09295
ERR1913233.51857__1.51857	626933__H1DGX0__HMPREF9449_01506
ERR1913233.51851__1.51851	165179__D1PEQ5__PREVCOP_05711
ERR1913233.51995__1.51995	28117__B0MU76__ALIPUT_00202
ERR1913233.52055__1.52055	1262913__R7JCU2__BN646_01689
ERR1913233.52329__1.52329	626933__H1DGX0__HMPREF9449_01506
ERR1913233.52364__1.52364	823__D7ILK2__ERS852380_00031
ERR1913233.52496__1.52496	69974__A0A090FEL8__MPL3365_630008
ERR1913233.52499__1.52499	626933__H1DGX0__HMPREF9449_01506
ERR1913233.52591__1.52591	487174__K0WRI1__DIT83_06780
ERR1913233.52749__1.52749	69974__A0A090FEL8__MPL3365_630008
ERR1913233.52770__1.52770	88431__A6BF91__ERS852573_01159
ERR1913233.53222__1.53222	853__A0A3E2V168__FAEPRAM212_00929
ERR1913233.53334__1.53334	165179__A0A174IPI3__CFT61_10940
ERR1913233.53537__1.53537	39492__D4JUD9__EUBSIR_01875
ERR1913233.53765__1.53765	33043__A0A174H1B6__ERS852575_02702
ERR1913233.53858__1.53858	817__A0A149NCG3__M134_4715
ERR1913233.53914__1.53914	165179__D1PER3__DXB80_11525
ERR1913233.53941__1.53941	1680__R5GZJ8__BSTER_1195
ERR1913233.53954__1.53954	2022527__A0A264Y542__CHL74_12005
ERR1913233.53976__1.53976	165179__A0A3E5EAM5__DXC61_07785
ERR1913233.54032__1.54032	165179__A0A3E5DV57__DXB80_11400
ERR1913233.54040__1.54040	487173__H1D020__HMPREF9453_00958
ERR1913233.54082__1.54082	552398__F4XCR9__HMPREF0866_01636
ERR1913233.54220__1.54220	487173__H1D2L5__HMPREF9453_01853
ERR1913233.54406__1.54406	301302__R5UMP3__lytC_3
ERR1913233.54446__1.54446	1683__C4FFP8__BIFANG_03162
ERR1913233.54452__1.54452	69974__A0A090FEL8__MPL3365_630008
ERR1913233.54550__1.54550	165179__D1PER3__DXB80_11525
ERR1913233.54620__1.54620	216816__B3DNW2__BL171B_07980
ERR1913233.54700__1.54700	69974__A0A090FEL8__MPL3365_630008
ERR1913233.54778__1.54778	69974__A0A090FEL8__MPL3365_630008
ERR1913233.54830__1.54830	310298__B3JJX9__BACCOP_02203
ERR1913233.54856__1.54856	165179__A0A229I3Z6__PREVCOP_03666
ERR1913233.55196__1.55196	216816__C2GTV6__AS143_01355
ERR1913233.55203__1.55203	1262743__R5C054__BN727_01980
ERR1913233.55270__1.55270	28117__B0MT73__ALIPUT_00412
ERR1913233.55438__1.55438	143393__X8K3X0__murG
ERR1913233.55565__1.55565	69974__A0A090FEL8__MPL3365_630008
ERR1913233.55763__1.55763	821__A0A174JYD3__ERS852457_02610
ERR1913233.55916__1.55916	69974__A0A090FEL8__MPL3365_630008
ERR1913233.56109__1.56109	1323__A0A380LN40__rumA
ERR1913233.56161__1.56161	39491__A0A173U130__ERE_16110
ERR1913233.56223__1.56223	39491__C4ZF05__vpr
ERR1913233.56307__1.56307	216816__A0A0A6VPB9__B624_1780
ERR1913233.56310__1.56310	39491__A0A396FBR6__DXC13_08575
ERR1913233.56504__1.56504	69974__A0A090FEL8__MPL3365_630008
ERR1913233.56745__1.56745	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913233.57092__1.57092	69974__A0A090FEL8__MPL3365_630008
ERR1913233.57389__1.57389	310298__B3JED9__BACCOP_00230
ERR1913233.57968__1.57968	649756__D4MW74__ERS852387_00633
ERR1913233.58039__1.58039	216816__B3DNW2__BL171B_07980
ERR1913233.58103__1.58103	39488__C0ET55__tauA
ERR1913233.58109__1.58109	69974__A0A090FEL8__MPL3365_630008
ERR1913233.58305__1.58305	165179__A0A3E5E8N5__DXC61_13460
ERR1913233.58734__1.58734	204516__U6RMH5__HMPREF1534_00591
ERR1913233.58855__1.58855	165179__A0A3E4SB95__DXC61_13455
ERR1913233.59111__1.59111	1262924__R7HRW9__BN585_00665
ERR1913233.59221__1.59221	69974__A0A090FEL8__MPL3365_630008
ERR1913233.59348__1.59348	69974__A0A090FEL8__MPL3365_630008
ERR1913233.59496__1.59496	165179__R6C330__DXC61_04975
ERR1913233.59642__1.59642	69974__A0A090FEL8__MPL3365_630008
ERR1913233.59680__1.59680	216816__Q8G585__APC1473_0508
ERR1913233.59722__1.59722	39485__R5ZT06__EUBELI_20526
ERR1913233.59994__1.59994	487173__H1D1M0__HMPREF9453_01508
ERR1913233.60108__1.60108	165179__A0A3E5EB26__CFT61_02800
ERR1913233.60098__1.60098	410072__A0A174ND44__ERS852389_01731
ERR1913233.60233__1.60233	310298__B3JNH3__BACCOP_03486
ERR1913233.60743__1.60743	39485__C4Z0F4__ERS852490_00945
ERR1913233.60720__1.60720	39485__C4Z434__tilS
ERR1913233.60749__1.60749	301302__A0A0M6WIX9__ERS852420_01972
ERR1913233.60858__1.60858	39485__A0A174YMM2__ERS852490_01019
ERR1913233.60965__1.60965	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913233.61119__1.61119	1680__A0A173Y6N7__yhaH
ERR1913233.61193__1.61193	310298__B3JK99__BACCOP_02328
ERR1913233.61179__1.61179	204516__U6R838__HMPREF1534_03867
ERR1913233.61293__1.61293	165179__A0A3E5EAM5__DXC61_07785
ERR1913233.61353__1.61353	165179__W1I4H6__DXB80_13655
ERR1913233.61407__1.61407	820__A0A174CG08__DXB62_13215
ERR1913233.61540__1.61540	69974__A0A090FEL8__MPL3365_630008
ERR1913233.61563__1.61563	1262911__R6H212__BN557_01031
ERR1913233.61855__1.61855	69974__A0A090FEL8__MPL3365_630008
ERR1913233.61827__1.61827	310298__B3JK97__BACCOP_02326
ERR1913233.61867__1.61867	853__E2ZGD9__C7J97_11715
ERR1913233.61910__1.61910	487173__H1CXT1__HMPREF9453_00169
ERR1913233.62219__1.62219	204516__U6RHM5__HMPREF1534_02096
ERR1913233.62279__1.62279	47678__R5UPZ8__ERS852494_01752
ERR1913233.62405__1.62405	165179__A0A3E5E8M8__DXB80_11580
ERR1913233.62543__1.62543	28117__B0MSS1__ALIPUT_00273
ERR1913233.62595__1.62595	28117__B0MSQ3__ALIPUT_00347
ERR1913233.62896__1.62896	165179__D1PHC0__PREVCOP_06640
ERR1913233.63122__1.63122	301301__G2T5V7__RHOM_15795
ERR1913233.63192__1.63192	301301__G2SZJ7__RHOM_00620
ERR1913233.63216__1.63216	39491__D6E408__EUBREC_1466
ERR1913233.63432__1.63432	1262913__R7JF62__BN646_02078
ERR1913233.63444__1.63444	69974__A0A090FEL8__MPL3365_630008
ERR1913233.63487__1.63487	853__E2ZJT1__C4N23_03535
ERR1913233.63551__1.63551	165179__D1PES9__DXB80_11585
ERR1913233.63599__1.63599	853__A0A2A7AXC8__C4N21_14120
ERR1913233.63613__1.63613	69974__A0A090FEL8__MPL3365_630008
ERR1913233.63728__1.63728	88431__A0A174RV97__ERS852573_01297
ERR1913233.63740__1.63740	39485__A0A174ZG70__ERS852492_00929
ERR1913233.63841__1.63841	165179__A0A229I6N7__DXC61_06720
ERR1913233.63942__1.63942	39491__A0A395ZBQ4__cph2_2
ERR1913233.64001__1.64001	204516__U6RAM4__HMPREF1534_03439
ERR1913233.64029__1.64029	69974__A0A090FEL8__MPL3365_630008
ERR1913233.64269__1.64269	47678__R5UES3__CGC64_00760
ERR1913233.64429__1.64429	853__A0A173YYY4__DWZ04_09420
ERR1913233.64574__1.64574	410072__A0A3E4GQ67__sigV_1
ERR1913233.64584__1.64584	165179__A0A174UTZ7__DXC61_06705
ERR1913233.64715__1.64715	1262992__R5DCN3__BN795_00359
ERR1913233.64773__1.64773	28117__R7JJM9__ALIPUT_00662
ERR1913233.65050__1.65050	1262924__R7HPZ6__BN585_00681
ERR1913233.65192__1.65192	1262924__R7HMZ4__BN585_01629
ERR1913233.65291__1.65291	28117__B0MTW8__ALIPUT_00502
ERR1913233.65431__1.65431	69974__A0A090FEL8__MPL3365_630008
ERR1913233.65437__1.65437	39488__A0A285PP42__cobQ
ERR1913233.65604__1.65604	487173__H1CYJ4__HMPREF9453_00432
ERR1913233.65808__1.65808	69974__A0A090FEL8__MPL3365_630008
ERR1913233.65816__1.65816	410072__C0BDA3__DXD67_12185
ERR1913233.65830__1.65830	310298__B3JEE8__BACCOP_00239
ERR1913233.65898__1.65898	40518__R5DM08__DXD83_06415
ERR1913233.66005__1.66005	39491__A0A395V5L2__ERE_28270
ERR1913233.66475__1.66475	487173__H1D020__HMPREF9453_00958
ERR1913233.66527__1.66527	39490__U2QIC3__ERS852448_00043
ERR1913233.66550__1.66550	165179__D1PCL6__DXB80_13435
ERR1913233.66601__1.66601	487173__H1D371__HMPREF9453_02059
ERR1913233.66895__1.66895	165179__A0A3E5ED28__PREVCOP_06655
ERR1913233.67101__1.67101	165179__A0A3E5E8N5__DXC61_13460
ERR1913233.67311__1.67311	204516__U6RFU0__HMPREF1534_02545
ERR1913233.67379__1.67379	328814__GCA_004558275.1_00239
ERR1913233.67471__1.67471	28117__B0MWP2__ALIPUT_01468
ERR1913233.67516__1.67516	165179__A0A3E5EAM5__DXC61_07785
ERR1913233.67558__1.67558	357276__B6W1J2__BACDOR_03380
ERR1913233.67561__1.67561	69974__A0A090FEL8__MPL3365_630008
ERR1913233.68008__1.68008	301302__A0A173T929__M72_26841
ERR1913233.68021__1.68021	1262924__R7HUJ5__BN585_00830
ERR1913233.68076__1.68076	39485__A0A174YZE2__spoIIE
ERR1913233.68201__1.68201	626933__H1DGX0__HMPREF9449_01506
ERR1913233.68344__1.68344	820__A7V8C2__ERS852554_01338
ERR1913233.68516__1.68516	28117__B0MY40__BHV66_05170
ERR1913233.68565__1.68565	671266__GCA_004801615.1_00391
ERR1913233.68551__1.68551	69974__A0A090FEL8__MPL3365_630008
ERR1913233.68613__1.68613	216816__B3DRU6__DPC6323_0992
ERR1913233.68627__1.68627	69974__A0A090FEL8__MPL3365_630008
ERR1913233.68761__1.68761	165179__A0A3E5AER8__DXB80_07075
ERR1913233.68882__1.68882	47678__R5U878__ERS852494_03300
ERR1913233.68870__1.68870	28117__B0MWX3__BHV66_03010
ERR1913233.68958__1.68958	853__A0A174BA00__DW905_01145
ERR1913233.68992__1.68992	853__A0A2A7B9I6__DW855_13690
ERR1913233.69000__1.69000	69974__A0A090FEL8__MPL3365_630008
ERR1913233.69054__1.69054	626933__H1DGX0__HMPREF9449_01506
ERR1913233.69178__1.69178	626933__H1DGX0__HMPREF9449_01506
ERR1913233.69328__1.69328	165179__D1PER3__DXB80_11525
ERR1913233.69504__1.69504	165179__D1PGU8__PREVCOP_06463
ERR1913233.69649__1.69649	1965632__A0A1Y4A6X2__B5F91_11655
ERR1913233.69791__1.69791	821__R6F3Y1__SAMN04487923_104318
ERR1913233.69814__1.69814	371601__A0A139LNL6__ERS852396_04350
ERR1913233.69961__1.69961	1262924__R7HQP2__BN585_01509
ERR1913233.69979__1.69979	853__A0A173T8T3__DW882_06555
ERR1913233.70333__1.70333	165179__A0A3E5EAM5__DXC61_07785
ERR1913233.70469__1.70469	165179__D1PGU8__PREVCOP_06463
ERR1913233.70504__1.70504	853__A0A329UEG4__CHR60_00585
ERR1913233.70554__1.70554	28117__B0MT73__ALIPUT_00412
ERR1913233.70621__1.70621	1262930__R6AUL9__BN693_02008
ERR1913233.70572__1.70572	1262924__R7HQS1__BN585_00657
ERR1913233.70703__1.70703	165179__A0A3E5EB26__CFT61_02800
ERR1913233.70770__1.70770	1472761__GCA_002159295.1_00743
ERR1913233.70789__1.70789	39485__A0A174ZBJ8__speA_2
ERR1913233.70842__1.70842	165179__A0A3E5EA83__DXC61_07750
ERR1913233.70904__1.70904	1262924__R7HU74__BN585_00690
ERR1913233.71083__1.71083	1796613__A0A1C7GYD6__A4V03_03700
ERR1913233.71098__1.71098	310298__B3JH67__BACCOP_01223
ERR1913233.71388__1.71388	216816__C5E9A6__mutT4
ERR1913233.71489__1.71489	39492__D4JT87__clpC
ERR1913233.71462__1.71462	39491__A0A395ZG96__DXB69_15120
ERR1913233.71543__1.71543	1262924__R7HNF7__BN585_01769
ERR1913233.71506__1.71506	39485__A0A174ZPH7__ERS852490_01992
ERR1913233.71622__1.71622	39485__A0A174YMI9__cph2_5
ERR1913233.71809__1.71809	28117__B0MTY2__BHV66_06485
ERR1913233.71816__1.71816	147206__GCF_000156215.1_00140
ERR1913233.71980__1.71980	821__A0A174NVL6__NCTC10583_01782
ERR1913233.72007__1.72007	204516__U6RGK1__HMPREF1534_01924
ERR1913233.72104__1.72104	487173__H1D2L5__HMPREF9453_01853
ERR1913233.72114__1.72114	165179__A0A3E4SB95__DXC61_13455
ERR1913233.72047__1.72047	487174__K0XL35__DDY40_11955
ERR1913233.72170__1.72170	39485__C4Z355__ERS852490_01971
ERR1913233.72241__1.72241	165179__A0A3E5DY64__CFT61_10025
ERR1913233.72471__1.72471	1262924__R7HU74__BN585_00690
ERR1913233.72570__1.72570	39491__A0A3E4E7C5__DXB69_03255
ERR1913233.72871__1.72871	69974__A0A090FEL8__MPL3365_630008
ERR1913233.73085__1.73085	69974__A0A090FEL8__MPL3365_630008
ERR1913233.73096__1.73096	28117__B0MYI9__BHV66_05415
ERR1913233.73270__1.73270	853__A0A3E2U7E6__ERS852582_01640
ERR1913233.73421__1.73421	1262913__R7JPE8__BN646_00316
ERR1913233.73520__1.73520	165179__A0A229I3Z6__PREVCOP_03666
ERR1913233.73528__1.73528	310298__B3JQD7__BACCOP_04095
ERR1913233.73546__1.73546	1150298__A0A174U8I6__ERS852535_02809
ERR1913233.73800__1.73800	817__Q64V70__DXB33_02790
ERR1913233.73820__1.73820	216816__C5EC66__tcrA
ERR1913233.73950__1.73950	410072__A0A174E1G6__phoR_6
ERR1913233.74184__1.74184	165179__D1PHC0__PREVCOP_06640
ERR1913233.74646__1.74646	204516__U6RKS4__HMPREF1534_01431
ERR1913233.74724__1.74724	69974__A0A090FEL8__MPL3365_630008
ERR1913233.74828__1.74828	487174__K0X079__DIT83_00640
ERR1913233.74835__1.74835	626933__H1DGX0__HMPREF9449_01506
ERR1913233.74842__1.74842	853__A0A2A7B1Y7__C7K05_11930
ERR1913233.74997__1.74997	69974__A0A090FEL8__MPL3365_630008
ERR1913233.75024__1.75024	214856__A0A173XIZ3__ERS852559_00434
ERR1913233.75284__1.75284	626933__H1DGX0__HMPREF9449_01506
ERR1913233.75718__1.75718	1262882__R5MKX3__BN519_00395
ERR1913233.75870__1.75870	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913233.75883__1.75883	820__A0A3E4VZF8__C801_00319
ERR1913233.76005__1.76005	1262924__R7HUG0__BN585_00790
ERR1913233.76222__1.76222	69974__A0A090FEL8__MPL3365_630008
ERR1913233.76332__1.76332	39485__A0A174YVL0__xynZ_2
ERR1913233.76533__1.76533	39492__D4JRX7__EUBSIR_01480
ERR1913233.76542__1.76542	165179__A0A3E5EAM5__DXC61_07785
ERR1913233.76642__1.76642	820__R9HP61__DXC91_01090
ERR1913233.76654__1.76654	39491__C4ZGN3__DXB99_14175
ERR1913233.76761__1.76761	69974__A0A090FEL8__MPL3365_630008
ERR1913233.76856__1.76856	69974__A0A090FEL8__MPL3365_630008
ERR1913233.77004__1.77004	165179__A0A3E5EB26__CFT61_02800
ERR1913233.77046__1.77046	39491__A0A395V0X2__EUBREC_3007
ERR1913233.77165__1.77165	487173__H1D371__HMPREF9453_02059
ERR1913233.77265__1.77265	328814__GCA_004558275.1_00985
ERR1913233.77317__1.77317	821__A0A0P0M2J4__DXD46_10295
ERR1913233.77352__1.77352	116085__D4J6U8__DW747_08385
ERR1913233.77301__1.77301	1262924__R7HRJ9__BN585_00557
ERR1913233.77589__1.77589	310298__B3JK49__BACCOP_02273
ERR1913233.77836__1.77836	39491__A0A396FIU1__DXC13_07905
ERR1913233.77856__1.77856	28118__F9Z750__Odosp_3044
ERR1913233.77883__1.77883	487173__H1D020__HMPREF9453_00958
ERR1913233.77915__1.77915	626930__F3PVE3__HMPREF9446_02721
ERR1913233.78093__1.78093	310298__B3JN71__BACCOP_03383
ERR1913233.78176__1.78176	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913233.78141__1.78141	1262992__R5D4S4__BN795_00634
ERR1913233.78258__1.78258	216816__A0A2N0SME6__BLIF_1881
ERR1913233.78530__1.78530	165179__A0A3E5DN34__DXC61_07865
ERR1913233.78665__1.78665	165179__A0A174SA26__PREVCOP_05758
ERR1913233.78694__1.78694	204516__U6RA51__HMPREF1534_03959
ERR1913233.78741__1.78741	165179__A0A3E5DR10__DXC61_03505
ERR1913233.78812__1.78812	1262924__R7HL71__BN585_01341
ERR1913233.79055__1.79055	1160721__W0U611__BHW50_08625
ERR1913233.79069__1.79069	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913233.79099__1.79099	39485__A0A175A023__yhhT
ERR1913233.79129__1.79129	853__E2ZGD9__C7J97_11715
ERR1913233.79601__1.79601	374840__GeneID:2546403
ERR1913233.79636__1.79636	1628085__A0A374VQ80__C7386_10352
ERR1913233.79704__1.79704	165179__D1PGU8__PREVCOP_06463
ERR1913233.79865__1.79865	39491__A0A396FKG5__DXB76_07455
ERR1913233.79889__1.79889	310298__B3JNR4__BACCOP_03579
ERR1913233.79908__1.79908	216816__D6DCL7__BFS26_02835
ERR1913233.79818__1.79818	39485__A0A174YMI9__cph2_5
ERR1913233.80239__1.80239	165179__A0A3E5EB26__CFT61_02800
ERR1913233.80450__1.80450	69974__A0A090FEL8__MPL3365_630008
ERR1913233.80472__1.80472	371601__D6D4P3__BN890_24980
ERR1913233.80473__1.80473	40518__R5DYT8__mscS
ERR1913233.80482__1.80482	28117__R7JJM9__ALIPUT_00662
ERR1913233.80516__1.80516	39492__D4JUS6__accD5
ERR1913233.80602__1.80602	165179__D1PHD6__DXC61_03380
ERR1913233.80611__1.80611	165179__A0A174UTZ7__DXC61_06705
ERR1913233.80670__1.80670	853__A0A173YYY4__DWZ04_09420
ERR1913233.80674__1.80674	216816__Q8G585__APC1473_0508
ERR1913233.81028__1.81028	69974__A0A090FEL8__MPL3365_630008
ERR1913233.81054__1.81054	28117__B0MU76__ALIPUT_00202
ERR1913233.81139__1.81139	69974__A0A090FEL8__MPL3365_630008
ERR1913233.81407__1.81407	69974__A0A090FEL8__MPL3365_630008
ERR1913233.81420__1.81420	165179__A0A3E5A5E5__DXC61_13965
ERR1913233.81549__1.81549	338188__R6S8N0__BACFIN_06127
ERR1913233.81759__1.81759	69974__A0A090FEL8__MPL3365_630008
ERR1913233.81866__1.81866	69974__A0A090FEL8__MPL3365_630008
ERR1913233.81909__1.81909	28117__B0MUX7__ALIPUT_00918
ERR1913233.81966__1.81966	39485__A0A174YYW2__benM
ERR1913233.82603__1.82603	216816__B7GPE8__I118_0062
ERR1913233.82737__1.82737	165179__D1PEQ5__PREVCOP_05711
ERR1913233.82945__1.82945	487173__H1CYA6__HMPREF9453_00344
ERR1913233.82985__1.82985	28117__B0MWP2__ALIPUT_01468
ERR1913233.83052__1.83052	487173__H1D2V9__HMPREF9453_01947
ERR1913233.83191__1.83191	820__A0A3E4W084__BACUNI_04042
ERR1913233.83228__1.83228	216816__E8MVM4__APC1480_1562
ERR1913233.83319__1.83319	40518__R5DR39__mreB_2
ERR1913233.83463__1.83463	69974__A0A090FEL8__MPL3365_630008
ERR1913233.83562__1.83562	165179__D1PGU8__PREVCOP_06463
ERR1913233.83691__1.83691	39491__A0A174K9A3__DXB69_07785
ERR1913233.84086__1.84086	626933__H1DGX0__HMPREF9449_01506
ERR1913233.84100__1.84100	1263000__R5EXT3__BN466_02213
ERR1913233.84395__1.84395	69974__A0A090FEL8__MPL3365_630008
ERR1913233.84431__1.84431	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913233.84781__1.84781	28116__I9JM49__NCTC11153_01044
ERR1913233.84914__1.84914	74426__group_4823
ERR1913233.85023__1.85023	165179__A0A3E5EB26__CFT61_02800
ERR1913233.85226__1.85226	1150298__A0A174HXS4__ERS852498_00503
ERR1913233.85462__1.85462	820__A0A139JRH8__HMPREF2141_04326
ERR1913233.85498__1.85498	165179__D1PGU8__PREVCOP_06463
ERR1913233.85561__1.85561	487174__K0WRP3__HMPREF9448_02660
ERR1913233.85838__1.85838	39491__A0A3E4YFT8__DXB69_10940
ERR1913233.85931__1.85931	626933__H1DGX0__HMPREF9449_01506
ERR1913233.85949__1.85949	821__A0A396F1N0__M099_1553
ERR1913233.86107__1.86107	28118__R6FDR5__B5F93_17520
ERR1913233.86477__1.86477	39491__A0A395V464__EUBREC_1509
ERR1913233.86525__1.86525	47678__R5U325__HMPREF1061_03209
ERR1913233.86549__1.86549	88431__A0A173UIQ4__lip2
ERR1913233.86568__1.86568	69974__A0A090FEL8__MPL3365_630008
ERR1913233.86779__1.86779	204516__U6R9H3__HMPREF1534_03348
ERR1913233.86892__1.86892	410072__A0A174LAX8__DXD67_10655
ERR1913233.86902__1.86902	69974__A0A090FEL8__MPL3365_630008
ERR1913233.87070__1.87070	374840__GeneID:2546403
ERR1913233.87325__1.87325	1796652__ltrA_3
ERR1913233.87442__1.87442	39488__A0A285PP79__murD
ERR1913233.87561__1.87561	165179__A0A3E5AGH1__DXB80_05820
ERR1913233.87651__1.87651	39485__C4Z684__ERS852492_01895
ERR1913233.87708__1.87708	40518__R5DVH6__DXD86_08955
ERR1913233.87742__1.87742	40518__R5DYU1__DXD86_01160
ERR1913233.87906__1.87906	69974__A0A090FEL8__MPL3365_630008
ERR1913233.88288__1.88288	39490__A0A2V1JRB7__fusA
ERR1913233.88475__1.88475	39491__C4Z9J5__DXB69_02495
ERR1913233.88733__1.88733	165179__A0A3E5A5E5__DXC61_13965
ERR1913233.88863__1.88863	28117__B0MTW8__ALIPUT_00502
ERR1913233.89079__1.89079	1160721__W0U611__BHW50_08625
ERR1913233.89188__1.89188	853__A0A329UEG4__CHR60_00585
ERR1913233.89282__1.89282	165179__A0A3E5EAM5__DXC61_07785
ERR1913233.89434__1.89434	40518__R5DS23__DXD86_01715
ERR1913233.89461__1.89461	301302__A0A0M6X038__M72_18501
ERR1913233.89468__1.89468	1262924__R7HQB3__BN585_00435
ERR1913233.89568__1.89568	1308__G6EPE2__Y018_01915
ERR1913233.89578__1.89578	69974__A0A090FEL8__MPL3365_630008
ERR1913233.89699__1.89699	69974__A0A090FEL8__MPL3365_630008
ERR1913233.89838__1.89838	487174__K0WUM9__HMPREF9448_02608
ERR1913233.90089__1.90089	544645__A0A1Y3W0G8__DXC42_07680
ERR1913233.90123__1.90123	853__E2ZGD9__C7J97_11715
ERR1913233.90235__1.90235	40518__R5DLU0__fmt
ERR1913233.90338__1.90338	853__E2ZGD9__C7J97_11715
ERR1913233.90636__1.90636	39485__C4Z6B7__EUBELI_20364
ERR1913233.90641__1.90641	1262924__R7HQB7__BN585_02057
ERR1913233.90663__1.90663	39485__C4Z0G6__spoIVB
ERR1913233.90762__1.90762	69974__A0A090FEL8__MPL3365_630008
ERR1913233.91040__1.91040	310298__B3JNH3__BACCOP_03486
ERR1913233.91068__1.91068	69974__A0A090FEL8__MPL3365_630008
ERR1913233.91452__1.91452	165179__A0A3E5EAM5__DXC61_07785
ERR1913233.91421__1.91421	69974__A0A090FEL8__MPL3365_630008
ERR1913233.91489__1.91489	418240__A0A173YA50__ERS852478_00137
ERR1913233.91497__1.91497	821__A0A0P0M2J4__DXD46_10295
ERR1913233.91502__1.91502	39491__D4JM76__DXC13_02150
ERR1913233.91540__1.91540	69974__A0A090FEL8__MPL3365_630008
ERR1913233.91619__1.91619	204516__U6RSX5__HMPREF1534_00314
ERR1913233.91598__1.91598	556259__I0PYM3__BSGG_5385
ERR1913233.91681__1.91681	853__D4JY61__C4N21_10560
ERR1913233.91817__1.91817	165179__D1PHC0__PREVCOP_06640
