ERR1913185.233__1.233	487174__K0WYG8__HMPREF9448_01522
ERR1913185.227955__1.227955	39491__A0A395UWA3__DXB69_11805
ERR1913185.227957__1.227957	1262882__R5N1T9__BN519_00804
ERR1913185.228033__1.228033	820__A0A174CG08__DXB62_13215
ERR1913185.228066__1.228066	39491__A0A395V0H3__ERS852417_01192
ERR1913185.228090__1.228090	820__A0A374Q8T2__DXB64_16190
ERR1913185.228136__1.228136	1965629__A0A1Y4B8Y3__B5F88_18835
ERR1913185.228123__1.228123	39483__D4JCC6__B5F14_08195
ERR1913185.228245__1.228245	1262989__R6Y532__BN815_01013
ERR1913185.228269__1.228269	40518__R5DUU8__DXD86_08440
ERR1913185.228278__1.228278	1262882__R5N004__BN519_00490
ERR1913185.228330__1.228330	39491__A0A396FBR6__DXC13_08575
ERR1913185.228379__1.228379	214856__A0A174C683__ERS852559_00523
ERR1913185.228445__1.228445	1262911__R6GW73__BN557_00128
ERR1913185.228453__1.228453	1262882__R5MYP8__BN519_00439
ERR1913185.228501__1.228501	39491__A0A396FP46__cobD_2
ERR1913185.228568__1.228568	39491__A0A3E4E7C5__DXB69_03255
ERR1913185.228690__1.228690	40518__R5DT16__ysdC_2
ERR1913185.228780__1.228780	1262882__R5N0H9__BN519_00764
ERR1913185.228812__1.228812	1796652__group_2155
ERR1913185.228841__1.228841	46506__B0NQN6__AA415_00632
ERR1913185.228855__1.228855	357276__A0A076IS73__GV66_00410
ERR1913185.228964__1.228964	454155__F3QUP7__HMPREF9442_01920
ERR1913185.228993__1.228993	28116__C3QMW5__M089_4133
ERR1913185.229037__1.229037	39491__C4ZAT2__ERE_28440
ERR1913185.229206__1.229206	28025__A0A0L7CV69__BLC1_1290
ERR1913185.229297__1.229297	40518__R5DPE0__DXD86_06515
ERR1913185.229335__1.229335	820__A0A3E4GA19__SAMN05444418_10562
ERR1913185.229336__1.229336	214856__A0A174FWM7__ERS852559_00590
ERR1913185.229397__1.229397	907__A0A269TDG0__feoB
ERR1913185.229405__1.229405	46503__R6Y0Q3__DCY29_15880
ERR1913185.229409__1.229409	820__A0A3E4W4Y7__B5G17_02055
ERR1913185.229454__1.229454	823__A0A355XLH0__fepA_1
ERR1913185.229493__1.229493	1263000__R5EEL2__BN466_01100
ERR1913185.229509__1.229509	39491__A0A395V0H6__ERS852580_02570
ERR1913185.229471__1.229471	187327__G4Q682__Acin_1672
ERR1913185.229477__1.229477	1262882__R5MYP8__BN519_00439
ERR1913185.229639__1.229639	820__A0A174DZ97__SAMN05444418_101240
ERR1913185.229763__1.229763	1262954__R7FBG4__BN611_01879
ERR1913185.229783__1.229783	820__A0A1T4IYF4__mprA_1
ERR1913185.229805__1.229805	1262989__R6ZBG1__BN815_00721
ERR1913185.229812__1.229812	1262882__R5N4P6__BN519_01346
ERR1913185.230047__1.230047	1680__A0A076JNH5__DXC60_03835
ERR1913185.230091__1.230091	39491__A0A395ZEI6__ERE_07950
ERR1913185.230188__1.230188	28117__B0MY40__BHV66_05170
ERR1913185.230232__1.230232	487175__F3QMT1__HMPREF9439_02260
ERR1913185.230303__1.230303	853__A0A3E2V168__FAEPRAM212_00929
ERR1913185.230328__1.230328	821__A0A3E4HP25__SAMN04487923_102450
ERR1913185.230350__1.230350	487175__D9Y8B5__HMPREF9439_02353
ERR1913185.230358__1.230358	1263000__R5EJ76__BN466_01936
ERR1913185.230581__1.230581	820__A0A139K0J1__HMPREF2141_03205
ERR1913185.230813__1.230813	291644__I9T9Y0__HMPREF1071_01813
ERR1913185.230850__1.230850	292800__A0A1C7FP14__ERS852518_04317
ERR1913185.230966__1.230966	100886__A0A174MQV9__ERS852383_06058
ERR1913185.230977__1.230977	1263000__R5EQL2__BN466_00892
ERR1913185.231034__1.231034	39491__C4ZHS4__EUR_24420
ERR1913185.231183__1.231183	1262882__R5N5S3__BN519_00085
ERR1913185.231191__1.231191	1262882__R5MRS7__BN519_01490
ERR1913185.231228__1.231228	1262882__R5N4D8__BN519_01497
ERR1913185.231354__1.231354	84030__D6DDL9__B5F06_14675
ERR1913185.231375__1.231375	1262882__R5MMD8__BN519_01576
ERR1913185.231414__1.231414	39491__R6UMS6__DXD13_07035
ERR1913185.231477__1.231477	820__A0A3E4GE89__DXB48_02565
ERR1913185.231563__1.231563	39491__A0A396FF66__DXD95_01810
ERR1913185.231573__1.231573	1262882__R5MSX6__BN519_01697
ERR1913185.231515__1.231515	853__E2ZGD9__C7J97_11715
ERR1913185.231628__1.231628	820__A0A3E4G493__ERS417307_00253
ERR1913185.231670__1.231670	820__A0A374Q854__HMPREF1073_03281
ERR1913185.231717__1.231717	39483__D4JDT1__HMPREF0367_01249
ERR1913185.231729__1.231729	1680__A7A7Z9__AAX71_05385
ERR1913185.231752__1.231752	1262882__R5MSX6__BN519_01697
ERR1913185.231797__1.231797	1160721__R6T2L9__BHW50_11315
ERR1913185.231838__1.231838	446660__GCA_003428235.1_02376
ERR1913185.231843__1.231843	39483__D4JEK3__HMPREF0367_00712
ERR1913185.231933__1.231933	39491__A0A0M6WLC7__ERS852497_00640
ERR1913185.231937__1.231937	39492__D4JUD7__EUBSIR_01877
ERR1913185.231941__1.231941	1680__A0A173X776__B0070_1318
ERR1913185.232005__1.232005	301302__R5ULM4__M72_25081
ERR1913185.232088__1.232088	1262882__R5N587__BN519_01643
ERR1913185.232052__1.232052	214856__I3YMC8__ERS852447_02666
ERR1913185.232065__1.232065	46506__R6LDN0__HMPREF1181_03103
ERR1913185.232186__1.232186	1680__A0A0C2YPV2__AL0462_1474
ERR1913185.232253__1.232253	39491__C4ZC33__DXC13_11585
ERR1913185.232263__1.232263	204516__U6RDD8__HMPREF1534_02559
ERR1913185.232347__1.232347	1262911__R6H054__BN557_00908
ERR1913185.232500__1.232500	78345__A0A087BJK4__SAMN02745589_1497
ERR1913185.232471__1.232471	46506__B0NUC3__SAMN05444283_1019
ERR1913185.232537__1.232537	853__A0A2A7B1Y7__C7K05_11930
ERR1913185.232638__1.232638	1680__A0A0B5BME4__DXD63_05015
ERR1913185.232687__1.232687	1680__A0A3E4SB79__BAD_1517
ERR1913185.232730__1.232730	1262882__R5MPY4__BN519_01128
ERR1913185.232734__1.232734	39483__D4JDC9__B5F14_09920
ERR1913185.232738__1.232738	47678__R5U819__DW706_12015
ERR1913185.232714__1.232714	1262882__R5MJM8__BN519_01064
ERR1913185.232920__1.232920	410072__C0B7P0__DXD67_07205
ERR1913185.232939__1.232939	39483__R7AYA4__B5G15_02565
ERR1913185.232976__1.232976	28117__B0MVL5__BHV66_01660
ERR1913185.233041__1.233041	823__A0A073I1X2__DXD05_18820
ERR1913185.233054__1.233054	410072__A0A173YNZ0__ERS852481_00766
ERR1913185.233073__1.233073	28052__R7NAV8__ERS852451_01869
ERR1913185.233091__1.233091	823__A0A174VHT1__DHP27_04775
ERR1913185.233102__1.233102	40518__R5E6K5__speA
ERR1913185.233151__1.233151	39491__A0A395ZEN3__DXD95_12655
ERR1913185.233199__1.233199	1160721__R6U304__BHW50_05725
ERR1913185.233175__1.233175	214856__A0A174FWM7__ERS852559_00590
ERR1913185.233258__1.233258	39491__A0A395ZHV7__ykvU
ERR1913185.233315__1.233315	371601__A0A174FDF7__CW1_1994
ERR1913185.233495__1.233495	907__G0VNC6__JY94_03720
ERR1913185.233887__1.233887	1262882__R5MS31__BN519_01529
ERR1913185.233925__1.233925	1680__A0A173Y6N7__yhaH
ERR1913185.233980__1.233980	1262986__R6A8Q9__BN492_00460
ERR1913185.233995__1.233995	216816__B7GPE8__I118_0062
ERR1913185.234000__1.234000	214856__A0A174EJT5__mnmA
ERR1913185.234008__1.234008	1262882__R5N5S3__BN519_00085
ERR1913185.234053__1.234053	1262911__R6GPX9__BN557_00406
ERR1913185.234134__1.234134	1262911__R6HN72__BN557_00911
ERR1913185.234269__1.234269	1262911__R6GT76__BN557_01150
ERR1913185.234331__1.234331	46506__B0NM94__HMPREF1181_03250
ERR1913185.234376__1.234376	46506__A0A120A3P8__SAMN05444283_1172
ERR1913185.234587__1.234587	1681__E3EQA8__LMG11582_0199
ERR1913185.234612__1.234612	1262911__R6GQM3__BN557_01245
ERR1913185.234534__1.234534	1262882__R5MF58__BN519_00393
ERR1913185.234656__1.234656	40520__D4LXF6__RUMOBE_00717
ERR1913185.234675__1.234675	1262882__R5MIC9__BN519_00834
ERR1913185.234726__1.234726	1262882__R5MT42__BN519_01729
ERR1913185.234890__1.234890	1680__R5GZF2__DXC60_01925
ERR1913185.234920__1.234920	216816__F9XZU5__BBL306_1935
ERR1913185.234953__1.234953	39491__A0A395V464__EUBREC_1509
ERR1913185.234988__1.234988	187327__G4Q440__pepD
ERR1913185.235031__1.235031	1262986__R6A0Z8__BN492_00239
ERR1913185.235116__1.235116	823__A0A174PLE5__DXD05_03010
ERR1913185.235125__1.235125	218538__C9LPE5__GCWU000321_01424
ERR1913185.235166__1.235166	357276__A0A076INK2__BSEG_04225
ERR1913185.235263__1.235263	418240__A0A173XCL4__ERS852523_02725
ERR1913185.235315__1.235315	39491__D6E408__EUBREC_1466
ERR1913185.235604__1.235604	40518__R5DTH7__DXD83_02405
ERR1913185.235696__1.235696	46503__A0A3E4ZQ73__ERS852463_01043
ERR1913185.235967__1.235967	39491__A0A396FKI0__DXC13_11560
ERR1913185.236007__1.236007	487174__K0X3H8__HMPREF9448_02822
ERR1913185.236059__1.236059	39491__A0A173U0X0__DXB72_05865
ERR1913185.236071__1.236071	1262882__R5MRT2__BN519_01494
ERR1913185.236104__1.236104	820__A0A174DZ97__SAMN05444418_101240
ERR1913185.236129__1.236129	28111__E5X0X9__HMPREF1016_02597
ERR1913185.236241__1.236241	292800__U2CET9__ADH75_02630
ERR1913185.236269__1.236269	649756__R7BXQ5__HMPREF0369_01797
ERR1913185.236279__1.236279	39491__A0A395V0E5__ERE_31370
ERR1913185.236329__1.236329	357276__B6W1Y1__BSEG_03960
ERR1913185.236391__1.236391	818__C6ILT7__BSIG_2708
ERR1913185.236408__1.236408	1680__A0A174BEE7__BSTER_1311
ERR1913185.236545__1.236545	39491__A0A396FFW0__ERE_10580
ERR1913185.236627__1.236627	39491__A0A0M6WWT1__dus_2
ERR1913185.236868__1.236868	46503__R6X5W5__HMPREF1078_03156
ERR1913185.236908__1.236908	418240__A0A396LB78__yehT_1
ERR1913185.236922__1.236922	39491__A0A396FSK3__ERS852417_00383
ERR1913185.236973__1.236973	28117__B0MU58__BHV66_05630
ERR1913185.237043__1.237043	1680__A7A7Z9__AAX71_05385
ERR1913185.237236__1.237236	39483__D4JER6__B5F14_00400
ERR1913185.237323__1.237323	46506__R6B8Z4__SAMN05444283_11711
ERR1913185.237422__1.237422	39496__A5Z937__EUBVEN_02230
ERR1913185.237550__1.237550	1262882__R5MIY9__BN519_01097
ERR1913185.237611__1.237611	46506__A0A120A3P8__SAMN05444283_1172
ERR1913185.237682__1.237682	487174__K0WZU9__HMPREF9448_01159
ERR1913185.237864__1.237864	1262882__R5MFN3__BN519_00392
ERR1913185.238158__1.238158	1262882__R5MSQ8__BN519_01647
ERR1913185.238201__1.238201	487174__K0X079__DIT83_00640
ERR1913185.238247__1.238247	28052__A0A174HA30__ERS852451_00216
ERR1913185.238320__1.238320	40518__R5DYT8__mscS
ERR1913185.238354__1.238354	820__A0A078STJ8__DXC68_04690
ERR1913185.238359__1.238359	28111__R5JTT9__BACEGG_01644
ERR1913185.238639__1.238639	187327__G4Q2R6__Acin_2204
ERR1913185.238744__1.238744	39491__C4ZAT2__ERE_28440
ERR1913185.238816__1.238816	46506__A0A108TAK3__fepA_3
ERR1913185.238817__1.238817	1680__A0A174BEE7__BSTER_1311
ERR1913185.238793__1.238793	1680__A0A174BEE7__BSTER_1311
ERR1913185.238893__1.238893	40518__R5DUG7__sbcC
ERR1913185.238999__1.238999	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913185.239000__1.239000	1680__A0A174BEE7__BSTER_1311
ERR1913185.239259__1.239259	39491__A0A395ZBQ4__cph2_2
ERR1913185.239337__1.239337	1680__A7A7Z9__AAX71_05385
ERR1913185.239426__1.239426	665033__GeneID:8658852
ERR1913185.239432__1.239432	46506__R6LAK5__SAMN05444283_11231
ERR1913185.239592__1.239592	1262911__R6HI44__BN557_01691
ERR1913185.239845__1.239845	1681__A0A0H2PP44__BBTM_02041
ERR1913185.239873__1.239873	39491__A0A395V5L2__ERE_28270
ERR1913185.239925__1.239925	820__A0A139K4T0__ERS852510_03146
ERR1913185.240109__1.240109	216816__D6D9J4__DPC6320_0487
ERR1913185.240207__1.240207	1262986__R6A8Q9__BN492_00460
ERR1913185.240231__1.240231	28117__B0MTY2__BHV66_06485
ERR1913185.240257__1.240257	820__A0A174CG08__DXB62_13215
ERR1913185.240344__1.240344	907__A0A1M6Q474__C6362_07805
ERR1913185.240360__1.240360	39491__A0A395ZDC6__addB
ERR1913185.240480__1.240480	1262986__R6ANN3__BN492_01101
ERR1913185.240498__1.240498	1262882__R5MKV8__BN519_01281
ERR1913185.240499__1.240499	28111__E5WUE9__NCTC11155_01729
ERR1913185.240531__1.240531	818__A0A0P0FKT1__C5Z03_19050
ERR1913185.240532__1.240532	1262882__R5MIP9__BN519_01028
ERR1913185.240708__1.240708	1550024__G9RWC0__ASJ35_03560
ERR1913185.240727__1.240727	820__R9I2U8__DXC68_09590
ERR1913185.240674__1.240674	1472761__GCA_002159295.1_00660
ERR1913185.240832__1.240832	357276__A0A0K2HDP3__IY41_00705
ERR1913185.240843__1.240843	46506__B0NP81__SAMN05444283_10688
ERR1913185.240812__1.240812	291645__I8XPK0__HMPREF1068_01554
ERR1913185.240827__1.240827	28117__B0MYW7__ALIPUT_02336
ERR1913185.240909__1.240909	39491__A0A396FJJ9__DXB76_11995
ERR1913185.240993__1.240993	100886__R7GJP9__amiC
ERR1913185.241082__1.241082	187327__G4Q8D7__ACDG_00525
ERR1913185.241196__1.241196	28111__R5JTT9__BACEGG_01644
ERR1913185.241486__1.241486	40518__R5DP21__RBATCC27255_00348
ERR1913185.241557__1.241557	1262882__R5N678__BN519_01604
ERR1913185.241565__1.241565	147206__GCF_000156215.1_01776
ERR1913185.241623__1.241623	1262992__R5DCV6__BN795_00412
ERR1913185.241681__1.241681	46503__A7ADV9__ERS852463_01504
ERR1913185.241700__1.241700	28111__R5K5X6__NCTC11155_02508
ERR1913185.241716__1.241716	820__A0A3E4WCX3__C801_02709
ERR1913185.241791__1.241791	1262882__R5MH82__BN519_00752
ERR1913185.241813__1.241813	1262882__R5MSS9__BN519_01662
ERR1913185.241890__1.241890	853__A0A2A6Z8X1__FPR_03410
ERR1913185.241903__1.241903	214856__A0A174FW22__ERS852447_02437
ERR1913185.241964__1.241964	907__A0A1M6RW57__SAMN02910401_02018
ERR1913185.241996__1.241996	357276__I9FGI3__EL88_12385
ERR1913185.242090__1.242090	187327__G4Q2M9__ACDG_01875
ERR1913185.242140__1.242140	823__A0A355XF06__B5F32_11480
ERR1913185.242235__1.242235	1262882__R5MYX5__BN519_00333
ERR1913185.242313__1.242313	40518__R5E6X1__DXD83_01720
ERR1913185.242345__1.242345	1262882__R5N0Q5__BN519_00642
ERR1913185.242557__1.242557	47678__R5U978__ERS852558_01076
ERR1913185.242576__1.242576	1680__A0A174BH90__B0487_1759
ERR1913185.242629__1.242629	46506__A0A3E4USX2__BACSTE_03107
ERR1913185.242795__1.242795	626932__G5H7M7__HMPREF9450_00680
ERR1913185.242909__1.242909	39491__A0A396FJJ9__DXB76_11995
ERR1913185.243062__1.243062	214856__A0A174FY71__ERS852559_01033
ERR1913185.243102__1.243102	39491__D4JM76__DXC13_02150
ERR1913185.243120__1.243120	1262954__R7FGB5__BN611_00791
ERR1913185.243163__1.243163	328814__GCA_004558275.1_00236
ERR1913185.243249__1.243249	1262954__R7FER8__BN611_00446
ERR1913185.243278__1.243278	907__G0VS46__MELS_1868
ERR1913185.243347__1.243347	187327__G4Q6U4__ACDG_01459
ERR1913185.243383__1.243383	1262911__R6GPM2__BN557_00937
ERR1913185.243527__1.243527	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913185.243671__1.243671	357276__G5SMD3__BSEG_02959
ERR1913185.243793__1.243793	39491__A0A396FP46__cobD_2
ERR1913185.243850__1.243850	1681__E4V9B3__A0008_1349
ERR1913185.243923__1.243923	1262882__R5MJM8__BN519_01064
ERR1913185.243938__1.243938	39496__A5Z776__EUBVEN_01559
ERR1913185.243977__1.243977	46506__A0A108TAK3__fepA_3
ERR1913185.244313__1.244313	1262882__R5N3H1__BN519_01121
ERR1913185.244356__1.244356	853__A0A173T8T3__DW882_06555
ERR1913185.244454__1.244454	1262992__R5DCV6__BN795_00412
ERR1913185.244470__1.244470	884684__GCA_002892425.1_00328
ERR1913185.244496__1.244496	39483__D4JDZ3__B5F14_00745
ERR1913185.244517__1.244517	1680__A0A0B5BL52__ERS852382_00480
ERR1913185.244518__1.244518	357276__A0A0P0M2G3__BACDOR_03913
ERR1913185.244580__1.244580	1262882__R5N211__BN519_01033
ERR1913185.244585__1.244585	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913185.244594__1.244594	301302__A0A173UPG6__ERS852420_03127
ERR1913185.244628__1.244628	46506__S3YVT5__BACSTE_02352
ERR1913185.244688__1.244688	820__A0A3E4W4Y7__B5G17_02055
ERR1913185.244763__1.244763	1680__A0A1X3A951__AL0462_1583
ERR1913185.244836__1.244836	1262882__R5MFA5__BN519_00331
ERR1913185.244815__1.244815	46506__B0NQN6__AA415_00632
ERR1913185.244904__1.244904	1262882__R5MEK3__BN519_00296
ERR1913185.245118__1.245118	1262882__R5MMD8__BN519_01576
ERR1913185.245236__1.245236	1680__A0A0C2YPV2__AL0462_1474
ERR1913185.245264__1.245264	1262986__R6A8Y6__BN492_01262
ERR1913185.245298__1.245298	204516__U6R9H3__HMPREF1534_03348
ERR1913185.245361__1.245361	821__E5UY21__C800_02204
ERR1913185.245459__1.245459	853__A0A3E2U7E6__ERS852582_01640
ERR1913185.245492__1.245492	1160721__R6TH97__BHW50_04165
ERR1913185.245496__1.245496	39488__A0A174CH59__DXD91_12625
ERR1913185.245499__1.245499	1160721__W0U3K4__RBI_I00339
ERR1913185.245541__1.245541	39492__D4JSS9__btuF
ERR1913185.245738__1.245738	1262882__R5N1R4__BN519_00788
ERR1913185.245891__1.245891	39491__A0A395ZF49__DXB69_05290
ERR1913185.245895__1.245895	1263107__GCA_000436995.1_00242
ERR1913185.245938__1.245938	1160721__W0U2E1__RBI_I00200
ERR1913185.245953__1.245953	187327__G4Q2R6__Acin_2204
ERR1913185.246021__1.246021	1680__A0A174BEE7__BSTER_1311
ERR1913185.246141__1.246141	46506__S3YBS6__AA415_01011
ERR1913185.246151__1.246151	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913185.246266__1.246266	820__A0A078S4C2__ERS417307_00828
ERR1913185.246361__1.246361	1262743__R5C054__BN727_01980
ERR1913185.246397__1.246397	28117__R7JMT0__BHV66_05875
ERR1913185.246444__1.246444	1262882__R5MYX5__BN519_00333
ERR1913185.246474__1.246474	47678__R5UZM4__DW706_15680
ERR1913185.246541__1.246541	1262948__R7E9D8__BN671_02221
ERR1913185.246548__1.246548	853__A0A173TAZ8__DWZ46_14590
ERR1913185.246626__1.246626	187327__G4Q2R6__Acin_2204
ERR1913185.246689__1.246689	907__G0VPH3__C6362_07330
ERR1913185.246780__1.246780	1965660__A0A1Y3SSG6__B5G34_01735
ERR1913185.246782__1.246782	39483__U2R6R5__B5G15_07315
ERR1913185.246844__1.246844	487174__R5FJY1__DDY40_07045
ERR1913185.247005__1.247005	74426__sufB
ERR1913185.246970__1.246970	46506__S3YT03__AA415_01895
ERR1913185.247042__1.247042	487174__K0WRP3__HMPREF9448_02660
ERR1913185.247043__1.247043	357276__A0A076IRX4__ABI39_13585
ERR1913185.247178__1.247178	46503__K5ZV67__PARMER_03859
ERR1913185.247229__1.247229	1262911__R6GPI7__BN557_00907
ERR1913185.247248__1.247248	165179__A0A174IPI3__CFT61_10940
ERR1913185.247317__1.247317	187327__G4Q394__ACDG_01705
ERR1913185.247495__1.247495	1680__A0A173W9E6__C8077_07070
ERR1913185.247551__1.247551	39491__A0A395V2P3__DXB69_08700
ERR1913185.247593__1.247593	39491__C4Z8S1__DXB76_06750
ERR1913185.247678__1.247678	823__A0A355XFH7__ERS852513_00769
ERR1913185.247742__1.247742	1262882__R5MH82__BN519_00752
ERR1913185.247837__1.247837	39491__A0A395ZHW9__DXC13_02590
ERR1913185.247937__1.247937	88431__A0A174G8Q6__ERS852526_02711
ERR1913185.247964__1.247964	46506__S3YT03__AA415_01895
ERR1913185.248103__1.248103	39491__A0A3E4YFT8__DXB69_10940
ERR1913185.248140__1.248140	1262986__R6AUH5__BN492_00246
ERR1913185.248347__1.248347	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913185.248370__1.248370	47678__R5U8Y1__BACCAC_02615
ERR1913185.248448__1.248448	907__S7IXS8__AZ49_01195
ERR1913185.248470__1.248470	47678__R5UER2__CGC64_00710
ERR1913185.248558__1.248558	1680__A1A0V3__C8077_03025
ERR1913185.248588__1.248588	823__A0A355XGQ3__prmC
ERR1913185.248789__1.248789	454154__G5SLR2__HMPREF9441_00281
ERR1913185.248888__1.248888	1680__A0A087DHN0__AL0462_1532
ERR1913185.248968__1.248968	28116__A0A1Y4PUF2__BACOV975_03357
ERR1913185.249004__1.249004	1150298__A0A174DU21__toxA_3
ERR1913185.249011__1.249011	1680__A7A4N3__ERS852382_00779
ERR1913185.249030__1.249030	1160721__W0U1Y5__BHW50_01965
ERR1913185.249036__1.249036	907__A0A2S0M685__C6Y28_04770
ERR1913185.249085__1.249085	907__G0VP67__SAMN04488492_11236
ERR1913185.249126__1.249126	40518__R5E6N4__DXD93_01325
ERR1913185.249232__1.249232	39491__C4ZF05__vpr
ERR1913185.249258__1.249258	1680__A0A076JM61__DXD63_05245
ERR1913185.249276__1.249276	1262882__R5MYI1__BN519_00416
ERR1913185.249278__1.249278	39491__A0A395UZZ5__htpG_1
ERR1913185.249571__1.249571	410072__A0A174A5E2__dtpT
ERR1913185.249525__1.249525	1680__A0A0C2YPV2__AL0462_1474
ERR1913185.249557__1.249557	39491__C4ZD70__LD38_03510
ERR1913185.249663__1.249663	820__A0A1Q6IDS8__chtA
ERR1913185.249744__1.249744	39491__A0A395V397__EUR_09960
ERR1913185.249722__1.249722	1262882__R5MYG7__BN519_00405
ERR1913185.249750__1.249750	1160721__R6UAE5__BHW50_03280
ERR1913185.249981__1.249981	338188__K5CLC2__BACFIN_05485
ERR1913185.249958__1.249958	1262882__R5MFA5__BN519_00331
ERR1913185.250040__1.250040	1160721__R6TIT8__BHW50_03275
ERR1913185.250044__1.250044	187327__G4Q682__Acin_1672
ERR1913185.250055__1.250055	853__A0A174AML0__FPR_08640
ERR1913185.250130__1.250130	39491__D6E555__DXB99_06765
ERR1913185.250194__1.250194	28117__B0MU53__ALIPUT_00569
ERR1913185.250209__1.250209	39491__A0A395V5R3__EUBREC_1883
ERR1913185.250409__1.250409	1680__A0A087DHN0__AL0462_1532
ERR1913185.250483__1.250483	187327__G4Q682__Acin_1672
ERR1913185.250503__1.250503	418240__A0A174C465__ydaM
ERR1913185.250523__1.250523	544644__GCA_001915615.1_02250
ERR1913185.250545__1.250545	907__R7MT25__SAMN02910401_00773
ERR1913185.250564__1.250564	39483__D4JCR2__B5F14_02900
ERR1913185.250663__1.250663	1897011__A0A1Q6RH37__BHW41_01795
ERR1913185.250787__1.250787	187327__G4Q3P2__ACDG_00349
ERR1913185.250811__1.250811	1680__A0A173XYA2__B0703_0121
ERR1913185.250876__1.250876	46506__S3YU07__AA415_02597
ERR1913185.250899__1.250899	1680__A0A087DHN0__AL0462_1532
ERR1913185.250938__1.250938	1262882__R5MF58__BN519_00393
ERR1913185.251140__1.251140	47678__A5ZEP5__CGC64_03450
ERR1913185.251143__1.251143	46503__R6WX12__DXB85_11560
ERR1913185.251376__1.251376	357276__A0A076IXE0__HMPREF1064_04364
ERR1913185.251483__1.251483	40518__R5E1J7__RBL236_02062
ERR1913185.251492__1.251492	1262882__R5MYI1__BN519_00416
ERR1913185.251518__1.251518	1680__A1A132__B0703_0684
ERR1913185.251567__1.251567	39491__D6DXZ8__DXB72_15035
ERR1913185.251605__1.251605	39491__C4ZCH3__EUR_17560
ERR1913185.251621__1.251621	1160721__W0U3P2__RBI_I00640
ERR1913185.251771__1.251771	40520__A0A174Q8Q4__DXB81_11370
ERR1913185.251842__1.251842	357276__C3REQ8__GV66_09740
ERR1913185.251871__1.251871	33039__D4M6E9__ERS852390_02866
ERR1913185.251988__1.251988	1680__A0A0B5BIU5__BSTER_0145
ERR1913185.252008__1.252008	1262882__R5N1V0__BN519_00816
ERR1913185.252089__1.252089	371601__A0A139LNL6__ERS852396_04350
ERR1913185.252078__1.252078	301301__A0A395V7P2__ERS852391_05080
ERR1913185.252268__1.252268	40518__R5DT93__DXD86_08730
ERR1913185.252349__1.252349	1262911__R6H092__BN557_00938
ERR1913185.252410__1.252410	821__R9HFW2__DXD01_00365
ERR1913185.252411__1.252411	1262882__R5MGX3__BN519_00046
ERR1913185.252470__1.252470	40518__R5E2U9__RBL263_01292
ERR1913185.252544__1.252544	39486__B0G468__DXB12_12780
ERR1913185.252549__1.252549	418240__C6J892__ERS852478_02502
ERR1913185.252609__1.252609	745368__A0A1T4XUK3__SAMN02745178_02339
ERR1913185.252632__1.252632	165179__D1P8Q2__trpF
ERR1913185.252652__1.252652	384638__B7ASI3__BACPEC_02038
ERR1913185.252691__1.252691	39491__A0A395V0H3__ERS852417_01192
ERR1913185.252704__1.252704	301301__A0A395V714__evgS
ERR1913185.252983__1.252983	1680__A0A0B5BL52__ERS852382_00480
ERR1913185.252963__1.252963	187327__G4Q8Z0__Acin_0446
ERR1913185.253052__1.253052	820__A0A3E4WCC2__lptB_1
ERR1913185.253106__1.253106	821__E5UY21__C800_02204
ERR1913185.253124__1.253124	1680__A0A087DLC6__C8077_00815
ERR1913185.253127__1.253127	40518__R5DRY6__RB5AMG_00549
ERR1913185.253201__1.253201	46506__B0NPF6__BACSTE_01357
ERR1913185.253332__1.253332	46506__B0NUC3__SAMN05444283_1019
ERR1913185.253545__1.253545	216816__D6DC91__DXC72_07710
ERR1913185.253554__1.253554	39491__A0A395ZFH9__ERS852417_01193
ERR1913185.253688__1.253688	39491__A0A396FF66__DXD95_01810
ERR1913185.253828__1.253828	820__R9HXK9__DXB62_08265
ERR1913185.253867__1.253867	47678__R5U9M8__CGC64_07665
ERR1913185.253845__1.253845	1262882__R5MMY3__BN519_00724
ERR1913185.253939__1.253939	818__A0A396EA53__ERS852557_04332
ERR1913185.254057__1.254057	1262911__R6H054__BN557_00908
ERR1913185.254140__1.254140	39491__A0A396FBR6__DXC13_08575
ERR1913185.254208__1.254208	100886__E2NR09__CATMIT_01012
ERR1913185.254196__1.254196	187327__G4Q2N2__Acin_1468
ERR1913185.254267__1.254267	1262882__R5MT42__BN519_01729
ERR1913185.254354__1.254354	1680__A0A0C2VBJ4__birA
ERR1913185.254365__1.254365	1262954__R7F9E8__BN611_01218
ERR1913185.254695__1.254695	1262954__R7FDR2__BN611_01878
ERR1913185.254834__1.254834	39491__A0A395UZZ5__htpG_1
ERR1913185.254877__1.254877	454154__G5SVT0__HMPREF9441_03497
ERR1913185.254927__1.254927	39491__A0A395V297__EUR_01010
ERR1913185.255006__1.255006	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913185.255034__1.255034	46506__A0A120A3P8__SAMN05444283_1172
ERR1913185.255104__1.255104	626929__A0A1Y4JTW9__B5F97_02770
ERR1913185.255185__1.255185	39491__C4ZAT2__ERE_28440
