ERR1913259.103__1.103	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913259.174089__1.174089	39492__D4JVT0__EUBSIR_00059
ERR1913259.174104__1.174104	216816__A0A133LQN7__BL15B_00780
ERR1913259.174147__1.174147	239935__R6JAS2__CXU02_10725
ERR1913259.174544__1.174544	1680__A0A174BEE7__BSTER_1311
ERR1913259.174643__1.174643	39491__A0A395ZBW8__DXC13_08840
ERR1913259.175153__1.175153	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913259.175242__1.175242	1262911__R6GR13__BN557_00618
ERR1913259.175380__1.175380	239935__A0A2N8IHY1__CXU06_00035
ERR1913259.175678__1.175678	239935__A0A2N8IV82__CXT99_06735
ERR1913259.175762__1.175762	2173__A0A1D2WQU0__METSMIALI_00792
ERR1913259.175775__1.175775	88431__A0A174G8Q6__ERS852526_02711
ERR1913259.175836__1.175836	1262911__R6GR13__BN557_00618
ERR1913259.175871__1.175871	1262848__R6VEX2__BN818_01244
ERR1913259.175820__1.175820	1550024__A0A3B9WI04__ASJ35_06105
ERR1913259.175968__1.175968	28117__B0MWH8__BHV66_01330
ERR1913259.176090__1.176090	239935__A0A2N8HMQ8__pgsA
ERR1913259.176041__1.176041	116085__D4JC59__DW747_00225
ERR1913259.176102__1.176102	28117__B0N007__BHV66_10275
ERR1913259.176146__1.176146	39491__A0A395ZG74__licR
ERR1913259.176300__1.176300	239935__A0A2N8IRH4__CXT92_05605
ERR1913259.176315__1.176315	39485__A0A175A023__yhhT
ERR1913259.176555__1.176555	39491__A0A395V5R3__EUBREC_1883
ERR1913259.176806__1.176806	239935__A0A2N8I3Z7__CXU05_10555
ERR1913259.176819__1.176819	1897011__A0A1Q6RE52__BHW41_04690
ERR1913259.176829__1.176829	1550024__A0A0W7TT94__TQ39_11150
ERR1913259.176884__1.176884	1681__E3EQA8__LMG11582_0199
ERR1913259.177010__1.177010	357276__I9R4T1__IY41_06800
ERR1913259.177018__1.177018	116085__D4J3T3__DW747_12460
ERR1913259.177106__1.177106	1262924__R7HKX0__BN585_01279
ERR1913259.177114__1.177114	1680__R5GZF2__DXC60_01925
ERR1913259.177148__1.177148	1680__A0A0B5BME4__DXD63_05015
ERR1913259.177206__1.177206	387090__S0F7Y3__BACCOPRO_02028
ERR1913259.177398__1.177398	39491__A0A395ZBW8__DXC13_08840
ERR1913259.177409__1.177409	239935__A0A2N8HT18__CXT93_06135
ERR1913259.177441__1.177441	39491__A0A2U2EED4__ERS852580_01584
ERR1913259.177463__1.177463	301301__A0A395V8I9__ERS852391_04231
ERR1913259.177503__1.177503	1681__R6GK25__DXD45_08865
ERR1913259.177539__1.177539	2173__A0A1D2WWF3__METSMIALI_00379
ERR1913259.177718__1.177718	28025__A0A315RY44__AL0646_0492
ERR1913259.177794__1.177794	1262992__R5D749__BN795_01063
ERR1913259.178032__1.178032	39491__A0A396FEW6__T1815_18721
ERR1913259.178071__1.178071	1262848__R6U9D6__BN818_01628
ERR1913259.178243__1.178243	1680__A0A374QDL4__LMG18897_0432
ERR1913259.178254__1.178254	2173__A5ULD0__BK798_05990
ERR1913259.178448__1.178448	239935__A0A2N8HSC0__CXU06_05505
ERR1913259.178872__1.178872	239935__A0A3F3K9J9__DEF40_00940
ERR1913259.179241__1.179241	216816__V6XY04__APK78_02285
ERR1913259.179507__1.179507	1262848__R6V8K7__BN818_00573
ERR1913259.179666__1.179666	1550024__G9RNX0__ASJ35_11770
ERR1913259.179790__1.179790	39491__R6TNE7__T1815_09811
ERR1913259.179795__1.179795	239935__B2UQP8__CXU15_01110
ERR1913259.180131__1.180131	239935__A0A2N8HT44__CXT84_11035
ERR1913259.180184__1.180184	2173__A0A1D2WT64__METSMIALI_01143
ERR1913259.180282__1.180282	39488__A0A173T8Z7__hemZ_2
ERR1913259.180527__1.180527	820__A0A174A6K0__M093_0079
ERR1913259.180578__1.180578	1550024__A0A0D8IWH3__ASJ35_08185
ERR1913259.180839__1.180839	239935__R6J5N6__CXT99_10770
ERR1913259.180769__1.180769	116085__D4J803__DW747_06090
ERR1913259.180967__1.180967	88431__A0A174EDE9__yxeP_2
ERR1913259.180973__1.180973	907__S7HRR9__AZ49_10695
ERR1913259.181009__1.181009	39488__C0F0P7__ERS852578_02651
ERR1913259.181175__1.181175	1262911__R6GS70__BN557_00854
ERR1913259.181217__1.181217	1263107__GCA_000436995.1_00132
ERR1913259.181403__1.181403	1680__A0A087DLC6__C8077_00815
ERR1913259.181450__1.181450	820__R7E9Z4__DXC68_06065
ERR1913259.181602__1.181602	1550024__G9RPG8__TQ39_05515
ERR1913259.181615__1.181615	1150298__A0A174PZ15__lytA
ERR1913259.181618__1.181618	1262848__R6TXS3__BN818_00318
ERR1913259.181641__1.181641	39492__A0A174ZHV5__msbA_2
ERR1913259.181775__1.181775	239935__A0A2N8HPS5__Amuc_0950
ERR1913259.181817__1.181817	267818__A0A0R1PC76__WANG_1654
ERR1913259.181835__1.181835	40518__R5E642__RBATCC27255_00729
ERR1913259.182351__1.182351	1262743__R5C054__BN727_01980
ERR1913259.182466__1.182466	1150298__R7JUS2__ERS852498_02193
ERR1913259.182486__1.182486	39491__R6TQ09__DXC13_03010
ERR1913259.182719__1.182719	39492__D4JRV7__EUBSIR_01513
ERR1913259.182723__1.182723	649756__A0A174FRG0__blaR1_3
ERR1913259.182888__1.182888	39491__A0A395UYL9__ERS852417_00624
ERR1913259.182991__1.182991	28025__D3R3A6__DD702_08765
ERR1913259.183019__1.183019	1680__A7A7Z9__AAX71_05385
ERR1913259.183154__1.183154	1262924__R7HM98__BN585_01697
ERR1913259.183217__1.183217	39491__C4Z872__LD38_07250
ERR1913259.183242__1.183242	1681__I3WGI8__DD715_03705
ERR1913259.183316__1.183316	246787__A0A3D6AZ54__BcellWH2_03646
ERR1913259.183523__1.183523	820__A0A3E4RU03__M093_0563
ERR1913259.183608__1.183608	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913259.183661__1.183661	301301__A0A395V700__RHOM_03405
ERR1913259.183714__1.183714	357276__B6W5Q9__HMPREF1063_03125
ERR1913259.183901__1.183901	649756__A0A173S795__DO83_12945
ERR1913259.184174__1.184174	39492__D4JTF2__mutS2
ERR1913259.184271__1.184271	2173__A0A1D2WUQ6__METSMIF1_02304
ERR1913259.184302__1.184302	216816__A0A374SVM3__BLSL_0492
ERR1913259.184328__1.184328	1381__group_853
ERR1913259.184475__1.184475	39491__A0A395ZDC6__addB
ERR1913259.184519__1.184519	328813__A0A1Y3QRL5__B5G41_11625
ERR1913259.184569__1.184569	1681__U2BXF8__DXC70_05435
ERR1913259.184576__1.184576	1680__R5GKP2__DXD60_06200
ERR1913259.184615__1.184615	1897011__A0A1Q6RG62__BHW41_02455
ERR1913259.184770__1.184770	40518__R5DS23__DXD86_01715
ERR1913259.184965__1.184965	1680__A0A174BEE7__BSTER_1311
ERR1913259.184989__1.184989	1262924__R7HKZ9__BN585_01304
ERR1913259.185186__1.185186	1262924__R7HQ03__BN585_01295
ERR1913259.185193__1.185193	40520__R7D6X4__addA
ERR1913259.185383__1.185383	552398__F4XCR9__HMPREF0866_01636
ERR1913259.185430__1.185430	884684__GCA_002892425.1_01408
ERR1913259.185658__1.185658	239935__A0A2N8ITG2__Amuc_0335
ERR1913259.185682__1.185682	39491__A0A396FKG5__DXB76_07455
ERR1913259.185711__1.185711	1550024__G9RZG0__ASJ35_05540
ERR1913259.185937__1.185937	45851__R5LRP4__BUTYVIB_00447
ERR1913259.185984__1.185984	1262882__R5N2U9__BN519_01221
ERR1913259.185985__1.185985	239935__A0A2N8IRL2__CXU06_01170
ERR1913259.186035__1.186035	1262848__R6V8P9__BN818_00594
ERR1913259.186096__1.186096	1897011__A0A1Q6REX7__BHW41_04490
ERR1913259.186253__1.186253	820__R7E9Z4__DXC68_06065
ERR1913259.186403__1.186403	1262911__R6GHG8__BN557_01301
ERR1913259.186426__1.186426	1150298__R7JT48__gsiA_6
ERR1913259.186658__1.186658	1680__R5GKP2__DXD60_06200
ERR1913259.186758__1.186758	74426__pflB_2
ERR1913259.186763__1.186763	1263107__GCA_000436995.1_00139
ERR1913259.186974__1.186974	1263107__GCA_000436995.1_00197
ERR1913259.187173__1.187173	1150298__A0A174E950__ERS852498_02096
ERR1913259.187197__1.187197	1680__A0A1X3A951__AL0462_1583
ERR1913259.187343__1.187343	1681__A0A286TBJ5__LMG13195_1856
ERR1913259.187348__1.187348	214856__A0A174EQR4__rsmA
ERR1913259.187416__1.187416	33043__A0A173XM20__ERS852445_01573
ERR1913259.187769__1.187769	458033__GCA_001482755.1_02203
ERR1913259.187876__1.187876	39491__C4ZHS4__EUR_24420
ERR1913259.187895__1.187895	39491__A0A396FKG5__DXB76_07455
ERR1913259.187935__1.187935	1262761__R6RU22__BN606_01110
ERR1913259.188014__1.188014	1262924__R7HL71__BN585_01341
ERR1913259.188118__1.188118	239935__A0A2N8HHY4__DEF40_10850
ERR1913259.188567__1.188567	39486__G1WX25__DXD84_13390
ERR1913259.188867__1.188867	216816__B7GPH6__DXC74_08225
ERR1913259.188956__1.188956	487174__K0WUM9__HMPREF9448_02608
ERR1913259.189183__1.189183	39488__C0EVC4__ERS852578_00574
ERR1913259.189216__1.189216	458033__GCA_001482755.1_02203
ERR1913259.189242__1.189242	239935__A0A2N8I694__CXU04_06245
ERR1913259.189312__1.189312	1680__A0A174BEE7__BSTER_1311
ERR1913259.189554__1.189554	1262848__R6UEX2__BN818_00035
ERR1913259.189688__1.189688	45851__D4RZ69__BUTYVIB_01134
ERR1913259.189754__1.189754	39491__A0A395UZ89__DXB72_12805
ERR1913259.190091__1.190091	1680__A0A0B5BKZ3__DXD60_01450
ERR1913259.190228__1.190228	1550024__A0A3B9WI04__ASJ35_06105
ERR1913259.190286__1.190286	301301__A0A395V407__ERS852391_02230
ERR1913259.190288__1.190288	39491__A0A395ZG74__licR
ERR1913259.190362__1.190362	39491__A0A395V5L2__ERE_28270
ERR1913259.190402__1.190402	1897011__A0A1Q6REP0__BHW41_04040
ERR1913259.190539__1.190539	39491__C4Z9K7__EUBREC_0050
ERR1913259.190704__1.190704	1263006__R6LRF6__BN515_00540
ERR1913259.190898__1.190898	116085__D4J6U8__DW747_08385
ERR1913259.190919__1.190919	239935__A0A2N8HT18__CXT93_06135
ERR1913259.190960__1.190960	39492__D4JWA3__ERS852540_01332
ERR1913259.191036__1.191036	28025__D3R4U9__BGL50_03720
ERR1913259.191193__1.191193	28025__D3R7T8__BAAA27673_01060
ERR1913259.191209__1.191209	1681__E3EQP9__DXD45_08580
ERR1913259.191338__1.191338	45851__R5LVD9__BHV86_05140
ERR1913259.191441__1.191441	39485__C4Z5L8__ERS852490_00665
ERR1913259.191789__1.191789	1262924__R7HQ14__BN585_00419
ERR1913259.191800__1.191800	28118__A0A3D4ZFP4__DHW44_00270
ERR1913259.191855__1.191855	1262848__R6VK39__BN818_01786
ERR1913259.191899__1.191899	39491__A0A0M6WWT1__dus_2
ERR1913259.192059__1.192059	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913259.192119__1.192119	1262736__R5Y2D8__BN496_00132
ERR1913259.192151__1.192151	116085__D4J6V9__DW747_08450
ERR1913259.192439__1.192439	28117__B0MZ50__ALIPUT_02424
ERR1913259.192586__1.192586	1550024__A0A0W7TN61__ASJ35_14460
ERR1913259.192680__1.192680	712124__F9EC63__HMPREF9062_0035
ERR1913259.192958__1.192958	39491__C4ZHS4__EUR_24420
ERR1913259.193279__1.193279	1262924__R7HRW9__BN585_00665
ERR1913259.193423__1.193423	239935__A0A2N8HAQ1__DEF40_05290
ERR1913259.193541__1.193541	39491__A0A395V1R3__T1815_08181
ERR1913259.193745__1.193745	357276__A0A0P0M2G3__BACDOR_03913
ERR1913259.193711__1.193711	216816__A0A1V8RHV4__DXD44_06445
ERR1913259.193955__1.193955	1308__Q5M5E4__STER_0585
ERR1913259.193969__1.193969	1263030__R5CW77__BN705_01278
ERR1913259.194055__1.194055	39491__A0A3E4YFT8__DXB69_10940
ERR1913259.194188__1.194188	239935__A0A2N8HAQ1__DEF40_05290
ERR1913259.194324__1.194324	40518__R5E4Y8__RBATCC27255_01448
ERR1913259.194581__1.194581	39491__A0A396FRE7__EUR_27520
ERR1913259.195135__1.195135	1308__A0A110ZT72__CV716_00080
ERR1913259.195197__1.195197	1262736__R5Y2D8__BN496_00132
ERR1913259.195567__1.195567	1680__A0A3E4SB79__BAD_1517
ERR1913259.195580__1.195580	1262777__R5W3H1__BN512_01087
ERR1913259.195951__1.195951	1965542__A0A1Y4V077__B5E53_15785
ERR1913259.196420__1.196420	649756__A0A173TPW3__atpF_2
ERR1913259.196468__1.196468	40520__A0A174Q8Q4__DXB81_11370
ERR1913259.196515__1.196515	301301__A0A395V8C2__rhaR_3
ERR1913259.196616__1.196616	39491__A0A173QT73__alaS_2
ERR1913259.196710__1.196710	301301__A0A395V3C0__mcpC_6
ERR1913259.196804__1.196804	216816__A0A1S2VTC3__BLIC_e00847
ERR1913259.197011__1.197011	1262848__R6U2G7__BN818_00847
ERR1913259.196989__1.196989	1263030__R5CRR4__BN705_00100
ERR1913259.197247__1.197247	239935__A0A2N8IUQ8__CXU09_01665
ERR1913259.197323__1.197323	39491__A0A0M6WPN4__DXB69_06325
ERR1913259.197566__1.197566	28117__B0MXR1__BHV66_08035
ERR1913259.198135__1.198135	1680__A0A374QDL4__LMG18897_0432
ERR1913259.198322__1.198322	1150298__R7JV71__ERS852498_00755
ERR1913259.198378__1.198378	88431__A0A174MAX1__ERS852423_01871
ERR1913259.198534__1.198534	239935__A0A2N8HT44__CXT84_11035
ERR1913259.198754__1.198754	626929__R6L473__HMPREF9445_00229
ERR1913259.198775__1.198775	33043__D5HEK8__lytR_1
ERR1913259.199036__1.199036	74426__nifJ
ERR1913259.199208__1.199208	820__A0A3E4WCX3__C801_02709
ERR1913259.199309__1.199309	40520__A5ZSL9__DXC87_07025
ERR1913259.199356__1.199356	1263107__GCA_000436995.1_00002
ERR1913259.199363__1.199363	74426__rpsS
ERR1913259.199717__1.199717	28052__R7NAP6__ERS852499_01969
ERR1913259.199720__1.199720	39486__B0G468__DXB12_12780
ERR1913259.199663__1.199663	2173__A0A1D2WSZ3__Msm_1724
ERR1913259.199699__1.199699	39491__A0A173VH71__ERS852497_01827
ERR1913259.199852__1.199852	460384__A0A1I0B5R4__SAMN05216313_101335
ERR1913259.200064__1.200064	187327__G4Q2R0__ACDG_01369
ERR1913259.200087__1.200087	853__A0A3E2U7E6__ERS852582_01640
ERR1913259.200383__1.200383	239935__A0A2N8HAQ1__DEF40_05290
ERR1913259.200457__1.200457	216816__A0A133LQN7__BL15B_00780
ERR1913259.200692__1.200692	853__A0A2A7B1Y7__C7K05_11930
ERR1913259.200756__1.200756	116085__D4J832__DW747_06245
ERR1913259.200784__1.200784	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913259.200869__1.200869	487174__K0X1V7__DIT83_03020
ERR1913259.200941__1.200941	1263107__GCA_000436995.1_00124
ERR1913259.200888__1.200888	1262919__R5PRA2__BN465_00796
ERR1913259.201029__1.201029	116085__D4JBR5__DW747_01030
ERR1913259.201097__1.201097	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913259.201318__1.201318	1535__A7VYJ0__CLOLEP_03668
ERR1913259.201320__1.201320	239935__R7DVL7__CXT93_01180
ERR1913259.201417__1.201417	2173__A0A1D2WWE0__METSMIF1_03349
ERR1913259.201552__1.201552	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913259.201581__1.201581	1262911__R6HGT5__BN557_01453
ERR1913259.201729__1.201729	301301__A0A395V7U1__ycdT
ERR1913259.201756__1.201756	1680__A0A2R4G1K8__BBMN23_0315
ERR1913259.201773__1.201773	1150298__A0A174HXS4__ERS852498_00503
ERR1913259.201935__1.201935	39491__C4ZHS4__EUR_24420
ERR1913259.201957__1.201957	1681__E4VB47__IF1010_0583
ERR1913259.201968__1.201968	1683__C4FEM4__BIANG_0131
ERR1913259.202189__1.202189	1897011__A0A1Q6RF88__BHW41_03295
ERR1913259.203131__1.203131	1262848__R6UMZ1__BN818_01403
ERR1913259.203191__1.203191	1897011__A0A1Q6RG62__BHW41_02455
ERR1913259.203281__1.203281	39491__A0A396FP46__cobD_2
ERR1913259.203425__1.203425	410072__A0A174IQI6__ERS852574_01030
ERR1913259.203428__1.203428	39491__A0A173SH34__EUR_24920
ERR1913259.203433__1.203433	357276__A0A0M1W657__HMPREF1064_04629
ERR1913259.204032__1.204032	239935__A0A2N8ITX2__CXT86_11265
ERR1913259.204053__1.204053	1262882__R5MIQ8__BN519_01036
ERR1913259.204309__1.204309	39491__A0A395V297__EUR_01010
ERR1913259.204359__1.204359	1550024__G9RXY7__TQ39_00100
ERR1913259.204439__1.204439	454154__G5SQ56__HMPREF9441_01493
ERR1913259.204435__1.204435	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913259.204931__1.204931	1262924__R7HT26__BN585_00306
ERR1913259.204995__1.204995	239935__A0A2N8HL50__CXT98_09135
ERR1913259.205001__1.205001	821__C6ZAA5__ERS852556_00403
ERR1913259.205019__1.205019	39491__A0A3E4E7C5__DXB69_03255
ERR1913259.205026__1.205026	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913259.205111__1.205111	1263107__GCA_000436995.1_00033
ERR1913259.205235__1.205235	28116__E5C3L8__DXF98_06270
ERR1913259.205170__1.205170	28052__A0A174MGP2__lyc_2
ERR1913259.205401__1.205401	39491__C4ZF05__vpr
ERR1913259.205406__1.205406	1263011__R6EM20__BN553_01816
ERR1913259.205668__1.205668	387090__S0F8B2__BACCOPRO_02129
ERR1913259.205675__1.205675	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913259.205915__1.205915	292800__A0A174V693__HMPREF9460_03050
ERR1913259.205976__1.205976	907__G0VR95__MELS_0117
ERR1913259.205978__1.205978	40518__R5DUG7__sbcC
ERR1913259.206108__1.206108	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913259.206209__1.206209	216816__B3DNW2__BL171B_07980
ERR1913259.206389__1.206389	28026__A0A072MTT5__BPS1E_1554
ERR1913259.206639__1.206639	1680__A0A1V8QAM8__BIFADO_02272
ERR1913259.206655__1.206655	360807__A0A173WJE3__mcp4_4
ERR1913259.206908__1.206908	39491__A0A395ZHH5__ERS852497_02076
ERR1913259.207060__1.207060	853__A0A3E2V168__FAEPRAM212_00929
ERR1913259.207009__1.207009	39488__A0A285PUH7__ERS852450_00520
ERR1913259.207084__1.207084	1262848__R6U2F0__BN818_00838
ERR1913259.207089__1.207089	1262911__R6H174__BN557_01246
ERR1913259.207228__1.207228	28025__D3R7B4__CDD75_01389
ERR1913259.207247__1.207247	357276__C3RDQ5__HMPREF1065_03827
ERR1913259.207725__1.207725	40518__R5DUU0__DXD93_03985
ERR1913259.208048__1.208048	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913259.208299__1.208299	40520__A5ZRI6__DXC87_12175
ERR1913259.208329__1.208329	649756__A0A174FNS3__trkA
ERR1913259.208377__1.208377	116085__D4J8I1__DW747_08935
ERR1913259.208369__1.208369	39491__A0A395V5R3__EUBREC_1883
ERR1913259.208440__1.208440	239935__A0A2N8I7W6__CXT90_04245
ERR1913259.208616__1.208616	853__A0A3E2U7E6__ERS852582_01640
ERR1913259.208715__1.208715	1897011__A0A1Q6RE54__BHW41_04745
ERR1913259.208672__1.208672	28117__B0MTY2__BHV66_06485
ERR1913259.208705__1.208705	1263107__GCA_000436995.1_00143
ERR1913259.208817__1.208817	28052__A0A174KNE1__ptsI_2
ERR1913259.208918__1.208918	1680__R5GZJ8__BSTER_1195
ERR1913259.208934__1.208934	74426__rpoB
ERR1913259.209071__1.209071	40520__A0A174Q336__RUMOBE_02539
ERR1913259.209298__1.209298	1897011__A0A1Q6RDI3__BHW41_05415
ERR1913259.209611__1.209611	820__I9J701__ERS852510_01809
ERR1913259.209628__1.209628	1263109__GCA_000438135.1_00299
ERR1913259.209687__1.209687	1262848__R6U0K1__BN818_00616
ERR1913259.209745__1.209745	884684__GCA_002892425.1_01408
ERR1913259.209788__1.209788	1262761__R6RU22__BN606_01110
ERR1913259.210091__1.210091	239935__A0A2N8HAQ1__DEF40_05290
ERR1913259.210470__1.210470	2173__A0A1D2WU59__Msm_1444
ERR1913259.210898__1.210898	301301__A0A395VA97__RHOM_13930
ERR1913259.211026__1.211026	239935__A0A139TPD4__CXT86_06450
ERR1913259.211237__1.211237	1263107__GCA_000436995.1_00100
ERR1913259.211672__1.211672	1550024__G9RZG5__TQ39_11180
ERR1913259.211712__1.211712	39491__A0A3E4YFT8__DXB69_10940
ERR1913259.211771__1.211771	33039__A0A174ZHW3__ERS852424_00452
ERR1913259.211860__1.211860	39491__A0A395ZG74__licR
ERR1913259.212018__1.212018	357276__A0A0K2HDV9__DXD47_02600
ERR1913259.212067__1.212067	239935__A0A2N8J2P6__ADH72_06730
ERR1913259.212145__1.212145	1262736__R5Y2D8__BN496_00132
ERR1913259.212310__1.212310	28052__R7NHJ5__ERS852499_01501
ERR1913259.212594__1.212594	147206__GCF_000156215.1_00920
ERR1913259.212617__1.212617	39491__A0A396FNY7__LD38_16155
ERR1913259.212629__1.212629	28052__A0A174H9I6__ERS852451_00172
ERR1913259.212967__1.212967	39491__A0A395UUN5__EUBREC_0291
ERR1913259.213196__1.213196	1680__A0A1X3A951__AL0462_1583
ERR1913259.213201__1.213201	88431__A0A3D0EYE9__rafA
ERR1913259.213414__1.213414	40520__A0A395XDY5__ERS852394_00913
ERR1913259.213637__1.213637	1681__A0A0H3E849__BBJK_01758
ERR1913259.213643__1.213643	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913259.213678__1.213678	418240__C6J8A2__ERS852478_02512
ERR1913259.213993__1.213993	246787__A0A3D6AXJ7__BACCELL_02379
ERR1913259.214151__1.214151	1150298__A0A174HHW8__yhbU_1
ERR1913259.214194__1.214194	28117__R7JH62__BHV66_05735
ERR1913259.214195__1.214195	1262848__R6U4T9__BN818_00690
ERR1913259.214293__1.214293	40520__R7D3V1__RUMOBE_00518
ERR1913259.214569__1.214569	1262848__R6U4T9__BN818_00690
ERR1913259.214910__1.214910	384638__B7APR0__BACPEC_00666
ERR1913259.214973__1.214973	1262736__R5YZ74__BN496_01798
ERR1913259.215075__1.215075	1263000__R5EMZ8__BN466_00707
ERR1913259.215121__1.215121	1150298__A0A174AP40__ERS852535_01165
ERR1913259.215456__1.215456	1262886__R6QI91__BN563_00800
ERR1913259.215470__1.215470	39491__A0A395ZM93__DXD13_03490
ERR1913259.215601__1.215601	301301__A0A395VCJ3__cbiT
ERR1913259.215613__1.215613	39491__A0A3E4YFT8__DXB69_10940
ERR1913259.215654__1.215654	1150298__A0A174DX06__ERS852498_00491
ERR1913259.215719__1.215719	823__A0A078SLK0__ERS852513_02755
ERR1913259.215805__1.215805	39491__A0A395ZG74__licR
ERR1913259.215806__1.215806	301301__A0A395V8E1__RHOM_11160
ERR1913259.215983__1.215983	40518__R5E304__thiT
ERR1913259.215987__1.215987	116085__D4JAK5__DW747_10745
ERR1913259.216001__1.216001	1965538__A0A1Y4W1Z1__B5E43_11860
ERR1913259.216252__1.216252	1262777__R5VQY2__BN512_00997
ERR1913259.216463__1.216463	630129__A0A3E5HJB5__AH68_08040
ERR1913259.216487__1.216487	74426__asnS
ERR1913259.216542__1.216542	1262924__R7HPX8__BN585_00310
ERR1913259.216554__1.216554	1262924__R7HTA4__BN585_00391
ERR1913259.216662__1.216662	74426__rpoB
ERR1913259.216811__1.216811	39491__A0A395UYA6__EUBREC_0408
ERR1913259.216956__1.216956	1680__A7A7Z9__AAX71_05385
ERR1913259.216968__1.216968	116085__D4J6X5__DW747_08535
ERR1913259.217059__1.217059	1263030__R5CTB6__BN705_00381
ERR1913259.217108__1.217108	39491__A0A395ZGE4__ERS852497_01269
ERR1913259.217148__1.217148	1262761__R6QYZ5__BN606_00402
ERR1913259.217175__1.217175	1681__A0A286TB37__DXD31_01205
ERR1913259.217214__1.217214	28117__B0MYI9__BHV66_05415
ERR1913259.217290__1.217290	626929__F3PF45__B5F24_16795
ERR1913259.217316__1.217316	2173__A0A1D2WRY2__Msm_1736
ERR1913259.217420__1.217420	253839__D9VQ27__SSNG_03091
ERR1913259.217684__1.217684	649756__B0NZY6__CL2_25770
ERR1913259.217702__1.217702	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913259.217879__1.217879	220685__K6D3T0__BABA_13065
ERR1913259.217924__1.217924	28025__A0A315RYI7__BASA_0831
ERR1913259.217991__1.217991	301301__A0A395V8G6__RHOM_11005
ERR1913259.217996__1.217996	45851__D4RY81__BUTYVIB_00786
ERR1913259.217999__1.217999	74426__sigA
ERR1913259.218032__1.218032	853__A0A3E2U7E6__ERS852582_01640
ERR1913259.218213__1.218213	239935__A0A2N8HW65__CXU09_08515
ERR1913259.218355__1.218355	1262942__R7QX36__BN520_01383
ERR1913259.218364__1.218364	74426__nifJ
ERR1913259.218413__1.218413	39491__C4ZF05__vpr
ERR1913259.218709__1.218709	1550024__G9RX51__TQ39_04720
ERR1913259.218806__1.218806	88431__A0A3D0F0I7__DORLON_00967
ERR1913259.218813__1.218813	1680__A0A374QDL4__LMG18897_0432
ERR1913259.219024__1.219024	39491__A0A395ZJZ1__LD38_01870
ERR1913259.219053__1.219053	45851__D4RZK8__BUTYVIB_01274
ERR1913259.219152__1.219152	357276__B6W5Q9__HMPREF1063_03125
ERR1913259.219225__1.219225	301301__A0A395VA49__RHOM_13895
ERR1913259.219317__1.219317	1262924__R7HML0__BN585_01508
ERR1913259.219330__1.219330	626940__E8LCE0__BHW43_01670
ERR1913259.219335__1.219335	1262924__R7HTA4__BN585_00391
ERR1913259.219530__1.219530	301301__G2SZN8__RHOM_00825
ERR1913259.220048__1.220048	1965650__A0A1Y3VA28__B5G16_11230
ERR1913259.220367__1.220367	907__G0VNX0__C6362_06250
ERR1913259.220447__1.220447	853__A0A174AML0__FPR_08640
ERR1913259.220459__1.220459	39491__A0A395ZJZ1__LD38_01870
ERR1913259.220558__1.220558	1263030__R5D850__BN705_01161
ERR1913259.220603__1.220603	1262848__R6UFE6__BN818_00496
ERR1913259.220604__1.220604	204516__U6REI9__HMPREF1534_02357
ERR1913259.220634__1.220634	1262924__R7HLJ5__BN585_01491
ERR1913259.220723__1.220723	563769__GeneID:6973158
ERR1913259.220844__1.220844	1308__A0A2X3U5B4__MNA02_088
ERR1913259.221101__1.221101	1680__A0A173Y6N7__yhaH
ERR1913259.221370__1.221370	1680__R5GMB5__AD0028_1137
ERR1913259.221912__1.221912	39486__G1WPN2__DORFOR_01095
ERR1913259.221968__1.221968	28117__B0MU76__ALIPUT_00202
ERR1913259.222084__1.222084	1550024__A0A3B9WEL2__TQ39_11090
ERR1913259.222062__1.222062	1550024__A0A0D8J1Q0__ASJ35_04495
ERR1913259.222054__1.222054	33039__A0A173W0K9__ERS852502_02246
ERR1913259.222143__1.222143	39491__A0A396FKG5__DXB76_07455
ERR1913259.222380__1.222380	45851__D4RXA4__BUTYVIB_00455
ERR1913259.222656__1.222656	1680__A0A173Y6N7__yhaH
ERR1913259.223130__1.223130	1262924__R7HT04__BN585_00021
ERR1913259.223183__1.223183	216816__A0A133L1E2__ptsP
ERR1913259.223196__1.223196	267818__A0A0R1PK01__SAMN02983011_01117
ERR1913259.223326__1.223326	1680__A0A1X3A951__AL0462_1583
ERR1913259.223684__1.223684	1262736__R5Z0V0__BN496_00387
ERR1913259.223793__1.223793	2173__A0A1D2WWU1__METSMIALI_01068
ERR1913259.223927__1.223927	418240__A0A173WPF0__spoIIIAE
ERR1913259.223952__1.223952	39491__A0A395UYA6__EUBREC_0408
ERR1913259.223960__1.223960	45851__D4RWS6__BHV86_06350
