ERR1913271.7__1.7	1628085__A0A396QTT4__C7386_103139
ERR1913271.238844__1.238844	216816__B7GTP7__BLIC_h02039
ERR1913271.239215__1.239215	39485__A0A174Z3B9__ERS852492_00779
ERR1913271.239351__1.239351	487174__K0XL35__DDY40_11955
ERR1913271.239484__1.239484	487174__K0X591__DDY40_01805
ERR1913271.239514__1.239514	818__Q8A0R7__ERS852461_00039
ERR1913271.239913__1.239913	818__A0A0N7I9M6__Btheta7330_00939
ERR1913271.239980__1.239980	357276__I9QBT7__BSEG_03340
ERR1913271.240170__1.240170	39485__R5ZPP8__EUBELI_20334
ERR1913271.240218__1.240218	102148__E7MMA3__HMPREF9430_00703
ERR1913271.240484__1.240484	818__A0A139JVX2__ERS852557_01101
ERR1913271.240738__1.240738	1262911__R6HMT5__BN557_00797
ERR1913271.240874__1.240874	214856__A0A174A1J3__ERS852447_01000
ERR1913271.241057__1.241057	649756__E5VM13__CL2_26690
ERR1913271.241213__1.241213	29361__B6FKH5__CLONEX_00621
ERR1913271.241299__1.241299	28118__F9Z5N6__SAMEA44545918_01718
ERR1913271.241361__1.241361	166486__D4KWM9__ROSINTL182_06036
ERR1913271.241503__1.241503	818__A0A0N7I9H8__ERS852461_00040
ERR1913271.241599__1.241599	218538__C9LM11__GCWU000321_00543
ERR1913271.241834__1.241834	28118__F9Z5U0__sfp
ERR1913271.242245__1.242245	328814__GCA_004558275.1_01745
ERR1913271.242301__1.242301	74426__infB
ERR1913271.242324__1.242324	610243__A0A060QJF7__ASAP_2763
ERR1913271.242452__1.242452	166486__D4L0J8__ROSINTL182_08089
ERR1913271.242522__1.242522	39485__A0A174YVS4__EUBELI_00620
ERR1913271.242533__1.242533	818__A0A1H7L4U6__BSIG_3287
ERR1913271.242633__1.242633	166486__D4KY48__gmr_5
ERR1913271.242668__1.242668	649756__L1Q8U4__ERS852571_01677
ERR1913271.242794__1.242794	166486__D4KNM9__ERS852572_00072
ERR1913271.242885__1.242885	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.242944__1.242944	166486__C7GCP5__ROSINTL182_07683
ERR1913271.242970__1.242970	1550024__G9RP69__ASJ35_11625
ERR1913271.243130__1.243130	166486__C7GCP5__ROSINTL182_07683
ERR1913271.243236__1.243236	39490__A0A2V1JTH1__LG34_14175
ERR1913271.243246__1.243246	214856__A0A174ZJU0__ERS852559_00619
ERR1913271.243487__1.243487	166486__R6AY46__ROSINTL182_06128
ERR1913271.243524__1.243524	166486__D4L284__ERS852572_01651
ERR1913271.243541__1.243541	166486__D4L255__mcp4_5
ERR1913271.243707__1.243707	166486__D4L0G5__ROSINTL182_08176
ERR1913271.243911__1.243911	1262873__R6XN34__BN605_01173
ERR1913271.243964__1.243964	818__A0A3E5HEU1__NCTC10582_02468
ERR1913271.243970__1.243970	1262992__R5D1X3__BN795_00176
ERR1913271.244054__1.244054	39490__A0A173S9C2__LG34_12210
ERR1913271.244078__1.244078	818__A0A3E5GXM2__BJP75_025230
ERR1913271.244128__1.244128	28118__R6F3G8__NCTC10826_00049
ERR1913271.244250__1.244250	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913271.244394__1.244394	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.244418__1.244418	384639__GCA_003096855.1_00996
ERR1913271.244426__1.244426	649756__D4MUH8__tufA
ERR1913271.244442__1.244442	818__Q8A0R7__ERS852461_00039
ERR1913271.244634__1.244634	39496__A5Z5I2__EUBVEN_00963
ERR1913271.244669__1.244669	818__D7IK38__ERS852430_03017
ERR1913271.244751__1.244751	817__Q64Q09__DXB79_11395
ERR1913271.245302__1.245302	821__A0A395UNT8__DXD64_15275
ERR1913271.245399__1.245399	216816__B7GP87__HMPREF0177_01055
ERR1913271.245421__1.245421	487174__R5EP60__DIT83_09045
ERR1913271.245440__1.245440	166486__D4KRN9__ERS852572_01822
ERR1913271.245548__1.245548	28117__B0MXR1__BHV66_08035
ERR1913271.245638__1.245638	166486__A0A173V5I7__ERS852572_02640
ERR1913271.245704__1.245704	33039__A0A173VTT4__frdB_1
ERR1913271.245744__1.245744	487174__K0X1D9__HMPREF9448_00919
ERR1913271.245769__1.245769	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.246056__1.246056	28116__E5C3L8__DXF98_06270
ERR1913271.246074__1.246074	166486__D4KMI6__ERS852572_01515
ERR1913271.246109__1.246109	487174__K0X7X4__DIT83_09125
ERR1913271.246288__1.246288	166486__D4L2C5__ERS852572_01688
ERR1913271.246232__1.246232	216816__A0A396FRQ5__DD678_01245
ERR1913271.246345__1.246345	28118__F9Z923__B5F93_10455
ERR1913271.246619__1.246619	39485__R5ZVC3__ERS852490_00250
ERR1913271.246669__1.246669	1262992__R5DDC9__BN795_00492
ERR1913271.246762__1.246762	649756__D4MXQ4__HMPREF0369_01551
ERR1913271.246850__1.246850	821__A0A174NM17__lacZ_6
ERR1913271.246969__1.246969	818__A0A139KMC9__C799_02694
ERR1913271.247111__1.247111	28052__R7NCE8__cph2_1
ERR1913271.247229__1.247229	166486__C7GE31__ganB_3
ERR1913271.247199__1.247199	1262873__R6WUL2__BN605_01172
ERR1913271.247338__1.247338	218538__C9LNQ3__GCWU000321_01176
ERR1913271.247362__1.247362	39488__A0A285PQW6__EHLA_1294
ERR1913271.247541__1.247541	39490__U2QIC3__ERS852448_00043
ERR1913271.247550__1.247550	487174__R5FN40__HMPREF9448_01366
ERR1913271.247695__1.247695	821__A0A173XDD3__DXB82_17180
ERR1913271.247829__1.247829	487174__K0WZU9__HMPREF9448_01159
ERR1913271.247845__1.247845	28117__R7JN92__BHV66_00550
ERR1913271.247855__1.247855	28052__A0A174JNK0__ERS852451_01116
ERR1913271.247923__1.247923	1262899__R7JAP8__BN657_00175
ERR1913271.247993__1.247993	28118__R6FGS2__DER54_04485
ERR1913271.248121__1.248121	818__A0A174WSX6__Btheta7330_01915
ERR1913271.248261__1.248261	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.248366__1.248366	166486__D4KWT3__ROSINTL182_05973
ERR1913271.248510__1.248510	29361__B6FQF6__CLONEX_02376
ERR1913271.248487__1.248487	471189__GCA_003340385.1_00719
ERR1913271.248627__1.248627	166486__D4KVZ0__ERS852572_03130
ERR1913271.248664__1.248664	28117__R7JR95__ALIPUT_01367
ERR1913271.248705__1.248705	39485__A0A174Z8V5__fliU_2
ERR1913271.248909__1.248909	33038__A0A2N5P3M1__DXD36_15590
ERR1913271.248996__1.248996	818__R6VB25__BSIG_5053
ERR1913271.249046__1.249046	172901__A0A2U1BA70__C8D82_102145
ERR1913271.249123__1.249123	1262911__R6H2J2__BN557_01228
ERR1913271.249124__1.249124	166486__D4KXA3__ROSINTL182_05894
ERR1913271.249197__1.249197	28118__R6FGF7__SAMEA44545918_01338
ERR1913271.249525__1.249525	821__D4VD59__BHV80_04260
ERR1913271.249582__1.249582	817__D1JKH2__M133_1377
ERR1913271.249822__1.249822	28116__A7M019__HMPREF1070_01109
ERR1913271.249879__1.249879	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.250059__1.250059	166486__D4L0E1__ypdA_4
ERR1913271.249997__1.249997	853__A0A2A7B9I6__DW855_13690
ERR1913271.250005__1.250005	649756__L1PU84__ERS852571_01295
ERR1913271.250008__1.250008	649756__B0NZZ8__DO83_09740
ERR1913271.250126__1.250126	28117__B0MTV0__BHV66_06395
ERR1913271.250416__1.250416	1965631__A0A1Y4ADW2__B5F90_08150
ERR1913271.250488__1.250488	28117__B0MVL2__BHV66_01645
ERR1913271.250496__1.250496	649756__D4MW28__cap8A
ERR1913271.250643__1.250643	47678__R5U2F6__HMPREF1061_00767
ERR1913271.250857__1.250857	166486__D4KZY5__ROSINTL182_07635
ERR1913271.251238__1.251238	817__A0A015NVK9__HMPREF1204_01972
ERR1913271.251149__1.251149	204516__U6RAM4__HMPREF1534_03439
ERR1913271.251276__1.251276	39490__U2PBH7__HMPREF0373_03331
ERR1913271.251441__1.251441	39485__C4Z0T2__ykvU
ERR1913271.251440__1.251440	28116__C3QMW5__M089_4133
ERR1913271.251535__1.251535	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.251746__1.251746	28117__B0MZ14__ALIPUT_02383
ERR1913271.252006__1.252006	166486__A0A173T114__ROSINTL182_05085
ERR1913271.252077__1.252077	818__A0A0N7IB02__BT_3500
ERR1913271.252301__1.252301	28052__A0A174HF53__ERS852499_00436
ERR1913271.252452__1.252452	218538__C9LR31__GCWU000321_02013
ERR1913271.252463__1.252463	821__A0A3E4KIM1__M097_3660
ERR1913271.252843__1.252843	418240__C6JFD7__ERS852523_02475
ERR1913271.252860__1.252860	166486__D4KV78__aroA
ERR1913271.252897__1.252897	853__C7H1R8__DW905_06675
ERR1913271.253062__1.253062	1262992__R5CX23__BN795_00823
ERR1913271.253136__1.253136	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.253589__1.253589	853__A0A173YYY4__DWZ04_09420
ERR1913271.253645__1.253645	166486__A0A1Q6SGI9__ERS852572_00327
ERR1913271.253698__1.253698	821__A0A174K302__CUU_3129
ERR1913271.253856__1.253856	166486__D4KMI6__ERS852572_01515
ERR1913271.253887__1.253887	1262873__R6W8G0__BN605_00854
ERR1913271.253987__1.253987	1262992__R5CX54__BN795_00843
ERR1913271.254233__1.254233	817__A0A015NVK9__HMPREF1204_01972
ERR1913271.254438__1.254438	214856__A0A174ZEW0__ERS852447_00985
ERR1913271.254496__1.254496	487174__K0WUM9__HMPREF9448_02608
ERR1913271.254764__1.254764	821__A0A396F9T7__M097_3427
ERR1913271.254865__1.254865	28117__B0MYW7__ALIPUT_02336
ERR1913271.255026__1.255026	28116__A0A3D2LPA1__CUY_3388
ERR1913271.255085__1.255085	214856__A0A174ZB00__ERS852559_00631
ERR1913271.255159__1.255159	166486__R6AZI2__ydaF
ERR1913271.255510__1.255510	214856__A0A174ZEF7__mboIIM_1
ERR1913271.255575__1.255575	1262992__R5CXK6__BN795_00999
ERR1913271.255660__1.255660	166486__A0A173T114__ROSINTL182_05085
ERR1913271.255678__1.255678	853__A0A2A7B9I6__DW855_13690
ERR1913271.255724__1.255724	818__A0A3E5HGB5__ERS852511_02145
ERR1913271.255702__1.255702	1263107__GCA_000436995.1_00255
ERR1913271.255774__1.255774	821__A0A395UNT8__DXD64_15275
ERR1913271.255963__1.255963	1262888__R6P830__BN582_00368
ERR1913271.256025__1.256025	821__A0A395UNT8__DXD64_15275
ERR1913271.256141__1.256141	239935__A0A2N8HL91__holA
ERR1913271.256262__1.256262	1262899__R7J8X4__BN657_02007
ERR1913271.256191__1.256191	821__A0A396F1N0__M099_1553
ERR1913271.256434__1.256434	818__C6ILT7__BSIG_2708
ERR1913271.256739__1.256739	1262992__R5DDW9__BN795_00572
ERR1913271.256753__1.256753	28117__B0MST8__ALIPUT_00310
ERR1913271.256794__1.256794	166486__D4KZ14__inlA_1
ERR1913271.256941__1.256941	817__A0A081UA45__M112_0802
ERR1913271.257155__1.257155	166486__D4L334__mcp3_1
ERR1913271.257202__1.257202	487174__K0WXG8__DIT83_09300
ERR1913271.257311__1.257311	818__D7I7V5__BJP75_001030
ERR1913271.257593__1.257593	214856__A0A174ZEF7__mboIIM_1
ERR1913271.257688__1.257688	239935__A0A2N8HL91__holA
ERR1913271.257894__1.257894	166486__A0A173VTG0__ROSINTL182_06283
ERR1913271.257869__1.257869	166486__D4L273__ERS852572_01638
ERR1913271.257975__1.257975	166486__D4KZ95__ERS852572_03327
ERR1913271.257982__1.257982	28117__B0MXX2__ALIPUT_01984
ERR1913271.257989__1.257989	28117__B0MWC6__BHV66_00965
ERR1913271.258117__1.258117	74426__nifJ
ERR1913271.258121__1.258121	216816__Q8G585__APC1473_0508
ERR1913271.258174__1.258174	166486__D4KZP0__ERS852572_00486
ERR1913271.258345__1.258345	821__A0A3E4KIM1__M097_3660
ERR1913271.258357__1.258357	39485__C4Z389__ERS852490_01920
ERR1913271.258377__1.258377	39485__A0A174ZLH6__EUBELI_01564
ERR1913271.258653__1.258653	39485__A0A174ZBK4__ERS852490_01585
ERR1913271.258749__1.258749	214856__A0A174ZLY7__ERS852447_02456
ERR1913271.258796__1.258796	487174__K0WXG8__DIT83_09300
ERR1913271.258826__1.258826	649756__B0P476__ERS852475_00941
ERR1913271.259054__1.259054	818__A0A0P0EV21__NCTC13706_01181
ERR1913271.259066__1.259066	28117__B0N028__BHV66_05935
ERR1913271.259135__1.259135	166486__D4KUK5__thiM
ERR1913271.259345__1.259345	218538__C9LQG6__GCWU000321_01798
ERR1913271.259429__1.259429	818__R6VB25__BSIG_5053
ERR1913271.259446__1.259446	166486__A0A173T114__ROSINTL182_05085
ERR1913271.259686__1.259686	166486__D4KXK8__xynB_1
ERR1913271.260163__1.260163	106588__A6NUL8__BACCAP_01900
ERR1913271.260247__1.260247	166486__D4L458__ROSINTL182_07088
ERR1913271.260401__1.260401	28117__B0MWC6__BHV66_00965
ERR1913271.260459__1.260459	28117__B0MXG7__BHV66_08620
ERR1913271.260470__1.260470	818__A0A396E023__ERS852430_02808
ERR1913271.260715__1.260715	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.260877__1.260877	818__R7KWE7__HMPREF2534_03255
ERR1913271.260923__1.260923	28116__A7LXT7__HMPREF1070_00356
ERR1913271.260939__1.260939	818__A0A3E5HZF3__HMPREF2534_03697
ERR1913271.261350__1.261350	1263109__GCA_000438135.1_00602
ERR1913271.261382__1.261382	817__A0A0K6BVR3__M118_2443
ERR1913271.261498__1.261498	1262992__R5D6J2__BN795_00288
ERR1913271.261604__1.261604	166486__A0A173V5I7__ERS852572_02640
ERR1913271.261719__1.261719	853__A0A2A7B9I6__DW855_13690
ERR1913271.261818__1.261818	649756__A0A174F5S4__ecfA2
ERR1913271.261899__1.261899	166486__D4KNM9__ERS852572_00072
ERR1913271.261956__1.261956	487174__K0WV96__HMPREF9448_01901
ERR1913271.261979__1.261979	853__A0A173SUU8__CGS54_06840
ERR1913271.261997__1.261997	166486__D4KZC1__btr_1
ERR1913271.262149__1.262149	649756__B0NZY6__CL2_25770
ERR1913271.262224__1.262224	818__A0A0P0FLN9__NCTC13706_01794
ERR1913271.262237__1.262237	853__A0A173XRA8__CGS56_09290
ERR1913271.262316__1.262316	649756__D4MVD8__ERS852475_00940
ERR1913271.262318__1.262318	556259__I0PXW0__BSGG_5187
ERR1913271.262395__1.262395	1262992__R5D559__BN795_00706
ERR1913271.262409__1.262409	28117__B0MWZ9__ALIPUT_01735
ERR1913271.262356__1.262356	818__A0A139KMC9__C799_02694
ERR1913271.262561__1.262561	166486__D4KXE5__ERS852572_01168
ERR1913271.262574__1.262574	853__A0A2A7B9I6__DW855_13690
ERR1913271.262723__1.262723	166486__D4KZH8__ERS852572_00419
ERR1913271.262673__1.262673	166486__D4L1P5__ERS852572_00758
ERR1913271.262815__1.262815	357276__A0A076IS26__EL88_15950
ERR1913271.262830__1.262830	214856__A0A174G0N0__ERS852447_02436
ERR1913271.262869__1.262869	818__A0A3E5GYI4__NCTC10582_00013
ERR1913271.262943__1.262943	28118__R6F390__ypdA_1
ERR1913271.262961__1.262961	214856__A0A174A1J3__ERS852447_01000
ERR1913271.263028__1.263028	999425__K8MVH8__HMPREF9186_01073
ERR1913271.263058__1.263058	28118__F9Z5N6__SAMEA44545918_01718
ERR1913271.263369__1.263369	39485__A0A174ZA72__glgB_1
ERR1913271.263488__1.263488	818__A0A139K2A0__SAMN02910322_00898
ERR1913271.263567__1.263567	166486__D4L0J8__ROSINTL182_08089
ERR1913271.263543__1.263543	166486__D4KVI9__comEA
ERR1913271.263841__1.263841	166486__D4L2C5__ERS852572_01688
ERR1913271.263960__1.263960	357276__G5SMD3__BSEG_02959
ERR1913271.264038__1.264038	1150298__A0A174B7I7__ERS852535_01258
ERR1913271.264041__1.264041	166486__D4KNM9__ERS852572_00072
ERR1913271.264107__1.264107	649756__B0P3X0__DCR88_11535
ERR1913271.264504__1.264504	1262911__R6H0U7__BN557_01104
ERR1913271.264579__1.264579	204516__U6RAM4__HMPREF1534_03439
ERR1913271.264599__1.264599	216816__B3DNW2__BL171B_07980
ERR1913271.264867__1.264867	28117__B0MYI9__BHV66_05415
ERR1913271.265224__1.265224	357276__I9QBT7__BSEG_03340
ERR1913271.265366__1.265366	487174__K0WX28__HMPREF9448_02178
ERR1913271.265718__1.265718	818__A0A174RFL1__ERS852511_03380
ERR1913271.265802__1.265802	166486__D4L284__ERS852572_01651
ERR1913271.265812__1.265812	817__A0A0E2TD90__BWP07_06930
ERR1913271.265842__1.265842	817__A0A396EUR3__M116_0725
ERR1913271.265863__1.265863	821__A0A396F9T7__M097_3427
ERR1913271.266069__1.266069	1262992__R5D6G0__BN795_00277
ERR1913271.266238__1.266238	487174__K0WRI1__DIT83_06780
ERR1913271.266242__1.266242	39485__R6AKA4__rssA
ERR1913271.266247__1.266247	853__A0A2A7B9I6__DW855_13690
ERR1913271.266478__1.266478	357276__B6W1J2__BACDOR_03380
ERR1913271.266603__1.266603	166486__D4KXZ7__ROSINTL182_05052
ERR1913271.266652__1.266652	487174__K0X6Z7__DDY40_11525
ERR1913271.266662__1.266662	166486__D4KRN9__ERS852572_01822
ERR1913271.266982__1.266982	853__E2ZGD9__C7J97_11715
ERR1913271.267064__1.267064	28117__B0MYI9__BHV66_05415
ERR1913271.267111__1.267111	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913271.267133__1.267133	28117__B0MY40__BHV66_05170
ERR1913271.267239__1.267239	818__A0A174VDI6__BSIG_1023
ERR1913271.267645__1.267645	166486__D4KVX6__ROSINTL182_06735
ERR1913271.267773__1.267773	384639__GCA_003096855.1_01178
ERR1913271.267786__1.267786	216816__A0A083X5W4__HMPREF0177_01593
ERR1913271.267833__1.267833	239935__A0A2N8IB69__CXU22_11315
ERR1913271.267886__1.267886	818__Q8A3I3__HMPREF2534_00068
ERR1913271.267925__1.267925	166486__D4KUC4__arcB_1
ERR1913271.268007__1.268007	1262992__R5D6F1__BN795_00820
ERR1913271.268067__1.268067	214856__A0A174G1M7__ERS852559_00594
ERR1913271.268238__1.268238	1262899__R7JEG5__BN657_00784
ERR1913271.268244__1.268244	39485__R5ZT06__EUBELI_20526
ERR1913271.268490__1.268490	1262873__R6WSU3__BN605_00483
ERR1913271.268770__1.268770	821__A0A3E4WAR6__DXD64_10735
ERR1913271.268832__1.268832	487174__K0X347__DIT83_07775
ERR1913271.269082__1.269082	214856__A0A175A6T5__ERS852447_02658
ERR1913271.269447__1.269447	817__Q64UC5__M139_2208
ERR1913271.269453__1.269453	28118__R6F891__NCTC10826_02656
ERR1913271.269539__1.269539	1735__B7C8T4__EUBIFOR_00588
ERR1913271.269541__1.269541	166486__A0A1Q6SA53__ROSINTL182_05714
ERR1913271.269573__1.269573	1262899__R7J7L2__BN657_01712
ERR1913271.269633__1.269633	487174__K0X3A6__HMPREF9448_02725
ERR1913271.269861__1.269861	821__D4VD59__BHV80_04260
ERR1913271.269819__1.269819	1309__A0A2J9QFD2__SMU105_03120
ERR1913271.269826__1.269826	821__A0A174NSU0__BVU_3144
ERR1913271.269870__1.269870	166486__D4KYB5__mcp3_2
ERR1913271.269903__1.269903	166486__D4KXZ4__ROSINTL182_05055
ERR1913271.270031__1.270031	487174__K0X7X4__DIT83_09125
ERR1913271.270188__1.270188	818__D7I8A4__C799_02600
ERR1913271.270227__1.270227	39485__A0A174ZBK4__ERS852490_01585
ERR1913271.270393__1.270393	487174__K0X9T7__HMPREF9448_00996
ERR1913271.270416__1.270416	853__D4JY61__C4N21_10560
ERR1913271.270451__1.270451	818__D7I7V5__BJP75_001030
ERR1913271.270785__1.270785	166486__D4KYC3__ROSINTL182_05485
ERR1913271.270819__1.270819	1262899__R7J6U8__BN657_01620
ERR1913271.271147__1.271147	28117__B0N028__BHV66_05935
ERR1913271.271197__1.271197	1304__A0A1V0GGK6__SSALIVM18_02250
ERR1913271.271292__1.271292	487174__K0WX10__DIT83_10030
ERR1913271.271307__1.271307	394340__alaS
ERR1913271.271476__1.271476	39485__C4Z6K2__ERS852490_00407
ERR1913271.271632__1.271632	821__D4VD59__BHV80_04260
ERR1913271.271708__1.271708	649756__D4MV03__ERS852425_01248
ERR1913271.271841__1.271841	818__A0A139KE06__HMPREF2534_02512
ERR1913271.272009__1.272009	166486__A0A173T114__ROSINTL182_05085
ERR1913271.272107__1.272107	418240__C6JD47__ERS852523_00908
ERR1913271.272355__1.272355	166486__D4KWT8__ERS852572_01811
ERR1913271.272443__1.272443	28116__A0A1Y4Q112__evgS_13
ERR1913271.272452__1.272452	239935__A0A139TSG7__CXU17_09600
ERR1913271.272453__1.272453	218538__C9LPS8__GCWU000321_01558
ERR1913271.272500__1.272500	1965604__A0A1Y4EU17__B5F54_07295
ERR1913271.272639__1.272639	166486__R6AY46__ROSINTL182_06128
ERR1913271.272641__1.272641	218538__C9LR41__GCWU000321_00309
ERR1913271.272882__1.272882	458033__GCA_001482755.1_02203
ERR1913271.272930__1.272930	821__A0A395US34__C5Z04_18975
ERR1913271.272984__1.272984	39485__R5ZNG4__yerB
ERR1913271.272990__1.272990	28117__B0MTW8__ALIPUT_00502
ERR1913271.273056__1.273056	214856__A0A174FZ29__ERS852559_00600
ERR1913271.273168__1.273168	817__K1FY95__CQW38_04128
ERR1913271.273172__1.273172	1318__I1ZPN1__NCTC12854_02060
ERR1913271.273455__1.273455	1263109__GCA_000438135.1_01590
ERR1913271.273735__1.273735	166486__D4KXZ4__ROSINTL182_05055
ERR1913271.273787__1.273787	446660__GCA_003428235.1_00882
ERR1913271.274112__1.274112	821__A0A0P0M2J4__DXD46_10295
ERR1913271.274348__1.274348	166486__D4KPQ7__ROSINTL182_09065
ERR1913271.274401__1.274401	166486__D4KZW9__degS
ERR1913271.274367__1.274367	357276__A0A1Y3Z6X3__GV66_07715
ERR1913271.274371__1.274371	166486__A0A173V5I7__ERS852572_02640
ERR1913271.274546__1.274546	74426__purC
ERR1913271.274592__1.274592	166486__D4L337__msbA_4
ERR1913271.274611__1.274611	1735__B7C7W0__EUBIFOR_00260
ERR1913271.274645__1.274645	216816__E8MVM4__APC1480_1562
ERR1913271.274721__1.274721	818__A0A0N7I9M6__Btheta7330_00939
ERR1913271.274724__1.274724	821__A0A3E4HP25__SAMN04487923_102450
ERR1913271.274727__1.274727	166486__D4L458__ROSINTL182_07088
ERR1913271.274746__1.274746	28052__A0A174PNN9__ERS852451_02058
ERR1913271.274882__1.274882	166486__D4KZ45__ROSINTL182_05738
ERR1913271.274988__1.274988	1263107__GCA_000436995.1_00214
ERR1913271.274990__1.274990	1262992__R5CYZ3__BN795_01363
ERR1913271.275472__1.275472	166486__D4L3K7__ERS852572_00904
ERR1913271.275729__1.275729	1735__B7CDW5__EUBIFOR_02400
ERR1913271.275739__1.275739	745368__A0A1T4Y388__SAMN02745178_02684
ERR1913271.275922__1.275922	818__Q8A335__HMPREF2534_01154
ERR1913271.276101__1.276101	166486__D4L456__rpfG_10
ERR1913271.276287__1.276287	649756__A0A173T5Y7__HMPREF0369_02769
ERR1913271.276623__1.276623	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913271.276826__1.276826	821__A0A174V2F3__NCTC10583_01474
ERR1913271.276756__1.276756	818__A0A3E5HEU1__NCTC10582_02468
ERR1913271.276931__1.276931	216816__A0A0S2MCH0__AYW81_04880
ERR1913271.276966__1.276966	487174__R5EUJ8__DDY40_00460
ERR1913271.276987__1.276987	1262888__R6PLE5__BN582_00165
ERR1913271.277138__1.277138	649756__D4MWN6__ERS852571_00821
ERR1913271.277242__1.277242	28116__A0A139LD88__CUY_2408
ERR1913271.277280__1.277280	821__U6RDC2__DXD46_15675
ERR1913271.277287__1.277287	214856__A0A174H3U9__ERS852559_00612
ERR1913271.277444__1.277444	214856__A0A174A257__ERS852447_01007
ERR1913271.277512__1.277512	166486__D4KVZ2__cbiT
ERR1913271.277684__1.277684	40520__A0A174EQJ0__DXB81_02710
ERR1913271.277698__1.277698	649756__A0A174K9U9__HMPREF0369_00778
ERR1913271.277774__1.277774	28118__F9Z3G8__B5F99_01835
ERR1913271.277796__1.277796	817__D1JUE7__M123_3721
ERR1913271.278010__1.278010	384638__B7ASI3__BACPEC_02038
ERR1913271.278167__1.278167	556259__I0PXW0__BSGG_5187
ERR1913271.278285__1.278285	1262992__R5DE42__BN795_00179
ERR1913271.278364__1.278364	28116__E5CCI2__M089_3437
ERR1913271.278491__1.278491	487174__K0WX70__DDY40_01710
ERR1913271.278474__1.278474	1735__B7C9Y8__EUBIFOR_00992
ERR1913271.278551__1.278551	357276__G5SMD3__BSEG_02959
ERR1913271.278555__1.278555	166486__A0A173VSP1__ERS852572_03465
ERR1913271.278791__1.278791	28116__A0A1Y4PHM7__DXA80_25130
ERR1913271.278798__1.278798	28117__B0MSS9__BHV66_06085
ERR1913271.279224__1.279224	166486__D4KXZ4__ROSINTL182_05055
ERR1913271.279328__1.279328	821__A0A395US34__C5Z04_18975
ERR1913271.279451__1.279451	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913271.279482__1.279482	28118__R6F2P9__B5F99_13925
ERR1913271.279557__1.279557	1262992__R5DCG2__BN795_00315
ERR1913271.279722__1.279722	28116__R6JIR4__DXA80_14190
ERR1913271.279844__1.279844	28117__R7JMT0__BHV66_05875
ERR1913271.279906__1.279906	2108523__A0A2P2FAG7__LAWASA_3009
ERR1913271.279911__1.279911	818__A0A3E5HY51__rpfC_2
ERR1913271.280265__1.280265	218538__C9LR41__GCWU000321_00309
ERR1913271.280481__1.280481	166486__D4L1L1__ROSINTL182_05277
ERR1913271.280625__1.280625	166486__D4KW49__ROSINTL182_07746
ERR1913271.280782__1.280782	1262873__R6WJE4__BN605_00456
ERR1913271.280812__1.280812	1262992__R5DEQ5__BN795_00722
ERR1913271.280980__1.280980	487174__K0WYC5__HMPREF9448_01493
ERR1913271.281019__1.281019	818__A0A0P0FBI1__NCTC10582_00163
ERR1913271.281065__1.281065	214856__A0A173ZSM1__ERS852447_00944
ERR1913271.281069__1.281069	166486__D4KVZ2__cbiT
ERR1913271.281075__1.281075	1318__A0A3E4U4Y6__essA
ERR1913271.281195__1.281195	1262992__R5D3X7__BN795_00539
ERR1913271.281250__1.281250	853__C7H1R8__DW905_06675
ERR1913271.281423__1.281423	166486__D4L0G5__ROSINTL182_08176
ERR1913271.281561__1.281561	322505__frlB
ERR1913271.281562__1.281562	821__A0A3E4WAR6__DXD64_10735
ERR1913271.281630__1.281630	821__A0A174NM17__lacZ_6
ERR1913271.281796__1.281796	28116__A0A1Y4Q114__DXF98_00470
ERR1913271.281908__1.281908	39485__C4Z028__ERS852492_00100
ERR1913271.281977__1.281977	239935__A0A2N8IFA0__CXT92_02050
ERR1913271.282015__1.282015	817__R5RHL6__AC239_05800
ERR1913271.282310__1.282310	28117__B0MTV0__BHV66_06395
ERR1913271.283037__1.283037	166486__R6AY46__ROSINTL182_06128
ERR1913271.283121__1.283121	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.283217__1.283217	1796613__A0A1C7H0D5__A4V03_10735
ERR1913271.283240__1.283240	166486__D4L458__ROSINTL182_07088
ERR1913271.283275__1.283275	1304__T0SPD1__HSISS4_01717
ERR1913271.283283__1.283283	166486__D4L456__rpfG_10
ERR1913271.283432__1.283432	818__R7KWE7__HMPREF2534_03255
ERR1913271.283519__1.283519	28052__R7N8X2__ERS852451_01586
ERR1913271.283574__1.283574	166486__D4L3K7__ERS852572_00904
ERR1913271.283589__1.283589	166486__D4KVZ0__ERS852572_03130
ERR1913271.283651__1.283651	410072__C0BC38__ERS852574_02017
ERR1913271.283806__1.283806	166486__D4L337__msbA_4
ERR1913271.284096__1.284096	28116__A0A3D2LPA1__CUY_3388
