ERR1913199.530__1.530	544645__A0A3E4TGD2__DXC42_03440
ERR1913199.684988__1.684988	166486__D4L0L1__ROSINTL182_08075
ERR1913199.685057__1.685057	821__A0A174T998__DXB82_10860
ERR1913199.685082__1.685082	357276__A0A076IN30__DXD47_09350
ERR1913199.685098__1.685098	301302__A0A0M6X038__M72_18501
ERR1913199.685214__1.685214	394340__gatB
ERR1913199.685248__1.685248	360807__C0FVV2__RIL183_27361
ERR1913199.685254__1.685254	1628085__A0A2U1B935__C7386_11439
ERR1913199.685350__1.685350	28026__A0A396BGX2__DXC71_05210
ERR1913199.685462__1.685462	329854__R5LW55__DXD57_21020
ERR1913199.685483__1.685483	1262743__R5C054__BN727_01980
ERR1913199.685549__1.685549	39491__A0A396FMF1__EUR_28700
ERR1913199.685577__1.685577	1262743__R5C054__BN727_01980
ERR1913199.685596__1.685596	39491__C4ZGN3__DXB99_14175
ERR1913199.685606__1.685606	1232426__leuS
ERR1913199.685669__1.685669	166486__A0A173VSP1__ERS852572_03465
ERR1913199.685693__1.685693	47678__R5U6B9__BACCAC_01372
ERR1913199.685653__1.685653	47678__R5U558__ERS852558_02232
ERR1913199.685951__1.685951	820__R9I324__HMPREF2141_02414
ERR1913199.686008__1.686008	33039__D4M1B1__ERS852577_03971
ERR1913199.686215__1.686215	1680__A0A087DHN0__AL0462_1532
ERR1913199.686321__1.686321	410072__R6LD64__ERS852525_02440
ERR1913199.686418__1.686418	357276__B6W5Q9__HMPREF1063_03125
ERR1913199.686532__1.686532	46503__R6Y9P8__evgS_3
ERR1913199.686515__1.686515	156456__G9YIG0__HMPREF0080_01452
ERR1913199.686615__1.686615	357276__D1JZM4__HMPREF1065_01278
ERR1913199.686619__1.686619	387090__S0F668__BACCOPRO_01215
ERR1913199.686802__1.686802	166486__A0A173T114__ROSINTL182_05085
ERR1913199.686983__1.686983	820__A0A173YYG4__evgS_3
ERR1913199.687125__1.687125	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913199.687136__1.687136	410072__A0A173YQW3__dtpT_1
ERR1913199.687194__1.687194	1680__A0A0C2VBJ4__birA
ERR1913199.687263__1.687263	487174__K0X3H8__HMPREF9448_02822
ERR1913199.687328__1.687328	166486__A0A1Q6SGI9__ERS852572_00327
ERR1913199.687293__1.687293	216816__B7GQF4__vapC
ERR1913199.687385__1.687385	74426__rpoC
ERR1913199.687441__1.687441	818__A0A3E5H6T5__Btheta7330_01926
ERR1913199.687592__1.687592	649756__D4MW28__cap8A
ERR1913199.687654__1.687654	39491__A0A395UUN5__EUBREC_0291
ERR1913199.687716__1.687716	556259__I0PXW0__BSGG_5187
ERR1913199.687792__1.687792	33038__A0A396G855__CDL23_11555
ERR1913199.687861__1.687861	46503__R6X6Y1__DCY29_15600
ERR1913199.687936__1.687936	357276__I9QDB8__B5F95_08105
ERR1913199.687913__1.687913	820__A0A3E4GE89__DXB48_02565
ERR1913199.688135__1.688135	166486__D4KZ27__ROSINTL182_05762
ERR1913199.688374__1.688374	371601__D7K3R0__CW3_1453
ERR1913199.688674__1.688674	216816__A0A2U0BT35__BL1206_1860
ERR1913199.688781__1.688781	357276__C3RA36__HMPREF1065_03270
ERR1913199.688848__1.688848	357276__A0A0K2HMX2__HMPREF1063_03979
ERR1913199.688881__1.688881	387090__S0F470__BACCOPRO_00167
ERR1913199.688882__1.688882	310298__B3JQJ5__BACCOP_04231
ERR1913199.688926__1.688926	487174__K0WRZ5__HMPREF9448_02826
ERR1913199.688952__1.688952	821__A0A173WG51__BVU_2549
ERR1913199.689032__1.689032	853__A8SB03__C4Q21_07960
ERR1913199.689083__1.689083	46503__R6XDP9__ERS852463_01752
ERR1913199.689131__1.689131	166486__D4L301__ROSINTL182_06234
ERR1913199.689389__1.689389	166486__D4KZ45__ROSINTL182_05738
ERR1913199.689446__1.689446	33039__D4M4F8__ERS852502_02771
ERR1913199.689641__1.689641	823__A0A355WYX8__CF162_07950
ERR1913199.689893__1.689893	216816__B3DU85__APC1504_0160
ERR1913199.689945__1.689945	357276__I9F327__DXD47_22495
ERR1913199.690138__1.690138	216816__A0A2N0SME6__BLIF_1881
ERR1913199.690336__1.690336	216816__D6DBD5__DXC32_04335
ERR1913199.690361__1.690361	1680__A0A087DHN0__AL0462_1532
ERR1913199.690403__1.690403	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913199.690414__1.690414	821__A0A174JYD3__ERS852457_02610
ERR1913199.690473__1.690473	357276__A0A076IN21__BSEG_03078
ERR1913199.690524__1.690524	820__A0A3E4XM43__DXC91_13960
ERR1913199.690526__1.690526	1680__A0A076JM61__DXD63_05245
ERR1913199.690681__1.690681	1628085__A0A2U1B477__C7386_12136
ERR1913199.690707__1.690707	1680__A0A174BEE7__BSTER_1311
ERR1913199.690765__1.690765	1735__B7CDA5__EUBIFOR_02186
ERR1913199.690926__1.690926	1680__A0A1X2ZKM8__B5789_0981
ERR1913199.690903__1.690903	166486__D4L1D8__ROSINTL182_06455
ERR1913199.690882__1.690882	820__A0A174QLF0__SAMN05444418_109151
ERR1913199.691028__1.691028	357276__I8WFU9__BACDOR_02006
ERR1913199.691084__1.691084	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913199.691179__1.691179	820__A0A139K4W5__HMPREF2141_02394
ERR1913199.691139__1.691139	487174__K0WZA7__DDY40_11890
ERR1913199.691386__1.691386	28116__F7L4X5__M089_2857
ERR1913199.691597__1.691597	47678__A5ZEA3__ERS852558_00257
ERR1913199.691651__1.691651	357276__A0A076IS73__GV66_00410
ERR1913199.691615__1.691615	1680__A7A7Z9__AAX71_05385
ERR1913199.691850__1.691850	47678__R5UUB5__ERS852558_00247
ERR1913199.691921__1.691921	218538__C9LQ92__GCWU000321_01724
ERR1913199.691932__1.691932	301302__A0A0M6WWK6__M72_13961
ERR1913199.691938__1.691938	818__A0A0N7I9M6__Btheta7330_00939
ERR1913199.692014__1.692014	39491__A0A3E4E7C5__DXB69_03255
ERR1913199.692136__1.692136	301302__A0A173S3L8__vpr
ERR1913199.692249__1.692249	357276__I9R4T1__IY41_06800
ERR1913199.692320__1.692320	39496__A5ZAC8__EUBVEN_02675
ERR1913199.692465__1.692465	166486__D4L378__hcaR
ERR1913199.692486__1.692486	33039__D4M340__sleB_2
ERR1913199.692571__1.692571	821__D4VD59__BHV80_04260
ERR1913199.692595__1.692595	1628085__A0A374VLY7__C7386_10688
ERR1913199.692601__1.692601	552398__F4XCR9__HMPREF0866_01636
ERR1913199.692713__1.692713	310298__B3JQJ5__BACCOP_04231
ERR1913199.692883__1.692883	387090__S0FBZ8__BACCOPRO_01470
ERR1913199.692862__1.692862	357276__B6VYT9__HMPREF1063_05030
ERR1913199.692947__1.692947	301302__R5UVE7__ERS852420_01292
ERR1913199.693136__1.693136	28026__A0A174BM23__DXD87_08160
ERR1913199.693144__1.693144	46503__A0A3E4ZW69__DXB85_02690
ERR1913199.693209__1.693209	821__A0A0P0LJ37__DXB82_14270
ERR1913199.693234__1.693234	28116__A7LS06__HMPREF2532_04668
ERR1913199.693353__1.693353	357276__U6R8F9__DXD47_04035
ERR1913199.693670__1.693670	820__A7UYG6__M094_0070
ERR1913199.693678__1.693678	216816__D6DC91__DXC72_07710
ERR1913199.693708__1.693708	357276__B6VVS0__HMPREF1064_03951
ERR1913199.693793__1.693793	357276__B6W1J2__BACDOR_03380
ERR1913199.693798__1.693798	357276__I9FGI3__EL88_12385
ERR1913199.693860__1.693860	39491__A0A395ZDC6__addB
ERR1913199.693866__1.693866	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913199.693869__1.693869	1150298__A0A174L6T3__cobD
ERR1913199.693938__1.693938	357276__B6VXX7__HMPREF1063_02683
ERR1913199.693889__1.693889	166486__D4KRN9__ERS852572_01822
ERR1913199.694084__1.694084	1628085__A0A1C5ZB13__C7386_10421
ERR1913199.694107__1.694107	1680__R5GSL8__DXD60_03315
ERR1913199.694114__1.694114	39491__A0A3E4YFT8__DXB69_10940
ERR1913199.694285__1.694285	216816__B7GP87__HMPREF0177_01055
ERR1913199.694581__1.694581	166486__D4KW59__ERS852572_02363
ERR1913199.694633__1.694633	820__A0A173YYG4__evgS_3
ERR1913199.694703__1.694703	1263109__GCA_000438135.1_01185
ERR1913199.694799__1.694799	821__A0A174T998__DXB82_10860
ERR1913199.694905__1.694905	47678__R5U3D5__DW706_05635
ERR1913199.694920__1.694920	820__A0A078STJ8__DXC68_04690
ERR1913199.695434__1.695434	410072__A0A174H348__sfp_2
ERR1913199.695455__1.695455	357276__A0A0K2HDV9__DXD47_02600
ERR1913199.695634__1.695634	39491__A0A173TAZ5__DXB99_09520
ERR1913199.695872__1.695872	820__A0A1Q6IDS8__chtA
ERR1913199.695840__1.695840	301302__R5V7D6__tagA
ERR1913199.695933__1.695933	821__A0A3E4KIM1__M097_3660
ERR1913199.695979__1.695979	821__A0A174AYT0__DXC02_03530
ERR1913199.696051__1.696051	39491__A0A396FFW0__ERE_10580
ERR1913199.696088__1.696088	47678__R5UHH8__HMPREF1061_02584
ERR1913199.696295__1.696295	1680__R5GZF2__DXC60_01925
ERR1913199.696317__1.696317	357276__B6W5Q9__HMPREF1063_03125
ERR1913199.696414__1.696414	823__A0A3E4P9U5__ERS852380_02719
ERR1913199.696474__1.696474	28026__A0A087B7I7__DXA79_02175
ERR1913199.696615__1.696615	357276__U6R8F9__DXD47_04035
ERR1913199.696652__1.696652	166486__D4KZ14__inlA_1
ERR1913199.696704__1.696704	357276__A0A076J8D4__HMPREF1064_00553
ERR1913199.696724__1.696724	47678__A5ZBL9__C5Z00_18710
ERR1913199.696813__1.696813	387090__S0FCI9__BACCOPRO_03388
ERR1913199.696918__1.696918	47678__R5U9Z0__HMPREF1061_03210
ERR1913199.696955__1.696955	166486__D4KJ39__ERS852572_02622
ERR1913199.697015__1.697015	46503__R6X5W5__HMPREF1078_03156
ERR1913199.696993__1.696993	216816__B7GPE8__I118_0062
ERR1913199.697060__1.697060	214856__A0A174G9T6__ERS852447_02535
ERR1913199.697240__1.697240	821__E5UY21__C800_02204
ERR1913199.697385__1.697385	166486__D4KMI6__ERS852572_01515
ERR1913199.697505__1.697505	1261__D3MR67__SAMN05660467_01650
ERR1913199.697534__1.697534	853__D4K7X0__DW905_09540
ERR1913199.697461__1.697461	291645__I8XPK0__HMPREF1068_01554
ERR1913199.697558__1.697558	310298__B3JQJ5__BACCOP_04231
ERR1913199.697737__1.697737	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913199.697763__1.697763	1680__A0A173X776__B0070_1318
ERR1913199.697983__1.697983	301302__R5UJW6__ERS852420_01698
ERR1913199.698052__1.698052	821__A0A3E4WAR6__DXD64_10735
ERR1913199.698082__1.698082	74426__rpoC
ERR1913199.698099__1.698099	820__A0A396EXA7__DXB37_15530
ERR1913199.698208__1.698208	78259__W5II93__HMPREF9020_00216
ERR1913199.698213__1.698213	821__C6ZAA5__ERS852556_00403
ERR1913199.698217__1.698217	820__A0A139KHD8__ERS417307_00569
ERR1913199.698218__1.698218	818__A0A1H7L4U6__BSIG_3287
ERR1913199.698314__1.698314	360807__A0A396ADY6__RIL183_17001
ERR1913199.698385__1.698385	78258__E6K047__PSDT_0497
ERR1913199.698411__1.698411	216816__B3DNW2__BL171B_07980
ERR1913199.698520__1.698520	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913199.698572__1.698572	544644__GCA_001915615.1_01468
ERR1913199.698583__1.698583	74426__groL
ERR1913199.698624__1.698624	1628085__A0A3E2XSL7__C7386_12131
ERR1913199.698633__1.698633	823__A0A073I748__M096_3057
ERR1913199.698680__1.698680	166486__D4KUL4__pemA
ERR1913199.698686__1.698686	39491__A0A395V297__EUR_01010
ERR1913199.698689__1.698689	357276__A0A076IYE6__IY41_04275
ERR1913199.698773__1.698773	301302__R5UHX5__M72_14301
ERR1913199.698812__1.698812	84030__D4MSB3__B5F06_07550
ERR1913199.698940__1.698940	823__A6L930__DDY96_14995
ERR1913199.699159__1.699159	47678__R5UG30__ERS852558_03525
ERR1913199.699194__1.699194	820__A7VAR9__ERS852421_00197
ERR1913199.699315__1.699315	821__A0A174WBC9__ERS852556_03145
ERR1913199.699344__1.699344	216816__A0A087BBV6__BFS26_06210
ERR1913199.699391__1.699391	821__A0A396F598__CUU_3259
ERR1913199.699484__1.699484	820__A0A174NUS8__DXC80_12885
ERR1913199.699660__1.699660	39492__D4JTW7__EUBSIR_00859
ERR1913199.699674__1.699674	357276__A0A0K2HG61__BACDOR_02028
ERR1913199.699697__1.699697	46503__R5DM05__DD461_09230
ERR1913199.699910__1.699910	818__Q8A335__HMPREF2534_01154
ERR1913199.699922__1.699922	818__A0A1H7S810__BJP75_003270
ERR1913199.699937__1.699937	371601__D7K8P3__SAMN05216250_10395
ERR1913199.699958__1.699958	387090__S0F4V5__BACCOPRO_00731
ERR1913199.700071__1.700071	40518__R5DUG7__sbcC
ERR1913199.700133__1.700133	84030__D6DDV8__B5F06_06445
ERR1913199.700159__1.700159	820__A7V470__HMPREF1072_02076
ERR1913199.700201__1.700201	46503__R6WVI6__HMPREF1060_03610
ERR1913199.700327__1.700327	357276__I9R4T1__IY41_06800
ERR1913199.700368__1.700368	46503__R6X0L4__DXB61_05325
ERR1913199.700434__1.700434	39492__D4JUS6__accD5
ERR1913199.700701__1.700701	1685__W6EXB4__B31L_1221
ERR1913199.700860__1.700860	1628085__A0A1C6ALV9__C7386_101366
ERR1913199.700899__1.700899	821__A0A0P0LH09__ERS852457_03390
ERR1913199.700904__1.700904	47678__A5ZBD0__ERS852494_02920
ERR1913199.701036__1.701036	147206__GCF_000156215.1_00920
ERR1913199.701058__1.701058	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913199.701132__1.701132	821__A0A396F9T7__M097_3427
ERR1913199.701217__1.701217	218538__C9LNK4__GCWU000321_01127
ERR1913199.701346__1.701346	39491__A0A395V2Y7__DXB72_13970
ERR1913199.701313__1.701313	360807__A0A0M6WIL3__ERS852444_01365
ERR1913199.701416__1.701416	357276__I9RAC4__BSEG_00561
ERR1913199.701518__1.701518	28026__C0BQX5__DXC71_03265
ERR1913199.701621__1.701621	1680__A0A0B5BIU5__BSTER_0145
ERR1913199.701629__1.701629	216816__A0A396FRQ5__DD678_01245
ERR1913199.701859__1.701859	39496__A5Z4A5__EUBVEN_00528
ERR1913199.701919__1.701919	820__A0A396EWL3__ERS417307_03868
ERR1913199.701932__1.701932	46503__R6Y8M7__ERS852463_01228
ERR1913199.701935__1.701935	820__A7UYX8__DXD40_11635
ERR1913199.701948__1.701948	39491__A0A395UWA3__DXB69_11805
ERR1913199.701982__1.701982	46503__R6XAG6__DXB85_14995
ERR1913199.702104__1.702104	39491__C4ZCV5__DXB99_11855
ERR1913199.702105__1.702105	166486__D4KW49__ROSINTL182_07746
ERR1913199.702156__1.702156	818__A0A3E5HHE1__Btheta7330_00796
ERR1913199.702207__1.702207	216816__C2GSX7__DD678_03555
ERR1913199.702240__1.702240	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913199.702173__1.702173	384638__B7APN3__BACPEC_00639
ERR1913199.702292__1.702292	821__A0A0P0M2J4__DXD46_10295
ERR1913199.702330__1.702330	371601__E5CE41__ERS852396_04351
ERR1913199.702505__1.702505	216816__A0A396FVC5__BL71B_00290
ERR1913199.702589__1.702589	821__A0A173XDD3__DXB82_17180
ERR1913199.702590__1.702590	818__A0A3E5HWN5__BSIG_3066
ERR1913199.702657__1.702657	1235835__R9LCU2__C814_02677
ERR1913199.702823__1.702823	357276__C3RDQ5__HMPREF1065_03827
ERR1913199.702850__1.702850	357276__A0A076IN30__DXD47_09350
ERR1913199.702923__1.702923	820__A0A174CK74__DXB48_07060
ERR1913199.702993__1.702993	166486__D4KZ24__ROSINTL182_05766
ERR1913199.703249__1.703249	410072__A0A3E4GRE0__DXD67_07105
ERR1913199.703270__1.703270	102148__E7MM98__HMPREF9430_00698
ERR1913199.703429__1.703429	821__A0A173XDD3__DXB82_17180
ERR1913199.703436__1.703436	301302__R5UPN9__M72_25701
ERR1913199.703638__1.703638	47678__R5U8S9__DW706_06260
ERR1913199.703764__1.703764	649756__L1PXG6__CL2_21620
ERR1913199.703792__1.703792	216816__B7GN29__BL72_08765
ERR1913199.704067__1.704067	853__A0A3E2U7E6__ERS852582_01640
ERR1913199.704146__1.704146	357276__D1K3K9__EL88_23995
ERR1913199.704107__1.704107	821__E5UY21__C800_02204
ERR1913199.704117__1.704117	360807__A0A1Q6T3E4__ROSEINA2194_03999
ERR1913199.704228__1.704228	820__A0A3E5BMG9__DXD40_05130
ERR1913199.704317__1.704317	418240__C6JFD7__ERS852523_02475
ERR1913199.705066__1.705066	649756__L1PU84__ERS852571_01295
ERR1913199.705165__1.705165	1628085__A0A1C6CGB4__C7386_11411
ERR1913199.705176__1.705176	357276__I8WEZ6__BACDOR_02323
ERR1913199.705263__1.705263	214856__A0A174BE12__ERS852559_01398
ERR1913199.705293__1.705293	216816__A0A0A6VPB9__B624_1780
ERR1913199.705339__1.705339	357276__A0A076IIL0__EL88_03065
ERR1913199.705578__1.705578	357276__A0A0K2HDP3__IY41_00705
ERR1913199.705839__1.705839	1262920__R5KD76__BN467_01465
ERR1913199.705942__1.705942	820__A0A396EUU8__luxQ_3
ERR1913199.705948__1.705948	28026__A0A0A7I510__DXD87_07495
ERR1913199.706016__1.706016	357276__A0A0M1VYB8__HMPREF1063_02104
ERR1913199.706036__1.706036	821__A0A174WBC9__ERS852556_03145
ERR1913199.706037__1.706037	387090__S0F9K2__BACCOPRO_02271
ERR1913199.706077__1.706077	46503__K5ZLB1__DD461_01070
ERR1913199.706081__1.706081	28116__D4WLZ3__C5Z02_24105
ERR1913199.706117__1.706117	28116__I9AKR7__DXA80_22960
ERR1913199.706139__1.706139	820__R9I324__HMPREF2141_02414
ERR1913199.706179__1.706179	823__A0A173W8N5__ERS852513_00780
ERR1913199.706207__1.706207	823__A6LHJ7__ERS852380_00253
ERR1913199.706237__1.706237	410072__A0A3E4GUH0__COPCOM_01729
ERR1913199.706419__1.706419	823__A0A174XJM9__CEQ22_007230
ERR1913199.706520__1.706520	301302__A0A0M6WWC3__M72_11371
ERR1913199.706693__1.706693	821__A0A395VLM8__BvMPK_3650
ERR1913199.706965__1.706965	47678__R5UXJ2__DW706_08325
ERR1913199.707143__1.707143	821__A0A174NVL6__NCTC10583_01782
ERR1913199.707162__1.707162	166486__D4L301__ROSINTL182_06234
ERR1913199.707168__1.707168	823__E1YSG0__DHP27_00465
ERR1913199.707260__1.707260	33039__R6P270__sleB_2
ERR1913199.707311__1.707311	301302__A0A173R6H4__M72_21671
ERR1913199.707431__1.707431	166486__D4L334__mcp3_1
ERR1913199.707453__1.707453	820__A0A174I980__gldH
ERR1913199.707454__1.707454	360807__C0FVV2__RIL183_27361
ERR1913199.707498__1.707498	487174__K0WX70__DDY40_01710
ERR1913199.707552__1.707552	821__A0A3E4HP25__SAMN04487923_102450
ERR1913199.707613__1.707613	410072__A0A173XQG6__ERS852574_01620
ERR1913199.707651__1.707651	47678__R5U8D1__CGC64_17595
ERR1913199.707734__1.707734	39491__A0A395UZZ5__htpG_1
ERR1913199.707746__1.707746	1628085__A0A374VRS5__C7386_10481
ERR1913199.707970__1.707970	357276__A0A076ISJ4__B5F95_19420
ERR1913199.708072__1.708072	823__A0A355XLT7__HMPREF1075_03402
ERR1913199.708184__1.708184	166486__D4KZ04__ERS852572_01569
ERR1913199.708227__1.708227	301302__A0A173V3Z4__ecfA1_3
ERR1913199.708235__1.708235	74426__nrdD
ERR1913199.708295__1.708295	216816__A0A0A1GS44__BBG7_0558
ERR1913199.708444__1.708444	165179__D1PCL6__DXB80_13435
ERR1913199.708452__1.708452	487174__R5EXS5__HMPREF9448_02541
ERR1913199.708641__1.708641	821__A0A173WG51__BVU_2549
ERR1913199.708877__1.708877	820__A0A3E4GA19__SAMN05444418_10562
ERR1913199.709108__1.709108	1680__R5GZJ8__BSTER_1195
ERR1913199.709087__1.709087	1628085__A0A2U1BE16__C7386_104119
ERR1913199.709172__1.709172	821__A0A397WGD6__M098_0084
ERR1913199.709411__1.709411	818__A0A174V5M6__BT_1963
ERR1913199.709422__1.709422	360807__A0A396AIL7__RIL183_26291
ERR1913199.709573__1.709573	823__A0A073I748__M096_3057
ERR1913199.709578__1.709578	1262743__R5C054__BN727_01980
ERR1913199.709584__1.709584	820__A0A3E4GA19__SAMN05444418_10562
ERR1913199.709648__1.709648	301302__A0A173UPG6__ERS852420_03127
ERR1913199.709683__1.709683	418240__A0A173XT66__ERS852478_00742
ERR1913199.709691__1.709691	818__C6ILT7__BSIG_2708
ERR1913199.709810__1.709810	384638__B7AVU0__BACPEC_02840
ERR1913199.709820__1.709820	1680__A0A374QDL4__LMG18897_0432
ERR1913199.709833__1.709833	357276__I9R994__BACDOR_04044
ERR1913199.710019__1.710019	166486__D4L0E1__ypdA_4
ERR1913199.710135__1.710135	357276__A0A076IS26__EL88_15950
ERR1913199.710308__1.710308	820__A0A3E4HWJ4__DXD40_05945
ERR1913199.710354__1.710354	410072__A0A174K1W4__apxIB
ERR1913199.710606__1.710606	357276__A0A0K2HMX2__HMPREF1063_03979
ERR1913199.710639__1.710639	821__C6ZAA5__ERS852556_00403
ERR1913199.710661__1.710661	357276__D1JZM4__HMPREF1065_01278
ERR1913199.710694__1.710694	357276__A0A0K2HG61__BACDOR_02028
ERR1913199.710697__1.710697	47678__R5U3L4__C5Z00_12600
ERR1913199.710736__1.710736	360807__A0A0M6X184__ERS852392_03203
ERR1913199.710837__1.710837	820__R7E9Z4__DXC68_06065
ERR1913199.710860__1.710860	820__A0A3E4W9D9__B5G17_12400
ERR1913199.710905__1.710905	821__A0A0P0LH09__ERS852457_03390
ERR1913199.710986__1.710986	820__A0A174TRB5__DXD40_11305
ERR1913199.710990__1.710990	39488__A0A285PUH7__ERS852450_00520
ERR1913199.711061__1.711061	1262743__R5C054__BN727_01980
ERR1913199.711072__1.711072	39491__A0A173U0X0__DXB72_05865
ERR1913199.711197__1.711197	821__A6L0C7__ERS852556_03520
ERR1913199.711223__1.711223	820__A0A139KIL9__DXC68_05945
ERR1913199.711316__1.711316	820__A0A3E4VZY4__ERS852554_01211
ERR1913199.711328__1.711328	371601__E5CE41__ERS852396_04351
ERR1913199.711373__1.711373	1628085__A0A374VUP1__C7386_10971
ERR1913199.711404__1.711404	39491__A0A395V5R3__EUBREC_1883
ERR1913199.711531__1.711531	357276__G5SMD3__BSEG_02959
ERR1913199.711603__1.711603	47678__R5U7M7__CGC64_14730
ERR1913199.711698__1.711698	357276__A0A076INK2__BSEG_04225
ERR1913199.711786__1.711786	39491__A0A174K9A3__DXB69_07785
ERR1913199.711800__1.711800	820__A0A174R952__DXB48_02570
ERR1913199.711815__1.711815	214856__A0A174G0N0__ERS852447_02436
ERR1913199.711833__1.711833	357276__C3RA36__HMPREF1065_03270
ERR1913199.711840__1.711840	821__A0A0P0LQT3__DXC03_05050
ERR1913199.711851__1.711851	357276__A0A076INK2__BSEG_04225
ERR1913199.711895__1.711895	46503__R6X5W5__HMPREF1078_03156
ERR1913199.711877__1.711877	1262743__R5C054__BN727_01980
ERR1913199.712005__1.712005	301302__R5UL57__ERS852420_00622
ERR1913199.712110__1.712110	310298__B3JQJ5__BACCOP_04231
ERR1913199.712193__1.712193	821__A0A0P0LH09__ERS852457_03390
ERR1913199.712373__1.712373	821__A0A396F1N0__M099_1553
ERR1913199.712384__1.712384	1262743__R5C054__BN727_01980
ERR1913199.712393__1.712393	853__A0A3E2V168__FAEPRAM212_00929
ERR1913199.712397__1.712397	357276__B6W1J2__BACDOR_03380
ERR1913199.712400__1.712400	46503__R6X0P0__DXB61_03855
ERR1913199.712407__1.712407	1735__B7CEC3__EUBIFOR_02567
ERR1913199.712443__1.712443	630129__A0A087B617__BKAS_1320
ERR1913199.712469__1.712469	39491__A0A396FS17__envC
ERR1913199.712526__1.712526	410072__A0A173U3R3__COPCOM_01404
ERR1913199.712597__1.712597	28116__A0A139L3C0__C5Z02_05550
ERR1913199.712822__1.712822	821__A0A174WBC9__ERS852556_03145
ERR1913199.712866__1.712866	39491__A0A395ZJZ1__LD38_01870
ERR1913199.713062__1.713062	33039__D4M0J9__ERS852577_03924
ERR1913199.713047__1.713047	39491__A0A396FPV7__ERS852580_01177
ERR1913199.713050__1.713050	1262536__GeneID:16385454
ERR1913199.713381__1.713381	820__A0A139KG60__M094_2679
ERR1913199.713339__1.713339	357276__I9R002__HMPREF1064_01826
ERR1913199.713393__1.713393	818__A0A3E5HEU1__NCTC10582_02468
ERR1913199.713407__1.713407	818__A0A174LEN9__BJP75_006595
ERR1913199.713451__1.713451	357276__A0A0K2HDP3__IY41_00705
ERR1913199.713464__1.713464	39492__D4JQY4__EUBSIR_01325
ERR1913199.713434__1.713434	329854__R7DQV0__DXD57_13335
ERR1913199.713515__1.713515	357276__C3R5C9__HMPREF1063_00213
ERR1913199.713559__1.713559	39491__D4JMW8__ERS852497_01971
ERR1913199.713657__1.713657	33039__D4M149__ERS852390_03118
ERR1913199.713672__1.713672	649756__A0A173T5Y7__HMPREF0369_02769
ERR1913199.713893__1.713893	357276__I9QBT4__GV66_09000
ERR1913199.714096__1.714096	74426__purL
ERR1913199.714111__1.714111	357276__B6W5Q9__HMPREF1063_03125
ERR1913199.714152__1.714152	820__A0A174QLF0__SAMN05444418_109151
ERR1913199.714205__1.714205	166486__R6AY46__ROSINTL182_06128
ERR1913199.714272__1.714272	360807__C0FWL1__RIL183_24711
ERR1913199.714320__1.714320	1150298__A0A174PLY5__ERS852406_01056
ERR1913199.714329__1.714329	357276__I9R4T1__IY41_06800
ERR1913199.714492__1.714492	418240__A0A174T5R0__yehU_2
ERR1913199.714561__1.714561	218538__C9LNQ3__GCWU000321_01176
ERR1913199.714567__1.714567	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913199.714649__1.714649	823__A6LB62__B5F32_04550
ERR1913199.714905__1.714905	1150298__A0A174PHI0__ERS852498_00826
ERR1913199.714954__1.714954	1262743__R5C054__BN727_01980
ERR1913199.714994__1.714994	28116__A7LUQ0__CUY_2205
ERR1913199.715167__1.715167	33039__D4M6R8__bglB_8
ERR1913199.715102__1.715102	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913199.715114__1.715114	357276__B6VYT9__HMPREF1063_05030
ERR1913199.715292__1.715292	1680__A0A0C2YNK5__BADO_0780
ERR1913199.715361__1.715361	823__A0A174XJM9__CEQ22_007230
ERR1913199.715374__1.715374	820__A0A078STJ8__DXC68_04690
ERR1913199.715408__1.715408	387090__S0FA01__BACCOPRO_02772
ERR1913199.715414__1.715414	1628085__A0A374VPA3__C7386_11438
ERR1913199.715567__1.715567	47678__R5UHH8__HMPREF1061_02584
ERR1913199.715595__1.715595	47678__R5UAI1__BACCAC_01922
ERR1913199.715768__1.715768	387090__S0F9N9__BACCOPRO_02582
ERR1913199.715813__1.715813	47678__A5ZJ14__ERS852494_02225
ERR1913199.715912__1.715912	39491__A0A396FFW0__ERE_10580
ERR1913199.715982__1.715982	823__A0A174XJM9__CEQ22_007230
ERR1913199.716014__1.716014	821__D4VC51__M099_1508
ERR1913199.716115__1.716115	357276__A0A076ITU4__EL88_22160
ERR1913199.716165__1.716165	487174__K0WZU9__HMPREF9448_01159
ERR1913199.716187__1.716187	301302__R5UMB3__M72_01421
ERR1913199.716376__1.716376	821__A0A174AYT0__DXC02_03530
ERR1913199.716399__1.716399	39491__A0A396FVC0__ERE_15900
ERR1913199.716407__1.716407	39491__A0A395ZG74__licR
ERR1913199.716426__1.716426	357276__A0A076IRZ5__BACDOR_00630
ERR1913199.716460__1.716460	47678__R5UAI1__BACCAC_01922
