ERR1913196.134__1.134	301302__R5UIY5__M72_17461
ERR1913196.239115__1.239115	165179__D1PES9__DXB80_11585
ERR1913196.239171__1.239171	853__A0A3E2U7E6__ERS852582_01640
ERR1913196.239138__1.239138	363265__G6AUM0__HMPREF0673_00305
ERR1913196.239461__1.239461	1796613__A0A1C7GYD6__A4V03_03700
ERR1913196.239758__1.239758	301302__A0A173TNM6__luxQ
ERR1913196.239774__1.239774	371601__A0A3E4NKK5__B5E52_17685
ERR1913196.239831__1.239831	301302__A0A0M6WWK6__M72_13961
ERR1913196.239989__1.239989	165179__D1PCL6__DXB80_13435
ERR1913196.240129__1.240129	40518__R5DUJ5__DXD83_01635
ERR1913196.240174__1.240174	552398__F4XCR9__HMPREF0866_01636
ERR1913196.240550__1.240550	1284775__A0A095Y4Z7__HMPREF1640_07200
ERR1913196.240603__1.240603	626940__R6X4V5__DCQ00_10410
ERR1913196.240714__1.240714	301302__A0A173SCU7__M72_12871
ERR1913196.240755__1.240755	363265__R6EW17__HMPREF0673_02095
ERR1913196.240805__1.240805	1262924__R7HPS8__BN585_00646
ERR1913196.240831__1.240831	165179__A0A3E4SEG4__DXC61_11235
ERR1913196.240942__1.240942	853__A0A173XRA8__CGS56_09290
ERR1913196.241218__1.241218	363265__R7GZ37__HMPREF0673_00915
ERR1913196.241418__1.241418	1262929__R6ETI0__BN691_00865
ERR1913196.241463__1.241463	165179__A0A3E5AER8__DXB80_07075
ERR1913196.241796__1.241796	165179__D1PAJ7__PREVCOP_04222
ERR1913196.241813__1.241813	626940__E8LCG7__DCQ00_01770
ERR1913196.241854__1.241854	1262924__R7HPZ6__BN585_00681
ERR1913196.241974__1.241974	39491__A0A173VYV1__DXC13_02710
ERR1913196.242160__1.242160	28052__A0A174MSU9__ERS852499_02010
ERR1913196.242360__1.242360	1262882__R5MKV8__BN519_01281
ERR1913196.242471__1.242471	371601__D6D1F8__BN891_3980
ERR1913196.243035__1.243035	1262929__R6F5G9__BN691_01545
ERR1913196.243096__1.243096	165179__W1I4H6__DXB80_13655
ERR1913196.243143__1.243143	1284775__A0A095Y637__HMPREF1640_07040
ERR1913196.243298__1.243298	214856__A0A174ZB00__ERS852559_00631
ERR1913196.243998__1.243998	2293125__A0A374BSW4__DW917_13420
ERR1913196.244029__1.244029	1160721__R6U5L6__RBI_I01802
ERR1913196.244038__1.244038	165179__A0A3E5EA43__DXC61_07775
ERR1913196.244255__1.244255	552398__F4XCR9__HMPREF0866_01636
ERR1913196.244290__1.244290	33043__A0A173YUV6__ERS852386_00507
ERR1913196.244418__1.244418	626940__E8LFB8__HMPREF9443_01558
ERR1913196.244545__1.244545	301302__R5UK77__M72_08681
ERR1913196.244714__1.244714	165179__D1P8Q2__trpF
ERR1913196.244898__1.244898	165179__A0A229I2W6__PREVCOP_04332
ERR1913196.244937__1.244937	2293125__A0A374CIC9__DW917_02045
ERR1913196.244993__1.244993	165179__R6CJG8__DXC61_09290
ERR1913196.245020__1.245020	649756__R5Z9G3__ERS852571_02234
ERR1913196.245117__1.245117	290054__A0A1T4NGJ6__SAMN02745114_01599
ERR1913196.245202__1.245202	165179__A0A3E5A5E5__DXC61_13965
ERR1913196.245274__1.245274	165179__A0A3E5EB26__CFT61_02800
ERR1913196.245397__1.245397	1262929__R6FUB1__BN691_00386
ERR1913196.245404__1.245404	165179__A0A3E5AFJ9__CFT61_15180
ERR1913196.245496__1.245496	165179__A0A3E5AE59__DXC61_12885
ERR1913196.245502__1.245502	40518__R5E2F3__artQ
ERR1913196.245507__1.245507	165179__A0A3E5DX33__PREVCOP_05190
ERR1913196.245578__1.245578	818__A0A0P0F004__SAMN02910322_02925
ERR1913196.246002__1.246002	74426__group_1871
ERR1913196.246005__1.246005	165179__A0A3E5EB26__CFT61_02800
ERR1913196.246058__1.246058	165179__D1PE06__DXC61_05975
ERR1913196.246062__1.246062	165179__A0A229I1J2__DXB80_03950
ERR1913196.246132__1.246132	165179__R6C5D6__PREVCOP_04658
ERR1913196.246201__1.246201	1262882__R5MNC1__BN519_00818
ERR1913196.246245__1.246245	165179__A0A174IPI3__CFT61_10940
ERR1913196.246511__1.246511	165179__A0A3E5EBV0__DXB80_01745
ERR1913196.246590__1.246590	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913196.246643__1.246643	100886__E2NP92__CATMIT_00376
ERR1913196.246746__1.246746	301302__R5V7D6__tagA
ERR1913196.246991__1.246991	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913196.247164__1.247164	1535__A7VRB1__CLOLEP_01094
ERR1913196.247253__1.247253	1683__C4FF12__BIANG_0266
ERR1913196.247373__1.247373	165179__A0A3E5EAM5__DXC61_07785
ERR1913196.247449__1.247449	165179__W1I4H6__DXB80_13655
ERR1913196.247722__1.247722	40518__R5DRG6__ylbJ
ERR1913196.247837__1.247837	40518__R5DN55__RBATCC27255_01652
ERR1913196.247912__1.247912	901__B6WTQ4__DESPIGER_1255
ERR1913196.247968__1.247968	28052__R7N9Y1__spoIIE
ERR1913196.248071__1.248071	165179__D1PGD2__DXC61_10875
ERR1913196.248072__1.248072	1262882__R5MSX6__BN519_01697
ERR1913196.248146__1.248146	301302__A0A0M6WJW1__ERS852420_02245
ERR1913196.248114__1.248114	823__A0A355XKQ8__DHP27_04010
ERR1913196.248219__1.248219	1262882__R5N1L4__BN519_00757
ERR1913196.248227__1.248227	1262929__R6ETI0__BN691_00865
ERR1913196.248324__1.248324	1262882__R5MYX5__BN519_00333
ERR1913196.248390__1.248390	165179__A0A3E5AER8__DXB80_07075
ERR1913196.248448__1.248448	165179__A0A3E4S980__PREVCOP_04626
ERR1913196.248519__1.248519	165179__A0A3E5E2S3__DXB80_03455
ERR1913196.248615__1.248615	165179__A0A3E5E7J5__DXC61_10360
ERR1913196.248634__1.248634	853__A0A173YYY4__DWZ04_09420
ERR1913196.248730__1.248730	165179__A0A229I443__DXB80_10950
ERR1913196.248784__1.248784	301302__A0A173UAS4__M72_15061
ERR1913196.248866__1.248866	39488__R6GBC5__DXD91_06450
ERR1913196.248868__1.248868	165179__A0A3E5AER8__DXB80_07075
ERR1913196.249350__1.249350	1262929__R6F9I6__BN691_00385
ERR1913196.249706__1.249706	2293125__A0A374BMK9__DW917_16190
ERR1913196.249889__1.249889	165179__A0A3E5EBM5__DXC61_02170
ERR1913196.249937__1.249937	1262882__R5N1L4__BN519_00757
ERR1913196.250131__1.250131	165179__A0A3E5EA43__DXC61_07775
ERR1913196.250154__1.250154	1535__A7VXU8__CH238_14770
ERR1913196.250226__1.250226	853__A0A2A7B9I6__DW855_13690
ERR1913196.250347__1.250347	301302__A0A0M6WTB1__M72_11101
ERR1913196.250393__1.250393	1284775__A0A096A9F7__HMPREF1640_07000
ERR1913196.250407__1.250407	1262882__R5N3H1__BN519_01121
ERR1913196.250461__1.250461	292800__A0A174VWN6__HMPREF9460_03556
ERR1913196.250864__1.250864	1284775__A0A095ZFS6__HMPREF1640_07045
ERR1913196.250870__1.250870	853__A0A173YYY4__DWZ04_09420
ERR1913196.250925__1.250925	301302__R5UNJ6__M72_26701
ERR1913196.251127__1.251127	1262882__R5MLA4__BN519_01536
ERR1913196.251175__1.251175	301302__A0A173TNM6__luxQ
ERR1913196.251292__1.251292	165179__R6CNX7__DXB80_02200
ERR1913196.251360__1.251360	2293125__A0A374BSW4__DW917_13420
ERR1913196.251525__1.251525	165179__A0A3E5DZD8__DXB80_09150
ERR1913196.251614__1.251614	1262882__R5N526__BN519_01603
ERR1913196.251698__1.251698	165179__A0A3E5E5H1__DXC61_07220
ERR1913196.251703__1.251703	165179__A0A174IHQ2__PREVCOP_05478
ERR1913196.251826__1.251826	1262882__R5MKI3__BN519_00334
ERR1913196.251993__1.251993	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913196.252154__1.252154	165179__A0A174W369__PREVCOP_04548
ERR1913196.252218__1.252218	1262929__R6FRR0__BN691_00154
ERR1913196.252265__1.252265	39488__A0A173SMQ7__EUBHAL_00819
ERR1913196.252297__1.252297	165179__A0A3E5AER8__DXB80_07075
ERR1913196.252304__1.252304	301302__A0A173T010__M72_26571
ERR1913196.252472__1.252472	1262882__R5N0F4__BN519_00593
ERR1913196.252483__1.252483	165179__A0A3E5E920__DXB80_11625
ERR1913196.252588__1.252588	1550024__G9RYB3__TQ39_01060
ERR1913196.252715__1.252715	165179__D1PAJ7__PREVCOP_04222
ERR1913196.252764__1.252764	165179__D1PGU8__PREVCOP_06463
ERR1913196.252913__1.252913	39485__C4Z0T2__ykvU
ERR1913196.252950__1.252950	165179__R6PNJ9__PREVCOP_04730
ERR1913196.252951__1.252951	301302__R5VE56__M72_25941
ERR1913196.253037__1.253037	165179__D1PGU8__PREVCOP_06463
ERR1913196.253220__1.253220	626940__R6XX39__DCQ00_06610
ERR1913196.253328__1.253328	165179__D1PAR0__DXB80_01190
ERR1913196.253343__1.253343	78535__A0A0P0N9J4__strH
ERR1913196.253742__1.253742	165179__A0A3E5E2V4__PREVCOP_05070
ERR1913196.253814__1.253814	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913196.254024__1.254024	40518__R5DUU2__yvhJ_2
ERR1913196.254637__1.254637	1735__B7CBI6__EUBIFOR_01561
ERR1913196.254672__1.254672	165179__D1PAJ7__PREVCOP_04222
ERR1913196.254739__1.254739	165179__D1P9T6__PREVCOP_04016
ERR1913196.255072__1.255072	165179__A0A3E5EBV0__DXB80_01745
ERR1913196.255089__1.255089	165179__A0A3E5EAM5__DXC61_07785
ERR1913196.255214__1.255214	1284775__A0A095Y4Y3__HMPREF1640_07095
ERR1913196.255308__1.255308	214851__D1PSL1__SUBVAR_07394
ERR1913196.255454__1.255454	165179__R6CNX7__DXB80_02200
ERR1913196.255549__1.255549	165179__D1PCL6__DXB80_13435
ERR1913196.255853__1.255853	820__A0A374Q351__DXD40_05850
ERR1913196.256235__1.256235	1262882__R5MRT2__BN519_01494
ERR1913196.256237__1.256237	1262930__R5ZV69__BN693_01268
ERR1913196.256328__1.256328	1284775__A0A095ZFS6__HMPREF1640_07045
ERR1913196.256620__1.256620	39485__C4Z2J8__ERS852490_02044
ERR1913196.256648__1.256648	165179__D1P9T6__PREVCOP_04016
ERR1913196.256700__1.256700	1284775__A0A095Y5J4__HMPREF1640_07320
ERR1913196.256758__1.256758	165179__A0A174K816__DXB80_12000
ERR1913196.256823__1.256823	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913196.256870__1.256870	39491__D4JMW8__ERS852497_01971
ERR1913196.257033__1.257033	165179__D1P9T6__PREVCOP_04016
ERR1913196.257010__1.257010	360807__A0A0M6X0M8__ERS852444_00740
ERR1913196.257377__1.257377	239935__R6JD78__CXU05_09250
ERR1913196.257448__1.257448	301302__A0A173TWC1__phoR_7
ERR1913196.257459__1.257459	165179__A0A174UTZ7__DXC61_06705
ERR1913196.257937__1.257937	626940__A0A3C1IKN9__HMPREF9443_00753
ERR1913196.257998__1.257998	40518__R5DM08__DXD83_06415
ERR1913196.258078__1.258078	301302__R5VGE0__ERS852420_00121
ERR1913196.258104__1.258104	2293125__A0A374CIC9__DW917_02045
ERR1913196.258656__1.258656	100886__A0A174M1T3__yijE
ERR1913196.258736__1.258736	1262929__R6FV28__BN691_00620
ERR1913196.258698__1.258698	626933__H1DGX0__HMPREF9449_01506
ERR1913196.258715__1.258715	1262882__R5N1Z9__BN519_01020
ERR1913196.258881__1.258881	165179__A0A174SA26__PREVCOP_05758
ERR1913196.258929__1.258929	165179__A0A3E5AER8__DXB80_07075
ERR1913196.258957__1.258957	165179__D1PDJ4__DXB80_08505
ERR1913196.259075__1.259075	165179__R6CNX7__DXB80_02200
ERR1913196.259081__1.259081	165179__A0A229I4J4__proA
ERR1913196.259171__1.259171	820__A0A3E4GA19__SAMN05444418_10562
ERR1913196.259237__1.259237	165179__A0A3E5EAM5__DXC61_07785
ERR1913196.259651__1.259651	165179__A0A3E5DRF6__DXC61_00200
ERR1913196.259701__1.259701	1262882__R5MXW3__BN519_00319
ERR1913196.259958__1.259958	1262882__R5N5H2__BN519_01493
ERR1913196.260065__1.260065	626940__E8LFE0__BN587_00060
ERR1913196.260427__1.260427	33043__A0A174H1B6__ERS852575_02702
ERR1913196.260403__1.260403	301302__A0A173SUI7__M72_11091
ERR1913196.260396__1.260396	165179__A0A3E5E2S3__DXB80_03455
ERR1913196.260720__1.260720	165179__A0A174SA26__PREVCOP_05758
ERR1913196.260795__1.260795	39488__A0A173RH64__EUBHAL_01712
ERR1913196.260988__1.260988	2024223__A0A255TFB9__CIL02_01190
ERR1913196.261008__1.261008	1304__A0A1W5ZCY0__CKU37_03270
ERR1913196.261037__1.261037	46503__R6X3F9__DCY29_09585
ERR1913196.261186__1.261186	165179__A0A174IYW3__DXC61_01235
ERR1913196.261305__1.261305	1284775__A0A095Y5F5__HMPREF1640_07020
ERR1913196.261338__1.261338	165179__A0A3E5E3D6__DXC61_05750
ERR1913196.261456__1.261456	1262924__R7HU74__BN585_00690
ERR1913196.261522__1.261522	165179__A0A174SR12__DXB80_04410
ERR1913196.261692__1.261692	33043__A0A173YEP6__ERS852575_00888
ERR1913196.261800__1.261800	2293125__A0A374CHN9__DW917_02240
ERR1913196.261889__1.261889	165179__A0A3E5EAM5__DXC61_07785
ERR1913196.261981__1.261981	2024223__A0A255TFB9__CIL02_01190
ERR1913196.262321__1.262321	40518__R5DR72__RBL236_02110
ERR1913196.262329__1.262329	301302__A0A0M6WB53__mcp4_4
ERR1913196.262386__1.262386	165179__A0A3E5E2V4__PREVCOP_05070
ERR1913196.262460__1.262460	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913196.262882__1.262882	1262882__R5MF43__BN519_00282
ERR1913196.263123__1.263123	39488__C0F0P7__ERS852578_02651
ERR1913196.263140__1.263140	165179__A0A3E5A5E5__DXC61_13965
ERR1913196.263154__1.263154	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913196.263299__1.263299	33043__D5HJ22__ERS852575_02302
ERR1913196.263469__1.263469	2293125__A0A374C955__DW917_08135
ERR1913196.263541__1.263541	301302__R5UK77__M72_08681
ERR1913196.263970__1.263970	1262882__R5MKV8__BN519_01281
ERR1913196.263933__1.263933	1262882__R5MKL9__BN519_00353
ERR1913196.264067__1.264067	165179__W1I4H6__DXB80_13655
ERR1913196.264370__1.264370	165179__D1P9T6__PREVCOP_04016
ERR1913196.264327__1.264327	301302__R5UKF2__M72_19701
ERR1913196.264642__1.264642	165179__W1I4H6__DXB80_13655
ERR1913196.264694__1.264694	28117__B0MVL5__BHV66_01660
ERR1913196.264723__1.264723	1680__A0A0B5BKZ3__DXD60_01450
ERR1913196.264765__1.264765	853__A0A173YYY4__DWZ04_09420
ERR1913196.264747__1.264747	100886__E2NVC9__ERS852383_05891
ERR1913196.264816__1.264816	165179__R6BQP4__DXC61_02015
ERR1913196.264907__1.264907	384638__B7APR0__BACPEC_00666
ERR1913196.265009__1.265009	1262882__R5N3H1__BN519_01121
ERR1913196.265229__1.265229	165179__D1PCL6__DXB80_13435
ERR1913196.265264__1.265264	1262882__R5MFA5__BN519_00331
ERR1913196.265318__1.265318	33043__D5HI50__smf
ERR1913196.265289__1.265289	1262882__R5MJJ9__BN519_01035
ERR1913196.265468__1.265468	1263005__R6EQ78__BN497_00036
ERR1913196.265853__1.265853	165179__A0A3E5E643__DXB80_06030
ERR1913196.265951__1.265951	820__A0A173YYG4__evgS_3
ERR1913196.265952__1.265952	1680__A0A174BEE7__BSTER_1311
ERR1913196.265971__1.265971	1744__A0A2C8ALZ0__PFR_JS21-1_1313
ERR1913196.266312__1.266312	1284775__A0A095Y5F5__HMPREF1640_07020
ERR1913196.266358__1.266358	1262882__R5MKV8__BN519_01281
ERR1913196.266494__1.266494	165179__A0A3E5EBM5__DXC61_02170
ERR1913196.266818__1.266818	1262882__R5MKL9__BN519_00353
ERR1913196.267177__1.267177	1262882__R5MPY4__BN519_01128
ERR1913196.267223__1.267223	165179__R6B8D8__DXC61_09245
ERR1913196.267293__1.267293	165179__A0A174W369__PREVCOP_04548
ERR1913196.267447__1.267447	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913196.267869__1.267869	301302__A0A0M6WSS7__ERS852420_02367
ERR1913196.267940__1.267940	1262882__R5MIC9__BN519_00834
ERR1913196.268205__1.268205	301302__A0A0M6W9I4__M72_19871
ERR1913196.268516__1.268516	1262882__R5MT42__BN519_01729
ERR1913196.268469__1.268469	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913196.268658__1.268658	246787__R6KBH9__HMPREF1062_04676
ERR1913196.268659__1.268659	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913196.268630__1.268630	1262882__R5MEN2__BN519_00200
ERR1913196.268975__1.268975	1262929__R6EXK1__BN691_00228
ERR1913196.269036__1.269036	165179__A0A3E5A554__DXB80_13805
ERR1913196.269403__1.269403	1262929__R6F753__BN691_02112
ERR1913196.269606__1.269606	301302__R5UNJ6__M72_26701
ERR1913196.269757__1.269757	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913196.269787__1.269787	165179__D1PDJ4__DXB80_08505
ERR1913196.269820__1.269820	301302__A0A173T0N8__ERS852420_01792
ERR1913196.269860__1.269860	823__A0A073I5R7__cloSI
ERR1913196.269865__1.269865	1680__A0A174BH90__B0487_1759
ERR1913196.269971__1.269971	1262882__R5MPY4__BN519_01128
ERR1913196.269977__1.269977	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913196.270282__1.270282	165179__A0A3E5EAM5__DXC61_07785
ERR1913196.270286__1.270286	214856__A0A174FW22__ERS852447_02437
ERR1913196.270584__1.270584	626940__E8LGD9__cdsA
ERR1913196.270591__1.270591	165179__D1PGJ6__DXC61_07300
ERR1913196.270869__1.270869	165179__A0A3E5A5E5__DXC61_13965
ERR1913196.271238__1.271238	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913196.271309__1.271309	626940__R6X0Z1__DCQ00_01035
ERR1913196.271391__1.271391	165179__D1PGD2__DXC61_10875
ERR1913196.271481__1.271481	165179__R6C5D6__PREVCOP_04658
ERR1913196.271661__1.271661	301302__R5VBR7__phoR_11
ERR1913196.271665__1.271665	371601__D4VH76__rhaR_1
ERR1913196.271686__1.271686	100886__E2NSF9__rpoB
ERR1913196.271769__1.271769	33039__R6P284__spoIIIE
ERR1913196.271895__1.271895	165179__A0A3E4SEG4__DXC61_11235
ERR1913196.271827__1.271827	626940__E8LD34__BHW43_10295
ERR1913196.272171__1.272171	328814__GCA_004558275.1_01005
ERR1913196.272267__1.272267	40518__R5DP21__RBATCC27255_00348
ERR1913196.272380__1.272380	165179__D1PAJ7__PREVCOP_04222
ERR1913196.272598__1.272598	165179__A0A3E5E4P9__DXB80_07930
ERR1913196.272654__1.272654	165179__A0A229I3Z6__PREVCOP_03666
ERR1913196.272915__1.272915	165179__D1PE06__DXC61_05975
ERR1913196.273156__1.273156	165179__D1PEQ5__PREVCOP_05711
ERR1913196.273248__1.273248	33039__A0A174YCL2__ERS852424_00029
ERR1913196.273310__1.273310	165179__A0A174IPI3__CFT61_10940
ERR1913196.273444__1.273444	301302__R5UU15__ERS852420_02998
ERR1913196.273456__1.273456	853__A0A173YYY4__DWZ04_09420
ERR1913196.273631__1.273631	165179__A0A3E5AAM8__DXB80_10240
ERR1913196.273662__1.273662	363265__R6F6E7__HMPREF0673_02119
ERR1913196.273724__1.273724	1262882__R5MKF5__BN519_00316
ERR1913196.273823__1.273823	165179__D1PGJ6__DXC61_07300
ERR1913196.273895__1.273895	1323__A0A380LLE3__glcK
ERR1913196.273903__1.273903	106588__A6NUL8__BACCAP_01900
ERR1913196.273906__1.273906	301302__R5VGE0__ERS852420_00121
ERR1913196.274389__1.274389	301302__R5UK77__M72_08681
ERR1913196.274411__1.274411	1680__A0A087DHN0__AL0462_1532
ERR1913196.274439__1.274439	28116__A7LS06__HMPREF2532_04668
ERR1913196.274320__1.274320	371601__D7K8P3__SAMN05216250_10395
ERR1913196.274335__1.274335	33043__D5HEE1__ERS852386_01671
ERR1913196.274447__1.274447	165179__A0A174SA26__PREVCOP_05758
ERR1913196.274720__1.274720	1735__B7C9S1__EUBIFOR_00931
ERR1913196.274698__1.274698	165179__A0A3E5A5E5__DXC61_13965
ERR1913196.274645__1.274645	165179__A0A3E5A5E5__DXC61_13965
ERR1913196.274998__1.274998	100886__E2NSF9__rpoB
ERR1913196.275262__1.275262	1547__B0N2S0__CLORAM_00809
ERR1913196.275289__1.275289	1262929__R6ETI0__BN691_00865
ERR1913196.275543__1.275543	165179__A0A3E5EA43__DXC61_07775
ERR1913196.275725__1.275725	1262882__R5MKV8__BN519_01281
ERR1913196.276017__1.276017	165179__D1P8V8__DXC61_01940
ERR1913196.276025__1.276025	1284775__A0A095Y649__HMPREF1640_07125
ERR1913196.276645__1.276645	706562__GCA_900112995.1_01624
ERR1913196.277127__1.277127	40518__R5DZB1__DXD83_08840
ERR1913196.277428__1.277428	2293125__A0A374BSW4__DW917_13420
ERR1913196.277570__1.277570	301302__R5UK77__M72_08681
ERR1913196.277575__1.277575	165179__A0A3E5EB26__CFT61_02800
ERR1913196.277736__1.277736	33043__D5HHY4__luxQ_1
ERR1913196.277648__1.277648	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913196.278131__1.278131	165179__D1PAJ7__PREVCOP_04222
ERR1913196.278401__1.278401	165179__A0A174SA26__PREVCOP_05758
ERR1913196.278536__1.278536	165179__A0A3E5A832__DXC61_13685
ERR1913196.278675__1.278675	1262929__R6EZA2__BN691_02113
ERR1913196.278780__1.278780	1262882__R5MPL0__BN519_01038
ERR1913196.278796__1.278796	1680__A0A173Y6N7__yhaH
ERR1913196.278999__1.278999	360807__A0A0M6WAX8__ROSEINA2194_01360
ERR1913196.279212__1.279212	33043__A0A174CPX4__ERS852386_02360
ERR1913196.279301__1.279301	39490__A0A173R762__ERS852448_00257
ERR1913196.279482__1.279482	39488__C0EY05__EUBHAL_02306
ERR1913196.279505__1.279505	1262882__R5MYX5__BN519_00333
ERR1913196.279547__1.279547	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913196.279678__1.279678	1284775__A0A095Y5J4__HMPREF1640_07320
ERR1913196.279977__1.279977	165179__A0A174SA26__PREVCOP_05758
ERR1913196.280096__1.280096	165179__A0A3E4SEG4__DXC61_11235
ERR1913196.280025__1.280025	33043__A0A174B6N5__ERS852445_02414
ERR1913196.280276__1.280276	43675__A0A2I1Z375__RMDY18_18990
ERR1913196.280451__1.280451	1262882__R5MIP9__BN519_01028
ERR1913196.280462__1.280462	165179__A0A174SR12__DXB80_04410
ERR1913196.280509__1.280509	166486__D4L082__yicI_5
ERR1913196.280590__1.280590	1262882__R5MLA4__BN519_01536
ERR1913196.280835__1.280835	410072__C0BAJ3__ERS852574_01527
ERR1913196.281255__1.281255	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913196.281483__1.281483	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913196.281539__1.281539	165179__R6BQP4__DXC61_02015
ERR1913196.281638__1.281638	165179__D1PE06__DXC61_05975
ERR1913196.281823__1.281823	301302__R5V5K3__M72_10541
ERR1913196.282068__1.282068	165179__R6CNX7__DXB80_02200
ERR1913196.282335__1.282335	1284775__A0A095Y5I6__HMPREF1640_07260
ERR1913196.282419__1.282419	626933__H1DGX0__HMPREF9449_01506
ERR1913196.282448__1.282448	301302__A0A0M6W9I4__M72_19871
ERR1913196.282517__1.282517	165179__A0A3E5EAM5__DXC61_07785
ERR1913196.282619__1.282619	1262882__R5MLA4__BN519_01536
ERR1913196.282728__1.282728	165179__D1PES9__DXB80_11585
ERR1913196.283612__1.283612	410072__A0A3E4GMB7__COPCOM_03357
ERR1913196.283588__1.283588	165179__A0A3E5AG99__DXB80_04390
ERR1913196.283637__1.283637	1680__A1A132__B0703_0684
ERR1913196.283705__1.283705	745368__A0A1T4X705__SAMN02745178_01472
ERR1913196.283770__1.283770	301302__R5UNJ6__M72_26701
ERR1913196.283872__1.283872	1262929__R6F8A0__BN691_00413
ERR1913196.284008__1.284008	165179__D1PDG7__DXB80_11180
ERR1913196.284384__1.284384	301302__A0A0M6W9I4__M72_19871
ERR1913196.284418__1.284418	301302__A0A173UT39__M72_23901
ERR1913196.284435__1.284435	649756__D4MY23__ERS852571_00200
ERR1913196.284729__1.284729	270498__A0A0M2NFX2__CHK_1440
ERR1913196.284797__1.284797	165179__A0A3E5EBQ2__DXC61_01930
ERR1913196.284829__1.284829	292800__G9YPA9__HMPREF0372_01338
ERR1913196.284918__1.284918	823__A0A174KUS4__araC_7
ERR1913196.284908__1.284908	165179__A0A229I1J2__DXB80_03950
ERR1913196.285338__1.285338	100886__A0A174LEG5__ERS852383_05606
ERR1913196.285581__1.285581	165179__A0A229I1J2__DXB80_03950
ERR1913196.285760__1.285760	301302__R5UNJ6__M72_26701
ERR1913196.285877__1.285877	1262882__R5N526__BN519_01603
ERR1913196.286112__1.286112	823__A0A078TE44__DD466_14830
ERR1913196.286183__1.286183	165179__A0A3E5EB26__CFT61_02800
ERR1913196.286232__1.286232	363265__G6AZB1__HMPREF0673_01975
ERR1913196.286452__1.286452	100886__A0A174HIL4__rhaS_1
ERR1913196.286907__1.286907	39488__A0A173SKQ5__DXD91_03870
ERR1913196.287157__1.287157	301302__R5UKE6__M72_05651
ERR1913196.287161__1.287161	214856__A0A174ZLY7__ERS852447_02456
ERR1913196.287793__1.287793	165179__A0A3E5EBV0__DXB80_01745
ERR1913196.287923__1.287923	165179__A0A3E5A554__DXB80_13805
ERR1913196.288159__1.288159	165179__A0A174SR12__DXB80_04410
ERR1913196.288205__1.288205	165179__A0A3E5EA43__DXC61_07775
ERR1913196.288449__1.288449	1160721__R6U7U7__cheW1
ERR1913196.289135__1.289135	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913196.289329__1.289329	165179__D1PAJ7__PREVCOP_04222
ERR1913196.289355__1.289355	301302__R5UHX5__M72_14301
ERR1913196.290067__1.290067	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913196.290145__1.290145	165179__D1PGD2__DXC61_10875
ERR1913196.290559__1.290559	165179__A0A3E5E2B6__DXB80_02820
ERR1913196.290634__1.290634	165179__A0A174UI01__DXB80_12165
ERR1913196.290903__1.290903	1262929__R6F5G9__BN691_01545
ERR1913196.290911__1.290911	360807__A0A0M6WAF4__ERS852392_02663
ERR1913196.291207__1.291207	1262929__R6EYD9__BN691_00502
ERR1913196.291235__1.291235	33039__A0A173VTT4__frdB_1
ERR1913196.291451__1.291451	363265__R6F6E7__HMPREF0673_02119
ERR1913196.291539__1.291539	165179__A0A229I1J2__DXB80_03950
ERR1913196.291690__1.291690	360807__A0A1Q6SWU5__ERS852444_03068
ERR1913196.291761__1.291761	165179__A0A3E5E920__DXB80_11625
ERR1913196.291804__1.291804	165179__A0A3E5E7J5__DXC61_10360
ERR1913196.292015__1.292015	853__A0A173XRA8__CGS56_09290
ERR1913196.292186__1.292186	1262930__R5ZWP2__BN693_01542
ERR1913196.292308__1.292308	165179__D1PGJ6__DXC61_07300
ERR1913196.292403__1.292403	1262882__R5N3T7__BN519_01188
ERR1913196.292461__1.292461	28116__C3QMW5__M089_4133
ERR1913196.292480__1.292480	165179__A0A3E5A5E5__DXC61_13965
ERR1913196.292854__1.292854	165179__A0A174IYW3__DXC61_01235
ERR1913196.292937__1.292937	165179__A0A3E5E7J5__DXC61_10360
ERR1913196.293161__1.293161	165179__A0A3E4SEG4__DXC61_11235
ERR1913196.293308__1.293308	671266__GCA_004801615.1_01688
ERR1913196.293346__1.293346	165179__D1PE06__DXC61_05975
ERR1913196.293827__1.293827	328814__GCA_004558275.1_00059
ERR1913196.293838__1.293838	165179__D1PAV8__DXB80_13055
