ERR1913062.179__1.179	33039__D4M2F6__RTO_06900
ERR1913062.249813__1.249813	821__A0A3E4KIM1__M097_3660
ERR1913062.250125__1.250125	1262924__R7HPU8__BN585_00010
ERR1913062.250333__1.250333	46506__A0A108TCU0__etk
ERR1913062.250361__1.250361	2293125__A0A374BSW4__DW917_13420
ERR1913062.250423__1.250423	1262948__R7E7C6__BN671_01765
ERR1913062.250429__1.250429	46503__A7AB74__DD461_00855
ERR1913062.250435__1.250435	165179__R6B8D8__DXC61_09245
ERR1913062.250568__1.250568	301301__A0A395V4S5__RHOM_15770
ERR1913062.250807__1.250807	853__A0A173TAZ8__DWZ46_14590
ERR1913062.250823__1.250823	821__A0A0P0M2J4__DXD46_10295
ERR1913062.250829__1.250829	165179__D1PCL6__DXB80_13435
ERR1913062.250845__1.250845	28118__F9Z3J9__B5F93_07500
ERR1913062.250881__1.250881	357276__E5UTL1__HMPREF1065_03551
ERR1913062.250915__1.250915	1262992__R5D3T4__BN795_00483
ERR1913062.250971__1.250971	166486__D4KUL4__pemA
ERR1913062.250993__1.250993	301301__G2SX83__RHOM_09430
ERR1913062.251218__1.251218	357276__I9QWN0__ABI39_00335
ERR1913062.251337__1.251337	165179__A0A3E5DN34__DXC61_07865
ERR1913062.251592__1.251592	821__A0A174V2F3__NCTC10583_01474
ERR1913062.251598__1.251598	1262924__R7HQ14__BN585_00419
ERR1913062.251718__1.251718	310298__B3JPD1__BACCOP_02317
ERR1913062.251782__1.251782	310298__B3JN86__BACCOP_03398
ERR1913062.251830__1.251830	1262930__R6AXR1__BN693_00352
ERR1913062.251875__1.251875	46503__K5ZM81__DCY29_16460
ERR1913062.251904__1.251904	1150298__R7JTW4__yvhJ
ERR1913062.252012__1.252012	310298__B3JQR0__BACCOP_04272
ERR1913062.252045__1.252045	821__R9HFW2__DXD01_00365
ERR1913062.252200__1.252200	1262930__R6A775__BN693_00822
ERR1913062.252262__1.252262	410072__A0A174AQ98__COPCOM_03377
ERR1913062.252271__1.252271	1150298__R7JTY5__ERS852406_02079
ERR1913062.252353__1.252353	357276__D1JZM4__HMPREF1065_01278
ERR1913062.252380__1.252380	821__A0A174WBC9__ERS852556_03145
ERR1913062.252412__1.252412	823__A0A174VHT1__DHP27_04775
ERR1913062.252636__1.252636	410072__A0A174K186__ERS852481_00847
ERR1913062.252748__1.252748	820__A0A173YYG4__evgS_3
ERR1913062.252875__1.252875	821__C6ZAA5__ERS852556_00403
ERR1913062.252817__1.252817	39488__C0EVP9__ERS852450_03163
ERR1913062.253030__1.253030	357276__I9R994__BACDOR_04044
ERR1913062.253100__1.253100	544644__GCA_001915615.1_00036
ERR1913062.253169__1.253169	410072__A0A173ZG02__ERS852574_01061
ERR1913062.253215__1.253215	165179__A0A3E5E8M8__DXB80_11580
ERR1913062.253471__1.253471	818__A0A174VIU7__ERS852557_03640
ERR1913062.253557__1.253557	165179__A0A174SA26__PREVCOP_05758
ERR1913062.253664__1.253664	165179__D1PGU8__PREVCOP_06463
ERR1913062.253676__1.253676	39486__B0G9H3__DXD18_11315
ERR1913062.253817__1.253817	1262930__R6AQM8__BN693_01323
ERR1913062.253822__1.253822	371601__C3QP88__BN890_39790
ERR1913062.253859__1.253859	1099853__G9S816__NSB1T_03605
ERR1913062.253891__1.253891	823__A0A355XF06__B5F32_11480
ERR1913062.254277__1.254277	33025__A0A395J8P0__C8D73_1144
ERR1913062.254333__1.254333	1262924__R7HQB7__BN585_02057
ERR1913062.254405__1.254405	410072__C0B686__ERS852481_00939
ERR1913062.254509__1.254509	39496__A5Z6L0__EUBVEN_01343
ERR1913062.254820__1.254820	410072__A0A174LAX8__DXD67_10655
ERR1913062.254863__1.254863	165179__A0A3E5AER8__DXB80_07075
ERR1913062.254946__1.254946	165179__D1PHC0__PREVCOP_06640
ERR1913062.255149__1.255149	357276__A0A0K2HG61__BACDOR_02028
ERR1913062.255275__1.255275	1150298__A0A174L2G3__ERS852498_01371
ERR1913062.255359__1.255359	1262924__R7HNL6__BN585_01912
ERR1913062.255512__1.255512	28116__D4WLZ3__C5Z02_24105
ERR1913062.255513__1.255513	820__A0A173W419__DXC68_17760
ERR1913062.255506__1.255506	821__A6L0C7__ERS852556_03520
ERR1913062.255619__1.255619	1262924__R7HMF7__BN585_01507
ERR1913062.255813__1.255813	820__I9TWZ7__DXC80_10550
ERR1913062.255837__1.255837	649756__E5VNF2__DO83_06405
ERR1913062.255839__1.255839	166486__R6B4E4__sinR_2
ERR1913062.255841__1.255841	821__A0A174V2F3__NCTC10583_01474
ERR1913062.255943__1.255943	1262992__R5D4Q0__BN795_01630
ERR1913062.255955__1.255955	1262924__R7HPZ6__BN585_00681
ERR1913062.255965__1.255965	371601__A0A1Y4VNI9__CW1_3373
ERR1913062.255967__1.255967	166486__D4KZW9__degS
ERR1913062.256056__1.256056	166486__D4L457__ROSINTL182_07087
ERR1913062.256157__1.256157	823__D7IT19__DHP27_03495
ERR1913062.256258__1.256258	821__A0A396F9T7__M097_3427
ERR1913062.256388__1.256388	357276__B6W5Q9__HMPREF1063_03125
ERR1913062.256492__1.256492	46503__R6X6Y1__DCY29_15600
ERR1913062.256559__1.256559	310298__B3JQJ5__BACCOP_04231
ERR1913062.256839__1.256839	2293125__A0A374BY09__DW917_11855
ERR1913062.257076__1.257076	853__A0A173TAZ8__DWZ46_14590
ERR1913062.257154__1.257154	1550024__A0A0D8J0K7__TQ39_06245
ERR1913062.257208__1.257208	218538__C9LPE5__GCWU000321_01424
ERR1913062.257447__1.257447	218538__C9LR41__GCWU000321_00309
ERR1913062.257453__1.257453	39488__A0A173Y251__mscS
ERR1913062.257579__1.257579	853__A8SB03__C4Q21_07960
ERR1913062.257917__1.257917	166486__D4KWT3__ROSINTL182_05973
ERR1913062.257965__1.257965	626930__F3PYU5__HMPREF9446_03903
ERR1913062.258047__1.258047	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.258169__1.258169	28118__R6G1Z6__B5F93_09405
ERR1913062.258233__1.258233	820__A0A139K4W5__HMPREF2141_02394
ERR1913062.258382__1.258382	2293125__A0A374BSW4__DW917_13420
ERR1913062.258597__1.258597	2293125__A0A374BUM7__DW917_12980
ERR1913062.258700__1.258700	165179__R6B8D8__DXC61_09245
ERR1913062.258725__1.258725	1304__F8LHY7__pspA_6
ERR1913062.258880__1.258880	2293125__A0A374BV30__DW917_13395
ERR1913062.258971__1.258971	28118__F9ZAB2__SAMEA44545918_01079
ERR1913062.259063__1.259063	166486__A0A173T114__ROSINTL182_05085
ERR1913062.259167__1.259167	360807__R5HHK5__ROSEINA2194_02134
ERR1913062.259223__1.259223	39496__A5Z7Y6__EUBVEN_01827
ERR1913062.259224__1.259224	39488__C0F0P8__EUBHAL_03272
ERR1913062.259302__1.259302	818__R7KV41__Btheta7330_04616
ERR1913062.259407__1.259407	821__A0A174NM17__lacZ_6
ERR1913062.259489__1.259489	88431__A0A3D0EY52__ERS852573_01763
ERR1913062.259692__1.259692	357276__I9QPN0__B5F95_09195
ERR1913062.259751__1.259751	820__A0A139KIL9__DXC68_05945
ERR1913062.259823__1.259823	357276__C3R5A0__B5F00_02960
ERR1913062.259894__1.259894	357276__I9FRW5__B5F95_21685
ERR1913062.260095__1.260095	310298__B3JFK6__BACCOP_00656
ERR1913062.260107__1.260107	821__A0A0P0LFP6__C5Z04_13890
ERR1913062.260267__1.260267	1262930__R5ZXL8__BN693_01321
ERR1913062.260375__1.260375	820__A0A139K5A6__DXB48_12175
ERR1913062.260481__1.260481	39488__C0EVS1__ERS852450_02297
ERR1913062.260503__1.260503	2293125__A0A374BSW4__DW917_13420
ERR1913062.260592__1.260592	39486__G1WN57__DORFOR_02477
ERR1913062.260721__1.260721	360807__A0A173SPW8__ERS852444_01048
ERR1913062.260938__1.260938	544645__A0A3E4T3K9__DXC42_11565
ERR1913062.260978__1.260978	2293125__A0A374BUM7__DW917_12980
ERR1913062.261083__1.261083	853__A0A173SUU8__CGS54_06840
ERR1913062.261153__1.261153	165179__D1PHC0__PREVCOP_06640
ERR1913062.261202__1.261202	357276__A0A076ISJ4__B5F95_19420
ERR1913062.261299__1.261299	853__A0A2A7B9I6__DW855_13690
ERR1913062.261320__1.261320	166486__R6AZI2__ydaF
ERR1913062.261337__1.261337	821__I9R3W6__DXC16_12455
ERR1913062.261493__1.261493	310298__B3JJG1__BACCOP_02031
ERR1913062.261529__1.261529	166486__D4KWP5__ROSINTL182_06014
ERR1913062.261549__1.261549	853__A0A2A7B1Y7__C7K05_11930
ERR1913062.261571__1.261571	418240__A0A174QSP2__kinA_1
ERR1913062.261612__1.261612	166486__D4KV78__aroA
ERR1913062.261651__1.261651	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.261920__1.261920	360807__C0FNJ9__ERS852392_02898
ERR1913062.261929__1.261929	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913062.262348__1.262348	166486__D4L3D1__ERS852572_03371
ERR1913062.262365__1.262365	166486__D4L456__rpfG_10
ERR1913062.262454__1.262454	28116__A0A1Y4PWE4__M089_4352
ERR1913062.262646__1.262646	544644__GCA_001915615.1_01953
ERR1913062.262660__1.262660	28118__F9Z4Q7__DER54_08070
ERR1913062.262624__1.262624	33025__A0A395JEP7__C8D73_10844
ERR1913062.262856__1.262856	46503__R6X0L4__DXB61_05325
ERR1913062.262912__1.262912	165179__A0A3E5ED28__PREVCOP_06655
ERR1913062.262932__1.262932	165179__R6PU83__CFT61_14275
ERR1913062.263007__1.263007	821__A0A395VLM8__BvMPK_3650
ERR1913062.263136__1.263136	853__A0A173SUU8__CGS54_06840
ERR1913062.263220__1.263220	1472761__GCA_002159295.1_00731
ERR1913062.263348__1.263348	820__A0A3E4W4Y7__B5G17_02055
ERR1913062.263872__1.263872	33025__A0A395JF03__C8D73_101684
ERR1913062.264124__1.264124	165179__A0A3E5DY64__CFT61_10025
ERR1913062.264138__1.264138	28116__A0A396DFW5__C5Z02_07010
ERR1913062.264318__1.264318	166486__D4KX83__ERS852572_01103
ERR1913062.264390__1.264390	28116__A0A3D2LPA1__CUY_3388
ERR1913062.264433__1.264433	166486__D4KUL4__pemA
ERR1913062.264956__1.264956	357276__I9QWN0__ABI39_00335
ERR1913062.265001__1.265001	166486__R6B4E4__sinR_2
ERR1913062.265064__1.265064	2293125__A0A374BLR6__DW917_15555
ERR1913062.265149__1.265149	820__A0A3E4FZM1__adaA_2
ERR1913062.265288__1.265288	166486__D4KWL3__ROSINTL182_06053
ERR1913062.265263__1.265263	46503__K5ZBF7__DD461_15285
ERR1913062.265386__1.265386	821__I9R3W6__DXC16_12455
ERR1913062.265389__1.265389	301301__G2T0A9__RHOM_03910
ERR1913062.265430__1.265430	28111__E5X237__NCTC11155_00628
ERR1913062.265471__1.265471	821__A0A396F9T7__M097_3427
ERR1913062.265688__1.265688	821__A0A395UNT8__DXD64_15275
ERR1913062.265670__1.265670	166486__D4KRN2__ERS852572_01816
ERR1913062.265751__1.265751	821__A0A174V2F3__NCTC10583_01474
ERR1913062.265951__1.265951	823__A0A078SLK0__ERS852513_02755
ERR1913062.265962__1.265962	84030__D6DEC1__B5F06_11815
ERR1913062.266123__1.266123	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913062.266137__1.266137	821__A0A174V2F3__NCTC10583_01474
ERR1913062.266171__1.266171	28116__A0A395W017__HMPREF1017_03721
ERR1913062.266215__1.266215	1262924__R7HM98__BN585_01697
ERR1913062.266262__1.266262	649756__D4MXQ3__DO83_00245
ERR1913062.266558__1.266558	166486__D4KXJ6__ERS852572_00336
ERR1913062.266628__1.266628	28118__R6F5X8__DF785_07935
ERR1913062.266776__1.266776	357276__I9F3U2__B5F00_20845
ERR1913062.266852__1.266852	29361__B6FKH5__CLONEX_00621
ERR1913062.266956__1.266956	47678__R5UUQ0__C5Z00_15605
ERR1913062.267021__1.267021	1262930__R6AQM8__BN693_01323
ERR1913062.267032__1.267032	818__Q8A0V7__BSIG_2755
ERR1913062.267075__1.267075	166486__R6AY46__ROSINTL182_06128
ERR1913062.267251__1.267251	544644__GCA_001915615.1_01913
ERR1913062.267312__1.267312	357276__A0A076ISJ4__B5F95_19420
ERR1913062.267674__1.267674	544644__GCA_001915615.1_01040
ERR1913062.267908__1.267908	418240__C6JFK4__ERS852523_01172
ERR1913062.268064__1.268064	357276__A0A0K2HG61__BACDOR_02028
ERR1913062.268142__1.268142	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913062.268273__1.268273	2293125__A0A374BUM7__DW917_12980
ERR1913062.268495__1.268495	166486__C7GAX1__ERS852572_03188
ERR1913062.268577__1.268577	823__A0A395YRW4__DD466_15895
ERR1913062.268578__1.268578	357276__I8WBQ9__HMPREF1065_03212
ERR1913062.268726__1.268726	357276__I9QBT7__BSEG_03340
ERR1913062.268994__1.268994	821__C6ZAA5__ERS852556_00403
ERR1913062.269005__1.269005	165179__D1PGU8__PREVCOP_06463
ERR1913062.269017__1.269017	821__A6L0C7__ERS852556_03520
ERR1913062.269257__1.269257	1262930__R5ZZI5__BN693_01682
ERR1913062.269247__1.269247	165179__R6B8D8__DXC61_09245
ERR1913062.269319__1.269319	1262930__R5ZZI5__BN693_01682
ERR1913062.269503__1.269503	28118__F9Z751__DHW44_02965
ERR1913062.269806__1.269806	820__A0A139K8X8__DXC80_17665
ERR1913062.270004__1.270004	46503__K5ZBF7__DD461_15285
ERR1913062.270168__1.270168	820__A0A374Q854__HMPREF1073_03281
ERR1913062.270485__1.270485	821__R6F3Y1__SAMN04487923_104318
ERR1913062.270661__1.270661	2293125__A0A374BY09__DW917_11855
ERR1913062.270685__1.270685	823__A0A355XN73__DXC05_07000
ERR1913062.270742__1.270742	544644__GCA_001915615.1_02293
ERR1913062.270907__1.270907	28111__R5K222__bglX_7
ERR1913062.271180__1.271180	884684__GCA_002892425.1_01408
ERR1913062.271232__1.271232	28116__A0A1Y4PVC6__C5Z02_22085
ERR1913062.271236__1.271236	1262930__R6A6B2__BN693_00668
ERR1913062.271374__1.271374	418240__R7CMR9__yehU_7
ERR1913062.271449__1.271449	1262930__R6ADH9__BN693_01876
ERR1913062.271548__1.271548	218538__C9LQW2__GCWU000321_01944
ERR1913062.271813__1.271813	39496__A5Z3A9__EUBVEN_00155
ERR1913062.272146__1.272146	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.272184__1.272184	357276__A0A076IYG1__B5F95_22465
ERR1913062.272202__1.272202	357276__A6L053__ABI39_04450
ERR1913062.272316__1.272316	1262930__R6AQM8__BN693_01323
ERR1913062.272364__1.272364	853__A8S882__C4N23_07600
ERR1913062.272481__1.272481	357276__I9QBT7__BSEG_03340
ERR1913062.272491__1.272491	39488__A0A174GS53__dnaC_1
ERR1913062.272520__1.272520	1262930__R6A759__BN693_00811
ERR1913062.272576__1.272576	818__A0A3E5HVB7__Btheta7330_02386
ERR1913062.272605__1.272605	2293125__A0A374BY09__DW917_11855
ERR1913062.272727__1.272727	28118__A0A1Y3Y204__NCTC10826_02015
ERR1913062.272741__1.272741	46503__R6WZC3__DCY29_09820
ERR1913062.272908__1.272908	1262948__R7EAF1__BN671_00196
ERR1913062.273011__1.273011	33039__D4M0J9__ERS852577_03924
ERR1913062.273053__1.273053	46503__A7AKE6__DCY29_01960
ERR1913062.273159__1.273159	357276__A0A076ITU4__EL88_22160
ERR1913062.273385__1.273385	410072__A0A174L0Z1__ERS852525_00863
ERR1913062.273505__1.273505	2293125__A0A374BN09__DW917_16245
ERR1913062.273861__1.273861	357276__A0A076ITH2__BSEG_03273
ERR1913062.274101__1.274101	310298__B3JQJ5__BACCOP_04231
ERR1913062.274204__1.274204	357276__I9QWN0__ABI39_00335
ERR1913062.274318__1.274318	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913062.274360__1.274360	310298__B3JQJ5__BACCOP_04231
ERR1913062.274364__1.274364	28052__A0A174KY36__mepA_13
ERR1913062.274395__1.274395	166486__D4KUT4__ERS852572_01421
ERR1913062.274442__1.274442	166486__D4KUT4__ERS852572_01421
ERR1913062.274499__1.274499	310298__B3JNG7__BACCOP_03480
ERR1913062.274536__1.274536	2293125__A0A374BSW4__DW917_13420
ERR1913062.274593__1.274593	166486__D4KWM9__ROSINTL182_06036
ERR1913062.274551__1.274551	74426__pdxS
ERR1913062.274735__1.274735	1150298__A0A174N5I7__ERS852498_01953
ERR1913062.274831__1.274831	1262924__R7HML0__BN585_01508
ERR1913062.275002__1.275002	39488__A0A374MTU0__ERS852578_02616
ERR1913062.275024__1.275024	626929__R6LJ78__B5F97_01745
ERR1913062.275146__1.275146	46503__A7AG53__DD461_14240
ERR1913062.275179__1.275179	671267__R9I7B5__C802_04018
ERR1913062.275322__1.275322	823__K6ACX1__ERS852513_00266
ERR1913062.275531__1.275531	2293125__A0A374BSW4__DW917_13420
ERR1913062.275592__1.275592	88431__A0A174JYP5__DORLON_02789
ERR1913062.275712__1.275712	165179__A0A174UTZ7__DXC61_06705
ERR1913062.275693__1.275693	166486__D4KNM9__ERS852572_00072
ERR1913062.275696__1.275696	853__A0A173XRA8__CGS56_09290
ERR1913062.275966__1.275966	218538__C9LR31__GCWU000321_02013
ERR1913062.275968__1.275968	410072__C0BC38__ERS852574_02017
ERR1913062.276036__1.276036	2293125__A0A374BUM7__DW917_12980
ERR1913062.276024__1.276024	820__A0A3E4QZJ7__C801_01798
ERR1913062.276114__1.276114	626929__F3PME8__HMPREF9445_03046
ERR1913062.276363__1.276363	818__A0A0P0FLV3__ERS852430_01650
ERR1913062.276542__1.276542	556259__E5C6L5__BSGG_0298
ERR1913062.276633__1.276633	28118__F9ZAK9__DF785_10030
ERR1913062.276692__1.276692	33039__D4M0U3__ERS852577_02211
ERR1913062.276728__1.276728	310298__B3JQJ5__BACCOP_04231
ERR1913062.276794__1.276794	46503__R6WZ80__PARMER_04397
ERR1913062.276946__1.276946	165179__A0A174IPI3__CFT61_10940
ERR1913062.277061__1.277061	310298__B3JK97__BACCOP_02326
ERR1913062.277203__1.277203	165179__D1PHC0__PREVCOP_06640
ERR1913062.277276__1.277276	544644__GCA_001915615.1_00059
ERR1913062.277459__1.277459	2293125__A0A374C8A8__DW917_07550
ERR1913062.277713__1.277713	823__A0A355XIK0__CEQ22_011965
ERR1913062.277830__1.277830	487174__K0WZ94__HMPREF9448_00984
ERR1913062.277780__1.277780	853__C7H7F8__yccM_1
ERR1913062.277866__1.277866	166486__R6AY46__ROSINTL182_06128
ERR1913062.277875__1.277875	820__A0A174F0C1__nreB
ERR1913062.277876__1.277876	2108523__A0A2P2F214__LAWASA_27
ERR1913062.277919__1.277919	39496__A5Z4A5__EUBVEN_00528
ERR1913062.278131__1.278131	357276__I9FRW5__B5F95_21685
ERR1913062.278204__1.278204	166486__D4L334__mcp3_1
ERR1913062.278516__1.278516	2293125__A0A374BUM7__DW917_12980
ERR1913062.278534__1.278534	1099853__U5CL59__NSB1T_06140
ERR1913062.278893__1.278893	1262930__R5ZRJ3__BN693_00633
ERR1913062.278977__1.278977	39488__A0A285PRH2__EUBHAL_01264
ERR1913062.279050__1.279050	310298__B3JMG0__BACCOP_03099
ERR1913062.279249__1.279249	357276__I9R002__HMPREF1064_01826
ERR1913062.279291__1.279291	853__A0A173T751__C4N24_10280
ERR1913062.279423__1.279423	818__Q8A335__HMPREF2534_01154
ERR1913062.279502__1.279502	818__A0A1H7TGM1__BJP75_010615
ERR1913062.279504__1.279504	821__A0A397WGD6__M098_0084
ERR1913062.279777__1.279777	33039__D4M286__ERS852502_02380
ERR1913062.279858__1.279858	328814__GCA_004558275.1_01743
ERR1913062.280171__1.280171	1262930__R6AUX8__BN693_00160
ERR1913062.280122__1.280122	1235835__R9LCU2__C814_02677
ERR1913062.280249__1.280249	1262739__R6M9P7__BN659_01903
ERR1913062.280277__1.280277	1262992__R5D6J2__BN795_00288
ERR1913062.280283__1.280283	204516__U6RPN2__HMPREF1534_00368
ERR1913062.280394__1.280394	39496__A5Z5G7__EUBVEN_00947
ERR1913062.280430__1.280430	1262930__R6AHR4__BN693_00447
ERR1913062.280472__1.280472	357276__I9R994__BACDOR_04044
ERR1913062.280668__1.280668	2293125__A0A374CJ42__DW917_03305
ERR1913062.280828__1.280828	165179__A0A3E5AER8__DXB80_07075
ERR1913062.280916__1.280916	357276__A0A076IYG1__B5F95_22465
ERR1913062.280942__1.280942	487174__R5FMM3__DDY40_00820
ERR1913062.281046__1.281046	626933__H1DGX0__HMPREF9449_01506
ERR1913062.281100__1.281100	166486__D4KWM8__ROSINTL182_06037
ERR1913062.281128__1.281128	818__A0A174N1L6__ERS852511_02039
ERR1913062.281182__1.281182	165179__R6B8D8__DXC61_09245
ERR1913062.281320__1.281320	33025__A0A395JBU5__C8D73_10423
ERR1913062.281293__1.281293	818__A0A3E5HHE1__Btheta7330_00796
ERR1913062.281300__1.281300	204516__U6RDD8__HMPREF1534_02559
ERR1913062.281390__1.281390	310298__B3JQJ5__BACCOP_04231
ERR1913062.281454__1.281454	357276__I9QDB8__B5F95_08105
ERR1913062.281580__1.281580	487174__K0XG34__HMPREF9448_02234
ERR1913062.281665__1.281665	360807__A0A1Q6TAH8__RIL183_11271
ERR1913062.281702__1.281702	166486__R6B4E4__sinR_2
ERR1913062.281771__1.281771	1262930__R6AAD1__BN693_01367
ERR1913062.281814__1.281814	818__A0A1H7S810__BJP75_003270
ERR1913062.281911__1.281911	884684__GCA_002892425.1_01408
ERR1913062.281931__1.281931	165179__A0A229I2W6__PREVCOP_04332
ERR1913062.281975__1.281975	165179__A0A3E5AER8__DXB80_07075
ERR1913062.281942__1.281942	310298__B3JQD7__BACCOP_04095
ERR1913062.282149__1.282149	357276__B6W1Y5__IY41_11405
ERR1913062.282180__1.282180	853__C7H1R8__DW905_06675
ERR1913062.282314__1.282314	166486__D4L1H3__sacC
ERR1913062.282328__1.282328	818__E5C5U7__SAMN05216253_101163
ERR1913062.282351__1.282351	2293125__A0A374BLR6__DW917_15555
ERR1913062.282569__1.282569	818__A0A0N7I9M6__Btheta7330_00939
ERR1913062.282693__1.282693	821__C6Z451__BHV80_04265
ERR1913062.282794__1.282794	310298__B3JFK4__BACCOP_00654
ERR1913062.282919__1.282919	853__A0A3E2V168__FAEPRAM212_00929
ERR1913062.283200__1.283200	310298__B3JNH3__BACCOP_03486
ERR1913062.283260__1.283260	821__A0A3E4WAR6__DXD64_10735
ERR1913062.283325__1.283325	671267__R9IB12__C802_00696
ERR1913062.283362__1.283362	853__D4K7X0__DW905_09540
ERR1913062.283418__1.283418	165179__A0A3E5E4T9__DXB80_08030
ERR1913062.283488__1.283488	28118__R6F4F9__Odosp_1027
ERR1913062.283642__1.283642	165179__A0A174UTZ7__DXC61_06705
ERR1913062.283652__1.283652	1262924__R7HPY0__BN585_01950
ERR1913062.283736__1.283736	2293125__A0A374BUM7__DW917_12980
ERR1913062.283906__1.283906	165179__A0A174UTZ7__DXC61_06705
ERR1913062.283961__1.283961	357276__A0A076IRX4__ABI39_13585
ERR1913062.284142__1.284142	1262948__R7EDK5__BN671_00579
ERR1913062.284212__1.284212	165179__A0A174SA26__PREVCOP_05758
ERR1913062.284366__1.284366	410072__A0A174EHQ6__ERS852481_02629
ERR1913062.284454__1.284454	165179__A0A229I3Z6__PREVCOP_03666
ERR1913062.284487__1.284487	310298__B3JLC6__BACCOP_02712
ERR1913062.284630__1.284630	418240__A0A174R2N4__ERS852523_02758
ERR1913062.284917__1.284917	357276__I9R1V6__DXD47_04125
ERR1913062.285038__1.285038	357276__A0A1Y3Z3W0__IY41_20500
ERR1913062.285039__1.285039	166486__D4L398__ERS852572_03633
ERR1913062.285064__1.285064	310298__B3JFK4__BACCOP_00654
ERR1913062.285107__1.285107	310298__B3JQJ5__BACCOP_04231
ERR1913062.285459__1.285459	626933__H1DGX0__HMPREF9449_01506
ERR1913062.285598__1.285598	823__D7IV95__DXC05_09565
ERR1913062.285715__1.285715	544644__GCA_001915615.1_02043
ERR1913062.285743__1.285743	165179__D1PDF6__DXB80_12430
ERR1913062.285840__1.285840	2293125__A0A374CMK5__DW917_00330
ERR1913062.285853__1.285853	165179__A0A174IPI3__CFT61_10940
ERR1913062.285854__1.285854	310298__B3JJG1__BACCOP_02031
ERR1913062.285856__1.285856	357276__E5UTL1__HMPREF1065_03551
ERR1913062.286118__1.286118	360807__A0A1Q6SWU5__ERS852444_03068
ERR1913062.286125__1.286125	357276__I8W1E1__B5F00_10785
ERR1913062.286243__1.286243	165179__D1PHC0__PREVCOP_06640
ERR1913062.286303__1.286303	2293125__A0A374CCM7__DW917_05375
ERR1913062.286262__1.286262	39488__A0A173SXL5__DXD91_06505
ERR1913062.286375__1.286375	165179__A0A3E5E4T9__DXB80_08030
ERR1913062.286586__1.286586	823__A0A355XF06__B5F32_11480
ERR1913062.286591__1.286591	706562__GCA_900112995.1_01437
ERR1913062.286629__1.286629	1262930__R6AAD1__BN693_01367
ERR1913062.286670__1.286670	1628085__A0A1C6D825__C7386_1061
ERR1913062.286671__1.286671	165179__R6XLJ7__CFT61_06250
ERR1913062.286699__1.286699	626933__H1DGX0__HMPREF9449_01506
ERR1913062.286981__1.286981	166486__D4L456__rpfG_10
ERR1913062.287020__1.287020	357276__A0A076IN30__DXD47_09350
ERR1913062.287098__1.287098	2293125__A0A374CMK5__DW917_00330
ERR1913062.287109__1.287109	310298__B3JFK4__BACCOP_00654
ERR1913062.287219__1.287219	818__A0A0P0FI06__BJP75_017205
ERR1913062.287229__1.287229	2293125__A0A374C9I8__DW917_06795
ERR1913062.287362__1.287362	165179__D1PGU8__PREVCOP_06463
ERR1913062.287414__1.287414	487174__K0XKD7__HMPREF9448_01550
ERR1913062.287499__1.287499	2293125__A0A374BN09__DW917_16245
ERR1913062.287504__1.287504	487174__K0XRA9__HMPREF9448_00572
ERR1913062.287533__1.287533	2293125__A0A374BMK9__DW917_16190
ERR1913062.287656__1.287656	1262930__R6AUX8__BN693_00160
ERR1913062.287683__1.287683	821__R6F3Y1__SAMN04487923_104318
ERR1913062.288068__1.288068	166486__D4KJ39__ERS852572_02622
ERR1913062.288078__1.288078	166486__D4L0E1__ypdA_4
ERR1913062.288104__1.288104	165179__D1PGU8__PREVCOP_06463
ERR1913062.288127__1.288127	338188__A0A174ETX3__ERS852397_01955
ERR1913062.288191__1.288191	39488__A0A173UQ83__mutY
ERR1913062.288195__1.288195	166486__D4KYM4__ERS852572_02981
ERR1913062.288196__1.288196	1735__B7CCE4__EUBIFOR_01871
ERR1913062.288243__1.288243	1262992__R5CXK6__BN795_00999
ERR1913062.288263__1.288263	1796613__A0A1C7GYE7__ADH74_04570
ERR1913062.288323__1.288323	1680__A0A0C2YNK5__BADO_0780
ERR1913062.288510__1.288510	2292284__A0A374VDR9__DXC10_02520
ERR1913062.288620__1.288620	2293125__A0A374BY09__DW917_11855
ERR1913062.288640__1.288640	357276__A0A0M1W4C0__DXD47_07095
ERR1913062.288667__1.288667	310298__B3JQJ5__BACCOP_04231
ERR1913062.288876__1.288876	1262930__R6AES4__BN693_02093
ERR1913062.289165__1.289165	166486__D4L1D0__ROSINTL182_06446
ERR1913062.289324__1.289324	310298__B3JQJ5__BACCOP_04231
ERR1913062.289669__1.289669	410072__C0BAH4__COPCOM_02077
ERR1913062.289725__1.289725	853__A0A2A7B1Y7__C7K05_11930
ERR1913062.289789__1.289789	1262992__R5DGC6__BN795_00540
ERR1913062.290105__1.290105	1150298__R7JTQ3__rne
ERR1913062.290218__1.290218	1262930__R6AAD1__BN693_01367
ERR1913062.290331__1.290331	1472761__GCA_002159295.1_00731
ERR1913062.290504__1.290504	156456__G9YIG0__HMPREF0080_01452
ERR1913062.290512__1.290512	88431__A0A3D0EYE9__rafA
ERR1913062.290524__1.290524	33025__A0A395J947__C8D73_11315
