ERR1913155.341__1.341	387661__R5DFX1__PRABACTJOHN_01199
ERR1913155.572139__1.572139	301302__R5VF67__M72_01841
ERR1913155.572153__1.572153	1262924__R7HRE7__BN585_00055
ERR1913155.572161__1.572161	28117__B0MT84__ALIPUT_00402
ERR1913155.572164__1.572164	40518__R5E1J2__DXD93_04070
ERR1913155.572270__1.572270	1150298__A0A174DX06__ERS852498_00491
ERR1913155.572357__1.572357	216816__E5XYF2__APC1480_0509
ERR1913155.572337__1.572337	47678__A5ZL09__BACCAC_03608
ERR1913155.572427__1.572427	820__A0A139K4T0__ERS852510_03146
ERR1913155.572429__1.572429	301302__R5UPN9__M72_25701
ERR1913155.572507__1.572507	39488__A0A173SMQ7__EUBHAL_00819
ERR1913155.572550__1.572550	40518__R5DUU8__DXD86_08440
ERR1913155.572551__1.572551	216816__D6DAZ0__DXD28_02040
ERR1913155.572959__1.572959	487174__K0X3A6__HMPREF9448_02725
ERR1913155.572963__1.572963	1262924__R7HPC8__BN585_00139
ERR1913155.573022__1.573022	1262924__R7HQB3__BN585_00435
ERR1913155.573342__1.573342	301302__A0A173UN42__lytR_3
ERR1913155.573427__1.573427	310298__B3JQJ5__BACCOP_04231
ERR1913155.573556__1.573556	1262911__R6GNY6__BN557_00004
ERR1913155.573586__1.573586	33025__A0A395J9P6__C8D73_109115
ERR1913155.573605__1.573605	39486__G1WS03__DXD50_12470
ERR1913155.573625__1.573625	246787__R6LCC2__BACCELL_00607
ERR1913155.573634__1.573634	40518__R5DUG7__sbcC
ERR1913155.573659__1.573659	371601__A0A139LNL6__ERS852396_04350
ERR1913155.573852__1.573852	216816__C2GSX7__DD678_03555
ERR1913155.574100__1.574100	39491__A0A395ZEI6__ERE_07950
ERR1913155.574130__1.574130	74426__rpoC
ERR1913155.574195__1.574195	820__A0A174A6K0__M093_0079
ERR1913155.574342__1.574342	301302__R5VF67__M72_01841
ERR1913155.574359__1.574359	821__A0A3E4KIM1__M097_3660
ERR1913155.574451__1.574451	40518__R5DZ16__DXD86_01455
ERR1913155.574493__1.574493	1262911__R6HIJ8__BN557_01742
ERR1913155.574926__1.574926	28117__B0MXJ1__BHV66_08445
ERR1913155.575032__1.575032	1150298__A0A174BR70__ERS852535_01666
ERR1913155.575108__1.575108	88431__A0A3D0EZN6__DORLON_02944
ERR1913155.575133__1.575133	360807__A0A0M6WYQ7__RIL183_31481
ERR1913155.575198__1.575198	216816__C2GUV2__APC1478_0430
ERR1913155.575212__1.575212	28052__A0A174GFL5__ERS852451_00478
ERR1913155.575332__1.575332	84030__D6DKV9__B5F06_02475
ERR1913155.575388__1.575388	1680__A0A1X3AAI9__BADO_1163
ERR1913155.575391__1.575391	1150298__A0A174S2H3__spoIIQ
ERR1913155.575453__1.575453	821__A0A395VIK7__BVU_1225
ERR1913155.575487__1.575487	28117__B0MVL5__BHV66_01660
ERR1913155.575494__1.575494	853__A0A3E2V168__FAEPRAM212_00929
ERR1913155.575563__1.575563	823__A0A174XJM9__CEQ22_007230
ERR1913155.575574__1.575574	46228__B5CTE5__HMPREF1202_00334
ERR1913155.575719__1.575719	301302__R5VBR7__phoR_11
ERR1913155.575762__1.575762	1262886__R6Q928__BN563_00479
ERR1913155.575780__1.575780	39486__B0GA07__DXD18_03830
ERR1913155.575808__1.575808	33025__A0A395JBB5__C8D73_107104
ERR1913155.575848__1.575848	820__A0A396EWL3__ERS417307_03868
ERR1913155.575937__1.575937	39485__A0A175A023__yhhT
ERR1913155.576105__1.576105	204516__U6RDD8__HMPREF1534_02559
ERR1913155.576189__1.576189	40518__R5DQK2__DXD93_03730
ERR1913155.576190__1.576190	821__A6L0C7__ERS852556_03520
ERR1913155.576199__1.576199	357276__I9R994__BACDOR_04044
ERR1913155.576418__1.576418	39491__A0A395ZF49__DXB69_05290
ERR1913155.576424__1.576424	39491__A0A395ZF49__DXB69_05290
ERR1913155.576499__1.576499	28118__F9Z923__B5F93_10455
ERR1913155.576536__1.576536	47678__R5U978__ERS852558_01076
ERR1913155.576608__1.576608	40518__R5DVQ2__DXD93_00365
ERR1913155.576577__1.576577	40518__R5DS23__DXD86_01715
ERR1913155.576679__1.576679	40518__R5DNY7__RBATCC27255_00367
ERR1913155.576690__1.576690	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913155.576693__1.576693	40518__R5DU52__RB5AMG_02245
ERR1913155.576717__1.576717	1150298__A0A174S4G4__dacB_1
ERR1913155.576730__1.576730	301302__A0A0M6WZT5__M72_18331
ERR1913155.576824__1.576824	820__A0A174F0C1__nreB
ERR1913155.576897__1.576897	39490__U2Q402__ERS852448_02488
ERR1913155.576901__1.576901	357276__B6W1J2__BACDOR_03380
ERR1913155.576903__1.576903	46228__V8C8S2__RUMLAC_01015
ERR1913155.576984__1.576984	1262924__R7HQD9__BN585_00129
ERR1913155.577036__1.577036	301302__A0A173T248__M72_19091
ERR1913155.577265__1.577265	410072__A0A174IE93__DXD67_12120
ERR1913155.577313__1.577313	40518__R5E6K5__speA
ERR1913155.577487__1.577487	46506__B0NM94__HMPREF1181_03250
ERR1913155.577561__1.577561	820__A0A173WUD7__DXB48_08055
ERR1913155.577733__1.577733	39491__A0A396FMF1__EUR_28700
ERR1913155.577738__1.577738	28117__B0MY40__BHV66_05170
ERR1913155.577843__1.577843	39491__A0A396FBR6__DXC13_08575
ERR1913155.577975__1.577975	1262886__R6Q6Q1__BN563_00546
ERR1913155.578009__1.578009	823__D7IT19__DHP27_03495
ERR1913155.578110__1.578110	310298__B3JQJ5__BACCOP_04231
ERR1913155.578274__1.578274	47678__R5U7X8__C5Z00_18270
ERR1913155.578342__1.578342	823__A0A395YQ63__B5F32_15335
ERR1913155.578458__1.578458	1150298__A0A174IG30__ERS852535_01135
ERR1913155.578468__1.578468	40518__R5DV58__htrA
ERR1913155.578661__1.578661	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913155.578680__1.578680	39491__A0A395V464__EUBREC_1509
ERR1913155.578798__1.578798	338188__R6S8N0__BACFIN_06127
ERR1913155.578849__1.578849	28111__E5WWI4__HMPREF1016_01032
ERR1913155.578882__1.578882	1150298__A0A174KMK7__rluD_3
ERR1913155.578969__1.578969	823__A0A174UR44__M095_2641
ERR1913155.578992__1.578992	47678__R5UWN2__BACCAC_01649
ERR1913155.579014__1.579014	820__A7VAR9__ERS852421_00197
ERR1913155.579092__1.579092	246787__A0A3D6AWM8__BACCELL_01963
ERR1913155.579300__1.579300	410072__A0A174A5E2__dtpT
ERR1913155.579333__1.579333	820__A0A139K426__B5G17_09115
ERR1913155.579339__1.579339	1262886__R6QQZ3__BN563_01270
ERR1913155.579351__1.579351	40518__R5E6K4__RB5AMG_02070
ERR1913155.579359__1.579359	820__A0A3E5BMG9__DXD40_05130
ERR1913155.579399__1.579399	745368__A0A1T4YBU5__SAMN02745178_02911
ERR1913155.579420__1.579420	821__U6RDC2__DXD46_15675
ERR1913155.579474__1.579474	39491__A0A3E4E7C5__DXB69_03255
ERR1913155.579557__1.579557	823__C7XA51__BDI_0499
ERR1913155.579619__1.579619	820__A0A1T4IYF4__mprA_1
ERR1913155.579759__1.579759	46503__R6WTW1__NCTC13052_03440
ERR1913155.579762__1.579762	40518__R5E7G3__DXD86_03405
ERR1913155.579775__1.579775	1263044__GCA_000433375.1_01149
ERR1913155.579812__1.579812	301302__A0A0M6WWS5__M72_14631
ERR1913155.579917__1.579917	28117__B0MYW7__ALIPUT_02336
ERR1913155.579971__1.579971	1262886__R6QNV6__BN563_00627
ERR1913155.580009__1.580009	301302__R5UUM8__ganB_1
ERR1913155.580141__1.580141	1262886__R6QCX3__BN563_01618
ERR1913155.580095__1.580095	1150298__A0A174MSM0__toxA_2
ERR1913155.580144__1.580144	301302__R5V7K8__M72_11711
ERR1913155.580157__1.580157	820__A0A174CG08__DXB62_13215
ERR1913155.580159__1.580159	360807__A0A1Q6TDQ5__ROSEINA2194_04225
ERR1913155.580203__1.580203	821__A0A0P0M4G3__M099_3092
ERR1913155.580255__1.580255	820__R7E9Z4__DXC68_06065
ERR1913155.580269__1.580269	301302__R5UMB3__M72_01421
ERR1913155.580276__1.580276	216816__A0A133LQN7__BL15B_00780
ERR1913155.580302__1.580302	821__I9R3W6__DXC16_12455
ERR1913155.580355__1.580355	1160721__R6THG6__RBI_I00012
ERR1913155.580378__1.580378	40518__R5E1J7__RBL236_02062
ERR1913155.580461__1.580461	820__A0A174DZ97__SAMN05444418_101240
ERR1913155.580549__1.580549	1150298__A0A174SLE6__mlc_1
ERR1913155.580787__1.580787	270498__A0A0M2NCH8__CHK_2559
ERR1913155.581139__1.581139	39490__A0A173TV85__hcaR_2
ERR1913155.581268__1.581268	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913155.581318__1.581318	823__A6LHU5__M092_0203
ERR1913155.581427__1.581427	46228__B5CTC0__RUMLAC_02743
ERR1913155.581454__1.581454	28117__B0MSS1__ALIPUT_00273
ERR1913155.581548__1.581548	338188__C9KX00__BACFIN_06842
ERR1913155.581666__1.581666	821__A0A0P0LH09__ERS852457_03390
ERR1913155.581584__1.581584	40518__R5DNY7__RBATCC27255_00367
ERR1913155.581595__1.581595	216816__A0A061M1M5__HMPREF0177_01046
ERR1913155.581707__1.581707	40518__R5E6K4__RB5AMG_02070
ERR1913155.581847__1.581847	39492__D4JSB6__ERS852540_00627
ERR1913155.581893__1.581893	33043__D5HGZ8__nnr
ERR1913155.581982__1.581982	40518__R5DME2__DXD86_07315
ERR1913155.581985__1.581985	360807__C0FPP6__ERS852444_02985
ERR1913155.582055__1.582055	40518__R5E6K5__speA
ERR1913155.582150__1.582150	1150298__A0A174I6Y0__ERS852498_00576
ERR1913155.582224__1.582224	216816__A0A1S2VTC3__BLIC_e00847
ERR1913155.582463__1.582463	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913155.582597__1.582597	820__A0A3E4WA06__ERS852554_03404
ERR1913155.582746__1.582746	823__A0A174U5E4__BDI_3390
ERR1913155.582790__1.582790	301302__R5UM41__M72_15921
ERR1913155.582891__1.582891	33043__A0A173WTR4__ERS852386_00324
ERR1913155.582903__1.582903	40518__R5DLW4__thiN
ERR1913155.582973__1.582973	33025__A0A395JED3__C8D73_101461
ERR1913155.583034__1.583034	853__R6QDR1__C4N27_08170
ERR1913155.583079__1.583079	301302__R5V6L8__M72_16121
ERR1913155.583118__1.583118	88431__A0A3D0F0I7__DORLON_00967
ERR1913155.583277__1.583277	239935__A0A2N8IQU3__CXU22_05890
ERR1913155.583379__1.583379	544645__A0A1U7LFJ1__DXC42_14695
ERR1913155.583441__1.583441	820__A0A374Q8T2__DXB64_16190
ERR1913155.583434__1.583434	1262886__R6QHD5__BN563_00547
ERR1913155.583540__1.583540	1160721__W0U8M9__RBI_II00386
ERR1913155.583461__1.583461	1262911__R6H212__BN557_01031
ERR1913155.583508__1.583508	100886__E2NSF9__rpoB
ERR1913155.583612__1.583612	821__A0A0P0M405__DXC02_15075
ERR1913155.583621__1.583621	28111__R5K5Y3__BACEGG_03205
ERR1913155.583649__1.583649	821__A0A174V2F3__NCTC10583_01474
ERR1913155.583702__1.583702	33043__D5HEU4__ftsW_3
ERR1913155.583717__1.583717	626933__H1DGX0__HMPREF9449_01506
ERR1913155.583770__1.583770	33043__A0A173YLD4__ERS852575_00535
ERR1913155.583790__1.583790	40518__R5DUG7__sbcC
ERR1913155.583842__1.583842	28111__R5K5Y3__BACEGG_03205
ERR1913155.584059__1.584059	820__A0A173WUD7__DXB48_08055
ERR1913155.584125__1.584125	33025__A0A395J9R3__C8D73_10817
ERR1913155.584178__1.584178	214856__A0A173ZS19__ERS852447_00954
ERR1913155.584239__1.584239	1150298__A0A174S2H3__spoIIQ
ERR1913155.584270__1.584270	2108523__A0A2P2F214__LAWASA_27
ERR1913155.584400__1.584400	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913155.584467__1.584467	853__A0A173YYY4__DWZ04_09420
ERR1913155.584572__1.584572	820__A0A3E4W4Y7__B5G17_02055
ERR1913155.584665__1.584665	29361__B6FRT6__CLONEX_02860
ERR1913155.584713__1.584713	100886__A0A174JPG5__CATMIT_00078
ERR1913155.584855__1.584855	39491__A0A0M6WWT1__dus_2
ERR1913155.584894__1.584894	46503__R6X3F9__DCY29_09585
ERR1913155.584902__1.584902	1262911__R6HIJ8__BN557_01742
ERR1913155.584940__1.584940	853__A0A2A7A4A9__C4N21_14870
ERR1913155.584963__1.584963	46503__R6WWH2__DXB85_00365
ERR1913155.585011__1.585011	39492__D4JTF2__mutS2
ERR1913155.585094__1.585094	418240__A0A173WVP8__acm
ERR1913155.585257__1.585257	1263107__GCA_000436995.1_00197
ERR1913155.585384__1.585384	46506__B0NUC8__DXC34_03410
ERR1913155.585518__1.585518	40520__A5ZSL9__DXC87_07025
ERR1913155.585577__1.585577	216816__B3DNW2__BL171B_07980
ERR1913155.585628__1.585628	100886__A0A174N4K0__CATMIT_01024
ERR1913155.585713__1.585713	820__A0A174DZ97__SAMN05444418_101240
ERR1913155.585761__1.585761	301302__A0A173TNM6__luxQ
ERR1913155.585861__1.585861	39491__A0A395ZGU6__ERS852417_01456
ERR1913155.585889__1.585889	1262924__R7HQ14__BN585_00419
ERR1913155.586035__1.586035	46228__V8C5M9__HMPREF1202_01286
ERR1913155.586057__1.586057	1235793__R9KSF0__C809_01679
ERR1913155.586098__1.586098	28026__A0A396BA17__DXC83_09095
ERR1913155.586414__1.586414	649756__D4MU45__ERS852425_01466
ERR1913155.586549__1.586549	823__D0TAX5__HMPREF1075_01064
ERR1913155.586737__1.586737	33043__A0A173YQY3__ERS852445_01438
ERR1913155.586824__1.586824	239935__A0A139TSG7__CXU17_09600
ERR1913155.586925__1.586925	1628085__A0A3E2XY31__C7386_10449
ERR1913155.587008__1.587008	1262886__R6QAT8__BN563_00993
ERR1913155.587209__1.587209	39488__A0A374NVK2__DXD91_03585
ERR1913155.587168__1.587168	40518__R5DU92__DXD93_03170
ERR1913155.587251__1.587251	28111__E5X120__NCTC11155_02427
ERR1913155.587266__1.587266	820__A0A139KHD8__ERS417307_00569
ERR1913155.587526__1.587526	820__A0A174B4N2__M093_2531
ERR1913155.587681__1.587681	40518__R5DRG6__ylbJ
ERR1913155.587686__1.587686	820__A7VAR9__ERS852421_00197
ERR1913155.587660__1.587660	1680__A0A173W5Z2__DXC53_01290
ERR1913155.587665__1.587665	853__E2ZJT1__C4N23_03535
ERR1913155.587792__1.587792	216816__A0A061M1M5__HMPREF0177_01046
ERR1913155.587819__1.587819	820__A0A174FUG6__DXC91_11265
ERR1913155.587853__1.587853	820__A0A174I980__gldH
ERR1913155.588015__1.588015	1262886__R6RCF6__BN563_00371
ERR1913155.588022__1.588022	823__A0A355XGQ3__prmC
ERR1913155.588106__1.588106	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913155.588167__1.588167	40518__R5E6X5__sbcD
ERR1913155.588131__1.588131	216816__D6DBD5__DXC32_04335
ERR1913155.588250__1.588250	1262743__R5C054__BN727_01980
ERR1913155.588261__1.588261	40518__R5DRG6__ylbJ
ERR1913155.588289__1.588289	165179__A0A229I9X5__CFT61_01205
ERR1913155.588320__1.588320	1263044__GCA_000433375.1_01142
ERR1913155.588344__1.588344	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913155.588511__1.588511	820__A0A396EWL3__ERS417307_03868
ERR1913155.588555__1.588555	823__D0TBY4__M090_0431
ERR1913155.588844__1.588844	39488__A0A285PP79__murD
ERR1913155.588934__1.588934	823__A0A174DZM1__DDY96_10310
ERR1913155.588992__1.588992	214856__I3YMB7__Alfi_1811
ERR1913155.588962__1.588962	39491__A0A395V0E5__ERE_31370
ERR1913155.588968__1.588968	1150298__A0A174J629__ERS852498_00833
ERR1913155.589071__1.589071	458033__GCA_001482755.1_02203
ERR1913155.589127__1.589127	1262886__R6QHD5__BN563_00547
ERR1913155.589253__1.589253	310298__B3JQJ5__BACCOP_04231
ERR1913155.589281__1.589281	40518__R5DS23__DXD86_01715
ERR1913155.589327__1.589327	820__A0A173YYG4__evgS_3
ERR1913155.589530__1.589530	823__A0A355XFH7__ERS852513_00769
ERR1913155.589747__1.589747	33025__A0A395JBB5__C8D73_107104
ERR1913155.589794__1.589794	28111__E5WVI9__BACEGG_03583
ERR1913155.589767__1.589767	1150298__A0A174LLX0__dhaD
ERR1913155.589837__1.589837	46503__K5ZBF7__DD461_15285
ERR1913155.589937__1.589937	1262886__R6RCF6__BN563_00371
ERR1913155.589905__1.589905	1262886__R6Q6Q1__BN563_00546
ERR1913155.590018__1.590018	40518__R5DXI4__DXD86_07420
ERR1913155.590046__1.590046	301302__R5VFV9__ERS852420_01969
ERR1913155.590094__1.590094	39492__B0MPL6__EUBSIR_01779
ERR1913155.590229__1.590229	36343__GeneID:1261160
ERR1913155.590255__1.590255	820__A0A3E4PYB0__yejM
ERR1913155.590296__1.590296	853__A0A173XRA8__CGS56_09290
ERR1913155.590421__1.590421	487174__K0XKD7__HMPREF9448_01550
ERR1913155.590457__1.590457	820__A0A3E5BMG9__DXD40_05130
ERR1913155.590489__1.590489	33043__A0A174D8D4__ERS852386_02537
ERR1913155.590509__1.590509	376805__F0R8H8__Bacsa_0435
ERR1913155.590536__1.590536	487174__K0X1H0__DDY40_11080
ERR1913155.590625__1.590625	1150298__A0A174R4D7__tmpC_2
ERR1913155.590692__1.590692	28116__A0A1Y4Q112__evgS_13
ERR1913155.590798__1.590798	39491__A0A395V0H3__ERS852417_01192
ERR1913155.590823__1.590823	28111__E5WV85__BACEGG_02306
ERR1913155.590854__1.590854	46228__V8C7P7__HMPREF1202_01523
ERR1913155.590896__1.590896	33043__A0A174A481__ERS852400_01067
ERR1913155.591035__1.591035	1262886__R6RCB2__BN563_00311
ERR1913155.591044__1.591044	360807__C0FPN7__ERS852444_02993
ERR1913155.591180__1.591180	820__A0A1Y3V743__M093_0235
ERR1913155.591231__1.591231	40518__R5DVU7__RBL236_00839
ERR1913155.591243__1.591243	454154__G5SVT0__HMPREF9441_03497
ERR1913155.591373__1.591373	216816__B7GQ29__APC1465_1199
ERR1913155.591399__1.591399	649756__D4MXQ4__HMPREF0369_01551
ERR1913155.591415__1.591415	40518__R5DVL2__penA
ERR1913155.591466__1.591466	39491__A0A173TFQ1__rsmF
ERR1913155.591557__1.591557	820__A0A139KA34__B5G17_05520
ERR1913155.591619__1.591619	376805__F0R8H8__Bacsa_0435
ERR1913155.591724__1.591724	28111__R5JUK8__NCTC11155_02515
ERR1913155.591815__1.591815	40518__R5E550__aroK
ERR1913155.591849__1.591849	1262911__R6GS52__BN557_00834
ERR1913155.591864__1.591864	1262886__R6QHU6__BN563_00640
ERR1913155.591998__1.591998	301302__A0A173R6H4__M72_21671
ERR1913155.592081__1.592081	28116__A0A1Y4Q112__evgS_13
ERR1913155.592131__1.592131	39492__D4JSS2__EUBSIR_00553
ERR1913155.592212__1.592212	28111__E5WTR3__BACEGG_01888
ERR1913155.592300__1.592300	39491__A0A173U130__ERE_16110
ERR1913155.592467__1.592467	100886__E2NPA5__CATMIT_00396
ERR1913155.592793__1.592793	821__A0A396EVC9__DXB90_03525
ERR1913155.592822__1.592822	1150298__A0A174N5I7__ERS852498_01953
ERR1913155.592846__1.592846	853__A0A174AML0__FPR_08640
ERR1913155.592893__1.592893	47678__R5U2B3__ERS852558_04029
ERR1913155.592964__1.592964	33025__A0A395J9X4__C8D73_109106
ERR1913155.593030__1.593030	46503__R6WYJ8__DXB85_13825
ERR1913155.593059__1.593059	1150298__A0A174J629__ERS852498_00833
ERR1913155.593174__1.593174	1262911__R6H0U7__BN557_01104
ERR1913155.593379__1.593379	376805__F0R8H8__Bacsa_0435
ERR1913155.593335__1.593335	46228__V8C4V0__HMPREF1202_01552
ERR1913155.593498__1.593498	1150298__A0A174I2L4__ERS852535_01377
ERR1913155.593758__1.593758	745368__A0A1T4XQU7__SAMN02745178_02180
ERR1913155.593776__1.593776	39491__C4Z9K7__EUBREC_0050
ERR1913155.593787__1.593787	28111__R5JUK8__NCTC11155_02515
ERR1913155.593940__1.593940	40518__R5DP91__RBL236_00890
ERR1913155.593946__1.593946	853__A0A329UEG4__CHR60_00585
ERR1913155.594141__1.594141	39491__A0A395ZGE4__ERS852497_01269
ERR1913155.594303__1.594303	40518__R5DX93__DXD93_03055
ERR1913155.594311__1.594311	338188__C9KT47__BACFIN_05483
ERR1913155.594318__1.594318	1262886__R6QAR9__BN563_00973
ERR1913155.594333__1.594333	487175__D9Y403__HMPREF9439_02204
ERR1913155.594376__1.594376	40518__R5E6U1__yunB
ERR1913155.594410__1.594410	384638__B7AN60__BACPEC_00112
ERR1913155.594448__1.594448	28111__E5X0Y0__HMPREF1016_02598
ERR1913155.594526__1.594526	301302__R5UUM8__ganB_1
ERR1913155.594567__1.594567	1262911__R6H174__BN557_01246
ERR1913155.594737__1.594737	821__A0A396F598__CUU_3259
ERR1913155.594747__1.594747	216816__A0A0M4NCP0__HMPREF1313_0712
ERR1913155.594834__1.594834	39491__A0A174LTW7__DXD13_08720
ERR1913155.594865__1.594865	1150298__A0A173ZI89__ERS852498_03535
ERR1913155.595110__1.595110	1262911__R6H212__BN557_01031
ERR1913155.595222__1.595222	40518__R5DY98__mepA_5
ERR1913155.595276__1.595276	360807__C0G0A1__ERS852444_02410
ERR1913155.595302__1.595302	47678__R5U2I4__ERS852558_03712
ERR1913155.595309__1.595309	1262911__R6GPA3__BN557_00827
ERR1913155.595326__1.595326	626933__H1DGX0__HMPREF9449_01506
ERR1913155.595431__1.595431	116085__D4J6M3__DW747_08060
ERR1913155.595447__1.595447	301302__A0A173RYX5__ERS852420_00973
ERR1913155.595461__1.595461	47678__R5UXY0__CGC64_03535
ERR1913155.595563__1.595563	1550024__G9RXH7__TQ39_11565
ERR1913155.595588__1.595588	39491__A0A173RA59__EUR_24800
ERR1913155.595791__1.595791	1262911__R6H2J2__BN557_01228
ERR1913155.595839__1.595839	301302__A0A173SCU7__M72_12871
ERR1913155.595901__1.595901	1262924__R7HNZ2__BN585_02017
ERR1913155.595918__1.595918	1150298__A0A174E950__ERS852498_02096
ERR1913155.595872__1.595872	61171__B9Y5T8__HOLDEFILI_01170
ERR1913155.596010__1.596010	820__A0A174Q0F0__DXB48_08080
ERR1913155.596020__1.596020	39492__D4JR31__EUBSIR_00106
ERR1913155.596221__1.596221	301302__R5V741__M72_13261
ERR1913155.596278__1.596278	28117__B0MSR5__BHV66_02095
ERR1913155.596380__1.596380	1262911__R6H212__BN557_01031
ERR1913155.596360__1.596360	40518__R5DW64__RBL236_01394
ERR1913155.596456__1.596456	487174__K0XL60__DDY40_11760
ERR1913155.596550__1.596550	40518__R5DV58__htrA
ERR1913155.596638__1.596638	40518__R5E304__thiT
ERR1913155.596708__1.596708	301302__R5VFV9__ERS852420_01969
ERR1913155.596917__1.596917	1680__A0A173W5Z2__DXC53_01290
ERR1913155.596924__1.596924	239935__A0A2N8HAQ1__DEF40_05290
ERR1913155.596969__1.596969	39488__A0A174CH59__DXD91_12625
ERR1913155.596995__1.596995	458033__GCA_001482755.1_02203
ERR1913155.597154__1.597154	1897011__A0A1Q6RE56__BHW41_04765
ERR1913155.597221__1.597221	821__A6L0C7__ERS852556_03520
ERR1913155.597298__1.597298	1150298__R7JU58__ssuC_2
ERR1913155.597311__1.597311	301302__A0A173R1Q9__M72_20711
ERR1913155.597482__1.597482	1263107__GCA_000436995.1_00033
ERR1913155.597485__1.597485	301302__R5V6L8__M72_16121
ERR1913155.597506__1.597506	40518__R5E1X3__clcA
ERR1913155.597512__1.597512	371601__D4WBK5__BN891_3970
ERR1913155.597515__1.597515	301302__R5VEI6__cysA_2
ERR1913155.597587__1.597587	820__A7VAR9__ERS852421_00197
ERR1913155.597673__1.597673	33043__A0A174BPN9__kfoC_2
ERR1913155.597720__1.597720	39491__A0A396FRK0__ERS852417_00541
ERR1913155.597816__1.597816	40518__R5DYU1__DXD86_01160
ERR1913155.597839__1.597839	47678__A0A174TQR6__CGC64_14735
ERR1913155.598088__1.598088	1262886__R6QPV6__BN563_00989
ERR1913155.598228__1.598228	33043__A0A174BBC4__ERS852575_02261
ERR1913155.598278__1.598278	410072__A0A3E4GT65__ERS852574_02325
ERR1913155.598321__1.598321	1150298__A0A174AM35__ERS852498_00645
ERR1913155.598381__1.598381	40518__R5DS23__DXD86_01715
ERR1913155.598487__1.598487	820__A7V9F9__B5G17_14640
ERR1913155.598546__1.598546	1150298__A0A174S2H3__spoIIQ
ERR1913155.598571__1.598571	33043__D5HIU3__ERS852386_01914
ERR1913155.598636__1.598636	454155__F3QQQ9__HMPREF9442_00501
ERR1913155.598711__1.598711	301302__A0A173T010__M72_26571
ERR1913155.598762__1.598762	169435__A0A174NHT9__hbpA_1
ERR1913155.598734__1.598734	1262911__R6H2J2__BN557_01228
ERR1913155.598744__1.598744	360807__A0A1Q6SWU5__ERS852444_03068
ERR1913155.599076__1.599076	39492__D4JV38__EUBSIR_01205
ERR1913155.599142__1.599142	40518__R5DX17__DXD86_01230
ERR1913155.599191__1.599191	28111__E5WYY8__HMPREF1016_01893
ERR1913155.599321__1.599321	301302__R5UUM8__ganB_1
ERR1913155.599371__1.599371	649756__D4MXY1__ERS852425_00764
ERR1913155.599503__1.599503	40518__R5DQJ0__DXD93_03790
ERR1913155.599534__1.599534	1262924__R7HQX0__BN585_00307
ERR1913155.599536__1.599536	39491__A0A3E4YFT8__DXB69_10940
ERR1913155.599616__1.599616	1262989__R6YRY7__BN815_00276
ERR1913155.599645__1.599645	100886__E2NNL4__yihX_2
ERR1913155.599660__1.599660	39492__D4JU49__ERS852540_00175
ERR1913155.599857__1.599857	47678__R5U7A9__C5Z00_03635
ERR1913155.599858__1.599858	360807__A0A1Q6SWU5__ERS852444_03068
ERR1913155.599866__1.599866	39485__A0A174YTF7__ERS852490_01271
ERR1913155.599932__1.599932	821__A6L0C7__ERS852556_03520
ERR1913155.599933__1.599933	626929__F3PKF4__SAMN05444376_0707
ERR1913155.599934__1.599934	40518__R5DY73__DXD86_02865
ERR1913155.600063__1.600063	39491__A0A396FIU1__DXC13_07905
ERR1913155.600183__1.600183	823__A0A395YY84__DXC05_19515
ERR1913155.600240__1.600240	28111__E5X118__NCTC11155_02425
ERR1913155.600309__1.600309	1150298__A0A174PZ15__lytA
ERR1913155.600367__1.600367	1150298__A0A174PC05__ERS852498_00682
ERR1913155.600576__1.600576	410072__A0A174AMX4__dacB_1
ERR1913155.600753__1.600753	371601__C3QHD1__SAMN05216250_11168
ERR1913155.600803__1.600803	1262911__R6GZX7__BN557_00838
ERR1913155.600839__1.600839	820__A0A174B4N2__M093_2531
ERR1913155.600936__1.600936	39492__D4JQS6__ykoD
ERR1913155.601035__1.601035	39491__A0A395V297__EUR_01010
ERR1913155.601001__1.601001	1262911__R6GY22__BN557_00023
ERR1913155.601181__1.601181	820__A0A3E4G8F8__ERS852421_01645
ERR1913155.601261__1.601261	39488__A0A173RH64__EUBHAL_01712
ERR1913155.601520__1.601520	1262824__R6RLH4__BN719_02226
ERR1913155.601539__1.601539	823__A0A395YY84__DXC05_19515
ERR1913155.601563__1.601563	821__C3RB94__DXC03_15585
ERR1913155.601623__1.601623	821__A0A174NM17__lacZ_6
ERR1913155.601624__1.601624	40518__R5DYM0__DXD86_08165
ERR1913155.601587__1.601587	301302__R5UMB9__M72_25011
ERR1913155.601799__1.601799	40518__R5DZB1__DXD83_08840
ERR1913155.601937__1.601937	1099853__G9S871__NSB1T_02700
ERR1913155.601985__1.601985	1262886__R6QPB0__BN563_00812
ERR1913155.602018__1.602018	820__A0A3E4VZY4__ERS852554_01211
ERR1913155.602080__1.602080	820__A0A3E4VZY4__ERS852554_01211
ERR1913155.602112__1.602112	821__A6L0C7__ERS852556_03520
