ERR1913249.568__1.568	1680__A0A374QDL4__LMG18897_0432
ERR1913249.196067__1.196067	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.196139__1.196139	216816__A0A1S2VTC3__BLIC_e00847
ERR1913249.196157__1.196157	239935__A0A2N8HB50__CXU17_02615
ERR1913249.196906__1.196906	33043__A0A173W9Y8__ERS852575_00062
ERR1913249.196909__1.196909	853__C7H7F8__yccM_1
ERR1913249.196930__1.196930	1501391__GCA_000786575.1_00072
ERR1913249.197040__1.197040	387090__S0F7Y3__BACCOPRO_02028
ERR1913249.197225__1.197225	239935__A0A2N8IMD6__CXU03_05585
ERR1913249.197478__1.197478	28118__F9Z3J9__B5F93_07500
ERR1913249.197651__1.197651	413497__K8AZ63__BN134_3732
ERR1913249.197754__1.197754	820__A0A374QGD2__ERS852421_02382
ERR1913249.197833__1.197833	1262911__R6GT99__BN557_01335
ERR1913249.197840__1.197840	821__A0A396F598__CUU_3259
ERR1913249.197991__1.197991	239935__A0A139TPU7__CXT91_06575
ERR1913249.198152__1.198152	239935__A0A2N8HT44__CXT84_11035
ERR1913249.198385__1.198385	214856__A0A174A1J3__ERS852447_01000
ERR1913249.198405__1.198405	28117__B0MTD2__ALIPUT_00428
ERR1913249.198499__1.198499	1262911__R6H2J2__BN557_01228
ERR1913249.198727__1.198727	328814__GCA_004558275.1_00007
ERR1913249.198916__1.198916	487174__K0WYC5__HMPREF9448_01493
ERR1913249.198901__1.198901	820__A0A3E4GA19__SAMN05444418_10562
ERR1913249.199247__1.199247	239935__A0A2N8IZ16__CXT84_05850
ERR1913249.199713__1.199713	1501391__GCA_000786575.1_00147
ERR1913249.199776__1.199776	74426__nifJ
ERR1913249.199965__1.199965	387090__S0F8B2__BACCOPRO_02129
ERR1913249.200113__1.200113	239935__A0A2N8IMD6__CXU03_05585
ERR1913249.200352__1.200352	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.200467__1.200467	820__A0A174CG08__DXB62_13215
ERR1913249.200504__1.200504	1263000__R5EGY6__BN466_00973
ERR1913249.200622__1.200622	239935__R6JCH3__CXT95_08205
ERR1913249.200685__1.200685	239935__A0A2N8IMD6__CXU03_05585
ERR1913249.200702__1.200702	239935__A0A2N8IMD6__CXU03_05585
ERR1913249.200757__1.200757	1262911__R6HJS5__BN557_00288
ERR1913249.200988__1.200988	10680__GeneID:1261099
ERR1913249.201247__1.201247	74426__rpoC
ERR1913249.201269__1.201269	239935__B2UNC5__B5G29_07685
ERR1913249.201366__1.201366	328814__GCA_004558275.1_01745
ERR1913249.201523__1.201523	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.201814__1.201814	1550024__A0A0D8J0U7__ASJ35_13230
ERR1913249.202009__1.202009	33043__A0A173ZZ54__ERS852400_00193
ERR1913249.202358__1.202358	74426__pflB_2
ERR1913249.202420__1.202420	562__A0A376L0A6__CQA14_19985
ERR1913249.202470__1.202470	28117__B0MXR1__BHV66_08035
ERR1913249.202561__1.202561	239935__A0A2N8ILG3__CXT93_10135
ERR1913249.202805__1.202805	239935__A0A2N8ITX2__CXT86_11265
ERR1913249.203031__1.203031	820__R9HP61__DXC91_01090
ERR1913249.203319__1.203319	1160721__R6T2A6__RBI_I00395
ERR1913249.203370__1.203370	74426__group_4851
ERR1913249.203464__1.203464	239935__R6JD78__CXU05_09250
ERR1913249.203477__1.203477	328814__GCA_004558275.1_00293
ERR1913249.203692__1.203692	343516__GeneID:3953000
ERR1913249.203765__1.203765	216816__A0A083X5W4__HMPREF0177_01593
ERR1913249.203770__1.203770	239935__A0A2N8IMC9__CXU09_02095
ERR1913249.204118__1.204118	1550024__G9RP69__ASJ35_11625
ERR1913249.204161__1.204161	216816__A0A083XVP2__HMPREF1315_0108
ERR1913249.204218__1.204218	239935__A0A2N8IVR0__CXT87_07115
ERR1913249.204434__1.204434	820__A0A174Q0F0__DXB48_08080
ERR1913249.204521__1.204521	239935__A0A2N8ITX2__CXT86_11265
ERR1913249.204620__1.204620	1262911__R6GT99__BN557_01335
ERR1913249.204693__1.204693	1262911__R6GR13__BN557_00618
ERR1913249.204826__1.204826	239935__A0A2N8HPS5__Amuc_0950
ERR1913249.204942__1.204942	1150298__A0A174BR70__ERS852535_01666
ERR1913249.205074__1.205074	239935__A0A2N8IL82__CXU02_11740
ERR1913249.205118__1.205118	239935__A0A2N8HT44__CXT84_11035
ERR1913249.205168__1.205168	1681__A0A0M4LK35__LMG13200_0631
ERR1913249.205206__1.205206	1550024__G9RWG1__ASJ35_03770
ERR1913249.205377__1.205377	239935__A0A2N8I791__CXT99_09415
ERR1913249.205876__1.205876	1680__A0A173XYA2__B0703_0121
ERR1913249.205997__1.205997	239935__A0A2N8IHY1__CXU06_00035
ERR1913249.206347__1.206347	1550024__A0A3B9WG56__TQ39_01145
ERR1913249.206521__1.206521	1150298__R7JTG8__smf
ERR1913249.206683__1.206683	328814__GCA_004558275.1_01621
ERR1913249.206757__1.206757	239935__R6JD78__CXU05_09250
ERR1913249.206771__1.206771	1150298__A0A174E950__ERS852498_02096
ERR1913249.206815__1.206815	214856__A0A174ZEW0__ERS852447_00985
ERR1913249.206880__1.206880	817__Q64W74__DXD74_13435
ERR1913249.206883__1.206883	239935__R7E524__CXT91_06180
ERR1913249.207176__1.207176	239935__A0A2N8IMD6__CXU03_05585
ERR1913249.207204__1.207204	239935__A0A139TPU7__CXT91_06575
ERR1913249.207206__1.207206	239935__A0A2N8HDT1__CXT94_05270
ERR1913249.207317__1.207317	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.207348__1.207348	239935__A0A2N8IEP3__CXT84_03735
ERR1913249.207387__1.207387	214856__A0A174ZZS1__ERS852559_01484
ERR1913249.207506__1.207506	239935__A0A139TPG3__CXT86_08810
ERR1913249.207884__1.207884	1262911__R6GZW9__BN557_00833
ERR1913249.208386__1.208386	1262869__R7CKJ6__BN625_00840
ERR1913249.208454__1.208454	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913249.208735__1.208735	1680__A0A173XYA2__B0703_0121
ERR1913249.209116__1.209116	216816__D6D9H5__APC1466_0493
ERR1913249.209194__1.209194	1897011__A0A1Q6RI93__BHW41_01175
ERR1913249.209445__1.209445	28117__B0MWZ9__ALIPUT_01735
ERR1913249.209555__1.209555	1261640__A0A1Q9JGJ2__BHK98_03570
ERR1913249.209570__1.209570	239935__R6JD78__CXU05_09250
ERR1913249.209818__1.209818	214856__A0A173YE57__ERS852559_00126
ERR1913249.209847__1.209847	1680__A0A3E4SB79__BAD_1517
ERR1913249.209714__1.209714	626932__G5H6W0__HMPREF9450_00670
ERR1913249.210127__1.210127	1680__A0A0B5BL52__ERS852382_00480
ERR1913249.210085__1.210085	239935__A0A2N8I6R6__CXU04_04335
ERR1913249.210320__1.210320	1299998__GCA_001494635.1_01940
ERR1913249.210389__1.210389	28117__B0MUY3__BHV66_00515
ERR1913249.210568__1.210568	239935__A0A2N8IRW0__A4V05_11620
ERR1913249.210672__1.210672	239935__A0A2N8ITX2__CXT86_11265
ERR1913249.210806__1.210806	823__A0A173TMY6__M096_4753
ERR1913249.210844__1.210844	239935__A0A2N8J1K0__CXT97_05765
ERR1913249.210998__1.210998	418240__A0A174M9G4__ERS852523_01208
ERR1913249.211117__1.211117	1263006__R6MQA3__BN515_02104
ERR1913249.211196__1.211196	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.211626__1.211626	239935__R6J9Y2__CXT85_07000
ERR1913249.212146__1.212146	239935__B2UL21__CXT98_03395
ERR1913249.212650__1.212650	1262869__R7CRV8__BN625_00418
ERR1913249.212718__1.212718	239935__A0A2N8HAQ1__DEF40_05290
ERR1913249.212881__1.212881	239935__A0A2N8I375__menA
ERR1913249.212912__1.212912	1680__A0A174BEE7__BSTER_1311
ERR1913249.212934__1.212934	1680__A0A087CWH8__ERS852382_00646
ERR1913249.213036__1.213036	820__A0A174TRB5__DXD40_11305
ERR1913249.213169__1.213169	1501391__GCA_000786575.1_00084
ERR1913249.213427__1.213427	28117__B0MWC6__BHV66_00965
ERR1913249.213742__1.213742	216816__E8MVM4__APC1480_1562
ERR1913249.214194__1.214194	239935__A0A2N8HBM4__CXT85_06270
ERR1913249.214199__1.214199	214856__I3YMN6__Alfi_1938
ERR1913249.214170__1.214170	487174__K0X6A4__HMPREF9448_00105
ERR1913249.214253__1.214253	853__A0A173YYY4__DWZ04_09420
ERR1913249.214290__1.214290	74426__groL
ERR1913249.214291__1.214291	239935__A0A2N8IF99__lpdA
ERR1913249.214465__1.214465	239935__A0A2N8HTZ8__CXU09_01270
ERR1913249.214631__1.214631	239935__A0A2N8IV82__CXT99_06735
ERR1913249.214811__1.214811	28117__B0MTV5__BHV66_06415
ERR1913249.215295__1.215295	387090__S0F7Y3__BACCOPRO_02028
ERR1913249.215477__1.215477	1383__GCA_001438885.1_00783
ERR1913249.215553__1.215553	853__A0A174UDE9__C4N25_12775
ERR1913249.215809__1.215809	1262911__R6HL30__BN557_00519
ERR1913249.215825__1.215825	1550024__A0A3B9WLJ1__TQ39_10125
ERR1913249.215860__1.215860	239935__A0A2N8HT44__CXT84_11035
ERR1913249.216015__1.216015	1297617__A0A0S2W477__C7373_102334
ERR1913249.216027__1.216027	239935__A0A2N8IYM5__CXT84_05130
ERR1913249.216666__1.216666	1965538__A0A1Y4W5L7__B5E43_09895
ERR1913249.216589__1.216589	29361__B6FKH5__CLONEX_00621
ERR1913249.216699__1.216699	239935__R6JAS2__CXU02_10725
ERR1913249.216771__1.216771	74426__purC
ERR1913249.216873__1.216873	1550024__A0A0D8J3J4__TQ39_01275
ERR1913249.216939__1.216939	216816__F9XZU5__BBL306_1935
ERR1913249.216972__1.216972	1150298__A0A174HEB6__ypdC_2
ERR1913249.217026__1.217026	1680__A0A174BEE7__BSTER_1311
ERR1913249.217349__1.217349	820__A0A3E4RU03__M093_0563
ERR1913249.217485__1.217485	853__A0A174C5M1__CGS58_04460
ERR1913249.217836__1.217836	239935__A0A3F3K9J9__DEF40_00940
ERR1913249.217837__1.217837	1501391__GCA_000786575.1_00104
ERR1913249.217983__1.217983	1263044__GCA_000433375.1_00023
ERR1913249.218124__1.218124	239935__A0A2N8IHY1__CXU06_00035
ERR1913249.218183__1.218183	239935__R6J5N6__CXT99_10770
ERR1913249.218375__1.218375	394340__metK
ERR1913249.218426__1.218426	329854__A0A3E4IPA9__BACINT_02342
ERR1913249.219130__1.219130	239935__R6JAS2__CXU02_10725
ERR1913249.219299__1.219299	216816__D6ZSV1__CE169_00930
ERR1913249.219712__1.219712	1387353__GCA_001956985.1_02728
ERR1913249.219850__1.219850	28117__B0MZ22__BHV66_04430
ERR1913249.219981__1.219981	253839__D9VQ27__SSNG_03091
ERR1913249.220015__1.220015	1262911__R6GT99__BN557_01335
ERR1913249.220156__1.220156	1304__J7TGU8__Ssal_02017
ERR1913249.220296__1.220296	1550024__A0A0W7TT94__TQ39_11150
ERR1913249.220489__1.220489	239935__A0A2N8I1R3__CXU05_06075
ERR1913249.220521__1.220521	239935__A0A2N8I1R3__CXU05_06075
ERR1913249.220526__1.220526	1262869__R7CS12__BN625_00205
ERR1913249.220563__1.220563	1262911__R6H2J2__BN557_01228
ERR1913249.220875__1.220875	1520815__A0A1I3MVA2__SAMN02910435_01183
ERR1913249.220905__1.220905	1262911__R6GI18__BN557_01377
ERR1913249.220998__1.220998	1150298__A0A174HYM9__ERS852406_01664
ERR1913249.221121__1.221121	1680__A0A0C2YPV2__AL0462_1474
ERR1913249.221148__1.221148	214856__R6Z186__ERS852447_00718
ERR1913249.221324__1.221324	820__R9I3N4__M093_0061
ERR1913249.221433__1.221433	28117__B0MXW9__ALIPUT_01981
ERR1913249.221490__1.221490	394340__gyrB
ERR1913249.221542__1.221542	1262911__R6GT12__BN557_01070
ERR1913249.221579__1.221579	1681__A0A0H2PKG4__SAMN05216254_0742
ERR1913249.222068__1.222068	328814__GCA_004558275.1_00296
ERR1913249.222174__1.222174	1550024__A0A0D8IYY8__TQ39_09180
ERR1913249.222213__1.222213	239935__B2UNF6__CXU17_03450
ERR1913249.222289__1.222289	239935__A0A2N8HUU6__CXT90_06150
ERR1913249.222714__1.222714	239935__A0A2N8IKW7__pstA
ERR1913249.223025__1.223025	239935__A0A2N8HH03__CXU09_08875
ERR1913249.223031__1.223031	239935__A0A2N8HBM4__CXT85_06270
ERR1913249.223535__1.223535	879566__A0A2K4ZQN0__AMURIS_05561
ERR1913249.223613__1.223613	239935__A0A139TMG9__CXU07_10650
ERR1913249.223614__1.223614	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.223681__1.223681	853__C7H7F8__yccM_1
ERR1913249.223974__1.223974	1262911__R6H2J2__BN557_01228
ERR1913249.223986__1.223986	1262911__R6HIJ8__BN557_01742
ERR1913249.224012__1.224012	820__A0A139K1Y6__DXB48_02610
ERR1913249.224253__1.224253	239935__A0A2N8HEH9__CXU07_11710
ERR1913249.224583__1.224583	820__A0A3E4XDK3__ERS852554_03650
ERR1913249.224651__1.224651	28117__B0MY40__BHV66_05170
ERR1913249.224745__1.224745	328814__GCA_004558275.1_00290
ERR1913249.224794__1.224794	239935__R6IZU4__CXT87_08085
ERR1913249.224951__1.224951	214856__A0A174EJT5__mnmA
ERR1913249.224962__1.224962	1150298__A0A174DX06__ERS852498_00491
ERR1913249.225035__1.225035	28116__A0A396DFW5__C5Z02_07010
ERR1913249.225096__1.225096	821__A0A0P0M405__DXC02_15075
ERR1913249.225248__1.225248	239935__A0A2N8IRW0__A4V05_11620
ERR1913249.225275__1.225275	1550024__G9RX51__TQ39_04720
ERR1913249.225724__1.225724	239935__A0A2N8IKW7__pstA
ERR1913249.225677__1.225677	1150298__A0A173YHI7__ERS852406_00466
ERR1913249.225798__1.225798	239935__A0A2N8IL82__CXU02_11740
ERR1913249.225898__1.225898	1550024__G9RUM6__TQ39_16565
ERR1913249.226045__1.226045	853__A0A173RZ39__C4N22_01650
ERR1913249.226146__1.226146	1501391__GCA_000786575.1_00065
ERR1913249.226534__1.226534	28117__B0MUB3__ALIPUT_00727
ERR1913249.226548__1.226548	239935__A0A139TQT9__Amuc_1197
ERR1913249.226583__1.226583	33043__D5HHT2__ERS852445_02796
ERR1913249.226814__1.226814	165179__A0A3E5EDV6__DXC61_03365
ERR1913249.226920__1.226920	216816__B7GN29__BL72_08765
ERR1913249.227065__1.227065	28117__B0MTW8__ALIPUT_00502
ERR1913249.227164__1.227164	28117__B0MXG8__ALIPUT_01814
ERR1913249.227294__1.227294	28117__B0MTW8__ALIPUT_00502
ERR1913249.227312__1.227312	239935__A0A2N8I7W6__CXT90_04245
ERR1913249.227411__1.227411	239935__A0A2N8IKW7__pstA
ERR1913249.227458__1.227458	28117__B0MTS2__ALIPUT_00159
ERR1913249.227578__1.227578	39496__A5Z5I2__EUBVEN_00963
ERR1913249.227736__1.227736	239935__A0A2N8ITX2__CXT86_11265
ERR1913249.228452__1.228452	1680__A0A087DHN0__AL0462_1532
ERR1913249.228627__1.228627	239935__A0A2N8IEP3__CXT84_03735
ERR1913249.228799__1.228799	28117__B0MYW7__ALIPUT_02336
ERR1913249.228950__1.228950	1262869__R7CNL6__BN625_01290
ERR1913249.229062__1.229062	239935__R6IZT7__CXU18_11710
ERR1913249.229098__1.229098	1262869__R7CM75__BN625_00831
ERR1913249.229117__1.229117	239935__A0A139TT05__CXU09_03335
ERR1913249.229160__1.229160	328814__GCA_004558275.1_00079
ERR1913249.229715__1.229715	1550024__G9RY06__TQ39_00225
ERR1913249.229877__1.229877	1262911__R6GZW9__BN557_00833
ERR1913249.230121__1.230121	471189__GCA_003340385.1_00234
ERR1913249.230416__1.230416	28117__B0MSR5__BHV66_02095
ERR1913249.230431__1.230431	239935__A0A2N8I6R6__CXU04_04335
ERR1913249.230487__1.230487	239935__A0A2N8IRW0__A4V05_11620
ERR1913249.231087__1.231087	239935__A0A2N8IXN0__CXT95_01765
ERR1913249.231219__1.231219	328814__GCA_004558275.1_00036
ERR1913249.231183__1.231183	239935__A0A2N8HPX2__CXT90_09930
ERR1913249.231300__1.231300	214856__A0A174ZLY7__ERS852447_02456
ERR1913249.231532__1.231532	239935__A0A139TPG3__CXT86_08810
ERR1913249.231666__1.231666	28117__B0MY40__BHV66_05170
ERR1913249.231592__1.231592	853__D4JY61__C4N21_10560
ERR1913249.231893__1.231893	47678__R5U8S9__DW706_06260
ERR1913249.231835__1.231835	239935__A0A2N8IRW0__A4V05_11620
ERR1913249.232103__1.232103	28117__B0MVL2__BHV66_01645
ERR1913249.232013__1.232013	1550024__A0A0D8IWE6__ASJ35_08175
ERR1913249.232121__1.232121	40518__R5DVL2__penA
ERR1913249.232463__1.232463	239935__A0A2N8IUK0__CXU01_07370
ERR1913249.232642__1.232642	1680__R5GRA4__ERS852382_01548
ERR1913249.232838__1.232838	853__A0A173YYY4__DWZ04_09420
ERR1913249.233065__1.233065	239935__A0A2N8HEH9__CXU07_11710
ERR1913249.233099__1.233099	28117__B0MUL5__ALIPUT_00722
ERR1913249.233650__1.233650	239935__A0A2N8IHY1__CXU06_00035
ERR1913249.233774__1.233774	1680__A0A1V8QAM8__BIFADO_02272
ERR1913249.233922__1.233922	239935__A0A2N8IVR0__CXT87_07115
ERR1913249.233990__1.233990	1680__A0A0C2YPV2__AL0462_1474
ERR1913249.234075__1.234075	28117__R7JLL3__ALIPUT_02219
ERR1913249.234149__1.234149	10680__GeneID:1261099
ERR1913249.234131__1.234131	1628085__A0A396Q6V9__C7386_102126
ERR1913249.234415__1.234415	216816__C2GSX7__DD678_03555
ERR1913249.234628__1.234628	1262911__R6GKS1__BN557_00184
ERR1913249.234675__1.234675	239935__A0A2N8HAQ1__DEF40_05290
ERR1913249.235011__1.235011	47678__R5UZM4__DW706_15680
ERR1913249.235070__1.235070	239935__A0A2N8I9P4__CXT85_05050
ERR1913249.235712__1.235712	1263000__R5EGY6__BN466_00973
ERR1913249.235853__1.235853	39492__D4JSA4__ERS852540_00596
ERR1913249.235983__1.235983	458033__GCA_001482755.1_02203
ERR1913249.236325__1.236325	239935__A0A2N8HZW2__A4V05_11120
ERR1913249.236438__1.236438	239935__A0A2N8HAQ1__DEF40_05290
ERR1913249.236449__1.236449	820__A0A139K1Y6__DXB48_02610
ERR1913249.236543__1.236543	39492__D4JW10__pppA
ERR1913249.236546__1.236546	1550024__G9RQ59__TQ39_14360
ERR1913249.236549__1.236549	853__A0A174C5M1__CGS58_04460
ERR1913249.236774__1.236774	216816__D6DBD5__DXC32_04335
ERR1913249.236847__1.236847	1550024__G9RX51__TQ39_04720
ERR1913249.236908__1.236908	1550024__A0A0D8IY61__ASJ35_05690
ERR1913249.236954__1.236954	239935__A0A2N8HH03__CXU09_08875
ERR1913249.236932__1.236932	1297617__A0A0S2W6E1__BIV19_07700
ERR1913249.236933__1.236933	823__D0TC25__B5F32_04575
ERR1913249.237345__1.237345	239935__A0A2N8IMC3__CXT96_03840
ERR1913249.237481__1.237481	853__A0A174C5M1__CGS58_04460
ERR1913249.237701__1.237701	1297617__A0A0S2W7P5__IB211_02989c
ERR1913249.237802__1.237802	360807__C0FVL5__ERS852392_00391
ERR1913249.237880__1.237880	1680__A0A076JNH5__DXC60_03835
ERR1913249.238017__1.238017	214856__A0A173ZQY0__ERS852559_00007
ERR1913249.238217__1.238217	239935__R6J4Y4__CXU17_09810
ERR1913249.238338__1.238338	28117__B0MXU0__BHV66_07550
ERR1913249.238394__1.238394	1150298__A0A174LLX0__dhaD
ERR1913249.238444__1.238444	214856__I3YMN6__Alfi_1938
ERR1913249.238434__1.238434	1680__A7A7Z9__AAX71_05385
ERR1913249.238731__1.238731	1262911__R6GYW1__BN557_00629
ERR1913249.238790__1.238790	239935__A0A2N8HHY4__DEF40_10850
ERR1913249.238975__1.238975	239935__A0A2N8I694__CXU04_06245
ERR1913249.239151__1.239151	239935__A0A2N8IRH4__CXT92_05605
ERR1913249.239210__1.239210	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.239262__1.239262	239935__A0A2N8IRW0__A4V05_11620
ERR1913249.239386__1.239386	1680__A0A2R4G1K8__BBMN23_0315
ERR1913249.239349__1.239349	1681__A0A0H2NPR5__BBBF_1287
ERR1913249.239705__1.239705	239935__B2UQP8__CXU15_01110
ERR1913249.239808__1.239808	239935__A0A2N8IRL2__CXU06_01170
ERR1913249.240141__1.240141	1150298__A0A174HEB6__ypdC_2
ERR1913249.240495__1.240495	214856__A0A174A0R8__ERS852447_00998
ERR1913249.240778__1.240778	239935__A0A2N8HDT1__CXT94_05270
ERR1913249.241132__1.241132	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913249.241415__1.241415	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.241517__1.241517	239935__A0A2N8IXN0__CXT95_01765
ERR1913249.241573__1.241573	1550024__G9RUM6__TQ39_16565
ERR1913249.241576__1.241576	1681__A0A286TBJ5__LMG13195_1856
ERR1913249.241543__1.241543	1150298__A0A173ZYU8__sipT_2
ERR1913249.241726__1.241726	239935__A0A2N8I6R6__CXU04_04335
ERR1913249.241880__1.241880	216816__F9XZU5__BBL306_1935
ERR1913249.242005__1.242005	1550024__A0A0W7TVN4__ASJ35_01120
ERR1913249.241930__1.241930	239935__A0A2N8HH03__CXU09_08875
ERR1913249.242384__1.242384	216816__C2GSX7__DD678_03555
ERR1913249.242600__1.242600	239935__A0A139TMY7__CXU13_02020
ERR1913249.242845__1.242845	239935__A0A2N8I5H6__CXT92_05565
ERR1913249.242970__1.242970	1262992__R5DCN3__BN795_00359
ERR1913249.243905__1.243905	821__A0A396F9T7__M097_3427
ERR1913249.243937__1.243937	239935__A0A2N8HTZ8__CXU09_01270
ERR1913249.244126__1.244126	1160721__W0U309__BHW50_02320
ERR1913249.244441__1.244441	239935__A0A2N8I6R6__CXU04_04335
ERR1913249.244474__1.244474	1262911__R6HLR5__BN557_00628
ERR1913249.244767__1.244767	1550024__G9RPS1__TQ39_05000
ERR1913249.244920__1.244920	817__D1JRG3__M076_0507
ERR1913249.245011__1.245011	853__C7H7F8__yccM_1
ERR1913249.244992__1.244992	216816__A0A133L7N8__BL0153
ERR1913249.245120__1.245120	820__A0A174G065__DXB62_08975
ERR1913249.245268__1.245268	1628085__A0A1C6CGB4__C7386_11411
ERR1913249.245343__1.245343	821__A0A174NM17__lacZ_6
ERR1913249.245443__1.245443	239935__A0A2N8IMD6__CXU03_05585
ERR1913249.245598__1.245598	239935__R6K0V8__CXT94_02055
ERR1913249.245673__1.245673	817__Q64W68__M125_1923
ERR1913249.245772__1.245772	61171__B9Y5T8__HOLDEFILI_01170
ERR1913249.245776__1.245776	239935__A0A2N8HCF5__CXU15_05660
ERR1913249.245834__1.245834	239935__A0A2N8I390__CXU16_10675
ERR1913249.245948__1.245948	239935__A0A2N8I7W6__CXT90_04245
ERR1913249.245983__1.245983	487174__K0WV96__HMPREF9448_01901
ERR1913249.246272__1.246272	239935__R7E524__CXT91_06180
ERR1913249.246280__1.246280	1550024__A0A3B9WI73__ASJ35_03410
ERR1913249.246363__1.246363	239935__A0A2N8IL82__CXU02_11740
ERR1913249.246497__1.246497	820__A7V092__hldE
ERR1913249.246528__1.246528	218139__GCA_002259595.1_01323
ERR1913249.246929__1.246929	1680__A0A0C2YPV2__AL0462_1474
ERR1913249.246875__1.246875	817__F7LQN9__HMPREF1067_03100
ERR1913249.247005__1.247005	1262911__R6H0S8__BN557_01079
ERR1913249.246943__1.246943	239935__A0A2N8I791__CXT99_09415
ERR1913249.246988__1.246988	853__A0A2A7B9I6__DW855_13690
ERR1913249.247081__1.247081	1680__A0A3E4SB79__BAD_1517
ERR1913249.247207__1.247207	239935__B2URG9__CXU00_11290
ERR1913249.247215__1.247215	239935__A0A2N8HZW2__A4V05_11120
ERR1913249.247286__1.247286	214856__A0A174G1M7__ERS852559_00594
ERR1913249.247597__1.247597	28117__B0MYI9__BHV66_05415
ERR1913249.247622__1.247622	1681__K2IQE2__uvrD
ERR1913249.248178__1.248178	239935__R6JAS2__CXU02_10725
ERR1913249.248212__1.248212	165179__W1I4H6__DXB80_13655
ERR1913249.248330__1.248330	239935__A0A2N8ITX2__CXT86_11265
ERR1913249.248445__1.248445	1550024__A0A3B9WKW6__TQ39_07780
ERR1913249.248544__1.248544	853__A0A2A7B9I6__DW855_13690
ERR1913249.248651__1.248651	487174__K0XKB7__DDY40_03475
ERR1913249.248833__1.248833	853__A0A3E2U7E6__ERS852582_01640
ERR1913249.249143__1.249143	239935__R7E524__CXT91_06180
ERR1913249.249794__1.249794	1297617__A0A0S2W146__IB211_00701
ERR1913249.250049__1.250049	239935__A0A2N8HL14__CXT98_09285
ERR1913249.250131__1.250131	239935__A0A2N8HDT1__CXT94_05270
ERR1913249.250407__1.250407	1262869__R7CM75__BN625_00831
ERR1913249.250714__1.250714	1780376__A0A143XE21__BN3659_00126
ERR1913249.250749__1.250749	239935__A0A2N8IVK9__CXU08_03750
ERR1913249.251061__1.251061	165179__D1PAJ7__PREVCOP_04222
ERR1913249.251348__1.251348	1262869__R7CNL6__BN625_01290
ERR1913249.251401__1.251401	239935__A0A2N8HZW2__A4V05_11120
ERR1913249.251835__1.251835	35833__E5Y6B8__HMPREF0179_01731
ERR1913249.251986__1.251986	239935__A0A139TQT9__Amuc_1197
ERR1913249.252086__1.252086	820__A0A174CG08__DXB62_13215
ERR1913249.252016__1.252016	40518__R5DYM0__DXD86_08165
ERR1913249.252119__1.252119	329854__R5MCA7__DXD57_10010
ERR1913249.252303__1.252303	239935__A0A2N8IL82__CXU02_11740
ERR1913249.252443__1.252443	239935__A0A2N8IHY1__CXU06_00035
ERR1913249.252446__1.252446	214856__A0A174ZEW0__ERS852447_00985
ERR1913249.252373__1.252373	216816__A0A395XYV2__APC1468_1887
ERR1913249.252404__1.252404	821__A0A0P0M5Z6__BVU_0429
ERR1913249.252505__1.252505	239935__A0A2N8I390__CXU16_10675
ERR1913249.252546__1.252546	239935__R7E524__CXT91_06180
ERR1913249.252656__1.252656	1550024__A0A3B9WIA4__TQ39_14495
ERR1913249.252726__1.252726	216816__B7GP87__HMPREF0177_01055
ERR1913249.252831__1.252831	239935__A0A139TQT9__Amuc_1197
ERR1913249.252876__1.252876	853__E2ZGD9__C7J97_11715
ERR1913249.253079__1.253079	239935__A0A2N8IQU3__CXU22_05890
ERR1913249.253039__1.253039	239935__R6IZT7__CXU18_11710
ERR1913249.253126__1.253126	1501391__GCA_000786575.1_00006
ERR1913249.253268__1.253268	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.253722__1.253722	1680__A0A087DHN0__AL0462_1532
ERR1913249.254300__1.254300	239935__A0A2N8HT18__CXT93_06135
ERR1913249.254302__1.254302	239935__R7DVL7__CXT93_01180
ERR1913249.254718__1.254718	820__R9I3N4__M093_0061
ERR1913249.254731__1.254731	1262869__R7CU80__BN625_00417
ERR1913249.254918__1.254918	216816__B7GTR6__BLD_0992
ERR1913249.254903__1.254903	239935__A0A2N8HBM4__CXT85_06270
ERR1913249.254974__1.254974	1262869__R7CPP0__BN625_01332
ERR1913249.254977__1.254977	820__A0A174M9V5__M093_0237
ERR1913249.255025__1.255025	239935__A0A2N8IEP3__CXT84_03735
ERR1913249.255042__1.255042	1262911__R6GK39__BN557_01755
ERR1913249.255053__1.255053	1262911__R6GK39__BN557_01755
ERR1913249.255113__1.255113	357276__A0A076J8M3__ABI39_13695
ERR1913249.255325__1.255325	39492__D4JU67__EUBSIR_00791
ERR1913249.255398__1.255398	1628085__A0A2U1BHS7__C7386_101494
ERR1913249.255465__1.255465	239935__A0A2N8IMC3__CXT96_03840
ERR1913249.255599__1.255599	239935__A0A2N8IYM5__CXT84_05130
ERR1913249.255639__1.255639	821__A0A396F9T7__M097_3427
