ERR1913283.120__1.120	820__A0A139K426__B5G17_09115
ERR1913283.282826__1.282826	544645__A0A3E4T275__DXC42_12265
ERR1913283.282844__1.282844	33025__A0A395JHD9__C8D73_101774
ERR1913283.282921__1.282921	1262889__R7H8W0__BN634_02256
ERR1913283.283819__1.283819	360807__A0A0M6WN30__RIL183_03801
ERR1913283.283938__1.283938	1680__A7A4N3__ERS852382_00779
ERR1913283.284178__1.284178	310514__F8NAP0__Premu_0358
ERR1913283.284219__1.284219	28117__B0MWP2__ALIPUT_01468
ERR1913283.284909__1.284909	39492__D4JR20__trmD
ERR1913283.285003__1.285003	1262911__R6HN72__BN557_00911
ERR1913283.285152__1.285152	39491__A0A174M1X5__DXB99_18695
ERR1913283.285172__1.285172	820__A0A174FUG6__DXC91_11265
ERR1913283.285183__1.285183	338188__C9KXT4__ERS852397_00312
ERR1913283.285189__1.285189	1535__A7VS87__CLOLEP_01425
ERR1913283.285202__1.285202	338188__R6S6W9__ERS852397_03172
ERR1913283.285259__1.285259	820__A0A174DZ97__SAMN05444418_101240
ERR1913283.285328__1.285328	338188__C9L2Z0__HMPREF1057_03240
ERR1913283.286331__1.286331	1262889__R7HAB3__BN634_00781
ERR1913283.286428__1.286428	338188__C9KXL5__xynD_1
ERR1913283.286603__1.286603	410072__C0BBT6__DXD67_02315
ERR1913283.286644__1.286644	338188__C9L1F9__BACFIN_08436
ERR1913283.286712__1.286712	671267__R9HYS1__C802_04097
ERR1913283.286674__1.286674	357276__A0A0K2HG61__BACDOR_02028
ERR1913283.286677__1.286677	1262700__R5XK32__BN695_00091
ERR1913283.287070__1.287070	39491__C4ZC33__DXC13_11585
ERR1913283.287208__1.287208	28118__R6FHC4__NCTC10826_00338
ERR1913283.287176__1.287176	239935__A0A2N8HT44__CXT84_11035
ERR1913283.287293__1.287293	1160721__R6T617__truA
ERR1913283.287314__1.287314	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913283.287401__1.287401	1262911__R6HHR1__BN557_01622
ERR1913283.287624__1.287624	820__A0A139K1Y6__DXB48_02610
ERR1913283.287766__1.287766	1262911__R6GPM2__BN557_00937
ERR1913283.287767__1.287767	239935__A0A2N8I6R6__CXU04_04335
ERR1913283.287779__1.287779	853__A0A173YYY4__DWZ04_09420
ERR1913283.287806__1.287806	1262911__R6GT76__BN557_01150
ERR1913283.287871__1.287871	410072__A0A173Y4Y6__ERS852389_02300
ERR1913283.287874__1.287874	39492__D4JRV5__acrR_2
ERR1913283.288056__1.288056	39492__D4MIK7__EUBSIR_00676
ERR1913283.288259__1.288259	1596__A0A133PAR7__LJCM1025_05410
ERR1913283.288390__1.288390	239935__A0A139TPG3__CXT86_08810
ERR1913283.288480__1.288480	1262700__R5XF05__BN695_01686
ERR1913283.288568__1.288568	745368__A0A1T4WKV6__SAMN02745178_00720
ERR1913283.288709__1.288709	239935__A0A2N8I694__CXU04_06245
ERR1913283.288711__1.288711	39491__A0A395V297__EUR_01010
ERR1913283.288812__1.288812	28116__A0A078Q626__HMPREF1070_02735
ERR1913283.288878__1.288878	1160721__W0U8M9__RBI_II00386
ERR1913283.288860__1.288860	1262911__R6GPB5__BN557_00842
ERR1913283.289187__1.289187	216816__A0A083X5W4__HMPREF0177_01593
ERR1913283.289497__1.289497	487174__K0WZN5__HMPREF9448_01108
ERR1913283.289766__1.289766	820__A0A139KJ23__celCCA
ERR1913283.289863__1.289863	1262700__R5Y7L6__BN695_00886
ERR1913283.289920__1.289920	944036__A0A196SI53__AV274_2307
ERR1913283.290076__1.290076	884684__GCA_002892425.1_01416
ERR1913283.290235__1.290235	239935__A0A139TPD4__CXT86_06450
ERR1913283.290199__1.290199	487174__K0WZA7__DDY40_11890
ERR1913283.290733__1.290733	239935__B2UL82__CXU14_06655
ERR1913283.290734__1.290734	239935__A0A2N8ITG2__Amuc_0335
ERR1913283.291628__1.291628	39491__C4ZAT2__ERE_28440
ERR1913283.291825__1.291825	1681__A0A0H2P5X3__DXD53_01205
ERR1913283.291797__1.291797	820__A0A139JRS5__HMPREF1073_04025
ERR1913283.292065__1.292065	544645__A0A3E4TA01__DXC42_07540
ERR1913283.292334__1.292334	820__A0A139K8N1__ERS852554_00951
ERR1913283.292361__1.292361	820__A0A396EUV1__B5G17_06465
ERR1913283.292644__1.292644	820__A7V780__adaA_3
ERR1913283.292782__1.292782	853__A0A173T6P2__DWZ46_14595
ERR1913283.292847__1.292847	1262911__R6HN81__BN557_00921
ERR1913283.293029__1.293029	39492__D4JU94__ispE
ERR1913283.293218__1.293218	1262889__R7HDL3__BN634_01924
ERR1913283.293643__1.293643	33025__A0A395JD30__C8D73_101259
ERR1913283.294035__1.294035	1262700__R5XWI0__BN695_01480
ERR1913283.293972__1.293972	46503__R6WTN6__PARMER_00136
ERR1913283.294071__1.294071	1262882__R5MHZ2__BN519_00742
ERR1913283.294168__1.294168	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913283.294290__1.294290	39492__D4JVG1__ERS852540_00951
ERR1913283.294363__1.294363	39492__D4JRV7__EUBSIR_01513
ERR1913283.294549__1.294549	357276__A0A0K2HMX2__HMPREF1063_03979
ERR1913283.295054__1.295054	1262700__R5XDW9__BN695_01259
ERR1913283.295187__1.295187	487174__K0WV96__HMPREF9448_01901
ERR1913283.295446__1.295446	28117__B0MWP2__ALIPUT_01468
ERR1913283.295735__1.295735	33025__A0A395JHD9__C8D73_101774
ERR1913283.296028__1.296028	1160721__R6T2Y3__RBI_II00189
ERR1913283.296029__1.296029	821__R9HFW2__DXD01_00365
ERR1913283.296053__1.296053	820__A0A3E4VXP2__yesR
ERR1913283.296329__1.296329	360807__C0FYL6__ROSEINA2194_03855
ERR1913283.296380__1.296380	360807__A0A396AIL7__RIL183_26291
ERR1913283.296623__1.296623	239935__A0A139TPD4__CXT86_06450
ERR1913283.296574__1.296574	1681__A0A286T9U4__DD698_01470
ERR1913283.296687__1.296687	33025__A0A395J8P0__C8D73_1144
ERR1913283.296694__1.296694	820__A0A3E4WA06__ERS852554_03404
ERR1913283.296734__1.296734	371601__E5CE41__ERS852396_04351
ERR1913283.297024__1.297024	820__A7V092__hldE
ERR1913283.297128__1.297128	39492__D4JX87__EUBSIR_00361
ERR1913283.297290__1.297290	46503__R6WTP2__HMPREF1078_03512
ERR1913283.297442__1.297442	1262700__R5YA16__BN695_01668
ERR1913283.297447__1.297447	1150298__A0A174SLE6__mlc_1
ERR1913283.297612__1.297612	39488__A0A285PQE3__DXD91_00180
ERR1913283.297669__1.297669	338188__K5CJA6__ERS852397_02346
ERR1913283.297951__1.297951	821__A0A174V2F3__NCTC10583_01474
ERR1913283.298419__1.298419	39491__D4JMW8__ERS852497_01971
ERR1913283.298614__1.298614	239935__A0A2N8I9P4__CXT85_05050
ERR1913283.298633__1.298633	674529__A0A3E5GXM1__SAMN05444400_102238
ERR1913283.298650__1.298650	1262889__R7HEB0__BN634_01682
ERR1913283.298834__1.298834	239935__A0A2N8IVR0__CXT87_07115
ERR1913283.299151__1.299151	1262700__R5XAG7__BN695_00872
ERR1913283.299269__1.299269	1262911__R6H092__BN557_00938
ERR1913283.299322__1.299322	820__A0A3E4VZS7__DXC07_14435
ERR1913283.299546__1.299546	338188__C9L213__ERS852397_00630
ERR1913283.299566__1.299566	820__A0A139K337__ERS852459_02375
ERR1913283.299607__1.299607	820__A0A1T4IY71__HMPREF2141_02402
ERR1913283.299821__1.299821	39491__A0A396FSK3__ERS852417_00383
ERR1913283.299824__1.299824	301301__A0A395V948__rsgA_2
ERR1913283.300032__1.300032	40518__R5DLM5__RB5AMG_00422
ERR1913283.300539__1.300539	239935__A0A2N8IRW0__A4V05_11620
ERR1913283.300592__1.300592	1262911__R6GIK4__BN557_01521
ERR1913283.300703__1.300703	39492__D4JRZ7__smc
ERR1913283.300762__1.300762	1262889__R7HDL3__BN634_01924
ERR1913283.301204__1.301204	39492__D4JRV7__EUBSIR_01513
ERR1913283.301307__1.301307	28116__A0A078Q626__HMPREF1070_02735
ERR1913283.301454__1.301454	1262700__R5Y7L6__BN695_00886
ERR1913283.301536__1.301536	1262889__R7HB62__BN634_00669
ERR1913283.301609__1.301609	28117__B0MXU6__ALIPUT_01958
ERR1913283.301700__1.301700	360807__C0G0A1__ERS852444_02410
ERR1913283.301720__1.301720	246787__A0A0P0FSC0__cytR_2
ERR1913283.301721__1.301721	1262700__R5XKX7__BN695_01333
ERR1913283.301682__1.301682	39491__A0A396FM36__DXB99_00820
ERR1913283.302049__1.302049	29466__D1BPN3__HSIVP1_1631
ERR1913283.302178__1.302178	301302__A0A173SD94__ERS852420_01254
ERR1913283.302181__1.302181	28117__B0MXG8__ALIPUT_01814
ERR1913283.302453__1.302453	28116__A0A078Q9S5__DXD69_13430
ERR1913283.302920__1.302920	360807__C0FP74__ERS852444_00195
ERR1913283.302945__1.302945	1262889__R7HCR1__BN634_01576
ERR1913283.302976__1.302976	487174__K0X429__HMPREF9448_00932
ERR1913283.303090__1.303090	821__A0A174AYT0__DXC02_03530
ERR1913283.303280__1.303280	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913283.303500__1.303500	1262911__R6HN81__BN557_00921
ERR1913283.303799__1.303799	310298__B3JNG7__BACCOP_03480
ERR1913283.303815__1.303815	39492__D4JUP6__ERS852540_01404
ERR1913283.303875__1.303875	820__A0A174CG08__DXB62_13215
ERR1913283.304094__1.304094	1262889__R7HA79__BN634_01068
ERR1913283.304168__1.304168	820__A0A173YYG4__evgS_3
ERR1913283.304209__1.304209	820__A0A139K5E7__DXC68_09550
ERR1913283.304328__1.304328	338188__A0A174K6G7__ERS852397_03397
ERR1913283.304714__1.304714	39491__A0A396FPV7__ERS852580_01177
ERR1913283.304723__1.304723	1897011__A0A1Q6RH85__BHW41_01750
ERR1913283.305214__1.305214	820__A0A3E4HWJ4__DXD40_05945
ERR1913283.305233__1.305233	1262911__R6HN81__BN557_00921
ERR1913283.305264__1.305264	1262700__R5XDY1__BN695_01269
ERR1913283.305880__1.305880	820__A0A374MXK3__HMPREF1072_00166
ERR1913283.305967__1.305967	39491__A0A395ZF49__DXB69_05290
ERR1913283.306000__1.306000	28116__A0A1Y4PHM7__DXA80_25130
ERR1913283.306235__1.306235	823__A0A073IAS1__M091_0201
ERR1913283.306243__1.306243	39492__D4JR08__ERS852540_02467
ERR1913283.306413__1.306413	28052__R5HJU0__ERS852451_00148
ERR1913283.306433__1.306433	28117__R7JIJ8__BHV66_01635
ERR1913283.306541__1.306541	338188__R6S8N0__BACFIN_06127
ERR1913283.306953__1.306953	823__C7XBX3__HMPREF1059_03212
ERR1913283.306966__1.306966	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913283.307034__1.307034	820__A0A174FUF0__HMPREF1073_03308
ERR1913283.307526__1.307526	33025__A0A395JHB7__C8D73_101754
ERR1913283.307598__1.307598	39491__C4Z9K0__DXD95_07445
ERR1913283.307680__1.307680	39491__A0A395ZG74__licR
ERR1913283.307708__1.307708	487174__K0WZP2__DDY40_04000
ERR1913283.307842__1.307842	33025__A0A395JDV3__C8D73_101685
ERR1913283.308029__1.308029	823__D0TAX5__HMPREF1075_01064
ERR1913283.308113__1.308113	487174__R5F4K8__HMPREF9448_01532
ERR1913283.308245__1.308245	33025__A0A395J8P0__C8D73_1144
ERR1913283.308266__1.308266	1262889__R7HD87__BN634_01680
ERR1913283.308311__1.308311	357276__B6W1J2__BACDOR_03380
ERR1913283.308327__1.308327	39491__A0A395V6A3__DXB69_00505
ERR1913283.308399__1.308399	1160721__R6T4W2__RBI_I00237
ERR1913283.308533__1.308533	28117__R7JPX7__BHV66_00900
ERR1913283.308575__1.308575	487174__K0WXG8__DIT83_09300
ERR1913283.308735__1.308735	1160721__W0U4D5__RBI_I01230
ERR1913283.308739__1.308739	820__A0A1Q6IDS8__chtA
ERR1913283.308833__1.308833	820__R9I2U8__DXC68_09590
ERR1913283.308852__1.308852	239935__A0A2N8IMC9__CXU09_02095
ERR1913283.309006__1.309006	818__A0A1H7L4U6__BSIG_3287
ERR1913283.309099__1.309099	33025__A0A395JBA6__C8D73_1039
ERR1913283.309366__1.309366	1262911__R6GLI1__BN557_01518
ERR1913283.309332__1.309332	39492__D4JWY7__EUBSIR_01655
ERR1913283.309643__1.309643	39491__A0A395UWZ1__DXC13_02175
ERR1913283.310088__1.310088	820__A0A174M9V5__M093_0237
ERR1913283.310346__1.310346	88431__A0A174UTT9__clcA
ERR1913283.310301__1.310301	239935__A0A2N8HT44__CXT84_11035
ERR1913283.310514__1.310514	28117__B0MXW9__ALIPUT_01981
ERR1913283.310636__1.310636	357276__I9FTR0__HMPREF1065_02861
ERR1913283.310910__1.310910	39492__D4JWY0__EUBSIR_01648
ERR1913283.310956__1.310956	1262739__R6MRD4__BN659_02013
ERR1913283.311026__1.311026	454154__G5STR1__HMPREF9441_02766
ERR1913283.311054__1.311054	820__A0A396EXA7__DXB37_15530
ERR1913283.311060__1.311060	360807__A0A0M6WQ40__hisK_1
ERR1913283.311070__1.311070	28117__B0MT73__ALIPUT_00412
ERR1913283.311094__1.311094	239935__A0A139TVJ4__CXT86_02020
ERR1913283.311141__1.311141	239935__B2UPZ6__CXU03_03800
ERR1913283.311228__1.311228	820__A7V092__hldE
ERR1913283.311396__1.311396	39486__G1WPY4__DXD82_02995
ERR1913283.311560__1.311560	239935__A0A139TQT9__Amuc_1197
ERR1913283.311635__1.311635	301301__A0A395V8G6__RHOM_11005
ERR1913283.311738__1.311738	1262700__R5XIA6__BN695_00438
ERR1913283.311746__1.311746	39491__A0A396FPV7__ERS852580_01177
ERR1913283.311770__1.311770	853__A0A3E2V168__FAEPRAM212_00929
ERR1913283.311903__1.311903	820__A7VAR9__ERS852421_00197
ERR1913283.312227__1.312227	820__A0A174TRB5__DXD40_11305
ERR1913283.312385__1.312385	39491__A0A174LTW7__DXD13_08720
ERR1913283.312632__1.312632	820__A0A139KH21__DXC80_01780
ERR1913283.312958__1.312958	853__D4K7X0__DW905_09540
ERR1913283.313272__1.313272	1262736__R5YAS8__BN496_01746
ERR1913283.313487__1.313487	626929__R6MD51__SAMN05444376_2492
ERR1913283.313634__1.313634	820__A0A396EUV1__B5G17_06465
ERR1913283.313719__1.313719	1262911__R6H074__BN557_00923
ERR1913283.313722__1.313722	216816__A0A0M0VKE6__BL0626
ERR1913283.314120__1.314120	239935__R7E524__CXT91_06180
ERR1913283.314135__1.314135	1262889__R7H773__BN634_02377
ERR1913283.314247__1.314247	33025__A0A395JBN6__C8D73_10630
ERR1913283.314265__1.314265	28117__B0MY40__BHV66_05170
ERR1913283.314373__1.314373	853__C7H1R8__DW905_06675
ERR1913283.314376__1.314376	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913283.314408__1.314408	28117__R7JPX7__BHV66_00900
ERR1913283.314787__1.314787	1520815__A0A1I3QWI4__SAMN02910435_01917
ERR1913283.314856__1.314856	1262700__R5X902__BN695_00437
ERR1913283.314994__1.314994	338188__A0A173XHS4__BACFIN_08438
ERR1913283.315030__1.315030	33025__A0A395JBB5__C8D73_107104
ERR1913283.315119__1.315119	384638__B7APN3__BACPEC_00639
ERR1913283.315160__1.315160	820__A0A3E4VZS7__DXC07_14435
ERR1913283.315486__1.315486	820__A0A173YYG4__evgS_3
ERR1913283.315507__1.315507	820__A0A174VD39__DXD90_12235
ERR1913283.315768__1.315768	39491__A0A395V1T9__DXD13_03310
ERR1913283.316058__1.316058	1262746__R5SS80__BN750_02125
ERR1913283.316314__1.316314	1680__A0A174BEE7__BSTER_1311
ERR1913283.316637__1.316637	1160721__R6TB54__RBI_I01327
ERR1913283.316638__1.316638	823__A6LBY1__ERS852380_00510
ERR1913283.316779__1.316779	1263044__GCA_000433375.1_00678
ERR1913283.316909__1.316909	487174__R5F2W8__HMPREF9448_01730
ERR1913283.316820__1.316820	239935__A0A139TPD4__CXT86_06450
ERR1913283.316826__1.316826	47678__A0A3E5BQM1__DXB67_08970
ERR1913283.316851__1.316851	338188__K5CJA6__ERS852397_02346
ERR1913283.317169__1.317169	820__A0A173WZS4__DXD90_10250
ERR1913283.317185__1.317185	823__A0A174VHT1__DHP27_04775
ERR1913283.317223__1.317223	821__A0A174K302__CUU_3129
ERR1913283.317505__1.317505	239935__R6JCH3__CXT95_08205
ERR1913283.317968__1.317968	471189__GCA_003340385.1_00155
ERR1913283.317926__1.317926	1262911__R6GXH0__BN557_00389
ERR1913283.318002__1.318002	338188__A0A173WKZ0__BACFIN_07292
ERR1913283.318328__1.318328	820__A0A374QGD2__ERS852421_02382
ERR1913283.318467__1.318467	1262911__R6GPM2__BN557_00937
ERR1913283.318636__1.318636	39492__D4JQS6__ykoD
ERR1913283.318664__1.318664	387090__S0F7Y3__BACCOPRO_02028
ERR1913283.318696__1.318696	820__A0A3E4WCX3__C801_02709
ERR1913283.318736__1.318736	301301__A0A395V6S0__dosP
ERR1913283.318755__1.318755	820__A0A3E4VXP2__yesR
ERR1913283.318973__1.318973	28117__B0MVL2__BHV66_01645
ERR1913283.318991__1.318991	33039__A0A173VTT4__frdB_1
ERR1913283.319254__1.319254	820__A0A3E4G3J9__ERS852459_02265
ERR1913283.319137__1.319137	1262736__R5Y3W9__BN496_01449
ERR1913283.319421__1.319421	310298__B3JEV6__BACCOP_00400
ERR1913283.319573__1.319573	1263044__GCA_000433375.1_01150
ERR1913283.319581__1.319581	487174__K0WYI1__DDY40_08675
ERR1913283.319806__1.319806	28117__B0MTS2__ALIPUT_00159
ERR1913283.319869__1.319869	301301__A0A395VB45__ERS852391_02575
ERR1913283.320230__1.320230	820__A0A139KG04__ERS852459_01249
ERR1913283.320339__1.320339	1262889__R7HCR1__BN634_01576
ERR1913283.320691__1.320691	853__E2ZJT1__C4N23_03535
ERR1913283.320695__1.320695	1262889__R7HAN4__BN634_02105
ERR1913283.320949__1.320949	820__A0A174TRB5__DXD40_11305
ERR1913283.320952__1.320952	820__A0A139K426__B5G17_09115
ERR1913283.321162__1.321162	357276__I8WPR6__EL88_06675
ERR1913283.321415__1.321415	1263044__GCA_000433375.1_01437
ERR1913283.321576__1.321576	357276__B6VT86__IY41_22515
ERR1913283.321606__1.321606	239935__A0A2N8IRL2__CXU06_01170
ERR1913283.321816__1.321816	39491__A0A396FMT0__EUBREC_3020
ERR1913283.322557__1.322557	820__A7V859__ERS852462_00341
ERR1913283.322716__1.322716	33025__A0A395JEP7__C8D73_10844
ERR1913283.322611__1.322611	1262911__R6H074__BN557_00923
ERR1913283.322618__1.322618	39492__D4JT90__coaE
ERR1913283.322778__1.322778	823__A0A355XLQ9__DXC05_02185
ERR1913283.322796__1.322796	818__R6VB25__BSIG_5053
ERR1913283.322814__1.322814	28117__B0MXU6__ALIPUT_01958
ERR1913283.322974__1.322974	626929__R6MD77__SAMN05444376_2510
ERR1913283.323290__1.323290	239935__A0A2N8ITW6__CXT91_06265
ERR1913283.323302__1.323302	301301__G2SX39__ERS852391_02360
ERR1913283.323385__1.323385	166486__D4L1P5__ERS852572_00758
ERR1913283.323506__1.323506	1550024__A0A3B9WIB6__TQ39_08435
ERR1913283.323632__1.323632	1262889__R7H7Y5__BN634_02358
ERR1913283.323843__1.323843	1262911__R6H212__BN557_01031
ERR1913283.324055__1.324055	39491__A0A395ZGU6__ERS852417_01456
ERR1913283.324098__1.324098	1262777__R5VU54__BN512_00181
ERR1913283.324099__1.324099	39491__D4JMW8__ERS852497_01971
ERR1913283.324118__1.324118	39491__A0A396FRK0__ERS852417_00541
ERR1913283.324626__1.324626	360807__A0A0M6WC24__ERS852444_00338
ERR1913283.325140__1.325140	1160721__R6U983__RBI_I00047
ERR1913283.325266__1.325266	310298__B3JII2__BACCOP_01694
ERR1913283.325309__1.325309	166486__D4KWN4__ERS852572_01865
ERR1913283.325236__1.325236	853__A0A174CVG7__CGS58_09335
ERR1913283.325246__1.325246	1262700__R5XWI0__BN695_01480
ERR1913283.325487__1.325487	1262889__R7HAQ6__BN634_02130
ERR1913283.325830__1.325830	39491__A0A395ZKJ0__DXD13_11010
ERR1913283.325928__1.325928	39488__A0A374NU89__ERS852578_02475
ERR1913283.326654__1.326654	46503__R6WTN6__PARMER_00136
ERR1913283.326993__1.326993	39491__A0A395UYA6__EUBREC_0408
ERR1913283.327101__1.327101	239935__R7DVW2__CXU02_03915
ERR1913283.327051__1.327051	39491__C4ZC33__DXC13_11585
ERR1913283.327264__1.327264	40518__R5DU28__DXD86_07960
ERR1913283.327275__1.327275	823__A0A174PAQ4__ERS852429_04218
ERR1913283.327303__1.327303	487174__K0XK80__DIT83_00335
ERR1913283.327385__1.327385	40520__R7DBX4__fnt
ERR1913283.327912__1.327912	239935__A0A2N8J1K0__CXT97_05765
ERR1913283.327957__1.327957	357276__B6VW91__BACDOR_01584
ERR1913283.328005__1.328005	328814__GCA_004558275.1_00076
ERR1913283.328557__1.328557	1105031__J1H3W2__HMPREF1141_2783
ERR1913283.328539__1.328539	1262889__R7H9H9__BN634_02436
ERR1913283.328792__1.328792	1262700__R5Y911__BN695_01316
ERR1913283.328826__1.328826	820__A0A3E4RU03__M093_0563
ERR1913283.328965__1.328965	487174__K0X2W8__HMPREF9448_02611
ERR1913283.329075__1.329075	360807__A0A0M6WZU2__ROSEINA2194_04025
ERR1913283.328997__1.328997	1262777__R5VLR4__BN512_00267
ERR1913283.329221__1.329221	820__R9HXK9__DXB62_08265
ERR1913283.329364__1.329364	47678__R5U8P0__DW706_15950
ERR1913283.329514__1.329514	218538__C9LPF0__GCWU000321_01429
ERR1913283.329457__1.329457	1262889__R7H5X2__BN634_01934
ERR1913283.330003__1.330003	1262911__R6H1D2__BN557_00855
ERR1913283.329949__1.329949	1160721__W0U5X6__RBI_I01796
ERR1913283.330075__1.330075	410072__A0A174D6E7__ERS852574_01257
ERR1913283.330246__1.330246	1262736__R5YW03__BN496_00822
ERR1913283.330419__1.330419	1262911__R6H072__BN557_00615
ERR1913283.330533__1.330533	39491__A0A395V5R3__EUBREC_1883
ERR1913283.330586__1.330586	39491__A0A396FGM9__fliU_1
ERR1913283.330618__1.330618	33043__D5HEK8__lytR_1
ERR1913283.330864__1.330864	1262700__R5XBU8__BN695_01272
ERR1913283.330877__1.330877	39491__A0A396FF66__DXD95_01810
ERR1913283.330938__1.330938	820__A7V470__HMPREF1072_02076
ERR1913283.331386__1.331386	1262700__R5Y691__BN695_00466
ERR1913283.331522__1.331522	357276__B6VVS0__HMPREF1064_03951
ERR1913283.331608__1.331608	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913283.331641__1.331641	630129__A0A173Z5R6__BKAS_0486
ERR1913283.331882__1.331882	410072__C0BBS7__ERS852525_00851
ERR1913283.331996__1.331996	40518__R5E6K5__speA
ERR1913283.332134__1.332134	246787__I8V2S2__BACCELL_02524
ERR1913283.332220__1.332220	239935__R7E524__CXT91_06180
ERR1913283.332271__1.332271	1263044__GCA_000433375.1_00682
ERR1913283.332431__1.332431	218538__C9LM16__csm1
ERR1913283.332649__1.332649	338188__A0A174FPA3__BACFIN_06857
ERR1913283.332654__1.332654	820__A0A173WUD7__DXB48_08055
ERR1913283.332674__1.332674	821__C6Z451__BHV80_04265
ERR1913283.332809__1.332809	823__D0T9E4__DHW69_09115
ERR1913283.332849__1.332849	246787__R6LGB3__BcellWH2_02361
ERR1913283.332901__1.332901	820__A0A3E4XM43__DXC91_13960
ERR1913283.333223__1.333223	1262777__R5VMT6__BN512_00611
ERR1913283.333237__1.333237	28117__R7JMT0__BHV66_05875
ERR1913283.333359__1.333359	46503__R6XCJ0__PARMER_01847
ERR1913283.333439__1.333439	39491__A0A173QT73__alaS_2
ERR1913283.333504__1.333504	360807__A0A173WJE3__mcp4_4
ERR1913283.333557__1.333557	818__R6VB25__BSIG_5053
ERR1913283.333729__1.333729	1150298__A0A174RJU1__gsiA_4
ERR1913283.333743__1.333743	820__R9HVB9__DXC68_17285
ERR1913283.333783__1.333783	239935__A0A2N8I9P4__CXT85_05050
ERR1913283.333787__1.333787	1263044__GCA_000433375.1_03385
ERR1913283.334034__1.334034	204516__U6RAM4__HMPREF1534_03439
ERR1913283.334048__1.334048	216816__Q8G585__APC1473_0508
ERR1913283.334073__1.334073	39492__D4JQL8__ywpJ
ERR1913283.334118__1.334118	820__A0A173YYG4__evgS_3
ERR1913283.334122__1.334122	39492__D4JWI6__EUBSIR_01073
ERR1913283.334275__1.334275	28117__B0MXW9__ALIPUT_01981
ERR1913283.334418__1.334418	239935__A0A139TVJ4__CXT86_02020
ERR1913283.334743__1.334743	820__A0A396EWL3__ERS417307_03868
ERR1913283.334789__1.334789	47678__R5UAF6__ERS852494_02966
ERR1913283.334858__1.334858	39485__C4Z5L9__ERS852490_00668
ERR1913283.334913__1.334913	47678__R5UZM4__DW706_15680
ERR1913283.334950__1.334950	1262700__R5XEN3__BN695_01551
ERR1913283.335058__1.335058	371601__D6D6P1__DXD03_13270
ERR1913283.335102__1.335102	338188__R6D6U2__ERS852397_02840
ERR1913283.335153__1.335153	487174__K0WYI1__DDY40_08675
ERR1913283.335302__1.335302	853__C7H7F8__yccM_1
ERR1913283.335221__1.335221	1263107__GCA_000436995.1_00071
ERR1913283.335308__1.335308	39492__R6RT40__prkC_3
ERR1913283.335398__1.335398	239935__R7DVL7__CXT93_01180
ERR1913283.335423__1.335423	239935__A0A3F3K985__CXT98_05805
ERR1913283.335597__1.335597	357276__B6W1J2__BACDOR_03380
ERR1913283.335727__1.335727	820__A0A139JRS5__HMPREF1073_04025
ERR1913283.335742__1.335742	39491__R6UMS6__DXD13_07035
ERR1913283.335917__1.335917	820__A7V9F9__B5G17_14640
ERR1913283.335897__1.335897	165179__D1PES9__DXB80_11585
ERR1913283.335980__1.335980	28118__R6FFC1__Odosp_2660
ERR1913283.336208__1.336208	1262700__R5Y6F4__BN695_00541
ERR1913283.336813__1.336813	338188__C9KXT4__ERS852397_00312
ERR1913283.336843__1.336843	1297617__A0A0S2W0X1__IB211_00621
ERR1913283.337468__1.337468	39492__D4JWP8__EUBSIR_00699
ERR1913283.337541__1.337541	39492__D4JR31__EUBSIR_00106
ERR1913283.337691__1.337691	1263107__GCA_000436995.1_00058
ERR1913283.337644__1.337644	820__A0A174GK47__ERS852421_00200
ERR1913283.337867__1.337867	39491__A0A174EQV2__DXB69_10230
ERR1913283.337868__1.337868	820__A7UYX8__DXD40_11635
ERR1913283.337963__1.337963	46503__A7AHD3__DXB85_00810
ERR1913283.338176__1.338176	823__K6ACX1__ERS852513_00266
ERR1913283.338241__1.338241	626929__F3PF45__B5F24_16795
ERR1913283.338198__1.338198	239935__A0A2N8IKW7__pstA
ERR1913283.338213__1.338213	820__A0A139KHX1__HMPREF2141_00289
ERR1913283.338397__1.338397	552398__F4XHU2__HMPREF0866_03196
ERR1913283.338408__1.338408	239935__R6J5N6__CXT99_10770
ERR1913283.338502__1.338502	1262700__R5Y6F4__BN695_00541
ERR1913283.338583__1.338583	39492__D4JRZ7__smc
ERR1913283.338677__1.338677	328813__A0A1Y3QZ64__B5G41_14235
ERR1913283.338770__1.338770	39491__A0A395ZHW9__DXC13_02590
ERR1913283.338846__1.338846	823__E1YSG0__DHP27_00465
ERR1913283.339032__1.339032	820__A0A3E4W9W8__C801_01069
ERR1913283.339090__1.339090	28117__B0MXW9__ALIPUT_01981
ERR1913283.339512__1.339512	329854__A0A3E4IQD7__BACINT_01717
ERR1913283.339520__1.339520	1304__J7SHP5__SALIVA_1499
ERR1913283.339584__1.339584	47678__R5UUD7__bga_1
ERR1913283.339683__1.339683	1263006__R6M176__BN515_00274
ERR1913283.339914__1.339914	1263044__GCA_000433375.1_02419
ERR1913283.339986__1.339986	246787__A0A0P0FSC0__cytR_2
ERR1913283.340213__1.340213	301301__A0A395V8E1__RHOM_11160
