ERR1913168.436__1.436	360807__A0A0M6WZJ4__ERS852392_03439
ERR1913168.308567__1.308567	39485__R5ZVC3__ERS852490_00250
ERR1913168.308851__1.308851	301302__A0A173SCU7__M72_12871
ERR1913168.309078__1.309078	33038__A7AZT7__RUMGNA_00811
ERR1913168.309124__1.309124	40519__U2MCQ8__RUMCAL_00556
ERR1913168.309419__1.309419	216816__B3DU85__APC1504_0160
ERR1913168.309616__1.309616	1965604__A0A1Y4ERL1__B5F54_16810
ERR1913168.309645__1.309645	28052__R7NCP0__ERS852451_00670
ERR1913168.309791__1.309791	1160721__W0U3Z9__RBI_I00543
ERR1913168.309800__1.309800	33038__A0A396GES8__CDL19_08885
ERR1913168.310359__1.310359	360807__A0A1Q6T3E4__ROSEINA2194_03999
ERR1913168.310360__1.310360	818__A0A3E5HXH0__NCTC13706_02166
ERR1913168.310483__1.310483	242750__D1PVG9__HMPREF0645_0954
ERR1913168.310499__1.310499	1150298__R7JU58__ssuC_2
ERR1913168.310553__1.310553	165179__A0A174UTZ7__DXC61_06705
ERR1913168.310587__1.310587	1160721__R6T2A6__RBI_I00395
ERR1913168.311609__1.311609	821__I9R3W6__DXC16_12455
ERR1913168.311811__1.311811	329854__R7DLP0__DXD27_18335
ERR1913168.311889__1.311889	1160721__R6THG6__RBI_I00012
ERR1913168.311908__1.311908	1160721__W0U560__RBI_I01229
ERR1913168.312147__1.312147	204516__U6RGN8__HMPREF1534_01465
ERR1913168.312624__1.312624	2292352__A0A374UKZ5__DXC23_11285
ERR1913168.312712__1.312712	39485__C4Z1W5__ERS852492_01530
ERR1913168.312729__1.312729	1262988__R7N3H9__BN816_01359
ERR1913168.312858__1.312858	329854__R5M1Z2__DXD57_10480
ERR1913168.312792__1.312792	1263000__R5EKG2__BN466_02040
ERR1913168.313144__1.313144	1547__H1APC3__CLORAM_00787
ERR1913168.313192__1.313192	328814__GCA_004558275.1_00035
ERR1913168.313443__1.313443	1160721__W0U8M9__RBI_II00386
ERR1913168.313426__1.313426	1263000__R5EMZ8__BN466_00707
ERR1913168.313707__1.313707	33038__A7AZD2__CDL27_05250
ERR1913168.313782__1.313782	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913168.313861__1.313861	418240__A0A174DPG4__ERS852523_03206
ERR1913168.314003__1.314003	28118__R6FX99__Odosp_1660
ERR1913168.314047__1.314047	328814__GCA_004558275.1_00296
ERR1913168.314200__1.314200	39488__A0A173TAA3__EUBHAL_03220
ERR1913168.314245__1.314245	1262911__R6GT76__BN557_01150
ERR1913168.314325__1.314325	39485__A0A174Z501__EUBELI_00678
ERR1913168.314460__1.314460	165179__A0A3E5A5E5__DXC61_13965
ERR1913168.314627__1.314627	301301__A0A395V6Z6__ERS852391_00966
ERR1913168.314682__1.314682	501571__R8W930__SAMN02745978_01072
ERR1913168.314924__1.314924	33038__A7B3I2__DXD36_11565
ERR1913168.315072__1.315072	214856__I3YMC8__ERS852447_02666
ERR1913168.315229__1.315229	33038__A0A2N5PW99__DXD36_03540
ERR1913168.315313__1.315313	821__A0A3E4HP25__SAMN04487923_102450
ERR1913168.315425__1.315425	33038__A0A2N5PU17__C5Y99_11950
ERR1913168.315929__1.315929	28117__B0MVL2__BHV66_01645
ERR1913168.315796__1.315796	821__R9HFW2__DXD01_00365
ERR1913168.316005__1.316005	39492__D4MMN2__EUBSIR_00964
ERR1913168.316020__1.316020	301301__A0A395V8C2__rhaR_3
ERR1913168.316286__1.316286	552398__T5S086__HMPREF0866_01580
ERR1913168.316519__1.316519	328814__GCA_004558275.1_00078
ERR1913168.316526__1.316526	301301__A0A395V3C0__mcpC_6
ERR1913168.316528__1.316528	487174__K0WR72__HMPREF9448_02610
ERR1913168.316601__1.316601	39485__A0A174ZBK4__ERS852490_01585
ERR1913168.317010__1.317010	242750__D1PVH0__HMPREF0645_0955
ERR1913168.317331__1.317331	33038__F7JT04__CDL21_01120
ERR1913168.317920__1.317920	853__A0A2A7B9I6__DW855_13690
ERR1913168.318233__1.318233	28117__B0MTS2__ALIPUT_00159
ERR1913168.318389__1.318389	33038__A0A2N5PKP1__CDL19_11275
ERR1913168.318566__1.318566	214856__A0A174ZLY7__ERS852447_02456
ERR1913168.318755__1.318755	418240__A0A174C465__ydaM
ERR1913168.319015__1.319015	239935__A0A2N8HDT1__CXT94_05270
ERR1913168.319224__1.319224	1263000__R5EAV7__BN466_00502
ERR1913168.319231__1.319231	394340__group_3365
ERR1913168.319355__1.319355	820__A0A3E5BMG9__DXD40_05130
ERR1913168.319457__1.319457	544644__GCA_001915615.1_00059
ERR1913168.319413__1.319413	360807__A0A0M6WUG1__ERS852392_00028
ERR1913168.319519__1.319519	165179__A0A3E5AER8__DXB80_07075
ERR1913168.319548__1.319548	28117__B0MT73__ALIPUT_00412
ERR1913168.319817__1.319817	239935__A0A2N8IL82__CXU02_11740
ERR1913168.320141__1.320141	552398__T5S086__HMPREF0866_01580
ERR1913168.320200__1.320200	74426__rpoC
ERR1913168.320238__1.320238	501571__R8VYQ7__B5F17_09670
ERR1913168.320240__1.320240	328814__GCA_004558275.1_00079
ERR1913168.320294__1.320294	487174__K0X5U7__DDY40_04950
ERR1913168.320304__1.320304	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913168.320338__1.320338	1263000__R5EPJ2__BN466_00954
ERR1913168.320794__1.320794	329854__R7DLP0__DXD27_18335
ERR1913168.321030__1.321030	329854__A0A3E4IPS4__DXD57_02175
ERR1913168.321154__1.321154	328814__GCA_004558275.1_00296
ERR1913168.321171__1.321171	28117__R7JIJ8__BHV66_01635
ERR1913168.321342__1.321342	1262700__R5XKX7__BN695_01333
ERR1913168.321434__1.321434	33038__A0A396G729__RUMGNA_01796
ERR1913168.321492__1.321492	820__A0A139KJ23__celCCA
ERR1913168.321654__1.321654	562__P77789__fimF_3
ERR1913168.321687__1.321687	384639__GCA_003096855.1_01210
ERR1913168.321762__1.321762	28116__D4WJ30__DHW41_06080
ERR1913168.321961__1.321961	39485__R5ZNG4__yerB
ERR1913168.321998__1.321998	239935__A0A2N8HL14__CXT98_09285
ERR1913168.322068__1.322068	39485__A0A174ZBK4__ERS852490_01585
ERR1913168.322180__1.322180	884684__GCA_002892425.1_01408
ERR1913168.322202__1.322202	821__E5UY21__C800_02204
ERR1913168.322215__1.322215	292800__A0A174N232__ADH75_10840
ERR1913168.322284__1.322284	33038__A0A2N5NWR8__CDL18_14140
ERR1913168.322459__1.322459	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913168.322902__1.322902	1262989__R6YA16__BN815_01959
ERR1913168.322912__1.322912	39485__A0A174ZA08__EUBELI_01019
ERR1913168.322969__1.322969	165179__A0A3E5EA43__DXC61_07775
ERR1913168.323043__1.323043	1432052__A0A1E3AAQ0__BLA28_02175
ERR1913168.323111__1.323111	28116__D7K2E0__endOF2_3
ERR1913168.323269__1.323269	360807__A0A174EVF2__RIL183_27331
ERR1913168.323300__1.323300	821__A0A174MBW9__SAMN04487923_10272
ERR1913168.323310__1.323310	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.323382__1.323382	821__A0A174NSU0__BVU_3144
ERR1913168.323702__1.323702	28052__A0A174NY34__ERS852499_02326
ERR1913168.323951__1.323951	28116__A0A1Y4PHM7__DXA80_25130
ERR1913168.324009__1.324009	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913168.324100__1.324100	39488__C0EY66__prkC_1
ERR1913168.324237__1.324237	329854__R5M2W2__DXD57_07845
ERR1913168.324200__1.324200	821__I9R3W6__DXC16_12455
ERR1913168.324360__1.324360	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913168.324288__1.324288	1263000__R5F0H4__BN466_00249
ERR1913168.324503__1.324503	175950__GeneID:955654
ERR1913168.324520__1.324520	33038__F7JV68__C5Y99_05575
ERR1913168.324589__1.324589	39485__A0A174YR79__EUBELI_20418
ERR1913168.324678__1.324678	33038__A7B057__CDL26_15045
ERR1913168.324841__1.324841	33039__D4M0J9__ERS852577_03924
ERR1913168.324976__1.324976	360807__C0FN02__ERS852392_01841
ERR1913168.325237__1.325237	1263000__R5EFY3__BN466_01416
ERR1913168.325477__1.325477	649756__A0A173RRC5__DO83_12885
ERR1913168.325600__1.325600	487174__K0WZU9__HMPREF9448_01159
ERR1913168.325843__1.325843	28117__B0MTH2__ALIPUT_00061
ERR1913168.325853__1.325853	301302__A0A0M6WJW1__ERS852420_02245
ERR1913168.326211__1.326211	301301__A0A395V8E1__RHOM_11160
ERR1913168.326407__1.326407	1160721__A0A1C6CMR2__BHW50_00085
ERR1913168.326696__1.326696	33038__A7AZD2__CDL27_05250
ERR1913168.326645__1.326645	820__A0A139K8X8__DXC80_17665
ERR1913168.326728__1.326728	33038__A7B7J5__DXD36_03640
ERR1913168.326806__1.326806	853__R6QDR1__C4N27_08170
ERR1913168.326872__1.326872	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.326907__1.326907	301301__A0A395VA65__eutA
ERR1913168.326955__1.326955	292800__A0A1C7FI34__B5F52_14540
ERR1913168.327035__1.327035	1263076__GCA_000437615.1_00134
ERR1913168.327258__1.327258	214856__A0A174ZED5__ERS852559_00591
ERR1913168.327548__1.327548	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1913168.327554__1.327554	818__A0A396E9L6__C799_02774
ERR1913168.327741__1.327741	29361__B6FRT6__CLONEX_02860
ERR1913168.327810__1.327810	40520__A0A174JSI5__ERS852394_00345
ERR1913168.328026__1.328026	1318__I1ZPP5__HMPREF1195_01825
ERR1913168.328132__1.328132	28117__B0MXD0__ALIPUT_01669
ERR1913168.328292__1.328292	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.328358__1.328358	33038__A0A396G4K0__CDL22_09365
ERR1913168.328505__1.328505	2173__A0A1D2WT96__BK798_08100
ERR1913168.328586__1.328586	33038__A0A396G9G9__CDL21_03070
ERR1913168.328611__1.328611	33038__A0A2N5P318__HMPREF1201_01171
ERR1913168.328842__1.328842	1160721__W0U811__RBI_II00162
ERR1913168.328942__1.328942	29361__B6FQ81__CLONEX_02300
ERR1913168.328967__1.328967	165179__A0A3E5A554__DXB80_13805
ERR1913168.328978__1.328978	501571__R8VU20__B5F15_03780
ERR1913168.329201__1.329201	165179__D1PEQ5__PREVCOP_05711
ERR1913168.329255__1.329255	28052__A0A174I4I1__ERS852499_00646
ERR1913168.329290__1.329290	357276__I9QBT7__BSEG_03340
ERR1913168.329545__1.329545	929814__GeneID:14006943
ERR1913168.329698__1.329698	1160721__W0U4N8__RBI_I00805
ERR1913168.329713__1.329713	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.329916__1.329916	39485__C4Z6V7__walK
ERR1913168.330005__1.330005	384638__B7AT14__BACPEC_01282
ERR1913168.330016__1.330016	457421__C5ERC0__CBFG_04276
ERR1913168.330066__1.330066	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.330246__1.330246	301302__A0A173TYC8__M72_00761
ERR1913168.330375__1.330375	1160721__W0U2W0__BHW50_02075
ERR1913168.330429__1.330429	301302__A0A173TNM6__luxQ
ERR1913168.330975__1.330975	33038__A0A2N5PU17__C5Y99_11950
ERR1913168.331143__1.331143	28116__A7LUQ0__CUY_2205
ERR1913168.331370__1.331370	817__K1GRH1__M070_3874
ERR1913168.331439__1.331439	821__A0A3E4KIM1__M097_3660
ERR1913168.331489__1.331489	487174__K0WX70__DDY40_01710
ERR1913168.331527__1.331527	301302__A0A0M6WB53__mcp4_4
ERR1913168.331570__1.331570	28052__R7NBF2__ERS852451_02191
ERR1913168.331612__1.331612	239935__A0A2N8HEH9__CXU07_11710
ERR1913168.331778__1.331778	329854__A0A3E4KYM8__DXD27_06860
ERR1913168.331942__1.331942	39496__A5Z5I2__EUBVEN_00963
ERR1913168.332118__1.332118	239935__A0A139TPG3__CXT86_08810
ERR1913168.332127__1.332127	821__I9R3W6__DXC16_12455
ERR1913168.332698__1.332698	1150298__R7JUS7__ytlR
ERR1913168.332890__1.332890	301302__R5UQ67__M72_23121
ERR1913168.333042__1.333042	1897011__A0A1Q6RGE4__BHW41_02910
ERR1913168.333145__1.333145	33038__A0A2N5PGR1__ERS852409_01332
ERR1913168.333286__1.333286	823__A0A395YVY3__ERS852513_03204
ERR1913168.333403__1.333403	1776045__A0A0U5J7K7__BN3456_00132
ERR1913168.333491__1.333491	214856__A0A175A1F5__ERS852559_01764
ERR1913168.333517__1.333517	39485__R5ZRT8__gmr_6
ERR1913168.333573__1.333573	301302__A0A173TYC8__M72_00761
ERR1913168.333593__1.333593	821__E5UY21__C800_02204
ERR1913168.333655__1.333655	328814__GCA_004558275.1_00296
ERR1913168.333974__1.333974	360807__A0A174C9G9__ERS852392_02115
ERR1913168.334002__1.334002	33038__A7AYM0__CDL18_00905
ERR1913168.334383__1.334383	28052__A0A174HUY2__ERS852451_01601
ERR1913168.334425__1.334425	360807__A0A0M6WZN5__ERS852392_01605
ERR1913168.334569__1.334569	1547__G9R3A9__CLORAM_00743
ERR1913168.334619__1.334619	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913168.334641__1.334641	29361__B6FTH3__CLONEX_03450
ERR1913168.334643__1.334643	28117__B0MUB4__BHV66_01895
ERR1913168.334707__1.334707	821__A0A174ALF2__BvMPK_3016
ERR1913168.334764__1.334764	28052__R7N6Q7__rafA
ERR1913168.334770__1.334770	28117__B0MVL5__BHV66_01660
ERR1913168.334803__1.334803	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.334932__1.334932	28116__A0A078Q626__HMPREF1070_02735
ERR1913168.334992__1.334992	1776045__A0A0U5J7K7__BN3456_00132
ERR1913168.335026__1.335026	556259__I0PYM3__BSGG_5385
ERR1913168.335150__1.335150	338188__C9L067__ERS852397_00004
ERR1913168.335160__1.335160	1897011__A0A1Q6RIQ9__BHW41_00470
ERR1913168.335315__1.335315	649756__L1Q8U4__ERS852571_01677
ERR1913168.335613__1.335613	39485__A0A174ZLN0__EUBELI_00120
ERR1913168.335858__1.335858	1262986__D9Y8J4__BN492_00022
ERR1913168.336106__1.336106	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913168.336179__1.336179	1628085__A0A3E2XUX9__C7386_10290
ERR1913168.336214__1.336214	552398__F4XCR9__HMPREF0866_01636
ERR1913168.336305__1.336305	821__A0A0P0M2J4__DXD46_10295
ERR1913168.336291__1.336291	821__E5UY21__C800_02204
ERR1913168.336523__1.336523	301301__A0A395VAR4__yieL
ERR1913168.336537__1.336537	671266__GCA_004801615.1_00232
ERR1913168.336596__1.336596	239935__A0A2N8IRL2__CXU06_01170
ERR1913168.336672__1.336672	328814__GCA_004558275.1_00033
ERR1913168.336814__1.336814	40519__U2MCQ8__RUMCAL_00556
ERR1913168.337144__1.337144	165179__D1PGU8__PREVCOP_06463
ERR1913168.337202__1.337202	165179__R6C330__DXC61_04975
ERR1913168.337231__1.337231	820__A0A374Q854__HMPREF1073_03281
ERR1913168.337234__1.337234	292800__A0A174XBF3__ERS852504_03492
ERR1913168.337250__1.337250	165179__R6XLJ7__CFT61_06250
ERR1913168.337339__1.337339	29361__B6FLM7__CLONEX_01049
ERR1913168.337462__1.337462	821__I9R3W6__DXC16_12455
ERR1913168.337467__1.337467	820__A0A3E4G826__C801_01612
ERR1913168.337611__1.337611	562__P46855__PU39_09885
ERR1913168.337687__1.337687	1150298__A0A174SLE6__mlc_1
ERR1913168.337841__1.337841	28052__R7NBT0__mltF
ERR1913168.337924__1.337924	2292352__A0A374UKZ5__DXC23_11285
ERR1913168.337965__1.337965	291645__I8WZT8__HMPREF1068_04327
ERR1913168.337974__1.337974	1160721__W0U5X6__RBI_I01796
ERR1913168.338090__1.338090	39492__D4JWT3__ERS852540_00301
ERR1913168.338095__1.338095	106588__A6NUL8__BACCAP_01900
ERR1913168.338141__1.338141	821__A6L0C7__ERS852556_03520
ERR1913168.338211__1.338211	28117__B0MWP2__ALIPUT_01468
ERR1913168.338654__1.338654	28118__F9Z7M5__B5F99_15930
ERR1913168.338835__1.338835	329854__R5M2X4__DXD57_07795
ERR1913168.339490__1.339490	165179__D1PGU8__PREVCOP_06463
ERR1913168.339617__1.339617	214856__A0A174A257__ERS852447_01007
ERR1913168.339745__1.339745	39492__D4MIX3__ERS852540_01230
ERR1913168.340050__1.340050	371601__F7LA63__HMPREF1074_04288
ERR1913168.340179__1.340179	2137880__A0A316NJ34__DBY21_09630
ERR1913168.340557__1.340557	821__I9R3W6__DXC16_12455
ERR1913168.340577__1.340577	28116__A0A1Y4Q112__evgS_13
ERR1913168.340589__1.340589	821__A0A0P0L8F8__ERS852509_03705
ERR1913168.340592__1.340592	239935__A0A2N8IEP3__CXT84_03735
ERR1913168.340593__1.340593	329854__R5MA67__DXD27_19320
ERR1913168.340780__1.340780	853__A0A2A7B9I6__DW855_13690
ERR1913168.341066__1.341066	1262988__R7N521__BN816_01886
ERR1913168.341031__1.341031	1262824__R6RN55__BN719_00811
ERR1913168.341148__1.341148	33038__A0A396G851__tig
ERR1913168.341459__1.341459	821__A6L0C7__ERS852556_03520
ERR1913168.341761__1.341761	40519__U2MCQ8__RUMCAL_00556
ERR1913168.341936__1.341936	39485__A0A174ZNW9__luxQ_1
ERR1913168.342044__1.342044	820__A7V470__HMPREF1072_02076
ERR1913168.342150__1.342150	821__A0A173XDD3__DXB82_17180
ERR1913168.342312__1.342312	39496__A5Z5I2__EUBVEN_00963
ERR1913168.342358__1.342358	301301__A0A174G0R7__RHOM_09270
ERR1913168.342361__1.342361	165179__A0A3E5A554__DXB80_13805
ERR1913168.342512__1.342512	33038__A0A396G387__HMPREF1201_01180
ERR1913168.342520__1.342520	820__A0A3E4PYB0__yejM
ERR1913168.342618__1.342618	10678__GeneID:2777434
ERR1913168.342732__1.342732	501571__R8VRY3__B5F15_01505
ERR1913168.342864__1.342864	28052__A0A174KUL2__phoR_1
ERR1913168.342990__1.342990	1897011__A0A1Q6RDY7__BHW41_05255
ERR1913168.343336__1.343336	301301__A0A395V6H4__ydfH_3
ERR1913168.343410__1.343410	1262921__R5M3E4__BN473_00712
ERR1913168.343476__1.343476	33038__A0A2N5NPD5__CCY17_06280
ERR1913168.343524__1.343524	28052__R7NDB6__ERS852499_00304
ERR1913168.343651__1.343651	562__P69229__G746_02312
ERR1913168.343959__1.343959	28117__B0MTW8__ALIPUT_00502
ERR1913168.343993__1.343993	360807__A0A174F8N1__ERS852444_00648
ERR1913168.344517__1.344517	28052__A0A174JFU5__yhbU_1
ERR1913168.344584__1.344584	239935__A0A3F3K985__CXT98_05805
ERR1913168.344700__1.344700	39485__C4Z0B2__EUBELI_01024
ERR1913168.344837__1.344837	33038__A0A2N5PAB2__CDL21_14440
ERR1913168.344928__1.344928	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913168.344970__1.344970	28052__R7NDG4__ERS852499_01797
ERR1913168.344986__1.344986	817__F7LJ34__M100_4716
ERR1913168.345207__1.345207	39485__A0A174YMM2__ERS852490_01019
ERR1913168.345307__1.345307	39491__A0A396FVC0__ERE_15900
ERR1913168.345367__1.345367	2292352__A0A374UNU9__DXC23_01235
ERR1913168.345393__1.345393	33038__A0A2N5NNJ7__CDL26_12635
ERR1913168.345399__1.345399	28052__A0A174KNE1__ptsI_2
ERR1913168.345413__1.345413	2292352__A0A374UNQ1__DXC23_00970
ERR1913168.345532__1.345532	360807__A0A0M6WW58__ERS852444_03162
ERR1913168.345563__1.345563	39492__D4JUS6__accD5
ERR1913168.345789__1.345789	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913168.345883__1.345883	823__A0A078TE44__DD466_14830
ERR1913168.345956__1.345956	28116__A0A1Y4Q112__evgS_13
ERR1913168.346008__1.346008	1407493__GeneID:17503248
ERR1913168.346345__1.346345	853__A0A174UDE9__C4N25_12775
ERR1913168.346358__1.346358	28052__R7NCP0__ERS852451_00670
ERR1913168.346363__1.346363	239935__A0A2N8IU45__DEF40_02365
ERR1913168.346637__1.346637	33038__A0A2N5Q375__RUMGNA_00645
ERR1913168.347127__1.347127	821__A0A0P0L952__M097_4235
ERR1913168.347253__1.347253	301301__A0A173Z4D5__RHOM_00975
ERR1913168.347417__1.347417	626932__G5H705__HMPREF9450_00848
ERR1913168.347464__1.347464	329854__A0A3E4IJ77__DXD57_12945
ERR1913168.347515__1.347515	329854__B3CDQ4__BACINT_02322
ERR1913168.347749__1.347749	1965604__A0A1Y4EQL9__B5F54_10505
ERR1913168.347957__1.347957	165179__A0A3E5EA43__DXC61_07775
ERR1913168.348271__1.348271	564886__GeneID:6973115
ERR1913168.348330__1.348330	821__E5UY21__C800_02204
ERR1913168.348660__1.348660	39485__C4Z058__ERS852492_00130
ERR1913168.348683__1.348683	39492__D4JQP0__ypeB
ERR1913168.348982__1.348982	357276__A0A076ISJ4__B5F95_19420
ERR1913168.349096__1.349096	28052__R7NB47__msbA_2
ERR1913168.349262__1.349262	322505__yddM_1
ERR1913168.349368__1.349368	261299__R5X5K0__CLOBAR_00905
ERR1913168.349562__1.349562	1297617__A0A0S2W1V2__IB211_00824
ERR1913168.349665__1.349665	33038__A0A2N5NTT9__ERS852409_01418
ERR1913168.349804__1.349804	33039__A0A174XW11__RTO_07780
ERR1913168.350241__1.350241	1262911__R6GN99__BN557_01784
ERR1913168.350247__1.350247	821__A0A174WBC9__ERS852556_03145
ERR1913168.350926__1.350926	1150298__A0A174DU21__toxA_3
ERR1913168.351188__1.351188	301301__A0A395V9A0__RHOM_08800
ERR1913168.351322__1.351322	239935__A0A139TPD4__CXT86_06450
ERR1913168.351351__1.351351	2173__A5ULD0__BK798_05990
ERR1913168.351592__1.351592	301301__G2T152__RHOM_05005
ERR1913168.351755__1.351755	418240__C6JFI7__ERS852523_01130
ERR1913168.351870__1.351870	28116__A0A1G6G9R4__CUY_0131
ERR1913168.352024__1.352024	239935__A0A2N8I375__menA
ERR1913168.352145__1.352145	28117__B0N007__BHV66_10275
ERR1913168.352421__1.352421	1897011__A0A1Q6RGB6__BHW41_02790
ERR1913168.352455__1.352455	821__A0A396F598__CUU_3259
ERR1913168.352458__1.352458	357276__B6VXX7__HMPREF1063_02683
ERR1913168.352524__1.352524	33038__A7AZH0__HMPREF1201_02167
ERR1913168.352960__1.352960	357276__B6W1J2__BACDOR_03380
ERR1913168.353123__1.353123	214856__A0A174ZED5__ERS852559_00591
ERR1913168.353269__1.353269	28052__A0A174P635__ERS852499_02418
ERR1913168.353325__1.353325	357276__B6VYT9__HMPREF1063_05030
ERR1913168.353470__1.353470	360807__C0FNM3__ERS852392_00919
ERR1913168.353524__1.353524	40519__U2MCQ8__RUMCAL_00556
ERR1913168.353671__1.353671	39485__C4Z0K2__ERS852490_00991
ERR1913168.353852__1.353852	39485__A0A174Z551__glnL
ERR1913168.354103__1.354103	387090__S0FDJ4__BACCOPRO_03775
ERR1913168.354226__1.354226	31971__R7G9V0__EUBDOL_02283
ERR1913168.354380__1.354380	246787__A0A3D6AWJ7__AA416_00506
ERR1913168.354455__1.354455	821__A0A395UNT8__DXD64_15275
ERR1913168.355059__1.355059	360807__A0A0M6WLX3__RIL183_21751
ERR1913168.355214__1.355214	821__A0A173XDD3__DXB82_17180
ERR1913168.355225__1.355225	106588__A6NUL8__BACCAP_01900
ERR1913168.355316__1.355316	2292352__A0A374UL49__DXC23_11310
ERR1913168.355822__1.355822	1150298__R7JT16__ERS852498_00500
ERR1913168.355903__1.355903	357276__A0A076ITU4__EL88_22160
ERR1913168.355937__1.355937	28052__A0A174I4I1__ERS852499_00646
ERR1913168.356044__1.356044	821__A0A0P0L8F8__ERS852509_03705
ERR1913168.356055__1.356055	33038__F7JV68__C5Y99_05575
ERR1913168.356107__1.356107	487174__K0WUM9__HMPREF9448_02608
ERR1913168.356362__1.356362	1160721__W0U5Q5__RBI_I01425
ERR1913168.356446__1.356446	820__A0A174F696__macB_13
ERR1913168.356502__1.356502	39485__C4Z028__ERS852492_00100
ERR1913168.356640__1.356640	1262743__R5C054__BN727_01980
ERR1913168.356894__1.356894	501571__R8VUE1__HMPREF1526_02116
ERR1913168.356975__1.356975	33038__F7JT04__CDL21_01120
ERR1913168.357333__1.357333	328814__GCA_004558275.1_00007
ERR1913168.357425__1.357425	239935__B2UQB8__CXT86_01740
ERR1913168.357737__1.357737	1965555__A0A1Y4S377__B5E77_13980
ERR1913168.357929__1.357929	33038__A0A2N5P1G8__lyc
ERR1913168.358409__1.358409	820__A0A3E4WA06__ERS852554_03404
ERR1913168.358666__1.358666	649756__A0A173RNX6__ERS852475_00267
ERR1913168.358781__1.358781	328814__GCA_004558275.1_00056
ERR1913168.358960__1.358960	487174__K0XL35__DDY40_11955
ERR1913168.359071__1.359071	292800__A0A174M480__ADH75_04280
ERR1913168.359103__1.359103	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.359154__1.359154	28117__B0MYP3__BHV66_04995
ERR1913168.359169__1.359169	33038__F7JT04__CDL21_01120
ERR1913168.359265__1.359265	487174__K0WWY0__DIT83_10195
ERR1913168.359655__1.359655	28052__R7NHJ5__ERS852499_01501
ERR1913168.360508__1.360508	214856__A0A174FY07__ERS852447_02457
ERR1913168.360635__1.360635	2108523__A0A2P2F3W3__LAWASA_692
ERR1913168.360767__1.360767	328814__GCA_004558275.1_01822
ERR1913168.360900__1.360900	821__E5UY21__C800_02204
ERR1913168.361151__1.361151	33038__A0A3E4K4Y5__CDL20_06020
ERR1913168.361120__1.361120	214856__I3YMC8__ERS852447_02666
ERR1913168.361123__1.361123	821__A6L0C7__ERS852556_03520
ERR1913168.361307__1.361307	33038__A0A2N5NXH5__CDL27_14300
ERR1913168.361839__1.361839	360807__A0A173YJ94__ERS852444_03492
ERR1913168.362361__1.362361	106588__A6NUL8__BACCAP_01900
ERR1913168.362392__1.362392	33039__A0A173VTT4__frdB_1
ERR1913168.362560__1.362560	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913168.362692__1.362692	564886__GeneID:6973115
ERR1913168.363117__1.363117	28118__F9ZCB1__Odosp_1317
ERR1913168.363528__1.363528	1547__H1AK39__DW242_06805
ERR1913168.363634__1.363634	1160721__W0U5X6__RBI_I01796
ERR1913168.363672__1.363672	821__I9R3W6__DXC16_12455
ERR1913168.363729__1.363729	1262911__R6GUQ4__BN557_01581
ERR1913168.364013__1.364013	165179__A0A229I7F5__DXB80_02650
ERR1913168.364024__1.364024	649756__B0NYW1__DCR88_01045
ERR1913168.364168__1.364168	216816__A0A374SVM3__BLSL_0492
ERR1913168.364281__1.364281	33038__A7AYC4__CDL21_13075
ERR1913168.364361__1.364361	165179__D1PCL6__DXB80_13435
ERR1913168.364562__1.364562	2173__A0A1D2WW40__BK798_07930
ERR1913168.364730__1.364730	33038__F7JV68__C5Y99_05575
ERR1913168.365027__1.365027	33038__F7JTF2__CDL22_02335
ERR1913168.365158__1.365158	360807__A0A0M6X0N3__ROSEINA2194_03482
ERR1913168.365260__1.365260	1160721__W0U979__BHW50_09935
ERR1913168.365509__1.365509	487174__K0WV96__HMPREF9448_01901
ERR1913168.365521__1.365521	214856__A0A173ZZ16__umuC_2
ERR1913168.365650__1.365650	33038__A0A2N5PIX3__CDL26_14635
ERR1913168.365626__1.365626	1235835__R9LCU2__C814_02677
ERR1913168.365715__1.365715	39488__C0EUW7__ERS852578_01381
ERR1913168.366400__1.366400	487174__K0X4Y9__DDY40_09115
ERR1913168.366483__1.366483	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913168.366542__1.366542	239935__A0A139TPU7__CXT91_06575
ERR1913168.366673__1.366673	292800__A0A174B4M5__ERS852544_02169
ERR1913168.366801__1.366801	292800__H1CMV7__B5F52_10350
ERR1913168.366910__1.366910	29361__B6FKH5__CLONEX_00621
ERR1913168.366963__1.366963	487174__K0WX70__DDY40_01710
