ERR1913166.89__1.89	1262743__R5C7C5__BN727_00596
ERR1913166.174676__1.174676	1262882__R5MLT4__BN519_01496
ERR1913166.174733__1.174733	820__A0A3E4FZM1__adaA_2
ERR1913166.174746__1.174746	820__A0A3E4QZJ7__C801_01798
ERR1913166.174772__1.174772	820__A0A374Q854__HMPREF1073_03281
ERR1913166.174911__1.174911	1262882__R5N4P6__BN519_01346
ERR1913166.175005__1.175005	28117__B0MYW7__ALIPUT_02336
ERR1913166.175060__1.175060	820__A7V470__HMPREF1072_02076
ERR1913166.175100__1.175100	487174__K0XRP0__DDY40_09260
ERR1913166.175152__1.175152	820__A0A174TRB5__DXD40_11305
ERR1913166.175156__1.175156	820__A0A3E4PYB0__yejM
ERR1913166.175270__1.175270	820__A0A174QLF0__SAMN05444418_109151
ERR1913166.175248__1.175248	820__A0A174Q0F0__DXB48_08080
ERR1913166.175338__1.175338	1262882__R5MXS6__BN519_00286
ERR1913166.175426__1.175426	239935__A0A2N8ILG3__CXT93_10135
ERR1913166.175652__1.175652	239935__R7DVW2__CXU02_03915
ERR1913166.175879__1.175879	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913166.176050__1.176050	39491__D4JMW8__ERS852497_01971
ERR1913166.176308__1.176308	301301__A0A173YZL6__RHOM_00815
ERR1913166.176360__1.176360	28117__B0MYI9__BHV66_05415
ERR1913166.176525__1.176525	820__A0A174CG08__DXB62_13215
ERR1913166.176558__1.176558	823__A0A355XLS2__ERS852380_02644
ERR1913166.176645__1.176645	1203556__S3ABK0__HMPREF1478_00331
ERR1913166.176673__1.176673	820__A0A374QGD2__ERS852421_02382
ERR1913166.176674__1.176674	1262882__R5MH82__BN519_00752
ERR1913166.176803__1.176803	410072__A0A174AMX4__dacB_1
ERR1913166.177069__1.177069	820__A0A139KA34__B5G17_05520
ERR1913166.177224__1.177224	1262882__R5MM25__BN519_00600
ERR1913166.177265__1.177265	1297617__A0A0S2W1T2__IB211_00913
ERR1913166.177282__1.177282	1160721__W0U4N8__RBI_I00805
ERR1913166.177348__1.177348	290053__E6SSI8__Bache_0130
ERR1913166.177411__1.177411	820__A0A173YYG4__evgS_3
ERR1913166.177415__1.177415	39491__A0A395ZG74__licR
ERR1913166.177443__1.177443	357276__A0A076IS26__EL88_15950
ERR1913166.177489__1.177489	674529__A0A174PUY5__SAMN05444400_103201
ERR1913166.177538__1.177538	820__A0A174A6K0__M093_0079
ERR1913166.177677__1.177677	820__A7UYX8__DXD40_11635
ERR1913166.177817__1.177817	1262882__R5MF51__BN519_00287
ERR1913166.177946__1.177946	823__E1YV41__BDI_1376
ERR1913166.177992__1.177992	1262882__R5MYI1__BN519_00416
ERR1913166.178070__1.178070	823__A0A073I748__M096_3057
ERR1913166.178103__1.178103	454155__F3QX32__HMPREF9442_02766
ERR1913166.178209__1.178209	820__A0A396EWL3__ERS417307_03868
ERR1913166.178276__1.178276	28111__E5WYP5__BACEGG_00185
ERR1913166.178346__1.178346	47678__R5USS6__C5Z00_03300
ERR1913166.178399__1.178399	1262924__R7HMZ4__BN585_01629
ERR1913166.178448__1.178448	1262882__R5MZZ3__BN519_00482
ERR1913166.178569__1.178569	823__A0A173VS36__M091_4727
ERR1913166.178588__1.178588	1535__A7VUN3__CLOLEP_02280
ERR1913166.178591__1.178591	544645__A0A3E4TGA9__DXC42_03670
ERR1913166.178646__1.178646	823__A0A395YZ10__NCTC11152_02955
ERR1913166.178844__1.178844	820__R9I3N4__M093_0061
ERR1913166.178941__1.178941	39492__D4JWG3__EUBSIR_00308
ERR1913166.178961__1.178961	487174__K0X429__HMPREF9448_00932
ERR1913166.178987__1.178987	820__A0A174TRB5__DXD40_11305
ERR1913166.178989__1.178989	1297617__A0A0S2W5K9__BIV19_04205
ERR1913166.179033__1.179033	454154__G5SPP3__HMPREF9441_01326
ERR1913166.179265__1.179265	1681__E4V7T9__BJL93_02365
ERR1913166.179341__1.179341	46503__R6X6Y1__DCY29_15600
ERR1913166.179372__1.179372	1796613__A0A1V0QDA8__A4V03_02465
ERR1913166.179500__1.179500	820__A7VAR9__ERS852421_00197
ERR1913166.179613__1.179613	239935__A0A2N8IRH4__CXT92_05605
ERR1913166.179702__1.179702	820__A0A396EUU8__luxQ_3
ERR1913166.179865__1.179865	820__A0A174F696__macB_13
ERR1913166.179947__1.179947	204516__U6R8I1__HMPREF1534_03341
ERR1913166.180039__1.180039	823__D7IV95__DXC05_09565
ERR1913166.180146__1.180146	1596__A0A087QC75__HMPREF5175_00067
ERR1913166.180162__1.180162	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913166.180234__1.180234	39492__D4JTG7__EUBSIR_00572
ERR1913166.180389__1.180389	214856__A0A175A1E6__ERS852447_01907
ERR1913166.180531__1.180531	820__A0A139JRS5__HMPREF1073_04025
ERR1913166.180483__1.180483	1150298__R7JRC8__ERS852535_02456
ERR1913166.180788__1.180788	28117__B0MYW7__ALIPUT_02336
ERR1913166.180798__1.180798	47678__R5U9Z0__HMPREF1061_03210
ERR1913166.181144__1.181144	820__A0A396EUU8__luxQ_3
ERR1913166.181159__1.181159	1262980__R5C0H7__BN814_00054
ERR1913166.181180__1.181180	1262980__R5BMR8__BN814_00052
ERR1913166.181210__1.181210	821__I9R3W6__DXC16_12455
ERR1913166.181440__1.181440	28118__R6F2P9__B5F99_13925
ERR1913166.181387__1.181387	1262882__R5N5S3__BN519_00085
ERR1913166.181567__1.181567	47678__A5ZEA3__ERS852558_00257
ERR1913166.181613__1.181613	820__A0A374Q854__HMPREF1073_03281
ERR1913166.181721__1.181721	820__A0A174QLF0__SAMN05444418_109151
ERR1913166.181679__1.181679	820__A0A139JV05__B5G17_18125
ERR1913166.181969__1.181969	820__A7V859__ERS852462_00341
ERR1913166.182016__1.182016	487173__H1D1P5__HMPREF9453_01533
ERR1913166.182036__1.182036	328814__GCA_004558275.1_00076
ERR1913166.182099__1.182099	1965604__A0A1Y4EJN3__B5F54_16620
ERR1913166.182077__1.182077	239935__A0A139TT05__CXU09_03335
ERR1913166.182089__1.182089	820__A7V780__adaA_3
ERR1913166.182327__1.182327	39491__A0A0M6WPN4__DXB69_06325
ERR1913166.182537__1.182537	820__A0A1T4IY71__HMPREF2141_02402
ERR1913166.182617__1.182617	1263107__GCA_000436995.1_00223
ERR1913166.182922__1.182922	204516__U6R8I1__HMPREF1534_03341
ERR1913166.182897__1.182897	820__A0A139K4T0__ERS852510_03146
ERR1913166.182914__1.182914	1160721__R6TIT8__BHW50_03275
ERR1913166.183035__1.183035	820__A0A1Q6IDS8__chtA
ERR1913166.183126__1.183126	39492__R6SPM9__pheT
ERR1913166.183426__1.183426	1262882__R5MM69__BN519_00075
ERR1913166.183463__1.183463	820__A7V470__HMPREF1072_02076
ERR1913166.183494__1.183494	1262924__R7HP98__BN585_02065
ERR1913166.183695__1.183695	46506__R5K3I5__BACSTE_02520
ERR1913166.183811__1.183811	820__A0A174VD39__DXD90_12235
ERR1913166.183946__1.183946	820__A0A3E4W980__M093_3873
ERR1913166.183918__1.183918	820__A0A3E4VZY4__ERS852554_01211
ERR1913166.183965__1.183965	371601__C3QEU5__ERS852396_01058
ERR1913166.184044__1.184044	239935__A0A2N8IV82__CXT99_06735
ERR1913166.184047__1.184047	820__A7VAS1__HMPREF2141_03259
ERR1913166.184085__1.184085	487173__H1D1P5__HMPREF9453_01533
ERR1913166.184318__1.184318	28111__E5WUH3__BACEGG_02112
ERR1913166.184383__1.184383	820__A0A374QGD2__ERS852421_02382
ERR1913166.184395__1.184395	39492__D4JQM9__EUBSIR_00669
ERR1913166.184481__1.184481	28111__E5WWI4__HMPREF1016_01032
ERR1913166.184595__1.184595	239935__A0A2N8HHB6__B5G29_11500
ERR1913166.184786__1.184786	820__A7VAR9__ERS852421_00197
ERR1913166.184836__1.184836	820__A0A173W419__DXC68_17760
ERR1913166.185044__1.185044	820__A0A174QLF0__SAMN05444418_109151
ERR1913166.185171__1.185171	39491__A0A395UVM9__DXB76_04540
ERR1913166.185238__1.185238	820__A7V8C2__ERS852554_01338
ERR1913166.185264__1.185264	47678__A0A174VGP6__HMPREF1061_01625
ERR1913166.185309__1.185309	39491__A0A395V0H3__ERS852417_01192
ERR1913166.185375__1.185375	1262882__R5MT08__BN519_01706
ERR1913166.185583__1.185583	820__A0A3E4G3J9__ERS852459_02265
ERR1913166.185590__1.185590	820__A7V9F9__B5G17_14640
ERR1913166.185758__1.185758	820__A0A173YYG4__evgS_3
ERR1913166.185808__1.185808	39492__D4JTF2__mutS2
ERR1913166.185947__1.185947	1262882__A0A356PSJ4__BN519_01180
ERR1913166.185959__1.185959	820__A0A139KHX1__HMPREF2141_00289
ERR1913166.186042__1.186042	820__A0A3E4W4Y7__B5G17_02055
ERR1913166.185979__1.185979	820__A0A139KH21__DXC80_01780
ERR1913166.185992__1.185992	820__A0A374QGD2__ERS852421_02382
ERR1913166.186099__1.186099	1262882__R5MJM8__BN519_01064
ERR1913166.186118__1.186118	487173__H1CYJ4__HMPREF9453_00432
ERR1913166.186153__1.186153	1262882__R5N4F5__BN519_01266
ERR1913166.186268__1.186268	820__A0A3E4W4Y7__B5G17_02055
ERR1913166.186228__1.186228	820__A0A3E4PYB0__yejM
ERR1913166.186279__1.186279	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913166.186601__1.186601	28111__R5K222__bglX_7
ERR1913166.186628__1.186628	487174__K0WX10__DIT83_10030
ERR1913166.186666__1.186666	823__A0A173VPM3__DHW69_17170
ERR1913166.186729__1.186729	1160721__W0U8M9__RBI_II00386
ERR1913166.186751__1.186751	1262882__R5N708__BN519_00095
ERR1913166.186935__1.186935	820__A7UYX8__DXD40_11635
ERR1913166.187005__1.187005	820__A0A3E4GA19__SAMN05444418_10562
ERR1913166.187024__1.187024	1262882__R5MEK3__BN519_00296
ERR1913166.187117__1.187117	820__A0A139K024__B5G17_02060
ERR1913166.187246__1.187246	820__A0A3E4VZT7__DXB48_16145
ERR1913166.187227__1.187227	28111__E5WXQ8__NCTC11155_03183
ERR1913166.187314__1.187314	1262882__R5MM69__BN519_00075
ERR1913166.187332__1.187332	823__A0A3E4PAQ2__DDY96_18275
ERR1913166.187519__1.187519	214856__R6YD52__ERS852447_02171
ERR1913166.187529__1.187529	820__A0A374MMF0__HMPREF1073_03811
ERR1913166.187467__1.187467	818__D7IK38__ERS852430_03017
ERR1913166.187681__1.187681	1262882__R5MY46__BN519_00355
ERR1913166.187722__1.187722	820__A0A396CMY7__HMPREF1072_03009
ERR1913166.188091__1.188091	301302__A0A173T3P5__ERS852420_01836
ERR1913166.188219__1.188219	820__A7VAR9__ERS852421_00197
ERR1913166.188287__1.188287	39492__D4JUN0__EUBSIR_02705
ERR1913166.188338__1.188338	1262882__R5MQ68__BN519_01178
ERR1913166.188536__1.188536	1550024__G9RVD5__ASJ35_04350
ERR1913166.188626__1.188626	39492__D4JT87__clpC
ERR1913166.188829__1.188829	28117__B0MYM2__BHV66_04910
ERR1913166.188938__1.188938	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913166.188903__1.188903	1262882__A0A356PSJ4__BN519_01180
ERR1913166.188971__1.188971	820__A7V470__HMPREF1072_02076
ERR1913166.189032__1.189032	47678__R5UD76__BACCAC_01373
ERR1913166.188991__1.188991	820__A0A139K426__B5G17_09115
ERR1913166.189126__1.189126	1262882__R5MMP8__BN519_01654
ERR1913166.189098__1.189098	329854__R5M2W2__DXD57_07845
ERR1913166.189101__1.189101	820__A0A173W419__DXC68_17760
ERR1913166.189146__1.189146	39492__D4JT68__spoIIIE
ERR1913166.189201__1.189201	820__A7VAR9__ERS852421_00197
ERR1913166.189313__1.189313	820__A0A3E4W9W8__C801_01069
ERR1913166.189371__1.189371	1262882__R5MYX5__BN519_00333
ERR1913166.189420__1.189420	1550024__A0A0W7TR84__TQ39_05305
ERR1913166.189740__1.189740	821__A0A0P0M6M0__M097_4734
ERR1913166.189788__1.189788	301302__R5VBF4__ERS852420_01650
ERR1913166.189805__1.189805	204516__U6RDD8__HMPREF1534_02559
ERR1913166.189887__1.189887	820__A0A173W419__DXC68_17760
ERR1913166.189935__1.189935	214856__R6XKT4__ERS852559_01719
ERR1913166.190006__1.190006	1262882__R5MDR8__BN519_00124
ERR1913166.190109__1.190109	1262743__R5C3P9__BN727_00587
ERR1913166.190240__1.190240	820__A0A139JV05__B5G17_18125
ERR1913166.190281__1.190281	47678__R5U6J0__ERS852558_00310
ERR1913166.190320__1.190320	820__A0A396EUU8__luxQ_3
ERR1913166.190332__1.190332	1262882__R5N4P6__BN519_01346
ERR1913166.190375__1.190375	820__I9TWZ7__DXC80_10550
ERR1913166.190416__1.190416	820__A0A139KEW8__DXB64_06405
ERR1913166.190644__1.190644	820__A0A174FUG6__DXC91_11265
ERR1913166.190691__1.190691	40518__R5DTJ1__DXD86_03635
ERR1913166.190785__1.190785	239935__A0A2N8IU45__DEF40_02365
ERR1913166.190849__1.190849	1262882__R5N3T7__BN519_01188
ERR1913166.190816__1.190816	39492__D4JTW7__EUBSIR_00859
ERR1913166.190799__1.190799	818__A0A174VDI6__BSIG_1023
ERR1913166.190964__1.190964	820__A0A174LJB2__HMPREF1072_04112
ERR1913166.191027__1.191027	820__A0A3E4G3J9__ERS852459_02265
ERR1913166.191180__1.191180	820__A7V8C2__ERS852554_01338
ERR1913166.191205__1.191205	820__A0A374Q854__HMPREF1073_03281
ERR1913166.191415__1.191415	1262882__R5MND9__BN519_00831
ERR1913166.191428__1.191428	820__A0A139KH21__DXC80_01780
ERR1913166.191796__1.191796	338188__R6S0J1__BACFIN_08786
ERR1913166.191861__1.191861	410072__A0A173SR68__ERS852525_01153
ERR1913166.191917__1.191917	1262882__R5MYI1__BN519_00416
ERR1913166.191929__1.191929	239935__A0A2N8HHB6__B5G29_11500
ERR1913166.192144__1.192144	823__A0A355XIK0__CEQ22_011965
ERR1913166.192267__1.192267	853__A0A2A7B1Y7__C7K05_11930
ERR1913166.192401__1.192401	820__A0A3E4VXP2__yesR
ERR1913166.192411__1.192411	1262882__R5MRS7__BN519_01490
ERR1913166.192385__1.192385	1550024__A0A3B9WH35__TQ39_04960
ERR1913166.192785__1.192785	1262882__R5N2A9__BN519_00921
ERR1913166.192894__1.192894	820__A0A078S4C2__ERS417307_00828
ERR1913166.193019__1.193019	39485__A0A174ZKZ4__spoIIQ_1
ERR1913166.193023__1.193023	1262882__R5MRS7__BN519_01490
ERR1913166.193075__1.193075	487174__K0WUM9__HMPREF9448_02608
ERR1913166.193138__1.193138	556259__E5C690__BSGG_1431
ERR1913166.193250__1.193250	1262882__R5N3H1__BN519_01121
ERR1913166.193308__1.193308	487174__K0XLC3__HMPREF9448_01065
ERR1913166.193510__1.193510	39492__D4JSU6__dacB_3
ERR1913166.193594__1.193594	28117__B0MWX3__BHV66_03010
ERR1913166.193677__1.193677	820__A7V092__hldE
ERR1913166.193723__1.193723	820__A0A139KHX1__HMPREF2141_00289
ERR1913166.193882__1.193882	47678__A5ZL09__BACCAC_03608
ERR1913166.193878__1.193878	820__A0A3E4GA19__SAMN05444418_10562
ERR1913166.194047__1.194047	820__A0A139KA34__B5G17_05520
ERR1913166.194010__1.194010	328814__GCA_004558275.1_00391
ERR1913166.194072__1.194072	544645__A0A3E4T9T0__DXC42_08535
ERR1913166.194075__1.194075	39492__D4JU36__cobC_1
ERR1913166.194209__1.194209	823__A0A355XLS2__ERS852380_02644
ERR1913166.194240__1.194240	28117__B0N007__BHV66_10275
ERR1913166.194256__1.194256	39491__A0A395V1Y4__DXB99_08035
ERR1913166.194277__1.194277	820__A0A173W419__DXC68_17760
ERR1913166.194446__1.194446	39492__B0MNL5__phoR_1
ERR1913166.194508__1.194508	338188__A0A173XBX1__BACFIN_07139
ERR1913166.194567__1.194567	1628085__A0A2U1BGN2__C7386_10147
ERR1913166.194579__1.194579	818__A0A3E5HGB5__ERS852511_02145
ERR1913166.194641__1.194641	1262882__R5MIC9__BN519_00834
ERR1913166.194762__1.194762	1262882__R5MND9__BN519_00831
ERR1913166.194924__1.194924	1262924__R7HNF7__BN585_01769
ERR1913166.195020__1.195020	1262882__R5MIY9__BN519_01097
ERR1913166.195036__1.195036	1262882__R5MHQ8__BN519_00707
ERR1913166.195196__1.195196	823__A0A355XFH7__ERS852513_00769
ERR1913166.195338__1.195338	820__A0A3E4W4Y7__B5G17_02055
ERR1913166.195389__1.195389	820__R9HP61__DXC91_01090
ERR1913166.195363__1.195363	820__R9HVB9__DXC68_17285
ERR1913166.195419__1.195419	487173__H1D371__HMPREF9453_02059
ERR1913166.195463__1.195463	820__A0A173YYG4__evgS_3
ERR1913166.195529__1.195529	820__A0A139K5A6__DXB48_12175
ERR1913166.195728__1.195728	1262882__R5N2A9__BN519_00921
ERR1913166.195941__1.195941	1262992__R5D8P4__BN795_00650
ERR1913166.195957__1.195957	28117__R7JR95__ALIPUT_01367
ERR1913166.195968__1.195968	820__A7VAS1__HMPREF2141_03259
ERR1913166.196037__1.196037	820__A0A173XIP7__B5G17_16050
ERR1913166.196083__1.196083	1262882__R5MGX3__BN519_00046
ERR1913166.196173__1.196173	1381__group_451
ERR1913166.196197__1.196197	1262882__R5N3H1__BN519_01121
ERR1913166.196303__1.196303	1262882__R5MPY4__BN519_01128
ERR1913166.196383__1.196383	820__A7VAR9__ERS852421_00197
ERR1913166.196411__1.196411	1262882__R5MGS8__BN519_00565
ERR1913166.196438__1.196438	820__A0A174B4N2__M093_2531
ERR1913166.196500__1.196500	820__A0A139KIL9__DXC68_05945
ERR1913166.196705__1.196705	818__A0A0P0F7K1__ERS852461_02719
ERR1913166.196721__1.196721	820__A0A3E4WA06__ERS852554_03404
ERR1913166.196727__1.196727	1262882__R5N532__BN519_01420
ERR1913166.196782__1.196782	820__A0A139K8N1__ERS852554_00951
ERR1913166.197087__1.197087	1262882__R5MEN2__BN519_00200
ERR1913166.197593__1.197593	1262882__R5MRT2__BN519_01494
ERR1913166.197596__1.197596	47678__R5USR9__HMPREF1061_01404
ERR1913166.197641__1.197641	204516__U6REI9__HMPREF1534_02357
ERR1913166.197855__1.197855	301302__A0A173RZU9__M72_23561
ERR1913166.197899__1.197899	487173__H1D1P5__HMPREF9453_01533
ERR1913166.198042__1.198042	823__A0A395YVY3__ERS852513_03204
ERR1913166.198155__1.198155	820__I9TWZ7__DXC80_10550
ERR1913166.198213__1.198213	820__A0A3E4W4Y7__B5G17_02055
ERR1913166.198426__1.198426	487174__K0X5B1__DDY40_01695
ERR1913166.198438__1.198438	1262882__R5MH82__BN519_00752
ERR1913166.198550__1.198550	1262882__R5N0M6__BN519_00794
ERR1913166.198592__1.198592	820__A0A139KH21__DXC80_01780
ERR1913166.198649__1.198649	487174__K0XRL3__HMPREF9448_00669
ERR1913166.198765__1.198765	39492__D4JUL4__ERS852540_01381
ERR1913166.198835__1.198835	820__A0A3E4VZT7__DXB48_16145
ERR1913166.198882__1.198882	46228__V8C9Q0__srtB
ERR1913166.198945__1.198945	820__A0A139KJR5__M093_4469
ERR1913166.198956__1.198956	823__A0A173W404__DHP27_04905
ERR1913166.199009__1.199009	1965629__A0A1Y4BSW1__B5F88_15410
ERR1913166.199082__1.199082	239935__A0A2N8I3G2__CXT89_00720
ERR1913166.199115__1.199115	820__A0A3E4GA19__SAMN05444418_10562
ERR1913166.199228__1.199228	1262882__R5MGK3__BN519_00655
ERR1913166.199250__1.199250	823__C7XBX3__HMPREF1059_03212
ERR1913166.199283__1.199283	487173__H1CYJ4__HMPREF9453_00432
ERR1913166.199333__1.199333	1262882__R5N1T9__BN519_00804
ERR1913166.199455__1.199455	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913166.199780__1.199780	371601__C3R084__DXD80_12980
ERR1913166.199925__1.199925	239935__A0A2N8HUU6__CXT90_06150
ERR1913166.199892__1.199892	820__R7E9Z4__DXC68_06065
ERR1913166.200210__1.200210	820__A0A1T4IYF4__mprA_1
ERR1913166.200297__1.200297	820__A7VAR9__ERS852421_00197
ERR1913166.200450__1.200450	820__A0A139KJ23__celCCA
ERR1913166.200575__1.200575	338188__A0A174AD17__BACFIN_08100
ERR1913166.200865__1.200865	820__A0A374Q854__HMPREF1073_03281
ERR1913166.200871__1.200871	1262882__R5MH81__BN519_00748
ERR1913166.200873__1.200873	1150298__A0A174J629__ERS852498_00833
ERR1913166.201054__1.201054	88431__A0A3D0EYE9__rafA
ERR1913166.201233__1.201233	1262882__R5MT42__BN519_01729
ERR1913166.201397__1.201397	35833__E5Y1Y6__HMPREF0179_00195
ERR1913166.201448__1.201448	1262882__R5MYX5__BN519_00333
ERR1913166.201464__1.201464	239935__A0A2N8I1R3__CXU05_06075
ERR1913166.201694__1.201694	1262882__R5N1T9__BN519_00804
ERR1913166.201787__1.201787	39491__A0A395ZE48__DXB76_02395
ERR1913166.201812__1.201812	216816__B3DP82__DVB78_09640
ERR1913166.201835__1.201835	371601__A0A1I4R345__BN891_16250
ERR1913166.201883__1.201883	1150298__A0A174MDL5__ERS852406_00648
ERR1913166.201900__1.201900	820__A0A174QLF0__SAMN05444418_109151
ERR1913166.201981__1.201981	820__A7V9F9__B5G17_14640
ERR1913166.202170__1.202170	47678__R5U6J0__ERS852558_00310
ERR1913166.202149__1.202149	1262743__R5C054__BN727_01980
ERR1913166.202372__1.202372	820__A0A139KJ23__celCCA
ERR1913166.202331__1.202331	39485__C4Z6V1__ERS852492_02640
ERR1913166.202335__1.202335	487174__K0XRP0__DDY40_09260
ERR1913166.202460__1.202460	820__A0A139KA34__B5G17_05520
ERR1913166.202591__1.202591	1262746__R5SS80__BN750_02125
ERR1913166.202691__1.202691	1628085__A0A3E2XTK8__C7386_10217
ERR1913166.202721__1.202721	674529__R6V7P0__SAMN05444400_102331
ERR1913166.202673__1.202673	820__A0A139K4W5__HMPREF2141_02394
ERR1913166.202742__1.202742	1262992__R5D3X7__BN795_00539
ERR1913166.202759__1.202759	28116__D7J6B1__B5F02_07870
ERR1913166.202851__1.202851	820__A0A374Q1D8__SAMN05444418_112114
ERR1913166.202926__1.202926	1229751__GeneID:16385108
ERR1913166.202933__1.202933	820__A0A3E4XM43__DXC91_13960
ERR1913166.203157__1.203157	1796613__A0A1C7GYD6__A4V03_03700
ERR1913166.203209__1.203209	338188__C9L1F9__BACFIN_08436
ERR1913166.203215__1.203215	820__A0A3E4VXP2__yesR
ERR1913166.203230__1.203230	820__A0A174GYA8__DXB64_07370
ERR1913166.203271__1.203271	820__R9HP61__DXC91_01090
ERR1913166.203274__1.203274	820__A0A139K5A6__DXB48_12175
ERR1913166.203408__1.203408	39492__B0MN61__epsF_2
ERR1913166.203409__1.203409	1262882__R5N1T9__BN519_00804
ERR1913166.203492__1.203492	216816__D6DBD5__DXC32_04335
ERR1913166.203494__1.203494	329854__R7DRH1__DXD27_19880
ERR1913166.203541__1.203541	820__A7V470__HMPREF1072_02076
ERR1913166.203721__1.203721	1262882__R5MRT2__BN519_01494
ERR1913166.203722__1.203722	1262924__R7HRJ9__BN585_00557
ERR1913166.203740__1.203740	1297617__A0A2U1CF44__C7373_10161
ERR1913166.203767__1.203767	1262882__R5MSX6__BN519_01697
ERR1913166.203830__1.203830	1150298__R7JTH7__ERS852498_00177
ERR1913166.203888__1.203888	1550024__G9RWG5__TQ39_04290
ERR1913166.203962__1.203962	1550024__A0A0D8IY61__ASJ35_05690
ERR1913166.203965__1.203965	1262882__R5N1R4__BN519_00788
ERR1913166.204063__1.204063	820__A0A3E4W980__M093_3873
ERR1913166.204620__1.204620	820__A0A1T4IY80__ERS852554_01621
ERR1913166.204681__1.204681	820__A0A078STJ8__DXC68_04690
ERR1913166.204769__1.204769	487174__K0X068__DDY40_07105
ERR1913166.204848__1.204848	487173__H1D0C2__HMPREF9453_01060
ERR1913166.204788__1.204788	387090__S0F8B2__BACCOPRO_02129
ERR1913166.204985__1.204985	1262882__R5MEN2__BN519_00200
ERR1913166.205291__1.205291	1262882__R5MT42__BN519_01729
ERR1913166.205444__1.205444	1262882__R5MSX6__BN519_01697
ERR1913166.205496__1.205496	820__A0A173YYG4__evgS_3
ERR1913166.205540__1.205540	410072__C0B8G3__DXD67_01535
ERR1913166.205660__1.205660	39491__A0A396FJV5__ERS852417_00035
ERR1913166.205682__1.205682	820__A0A174A6K0__M093_0079
ERR1913166.205701__1.205701	820__A0A139KH21__DXC80_01780
ERR1913166.205850__1.205850	820__A7VAR9__ERS852421_00197
ERR1913166.206010__1.206010	820__A0A174CK74__DXB48_07060
ERR1913166.206233__1.206233	487174__K0X3E9__DDY40_04905
ERR1913166.206285__1.206285	214856__I3YMC8__ERS852447_02666
ERR1913166.206355__1.206355	820__A7VAR9__ERS852421_00197
ERR1913166.206378__1.206378	1150298__A0A174HHW8__yhbU_1
ERR1913166.206504__1.206504	820__A0A139KHX1__HMPREF2141_00289
ERR1913166.206778__1.206778	821__A6L0C7__ERS852556_03520
ERR1913166.206887__1.206887	1550024__G9RQ11__ASJ35_08685
ERR1913166.206863__1.206863	820__R9HUV5__HMPREF2141_02582
ERR1913166.206964__1.206964	239935__R6IZU4__CXT87_08085
ERR1913166.206980__1.206980	40518__R5E6X5__sbcD
ERR1913166.207418__1.207418	1262924__R7HPZ6__BN585_00681
ERR1913166.207534__1.207534	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913166.207551__1.207551	820__A0A3E4GA19__SAMN05444418_10562
ERR1913166.207642__1.207642	820__R9HP61__DXC91_01090
ERR1913166.207774__1.207774	820__A0A139KHX1__HMPREF2141_00289
ERR1913166.208212__1.208212	853__A0A174BA00__DW905_01145
ERR1913166.208248__1.208248	1262882__R5MYP2__BN519_00435
ERR1913166.208340__1.208340	820__A0A174Q0F0__DXB48_08080
ERR1913166.208399__1.208399	820__A0A374Q854__HMPREF1073_03281
ERR1913166.208483__1.208483	821__R6F3Y1__SAMN04487923_104318
ERR1913166.208603__1.208603	371601__D7J4W7__CW3_3382
ERR1913166.208654__1.208654	820__A0A139KJ23__celCCA
ERR1913166.208689__1.208689	2292352__A0A374UJE7__DXC23_11305
ERR1913166.208882__1.208882	820__R9HUV5__HMPREF2141_02582
ERR1913166.208963__1.208963	1262882__R5N1L4__BN519_00757
ERR1913166.208964__1.208964	28111__E5X1H4__HMPREF1016_02781
ERR1913166.209053__1.209053	853__A0A2A7B1Y7__C7K05_11930
ERR1913166.209369__1.209369	818__A0A174TXD9__C799_03229
ERR1913166.209325__1.209325	239935__A0A2N8IF99__lpdA
ERR1913166.209402__1.209402	214856__A0A173YE57__ERS852559_00126
ERR1913166.209471__1.209471	357276__A0A076IXE0__HMPREF1064_04364
ERR1913166.209600__1.209600	454154__G5SPP3__HMPREF9441_01326
ERR1913166.209701__1.209701	820__A0A3E4W9W8__C801_01069
ERR1913166.209787__1.209787	338188__A0A174GPX4__ERS852397_00693
ERR1913166.209814__1.209814	820__A0A374Q8T2__DXB64_16190
ERR1913166.209859__1.209859	820__A0A3E4G8F8__ERS852421_01645
ERR1913166.209922__1.209922	674529__R6UW30__SAMN05444400_107160
ERR1913166.209946__1.209946	1262882__R5MGK3__BN519_00655
ERR1913166.209974__1.209974	820__A0A374Q854__HMPREF1073_03281
ERR1913166.210031__1.210031	338188__R6RT73__HMPREF1057_02828
ERR1913166.210114__1.210114	820__R9HXK9__DXB62_08265
ERR1913166.210254__1.210254	820__A0A139KJR5__M093_4469
ERR1913166.210315__1.210315	357276__A0A076IXE0__HMPREF1064_04364
ERR1913166.210485__1.210485	239935__A0A2N8HT44__CXT84_11035
ERR1913166.210531__1.210531	1262743__R5C7B5__BN727_00586
ERR1913166.210546__1.210546	28111__R5K3D9__NCTC11155_02788
ERR1913166.210585__1.210585	454155__F3QWJ8__HMPREF9442_02580
ERR1913166.210875__1.210875	820__A7V092__hldE
