ERR1912964.104__1.104	1680__A0A087DKM6__B0042_0664
ERR1912964.218152__1.218152	239935__A0A3F3K985__CXT98_05805
ERR1912964.218160__1.218160	40518__R5DZI2__DXD93_06940
ERR1912964.218295__1.218295	39492__D4JRM9__bglB_2
ERR1912964.218328__1.218328	33043__A0A174EI47__inlJ
ERR1912964.218433__1.218433	901__B6WUL1__DESPIG_01755
ERR1912964.218614__1.218614	33043__A8SQU6__ERS852386_01237
ERR1912964.218902__1.218902	1263027__R6ZPD8__BN699_00744
ERR1912964.218965__1.218965	239935__A0A2N8IMC3__CXT96_03840
ERR1912964.219175__1.219175	239935__B2UL21__CXT98_03395
ERR1912964.219365__1.219365	1161942__coaE
ERR1912964.219378__1.219378	823__D7IRG1__NCTC11152_02276
ERR1912964.219389__1.219389	1262961__R6DV64__BN710_01224
ERR1912964.219440__1.219440	46503__A7AH78__DD461_04085
ERR1912964.219448__1.219448	165179__A0A3E5EA43__DXC61_07775
ERR1912964.219507__1.219507	239935__A0A2N8I8X8__B5G29_00185
ERR1912964.219752__1.219752	239935__A0A2N8IUW6__Amuc_1525
ERR1912964.219792__1.219792	239935__R7E524__CXT91_06180
ERR1912964.219969__1.219969	1680__R5GR82__AD0028_0014
ERR1912964.219992__1.219992	33043__D5HGZ8__nnr
ERR1912964.220020__1.220020	820__R9I3N4__M093_0061
ERR1912964.220037__1.220037	165179__A0A3E5AGH1__DXB80_05820
ERR1912964.220188__1.220188	1262911__R6GY22__BN557_00023
ERR1912964.220309__1.220309	1263000__R5EHB0__BN466_01647
ERR1912964.220312__1.220312	292800__G9YUV1__A4U99_06820
ERR1912964.220536__1.220536	1262961__R6ELH5__BN710_01000
ERR1912964.220842__1.220842	1150298__A0A174S911__ERS852406_01972
ERR1912964.220948__1.220948	239935__A0A139TT05__CXU09_03335
ERR1912964.220981__1.220981	39485__A0A175A023__yhhT
ERR1912964.221047__1.221047	165179__R6CNX7__DXB80_02200
ERR1912964.221258__1.221258	1161942__alsT_2
ERR1912964.221291__1.221291	165179__A0A229I740__DXC61_10430
ERR1912964.221359__1.221359	39491__A0A395ZDC6__addB
ERR1912964.221647__1.221647	1263000__R5EXT3__BN466_02213
ERR1912964.221837__1.221837	165179__R6C3K4__PREVCOP_05795
ERR1912964.221928__1.221928	28026__A0A267WLP7__DXD35_07115
ERR1912964.221968__1.221968	33043__D5HGZ8__nnr
ERR1912964.222128__1.222128	46503__B7B776__DXB85_00355
ERR1912964.222246__1.222246	1263030__R5CZV8__BN705_01159
ERR1912964.222356__1.222356	33043__D5HGZ8__nnr
ERR1912964.222487__1.222487	33043__A0A174A481__ERS852400_01067
ERR1912964.222612__1.222612	1263027__R6ZL17__BN699_01298
ERR1912964.222725__1.222725	46503__A7ADV9__ERS852463_01504
ERR1912964.222706__1.222706	165179__D1PCT4__DXB80_09470
ERR1912964.222815__1.222815	239935__A0A139TPU7__CXT91_06575
ERR1912964.222940__1.222940	1161942__celD_2
ERR1912964.223024__1.223024	301302__R5UTG6__M72_25801
ERR1912964.223240__1.223240	28117__B0MU76__ALIPUT_00202
ERR1912964.223249__1.223249	1680__A0A3E4SB79__BAD_1517
ERR1912964.223298__1.223298	1262761__R6RY17__BN606_01538
ERR1912964.223338__1.223338	1896974__A0A1Q6H018__BHV77_13175
ERR1912964.223374__1.223374	853__E2ZGD9__C7J97_11715
ERR1912964.223523__1.223523	165179__A0A174NK27__PREVCOP_06433
ERR1912964.223690__1.223690	630129__A0A087B617__BKAS_1320
ERR1912964.223906__1.223906	239935__A0A2N8ITX2__CXT86_11265
ERR1912964.223938__1.223938	39496__A5Z4Q4__EUBVEN_00681
ERR1912964.223950__1.223950	853__A0A2A7B1Y7__C7K05_11930
ERR1912964.224047__1.224047	853__A0A3E2V168__FAEPRAM212_00929
ERR1912964.224062__1.224062	33043__D5HJB7__ERS852400_01485
ERR1912964.224075__1.224075	823__A0A173TL14__M095_0764
ERR1912964.224142__1.224142	1680__A1A132__B0703_0684
ERR1912964.224167__1.224167	853__A0A2A7B1Y7__C7K05_11930
ERR1912964.224250__1.224250	1681__A0A292G7V3__BBIF_1776
ERR1912964.224421__1.224421	821__A0A395UNT8__DXD64_15275
ERR1912964.224599__1.224599	1161942__argS
ERR1912964.224825__1.224825	1262700__R5XC07__BN695_01332
ERR1912964.224889__1.224889	1262961__R6E1C5__BN710_01058
ERR1912964.224950__1.224950	901__B6WSE5__DESPIG_01067
ERR1912964.224961__1.224961	33043__A0A173YEP6__ERS852575_00888
ERR1912964.225314__1.225314	1686__B6XTW8__B5782_0877
ERR1912964.225426__1.225426	239935__A0A2N8IVR0__CXT87_07115
ERR1912964.226072__1.226072	33043__D5HDF1__ERS852386_02231
ERR1912964.226088__1.226088	165179__A0A174WGF6__PREVCOP_04095
ERR1912964.226101__1.226101	239935__A0A3F3K9J9__DEF40_00940
ERR1912964.226151__1.226151	165179__A0A3E5DV57__DXB80_11400
ERR1912964.226180__1.226180	239935__A0A2N8IRH4__CXT92_05605
ERR1912964.226539__1.226539	853__A0A3E2V168__FAEPRAM212_00929
ERR1912964.226547__1.226547	165179__A0A174XZU8__DXB80_12180
ERR1912964.226667__1.226667	165179__A0A3E5EB26__CFT61_02800
ERR1912964.226717__1.226717	944036__A0A196SEW2__AV274_2736
ERR1912964.226738__1.226738	1262961__R6DLQ1__BN710_00528
ERR1912964.226746__1.226746	1161942__aroK_2
ERR1912964.226792__1.226792	1161942__bglY
ERR1912964.227158__1.227158	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1912964.227258__1.227258	33043__D5HHF5__ERS852386_00025
ERR1912964.227330__1.227330	74426__rpoB
ERR1912964.227389__1.227389	384638__B7AVU0__BACPEC_02840
ERR1912964.227435__1.227435	1262825__R5EL82__BN724_00573
ERR1912964.227633__1.227633	33043__A0A174GAW5__ydcV_2
ERR1912964.227728__1.227728	239935__A0A2N8IEP3__CXT84_03735
ERR1912964.227862__1.227862	33043__D5HGS9__ERS852445_02226
ERR1912964.228056__1.228056	165179__D1PGU8__PREVCOP_06463
ERR1912964.228264__1.228264	33043__D5HF50__ERS852386_02415
ERR1912964.228291__1.228291	33043__D5HGZ8__nnr
ERR1912964.228804__1.228804	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1912964.228826__1.228826	301302__A0A173QV75__M72_03601
ERR1912964.228844__1.228844	39491__C4ZF05__vpr
ERR1912964.228878__1.228878	1680__A0A174BEE7__BSTER_1311
ERR1912964.228915__1.228915	172901__A0A2U1ALG8__C8D82_13225
ERR1912964.229038__1.229038	292800__H1C711__A4U99_09750
ERR1912964.229256__1.229256	1262869__R7CRP7__BN625_01723
ERR1912964.229284__1.229284	291644__I8Y2A3__HMPREF1532_03851
ERR1912964.229259__1.229259	165179__A0A3E5AGH1__DXB80_05820
ERR1912964.229262__1.229262	1262761__R6QKZ0__BN606_00913
ERR1912964.229303__1.229303	165179__A0A3E5AGH1__DXB80_05820
ERR1912964.229390__1.229390	1262761__R6QSF1__BN606_01341
ERR1912964.229502__1.229502	239935__A0A2N8IRL2__CXU06_01170
ERR1912964.229519__1.229519	1897011__A0A1Q6RI93__BHW41_01175
ERR1912964.229614__1.229614	1393034__GCA_001552785.1_00510
ERR1912964.229798__1.229798	853__A8SCP3__C4N26_07960
ERR1912964.229811__1.229811	901__B6WUN6__DHV46_11020
ERR1912964.229834__1.229834	33043__D5HGZ8__nnr
ERR1912964.229866__1.229866	33043__A0A173X520__ERS852575_01617
ERR1912964.229883__1.229883	40518__R5DU52__RB5AMG_02245
ERR1912964.230008__1.230008	239935__A0A2N8I8X8__B5G29_00185
ERR1912964.230056__1.230056	823__D0T9Q9__M095_2648
ERR1912964.230247__1.230247	33043__A0A174CV49__ERS852386_02395
ERR1912964.230261__1.230261	1262986__A0A350CXI8__BN492_00074
ERR1912964.230434__1.230434	1680__A0A0C2VBJ4__birA
ERR1912964.230509__1.230509	239935__A0A2N8IV82__CXT99_06735
ERR1912964.230622__1.230622	33043__A0A173QUI0__ERS852386_00036
ERR1912964.230649__1.230649	74426__group_4851
ERR1912964.230663__1.230663	33043__D5HI50__smf
ERR1912964.230795__1.230795	1263000__R5EC87__BN466_00713
ERR1912964.230810__1.230810	33043__A0A173YSY7__tilS
ERR1912964.230875__1.230875	33043__A0A173YSY7__tilS
ERR1912964.230901__1.230901	33043__A0A174D8D4__ERS852386_02537
ERR1912964.231000__1.231000	165179__D1PEQ5__PREVCOP_05711
ERR1912964.231431__1.231431	1235835__R9LCU2__C814_02677
ERR1912964.231600__1.231600	1262915__R6HCK9__BN574_00669
ERR1912964.231828__1.231828	1680__A0A087DHN0__AL0462_1532
ERR1912964.231889__1.231889	39492__R6SPM9__pheT
ERR1912964.232128__1.232128	853__E2ZGD9__C7J97_11715
ERR1912964.232138__1.232138	33043__A0A174B5C6__acm_3
ERR1912964.232316__1.232316	1262761__R6QUM5__BN606_02048
ERR1912964.232438__1.232438	1262761__R6QT25__BN606_01812
ERR1912964.232449__1.232449	384638__B7APN3__BACPEC_00639
ERR1912964.232516__1.232516	853__D4JY61__C4N21_10560
ERR1912964.232560__1.232560	33043__D5HJ93__ERS852445_01985
ERR1912964.232652__1.232652	1262992__R5D586__BN795_00723
ERR1912964.232793__1.232793	1735__B7C8A2__EUBIFOR_00399
ERR1912964.232836__1.232836	1297617__A0A0S2W3A7__BIV19_02590
ERR1912964.233044__1.233044	487175__D9Y8B5__HMPREF9439_02353
ERR1912964.233115__1.233115	165179__A0A174W369__PREVCOP_04548
ERR1912964.233193__1.233193	33043__A0A173WZE5__ERS852386_00374
ERR1912964.233168__1.233168	33043__D5HEE1__ERS852386_01671
ERR1912964.233465__1.233465	292800__G9YV93__HMPREF0372_03458
ERR1912964.233545__1.233545	1262915__R6I9T3__BN574_00909
ERR1912964.233591__1.233591	216816__C2GTH2__CE159_03580
ERR1912964.233596__1.233596	33043__D5HIU3__ERS852386_01914
ERR1912964.233656__1.233656	165179__A0A229I1J2__DXB80_03950
ERR1912964.233660__1.233660	1855371__A0A1I2BEE3__SAMN05216563_10687
ERR1912964.233668__1.233668	944036__A0A196S587__AV274_6063
ERR1912964.233828__1.233828	1161942__asrA
ERR1912964.234257__1.234257	1263000__R5EV67__BN466_01611
ERR1912964.234371__1.234371	239935__A0A2N8HBP0__CXT94_04450
ERR1912964.234427__1.234427	1680__A0A3E4SB79__BAD_1517
ERR1912964.234492__1.234492	1262986__R6ANN3__BN492_01101
ERR1912964.234534__1.234534	165179__D1PEW8__DXB80_13775
ERR1912964.234571__1.234571	33043__A0A173YYE7__ERS852445_00670
ERR1912964.234818__1.234818	74426__infB
ERR1912964.234837__1.234837	1262959__R5XVI8__BN680_00158
ERR1912964.234869__1.234869	239935__B2UQP8__CXU15_01110
ERR1912964.234913__1.234913	165179__A0A174SA26__PREVCOP_05758
ERR1912964.234944__1.234944	1262761__R6R3W1__BN606_01849
ERR1912964.234981__1.234981	33043__A0A374K1H3__ykoD_2
ERR1912964.235041__1.235041	487174__K0WUZ1__DIT83_10815
ERR1912964.235084__1.235084	1263000__R5EFJ5__BN466_01372
ERR1912964.235195__1.235195	1263000__R5EU91__BN466_01432
ERR1912964.235171__1.235171	239935__A0A2N8IU14__ADH72_05655
ERR1912964.235306__1.235306	1262761__R6RP35__BN606_00461
ERR1912964.235324__1.235324	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1912964.235434__1.235434	39492__B0MM26__ERS852540_00640
ERR1912964.235455__1.235455	1680__A0A087DHN0__AL0462_1532
ERR1912964.235574__1.235574	239935__A0A2N8HUU6__CXT90_06150
ERR1912964.235695__1.235695	1262761__R6QWS5__BN606_02019
ERR1912964.235772__1.235772	1262761__R6RPK4__BN606_00541
ERR1912964.235871__1.235871	239935__A0A3F3K9J9__DEF40_00940
ERR1912964.235968__1.235968	853__A0A2A7B1Y7__C7K05_11930
ERR1912964.236084__1.236084	1262761__R6QJQ2__BN606_00751
ERR1912964.236107__1.236107	33043__D5HFA1__ERS852400_02183
ERR1912964.236316__1.236316	1262761__R6QJJ2__BN606_00358
ERR1912964.236580__1.236580	239935__A0A2N8HPS5__Amuc_0950
ERR1912964.236623__1.236623	1262761__R6QUP0__BN606_01674
ERR1912964.236736__1.236736	1262761__R6R763__BN606_01311
ERR1912964.236883__1.236883	1262761__R6QZS1__BN606_01236
ERR1912964.236961__1.236961	1262961__R6E1C5__BN710_01058
ERR1912964.236962__1.236962	165179__D1PCT4__DXB80_09470
ERR1912964.237208__1.237208	216816__A0A133LQN7__BL15B_00780
ERR1912964.237263__1.237263	165179__A0A3E5E8M8__DXB80_11580
ERR1912964.237272__1.237272	853__E2ZGD9__C7J97_11715
ERR1912964.237311__1.237311	328814__GCA_004558275.1_00985
ERR1912964.237330__1.237330	33043__D5HIS6__ERS852575_02019
ERR1912964.237405__1.237405	39488__A0A173SMQ7__EUBHAL_00819
ERR1912964.237544__1.237544	1263000__R5EGP9__BN466_01419
ERR1912964.237646__1.237646	487175__R5DYV2__HMPREF9439_00040
ERR1912964.237713__1.237713	239935__R6J776__CXU07_02355
ERR1912964.237805__1.237805	239935__A0A2N8HT44__CXT84_11035
ERR1912964.237883__1.237883	40518__R5DR96__RBATCC27255_01185
ERR1912964.237890__1.237890	1263000__R5EGY6__BN466_00973
ERR1912964.238034__1.238034	1235835__R9LCU2__C814_02677
ERR1912964.238102__1.238102	33043__A0A174E9K7__sigF_1
ERR1912964.238111__1.238111	239935__A0A139TPU7__CXT91_06575
ERR1912964.238125__1.238125	745368__A0A1T4WDF4__SAMN02745178_00415
ERR1912964.238210__1.238210	410072__A0A174K1D5__hscC
ERR1912964.238265__1.238265	1262961__R6DYC0__BN710_00467
ERR1912964.238647__1.238647	74426__nifJ
ERR1912964.238727__1.238727	1262869__R7CP00__BN625_01342
ERR1912964.238785__1.238785	239935__A0A2N8HZW2__A4V05_11120
ERR1912964.238872__1.238872	1150298__R7JTQ3__rne
ERR1912964.238938__1.238938	239935__R7DVL7__CXT93_01180
ERR1912964.238968__1.238968	33043__A0A174GAW5__ydcV_2
ERR1912964.239065__1.239065	1262761__R6QU78__BN606_01972
ERR1912964.239076__1.239076	239935__A0A2N8I3G2__CXT89_00720
ERR1912964.239182__1.239182	239935__A0A2N8HPS5__Amuc_0950
ERR1912964.239187__1.239187	1161942__adhR
ERR1912964.239269__1.239269	1262761__R6RNL8__BN606_00387
ERR1912964.239352__1.239352	165179__A0A3E5E0D5__PREVCOP_04205
ERR1912964.239335__1.239335	1262915__R6HKE8__BN574_00620
ERR1912964.239519__1.239519	853__A0A2A7B9I6__DW855_13690
ERR1912964.239722__1.239722	901__B6WXX4__DESPIGER_1515
ERR1912964.240133__1.240133	360807__A0A0M6X0S9__RIL183_10591
ERR1912964.240159__1.240159	33043__D5HIL8__ERS852386_02009
ERR1912964.240168__1.240168	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1912964.240238__1.240238	1161942__addA_3
ERR1912964.240243__1.240243	33043__A0A174AEP1__apr
ERR1912964.240436__1.240436	239935__A0A2N8IVR0__CXT87_07115
ERR1912964.240456__1.240456	165179__A0A3E4S980__PREVCOP_04626
ERR1912964.240502__1.240502	1262761__R6RUC6__BN606_00092
ERR1912964.240504__1.240504	1897011__A0A1Q6RDL4__BHW41_05540
ERR1912964.240505__1.240505	239935__A0A2N8ITX2__CXT86_11265
ERR1912964.240556__1.240556	1262761__R6QN56__BN606_00886
ERR1912964.240660__1.240660	33043__D5HGR0__rpfC_2
ERR1912964.240986__1.240986	1897011__A0A1Q6RE47__BHW41_04715
ERR1912964.241074__1.241074	216816__D6DC91__DXC72_07710
ERR1912964.241176__1.241176	853__A0A173XRA8__CGS56_09290
ERR1912964.241321__1.241321	1263000__R5EQL2__BN466_00892
ERR1912964.241297__1.241297	39485__A0A174Z768__ERS852492_00306
ERR1912964.241350__1.241350	572010__srrA
ERR1912964.241354__1.241354	239935__A0A2N8I3G2__CXT89_00720
ERR1912964.241357__1.241357	901__B6WY35__DESPIGER_1461
ERR1912964.241465__1.241465	33043__D5HEE1__ERS852386_01671
ERR1912964.241651__1.241651	292800__A0A174P338__HMPREF0372_00533
ERR1912964.241728__1.241728	901__B6WX92__DESPIG_02718
ERR1912964.242125__1.242125	33043__A0A173WZE5__ERS852386_00374
ERR1912964.242283__1.242283	106588__A6NUL8__BACCAP_01900
ERR1912964.242313__1.242313	1263027__R6ZFP7__BN699_00330
ERR1912964.242272__1.242272	508460__GCF_000585335.1_00194
ERR1912964.242560__1.242560	33043__A0A173XM20__ERS852445_01573
ERR1912964.242578__1.242578	74426__rpoC
ERR1912964.242665__1.242665	239935__A0A2N8HDT1__CXT94_05270
ERR1912964.242794__1.242794	1680__A0A0B5BME4__DXD63_05015
ERR1912964.243124__1.243124	1262761__R6QTF1__BN606_01445
ERR1912964.243269__1.243269	1263027__R6ZI16__BN699_01371
ERR1912964.243331__1.243331	239935__R7DVL7__CXT93_01180
ERR1912964.243362__1.243362	1897011__A0A1Q6RIQ1__BHW41_00490
ERR1912964.243419__1.243419	165179__A0A174UTZ7__DXC61_06705
ERR1912964.243516__1.243516	33043__A0A174CC83__ERS852575_02077
ERR1912964.243666__1.243666	1680__R5GR82__AD0028_0014
ERR1912964.243757__1.243757	239935__A0A2N8I3G2__CXT89_00720
ERR1912964.243819__1.243819	410072__C0B9A1__COPCOM_01727
ERR1912964.243836__1.243836	239935__R6JWJ7__CXT94_02580
ERR1912964.243955__1.243955	39492__D4JQX3__EUBSIR_01310
ERR1912964.243968__1.243968	33043__A0A173X520__ERS852575_01617
ERR1912964.244037__1.244037	39496__A5Z5I2__EUBVEN_00963
ERR1912964.244232__1.244232	165179__A0A3E5EDP4__DXB80_05800
ERR1912964.244309__1.244309	216816__A0A061M1M5__HMPREF0177_01046
ERR1912964.244375__1.244375	1262761__R6QUM5__BN606_02048
ERR1912964.244567__1.244567	33043__D5HIL8__ERS852386_02009
ERR1912964.244610__1.244610	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1912964.244783__1.244783	239935__A0A2N8HDT1__CXT94_05270
ERR1912964.244861__1.244861	55565__G9PDC6__HMPREF1978_00075
ERR1912964.244967__1.244967	33043__D5HIS6__ERS852575_02019
ERR1912964.245091__1.245091	216816__C2GV16__APC1504_1666
ERR1912964.245141__1.245141	239935__A0A2N8HPS5__Amuc_0950
ERR1912964.245206__1.245206	384638__B7AVU0__BACPEC_02840
ERR1912964.245446__1.245446	239935__A0A2N8HH03__CXU09_08875
ERR1912964.245707__1.245707	33043__D5HI86__ERS852575_00288
ERR1912964.245753__1.245753	33043__A0A174FIJ8__ERS852445_02217
ERR1912964.245741__1.245741	165179__A0A3E5EAM5__DXC61_07785
ERR1912964.245743__1.245743	1262915__R6IBE7__BN574_01447
ERR1912964.246219__1.246219	239935__R6J5N6__CXT99_10770
ERR1912964.246360__1.246360	28118__F9Z5D8__DHW44_13785
ERR1912964.246371__1.246371	165179__A0A3E5DWQ1__DXB80_06635
ERR1912964.246456__1.246456	1105031__J1H3W2__HMPREF1141_2783
ERR1912964.246538__1.246538	853__A0A2A7B9I6__DW855_13690
ERR1912964.246785__1.246785	28117__B0MUT8__ALIPUT_00879
ERR1912964.246847__1.246847	1262869__R7CNI2__BN625_01278
ERR1912964.246884__1.246884	1263107__GCA_000436995.1_00124
ERR1912964.246976__1.246976	33043__A0A173WPI1__ERS852400_02100
ERR1912964.247252__1.247252	487175__R5E1Y3__HMPREF9439_02586
ERR1912964.247355__1.247355	239935__A0A2N8I6R6__CXU04_04335
ERR1912964.247697__1.247697	74426__group_4851
ERR1912964.247678__1.247678	1263000__R5EF60__BN466_01316
ERR1912964.247737__1.247737	1263000__R5EMW8__BN466_00256
ERR1912964.247836__1.247836	74426__rpoB
ERR1912964.247843__1.247843	454155__F3QYB1__HMPREF9442_03204
ERR1912964.247877__1.247877	33043__D5HF43__ERS852445_00477
ERR1912964.247931__1.247931	1262761__R6RZF9__BN606_01803
ERR1912964.248187__1.248187	853__A0A3E2U7E6__ERS852582_01640
ERR1912964.248317__1.248317	384638__B7AT14__BACPEC_01282
ERR1912964.248427__1.248427	239935__A0A2N8I7W6__CXT90_04245
ERR1912964.248471__1.248471	33043__D5HHT2__ERS852445_02796
ERR1912964.248511__1.248511	33043__D5HFZ0__rlmH
ERR1912964.248661__1.248661	33043__A0A374K1H3__ykoD_2
ERR1912964.248816__1.248816	1897011__A0A1Q6RH29__BHW41_01570
ERR1912964.248809__1.248809	1161942__betI
ERR1912964.248855__1.248855	853__A0A2A7B1Y7__C7K05_11930
ERR1912964.248989__1.248989	487175__D9Y8F0__HMPREF9439_02391
ERR1912964.249317__1.249317	1680__A0A0C2VBJ4__birA
ERR1912964.249349__1.249349	360807__C0FR69__ERS852392_01939
ERR1912964.249527__1.249527	239935__A0A139TMG9__CXU07_10650
ERR1912964.249635__1.249635	1263030__R5CZV8__BN705_01159
ERR1912964.249637__1.249637	1262761__R6QXL2__BN606_02127
ERR1912964.249754__1.249754	165179__A0A3E5EB26__CFT61_02800
ERR1912964.249902__1.249902	239935__A0A2N8IMC3__CXT96_03840
ERR1912964.249971__1.249971	239935__A0A2N8HPS5__Amuc_0950
ERR1912964.250061__1.250061	239935__A0A139TT05__CXU09_03335
ERR1912964.250079__1.250079	165179__A0A3E5A6S0__PREVCOP_04351
ERR1912964.250137__1.250137	2292352__A0A374UKE0__DXC23_10215
ERR1912964.250311__1.250311	33043__A0A173YQY3__ERS852445_01438
ERR1912964.250316__1.250316	487175__R5DYU5__HMPREF9439_02354
ERR1912964.250351__1.250351	33043__A8SWZ6__ERS852386_02582
ERR1912964.250450__1.250450	820__A0A173XIP7__B5G17_16050
ERR1912964.250452__1.250452	1263027__R6ZPD8__BN699_00744
ERR1912964.250455__1.250455	33043__A8SQU6__ERS852386_01237
ERR1912964.250468__1.250468	1262761__R6R3I7__BN606_01771
ERR1912964.250561__1.250561	901__B6WQE3__DHV46_07200
ERR1912964.250831__1.250831	357276__A0A076ISJ4__B5F95_19420
ERR1912964.250889__1.250889	239935__R6JAS2__CXU02_10725
ERR1912964.251032__1.251032	239935__A0A2N8HUU6__CXT90_06150
ERR1912964.251062__1.251062	239935__A0A2N8IMC3__CXT96_03840
ERR1912964.251234__1.251234	901__B6WXF1__DESPIGER_1660
ERR1912964.251253__1.251253	1897011__A0A1Q6RDW7__BHW41_05280
ERR1912964.251337__1.251337	239935__A0A2N8IVK9__CXU08_03750
ERR1912964.251409__1.251409	74426__nifJ
ERR1912964.251526__1.251526	33043__A0A174A481__ERS852400_01067
ERR1912964.251562__1.251562	239935__A0A2N8HBM4__CXT85_06270
ERR1912964.251746__1.251746	239935__A0A2N8HPS5__Amuc_0950
ERR1912964.251760__1.251760	33043__D5HIL5__ERS852445_01761
ERR1912964.251847__1.251847	239935__A0A2N8IKW7__pstA
ERR1912964.251891__1.251891	1263000__R5EGY6__BN466_00973
ERR1912964.251947__1.251947	1263027__R6ZEN0__BN699_02354
ERR1912964.252031__1.252031	239935__A0A2N8HUU6__CXT90_06150
ERR1912964.252049__1.252049	39490__U2Q0B0__LG34_01570
ERR1912964.252280__1.252280	239935__A0A139TMZ5__CXU00_03150
ERR1912964.252485__1.252485	216816__B7GTR6__BLD_0992
ERR1912964.252657__1.252657	487174__R5EUJ8__DDY40_00460
ERR1912964.252672__1.252672	853__A0A3E2V168__FAEPRAM212_00929
ERR1912964.252723__1.252723	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1912964.252824__1.252824	1262761__R6QJF1__BN606_00340
ERR1912964.252964__1.252964	901__B6WQQ5__DHV46_03695
ERR1912964.252967__1.252967	39485__C4Z6U7__EUBELI_20545
ERR1912964.253065__1.253065	239935__A0A2N8HWQ2__CXU13_01775
ERR1912964.253221__1.253221	454155__F3QT57__HMPREF9442_01374
ERR1912964.253255__1.253255	384638__B7AP91__BACPEC_00495
ERR1912964.253315__1.253315	33043__D5HJ22__ERS852575_02302
ERR1912964.253567__1.253567	39496__A5Z5I2__EUBVEN_00963
ERR1912964.254063__1.254063	1262961__R6EK01__BN710_00862
ERR1912964.254176__1.254176	508460__GCF_000585335.1_00234
ERR1912964.254509__1.254509	33043__D5HFA0__glfT2
ERR1912964.254620__1.254620	46503__R6X0P0__DXB61_03855
ERR1912964.254701__1.254701	1897011__A0A1Q6RDL4__BHW41_05540
ERR1912964.255159__1.255159	1262959__R5Y160__BN680_01630
ERR1912964.255468__1.255468	239935__A0A139TPD8__CXU12_11015
ERR1912964.255504__1.255504	1262911__R6H1P0__BN557_00940
ERR1912964.255622__1.255622	33043__D5HHY4__luxQ_1
ERR1912964.255850__1.255850	33043__A0A173X520__ERS852575_01617
ERR1912964.255861__1.255861	216816__C2GSX7__DD678_03555
ERR1912964.255909__1.255909	239935__A0A2N8IRH4__CXT92_05605
ERR1912964.255885__1.255885	165179__A0A3E5A554__DXB80_13805
ERR1912964.256139__1.256139	116085__D4J425__spoIVB
ERR1912964.256165__1.256165	1262761__R6QMJ7__BN606_00803
ERR1912964.256303__1.256303	239935__R6JAS2__CXU02_10725
ERR1912964.256285__1.256285	1680__R5GR82__AD0028_0014
ERR1912964.256294__1.256294	46503__R6Y1Q8__DXB85_01295
ERR1912964.256351__1.256351	944036__A0A196SPF6__AV274_0210
ERR1912964.256613__1.256613	901__B6WXA0__aroE
ERR1912964.256618__1.256618	1897011__A0A1Q6RDG0__BHW41_05600
ERR1912964.256633__1.256633	1262761__R6QJJ2__BN606_00358
ERR1912964.256649__1.256649	165179__A0A3E5E643__DXB80_06030
ERR1912964.256723__1.256723	487174__K0WUZ1__DIT83_10815
ERR1912964.257003__1.257003	40520__A0A3E5E983__DXC87_15505
ERR1912964.257167__1.257167	1263027__R7AXU1__BN699_01239
ERR1912964.257287__1.257287	1897011__A0A1Q6RDE2__BHW41_05525
ERR1912964.257351__1.257351	1262761__R6QIT0__BN606_00225
ERR1912964.257647__1.257647	1263027__R7AXU1__BN699_01239
ERR1912964.257651__1.257651	255248__A0A1B2A2R4__A9176_07200
ERR1912964.257724__1.257724	239935__R6JCH3__CXT95_08205
ERR1912964.258300__1.258300	246787__A0A3D6ARC7__BACCELL_03328
ERR1912964.258286__1.258286	1263027__R7AV02__BN699_02111
ERR1912964.258484__1.258484	28117__B0MTY2__BHV66_06485
ERR1912964.258538__1.258538	1263000__R5EXT3__BN466_02213
ERR1912964.258568__1.258568	1262761__R6QMJ7__BN606_00803
ERR1912964.258946__1.258946	745368__A0A1T4WDF4__SAMN02745178_00415
ERR1912964.259159__1.259159	33043__A0A374K1H3__ykoD_2
ERR1912964.259719__1.259719	410072__A0A3E4GQ67__sigV_1
ERR1912964.259999__1.259999	239935__A0A139TQT9__Amuc_1197
ERR1912964.260208__1.260208	1897011__A0A1Q6RH12__BHW41_01505
ERR1912964.260219__1.260219	33043__A0A173ZL29__ERS852386_01345
ERR1912964.260417__1.260417	33043__D5HJ96__ERS852386_02112
ERR1912964.260418__1.260418	1472761__GCA_002159295.1_00731
ERR1912964.260429__1.260429	1161942__clpC_2
ERR1912964.260469__1.260469	1897011__A0A1Q6RH97__BHW41_01945
ERR1912964.260521__1.260521	1263027__R6ZZS3__BN699_02045
ERR1912964.260632__1.260632	901__B6WVE0__DESPIG_02056
ERR1912964.260746__1.260746	310297__R5V778__BACPLE_02189
ERR1912964.261056__1.261056	165179__A0A3E5E2S3__DXB80_03455
ERR1912964.261933__1.261933	165179__A0A174UTZ7__DXC61_06705
ERR1912964.262078__1.262078	214856__I3YMB7__Alfi_1811
ERR1912964.262069__1.262069	384638__B7AUF7__BACPEC_02355
ERR1912964.262250__1.262250	39485__A0A174YVL0__xynZ_2
ERR1912964.262352__1.262352	33043__D5HF29__eglS_1
ERR1912964.262549__1.262549	1262761__R6RU22__BN606_01110
