ERR1913306.253__1.253	821__A0A396F9T7__M097_3427
ERR1913306.144225__1.144225	1263000__R5EMW8__BN466_00256
ERR1913306.144460__1.144460	1501391__GCA_000786575.1_00082
ERR1913306.144517__1.144517	165179__A0A3E5E3D6__DXC61_05750
ERR1913306.144839__1.144839	820__A0A374Q351__DXD40_05850
ERR1913306.144971__1.144971	338188__A0A174ETX3__ERS852397_01955
ERR1913306.144919__1.144919	33039__A0A174XLA4__araR
ERR1913306.145222__1.145222	626940__E8LGW1__BHW43_07850
ERR1913306.145300__1.145300	338188__R6S6W9__ERS852397_03172
ERR1913306.145320__1.145320	1501391__GCA_000786575.1_00057
ERR1913306.145391__1.145391	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913306.145983__1.145983	47678__R5U7X8__C5Z00_18270
ERR1913306.146296__1.146296	197575__F2C1Y2__HMPREF9095_1257
ERR1913306.146788__1.146788	39491__A0A395V1Y4__DXB99_08035
ERR1913306.146939__1.146939	33043__A0A173WU55__ganB_2
ERR1913306.147302__1.147302	301302__R5UNJ6__M72_26701
ERR1913306.147253__1.147253	28117__B0MTH2__ALIPUT_00061
ERR1913306.147604__1.147604	165179__A0A229I1J2__DXB80_03950
ERR1913306.147687__1.147687	1262889__R7HB62__BN634_00669
ERR1913306.147737__1.147737	328814__GCA_004558275.1_00074
ERR1913306.147750__1.147750	165179__A0A3E5DZD8__DXB80_09150
ERR1913306.147752__1.147752	33039__R6P270__sleB_2
ERR1913306.148049__1.148049	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913306.148662__1.148662	165179__A0A3E4SEG4__DXC61_11235
ERR1913306.148767__1.148767	2173__A0A1D2WVA1__Msm_0411
ERR1913306.148844__1.148844	1501391__GCA_000786575.1_00148
ERR1913306.149077__1.149077	1520815__A0A1I3NNJ1__SAMN02910435_01357
ERR1913306.149154__1.149154	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913306.149255__1.149255	33043__A0A174BLU4__ERS852386_02221
ERR1913306.149497__1.149497	165179__A0A229I2W6__PREVCOP_04332
ERR1913306.149528__1.149528	626940__E8LF94__DCQ00_07860
ERR1913306.149641__1.149641	1262959__R5Y0V4__BN680_01500
ERR1913306.150118__1.150118	418240__A0A173YA50__ERS852478_00137
ERR1913306.150523__1.150523	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913306.150526__1.150526	357276__I8WFU9__BACDOR_02006
ERR1913306.150698__1.150698	821__D4VC51__M099_1508
ERR1913306.150667__1.150667	301302__A0A173SCU7__M72_12871
ERR1913306.150811__1.150811	39491__A0A173VYV1__DXC13_02710
ERR1913306.150831__1.150831	357276__A0A0K2HJA6__DXD47_07320
ERR1913306.150972__1.150972	165179__D1PCT4__DXB80_09470
ERR1913306.151178__1.151178	820__A7V8C2__ERS852554_01338
ERR1913306.151267__1.151267	165179__A0A3E5AGH1__DXB80_05820
ERR1913306.151452__1.151452	1262889__R7HFT7__BN634_01537
ERR1913306.151610__1.151610	39485__C4Z6R3__mcp2_1
ERR1913306.151614__1.151614	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913306.151592__1.151592	745368__A0A1T4XC26__SAMN02745178_01685
ERR1913306.151805__1.151805	33043__A0A174B5C6__acm_3
ERR1913306.151816__1.151816	820__A0A374MMF0__HMPREF1073_03811
ERR1913306.152021__1.152021	39485__A0A175A403__EUBELI_20577
ERR1913306.152184__1.152184	853__R6QDR1__C4N27_08170
ERR1913306.152542__1.152542	165179__A0A3E5DZD8__DXB80_09150
ERR1913306.152612__1.152612	165179__A0A3E5E5H1__DXC61_07220
ERR1913306.152728__1.152728	821__A0A174NM17__lacZ_6
ERR1913306.152677__1.152677	47678__A0A3E5BQM1__DXB67_08970
ERR1913306.152803__1.152803	46228__V8CB83__RUMLAC_02479
ERR1913306.152811__1.152811	1501391__GCA_000786575.1_00038
ERR1913306.153077__1.153077	1262959__R5YDC8__BN680_00325
ERR1913306.153281__1.153281	47678__R5U9Z0__HMPREF1061_03210
ERR1913306.153444__1.153444	165179__D1PCT4__DXB80_09470
ERR1913306.153534__1.153534	74426__purL
ERR1913306.153552__1.153552	165179__A0A3E4S980__PREVCOP_04626
ERR1913306.153555__1.153555	165179__A0A3E5EDP4__DXB80_05800
ERR1913306.153631__1.153631	39485__A0A174YVB5__lyc
ERR1913306.153837__1.153837	46228__V8C7P7__HMPREF1202_01523
ERR1913306.153884__1.153884	28118__R6F0X5__NCTC10826_02952
ERR1913306.153899__1.153899	301302__A0A0M6WJW1__ERS852420_02245
ERR1913306.154107__1.154107	39485__A0A174YJA4__EUBELI_20421
ERR1913306.154143__1.154143	39488__A0A173U8N3__yhbU_1
ERR1913306.154384__1.154384	214856__R5UN64__ERS852447_02669
ERR1913306.154794__1.154794	2049043__A0A316MZ87__DBY37_03735
ERR1913306.154847__1.154847	39485__C4Z355__ERS852490_01971
ERR1913306.154906__1.154906	291644__I9SQZ5__ERS852428_01656
ERR1913306.155216__1.155216	165179__A0A174W369__PREVCOP_04548
ERR1913306.155236__1.155236	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913306.155475__1.155475	33043__A0A174BLU4__ERS852386_02221
ERR1913306.155536__1.155536	338188__C9L0Q9__HMPREF1057_02408
ERR1913306.155972__1.155972	39485__R5ZVC3__ERS852490_00250
ERR1913306.156150__1.156150	165179__A0A174WGF6__PREVCOP_04095
ERR1913306.156245__1.156245	33043__D5HGR0__rpfC_2
ERR1913306.156253__1.156253	28117__B0MUL5__ALIPUT_00722
ERR1913306.156316__1.156316	1897011__A0A1Q6REX7__BHW41_04490
ERR1913306.156558__1.156558	165179__D1PEW8__DXB80_13775
ERR1913306.156753__1.156753	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913306.156901__1.156901	33043__A0A174DSP1__essC_2
ERR1913306.157107__1.157107	823__A6LEF3__ERS852560_01356
ERR1913306.157259__1.157259	165179__A0A174K816__DXB80_12000
ERR1913306.157268__1.157268	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913306.157402__1.157402	40518__R5DR72__RBL236_02110
ERR1913306.158104__1.158104	357276__I9FTR0__HMPREF1065_02861
ERR1913306.158336__1.158336	165179__A0A3E5E8N5__DXC61_13460
ERR1913306.158791__1.158791	165179__A0A229I2W6__PREVCOP_04332
ERR1913306.158818__1.158818	33043__A0A173YLD4__ERS852575_00535
ERR1913306.159258__1.159258	40518__R5DPA7__RBATCC27255_01319
ERR1913306.159537__1.159537	165179__A0A3E5E2B6__DXB80_02820
ERR1913306.159538__1.159538	626940__R6WN47__BHW43_00930
ERR1913306.159582__1.159582	33043__A0A174BZH6__ERS852400_01477
ERR1913306.159718__1.159718	165179__A0A3E5E3D6__DXC61_05750
ERR1913306.159845__1.159845	40518__R5E2F3__artQ
ERR1913306.159941__1.159941	33043__D5HFD3__ybbD
ERR1913306.160021__1.160021	246787__R6KCH8__csbC
ERR1913306.160149__1.160149	1680__A0A173W5Z2__DXC53_01290
ERR1913306.160176__1.160176	28117__R7JH62__BHV66_05735
ERR1913306.160250__1.160250	165179__A0A3E5DY64__CFT61_10025
ERR1913306.160252__1.160252	626940__R6WJH0__BN587_01516
ERR1913306.160338__1.160338	291644__I9I2F9__HMPREF1532_01625
ERR1913306.160406__1.160406	46228__V8CA96__RUMLAC_01531
ERR1913306.160440__1.160440	165179__A0A229I7F5__DXB80_02650
ERR1913306.160585__1.160585	216816__R5MZK3__DPC6320_1630
ERR1913306.160758__1.160758	1897011__A0A1Q6RC19__BHW41_06415
ERR1913306.161151__1.161151	1897011__A0A1Q6RG95__BHW41_02720
ERR1913306.161215__1.161215	1263000__R5ECL2__BN466_00920
ERR1913306.161427__1.161427	88431__A0A174UTT9__clcA
ERR1913306.161530__1.161530	39492__A0A174ZG93__EUBSIR_00254
ERR1913306.161588__1.161588	40518__R5DUU8__DXD86_08440
ERR1913306.161625__1.161625	165179__A0A3E5EB26__CFT61_02800
ERR1913306.161760__1.161760	1501391__GCA_000786575.1_00148
ERR1913306.161851__1.161851	28117__B0MU53__ALIPUT_00569
ERR1913306.161897__1.161897	165179__D1PDT3__PREVCOP_05375
ERR1913306.161907__1.161907	2049043__A0A316MG62__DBY37_14820
ERR1913306.161909__1.161909	1262886__R6QS75__BN563_01599
ERR1913306.162177__1.162177	387661__R5DJM3__B5F96_05590
ERR1913306.162201__1.162201	165179__A0A3E5E5M2__PREVCOP_03530
ERR1913306.162327__1.162327	39485__A0A175A273__plsX_2
ERR1913306.162379__1.162379	39485__A0A175A403__EUBELI_20577
ERR1913306.162519__1.162519	33043__D5HIS6__ERS852575_02019
ERR1913306.162546__1.162546	626940__E8LGB3__HMPREF9443_01929
ERR1913306.162626__1.162626	147206__GCF_000156215.1_00014
ERR1913306.162830__1.162830	1262886__R6Q964__BN563_01262
ERR1913306.162854__1.162854	165179__A0A3E5DWQ1__DXB80_06635
ERR1913306.163027__1.163027	820__A0A396CMY7__HMPREF1072_03009
ERR1913306.163048__1.163048	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913306.163117__1.163117	1262963__R6D9I4__BN718_00461
ERR1913306.163286__1.163286	1501391__GCA_000786575.1_00067
ERR1913306.163334__1.163334	28117__B0MTV3__BHV66_06405
ERR1913306.163478__1.163478	165179__W1I4H6__DXB80_13655
ERR1913306.163713__1.163713	172901__A0A2U1ALK5__C8D82_13135
ERR1913306.164012__1.164012	820__A0A396EWL3__ERS417307_03868
ERR1913306.164438__1.164438	823__A0A174VHT1__DHP27_04775
ERR1913306.164509__1.164509	165179__D1PDG7__DXB80_11180
ERR1913306.164579__1.164579	626940__E8LCB1__BHW43_07535
ERR1913306.164632__1.164632	1501391__GCA_000786575.1_00158
ERR1913306.164643__1.164643	246787__A0A0P0GG59__BcellWH2_02752
ERR1913306.164865__1.164865	821__A6KZK3__ERS852457_04265
ERR1913306.165292__1.165292	165179__A0A3E5A832__DXC61_13685
ERR1913306.165309__1.165309	301301__A0A395V6G4__ERS852391_00892
ERR1913306.165689__1.165689	47678__R5UT79__ERS852558_03890
ERR1913306.165963__1.165963	820__A0A3E4G8F8__ERS852421_01645
ERR1913306.166075__1.166075	626940__E8LB53__holA
ERR1913306.166206__1.166206	28117__B0MXR4__BHV66_08025
ERR1913306.166213__1.166213	165179__D1PE06__DXC61_05975
ERR1913306.166311__1.166311	165179__A0A229I1J2__DXB80_03950
ERR1913306.166782__1.166782	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913306.166820__1.166820	853__A0A173YYY4__DWZ04_09420
ERR1913306.166992__1.166992	40518__R5DZI2__DXD93_06940
ERR1913306.167112__1.167112	1501391__GCA_000786575.1_00020
ERR1913306.167243__1.167243	33043__D5HIK4__ERS852400_01112
ERR1913306.167298__1.167298	214856__A0A175A6T5__ERS852447_02658
ERR1913306.167336__1.167336	40518__R5DY98__mepA_5
ERR1913306.167356__1.167356	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913306.167702__1.167702	33043__A8SWI7__bcrC
ERR1913306.167950__1.167950	387661__K5YX23__B5F96_10165
ERR1913306.168087__1.168087	165179__A0A3E5ED28__PREVCOP_06655
ERR1913306.168107__1.168107	626940__E8LE57__HMPREF9443_01128
ERR1913306.168272__1.168272	39485__R5ZPP8__EUBELI_20334
ERR1913306.168274__1.168274	165179__D1PEQ5__PREVCOP_05711
ERR1913306.168389__1.168389	165179__A0A3E5DX15__DXC61_00345
ERR1913306.168353__1.168353	165179__A0A174IPI3__CFT61_10940
ERR1913306.168362__1.168362	39485__R5ZRT8__gmr_6
ERR1913306.168498__1.168498	165179__R6CNX7__DXB80_02200
ERR1913306.168856__1.168856	28117__R7JJM9__ALIPUT_00662
ERR1913306.168865__1.168865	165179__A0A3E5AE59__DXC61_12885
ERR1913306.169422__1.169422	1150298__A0A174KW35__cbbX
ERR1913306.169486__1.169486	291644__I9SIM2__evgS_11
ERR1913306.169569__1.169569	1535__A7VTI7__CLOLEP_01879
ERR1913306.169624__1.169624	821__A0A395UNT8__DXD64_15275
ERR1913306.169673__1.169673	818__D7I7V5__BJP75_001030
ERR1913306.169918__1.169918	165179__A0A3E5AF88__DXC61_14960
ERR1913306.170133__1.170133	165179__A0A3E4SEG4__DXC61_11235
ERR1913306.170233__1.170233	33043__A0A174DAG8__dapF
ERR1913306.170247__1.170247	165179__A0A3E5EB26__CFT61_02800
ERR1913306.170453__1.170453	165179__A0A3E5EBQ2__DXC61_01930
ERR1913306.170542__1.170542	1501391__GCA_000786575.1_00069
ERR1913306.170708__1.170708	821__A0A0P0M3U7__DXB90_14325
ERR1913306.170732__1.170732	626940__E8LGH2__DCQ00_03540
ERR1913306.170741__1.170741	1263000__R5ES99__BN466_01121
ERR1913306.170856__1.170856	165179__D1PGD2__DXC61_10875
ERR1913306.170948__1.170948	165179__R6CJG8__DXC61_09290
ERR1913306.170937__1.170937	165179__D1PE06__DXC61_05975
ERR1913306.171055__1.171055	28117__B0MY45__ALIPUT_02164
ERR1913306.171309__1.171309	574930__A0A0F5JLA9__DXB27_13590
ERR1913306.171684__1.171684	544645__A0A1U7L9U7__ispD
ERR1913306.171711__1.171711	1501391__GCA_000786575.1_00128
ERR1913306.171715__1.171715	165179__A0A3E5AE59__DXC61_12885
ERR1913306.171720__1.171720	165179__A0A3E5E643__DXB80_06030
ERR1913306.171888__1.171888	1501391__GCA_000786575.1_00001
ERR1913306.171911__1.171911	823__A0A355XLQ9__DXC05_02185
ERR1913306.171994__1.171994	1262963__R6C7W6__BN718_00713
ERR1913306.172097__1.172097	1501391__GCA_000786575.1_00025
ERR1913306.172107__1.172107	626940__E8LF01__HMPREF9443_01436
ERR1913306.172373__1.172373	165179__D1PGD2__DXC61_10875
ERR1913306.172685__1.172685	1501391__GCA_000786575.1_00079
ERR1913306.172810__1.172810	33043__A8SPT5__yfiN_2
ERR1913306.173430__1.173430	165179__A0A3E5AFJ9__CFT61_15180
ERR1913306.173478__1.173478	2049043__A0A316MJA0__DBY37_13525
ERR1913306.173580__1.173580	33043__A0A3A6J8T3__yvhJ
ERR1913306.173582__1.173582	165179__D1P9T6__PREVCOP_04016
ERR1913306.173697__1.173697	165179__A0A3E5EBM5__DXC61_02170
ERR1913306.173755__1.173755	1501391__GCA_000786575.1_00040
ERR1913306.173887__1.173887	338188__R6SVZ5__ERS852397_02415
ERR1913306.173905__1.173905	165179__A0A3E5E3D6__DXC61_05750
ERR1913306.173913__1.173913	46228__V8CGG7__RUMLAC_01115
ERR1913306.173988__1.173988	823__A0A355XJ56__DDY96_07685
ERR1913306.174080__1.174080	165179__A0A229I7F5__DXB80_02650
ERR1913306.174278__1.174278	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913306.174362__1.174362	29466__D1YPG9__HMPREF1865_00598
ERR1913306.174509__1.174509	33043__A0A173YEP6__ERS852575_00888
ERR1913306.174598__1.174598	291644__I9T671__HMPREF1071_02076
ERR1913306.174644__1.174644	1897011__A0A1Q6REX8__BHW41_04475
ERR1913306.174662__1.174662	39485__A0A174YMC1__recN
ERR1913306.174907__1.174907	40518__R5E5W1__RBL263_01034
ERR1913306.175156__1.175156	1263000__R5EUM2__BN466_01747
ERR1913306.175168__1.175168	39491__R6TQ09__DXC13_03010
ERR1913306.175281__1.175281	818__A0A139K1T6__SAMN05216253_11033
ERR1913306.175287__1.175287	301302__R5UKP4__cbiT
ERR1913306.175507__1.175507	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913306.175696__1.175696	626940__E8LG47__BHW43_08400
ERR1913306.175952__1.175952	165179__A0A174IPI3__CFT61_10940
ERR1913306.176190__1.176190	39485__A0A174YQX9__ERS852490_00864
ERR1913306.176326__1.176326	1262959__R5YSV6__BN680_00744
ERR1913306.176381__1.176381	1262911__R6GVN8__BN557_01732
ERR1913306.176507__1.176507	33043__A0A173X520__ERS852575_01617
ERR1913306.176563__1.176563	1262736__R5YJ29__BN496_01288
ERR1913306.176751__1.176751	301302__A0A0M6WTB1__M72_11101
ERR1913306.176878__1.176878	33043__D5HEE1__ERS852386_01671
ERR1913306.176957__1.176957	1263000__R5EGY6__BN466_00973
ERR1913306.177016__1.177016	33043__D5HDL8__ERS852575_02529
ERR1913306.177039__1.177039	33043__A0A174FIJ8__ERS852445_02217
ERR1913306.177080__1.177080	853__R6QDR1__C4N27_08170
ERR1913306.177092__1.177092	1520815__A0A1I3IGL8__SAMN02910435_00170
ERR1913306.177143__1.177143	33043__A0A173W9Y8__ERS852575_00062
ERR1913306.177231__1.177231	39485__A0A174ZPH7__ERS852490_01992
ERR1913306.177289__1.177289	33043__D5HIC8__vspIM
ERR1913306.177671__1.177671	853__C7H1R8__DW905_06675
ERR1913306.177851__1.177851	853__A0A2A7B1Y7__C7K05_11930
ERR1913306.177854__1.177854	165179__A0A174IYW3__DXC61_01235
ERR1913306.177888__1.177888	165179__A0A174NK27__PREVCOP_06433
ERR1913306.177925__1.177925	165179__D1PCT4__DXB80_09470
ERR1913306.177926__1.177926	40518__R5DTH7__DXD83_02405
ERR1913306.178102__1.178102	165179__A0A3E5E2S3__DXB80_03455
ERR1913306.178111__1.178111	1263000__R5ES99__BN466_01121
ERR1913306.178218__1.178218	33043__A0A174B7D6__ERS852400_01331
ERR1913306.178439__1.178439	357276__I9FRW5__B5F95_21685
ERR1913306.178503__1.178503	28116__D7K2E0__endOF2_3
ERR1913306.178933__1.178933	820__A0A374MXK3__HMPREF1072_00166
ERR1913306.179046__1.179046	46228__B5CPY3__DXD17_03535
ERR1913306.179091__1.179091	165179__D1P9T6__PREVCOP_04016
ERR1913306.179149__1.179149	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913306.179192__1.179192	165179__A0A3E5E2V4__PREVCOP_05070
ERR1913306.179333__1.179333	33043__A0A173W4M0__dnaD
ERR1913306.179568__1.179568	28117__R7JIY2__BHV66_06465
ERR1913306.179619__1.179619	165179__A0A3E5A554__DXB80_13805
ERR1913306.179823__1.179823	28117__B0MVL5__BHV66_01660
ERR1913306.179827__1.179827	165179__A0A3E5AE59__DXC61_12885
ERR1913306.180437__1.180437	165179__A0A174MTF2__DXC61_13200
ERR1913306.180384__1.180384	2049043__A0A316N153__DBY37_01925
ERR1913306.180542__1.180542	165179__D1PES9__DXB80_11585
ERR1913306.180519__1.180519	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913306.180722__1.180722	706562__GCA_900112995.1_01884
ERR1913306.180779__1.180779	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913306.180785__1.180785	1680__R5GZF2__DXC60_01925
ERR1913306.180823__1.180823	216816__Q8G4D7__DD721_10575
ERR1913306.180926__1.180926	40518__R5DXI4__DXD86_07420
ERR1913306.181208__1.181208	487174__K0WXB5__DIT83_09520
ERR1913306.181484__1.181484	853__A0A329UEG4__CHR60_00585
ERR1913306.181563__1.181563	1262961__R6EF25__BN710_00125
ERR1913306.181732__1.181732	853__E2ZJT1__C4N23_03535
ERR1913306.181883__1.181883	165179__A0A229I1J2__DXB80_03950
ERR1913306.182103__1.182103	626940__E8LD82__BHW43_05615
ERR1913306.182391__1.182391	853__A0A2A7B1Y7__C7K05_11930
ERR1913306.182415__1.182415	387090__S0F8B2__BACCOPRO_02129
ERR1913306.182618__1.182618	28117__R7JJM9__ALIPUT_00662
ERR1913306.182653__1.182653	384638__B7APR0__BACPEC_00666
ERR1913306.182687__1.182687	46228__V8C484__HMPREF1202_01707
ERR1913306.182938__1.182938	165179__D1PCU4__PREVCOP_05029
ERR1913306.183132__1.183132	2049043__A0A316MXK5__DBY37_06175
ERR1913306.183159__1.183159	33043__D5HDZ9__ERS852386_00394
ERR1913306.183265__1.183265	33043__A0A174B7D6__ERS852400_01331
ERR1913306.183579__1.183579	853__C7H7F8__yccM_1
ERR1913306.183639__1.183639	1501391__GCA_000786575.1_00081
ERR1913306.183730__1.183730	1501391__GCA_000786575.1_00015
ERR1913306.183732__1.183732	338188__R6RPM1__BACFIN_05401
ERR1913306.183988__1.183988	165179__R6C330__DXC61_04975
ERR1913306.184096__1.184096	116085__D4J8E0__DW747_09165
ERR1913306.184128__1.184128	28117__B0MZ14__ALIPUT_02383
ERR1913306.184478__1.184478	33043__A0A173WXS1__ERS852445_00262
ERR1913306.184499__1.184499	33043__A0A173WTV6__ERS852400_02153
ERR1913306.184514__1.184514	33043__A8SQU6__ERS852386_01237
ERR1913306.184582__1.184582	165179__R6C3K4__PREVCOP_05795
ERR1913306.184685__1.184685	33043__A0A173WWJ5__ERS852386_00339
ERR1913306.184744__1.184744	823__A6LER2__ERS852513_00365
ERR1913306.184815__1.184815	1501391__GCA_000786575.1_00152
ERR1913306.184858__1.184858	2173__A0A1D2WVF8__Msm_1030
ERR1913306.184914__1.184914	33043__D5HHY4__luxQ_1
ERR1913306.184962__1.184962	853__A0A2A7B1Y7__C7K05_11930
ERR1913306.185144__1.185144	458033__GCA_001482755.1_02203
ERR1913306.185304__1.185304	165179__D1PEQ5__PREVCOP_05711
ERR1913306.185649__1.185649	204516__U6RH18__HMPREF1534_01847
ERR1913306.185683__1.185683	328814__GCA_004558275.1_00236
ERR1913306.185714__1.185714	165179__A0A3E5EDS1__DXC61_03115
ERR1913306.185739__1.185739	216816__A0A0A6VPB9__B624_1780
ERR1913306.185932__1.185932	28117__B0MTH2__ALIPUT_00061
ERR1913306.186080__1.186080	1501391__GCA_000786575.1_00040
ERR1913306.186155__1.186155	165179__D1PE06__DXC61_05975
ERR1913306.186117__1.186117	1501391__GCA_000786575.1_00060
ERR1913306.186177__1.186177	853__A0A173T751__C4N24_10280
ERR1913306.186293__1.186293	1472761__GCA_002159295.1_01924
ERR1913306.186296__1.186296	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913306.186256__1.186256	820__A0A174TRB5__DXD40_11305
ERR1913306.186318__1.186318	165179__D1P9T6__PREVCOP_04016
ERR1913306.186477__1.186477	410072__C0BBR9__yqeC
ERR1913306.187030__1.187030	291644__I9T9F4__HMPREF1532_02079
ERR1913306.187440__1.187440	33043__A0A174GGF8__dcuS_1
ERR1913306.187565__1.187565	165179__A0A174IPI3__CFT61_10940
ERR1913306.187764__1.187764	1501391__GCA_000786575.1_00092
ERR1913306.188032__1.188032	33043__A0A173WWJ5__ERS852386_00339
ERR1913306.188037__1.188037	1501391__GCA_000786575.1_00106
ERR1913306.188096__1.188096	1262992__R5D4D2__BN795_00592
ERR1913306.188347__1.188347	165179__D1PGD2__DXC61_10875
ERR1913306.188557__1.188557	165179__D1PDJ4__DXB80_08505
ERR1913306.188853__1.188853	47678__R5U8Y1__BACCAC_02615
ERR1913306.188854__1.188854	39485__C4Z389__ERS852490_01920
ERR1913306.188907__1.188907	165179__D1PDJ4__DXB80_08505
ERR1913306.188946__1.188946	165179__D1P9T6__PREVCOP_04016
ERR1913306.188915__1.188915	33043__D5HHE4__ERS852445_02332
ERR1913306.188933__1.188933	165179__A0A3E5EBQ2__DXC61_01930
ERR1913306.189061__1.189061	169435__A0A174NHT9__hbpA_1
ERR1913306.189278__1.189278	823__C7XA51__BDI_0499
ERR1913306.189348__1.189348	39488__A0A285PP79__murD
ERR1913306.189406__1.189406	301302__A0A173R048__M72_22311
ERR1913306.189720__1.189720	165179__D1PEW8__DXB80_13775
ERR1913306.189811__1.189811	165179__A0A3E5E2S3__DXB80_03455
ERR1913306.189941__1.189941	165179__D1PCT4__DXB80_09470
ERR1913306.190305__1.190305	33043__D5HI86__ERS852575_00288
ERR1913306.190618__1.190618	33043__A0A174GPT0__plsC_2
ERR1913306.190653__1.190653	2049043__A0A316MQN5__DBY37_08530
ERR1913306.190812__1.190812	301302__R5UPH9__M72_00521
ERR1913306.191099__1.191099	33043__D5HGZ8__nnr
ERR1913306.191156__1.191156	544644__GCA_001915615.1_02249
ERR1913306.191254__1.191254	853__A0A173YYY4__DWZ04_09420
ERR1913306.191269__1.191269	1897011__A0A1Q6REX0__BHW41_04225
ERR1913306.191773__1.191773	2173__A0A1D2WWQ7__METSMIF1_03169
ERR1913306.191872__1.191872	1262959__R5XX46__BN680_00280
ERR1913306.191945__1.191945	165179__A0A3E4SID1__DXB80_01945
ERR1913306.192146__1.192146	33043__A0A173WCG7__ERS852575_01602
ERR1913306.192252__1.192252	671267__R9ICM6__C802_00589
ERR1913306.192323__1.192323	820__A0A139KEW8__DXB64_06405
ERR1913306.192417__1.192417	820__A0A139JUD3__DXC91_19380
ERR1913306.192503__1.192503	823__E1YV41__BDI_1376
ERR1913306.193177__1.193177	214856__E4MF20__Alfi_0697
ERR1913306.193535__1.193535	40518__R5E4X1__DXD93_05270
ERR1913306.193701__1.193701	216816__B7GPH6__DXC74_08225
ERR1913306.193775__1.193775	39485__C4Z0S8__hisK
ERR1913306.193814__1.193814	165179__D1PCY7__DXB80_02765
ERR1913306.193886__1.193886	33043__A0A173WWJ5__ERS852386_00339
ERR1913306.193935__1.193935	853__E2ZJT1__C4N23_03535
ERR1913306.194046__1.194046	40518__R5DZB3__RB5AMG_01719
ERR1913306.194148__1.194148	165179__D1PGU8__PREVCOP_06463
ERR1913306.194277__1.194277	40518__R5E1J7__RBL236_02062
ERR1913306.194279__1.194279	165179__A0A3E4SG51__DXC61_10575
ERR1913306.194233__1.194233	1501391__GCA_000786575.1_00028
ERR1913306.194433__1.194433	338188__K5CLC2__BACFIN_05485
ERR1913306.194529__1.194529	40518__R5DXW3__DXD86_07900
ERR1913306.194881__1.194881	1501391__GCA_000786575.1_00074
ERR1913306.195027__1.195027	33043__A0A174H1B6__ERS852575_02702
ERR1913306.195217__1.195217	40518__R5DUU8__DXD86_08440
ERR1913306.195340__1.195340	165179__A0A3E5DX15__DXC61_00345
ERR1913306.195355__1.195355	165179__A0A174K816__DXB80_12000
ERR1913306.195370__1.195370	626940__E8LC41__BN587_00878
ERR1913306.195451__1.195451	387090__S0F8B2__BACCOPRO_02129
ERR1913306.195453__1.195453	626940__E8LC18__BHW43_04640
ERR1913306.195836__1.195836	626940__E8LCE0__BHW43_01670
ERR1913306.195922__1.195922	1501391__GCA_000786575.1_00087
ERR1913306.196103__1.196103	1262961__R6EHD0__BN710_00527
ERR1913306.196139__1.196139	1262959__R5XVG5__BN680_00125
ERR1913306.196339__1.196339	853__A8SCP3__C4N26_07960
ERR1913306.196451__1.196451	1262919__R5PMJ7__BN465_00467
ERR1913306.197099__1.197099	853__A0A2A7B1Y7__C7K05_11930
ERR1913306.197064__1.197064	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913306.197204__1.197204	165179__D1P8Q2__trpF
ERR1913306.197339__1.197339	165179__A0A174W369__PREVCOP_04548
ERR1913306.197371__1.197371	165179__A0A229I2W6__PREVCOP_04332
ERR1913306.197398__1.197398	165179__D1P9T6__PREVCOP_04016
ERR1913306.197642__1.197642	357276__I9FRW5__B5F95_21685
ERR1913306.197726__1.197726	1262992__R5CXM7__BN795_01016
ERR1913306.197740__1.197740	165179__A0A3E5E643__DXB80_06030
ERR1913306.197884__1.197884	1897011__A0A1Q6RES7__BHW41_04275
ERR1913306.198079__1.198079	706562__GCA_900112995.1_02148
ERR1913306.198133__1.198133	165179__D1PE06__DXC61_05975
ERR1913306.198205__1.198205	853__A0A173T6P2__DWZ46_14595
ERR1913306.198435__1.198435	1262700__R5XC07__BN695_01332
ERR1913306.198787__1.198787	39485__C4Z028__ERS852492_00100
ERR1913306.198928__1.198928	165179__A0A3E5DZ45__DXC61_02820
ERR1913306.199094__1.199094	1262911__R6HJS5__BN557_00288
ERR1913306.199221__1.199221	165179__A0A174NK27__PREVCOP_06433
ERR1913306.199286__1.199286	371601__A0A139LNM6__BN891_32770
ERR1913306.199400__1.199400	1262743__R5CEY1__BN727_01432
ERR1913306.199664__1.199664	40518__R5DMZ0__DXD83_05610
ERR1913306.199715__1.199715	165179__A0A174W369__PREVCOP_04548
