ERR1913205.32__1.32	649756__D4MXW8__gpr
ERR1913205.254792__1.254792	214856__A0A174AYS4__ERS852447_01192
ERR1913205.254815__1.254815	1262882__R5N211__BN519_01033
ERR1913205.254918__1.254918	214856__I3YMC8__ERS852447_02666
ERR1913205.255198__1.255198	214856__R6Y9P5__ERS852559_01811
ERR1913205.255204__1.255204	214856__I3YMC8__ERS852447_02666
ERR1913205.255301__1.255301	216816__B7GQF0__CE170_00160
ERR1913205.255315__1.255315	47678__R5U9Z6__HMPREF1061_03205
ERR1913205.255323__1.255323	214856__R6YC22__ERS852447_01215
ERR1913205.255435__1.255435	39492__D4JR31__EUBSIR_00106
ERR1913205.255647__1.255647	1262882__R5N0H9__BN519_00764
ERR1913205.255796__1.255796	1965542__A0A1Y4V077__B5E53_15785
ERR1913205.256063__1.256063	214856__R6Z590__ERS852447_01059
ERR1913205.256068__1.256068	214856__I3YMN6__Alfi_1938
ERR1913205.256091__1.256091	214856__R6Y0B9__ERS852559_00164
ERR1913205.256121__1.256121	214856__R6Y1K2__ERS852447_02306
ERR1913205.256329__1.256329	1501391__GCA_000786575.1_00055
ERR1913205.256409__1.256409	1262911__R6GT12__BN557_01070
ERR1913205.256437__1.256437	214856__R6XYY8__ERS852447_01722
ERR1913205.256459__1.256459	214856__I3YPQ6__Alfi_2714
ERR1913205.256466__1.256466	1262882__R5MEN2__BN519_00200
ERR1913205.256505__1.256505	214856__I3YPN3__ERS852447_01395
ERR1913205.256897__1.256897	239935__A0A2N8HQR1__Amuc_0287
ERR1913205.256933__1.256933	214856__I3YPN3__ERS852447_01395
ERR1913205.257026__1.257026	28118__F9Z7M5__B5F99_15930
ERR1913205.257100__1.257100	1262882__R5MPY4__BN519_01128
ERR1913205.257208__1.257208	214856__I3YMN6__Alfi_1938
ERR1913205.257173__1.257173	410072__C0BBL7__ERS852389_00531
ERR1913205.257294__1.257294	214856__A0A175A6T5__ERS852447_02658
ERR1913205.257522__1.257522	239935__A0A2N8I3G2__CXT89_00720
ERR1913205.257742__1.257742	214856__I3YMB7__Alfi_1811
ERR1913205.258052__1.258052	214856__R6Z5D0__resA_4
ERR1913205.258082__1.258082	487174__K0X429__HMPREF9448_00932
ERR1913205.258088__1.258088	214856__R6Z5D0__resA_4
ERR1913205.258268__1.258268	301302__R5V7D6__tagA
ERR1913205.258444__1.258444	1235793__R9KSF0__C809_01679
ERR1913205.258525__1.258525	1262882__R5MNC1__BN519_00818
ERR1913205.258539__1.258539	214856__I3YPQ8__ERS852447_01371
ERR1913205.258554__1.258554	214856__A0A175A6T5__ERS852447_02658
ERR1913205.259013__1.259013	214856__I3YPN9__ERS852447_01389
ERR1913205.259241__1.259241	147206__GCF_000156215.1_02003
ERR1913205.259251__1.259251	214856__A0A173ZUI6__ERS852447_00955
ERR1913205.259281__1.259281	28118__R6F051__NCTC10826_00301
ERR1913205.259564__1.259564	487174__K0WRR5__DDY40_06130
ERR1913205.259649__1.259649	214856__I3YMB7__Alfi_1811
ERR1913205.259966__1.259966	214856__A0A174CRY5__ERS852559_01060
ERR1913205.260100__1.260100	1262882__R5N526__BN519_01603
ERR1913205.260197__1.260197	214856__R6XP73__ERS852447_00886
ERR1913205.260226__1.260226	214856__A0A174ZLW6__ERS852559_01424
ERR1913205.260505__1.260505	649756__B0P4Q3__ERS852425_01640
ERR1913205.260518__1.260518	214856__I3YPN9__ERS852447_01389
ERR1913205.260673__1.260673	214856__R5UN64__ERS852447_02669
ERR1913205.260940__1.260940	214856__R6XUN2__rcsC_1
ERR1913205.260945__1.260945	214856__R5UN64__ERS852447_02669
ERR1913205.261066__1.261066	1262882__R5MSI7__BN519_01601
ERR1913205.261075__1.261075	1262882__R5N3H1__BN519_01121
ERR1913205.261092__1.261092	28118__F9Z4Q7__DER54_08070
ERR1913205.261126__1.261126	214856__R6XKT4__ERS852559_01719
ERR1913205.261287__1.261287	214856__R6Z186__ERS852447_00718
ERR1913205.261260__1.261260	1262911__R6GZX7__BN557_00838
ERR1913205.261270__1.261270	239935__A0A2N8IRW0__A4V05_11620
ERR1913205.261427__1.261427	214856__I3YPR5__ERS852447_01364
ERR1913205.261733__1.261733	239935__A0A2N8HPX2__CXT90_09930
ERR1913205.261864__1.261864	214856__R6XS02__ERS852447_01685
ERR1913205.261872__1.261872	28116__A0A0J9FH50__BACOVA_00317
ERR1913205.261946__1.261946	214856__A0A174EQR4__rsmA
ERR1913205.261974__1.261974	214856__I3YPN0__ERS852447_01398
ERR1913205.262219__1.262219	214856__I3YPI7__pepD_1
ERR1913205.262356__1.262356	239935__A0A3F3KBB8__CXU16_06755
ERR1913205.262548__1.262548	214856__R6Z3P8__ERS852559_01737
ERR1913205.262775__1.262775	214856__A0A174AYS4__ERS852447_01192
ERR1913205.262780__1.262780	301302__A0A0M6WJB3__ERS852420_02173
ERR1913205.262789__1.262789	214856__I3YPQ0__ERS852447_01379
ERR1913205.262905__1.262905	1501391__GCA_000786575.1_00001
ERR1913205.263013__1.263013	1262882__R5N089__BN519_00546
ERR1913205.263175__1.263175	1501391__GCA_000786575.1_00155
ERR1913205.263417__1.263417	818__R9HBA6__HMPREF2534_04317
ERR1913205.263461__1.263461	1628085__A0A374VUI1__C7386_11920
ERR1913205.263803__1.263803	39492__A0A174ZHV5__msbA_2
ERR1913205.263905__1.263905	1262882__R5MFA5__BN519_00331
ERR1913205.264048__1.264048	1262882__R5MF58__BN519_00393
ERR1913205.264065__1.264065	214856__I3YMN6__Alfi_1938
ERR1913205.264067__1.264067	853__D4KAK8__C4N21_13380
ERR1913205.264324__1.264324	39492__R6RT40__prkC_3
ERR1913205.264253__1.264253	1262882__R5MHZ2__BN519_00742
ERR1913205.264539__1.264539	239935__A0A2N8HSC0__CXU06_05505
ERR1913205.264832__1.264832	1501391__GCA_000786575.1_00042
ERR1913205.265042__1.265042	214856__R6XNE7__ERS852447_02267
ERR1913205.265133__1.265133	214856__I3YMC8__ERS852447_02666
ERR1913205.265476__1.265476	214856__R6XS46__ERS852559_00812
ERR1913205.265485__1.265485	214856__R6Y2Y4__ERS852447_01086
ERR1913205.265697__1.265697	1262882__R5MEN2__BN519_00200
ERR1913205.265719__1.265719	214856__I3YPQ0__ERS852447_01379
ERR1913205.265870__1.265870	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1913205.265819__1.265819	39491__A0A396FBR6__DXC13_08575
ERR1913205.266108__1.266108	1262882__R5MJM8__BN519_01064
ERR1913205.266162__1.266162	1262882__R5MJM8__BN519_01064
ERR1913205.266185__1.266185	1150298__A0A174Q3G7__hyaD_2
ERR1913205.266309__1.266309	214856__I3YPN9__ERS852447_01389
ERR1913205.266372__1.266372	214856__R6YD52__ERS852447_02171
ERR1913205.266445__1.266445	214856__R6YC22__ERS852447_01215
ERR1913205.266508__1.266508	214856__I3YMN6__Alfi_1938
ERR1913205.266522__1.266522	214856__R6XNE7__ERS852447_02267
ERR1913205.266866__1.266866	239935__A0A2N8HPS5__Amuc_0950
ERR1913205.266914__1.266914	239935__A0A2N8ITX2__CXT86_11265
ERR1913205.267174__1.267174	2293125__A0A374BUJ0__DW917_13495
ERR1913205.267488__1.267488	214856__I3YPR5__ERS852447_01364
ERR1913205.267532__1.267532	1262882__R5MRT2__BN519_01494
ERR1913205.267617__1.267617	47678__A5ZGW9__HMPREF1061_01068
ERR1913205.267660__1.267660	214856__I3YPR2__Alfi_2720
ERR1913205.267661__1.267661	214856__I3YPQ6__Alfi_2714
ERR1913205.267841__1.267841	818__Q8A3I3__HMPREF2534_00068
ERR1913205.268065__1.268065	214856__R6XTZ7__ERS852447_02314
ERR1913205.268288__1.268288	214856__I3YPR6__Alfi_2724
ERR1913205.268360__1.268360	214856__R6Y6H8__ERS852447_01719
ERR1913205.268368__1.268368	301302__R5UNJ6__M72_26701
ERR1913205.268375__1.268375	410072__A0A174IE93__DXD67_12120
ERR1913205.268608__1.268608	818__A0A0P0FT56__BSIG_1453
ERR1913205.268688__1.268688	214856__R6YC22__ERS852447_01215
ERR1913205.268739__1.268739	214856__I3YPR6__Alfi_2724
ERR1913205.268740__1.268740	214856__I3YPN9__ERS852447_01389
ERR1913205.268702__1.268702	214856__I3YPQ6__Alfi_2714
ERR1913205.268795__1.268795	214856__A0A174ZLW6__ERS852559_01424
ERR1913205.268849__1.268849	1262882__R5MEW7__BN519_00010
ERR1913205.268901__1.268901	214856__R6Y2Y4__ERS852447_01086
ERR1913205.268956__1.268956	1262882__R5N3T7__BN519_01188
ERR1913205.269086__1.269086	47678__R5UZM4__DW706_15680
ERR1913205.269120__1.269120	239935__A0A2N8HTZ8__CXU09_01270
ERR1913205.269157__1.269157	649756__B0NYW1__DCR88_01045
ERR1913205.269313__1.269313	1262911__R6GZX7__BN557_00838
ERR1913205.269621__1.269621	214856__R6Y6H8__ERS852447_01719
ERR1913205.269648__1.269648	214856__R6XS46__ERS852559_00812
ERR1913205.269679__1.269679	1262882__R5MIQ8__BN519_01036
ERR1913205.269735__1.269735	214856__I3YPQ0__ERS852447_01379
ERR1913205.269744__1.269744	818__A0A0P0F7K1__ERS852461_02719
ERR1913205.269874__1.269874	214856__I3YPP0__ERS852447_01388
ERR1913205.269956__1.269956	1262911__R6GZX7__BN557_00838
ERR1913205.269961__1.269961	239935__R7DVL7__CXT93_01180
ERR1913205.270027__1.270027	214856__A0A174A0P3__ERS852447_00994
ERR1913205.270306__1.270306	1262882__R5N349__BN519_01037
ERR1913205.270478__1.270478	214856__I3YPR5__ERS852447_01364
ERR1913205.270487__1.270487	214856__R6XTZ7__ERS852447_02314
ERR1913205.270558__1.270558	1501391__GCA_000786575.1_00077
ERR1913205.270575__1.270575	214856__I3YPQ8__ERS852447_01371
ERR1913205.270637__1.270637	214856__I3YPI7__pepD_1
ERR1913205.270659__1.270659	214856__R6XTZ7__ERS852447_02314
ERR1913205.270815__1.270815	214856__R6Y7P0__ERS852447_00307
ERR1913205.270816__1.270816	328814__GCA_004558275.1_00987
ERR1913205.271236__1.271236	1262882__R5MND9__BN519_00831
ERR1913205.271295__1.271295	649756__D4MVD8__ERS852475_00940
ERR1913205.271341__1.271341	487174__K0WXG8__DIT83_09300
ERR1913205.271490__1.271490	301302__R5V4M3__ERS852420_01171
ERR1913205.271503__1.271503	328814__GCA_004558275.1_00236
ERR1913205.271591__1.271591	214856__R6Z186__ERS852447_00718
ERR1913205.272045__1.272045	47678__A0A3E5B7J9__HMPREF1061_03888
ERR1913205.272129__1.272129	818__A0A174VV39__BT_3492
ERR1913205.272260__1.272260	47678__A5ZI88__BACCAC_02617
ERR1913205.272280__1.272280	1262882__R5MJJ9__BN519_01035
ERR1913205.272305__1.272305	214856__A0A173W3Y5__ERS852559_02032
ERR1913205.272313__1.272313	239935__A0A2N8HT18__CXT93_06135
ERR1913205.272344__1.272344	214856__R6Z320__ERS852447_02148
ERR1913205.272626__1.272626	1897011__A0A1Q6RH12__BHW41_01505
ERR1913205.272694__1.272694	328814__GCA_004558275.1_01001
ERR1913205.272831__1.272831	239935__R7DVL7__CXT93_01180
ERR1913205.272833__1.272833	214856__I3YMN6__Alfi_1938
ERR1913205.272906__1.272906	410072__A0A3E4GPD6__DXD67_10205
ERR1913205.273089__1.273089	214856__R6Y8K1__ERS852447_02509
ERR1913205.273231__1.273231	1262882__R5MSQ8__BN519_01647
ERR1913205.273354__1.273354	328813__A0A1Y3QZ64__B5G41_14235
ERR1913205.273328__1.273328	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913205.273525__1.273525	214856__I3YPQ8__ERS852447_01371
ERR1913205.273541__1.273541	1501391__GCA_000786575.1_00047
ERR1913205.273500__1.273500	1262882__R5MEW7__BN519_00010
ERR1913205.273673__1.273673	1150298__A0A174MSM0__toxA_2
ERR1913205.273825__1.273825	301302__R5VCU3__cbiK_2
ERR1913205.273789__1.273789	214856__A0A174EQR4__rsmA
ERR1913205.273952__1.273952	214856__R6Z7Q9__ERS852447_02172
ERR1913205.274062__1.274062	214856__R5UN64__ERS852447_02669
ERR1913205.274109__1.274109	47678__A5ZJ80__BACCAC_02965
ERR1913205.274137__1.274137	818__Q8A335__HMPREF2534_01154
ERR1913205.274275__1.274275	214856__R6Y6H8__ERS852447_01719
ERR1913205.274325__1.274325	1262882__R5MZ58__BN519_00525
ERR1913205.274341__1.274341	214856__I3YPP3__Alfi_2701
ERR1913205.274395__1.274395	1262882__R5N5W2__BN519_00074
ERR1913205.274413__1.274413	1262882__R5MLT4__BN519_01496
ERR1913205.274445__1.274445	33025__A0A395J910__C8D73_11128
ERR1913205.274590__1.274590	214856__A0A173YXX1__ERS852559_01651
ERR1913205.274641__1.274641	214856__R6Y6H8__ERS852447_01719
ERR1913205.274804__1.274804	1262882__R5N3T7__BN519_01188
ERR1913205.275007__1.275007	214856__I3YPP0__ERS852447_01388
ERR1913205.274986__1.274986	1262889__R7HAA8__BN634_00776
ERR1913205.275068__1.275068	292800__G9YLJ8__ADH75_09915
ERR1913205.275087__1.275087	214856__A0A173Z1B0__ERS852447_00765
ERR1913205.275223__1.275223	328813__A0A1Y3QZ64__B5G41_14235
ERR1913205.275262__1.275262	214856__R5UN64__ERS852447_02669
ERR1913205.275499__1.275499	301302__A0A0M6WVU2__M72_13551
ERR1913205.275509__1.275509	239935__R7E524__CXT91_06180
ERR1913205.275416__1.275416	214856__I3YMN6__Alfi_1938
ERR1913205.275422__1.275422	301302__A0A173SCU7__M72_12871
ERR1913205.275451__1.275451	239935__A0A2N8IMC9__CXU09_02095
ERR1913205.275665__1.275665	214856__I3YK71__ERS852559_02472
ERR1913205.275634__1.275634	214856__I3YMN6__Alfi_1938
ERR1913205.275640__1.275640	1262882__R5MM10__BN519_01679
ERR1913205.275629__1.275629	214856__A0A174EQR4__rsmA
ERR1913205.275695__1.275695	39492__D4JQU6__ERS852540_02194
ERR1913205.276003__1.276003	214856__R6Y8K1__ERS852447_02509
ERR1913205.276093__1.276093	47678__R5UAI1__BACCAC_01922
ERR1913205.276212__1.276212	214856__R5UN64__ERS852447_02669
ERR1913205.276237__1.276237	214856__I3YPR6__Alfi_2724
ERR1913205.276241__1.276241	214856__I3YPI7__pepD_1
ERR1913205.276326__1.276326	214856__R6XS46__ERS852559_00812
ERR1913205.276411__1.276411	1262882__R5MFN3__BN519_00392
ERR1913205.276416__1.276416	1262882__R5N4I8__BN519_01293
ERR1913205.276592__1.276592	214856__A0A174AYS4__ERS852447_01192
ERR1913205.276566__1.276566	487174__K0XER9__DDY40_08885
ERR1913205.276578__1.276578	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913205.276887__1.276887	239935__A0A2N8HQR1__Amuc_0287
ERR1913205.276889__1.276889	214856__R6Y7P0__ERS852447_00307
ERR1913205.276934__1.276934	39492__D4JR08__ERS852540_02467
ERR1913205.276953__1.276953	1897011__A0A1Q6RF44__BHW41_03065
ERR1913205.277024__1.277024	214856__R6YBX3__msbA_2
ERR1913205.277184__1.277184	1262882__R5N4I5__BN519_01288
ERR1913205.277188__1.277188	1160721__W0U5X6__RBI_I01796
ERR1913205.277228__1.277228	301302__A0A0M6X038__M72_18501
ERR1913205.277242__1.277242	214856__R6Y2Y4__ERS852447_01086
ERR1913205.277311__1.277311	1262882__R5MSX6__BN519_01697
ERR1913205.277333__1.277333	214856__I3YPP3__Alfi_2701
ERR1913205.277384__1.277384	821__A0A395VIK7__BVU_1225
ERR1913205.277594__1.277594	821__A0A395UNT8__DXD64_15275
ERR1913205.277678__1.277678	214856__I3YPR6__Alfi_2724
ERR1913205.277683__1.277683	1262743__R5C054__BN727_01980
ERR1913205.277759__1.277759	487174__K0WZP2__DDY40_04000
ERR1913205.277829__1.277829	214856__A0A174ZLW6__ERS852559_01424
ERR1913205.277896__1.277896	328814__GCA_004558275.1_01004
ERR1913205.277940__1.277940	214856__R6Y6H8__ERS852447_01719
ERR1913205.278089__1.278089	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913205.278214__1.278214	1262882__R5N211__BN519_01033
ERR1913205.278233__1.278233	47678__R5UT83__DW706_09750
ERR1913205.278404__1.278404	487174__K0WX70__DDY40_01710
ERR1913205.278754__1.278754	487174__K0WUZ1__DIT83_10815
ERR1913205.278817__1.278817	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913205.278865__1.278865	1235835__R9LCU2__C814_02677
ERR1913205.279098__1.279098	214856__R5UN64__ERS852447_02669
ERR1913205.279144__1.279144	1262882__R5ML49__BN519_01361
ERR1913205.279317__1.279317	39488__A0A173U8N3__yhbU_1
ERR1913205.279318__1.279318	239935__A0A2N8ITX2__CXT86_11265
ERR1913205.279472__1.279472	214856__A0A175A6T5__ERS852447_02658
ERR1913205.279502__1.279502	1235835__R9LCU2__C814_02677
ERR1913205.279620__1.279620	487174__K0X2Q8__DDY40_04590
ERR1913205.279670__1.279670	214856__R6XP73__ERS852447_00886
ERR1913205.279926__1.279926	1501391__GCA_000786575.1_00123
ERR1913205.279945__1.279945	487174__K0XH97__HMPREF9448_01909
ERR1913205.279947__1.279947	487174__K0XJ34__DDY40_06890
ERR1913205.279972__1.279972	214856__R6Y1K2__ERS852447_02306
ERR1913205.280020__1.280020	214856__A0A173W3Y5__ERS852559_02032
ERR1913205.280054__1.280054	239935__A0A2N8HTZ8__CXU09_01270
ERR1913205.280186__1.280186	1262882__R5MYP8__BN519_00439
ERR1913205.280211__1.280211	39492__D4JX40__EUBSIR_00020
ERR1913205.280288__1.280288	1262882__R5MSX6__BN519_01697
ERR1913205.280301__1.280301	1262882__R5MFY4__BN519_00529
ERR1913205.280331__1.280331	487174__K0X3A6__HMPREF9448_02725
ERR1913205.280376__1.280376	33025__A0A395J973__C8D73_11010
ERR1913205.280379__1.280379	301302__A0A0M6WTN6__ERS852420_01659
ERR1913205.280469__1.280469	214856__I3YPN9__ERS852447_01389
ERR1913205.280626__1.280626	1262882__R5MGX3__BN519_00046
ERR1913205.280702__1.280702	214856__I3YPN0__ERS852447_01398
ERR1913205.280705__1.280705	487174__K0X9T7__HMPREF9448_00996
ERR1913205.280812__1.280812	214856__R6XKW1__ERS852559_01141
ERR1913205.280991__1.280991	214856__A0A174AYS4__ERS852447_01192
ERR1913205.281041__1.281041	239935__R7DVL7__CXT93_01180
ERR1913205.281104__1.281104	1262882__R5MYS0__BN519_00284
ERR1913205.281135__1.281135	214856__I3YPP0__ERS852447_01388
ERR1913205.281203__1.281203	214856__I3YMN6__Alfi_1938
ERR1913205.281328__1.281328	214856__R6XKW1__ERS852559_01141
ERR1913205.281496__1.281496	214856__A0A174ZLW6__ERS852559_01424
ERR1913205.281758__1.281758	1262882__R5MT08__BN519_01706
ERR1913205.281815__1.281815	214856__R6Y6H8__ERS852447_01719
ERR1913205.281934__1.281934	458033__GCA_001482755.1_02203
ERR1913205.281978__1.281978	214856__R6Y6H8__ERS852447_01719
ERR1913205.281996__1.281996	239935__A0A2N8HQR1__Amuc_0287
ERR1913205.282002__1.282002	328814__GCA_004558275.1_00998
ERR1913205.282168__1.282168	214856__A0A174CRY5__ERS852559_01060
ERR1913205.282178__1.282178	214856__I3YPN3__ERS852447_01395
ERR1913205.282261__1.282261	649756__B0P476__ERS852475_00941
ERR1913205.282440__1.282440	328814__GCA_004558275.1_00998
ERR1913205.282806__1.282806	214856__R6XKW1__ERS852559_01141
ERR1913205.282974__1.282974	1262882__R5MEK3__BN519_00296
ERR1913205.283199__1.283199	1262882__R5N526__BN519_01603
ERR1913205.283303__1.283303	214856__I3YPQ4__Alfi_2712
ERR1913205.283576__1.283576	1262882__R5MMP8__BN519_01654
ERR1913205.283528__1.283528	39492__D4JVZ6__truB
ERR1913205.283701__1.283701	1262882__R5MFN3__BN519_00392
ERR1913205.283671__1.283671	1262882__R5MPJ1__BN519_01023
ERR1913205.283689__1.283689	487174__K0WYI1__DDY40_08675
ERR1913205.283752__1.283752	214856__R6XQX8__ERS852559_02550
ERR1913205.283772__1.283772	1262882__R5N0F4__BN519_00593
ERR1913205.283787__1.283787	214856__R6Y2Y4__ERS852447_01086
ERR1913205.283793__1.283793	487174__K0X3L3__DDY40_11345
ERR1913205.285084__1.285084	1965604__A0A1Y4EWM5__B5F54_02845
ERR1913205.285104__1.285104	1965576__A0A1Y4LNM7__B5F19_03145
ERR1913205.285108__1.285108	301302__A0A173RQG1__M72_18491
ERR1913205.285208__1.285208	214856__I3YPN9__ERS852447_01389
ERR1913205.285321__1.285321	214856__R6Z5D0__resA_4
ERR1913205.285410__1.285410	649756__L1Q8U4__ERS852571_01677
ERR1913205.285486__1.285486	649756__B0NZX5__lytC_2
ERR1913205.285455__1.285455	1262882__R5N349__BN519_01037
ERR1913205.285556__1.285556	487174__K0WXB5__DIT83_09520
ERR1913205.285602__1.285602	1262882__R5N1Z9__BN519_01020
ERR1913205.285723__1.285723	1501391__GCA_000786575.1_00115
ERR1913205.285772__1.285772	487174__K0X4F7__DDY40_08055
ERR1913205.286049__1.286049	214856__R6YC22__ERS852447_01215
ERR1913205.286160__1.286160	214856__A0A174AYS4__ERS852447_01192
ERR1913205.286268__1.286268	487174__K0X3V7__DIT83_01400
ERR1913205.286487__1.286487	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913205.286724__1.286724	47678__A5ZG68__ERS852494_02968
ERR1913205.286722__1.286722	39492__D4JUT9__ERS852540_01449
ERR1913205.286759__1.286759	214856__R6Y7P0__ERS852447_00307
ERR1913205.286914__1.286914	301302__A0A0M6WZT5__M72_18331
ERR1913205.287352__1.287352	214856__R6Z5D0__resA_4
ERR1913205.287395__1.287395	239935__A0A2N8IYM5__CXT84_05130
ERR1913205.287670__1.287670	239935__A0A2N8IRW0__A4V05_11620
ERR1913205.287740__1.287740	214856__I3YPP3__Alfi_2701
ERR1913205.287761__1.287761	214856__I3YPP1__Alfi_2699
ERR1913205.287886__1.287886	214856__I3YPQ0__ERS852447_01379
ERR1913205.287998__1.287998	214856__I3YPN9__ERS852447_01389
ERR1913205.287979__1.287979	189722__E0NQU7__HMPREF0658_0548
ERR1913205.287984__1.287984	301302__R5UNJ6__M72_26701
ERR1913205.288102__1.288102	214856__R6Z186__ERS852447_00718
ERR1913205.288198__1.288198	214856__I3YMC8__ERS852447_02666
ERR1913205.288229__1.288229	1262882__R5MIC9__BN519_00834
ERR1913205.288325__1.288325	214856__R6YC22__ERS852447_01215
ERR1913205.288441__1.288441	239935__A0A3F3K9J9__DEF40_00940
ERR1913205.288509__1.288509	214856__I3YMC8__ERS852447_02666
ERR1913205.288570__1.288570	214856__I3YMN6__Alfi_1938
ERR1913205.288964__1.288964	1263000__R5EXT3__BN466_02213
ERR1913205.289158__1.289158	214856__A0A175A6T5__ERS852447_02658
ERR1913205.289131__1.289131	214856__I3YK71__ERS852559_02472
ERR1913205.289245__1.289245	47678__R5UUD7__bga_1
ERR1913205.289290__1.289290	214856__R6Z7Q9__ERS852447_02172
ERR1913205.289353__1.289353	1262882__R5N3T7__BN519_01188
ERR1913205.289380__1.289380	214856__R6XS46__ERS852559_00812
ERR1913205.289418__1.289418	214856__R6Z288__ERS852447_00734
ERR1913205.289398__1.289398	214856__A0A174EJT5__mnmA
ERR1913205.289411__1.289411	47678__A0A174VGP6__HMPREF1061_01625
ERR1913205.289475__1.289475	39485__A0A174ZBK4__ERS852490_01585
ERR1913205.289972__1.289972	239935__A0A2N8J2P6__ADH72_06730
ERR1913205.289981__1.289981	487174__K0X177__HMPREF9448_00818
ERR1913205.290076__1.290076	39492__D4JU30__EUBSIR_00838
ERR1913205.290116__1.290116	1897011__A0A1Q6RE22__BHW41_04590
ERR1913205.290183__1.290183	1262882__R5MHZ2__BN519_00742
ERR1913205.290418__1.290418	649756__D4MW45__DCR88_11455
ERR1913205.290430__1.290430	214856__A0A173W3Y5__ERS852559_02032
ERR1913205.290449__1.290449	487174__K0X524__DDY40_09270
ERR1913205.290553__1.290553	239935__A0A2N8IRL2__CXU06_01170
ERR1913205.290589__1.290589	214856__I3YPP9__Alfi_2707
ERR1913205.290730__1.290730	239935__A0A2N8HDT1__CXT94_05270
ERR1913205.290873__1.290873	1262882__R5MYX5__BN519_00333
ERR1913205.290979__1.290979	214856__A0A174EJT5__mnmA
ERR1913205.290956__1.290956	301302__A0A173R1Q9__M72_20711
ERR1913205.291087__1.291087	487174__K0X347__DIT83_07775
ERR1913205.291211__1.291211	47678__A5ZI88__BACCAC_02617
ERR1913205.291197__1.291197	301302__A0A173SF21__M72_12691
ERR1913205.291135__1.291135	1897011__A0A1Q6RE67__BHW41_04635
ERR1913205.291242__1.291242	39492__R6SA81__EUBSIR_00402
ERR1913205.291263__1.291263	1262882__R5MND9__BN519_00831
ERR1913205.291340__1.291340	1262882__A0A356PSJ4__BN519_01180
ERR1913205.291458__1.291458	301302__R5UU15__ERS852420_02998
ERR1913205.291485__1.291485	301302__R5UJW6__ERS852420_01698
ERR1913205.291506__1.291506	214856__I3YMN6__Alfi_1938
ERR1913205.291535__1.291535	649756__L1Q987__ERS852520_02359
ERR1913205.291655__1.291655	1262882__R5N1L4__BN519_00757
ERR1913205.291767__1.291767	39492__D4JRZ7__smc
ERR1913205.291954__1.291954	214856__R6XUN2__rcsC_1
ERR1913205.292030__1.292030	239935__A0A2N8IFA0__CXT92_02050
ERR1913205.292214__1.292214	214856__R6Y6H8__ERS852447_01719
ERR1913205.292260__1.292260	1262882__R5N1H7__BN519_00735
ERR1913205.292580__1.292580	214856__R6XTZ7__ERS852447_02314
ERR1913205.292591__1.292591	214856__R6Y6H8__ERS852447_01719
ERR1913205.292671__1.292671	1262882__R5N3T7__BN519_01188
ERR1913205.292750__1.292750	394340__ilvC
ERR1913205.292825__1.292825	328814__GCA_004558275.1_00235
ERR1913205.292843__1.292843	1262882__R5MYP8__BN519_00439
ERR1913205.293112__1.293112	1262882__R5N1N6__BN519_00968
ERR1913205.293087__1.293087	239935__A0A2N8HX65__CXU17_02540
ERR1913205.293051__1.293051	1965604__A0A1Y4EXM1__B5F54_01100
ERR1913205.293489__1.293489	301301__A0A395VG51__RHOM_05870
ERR1913205.293531__1.293531	301302__A0A173T248__M72_19091
ERR1913205.293696__1.293696	1262882__R5MPL0__BN519_01038
ERR1913205.293863__1.293863	214856__R5UN64__ERS852447_02669
ERR1913205.294012__1.294012	821__A0A0P0L8F8__ERS852509_03705
ERR1913205.294058__1.294058	214856__I3YMC8__ERS852447_02666
ERR1913205.294063__1.294063	487174__K0WXB5__DIT83_09520
ERR1913205.294086__1.294086	214856__A0A173YXX1__ERS852559_01651
ERR1913205.294091__1.294091	1501391__GCA_000786575.1_00017
ERR1913205.294248__1.294248	214856__R6Z288__ERS852447_00734
ERR1913205.294619__1.294619	239935__A0A2N8HDT1__CXT94_05270
ERR1913205.294800__1.294800	214856__R6XNE7__ERS852447_02267
ERR1913205.294904__1.294904	214856__R6Z320__ERS852447_02148
ERR1913205.295021__1.295021	214856__R6Y2Y4__ERS852447_01086
ERR1913205.295107__1.295107	1262882__R5MGI7__BN519_00643
ERR1913205.295143__1.295143	239935__A0A2N8HM32__CXT85_08075
ERR1913205.295265__1.295265	239935__A0A2N8IVK9__CXU08_03750
ERR1913205.295399__1.295399	214856__R6XRA1__vatD_3
ERR1913205.295422__1.295422	853__A0A174AML0__FPR_08640
ERR1913205.295546__1.295546	239935__A0A2N8I1R3__CXU05_06075
ERR1913205.295673__1.295673	1262882__R5N0C3__BN519_00731
ERR1913205.295746__1.295746	214856__R6XNE7__ERS852447_02267
ERR1913205.295754__1.295754	1262882__R5MYS0__BN519_00284
ERR1913205.295845__1.295845	47678__R5U3A7__ERS852494_02965
ERR1913205.295905__1.295905	1262911__R6HHR1__BN557_01622
ERR1913205.295913__1.295913	214856__I3YMN6__Alfi_1938
ERR1913205.295996__1.295996	487174__K0X591__DDY40_01805
