ERR1913221.832__1.832	33043__A0A173X520__ERS852575_01617
ERR1913221.789467__1.789467	2173__A0A1D2WT40__METSMIALI_00302
ERR1913221.789456__1.789456	1262930__R6AR84__BN693_01414
ERR1913221.789671__1.789671	1261__D3MR67__SAMN05660467_01650
ERR1913221.789817__1.789817	446660__GCA_003428235.1_02154
ERR1913221.790136__1.790136	39485__C4Z434__tilS
ERR1913221.790342__1.790342	39485__C4Z6V7__walK
ERR1913221.790374__1.790374	1262886__R6QHF8__BN563_00567
ERR1913221.790674__1.790674	165179__A0A3E5E2S3__DXB80_03455
ERR1913221.790710__1.790710	2173__A0A1D2WRI1__BK798_01230
ERR1913221.791513__1.791513	39485__A0A174ZPH7__ERS852490_01992
ERR1913221.791520__1.791520	39485__A0A174YSS6__trxB_2
ERR1913221.791833__1.791833	45851__D4S366__BUTYVIB_02552
ERR1913221.791999__1.791999	45851__D4S366__BUTYVIB_02552
ERR1913221.792147__1.792147	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913221.792216__1.792216	1262760__R5L619__BN758_00730
ERR1913221.792607__1.792607	165179__A0A174IHQ2__PREVCOP_05478
ERR1913221.792721__1.792721	626929__R6MDM3__B5F24_06470
ERR1913221.792776__1.792776	45851__D4S1P1__BHV86_08290
ERR1913221.792833__1.792833	1262760__R5L619__BN758_00730
ERR1913221.793250__1.793250	39485__C4Z0G6__spoIVB
ERR1913221.793593__1.793593	1262760__R5LN70__BN758_00719
ERR1913221.793606__1.793606	88431__A0A174EJA6__DXB16_03345
ERR1913221.793857__1.793857	1262825__R5EHP5__BN724_01707
ERR1913221.794048__1.794048	45851__D4RW43__BUTYVIB_00173
ERR1913221.794066__1.794066	28052__R5HJU0__ERS852451_00148
ERR1913221.794634__1.794634	1262760__R5L7M6__BN758_01020
ERR1913221.794788__1.794788	39491__A0A174K9A3__DXB69_07785
ERR1913221.794969__1.794969	2173__A0A1D2WSZ3__Msm_1724
ERR1913221.795169__1.795169	1262882__R5N5C3__BN519_01664
ERR1913221.795223__1.795223	45851__D4RZ17__BUTYVIB_01081
ERR1913221.795906__1.795906	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913221.795915__1.795915	45851__D4RYB8__BHV86_01965
ERR1913221.795922__1.795922	1262761__R6QUP0__BN606_01674
ERR1913221.795984__1.795984	45851__D4S2F2__BHV86_00830
ERR1913221.796093__1.796093	39483__D4JCJ5__B5G15_01955
ERR1913221.796249__1.796249	1262886__R6Q9S2__BN563_00641
ERR1913221.796480__1.796480	39485__C4Z434__tilS
ERR1913221.796662__1.796662	45851__D4S0F7__BUTYVIB_01576
ERR1913221.797001__1.797001	45851__D4RWZ9__murF
ERR1913221.798079__1.798079	1262961__R6DYT0__BN710_00050
ERR1913221.798217__1.798217	33043__A0A173WXS1__ERS852445_00262
ERR1913221.798539__1.798539	45851__D4RWC5__BHV86_07005
ERR1913221.798591__1.798591	47678__R5U332__C5Z00_16810
ERR1913221.799168__1.799168	28111__R5JUK8__NCTC11155_02515
ERR1913221.799176__1.799176	39485__A0A174ZA08__EUBELI_01019
ERR1913221.799446__1.799446	45851__D4RWG7__BUTYVIB_00298
ERR1913221.799660__1.799660	1262882__R5MH81__BN519_00748
ERR1913221.800219__1.800219	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913221.800223__1.800223	165179__A0A174W369__PREVCOP_04548
ERR1913221.800225__1.800225	1262924__R7HUG0__BN585_00790
ERR1913221.800339__1.800339	39485__A0A174ZKZ4__spoIIQ_1
ERR1913221.800523__1.800523	28118__F9ZCN1__B5F99_10605
ERR1913221.800621__1.800621	1262961__R6DWQ2__BN710_01824
ERR1913221.800625__1.800625	1262959__R5Y383__BN680_00338
ERR1913221.800627__1.800627	45851__D4RZ84__BUTYVIB_01149
ERR1913221.800764__1.800764	2173__R7PYR7__BK798_01375
ERR1913221.801061__1.801061	45851__R5LYT8__BUTYVIB_02538
ERR1913221.801287__1.801287	1262760__R5L825__BN758_01252
ERR1913221.801987__1.801987	45851__D4S0T7__BHV86_09275
ERR1913221.802055__1.802055	45851__D4RWC3__BUTYVIB_00254
ERR1913221.802835__1.802835	165179__D1PGD2__DXC61_10875
ERR1913221.802850__1.802850	821__A0A3E4HP25__SAMN04487923_102450
ERR1913221.803209__1.803209	1150298__A0A174S2H3__spoIIQ
ERR1913221.803214__1.803214	1262911__R6H2J2__BN557_01228
ERR1913221.803273__1.803273	45851__R5LYV2__BHV86_00590
ERR1913221.803385__1.803385	1262825__R5EIY5__BN724_01999
ERR1913221.803488__1.803488	1262761__R6QYZ5__BN606_00402
ERR1913221.803699__1.803699	45851__D4S2J5__BUTYVIB_02317
ERR1913221.803814__1.803814	1262761__R6QJW9__BN606_00404
ERR1913221.803973__1.803973	39488__A0A374N0M3__EUBHAL_02860
ERR1913221.804093__1.804093	28111__E5WUH3__BACEGG_02112
ERR1913221.804179__1.804179	165179__A0A3E5EDV6__DXC61_03365
ERR1913221.804398__1.804398	45851__D4S2F3__BUTYVIB_02275
ERR1913221.804434__1.804434	1262886__R6QR12__BN563_01295
ERR1913221.804435__1.804435	1263027__R6ZTY4__BN699_02330
ERR1913221.804628__1.804628	45851__D4RWR5__BHV86_06295
ERR1913221.804676__1.804676	1262825__R5E511__BN724_01711
ERR1913221.804774__1.804774	820__A0A174R952__DXB48_02570
ERR1913221.804823__1.804823	1262882__R5MS31__BN519_01529
ERR1913221.804986__1.804986	165179__D1PE06__DXC61_05975
ERR1913221.805039__1.805039	418240__A0A174QTB3__ERS852478_01801
ERR1913221.805246__1.805246	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913221.805276__1.805276	1042156__F7V3A8__HipB
ERR1913221.805329__1.805329	45851__D4RW43__BUTYVIB_00173
ERR1913221.805546__1.805546	165179__A0A3E5EBQ2__DXC61_01930
ERR1913221.805612__1.805612	45851__D4RWC1__BHV86_06985
ERR1913221.805823__1.805823	2173__A0A1D2WRS4__METSMIALI_00521
ERR1913221.805856__1.805856	45851__D4RZ17__BUTYVIB_01081
ERR1913221.805996__1.805996	45851__D4RYQ1__BHV86_00310
ERR1913221.806198__1.806198	1262825__R5EA04__BN724_00076
ERR1913221.806509__1.806509	301302__A0A0M6WI31__znuC_2
ERR1913221.806586__1.806586	1262761__R6R3L8__BN606_01039
ERR1913221.806835__1.806835	884684__GCA_002892425.1_00334
ERR1913221.807018__1.807018	1262882__R5N3H1__BN519_01121
ERR1913221.807438__1.807438	45851__D4RWG7__BUTYVIB_00298
ERR1913221.807669__1.807669	45851__D4RYQ9__BUTYVIB_00967
ERR1913221.807886__1.807886	1262825__R5EGM6__BN724_01636
ERR1913221.807997__1.807997	1262886__R6Q6F8__BN563_00477
ERR1913221.808215__1.808215	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913221.808360__1.808360	1262825__R5E8D2__BN724_02151
ERR1913221.808361__1.808361	1262760__R5LR70__BN758_01365
ERR1913221.808432__1.808432	1262760__R5LFS9__BN758_01687
ERR1913221.808626__1.808626	45851__D4S1E0__BUTYVIB_01910
ERR1913221.808739__1.808739	1262886__R6RGH6__BN563_01505
ERR1913221.808747__1.808747	1262913__R7J951__BN646_01164
ERR1913221.808773__1.808773	1262825__R5EIY5__BN724_01999
ERR1913221.808775__1.808775	39491__A0A395V6A3__DXB69_00505
ERR1913221.808957__1.808957	47678__R5UES7__sipS
ERR1913221.809211__1.809211	45851__D4S1R9__BHV86_08150
ERR1913221.809299__1.809299	39485__A0A174Z9M2__yhbU_1
ERR1913221.809533__1.809533	2293125__A0A374BIB7__DW917_16550
ERR1913221.809975__1.809975	45851__R5LTE7__BHV86_04805
ERR1913221.810267__1.810267	33043__A8SPT5__yfiN_2
ERR1913221.810593__1.810593	45851__D4RZF4__BUTYVIB_01220
ERR1913221.810698__1.810698	410072__A0A174J5N8__sbcC
ERR1913221.810723__1.810723	1262761__R6QS21__BN606_00301
ERR1913221.810769__1.810769	1262882__R5N2A9__BN519_00921
ERR1913221.810868__1.810868	33043__A0A173ZZ54__ERS852400_00193
ERR1913221.810941__1.810941	1262761__R6RNL8__BN606_00387
ERR1913221.811009__1.811009	39485__R5ZT06__EUBELI_20526
ERR1913221.811475__1.811475	1262760__R5LTZ6__BN758_01715
ERR1913221.811463__1.811463	45851__D4RZ86__BHV86_03570
ERR1913221.811567__1.811567	1262886__R6Q6Q1__BN563_00546
ERR1913221.811817__1.811817	165179__A0A3E5AER8__DXB80_07075
ERR1913221.811875__1.811875	100886__A0A174HN43__ERS852383_04112
ERR1913221.811921__1.811921	1262961__R6EK01__BN710_00862
ERR1913221.811943__1.811943	1262760__R5LGW0__BN758_01815
ERR1913221.811970__1.811970	39491__A0A395UWZ1__DXC13_02175
ERR1913221.812185__1.812185	384638__B7ARU3__BACPEC_01797
ERR1913221.812367__1.812367	39492__A0A174ZHV5__msbA_2
ERR1913221.812387__1.812387	45851__D4S1P1__BHV86_08290
ERR1913221.812399__1.812399	853__A0A173XRA8__CGS56_09290
ERR1913221.812885__1.812885	821__A6L0C7__ERS852556_03520
ERR1913221.813053__1.813053	39485__R5ZQJ7__yniC
ERR1913221.813139__1.813139	1262886__R6Q946__BN563_00499
ERR1913221.813176__1.813176	165179__R6XIF8__DXC61_07265
ERR1913221.813454__1.813454	45851__D4S0P1__BUTYVIB_01660
ERR1913221.813465__1.813465	1262761__R6QUM5__BN606_02048
ERR1913221.813673__1.813673	1628085__A0A2U1BGN2__C7386_10147
ERR1913221.814343__1.814343	572010__sigA
ERR1913221.814353__1.814353	1262882__R5MXW0__BN519_00317
ERR1913221.814440__1.814440	418240__A0A173Y587__ERS852523_00316
ERR1913221.814537__1.814537	165179__A0A3E5DWQ1__DXB80_06635
ERR1913221.814603__1.814603	39485__A0A175A273__plsX_2
ERR1913221.814715__1.814715	165179__R6C3K4__PREVCOP_05795
ERR1913221.814978__1.814978	1262929__R6F6T1__BN691_00152
ERR1913221.815323__1.815323	1262882__R5N4F5__BN519_01266
ERR1913221.815329__1.815329	820__A0A3E4FZM1__adaA_2
ERR1913221.815492__1.815492	45851__D4RXM8__BHV86_03015
ERR1913221.815655__1.815655	39485__C4Z028__ERS852492_00100
ERR1913221.815987__1.815987	88431__A0A3D0F0E5__ERS852526_03216
ERR1913221.816089__1.816089	39485__A0A174ZQ05__EUBELI_01606
ERR1913221.816128__1.816128	1262761__R6R8B3__BN606_01478
ERR1913221.816208__1.816208	46503__R6Y0Q3__DCY29_15880
ERR1913221.816550__1.816550	165179__D1PB89__DXC61_08425
ERR1913221.816556__1.816556	1262777__R5VSR4__BN512_01577
ERR1913221.816562__1.816562	1262882__R5N4D8__BN519_01497
ERR1913221.816721__1.816721	46503__R6Y2Q2__DCY29_15375
ERR1913221.817020__1.817020	165179__A0A3E5EDS1__DXC61_03115
ERR1913221.817214__1.817214	165179__D1PCT4__DXB80_09470
ERR1913221.817392__1.817392	2022527__A0A264YAY9__CHL74_01555
ERR1913221.817415__1.817415	39485__C4Z6J9__ERS852492_02049
ERR1913221.817522__1.817522	1262825__R5EN22__BN724_00572
ERR1913221.817789__1.817789	745368__A0A1T4Y7V7__SAMN02745178_02833
ERR1913221.817952__1.817952	45851__D4RZ86__BHV86_03570
ERR1913221.817987__1.817987	45851__R5LYV2__BHV86_00590
ERR1913221.818114__1.818114	33043__D5HF50__ERS852386_02415
ERR1913221.818522__1.818522	1262760__R5L6L4__BN758_00893
ERR1913221.818843__1.818843	45851__D4RYQ0__BUTYVIB_00958
ERR1913221.818976__1.818976	33043__A0A173WWJ5__ERS852386_00339
ERR1913221.819109__1.819109	1262760__R5LYY0__BN758_00267
ERR1913221.819234__1.819234	301301__A0A395VAM3__yfiN_2
ERR1913221.819365__1.819365	45851__D4RXL7__BUTYVIB_00568
ERR1913221.819424__1.819424	45851__D4RYI3__BHV86_01630
ERR1913221.819529__1.819529	46506__R6A5T2__DXC41_10795
ERR1913221.819542__1.819542	1262760__R5LMK7__BN758_00632
ERR1913221.819813__1.819813	39488__A0A173T8Z7__hemZ_2
ERR1913221.819828__1.819828	39485__A0A174ZUV1__tig_3
ERR1913221.819924__1.819924	39485__A0A1Q6PH92__cbbX
ERR1913221.820114__1.820114	1262886__R6QH06__BN563_00448
ERR1913221.820164__1.820164	165179__D1PDJ4__DXB80_08505
ERR1913221.820179__1.820179	39485__A0A175A273__plsX_2
ERR1913221.820187__1.820187	384639__GCA_003096855.1_00971
ERR1913221.820382__1.820382	45851__D4S1R7__BUTYVIB_02039
ERR1913221.820635__1.820635	165179__D1P9T6__PREVCOP_04016
ERR1913221.820660__1.820660	45851__D4RXM8__BHV86_03015
ERR1913221.820883__1.820883	820__A0A396EUU8__luxQ_3
ERR1913221.820893__1.820893	1262911__R6H2J2__BN557_01228
ERR1913221.821007__1.821007	165179__D1PFV4__PREVCOP_06112
ERR1913221.821232__1.821232	28130__E1KR44__HMPREF0653_00640
ERR1913221.821294__1.821294	28052__R5HJU0__ERS852451_00148
ERR1913221.821671__1.821671	45851__D4RY81__BUTYVIB_00786
ERR1913221.822110__1.822110	1262961__R6E0C8__BN710_00049
ERR1913221.822408__1.822408	45851__D4RYD1__ytvI
ERR1913221.822385__1.822385	626940__R6X4D9__HMPREF9443_00471
ERR1913221.822503__1.822503	45851__D4S0B1__BHV86_10120
ERR1913221.822524__1.822524	45851__D4S2F3__BUTYVIB_02275
ERR1913221.822535__1.822535	165179__A0A3E5A832__DXC61_13685
ERR1913221.822975__1.822975	39488__A0A173Y251__mscS
ERR1913221.823025__1.823025	853__A0A2A7B9I6__DW855_13690
ERR1913221.823121__1.823121	418240__A0A174VMW5__ERS852478_01082
ERR1913221.823282__1.823282	1628085__A0A396MGZ2__C7386_12111
ERR1913221.823587__1.823587	39485__A0A174Z1A6__EUBELI_00220
ERR1913221.823893__1.823893	1262886__R6RCF6__BN563_00371
ERR1913221.823946__1.823946	45851__D4RZD5__BUTYVIB_01201
ERR1913221.824020__1.824020	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913221.824051__1.824051	39485__R5ZNG4__yerB
ERR1913221.824201__1.824201	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913221.824742__1.824742	301301__A0A395V8C2__rhaR_3
ERR1913221.824746__1.824746	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913221.824767__1.824767	671267__R9IB12__C802_00696
ERR1913221.825115__1.825115	33039__D4M4W3__RTO_17030
ERR1913221.825062__1.825062	1263006__R6LU28__BN515_01365
ERR1913221.825225__1.825225	1262760__R5L6U4__BN758_00921
ERR1913221.825317__1.825317	1262992__R5CXM8__BN795_01024
ERR1913221.825412__1.825412	1262825__R5E3J9__BN724_01601
ERR1913221.825452__1.825452	1262825__R5E8F5__BN724_02070
ERR1913221.825499__1.825499	45851__D4RW69__BUTYVIB_00200
ERR1913221.825511__1.825511	1262882__R5MM69__BN519_00075
ERR1913221.825579__1.825579	45851__D4RWY2__BHV86_07415
ERR1913221.825965__1.825965	39490__A0A173U8I1__LG34_05080
ERR1913221.825972__1.825972	45851__D4S1R7__BUTYVIB_02039
ERR1913221.826024__1.826024	1262816__R6C525__BN687_00244
ERR1913221.826162__1.826162	1262886__R6Q805__BN563_00926
ERR1913221.826087__1.826087	45851__D4RXM8__BHV86_03015
ERR1913221.826323__1.826323	39485__A0A174YR99__ERS852492_00943
ERR1913221.826477__1.826477	165179__R6CNX7__DXB80_02200
ERR1913221.826635__1.826635	45851__D4S1I1__BHV86_08605
ERR1913221.826637__1.826637	33043__A0A173YPE0__thiD
ERR1913221.826694__1.826694	39485__R5ZQJ7__yniC
ERR1913221.826810__1.826810	165179__R6CNX7__DXB80_02200
ERR1913221.827332__1.827332	39485__A0A174ZNW9__luxQ_1
ERR1913221.827434__1.827434	853__A0A173XRA8__CGS56_09290
ERR1913221.827710__1.827710	1262825__R5E8Y7__BN724_02314
ERR1913221.827840__1.827840	1262959__R5Y0V4__BN680_01500
ERR1913221.828120__1.828120	45851__D4S1P9__BUTYVIB_02021
ERR1913221.828127__1.828127	39485__C4Z6K2__ERS852490_00407
ERR1913221.828604__1.828604	33043__D5HIL5__ERS852445_01761
ERR1913221.828841__1.828841	1262777__R5VK89__BN512_01598
ERR1913221.829171__1.829171	45851__D4RWC5__BHV86_07005
ERR1913221.829366__1.829366	33043__A0A3A6J8T3__yvhJ
ERR1913221.829418__1.829418	165179__D1PDJ4__DXB80_08505
ERR1913221.829437__1.829437	853__A0A173YYY4__DWZ04_09420
ERR1913221.829702__1.829702	45851__D4RWZ9__murF
ERR1913221.829759__1.829759	165179__A0A3E5DZ45__DXC61_02820
ERR1913221.829769__1.829769	2173__A0A1D2WS51__METSMIALI_00230
ERR1913221.829844__1.829844	45851__D4RWZ9__murF
ERR1913221.829964__1.829964	45851__D4RYU3__BUTYVIB_01007
ERR1913221.830121__1.830121	45851__D4RW33__ylbJ
ERR1913221.830783__1.830783	45851__D4S141__BHV86_05760
ERR1913221.831200__1.831200	147206__GCF_000156215.1_01777
ERR1913221.831276__1.831276	45851__D4RWN7__BHV86_06150
ERR1913221.831915__1.831915	45851__D4RYU3__BUTYVIB_01007
ERR1913221.832000__1.832000	165179__D1PCL6__DXB80_13435
ERR1913221.832036__1.832036	28118__F9Z3J9__B5F93_07500
ERR1913221.832453__1.832453	45851__D4S366__BUTYVIB_02552
ERR1913221.832754__1.832754	1262816__R6BUT6__BN687_02206
ERR1913221.832987__1.832987	45851__D4RYC5__BHV86_01930
ERR1913221.832993__1.832993	100886__E2NTX6__macB_18
ERR1913221.833022__1.833022	1262882__R5N1R4__BN519_00788
ERR1913221.833252__1.833252	1262777__R5WBZ4__BN512_00810
ERR1913221.833391__1.833391	39485__A0A175A2T1__EUBELI_02034
ERR1913221.833407__1.833407	33039__A0A174YJ10__ERS852502_01829
ERR1913221.833453__1.833453	39485__C4Z390__EUBELI_01689
ERR1913221.833714__1.833714	1263000__R5EUM2__BN466_01747
ERR1913221.833884__1.833884	853__A0A173XRA8__CGS56_09290
ERR1913221.834455__1.834455	384638__B7APN3__BACPEC_00639
ERR1913221.834403__1.834403	39491__C4Z875__T1815_09771
ERR1913221.834664__1.834664	1263006__R6LQ17__BN515_02097
ERR1913221.834888__1.834888	40520__R7DAZ6__DXD81_07120
ERR1913221.835142__1.835142	39485__C4Z637__ERS852490_00218
ERR1913221.835237__1.835237	853__A0A174AML0__FPR_08640
ERR1913221.835325__1.835325	39485__C4Z6R3__mcp2_1
ERR1913221.835455__1.835455	2293125__A0A374BY09__DW917_11855
ERR1913221.835457__1.835457	328814__GCA_004558275.1_00035
ERR1913221.835423__1.835423	39485__A0A174ZNW9__luxQ_1
ERR1913221.835508__1.835508	410072__A0A174JVM9__COPCOM_00443
ERR1913221.835588__1.835588	39485__R5ZSH7__EUBELI_00953
ERR1913221.835637__1.835637	1262911__R6H1B2__BN557_00840
ERR1913221.835734__1.835734	45851__D4RYD2__BUTYVIB_00837
ERR1913221.835753__1.835753	745368__A0A1T4Y5S3__SAMN02745178_02736
ERR1913221.835968__1.835968	1150298__R7JTW4__yvhJ
ERR1913221.836026__1.836026	33043__D5HIA8__ERS852575_01867
ERR1913221.836225__1.836225	45851__D4RZ84__BUTYVIB_01149
ERR1913221.836617__1.836617	1262911__R6H0U7__BN557_01104
ERR1913221.837135__1.837135	39485__A0A174YQX9__ERS852490_00864
ERR1913221.837573__1.837573	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913221.837645__1.837645	1262816__R6BVD3__BN687_02361
ERR1913221.837727__1.837727	47678__R5U8Y1__BACCAC_02615
ERR1913221.837765__1.837765	1297617__A0A2U1BIA1__IB211_03110c
ERR1913221.838066__1.838066	39485__A0A174YMD0__EUBELI_01093
ERR1913221.838328__1.838328	45851__D4RXA5__BHV86_02525
ERR1913221.838664__1.838664	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913221.838691__1.838691	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913221.838709__1.838709	39492__D4JWB3__EUBSIR_00040
ERR1913221.838781__1.838781	1262882__R5MSQ8__BN519_01647
ERR1913221.838880__1.838880	33043__A0A173QUI0__ERS852386_00036
ERR1913221.838917__1.838917	1262825__R5E272__BN724_01381
ERR1913221.839108__1.839108	45851__D4RWN6__BUTYVIB_00072
ERR1913221.839263__1.839263	45851__D4S1P9__BUTYVIB_02021
ERR1913221.839272__1.839272	45851__D4RW69__BUTYVIB_00200
ERR1913221.839433__1.839433	39485__A0A174YVS4__EUBELI_00620
ERR1913221.839824__1.839824	45851__D4S2F2__BHV86_00830
ERR1913221.839792__1.839792	39485__A0A174ZLN0__EUBELI_00120
ERR1913221.840229__1.840229	116085__D4J9V4__DW747_03200
ERR1913221.840242__1.840242	45851__D4S0F7__BUTYVIB_01576
ERR1913221.840371__1.840371	1680__A1A1R1__BIFADO_00076
ERR1913221.840648__1.840648	1262825__R5EA87__BN724_01038
ERR1913221.840649__1.840649	853__A0A3E2V168__FAEPRAM212_00929
ERR1913221.840667__1.840667	33043__A0A173WWJ5__ERS852386_00339
ERR1913221.840699__1.840699	45851__D4RX43__BUTYVIB_00394
ERR1913221.841299__1.841299	1150298__R7JTG8__smf
ERR1913221.841412__1.841412	1550024__A0A0D8J0M2__TQ39_06330
ERR1913221.841468__1.841468	39485__R5ZVC3__ERS852490_00250
ERR1913221.841599__1.841599	1262760__R5LC36__BN758_01814
ERR1913221.841660__1.841660	39485__A0A174Z9M2__yhbU_1
ERR1913221.841707__1.841707	45851__D4RZD5__BUTYVIB_01201
ERR1913221.841861__1.841861	1735__B7CE32__EUBIFOR_02474
ERR1913221.842084__1.842084	39485__C4Z2X2__ERS852492_01808
ERR1913221.842137__1.842137	1680__A0A174BEE7__BSTER_1311
ERR1913221.842382__1.842382	39485__A0A174YMI9__cph2_5
ERR1913221.842416__1.842416	39485__C4Z6V1__ERS852492_02640
ERR1913221.842501__1.842501	1262882__R5N2U9__BN519_01221
ERR1913221.842549__1.842549	33043__D5HFA1__ERS852400_02183
ERR1913221.842671__1.842671	45851__D4RZ17__BUTYVIB_01081
ERR1913221.842742__1.842742	371601__D6CXU6__CW3_4709
ERR1913221.842827__1.842827	39491__A0A396FBR6__DXC13_08575
ERR1913221.843136__1.843136	1262825__R5EL88__BN724_00578
ERR1913221.843326__1.843326	165179__W1I4H6__DXB80_13655
ERR1913221.843448__1.843448	165179__R6CNX7__DXB80_02200
ERR1913221.843603__1.843603	1262945__R6Z2E6__BN600_01343
ERR1913221.843777__1.843777	45851__D4RYQ0__BUTYVIB_00958
ERR1913221.843793__1.843793	45851__D4RZ17__BUTYVIB_01081
ERR1913221.843805__1.843805	45851__D4S247__BUTYVIB_02169
ERR1913221.843981__1.843981	1262882__R5MRS7__BN519_01490
ERR1913221.844215__1.844215	209880__A0A1G5WUP6__SAMN02910343_01621
ERR1913221.844242__1.844242	45851__D4RW36__BUTYVIB_00166
ERR1913221.844292__1.844292	328814__GCA_004558275.1_00079
ERR1913221.844377__1.844377	1284775__A0A095Y5F5__HMPREF1640_07020
ERR1913221.844402__1.844402	39485__C4Z6R3__mcp2_1
ERR1913221.845001__1.845001	28130__E1KUS5__HMPREF0653_00256
ERR1913221.845023__1.845023	47678__R5U8S9__DW706_06260
ERR1913221.845093__1.845093	572010__pnp
ERR1913221.845153__1.845153	45851__R5LAF0__BHV86_08225
ERR1913221.845179__1.845179	39485__A0A174YZE2__spoIIE
ERR1913221.845315__1.845315	45851__D4RYC5__BHV86_01930
ERR1913221.845394__1.845394	821__A0A174NM17__lacZ_6
ERR1913221.845487__1.845487	45851__D4RY08__BUTYVIB_00711
ERR1913221.845488__1.845488	45851__D4RY08__BUTYVIB_00711
ERR1913221.845489__1.845489	39485__C4Z1Y9__EUBELI_00143
ERR1913221.845870__1.845870	39485__A0A174YMC1__recN
ERR1913221.846097__1.846097	1262948__R7EDZ4__BN671_00895
ERR1913221.846367__1.846367	301302__R5UK77__M72_08681
ERR1913221.846550__1.846550	1262825__R5EBY3__BN724_02066
ERR1913221.846572__1.846572	45851__D4RXN5__BUTYVIB_00586
ERR1913221.846597__1.846597	45851__D4S069__spoIVA
ERR1913221.846802__1.846802	1262760__R5LYY0__BN758_00267
ERR1913221.846809__1.846809	1262825__R5DZJ8__BN724_01044
ERR1913221.846982__1.846982	1262930__R6AXR1__BN693_00352
ERR1913221.847141__1.847141	165179__A0A3E5AE59__DXC61_12885
ERR1913221.847513__1.847513	45851__D4RZ82__BHV86_03550
ERR1913221.847641__1.847641	165179__A0A3E5EAT2__DXC61_07585
ERR1913221.848064__1.848064	1262761__R6RY17__BN606_01538
ERR1913221.848174__1.848174	39485__A0A174Z9M2__yhbU_1
ERR1913221.848210__1.848210	39485__A0A174Z2K9__ERS852490_02052
ERR1913221.848339__1.848339	165179__A0A3E5DZA5__DXB80_12550
ERR1913221.848633__1.848633	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913221.848670__1.848670	572010__fusA
ERR1913221.848795__1.848795	45851__D4S141__BHV86_05760
ERR1913221.849082__1.849082	45851__D4RYS4__BHV86_05460
ERR1913221.849203__1.849203	39485__R5ZVC3__ERS852490_00250
ERR1913221.849320__1.849320	33043__A0A174CV49__ERS852386_02395
ERR1913221.849360__1.849360	88431__A6BG03__ERS852408_01790
ERR1913221.849479__1.849479	1262825__R5EN22__BN724_00572
ERR1913221.849612__1.849612	1150298__R7JT48__gsiA_6
ERR1913221.849794__1.849794	328814__GCA_004558275.1_00018
ERR1913221.850070__1.850070	1262886__R6QBM7__BN563_01264
ERR1913221.850162__1.850162	1262882__R5N3T7__BN519_01188
ERR1913221.850206__1.850206	1262886__R6QND3__BN563_00539
ERR1913221.850761__1.850761	1262825__R5EL39__BN724_00543
ERR1913221.851071__1.851071	1262761__R6RY17__BN606_01538
ERR1913221.851060__1.851060	626940__E8LG36__BN587_00913
ERR1913221.851474__1.851474	1262992__R5CXM7__BN795_01016
ERR1913221.851393__1.851393	39491__A0A395UUN5__EUBREC_0291
ERR1913221.851492__1.851492	45851__D4RZ17__BUTYVIB_01081
ERR1913221.851604__1.851604	165179__A0A3E5E2B6__DXB80_02820
ERR1913221.851801__1.851801	1262961__R6EP07__BN710_01333
ERR1913221.852067__1.852067	45851__R5LL35__BUTYVIB_01928
ERR1913221.852281__1.852281	39485__A0A174YSU1__ERS852492_00576
ERR1913221.852526__1.852526	45851__D4RWN6__BUTYVIB_00072
ERR1913221.852625__1.852625	1262886__R6QHT9__BN563_00630
ERR1913221.852773__1.852773	1262760__R5LFX7__BN758_00189
ERR1913221.852781__1.852781	45851__D4RWJ7__BHV86_05950
ERR1913221.852917__1.852917	1262825__R5E978__BN724_00307
ERR1913221.853171__1.853171	387090__S0F8B2__BACCOPRO_02129
ERR1913221.853406__1.853406	45851__D4RWZ9__murF
ERR1913221.853416__1.853416	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913221.853763__1.853763	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913221.854038__1.854038	165179__D1PCY7__DXB80_02765
ERR1913221.854268__1.854268	39485__C4Z389__ERS852490_01920
ERR1913221.854327__1.854327	1262882__R5MYP8__BN519_00439
ERR1913221.854420__1.854420	1150298__R7JSM7__ERS852535_02465
ERR1913221.854502__1.854502	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913221.854568__1.854568	76517__A7I2J4__NCTC13146_01109
ERR1913221.854536__1.854536	165179__A0A3E5E2S3__DXB80_03455
ERR1913221.854602__1.854602	39485__C4Z069__EUBELI_00981
ERR1913221.854802__1.854802	1262911__R6H2J2__BN557_01228
ERR1913221.854820__1.854820	39485__A0A174Z851__cdaR_1
ERR1913221.854932__1.854932	1262760__R5LSJ2__BN758_01510
ERR1913221.854977__1.854977	33039__A0A173VTT4__frdB_1
ERR1913221.854985__1.854985	45851__D4S1A8__BHV86_08940
