ERR1913040.45__1.45	1965560__A0A1Y4RFR5__B5E82_15700
ERR1913040.285437__1.285437	69974__A0A090FEL8__MPL3365_630008
ERR1913040.285504__1.285504	165179__D1PHM6__DXC61_06700
ERR1913040.285617__1.285617	69974__A0A090FEL8__MPL3365_630008
ERR1913040.285638__1.285638	821__A6L0C7__ERS852556_03520
ERR1913040.285642__1.285642	69974__A0A090FEL8__MPL3365_630008
ERR1913040.285663__1.285663	74426__sufB
ERR1913040.285790__1.285790	1323__A0A3E3E3P2__NCTC11087_01513
ERR1913040.285988__1.285988	626933__H1DGX0__HMPREF9449_01506
ERR1913040.286158__1.286158	487173__H1D0A3__HMPREF9453_01041
ERR1913040.286181__1.286181	165179__D1PHM6__DXC61_06700
ERR1913040.286219__1.286219	626933__H1DGX0__HMPREF9449_01506
ERR1913040.286289__1.286289	410072__A0A174ASR3__DXD67_15560
ERR1913040.286317__1.286317	69974__A0A090FEL8__MPL3365_630008
ERR1913040.286320__1.286320	39491__A0A395ZHV7__ykvU
ERR1913040.286343__1.286343	29363__A0A3A8X328__dpiB_1
ERR1913040.286366__1.286366	40518__R5DPE0__DXD86_06515
ERR1913040.286409__1.286409	69974__A0A090FEL8__MPL3365_630008
ERR1913040.286421__1.286421	165179__A0A3E5A5E5__DXC61_13965
ERR1913040.286479__1.286479	626933__H1DGX0__HMPREF9449_01506
ERR1913040.286489__1.286489	28117__B0MT73__ALIPUT_00412
ERR1913040.286540__1.286540	39488__C0F0K5__DXD91_02265
ERR1913040.286610__1.286610	39485__R5ZRN3__ERS852490_00208
ERR1913040.286638__1.286638	69974__A0A090FEL8__MPL3365_630008
ERR1913040.286690__1.286690	39491__C4ZCV7__ERE_23110
ERR1913040.286881__1.286881	626933__H1DGX0__HMPREF9449_01506
ERR1913040.286940__1.286940	28116__R6JAK2__DXD69_23875
ERR1913040.287010__1.287010	39485__A0A175A403__EUBELI_20577
ERR1913040.287034__1.287034	310298__B3JGJ2__BACCOP_00994
ERR1913040.287045__1.287045	69974__A0A090FEL8__MPL3365_630008
ERR1913040.287235__1.287235	165179__D1PHC0__PREVCOP_06640
ERR1913040.287270__1.287270	820__A0A3E4VXP2__yesR
ERR1913040.287297__1.287297	69974__A0A090FEL8__MPL3365_630008
ERR1913040.287388__1.287388	310298__B3JFK6__BACCOP_00656
ERR1913040.287610__1.287610	310298__B3JED9__BACCOP_00230
ERR1913040.287583__1.287583	28117__B0MWP2__ALIPUT_01468
ERR1913040.287631__1.287631	204516__U6R8I1__HMPREF1534_03341
ERR1913040.287703__1.287703	649756__R7C0E8__ERS852387_01288
ERR1913040.287705__1.287705	165179__A0A229I443__DXB80_10950
ERR1913040.287762__1.287762	69974__A0A090FEL8__MPL3365_630008
ERR1913040.287828__1.287828	487173__H1D020__HMPREF9453_00958
ERR1913040.287945__1.287945	2292352__A0A374UNS4__DXC23_05055
ERR1913040.287967__1.287967	1262924__R7HPS8__BN585_00646
ERR1913040.288090__1.288090	28118__F9Z4Y7__DF785_06945
ERR1913040.288100__1.288100	1263109__GCA_000438135.1_00299
ERR1913040.288140__1.288140	853__A0A173T0Y8__CGS54_07215
ERR1913040.288241__1.288241	821__A0A395UNT8__DXD64_15275
ERR1913040.288413__1.288413	853__A0A2A7B1Y7__C7K05_11930
ERR1913040.288596__1.288596	69974__A0A090FEL8__MPL3365_630008
ERR1913040.288648__1.288648	28116__A0A3D2LPA1__CUY_3388
ERR1913040.288623__1.288623	487173__H1D2V9__HMPREF9453_01947
ERR1913040.288730__1.288730	39491__A0A396FJJ9__DXB76_11995
ERR1913040.288833__1.288833	310298__B3JNG7__BACCOP_03480
ERR1913040.288803__1.288803	1735__B7CCQ2__EUBIFOR_01980
ERR1913040.288862__1.288862	165179__D1PGU8__PREVCOP_06463
ERR1913040.288894__1.288894	39491__C4Z8S1__DXB76_06750
ERR1913040.288904__1.288904	28118__F9Z7P4__B5F99_17665
ERR1913040.288970__1.288970	204516__U6RNE3__HMPREF1534_00331
ERR1913040.289089__1.289089	821__A0A173WG51__BVU_2549
ERR1913040.289111__1.289111	626933__H1DGX0__HMPREF9449_01506
ERR1913040.289249__1.289249	1501392__A0A0B2JMX9__PU94_06110
ERR1913040.289409__1.289409	310297__A0A174A833__DXB87_09380
ERR1913040.289541__1.289541	371601__D4WBK5__BN891_3970
ERR1913040.289720__1.289720	1680__A0A087DHN0__AL0462_1532
ERR1913040.289815__1.289815	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913040.289836__1.289836	69974__A0A090FEL8__MPL3365_630008
ERR1913040.289877__1.289877	214856__I3YK71__ERS852559_02472
ERR1913040.289936__1.289936	626933__H1DGX0__HMPREF9449_01506
ERR1913040.289944__1.289944	216816__D6ZSV1__CE169_00930
ERR1913040.289966__1.289966	165179__A0A174UTZ7__DXC61_06705
ERR1913040.289980__1.289980	487173__H1CZM4__HMPREF9453_00812
ERR1913040.290071__1.290071	1262924__R7HM98__BN585_01697
ERR1913040.290145__1.290145	2293125__A0A374CIC9__DW917_02045
ERR1913040.290278__1.290278	39491__A0A395UZ82__EUR_31520
ERR1913040.290284__1.290284	1262924__R7HKZ9__BN585_01304
ERR1913040.290295__1.290295	310298__B3JNG7__BACCOP_03480
ERR1913040.290354__1.290354	28118__F9Z5M1__NCTC10826_02946
ERR1913040.290362__1.290362	69974__A0A090FEL8__MPL3365_630008
ERR1913040.290404__1.290404	487173__H1CY24__HMPREF9453_00262
ERR1913040.290553__1.290553	69974__A0A090FEL8__MPL3365_630008
ERR1913040.290917__1.290917	39485__C4Z5L8__ERS852490_00665
ERR1913040.291011__1.291011	1323__A0A380LKB9__maf
ERR1913040.291047__1.291047	1262924__R7HT04__BN585_00021
ERR1913040.291126__1.291126	310298__B3JNH3__BACCOP_03486
ERR1913040.291193__1.291193	204516__U6RNF5__HMPREF1534_00381
ERR1913040.291307__1.291307	820__A0A139KJ23__celCCA
ERR1913040.291363__1.291363	820__A0A139K8N1__ERS852554_00951
ERR1913040.291374__1.291374	39491__A0A395ZDC6__addB
ERR1913040.291459__1.291459	165179__A0A229I3Z6__PREVCOP_03666
ERR1913040.291466__1.291466	1263107__GCA_000436995.1_00198
ERR1913040.291423__1.291423	69974__A0A090FEL8__MPL3365_630008
ERR1913040.291507__1.291507	626933__H1DGX0__HMPREF9449_01506
ERR1913040.291753__1.291753	165179__A0A3E5AAM8__DXB80_10240
ERR1913040.291901__1.291901	310298__B3JM32__BACCOP_00571
ERR1913040.291985__1.291985	165179__D1PEQ5__PREVCOP_05711
ERR1913040.291931__1.291931	39496__A5Z5I2__EUBVEN_00963
ERR1913040.292014__1.292014	1720294__U2B2F8__DWY69_07720
ERR1913040.292177__1.292177	165179__A0A3E5A5E5__DXC61_13965
ERR1913040.292241__1.292241	40518__R5DXI4__DXD86_07420
ERR1913040.292251__1.292251	626933__H1DGX0__HMPREF9449_01506
ERR1913040.292321__1.292321	28116__A7LS02__DXF98_24100
ERR1913040.292329__1.292329	310298__B3JH75__BACCOP_01229
ERR1913040.292393__1.292393	165179__A0A3E5EAM5__DXC61_07785
ERR1913040.292397__1.292397	204516__U6RFV1__HMPREF1534_02560
ERR1913040.292401__1.292401	40518__R5E1X3__clcA
ERR1913040.292449__1.292449	39492__D4JRM9__bglB_2
ERR1913040.292558__1.292558	821__I9R3W6__DXC16_12455
ERR1913040.292605__1.292605	630129__A0A087B5Z4__BBKW_1208
ERR1913040.292682__1.292682	214856__I3YPP2__Alfi_2700
ERR1913040.292648__1.292648	310298__B3JMG0__BACCOP_03099
ERR1913040.292733__1.292733	28118__R6FBF6__Odosp_2396
ERR1913040.292789__1.292789	165179__A0A3E5E189__PREVCOP_06699
ERR1913040.292827__1.292827	39491__A0A173RJ81__DXB76_01570
ERR1913040.292808__1.292808	820__A0A396EWL3__ERS417307_03868
ERR1913040.292956__1.292956	28117__B0MU76__ALIPUT_00202
ERR1913040.292987__1.292987	39491__A0A396FSN2__EUBREC_0707
ERR1913040.293008__1.293008	487175__R5EAP9__HMPREF9439_01753
ERR1913040.293288__1.293288	371601__A0A3E4NKK5__B5E52_17685
ERR1913040.293271__1.293271	69974__A0A090FEL8__MPL3365_630008
ERR1913040.293511__1.293511	204516__U6REI9__HMPREF1534_02357
ERR1913040.293517__1.293517	40518__R5E5W1__RBL263_01034
ERR1913040.293558__1.293558	39491__A0A395UVM9__DXB76_04540
ERR1913040.293604__1.293604	328814__GCA_004558275.1_01621
ERR1913040.293611__1.293611	626933__H1DGX0__HMPREF9449_01506
ERR1913040.293818__1.293818	165179__A0A3E5E189__PREVCOP_06699
ERR1913040.293855__1.293855	39485__A0A174Z768__ERS852492_00306
ERR1913040.293890__1.293890	354276__A0A0T5XK22__SAMEA2273418_02010
ERR1913040.293973__1.293973	28116__A0A1Y4Q112__evgS_13
ERR1913040.294075__1.294075	853__A0A173T8T3__DW882_06555
ERR1913040.294108__1.294108	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913040.294234__1.294234	69974__A0A090FEL8__MPL3365_630008
ERR1913040.294385__1.294385	69974__A0A090FEL8__MPL3365_630008
ERR1913040.294404__1.294404	28117__B0MYI9__BHV66_05415
ERR1913040.294511__1.294511	39485__A0A174YW66__ERS852490_03040
ERR1913040.294568__1.294568	165179__A0A3E5AHY4__CFT61_07675
ERR1913040.294634__1.294634	69974__A0A090FEL8__MPL3365_630008
ERR1913040.294670__1.294670	853__A0A173YYY4__DWZ04_09420
ERR1913040.294682__1.294682	69974__A0A090FEL8__MPL3365_630008
ERR1913040.294758__1.294758	310298__B3JH76__BACCOP_01230
ERR1913040.294795__1.294795	69974__A0A090FEL8__MPL3365_630008
ERR1913040.294813__1.294813	310298__B3JEE8__BACCOP_00239
ERR1913040.294962__1.294962	39485__C4Z6U7__EUBELI_20545
ERR1913040.294943__1.294943	69974__A0A090FEL8__MPL3365_630008
ERR1913040.295189__1.295189	165179__A0A229I7F5__DXB80_02650
ERR1913040.295267__1.295267	204516__U6R9E0__HMPREF1534_03742
ERR1913040.295311__1.295311	39491__A0A3E4YFT8__DXB69_10940
ERR1913040.295419__1.295419	40519__U2MA81__RUMCAL_01358
ERR1913040.295577__1.295577	39485__C4Z0K2__ERS852490_00991
ERR1913040.295604__1.295604	820__A0A3E4HWJ4__DXD40_05945
ERR1913040.295654__1.295654	69974__A0A090FEL8__MPL3365_630008
ERR1913040.295678__1.295678	165179__A0A3E5A5E5__DXC61_13965
ERR1913040.295693__1.295693	69974__A0A090FEL8__MPL3365_630008
ERR1913040.295736__1.295736	820__A0A174A6K0__M093_0079
ERR1913040.295738__1.295738	39485__A0A174YTF8__EUBELI_20448
ERR1913040.295751__1.295751	165179__D1PGU8__PREVCOP_06463
ERR1913040.295838__1.295838	204516__U6RMH5__HMPREF1534_00591
ERR1913040.295881__1.295881	39485__C4Z6V1__ERS852492_02640
ERR1913040.295863__1.295863	1628085__A0A3E2XRQ2__C7386_10552
ERR1913040.295946__1.295946	1262911__R6GMK4__BN557_00535
ERR1913040.295962__1.295962	410072__A0A3E4GP91__COPCOM_03835
ERR1913040.296009__1.296009	69974__A0A090FEL8__MPL3365_630008
ERR1913040.296011__1.296011	40518__R5DW64__RBL236_01394
ERR1913040.296039__1.296039	571438__A0A1G7QXY2__SAMN05192586_12514
ERR1913040.296090__1.296090	165179__A0A3E5ED28__PREVCOP_06655
ERR1913040.296104__1.296104	820__A0A3E4G493__ERS417307_00253
ERR1913040.296115__1.296115	853__A0A174BA00__DW905_01145
ERR1913040.296239__1.296239	69974__A0A090FEL8__MPL3365_630008
ERR1913040.296378__1.296378	165179__A0A229I6N7__DXC61_06720
ERR1913040.296646__1.296646	165179__A0A3E5AER8__DXB80_07075
ERR1913040.296669__1.296669	47678__A5ZJ80__BACCAC_02965
ERR1913040.296758__1.296758	165179__R6PU83__CFT61_14275
ERR1913040.296816__1.296816	1262924__R7HRT1__BN585_00630
ERR1913040.296904__1.296904	820__R9I2U8__DXC68_09590
ERR1913040.296915__1.296915	69974__A0A090FEL8__MPL3365_630008
ERR1913040.297021__1.297021	1262913__R7J3X1__BN646_00517
ERR1913040.297039__1.297039	69974__A0A090FEL8__MPL3365_630008
ERR1913040.297111__1.297111	33039__A0A174YCL2__ERS852424_00029
ERR1913040.297118__1.297118	1262924__R7HPS8__BN585_00646
ERR1913040.297362__1.297362	39491__C4ZCV7__ERE_23110
ERR1913040.297569__1.297569	39485__A0A174ZTY8__ycfH
ERR1913040.297803__1.297803	69974__A0A090FEL8__MPL3365_630008
ERR1913040.297931__1.297931	165179__R6C330__DXC61_04975
ERR1913040.297993__1.297993	1150298__A0A174AP40__ERS852535_01165
ERR1913040.298108__1.298108	820__A0A3E4WA06__ERS852554_03404
ERR1913040.298269__1.298269	28118__F9ZB50__Odosp_2374
ERR1913040.298272__1.298272	40518__R5DU52__RB5AMG_02245
ERR1913040.298267__1.298267	165179__A0A3E5AGH1__DXB80_05820
ERR1913040.298288__1.298288	40518__R5DX31__DXD86_09775
ERR1913040.298305__1.298305	165179__A0A3E5EA43__DXC61_07775
ERR1913040.298309__1.298309	69974__A0A090FEL8__MPL3365_630008
ERR1913040.298606__1.298606	69974__A0A090FEL8__MPL3365_630008
ERR1913040.298628__1.298628	626933__H1DGX0__HMPREF9449_01506
ERR1913040.298678__1.298678	69974__A0A090FEL8__MPL3365_630008
ERR1913040.298769__1.298769	69974__A0A090FEL8__MPL3365_630008
ERR1913040.298860__1.298860	40518__R5DRY6__RB5AMG_00549
ERR1913040.298969__1.298969	69974__A0A090FEL8__MPL3365_630008
ERR1913040.299060__1.299060	626933__H1DGX0__HMPREF9449_01506
ERR1913040.299194__1.299194	39491__A0A396FGM9__fliU_1
ERR1913040.299363__1.299363	39485__C4Z685__EUBELI_20332
ERR1913040.299417__1.299417	39491__A0A396FE96__EUR_00280
ERR1913040.299444__1.299444	69974__A0A090FEL8__MPL3365_630008
ERR1913040.299519__1.299519	626933__H1DGX0__HMPREF9449_01506
ERR1913040.299656__1.299656	626933__H1DGX0__HMPREF9449_01506
ERR1913040.299741__1.299741	154288__A0A109RLT9__ERS852561_02039
ERR1913040.299939__1.299939	39485__C4Z6K2__ERS852490_00407
ERR1913040.299991__1.299991	165179__A0A3E5AAM8__DXB80_10240
ERR1913040.300010__1.300010	1323__A0A3E3E4C9__DXC78_06945
ERR1913040.300014__1.300014	69974__A0A090FEL8__MPL3365_630008
ERR1913040.300077__1.300077	853__A0A174C5M1__CGS58_04460
ERR1913040.300117__1.300117	88431__A6BDF9__ERS852573_01553
ERR1913040.300126__1.300126	165179__D1PCL6__DXB80_13435
ERR1913040.300287__1.300287	626930__F3PVE3__HMPREF9446_02721
ERR1913040.300324__1.300324	116085__D4J4Z6__DW747_07495
ERR1913040.300518__1.300518	39485__A0A174YR79__EUBELI_20418
ERR1913040.300590__1.300590	69974__A0A090FEL8__MPL3365_630008
ERR1913040.300621__1.300621	165179__A0A174UTZ7__DXC61_06705
ERR1913040.300664__1.300664	47678__R5UXY0__CGC64_03535
ERR1913040.300825__1.300825	69974__A0A090FEL8__MPL3365_630008
ERR1913040.300867__1.300867	820__A0A139K4W5__HMPREF2141_02394
ERR1913040.300879__1.300879	1262992__R5CXV1__BN795_01088
ERR1913040.300901__1.300901	1262924__R7HQD9__BN585_00129
ERR1913040.301096__1.301096	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913040.301057__1.301057	69974__A0A090FEL8__MPL3365_630008
ERR1913040.301059__1.301059	1150298__A0A174SLE6__mlc_1
ERR1913040.301123__1.301123	28117__B0MSR5__BHV66_02095
ERR1913040.301316__1.301316	28116__R6JI94__ERS852555_01222
ERR1913040.301399__1.301399	69974__A0A090FEL8__MPL3365_630008
ERR1913040.301561__1.301561	310298__B3JQL6__BACCOP_04252
ERR1913040.301630__1.301630	69974__A0A090FEL8__MPL3365_630008
ERR1913040.301714__1.301714	853__A0A2A7AXC8__C4N21_14120
ERR1913040.302112__1.302112	28117__B0MU76__ALIPUT_00202
ERR1913040.302448__1.302448	151539__GeneID:920481
ERR1913040.302556__1.302556	371601__D6CXU6__CW3_4709
ERR1913040.302565__1.302565	69974__A0A090FEL8__MPL3365_630008
ERR1913040.302626__1.302626	1680__A7A4N3__ERS852382_00779
ERR1913040.302642__1.302642	626933__H1DGX0__HMPREF9449_01506
ERR1913040.302758__1.302758	39485__R5ZRT8__gmr_6
ERR1913040.302907__1.302907	165179__A0A229I3Z6__PREVCOP_03666
ERR1913040.303078__1.303078	69974__A0A090FEL8__MPL3365_630008
ERR1913040.303128__1.303128	69974__A0A090FEL8__MPL3365_630008
ERR1913040.303209__1.303209	40518__R5E6G1__DXD83_06815
ERR1913040.303247__1.303247	28117__R7JIJ8__BHV66_01635
ERR1913040.303310__1.303310	310298__B3JF96__BACCOP_00544
ERR1913040.303335__1.303335	853__A0A173T6P2__DWZ46_14595
ERR1913040.303352__1.303352	69974__A0A090FEL8__MPL3365_630008
ERR1913040.303435__1.303435	39491__D4JMW8__ERS852497_01971
ERR1913040.303590__1.303590	69974__A0A090FEL8__MPL3365_630008
ERR1913040.303649__1.303649	853__E2ZJT1__C4N23_03535
ERR1913040.303704__1.303704	1308__Q56S46__AMD33_01255
ERR1913040.303705__1.303705	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913040.303807__1.303807	1323__A0A380LML1__NCTC11087_01805
ERR1913040.303824__1.303824	69974__A0A090FEL8__MPL3365_630008
ERR1913040.303863__1.303863	69974__A0A090FEL8__MPL3365_630008
ERR1913040.303911__1.303911	310298__B3JN71__BACCOP_03383
ERR1913040.303962__1.303962	818__R9GZ02__C799_04453
ERR1913040.303964__1.303964	69974__A0A090FEL8__MPL3365_630008
ERR1913040.304105__1.304105	69974__A0A090FEL8__MPL3365_630008
ERR1913040.304131__1.304131	39485__C4Z6V7__walK
ERR1913040.304163__1.304163	40518__R5DPE0__DXD86_06515
ERR1913040.304205__1.304205	39485__A0A174YMI9__cph2_5
ERR1913040.304373__1.304373	204516__U6RF58__HMPREF1534_02095
ERR1913040.304436__1.304436	69974__A0A090FEL8__MPL3365_630008
ERR1913040.304448__1.304448	820__A0A3E4G826__C801_01612
ERR1913040.304551__1.304551	39491__A0A395UZ89__DXB72_12805
ERR1913040.304578__1.304578	626933__H1DGX0__HMPREF9449_01506
ERR1913040.304756__1.304756	69974__A0A090FEL8__MPL3365_630008
ERR1913040.304813__1.304813	69974__A0A090FEL8__MPL3365_630008
ERR1913040.304848__1.304848	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913040.304949__1.304949	165179__A0A229I3Z6__PREVCOP_03666
ERR1913040.304971__1.304971	1501392__A0A0B2JMA7__PU94_00895
ERR1913040.305100__1.305100	487173__H1D1P5__HMPREF9453_01533
ERR1913040.305177__1.305177	301302__A0A173UT39__M72_23901
ERR1913040.305462__1.305462	418240__C6JAJ8__ERS852478_03436
ERR1913040.305469__1.305469	626933__H1DGX0__HMPREF9449_01506
ERR1913040.305442__1.305442	28117__B0MXL6__ALIPUT_01851
ERR1913040.305417__1.305417	39485__A0A175A403__EUBELI_20577
ERR1913040.305568__1.305568	39491__A0A396FJJ9__DXB76_11995
ERR1913040.305588__1.305588	28118__A0A3D4ZFP4__DHW44_00270
ERR1913040.305636__1.305636	1262924__R7HU74__BN585_00690
ERR1913040.305718__1.305718	69974__A0A090FEL8__MPL3365_630008
ERR1913040.305770__1.305770	165179__A0A3E5DN34__DXC61_07865
ERR1913040.305852__1.305852	1262992__R5D733__BN795_00375
ERR1913040.305896__1.305896	69974__A0A090FEL8__MPL3365_630008
ERR1913040.306002__1.306002	69974__A0A090FEL8__MPL3365_630008
ERR1913040.306100__1.306100	165179__A0A3E5AER8__DXB80_07075
ERR1913040.306085__1.306085	2108523__A0A2P2F7L3__LAWASA_1995
ERR1913040.306215__1.306215	310298__B3JMG0__BACCOP_03099
ERR1913040.306247__1.306247	28117__B0MXX2__ALIPUT_01984
ERR1913040.306402__1.306402	69974__A0A090FEL8__MPL3365_630008
ERR1913040.306466__1.306466	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913040.306512__1.306512	165179__D1PCY7__DXB80_02765
ERR1913040.306620__1.306620	1965555__A0A1Y4SC11__B5E77_07555
ERR1913040.306596__1.306596	649756__A0A173TB83__HMPREF0369_01758
ERR1913040.306637__1.306637	28117__B0MTV0__BHV66_06395
ERR1913040.306696__1.306696	39485__A0A175A273__plsX_2
ERR1913040.306769__1.306769	818__A0A3E5GX69__NCTC13706_00796
ERR1913040.306917__1.306917	1105031__J1H3W2__HMPREF1141_2783
ERR1913040.306969__1.306969	1501392__A0A0B2JQY8__PU94_02635
ERR1913040.307016__1.307016	204516__U6R838__HMPREF1534_03867
ERR1913040.307056__1.307056	69974__A0A090FEL8__MPL3365_630008
ERR1913040.307252__1.307252	1262992__R5CXM7__BN795_01016
ERR1913040.307308__1.307308	1262743__R5C3A8__BN727_00457
ERR1913040.307447__1.307447	556259__E5C816__BSGG_0563
ERR1913040.307654__1.307654	626933__H1DGX0__HMPREF9449_01506
ERR1913040.307731__1.307731	204516__U6RFU0__HMPREF1534_02545
ERR1913040.307750__1.307750	1262911__R6GPB1__BN557_00837
ERR1913040.307800__1.307800	204516__U6R9L2__HMPREF1534_03110
ERR1913040.307814__1.307814	1150298__A0A174SLE6__mlc_1
ERR1913040.307993__1.307993	1262929__R6EYU3__BN691_00676
ERR1913040.308146__1.308146	165179__A0A3E5DZ45__DXC61_02820
ERR1913040.308094__1.308094	165179__A0A3E5DV57__DXB80_11400
ERR1913040.308265__1.308265	116085__D4J9Y4__rsmB
ERR1913040.308366__1.308366	39485__C4Z0G6__spoIVB
ERR1913040.308379__1.308379	165179__A0A174UTZ7__DXC61_06705
ERR1913040.308381__1.308381	853__A8S882__C4N23_07600
ERR1913040.308387__1.308387	39485__A0A174ZNZ2__ERS852492_02345
ERR1913040.308467__1.308467	88431__A0A174GCE2__ERS852423_01397
ERR1913040.308480__1.308480	39485__A0A174YZE2__spoIIE
ERR1913040.308539__1.308539	165179__A0A3E5EAM5__DXC61_07785
ERR1913040.308552__1.308552	69974__A0A090FEL8__MPL3365_630008
ERR1913040.308698__1.308698	39491__A0A396FUZ3__phoR_1
ERR1913040.308760__1.308760	310298__B3JNH4__BACCOP_03487
ERR1913040.308763__1.308763	1262924__R7HRF6__BN585_01735
ERR1913040.308859__1.308859	39485__R5ZRN3__ERS852490_00208
ERR1913040.308847__1.308847	626933__H1DGX0__HMPREF9449_01506
ERR1913040.308855__1.308855	817__A0A0E2SZV3__M087_0730
ERR1913040.308882__1.308882	39491__A0A395V0H3__ERS852417_01192
ERR1913040.308954__1.308954	69974__A0A090FEL8__MPL3365_630008
ERR1913040.309367__1.309367	301302__A0A0M6WB38__ERS852420_00286
ERR1913040.309431__1.309431	39491__A0A396FUZ3__phoR_1
ERR1913040.309496__1.309496	204516__U6R921__HMPREF1534_03932
ERR1913040.309685__1.309685	28117__R7JIJ8__BHV66_01635
ERR1913040.309917__1.309917	47678__A0A3E5BQM1__DXB67_08970
ERR1913040.309923__1.309923	69974__A0A090FEL8__MPL3365_630008
ERR1913040.309970__1.309970	69974__A0A090FEL8__MPL3365_630008
ERR1913040.310006__1.310006	1796613__A0A1C7GYD6__A4V03_03700
ERR1913040.310034__1.310034	69974__A0A090FEL8__MPL3365_630008
ERR1913040.310178__1.310178	310298__B3JGJ2__BACCOP_00994
ERR1913040.310321__1.310321	69974__A0A090FEL8__MPL3365_630008
ERR1913040.310336__1.310336	853__A0A329UEG4__CHR60_00585
ERR1913040.310570__1.310570	165179__A0A3E5E4T9__DXB80_08030
ERR1913040.310702__1.310702	1965632__A0A1Y4A6X2__B5F91_11655
ERR1913040.310711__1.310711	69974__A0A090FEL8__MPL3365_630008
ERR1913040.310761__1.310761	28117__B0MY82__BHV66_04755
ERR1913040.310805__1.310805	820__A0A139K5A6__DXB48_12175
ERR1913040.310808__1.310808	165179__A0A174IPI3__CFT61_10940
ERR1913040.310965__1.310965	39491__A0A174IJH1__DXB76_01865
ERR1913040.310901__1.310901	1160721__W0U5X6__RBI_I01796
ERR1913040.311056__1.311056	1160721__A0A1C6DCM8__RBI_I01997
ERR1913040.311220__1.311220	165179__A0A3E5DV57__DXB80_11400
ERR1913040.311286__1.311286	39485__A0A174YRS0__ERS852492_00307
ERR1913040.311355__1.311355	69974__A0A090FEL8__MPL3365_630008
ERR1913040.311438__1.311438	1628085__A0A2U1B935__C7386_11439
ERR1913040.311484__1.311484	39491__A0A395UWZ1__DXC13_02175
ERR1913040.311590__1.311590	39492__D4JU81__xseA
ERR1913040.311609__1.311609	1262911__R6GN99__BN557_01784
ERR1913040.311658__1.311658	204516__U6R9E6__HMPREF1534_03149
ERR1913040.311678__1.311678	1262924__R7HND0__BN585_00157
ERR1913040.311672__1.311672	39485__C4Z1Y6__EUBELI_00140
ERR1913040.311822__1.311822	40518__A0A1C6H8C4__DXD93_02535
ERR1913040.311853__1.311853	28117__B0MU58__BHV66_05630
ERR1913040.311900__1.311900	301302__R5VFQ6__ERS852420_00378
ERR1913040.311906__1.311906	69974__A0A090FEL8__MPL3365_630008
ERR1913040.311929__1.311929	1262924__R7HRJ9__BN585_00557
ERR1913040.312005__1.312005	310298__B3JPY4__BACCOP_04016
ERR1913040.312107__1.312107	820__A7V092__hldE
ERR1913040.312151__1.312151	310298__B3JJG1__BACCOP_02031
ERR1913040.312209__1.312209	28117__B0MYM2__BHV66_04910
ERR1913040.312186__1.312186	853__A0A3E2U7E6__ERS852582_01640
ERR1913040.312190__1.312190	40518__R5DTH7__DXD83_02405
ERR1913040.312326__1.312326	69974__A0A090FEL8__MPL3365_630008
ERR1913040.312293__1.312293	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913040.312359__1.312359	69974__A0A090FEL8__MPL3365_630008
ERR1913040.312401__1.312401	47678__R5U7A9__C5Z00_03635
ERR1913040.312607__1.312607	165179__D1PGU8__PREVCOP_06463
ERR1913040.312643__1.312643	69974__A0A090FEL8__MPL3365_630008
ERR1913040.312743__1.312743	165179__D1PCL6__DXB80_13435
ERR1913040.312797__1.312797	69974__A0A090FEL8__MPL3365_630008
ERR1913040.312949__1.312949	310298__B3JMG0__BACCOP_03099
ERR1913040.313041__1.313041	165179__D1PEQ5__PREVCOP_05711
ERR1913040.313051__1.313051	69974__A0A090FEL8__MPL3365_630008
ERR1913040.313089__1.313089	818__A0A174T624__HMPREF2534_01176
ERR1913040.313295__1.313295	820__A0A3E4WCX3__C801_02709
ERR1913040.313344__1.313344	1262743__R5C3A8__BN727_00457
ERR1913040.313633__1.313633	487173__H1D187__HMPREF9453_01375
ERR1913040.313654__1.313654	40518__R5DU74__RBATCC27255_00707
ERR1913040.313676__1.313676	39485__R5ZT06__EUBELI_20526
ERR1913040.313700__1.313700	39485__A0A174YIY1__cheY_1
ERR1913040.313859__1.313859	69974__A0A090FEL8__MPL3365_630008
ERR1913040.313901__1.313901	69974__A0A090FEL8__MPL3365_630008
ERR1913040.313966__1.313966	1262924__R7HT26__BN585_00306
ERR1913040.314090__1.314090	165179__A0A3E5AER8__DXB80_07075
ERR1913040.314115__1.314115	69974__A0A090FEL8__MPL3365_630008
ERR1913040.314247__1.314247	33039__D4M6I1__nadB_2
ERR1913040.314420__1.314420	1262929__R6F6C8__BN691_01344
ERR1913040.314479__1.314479	1262924__R7HU74__BN585_00690
ERR1913040.314498__1.314498	165179__A0A3E5DN34__DXC61_07865
ERR1913040.314500__1.314500	39485__R5ZVC3__ERS852490_00250
ERR1913040.314653__1.314653	310298__B3JK97__BACCOP_02326
ERR1913040.314681__1.314681	28116__A0A395VZB9__Bovatus_03205
ERR1913040.314819__1.314819	33038__A7AZH0__HMPREF1201_02167
ERR1913040.315211__1.315211	216816__A0A0A6VPB9__B624_1780
