ERR1913022.106__1.106	454154__G5SMG6__HMPREF9441_00541
ERR1913022.1230377__1.1230377	357276__C3R9Y0__HMPREF1064_01889
ERR1913022.1230488__1.1230488	291644__I9TNC0__ERS852428_03402
ERR1913022.1230461__1.1230461	1262889__R7H8I0__BN634_00208
ERR1913022.1230909__1.1230909	818__A0A139KCA0__SAMN05216253_102371
ERR1913022.1230927__1.1230927	39492__D4JRL2__ERS852540_01608
ERR1913022.1230935__1.1230935	487174__K0X0F6__HMPREF9448_01444
ERR1913022.1230968__1.1230968	1262935__R5GFW3__BN773_00404
ERR1913022.1231140__1.1231140	1262889__R7HAN4__BN634_02105
ERR1913022.1231148__1.1231148	410072__C0BBT6__DXD67_02315
ERR1913022.1231435__1.1231435	357276__B6W5Q9__HMPREF1063_03125
ERR1913022.1231578__1.1231578	39490__A0A2V1JTN0__gltR
ERR1913022.1231607__1.1231607	1262743__R5C054__BN727_01980
ERR1913022.1231694__1.1231694	357276__I9QBT7__BSEG_03340
ERR1913022.1231893__1.1231893	2293125__A0A374C671__DW917_09135
ERR1913022.1231974__1.1231974	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913022.1232188__1.1232188	28111__E5WUX1__HMPREF1016_00548
ERR1913022.1232307__1.1232307	1042156__F7V3A8__HipB
ERR1913022.1232428__1.1232428	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1913022.1232510__1.1232510	28117__B0MTW8__ALIPUT_00502
ERR1913022.1232480__1.1232480	821__I9R3W6__DXC16_12455
ERR1913022.1232545__1.1232545	820__A0A3E4RU03__M093_0563
ERR1913022.1232692__1.1232692	821__A0A396EVC9__DXB90_03525
ERR1913022.1232906__1.1232906	47678__R5U7L8__DXB67_16595
ERR1913022.1233136__1.1233136	291644__R5JS80__HMPREF1532_00848
ERR1913022.1233188__1.1233188	1262992__R5DCV6__BN795_00412
ERR1913022.1233189__1.1233189	1262889__R7HD87__BN634_01680
ERR1913022.1233339__1.1233339	47678__R5UMC3__CGC64_08380
ERR1913022.1233596__1.1233596	1263044__GCA_000433375.1_00023
ERR1913022.1233678__1.1233678	28118__F9Z5N6__SAMEA44545918_01718
ERR1913022.1234123__1.1234123	418240__C6JAJ8__ERS852478_03436
ERR1913022.1234126__1.1234126	821__A0A0P0L8F8__ERS852509_03705
ERR1913022.1234262__1.1234262	820__R7E9Z4__DXC68_06065
ERR1913022.1234682__1.1234682	487174__K0WZ94__HMPREF9448_00984
ERR1913022.1234839__1.1234839	28052__A0A174M9U3__ERS852451_02548
ERR1913022.1235035__1.1235035	39492__D4JRM4__tap_5
ERR1913022.1235140__1.1235140	384638__B7AVU0__BACPEC_02840
ERR1913022.1235117__1.1235117	1262945__R6Z2E6__BN600_01343
ERR1913022.1235373__1.1235373	40518__R5E4E8__phoR_4
ERR1913022.1235398__1.1235398	357276__A0A076IN21__BSEG_03078
ERR1913022.1235790__1.1235790	291644__I8YWN0__ERS852428_00248
ERR1913022.1235833__1.1235833	1262945__R6YNE4__BN600_01653
ERR1913022.1235905__1.1235905	246787__E2N7G0__resA_6
ERR1913022.1236016__1.1236016	357276__I9QWD4__DXD47_15075
ERR1913022.1236061__1.1236061	821__A0A3E4WAR6__DXD64_10735
ERR1913022.1236135__1.1236135	2293125__A0A374BV30__DW917_13395
ERR1913022.1236176__1.1236176	745368__A0A1T4Y388__SAMN02745178_02684
ERR1913022.1236242__1.1236242	357276__B6VYT9__HMPREF1063_05030
ERR1913022.1236294__1.1236294	823__A0A174XJM9__CEQ22_007230
ERR1913022.1236778__1.1236778	487174__K0X1V7__DIT83_03020
ERR1913022.1237055__1.1237055	28116__I8Y7V6__HMPREF1017_02728
ERR1913022.1237289__1.1237289	46506__A0A108TAK3__fepA_3
ERR1913022.1237379__1.1237379	33039__A0A173VTT4__frdB_1
ERR1913022.1237454__1.1237454	821__A0A3E4WAR6__DXD64_10735
ERR1913022.1237498__1.1237498	291644__R5JS80__HMPREF1532_00848
ERR1913022.1237623__1.1237623	384638__B7APN3__BACPEC_00639
ERR1913022.1237729__1.1237729	357276__A0A0K2HDP3__IY41_00705
ERR1913022.1237961__1.1237961	46503__A7A9H8__DD461_05910
ERR1913022.1238148__1.1238148	371601__A0A1I4R345__BN891_16250
ERR1913022.1238423__1.1238423	154288__A0A174PVT3__yjjP
ERR1913022.1238521__1.1238521	821__A0A396F9T7__M097_3427
ERR1913022.1238604__1.1238604	357276__A0A076IS73__GV66_00410
ERR1913022.1238757__1.1238757	821__A0A397WGD6__M098_0084
ERR1913022.1238779__1.1238779	357276__A0A0K2HDP3__IY41_00705
ERR1913022.1238829__1.1238829	820__A0A1T4IYF4__mprA_1
ERR1913022.1238932__1.1238932	821__A0A3E4HP25__SAMN04487923_102450
ERR1913022.1238985__1.1238985	46228__V8BSF5__RUMLAC_01949
ERR1913022.1239058__1.1239058	1262889__R7HAQ6__BN634_02130
ERR1913022.1239251__1.1239251	39488__A0A173SXL5__DXD91_06505
ERR1913022.1239419__1.1239419	28111__E5X333__NCTC11155_03016
ERR1913022.1239572__1.1239572	47678__A5ZHL2__DXB67_12495
ERR1913022.1239589__1.1239589	33039__D4M4Y2__ERS852390_00147
ERR1913022.1239650__1.1239650	246787__A0A108TGJ4__AA416_00453
ERR1913022.1239736__1.1239736	1512__A0A174KNP0__CLOSYM_04848
ERR1913022.1239787__1.1239787	28026__C0BR32__DXC48_06585
ERR1913022.1239897__1.1239897	1262935__R5GRP8__BN773_01395
ERR1913022.1239960__1.1239960	357276__C3R5A0__B5F00_02960
ERR1913022.1240019__1.1240019	357276__A0A0M1W9N4__GV66_05135
ERR1913022.1240029__1.1240029	39488__A0A173RDQ1__EUBHAL_02348
ERR1913022.1240002__1.1240002	357276__A0A0M1VYB8__HMPREF1063_02104
ERR1913022.1240429__1.1240429	39492__D4MIY5__EUBSIR_00233
ERR1913022.1240398__1.1240398	357276__A0A076IRZ5__BACDOR_00630
ERR1913022.1240526__1.1240526	454155__F3QSU2__HMPREF9442_01256
ERR1913022.1240633__1.1240633	291644__I9SQZ5__ERS852428_01656
ERR1913022.1240793__1.1240793	823__A0A078SYK6__DXB14_02485
ERR1913022.1240907__1.1240907	1262935__R5GSZ0__BN773_01827
ERR1913022.1241076__1.1241076	1262889__R7HA74__BN634_01063
ERR1913022.1241180__1.1241180	820__A0A173WZS4__DXD90_10250
ERR1913022.1241184__1.1241184	46503__R6X5E7__PARMER_00245
ERR1913022.1241193__1.1241193	821__A0A174NSU0__BVU_3144
ERR1913022.1241235__1.1241235	821__A0A0P0LFP6__C5Z04_13890
ERR1913022.1241467__1.1241467	46228__B5CPX5__RUMLAC_01520
ERR1913022.1241531__1.1241531	357276__A0A0M1W9N4__GV66_05135
ERR1913022.1241672__1.1241672	46506__A0A3E4TL81__HMPREF1181_01022
ERR1913022.1241680__1.1241680	246787__A0A120A2E7__HMPREF1062_06329
ERR1913022.1241727__1.1241727	301301__A0A395V714__evgS
ERR1913022.1241822__1.1241822	338188__A0A174EU88__BACFIN_08820
ERR1913022.1241829__1.1241829	165179__A0A3E5EAM5__DXC61_07785
ERR1913022.1241980__1.1241980	357276__I8WBQ9__HMPREF1065_03212
ERR1913022.1242108__1.1242108	1262935__R5GUZ2__BN773_00533
ERR1913022.1242345__1.1242345	820__A0A139KHD8__ERS417307_00569
ERR1913022.1242443__1.1242443	454155__F3QX18__HMPREF9442_02752
ERR1913022.1242653__1.1242653	1501391__GCA_000786575.1_00085
ERR1913022.1242712__1.1242712	46503__B7BG40__ERS852463_01623
ERR1913022.1242783__1.1242783	487174__K0X3L3__DDY40_11345
ERR1913022.1242883__1.1242883	823__A0A355XLQ9__DXC05_02185
ERR1913022.1242878__1.1242878	39491__A0A174IJH1__DXB76_01865
ERR1913022.1242951__1.1242951	357276__A0A0K2HDP3__IY41_00705
ERR1913022.1243007__1.1243007	165179__A0A229I7F5__DXB80_02650
ERR1913022.1243053__1.1243053	47678__A5ZJ14__ERS852494_02225
ERR1913022.1243154__1.1243154	28116__C3QSX8__SAMN05444282_101331
ERR1913022.1243174__1.1243174	2293125__A0A374BSW4__DW917_13420
ERR1913022.1243350__1.1243350	291644__R5JRB4__HMPREF1532_01623
ERR1913022.1243495__1.1243495	1501391__GCA_000786575.1_00092
ERR1913022.1243547__1.1243547	40518__R5DPE0__DXD86_06515
ERR1913022.1244067__1.1244067	28116__A0A3A9HTT7__BACOVA_05446
ERR1913022.1244197__1.1244197	1262935__R5GH94__BN773_00883
ERR1913022.1244222__1.1244222	357276__A0A076ISJ4__B5F95_19420
ERR1913022.1244407__1.1244407	454155__F3QQI3__HMPREF9442_00425
ERR1913022.1244479__1.1244479	291644__R5JA59__HMPREF1071_02804
ERR1913022.1244515__1.1244515	40520__C6JG23__ERS852533_01990
ERR1913022.1244530__1.1244530	1381__group_451
ERR1913022.1245010__1.1245010	28118__F9ZAE1__DF785_04930
ERR1913022.1245198__1.1245198	39488__A0A173Y251__mscS
ERR1913022.1245673__1.1245673	166486__D4KZ69__ERS852572_01502
ERR1913022.1245803__1.1245803	458033__GCA_001482755.1_02203
ERR1913022.1245860__1.1245860	39486__B0G7W4__DXD50_04530
ERR1913022.1246138__1.1246138	821__A0A174RA14__M099_1655
ERR1913022.1246521__1.1246521	1262935__R5GT80__BN773_01758
ERR1913022.1246632__1.1246632	39490__A0A173S8F7__ERS852448_00834
ERR1913022.1246765__1.1246765	165179__A0A229I7F5__DXB80_02650
ERR1913022.1246822__1.1246822	853__E2ZJT1__C4N23_03535
ERR1913022.1246834__1.1246834	823__A0A395YXR9__M091_4086
ERR1913022.1247152__1.1247152	487174__K0X3E9__DDY40_04905
ERR1913022.1247239__1.1247239	1262886__R6QSD5__BN563_01674
ERR1913022.1247368__1.1247368	204516__U6RFU0__HMPREF1534_02545
ERR1913022.1247476__1.1247476	458033__GCA_001482755.1_02203
ERR1913022.1247609__1.1247609	357276__B6W1J2__BACDOR_03380
ERR1913022.1248003__1.1248003	291644__I9HRU8__ERS852428_03635
ERR1913022.1248111__1.1248111	1262886__R6QHF8__BN563_00567
ERR1913022.1248323__1.1248323	47678__R5U7M7__CGC64_14730
ERR1913022.1248331__1.1248331	357276__A0A1Y3Z6X3__GV66_07715
ERR1913022.1248348__1.1248348	39488__A0A285PT25__EUBHAL_01908
ERR1913022.1248913__1.1248913	1318__W1VC28__HMPREF9962_1236
ERR1913022.1249119__1.1249119	28116__A0A395VT11__SAMN05444282_11739
ERR1913022.1249927__1.1249927	1263000__R5ENW4__BN466_00456
ERR1913022.1250081__1.1250081	821__A0A3E4WAR6__DXD64_10735
ERR1913022.1250123__1.1250123	394340__uvrC
ERR1913022.1250126__1.1250126	823__C7XBX3__HMPREF1059_03212
ERR1913022.1250246__1.1250246	1262888__R6PSF8__BN582_01403
ERR1913022.1250426__1.1250426	357276__A0A0M1W657__HMPREF1064_04629
ERR1913022.1250718__1.1250718	357276__A0A076IN30__DXD47_09350
ERR1913022.1250753__1.1250753	823__A0A355XLQ9__DXC05_02185
ERR1913022.1250870__1.1250870	821__A0A174NM17__lacZ_6
ERR1913022.1250970__1.1250970	454155__F3QPC5__HMPREF9442_00012
ERR1913022.1251025__1.1251025	28111__E5WYC3__NCTC11155_03517
ERR1913022.1251100__1.1251100	46228__B5CSE2__HMPREF1202_00716
ERR1913022.1251174__1.1251174	357276__I9QWD4__DXD47_15075
ERR1913022.1251318__1.1251318	39488__A0A374NPE4__EUBHAL_00845
ERR1913022.1251442__1.1251442	357276__B6VT86__IY41_22515
ERR1913022.1251448__1.1251448	291644__I8Y742__susE
ERR1913022.1251616__1.1251616	291644__R5JP40__HMPREF1071_01986
ERR1913022.1251623__1.1251623	39488__A0A174GS53__dnaC_1
ERR1913022.1251844__1.1251844	371601__D4WBK5__BN891_3970
ERR1913022.1251935__1.1251935	1262935__R5GEN3__BN773_01757
ERR1913022.1252199__1.1252199	39492__D4JRZ7__smc
ERR1913022.1252231__1.1252231	39488__A0A374NRX1__licR_1
ERR1913022.1252294__1.1252294	291644__I9SJC4__ERS852428_02891
ERR1913022.1252352__1.1252352	820__A0A374Q8T2__DXB64_16190
ERR1913022.1252411__1.1252411	1262825__R5DZJ8__BN724_01044
ERR1913022.1252538__1.1252538	39492__D4MJF3__EUBSIR_02248
ERR1913022.1252519__1.1252519	706562__GCA_900112995.1_01419
ERR1913022.1252717__1.1252717	454154__G5SVN0__HMPREF9441_03447
ERR1913022.1253042__1.1253042	1501391__GCA_000786575.1_00038
ERR1913022.1253146__1.1253146	1262888__R6QB20__BN582_00060
ERR1913022.1253157__1.1253157	820__R9HP61__DXC91_01090
ERR1913022.1253172__1.1253172	821__A0A3E4WAR6__DXD64_10735
ERR1913022.1253230__1.1253230	1262935__R5GIS0__BN773_01547
ERR1913022.1253321__1.1253321	291644__R5JAW4__HMPREF1071_01744
ERR1913022.1253389__1.1253389	166486__D4KXK8__xynB_1
ERR1913022.1253485__1.1253485	487174__K0WUW8__DDY40_02615
ERR1913022.1253535__1.1253535	28111__R5K2I8__HMPREF1016_03182
ERR1913022.1253536__1.1253536	853__A0A3E2U7E6__ERS852582_01640
ERR1913022.1253665__1.1253665	1796613__A0A1C7H2D6__A4V03_10740
ERR1913022.1253815__1.1253815	823__A0A174PAQ4__ERS852429_04218
ERR1913022.1253964__1.1253964	40518__R5DY98__mepA_5
ERR1913022.1254239__1.1254239	820__A0A374QGD2__ERS852421_02382
ERR1913022.1254277__1.1254277	46228__B5CTB8__DXD17_12310
ERR1913022.1254551__1.1254551	39491__A0A0M6WLC7__ERS852497_00640
ERR1913022.1254558__1.1254558	28111__R5K5Y3__BACEGG_03205
ERR1913022.1254657__1.1254657	454155__F3QUK4__HMPREF9442_01877
ERR1913022.1254621__1.1254621	291644__I8YWL3__HMPREF1532_01571
ERR1913022.1254629__1.1254629	28118__R6FD01__B5F99_06665
ERR1913022.1254666__1.1254666	357276__I9RCD3__IY41_15070
ERR1913022.1254713__1.1254713	1628085__A0A374VPS0__C7386_1243
ERR1913022.1254761__1.1254761	357276__B6VT86__IY41_22515
ERR1913022.1255555__1.1255555	357276__D1JY58__BACDOR_04277
ERR1913022.1255559__1.1255559	454154__G5SQ59__HMPREF9441_01496
ERR1913022.1255562__1.1255562	47678__R5UER2__CGC64_00710
ERR1913022.1255692__1.1255692	46228__V8BSH8__HMPREF1202_02173
ERR1913022.1255694__1.1255694	1262736__R5YDL1__BN496_00744
ERR1913022.1255698__1.1255698	46506__R6B8Z4__SAMN05444283_11711
ERR1913022.1255837__1.1255837	820__A0A139K9Q2__DXD40_08795
ERR1913022.1255908__1.1255908	820__A0A374Q8T2__DXB64_16190
ERR1913022.1256008__1.1256008	2293125__A0A374BSW4__DW917_13420
ERR1913022.1256020__1.1256020	626930__F3PWA3__HMPREF9446_03038
ERR1913022.1256036__1.1256036	357276__D1JY58__BACDOR_04277
ERR1913022.1256077__1.1256077	357276__A0A0K2HG61__BACDOR_02028
ERR1913022.1256321__1.1256321	357276__C3RDQ5__HMPREF1065_03827
ERR1913022.1256710__1.1256710	338188__A0A174ETX3__ERS852397_01955
ERR1913022.1256733__1.1256733	823__A6LC27__DXB14_11470
ERR1913022.1256789__1.1256789	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913022.1256854__1.1256854	357276__I8WAB8__B5F00_08100
ERR1913022.1257101__1.1257101	204516__U6RDD8__HMPREF1534_02559
ERR1913022.1257105__1.1257105	28111__R5K5X6__NCTC11155_02508
ERR1913022.1257357__1.1257357	2173__A0A1D2WST6__METSMIALI_00213
ERR1913022.1257331__1.1257331	246787__A0A0P0G684__cirA_10
ERR1913022.1257413__1.1257413	487175__D9Y5T7__HMPREF9439_00715
ERR1913022.1257502__1.1257502	291644__I9I2F9__HMPREF1532_01625
ERR1913022.1257733__1.1257733	649756__A0A173S795__DO83_12945
ERR1913022.1257840__1.1257840	166486__D4L255__mcp4_5
ERR1913022.1257885__1.1257885	821__A0A3E4XY72__NCTC10583_01067
ERR1913022.1257898__1.1257898	39492__A0A174ZHV5__msbA_2
ERR1913022.1257955__1.1257955	357276__B6VXX7__HMPREF1063_02683
ERR1913022.1258154__1.1258154	487174__K0X5B1__DDY40_01695
ERR1913022.1258171__1.1258171	823__A0A395YZG9__M092_4358
ERR1913022.1258415__1.1258415	1897011__A0A1Q6RJV1__BHW41_00035
ERR1913022.1258495__1.1258495	1262893__R5GK54__BN782_01557
ERR1913022.1258643__1.1258643	1262935__R5GLG4__BN773_00617
ERR1913022.1258695__1.1258695	371601__A0A173ZG72__SAMN04487924_11442
ERR1913022.1258708__1.1258708	357276__A0A0M1W1I8__ABI39_13620
ERR1913022.1258770__1.1258770	357276__C3RDQ5__HMPREF1065_03827
ERR1913022.1258726__1.1258726	301301__A0A395VAM3__yfiN_2
ERR1913022.1258824__1.1258824	28111__R5JSC9__HMPREF1016_01677
ERR1913022.1259013__1.1259013	46228__V8CAY6__HMPREF1202_00567
ERR1913022.1259316__1.1259316	357276__A0A0K2HDP3__IY41_00705
ERR1913022.1259283__1.1259283	2293125__A0A374CIX5__DW917_01125
ERR1913022.1259675__1.1259675	1262889__R7HFT7__BN634_01537
ERR1913022.1259735__1.1259735	1262935__R5GSC2__BN773_01435
ERR1913022.1259811__1.1259811	821__A0A396F1N0__M099_1553
ERR1913022.1259875__1.1259875	39492__D4JUN0__EUBSIR_02705
ERR1913022.1260109__1.1260109	39491__A0A395UUN5__EUBREC_0291
ERR1913022.1260186__1.1260186	357276__I9RD92__BACDOR_04262
ERR1913022.1260270__1.1260270	1547597__A0A0C3R6L4__IE90_10150
ERR1913022.1260376__1.1260376	2293125__A0A374BSW4__DW917_13420
ERR1913022.1260483__1.1260483	165179__A0A229I3Z6__PREVCOP_03666
ERR1913022.1260527__1.1260527	1262743__R5C054__BN727_01980
ERR1913022.1260717__1.1260717	47678__A5ZI88__BACCAC_02617
ERR1913022.1260903__1.1260903	357276__A0A076INK2__BSEG_04225
ERR1913022.1260968__1.1260968	40520__R7D7V1__DXC87_12020
ERR1913022.1260982__1.1260982	1262935__R5GT76__BN773_01902
ERR1913022.1261164__1.1261164	33043__A0A174H1Y6__ERS852575_02698
ERR1913022.1261357__1.1261357	28111__E5X119__NCTC11155_02426
ERR1913022.1261509__1.1261509	1628085__A0A1C5ZMG9__C7386_104116
ERR1913022.1261730__1.1261730	936548__J1LM10__HMPREF1136_0288
ERR1913022.1261896__1.1261896	28111__E5WXT0__BACEGG_00796
ERR1913022.1262099__1.1262099	487174__K0X1D9__HMPREF9448_00919
ERR1913022.1262162__1.1262162	817__A0A1C0WW19__macB_12
ERR1913022.1262243__1.1262243	165179__A0A3E5EAM5__DXC61_07785
ERR1913022.1262291__1.1262291	357276__A0A076IIL0__EL88_03065
ERR1913022.1262326__1.1262326	853__A0A2A7B9I6__DW855_13690
ERR1913022.1262644__1.1262644	818__C6IIW4__dapH_1
ERR1913022.1262813__1.1262813	1262886__R6QPN8__BN563_00914
ERR1913022.1262966__1.1262966	39492__B0MP07__ERS852540_02083
ERR1913022.1263225__1.1263225	1304__F8LLL4__A6J87_06000
ERR1913022.1263243__1.1263243	39491__C4Z9Y3__ERS852417_01808
ERR1913022.1263528__1.1263528	204516__U6RDD8__HMPREF1534_02559
ERR1913022.1263542__1.1263542	1262889__R7H889__BN634_02048
ERR1913022.1263616__1.1263616	1262911__R6H1D2__BN557_00855
ERR1913022.1263749__1.1263749	487174__K0WY34__DDY40_07435
ERR1913022.1263906__1.1263906	818__A0A139L1D5__BT_2967
ERR1913022.1264147__1.1264147	1501392__A0A0B2JIM5__PU94_04435
ERR1913022.1264729__1.1264729	1297617__A0A2U1BAW7__C7373_1223
ERR1913022.1264833__1.1264833	40518__R5DXW3__DXD86_07900
ERR1913022.1264874__1.1264874	1262825__R5E8W5__BN724_02207
ERR1913022.1265130__1.1265130	853__A0A173RZ39__C4N22_01650
ERR1913022.1265158__1.1265158	39492__D4JWB3__EUBSIR_00040
ERR1913022.1265282__1.1265282	1262888__R6P4D1__BN582_01577
ERR1913022.1265352__1.1265352	1262935__R5GIS0__BN773_01547
ERR1913022.1265449__1.1265449	1262888__R6PKF4__BN582_01963
ERR1913022.1265519__1.1265519	28116__A0A1Y4Q363__Bovatus_00608
ERR1913022.1265754__1.1265754	1150298__A0A174E950__ERS852498_02096
ERR1913022.1265820__1.1265820	2293125__A0A374C671__DW917_09135
ERR1913022.1265937__1.1265937	46228__B5CP50__DXD17_00075
ERR1913022.1266014__1.1266014	40518__R5DV58__htrA
ERR1913022.1266122__1.1266122	357276__A0A0K2HDP3__IY41_00705
ERR1913022.1266465__1.1266465	291644__R5JBM4__ERS852428_01237
ERR1913022.1266575__1.1266575	357276__A0A0P0M2G3__BACDOR_03913
ERR1913022.1266663__1.1266663	46506__S3YBS6__AA415_01011
ERR1913022.1266719__1.1266719	821__A0A0P0LNX8__ERS852509_03015
ERR1913022.1266741__1.1266741	2108523__A0A2P2F314__LAWASA_362
ERR1913022.1266794__1.1266794	28111__R5JUJ8__nanA_2
ERR1913022.1266846__1.1266846	1897011__A0A1Q6RET2__BHW41_04000
ERR1913022.1266847__1.1266847	371601__A0A174FDF7__CW1_1994
ERR1913022.1266907__1.1266907	357276__I9FRW5__B5F95_21685
ERR1913022.1266949__1.1266949	33039__A0A173VNF2__truB
ERR1913022.1267095__1.1267095	204516__U6RH18__HMPREF1534_01847
ERR1913022.1267069__1.1267069	544645__A0A1Y3VSQ7__DXC42_05530
ERR1913022.1267145__1.1267145	116085__D4J6L8__DW747_08035
ERR1913022.1267217__1.1267217	47678__A5ZHJ2__DXB67_12405
ERR1913022.1267261__1.1267261	28118__F9Z750__Odosp_3044
ERR1913022.1267426__1.1267426	823__A0A174GGT1__queG
ERR1913022.1267378__1.1267378	821__A0A395VIK7__BVU_1225
ERR1913022.1267572__1.1267572	1262893__R5GYK3__BN782_01562
ERR1913022.1267706__1.1267706	357276__B6W1Y5__IY41_11405
ERR1913022.1267727__1.1267727	88431__A0A3D0EY52__ERS852573_01763
ERR1913022.1267854__1.1267854	821__A0A3E4HP25__SAMN04487923_102450
ERR1913022.1268251__1.1268251	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913022.1268561__1.1268561	39492__D4JR08__ERS852540_02467
ERR1913022.1268589__1.1268589	853__A8S882__C4N23_07600
ERR1913022.1268707__1.1268707	384638__B7APR1__BACPEC_00667
ERR1913022.1268964__1.1268964	357276__A0A0M1W9N4__GV66_05135
ERR1913022.1269142__1.1269142	460384__A0A1I0EHH8__C7256_03955
ERR1913022.1269204__1.1269204	357276__A0A076IKP2__HMPREF1063_00218
ERR1913022.1269469__1.1269469	1501391__GCA_000786575.1_00008
ERR1913022.1269518__1.1269518	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913022.1269741__1.1269741	28111__E5X119__NCTC11155_02426
ERR1913022.1270279__1.1270279	1262825__R5E8Y7__BN724_02314
ERR1913022.1270436__1.1270436	46228__B5CPY3__DXD17_03535
ERR1913022.1270454__1.1270454	821__A0A0P0LFP6__C5Z04_13890
ERR1913022.1270585__1.1270585	291644__I8YXS6__HMPREF1071_01285
ERR1913022.1270819__1.1270819	28111__E5X429__BACEGG_00952
ERR1913022.1270986__1.1270986	46228__V8BTB9__RUMLAC_01945
ERR1913022.1270955__1.1270955	204516__U6RFB2__HMPREF1534_01733
ERR1913022.1271103__1.1271103	46228__V8CBX9__HMPREF1202_00568
ERR1913022.1271223__1.1271223	28111__E5WUE9__NCTC11155_01729
ERR1913022.1271278__1.1271278	40518__R5DZB1__DXD83_08840
ERR1913022.1271441__1.1271441	410072__A0A174RDI4__drrA_6
ERR1913022.1271504__1.1271504	1262935__R5GL68__BN773_00556
ERR1913022.1271604__1.1271604	1262935__R5GF26__BN773_01700
ERR1913022.1271617__1.1271617	46228__V8C989__HMPREF1202_01036
ERR1913022.1271816__1.1271816	357276__A6L053__ABI39_04450
ERR1913022.1271857__1.1271857	40518__R5DTG5__RBATCC27255_00890
ERR1913022.1272003__1.1272003	487174__K0XG34__HMPREF9448_02234
ERR1913022.1272033__1.1272033	1780376__A0A143XQT4__BN3659_01658
ERR1913022.1272100__1.1272100	39491__C4Z8S1__DXB76_06750
ERR1913022.1272358__1.1272358	2173__A0A1D2WRC1__Msm_0093
ERR1913022.1272510__1.1272510	357276__A0A076IS26__EL88_15950
ERR1913022.1272563__1.1272563	572010__napA
ERR1913022.1272541__1.1272541	487174__K0X250__DDY40_03675
ERR1913022.1272572__1.1272572	166486__D4KJ39__ERS852572_02622
ERR1913022.1272897__1.1272897	47678__A5ZBM1__pknD_1
ERR1913022.1273205__1.1273205	204516__U6RFV1__HMPREF1534_02560
ERR1913022.1273285__1.1273285	357276__U6R8F9__DXD47_04035
ERR1913022.1273304__1.1273304	1227276__U2K7J0__HMPREF9148_02764
ERR1913022.1273502__1.1273502	291644__I8YR49__ERS852428_01188
ERR1913022.1273520__1.1273520	820__A0A174CG08__DXB62_13215
ERR1913022.1273543__1.1273543	823__A0A355XLQ9__DXC05_02185
ERR1913022.1273658__1.1273658	204516__U6R921__HMPREF1534_03932
ERR1913022.1273769__1.1273769	39491__A0A0M6WPN4__DXB69_06325
ERR1913022.1273823__1.1273823	39492__R6RT40__prkC_3
ERR1913022.1273832__1.1273832	2108523__A0A2P2F3W3__LAWASA_692
ERR1913022.1273842__1.1273842	1262886__R6QIV0__BN563_00982
ERR1913022.1273874__1.1273874	28116__D7J6A7__NCTC11153_02798
ERR1913022.1274224__1.1274224	28117__B0MU57__ALIPUT_00175
ERR1913022.1274274__1.1274274	357276__I9F327__DXD47_22495
ERR1913022.1274405__1.1274405	1628085__A0A2U1B477__C7386_12136
ERR1913022.1274611__1.1274611	28111__E5WVR8__NCTC11155_02792
ERR1913022.1274704__1.1274704	1262888__R6P9Q6__BN582_01144
ERR1913022.1275074__1.1275074	166486__D4L1P3__ERS852572_00760
ERR1913022.1275185__1.1275185	46228__B5CPT8__RUMLAC_01482
ERR1913022.1275315__1.1275315	46228__V8CAH7__HMPREF1202_00795
ERR1913022.1275435__1.1275435	291644__R5JG91__HMPREF1532_01961
ERR1913022.1275467__1.1275467	821__A6L0C7__ERS852556_03520
ERR1913022.1275522__1.1275522	39492__B0MS79__ERS852540_01394
ERR1913022.1275567__1.1275567	165179__A0A3E5EAM5__DXC61_07785
ERR1913022.1275577__1.1275577	1796613__A0A1C7H2D7__ADH74_14565
ERR1913022.1275672__1.1275672	357276__A0A0K2HI42__ABI39_06975
ERR1913022.1275698__1.1275698	487174__K0XM88__DDY40_02935
ERR1913022.1275820__1.1275820	46228__V8C484__HMPREF1202_01707
ERR1913022.1275856__1.1275856	821__A0A3E4WAR6__DXD64_10735
ERR1913022.1275873__1.1275873	46228__V8C7P7__HMPREF1202_01523
ERR1913022.1276039__1.1276039	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913022.1276167__1.1276167	39492__D4JWB3__EUBSIR_00040
ERR1913022.1276172__1.1276172	1262911__R6H0U7__BN557_01104
ERR1913022.1276364__1.1276364	1263000__R5EXT3__BN466_02213
ERR1913022.1276975__1.1276975	204516__U6REI9__HMPREF1534_02357
ERR1913022.1277044__1.1277044	28117__B0N007__BHV66_10275
ERR1913022.1277061__1.1277061	357276__C3REQ8__GV66_09740
ERR1913022.1277075__1.1277075	821__A0A0P0M2J4__DXD46_10295
ERR1913022.1277138__1.1277138	357276__A0A076IRV2__BACDOR_02822
ERR1913022.1277205__1.1277205	166486__D4KUC4__arcB_1
ERR1913022.1277198__1.1277198	329854__R5LZK1__DXD27_00590
ERR1913022.1277242__1.1277242	454155__G5SQI6__HMPREF9442_00585
ERR1913022.1277374__1.1277374	301301__A0A395VA63__sbcC
ERR1913022.1277502__1.1277502	357276__I8WAB8__B5F00_08100
