ERR1913139.199__1.199	901__B6WW26__DESPIG_02294
ERR1913139.736662__1.736662	357276__I9FRW5__B5F95_21685
ERR1913139.736937__1.736937	28117__B0MXW9__ALIPUT_01981
ERR1913139.736953__1.736953	165179__A0A3E5AI09__DXC61_05815
ERR1913139.737216__1.737216	360807__C0FPN7__ERS852444_02993
ERR1913139.737299__1.737299	165179__A0A3E5E5H1__DXC61_07220
ERR1913139.737379__1.737379	562__P23837__phoQ
ERR1913139.737498__1.737498	562__P77294__fimG
ERR1913139.737728__1.737728	1263000__R5EXT3__BN466_02213
ERR1913139.738193__1.738193	46503__R6WY26__HMPREF1078_03103
ERR1913139.738250__1.738250	2173__A0A1D2WWF3__METSMIALI_00379
ERR1913139.738438__1.738438	165179__A0A174SA26__PREVCOP_05758
ERR1913139.738560__1.738560	165179__D1PCY7__DXB80_02765
ERR1913139.739041__1.739041	360807__A0A396AF38__RIL183_00781
ERR1913139.739100__1.739100	1262911__R6H2J2__BN557_01228
ERR1913139.739105__1.739105	165179__D1PAJ7__PREVCOP_04222
ERR1913139.739172__1.739172	39491__R6UMS6__DXD13_07035
ERR1913139.739208__1.739208	39488__C0EUW7__ERS852578_01381
ERR1913139.739269__1.739269	74426__argF
ERR1913139.739361__1.739361	1263000__R5EXT3__BN466_02213
ERR1913139.739491__1.739491	165179__D1PEQ5__PREVCOP_05711
ERR1913139.739769__1.739769	129861__GeneID:5955699
ERR1913139.739814__1.739814	905__D2RM13__SAMN02910455_00296
ERR1913139.739845__1.739845	61171__B9Y5T8__HOLDEFILI_01170
ERR1913139.739907__1.739907	357276__A0A0M1W657__HMPREF1064_04629
ERR1913139.739913__1.739913	33043__D5HEE1__ERS852386_01671
ERR1913139.739980__1.739980	165179__R6C3A5__DXC61_11820
ERR1913139.740057__1.740057	165179__D1P9T6__PREVCOP_04016
ERR1913139.740198__1.740198	562__P69229__G746_02312
ERR1913139.740206__1.740206	820__A0A396EUU8__luxQ_3
ERR1913139.740256__1.740256	39491__A0A395ZE48__DXB76_02395
ERR1913139.740551__1.740551	39485__R5ZRT8__gmr_6
ERR1913139.740562__1.740562	562__P26458__cydB
ERR1913139.741164__1.741164	1357825__GeneID:17494397
ERR1913139.741330__1.741330	562__P77789__fimF_3
ERR1913139.741343__1.741343	165179__A0A3E5DZA5__DXB80_12550
ERR1913139.741424__1.741424	1262936__R7J5X5__BN799_00356
ERR1913139.741444__1.741444	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913139.741574__1.741574	1535__A7VNP5__CH238_15100
ERR1913139.741558__1.741558	1262911__R6H1B2__BN557_00840
ERR1913139.741652__1.741652	33043__D5HHT2__ERS852445_02796
ERR1913139.741846__1.741846	1147152__GeneID:14182018
ERR1913139.741936__1.741936	28116__A0A1Y4PWN5__M088_3731
ERR1913139.742155__1.742155	165179__A0A3E5EBQ2__DXC61_01930
ERR1913139.742378__1.742378	1262803__R6NL95__BN649_00814
ERR1913139.742390__1.742390	165179__D1PCU4__PREVCOP_05029
ERR1913139.742477__1.742477	1262741__R6CHF7__BN697_01681
ERR1913139.742608__1.742608	1262886__R6Q953__BN563_01252
ERR1913139.742891__1.742891	1262911__R6GT99__BN557_01335
ERR1913139.742958__1.742958	1262911__R6H0U7__BN557_01104
ERR1913139.743021__1.743021	562__A0A0E1LDD5__B9N12_14240
ERR1913139.743071__1.743071	39491__A0A396FMF1__EUR_28700
ERR1913139.743156__1.743156	1262687__R7LZ19__BN701_01547
ERR1913139.743248__1.743248	33043__D5HHT0__ERS852445_02798
ERR1913139.743398__1.743398	10680__GeneID:1261099
ERR1913139.743537__1.743537	301302__R5UNJ6__M72_26701
ERR1913139.743865__1.743865	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913139.743913__1.743913	562__P69229__G746_02312
ERR1913139.744020__1.744020	39491__A0A173SH34__EUR_24920
ERR1913139.744087__1.744087	905__D2RL47__SAMN05216495_101189
ERR1913139.744126__1.744126	328814__GCA_004558275.1_01846
ERR1913139.744263__1.744263	562__P69229__G746_02312
ERR1913139.744360__1.744360	165179__A0A3E5AGH1__DXB80_05820
ERR1913139.744418__1.744418	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913139.744521__1.744521	165179__A0A3E5A832__DXC61_13685
ERR1913139.744563__1.744563	165179__A0A3E5A832__DXC61_13685
ERR1913139.744807__1.744807	1262936__R7IY28__BN799_00672
ERR1913139.744881__1.744881	165179__D1PGJ6__DXC61_07300
ERR1913139.744903__1.744903	165179__R6XIF8__DXC61_07265
ERR1913139.745022__1.745022	626932__G5H523__HMPREF9450_00033
ERR1913139.745166__1.745166	357276__A0A0K2HG61__BACDOR_02028
ERR1913139.745213__1.745213	1262882__R5N5H2__BN519_01493
ERR1913139.745353__1.745353	165179__R6C3A5__DXC61_11820
ERR1913139.745359__1.745359	165179__A0A3E5DR10__DXC61_03505
ERR1913139.745330__1.745330	626940__E8LGD9__cdsA
ERR1913139.745566__1.745566	33043__D5HI09__ERS852575_02656
ERR1913139.745643__1.745643	357276__B6W5Q9__HMPREF1063_03125
ERR1913139.745703__1.745703	1262961__R6E1C5__BN710_01058
ERR1913139.745776__1.745776	165179__A0A229I443__DXB80_10950
ERR1913139.745833__1.745833	626940__E8LCQ8__BHW43_05915
ERR1913139.745848__1.745848	39485__C4Z6V7__walK
ERR1913139.745972__1.745972	165179__A0A3E5DX15__DXC61_00345
ERR1913139.746011__1.746011	907__G0VQB0__C6362_00485
ERR1913139.746053__1.746053	1262936__R7IY78__BN799_00717
ERR1913139.746061__1.746061	165179__A0A229I443__DXB80_10950
ERR1913139.746163__1.746163	853__A0A2A7B1Y7__C7K05_11930
ERR1913139.746228__1.746228	165179__A0A3E5A554__DXB80_13805
ERR1913139.746319__1.746319	847__C3XAL8__OFBG_01272
ERR1913139.746350__1.746350	1147152__GeneID:14181982
ERR1913139.746418__1.746418	1262936__R7J0Q9__BN799_01513
ERR1913139.746392__1.746392	165179__D1P8V8__DXC61_01940
ERR1913139.746571__1.746571	10679__GeneID:1261550
ERR1913139.746646__1.746646	214856__A0A173XTZ8__ERS852447_00498
ERR1913139.746678__1.746678	165179__D1P8V8__DXC61_01940
ERR1913139.747210__1.747210	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913139.747160__1.747160	1262936__R7J6F9__BN799_00540
ERR1913139.747427__1.747427	39485__R5ZNG4__yerB
ERR1913139.747415__1.747415	214856__A0A173XIZ3__ERS852559_00434
ERR1913139.747760__1.747760	39491__A0A395ZM93__DXD13_03490
ERR1913139.747930__1.747930	165179__D1PCL6__DXB80_13435
ERR1913139.748069__1.748069	328814__GCA_004558275.1_01001
ERR1913139.748289__1.748289	39492__D4MIK7__EUBSIR_00676
ERR1913139.748228__1.748228	175950__GeneID:955654
ERR1913139.748231__1.748231	328814__GCA_004558275.1_01001
ERR1913139.748424__1.748424	39491__A0A173QT73__alaS_2
ERR1913139.748462__1.748462	1262882__R5MYX5__BN519_00333
ERR1913139.748466__1.748466	165179__D1P9T6__PREVCOP_04016
ERR1913139.748468__1.748468	165179__A0A3E5E5H1__DXC61_07220
ERR1913139.748534__1.748534	901__B6WXT8__DESPIGER_1543
ERR1913139.748703__1.748703	165179__A0A3E5AG99__DXB80_04390
ERR1913139.748739__1.748739	1262882__R5MYX5__BN519_00333
ERR1913139.748783__1.748783	2292352__A0A374UMB7__DXC23_09370
ERR1913139.748986__1.748986	39491__A0A396FIZ8__ERE_20410
ERR1913139.749000__1.749000	853__A0A173YYY4__DWZ04_09420
ERR1913139.749045__1.749045	1262911__R6GPM2__BN557_00937
ERR1913139.749135__1.749135	823__D7ILK2__ERS852380_00031
ERR1913139.749270__1.749270	901__B6WUL1__DESPIG_01755
ERR1913139.749307__1.749307	901__B6WQG2__DHV46_07300
ERR1913139.749313__1.749313	1263044__GCA_000433375.1_00023
ERR1913139.749377__1.749377	820__A0A3E4WCC2__lptB_1
ERR1913139.749385__1.749385	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913139.749450__1.749450	907__R7MWB4__MELS_1450
ERR1913139.749649__1.749649	1262927__R7F4R4__BN677_00060
ERR1913139.749776__1.749776	1262936__R7J1I2__BN799_01776
ERR1913139.749853__1.749853	905__D2RMN4__SAMN05216495_11218
ERR1913139.749966__1.749966	823__D0TGD9__hpt
ERR1913139.750139__1.750139	39492__D4JRV7__EUBSIR_01513
ERR1913139.750226__1.750226	39492__D4JSA4__ERS852540_00596
ERR1913139.750391__1.750391	328814__GCA_004558275.1_00835
ERR1913139.750645__1.750645	1393034__GCA_001552785.1_00515
ERR1913139.750746__1.750746	165179__R6C3K4__PREVCOP_05795
ERR1913139.750752__1.750752	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913139.750797__1.750797	106588__A6NUL8__BACCAP_01900
ERR1913139.750912__1.750912	33043__A0A174AHE2__ERS852445_01187
ERR1913139.750945__1.750945	165179__R6CNX7__DXB80_02200
ERR1913139.751084__1.751084	1262911__R6GUQ4__BN557_01581
ERR1913139.751156__1.751156	166486__C7GE31__ganB_3
ERR1913139.751163__1.751163	74426__thrZ
ERR1913139.751261__1.751261	165179__A0A174IHQ2__PREVCOP_05478
ERR1913139.751296__1.751296	33039__D4M398__ERS852530_00575
ERR1913139.751304__1.751304	214856__I3YMC8__ERS852447_02666
ERR1913139.751378__1.751378	823__A0A355XN73__DXC05_07000
ERR1913139.751578__1.751578	1262959__R5YD16__BN680_00186
ERR1913139.751713__1.751713	357276__A0A1Y3Z3W0__IY41_20500
ERR1913139.751790__1.751790	823__A0A355XN73__DXC05_07000
ERR1913139.751873__1.751873	1262936__R7J048__BN799_01270
ERR1913139.751945__1.751945	1263000__R5EXT3__BN466_02213
ERR1913139.752065__1.752065	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913139.752180__1.752180	165179__D1P9T6__PREVCOP_04016
ERR1913139.752224__1.752224	155148__GeneID:921005
ERR1913139.752424__1.752424	28117__B0MWX3__BHV66_03010
ERR1913139.752428__1.752428	165179__D1P9T6__PREVCOP_04016
ERR1913139.752491__1.752491	40520__R7DC80__RUMOBE_00153
ERR1913139.752565__1.752565	39491__A0A395ZGE4__ERS852497_01269
ERR1913139.752566__1.752566	10680__GeneID:1261099
ERR1913139.752631__1.752631	1262911__R6GI18__BN557_01377
ERR1913139.752632__1.752632	905__D2RMC9__SAMN05216495_1193
ERR1913139.752743__1.752743	1262936__R7J0V7__BN799_01561
ERR1913139.752786__1.752786	39491__A0A396FGM9__fliU_1
ERR1913139.752838__1.752838	10680__GeneID:1261099
ERR1913139.752981__1.752981	410072__A0A174D889__COPCOM_01759
ERR1913139.752993__1.752993	165179__A0A3E5E3D6__DXC61_05750
ERR1913139.753044__1.753044	1897011__A0A1Q6REA0__BHW41_04660
ERR1913139.753093__1.753093	39492__D4MMZ8__ERS852540_01407
ERR1913139.753171__1.753171	853__D4JY61__C4N21_10560
ERR1913139.753352__1.753352	626940__E8LCD6__BHW43_01655
ERR1913139.753885__1.753885	901__B6WVN9__DESPIG_02157
ERR1913139.753894__1.753894	626940__A0A1Q6R984__BHW43_02680
ERR1913139.753954__1.753954	33043__A8SWL7__ERS852386_02506
ERR1913139.754027__1.754027	33043__A0A173YQY3__ERS852445_01438
ERR1913139.754161__1.754161	165179__A0A3E5E5H1__DXC61_07220
ERR1913139.754306__1.754306	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913139.754360__1.754360	165179__A0A229I6N7__DXC61_06720
ERR1913139.754406__1.754406	39492__D4JVG7__ERS852540_00946
ERR1913139.754490__1.754490	626940__E8LG07__BHW43_10200
ERR1913139.754618__1.754618	165179__A0A3E5AEF7__DXC61_05000
ERR1913139.754708__1.754708	901__B6WVE2__DHV46_05785
ERR1913139.754855__1.754855	74426__purC
ERR1913139.754975__1.754975	823__A6LEF3__ERS852560_01356
ERR1913139.755036__1.755036	165179__D1PFV4__PREVCOP_06112
ERR1913139.755338__1.755338	1262911__R6H212__BN557_01031
ERR1913139.755399__1.755399	853__A0A174C5M1__CGS58_04460
ERR1913139.755407__1.755407	371601__D0TUU4__BXY_31970
ERR1913139.755409__1.755409	165179__D1PEQ5__PREVCOP_05711
ERR1913139.755780__1.755780	39491__D6E558__DXB69_00810
ERR1913139.755786__1.755786	165179__D1PCT4__DXB80_09470
ERR1913139.755797__1.755797	1357825__GeneID:17494407
ERR1913139.755800__1.755800	626940__E8LE82__BN587_00770
ERR1913139.755936__1.755936	820__A7V9F9__B5G17_14640
ERR1913139.756009__1.756009	1262936__R7J2J5__BN799_01196
ERR1913139.756016__1.756016	823__A0A174PAQ4__ERS852429_04218
ERR1913139.756073__1.756073	1613__A0A158SP68__CD188_03235
ERR1913139.756087__1.756087	905__D2RN51__SAMN02910455_00486
ERR1913139.756157__1.756157	1263109__GCA_000438135.1_00186
ERR1913139.756188__1.756188	823__A0A355XP97__M092_2525
ERR1913139.756316__1.756316	853__A0A2A7B9I6__DW855_13690
ERR1913139.756384__1.756384	360807__C0FNY7__ERS852392_01257
ERR1913139.756438__1.756438	432201__GeneID:14182722
ERR1913139.756498__1.756498	853__A0A2A7B9I6__DW855_13690
ERR1913139.756512__1.756512	2292352__A0A374UKT9__DXC23_09375
ERR1913139.756556__1.756556	901__B6WVJ8__DHV46_03535
ERR1913139.756629__1.756629	823__A0A174W1A8__panE
ERR1913139.756758__1.756758	901__B6WSK7__DESPIGER_0721
ERR1913139.756995__1.756995	1735__B7CB66__EUBIFOR_01441
ERR1913139.757016__1.757016	165179__W1I4H6__DXB80_13655
ERR1913139.757202__1.757202	360807__C0G083__ROSEINA2194_04432
ERR1913139.757269__1.757269	165179__A0A3E5A5E5__DXC61_13965
ERR1913139.757314__1.757314	39491__A0A2U2EKL1__ERS852580_00911
ERR1913139.757462__1.757462	74426__yccM
ERR1913139.757567__1.757567	1262741__R6CYP8__BN697_00270
ERR1913139.757736__1.757736	853__C7H7F5__DWZ46_01780
ERR1913139.757737__1.757737	165179__D1P9T6__PREVCOP_04016
ERR1913139.757876__1.757876	39491__A0A395UVM9__DXB76_04540
ERR1913139.757892__1.757892	166486__D4KZ24__ROSINTL182_05766
ERR1913139.757974__1.757974	39491__C4Z9D4__DXD95_00055
ERR1913139.758032__1.758032	562__A0A0E1LDD5__B9N12_14240
ERR1913139.758247__1.758247	1262936__R7J5J9__BN799_00247
ERR1913139.758214__1.758214	820__A0A139K024__B5G17_02060
ERR1913139.758280__1.758280	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913139.758353__1.758353	165179__A0A229I443__DXB80_10950
ERR1913139.758334__1.758334	28117__B0MUX4__ALIPUT_00911
ERR1913139.758408__1.758408	165179__D1PDJ4__DXB80_08505
ERR1913139.758520__1.758520	165179__D1PGD2__DXC61_10875
ERR1913139.758854__1.758854	1262741__R6CJN7__BN697_02258
ERR1913139.759112__1.759112	1124654__GeneID:14005780
ERR1913139.759173__1.759173	2292352__A0A374UKI4__DXC23_09350
ERR1913139.759137__1.759137	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913139.759310__1.759310	905__D2RNQ4__SAMN02910455_01348
ERR1913139.759239__1.759239	360807__A0A0M6WZN5__ERS852392_01605
ERR1913139.759351__1.759351	1897011__A0A1Q6RE52__BHW41_04690
ERR1913139.759560__1.759560	562__P26458__cydB
ERR1913139.759919__1.759919	39491__A0A395V464__EUBREC_1509
ERR1913139.759977__1.759977	820__A0A174G065__DXB62_08975
ERR1913139.760593__1.760593	39491__A0A395ZHW9__DXC13_02590
ERR1913139.760758__1.760758	165179__A0A3E5EB26__CFT61_02800
ERR1913139.760865__1.760865	165179__A0A174WGF6__PREVCOP_04095
ERR1913139.761083__1.761083	39492__D4JRM9__bglB_2
ERR1913139.761097__1.761097	165179__R6C330__DXC61_04975
ERR1913139.761032__1.761032	74426__purL
ERR1913139.761310__1.761310	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913139.761323__1.761323	1262886__R6Q9D7__BN563_00573
ERR1913139.761754__1.761754	165179__A0A3E5AE59__DXC61_12885
ERR1913139.761911__1.761911	10679__GeneID:1261534
ERR1913139.762058__1.762058	165179__R6CNX7__DXB80_02200
ERR1913139.762066__1.762066	10680__GeneID:1261099
ERR1913139.762139__1.762139	1262959__R5Y0L7__BN680_01410
ERR1913139.762220__1.762220	214856__R6Y6H8__ERS852447_01719
ERR1913139.762276__1.762276	562__C6EBU6__ESQG_00710
ERR1913139.762401__1.762401	165179__A0A3E5A5E5__DXC61_13965
ERR1913139.762403__1.762403	39491__A0A395V1R3__T1815_08181
ERR1913139.762314__1.762314	610243__A0A060QJF7__ASAP_2763
ERR1913139.762726__1.762726	165179__A0A3E5AEF7__DXC61_05000
ERR1913139.762738__1.762738	626940__E8LFF6__BHW43_06155
ERR1913139.762751__1.762751	823__E1YR62__HMPREF1059_02331
ERR1913139.762842__1.762842	165179__D1PCT4__DXB80_09470
ERR1913139.763112__1.763112	823__A6LB63__M095_1847
ERR1913139.763207__1.763207	165179__R6BQP4__DXC61_02015
ERR1913139.763383__1.763383	1262937__R7LGN7__BN805_01822
ERR1913139.763531__1.763531	39491__C4Z9K7__EUBREC_0050
ERR1913139.763653__1.763653	39491__C4ZF05__vpr
ERR1913139.763644__1.763644	562__A0A3F3QTB1__AML16_28280
ERR1913139.763836__1.763836	1262882__R5MZ41__BN519_00356
ERR1913139.763750__1.763750	33043__D5HGK4__ERS852445_01371
ERR1913139.763763__1.763763	1262936__R7J169__BN799_00083
ERR1913139.763923__1.763923	166486__D4L0J8__ROSINTL182_08089
ERR1913139.764173__1.764173	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913139.764230__1.764230	626940__E8LGW7__HMPREF9443_02123
ERR1913139.764418__1.764418	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913139.764519__1.764519	1262959__R5XZD4__BN680_00969
ERR1913139.764379__1.764379	1262936__R7J1M7__BN799_01868
ERR1913139.764627__1.764627	165179__A0A229I1J2__DXB80_03950
ERR1913139.764885__1.764885	1262886__R6QAU3__BN563_00998
ERR1913139.764984__1.764984	39486__R6STY4__DXB36_12980
ERR1913139.765084__1.765084	1124654__GeneID:14005768
ERR1913139.765127__1.765127	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913139.765108__1.765108	39491__A0A395UUN5__EUBREC_0291
ERR1913139.765208__1.765208	165179__D1P9T6__PREVCOP_04016
ERR1913139.765247__1.765247	907__G0VRE3__MELS_0165
ERR1913139.765457__1.765457	39492__D4JX40__EUBSIR_00020
ERR1913139.765644__1.765644	33043__A0A173ZZ54__ERS852400_00193
ERR1913139.766189__1.766189	166486__D4KWN4__ERS852572_01865
ERR1913139.766208__1.766208	853__A0A2A7B9I6__DW855_13690
ERR1913139.766255__1.766255	562__P08371__RW92_04043
ERR1913139.766330__1.766330	360807__A0A1Q6T326__appA_1
ERR1913139.766721__1.766721	907__A0A2S0M9G6__JY94_07675
ERR1913139.767021__1.767021	39491__D4JM76__DXC13_02150
ERR1913139.767159__1.767159	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913139.767202__1.767202	1262936__R7J0K9__BN799_01537
ERR1913139.767260__1.767260	1262959__R5XYX0__BN680_00040
ERR1913139.767349__1.767349	165179__R6BQP4__DXC61_02015
ERR1913139.767384__1.767384	172901__A0A2U1ALK5__C8D82_13135
ERR1913139.767593__1.767593	165179__A0A229I1J2__DXB80_03950
ERR1913139.767650__1.767650	39491__A0A173TAZ5__DXB99_09520
ERR1913139.767706__1.767706	39492__D4JVN3__spsA
ERR1913139.767759__1.767759	40519__U2K7I4__RUMCAL_02078
ERR1913139.767776__1.767776	360807__C0FZM4__RIL183_06871
ERR1913139.768067__1.768067	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913139.768289__1.768289	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913139.768363__1.768363	165179__D1PC26__PREVCOP_04756
ERR1913139.768415__1.768415	1262936__R7J1R8__BN799_01841
ERR1913139.768490__1.768490	562__P26458__cydB
ERR1913139.768715__1.768715	165179__R6XIF8__DXC61_07265
ERR1913139.768731__1.768731	165179__A0A229I1J2__DXB80_03950
ERR1913139.768782__1.768782	1262936__R7J5M6__BN799_00272
ERR1913139.768897__1.768897	1262741__R6CXB0__BN697_02420
ERR1913139.768935__1.768935	907__G0VS55__SAMN02910401_00065
ERR1913139.769002__1.769002	33043__A8SWZ6__ERS852386_02582
ERR1913139.769039__1.769039	166486__D4L398__ERS852572_03633
ERR1913139.769046__1.769046	1262911__R6GNY6__BN557_00004
ERR1913139.769331__1.769331	821__A0A396F9T7__M097_3427
ERR1913139.769414__1.769414	214856__A0A174A257__ERS852447_01007
ERR1913139.769421__1.769421	165179__A0A174IHQ2__PREVCOP_05478
ERR1913139.769432__1.769432	905__D2RJD5__SAMN05216495_11145
ERR1913139.769451__1.769451	905__D2RJD5__SAMN05216495_11145
ERR1913139.769540__1.769540	1262936__R7J2K7__BN799_00229
ERR1913139.769622__1.769622	1262936__R7IZX4__BN799_00998
ERR1913139.770065__1.770065	626940__E8LEM1__BHW43_06255
ERR1913139.770105__1.770105	2293125__A0A374C0K0__DW917_10610
ERR1913139.770512__1.770512	328814__GCA_004558275.1_00990
ERR1913139.770521__1.770521	165179__D1PAJ7__PREVCOP_04222
ERR1913139.770534__1.770534	40519__U2K3X3__RUMCAL_03439
ERR1913139.770550__1.770550	626940__E8LCM5__BHW43_00395
ERR1913139.770693__1.770693	301301__A0A395VEJ3__hupR1
ERR1913139.770749__1.770749	1262911__R6GKW2__BN557_01379
ERR1913139.770843__1.770843	227940__GeneID:1260616
ERR1913139.770990__1.770990	410072__A0A174QU55__luxQ
ERR1913139.771032__1.771032	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913139.771411__1.771411	853__A0A174C5M1__CGS58_04460
ERR1913139.771646__1.771646	39491__A0A395ZGE4__ERS852497_01269
ERR1913139.771745__1.771745	1262936__R7J358__BN799_01390
ERR1913139.771823__1.771823	166486__D4L2T9__lytM
ERR1913139.771842__1.771842	853__E2ZGD9__C7J97_11715
ERR1913139.771994__1.771994	1147152__GeneID:14182018
ERR1913139.772122__1.772122	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913139.772158__1.772158	563769__GeneID:6973141
ERR1913139.772529__1.772529	1262936__R7IYW8__BN799_00842
ERR1913139.773140__1.773140	905__D2RKL0__Acfer_1251
ERR1913139.773539__1.773539	165179__A0A3E5AG99__DXB80_04390
ERR1913139.773594__1.773594	1680__A0A173XYA2__B0703_0121
ERR1913139.773602__1.773602	1262959__R5YTY1__BN680_00047
ERR1913139.773643__1.773643	129861__GeneID:5955699
ERR1913139.773835__1.773835	563769__GeneID:6973158
ERR1913139.774028__1.774028	39492__D4JR31__EUBSIR_00106
ERR1913139.774059__1.774059	39491__C4ZEW3__T1815_18241
ERR1913139.774096__1.774096	901__B6WTQ4__DESPIGER_1255
ERR1913139.774136__1.774136	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913139.774360__1.774360	28117__R7JIJ8__BHV66_01635
ERR1913139.774428__1.774428	39492__D4JUR4__ERS852540_01427
ERR1913139.774656__1.774656	1262936__R7J1T7__BN799_01864
ERR1913139.775087__1.775087	820__A7V092__hldE
ERR1913139.775133__1.775133	360807__A0A0M6WDI8__RIL183_01921
ERR1913139.775149__1.775149	165179__D1P9T6__PREVCOP_04016
ERR1913139.775217__1.775217	820__A0A174M9V5__M093_0237
ERR1913139.775269__1.775269	1262936__R7J429__BN799_00416
ERR1913139.775628__1.775628	823__A0A3E4PAQ2__DDY96_18275
ERR1913139.775768__1.775768	39491__A0A395V464__EUBREC_1509
ERR1913139.775994__1.775994	165179__A0A3E5E189__PREVCOP_06699
ERR1913139.776116__1.776116	165179__A0A229I6N7__DXC61_06720
ERR1913139.776339__1.776339	28132__D9RV83__HMPREF0660_00835
ERR1913139.776392__1.776392	1262929__R6F9S8__BN691_00485
ERR1913139.776536__1.776536	360807__C0FN02__ERS852392_01841
ERR1913139.776514__1.776514	853__A0A2A7B9I6__DW855_13690
ERR1913139.776841__1.776841	166486__D4KVZ2__cbiT
ERR1913139.776885__1.776885	1147152__GeneID:14181982
ERR1913139.776999__1.776999	905__D2RLF8__SAMN05216495_11750
ERR1913139.777047__1.777047	66284__GeneID:16384893
ERR1913139.777122__1.777122	1262882__R5N3H1__BN519_01121
ERR1913139.777172__1.777172	357276__A0A076IXE0__HMPREF1064_04364
ERR1913139.777223__1.777223	590739__GeneID:7353026
ERR1913139.777344__1.777344	39491__C4Z8S1__DXB76_06750
ERR1913139.777466__1.777466	165179__D1PGD2__DXC61_10875
ERR1913139.778118__1.778118	360807__A0A173SPW8__ERS852444_01048
ERR1913139.778200__1.778200	820__A0A174Q0F0__DXB48_08080
ERR1913139.778376__1.778376	1262936__R7J5M9__BN799_00277
ERR1913139.778331__1.778331	410072__C0B8G3__DXD67_01535
ERR1913139.778385__1.778385	1262911__R6GMZ7__BN557_01741
ERR1913139.778532__1.778532	39491__A0A395ZEN3__DXD95_12655
ERR1913139.778591__1.778591	853__A0A3E2V168__FAEPRAM212_00929
ERR1913139.778704__1.778704	1262882__R5MT42__BN519_01729
ERR1913139.778721__1.778721	165179__D1PGJ6__DXC61_07300
ERR1913139.778863__1.778863	166486__D4KY48__gmr_5
ERR1913139.779181__1.779181	1262911__R6H2B5__BN557_01151
ERR1913139.779230__1.779230	2292352__A0A374UKI4__DXC23_09350
ERR1913139.779488__1.779488	204516__U6RFV1__HMPREF1534_02560
ERR1913139.779577__1.779577	1147152__GeneID:14182018
ERR1913139.779625__1.779625	1262911__R6H1B2__BN557_00840
ERR1913139.779649__1.779649	39496__A5Z5I2__EUBVEN_00963
ERR1913139.779765__1.779765	28117__B0MTD2__ALIPUT_00428
ERR1913139.779999__1.779999	165179__R6CNX7__DXB80_02200
ERR1913139.780021__1.780021	61171__B9Y5T8__HOLDEFILI_01170
ERR1913139.780056__1.780056	823__A0A173W404__DHP27_04905
ERR1913139.780200__1.780200	28117__B0MTH2__ALIPUT_00061
ERR1913139.780359__1.780359	1262936__R7J2D3__BN799_01784
ERR1913139.780480__1.780480	999425__K8MSG4__HMPREF9186_00131
ERR1913139.780722__1.780722	1262741__R6DG16__BN697_00334
ERR1913139.780785__1.780785	166486__D4KYM4__ERS852572_02981
ERR1913139.780950__1.780950	165179__A0A229I443__DXB80_10950
ERR1913139.781303__1.781303	823__C7XBX3__HMPREF1059_03212
ERR1913139.781309__1.781309	165179__A0A3E5E5H1__DXC61_07220
ERR1913139.781497__1.781497	46503__R6Y0Q3__DCY29_15880
ERR1913139.781520__1.781520	626940__E8LFT1__BHW43_04055
ERR1913139.781618__1.781618	39491__A0A395ZG74__licR
ERR1913139.781748__1.781748	165179__A0A3E5E8N5__DXC61_13460
ERR1913139.781784__1.781784	227940__GeneID:1260616
ERR1913139.781943__1.781943	853__A0A174BZY1__xerD_1
ERR1913139.782056__1.782056	823__D0TCC2__HMPREF1075_01590
ERR1913139.782375__1.782375	39485__A0A174ZNW9__luxQ_1
ERR1913139.782654__1.782654	1855371__A0A1U6I4E1__SAMN05216563_103130
ERR1913139.783017__1.783017	820__A0A374Q854__HMPREF1073_03281
ERR1913139.783210__1.783210	2173__A0A1D2WT64__METSMIALI_01143
ERR1913139.783229__1.783229	246787__A0A0P0FYF1__HMPREF1062_05374
ERR1913139.783333__1.783333	165179__A0A3E5E4T9__DXB80_08030
ERR1913139.783677__1.783677	1262911__R6GPL1__BN557_00927
ERR1913139.784100__1.784100	626940__E8LGD9__cdsA
ERR1913139.784362__1.784362	165179__A0A3E5E8M8__DXB80_11580
ERR1913139.784406__1.784406	165179__D1P9T6__PREVCOP_04016
ERR1913139.784521__1.784521	1262936__R7J5X5__BN799_00356
ERR1913139.784546__1.784546	10680__GeneID:1261088
