ERR1913163.20__1.20	47678__R5UU99__C5Z00_11925
ERR1913163.383983__1.383983	374840__GeneID:2546403
ERR1913163.384136__1.384136	454154__G5SQ59__HMPREF9441_01496
ERR1913163.384096__1.384096	745368__A0A1T4XQU7__SAMN02745178_02180
ERR1913163.384119__1.384119	820__A0A3E4XDK3__ERS852554_03650
ERR1913163.384247__1.384247	214856__R6Y9P5__ERS852559_01811
ERR1913163.384254__1.384254	214856__R6XS46__ERS852559_00812
ERR1913163.384273__1.384273	823__A6LBY1__ERS852380_00510
ERR1913163.384403__1.384403	818__A0A3E5GY47__SAMN02910322_02002
ERR1913163.384445__1.384445	820__A0A174VD39__DXD90_12235
ERR1913163.384511__1.384511	28111__E5X0Y0__HMPREF1016_02598
ERR1913163.384572__1.384572	820__A0A174GK47__ERS852421_00200
ERR1913163.384681__1.384681	28111__E5WXQ8__NCTC11155_03183
ERR1913163.384691__1.384691	820__A0A3E4G2R7__DXC07_00510
ERR1913163.384805__1.384805	39490__U2QHQ9__LG34_13855
ERR1913163.384754__1.384754	487175__R5EF92__HMPREF9439_00378
ERR1913163.384824__1.384824	820__A0A139KIL9__DXC68_05945
ERR1913163.384926__1.384926	671267__R9I7B5__C802_04018
ERR1913163.384937__1.384937	820__A0A174A6K0__M093_0079
ERR1913163.385026__1.385026	820__A0A174LIN6__HMPREF1072_03144
ERR1913163.385047__1.385047	374840__GeneID:2546403
ERR1913163.385112__1.385112	820__A0A174A6K0__M093_0079
ERR1913163.385128__1.385128	28111__E5X333__NCTC11155_03016
ERR1913163.385199__1.385199	818__A0A0N7I9H8__ERS852461_00040
ERR1913163.385314__1.385314	214856__R6Y6H8__ERS852447_01719
ERR1913163.385381__1.385381	818__A0A0P0F2P7__BT_1771
ERR1913163.385384__1.385384	818__A0A139KMR0__Btheta7330_03958
ERR1913163.385477__1.385477	820__A0A078S4C2__ERS417307_00828
ERR1913163.385527__1.385527	69974__A0A090FEL8__MPL3365_630008
ERR1913163.385603__1.385603	544644__GCA_001915615.1_01853
ERR1913163.385644__1.385644	338188__A0A174ETX3__ERS852397_01955
ERR1913163.385705__1.385705	511969__GeneID:3959334
ERR1913163.385877__1.385877	820__A0A3E4RUC4__DHU98_02635
ERR1913163.385897__1.385897	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913163.386487__1.386487	28116__E5CH91__B5F02_11815
ERR1913163.386498__1.386498	214856__I3YPQ4__Alfi_2712
ERR1913163.386526__1.386526	1262743__R5C054__BN727_01980
ERR1913163.386593__1.386593	292800__A0A174UQR1__HMPREF9460_02453
ERR1913163.386736__1.386736	47678__R5U6J0__ERS852558_00310
ERR1913163.386700__1.386700	28111__E5WZR2__HMPREF1016_02168
ERR1913163.386826__1.386826	28111__E5WUE9__NCTC11155_01729
ERR1913163.386863__1.386863	820__A0A139JRS5__HMPREF1073_04025
ERR1913163.386951__1.386951	1550024__G9RX51__TQ39_04720
ERR1913163.387053__1.387053	28111__E5WXQ8__NCTC11155_03183
ERR1913163.387115__1.387115	292800__A0A174LPP3__A4U99_17815
ERR1913163.387247__1.387247	28111__E5X121__BACEGG_03113
ERR1913163.387287__1.387287	357276__E5UTL1__HMPREF1065_03551
ERR1913163.387379__1.387379	820__A0A139KHD8__ERS417307_00569
ERR1913163.387616__1.387616	28111__E5X119__NCTC11155_02426
ERR1913163.387618__1.387618	511969__GeneID:3959334
ERR1913163.387775__1.387775	820__A0A139K1Y6__DXB48_02610
ERR1913163.387799__1.387799	821__A0A396F598__CUU_3259
ERR1913163.387898__1.387898	28111__E5X123__BACEGG_03115
ERR1913163.388029__1.388029	46506__R6ALX0__HMPREF1181_01042
ERR1913163.388033__1.388033	28116__A7LSB9__DXF98_11950
ERR1913163.388083__1.388083	820__A0A139JV05__B5G17_18125
ERR1913163.388135__1.388135	823__A0A073I5R7__cloSI
ERR1913163.388159__1.388159	820__A7V470__HMPREF1072_02076
ERR1913163.388243__1.388243	823__A0A078SYK6__DXB14_02485
ERR1913163.388191__1.388191	820__A0A139K5E7__DXC68_09550
ERR1913163.388205__1.388205	820__A0A3E5E0T0__ERS852554_00312
ERR1913163.388256__1.388256	69974__A0A090FEL8__MPL3365_630008
ERR1913163.388442__1.388442	821__A0A396F598__CUU_3259
ERR1913163.388494__1.388494	820__R9I324__HMPREF2141_02414
ERR1913163.388557__1.388557	820__A0A396EXA7__DXB37_15530
ERR1913163.388669__1.388669	214856__A0A175A6T5__ERS852447_02658
ERR1913163.388660__1.388660	745368__A0A1T4XF62__SAMN02745178_01833
ERR1913163.388972__1.388972	820__A0A174G065__DXB62_08975
ERR1913163.389023__1.389023	820__A0A173WUD7__DXB48_08055
ERR1913163.389076__1.389076	28111__R5K5Y0__NCTC11155_03071
ERR1913163.389176__1.389176	47678__R5UUS9__ERS852558_01432
ERR1913163.389546__1.389546	820__A0A174DZ97__SAMN05444418_101240
ERR1913163.389769__1.389769	28111__R5K5Y0__NCTC11155_03071
ERR1913163.389829__1.389829	820__A0A173WUD7__DXB48_08055
ERR1913163.389836__1.389836	69974__A0A090FEL8__MPL3365_630008
ERR1913163.389901__1.389901	820__A0A3E4W9D9__B5G17_12400
ERR1913163.390089__1.390089	821__E5UY21__C800_02204
ERR1913163.390125__1.390125	821__A0A174AYT0__DXC02_03530
ERR1913163.390169__1.390169	28111__R5K5X6__NCTC11155_02508
ERR1913163.390243__1.390243	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913163.390291__1.390291	28111__E5X121__BACEGG_03113
ERR1913163.390305__1.390305	820__A0A3E4GA19__SAMN05444418_10562
ERR1913163.390309__1.390309	820__R9HXK9__DXB62_08265
ERR1913163.390530__1.390530	28111__E5WZE2__NCTC11155_00550
ERR1913163.390577__1.390577	47678__R5UMP1__CGC64_03365
ERR1913163.390553__1.390553	387090__S0F8B2__BACCOPRO_02129
ERR1913163.390610__1.390610	292800__G9YPD5__A4U99_08485
ERR1913163.390645__1.390645	821__A0A174NM17__lacZ_6
ERR1913163.390723__1.390723	69974__A0A090FEL8__MPL3365_630008
ERR1913163.390686__1.390686	214856__R6Y1K2__ERS852447_02306
ERR1913163.390989__1.390989	821__A0A078R9Y9__M097_2119
ERR1913163.391054__1.391054	820__R9I3N4__M093_0061
ERR1913163.391107__1.391107	823__A0A355XN73__DXC05_07000
ERR1913163.391094__1.391094	292800__A0A173ZCZ3__A4U99_03035
ERR1913163.391101__1.391101	511969__GeneID:3959334
ERR1913163.391103__1.391103	820__A0A3E5E0T0__ERS852554_00312
ERR1913163.391297__1.391297	374840__GeneID:2546403
ERR1913163.391423__1.391423	47678__R5U9Z6__HMPREF1061_03205
ERR1913163.391455__1.391455	820__A0A174GK47__ERS852421_00200
ERR1913163.391456__1.391456	357276__E5UTL1__HMPREF1065_03551
ERR1913163.391409__1.391409	28111__E5X123__BACEGG_03115
ERR1913163.391511__1.391511	1112008__GeneID:12978579
ERR1913163.391789__1.391789	1112008__GeneID:2777502
ERR1913163.391797__1.391797	820__A7UYX8__DXD40_11635
ERR1913163.391926__1.391926	338188__R6RT73__HMPREF1057_02828
ERR1913163.391965__1.391965	47678__R5U2W6__CGC64_03455
ERR1913163.392016__1.392016	820__A0A173YYG4__evgS_3
ERR1913163.392073__1.392073	214856__R6XS46__ERS852559_00812
ERR1913163.392088__1.392088	214856__I3YPN0__ERS852447_01398
ERR1913163.392160__1.392160	820__A0A3E4VXP2__yesR
ERR1913163.392179__1.392179	47678__I9EFP9__DXB67_08530
ERR1913163.392203__1.392203	292800__G9YW24__A4U99_01365
ERR1913163.392490__1.392490	454154__G5SVT0__HMPREF9441_03497
ERR1913163.392570__1.392570	40518__R5E5W1__RBL263_01034
ERR1913163.392629__1.392629	820__A0A3E4IBC1__M094_0628
ERR1913163.392671__1.392671	977927__GeneID:10324198
ERR1913163.392868__1.392868	214856__A0A174CRY5__ERS852559_01060
ERR1913163.392878__1.392878	487175__F3QID1__HMPREF9439_00678
ERR1913163.392895__1.392895	28111__E5WYC1__BACEGG_00354
ERR1913163.392977__1.392977	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913163.392983__1.392983	214856__R6XNE7__ERS852447_02267
ERR1913163.393287__1.393287	820__A0A139K5E7__DXC68_09550
ERR1913163.393320__1.393320	1550024__A0A0W7TN61__ASJ35_14460
ERR1913163.393459__1.393459	820__A0A139JRH8__HMPREF2141_04326
ERR1913163.393480__1.393480	28111__E5X123__BACEGG_03115
ERR1913163.393513__1.393513	47678__R5U2F6__HMPREF1061_00767
ERR1913163.393636__1.393636	1112008__GeneID:10324215
ERR1913163.393652__1.393652	1550024__A0A0W7TTP8__TQ39_06385
ERR1913163.393769__1.393769	28111__R5K5Y0__NCTC11155_03071
ERR1913163.393884__1.393884	820__A0A173YYG4__evgS_3
ERR1913163.393986__1.393986	820__A0A139K426__B5G17_09115
ERR1913163.393988__1.393988	214856__R6XUN2__rcsC_1
ERR1913163.394106__1.394106	544644__GCA_001915615.1_00724
ERR1913163.394095__1.394095	10726__GeneID:2777617
ERR1913163.394200__1.394200	28111__E5WWI8__HMPREF1016_01036
ERR1913163.394294__1.394294	511969__GeneID:3959334
ERR1913163.394488__1.394488	28111__E5X0Y0__HMPREF1016_02598
ERR1913163.394609__1.394609	820__A0A3E4VXP2__yesR
ERR1913163.394972__1.394972	214856__R6XTZ7__ERS852447_02314
ERR1913163.395030__1.395030	821__A0A395UNT8__DXD64_15275
ERR1913163.395123__1.395123	28116__A0A3E5HUC8__DHW41_21025
ERR1913163.395174__1.395174	1965660__A0A1Y3SAA3__B5G34_11475
ERR1913163.395181__1.395181	511969__GeneID:3959334
ERR1913163.395213__1.395213	820__A0A174CK74__DXB48_07060
ERR1913163.395312__1.395312	1099853__U5CBZ4__NSB1T_00950
ERR1913163.395340__1.395340	28116__E5C3L8__DXF98_06270
ERR1913163.395418__1.395418	322505__xre_3
ERR1913163.395427__1.395427	374844__GeneID:1260912
ERR1913163.395619__1.395619	544644__GCA_001915615.1_02004
ERR1913163.395853__1.395853	821__A0A078R9Y9__M097_2119
ERR1913163.396115__1.396115	820__A7UYX8__DXD40_11635
ERR1913163.396421__1.396421	2108523__A0A2P2F6V3__LAWASA_1735
ERR1913163.396468__1.396468	821__A6L0C7__ERS852556_03520
ERR1913163.396761__1.396761	69974__A0A090FEL8__MPL3365_630008
ERR1913163.396819__1.396819	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913163.396908__1.396908	28111__R5JUK8__NCTC11155_02515
ERR1913163.396951__1.396951	39490__U2PG10__LG34_07100
ERR1913163.397015__1.397015	820__A0A374Q8T2__DXB64_16190
ERR1913163.397106__1.397106	28116__A0A1Y4PZ83__DHW41_02625
ERR1913163.397587__1.397587	511969__GeneID:3959334
ERR1913163.397634__1.397634	214856__R6XQX8__ERS852559_02550
ERR1913163.397846__1.397846	69974__A0A090FEL8__MPL3365_630008
ERR1913163.398103__1.398103	544644__GCA_001915615.1_02238
ERR1913163.398200__1.398200	820__I9A4U7__DHU98_12785
ERR1913163.398372__1.398372	47678__R5U9X5__BACCAC_01339
ERR1913163.398428__1.398428	821__A0A3E4WAR6__DXD64_10735
ERR1913163.398631__1.398631	28111__E5X120__NCTC11155_02427
ERR1913163.398655__1.398655	28111__E5WZR2__HMPREF1016_02168
ERR1913163.398658__1.398658	820__A0A174F696__macB_13
ERR1913163.398672__1.398672	820__A0A3E4WCC2__lptB_1
ERR1913163.398732__1.398732	1112008__GeneID:12978703
ERR1913163.398802__1.398802	47678__R5UWN2__BACCAC_01649
ERR1913163.398819__1.398819	820__A0A174DZ97__SAMN05444418_101240
ERR1913163.398884__1.398884	823__A0A355XKR1__DHP27_04035
ERR1913163.398976__1.398976	292800__A0A174V3E4__ydgI
ERR1913163.399107__1.399107	189722__E0NQU7__HMPREF0658_0548
ERR1913163.399556__1.399556	820__A0A139K5A6__DXB48_12175
ERR1913163.399645__1.399645	214856__A0A174EJT5__mnmA
ERR1913163.399791__1.399791	28111__R5K3D9__NCTC11155_02788
ERR1913163.399955__1.399955	820__A0A174A6K0__M093_0079
ERR1913163.399966__1.399966	357276__I9QBT7__BSEG_03340
ERR1913163.399996__1.399996	820__A0A139K5A6__DXB48_12175
ERR1913163.400028__1.400028	28116__E5C5U2__HMPREF2532_02418
ERR1913163.400049__1.400049	821__A0A0P0L8F8__ERS852509_03705
ERR1913163.400091__1.400091	338188__A0A174ETX3__ERS852397_01955
ERR1913163.400125__1.400125	821__A0A0P0L8F8__ERS852509_03705
ERR1913163.400149__1.400149	47678__R5UME6__BACCAC_01239
ERR1913163.400155__1.400155	821__U6RDC2__DXD46_15675
ERR1913163.400325__1.400325	454155__F3QTG9__HMPREF9442_01487
ERR1913163.400407__1.400407	1112008__GeneID:12978657
ERR1913163.400381__1.400381	214856__R6Y8K1__ERS852447_02509
ERR1913163.400436__1.400436	69974__A0A090FEL8__MPL3365_630008
ERR1913163.400445__1.400445	820__A0A174DZ97__SAMN05444418_101240
ERR1913163.400789__1.400789	820__A0A3E4XM43__DXC91_13960
ERR1913163.400835__1.400835	28111__E5WYC8__BACEGG_00347
ERR1913163.400876__1.400876	820__I9A4U7__DHU98_12785
ERR1913163.401093__1.401093	46506__R6AC22__HMPREF1181_00516
ERR1913163.401261__1.401261	1099853__R7DEQ7__NSB1T_12415
ERR1913163.401495__1.401495	47678__A5ZF31__DXB67_11050
ERR1913163.401631__1.401631	28111__E5WYP5__BACEGG_00185
ERR1913163.401564__1.401564	821__A0A0P0M6M0__M097_4734
ERR1913163.401699__1.401699	820__A0A078S4C2__ERS417307_00828
ERR1913163.401744__1.401744	28111__E5WYY8__HMPREF1016_01893
ERR1913163.401987__1.401987	487175__F3QK43__HMPREF9439_01300
ERR1913163.402068__1.402068	28111__R5K9F8__BACEGG_01519
ERR1913163.402077__1.402077	821__E5UPR6__SAMN04487923_101768
ERR1913163.402019__1.402019	1262743__R5C054__BN727_01980
ERR1913163.402023__1.402023	357276__B6W1J2__BACDOR_03380
ERR1913163.402049__1.402049	818__Q8A3I3__HMPREF2534_00068
ERR1913163.402164__1.402164	1550024__G9RYX6__ASJ35_10025
ERR1913163.402253__1.402253	28116__E5CHV5__B5F02_08530
ERR1913163.402226__1.402226	1550024__G9RTW4__TQ39_08265
ERR1913163.402274__1.402274	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913163.402451__1.402451	28111__E5WUH3__BACEGG_02112
ERR1913163.402729__1.402729	28111__E5X1H4__HMPREF1016_02781
ERR1913163.402911__1.402911	1262743__R5C054__BN727_01980
ERR1913163.402991__1.402991	823__A0A395YX30__M090_4590
ERR1913163.403087__1.403087	214856__A0A174EJT5__mnmA
ERR1913163.403261__1.403261	823__A0A355XLQ9__DXC05_02185
ERR1913163.403345__1.403345	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913163.403502__1.403502	214856__I3YPN5__Alfi_2693
ERR1913163.403635__1.403635	511969__GeneID:3959334
ERR1913163.403676__1.403676	292800__A0A173ZCZ3__A4U99_03035
ERR1913163.403682__1.403682	821__A0A396F598__CUU_3259
ERR1913163.404041__1.404041	1262924__R7HST1__BN585_00215
ERR1913163.404201__1.404201	374840__GeneID:2546403
ERR1913163.404504__1.404504	292800__A0A174VWN6__HMPREF9460_03556
ERR1913163.404497__1.404497	821__A0A396FEL8__C5Z04_06030
ERR1913163.404804__1.404804	1099853__G9S4F5__NSB1T_05520
ERR1913163.404808__1.404808	47678__R5U2W6__CGC64_03455
ERR1913163.404897__1.404897	47678__R5UME6__BACCAC_01239
ERR1913163.404997__1.404997	820__A0A174M9V5__M093_0237
ERR1913163.405126__1.405126	745368__A0A1T4WEV8__SAMN02745178_00491
ERR1913163.405202__1.405202	820__A0A3E4W4Y7__B5G17_02055
ERR1913163.405203__1.405203	47678__A5ZHL2__DXB67_12495
ERR1913163.405281__1.405281	818__A0A0P0FLV3__ERS852430_01650
ERR1913163.405457__1.405457	1550024__A0A0D8IYB1__TQ39_12130
ERR1913163.405689__1.405689	47678__R5U8S9__DW706_06260
ERR1913163.405744__1.405744	292800__G9YLJ9__ERS852544_02950
ERR1913163.405956__1.405956	817__A0A1C0WW19__macB_12
ERR1913163.406005__1.406005	28116__E5CCI3__NCTC11153_04275
ERR1913163.406219__1.406219	69974__A0A090FEL8__MPL3365_630008
ERR1913163.406231__1.406231	338188__A0A174ETX3__ERS852397_01955
ERR1913163.406200__1.406200	820__A0A139K8X8__DXC80_17665
ERR1913163.406248__1.406248	1796652__rpoC
ERR1913163.406373__1.406373	28111__E5X120__NCTC11155_02427
ERR1913163.406380__1.406380	745368__A0A1T4XUU0__SAMN02745178_02347
ERR1913163.406611__1.406611	292800__G9YMI4__ERS852518_06919
ERR1913163.406557__1.406557	820__A0A174EV88__HMPREF1072_01427
ERR1913163.406632__1.406632	821__A0A396F9T7__M097_3427
ERR1913163.406710__1.406710	820__R9HP61__DXC91_01090
ERR1913163.406712__1.406712	246787__A0A0P0FVC6__BACCELL_03671
ERR1913163.406770__1.406770	28116__I9JM49__NCTC11153_01044
ERR1913163.406795__1.406795	820__A0A174Q0F0__DXB48_08080
ERR1913163.407129__1.407129	28111__R5JVV2__BACEGG_02950
ERR1913163.407413__1.407413	204516__U6RHM5__HMPREF1534_02096
ERR1913163.407662__1.407662	28111__R5JSC9__HMPREF1016_01677
ERR1913163.407717__1.407717	820__A0A174M9V5__M093_0237
ERR1913163.407620__1.407620	820__A0A173YYG4__evgS_3
ERR1913163.407754__1.407754	28116__A0A1Y4PWN5__M088_3731
ERR1913163.407878__1.407878	487175__F3QI79__HMPREF9439_00626
ERR1913163.407879__1.407879	820__A0A174QT76__B5G17_18060
ERR1913163.407973__1.407973	821__A0A174NVL6__NCTC10583_01782
ERR1913163.407891__1.407891	820__A0A139K2N9__DXB62_12420
ERR1913163.408032__1.408032	28116__A7LS06__HMPREF2532_04668
ERR1913163.408213__1.408213	820__A0A139KIL9__DXC68_05945
ERR1913163.408361__1.408361	371601__A0A1H4GP73__B5E50_17960
ERR1913163.408405__1.408405	818__A0A3E5HVB7__Btheta7330_02386
ERR1913163.408493__1.408493	821__A0A3E4WAR6__DXD64_10735
ERR1913163.408568__1.408568	820__A0A139K5E7__DXC68_09550
ERR1913163.408637__1.408637	28111__E5WUE9__NCTC11155_01729
ERR1913163.408830__1.408830	214856__I3YPN5__Alfi_2693
ERR1913163.408902__1.408902	374844__GeneID:1260912
ERR1913163.408996__1.408996	10726__GeneID:2777629
ERR1913163.409075__1.409075	820__A0A173XIP7__B5G17_16050
ERR1913163.409105__1.409105	47678__A5ZHL2__DXB67_12495
ERR1913163.409747__1.409747	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913163.409778__1.409778	820__A0A3E5E0T0__ERS852554_00312
ERR1913163.409989__1.409989	69974__A0A090FEL8__MPL3365_630008
ERR1913163.410051__1.410051	28111__E5WVZ4__NCTC11155_02635
ERR1913163.410053__1.410053	47678__A5ZG68__ERS852494_02968
ERR1913163.410095__1.410095	820__A0A174QLF0__SAMN05444418_109151
ERR1913163.410145__1.410145	374840__GeneID:2546403
ERR1913163.410314__1.410314	1550024__A0A0W7TN61__ASJ35_14460
ERR1913163.410253__1.410253	511969__GeneID:3959334
ERR1913163.410456__1.410456	28111__E5WUU3__HMPREF1016_00520
ERR1913163.410370__1.410370	820__A0A174A6K0__M093_0079
ERR1913163.410678__1.410678	818__Q8A3I3__HMPREF2534_00068
ERR1913163.410695__1.410695	28111__R5JTT9__BACEGG_01644
ERR1913163.410648__1.410648	28111__E5X124__NCTC11155_02431
ERR1913163.410797__1.410797	28111__R5K5Y0__NCTC11155_03071
ERR1913163.410946__1.410946	371601__A0A078QBF2__HMPREF1074_01001
ERR1913163.411001__1.411001	46506__B0NP81__SAMN05444283_10688
ERR1913163.411027__1.411027	821__A0A174NM17__lacZ_6
ERR1913163.411093__1.411093	28111__E5WUH3__BACEGG_02112
ERR1913163.411082__1.411082	28111__R5JVV2__BACEGG_02950
ERR1913163.411371__1.411371	69974__A0A090FEL8__MPL3365_630008
ERR1913163.411442__1.411442	28116__D7K7K3__SAMN05192581_103348
ERR1913163.411470__1.411470	821__A0A174T998__DXB82_10860
ERR1913163.411471__1.411471	69974__A0A090FEL8__MPL3365_630008
ERR1913163.411484__1.411484	28111__E5WUE9__NCTC11155_01729
ERR1913163.411772__1.411772	214856__A0A174C683__ERS852559_00523
ERR1913163.411903__1.411903	28111__R5JN40__HMPREF1016_01803
ERR1913163.411972__1.411972	820__A0A139K5A6__DXB48_12175
ERR1913163.411931__1.411931	821__A6L0C7__ERS852556_03520
ERR1913163.412078__1.412078	821__D4VD59__BHV80_04260
ERR1913163.412089__1.412089	214856__I3YMN6__Alfi_1938
ERR1913163.412143__1.412143	69974__A0A090FEL8__MPL3365_630008
ERR1913163.412216__1.412216	820__A0A3E4GA19__SAMN05444418_10562
ERR1913163.412220__1.412220	1550024__A0A3B9WGK5__TQ39_08450
ERR1913163.412270__1.412270	820__A7V9F9__B5G17_14640
ERR1913163.412386__1.412386	28116__A0A395VT11__SAMN05444282_11739
ERR1913163.412400__1.412400	28111__R5K5V1__NCTC11155_02461
ERR1913163.412323__1.412323	821__C6ZAA5__ERS852556_00403
ERR1913163.412510__1.412510	46503__R6WTW1__NCTC13052_03440
ERR1913163.412580__1.412580	28111__E5WUE9__NCTC11155_01729
ERR1913163.412826__1.412826	28111__E5WYC1__BACEGG_00354
ERR1913163.413043__1.413043	626929__F3PER7__B5F24_11615
ERR1913163.413140__1.413140	820__A0A3E4WCX3__C801_02709
ERR1913163.413313__1.413313	1550024__G9RWC0__ASJ35_03560
ERR1913163.413350__1.413350	821__A0A174NM17__lacZ_6
ERR1913163.413800__1.413800	47678__A5ZEP4__DXB67_14045
ERR1913163.413854__1.413854	47678__R5UAF6__ERS852494_02966
ERR1913163.414065__1.414065	1112008__GeneID:12978576
ERR1913163.414209__1.414209	214856__I3YPN3__ERS852447_01395
ERR1913163.414312__1.414312	69974__A0A090FEL8__MPL3365_630008
ERR1913163.414321__1.414321	818__A0A3E5HDS4__BJP75_002620
ERR1913163.414429__1.414429	820__A0A3E4VZF8__C801_00319
ERR1913163.414552__1.414552	374840__GeneID:2546403
ERR1913163.414588__1.414588	820__A0A3E4RUC4__DHU98_02635
ERR1913163.414529__1.414529	46503__R6X275__DD461_10840
ERR1913163.414796__1.414796	28111__R5JPB6__NCTC11155_02514
ERR1913163.414899__1.414899	28111__E5X237__NCTC11155_00628
ERR1913163.415038__1.415038	821__A0A395VIK7__BVU_1225
ERR1913163.415052__1.415052	820__A0A3E4XDK3__ERS852554_03650
ERR1913163.415386__1.415386	28111__E5WUE9__NCTC11155_01729
ERR1913163.415352__1.415352	821__A0A173WG51__BVU_2549
ERR1913163.415454__1.415454	820__A0A396EXA7__DXB37_15530
ERR1913163.415455__1.415455	487175__D9Y8B5__HMPREF9439_02353
ERR1913163.415640__1.415640	820__A0A139K2N9__DXB62_12420
ERR1913163.415772__1.415772	47678__A0A3E5BQM1__DXB67_08970
ERR1913163.415879__1.415879	357276__B6VYT9__HMPREF1063_05030
ERR1913163.416062__1.416062	821__A0A174T998__DXB82_10860
ERR1913163.416019__1.416019	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913163.416140__1.416140	46503__K5YT67__HMPREF1060_04023
ERR1913163.416403__1.416403	214856__R6XKW1__ERS852559_01141
ERR1913163.416467__1.416467	47678__R5UT83__DW706_09750
ERR1913163.416565__1.416565	47678__R5U7U0__DW706_12005
ERR1913163.416534__1.416534	2108523__A0A2P2F586__LAWASA_1166
ERR1913163.416599__1.416599	28116__E5C3L8__DXF98_06270
ERR1913163.416777__1.416777	69974__A0A090FEL8__MPL3365_630008
ERR1913163.416830__1.416830	28111__E5X120__NCTC11155_02427
ERR1913163.416917__1.416917	1550024__G9RTA6__TQ39_10970
ERR1913163.416994__1.416994	511969__GeneID:3959334
ERR1913163.417107__1.417107	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913163.417178__1.417178	818__A0A3E5HEU1__NCTC10582_02468
ERR1913163.417646__1.417646	28111__R5JVV2__BACEGG_02950
ERR1913163.417898__1.417898	39488__C0EY05__EUBHAL_02306
ERR1913163.418003__1.418003	292800__A0A174FQS4__HMPREF9460_01263
ERR1913163.418125__1.418125	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913163.418136__1.418136	820__A0A139JRH8__HMPREF2141_04326
ERR1913163.418278__1.418278	28111__E5X120__NCTC11155_02427
ERR1913163.418362__1.418362	820__A0A3E4WA06__ERS852554_03404
ERR1913163.418498__1.418498	28111__E5X120__NCTC11155_02427
ERR1913163.418575__1.418575	28111__E5WUE9__NCTC11155_01729
ERR1913163.418626__1.418626	374844__GeneID:1260912
ERR1913163.418654__1.418654	820__A0A374Q854__HMPREF1073_03281
ERR1913163.418662__1.418662	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913163.418683__1.418683	820__A7UYX8__DXD40_11635
ERR1913163.418784__1.418784	820__A0A174F0C1__nreB
ERR1913163.418804__1.418804	820__A0A174A6K0__M093_0079
ERR1913163.418815__1.418815	292800__A0A096CPP2__yfkN_3
ERR1913163.418895__1.418895	28111__E5X237__NCTC11155_00628
ERR1913163.418949__1.418949	28116__F7LBW8__C5Z02_16055
ERR1913163.419237__1.419237	821__A0A396F598__CUU_3259
ERR1913163.419357__1.419357	357276__B6W1J2__BACDOR_03380
ERR1913163.419299__1.419299	1262924__R7HTA4__BN585_00391
ERR1913163.419395__1.419395	28111__R5K222__bglX_7
ERR1913163.419401__1.419401	820__A0A3E4GA19__SAMN05444418_10562
ERR1913163.419498__1.419498	544644__GCA_001915615.1_01030
ERR1913163.419606__1.419606	821__A0A396F9T7__M097_3427
ERR1913163.419553__1.419553	820__A0A174A6K0__M093_0079
ERR1913163.419764__1.419764	28116__A7LXU0__HMPREF1070_00358
ERR1913163.419967__1.419967	28111__R5JPB6__NCTC11155_02514
ERR1913163.419974__1.419974	552398__F4XCQ4__HMPREF0866_01621
ERR1913163.420205__1.420205	820__A0A3E4W9D9__B5G17_12400
ERR1913163.420295__1.420295	47678__A5ZEA3__ERS852558_00257
ERR1913163.420486__1.420486	820__A0A139K5E7__DXC68_09550
ERR1913163.420676__1.420676	820__A0A139K5A6__DXB48_12175
ERR1913163.420717__1.420717	28111__E5X124__NCTC11155_02431
ERR1913163.420854__1.420854	820__A0A3E4G2R7__DXC07_00510
ERR1913163.420902__1.420902	214856__I3YPQ3__Alfi_2711
ERR1913163.420917__1.420917	28111__E5X205__NCTC11155_00661
ERR1913163.421023__1.421023	357276__E5UTL1__HMPREF1065_03551
ERR1913163.420998__1.420998	28111__R5JN40__HMPREF1016_01803
ERR1913163.421108__1.421108	214856__R6XQX8__ERS852559_02550
ERR1913163.421069__1.421069	820__A0A173YYG4__evgS_3
ERR1913163.421199__1.421199	821__A0A174WBC9__ERS852556_03145
ERR1913163.421249__1.421249	1550024__G9RPC6__TQ39_05630
ERR1913163.421339__1.421339	28111__R5JQQ7__NCTC11155_02278
ERR1913163.421458__1.421458	821__A0A3E4HP25__SAMN04487923_102450
ERR1913163.421355__1.421355	69974__A0A090FEL8__MPL3365_630008
ERR1913163.421359__1.421359	28111__R5K5Y3__BACEGG_03205
ERR1913163.421758__1.421758	820__A0A078STJ8__DXC68_04690
ERR1913163.421767__1.421767	821__E5UPR6__SAMN04487923_101768
ERR1913163.421818__1.421818	821__A0A174NM17__lacZ_6
ERR1913163.421888__1.421888	214856__R6XS46__ERS852559_00812
ERR1913163.421905__1.421905	28116__A0A396DFW5__C5Z02_07010
ERR1913163.421866__1.421866	626933__H1DGX0__HMPREF9449_01506
ERR1913163.422040__1.422040	28111__R5K3D9__NCTC11155_02788
ERR1913163.422045__1.422045	820__A0A139KHX1__HMPREF2141_00289
