ERR1913291.5__1.5	823__A0A174W1A8__panE
ERR1913291.183632__1.183632	371601__F7LA63__HMPREF1074_04288
ERR1913291.183753__1.183753	28116__A0A395VZB9__Bovatus_03205
ERR1913291.183805__1.183805	33025__A0A395JE11__C8D73_101318
ERR1913291.183892__1.183892	674529__A0A174I0V6__DXB21_05415
ERR1913291.184118__1.184118	817__A0A139TB74__M116_3004
ERR1913291.184239__1.184239	1262992__R5D9A6__BN795_00819
ERR1913291.184270__1.184270	821__A0A174NM17__lacZ_6
ERR1913291.184422__1.184422	853__A0A173T0Y8__CGS54_07215
ERR1913291.184584__1.184584	1628085__A0A396MQV4__C7386_1213
ERR1913291.184707__1.184707	1262882__R5MXW0__BN519_00317
ERR1913291.184725__1.184725	28116__A7LS06__HMPREF2532_04668
ERR1913291.184763__1.184763	39492__D4MIK7__EUBSIR_00676
ERR1913291.184793__1.184793	820__A0A139JY23__B5G17_06330
ERR1913291.184844__1.184844	39491__A0A395V0E5__ERE_31370
ERR1913291.184966__1.184966	1720294__A0A3E3I020__DXC51_19330
ERR1913291.185010__1.185010	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913291.185025__1.185025	28117__B0MWP2__ALIPUT_01468
ERR1913291.185035__1.185035	39492__D4JR58__EUBSIR_02090
ERR1913291.185054__1.185054	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913291.185074__1.185074	1262743__R5C054__BN727_01980
ERR1913291.185119__1.185119	1263044__GCA_000433375.1_02953
ERR1913291.185318__1.185318	821__A0A395UNT8__DXD64_15275
ERR1913291.185417__1.185417	1262743__R5C054__BN727_01980
ERR1913291.185578__1.185578	39492__D4JTG7__EUBSIR_00572
ERR1913291.185634__1.185634	1262911__R6GPI7__BN557_00907
ERR1913291.185646__1.185646	821__E5UMZ6__BVU_1450
ERR1913291.185828__1.185828	674529__A0A174RBF7__SAMN05444400_1464
ERR1913291.185789__1.185789	1262882__R5MLA4__BN519_01536
ERR1913291.185904__1.185904	28116__F7L4X5__M089_2857
ERR1913291.185926__1.185926	1262992__R5D6J2__BN795_00288
ERR1913291.185983__1.185983	821__A0A395UNT8__DXD64_15275
ERR1913291.186146__1.186146	1150298__A0A174QRU8__ERS852498_00962
ERR1913291.186271__1.186271	671267__R9IL60__C802_00379
ERR1913291.186311__1.186311	1262911__R6GPM2__BN557_00937
ERR1913291.186425__1.186425	1150298__R7JUS7__ytlR
ERR1913291.186471__1.186471	487174__K0X353__DIT83_07800
ERR1913291.186554__1.186554	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913291.186555__1.186555	820__A0A173XIP7__B5G17_16050
ERR1913291.186616__1.186616	671267__R9IB12__C802_00696
ERR1913291.186658__1.186658	28116__A0A1Y4Q119__DXD69_10975
ERR1913291.186707__1.186707	166486__A0A173VSP1__ERS852572_03465
ERR1913291.186715__1.186715	39491__A0A174K1W6__DXB99_15020
ERR1913291.186818__1.186818	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913291.186829__1.186829	820__A0A139K4T0__ERS852510_03146
ERR1913291.186846__1.186846	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913291.186858__1.186858	28116__A0A078QGJ1__AA414_00533
ERR1913291.187072__1.187072	360807__R5HHK5__ROSEINA2194_02134
ERR1913291.187190__1.187190	28117__B0MUB3__ALIPUT_00727
ERR1913291.187203__1.187203	1680__R5GSL8__DXD60_03315
ERR1913291.187210__1.187210	1897011__A0A1Q6RH12__BHW41_01505
ERR1913291.187240__1.187240	817__Q64XX5__M126_0821
ERR1913291.187261__1.187261	328814__GCA_004558275.1_00073
ERR1913291.187290__1.187290	1262882__R5MYI1__BN519_00416
ERR1913291.187350__1.187350	821__A6L0C7__ERS852556_03520
ERR1913291.187405__1.187405	821__A0A397WGD6__M098_0084
ERR1913291.187477__1.187477	28116__E5C3L0__B5F02_21065
ERR1913291.187542__1.187542	674529__A0A174PUY5__SAMN05444400_103201
ERR1913291.187609__1.187609	357276__A0A0M1W9N4__GV66_05135
ERR1913291.187612__1.187612	853__A0A2J4JL53__CRH10_10795
ERR1913291.187872__1.187872	39485__A0A174YR79__EUBELI_20418
ERR1913291.187930__1.187930	818__A0A3E5H5M0__SAMN05216253_12081
ERR1913291.188034__1.188034	1262911__R6H1J5__BN557_00905
ERR1913291.188059__1.188059	39492__D4JX34__ERS852540_00411
ERR1913291.188103__1.188103	556259__I0PYM3__BSGG_5385
ERR1913291.188150__1.188150	39492__D4JRM9__bglB_2
ERR1913291.188228__1.188228	674529__R6UVG4__DXB21_01250
ERR1913291.188237__1.188237	28117__R7JIJ8__BHV66_01635
ERR1913291.188283__1.188283	246787__A0A108TGC9__BACCELL_01371
ERR1913291.188253__1.188253	671267__R9IB12__C802_00696
ERR1913291.188267__1.188267	820__A0A374Q854__HMPREF1073_03281
ERR1913291.188376__1.188376	28116__A7LS06__HMPREF2532_04668
ERR1913291.188405__1.188405	1263044__GCA_000433375.1_00904
ERR1913291.188476__1.188476	821__A0A173XDD3__DXB82_17180
ERR1913291.188928__1.188928	1262743__R5C054__BN727_01980
ERR1913291.188931__1.188931	214856__R6XNE7__ERS852447_02267
ERR1913291.189041__1.189041	821__E5UY21__C800_02204
ERR1913291.189048__1.189048	360807__A0A0M6WHB7__ERS852444_00092
ERR1913291.189108__1.189108	39485__A0A174Z8V5__fliU_2
ERR1913291.189121__1.189121	357276__A0A0M1W9N4__GV66_05135
ERR1913291.189218__1.189218	338188__R6RT73__HMPREF1057_02828
ERR1913291.189388__1.189388	28116__E5CHV5__B5F02_08530
ERR1913291.189391__1.189391	823__D7IV95__DXC05_09565
ERR1913291.189404__1.189404	820__A0A3E4VZY4__ERS852554_01211
ERR1913291.189439__1.189439	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913291.189463__1.189463	166486__D4KWX6__slyA_1
ERR1913291.189570__1.189570	674529__A0A174FE49__DXB21_01625
ERR1913291.189625__1.189625	821__A0A396F9T7__M097_3427
ERR1913291.189647__1.189647	820__A0A3E4XM43__DXC91_13960
ERR1913291.189652__1.189652	246787__A0A0P0GUU5__BACCELL_02894
ERR1913291.189734__1.189734	28116__E5CHV5__B5F02_08530
ERR1913291.190040__1.190040	817__A0A2K9GW57__M072_1458
ERR1913291.190188__1.190188	39492__D4JUP6__ERS852540_01404
ERR1913291.190241__1.190241	821__A0A3E4KIM1__M097_3660
ERR1913291.190316__1.190316	821__C3RB94__DXC03_15585
ERR1913291.190287__1.190287	821__A0A3E4WAR6__DXD64_10735
ERR1913291.190392__1.190392	556259__E5C445__BSGG_0931
ERR1913291.190537__1.190537	28116__A0A078Q626__HMPREF1070_02735
ERR1913291.190510__1.190510	46503__A7AH78__DD461_04085
ERR1913291.190489__1.190489	1150298__R7JPI7__cotI
ERR1913291.190724__1.190724	821__A0A0P0L952__M097_4235
ERR1913291.190821__1.190821	360807__A0A0M6WZV0__ERS852392_03150
ERR1913291.190892__1.190892	39492__D4JX50__EUBSIR_00410
ERR1913291.191023__1.191023	246787__A0A3D6AXH7__BACCELL_04262
ERR1913291.191084__1.191084	28116__A0A1Y4PVG6__Bovatus_02664
ERR1913291.191208__1.191208	821__A0A0P0L8F8__ERS852509_03705
ERR1913291.191317__1.191317	28116__A7LXU0__HMPREF1070_00358
ERR1913291.191342__1.191342	214856__I3YMN6__Alfi_1938
ERR1913291.191381__1.191381	28117__B0MY40__BHV66_05170
ERR1913291.191491__1.191491	821__R9HFW2__DXD01_00365
ERR1913291.191496__1.191496	821__R9HFW2__DXD01_00365
ERR1913291.191509__1.191509	28116__A7LS06__HMPREF2532_04668
ERR1913291.191651__1.191651	214856__I3YPI7__pepD_1
ERR1913291.191662__1.191662	487174__K0WV96__HMPREF9448_01901
ERR1913291.191765__1.191765	821__A0A3E4WAR6__DXD64_10735
ERR1913291.191833__1.191833	39492__D4MIY5__EUBSIR_00233
ERR1913291.191835__1.191835	745368__A0A1T4Y7W7__SAMN02745178_02825
ERR1913291.191926__1.191926	371601__D6CXF8__DXD80_06045
ERR1913291.192220__1.192220	674529__A0A174P761__SAMN05444400_106145
ERR1913291.192506__1.192506	28116__A0A3D2LPA1__CUY_3388
ERR1913291.192526__1.192526	556259__E5C8S0__BSGG_1769
ERR1913291.192560__1.192560	28116__F7M1Q5__CUY_1584
ERR1913291.192655__1.192655	166486__D4L1D8__ROSINTL182_06455
ERR1913291.192658__1.192658	28116__A0A1Y4PHM7__DXA80_25130
ERR1913291.192714__1.192714	853__A0A173YYY4__DWZ04_09420
ERR1913291.192981__1.192981	28117__B0MY40__BHV66_05170
ERR1913291.193042__1.193042	1262743__R5C054__BN727_01980
ERR1913291.193153__1.193153	820__A0A174G065__DXB62_08975
ERR1913291.193335__1.193335	214856__A0A173YXX1__ERS852559_01651
ERR1913291.193477__1.193477	28116__A0A1G8IGK0__DXF98_23045
ERR1913291.193501__1.193501	28116__A0A1Y4PH15__DXA80_17985
ERR1913291.193654__1.193654	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913291.193923__1.193923	28116__A0A1Y4Q112__evgS_13
ERR1913291.193997__1.193997	28116__A7M0H0__DXA80_15290
ERR1913291.194028__1.194028	674529__A0A174K7S1__DXB21_05915
ERR1913291.194033__1.194033	556259__E5C638__BSGG_0201
ERR1913291.194086__1.194086	28116__I8YA07__C5Z02_15915
ERR1913291.194144__1.194144	39492__A0A174ZHV5__msbA_2
ERR1913291.194201__1.194201	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913291.194281__1.194281	28116__A0A1Y4PHM7__DXA80_25130
ERR1913291.194380__1.194380	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913291.194413__1.194413	1262882__R5N1N6__BN519_00968
ERR1913291.194510__1.194510	821__R7P1Q7__M099_2990
ERR1913291.194520__1.194520	28116__A0A1Y4Q119__DXD69_10975
ERR1913291.194630__1.194630	28116__A0A078Q626__HMPREF1070_02735
ERR1913291.194933__1.194933	28116__A0A078Q626__HMPREF1070_02735
ERR1913291.194993__1.194993	39492__D4JU81__xseA
ERR1913291.194995__1.194995	820__A0A3E4VZT7__DXB48_16145
ERR1913291.195107__1.195107	214856__A0A174AYS4__ERS852447_01192
ERR1913291.195285__1.195285	39492__D4JRR5__ERS852540_02089
ERR1913291.195294__1.195294	1235835__R9LCU2__C814_02677
ERR1913291.195320__1.195320	1262882__R5MIQ8__BN519_01036
ERR1913291.195326__1.195326	556259__I0PXW0__BSGG_5187
ERR1913291.195368__1.195368	818__A0A1H7L4U6__BSIG_3287
ERR1913291.195484__1.195484	1150298__A0A174GJF6__bglX_2
ERR1913291.195538__1.195538	674529__A0A174EXC1__DXB21_01255
ERR1913291.195694__1.195694	246787__A0A108TGC9__BACCELL_01371
ERR1913291.195805__1.195805	328814__GCA_004558275.1_00291
ERR1913291.196160__1.196160	35833__E5Y5X2__HMPREF0179_01585
ERR1913291.196203__1.196203	1262911__R6GTG0__BN557_01247
ERR1913291.196451__1.196451	28116__A0A395W0G7__NCTC11153_02716
ERR1913291.196515__1.196515	28116__A0A1Y4PWN5__M088_3731
ERR1913291.196517__1.196517	301301__A0A395VBG0__ERS852391_01236
ERR1913291.196464__1.196464	1150298__A0A174LLX0__dhaD
ERR1913291.196584__1.196584	1262536__GeneID:16385454
ERR1913291.196684__1.196684	823__A0A355XEX9__ERS852560_03521
ERR1913291.196835__1.196835	28116__A0A1Y4P6Z8__HMPREF1069_04439
ERR1913291.196852__1.196852	214856__D4IMT6__Alfi_1830
ERR1913291.196970__1.196970	820__A0A139KHX1__HMPREF2141_00289
ERR1913291.196983__1.196983	214856__R5UN64__ERS852447_02669
ERR1913291.197273__1.197273	28116__A0A139LKF7__DXA80_16100
ERR1913291.197275__1.197275	556259__I0PYM3__BSGG_5385
ERR1913291.197358__1.197358	246787__A0A108TGC9__BACCELL_01371
ERR1913291.197380__1.197380	28117__B0MUL5__ALIPUT_00722
ERR1913291.197599__1.197599	821__A0A0P0M6M0__M097_4734
ERR1913291.197665__1.197665	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913291.197760__1.197760	28116__A7M0H0__DXA80_15290
ERR1913291.197822__1.197822	817__Q64W73__M108_1440
ERR1913291.197925__1.197925	28116__E5C3L0__B5F02_21065
ERR1913291.197933__1.197933	39491__A0A395ZKJ0__DXD13_11010
ERR1913291.197990__1.197990	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1913291.197994__1.197994	338188__A0A174ETX3__ERS852397_01955
ERR1913291.198163__1.198163	823__D7IV95__DXC05_09565
ERR1913291.198356__1.198356	556259__I0PYM3__BSGG_5385
ERR1913291.198408__1.198408	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913291.198416__1.198416	39492__D4JVT0__EUBSIR_00059
ERR1913291.198500__1.198500	1262743__R5C054__BN727_01980
ERR1913291.198447__1.198447	28116__E5C3L8__DXF98_06270
ERR1913291.198522__1.198522	28116__A0A1Y4PWE4__M089_4352
ERR1913291.198553__1.198553	817__Q64Q09__DXB79_11395
ERR1913291.198656__1.198656	371601__A0A139LNL6__ERS852396_04350
ERR1913291.198682__1.198682	28116__R6DIL2__DXD69_10970
ERR1913291.198770__1.198770	820__A0A3E4WCX3__C801_02709
ERR1913291.198853__1.198853	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913291.198831__1.198831	820__R9I3Q7__HMPREF1072_01668
ERR1913291.198944__1.198944	821__A0A395UNT8__DXD64_15275
ERR1913291.198963__1.198963	410072__A0A174E1G6__phoR_6
ERR1913291.199015__1.199015	28116__A0A395VUS9__DXD69_03560
ERR1913291.199292__1.199292	28117__B0MTS2__ALIPUT_00159
ERR1913291.199571__1.199571	28116__I9SW74__BACOVA_04237
ERR1913291.199592__1.199592	39492__D4JVT0__EUBSIR_00059
ERR1913291.199728__1.199728	821__A0A3E4HP25__SAMN04487923_102450
ERR1913291.199781__1.199781	820__A0A174R952__DXB48_02570
ERR1913291.199750__1.199750	1262882__R5MGX3__BN519_00046
ERR1913291.199847__1.199847	821__A0A174NM17__lacZ_6
ERR1913291.199868__1.199868	1262882__R5MF43__BN519_00282
ERR1913291.199928__1.199928	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913291.199982__1.199982	28116__C3QVY2__SAMN05444282_12234
ERR1913291.199952__1.199952	39492__D4JV38__EUBSIR_01205
ERR1913291.200198__1.200198	410072__A0A174D6E7__ERS852574_01257
ERR1913291.200351__1.200351	28116__F7LEX0__CUY_5042
ERR1913291.200323__1.200323	28116__F7L4N5__BACOVA_00137
ERR1913291.200420__1.200420	214851__D1PSK8__SUBVAR_07391
ERR1913291.200400__1.200400	28116__D4WPD7__HMPREF1069_02183
ERR1913291.200543__1.200543	28117__B0MWP2__ALIPUT_01468
ERR1913291.200570__1.200570	28116__A0A1Y4PVG3__imd
ERR1913291.200695__1.200695	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913291.200718__1.200718	28116__A0A1Y4Q112__evgS_13
ERR1913291.201047__1.201047	674529__A0A174PUY5__SAMN05444400_103201
ERR1913291.201218__1.201218	1262992__R5CXV1__BN795_01088
ERR1913291.201290__1.201290	823__A0A174LDE8__M096_3277
ERR1913291.201513__1.201513	246787__A0A0P0GG59__BcellWH2_02752
ERR1913291.201630__1.201630	821__A0A0P0M2J4__DXD46_10295
ERR1913291.201600__1.201600	39492__D4JRZ7__smc
ERR1913291.201653__1.201653	28118__F9ZA35__DER54_10915
ERR1913291.201585__1.201585	39492__D4JU81__xseA
ERR1913291.201587__1.201587	821__D4VC51__M099_1508
ERR1913291.201943__1.201943	671267__R9IEN1__C802_02405
ERR1913291.202007__1.202007	821__A0A173WG51__BVU_2549
ERR1913291.202031__1.202031	357276__B6VYT9__HMPREF1063_05030
ERR1913291.202153__1.202153	28116__A0A1G6G9R4__CUY_0131
ERR1913291.202292__1.202292	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913291.202547__1.202547	28116__I8Y7V6__HMPREF1017_02728
ERR1913291.202566__1.202566	556259__E5CCQ2__BSGG_3225
ERR1913291.202691__1.202691	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913291.202744__1.202744	28116__A0A078Q626__HMPREF1070_02735
ERR1913291.202755__1.202755	39492__D4MM10__EUBSIR_01460
ERR1913291.202772__1.202772	28117__B0MUX4__ALIPUT_00911
ERR1913291.202871__1.202871	28116__A7M344__BACOV975_04644
ERR1913291.202986__1.202986	166486__D4L1P3__ERS852572_00760
ERR1913291.203069__1.203069	821__A0A174V2F3__NCTC10583_01474
ERR1913291.203093__1.203093	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913291.203272__1.203272	28116__A0A1Y4PHM7__DXA80_25130
ERR1913291.203255__1.203255	28116__A7M344__BACOV975_04644
ERR1913291.203263__1.203263	853__C7H7F5__DWZ46_01780
ERR1913291.203318__1.203318	817__A0A3E5IB15__M145_2707
ERR1913291.203329__1.203329	820__A0A3E5E0T0__ERS852554_00312
ERR1913291.203400__1.203400	39492__D4JTW7__EUBSIR_00859
ERR1913291.203472__1.203472	246787__A0A108T1Y3__fepA_8
ERR1913291.203569__1.203569	820__A0A139KG60__M094_2679
ERR1913291.203660__1.203660	817__D1JR62__M110_0404
ERR1913291.203691__1.203691	821__A0A0P0M3U7__DXB90_14325
ERR1913291.203696__1.203696	39491__A0A396FKI0__DXC13_11560
ERR1913291.203730__1.203730	28116__C3QZB5__M088_3811
ERR1913291.203733__1.203733	246787__A0A3D6ARE5__HMPREF1062_01788
ERR1913291.203755__1.203755	28117__R7JG17__ALIPUT_01859
ERR1913291.203982__1.203982	821__D4VD59__BHV80_04260
ERR1913291.204272__1.204272	821__A0A174K302__CUU_3129
ERR1913291.204277__1.204277	214856__R6XNE7__ERS852447_02267
ERR1913291.204435__1.204435	1262992__R5DBG3__BN795_01416
ERR1913291.204546__1.204546	387090__S0F8B2__BACCOPRO_02129
ERR1913291.204572__1.204572	371601__C3R2J2__ERS852396_04353
ERR1913291.204577__1.204577	28116__D4WLZ3__C5Z02_24105
ERR1913291.204697__1.204697	820__A0A3E4VZS7__DXC07_14435
ERR1913291.204730__1.204730	853__D4JY61__C4N21_10560
ERR1913291.204779__1.204779	357276__A0A0M1W9N4__GV66_05135
ERR1913291.204842__1.204842	821__A0A3E4KIM1__M097_3660
ERR1913291.204939__1.204939	28116__A0A3E5HTL2__SAMN05444282_12366
ERR1913291.205054__1.205054	556259__E5C690__BSGG_1431
ERR1913291.205251__1.205251	39491__A0A395V1Y4__DXB99_08035
ERR1913291.205256__1.205256	28116__D7K2E0__endOF2_3
ERR1913291.205284__1.205284	556259__I0PYM3__BSGG_5385
ERR1913291.205297__1.205297	28116__I9JM49__NCTC11153_01044
ERR1913291.205397__1.205397	39492__D4JTL0__EUBSIR_01428
ERR1913291.205501__1.205501	165179__D1PCT4__DXB80_09470
ERR1913291.205528__1.205528	821__E5UY21__C800_02204
ERR1913291.205555__1.205555	28116__E5CHV3__DHW41_06155
ERR1913291.205727__1.205727	28118__F9ZC62__DF785_13495
ERR1913291.205911__1.205911	820__A0A139JY23__B5G17_06330
ERR1913291.205946__1.205946	246787__A0A0P0GCR8__xynD_3
ERR1913291.206039__1.206039	821__A0A174JYD3__ERS852457_02610
ERR1913291.206099__1.206099	214856__R6Y9P5__ERS852559_01811
ERR1913291.206199__1.206199	1981510__A0A2K9P5G0__B9O19_02026
ERR1913291.206340__1.206340	301301__A0A173YZL6__RHOM_00815
ERR1913291.206390__1.206390	1150298__A0A174DX06__ERS852498_00491
ERR1913291.206421__1.206421	823__E1YSG0__DHP27_00465
ERR1913291.206453__1.206453	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913291.206460__1.206460	39491__C4ZF05__vpr
ERR1913291.206462__1.206462	820__A0A3E4WCC2__lptB_1
ERR1913291.206508__1.206508	28116__I9SW74__BACOVA_04237
ERR1913291.206526__1.206526	28116__A0A396DFW5__C5Z02_07010
ERR1913291.206586__1.206586	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913291.206597__1.206597	28116__A0A3E5HUC8__DHW41_21025
ERR1913291.206735__1.206735	39492__D4JSG7__EUBSIR_01006
ERR1913291.206813__1.206813	371601__A0A139LNL6__ERS852396_04350
ERR1913291.206819__1.206819	338188__A0A174ETX3__ERS852397_01955
ERR1913291.206865__1.206865	28116__D7K2E0__endOF2_3
ERR1913291.207010__1.207010	821__A0A173XDD3__DXB82_17180
ERR1913291.207387__1.207387	106588__A6NUL8__BACCAP_01900
ERR1913291.207444__1.207444	39492__D4JVC7__yfgF
ERR1913291.207611__1.207611	1261__D3MR67__SAMN05660467_01650
ERR1913291.207750__1.207750	1262992__R5DDC9__BN795_00492
ERR1913291.207789__1.207789	821__A0A174NM17__lacZ_6
ERR1913291.207925__1.207925	214856__I3YPI7__pepD_1
ERR1913291.207953__1.207953	28116__A0A1Y4PWN5__M088_3731
ERR1913291.208104__1.208104	28116__E5CH91__B5F02_11815
ERR1913291.208380__1.208380	28116__A7M019__HMPREF1070_01109
ERR1913291.208498__1.208498	820__A0A174QLF0__SAMN05444418_109151
ERR1913291.208582__1.208582	1263107__GCA_000436995.1_00249
ERR1913291.208695__1.208695	1897011__A0A1Q6RGA1__BHW41_02610
ERR1913291.208644__1.208644	39492__D4MIK7__EUBSIR_00676
ERR1913291.208845__1.208845	674529__R6UPU0__SAMN05444400_108101
ERR1913291.208978__1.208978	33043__D5HEE1__ERS852386_01671
ERR1913291.209231__1.209231	39492__D4JTJ1__EUBSIR_01453
ERR1913291.209362__1.209362	487174__K0WUZ1__DIT83_10815
ERR1913291.209363__1.209363	821__A6L0C7__ERS852556_03520
ERR1913291.209444__1.209444	820__A0A3E4VZT7__DXB48_16145
ERR1913291.209392__1.209392	820__A0A174EV88__HMPREF1072_01427
ERR1913291.209611__1.209611	28116__A0A1Y4PNX5__DXF98_26515
ERR1913291.209633__1.209633	821__A0A0P0M4G3__M099_3092
ERR1913291.209684__1.209684	1897011__A0A1Q6RI93__BHW41_01175
ERR1913291.209801__1.209801	820__A0A374Q854__HMPREF1073_03281
ERR1913291.209983__1.209983	28116__A7M344__BACOV975_04644
ERR1913291.210044__1.210044	820__A0A3E4W7J3__DXC07_00330
ERR1913291.210103__1.210103	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913291.210607__1.210607	360807__A0A173R6E5__ERS852444_00251
ERR1913291.210587__1.210587	823__A0A395YSW8__CF162_05645
ERR1913291.210596__1.210596	246787__E2NH87__BcellWH2_04496
ERR1913291.210626__1.210626	821__D4VD59__BHV80_04260
ERR1913291.210705__1.210705	1897011__A0A1Q6RE52__BHW41_04690
ERR1913291.210839__1.210839	487174__K0X9T7__HMPREF9448_00996
ERR1913291.210881__1.210881	246787__A0A108T831__glaB_2
ERR1913291.210883__1.210883	301301__G2SZ82__RHOM_00970
ERR1913291.211058__1.211058	1262882__R5MRS7__BN519_01490
ERR1913291.211414__1.211414	28116__A7M4E1__NCTC11153_01558
ERR1913291.211492__1.211492	626940__E8LCM1__HMPREF9443_00590
ERR1913291.211509__1.211509	360807__C0FR69__ERS852392_01939
ERR1913291.211593__1.211593	487174__K0WV96__HMPREF9448_01901
ERR1913291.211705__1.211705	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913291.211756__1.211756	821__A0A395UNT8__DXD64_15275
ERR1913291.211869__1.211869	28116__A0A078QGJ1__AA414_00533
ERR1913291.211907__1.211907	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913291.211998__1.211998	821__A0A395UNT8__DXD64_15275
ERR1913291.212309__1.212309	821__A0A396F1N0__M099_1553
ERR1913291.212368__1.212368	745368__A0A1T4YBA4__SAMN02745178_02873
ERR1913291.212252__1.212252	1262882__R5MYX5__BN519_00333
ERR1913291.212606__1.212606	1262824__R6RM20__BN719_01820
ERR1913291.212653__1.212653	821__E5UY21__C800_02204
ERR1913291.212692__1.212692	39492__R6RYB8__ERS852540_00322
ERR1913291.212855__1.212855	246787__A0A3D6B182__HMPREF1062_00600
ERR1913291.213169__1.213169	853__E2ZJT1__C4N23_03535
ERR1913291.213249__1.213249	820__A0A173W419__DXC68_17760
ERR1913291.213291__1.213291	28116__A0A1Y4PWE4__M089_4352
ERR1913291.213351__1.213351	820__A0A139KIL9__DXC68_05945
ERR1913291.213433__1.213433	28116__A0A1Y4P7B7__M088_2098
ERR1913291.213546__1.213546	820__A0A3E4VXP2__yesR
ERR1913291.213576__1.213576	39492__D4JT68__spoIIIE
ERR1913291.213602__1.213602	28116__A0A1Y4Q367__ERS852555_04706
ERR1913291.213815__1.213815	292800__H1C711__A4U99_09750
ERR1913291.214162__1.214162	28116__I8YA07__C5Z02_15915
ERR1913291.214163__1.214163	28116__I8YA07__C5Z02_15915
ERR1913291.214188__1.214188	1535__A7VPY9__CH238_09600
ERR1913291.214228__1.214228	214856__A0A174EJT5__mnmA
ERR1913291.214281__1.214281	166486__D4KZA5__ERS852572_03317
ERR1913291.214289__1.214289	1262537__GeneID:16385341
ERR1913291.214342__1.214342	39492__D4JRZ7__smc
ERR1913291.214388__1.214388	28116__I9SW74__BACOVA_04237
ERR1913291.214432__1.214432	28116__C3QSX8__SAMN05444282_101331
ERR1913291.214593__1.214593	33025__A0A395JHB7__C8D73_101754
ERR1913291.214780__1.214780	360807__A0A396ADE9__ROSEINA2194_02917
ERR1913291.214968__1.214968	820__R9HUV5__HMPREF2141_02582
ERR1913291.215055__1.215055	214856__R5UN64__ERS852447_02669
ERR1913291.215102__1.215102	214851__D1PSK8__SUBVAR_07391
ERR1913291.215172__1.215172	1150298__A0A174QAL8__ERS852498_02570
ERR1913291.215128__1.215128	674529__A0A174EXC1__DXB21_01255
ERR1913291.215283__1.215283	821__A0A0P0M5Z6__BVU_0429
ERR1913291.215377__1.215377	39492__D4JR20__trmD
ERR1913291.215398__1.215398	28116__I8YA07__C5Z02_15915
ERR1913291.215544__1.215544	28117__B0MXU0__BHV66_07550
ERR1913291.215571__1.215571	28116__C3QVY2__SAMN05444282_12234
ERR1913291.215580__1.215580	371601__A0A1H3XPY7__CW1_0993
ERR1913291.215803__1.215803	214856__R6YC22__ERS852447_01215
ERR1913291.215849__1.215849	28116__C3QMW5__M089_4133
ERR1913291.215965__1.215965	28116__F7L4X5__M089_2857
ERR1913291.216025__1.216025	1099853__U5CHR3__NSB1T_13310
ERR1913291.216092__1.216092	821__A0A174NSU0__BVU_3144
ERR1913291.216336__1.216336	823__A0A355XJ56__DDY96_07685
ERR1913291.216337__1.216337	28116__I9T1P7__BACOV975_02228
ERR1913291.216592__1.216592	1262882__R5MXW0__BN519_00317
ERR1913291.216709__1.216709	33025__A0A395JHD9__C8D73_101774
ERR1913291.216666__1.216666	28116__A7LYG5__M089_5828
ERR1913291.216673__1.216673	357276__B6VYT9__HMPREF1063_05030
ERR1913291.216815__1.216815	820__A0A174TRB5__DXD40_11305
ERR1913291.216821__1.216821	1262948__R7EEL8__BN671_00728
ERR1913291.217218__1.217218	28116__I9TDA4__BACOV975_03134
ERR1913291.217329__1.217329	821__E5UY21__C800_02204
ERR1913291.217358__1.217358	39492__D4JVC7__yfgF
ERR1913291.217453__1.217453	28116__A7M4E1__NCTC11153_01558
ERR1913291.217568__1.217568	394340__uvrC
ERR1913291.217769__1.217769	487174__R5F2W8__HMPREF9448_01730
ERR1913291.217843__1.217843	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913291.217897__1.217897	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913291.217933__1.217933	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1913291.217950__1.217950	1262882__R5N3H1__BN519_01121
ERR1913291.217966__1.217966	823__A0A395YZ10__NCTC11152_02955
ERR1913291.217971__1.217971	823__A0A174DZM1__DDY96_10310
ERR1913291.217977__1.217977	246787__A0A3D6AYV2__BcellWH2_03647
