ERR1913279.29__1.29	363265__G6AYV3__HMPREF0673_01814
ERR1913279.99125__1.99125	35833__S2KT88__HMPREF0179_05280
ERR1913279.99489__1.99489	28117__B0MXD0__ALIPUT_01669
ERR1913279.99648__1.99648	214856__A0A174ZEF7__mboIIM_1
ERR1913279.99582__1.99582	1680__A0A1X2ZFB6__AD0028_0856
ERR1913279.99594__1.99594	165179__A0A174W369__PREVCOP_04548
ERR1913279.99598__1.99598	820__A0A1T4IYF4__mprA_1
ERR1913279.99725__1.99725	823__A0A355XEX9__ERS852560_03521
ERR1913279.99955__1.99955	28052__R7NDB6__ERS852499_00304
ERR1913279.99969__1.99969	1262929__R6EV27__BN691_00137
ERR1913279.100066__1.100066	29361__B6FT65__CLONEX_03342
ERR1913279.100107__1.100107	410072__A0A174L0Z1__ERS852525_00863
ERR1913279.100267__1.100267	39492__D4JTF5__ybeY
ERR1913279.100283__1.100283	1633__C2ETJ4__FC58_GL000869
ERR1913279.100380__1.100380	214856__R6XKW1__ERS852559_01141
ERR1913279.100393__1.100393	820__A0A139K4T0__ERS852510_03146
ERR1913279.100419__1.100419	823__A0A355XH29__lolE_1
ERR1913279.100429__1.100429	820__R9I3Q7__HMPREF1072_01668
ERR1913279.100661__1.100661	33039__A0A174VX97__ERS852530_02623
ERR1913279.100648__1.100648	328814__GCA_004558275.1_00835
ERR1913279.100738__1.100738	820__A0A174F696__macB_13
ERR1913279.100891__1.100891	820__A0A3E4QZJ7__C801_01798
ERR1913279.100977__1.100977	214856__A0A174FZ29__ERS852559_00600
ERR1913279.100992__1.100992	823__A0A174XJM9__CEQ22_007230
ERR1913279.101120__1.101120	328814__GCA_004558275.1_00992
ERR1913279.101274__1.101274	1099853__G9S127__NSB1T_01845
ERR1913279.101357__1.101357	363265__R6F6E7__HMPREF0673_02119
ERR1913279.101581__1.101581	1150298__A0A174SLJ2__ERS852498_03294
ERR1913279.101681__1.101681	33039__D4M281__ERS852530_00073
ERR1913279.102078__1.102078	214856__A0A174ZJU0__ERS852559_00619
ERR1913279.102101__1.102101	1550024__G9RP65__ASJ35_11645
ERR1913279.102349__1.102349	28117__B0MZ14__ALIPUT_02383
ERR1913279.102372__1.102372	820__A0A139KIL9__DXC68_05945
ERR1913279.102451__1.102451	214856__A0A174ZEF7__mboIIM_1
ERR1913279.102585__1.102585	246787__A0A0P0GR24__BcellWH2_03263
ERR1913279.102609__1.102609	214856__I3YPQ8__ERS852447_01371
ERR1913279.102815__1.102815	818__A0A139K2A0__SAMN02910322_00898
ERR1913279.102832__1.102832	165179__A0A174PS14__DXC61_13945
ERR1913279.103129__1.103129	1550024__G9RXI8__TQ39_11495
ERR1913279.103138__1.103138	817__A0A1C0WA53__M111_3358
ERR1913279.103200__1.103200	458033__GCA_001482755.1_02203
ERR1913279.103243__1.103243	817__R5RHL6__AC239_05800
ERR1913279.103261__1.103261	28116__A7LS06__HMPREF2532_04668
ERR1913279.103275__1.103275	410072__A0A173WD04__penA_2
ERR1913279.103301__1.103301	2058152__A0A285B964__KOSB73_390004
ERR1913279.103400__1.103400	820__A0A3E4PYB0__yejM
ERR1913279.103617__1.103617	46503__R6Y9P8__evgS_3
ERR1913279.103828__1.103828	40518__R5E2F3__artQ
ERR1913279.104108__1.104108	1550024__G9RXA1__TQ39_18810
ERR1913279.104179__1.104179	301302__A0A173S3L8__vpr
ERR1913279.104200__1.104200	165179__A0A174W369__PREVCOP_04548
ERR1913279.104215__1.104215	1262929__R6F839__BN691_00353
ERR1913279.104346__1.104346	28117__B0MU57__ALIPUT_00175
ERR1913279.104408__1.104408	28117__B0MT38__BHV66_05995
ERR1913279.104355__1.104355	28117__B0MUX4__ALIPUT_00911
ERR1913279.104646__1.104646	1680__A0A0B5BME4__DXD63_05015
ERR1913279.105027__1.105027	214856__A0A174ZLY7__ERS852447_02456
ERR1913279.105017__1.105017	818__A0A1H7L4U6__BSIG_3287
ERR1913279.105245__1.105245	74426__group_4823
ERR1913279.105392__1.105392	28117__R7JPX7__BHV66_00900
ERR1913279.105562__1.105562	357276__D1K3K9__EL88_23995
ERR1913279.105655__1.105655	820__R9HP61__DXC91_01090
ERR1913279.105844__1.105844	374840__GeneID:2546403
ERR1913279.105917__1.105917	1965576__A0A1Y4LGY5__B5F19_11080
ERR1913279.105961__1.105961	626932__G5H5B5__HMPREF9450_00125
ERR1913279.106325__1.106325	47678__A5ZI88__BACCAC_02617
ERR1913279.106337__1.106337	1550024__A0A0D8J3J4__TQ39_01275
ERR1913279.106348__1.106348	820__A0A3E4VXP2__yesR
ERR1913279.106382__1.106382	820__A0A374Q8T2__DXB64_16190
ERR1913279.106530__1.106530	1262743__R5C054__BN727_01980
ERR1913279.106922__1.106922	165179__A0A3E5E5L1__DXB80_05980
ERR1913279.107104__1.107104	1262989__R6YDD0__BN815_01114
ERR1913279.107398__1.107398	28117__B0MY40__BHV66_05170
ERR1913279.107565__1.107565	301302__R5UQ67__M72_23121
ERR1913279.107643__1.107643	418240__C6JDJ1__ERS852478_02876
ERR1913279.107769__1.107769	46228__B5CLE1__HMPREF1202_01861
ERR1913279.107905__1.107905	357276__A0A076IS73__GV66_00410
ERR1913279.107971__1.107971	1262929__R6F8F6__BN691_02017
ERR1913279.108011__1.108011	328814__GCA_004558275.1_00041
ERR1913279.108454__1.108454	1680__A0A1X3A951__AL0462_1583
ERR1913279.108386__1.108386	39496__A5Z5I2__EUBVEN_00963
ERR1913279.108842__1.108842	74426__rpoB
ERR1913279.108967__1.108967	820__A0A374MXK3__HMPREF1072_00166
ERR1913279.108999__1.108999	28117__B0MY40__BHV66_05170
ERR1913279.109008__1.109008	214856__A0A174ZB00__ERS852559_00631
ERR1913279.109066__1.109066	28117__B0MXG8__ALIPUT_01814
ERR1913279.109136__1.109136	239935__A0A2N8IRW0__A4V05_11620
ERR1913279.109085__1.109085	165179__A0A3E4SB80__DXC61_12880
ERR1913279.109091__1.109091	47678__R5U3L4__C5Z00_12600
ERR1913279.109254__1.109254	626940__E8LC41__BN587_00878
ERR1913279.109334__1.109334	572010__adhR
ERR1913279.109587__1.109587	214856__A0A174A0P3__ERS852447_00994
ERR1913279.109723__1.109723	1680__A0A1V8QAM8__BIFADO_02272
ERR1913279.109735__1.109735	74426__rpoB
ERR1913279.109867__1.109867	239935__A0A139TMY7__CXU13_02020
ERR1913279.109887__1.109887	33039__A0A174Y8E4__suhB
ERR1913279.109916__1.109916	301302__A0A0M6WGI7__M72_20931
ERR1913279.110000__1.110000	214856__A0A174ZEW0__ERS852447_00985
ERR1913279.109983__1.109983	820__A0A374Q8T2__DXB64_16190
ERR1913279.110193__1.110193	239935__A0A139TPU7__CXT91_06575
ERR1913279.110220__1.110220	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913279.110234__1.110234	387661__K5YL92__PRABACTJOHN_01669
ERR1913279.110367__1.110367	820__A0A139KG04__ERS852459_01249
ERR1913279.110543__1.110543	671232__A0A0P0N805__CYK09_01850
ERR1913279.110780__1.110780	817__K1FQ86__M087_1790
ERR1913279.110878__1.110878	1262929__R6EYQ0__BN691_00631
ERR1913279.110890__1.110890	357276__A0A076ISJ4__B5F95_19420
ERR1913279.111195__1.111195	216816__D6D9J4__DPC6320_0487
ERR1913279.111264__1.111264	1263000__R5ESM1__BN466_01440
ERR1913279.111359__1.111359	39491__D4JMW8__ERS852497_01971
ERR1913279.111629__1.111629	357276__D1JY58__BACDOR_04277
ERR1913279.111700__1.111700	39485__R5ZRT8__gmr_6
ERR1913279.111828__1.111828	1262929__R6F9D0__BN691_00320
ERR1913279.112006__1.112006	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913279.112529__1.112529	39491__A0A395V5L2__ERE_28270
ERR1913279.112740__1.112740	1262911__R6H0S8__BN557_01079
ERR1913279.112777__1.112777	40518__R5DR96__RBATCC27255_01185
ERR1913279.112837__1.112837	363265__G6ATX5__HMPREF0673_00059
ERR1913279.113187__1.113187	626940__E8LF94__DCQ00_07860
ERR1913279.113304__1.113304	28117__B0MXW9__ALIPUT_01981
ERR1913279.113307__1.113307	1308__A0A1J0HRS7__SMQ301_1679
ERR1913279.113383__1.113383	39492__D4JUP6__ERS852540_01404
ERR1913279.113585__1.113585	1686__B6XS54__BCAT_0916
ERR1913279.113710__1.113710	1150298__A0A174QS63__ERS852406_03087
ERR1913279.113753__1.113753	820__A0A139K8N1__ERS852554_00951
ERR1913279.113811__1.113811	1262911__R6H1D2__BN557_00855
ERR1913279.113917__1.113917	1660__A0A2X0VDP7__ACTODO_00184
ERR1913279.114136__1.114136	821__A0A397WGD6__M098_0084
ERR1913279.114262__1.114262	820__R9HXK9__DXB62_08265
ERR1913279.114304__1.114304	820__A0A139KHX1__HMPREF2141_00289
ERR1913279.114314__1.114314	214856__A0A173YXX1__ERS852559_01651
ERR1913279.114343__1.114343	165179__A0A3E5DX33__PREVCOP_05190
ERR1913279.114535__1.114535	28117__R7JJM9__ALIPUT_00662
ERR1913279.114646__1.114646	1463165__A0A378C0D0__DP204_11280
ERR1913279.114851__1.114851	165179__D1P9T6__PREVCOP_04016
ERR1913279.114933__1.114933	39492__D4JVC7__yfgF
ERR1913279.115024__1.115024	410072__A0A173S5D4__DXD67_06215
ERR1913279.115040__1.115040	820__A0A3E4HWJ4__DXD40_05945
ERR1913279.115045__1.115045	1550024__A0A3B9WKW6__TQ39_07780
ERR1913279.115142__1.115142	39492__R6RT40__prkC_3
ERR1913279.115166__1.115166	28117__B0MTV5__BHV66_06415
ERR1913279.115183__1.115183	820__A0A3E4VZY4__ERS852554_01211
ERR1913279.115256__1.115256	28117__B0MWZ3__BHV66_03240
ERR1913279.115311__1.115311	216816__C2GW26__chb
ERR1913279.115411__1.115411	216816__A0A0A6VPB9__B624_1780
ERR1913279.115403__1.115403	239935__A0A2N8HT44__CXT84_11035
ERR1913279.115496__1.115496	328814__GCA_004558275.1_00990
ERR1913279.115630__1.115630	47678__R5U8P0__DW706_15950
ERR1913279.115660__1.115660	487174__K0WVG2__DDY40_00285
ERR1913279.115738__1.115738	28117__B0MTH2__ALIPUT_00061
ERR1913279.115891__1.115891	39492__D4JTF2__mutS2
ERR1913279.115935__1.115935	172901__A0A2U1ANM4__C8D82_12928
ERR1913279.116205__1.116205	214856__I3YMB7__Alfi_1811
ERR1913279.116223__1.116223	418240__A0A173XCL4__ERS852523_02725
ERR1913279.116228__1.116228	76489__A0A1E8EUC5__CLOACE_23150
ERR1913279.116316__1.116316	1499973__A0A2B7MMF4__pgtB
ERR1913279.116391__1.116391	214856__I3YPP9__Alfi_2707
ERR1913279.116511__1.116511	28117__B0MUB4__BHV66_01895
ERR1913279.116512__1.116512	820__A0A173XIP7__B5G17_16050
ERR1913279.116530__1.116530	39492__D4JWY0__EUBSIR_01648
ERR1913279.116821__1.116821	853__A0A2J4JL53__CRH10_10795
ERR1913279.116935__1.116935	28117__B0MWC6__BHV66_00965
ERR1913279.116988__1.116988	39491__C4Z9E9__T1815_12341
ERR1913279.117089__1.117089	556259__E5C8S0__BSGG_1769
ERR1913279.117178__1.117178	820__A0A174F0C1__nreB
ERR1913279.117182__1.117182	310298__B3JL94__BACCOP_02749
ERR1913279.117212__1.117212	820__A0A3E4PYB0__yejM
ERR1913279.117263__1.117263	821__A0A395US34__C5Z04_18975
ERR1913279.117334__1.117334	28117__B0MWC6__BHV66_00965
ERR1913279.117368__1.117368	28117__B0MTH2__ALIPUT_00061
ERR1913279.117379__1.117379	28117__B0MVL2__BHV66_01645
ERR1913279.117525__1.117525	28117__B0MT38__BHV66_05995
ERR1913279.117590__1.117590	817__D1JUF9__M116_3651
ERR1913279.117629__1.117629	487174__K0X524__DDY40_09270
ERR1913279.117696__1.117696	28116__A0A395VSP8__ERS852555_02642
ERR1913279.118106__1.118106	820__A0A174F0C1__nreB
ERR1913279.118378__1.118378	47678__A5ZHJ2__DXB67_12405
ERR1913279.118472__1.118472	1262929__R6FRG9__BN691_01453
ERR1913279.118565__1.118565	626940__E8LD25__DCQ00_00460
ERR1913279.118652__1.118652	360807__C0FYL6__ROSEINA2194_03855
ERR1913279.118698__1.118698	360807__C0FSM3__ROSEINA2194_01739
ERR1913279.118732__1.118732	46228__B5CPV4__DXD17_07415
ERR1913279.118900__1.118900	823__A0A395YY84__DXC05_19515
ERR1913279.119083__1.119083	1262740__R7CVQ9__BN666_01522
ERR1913279.119299__1.119299	28117__B0MTY2__BHV66_06485
ERR1913279.119263__1.119263	387661__K5YL92__PRABACTJOHN_01669
ERR1913279.119602__1.119602	394340__purL
ERR1913279.119616__1.119616	39491__A0A395UWA3__DXB69_11805
ERR1913279.119845__1.119845	817__A0A396EEF1__HMPREF2533_00532
ERR1913279.119856__1.119856	40518__R5E282__DXD86_08940
ERR1913279.120083__1.120083	1965537__A0A1Y4WHL4__B5E42_10190
ERR1913279.120132__1.120132	214856__I3YPP3__Alfi_2701
ERR1913279.120372__1.120372	1262911__R6GUQ4__BN557_01581
ERR1913279.120391__1.120391	214856__A0A174EQR4__rsmA
ERR1913279.120482__1.120482	214856__A0A174EJT5__mnmA
ERR1913279.120563__1.120563	1150298__A0A174U8I6__ERS852535_02809
ERR1913279.120567__1.120567	626940__E8LD43__DCQ00_06340
ERR1913279.120628__1.120628	487174__K0WRZ5__HMPREF9448_02826
ERR1913279.120704__1.120704	1680__A0A0C2YPV2__AL0462_1474
ERR1913279.120666__1.120666	28117__B0MXD0__ALIPUT_01669
ERR1913279.121165__1.121165	544645__A0A1U7LBK0__DXC42_07670
ERR1913279.121169__1.121169	39492__D4JT68__spoIIIE
ERR1913279.121175__1.121175	1633__C2ERI1__FC58_GL001174
ERR1913279.121540__1.121540	328814__GCA_004558275.1_00987
ERR1913279.121603__1.121603	301302__R5UKE6__M72_05651
ERR1913279.121714__1.121714	1235835__R9LCU2__C814_02677
ERR1913279.122042__1.122042	214856__A0A174ZEW0__ERS852447_00985
ERR1913279.122063__1.122063	820__A0A374QGD2__ERS852421_02382
ERR1913279.122084__1.122084	418240__C6JGG3__ERS852523_00073
ERR1913279.122200__1.122200	214856__A0A174A0P3__ERS852447_00994
ERR1913279.122255__1.122255	33039__A0A174XML0__RTO_02290
ERR1913279.122472__1.122472	820__A0A174R952__DXB48_02570
ERR1913279.122499__1.122499	853__A0A2A7B9I6__DW855_13690
ERR1913279.122517__1.122517	39492__D4JT87__clpC
ERR1913279.122577__1.122577	360807__A0A1Q6T4B4__ROSEINA2194_04053
ERR1913279.122584__1.122584	46228__B5CM12__DXD17_00945
ERR1913279.122802__1.122802	357276__I9QBT4__GV66_09000
ERR1913279.123052__1.123052	40518__R5E0G0__RBATCC27255_01787
ERR1913279.123113__1.123113	1150298__R7JUS2__ERS852498_02193
ERR1913279.123446__1.123446	360807__C0FPV8__RIL183_29891
ERR1913279.123511__1.123511	823__A6LEF1__CF162_12695
ERR1913279.123747__1.123747	817__A0A139TB82__M138_2797
ERR1913279.124056__1.124056	817__Q64N43__HMPREF1205_01348
ERR1913279.124225__1.124225	1262929__R6F0A6__BN691_00414
ERR1913279.124456__1.124456	823__D7ILK2__ERS852380_00031
ERR1913279.124458__1.124458	1550024__A0A0D8J0L2__ASJ35_04680
ERR1913279.124717__1.124717	357276__A0A076IP73__BACDOR_04237
ERR1913279.124844__1.124844	1262736__R5Y6H8__BN496_00405
ERR1913279.124870__1.124870	28117__B0MYI9__BHV66_05415
ERR1913279.124976__1.124976	1262929__R6F4F7__BN691_01167
ERR1913279.124998__1.124998	820__A0A174F0C1__nreB
ERR1913279.125280__1.125280	216816__D6DC91__DXC72_07710
ERR1913279.125295__1.125295	1160721__W0U5X6__RBI_I01796
ERR1913279.125335__1.125335	1680__R5GKP2__DXD60_06200
ERR1913279.125344__1.125344	74426__rpoB
ERR1913279.125352__1.125352	165179__A0A3E5E189__PREVCOP_06699
ERR1913279.125367__1.125367	1262740__R7CYB0__BN666_02324
ERR1913279.125680__1.125680	39492__D4JR04__phoU
ERR1913279.126244__1.126244	823__A0A174U5E4__BDI_3390
ERR1913279.126289__1.126289	28117__B0MXG8__ALIPUT_01814
ERR1913279.126536__1.126536	214856__I3YPP0__ERS852447_01388
ERR1913279.126559__1.126559	39486__B0G7H8__DXB12_04950
ERR1913279.126683__1.126683	39491__A0A396FRE7__EUR_27520
ERR1913279.126810__1.126810	1680__A0A087DHN0__AL0462_1532
ERR1913279.126916__1.126916	1680__A0A2R4G1K8__BBMN23_0315
ERR1913279.127378__1.127378	214856__A0A174A257__ERS852447_01007
ERR1913279.127527__1.127527	745368__A0A1T4XBZ7__SAMN02745178_01676
ERR1913279.127808__1.127808	214856__A0A174ZJU0__ERS852559_00619
ERR1913279.128621__1.128621	46503__R6WZ80__PARMER_04397
ERR1913279.128707__1.128707	820__A0A174GK47__ERS852421_00200
ERR1913279.128781__1.128781	29361__B6FT65__CLONEX_03342
ERR1913279.128844__1.128844	1550024__A0A0D8J230__TQ39_04480
ERR1913279.129123__1.129123	853__A0A2A7B1Y7__C7K05_11930
ERR1913279.129467__1.129467	39491__A0A395UZZ5__htpG_1
ERR1913279.129436__1.129436	28117__B0MZ14__ALIPUT_02383
ERR1913279.129521__1.129521	357276__D1K3K9__EL88_23995
ERR1913279.129705__1.129705	46228__V8CDQ4__RUMLAC_02769
ERR1913279.129722__1.129722	28117__B0MY40__BHV66_05170
ERR1913279.129920__1.129920	762212__A0A087A2N3__BBIA_1009
ERR1913279.129926__1.129926	818__A0A3E5GY47__SAMN02910322_02002
ERR1913279.130257__1.130257	214856__I3YPR5__ERS852447_01364
ERR1913279.130420__1.130420	1262929__R6F594__BN691_01450
ERR1913279.130452__1.130452	165179__D1PEW8__DXB80_13775
ERR1913279.130481__1.130481	1262740__R7CVT2__BN666_00960
ERR1913279.130549__1.130549	394340__group_1007
ERR1913279.130643__1.130643	1965576__A0A1Y4LPD4__B5F19_02010
ERR1913279.130702__1.130702	823__D0TBY4__M090_0431
ERR1913279.130755__1.130755	626932__G5H9U8__HMPREF9450_01413
ERR1913279.131215__1.131215	820__A0A174CK74__DXB48_07060
ERR1913279.131261__1.131261	28117__R7JJM9__ALIPUT_00662
ERR1913279.131307__1.131307	33039__A0A173V4G5__ERS852577_02906
ERR1913279.131373__1.131373	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913279.131496__1.131496	28117__B0MWC6__BHV66_00965
ERR1913279.131530__1.131530	823__A0A173UDF6__CEQ22_003270
ERR1913279.131533__1.131533	33039__A0A173V4G5__ERS852577_02906
ERR1913279.131556__1.131556	28026__A0A267WNN6__menA
ERR1913279.131891__1.131891	1262929__R6FRR0__BN691_00154
ERR1913279.131975__1.131975	823__A6LB63__M095_1847
ERR1913279.132248__1.132248	28117__B0MST8__ALIPUT_00310
ERR1913279.132263__1.132263	1262924__R7HTA4__BN585_00391
ERR1913279.132283__1.132283	39492__D4JT91__EUBSIR_01750
ERR1913279.132337__1.132337	817__Q64N43__HMPREF1205_01348
ERR1913279.132497__1.132497	823__A0A174LWY0__lepB
ERR1913279.132577__1.132577	28117__B0MTI4__ALIPUT_00084
ERR1913279.132816__1.132816	1896974__A0A1Q6H018__BHV77_13175
ERR1913279.132872__1.132872	39492__D4JRP0__yetF
ERR1913279.133297__1.133297	1150298__R7JTW4__yvhJ
ERR1913279.133407__1.133407	28117__B0MUB4__BHV66_01895
ERR1913279.133710__1.133710	820__A0A3E4G826__C801_01612
ERR1913279.133756__1.133756	214856__R6Z288__ERS852447_00734
ERR1913279.134191__1.134191	487174__K0X250__DDY40_03675
ERR1913279.134263__1.134263	28117__B0MXJ1__BHV66_08445
ERR1913279.134573__1.134573	28117__B0N028__BHV66_05935
ERR1913279.134619__1.134619	1965604__A0A1Y4EP83__B5F54_11720
ERR1913279.134593__1.134593	1263006__R6M176__BN515_00274
ERR1913279.135376__1.135376	1680__A0A087DHN0__AL0462_1532
ERR1913279.135400__1.135400	817__A0A149NCG3__M134_4715
ERR1913279.135410__1.135410	572010__rpoB
ERR1913279.135678__1.135678	487174__K0X773__DIT83_07170
ERR1913279.135705__1.135705	820__A0A139JRS5__HMPREF1073_04025
ERR1913279.135869__1.135869	46228__V8CAV6__addA
ERR1913279.135932__1.135932	820__A0A174A6K0__M093_0079
ERR1913279.136436__1.136436	820__R9HP61__DXC91_01090
ERR1913279.136491__1.136491	39492__A0A174ZG93__EUBSIR_00254
ERR1913279.136502__1.136502	214856__A0A174H3U9__ERS852559_00612
ERR1913279.136603__1.136603	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913279.136665__1.136665	820__A0A139KJR5__M093_4469
ERR1913279.137032__1.137032	39491__A0A396FEW6__T1815_18721
ERR1913279.137082__1.137082	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913279.137233__1.137233	357276__A0A076ISJ4__B5F95_19420
ERR1913279.137262__1.137262	301302__R5UUM8__ganB_1
ERR1913279.137307__1.137307	1262740__R7CZ00__BN666_02528
ERR1913279.137417__1.137417	166486__D4L1P5__ERS852572_00758
ERR1913279.137429__1.137429	820__A0A139KH21__DXC80_01780
ERR1913279.137780__1.137780	39492__D4JTW6__ERS852540_00220
ERR1913279.137898__1.137898	626940__R6XX39__DCQ00_06610
ERR1913279.138004__1.138004	820__A0A174DZ97__SAMN05444418_101240
ERR1913279.138295__1.138295	239935__A0A2N8IMD6__CXU03_05585
ERR1913279.138385__1.138385	28117__B0MXR4__BHV66_08025
ERR1913279.138392__1.138392	818__A0A0P0FBI1__NCTC10582_00163
ERR1913279.138563__1.138563	214856__A0A174A1J3__ERS852447_01000
ERR1913279.138798__1.138798	823__A0A174KUS4__araC_7
ERR1913279.138993__1.138993	28117__B0MWC6__BHV66_00965
ERR1913279.139056__1.139056	817__D1JR15__M117_0303
ERR1913279.139031__1.139031	820__A0A3E4W4Y7__B5G17_02055
ERR1913279.139137__1.139137	817__A0A396EJL6__M079_2920
ERR1913279.139194__1.139194	458033__GCA_001482755.1_02203
ERR1913279.139276__1.139276	820__A0A374Q351__DXD40_05850
ERR1913279.139321__1.139321	39492__D4JX34__ERS852540_00411
ERR1913279.139413__1.139413	39485__A0A174ZBK4__ERS852490_01585
ERR1913279.139621__1.139621	820__A0A174M9V5__M093_0237
ERR1913279.139634__1.139634	28117__B0MWX3__BHV66_03010
ERR1913279.139700__1.139700	820__A0A3E4QZJ7__C801_01798
ERR1913279.139809__1.139809	166486__D4KV38__ROSINTL182_06841
ERR1913279.140103__1.140103	28117__R7JG17__ALIPUT_01859
ERR1913279.140237__1.140237	28026__A0A267WNN6__menA
ERR1913279.140352__1.140352	47678__R5UU99__C5Z00_11925
ERR1913279.140635__1.140635	214856__A0A175A6T5__ERS852447_02658
ERR1913279.140702__1.140702	357276__D1JY58__BACDOR_04277
ERR1913279.140783__1.140783	1680__A0A374QDL4__LMG18897_0432
ERR1913279.140815__1.140815	165179__R6C3K4__PREVCOP_05795
ERR1913279.140926__1.140926	39492__D4JR31__EUBSIR_00106
ERR1913279.141169__1.141169	1550024__G9RNN4__ASJ35_08335
ERR1913279.141275__1.141275	39491__A0A396FUZ3__phoR_1
ERR1913279.141380__1.141380	214856__A0A174FWM7__ERS852559_00590
ERR1913279.141672__1.141672	28117__B0MWP2__ALIPUT_01468
ERR1913279.141762__1.141762	1262537__GeneID:16385341
ERR1913279.141936__1.141936	291645__I8WZT8__HMPREF1068_04327
ERR1913279.141958__1.141958	2022527__A0A264Y5H7__CHL74_10790
ERR1913279.141893__1.141893	1680__A0A174BH90__B0487_1759
ERR1913279.142167__1.142167	671232__I0SDK2__DK43_08325
ERR1913279.142255__1.142255	214856__I3YPN9__ERS852447_01389
ERR1913279.142389__1.142389	165179__A0A3E5A5E5__DXC61_13965
ERR1913279.142504__1.142504	820__A0A3E4G3J9__ERS852459_02265
ERR1913279.142554__1.142554	1150298__R7JU97__ERS852498_02579
ERR1913279.143025__1.143025	246787__R6KQ08__AA416_01934
ERR1913279.143077__1.143077	246787__A0A0P0GR24__BcellWH2_03263
ERR1913279.143109__1.143109	374840__GeneID:2546403
ERR1913279.143155__1.143155	39492__D4JTF2__mutS2
ERR1913279.143307__1.143307	357276__C3R5C9__HMPREF1063_00213
ERR1913279.143530__1.143530	671232__E6IYS8__DK43_06460
ERR1913279.143586__1.143586	301302__R5UQK8__M72_11501
ERR1913279.143736__1.143736	39492__D4JS46__EUBSIR_02553
ERR1913279.143942__1.143942	626940__E8LD28__BHW43_10325
ERR1913279.143982__1.143982	28116__F7L4X5__M089_2857
ERR1913279.144078__1.144078	2026240__group_4241
ERR1913279.144291__1.144291	74426__sufB
ERR1913279.144374__1.144374	360807__A0A1Q6TAH8__RIL183_11271
ERR1913279.144406__1.144406	820__A0A139KH21__DXC80_01780
ERR1913279.144503__1.144503	820__A0A139K1Y6__DXB48_02610
ERR1913279.144674__1.144674	39492__D4JWP8__EUBSIR_00699
ERR1913279.144769__1.144769	818__A0A3E5HNR9__BSIG_1712
ERR1913279.145067__1.145067	820__A0A139KJ23__celCCA
ERR1913279.145127__1.145127	214856__A0A174FWM7__ERS852559_00590
ERR1913279.145129__1.145129	292800__A0A174RE33__HMPREF0372_03363
ERR1913279.145132__1.145132	147206__GCF_000156215.1_00014
ERR1913279.145600__1.145600	552398__F4XA09__HMPREF0866_00123
ERR1913279.145892__1.145892	418240__C6JDJ1__ERS852478_02876
ERR1913279.146004__1.146004	165179__A0A3E5AI09__DXC61_05815
ERR1913279.146134__1.146134	823__A0A355XFH7__ERS852513_00769
ERR1913279.146300__1.146300	39492__D4JUL4__ERS852540_01381
ERR1913279.146626__1.146626	820__A7VAR9__ERS852421_00197
ERR1913279.146538__1.146538	1262911__R6GPC5__BN557_00852
ERR1913279.146711__1.146711	820__A0A3E4G8F8__ERS852421_01645
ERR1913279.146750__1.146750	214856__A0A175A6T5__ERS852447_02658
ERR1913279.146883__1.146883	214856__A0A174FZ29__ERS852559_00600
ERR1913279.146953__1.146953	35833__E5Y1H2__HMPREF0179_00031
ERR1913279.147088__1.147088	820__A0A173WZS4__DXD90_10250
ERR1913279.147332__1.147332	214856__A0A174FWM7__ERS852559_00590
ERR1913279.147468__1.147468	1965650__A0A1Y3VEZ6__B5G16_11190
ERR1913279.147510__1.147510	28117__B0MST6__BHV66_06090
ERR1913279.147383__1.147383	1262924__R7HU74__BN585_00690
ERR1913279.147529__1.147529	818__Q8A3I3__HMPREF2534_00068
ERR1913279.147652__1.147652	28117__B0MY41__BHV66_05165
ERR1913279.147690__1.147690	820__A0A174DZ97__SAMN05444418_101240
ERR1913279.148070__1.148070	28117__B0MXU0__BHV66_07550
ERR1913279.148213__1.148213	47678__R5U9X5__BACCAC_01339
ERR1913279.148599__1.148599	165179__A0A3E5DX33__PREVCOP_05190
ERR1913279.148859__1.148859	28117__B0MWH8__BHV66_01330
ERR1913279.149233__1.149233	363265__G6B1Q3__HMPREF0673_02828
ERR1913279.149287__1.149287	39492__D4JTG7__EUBSIR_00572
ERR1913279.149300__1.149300	1378168__V2YA11__N510_02528
ERR1913279.149435__1.149435	626940__E8LBE7__BN587_01102
ERR1913279.149760__1.149760	363265__G6AYV3__HMPREF0673_01814
ERR1913279.149938__1.149938	1262736__R5Y6X0__BN496_00548
ERR1913279.149958__1.149958	821__A0A3E4WAR6__DXD64_10735
ERR1913279.150149__1.150149	28117__B0MY41__BHV66_05165
ERR1913279.150158__1.150158	817__Q64VD4__M113_1792
ERR1913279.150230__1.150230	1680__A0A0C2VBJ4__birA
ERR1913279.150194__1.150194	40518__R5DXH2__DXD83_10135
ERR1913279.150424__1.150424	40518__R5DXH2__DXD83_10135
ERR1913279.150648__1.150648	47678__R5U3V5__DW706_14455
ERR1913279.150689__1.150689	39492__D4JQS6__ykoD
ERR1913279.150728__1.150728	1262911__R6GPB1__BN557_00837
