ERR1913264.104__1.104	487174__K0X079__DIT83_00640
ERR1913264.188257__1.188257	160404__R6Q1D7__SAMN02745138_01343
ERR1913264.188557__1.188557	39491__A0A395ZFH9__ERS852417_01193
ERR1913264.188560__1.188560	1263000__R5EC87__BN466_00713
ERR1913264.188589__1.188589	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913264.188600__1.188600	1262933__R7PD20__BN736_00884
ERR1913264.188801__1.188801	39491__A0A173TAZ5__DXB99_09520
ERR1913264.188808__1.188808	39491__D6E558__DXB69_00810
ERR1913264.189104__1.189104	328814__GCA_004558275.1_00293
ERR1913264.189130__1.189130	1262933__R7PB85__BN736_00258
ERR1913264.189085__1.189085	39491__D4JMW8__ERS852497_01971
ERR1913264.189094__1.189094	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913264.189175__1.189175	2108523__A0A2P2FDD9__LAWASA_4026
ERR1913264.189475__1.189475	39485__C4Z1W5__ERS852492_01530
ERR1913264.189553__1.189553	821__A0A174RA14__M099_1655
ERR1913264.189643__1.189643	39491__C4ZCH3__EUR_17560
ERR1913264.190133__1.190133	823__A0A174U5E4__BDI_3390
ERR1913264.190184__1.190184	39491__A0A395V0H3__ERS852417_01192
ERR1913264.190192__1.190192	39491__A0A395ZE48__DXB76_02395
ERR1913264.190236__1.190236	28117__B0MT73__ALIPUT_00412
ERR1913264.190300__1.190300	39491__A0A173QT73__alaS_2
ERR1913264.190320__1.190320	39491__D4JMW8__ERS852497_01971
ERR1913264.190664__1.190664	853__A0A2A7B9I6__DW855_13690
ERR1913264.190975__1.190975	457421__C5ERC0__CBFG_04276
ERR1913264.191064__1.191064	823__A0A355XJ56__DDY96_07685
ERR1913264.191140__1.191140	39491__A0A173RJ81__DXB76_01570
ERR1913264.191289__1.191289	1262922__R6E8C9__BN487_00223
ERR1913264.191358__1.191358	214856__I3YMN6__Alfi_1938
ERR1913264.191433__1.191433	1262922__R6ECW3__BN487_01323
ERR1913264.191519__1.191519	39491__D4JIB6__ERS852417_01685
ERR1913264.191448__1.191448	1262922__R6E5H3__BN487_01250
ERR1913264.191593__1.191593	357276__A0A076J8D4__HMPREF1064_00553
ERR1913264.191712__1.191712	357276__A0A076ISJ4__B5F95_19420
ERR1913264.192114__1.192114	39491__A0A395ZE48__DXB76_02395
ERR1913264.192272__1.192272	39491__A0A395UZ82__EUR_31520
ERR1913264.192378__1.192378	39491__C4Z875__T1815_09771
ERR1913264.192394__1.192394	39491__A0A395ZDC6__addB
ERR1913264.192428__1.192428	39491__A0A395ZBW8__DXC13_08840
ERR1913264.192593__1.192593	853__A0A329UEG4__CHR60_00585
ERR1913264.192621__1.192621	487174__K0WUM9__HMPREF9448_02608
ERR1913264.192820__1.192820	1262922__R6ETB6__BN487_00396
ERR1913264.192885__1.192885	39491__A0A395ZBQ4__cph2_2
ERR1913264.193136__1.193136	821__A0A174WBC9__ERS852556_03145
ERR1913264.193191__1.193191	1501391__GCA_000786575.1_00102
ERR1913264.193310__1.193310	1099853__U5CN37__NSB1T_00425
ERR1913264.193273__1.193273	818__A0A3E5HY51__rpfC_2
ERR1913264.193737__1.193737	820__A0A374Q8T2__DXB64_16190
ERR1913264.193805__1.193805	39491__C4Z872__LD38_07250
ERR1913264.193846__1.193846	39491__A0A396FBR6__DXC13_08575
ERR1913264.194036__1.194036	1965537__A0A1Y4WMR9__B5E42_08475
ERR1913264.194305__1.194305	29348__B1C363__DXB31_09030
ERR1913264.194459__1.194459	39491__A0A396FP46__cobD_2
ERR1913264.194678__1.194678	328814__GCA_004558275.1_00060
ERR1913264.194711__1.194711	39491__A0A395ZIT8__EUR_13460
ERR1913264.194764__1.194764	28117__B0N007__BHV66_10275
ERR1913264.195168__1.195168	1262920__R5KD76__BN467_01465
ERR1913264.195164__1.195164	853__C7H1R8__DW905_06675
ERR1913264.195423__1.195423	1262889__R7HDN9__BN634_01543
ERR1913264.195463__1.195463	39491__A0A396FGM9__fliU_1
ERR1913264.195540__1.195540	1262933__R7PBM6__BN736_01468
ERR1913264.195683__1.195683	1262922__R6E9C2__BN487_00401
ERR1913264.195701__1.195701	1262922__R6ECW3__BN487_01323
ERR1913264.195704__1.195704	823__A0A073I5R7__cloSI
ERR1913264.195734__1.195734	1262922__R6E195__BN487_00989
ERR1913264.195909__1.195909	821__A0A397WGD6__M098_0084
ERR1913264.195855__1.195855	818__Q8AAE0__Btheta7330_02023
ERR1913264.196063__1.196063	28117__B0MTW8__ALIPUT_00502
ERR1913264.196110__1.196110	487174__K0X028__DIT83_00950
ERR1913264.196512__1.196512	1501391__GCA_000786575.1_00148
ERR1913264.196571__1.196571	39491__A0A395UZ89__DXB72_12805
ERR1913264.196600__1.196600	544645__A0A1Y3W0G8__DXC42_07680
ERR1913264.197059__1.197059	487174__K0X694__DIT83_09060
ERR1913264.197122__1.197122	853__A0A174BZY1__xerD_1
ERR1913264.197161__1.197161	39491__A0A395V2P3__DXB69_08700
ERR1913264.197249__1.197249	39491__A0A395V0E5__ERE_31370
ERR1913264.197279__1.197279	574930__A0A0F5J908__HMPREF1536_03849
ERR1913264.197351__1.197351	39491__A0A396FVC0__ERE_15900
ERR1913264.197466__1.197466	1263000__R5EAZ0__BN466_00537
ERR1913264.197422__1.197422	33039__D4M4Y2__ERS852390_00147
ERR1913264.197562__1.197562	1262922__R6ECW3__BN487_01323
ERR1913264.197581__1.197581	1501391__GCA_000786575.1_00057
ERR1913264.197866__1.197866	1501391__GCA_000786575.1_00082
ERR1913264.197841__1.197841	39491__D6E118__DXB69_05765
ERR1913264.198022__1.198022	626933__H1DGX0__HMPREF9449_01506
ERR1913264.198224__1.198224	1262922__R6EXS9__BN487_01090
ERR1913264.198298__1.198298	328814__GCA_004558275.1_00090
ERR1913264.198455__1.198455	40518__R5DZU5__RBL263_00458
ERR1913264.198768__1.198768	39491__R6UMS6__DXD13_07035
ERR1913264.198946__1.198946	46503__R6WVN9__HMPREF1078_01964
ERR1913264.199079__1.199079	823__D0T9E4__DHW69_09115
ERR1913264.199310__1.199310	1263000__R5EGY6__BN466_00973
ERR1913264.199402__1.199402	823__A0A174PDQ0__DXC05_08200
ERR1913264.199454__1.199454	1262933__R7PCN5__BN736_00717
ERR1913264.199699__1.199699	1262922__R6EEP0__BN487_01314
ERR1913264.199700__1.199700	1262922__R6EAK5__BN487_00566
ERR1913264.199710__1.199710	28117__B0MY40__BHV66_05170
ERR1913264.199727__1.199727	626932__G5H6U8__HMPREF9450_00658
ERR1913264.199925__1.199925	39491__A0A395ZHW9__DXC13_02590
ERR1913264.199935__1.199935	1262922__R6DZZ7__BN487_00771
ERR1913264.199938__1.199938	610243__A0A060QJF7__ASAP_2763
ERR1913264.200005__1.200005	1262922__R6E195__BN487_00989
ERR1913264.200014__1.200014	821__A0A396EVC9__DXB90_03525
ERR1913264.200058__1.200058	384639__GCA_003096855.1_00253
ERR1913264.200173__1.200173	418240__C6JGG3__ERS852523_00073
ERR1913264.200606__1.200606	823__D0T9E4__DHW69_09115
ERR1913264.200623__1.200623	1262922__R6E5H3__BN487_01250
ERR1913264.200990__1.200990	2108523__A0A2P2FDD0__LAWASA_4016
ERR1913264.201162__1.201162	328814__GCA_004558275.1_00296
ERR1913264.201163__1.201163	1262922__R6E0J0__BN487_00426
ERR1913264.201165__1.201165	1262922__R6E4Q0__BN487_01510
ERR1913264.201258__1.201258	39491__R6TQ09__DXC13_03010
ERR1913264.201468__1.201468	1262922__R6E6V1__BN487_00270
ERR1913264.201556__1.201556	1465754__A0A1H3XNP1__SAMN05444145_101278
ERR1913264.201661__1.201661	39491__A0A395UWA3__DXB69_11805
ERR1913264.201709__1.201709	1262922__R6E3T8__BN487_00972
ERR1913264.201759__1.201759	1262922__R6EDI1__BN487_01092
ERR1913264.201980__1.201980	823__D0TBY4__M090_0431
ERR1913264.202059__1.202059	1262933__R7PA55__BN736_01698
ERR1913264.202256__1.202256	1262933__R7PDE9__BN736_00222
ERR1913264.202298__1.202298	853__A0A2A7B1Y7__C7K05_11930
ERR1913264.202503__1.202503	28118__R6F6C0__Odosp_0731
ERR1913264.202513__1.202513	28117__B0MYI9__BHV66_05415
ERR1913264.202521__1.202521	160404__A0A1M6U7V0__SAMN02745138_02106
ERR1913264.202574__1.202574	28117__R7JQW0__ALIPUT_01453
ERR1913264.202600__1.202600	39491__A0A395V297__EUR_01010
ERR1913264.202601__1.202601	28117__R7JJM9__ALIPUT_00662
ERR1913264.202744__1.202744	1263000__R5F0H8__BN466_00254
ERR1913264.202747__1.202747	1965586__A0A1Y4HM59__B5F34_07730
ERR1913264.202753__1.202753	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913264.203017__1.203017	1262922__R6DZK5__BN487_00713
ERR1913264.203098__1.203098	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913264.203308__1.203308	46503__R6Y8M7__ERS852463_01228
ERR1913264.203440__1.203440	853__A0A173YYY4__DWZ04_09420
ERR1913264.203667__1.203667	820__A0A174P0L5__glcK_3
ERR1913264.203729__1.203729	626933__H1DGX0__HMPREF9449_01506
ERR1913264.204031__1.204031	1262922__R6E219__BN487_00678
ERR1913264.204128__1.204128	39491__D6E4H2__DXB99_00485
ERR1913264.204345__1.204345	706562__GCA_900112995.1_02127
ERR1913264.204476__1.204476	28117__B0MWX3__BHV66_03010
ERR1913264.204647__1.204647	39485__A0A174ZQT9__EUBELI_20278
ERR1913264.204724__1.204724	1465754__A0A1H4EWF6__SAMN05444145_108119
ERR1913264.204980__1.204980	1263000__R5EQY7__BN466_01150
ERR1913264.204996__1.204996	1318__I1ZPN1__NCTC12854_02060
ERR1913264.205001__1.205001	853__A0A2J4JL53__CRH10_10795
ERR1913264.205121__1.205121	823__A0A073I9P2__CF162_18000
ERR1913264.205665__1.205665	28117__B0MY40__BHV66_05170
ERR1913264.205823__1.205823	1965537__A0A1Y4WQA6__B5E42_02750
ERR1913264.205905__1.205905	853__C7H1R8__DW905_06675
ERR1913264.205867__1.205867	1262922__R6EYJ3__BN487_01212
ERR1913264.205969__1.205969	39491__A0A395ZM93__DXD13_03490
ERR1913264.206030__1.206030	39491__D4JIB6__ERS852417_01685
ERR1913264.206081__1.206081	651822__GCA_000210715.1_00753
ERR1913264.206106__1.206106	28117__B0MYW7__ALIPUT_02336
ERR1913264.206248__1.206248	160404__R6PN27__B5G26_06985
ERR1913264.206291__1.206291	39491__A0A395ZIT8__EUR_13460
ERR1913264.206791__1.206791	160404__R7B9D0__SAMN02745138_00296
ERR1913264.206806__1.206806	39491__A0A396FMF1__EUR_28700
ERR1913264.206878__1.206878	1150298__A0A174HYM9__ERS852406_01664
ERR1913264.206977__1.206977	46503__R6WRM8__HMPREF1060_03046
ERR1913264.207282__1.207282	28117__B0MUL5__ALIPUT_00722
ERR1913264.207344__1.207344	39491__A0A395ZBQ4__cph2_2
ERR1913264.207486__1.207486	39491__A0A396FPV7__ERS852580_01177
ERR1913264.207689__1.207689	204516__U6RPN2__HMPREF1534_00368
ERR1913264.207988__1.207988	44742__A0A0X8JKS1__AXF13_10870
ERR1913264.208503__1.208503	2108523__A0A2P2F4E1__LAWASA_871
ERR1913264.208577__1.208577	39491__A0A395ZBQ4__cph2_2
ERR1913264.208740__1.208740	1262922__R6E8Y1__BN487_01778
ERR1913264.208786__1.208786	394340__cfiA
ERR1913264.208787__1.208787	39491__A0A395V0E5__ERE_31370
ERR1913264.208974__1.208974	338188__A0A174ETX3__ERS852397_01955
ERR1913264.209003__1.209003	823__A0A355XIK0__CEQ22_011965
ERR1913264.209127__1.209127	28117__B0MT38__BHV66_05995
ERR1913264.209220__1.209220	39491__A0A396FBR6__DXC13_08575
ERR1913264.209478__1.209478	39491__A0A395ZG74__licR
ERR1913264.209619__1.209619	39485__C4Z058__ERS852492_00130
ERR1913264.209640__1.209640	1263000__R5EKR3__BN466_00099
ERR1913264.209743__1.209743	39491__A0A395UZ82__EUR_31520
ERR1913264.209717__1.209717	1262922__R6EXS9__BN487_01090
ERR1913264.209850__1.209850	1262989__R6Y4M6__BN815_00968
ERR1913264.209880__1.209880	823__D0TCC2__HMPREF1075_01590
ERR1913264.210030__1.210030	39491__A0A396FMF1__EUR_28700
ERR1913264.210162__1.210162	46228__B5CLE1__HMPREF1202_01861
ERR1913264.210193__1.210193	1501391__GCA_000786575.1_00066
ERR1913264.210420__1.210420	823__A0A078TE44__DD466_14830
ERR1913264.210424__1.210424	853__A0A2A7B9I6__DW855_13690
ERR1913264.210690__1.210690	1262922__R6EEP0__BN487_01314
ERR1913264.210701__1.210701	1262922__R6E9C2__BN487_00401
ERR1913264.210659__1.210659	39496__A5Z5I2__EUBVEN_00963
ERR1913264.210878__1.210878	1262922__R6E8K7__BN487_01739
ERR1913264.210894__1.210894	544645__A0A3E4T785__DXC42_09105
ERR1913264.210920__1.210920	28117__B0MT38__BHV66_05995
ERR1913264.211094__1.211094	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913264.211134__1.211134	1262922__R6EG39__BN487_01800
ERR1913264.211193__1.211193	823__A0A174UR44__M095_2641
ERR1913264.211345__1.211345	39491__R6TQ09__DXC13_03010
ERR1913264.211412__1.211412	39491__A0A174EQV2__DXB69_10230
ERR1913264.211847__1.211847	1262933__R7PDU8__BN736_00041
ERR1913264.212003__1.212003	214856__A0A174H6R3__ERS852447_02809
ERR1913264.211950__1.211950	39485__A0A174YSU1__ERS852492_00576
ERR1913264.212168__1.212168	487174__K0WXG8__DIT83_09300
ERR1913264.212311__1.212311	1262922__R6E5Q5__BN487_01326
ERR1913264.212415__1.212415	28118__F9ZBL7__DER54_00840
ERR1913264.212666__1.212666	39491__A0A395V0E5__ERE_31370
ERR1913264.213009__1.213009	39491__A0A395ZHW3__ERS852417_01359
ERR1913264.213160__1.213160	291645__I8WZT8__HMPREF1068_04327
ERR1913264.213396__1.213396	556259__I0PXW0__BSGG_5187
ERR1913264.213613__1.213613	1262824__R6RLH4__BN719_02226
ERR1913264.213826__1.213826	821__A0A174MBW9__SAMN04487923_10272
ERR1913264.213866__1.213866	39491__C4Z9D4__DXD95_00055
ERR1913264.214017__1.214017	39491__A0A395V0H6__ERS852580_02570
ERR1913264.214033__1.214033	1262922__R6E4W9__BN487_01554
ERR1913264.214513__1.214513	28117__B0MXU6__ALIPUT_01958
ERR1913264.214525__1.214525	328814__GCA_004558275.1_02278
ERR1913264.214734__1.214734	823__A6LEP0__M091_1976
ERR1913264.214745__1.214745	1262922__R6ETB6__BN487_00396
ERR1913264.214796__1.214796	1262922__R6E5U1__BN487_01344
ERR1913264.214850__1.214850	39486__B0G2S4__DXD10_16540
ERR1913264.214885__1.214885	562__P0ABQ5__COD41_16240
ERR1913264.215075__1.215075	39491__A0A395ZG74__licR
ERR1913264.215304__1.215304	39491__C4ZEW3__T1815_18241
ERR1913264.215369__1.215369	44742__A0A109W4N0__AXF13_11490
ERR1913264.215498__1.215498	853__E2ZGD9__C7J97_11715
ERR1913264.215588__1.215588	28117__B0MXQ6__ALIPUT_01917
ERR1913264.215634__1.215634	1262922__R6EIW5__BN487_01923
ERR1913264.215781__1.215781	28117__B0MXG8__ALIPUT_01814
ERR1913264.215850__1.215850	1550024__G9RP69__ASJ35_11625
ERR1913264.215890__1.215890	39491__A0A396FUZ3__phoR_1
ERR1913264.216076__1.216076	1262922__R6ETB6__BN487_00396
ERR1913264.216381__1.216381	823__A0A174DZM1__DDY96_10310
ERR1913264.216382__1.216382	28117__B0MY34__BHV66_05195
ERR1913264.216510__1.216510	1150298__R7JRK4__ERS852406_01648
ERR1913264.216579__1.216579	39491__A0A395V0H3__ERS852417_01192
ERR1913264.217180__1.217180	853__A0A173XRA8__CGS56_09290
ERR1913264.217291__1.217291	1262922__R6DZZ7__BN487_00771
ERR1913264.217317__1.217317	39491__A0A395ZEI6__ERE_07950
ERR1913264.217381__1.217381	39491__A0A174K1W6__DXB99_15020
ERR1913264.217455__1.217455	1262922__R6EEH5__BN487_01593
ERR1913264.217588__1.217588	214856__R6Y9P5__ERS852559_01811
ERR1913264.217811__1.217811	1965537__A0A1Y4WQ40__B5E42_02845
ERR1913264.217844__1.217844	28117__R7JIJ8__BHV66_01635
ERR1913264.217853__1.217853	40518__R5DVV1__RBATCC27255_00999
ERR1913264.218232__1.218232	823__A6L9W2__DXB14_07905
ERR1913264.218339__1.218339	853__A0A173YYY4__DWZ04_09420
ERR1913264.218554__1.218554	1262922__R6F3R3__BN487_01995
ERR1913264.218688__1.218688	39491__A0A396FF66__DXD95_01810
ERR1913264.218694__1.218694	33039__D4M325__ERS852390_01663
ERR1913264.218913__1.218913	853__D4K7X0__DW905_09540
ERR1913264.219022__1.219022	39491__C4ZCV7__ERE_23110
ERR1913264.219255__1.219255	28117__R7JJM9__ALIPUT_00662
ERR1913264.219314__1.219314	1262933__R7P7P1__BN736_00004
ERR1913264.219863__1.219863	1262736__R5Y2G7__BN496_01502
ERR1913264.219993__1.219993	1501391__GCA_000786575.1_00141
ERR1913264.220050__1.220050	1262922__R6E4S1__BN487_00090
ERR1913264.220084__1.220084	28117__B0MTS2__ALIPUT_00159
ERR1913264.220125__1.220125	39491__A0A396FRE7__EUR_27520
ERR1913264.220167__1.220167	823__A0A355XJ56__DDY96_07685
ERR1913264.220240__1.220240	39491__A0A396FNY7__LD38_16155
ERR1913264.220321__1.220321	1262933__R7P7I6__BN736_01446
ERR1913264.220346__1.220346	28117__R7JQW0__ALIPUT_01453
ERR1913264.220381__1.220381	39485__A0A174YTF7__ERS852490_01271
ERR1913264.220390__1.220390	823__A0A078SYK6__DXB14_02485
ERR1913264.220433__1.220433	487174__K0X068__DDY40_07105
ERR1913264.220599__1.220599	160404__A0A1M6QN91__SAMN02745138_01369
ERR1913264.220602__1.220602	487174__K0XF08__DDY40_09050
ERR1913264.220713__1.220713	28117__B0N007__BHV66_10275
ERR1913264.220735__1.220735	823__A6LEP0__M091_1976
ERR1913264.220873__1.220873	39491__A0A395V0H3__ERS852417_01192
ERR1913264.220842__1.220842	39491__A0A395ZG74__licR
ERR1913264.220854__1.220854	1262922__R6ECX9__BN487_01332
ERR1913264.221062__1.221062	39491__C4Z9J5__DXB69_02495
ERR1913264.221090__1.221090	1262922__R6EA55__BN487_00827
ERR1913264.221150__1.221150	39491__A0A173TAZ5__DXB99_09520
ERR1913264.221462__1.221462	39491__A0A395V464__EUBREC_1509
ERR1913264.221689__1.221689	1262933__R7PBZ0__BN736_00523
ERR1913264.221734__1.221734	40518__R5DVR2__RBL236_00303
ERR1913264.221891__1.221891	39491__D4JM76__DXC13_02150
ERR1913264.221913__1.221913	487174__K0XLV6__DIT83_00940
ERR1913264.222099__1.222099	1262933__R7PCN4__BN736_01780
ERR1913264.222328__1.222328	823__D7IUM6__M091_1082
ERR1913264.222466__1.222466	1150298__A0A174HB98__ERS852406_02617
ERR1913264.222518__1.222518	823__A6LDT7__CEQ22_002595
ERR1913264.222649__1.222649	1262922__R6ECX9__BN487_01332
ERR1913264.222772__1.222772	1262922__R6DWT1__BN487_00269
ERR1913264.222792__1.222792	1262933__R7PAZ2__BN736_00114
ERR1913264.222889__1.222889	39491__A0A395ZF49__DXB69_05290
ERR1913264.222901__1.222901	871324__A0A1M6C0H7__SAMN05444350_103243
ERR1913264.222961__1.222961	39491__A0A174K265__DXB76_05915
ERR1913264.222983__1.222983	39491__A0A396FJJ9__DXB76_11995
ERR1913264.223084__1.223084	671266__GCA_004801615.1_01762
ERR1913264.223252__1.223252	823__A0A174EFT7__luxQ_5
ERR1913264.223284__1.223284	1263000__R5F0H8__BN466_00254
ERR1913264.223930__1.223930	1299998__GCA_001494635.1_00019
ERR1913264.224052__1.224052	823__E1YR62__HMPREF1059_02331
ERR1913264.224196__1.224196	2137880__A0A316NNS4__DBY21_09295
ERR1913264.224213__1.224213	823__A0A395YRX4__ERS852513_03444
ERR1913264.224293__1.224293	1262922__R6DZZ7__BN487_00771
ERR1913264.224356__1.224356	1262922__R6E3S7__BN487_01394
ERR1913264.224637__1.224637	1262933__R7PAQ0__BN736_01876
ERR1913264.224798__1.224798	1262933__R7PE73__BN736_00490
ERR1913264.224895__1.224895	357276__A0A076ISD9__EL88_07480
ERR1913264.224926__1.224926	853__A0A2A7B1Y7__C7K05_11930
ERR1913264.225217__1.225217	1262922__R6ETB6__BN487_00396
ERR1913264.225334__1.225334	39491__D4JMW8__ERS852497_01971
ERR1913264.225513__1.225513	821__A0A0P0M5Z6__BVU_0429
ERR1913264.225726__1.225726	39491__A0A396FBR6__DXC13_08575
ERR1913264.225803__1.225803	1262922__R6E5H3__BN487_01250
ERR1913264.225928__1.225928	1262933__R7PDD7__BN736_00786
ERR1913264.226088__1.226088	360807__A0A0M6WHB7__ERS852444_00092
ERR1913264.226180__1.226180	823__A0A355XH29__lolE_1
ERR1913264.226290__1.226290	1150298__R7JPI7__cotI
ERR1913264.226393__1.226393	1262922__R6EXS9__BN487_01090
ERR1913264.226578__1.226578	29361__B6FRT6__CLONEX_02860
ERR1913264.226596__1.226596	1262922__R6E290__BN487_01114
ERR1913264.226753__1.226753	1160721__W0U436__BHW50_10710
ERR1913264.226846__1.226846	823__A6LER2__ERS852513_00365
ERR1913264.227048__1.227048	39491__A0A395ZEN3__DXD95_12655
ERR1913264.227299__1.227299	2108523__A0A2P2FDA1__LAWASA_4052
ERR1913264.227711__1.227711	853__C7H7F8__yccM_1
ERR1913264.227849__1.227849	394340__groL
ERR1913264.227850__1.227850	328814__GCA_004558275.1_00065
ERR1913264.227933__1.227933	1262933__R7PDD7__BN736_00786
ERR1913264.228082__1.228082	1262922__R6EE49__BN487_01193
ERR1913264.228367__1.228367	1262922__R6DXH2__BN487_00387
ERR1913264.228340__1.228340	28117__B0MXU0__BHV66_07550
ERR1913264.228449__1.228449	821__A0A395UNT8__DXD64_15275
ERR1913264.228904__1.228904	1501391__GCA_000786575.1_00062
ERR1913264.228986__1.228986	39491__A0A395ZM93__DXD13_03490
ERR1913264.229005__1.229005	28117__B0MXW9__ALIPUT_01981
ERR1913264.229037__1.229037	46228__V8CDQ4__RUMLAC_02769
ERR1913264.229051__1.229051	487174__K0XRP0__DDY40_09260
ERR1913264.229056__1.229056	1262922__R6E4S1__BN487_00090
ERR1913264.229133__1.229133	1262922__R6F3E6__BN487_01915
ERR1913264.229148__1.229148	853__R6QDR1__C4N27_08170
ERR1913264.229188__1.229188	39491__A0A174K9A3__DXB69_07785
ERR1913264.229171__1.229171	1263000__R5EUM2__BN466_01747
ERR1913264.229390__1.229390	2108523__A0A2P2FCY3__LAWASA_3926
ERR1913264.229578__1.229578	39491__A0A0M6WLC7__ERS852497_00640
ERR1913264.229644__1.229644	671267__R9IB12__C802_00696
ERR1913264.229703__1.229703	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913264.229734__1.229734	1263000__R5EUM2__BN466_01747
ERR1913264.229794__1.229794	1262824__R6RPG7__BN719_00923
ERR1913264.229914__1.229914	39491__C4ZAT2__ERE_28440
ERR1913264.229940__1.229940	1465754__A0A1H4FGH5__SAMN05444145_11058
ERR1913264.230014__1.230014	2108523__A0A2P2F666__LAWASA_1491
ERR1913264.230022__1.230022	328814__GCA_004558275.1_00140
ERR1913264.230086__1.230086	1262922__R6E3T0__BN487_00967
ERR1913264.230192__1.230192	28118__F9Z750__Odosp_3044
ERR1913264.230201__1.230201	1262933__R7PBM6__BN736_01468
ERR1913264.230206__1.230206	2108523__A0A2P2FCF2__LAWASA_3737
ERR1913264.230261__1.230261	487174__R5EV44__HMPREF9448_01630
ERR1913264.230262__1.230262	160404__R6PYA5__B5G26_09600
ERR1913264.230269__1.230269	39491__D6E408__EUBREC_1466
ERR1913264.230307__1.230307	1262922__R6E195__BN487_00989
ERR1913264.230331__1.230331	821__D4VD59__BHV80_04260
ERR1913264.230915__1.230915	33039__D4M398__ERS852530_00575
ERR1913264.231206__1.231206	1262992__R5DCV6__BN795_00412
ERR1913264.231364__1.231364	40518__R5DYU1__DXD86_01160
ERR1913264.231343__1.231343	39491__A0A395ZBW8__DXC13_08840
ERR1913264.231492__1.231492	818__A0A0P0F2P7__BT_1771
ERR1913264.231535__1.231535	1501391__GCA_000786575.1_00015
ERR1913264.231687__1.231687	2137880__A0A316NTG7__DBY21_04860
ERR1913264.231709__1.231709	328814__GCA_004558275.1_02279
ERR1913264.231975__1.231975	106588__A6NUL8__BACCAP_01900
ERR1913264.232120__1.232120	1262922__R6E4W9__BN487_01554
ERR1913264.232139__1.232139	39491__A0A396FSR4__ERS852580_02287
ERR1913264.232216__1.232216	28117__B0MYW7__ALIPUT_02336
ERR1913264.232413__1.232413	821__U6RDC2__DXD46_15675
ERR1913264.232482__1.232482	28117__B0MT73__ALIPUT_00412
ERR1913264.232577__1.232577	1262922__R6EAM2__BN487_00919
ERR1913264.232710__1.232710	28117__B0MT38__BHV66_05995
ERR1913264.232919__1.232919	160404__R7B9D0__SAMN02745138_00296
ERR1913264.233067__1.233067	39491__A0A396FUZ3__phoR_1
ERR1913264.233157__1.233157	39491__A0A396FNY7__LD38_16155
ERR1913264.233338__1.233338	1262922__R6E9U7__BN487_01899
ERR1913264.233362__1.233362	1262824__R6RMS7__BN719_01294
ERR1913264.233482__1.233482	39485__A0A174YW66__ERS852490_03040
ERR1913264.233522__1.233522	39491__C4Z8Y4__ERS852417_00909
ERR1913264.233528__1.233528	1965537__A0A1Y4WCT3__B5E42_17555
ERR1913264.233546__1.233546	28117__B0MUL5__ALIPUT_00722
ERR1913264.233805__1.233805	1262922__R6EZ98__BN487_01346
ERR1913264.234103__1.234103	823__A0A395YRX4__ERS852513_03444
ERR1913264.234267__1.234267	1150298__R7JUS2__ERS852498_02193
ERR1913264.234366__1.234366	1262922__R6E4W9__BN487_01554
ERR1913264.234419__1.234419	2137880__A0A316NIX6__DBY21_09290
ERR1913264.234536__1.234536	39492__D4JR08__ERS852540_02467
ERR1913264.234469__1.234469	823__A0A173W1W2__M095_4076
ERR1913264.234608__1.234608	28117__B0MSQ3__ALIPUT_00347
ERR1913264.234894__1.234894	487174__K0X591__DDY40_01805
ERR1913264.235054__1.235054	39491__R6UMS6__DXD13_07035
ERR1913264.235129__1.235129	28117__B0MWP2__ALIPUT_01468
ERR1913264.235135__1.235135	46228__V8CA96__RUMLAC_01531
ERR1913264.235199__1.235199	1150298__R7JMX3__ERS852498_00681
ERR1913264.235448__1.235448	1262933__R7P8V0__BN736_01283
ERR1913264.235466__1.235466	1150298__A0A174HXS4__ERS852498_00503
ERR1913264.235489__1.235489	853__A0A3E2U7E6__ERS852582_01640
ERR1913264.235511__1.235511	39491__C4ZAT2__ERE_28440
ERR1913264.235520__1.235520	39491__A0A395V297__EUR_01010
ERR1913264.235534__1.235534	1796613__A0A1C7GYD6__A4V03_03700
ERR1913264.235655__1.235655	1262922__R6EF96__BN487_01418
ERR1913264.235656__1.235656	487174__K0WTQ3__HMPREF9448_02140
ERR1913264.235793__1.235793	2108523__A0A2P2FCW6__LAWASA_3918
ERR1913264.236224__1.236224	39491__A0A396FRE7__EUR_27520
ERR1913264.236329__1.236329	2108523__A0A2P2FCI8__LAWASA_3772
ERR1913264.236481__1.236481	1262933__R7PD23__BN736_01898
ERR1913264.236887__1.236887	1150298__R7JUX4__ERS852535_02669
ERR1913264.237116__1.237116	39491__A0A395ZG74__licR
ERR1913264.237218__1.237218	39491__A0A396FQV7__T1815_10751
ERR1913264.237197__1.237197	28117__B0MVL2__BHV66_01645
ERR1913264.237267__1.237267	46228__B5CKX6__RUMLAC_00090
ERR1913264.237385__1.237385	1965537__A0A1Y4WB86__B5E42_17580
ERR1913264.237534__1.237534	1262989__R6YIA1__BN815_02268
ERR1913264.237620__1.237620	1262922__R6E4W9__BN487_01554
ERR1913264.237752__1.237752	487174__K0WTV8__DIT83_04385
